ko:K18929	hex:HPF57_0158
ko:K01885	hex:HPF57_0505
ko:K08077	hex:HPF57_0537
ko:K07126	hex:HPF57_0549
ko:K06346	hex:HPF57_1366
ko:K02067	hex:HPF57_1379
ko:K02242	hex:HPF57_1388
ko:K00616	hex:HPF57_1410
ko:K01424	hex:HPF57_0743
ko:K00769	hex:HPF57_0754
ko:K06603	hex:HPF57_0772
ko:K04093	hex:HPF57_0345
ko:K03342	hex:HPF57_0347
ko:K01916	hex:HPF57_0382
ko:K01455	hex:HPF57_1197
ko:K00949	hex:HPF57_1247
ko:K14048	hex:HPF57_0084
ko:K03406	hex:HPF57_0094
ko:K03743	hex:HPF57_0961
ko:K06179	hex:HPF57_0965
ko:K03442	hex:HPF57_0989
ko:K00059	hex:HPF57_0586
ko:K01156	hex:HPF57_1433
ko:K07316	hex:HPF57_1435
ko:K02342	hex:HPF57_1463
ko:K02004	hex:HPF57_0808
ko:K03635	hex:HPF57_0821
ko:K01119	hex:HPF57_0131
ko:K03406	hex:HPF57_0132
ko:K03406	hex:HPF57_0136
ko:K01585	hex:HPF57_0995
ko:K00058	hex:HPF57_1020
ko:K06013	hex:HPF57_1035
ko:K11085	hex:HPF57_0418
ko:K01679	hex:HPF57_1281
ko:K04655	hex:HPF57_1300
ko:K00652	hex:HPF57_0623
ko:K07457	hex:HPF57_0627
ko:K00939	hex:HPF57_0641
ko:K01507	hex:HPF57_0645
ko:K00674	hex:HPF57_0651
ko:K07126	hex:HPF57_0652
ko:K03386	hex:HPF57_1498
ko:K01409	hex:HPF57_1518
ko:K14232	hex:HPF57_t24
ko:K14219	hex:HPF57_t21
ko:K16052	hex:HPF57_1002
ko:K14224	hex:HPF57_t01
ko:K14221	hex:HPF57_t02
ko:K14237	hex:HPF57_t03
ko:K14224	hex:HPF57_t04
ko:K14229	hex:HPF57_t05
ko:K14237	hex:HPF57_t06
ko:K14220	hex:HPF57_t08
ko:K14219	hex:HPF57_t10
ko:K14233	hex:HPF57_t11
ko:K14232	hex:HPF57_t12
ko:K14219	hex:HPF57_t14
ko:K14230	hex:HPF57_t13
ko:K14230	hex:HPF57_t15
ko:K14223	hex:HPF57_t16
ko:K14225	hex:HPF57_t17
ko:K14228	hex:HPF57_t18
ko:K14222	hex:HPF57_t19
ko:K14233	hex:HPF57_t20
ko:K01985	hex:HPF57_r01
ko:K01985	hex:HPF57_r04
ko:K01980	hex:HPF57_r02
ko:K01980	hex:HPF57_r05
ko:K14228	hex:HPF57_t25
ko:K14227	hex:HPF57_t26
ko:K14218	hex:HPF57_t27
ko:K02029	hex:HPF57_1134
ko:K14235	hex:HPF57_t29
ko:K11028	hex:HPF57_0902
ko:K15847	hex:HPF57_0908
ko:K12086	hex:HPF57_0550
ko:K12088	hex:HPF57_0552
ko:K12089	hex:HPF57_0553
ko:K12090	hex:HPF57_0554
ko:K12092	hex:HPF57_0557
ko:K12093	hex:HPF57_0558
ko:K12094	hex:HPF57_0559
ko:K12095	hex:HPF57_0560
ko:K12096	hex:HPF57_0561
ko:K12097	hex:HPF57_0562
ko:K12098	hex:HPF57_0563
ko:K12101	hex:HPF57_0564
ko:K15842	hex:HPF57_0574
ko:K12102	hex:HPF57_0565
ko:K12103	hex:HPF57_0566
ko:K12104	hex:HPF57_0567
ko:K12105	hex:HPF57_0568
ko:K12106	hex:HPF57_0569
ko:K12107	hex:HPF57_0570
ko:K12108	hex:HPF57_0571
ko:K12109	hex:HPF57_0572
ko:K12110	hex:HPF57_0573
ko:K15848	hex:HPF57_0745
ko:K15843	hex:HPF57_0922
ko:K15844	hex:HPF57_0923
ko:K03196	hex:HPF57_0292
ko:K03196	hex:HPF57_1336
ko:K12091	hex:HPF57_0556
ko:K15845	hex:HPF57_0007
ko:K10009	hex:HPF57_0948
ko:K00970	hex:HPF57_0664
ko:K03321	hex:HPF57_0247
ko:K12369	hex:HPF57_0353
ko:K01426	hex:HPF57_0348
ko:K12371	hex:HPF57_0355
ko:K07316	hex:HPF57_0312
ko:K02424	hex:HPF57_0949
ko:K09477	hex:HPF57_0163
ko:K03559	hex:HPF57_1092
ko:K07318	hex:HPF57_1170
ko:K03559	hex:HPF57_1361
ko:K03559	hex:HPF57_1295
ko:K12049	hex:HPF57_1305
ko:K13689	hex:HPF57_0237
ko:K12977	hex:HPF57_0019
ko:K12048	hex:HPF57_1304
ko:K12052	hex:HPF57_1307
ko:K12050	hex:HPF57_1306
ko:K12053	hex:HPF57_0015
ko:K03191	hex:HPF57_0082
ko:K13797	hex:HPF57_1159
ko:K02003	hex:HPF57_0198
ko:K15895	hex:HPF57_1051
ko:K15896	hex:HPF57_0380
ko:K11782	hex:HPF57_0800
ko:K01738	hex:HPF57_0128
ko:K01760	hex:HPF57_0129
ko:K01992	hex:HPF57_0635
ko:K07316	hex:HPF57_1434
ko:K01990	hex:HPF57_1179
ko:K17103	hex:HPF57_0429
ko:K02484	hex:HPF57_0036
ko:K02484	hex:HPF57_0183
ko:K02847	hex:HPF57_0460
ko:K01992	hex:HPF57_1402
ko:K17686	hex:HPF57_1418
ko:K17686	hex:HPF57_0428
ko:K01155	hex:HPF57_0315
ko:K00971	hex:HPF57_1303
ko:K05540	hex:HPF57_0747
ko:K11928	hex:HPF57_0062
ko:K01658	hex:HPF57_1240
ko:K01156	hex:HPF57_1321
ko:K00290	hex:HPF57_1422
ko:K01497	hex:HPF57_0823
ko:K00254	hex:HPF57_0487
ko:K06148	hex:HPF57_1168
ko:K05922	hex:HPF57_0656
ko:K05927	hex:HPF57_0655
ko:K03605	hex:HPF57_0658
ko:K05366	hex:HPF57_0622
ko:K07090	hex:HPF57_0699
ko:K07501	hex:HPF57_0714
ko:K03168	hex:HPF57_0108
ko:K03168	hex:HPF57_0109
ko:K07812	hex:HPF57_1006
ko:K07812	hex:HPF57_1008
ko:K12048	hex:HPF57_0288
ko:K07126	hex:HPF57_0388
ko:K01173	hex:HPF57_1319
ko:K07126	hex:HPF57_1462
ko:K11784	hex:HPF57_0679
ko:K11785	hex:HPF57_0172
ko:K18284	hex:HPF57_0146
ko:K18285	hex:HPF57_0677
ko:K16235	hex:HPF57_0481
ko:K16235	hex:HPF57_1453
ko:K18480	hex:HPF57_1378
ko:K00681	hex:HPF57_1081
ko:K07316	hex:HPF57_1320
ko:K07316	hex:HPF57_0034
ko:K18930	hex:HPF57_1181
ko:K03497	hex:HPF57_1101
ko:K03496	hex:HPF57_1102
ko:K03203	hex:HPF57_0286
ko:K03204	hex:HPF57_0287
ko:K03205	hex:HPF57_0296
ko:K03111	hex:HPF57_1204
ko:K03196	hex:HPF57_0555
ko:K03761	hex:HPF57_0409
ko:K00335	hex:HPF57_1224
ko:K02483	hex:HPF57_0184
ko:K03526	hex:HPF57_0650
ko:K03296	hex:HPF57_0632
ko:K00336	hex:HPF57_1225
ko:K07448	hex:HPF57_0420
ko:K19157	hex:HPF57_0297
ko:K00571	hex:HPF57_0060
ko:K00571	hex:HPF57_0142
ko:K00571	hex:HPF57_0143
ko:K00571	hex:HPF57_0316
ko:K00571	hex:HPF57_1297
ko:K07317	hex:HPF57_0920
ko:K04771	hex:HPF57_0480
ko:K01992	hex:HPF57_1401
ko:K07496	hex:HPF57_0575
ko:K19302	hex:HPF57_0871
ko:K19416	hex:HPF57_0929
ko:K02483	hex:HPF57_0456
ko:K04763	hex:HPF57_0147
ko:K16066	hex:HPF57_1058
ko:K20151	hex:HPF57_1038
ko:K20810	hex:HPF57_0320
ko:K20151	hex:HPF57_0674
ko:K00525	hex:HPF57_0701
ko:K16066	hex:HPF57_1059
ko:K03199	hex:HPF57_0107
ko:K07100	hex:HPF57_1175
ko:K02335	hex:HPF57_1385
ko:K02335	hex:HPF57_0477
ko:K00558	hex:HPF57_0711
ko:K01520	hex:HPF57_0883
ko:K02316	hex:HPF57_0010
ko:K02314	hex:HPF57_0038
ko:K00558	hex:HPF57_0061
ko:K03553	hex:HPF57_0173
ko:K00558	hex:HPF57_1084
ko:K01185	hex:HPF57_0391
ko:K00558	hex:HPF57_0406
ko:K06223	hex:HPF57_0510
ko:K06223	hex:HPF57_0511
ko:K00558	hex:HPF57_0513
ko:K03465	hex:HPF57_1445
ko:K02483	hex:HPF57_0035
ko:K00526	hex:HPF57_1052
ko:K02481	hex:HPF57_0727
ko:K01139	hex:HPF57_0797
ko:K07097	hex:HPF57_0457
ko:K10026	hex:HPF57_0942
ko:K21929	hex:HPF57_0673
ko:K03595	hex:HPF57_0547
ko:K22278	hex:HPF57_0364
ko:K14441	hex:HPF57_0753
ko:K22391	hex:HPF57_0968
ko:K17758	hex:HPF57_0037
ko:K17759	hex:HPF57_0037
ko:K00571	hex:HPF57_0049
ko:K01007	hex:HPF57_0117
