ko:K01985	sths:AVT04_03020
ko:K06178	sths:AVT04_03505
ko:K06024	sths:AVT04_03510
ko:K05896	sths:AVT04_03515
ko:K07095	sths:AVT04_03530
ko:K02428	sths:AVT04_03535
ko:K01776	sths:AVT04_03540
ko:K09976	sths:AVT04_03545
ko:K01586	sths:AVT04_03555
ko:K06890	sths:AVT04_03570
ko:K06950	sths:AVT04_03575
ko:K03437	sths:AVT04_03580
ko:K01512	sths:AVT04_03585
ko:K03217	sths:AVT04_03590
ko:K07497	sths:AVT04_03595
ko:K04564	sths:AVT04_01330
ko:K02340	sths:AVT04_01335
ko:K01595	sths:AVT04_01340
ko:K03799	sths:AVT04_01355
ko:K03744	sths:AVT04_01360
ko:K15051	sths:AVT04_01365
ko:K03427	sths:AVT04_01375
ko:K00648	sths:AVT04_02935
ko:K01154	sths:AVT04_01390
ko:K01153	sths:AVT04_01405
ko:K07273	sths:AVT04_01435
ko:K03976	sths:AVT04_01440
ko:K07025	sths:AVT04_01450
ko:K04567	sths:AVT04_01470
ko:K03574	sths:AVT04_01525
ko:K03322	sths:AVT04_01535
ko:K03523	sths:AVT04_01550
ko:K08303	sths:AVT04_01555
ko:K13292	sths:AVT04_01580
ko:K06023	sths:AVT04_01585
ko:K03095	sths:AVT04_01595
ko:K06959	sths:AVT04_01600
ko:K07089	sths:AVT04_01605
ko:K08986	sths:AVT04_01610
ko:K09951	sths:AVT04_01620
ko:K15342	sths:AVT04_01625
ko:K09952	sths:AVT04_01630
ko:K07318	sths:AVT04_01645
ko:K03215	sths:AVT04_01660
ko:K11041	sths:AVT04_01675
ko:K04518	sths:AVT04_01685
ko:K00891	sths:AVT04_01690
ko:K00800	sths:AVT04_01695
ko:K00016	sths:AVT04_01700
ko:K04517	sths:AVT04_01710
ko:K01736	sths:AVT04_01715
ko:K01735	sths:AVT04_01720
ko:K00014	sths:AVT04_01725
ko:K03785	sths:AVT04_01730
ko:K06969	sths:AVT04_01735
ko:K19005	sths:AVT04_01740
ko:K01689	sths:AVT04_01745
ko:K00865	sths:AVT04_01755
ko:K02529	sths:AVT04_01765
ko:K07570	sths:AVT04_01775
ko:K03768	sths:AVT04_01780
ko:K03664	sths:AVT04_01785
ko:K12573	sths:AVT04_01790
ko:K03075	sths:AVT04_01795
ko:K00859	sths:AVT04_01805
ko:K10563	sths:AVT04_01810
ko:K00887	sths:AVT04_01820
ko:K07042	sths:AVT04_01825
ko:K03488	sths:AVT04_01830
ko:K03488	sths:AVT04_01835
ko:K06187	sths:AVT04_01840
ko:K00687	sths:AVT04_01845
ko:K01491	sths:AVT04_01855
ko:K04759	sths:AVT04_01870
ko:K04758	sths:AVT04_01875
ko:K02028	sths:AVT04_01880
ko:K02029	sths:AVT04_01885
ko:K00611	sths:AVT04_01895
ko:K03697	sths:AVT04_01900
ko:K03574	sths:AVT04_01905
ko:K12554	sths:AVT04_01930
ko:K02945	sths:AVT04_01960
ko:K00826	sths:AVT04_01980
ko:K02621	sths:AVT04_01985
ko:K02622	sths:AVT04_01990
ko:K08591	sths:AVT04_01995
ko:K00547	sths:AVT04_02010
ko:K16235	sths:AVT04_02015
ko:K03978	sths:AVT04_02020
ko:K03544	sths:AVT04_02025
ko:K00287	sths:AVT04_02030
ko:K00560	sths:AVT04_02035
ko:K01641	sths:AVT04_02040
ko:K00054	sths:AVT04_02045
ko:K11068	sths:AVT04_02050
ko:K01868	sths:AVT04_02070
ko:K19002	sths:AVT04_02080
ko:K13677	sths:AVT04_02085
ko:K01243	sths:AVT04_02100
ko:K01515	sths:AVT04_02110
ko:K04042	sths:AVT04_02115
ko:K01823	sths:AVT04_02120
ko:K00938	sths:AVT04_02125
ko:K01597	sths:AVT04_02130
ko:K00869	sths:AVT04_02135
ko:K09962	sths:AVT04_02140
ko:K00259	sths:AVT04_02150
ko:K06183	sths:AVT04_02165
ko:K07729	sths:AVT04_02185
ko:K07146	sths:AVT04_02190
ko:K01992	sths:AVT04_02195
ko:K01990	sths:AVT04_02200
ko:K02564	sths:AVT04_02220
ko:K07568	sths:AVT04_02225
ko:K18888	sths:AVT04_02230
ko:K18887	sths:AVT04_02235
ko:K02935	sths:AVT04_02240
ko:K02864	sths:AVT04_02245
ko:K02004	sths:AVT04_02250
ko:K02004	sths:AVT04_02255
ko:K02004	sths:AVT04_02265
ko:K01955	sths:AVT04_02285
ko:K01956	sths:AVT04_02290
ko:K00609	sths:AVT04_02295
ko:K02824	sths:AVT04_02300
ko:K02825	sths:AVT04_02305
ko:K06180	sths:AVT04_02310
ko:K03101	sths:AVT04_02315
ko:K03767	sths:AVT04_02345
ko:K03293	sths:AVT04_02365
ko:K01878	sths:AVT04_02380
ko:K01443	sths:AVT04_02400
ko:K04751	sths:AVT04_02425
ko:K03320	sths:AVT04_02430
ko:K07056	sths:AVT04_02435
ko:K02341	sths:AVT04_02450
ko:K00943	sths:AVT04_02455
ko:K01803	sths:AVT04_02460
ko:K02358	sths:AVT04_02465
ko:K03588	sths:AVT04_02470
ko:K02114	sths:AVT04_02475
ko:K02112	sths:AVT04_02480
ko:K02115	sths:AVT04_02485
ko:K03647	sths:AVT04_04055
ko:K01119	sths:AVT04_04060
ko:K01119	sths:AVT04_04065
ko:K09761	sths:AVT04_04080
ko:K02687	sths:AVT04_04085
ko:K01937	sths:AVT04_04100
ko:K03048	sths:AVT04_04105
ko:K03545	sths:AVT04_04110
ko:K12296	sths:AVT04_04120
ko:K00574	sths:AVT04_04130
ko:K00962	sths:AVT04_04445
ko:K07258	sths:AVT04_04450
ko:K03696	sths:AVT04_04460
ko:K03708	sths:AVT04_04465
ko:K02357	sths:AVT04_04475
ko:K02967	sths:AVT04_04480
ko:K07497	sths:AVT04_04505
ko:K19689	sths:AVT04_04525
ko:K03763	sths:AVT04_04530
ko:K03553	sths:AVT04_04620
ko:K03742	sths:AVT04_04625
ko:K03550	sths:AVT04_04635
ko:K03572	sths:AVT04_04645
ko:K03555	sths:AVT04_04665
ko:K03402	sths:AVT04_04675
ko:K01887	sths:AVT04_04680
ko:K01756	sths:AVT04_04685
ko:K01589	sths:AVT04_04700
ko:K01588	sths:AVT04_04705
ko:K01945	sths:AVT04_04710
ko:K04771	sths:AVT04_05005
ko:K00783	sths:AVT04_05010
ko:K01867	sths:AVT04_05050
ko:K00088	sths:AVT04_05055
ko:K03629	sths:AVT04_05060
ko:K00995	sths:AVT04_05085
ko:K16786	sths:AVT04_05090
ko:K16787	sths:AVT04_05095
ko:K16785	sths:AVT04_05100
ko:K00566	sths:AVT04_05120
ko:K03495	sths:AVT04_05125
ko:K02939	sths:AVT04_05135
ko:K02314	sths:AVT04_05140
ko:K02986	sths:AVT04_05150
ko:K08987	sths:AVT04_05155
ko:K01421	sths:AVT04_05165
ko:K02913	sths:AVT04_05235
ko:K02911	sths:AVT04_05240
ko:K01892	sths:AVT04_05255
ko:K01876	sths:AVT04_05265
ko:K09861	sths:AVT04_05275
ko:K04068	sths:AVT04_05280
ko:K02879	sths:AVT04_05565
ko:K01624	sths:AVT04_05600
ko:K03486	sths:AVT04_05630
ko:K03486	sths:AVT04_05635
ko:K01226	sths:AVT04_05645
ko:K07386	sths:AVT04_05655
ko:K04072	sths:AVT04_05660
ko:K04072	sths:AVT04_05670
ko:K04072	sths:AVT04_05680
ko:K01733	sths:AVT04_05690
ko:K07030	sths:AVT04_05705
ko:K01687	sths:AVT04_05710
ko:K01652	sths:AVT04_05715
ko:K01653	sths:AVT04_05720
ko:K00053	sths:AVT04_05725
ko:K01866	sths:AVT04_05730
ko:K03693	sths:AVT04_05735
ko:K03043	sths:AVT04_05740
ko:K03046	sths:AVT04_05745
ko:K02243	sths:AVT04_05755
ko:K02244	sths:AVT04_05760
ko:K02245	sths:AVT04_05765
ko:K02246	sths:AVT04_05770
ko:K02248	sths:AVT04_05780
ko:K07729	sths:AVT04_05800
ko:K07052	sths:AVT04_05815
ko:K00286	sths:AVT04_05820
ko:K01261	sths:AVT04_05825
ko:K06878	sths:AVT04_05840
ko:K07112	sths:AVT04_05845
ko:K03111	sths:AVT04_05855
ko:K02036	sths:AVT04_00160
ko:K02038	sths:AVT04_00165
ko:K02037	sths:AVT04_00170
ko:K02040	sths:AVT04_00175
ko:K01092	sths:AVT04_00185
ko:K16509	sths:AVT04_00195
ko:K11753	sths:AVT04_00200
ko:K03177	sths:AVT04_00205
ko:K03427	sths:AVT04_00775
ko:K05340	sths:AVT04_00785
ko:K01154	sths:AVT04_00800
ko:K01154	sths:AVT04_00805
ko:K01760	sths:AVT04_00820
ko:K01738	sths:AVT04_00825
ko:K01533	sths:AVT04_00840
ko:K03704	sths:AVT04_00850
ko:K03704	sths:AVT04_00855
ko:K08659	sths:AVT04_00860
ko:K09762	sths:AVT04_00870
ko:K06958	sths:AVT04_00880
ko:K09457	sths:AVT04_00895
ko:K10026	sths:AVT04_00900
ko:K01737	sths:AVT04_00905
ko:K06920	sths:AVT04_00910
ko:K01893	sths:AVT04_00940
ko:K03722	sths:AVT04_00955
ko:K02057	sths:AVT04_00965
ko:K02057	sths:AVT04_00970
ko:K02056	sths:AVT04_00975
ko:K07335	sths:AVT04_00980
ko:K00564	sths:AVT04_01005
ko:K00867	sths:AVT04_01010
ko:K02968	sths:AVT04_01015
ko:K14982	sths:AVT04_01030
ko:K01938	sths:AVT04_01050
ko:K00951	sths:AVT04_04050
ko:K02068	sths:AVT04_06690
ko:K21977	sths:AVT04_01055
ko:K22044	sths:AVT04_04115
ko:K01071	sths:AVT04_08665
ko:K14236	sths:AVT04_01970
ko:K03595	sths:AVT04_01815
ko:K17758	sths:AVT04_01850
ko:K13566	sths:AVT04_02585
ko:K22441	sths:AVT04_08405
ko:K22457	sths:AVT04_00945
