ko:K02028	kpp:A79E_2147
ko:K06041	kpp:A79E_0506
ko:K07301	kpp:A79E_0507
ko:K02065	kpp:A79E_0508
ko:K02066	kpp:A79E_0509
ko:K07323	kpp:A79E_0511
ko:K00790	kpp:A79E_0513
ko:K02523	kpp:A79E_0515
ko:K02899	kpp:A79E_0516
ko:K03979	kpp:A79E_0518
ko:K07259	kpp:A79E_0519
ko:K03624	kpp:A79E_0520
ko:K07574	kpp:A79E_0521
ko:K03798	kpp:A79E_0523
ko:K03075	kpp:A79E_0525
ko:K01940	kpp:A79E_0531
ko:K09748	kpp:A79E_0534
ko:K02600	kpp:A79E_0535
ko:K02519	kpp:A79E_0536
ko:K02834	kpp:A79E_0537
ko:K02956	kpp:A79E_0539
ko:K00962	kpp:A79E_0541
ko:K05803	kpp:A79E_0542
ko:K05592	kpp:A79E_0543
ko:K03835	kpp:A79E_0544
ko:K07261	kpp:A79E_1382
ko:K07090	kpp:A79E_1383
ko:K09906	kpp:A79E_1384
ko:K15461	kpp:A79E_1386
ko:K03473	kpp:A79E_1390
ko:K06173	kpp:A79E_1392
ko:K03975	kpp:A79E_1393
ko:K01963	kpp:A79E_1394
ko:K11754	kpp:A79E_1395
ko:K03749	kpp:A79E_1396
ko:K03558	kpp:A79E_1397
ko:K00764	kpp:A79E_1398
ko:K03186	kpp:A79E_1399
ko:K10013	kpp:A79E_1401
ko:K10016	kpp:A79E_1403
ko:K10015	kpp:A79E_1404
ko:K10017	kpp:A79E_1405
ko:K07071	kpp:A79E_1408
ko:K07589	kpp:A79E_1409
ko:K07095	kpp:A79E_1412
ko:K13788	kpp:A79E_1414
ko:K00925	kpp:A79E_1415
ko:K09899	kpp:A79E_1416
ko:K09161	kpp:A79E_1417
ko:K14260	kpp:A79E_1421
ko:K00330	kpp:A79E_1424
ko:K00331	kpp:A79E_1425
ko:K13378	kpp:A79E_1426
ko:K00334	kpp:A79E_1427
ko:K00337	kpp:A79E_1430
ko:K00338	kpp:A79E_1431
ko:K00339	kpp:A79E_1432
ko:K00340	kpp:A79E_1433
ko:K00341	kpp:A79E_1434
ko:K00342	kpp:A79E_1435
ko:K00343	kpp:A79E_1436
ko:K01223	kpp:A79E_2287
ko:K12262	kpp:A79E_2294
ko:K05358	kpp:A79E_2297
ko:K00448	kpp:A79E_2299
ko:K00449	kpp:A79E_2300
ko:K03817	kpp:A79E_2305
ko:K03304	kpp:A79E_2307
ko:K05782	kpp:A79E_2311
ko:K08303	kpp:A79E_2313
ko:K00426	kpp:A79E_2317
ko:K00425	kpp:A79E_2318
ko:K02053	kpp:A79E_2323
ko:K00137	kpp:A79E_2324
ko:K09936	kpp:A79E_2333
ko:K03823	kpp:A79E_2334
ko:K12972	kpp:A79E_3176
ko:K06911	kpp:A79E_3179
ko:K16301	kpp:A79E_3184
ko:K07224	kpp:A79E_3185
ko:K07243	kpp:A79E_3186
ko:K13821	kpp:A79E_3191
ko:K09018	kpp:A79E_3194
ko:K09021	kpp:A79E_3196
ko:K09023	kpp:A79E_3197
ko:K09019	kpp:A79E_3198
ko:K09024	kpp:A79E_3199
ko:K09016	kpp:A79E_3200
ko:K03809	kpp:A79E_3204
ko:K01085	kpp:A79E_3206
ko:K07124	kpp:A79E_3208
ko:K14052	kpp:A79E_3211
ko:K09470	kpp:A79E_3212
ko:K09473	kpp:A79E_3213
ko:K14056	kpp:A79E_3214
ko:K16135	kpp:A79E_3217
ko:K07246	kpp:A79E_3218
ko:K08483	kpp:A79E_3223
ko:K11189	kpp:A79E_3223
ko:K11201	kpp:A79E_3223
ko:K11203	kpp:A79E_3224
ko:K11202	kpp:A79E_3225
ko:K00656	kpp:A79E_3226
ko:K02346	kpp:A79E_4043
ko:K05952	kpp:A79E_4045
ko:K00351	kpp:A79E_4046
ko:K00350	kpp:A79E_4047
ko:K00349	kpp:A79E_4048
ko:K00348	kpp:A79E_4049
ko:K00347	kpp:A79E_4050
ko:K00346	kpp:A79E_4051
ko:K03271	kpp:A79E_4054
ko:K11249	kpp:A79E_4057
ko:K08307	kpp:A79E_4064
ko:K06222	kpp:A79E_4069
ko:K03273	kpp:A79E_4076
ko:K02071	kpp:A79E_4077
ko:K02072	kpp:A79E_4078
ko:K02073	kpp:A79E_4079
ko:K06080	kpp:A79E_4080
ko:K01881	kpp:A79E_4082
ko:K06079	kpp:A79E_4084
ko:K15034	kpp:A79E_4085
ko:K04075	kpp:A79E_4089
ko:K01962	kpp:A79E_4092
ko:K02337	kpp:A79E_4093
ko:K03470	kpp:A79E_4094
ko:K00748	kpp:A79E_4095
ko:K00322	kpp:A79E_4937
ko:K04761	kpp:A79E_4938
ko:K01755	kpp:A79E_4939
ko:K00930	kpp:A79E_4940
ko:K00145	kpp:A79E_4941
ko:K01438	kpp:A79E_4942
ko:K01595	kpp:A79E_4943
ko:K00005	kpp:A79E_4947
ko:K00297	kpp:A79E_4949
ko:K12525	kpp:A79E_4954
ko:K03764	kpp:A79E_4956
ko:K02909	kpp:A79E_4957
ko:K04066	kpp:A79E_4958
ko:K03591	kpp:A79E_4960
ko:K01419	kpp:A79E_4961
ko:K03667	kpp:A79E_4962
ko:K02548	kpp:A79E_4963
ko:K02553	kpp:A79E_4964
ko:K00850	kpp:A79E_4965
ko:K06006	kpp:A79E_4967
ko:K04564	kpp:A79E_4970
ko:K02856	kpp:A79E_4971
ko:K02854	kpp:A79E_4972
ko:K00848	kpp:A79E_4974
ko:K10559	kpp:A79E_4977
ko:K10560	kpp:A79E_4979
ko:K03534	kpp:A79E_4982
ko:K02532	kpp:A79E_4983
ko:K07407	kpp:A79E_4984
ko:K02529	kpp:A79E_4985
ko:K08303	kpp:A79E_0547
ko:K03824	kpp:A79E_0549
ko:K07461	kpp:A79E_0550
ko:K09979	kpp:A79E_0551
ko:K05520	kpp:A79E_0552
ko:K07089	kpp:A79E_0554
ko:K07460	kpp:A79E_0557
ko:K07121	kpp:A79E_0558
ko:K07056	kpp:A79E_0559
ko:K02774	kpp:A79E_0564
ko:K02773	kpp:A79E_0565
ko:K02769	kpp:A79E_0568
ko:K02770	kpp:A79E_0568
ko:K12299	kpp:A79E_0576
ko:K00865	kpp:A79E_0579
ko:K06911	kpp:A79E_0584
ko:K15977	kpp:A79E_0588
ko:K08191	kpp:A79E_0596
ko:K01812	kpp:A79E_0597
ko:K01685	kpp:A79E_0598
ko:K07862	kpp:A79E_0600
ko:K02551	kpp:A79E_1440
ko:K01661	kpp:A79E_1442
ko:K01911	kpp:A79E_1444
ko:K12661	kpp:A79E_1451
ko:K12660	kpp:A79E_1453
ko:K00113	kpp:A79E_1454
ko:K00112	kpp:A79E_1455
ko:K00111	kpp:A79E_1456
ko:K02445	kpp:A79E_1457
ko:K01126	kpp:A79E_1458
ko:K11107	kpp:A79E_1459
ko:K02469	kpp:A79E_1463
ko:K07677	kpp:A79E_1464
ko:K07687	kpp:A79E_1465
ko:K07676	kpp:A79E_1466
ko:K09475	kpp:A79E_1467
ko:K03734	kpp:A79E_1468
ko:K10778	kpp:A79E_1469
ko:K03919	kpp:A79E_1470
ko:K06159	kpp:A79E_1471
ko:K06213	kpp:A79E_1472
ko:K00116	kpp:A79E_1474
ko:K08276	kpp:A79E_1475
ko:K07014	kpp:A79E_1478
ko:K09904	kpp:A79E_1479
ko:K06899	kpp:A79E_1480
ko:K02897	kpp:A79E_1485
ko:K07552	kpp:A79E_1488
ko:K13896	kpp:A79E_1490
ko:K13895	kpp:A79E_1491
ko:K11738	kpp:A79E_2344
ko:K02029	kpp:A79E_2352
ko:K11208	kpp:A79E_2355
ko:K01821	kpp:A79E_2356
ko:K02012	kpp:A79E_2359
ko:K02011	kpp:A79E_2360
ko:K00675	kpp:A79E_2361
ko:K02575	kpp:A79E_2366
ko:K02624	kpp:A79E_2369
ko:K03464	kpp:A79E_2371
ko:K03381	kpp:A79E_2372
ko:K05549	kpp:A79E_2373
ko:K05550	kpp:A79E_2374
ko:K05784	kpp:A79E_2375
ko:K05783	kpp:A79E_2376
ko:K08349	kpp:A79E_2379
ko:K02972	kpp:A79E_2385
ko:K04069	kpp:A79E_3227
ko:K11202	kpp:A79E_3228
ko:K02011	kpp:A79E_3234
ko:K02012	kpp:A79E_3235
ko:K00688	kpp:A79E_3238
ko:K15580	kpp:A79E_3240
ko:K01512	kpp:A79E_3243
ko:K06969	kpp:A79E_3246
ko:K11940	kpp:A79E_3247
ko:K06929	kpp:A79E_3248
ko:K01734	kpp:A79E_3249
ko:K03658	kpp:A79E_3250
ko:K09911	kpp:A79E_3257
ko:K04770	kpp:A79E_3258
ko:K01716	kpp:A79E_3259
ko:K09857	kpp:A79E_3260
ko:K06192	kpp:A79E_3261
ko:K03808	kpp:A79E_3262
ko:K15738	kpp:A79E_3263
ko:K12297	kpp:A79E_3264
ko:K07140	kpp:A79E_3265
ko:K00299	kpp:A79E_3268
ko:K15553	kpp:A79E_3269
ko:K15554	kpp:A79E_3271
ko:K01256	kpp:A79E_3273
ko:K00763	kpp:A79E_3274
ko:K03837	kpp:A79E_3277
ko:K01751	kpp:A79E_3278
ko:K01893	kpp:A79E_3280
ko:K00677	kpp:A79E_4096
ko:K02372	kpp:A79E_4097
ko:K02536	kpp:A79E_4098
ko:K06142	kpp:A79E_4099
ko:K07277	kpp:A79E_4100
ko:K11749	kpp:A79E_4101
ko:K00981	kpp:A79E_4102
ko:K00806	kpp:A79E_4103
ko:K00099	kpp:A79E_4104
ko:K02838	kpp:A79E_4105
ko:K09903	kpp:A79E_4106
ko:K02357	kpp:A79E_4107
ko:K02967	kpp:A79E_4108
ko:K01265	kpp:A79E_4109
ko:K00990	kpp:A79E_4110
ko:K02647	kpp:A79E_4113
ko:K01129	kpp:A79E_4115
ko:K15724	kpp:A79E_4119
ko:K03281	kpp:A79E_4120
ko:K16234	kpp:A79E_3445
ko:K01845	kpp:A79E_4121
ko:K02015	kpp:A79E_4122
ko:K02016	kpp:A79E_4123
ko:K02013	kpp:A79E_4124
ko:K05365	kpp:A79E_4127
ko:K02465	kpp:A79E_4129
ko:K02451	kpp:A79E_4130
ko:K02452	kpp:A79E_4135
ko:K02453	kpp:A79E_4136
ko:K02455	kpp:A79E_4138
ko:K02456	kpp:A79E_4139
ko:K02457	kpp:A79E_4140
ko:K02458	kpp:A79E_4141
ko:K02459	kpp:A79E_4142
ko:K02460	kpp:A79E_4143
ko:K02461	kpp:A79E_4144
ko:K02462	kpp:A79E_4145
ko:K03579	kpp:A79E_4148
ko:K01975	kpp:A79E_4149
ko:K01624	kpp:A79E_4992
ko:K00850	kpp:A79E_4995
ko:K02379	kpp:A79E_4997
ko:K00123	kpp:A79E_4998
ko:K02380	kpp:A79E_5001
ko:K07560	kpp:A79E_5006
ko:K07058	kpp:A79E_5007
ko:K06207	kpp:A79E_5009
ko:K01915	kpp:A79E_5011
ko:K07708	kpp:A79E_5012
ko:K07712	kpp:A79E_5013
ko:K09894	kpp:A79E_5015
ko:K03978	kpp:A79E_5016
ko:K03673	kpp:A79E_5020
ko:K09896	kpp:A79E_5022
ko:K03752	kpp:A79E_5023
ko:K03753	kpp:A79E_5024
ko:K02529	kpp:A79E_5032
ko:K10441	kpp:A79E_5036
ko:K06726	kpp:A79E_5037
ko:K03549	kpp:A79E_5038
ko:K03924	kpp:A79E_5039
ko:K01914	kpp:A79E_5041
ko:K06205	kpp:A79E_5043
ko:K03495	kpp:A79E_5044
ko:K07043	kpp:A79E_0603
ko:K11216	kpp:A79E_0608
ko:K11531	kpp:A79E_0609
ko:K10558	kpp:A79E_0610
ko:K10556	kpp:A79E_0611
ko:K10557	kpp:A79E_0612
ko:K10555	kpp:A79E_0613
ko:K08321	kpp:A79E_0614
ko:K07229	kpp:A79E_0618
ko:K05881	kpp:A79E_0620
ko:K05879	kpp:A79E_0621
ko:K00005	kpp:A79E_0623
ko:K05880	kpp:A79E_0624
ko:K02440	kpp:A79E_0633
ko:K07679	kpp:A79E_0637
ko:K07690	kpp:A79E_0638
ko:K03086	kpp:A79E_0644
ko:K02970	kpp:A79E_0646
ko:K03189	kpp:A79E_0649
ko:K03188	kpp:A79E_0650
ko:K03187	kpp:A79E_0651
ko:K01428	kpp:A79E_0652
ko:K01429	kpp:A79E_0653
ko:K01430	kpp:A79E_0654
ko:K03190	kpp:A79E_0655
ko:K13894	kpp:A79E_1492
ko:K13893	kpp:A79E_1493
ko:K13694	kpp:A79E_1495
ko:K01686	kpp:A79E_1499
ko:K02356	kpp:A79E_1500
ko:K06940	kpp:A79E_1501
ko:K03291	kpp:A79E_1502
ko:K02768	kpp:A79E_1503
ko:K11183	kpp:A79E_1503
ko:K02769	kpp:A79E_1505
ko:K02770	kpp:A79E_1505
ko:K01151	kpp:A79E_1506
ko:K11733	kpp:A79E_1509
ko:K16089	kpp:A79E_1510
ko:K01070	kpp:A79E_1511
ko:K01495	kpp:A79E_1512
ko:K07148	kpp:A79E_1513
ko:K02529	kpp:A79E_1514
ko:K10542	kpp:A79E_1517
ko:K05541	kpp:A79E_1523
ko:K07267	kpp:A79E_1524
ko:K01223	kpp:A79E_1527
ko:K07262	kpp:A79E_1532
ko:K05349	kpp:A79E_1534
ko:K05845	kpp:A79E_1535
ko:K05846	kpp:A79E_1536
ko:K05847	kpp:A79E_1537
ko:K05846	kpp:A79E_1538
ko:K02478	kpp:A79E_1540
ko:K01874	kpp:A79E_1543
ko:K05343	kpp:A79E_2394
ko:K02760	kpp:A79E_2412
ko:K02759	kpp:A79E_2413
ko:K08369	kpp:A79E_2414
ko:K07507	kpp:A79E_2415
ko:K06916	kpp:A79E_2416
ko:K03782	kpp:A79E_2417
ko:K09936	kpp:A79E_2419
ko:K09936	kpp:A79E_2420
ko:K05515	kpp:A79E_2421
ko:K06139	kpp:A79E_2423
ko:K06138	kpp:A79E_2424
ko:K06137	kpp:A79E_2425
ko:K06136	kpp:A79E_2426
ko:K01273	kpp:A79E_2427
ko:K13745	kpp:A79E_2433
ko:K00836	kpp:A79E_2434
ko:K15598	kpp:A79E_2435
ko:K03707	kpp:A79E_2438
ko:K03335	kpp:A79E_2441
ko:K02529	kpp:A79E_2442
ko:K03632	kpp:A79E_3287
ko:K03804	kpp:A79E_3288
ko:K03633	kpp:A79E_3289
ko:K06219	kpp:A79E_3290
ko:K00979	kpp:A79E_3293
ko:K09791	kpp:A79E_3294
ko:K09927	kpp:A79E_3295
ko:K00912	kpp:A79E_3296
ko:K05788	kpp:A79E_3299
ko:K02945	kpp:A79E_3300
ko:K00945	kpp:A79E_3301
ko:K00800	kpp:A79E_3302
ko:K00831	kpp:A79E_3303
ko:K09136	kpp:A79E_3305
ko:K00656	kpp:A79E_3307
ko:K04069	kpp:A79E_3308
ko:K08219	kpp:A79E_3309
ko:K07306	kpp:A79E_3313
ko:K01875	kpp:A79E_3314
ko:K07478	kpp:A79E_3315
ko:K03634	kpp:A79E_3316
ko:K03466	kpp:A79E_3317
ko:K00384	kpp:A79E_3319
ko:K00684	kpp:A79E_3322
ko:K02518	kpp:A79E_3323
ko:K03694	kpp:A79E_3324
ko:K06891	kpp:A79E_3325
ko:K03704	kpp:A79E_3326
ko:K05685	kpp:A79E_3327
ko:K13888	kpp:A79E_3328
ko:K06188	kpp:A79E_3330
ko:K11933	kpp:A79E_3334
ko:K15977	kpp:A79E_3335
ko:K06206	kpp:A79E_4150
ko:K06204	kpp:A79E_4151
ko:K01894	kpp:A79E_4152
ko:K02338	kpp:A79E_0002
ko:K00950	kpp:A79E_4154
ko:K00606	kpp:A79E_4155
ko:K01918	kpp:A79E_4156
ko:K01579	kpp:A79E_4157
ko:K01673	kpp:A79E_4162
ko:K00760	kpp:A79E_4163
ko:K00117	kpp:A79E_4164
ko:K14588	kpp:A79E_4165
ko:K00797	kpp:A79E_4171
ko:K01611	kpp:A79E_4172
ko:K09910	kpp:A79E_4173
ko:K01682	kpp:A79E_4174
ko:K00382	kpp:A79E_4178
ko:K00627	kpp:A79E_4179
ko:K00163	kpp:A79E_4180
ko:K11734	kpp:A79E_4183
ko:K03807	kpp:A79E_4186
ko:K03806	kpp:A79E_4187
ko:K00767	kpp:A79E_4188
ko:K02682	kpp:A79E_4189
ko:K02504	kpp:A79E_4190
ko:K02505	kpp:A79E_4191
ko:K00364	kpp:A79E_4192
ko:K00859	kpp:A79E_4193
ko:K09862	kpp:A79E_4195
ko:K03070	kpp:A79E_4197
ko:K13301	kpp:A79E_4198
ko:K02535	kpp:A79E_4199
ko:K03531	kpp:A79E_4201
ko:K03590	kpp:A79E_4202
ko:K03589	kpp:A79E_4203
ko:K01921	kpp:A79E_4204
ko:K01924	kpp:A79E_4205
ko:K03501	kpp:A79E_5045
ko:K02108	kpp:A79E_5047
ko:K02110	kpp:A79E_5048
ko:K02109	kpp:A79E_5049
ko:K02113	kpp:A79E_5050
ko:K02111	kpp:A79E_5051
ko:K02115	kpp:A79E_5052
ko:K02112	kpp:A79E_5053
ko:K02114	kpp:A79E_5054
ko:K04042	kpp:A79E_5057
ko:K00820	kpp:A79E_5058
ko:K02040	kpp:A79E_5059
ko:K02037	kpp:A79E_5060
ko:K02038	kpp:A79E_5061
ko:K02036	kpp:A79E_5062
ko:K02039	kpp:A79E_5063
ko:K10124	kpp:A79E_5064
ko:K06901	kpp:A79E_5069
ko:K08163	kpp:A79E_5073
ko:K03650	kpp:A79E_5075
ko:K03217	kpp:A79E_5076
ko:K03536	kpp:A79E_5077
ko:K02914	kpp:A79E_5078
ko:K08591	kpp:A79E_0658
ko:K01633	kpp:A79E_0659
ko:K06153	kpp:A79E_0660
ko:K00982	kpp:A79E_0663
ko:K03272	kpp:A79E_0664
ko:K07238	kpp:A79E_0669
ko:K12340	kpp:A79E_0673
ko:K09920	kpp:A79E_0675
ko:K03651	kpp:A79E_0676
ko:K07000	kpp:A79E_0677
ko:K02622	kpp:A79E_0678
ko:K03923	kpp:A79E_0680
ko:K13652	kpp:A79E_0684
ko:K02621	kpp:A79E_0685
ko:K00655	kpp:A79E_0686
ko:K08325	kpp:A79E_0691
ko:K03561	kpp:A79E_0696
ko:K01061	kpp:A79E_0701
ko:K01460	kpp:A79E_0706
ko:K01697	kpp:A79E_0713
ko:K06901	kpp:A79E_1549
ko:K01486	kpp:A79E_1550
ko:K00878	kpp:A79E_1556
ko:K00941	kpp:A79E_1557
ko:K00039	kpp:A79E_1561
ko:K03435	kpp:A79E_1562
ko:K00007	kpp:A79E_1564
ko:K02034	kpp:A79E_1571
ko:K08303	kpp:A79E_1575
ko:K07664	kpp:A79E_1576
ko:K07642	kpp:A79E_1577
ko:K07789	kpp:A79E_1579
ko:K07788	kpp:A79E_1580
ko:K07799	kpp:A79E_1581
ko:K04046	kpp:A79E_1587
ko:K01247	kpp:A79E_1588
ko:K00876	kpp:A79E_1589
ko:K01494	kpp:A79E_1590
ko:K07289	kpp:A79E_1591
ko:K00963	kpp:A79E_1593
ko:K01991	kpp:A79E_1596
ko:K01711	kpp:A79E_1602
ko:K02377	kpp:A79E_1603
ko:K07090	kpp:A79E_2449
ko:K01951	kpp:A79E_2452
ko:K09458	kpp:A79E_2457
ko:K03543	kpp:A79E_2459
ko:K00133	kpp:A79E_2461
ko:K02029	kpp:A79E_2469
ko:K02029	kpp:A79E_2470
ko:K02083	kpp:A79E_2473
ko:K00156	kpp:A79E_3336
ko:K01620	kpp:A79E_3337
ko:K11066	kpp:A79E_3340
ko:K09997	kpp:A79E_3344
ko:K09999	kpp:A79E_3345
ko:K03212	kpp:A79E_3349
ko:K11074	kpp:A79E_3351
ko:K11075	kpp:A79E_3352
ko:K11076	kpp:A79E_3353
ko:K11073	kpp:A79E_3354
ko:K07085	kpp:A79E_3361
ko:K08160	kpp:A79E_3365
ko:K11534	kpp:A79E_3367
ko:K14441	kpp:A79E_3374
ko:K13891	kpp:A79E_3375
ko:K13890	kpp:A79E_3376
ko:K13889	kpp:A79E_3377
ko:K13892	kpp:A79E_3378
ko:K13051	kpp:A79E_3379
ko:K03750	kpp:A79E_3380
ko:K04069	kpp:A79E_3382
ko:K00656	kpp:A79E_3383
ko:K08191	kpp:A79E_3387
ko:K02563	kpp:A79E_4207
ko:K03588	kpp:A79E_4208
ko:K01925	kpp:A79E_4209
ko:K01000	kpp:A79E_4210
ko:K01929	kpp:A79E_4211
ko:K01928	kpp:A79E_4212
ko:K03587	kpp:A79E_4213
ko:K03586	kpp:A79E_4214
ko:K03438	kpp:A79E_4215
ko:K03925	kpp:A79E_4216
ko:K03435	kpp:A79E_4217
ko:K01653	kpp:A79E_4218
ko:K01652	kpp:A79E_4219
ko:K05798	kpp:A79E_4220
ko:K01649	kpp:A79E_4221
ko:K00052	kpp:A79E_4222
ko:K01703	kpp:A79E_4223
ko:K01704	kpp:A79E_4224
ko:K00014	kpp:A79E_4226
ko:K03785	kpp:A79E_4228
ko:K03291	kpp:A79E_4231
ko:K11925	kpp:A79E_4232
ko:K02064	kpp:A79E_4233
ko:K02063	kpp:A79E_4234
ko:K02062	kpp:A79E_4235
ko:K01804	kpp:A79E_4240
ko:K02336	kpp:A79E_4242
ko:K03580	kpp:A79E_4243
ko:K05964	kpp:A79E_4245
ko:K07700	kpp:A79E_4247
ko:K07702	kpp:A79E_4248
ko:K05801	kpp:A79E_4249
ko:K04744	kpp:A79E_4250
ko:K03771	kpp:A79E_4251
ko:K00097	kpp:A79E_4252
ko:K02528	kpp:A79E_4253
ko:K06195	kpp:A79E_4254
ko:K11746	kpp:A79E_4258
ko:K01955	kpp:A79E_4260
ko:K01956	kpp:A79E_4261
ko:K07150	kpp:A79E_0718
ko:K01581	kpp:A79E_0719
ko:K08306	kpp:A79E_0721
ko:K03575	kpp:A79E_0722
ko:K03439	kpp:A79E_0723
ko:K09923	kpp:A79E_0724
ko:K09131	kpp:A79E_0731
ko:K02221	kpp:A79E_0732
ko:K06997	kpp:A79E_0733
ko:K02669	kpp:A79E_0734
ko:K07447	kpp:A79E_0736
ko:K07735	kpp:A79E_0737
ko:K01920	kpp:A79E_0738
ko:K09761	kpp:A79E_0739
ko:K01150	kpp:A79E_0740
ko:K02742	kpp:A79E_0741
ko:K08137	kpp:A79E_0742
ko:K00789	kpp:A79E_0743
ko:K07387	kpp:A79E_0748
ko:K00615	kpp:A79E_0749
ko:K03472	kpp:A79E_0750
ko:K00927	kpp:A79E_0751
ko:K01624	kpp:A79E_0752
ko:K06895	kpp:A79E_0754
ko:K09807	kpp:A79E_0755
ko:K05596	kpp:A79E_0756
ko:K01807	kpp:A79E_0757
ko:K09888	kpp:A79E_0761
ko:K09895	kpp:A79E_0762
ko:K03185	kpp:A79E_0764
ko:K00605	kpp:A79E_0766
ko:K02437	kpp:A79E_0767
ko:K00281	kpp:A79E_0768
ko:K03207	kpp:A79E_1604
ko:K03208	kpp:A79E_1606
ko:K00012	kpp:A79E_1611
ko:K08679	kpp:A79E_1612
ko:K11755	kpp:A79E_1623
ko:K02500	kpp:A79E_1624
ko:K01814	kpp:A79E_1625
ko:K02501	kpp:A79E_1626
ko:K01089	kpp:A79E_1627
ko:K00817	kpp:A79E_1628
ko:K00013	kpp:A79E_1629
ko:K00765	kpp:A79E_1630
ko:K02355	kpp:A79E_1635
ko:K01141	kpp:A79E_1636
ko:K07470	kpp:A79E_1639
ko:K09802	kpp:A79E_1641
ko:K02233	kpp:A79E_1642
ko:K00768	kpp:A79E_1643
ko:K01251	kpp:A79E_1644
ko:K07168	kpp:A79E_1645
ko:K02057	kpp:A79E_2502
ko:K02529	kpp:A79E_2504
ko:K03707	kpp:A79E_2508
ko:K02430	kpp:A79E_2520
ko:K02429	kpp:A79E_2523
ko:K07090	kpp:A79E_2537
ko:K03482	kpp:A79E_2538
ko:K01232	kpp:A79E_2540
ko:K01265	kpp:A79E_2551
ko:K01223	kpp:A79E_3393
ko:K11924	kpp:A79E_3395
ko:K11934	kpp:A79E_3398
ko:K11939	kpp:A79E_3399
ko:K04047	kpp:A79E_3400
ko:K10036	kpp:A79E_3401
ko:K10037	kpp:A79E_3402
ko:K13650	kpp:A79E_3407
ko:K11927	kpp:A79E_3412
ko:K00615	kpp:A79E_3413
ko:K00615	kpp:A79E_3414
ko:K01993	kpp:A79E_3419
ko:K06890	kpp:A79E_3427
ko:K03636	kpp:A79E_3429
ko:K03637	kpp:A79E_3430
ko:K03638	kpp:A79E_3431
ko:K03639	kpp:A79E_3432
ko:K03760	kpp:A79E_3434
ko:K07771	kpp:A79E_3435
ko:K07643	kpp:A79E_3436
ko:K03702	kpp:A79E_3437
ko:K02169	kpp:A79E_3440
ko:K00215	kpp:A79E_4263
ko:K12700	kpp:A79E_4266
ko:K03527	kpp:A79E_4267
ko:K03774	kpp:A79E_4268
ko:K03101	kpp:A79E_4269
ko:K01870	kpp:A79E_4270
ko:K11753	kpp:A79E_4271
ko:K02968	kpp:A79E_4272
ko:K03717	kpp:A79E_4274
ko:K03313	kpp:A79E_4275
ko:K03686	kpp:A79E_4276
ko:K04043	kpp:A79E_4277
ko:K03831	kpp:A79E_4282
ko:K03310	kpp:A79E_4284
ko:K09861	kpp:A79E_4285
ko:K01733	kpp:A79E_4287
ko:K00872	kpp:A79E_4288
ko:K12524	kpp:A79E_4289
ko:K07773	kpp:A79E_4292
ko:K06143	kpp:A79E_4293
ko:K07641	kpp:A79E_4294
ko:K07663	kpp:A79E_4295
ko:K05805	kpp:A79E_4296
ko:K05804	kpp:A79E_4297
ko:K03720	kpp:A79E_4300
ko:K08309	kpp:A79E_4301
ko:K06211	kpp:A79E_4303
ko:K04485	kpp:A79E_4304
ko:K01079	kpp:A79E_4305
ko:K03800	kpp:A79E_4306
ko:K01839	kpp:A79E_4308
ko:K03424	kpp:A79E_4312
ko:K02837	kpp:A79E_4316
ko:K08723	kpp:A79E_4317
ko:K01223	kpp:A79E_0775
ko:K09900	kpp:A79E_0777
ko:K11068	kpp:A79E_0778
ko:K06980	kpp:A79E_0779
ko:K09159	kpp:A79E_0780
ko:K03840	kpp:A79E_0782
ko:K03981	kpp:A79E_0784
ko:K07462	kpp:A79E_0785
ko:K02836	kpp:A79E_0786
ko:K04567	kpp:A79E_0787
ko:K08169	kpp:A79E_0791
ko:K03893	kpp:A79E_0802
ko:K03305	kpp:A79E_0804
ko:K15550	kpp:A79E_0806
ko:K15547	kpp:A79E_0807
ko:K15549	kpp:A79E_0808
ko:K06975	kpp:A79E_0811
ko:K07350	kpp:A79E_0813
ko:K07349	kpp:A79E_0814
ko:K07348	kpp:A79E_0815
ko:K07347	kpp:A79E_0816
ko:K07351	kpp:A79E_0818
ko:K07345	kpp:A79E_0819
ko:K07357	kpp:A79E_0821
ko:K07345	kpp:A79E_0826
ko:K07347	kpp:A79E_0828
ko:K06133	kpp:A79E_1662
ko:K00074	kpp:A79E_1665
ko:K00645	kpp:A79E_1668
ko:K15721	kpp:A79E_1701
ko:K05374	kpp:A79E_1703
ko:K04785	kpp:A79E_1704
ko:K04786	kpp:A79E_1705
ko:K05372	kpp:A79E_1707
ko:K05373	kpp:A79E_1710
ko:K02016	kpp:A79E_1713
ko:K02015	kpp:A79E_1714
ko:K07154	kpp:A79E_2558
ko:K07127	kpp:A79E_2560
ko:K02073	kpp:A79E_2573
ko:K02072	kpp:A79E_2575
ko:K00459	kpp:A79E_2576
ko:K00041	kpp:A79E_2588
ko:K01425	kpp:A79E_2592
ko:K08324	kpp:A79E_2593
ko:K03829	kpp:A79E_2595
ko:K01714	kpp:A79E_2601
ko:K08159	kpp:A79E_2605
ko:K03712	kpp:A79E_2607
ko:K13632	kpp:A79E_2608
ko:K13630	kpp:A79E_2609
ko:K15268	kpp:A79E_2610
ko:K01012	kpp:A79E_3442
ko:K00833	kpp:A79E_3443
ko:K01745	kpp:A79E_3446
ko:K05836	kpp:A79E_3447
ko:K01468	kpp:A79E_3449
