ko:K07729	cby:CLM_0846
ko:K00925	cby:CLM_2753
ko:K02313	cby:CLM_0001
ko:K02338	cby:CLM_0002
ko:K03629	cby:CLM_0004
ko:K02470	cby:CLM_0006
ko:K02469	cby:CLM_0007
ko:K01875	cby:CLM_0022
ko:K01613	cby:CLM_0028
ko:K03688	cby:CLM_0029
ko:K03721	cby:CLM_0032
ko:K01761	cby:CLM_0033
ko:K02343	cby:CLM_0037
ko:K09747	cby:CLM_0038
ko:K06187	cby:CLM_0039
ko:K06317	cby:CLM_0041
ko:K06206	cby:CLM_0042
ko:K03426	cby:CLM_0043
ko:K03790	cby:CLM_0049
ko:K01945	cby:CLM_3269
ko:K00602	cby:CLM_3270
ko:K11175	cby:CLM_3271
ko:K01933	cby:CLM_3272
ko:K00764	cby:CLM_3273
ko:K01923	cby:CLM_3274
ko:K01588	cby:CLM_3275
ko:K01464	cby:CLM_3282
ko:K01751	cby:CLM_3284
ko:K02755	cby:CLM_1020
ko:K02756	cby:CLM_1020
ko:K02757	cby:CLM_1020
ko:K01223	cby:CLM_1021
ko:K10536	cby:CLM_1030
ko:K00826	cby:CLM_1051
ko:K03523	cby:CLM_1052
ko:K02231	cby:CLM_1056
ko:K02232	cby:CLM_1061
ko:K02227	cby:CLM_1062
ko:K02007	cby:CLM_1064
ko:K02008	cby:CLM_1066
ko:K01749	cby:CLM_1068
ko:K01698	cby:CLM_1071
ko:K06042	cby:CLM_1073
ko:K02188	cby:CLM_1086
ko:K03399	cby:CLM_1087
ko:K07699	cby:CLM_2088
ko:K06399	cby:CLM_2089
ko:K00651	cby:CLM_2090
ko:K00003	cby:CLM_2091
ko:K01740	cby:CLM_2092
ko:K03631	cby:CLM_2094
ko:K03402	cby:CLM_2095
ko:K00858	cby:CLM_2096
ko:K06442	cby:CLM_2097
ko:K01662	cby:CLM_2098
ko:K03602	cby:CLM_2101
ko:K03601	cby:CLM_2102
ko:K03625	cby:CLM_2103
ko:K06397	cby:CLM_2105
ko:K06396	cby:CLM_2106
ko:K06394	cby:CLM_2108
ko:K06393	cby:CLM_2109
ko:K06392	cby:CLM_2110
ko:K06391	cby:CLM_2111
ko:K06390	cby:CLM_2112
ko:K02356	cby:CLM_2114
ko:K03786	cby:CLM_2115
ko:K00891	cby:CLM_2116
ko:K02653	cby:CLM_2125
ko:K02652	cby:CLM_2126
ko:K01778	cby:CLM_2129
ko:K06173	cby:CLM_2131
ko:K02805	cby:CLM_3081
ko:K00973	cby:CLM_3084
ko:K01710	cby:CLM_3085
ko:K01955	cby:CLM_3089
ko:K02406	cby:CLM_3096
ko:K02406	cby:CLM_3097
ko:K02422	cby:CLM_3100
ko:K06603	cby:CLM_3102
ko:K03563	cby:CLM_3103
ko:K02397	cby:CLM_3105
ko:K02396	cby:CLM_3106
ko:K02398	cby:CLM_3108
ko:K02417	cby:CLM_3109
ko:K02416	cby:CLM_3110
ko:K03408	cby:CLM_3111
ko:K03413	cby:CLM_3112
ko:K03407	cby:CLM_3114
ko:K03412	cby:CLM_3116
ko:K03411	cby:CLM_3117
ko:K03408	cby:CLM_3118
ko:K09749	cby:CLM_3119
ko:K00826	cby:CLM_3122
ko:K03737	cby:CLM_3126
ko:K02563	cby:CLM_3127
ko:K07462	cby:CLM_3130
ko:K01151	cby:CLM_3131
ko:K03152	cby:CLM_3135
ko:K02622	cby:CLM_3138
ko:K05936	cby:CLM_1098
ko:K02189	cby:CLM_1099
ko:K05895	cby:CLM_1101
ko:K02190	cby:CLM_1103
ko:K02598	cby:CLM_1107
ko:K00385	cby:CLM_1110
ko:K02013	cby:CLM_1118
ko:K02015	cby:CLM_1119
ko:K02016	cby:CLM_1120
ko:K01733	cby:CLM_1127
ko:K00005	cby:CLM_1132
ko:K03830	cby:CLM_1134
ko:K03654	cby:CLM_1150
ko:K07095	cby:CLM_1152
ko:K03413	cby:CLM_1153
ko:K03738	cby:CLM_2153
ko:K03637	cby:CLM_2156
ko:K03639	cby:CLM_2157
ko:K03750	cby:CLM_2158
ko:K07219	cby:CLM_2158
ko:K03750	cby:CLM_2159
ko:K05773	cby:CLM_2162
ko:K05772	cby:CLM_2163
ko:K02003	cby:CLM_2167
ko:K01201	cby:CLM_1353
ko:K00873	cby:CLM_3834
ko:K00850	cby:CLM_3835
ko:K02337	cby:CLM_3836
ko:K09762	cby:CLM_3837
ko:K06958	cby:CLM_3839
ko:K00075	cby:CLM_3840
ko:K04477	cby:CLM_3841
ko:K03703	cby:CLM_3842
ko:K03701	cby:CLM_3848
ko:K03702	cby:CLM_3849
ko:K03797	cby:CLM_3851
ko:K09811	cby:CLM_3852
ko:K09812	cby:CLM_3853
ko:K00615	cby:CLM_3856
ko:K00615	cby:CLM_3857
ko:K01775	cby:CLM_3860
ko:K00997	cby:CLM_3863
ko:K07058	cby:CLM_3867
ko:K02986	cby:CLM_3869
ko:K04565	cby:CLM_3874
ko:K00820	cby:CLM_3875
ko:K00068	cby:CLM_3879
ko:K02781	cby:CLM_3880
ko:K02782	cby:CLM_3881
ko:K02783	cby:CLM_3881
ko:K02783	cby:CLM_3882
ko:K03431	cby:CLM_3886
ko:K00177	cby:CLM_3887
ko:K00175	cby:CLM_3888
ko:K00174	cby:CLM_3889
ko:K00176	cby:CLM_3890
ko:K09768	cby:CLM_3711
ko:K01810	cby:CLM_3712
ko:K03778	cby:CLM_3716
ko:K03778	cby:CLM_3717
ko:K03311	cby:CLM_3727
ko:K01951	cby:CLM_3728
ko:K00088	cby:CLM_3729
ko:K04077	cby:CLM_3732
ko:K04078	cby:CLM_3733
ko:K03660	cby:CLM_3737
ko:K00266	cby:CLM_3738
ko:K00528	cby:CLM_3739
ko:K01926	cby:CLM_3740
ko:K06158	cby:CLM_3741
ko:K01409	cby:CLM_3747
ko:K06925	cby:CLM_3756
ko:K03789	cby:CLM_3758
ko:K01866	cby:CLM_3759
ko:K02837	cby:CLM_3765
ko:K01867	cby:CLM_3767
ko:K03657	cby:CLM_1591
ko:K07770	cby:CLM_0353
ko:K07650	cby:CLM_0354
ko:K01710	cby:CLM_2272
ko:K01448	cby:CLM_2498
ko:K02003	cby:CLM_0698
ko:K01989	cby:CLM_0783
ko:K00528	cby:CLM_1885
ko:K03311	cby:CLM_0955
ko:K00950	cby:CLM_0973
ko:K01448	cby:CLM_3413
ko:K01448	cby:CLM_3517
ko:K02478	cby:CLM_3743
ko:K02057	cby:CLM_0272
ko:K13019	cby:CLM_3506
ko:K01034	cby:CLM_3218
ko:K06310	cby:CLM_0166
ko:K06889	cby:CLM_0262
ko:K03317	cby:CLM_0705
ko:K07005	cby:CLM_0745
ko:K01866	cby:CLM_1358
ko:K07507	cby:CLM_0136
ko:K04068	cby:CLM_0138
ko:K01870	cby:CLM_0142
ko:K02529	cby:CLM_0143
ko:K09121	cby:CLM_0146
ko:K06898	cby:CLM_0148
ko:K06436	cby:CLM_0158
ko:K03802	cby:CLM_0163
ko:K00919	cby:CLM_0164
ko:K06387	cby:CLM_0169
ko:K01937	cby:CLM_0175
ko:K03628	cby:CLM_0177
ko:K02909	cby:CLM_0178
ko:K00857	cby:CLM_0179
ko:K02493	cby:CLM_0181
ko:K02835	cby:CLM_0182
ko:K07238	cby:CLM_0184
ko:K07566	cby:CLM_0185
ko:K01808	cby:CLM_0187
ko:K00761	cby:CLM_0188
ko:K01493	cby:CLM_0190
ko:K02108	cby:CLM_0194
ko:K02110	cby:CLM_0195
ko:K02109	cby:CLM_0196
ko:K02113	cby:CLM_0197
ko:K02111	cby:CLM_0198
ko:K06897	cby:CLM_1221
ko:K00111	cby:CLM_1228
ko:K02445	cby:CLM_1231
ko:K01887	cby:CLM_1232
ko:K04759	cby:CLM_1236
ko:K04758	cby:CLM_1237
ko:K02071	cby:CLM_1243
ko:K02072	cby:CLM_1244
ko:K02073	cby:CLM_1245
ko:K02073	cby:CLM_1246
ko:K01885	cby:CLM_1252
ko:K00134	cby:CLM_1253
ko:K07576	cby:CLM_1254
ko:K03310	cby:CLM_1258
ko:K03310	cby:CLM_1259
ko:K01163	cby:CLM_1269
ko:K00661	cby:CLM_1274
ko:K03524	cby:CLM_1275
ko:K00973	cby:CLM_2271
ko:K07129	cby:CLM_2284
ko:K01448	cby:CLM_2289
ko:K01153	cby:CLM_2294
ko:K01154	cby:CLM_2295
ko:K03427	cby:CLM_2296
ko:K07088	cby:CLM_2309
ko:K04024	cby:CLM_2321
ko:K04029	cby:CLM_2323
ko:K03088	cby:CLM_0063
ko:K03769	cby:CLM_0083
ko:K03284	cby:CLM_0092
ko:K00943	cby:CLM_0097
ko:K02341	cby:CLM_0099
ko:K07056	cby:CLM_0104
ko:K01478	cby:CLM_0109
ko:K01770	cby:CLM_0110
ko:K06373	cby:CLM_0114
ko:K06374	cby:CLM_0115
ko:K01874	cby:CLM_0119
ko:K03424	cby:CLM_0121
ko:K05985	cby:CLM_0123
ko:K02528	cby:CLM_0124
ko:K02003	cby:CLM_0129
ko:K04068	cby:CLM_1157
ko:K03303	cby:CLM_1160
ko:K03521	cby:CLM_1162
ko:K03522	cby:CLM_1163
ko:K11358	cby:CLM_1169
ko:K09759	cby:CLM_1174
ko:K00230	cby:CLM_1178
ko:K03152	cby:CLM_1181
ko:K04758	cby:CLM_1184
ko:K04758	cby:CLM_1185
ko:K04759	cby:CLM_1186
ko:K02015	cby:CLM_1201
ko:K02015	cby:CLM_1202
ko:K02013	cby:CLM_1203
ko:K02016	cby:CLM_1204
ko:K06888	cby:CLM_1215
ko:K11105	cby:CLM_2201
ko:K04079	cby:CLM_2202
ko:K02818	cby:CLM_2204
ko:K02819	cby:CLM_2204
ko:K01226	cby:CLM_2205
ko:K03486	cby:CLM_2206
ko:K02769	cby:CLM_2208
ko:K02770	cby:CLM_2208
ko:K08302	cby:CLM_2210
ko:K00005	cby:CLM_2215
ko:K00759	cby:CLM_2222
ko:K06901	cby:CLM_2223
ko:K03308	cby:CLM_2248
ko:K10254	cby:CLM_2257
ko:K02115	cby:CLM_0199
ko:K02112	cby:CLM_0200
ko:K02114	cby:CLM_0201
ko:K00790	cby:CLM_0203
ko:K06381	cby:CLM_0204
ko:K06283	cby:CLM_0206
ko:K03569	cby:CLM_0207
ko:K00789	cby:CLM_0216
ko:K03581	cby:CLM_0217
ko:K05808	cby:CLM_0220
ko:K03070	cby:CLM_0221
ko:K02836	cby:CLM_0222
ko:K06959	cby:CLM_0224
ko:K04061	cby:CLM_0228
ko:K07816	cby:CLM_0233
ko:K01869	cby:CLM_0234
ko:K05873	cby:CLM_0240
ko:K01624	cby:CLM_0242
ko:K00876	cby:CLM_0245
ko:K01738	cby:CLM_0255
ko:K00640	cby:CLM_0256
ko:K00655	cby:CLM_0258
ko:K10773	cby:CLM_0259
ko:K00027	cby:CLM_0260
ko:K03716	cby:CLM_0266
ko:K03216	cby:CLM_0267
ko:K03816	cby:CLM_1295
ko:K02012	cby:CLM_1305
ko:K02011	cby:CLM_1306
ko:K02945	cby:CLM_1310
ko:K07107	cby:CLM_1311
ko:K01989	cby:CLM_1313
ko:K05832	cby:CLM_1314
ko:K05833	cby:CLM_1315
ko:K09758	cby:CLM_1317
ko:K00077	cby:CLM_1321
ko:K07238	cby:CLM_1328
ko:K01738	cby:CLM_1330
ko:K04487	cby:CLM_1333
ko:K06864	cby:CLM_1334
ko:K00566	cby:CLM_1336
ko:K07707	cby:CLM_1338
ko:K07706	cby:CLM_1340
ko:K01126	cby:CLM_1343
ko:K03737	cby:CLM_1345
ko:K00274	cby:CLM_1349
ko:K01223	cby:CLM_1355
ko:K04031	cby:CLM_2324
ko:K03449	cby:CLM_2335
ko:K07727	cby:CLM_2353
ko:K01735	cby:CLM_2357
ko:K02003	cby:CLM_2359
ko:K03475	cby:CLM_2362
ko:K02822	cby:CLM_2363
ko:K02821	cby:CLM_2364
ko:K00616	cby:CLM_2365
ko:K00661	cby:CLM_2369
ko:K00995	cby:CLM_1176
ko:K09013	cby:CLM_3205
ko:K02795	cby:CLM_3215
ko:K02796	cby:CLM_3216
ko:K07141	cby:CLM_3220
ko:K06871	cby:CLM_3252
ko:K07090	cby:CLM_3258
ko:K00794	cby:CLM_3259
ko:K00793	cby:CLM_3261
ko:K11752	cby:CLM_3262
ko:K01531	cby:CLM_3266
ko:K03092	cby:CLM_0274
ko:K05311	cby:CLM_0275
ko:K00134	cby:CLM_0276
ko:K00927	cby:CLM_0277
ko:K01803	cby:CLM_0278
ko:K01689	cby:CLM_0280
ko:K03075	cby:CLM_0281
ko:K03787	cby:CLM_0283
ko:K03664	cby:CLM_0284
ko:K02342	cby:CLM_0308
ko:K06407	cby:CLM_0314
ko:K06406	cby:CLM_0315
ko:K06405	cby:CLM_0316
ko:K06196	cby:CLM_0321
ko:K01232	cby:CLM_0326
ko:K02777	cby:CLM_0330
ko:K02003	cby:CLM_0333
ko:K01232	cby:CLM_0336
ko:K03458	cby:CLM_2388
ko:K03458	cby:CLM_0384
ko:K03458	cby:CLM_3283
ko:K02030	cby:CLM_0528
ko:K02790	cby:CLM_0327
ko:K02791	cby:CLM_0327
ko:K10793	cby:CLM_2759
ko:K01854	cby:CLM_3049
ko:K01777	cby:CLM_2770
ko:K01270	cby:CLM_3264
ko:K00132	cby:CLM_2316
ko:K10794	cby:CLM_2757
ko:K10794	cby:CLM_2774
ko:K02443	cby:CLM_3136
ko:K02242	cby:CLM_0219
ko:K03657	cby:CLM_0852
ko:K03657	cby:CLM_3300
ko:K01247	cby:CLM_0746
ko:K07025	cby:CLM_3088
ko:K00971	cby:CLM_0145
ko:K00248	cby:CLM_3611
ko:K00951	cby:CLM_3464
ko:K06409	cby:CLM_1598
ko:K06409	cby:CLM_1597
ko:K01271	cby:CLM_0412
ko:K01961	cby:CLM_4088
ko:K06395	cby:CLM_2107
ko:K10797	cby:CLM_2376
ko:K11754	cby:CLM_3575
ko:K13607	cby:CLM_3725
ko:K06183	cby:CLM_3707
ko:K01424	cby:CLM_2817
ko:K03698	cby:CLM_3618
ko:K13282	cby:CLM_0162
ko:K07729	cby:CLM_2574
ko:K07729	cby:CLM_2598
ko:K01715	cby:CLM_3614
ko:K01286	cby:CLM_1581
ko:K03406	cby:CLM_0519
ko:K03406	cby:CLM_1529
ko:K05979	cby:CLM_4046
ko:K00030	cby:CLM_0498
ko:K13542	cby:CLM_1069
ko:K03518	cby:CLM_1446
ko:K03406	cby:CLM_0857
ko:K03406	cby:CLM_1800
ko:K03406	cby:CLM_1932
ko:K03406	cby:CLM_0654
ko:K03406	cby:CLM_0810
ko:K03406	cby:CLM_2136
ko:K03406	cby:CLM_3169
ko:K03406	cby:CLM_3191
ko:K03406	cby:CLM_3624
ko:K02823	cby:CLM_3649
ko:K09963	cby:CLM_3802
ko:K09963	cby:CLM_1522
ko:K00634	cby:CLM_3893
ko:K06409	cby:CLM_4028
ko:K06378	cby:CLM_3494
ko:K03409	cby:CLM_1944
ko:K02824	cby:CLM_1716
ko:K04030	cby:CLM_2318
ko:K00131	cby:CLM_1411
ko:K00058	cby:CLM_1283
ko:K01934	cby:CLM_2969
ko:K12573	cby:CLM_0282
ko:K01421	cby:CLM_1146
ko:K01421	cby:CLM_1147
ko:K07069	cby:CLM_2239
ko:K10793	cby:CLM_2776
ko:K01534	cby:CLM_0561
ko:K03406	cby:CLM_0469
ko:K00805	cby:CLM_0443
ko:K13730	cby:CLM_3510
ko:K09118	cby:CLM_0018
ko:K02217	cby:CLM_1942
ko:K13789	cby:CLM_2100
ko:K03480	cby:CLM_3121
ko:K03480	cby:CLM_3200
ko:K01537	cby:CLM_0633
ko:K00215	cby:CLM_0942
ko:K03294	cby:CLM_2391
ko:K03294	cby:CLM_1550
ko:K01599	cby:CLM_1734
ko:K03768	cby:CLM_4054
ko:K07741	cby:CLM_2573
ko:K00666	cby:CLM_3726
ko:K00087	cby:CLM_1444
ko:K07038	cby:CLM_3843
ko:K10947	cby:CLM_1218
ko:K01599	cby:CLM_1727
ko:K02051	cby:CLM_3667
ko:K12527	cby:CLM_3280
ko:K01791	cby:CLM_0192
ko:K09702	cby:CLM_1136
ko:K01515	cby:CLM_0557
ko:K01515	cby:CLM_2030
ko:K05337	cby:CLM_3604
ko:K03686	cby:CLM_0238
ko:K03741	cby:CLM_0908
ko:K03321	cby:CLM_3795
ko:K02003	cby:CLM_1048
ko:K02004	cby:CLM_1048
ko:K01488	cby:CLM_1145
ko:K01990	cby:CLM_0662
ko:K06384	cby:CLM_2028
ko:K06928	cby:CLM_3290
ko:K03406	cby:CLM_1761
ko:K07052	cby:CLM_2413
ko:K02315	cby:CLM_4101
ko:K01958	cby:CLM_3746
ko:K01990	cby:CLM_3314
ko:K13820	cby:CLM_3012
ko:K13653	cby:CLM_0874
ko:K03394	cby:CLM_1097
ko:K04028	cby:CLM_2319
ko:K06147	cby:CLM_2585
ko:K01537	cby:CLM_3000
ko:K02414	cby:CLM_3023
ko:K02407	cby:CLM_3099
ko:K05832	cby:CLM_0781
ko:K05833	cby:CLM_0782
ko:K02004	cby:CLM_0934
ko:K01046	cby:CLM_1002
ko:K00104	cby:CLM_1164
ko:K08982	cby:CLM_1196
ko:K04720	cby:CLM_1063
ko:K07033	cby:CLM_3204
ko:K02009	cby:CLM_1065
ko:K13653	cby:CLM_2374
ko:K05934	cby:CLM_1100
ko:K07343	cby:CLM_0796
ko:K08587	cby:CLM_2137
ko:K14228	cby:CLM_4017
ko:K14228	cby:CLM_4020
ko:K06972	cby:CLM_3745
ko:K06857	cby:CLM_2161
ko:K06425	cby:CLM_0939
ko:K07727	cby:CLM_2082
ko:K07052	cby:CLM_2619
ko:K02004	cby:CLM_0623
ko:K02004	cby:CLM_1378
ko:K02004	cby:CLM_1747
ko:K01784	cby:CLM_3043
ko:K07079	cby:CLM_1744
ko:K07005	cby:CLM_1128
ko:K02663	cby:CLM_2118
ko:K06147	cby:CLM_2586
ko:K01784	cby:CLM_3145
ko:K01449	cby:CLM_0254
ko:K02004	cby:CLM_0130
ko:K02029	cby:CLM_0527
ko:K11046	cby:CLM_0572
ko:K07216	cby:CLM_0609
ko:K02004	cby:CLM_2358
ko:K07343	cby:CLM_3230
ko:K01271	cby:CLM_2245
ko:K07099	cby:CLM_0229
ko:K09766	cby:CLM_0232
ko:K00941	cby:CLM_0533
ko:K14223	cby:CLM_0236
ko:K14155	cby:CLM_1576
ko:K14232	cby:CLM_3673
ko:K14232	cby:CLM_3693
ko:K14232	cby:CLM_4042
ko:K05919	cby:CLM_3769
ko:K03798	cby:CLM_0470
ko:K06425	cby:CLM_1392
ko:K07979	cby:CLM_3156
ko:K14229	cby:CLM_3682
ko:K14229	cby:CLM_3674
ko:K14224	cby:CLM_4107
ko:K14224	cby:CLM_4115
ko:K14224	cby:CLM_4110
ko:K05967	cby:CLM_1375
ko:K14235	cby:CLM_3751
ko:K05847	cby:CLM_1877
ko:K01980	cby:CLM_0087
ko:K01980	cby:CLM_0011
ko:K14225	cby:CLM_3552
ko:K14225	cby:CLM_3685
ko:K14225	cby:CLM_3677
ko:K14220	cby:CLM_3987
ko:K14220	cby:CLM_0493
ko:K14220	cby:CLM_3986
ko:K16961	cby:CLM_1332
ko:K01449	cby:CLM_3319
ko:K01990	cby:CLM_1360
ko:K02030	cby:CLM_1588
ko:K14228	cby:CLM_3678
ko:K14228	cby:CLM_3687
ko:K01983	cby:CLM_0036
ko:K14225	cby:CLM_3672
ko:K14225	cby:CLM_3676
ko:K14225	cby:CLM_3692
ko:K14225	cby:CLM_3684
ko:K14219	cby:CLM_0027
ko:K01628	cby:CLM_1429
ko:K08281	cby:CLM_1290
ko:K04072	cby:CLM_0413
ko:K01599	cby:CLM_2450
ko:K00215	cby:CLM_3566
ko:K01273	cby:CLM_1376
ko:K02650	cby:CLM_2124
ko:K08309	cby:CLM_3409
ko:K10907	cby:CLM_3567
ko:K07335	cby:CLM_0269
ko:K13626	cby:CLM_3104
ko:K13653	cby:CLM_1029
ko:K13653	cby:CLM_0709
ko:K02224	cby:CLM_1072
ko:K13479	cby:CLM_1445
ko:K07057	cby:CLM_3813
ko:K01470	cby:CLM_3873
ko:K08314	cby:CLM_3877
ko:K07729	cby:CLM_0683
ko:K01011	cby:CLM_0943
ko:K01011	cby:CLM_2978
ko:K00974	cby:CLM_2616
ko:K06402	cby:CLM_3389
ko:K07723	cby:CLM_3859
ko:K06518	cby:CLM_0392
ko:K01977	cby:CLM_0050
ko:K01977	cby:CLM_0065
ko:K01977	cby:CLM_3993
ko:K01977	cby:CLM_0486
ko:K01977	cby:CLM_0057
ko:K01977	cby:CLM_4001
ko:K01977	cby:CLM_0077
ko:K01977	cby:CLM_0084
ko:K01977	cby:CLM_0008
ko:K07474	cby:CLM_2664
ko:K05020	cby:CLM_1287
ko:K01187	cby:CLM_1846
ko:K02029	cby:CLM_1589
ko:K14223	cby:CLM_3680
ko:K14223	cby:CLM_3689
ko:K02053	cby:CLM_1267
ko:K14219	cby:CLM_3675
ko:K14219	cby:CLM_3683
ko:K14219	cby:CLM_3691
ko:K03703	cby:CLM_3616
ko:K14233	cby:CLM_0024
ko:K14233	cby:CLM_0026
ko:K14229	cby:CLM_0055
ko:K14229	cby:CLM_3688
ko:K14229	cby:CLM_0062
ko:K14229	cby:CLM_3679
ko:K00128	cby:CLM_1257
ko:K04763	cby:CLM_2087
ko:K01759	cby:CLM_0738
ko:K05799	cby:CLM_1755
ko:K05799	cby:CLM_1249
ko:K14236	cby:CLM_0211
ko:K14236	cby:CLM_0214
ko:K14230	cby:CLM_0013
ko:K14230	cby:CLM_3995
ko:K01448	cby:CLM_1682
ko:K03527	cby:CLM_1964
ko:K02945	cby:CLM_1964
ko:K14230	cby:CLM_4014
ko:K14230	cby:CLM_4018
ko:K01183	cby:CLM_3196
ko:K14226	cby:CLM_3681
ko:K14226	cby:CLM_3690
ko:K14228	cby:CLM_3408
ko:K07005	cby:CLM_0982
ko:K14230	cby:CLM_4015
ko:K14230	cby:CLM_4016
ko:K14230	cby:CLM_4019
ko:K13993	cby:CLM_1919
ko:K14155	cby:CLM_2181
ko:K14222	cby:CLM_0090
ko:K14222	cby:CLM_3551
ko:K01978	cby:CLM_3327
ko:K00674	cby:CLM_3568
ko:K02071	cby:CLM_1735
ko:K02804	cby:CLM_3202
ko:K02803	cby:CLM_3202
ko:K02003	cby:CLM_0827
ko:K14441	cby:CLM_2699
ko:K06864	cby:CLM_0147
ko:K03324	cby:CLM_3911
ko:K03406	cby:CLM_3175
ko:K03741	cby:CLM_0903
ko:K01267	cby:CLM_3783
ko:K14234	cby:CLM_0210
ko:K14234	cby:CLM_4103
ko:K14234	cby:CLM_0213
ko:K02005	cby:CLM_0128
ko:K00941	cby:CLM_0921
ko:K01985	cby:CLM_0012
ko:K01985	cby:CLM_3997
ko:K01985	cby:CLM_0069
ko:K01985	cby:CLM_3988
ko:K01985	cby:CLM_0492
ko:K01985	cby:CLM_0088
ko:K01985	cby:CLM_0061
ko:K01985	cby:CLM_0081
ko:K01985	cby:CLM_0054
ko:K14219	cby:CLM_0031
ko:K11069	cby:CLM_0667
ko:K11070	cby:CLM_0667
ko:K14231	cby:CLM_0071
ko:K14231	cby:CLM_3553
ko:K14231	cby:CLM_0082
ko:K01449	cby:CLM_3899
ko:K05346	cby:CLM_1803
ko:K00433	cby:CLM_0988
ko:K14224	cby:CLM_0562
ko:K06147	cby:CLM_0382
ko:K04763	cby:CLM_2966
ko:K06909	cby:CLM_2663
ko:K06909	cby:CLM_2529
ko:K06016	cby:CLM_0737
ko:K01990	cby:CLM_0924
ko:K06147	cby:CLM_1206
ko:K06147	cby:CLM_1207
ko:K01183	cby:CLM_1214
ko:K01183	cby:CLM_1240
ko:K06147	cby:CLM_1466
ko:K06147	cby:CLM_1842
ko:K06147	cby:CLM_1843
ko:K02358	cby:CLM_3964
ko:K07005	cby:CLM_1474
ko:K01990	cby:CLM_0734
ko:K01992	cby:CLM_0736
ko:K08234	cby:CLM_0848
ko:K07284	cby:CLM_2344
ko:K07705	cby:CLM_3742
ko:K00334	cby:CLM_2009
ko:K14233	cby:CLM_0023
ko:K14233	cby:CLM_0025
ko:K14225	cby:CLM_3966
ko:K06133	cby:CLM_2899
ko:K14219	cby:CLM_3671
ko:K11261	cby:CLM_1911
ko:K04763	cby:CLM_2540
ko:K01448	cby:CLM_2036
ko:K01784	cby:CLM_2304
ko:K14237	cby:CLM_0212
ko:K14237	cby:CLM_4106
ko:K14237	cby:CLM_4114
ko:K14237	cby:CLM_4109
ko:K14237	cby:CLM_3555
ko:K14221	cby:CLM_3554
ko:K14221	cby:CLM_4104
ko:K14221	cby:CLM_4108
ko:K14221	cby:CLM_4113
ko:K14227	cby:CLM_0488
ko:K14227	cby:CLM_3992
ko:K03292	cby:CLM_1352
ko:K02304	cby:CLM_1067
ko:K03624	cby:CLM_0790
ko:K14238	cby:CLM_3369
ko:K14233	cby:CLM_0035
ko:K07052	cby:CLM_1799
ko:K13993	cby:CLM_0974
ko:K06133	cby:CLM_0365
ko:K14234	cby:CLM_3965
ko:K14218	cby:CLM_0014
ko:K14218	cby:CLM_3994
ko:K14218	cby:CLM_0487
ko:K07005	cby:CLM_0742
ko:K03307	cby:CLM_0435
ko:K02072	cby:CLM_1736
ko:K03307	cby:CLM_4077
ko:K00764	cby:CLM_3308
ko:K01270	cby:CLM_1562
ko:K01537	cby:CLM_1780
ko:K14540	cby:CLM_2735
ko:K11749	cby:CLM_2718
ko:K03091	cby:CLM_2680
ko:K14652	cby:CLM_3260
ko:K14228	cby:CLM_3450
ko:K09022	cby:CLM_3376
ko:K06881	cby:CLM_2709
ko:K01126	cby:CLM_3623
ko:K01759	cby:CLM_1765
ko:K03215	cby:CLM_3829
ko:K15580	cby:CLM_3563
ko:K15583	cby:CLM_3560
ko:K06998	cby:CLM_2382
ko:K15633	cby:CLM_0279
ko:K15629	cby:CLM_1194
ko:K15738	cby:CLM_1224
ko:K01035	cby:CLM_3219
ko:K02226	cby:CLM_0961
ko:K15582	cby:CLM_3561
ko:K15898	cby:CLM_3086
ko:K15581	cby:CLM_3562
ko:K15632	cby:CLM_3236
ko:K01835	cby:CLM_3521
ko:K00812	cby:CLM_1961
ko:K15976	cby:CLM_1001
ko:K07260	cby:CLM_1189
ko:K15986	cby:CLM_3001
ko:K03310	cby:CLM_1404
ko:K20038	cby:CLM_2326
ko:K03699	cby:CLM_3305
ko:K16370	cby:CLM_2209
ko:K16785	cby:CLM_2188
ko:K03299	cby:CLM_2408
ko:K11733	cby:CLM_0302
ko:K04759	cby:CLM_0959
ko:K03699	cby:CLM_3326
ko:K16329	cby:CLM_1320
ko:K07339	cby:CLM_2629
ko:K16328	cby:CLM_1319
ko:K02851	cby:CLM_0191
ko:K02036	cby:CLM_0457
ko:K03429	cby:CLM_0170
ko:K02027	cby:CLM_0150
ko:K16786	cby:CLM_3917
ko:K06011	cby:CLM_0897
ko:K16623	cby:CLM_0896
ko:K05825	cby:CLM_1959
ko:K16787	cby:CLM_3916
ko:K16785	cby:CLM_3915
ko:K07257	cby:CLM_3087
ko:K16788	cby:CLM_2983
ko:K16789	cby:CLM_0658
ko:K02027	cby:CLM_1753
ko:K10823	cby:CLM_3559
ko:K16651	cby:CLM_1104
ko:K02026	cby:CLM_1752
ko:K02025	cby:CLM_1751
ko:K02055	cby:CLM_1264
ko:K13015	cby:CLM_3514
ko:K16962	cby:CLM_1331
ko:K16898	cby:CLM_0518
ko:K01835	cby:CLM_4124
ko:K16950	cby:CLM_1108
ko:K16951	cby:CLM_1109
ko:K02028	cby:CLM_2233
ko:K02028	cby:CLM_0499
ko:K18344	cby:CLM_2186
ko:K02030	cby:CLM_2235
ko:K11636	cby:CLM_0390
ko:K16786	cby:CLM_2189
ko:K16787	cby:CLM_2189
ko:K11635	cby:CLM_0389
