ko:K18929	ccc:G157_00360
ko:K02456	ccc:G157_02110
ko:K02406	ccc:G157_02125
ko:K02406	ccc:G157_02130
ko:K02501	ccc:G157_02230
ko:K02500	ccc:G157_02235
ko:K00648	ccc:G157_02310
ko:K15895	ccc:G157_02350
ko:K15894	ccc:G157_02355
ko:K01494	ccc:G157_02360
ko:K01599	ccc:G157_02640
ko:K00097	ccc:G157_02660
ko:K03474	ccc:G157_02665
ko:K01524	ccc:G157_02670
ko:K01879	ccc:G157_02690
ko:K01091	ccc:G157_02695
ko:K05516	ccc:G157_02715
ko:K04077	ccc:G157_02805
ko:K04078	ccc:G157_02810
ko:K00793	ccc:G157_02820
ko:K05810	ccc:G157_02825
ko:K07058	ccc:G157_02850
ko:K03110	ccc:G157_02880
ko:K04485	ccc:G157_02905
ko:K02108	ccc:G157_02910
ko:K00297	ccc:G157_02920
ko:K00549	ccc:G157_02925
ko:K11754	ccc:G157_03495
ko:K03723	ccc:G157_03510
ko:K06923	ccc:G157_03515
ko:K00941	ccc:G157_03525
ko:K00788	ccc:G157_03530
ko:K00286	ccc:G157_03555
ko:K13626	ccc:G157_03560
ko:K05807	ccc:G157_03565
ko:K01338	ccc:G157_03570
ko:K02963	ccc:G157_03575
ko:K02990	ccc:G157_03585
ko:K09824	ccc:G157_03605
ko:K11749	ccc:G157_03615
ko:K00995	ccc:G157_03620
ko:K01870	ccc:G157_03645
ko:K03602	ccc:G157_03660
ko:K01924	ccc:G157_03700
ko:K07456	ccc:G157_03710
ko:K12410	ccc:G157_03720
ko:K06895	ccc:G157_03725
ko:K03154	ccc:G157_03740
ko:K03149	ccc:G157_03750
ko:K03150	ccc:G157_03755
ko:K00788	ccc:G157_03760
ko:K03449	ccc:G157_03775
ko:K02563	ccc:G157_03780
ko:K03588	ccc:G157_03785
ko:K03750	ccc:G157_04350
ko:K00790	ccc:G157_04355
ko:K03611	ccc:G157_04380
ko:K03673	ccc:G157_04385
ko:K02400	ccc:G157_04410
ko:K02956	ccc:G157_04420
ko:K03466	ccc:G157_04425
ko:K02397	ccc:G157_04430
ko:K02029	ccc:G157_04460
ko:K06143	ccc:G157_04470
ko:K03070	ccc:G157_04480
ko:K03634	ccc:G157_04485
ko:K12251	ccc:G157_04505
ko:K00602	ccc:G157_04530
ko:K05801	ccc:G157_04535
ko:K01952	ccc:G157_04540
ko:K03650	ccc:G157_04545
ko:K03217	ccc:G157_04555
ko:K03536	ccc:G157_04565
ko:K02914	ccc:G157_04570
ko:K00925	ccc:G157_05390
ko:K13788	ccc:G157_05395
ko:K02393	ccc:G157_05400
ko:K04066	ccc:G157_05410
ko:K02456	ccc:G157_05415
ko:K03702	ccc:G157_05430
ko:K05685	ccc:G157_05720
ko:K13888	ccc:G157_05725
ko:K04084	ccc:G157_05740
ko:K03308	ccc:G157_05750
ko:K03686	ccc:G157_05760
ko:K06187	ccc:G157_05780
ko:K03620	ccc:G157_05790
ko:K01448	ccc:G157_05810
ko:K00459	ccc:G157_05815
ko:K01866	ccc:G157_05820
ko:K03060	ccc:G157_05830
ko:K09903	ccc:G157_05835
ko:K09811	ccc:G157_05845
ko:K09812	ccc:G157_05850
ko:K03439	ccc:G157_05855
ko:K06180	ccc:G157_05865
ko:K05837	ccc:G157_05870
ko:K00384	ccc:G157_05895
ko:K00147	ccc:G157_05900
ko:K02356	ccc:G157_05910
ko:K02422	ccc:G157_05920
ko:K02407	ccc:G157_05925
ko:K03182	ccc:G157_05935
ko:K01749	ccc:G157_05940
ko:K01649	ccc:G157_05945
ko:K01881	ccc:G157_05950
ko:K02492	ccc:G157_05955
ko:K02523	ccc:G157_05960
ko:K00177	ccc:G157_05975
ko:K00175	ccc:G157_05980
ko:K02601	ccc:G157_06275
ko:K07173	ccc:G157_02940
ko:K02434	ccc:G157_02945
ko:K00057	ccc:G157_02950
ko:K01465	ccc:G157_02955
ko:K03306	ccc:G157_02960
ko:K11103	ccc:G157_02970
ko:K03495	ccc:G157_02990
ko:K03893	ccc:G157_02995
ko:K00411	ccc:G157_03000
ko:K00412	ccc:G157_03005
ko:K00413	ccc:G157_03010
ko:K00574	ccc:G157_03015
ko:K02967	ccc:G157_03020
ko:K02357	ccc:G157_03025
ko:K02003	ccc:G157_03030
ko:K02421	ccc:G157_03035
ko:K00942	ccc:G157_03045
ko:K03116	ccc:G157_03050
ko:K01887	ccc:G157_03055
ko:K11742	ccc:G157_03060
ko:K11743	ccc:G157_03065
ko:K16264	ccc:G157_03115
ko:K02343	ccc:G157_03130
ko:K03628	ccc:G157_03135
ko:K03273	ccc:G157_03155
ko:K03274	ccc:G157_03160
ko:K03272	ccc:G157_03165
ko:K03271	ccc:G157_03170
ko:K07270	ccc:G157_03175
ko:K01711	ccc:G157_03195
ko:K02377	ccc:G157_03200
ko:K12452	ccc:G157_03205
ko:K03686	ccc:G157_03805
ko:K03596	ccc:G157_03825
ko:K02469	ccc:G157_03840
ko:K09860	ccc:G157_03845
ko:K00133	ccc:G157_03860
ko:K01999	ccc:G157_03880
ko:K01999	ccc:G157_03885
ko:K01997	ccc:G157_03890
ko:K01998	ccc:G157_03895
ko:K01995	ccc:G157_03900
ko:K01996	ccc:G157_03905
ko:K00773	ccc:G157_03940
ko:K09944	ccc:G157_03945
ko:K01735	ccc:G157_03950
ko:K08296	ccc:G157_03980
ko:K03086	ccc:G157_03985
ko:K14222	ccc:G157_t08518
ko:K14226	ccc:G157_t08588
ko:K14232	ccc:G157_t08590
ko:K14237	ccc:G157_t08598
ko:K14218	ccc:G157_t08512
ko:K14218	ccc:G157_t08578
ko:K14218	ccc:G157_t08560
ko:K01977	ccc:G157_r08610
ko:K18291	ccc:G157_06430
ko:K14219	ccc:G157_t08564
ko:K01977	ccc:G157_r08606
ko:K14227	ccc:G157_t08514
ko:K14227	ccc:G157_t08576
ko:K14227	ccc:G157_t08558
ko:K14225	ccc:G157_t08570
ko:K14230	ccc:G157_t08530
ko:K14230	ccc:G157_t08562
ko:K05540	ccc:G157_08070
ko:K14221	ccc:G157_t08544
ko:K14221	ccc:G157_t08552
ko:K14237	ccc:G157_t08554
ko:K14237	ccc:G157_t08546
ko:K11928	ccc:G157_01375
ko:K14223	ccc:G157_t08532
ko:K14230	ccc:G157_t08592
ko:K14228	ccc:G157_t08538
ko:K14228	ccc:G157_t08520
ko:K14229	ccc:G157_t08550
ko:K14229	ccc:G157_t08556
ko:K14220	ccc:G157_t08534
ko:K14231	ccc:G157_t08528
ko:K14224	ccc:G157_t08548
ko:K07318	ccc:G157_07590
ko:K00971	ccc:G157_03190
ko:K00290	ccc:G157_07815
ko:K14224	ccc:G157_t08580
ko:K14234	ccc:G157_t08574
ko:K14234	ccc:G157_t08568
ko:K14236	ccc:G157_t08572
ko:K14218	ccc:G157_t08596
ko:K01985	ccc:G157_r08600
ko:K01985	ccc:G157_r08602
ko:K01985	ccc:G157_r08604
ko:K14238	ccc:G157_t08524
ko:K01497	ccc:G157_04010
ko:K14225	ccc:G157_t08522
ko:K14225	ccc:G157_t08540
ko:K14233	ccc:G157_t08516
ko:K14233	ccc:G157_t08594
ko:K14233	ccc:G157_t08526
ko:K14228	ccc:G157_t08542
ko:K01980	ccc:G157_r08614
ko:K01980	ccc:G157_r08616
ko:K01977	ccc:G157_r08608
ko:K14219	ccc:G157_t08584
ko:K14219	ccc:G157_t08586
ko:K14235	ccc:G157_t08566
ko:K00254	ccc:G157_04880
ko:K07003	ccc:G157_01965
ko:K01533	ccc:G157_03125
ko:K18220	ccc:G157_08880
ko:K01659	ccc:G157_07340
ko:K17938	ccc:G157_07865
ko:K05922	ccc:G157_05795
ko:K05927	ccc:G157_01850
ko:K05927	ccc:G157_05800
ko:K00104	ccc:G157_02845
ko:K03605	ccc:G157_05785
ko:K05366	ccc:G157_06110
ko:K15912	ccc:G157_03330
ko:K15913	ccc:G157_03320
ko:K18284	ccc:G157_08105
ko:K03319	ccc:G157_00220
ko:K17248	ccc:G157_03300
ko:K02501	ccc:G157_02225
ko:K00648	ccc:G157_02260
ko:K02073	ccc:G157_02930
ko:K05939	ccc:G157_04940
ko:K02073	ccc:G157_05065
ko:K02073	ccc:G157_05070
ko:K07126	ccc:G157_07320
ko:K03406	ccc:G157_07685
ko:K06078	ccc:G157_08725
ko:K01304	ccc:G157_08950
ko:K11014	ccc:G157_07245
ko:K11013	ccc:G157_07240
ko:K18429	ccc:G157_02180
ko:K18430	ccc:G157_02185
ko:K18431	ccc:G157_02165
ko:K11784	ccc:G157_06330
ko:K11785	ccc:G157_08245
ko:K18333	ccc:G157_06215
ko:K18285	ccc:G157_01990
ko:K18292	ccc:G157_06420
ko:K18289	ccc:G157_06425
ko:K15910	ccc:G157_03325
ko:K02482	ccc:G157_04445
ko:K01174	ccc:G157_04080
ko:K04753	ccc:G157_01305
ko:K06148	ccc:G157_03285
ko:K07216	ccc:G157_02780
ko:K03743	ccc:G157_03640
ko:K18480	ccc:G157_00530
ko:K07794	ccc:G157_07015
ko:K18924	ccc:G157_07100
ko:K18925	ccc:G157_07105
ko:K03789	ccc:G157_02285
ko:K10747	ccc:G157_08220
ko:K18930	ccc:G157_00965
ko:K18138	ccc:G157_06810
ko:K00662	ccc:G157_02335
ko:K03111	ccc:G157_03580
ko:K09797	ccc:G157_00165
ko:K03497	ccc:G157_08185
ko:K03496	ccc:G157_08190
ko:K03111	ccc:G157_08785
ko:K03201	ccc:G157_08800
ko:K03203	ccc:G157_08810
ko:K03204	ccc:G157_08815
ko:K03196	ccc:G157_08825
ko:K03205	ccc:G157_08835
ko:K03169	ccc:G157_08865
ko:K05593	ccc:G157_08925
ko:K18992	ccc:G157_06800
ko:K00335	ccc:G157_01020
ko:K03526	ccc:G157_05405
ko:K11015	ccc:G157_07250
ko:K07097	ccc:G157_04405
ko:K06992	ccc:G157_00280
ko:K15461	ccc:G157_05805
ko:K00557	ccc:G157_04755
ko:K00336	ccc:G157_01025
ko:K17251	ccc:G157_03305
ko:K17249	ccc:G157_03290
ko:K15897	ccc:G157_02245
ko:K07326	ccc:G157_00640
ko:K15914	ccc:G157_03310
ko:K15915	ccc:G157_03315
ko:K17250	ccc:G157_03295
ko:K00525	ccc:G157_00115
ko:K22468	ccc:G157_05735
ko:K03761	ccc:G157_00735
ko:K07317	ccc:G157_07120
ko:K04771	ccc:G157_02720
ko:K15899	ccc:G157_02250
ko:K03892	ccc:G157_01080
ko:K00265	ccc:G157_00055
ko:K19273	ccc:G157_08930
ko:K06867	ccc:G157_01895
ko:K07496	ccc:G157_05155
ko:K19299	ccc:G157_08935
ko:K19416	ccc:G157_07525
ko:K06867	ccc:G157_04740
ko:K17910	ccc:G157_08875
ko:K07216	ccc:G157_00350
ko:K07216	ccc:G157_00345
ko:K07216	ccc:G157_00715
ko:K07216	ccc:G157_00720
ko:K07216	ccc:G157_00725
ko:K07147	ccc:G157_06745
ko:K09796	ccc:G157_04245
ko:K20810	ccc:G157_00325
ko:K00946	ccc:G157_01595
ko:K03200	ccc:G157_08795
ko:K03197	ccc:G157_08765
ko:K03195	ccc:G157_08820
ko:K03199	ccc:G157_08770
ko:K00821	ccc:G157_07570
ko:K02335	ccc:G157_06945
ko:K03553	ccc:G157_08240
ko:K06919	ccc:G157_08720
ko:K02316	ccc:G157_00585
ko:K02314	ccc:G157_05880
ko:K03465	ccc:G157_00125
ko:K02483	ccc:G157_05765
ko:K02483	ccc:G157_06860
ko:K02483	ccc:G157_02725
ko:K02032	ccc:G157_00990
ko:K02481	ccc:G157_03855
ko:K01139	ccc:G157_05825
ko:K00526	ccc:G157_07550
ko:K13695	ccc:G157_00510
ko:K21420	ccc:G157_03800
ko:K01420	ccc:G157_00395
ko:K10026	ccc:G157_07765
ko:K21600	ccc:G157_06100
ko:K21929	ccc:G157_04580
ko:K03595	ccc:G157_05480
ko:K22278	ccc:G157_02895
ko:K14441	ccc:G157_01615
ko:K17758	ccc:G157_07915
ko:K17759	ccc:G157_07915
ko:K22391	ccc:G157_05315
ko:K22477	ccc:G157_07580
