ko:K07090	rae:G148_0288
ko:K14219	rae:G148_2081
ko:K14221	rae:G148_2086
ko:K14221	rae:G148_2087
ko:K09810	rae:G148_1100
ko:K03559	rae:G148_0687
ko:K00951	rae:G148_1400
ko:K14229	rae:G148_2083
ko:K14229	rae:G148_2085
ko:K07091	rae:G148_1500
ko:K17103	rae:G148_1071
ko:K00184	rae:G148_0410
ko:K10947	rae:G148_1895
ko:K01992	rae:G148_0952
ko:K01990	rae:G148_0951
ko:K08738	rae:G148_1911
ko:K01897	rae:G148_1222
ko:K01897	rae:G148_0976
ko:K01992	rae:G148_1532
ko:K01990	rae:G148_1952
ko:K08738	rae:G148_1338
ko:K04084	rae:G148_0655
ko:K17686	rae:G148_0055
ko:K17836	rae:G148_1774
ko:K00971	rae:G148_0342
ko:K06518	rae:G148_1098
ko:K00254	rae:G148_0045
ko:K01658	rae:G148_1388
ko:K07318	rae:G148_1793
ko:K17838	rae:G148_1473
ko:K00128	rae:G148_0578
ko:K01840	rae:G148_0500
ko:K01155	rae:G148_0085
ko:K18221	rae:G148_1767
ko:K14742	rae:G148_0709
ko:K18221	rae:G148_1777
ko:K00632	rae:G148_1567
ko:K03719	rae:G148_0790
ko:K06880	rae:G148_1771
ko:K18236	rae:G148_1775
ko:K03218	rae:G148_1874
ko:K03116	rae:G148_0101
ko:K19429	rae:G148_0878
ko:K03742	rae:G148_1073
ko:K00681	rae:G148_1398
ko:K18707	rae:G148_0849
ko:K18682	rae:G148_1406
ko:K00571	rae:G148_1738
ko:K03496	rae:G148_1502
ko:K03497	rae:G148_1503
ko:K04565	rae:G148_0526
ko:K03111	rae:G148_1306
ko:K05593	rae:G148_1773
ko:K00335	rae:G148_0900
ko:K18979	rae:G148_2000
ko:K11991	rae:G148_0527
ko:K09951	rae:G148_0830
ko:K19159	rae:G148_1722
ko:K19170	rae:G148_1066
ko:K00798	rae:G148_1888
ko:K19158	rae:G148_1721
ko:K19171	rae:G148_1065
ko:K01710	rae:G148_0882
ko:K22468	rae:G148_1143
ko:K22468	rae:G148_1142
ko:K00336	rae:G148_0902
ko:K11210	rae:G148_1241
ko:K19172	rae:G148_1064
ko:K19302	rae:G148_1195
ko:K19340	rae:G148_1917
ko:K19431	rae:G148_0106
ko:K00638	rae:G148_1769
ko:K00638	rae:G148_1772
ko:K19342	rae:G148_1915
ko:K06867	rae:G148_1593
ko:K19341	rae:G148_1918
ko:K06881	rae:G148_0605
ko:K01835	rae:G148_0936
ko:K00525	rae:G148_0801
ko:K10938	rae:G148_0474
ko:K08679	rae:G148_0261
ko:K20534	rae:G148_1486
ko:K18889	rae:G148_0678
ko:K18890	rae:G148_1953
ko:K21053	rae:G148_0520
ko:K08968	rae:G148_1864
ko:K01493	rae:G148_0131
ko:K06217	rae:G148_1415
ko:K00857	rae:G148_0445
ko:K03553	rae:G148_0842
ko:K00287	rae:G148_0885
ko:K02314	rae:G148_0960
ko:K00560	rae:G148_1012
ko:K03553	rae:G148_1026
ko:K06223	rae:G148_1740
ko:K00287	rae:G148_1770
ko:K06223	rae:G148_1794
ko:K02316	rae:G148_1692
ko:K02335	rae:G148_1419
ko:K00526	rae:G148_0800
ko:K07741	rae:G148_1458
ko:K21572	rae:G148_0518
ko:K21573	rae:G148_1607
ko:K21574	rae:G148_1605
ko:K01420	rae:G148_1890
ko:K21572	rae:G148_2027
ko:K21572	rae:G148_1587
ko:K21572	rae:G148_1851
ko:K21572	rae:G148_0298
ko:K10026	rae:G148_0984
ko:K21572	rae:G148_0788
ko:K21572	rae:G148_1836
ko:K21572	rae:G148_1606
ko:K00754	rae:G148_0095
ko:K01463	rae:G148_0675
ko:K22132	rae:G148_0270
ko:K03595	rae:G148_1414
ko:K22136	rae:G148_0296
ko:K08994	rae:G148_1599
ko:K01505	rae:G148_1870
ko:K13566	rae:G148_0353
ko:K22351	rae:G148_1768
ko:K22441	rae:G148_0175
