ko:K07062	xcn:J169_04495
ko:K02200	xcn:J169_02500
ko:K02200	xcn:J169_02501
ko:K00641	xcn:J169_02502
ko:K16012	xcn:J169_02504
ko:K16013	xcn:J169_02505
ko:K00425	xcn:J169_02506
ko:K00426	xcn:J169_02507
ko:K06895	xcn:J169_03312
ko:K05596	xcn:J169_03313
ko:K06920	xcn:J169_03316
ko:K10026	xcn:J169_03318
ko:K03640	xcn:J169_03320
ko:K03641	xcn:J169_03321
ko:K03646	xcn:J169_03322
ko:K03560	xcn:J169_03323
ko:K03562	xcn:J169_03324
ko:K07107	xcn:J169_03325
ko:K03551	xcn:J169_03326
ko:K03549	xcn:J169_03328
ko:K03550	xcn:J169_03329
ko:K01159	xcn:J169_03330
ko:K01876	xcn:J169_03334
ko:K01114	xcn:J169_03340
ko:K17836	xcn:J169_03342
ko:K17850	xcn:J169_03343
ko:K06158	xcn:J169_03345
ko:K02014	xcn:J169_03346
ko:K02014	xcn:J169_03348
ko:K02014	xcn:J169_03349
ko:K03455	xcn:J169_03351
ko:K02510	xcn:J169_03355
ko:K16091	xcn:J169_03356
ko:K01586	xcn:J169_03361
ko:K05786	xcn:J169_04175
ko:K05786	xcn:J169_04176
ko:K01867	xcn:J169_04181
ko:K01476	xcn:J169_04185
ko:K07131	xcn:J169_04186
ko:K06945	xcn:J169_04189
ko:K00943	xcn:J169_04190
ko:K03525	xcn:J169_04193
ko:K03524	xcn:J169_04194
ko:K09933	xcn:J169_04196
ko:K07637	xcn:J169_04199
ko:K07660	xcn:J169_04200
ko:K05539	xcn:J169_04202
ko:K03781	xcn:J169_04205
ko:K00014	xcn:J169_04209
ko:K00380	xcn:J169_04211
ko:K01173	xcn:J169_04212
ko:K01698	xcn:J169_04215
ko:K01278	xcn:J169_04219
ko:K14266	xcn:J169_04224
ko:K03832	xcn:J169_04225
ko:K09696	xcn:J169_04226
ko:K09697	xcn:J169_04227
ko:K01945	xcn:J169_00628
ko:K00602	xcn:J169_00630
ko:K00995	xcn:J169_00631
ko:K00981	xcn:J169_00638
ko:K03557	xcn:J169_00639
ko:K02687	xcn:J169_00644
ko:K01961	xcn:J169_00647
ko:K02160	xcn:J169_00649
ko:K03786	xcn:J169_00650
ko:K04084	xcn:J169_00651
ko:K03926	xcn:J169_00652
ko:K04078	xcn:J169_00659
ko:K04077	xcn:J169_00660
ko:K01626	xcn:J169_00663
ko:K01053	xcn:J169_00666
ko:K00982	xcn:J169_00668
ko:K09125	xcn:J169_00669
ko:K07276	xcn:J169_00671
ko:K09019	xcn:J169_00672
ko:K01093	xcn:J169_00674
ko:K13929	xcn:J169_00677
ko:K13931	xcn:J169_00678
ko:K01992	xcn:J169_01695
ko:K01990	xcn:J169_01696
ko:K07979	xcn:J169_01697
ko:K00432	xcn:J169_01699
ko:K03772	xcn:J169_01700
ko:K00012	xcn:J169_01701
ko:K03745	xcn:J169_01702
ko:K02529	xcn:J169_01705
ko:K02429	xcn:J169_01706
ko:K00847	xcn:J169_01707
ko:K00548	xcn:J169_01709
ko:K00548	xcn:J169_01710
ko:K12573	xcn:J169_01715
ko:K03218	xcn:J169_01717
ko:K03683	xcn:J169_01719
ko:K02039	xcn:J169_01721
ko:K02036	xcn:J169_01722
ko:K02038	xcn:J169_01723
ko:K02037	xcn:J169_01724
ko:K02040	xcn:J169_01725
ko:K02040	xcn:J169_01726
ko:K07221	xcn:J169_01727
ko:K01673	xcn:J169_01729
ko:K10773	xcn:J169_01731
ko:K01715	xcn:J169_01733
ko:K01011	xcn:J169_01736
ko:K09164	xcn:J169_01737
ko:K03824	xcn:J169_01741
ko:K12297	xcn:J169_01743
ko:K00858	xcn:J169_01744
ko:K01081	xcn:J169_01745
ko:K01141	xcn:J169_01748
ko:K00486	xcn:J169_01749
ko:K03704	xcn:J169_02564
ko:K07007	xcn:J169_02566
ko:K03799	xcn:J169_02568
ko:K01894	xcn:J169_02569
ko:K00023	xcn:J169_02570
ko:K09973	xcn:J169_02572
ko:K09164	xcn:J169_02573
ko:K03572	xcn:J169_02574
ko:K01448	xcn:J169_02575
ko:K06925	xcn:J169_02576
ko:K17758	xcn:J169_02577
ko:K17759	xcn:J169_02577
ko:K18979	xcn:J169_02578
ko:K03601	xcn:J169_02579
ko:K03684	xcn:J169_02582
ko:K01971	xcn:J169_02584
ko:K07481	xcn:J169_02592
ko:K07473	xcn:J169_02597
ko:K06915	xcn:J169_02616
ko:K03408	xcn:J169_02620
ko:K01902	xcn:J169_03419
ko:K01903	xcn:J169_03420
ko:K02668	xcn:J169_03421
ko:K02667	xcn:J169_03422
ko:K02652	xcn:J169_03426
ko:K02653	xcn:J169_03429
ko:K02654	xcn:J169_03430
ko:K00859	xcn:J169_03431
ko:K19048	xcn:J169_03433
ko:K07483	xcn:J169_03434
ko:K05844	xcn:J169_03439
ko:K03630	xcn:J169_03453
ko:K00228	xcn:J169_04285
ko:K11902	xcn:J169_04288
ko:K11890	xcn:J169_04294
ko:K11891	xcn:J169_04295
ko:K11892	xcn:J169_04296
ko:K11893	xcn:J169_04297
ko:K11904	xcn:J169_04300
ko:K03088	xcn:J169_04305
ko:K07165	xcn:J169_04306
ko:K01093	xcn:J169_04308
ko:K11907	xcn:J169_04315
ko:K11895	xcn:J169_04316
ko:K11896	xcn:J169_04317
ko:K11897	xcn:J169_04318
ko:K11898	xcn:J169_04319
ko:K11903	xcn:J169_04320
ko:K11900	xcn:J169_04321
ko:K11901	xcn:J169_04322
ko:K00661	xcn:J169_04325
ko:K03657	xcn:J169_04326
ko:K06131	xcn:J169_04328
ko:K10218	xcn:J169_04330
ko:K16514	xcn:J169_04331
ko:K10220	xcn:J169_04332
ko:K02913	xcn:J169_04333
ko:K02902	xcn:J169_04334
ko:K03558	xcn:J169_01152
ko:K00764	xcn:J169_01153
ko:K03269	xcn:J169_01158
ko:K01524	xcn:J169_01162
ko:K00937	xcn:J169_01163
ko:K07636	xcn:J169_01164
ko:K07657	xcn:J169_01165
ko:K00030	xcn:J169_01169
ko:K07483	xcn:J169_01176
ko:K07483	xcn:J169_01199
ko:K03545	xcn:J169_01206
ko:K01358	xcn:J169_01207
ko:K03544	xcn:J169_01208
ko:K02836	xcn:J169_02028
ko:K04567	xcn:J169_02029
ko:K13815	xcn:J169_02030
ko:K10715	xcn:J169_02031
ko:K13816	xcn:J169_02032
ko:K01897	xcn:J169_02033
ko:K01681	xcn:J169_02035
ko:K01682	xcn:J169_02038
ko:K03412	xcn:J169_02041
ko:K03411	xcn:J169_02042
ko:K00575	xcn:J169_02043
ko:K03406	xcn:J169_02045
ko:K03406	xcn:J169_02050
ko:K03406	xcn:J169_02053
ko:K03407	xcn:J169_02056
ko:K03413	xcn:J169_02057
ko:K03408	xcn:J169_02059
ko:K03496	xcn:J169_02060
ko:K02557	xcn:J169_02061
ko:K02556	xcn:J169_02062
ko:K19048	xcn:J169_02068
ko:K07483	xcn:J169_02075
ko:K03431	xcn:J169_02892
ko:K01963	xcn:J169_02893
ko:K01695	xcn:J169_02894
ko:K01696	xcn:J169_02896
ko:K01817	xcn:J169_02898
ko:K06173	xcn:J169_02899
ko:K06996	xcn:J169_02901
ko:K08086	xcn:J169_02902
ko:K00133	xcn:J169_02903
ko:K00090	xcn:J169_02904
ko:K01736	xcn:J169_02905
ko:K07320	xcn:J169_02906
ko:K07152	xcn:J169_02907
ko:K01613	xcn:J169_02908
ko:K08307	xcn:J169_02909
ko:K06915	xcn:J169_02910
ko:K04760	xcn:J169_02914
ko:K14441	xcn:J169_02915
ko:K01061	xcn:J169_02916
ko:K01494	xcn:J169_02920
ko:K03593	xcn:J169_02921
ko:K07386	xcn:J169_02925
ko:K07386	xcn:J169_02926
ko:K07386	xcn:J169_02927
ko:K07443	xcn:J169_02929
ko:K00383	xcn:J169_02930
ko:K00285	xcn:J169_02931
ko:K07148	xcn:J169_02932
ko:K03775	xcn:J169_02933
ko:K01077	xcn:J169_02939
ko:K02014	xcn:J169_03742
ko:K08309	xcn:J169_03743
ko:K01728	xcn:J169_03744
ko:K03789	xcn:J169_03745
ko:K17103	xcn:J169_03747
ko:K01881	xcn:J169_03749
ko:K03746	xcn:J169_03750
ko:K02066	xcn:J169_03752
ko:K02065	xcn:J169_03753
ko:K02067	xcn:J169_03754
ko:K18480	xcn:J169_03755
ko:K00311	xcn:J169_03757
ko:K01029	xcn:J169_03759
ko:K01028	xcn:J169_03760
ko:K15778	xcn:J169_03761
ko:K16011	xcn:J169_03762
ko:K00012	xcn:J169_03763
ko:K00067	xcn:J169_03764
ko:K01790	xcn:J169_03765
ko:K00973	xcn:J169_03766
ko:K01710	xcn:J169_03767
ko:K03521	xcn:J169_03768
ko:K03522	xcn:J169_03769
ko:K01758	xcn:J169_03785
ko:K01697	xcn:J169_03786
ko:K02670	xcn:J169_03790
ko:K16171	xcn:J169_03792
ko:K11927	xcn:J169_03793
ko:K01301	xcn:J169_03794
ko:K03496	xcn:J169_00056
ko:K07171	xcn:J169_00070
ko:K03194	xcn:J169_00074
ko:K03196	xcn:J169_00075
ko:K03204	xcn:J169_00077
ko:K03203	xcn:J169_00078
ko:K03201	xcn:J169_00079
ko:K03497	xcn:J169_00092
ko:K03496	xcn:J169_00093
ko:K18828	xcn:J169_00097
ko:K18829	xcn:J169_00098
ko:K03797	xcn:J169_00132
ko:K13979	xcn:J169_00140
ko:K00266	xcn:J169_00141
ko:K00265	xcn:J169_00142
ko:K01434	xcn:J169_00146
ko:K12994	xcn:J169_00149
ko:K12995	xcn:J169_00150
ko:K03606	xcn:J169_00151
ko:K01791	xcn:J169_00152
ko:K05946	xcn:J169_00154
ko:K01953	xcn:J169_00159
ko:K01953	xcn:J169_00167
ko:K07483	xcn:J169_01810
ko:K08482	xcn:J169_01821
ko:K02200	xcn:J169_01824
ko:K02199	xcn:J169_01825
ko:K02198	xcn:J169_01826
ko:K02197	xcn:J169_01827
ko:K02196	xcn:J169_01828
ko:K02195	xcn:J169_01829
ko:K03088	xcn:J169_01832
ko:K08738	xcn:J169_01835
ko:K12262	xcn:J169_01837
ko:K02169	xcn:J169_01849
ko:K08369	xcn:J169_01856
ko:K03435	xcn:J169_02672
ko:K02768	xcn:J169_02673
ko:K08483	xcn:J169_02673
ko:K11183	xcn:J169_02673
ko:K00882	xcn:J169_02674
ko:K02769	xcn:J169_02675
ko:K02770	xcn:J169_02675
ko:K07267	xcn:J169_02676
ko:K03074	xcn:J169_02683
ko:K03072	xcn:J169_02684
ko:K03210	xcn:J169_02685
ko:K00773	xcn:J169_02686
ko:K07568	xcn:J169_02687
ko:K01083	xcn:J169_02693
ko:K00761	xcn:J169_02695
ko:K00681	xcn:J169_02697
ko:K00954	xcn:J169_02701
ko:K08316	xcn:J169_02702
ko:K04079	xcn:J169_02703
ko:K09955	xcn:J169_02706
ko:K08677	xcn:J169_02713
ko:K00873	xcn:J169_03527
ko:K01091	xcn:J169_03528
ko:K00927	xcn:J169_03529
ko:K00134	xcn:J169_03534
ko:K07275	xcn:J169_03536
ko:K02020	xcn:J169_03540
ko:K02018	xcn:J169_03541
ko:K02017	xcn:J169_03542
ko:K16088	xcn:J169_03552
ko:K00615	xcn:J169_03554
ko:K07114	xcn:J169_03557
ko:K07114	xcn:J169_03558
ko:K03924	xcn:J169_03561
ko:K02666	xcn:J169_03563
ko:K02665	xcn:J169_03564
ko:K02664	xcn:J169_03565
ko:K02663	xcn:J169_03566
ko:K02662	xcn:J169_03567
ko:K05366	xcn:J169_03568
ko:K01647	xcn:J169_03571
ko:K02909	xcn:J169_03572
ko:K01239	xcn:J169_03573
ko:K03655	xcn:J169_03574
ko:K03060	xcn:J169_03577
ko:K00942	xcn:J169_03578
ko:K00989	xcn:J169_03580
ko:K01878	xcn:J169_04391
ko:K02454	xcn:J169_04392
ko:K01951	xcn:J169_04394
ko:K03118	xcn:J169_04396
ko:K03117	xcn:J169_04397
ko:K03116	xcn:J169_04398
ko:K01772	xcn:J169_04400
ko:K07043	xcn:J169_04402
ko:K03554	xcn:J169_04403
ko:K14058	xcn:J169_04404
ko:K01805	xcn:J169_04405
ko:K02529	xcn:J169_04406
ko:K01235	xcn:J169_04407
ko:K05970	xcn:J169_04408
ko:K08323	xcn:J169_04409
ko:K01198	xcn:J169_04410
ko:K01209	xcn:J169_04410
ko:K05349	xcn:J169_04411
ko:K00040	xcn:J169_04412
ko:K00128	xcn:J169_04417
ko:K01845	xcn:J169_04420
ko:K01845	xcn:J169_04421
ko:K01628	xcn:J169_04422
ko:K00854	xcn:J169_04423
ko:K01053	xcn:J169_04426
ko:K01181	xcn:J169_04427
ko:K01190	xcn:J169_04428
ko:K01812	xcn:J169_04429
ko:K01181	xcn:J169_04430
ko:K08191	xcn:J169_04431
ko:K01181	xcn:J169_04432
ko:K08191	xcn:J169_04433
ko:K03098	xcn:J169_04437
ko:K03978	xcn:J169_00844
ko:K01919	xcn:J169_00847
ko:K02484	xcn:J169_00848
ko:K00121	xcn:J169_00853
ko:K03396	xcn:J169_00854
ko:K01070	xcn:J169_00855
ko:K00600	xcn:J169_00862
ko:K07738	xcn:J169_00863
ko:K11752	xcn:J169_00865
ko:K00793	xcn:J169_00868
ko:K14652	xcn:J169_00869
ko:K00794	xcn:J169_00870
ko:K03625	xcn:J169_00871
ko:K00946	xcn:J169_00872
ko:K01546	xcn:J169_00876
ko:K01547	xcn:J169_00877
ko:K01548	xcn:J169_00878
ko:K07646	xcn:J169_00879
ko:K07667	xcn:J169_00880
ko:K03777	xcn:J169_00883
ko:K07038	xcn:J169_00884
ko:K07460	xcn:J169_00885
ko:K07121	xcn:J169_00886
ko:K07056	xcn:J169_00887
ko:K19163	xcn:J169_00889
ko:K19164	xcn:J169_00890
ko:K03925	xcn:J169_00892
ko:K03438	xcn:J169_00893
ko:K03586	xcn:J169_00894
ko:K03587	xcn:J169_00895
ko:K01928	xcn:J169_00896
ko:K10979	xcn:J169_00243
ko:K00101	xcn:J169_00244
ko:K00209	xcn:J169_00252
ko:K00874	xcn:J169_00254
ko:K01338	xcn:J169_01209
ko:K03530	xcn:J169_01210
ko:K03770	xcn:J169_01214
ko:K08307	xcn:J169_01216
ko:K01069	xcn:J169_01217
ko:K03469	xcn:J169_01219
ko:K02342	xcn:J169_01220
ko:K12982	xcn:J169_01224
ko:K11211	xcn:J169_01225
ko:K03639	xcn:J169_01227
ko:K03637	xcn:J169_01228
ko:K03636	xcn:J169_01229
ko:K03635	xcn:J169_01230
ko:K07483	xcn:J169_01233
ko:K02343	xcn:J169_01240
ko:K09747	xcn:J169_01241
ko:K06187	xcn:J169_01242
ko:K07285	xcn:J169_01244
ko:K03924	xcn:J169_01247
ko:K06287	xcn:J169_01251
ko:K07040	xcn:J169_01252
ko:K02911	xcn:J169_01253
ko:K00648	xcn:J169_01254
ko:K00645	xcn:J169_01256
ko:K00059	xcn:J169_01257
ko:K02078	xcn:J169_01258
ko:K09458	xcn:J169_01259
ko:K01657	xcn:J169_01260
ko:K07082	xcn:J169_01261
ko:K02341	xcn:J169_01262
ko:K02676	xcn:J169_01263
ko:K06871	xcn:J169_02081
ko:K03407	xcn:J169_02084
ko:K03414	xcn:J169_02085
ko:K03413	xcn:J169_02086
ko:K02405	xcn:J169_02087
ko:K04562	xcn:J169_02088
ko:K02404	xcn:J169_02089
ko:K02400	xcn:J169_02090
ko:K02401	xcn:J169_02091
ko:K02421	xcn:J169_02095
ko:K02420	xcn:J169_02096
ko:K02419	xcn:J169_02098
ko:K02418	xcn:J169_02099
ko:K02417	xcn:J169_02100
ko:K02416	xcn:J169_02101
ko:K02415	xcn:J169_02102
ko:K02414	xcn:J169_02103
ko:K02413	xcn:J169_02104
ko:K02412	xcn:J169_02105
ko:K02411	xcn:J169_02106
ko:K02410	xcn:J169_02107
ko:K02409	xcn:J169_02108
ko:K02408	xcn:J169_02109
ko:K00648	xcn:J169_02118
ko:K10941	xcn:J169_02121
ko:K03092	xcn:J169_02123
ko:K02422	xcn:J169_02127
ko:K04075	xcn:J169_02940
ko:K03602	xcn:J169_02941
ko:K00795	xcn:J169_02942
ko:K09940	xcn:J169_02944
ko:K03592	xcn:J169_02945
ko:K09889	xcn:J169_02946
ko:K03568	xcn:J169_02947
ko:K08301	xcn:J169_02950
ko:K06287	xcn:J169_02951
ko:K09807	xcn:J169_02952
ko:K03832	xcn:J169_02954
ko:K00783	xcn:J169_02955
ko:K07093	xcn:J169_02956
ko:K09710	xcn:J169_02957
ko:K00969	xcn:J169_02958
ko:K02340	xcn:J169_02959
ko:K03643	xcn:J169_02960
ko:K01869	xcn:J169_02961
ko:K05838	xcn:J169_02963
ko:K09779	xcn:J169_02968
ko:K18893	xcn:J169_02976
ko:K02553	xcn:J169_02987
ko:K06182	xcn:J169_02991
ko:K02014	xcn:J169_03796
ko:K01737	xcn:J169_03797
ko:K01935	xcn:J169_03799
ko:K07017	xcn:J169_03802
ko:K01091	xcn:J169_03804
ko:K02346	xcn:J169_03805
ko:K01716	xcn:J169_03806
ko:K00647	xcn:J169_03807
ko:K01414	xcn:J169_03809
ko:K01738	xcn:J169_03810
ko:K07233	xcn:J169_03813
ko:K01759	xcn:J169_03814
ko:K00820	xcn:J169_03820
ko:K02005	xcn:J169_03821
ko:K02003	xcn:J169_03822
ko:K02004	xcn:J169_03823
ko:K02004	xcn:J169_03824
ko:K04042	xcn:J169_03827
ko:K04093	xcn:J169_03829
ko:K02114	xcn:J169_03830
ko:K02112	xcn:J169_03831
ko:K02115	xcn:J169_03832
ko:K02111	xcn:J169_03833
ko:K02113	xcn:J169_03834
ko:K02109	xcn:J169_03835
ko:K02110	xcn:J169_03836
ko:K02108	xcn:J169_03837
ko:K00382	xcn:J169_03841
ko:K00627	xcn:J169_03843
ko:K07275	xcn:J169_03846
ko:K02049	xcn:J169_00951
ko:K02051	xcn:J169_00952
ko:K03119	xcn:J169_00953
ko:K02004	xcn:J169_00954
ko:K02003	xcn:J169_00955
ko:K10804	xcn:J169_00956
ko:K00901	xcn:J169_00960
ko:K03744	xcn:J169_00961
ko:K06872	xcn:J169_00962
ko:K13292	xcn:J169_00964
ko:K15555	xcn:J169_00970
ko:K15554	xcn:J169_00971
ko:K15553	xcn:J169_00972
ko:K04091	xcn:J169_00973
ko:K00299	xcn:J169_00974
ko:K02014	xcn:J169_00975
ko:K02035	xcn:J169_00979
ko:K02033	xcn:J169_00980
ko:K02034	xcn:J169_00981
ko:K02031	xcn:J169_00983
ko:K02032	xcn:J169_00983
ko:K01525	xcn:J169_00984
ko:K06195	xcn:J169_00985
ko:K02528	xcn:J169_00986
ko:K00097	xcn:J169_00987
ko:K03771	xcn:J169_00988
ko:K04744	xcn:J169_00989
ko:K00798	xcn:J169_00993
ko:K03185	xcn:J169_00995
ko:K03184	xcn:J169_00996
ko:K11475	xcn:J169_01000
ko:K11178	xcn:J169_01321
ko:K13483	xcn:J169_01322
ko:K09003	xcn:J169_01323
ko:K07341	xcn:J169_01327
ko:K01356	xcn:J169_01329
ko:K14161	xcn:J169_01331
ko:K14162	xcn:J169_01332
ko:K03781	xcn:J169_01346
ko:K03929	xcn:J169_01348
ko:K00281	xcn:J169_01349
ko:K07552	xcn:J169_01352
ko:K01283	xcn:J169_01354
ko:K03760	xcn:J169_01355
ko:K03608	xcn:J169_01361
ko:K03609	xcn:J169_01362
ko:K03610	xcn:J169_01363
ko:K01247	xcn:J169_01369
ko:K07260	xcn:J169_01370
ko:K08995	xcn:J169_02182
ko:K01142	xcn:J169_02186
ko:K03750	xcn:J169_02188
ko:K03752	xcn:J169_02189
ko:K03322	xcn:J169_02192
ko:K11924	xcn:J169_02193
ko:K13288	xcn:J169_02195
ko:K09773	xcn:J169_02198
ko:K09920	xcn:J169_02199
ko:K03574	xcn:J169_02200
ko:K00019	xcn:J169_02201
ko:K17103	xcn:J169_02202
ko:K03821	xcn:J169_02204
ko:K06959	xcn:J169_02209
ko:K01625	xcn:J169_02223
ko:K01690	xcn:J169_02224
ko:K01057	xcn:J169_02225
ko:K00845	xcn:J169_02226
ko:K00036	xcn:J169_02227
ko:K10112	xcn:J169_02228
ko:K06980	xcn:J169_02229
ko:K00241	xcn:J169_02231
ko:K00242	xcn:J169_02232
ko:K00239	xcn:J169_02233
ko:K00240	xcn:J169_02235
ko:K09159	xcn:J169_02236
ko:K03407	xcn:J169_03046
ko:K03406	xcn:J169_03047
ko:K03408	xcn:J169_03048
ko:K00575	xcn:J169_03050
ko:K03412	xcn:J169_03051
ko:K07386	xcn:J169_03053
ko:K01834	xcn:J169_03055
ko:K05982	xcn:J169_03056
ko:K06911	xcn:J169_03058
ko:K07397	xcn:J169_03060
ko:K06911	xcn:J169_03061
ko:K06200	xcn:J169_03062
ko:K07141	xcn:J169_03070
ko:K07402	xcn:J169_03073
ko:K11177	xcn:J169_03075
ko:K11178	xcn:J169_03076
ko:K13483	xcn:J169_03077
ko:K01153	xcn:J169_03080
ko:K01154	xcn:J169_03081
ko:K03427	xcn:J169_03082
ko:K03111	xcn:J169_03088
ko:K02523	xcn:J169_03089
ko:K01925	xcn:J169_03091
ko:K12526	xcn:J169_03094
ko:K07217	xcn:J169_03904
ko:K13924	xcn:J169_03907
ko:K00425	xcn:J169_03912
ko:K00426	xcn:J169_03913
ko:K01784	xcn:J169_03917
ko:K01854	xcn:J169_03919
ko:K06147	xcn:J169_03921
ko:K02014	xcn:J169_03933
ko:K01992	xcn:J169_03934
ko:K01992	xcn:J169_03935
ko:K01990	xcn:J169_03936
ko:K01173	xcn:J169_03946
ko:K01118	xcn:J169_03949
ko:K07483	xcn:J169_00265
ko:K16147	xcn:J169_00267
ko:K05343	xcn:J169_00268
ko:K00700	xcn:J169_00269
ko:K07095	xcn:J169_00270
ko:K00064	xcn:J169_00271
ko:K03929	xcn:J169_00272
ko:K02554	xcn:J169_00274
ko:K02529	xcn:J169_00279
ko:K01815	xcn:J169_00280
ko:K00065	xcn:J169_00281
ko:K01808	xcn:J169_00282
ko:K00500	xcn:J169_00286
ko:K03719	xcn:J169_00287
ko:K16088	xcn:J169_00288
ko:K07001	xcn:J169_00289
ko:K02013	xcn:J169_00291
ko:K05847	xcn:J169_00294
ko:K05845	xcn:J169_00295
ko:K05846	xcn:J169_00295
ko:K01929	xcn:J169_00897
ko:K01000	xcn:J169_00898
ko:K03588	xcn:J169_00899
ko:K02563	xcn:J169_00900
ko:K01924	xcn:J169_00901
ko:K01921	xcn:J169_00902
ko:K03589	xcn:J169_00903
ko:K03590	xcn:J169_00904
ko:K03531	xcn:J169_00905
ko:K02535	xcn:J169_00906
ko:K03070	xcn:J169_00909
ko:K03574	xcn:J169_00910
ko:K00297	xcn:J169_00912
ko:K01176	xcn:J169_00919
ko:K09912	xcn:J169_00920
ko:K01251	xcn:J169_00926
ko:K01595	xcn:J169_00929
ko:K01093	xcn:J169_00934
ko:K00789	xcn:J169_00935
ko:K07038	xcn:J169_00936
ko:K05540	xcn:J169_00938
ko:K00852	xcn:J169_00941
ko:K03317	xcn:J169_00942
ko:K16087	xcn:J169_00945
ko:K09922	xcn:J169_00949
ko:K02050	xcn:J169_00950
ko:K03106	xcn:J169_01427
ko:K00459	xcn:J169_01428
ko:K02959	xcn:J169_01430
ko:K02860	xcn:J169_01431
ko:K00554	xcn:J169_01432
ko:K02884	xcn:J169_01433
ko:K00799	xcn:J169_01437
ko:K04762	xcn:J169_01438
ko:K03782	xcn:J169_01439
ko:K03555	xcn:J169_01441
ko:K01206	xcn:J169_01446
ko:K01190	xcn:J169_01448
ko:K01224	xcn:J169_01449
ko:K00140	xcn:J169_01452
ko:K16264	xcn:J169_01457
ko:K01782	xcn:J169_01458
ko:K03088	xcn:J169_01459
ko:K03596	xcn:J169_01462
ko:K03100	xcn:J169_01463
ko:K03685	xcn:J169_01465
ko:K03584	xcn:J169_01467
ko:K03215	xcn:J169_01469
ko:K06955	xcn:J169_01472
ko:K06876	xcn:J169_01473
ko:K01207	xcn:J169_01474
ko:K00760	xcn:J169_01475
ko:K03704	xcn:J169_01477
ko:K06953	xcn:J169_01479
ko:K02477	xcn:J169_02298
ko:K15727	xcn:J169_02302
ko:K15726	xcn:J169_02303
ko:K09702	xcn:J169_02309
ko:K02303	xcn:J169_02313
ko:K02304	xcn:J169_02315
ko:K15977	xcn:J169_02320
ko:K03406	xcn:J169_02325
ko:K03717	xcn:J169_02327
ko:K05577	xcn:J169_02328
ko:K09822	xcn:J169_02329
ko:K07483	xcn:J169_02331
ko:K03630	xcn:J169_02334
ko:K07733	xcn:J169_02335
ko:K02014	xcn:J169_02342
ko:K06041	xcn:J169_03150
ko:K03270	xcn:J169_03151
ko:K11719	xcn:J169_03152
ko:K09774	xcn:J169_03153
ko:K06861	xcn:J169_03154
ko:K03092	xcn:J169_03155
ko:K05808	xcn:J169_03156
ko:K02806	xcn:J169_03157
ko:K06023	xcn:J169_03158
ko:K06958	xcn:J169_03159
ko:K02821	xcn:J169_03160
ko:K11189	xcn:J169_03161
ko:K08483	xcn:J169_03162
ko:K06213	xcn:J169_03163
ko:K00426	xcn:J169_03165
ko:K00425	xcn:J169_03166
ko:K01273	xcn:J169_03167
ko:K01728	xcn:J169_03169
ko:K18457	xcn:J169_03170
ko:K07782	xcn:J169_03171
ko:K14266	xcn:J169_03178
ko:K13639	xcn:J169_03183
ko:K08989	xcn:J169_03188
ko:K10716	xcn:J169_03190
ko:K09980	xcn:J169_03192
ko:K00275	xcn:J169_03193
ko:K00891	xcn:J169_03194
ko:K01735	xcn:J169_03195
ko:K01599	xcn:J169_03197
ko:K00031	xcn:J169_04010
ko:K07012	xcn:J169_04012
ko:K19119	xcn:J169_04013
ko:K19117	xcn:J169_04014
ko:K19117	xcn:J169_04015
ko:K19118	xcn:J169_04016
ko:K07464	xcn:J169_04017
ko:K15342	xcn:J169_04018
ko:K09951	xcn:J169_04019
ko:K06879	xcn:J169_04022
ko:K07799	xcn:J169_04024
ko:K07788	xcn:J169_04025
ko:K07789	xcn:J169_04026
ko:K07025	xcn:J169_04030
ko:K08641	xcn:J169_04035
ko:K05349	xcn:J169_04045
ko:K01633	xcn:J169_04046
ko:K01409	xcn:J169_04047
ko:K02970	xcn:J169_04048
ko:K09117	xcn:J169_04049
ko:K07058	xcn:J169_04050
ko:K03690	xcn:J169_00355
ko:K03688	xcn:J169_00356
ko:K06175	xcn:J169_00358
ko:K09924	xcn:J169_00359
ko:K15034	xcn:J169_00360
ko:K13051	xcn:J169_00362
ko:K01284	xcn:J169_00363
ko:K06996	xcn:J169_00366
ko:K01638	xcn:J169_00370
ko:K01637	xcn:J169_00371
ko:K01968	xcn:J169_00378
ko:K01969	xcn:J169_00379
ko:K00253	xcn:J169_00380
ko:K07004	xcn:J169_00389
ko:K07018	xcn:J169_00394
ko:K06916	xcn:J169_00395
ko:K06181	xcn:J169_00405
ko:K03579	xcn:J169_00408
ko:K14347	xcn:J169_04052
ko:K02259	xcn:J169_04055
ko:K02276	xcn:J169_04059
ko:K02258	xcn:J169_04060
ko:K02274	xcn:J169_04062
ko:K06940	xcn:J169_00464
ko:K00141	xcn:J169_00471
ko:K18954	xcn:J169_00472
ko:K00481	xcn:J169_00473
ko:K00864	xcn:J169_00476
ko:K02440	xcn:J169_00477
ko:K00111	xcn:J169_00478
ko:K02444	xcn:J169_00479
ko:K01039	xcn:J169_00482
ko:K01040	xcn:J169_00483
ko:K07823	xcn:J169_00484
ko:K00449	xcn:J169_00485
ko:K00448	xcn:J169_00486
ko:K01857	xcn:J169_00487
ko:K01055	xcn:J169_00488
ko:K01607	xcn:J169_00489
ko:K02624	xcn:J169_00491
ko:K07178	xcn:J169_00492
ko:K03495	xcn:J169_00495
ko:K01754	xcn:J169_00497
ko:K02169	xcn:J169_00501
ko:K00059	xcn:J169_00502
ko:K02170	xcn:J169_00503
