ko:K02028	ssus:NJAUSS_0467
ko:K02038	ssus:NJAUSS_1024
ko:K02037	ssus:NJAUSS_1025
ko:K02040	ssus:NJAUSS_1026
ko:K10716	ssus:NJAUSS_1031
ko:K11753	ssus:NJAUSS_1032
ko:K07088	ssus:NJAUSS_1048
ko:K08987	ssus:NJAUSS_1053
ko:K00950	ssus:NJAUSS_1059
ko:K01633	ssus:NJAUSS_1060
ko:K00796	ssus:NJAUSS_1061
ko:K01495	ssus:NJAUSS_1062
ko:K03073	ssus:NJAUSS_1829
ko:K02913	ssus:NJAUSS_1830
ko:K06180	ssus:NJAUSS_1833
ko:K09760	ssus:NJAUSS_1837
ko:K01783	ssus:NJAUSS_1839
ko:K06949	ssus:NJAUSS_1840
ko:K02528	ssus:NJAUSS_1847
ko:K05985	ssus:NJAUSS_1855
ko:K03424	ssus:NJAUSS_1856
ko:K02914	ssus:NJAUSS_1857
ko:K03217	ssus:NJAUSS_1859
ko:K03536	ssus:NJAUSS_1860
ko:K01755	ssus:NJAUSS_1861
ko:K01940	ssus:NJAUSS_1862
ko:K01673	ssus:NJAUSS_1874
ko:K04485	ssus:NJAUSS_1875
ko:K02601	ssus:NJAUSS_1828
ko:K01223	ssus:NJAUSS_0192
ko:K00615	ssus:NJAUSS_0197
ko:K00615	ssus:NJAUSS_0198
ko:K01126	ssus:NJAUSS_0199
ko:K09747	ssus:NJAUSS_0200
ko:K02082	ssus:NJAUSS_0201
ko:K00656	ssus:NJAUSS_0206
ko:K02346	ssus:NJAUSS_0207
ko:K07118	ssus:NJAUSS_0209
ko:K02761	ssus:NJAUSS_0214
ko:K03581	ssus:NJAUSS_0224
ko:K03100	ssus:NJAUSS_0225
ko:K07456	ssus:NJAUSS_0234
ko:K03671	ssus:NJAUSS_0236
ko:K12267	ssus:NJAUSS_0238
ko:K02003	ssus:NJAUSS_0241
ko:K03310	ssus:NJAUSS_0242
ko:K00262	ssus:NJAUSS_0245
ko:K01890	ssus:NJAUSS_1068
ko:K01889	ssus:NJAUSS_1070
ko:K01207	ssus:NJAUSS_1071
ko:K01207	ssus:NJAUSS_1072
ko:K01686	ssus:NJAUSS_1075
ko:K01812	ssus:NJAUSS_1076
ko:K01625	ssus:NJAUSS_1077
ko:K01195	ssus:NJAUSS_1079
ko:K00874	ssus:NJAUSS_1080
ko:K00790	ssus:NJAUSS_1084
ko:K02114	ssus:NJAUSS_1085
ko:K02112	ssus:NJAUSS_1086
ko:K02115	ssus:NJAUSS_1087
ko:K02111	ssus:NJAUSS_1088
ko:K02113	ssus:NJAUSS_1089
ko:K02109	ssus:NJAUSS_1090
ko:K02108	ssus:NJAUSS_1091
ko:K02110	ssus:NJAUSS_1092
ko:K01972	ssus:NJAUSS_1094
ko:K07089	ssus:NJAUSS_1095
ko:K00036	ssus:NJAUSS_1097
ko:K03110	ssus:NJAUSS_1100
ko:K03529	ssus:NJAUSS_1103
ko:K03685	ssus:NJAUSS_1104
ko:K00031	ssus:NJAUSS_1112
ko:K01647	ssus:NJAUSS_1113
ko:K01681	ssus:NJAUSS_1114
ko:K00057	ssus:NJAUSS_1881
ko:K00963	ssus:NJAUSS_1882
ko:K05823	ssus:NJAUSS_1885
ko:K01810	ssus:NJAUSS_1890
ko:K11991	ssus:NJAUSS_1892
ko:K00615	ssus:NJAUSS_1893
ko:K10009	ssus:NJAUSS_1906
ko:K02424	ssus:NJAUSS_1907
ko:K02761	ssus:NJAUSS_1909
ko:K02759	ssus:NJAUSS_1911
ko:K02760	ssus:NJAUSS_1912
ko:K01869	ssus:NJAUSS_1917
ko:K01938	ssus:NJAUSS_0746
ko:K01153	ssus:NJAUSS_0749
ko:K03427	ssus:NJAUSS_0751
ko:K01154	ssus:NJAUSS_0752
ko:K03823	ssus:NJAUSS_0756
ko:K04069	ssus:NJAUSS_0760
ko:K02759	ssus:NJAUSS_0763
ko:K02760	ssus:NJAUSS_0764
ko:K02761	ssus:NJAUSS_0765
ko:K00656	ssus:NJAUSS_0766
ko:K00005	ssus:NJAUSS_0769
ko:K00133	ssus:NJAUSS_0770
ko:K01714	ssus:NJAUSS_0771
ko:K00864	ssus:NJAUSS_0774
ko:K02440	ssus:NJAUSS_0776
ko:K15975	ssus:NJAUSS_0777
ko:K06999	ssus:NJAUSS_0778
ko:K03657	ssus:NJAUSS_0782
ko:K00941	ssus:NJAUSS_0784
ko:K00878	ssus:NJAUSS_0785
ko:K00788	ssus:NJAUSS_0786
ko:K00757	ssus:NJAUSS_0788
ko:K16785	ssus:NJAUSS_0790
ko:K01586	ssus:NJAUSS_1579
ko:K06890	ssus:NJAUSS_1581
ko:K06950	ssus:NJAUSS_1582
ko:K03437	ssus:NJAUSS_1583
ko:K01512	ssus:NJAUSS_1584
ko:K03217	ssus:NJAUSS_1585
ko:K03624	ssus:NJAUSS_1586
ko:K07082	ssus:NJAUSS_1587
ko:K01924	ssus:NJAUSS_1589
ko:K03977	ssus:NJAUSS_1594
ko:K07738	ssus:NJAUSS_1598
ko:K07040	ssus:NJAUSS_1602
ko:K00384	ssus:NJAUSS_1603
ko:K01000	ssus:NJAUSS_1608
ko:K03438	ssus:NJAUSS_1611
ko:K03734	ssus:NJAUSS_1619
ko:K03885	ssus:NJAUSS_1622
ko:K07282	ssus:NJAUSS_0247
ko:K01421	ssus:NJAUSS_0253
ko:K02440	ssus:NJAUSS_0260
ko:K06915	ssus:NJAUSS_0261
ko:K02911	ssus:NJAUSS_0266
ko:K01892	ssus:NJAUSS_0267
ko:K04072	ssus:NJAUSS_0269
ko:K01733	ssus:NJAUSS_0270
ko:K16785	ssus:NJAUSS_0274
ko:K16786	ssus:NJAUSS_0275
ko:K16787	ssus:NJAUSS_0275
ko:K07166	ssus:NJAUSS_0283
ko:K09157	ssus:NJAUSS_0284
ko:K03705	ssus:NJAUSS_0286
ko:K03687	ssus:NJAUSS_0287
ko:K04043	ssus:NJAUSS_0288
ko:K03686	ssus:NJAUSS_0289
ko:K07727	ssus:NJAUSS_0294
ko:K01534	ssus:NJAUSS_0296
ko:K06173	ssus:NJAUSS_0298
ko:K03210	ssus:NJAUSS_1124
ko:K02747	ssus:NJAUSS_1125
ko:K02746	ssus:NJAUSS_1126
ko:K01625	ssus:NJAUSS_1130
ko:K00874	ssus:NJAUSS_1131
ko:K01872	ssus:NJAUSS_1143
ko:K08602	ssus:NJAUSS_1149
ko:K01874	ssus:NJAUSS_1151
ko:K01626	ssus:NJAUSS_1153
ko:K01626	ssus:NJAUSS_1154
ko:K00014	ssus:NJAUSS_1155
ko:K01735	ssus:NJAUSS_1156
ko:K01443	ssus:NJAUSS_1162
ko:K01736	ssus:NJAUSS_1165
ko:K03785	ssus:NJAUSS_1166
ko:K06969	ssus:NJAUSS_1167
ko:K07707	ssus:NJAUSS_1925
ko:K07560	ssus:NJAUSS_1926
ko:K09761	ssus:NJAUSS_1936
ko:K02687	ssus:NJAUSS_1937
ko:K07478	ssus:NJAUSS_1941
ko:K03555	ssus:NJAUSS_1950
ko:K03402	ssus:NJAUSS_1951
ko:K01887	ssus:NJAUSS_1952
ko:K00705	ssus:NJAUSS_1955
ko:K15771	ssus:NJAUSS_1957
ko:K15772	ssus:NJAUSS_1958
ko:K02529	ssus:NJAUSS_1960
ko:K01876	ssus:NJAUSS_1964
ko:K05349	ssus:NJAUSS_1968
ko:K05349	ssus:NJAUSS_1970
ko:K00868	ssus:NJAUSS_0299
ko:K03545	ssus:NJAUSS_0313
ko:K01937	ssus:NJAUSS_0317
ko:K01624	ssus:NJAUSS_0319
ko:K02902	ssus:NJAUSS_0320
ko:K03655	ssus:NJAUSS_0327
ko:K14260	ssus:NJAUSS_0332
ko:K03706	ssus:NJAUSS_0333
ko:K02884	ssus:NJAUSS_0335
ko:K02435	ssus:NJAUSS_0337
ko:K02434	ssus:NJAUSS_0339
ko:K01129	ssus:NJAUSS_0340
ko:K02529	ssus:NJAUSS_0341
ko:K00849	ssus:NJAUSS_0342
ko:K00965	ssus:NJAUSS_0343
ko:K07015	ssus:NJAUSS_0347
ko:K02887	ssus:NJAUSS_1170
ko:K02916	ssus:NJAUSS_1171
ko:K02520	ssus:NJAUSS_1172
ko:K00945	ssus:NJAUSS_1173
ko:K01448	ssus:NJAUSS_1193
ko:K00067	ssus:NJAUSS_1195
ko:K01790	ssus:NJAUSS_1198
ko:K00973	ssus:NJAUSS_1199
ko:K07238	ssus:NJAUSS_1200
ko:K06967	ssus:NJAUSS_1202
ko:K00651	ssus:NJAUSS_1204
ko:K00759	ssus:NJAUSS_1205
ko:K07462	ssus:NJAUSS_1207
ko:K06131	ssus:NJAUSS_1208
ko:K07124	ssus:NJAUSS_1209
ko:K03665	ssus:NJAUSS_1212
ko:K00791	ssus:NJAUSS_1213
ko:K03449	ssus:NJAUSS_1214
ko:K02986	ssus:NJAUSS_1976
ko:K02939	ssus:NJAUSS_1979
ko:K03495	ssus:NJAUSS_1981
ko:K00566	ssus:NJAUSS_1987
ko:K01752	ssus:NJAUSS_1988
ko:K01752	ssus:NJAUSS_1989
ko:K16785	ssus:NJAUSS_1991
ko:K00995	ssus:NJAUSS_1994
ko:K03629	ssus:NJAUSS_1999
ko:K01867	ssus:NJAUSS_2001
ko:K00783	ssus:NJAUSS_2009
ko:K03703	ssus:NJAUSS_0800
ko:K03979	ssus:NJAUSS_0801
ko:K16898	ssus:NJAUSS_0804
ko:K08591	ssus:NJAUSS_0805
ko:K02622	ssus:NJAUSS_0806
ko:K04095	ssus:NJAUSS_0808
ko:K04095	ssus:NJAUSS_0809
ko:K02621	ssus:NJAUSS_0812
ko:K00826	ssus:NJAUSS_0814
ko:K02945	ssus:NJAUSS_0818
ko:K01620	ssus:NJAUSS_0820
ko:K04487	ssus:NJAUSS_0821
ko:K03151	ssus:NJAUSS_0822
ko:K03311	ssus:NJAUSS_0823
ko:K02888	ssus:NJAUSS_0824
ko:K02899	ssus:NJAUSS_0825
ko:K03101	ssus:NJAUSS_0828
ko:K06180	ssus:NJAUSS_0829
ko:K06193	ssus:NJAUSS_0830
ko:K02825	ssus:NJAUSS_0832
ko:K00609	ssus:NJAUSS_0833
ko:K01956	ssus:NJAUSS_0834
ko:K01955	ssus:NJAUSS_0835
ko:K01304	ssus:NJAUSS_0837
ko:K02959	ssus:NJAUSS_0839
ko:K06960	ssus:NJAUSS_0840
ko:K00003	ssus:NJAUSS_0844
ko:K00872	ssus:NJAUSS_0845
ko:K00075	ssus:NJAUSS_0846
ko:K01879	ssus:NJAUSS_1629
ko:K01878	ssus:NJAUSS_1630
ko:K02072	ssus:NJAUSS_1633
ko:K02071	ssus:NJAUSS_1634
ko:K02073	ssus:NJAUSS_1636
ko:K07010	ssus:NJAUSS_1637
ko:K00549	ssus:NJAUSS_1638
ko:K00297	ssus:NJAUSS_1639
ko:K06901	ssus:NJAUSS_1640
ko:K01875	ssus:NJAUSS_1646
ko:K03427	ssus:NJAUSS_1647
ko:K01154	ssus:NJAUSS_1648
ko:K01153	ssus:NJAUSS_1649
ko:K01962	ssus:NJAUSS_1656
ko:K01963	ssus:NJAUSS_1657
ko:K01961	ssus:NJAUSS_1658
ko:K02372	ssus:NJAUSS_1659
ko:K02160	ssus:NJAUSS_1660
ko:K09458	ssus:NJAUSS_1661
ko:K00645	ssus:NJAUSS_1663
ko:K02078	ssus:NJAUSS_1665
ko:K00648	ssus:NJAUSS_1666
ko:K00928	ssus:NJAUSS_1670
ko:K01775	ssus:NJAUSS_1671
ko:K00997	ssus:NJAUSS_1672
ko:K03070	ssus:NJAUSS_1673
ko:K00847	ssus:NJAUSS_1675
ko:K07574	ssus:NJAUSS_0349
ko:K00969	ssus:NJAUSS_0350
ko:K09710	ssus:NJAUSS_0354
ko:K01462	ssus:NJAUSS_0363
ko:K00705	ssus:NJAUSS_0365
ko:K00688	ssus:NJAUSS_0366
ko:K07146	ssus:NJAUSS_0376
ko:K16786	ssus:NJAUSS_0378
ko:K16787	ssus:NJAUSS_0378
ko:K16785	ssus:NJAUSS_0379
ko:K03704	ssus:NJAUSS_0380
ko:K03501	ssus:NJAUSS_0381
ko:K05366	ssus:NJAUSS_0382
ko:K07444	ssus:NJAUSS_0386
ko:K07173	ssus:NJAUSS_0388
ko:K00942	ssus:NJAUSS_0390
ko:K03060	ssus:NJAUSS_0391
ko:K04066	ssus:NJAUSS_0392
ko:K00604	ssus:NJAUSS_0393
ko:K03500	ssus:NJAUSS_0394
ko:K01738	ssus:NJAUSS_0402
ko:K00077	ssus:NJAUSS_1219
ko:K00243	ssus:NJAUSS_1220
ko:K02838	ssus:NJAUSS_1221
ko:K09903	ssus:NJAUSS_1222
ko:K02863	ssus:NJAUSS_1226
ko:K02867	ssus:NJAUSS_1227
ko:K03466	ssus:NJAUSS_1230
ko:K01193	ssus:NJAUSS_1231
ko:K02529	ssus:NJAUSS_1235
ko:K02837	ssus:NJAUSS_1241
ko:K01929	ssus:NJAUSS_1244
ko:K01921	ssus:NJAUSS_1246
ko:K06187	ssus:NJAUSS_1247
ko:K00687	ssus:NJAUSS_1248
ko:K10039	ssus:NJAUSS_1255
ko:K10040	ssus:NJAUSS_1256
ko:K01868	ssus:NJAUSS_1258
ko:K02529	ssus:NJAUSS_1264
ko:K08986	ssus:NJAUSS_1096
ko:K08316	ssus:NJAUSS_1553
ko:K16923	ssus:NJAUSS_0789
ko:K00951	ssus:NJAUSS_1927
ko:K16924	ssus:NJAUSS_0374
ko:K16926	ssus:NJAUSS_0273
ko:K14232	ssus:NJAUSS_0028
ko:K14232	ssus:NJAUSS_0419
ko:K14225	ssus:NJAUSS_0025
ko:K14225	ssus:NJAUSS_0416
ko:K14234	ssus:NJAUSS_0024
ko:K14234	ssus:NJAUSS_0415
ko:K14237	ssus:NJAUSS_0020
ko:K14237	ssus:NJAUSS_0111
ko:K14237	ssus:NJAUSS_0411
ko:K14228	ssus:NJAUSS_0122
ko:K11070	ssus:NJAUSS_0849
ko:K15035	ssus:NJAUSS_1321
ko:K02029	ssus:NJAUSS_0466
ko:K14230	ssus:NJAUSS_0032
ko:K14230	ssus:NJAUSS_0116
ko:K14234	ssus:NJAUSS_1309
ko:K01977	ssus:NJAUSS_0016
ko:K01977	ssus:NJAUSS_0407
ko:K01977	ssus:NJAUSS_0321
ko:K01977	ssus:NJAUSS_0107
ko:K01992	ssus:NJAUSS_0250
ko:K10010	ssus:NJAUSS_1905
ko:K01990	ssus:NJAUSS_0799
ko:K02029	ssus:NJAUSS_0962
ko:K02030	ssus:NJAUSS_0962
ko:K01990	ssus:NJAUSS_1187
ko:K14228	ssus:NJAUSS_1841
ko:K10947	ssus:NJAUSS_1468
ko:K17319	ssus:NJAUSS_1234
ko:K17319	ssus:NJAUSS_1764
ko:K17318	ssus:NJAUSS_1232
ko:K17318	ssus:NJAUSS_1762
ko:K01992	ssus:NJAUSS_0798
ko:K14227	ssus:NJAUSS_0034
ko:K14227	ssus:NJAUSS_0113
ko:K01992	ssus:NJAUSS_1708
ko:K01992	ssus:NJAUSS_1188
ko:K01990	ssus:NJAUSS_1709
ko:K01990	ssus:NJAUSS_0190
ko:K01990	ssus:NJAUSS_0508
ko:K14228	ssus:NJAUSS_0318
ko:K02032	ssus:NJAUSS_1721
ko:K02028	ssus:NJAUSS_0519
ko:K03574	ssus:NJAUSS_1063
ko:K02028	ssus:NJAUSS_0963
ko:K14224	ssus:NJAUSS_0114
ko:K14224	ssus:NJAUSS_2006
ko:K14224	ssus:NJAUSS_0326
ko:K14236	ssus:NJAUSS_0118
ko:K14236	ssus:NJAUSS_0816
ko:K14219	ssus:NJAUSS_0819
ko:K14233	ssus:NJAUSS_0035
ko:K17320	ssus:NJAUSS_1233
ko:K17320	ssus:NJAUSS_1763
ko:K14225	ssus:NJAUSS_0112
ko:K14231	ssus:NJAUSS_0033
ko:K14231	ssus:NJAUSS_0117
ko:K14233	ssus:NJAUSS_0031
ko:K14233	ssus:NJAUSS_0115
ko:K14230	ssus:NJAUSS_0029
ko:K14221	ssus:NJAUSS_0021
ko:K14221	ssus:NJAUSS_0412
ko:K14222	ssus:NJAUSS_1826
ko:K14235	ssus:NJAUSS_0119
ko:K01537	ssus:NJAUSS_1318
ko:K02030	ssus:NJAUSS_0955
ko:K02030	ssus:NJAUSS_0956
ko:K17076	ssus:NJAUSS_1734
ko:K14219	ssus:NJAUSS_2007
ko:K01992	ssus:NJAUSS_0249
ko:K17073	ssus:NJAUSS_1733
ko:K17074	ssus:NJAUSS_1733
ko:K10947	ssus:NJAUSS_1049
ko:K14230	ssus:NJAUSS_0030
ko:K14229	ssus:NJAUSS_0022
ko:K14229	ssus:NJAUSS_0413
ko:K14228	ssus:NJAUSS_0026
ko:K14228	ssus:NJAUSS_0417
ko:K14218	ssus:NJAUSS_0017
ko:K14218	ssus:NJAUSS_0108
ko:K14218	ssus:NJAUSS_0408
ko:K14218	ssus:NJAUSS_0322
ko:K10112	ssus:NJAUSS_1756
ko:K14228	ssus:NJAUSS_0023
ko:K14228	ssus:NJAUSS_0414
ko:K01990	ssus:NJAUSS_1560
ko:K01992	ssus:NJAUSS_1559
ko:K02027	ssus:NJAUSS_0180
ko:K14223	ssus:NJAUSS_0121
ko:K14223	ssus:NJAUSS_0817
ko:K14233	ssus:NJAUSS_1320
ko:K14219	ssus:NJAUSS_1421
ko:K14229	ssus:NJAUSS_1942
ko:K01980	ssus:NJAUSS_0018
ko:K01980	ssus:NJAUSS_0323
ko:K01980	ssus:NJAUSS_0109
ko:K01980	ssus:NJAUSS_0409
ko:K01985	ssus:NJAUSS_0019
ko:K01985	ssus:NJAUSS_0324
ko:K01985	ssus:NJAUSS_0410
ko:K01985	ssus:NJAUSS_0110
ko:K14219	ssus:NJAUSS_0027
ko:K14219	ssus:NJAUSS_0418
ko:K14226	ssus:NJAUSS_0120
ko:K14220	ssus:NJAUSS_0325
ko:K14220	ssus:NJAUSS_2005
ko:K17686	ssus:NJAUSS_1288
ko:K01739	ssus:NJAUSS_1443
ko:K00226	ssus:NJAUSS_0246
ko:K17828	ssus:NJAUSS_0948
ko:K06518	ssus:NJAUSS_0257
ko:K03767	ssus:NJAUSS_1239
ko:K03486	ssus:NJAUSS_0367
ko:K02004	ssus:NJAUSS_1284
ko:K01467	ssus:NJAUSS_0011
ko:K02026	ssus:NJAUSS_0182
ko:K07284	ssus:NJAUSS_1000
ko:K12574	ssus:NJAUSS_0174
ko:K00661	ssus:NJAUSS_0930
ko:K12574	ssus:NJAUSS_1373
ko:K07491	ssus:NJAUSS_1469
ko:K07491	ssus:NJAUSS_1515
ko:K07491	ssus:NJAUSS_0741
ko:K07284	ssus:NJAUSS_0449
ko:K07284	ssus:NJAUSS_0473
ko:K00561	ssus:NJAUSS_0669
ko:K18216	ssus:NJAUSS_1308
ko:K18220	ssus:NJAUSS_0582
ko:K02809	ssus:NJAUSS_1779
ko:K02810	ssus:NJAUSS_1779
ko:K01071	ssus:NJAUSS_1335
ko:K05799	ssus:NJAUSS_1078
ko:K02794	ssus:NJAUSS_1269
ko:K02794	ssus:NJAUSS_0427
ko:K02614	ssus:NJAUSS_0986
ko:K18214	ssus:NJAUSS_0583
ko:K18217	ssus:NJAUSS_1307
ko:K18231	ssus:NJAUSS_0619
ko:K01000	ssus:NJAUSS_1607
ko:K00917	ssus:NJAUSS_0210
ko:K16868	ssus:NJAUSS_1290
ko:K03742	ssus:NJAUSS_0073
ko:K18474	ssus:NJAUSS_1668
ko:K16235	ssus:NJAUSS_1868
ko:K00105	ssus:NJAUSS_0775
ko:K01200	ssus:NJAUSS_1961
ko:K18581	ssus:NJAUSS_1128
ko:K00983	ssus:NJAUSS_0546
ko:K18682	ssus:NJAUSS_0389
ko:K06896	ssus:NJAUSS_0368
ko:K18672	ssus:NJAUSS_1364
ko:K18692	ssus:NJAUSS_1605
ko:K06218	ssus:NJAUSS_1388
ko:K18815	ssus:NJAUSS_1355
ko:K03789	ssus:NJAUSS_1786
ko:K18892	ssus:NJAUSS_1878
ko:K18891	ssus:NJAUSS_1879
ko:K03790	ssus:NJAUSS_1496
ko:K18888	ssus:NJAUSS_0842
ko:K18887	ssus:NJAUSS_0841
ko:K03111	ssus:NJAUSS_1688
ko:K06218	ssus:NJAUSS_0911
ko:K03111	ssus:NJAUSS_0161
ko:K03497	ssus:NJAUSS_2011
ko:K03205	ssus:NJAUSS_0569
ko:K03497	ssus:NJAUSS_0589
ko:K16214	ssus:NJAUSS_0601
ko:K03502	ssus:NJAUSS_0622
ko:K05593	ssus:NJAUSS_0668
ko:K06218	ssus:NJAUSS_0680
ko:K07029	ssus:NJAUSS_1093
ko:K19055	ssus:NJAUSS_1375
ko:K07484	ssus:NJAUSS_0550
ko:K19002	ssus:NJAUSS_1261
ko:K18979	ssus:NJAUSS_1315
ko:K13052	ssus:NJAUSS_0010
ko:K18986	ssus:NJAUSS_1535
ko:K02851	ssus:NJAUSS_1730
ko:K18987	ssus:NJAUSS_1536
ko:K19005	ssus:NJAUSS_1168
ko:K07452	ssus:NJAUSS_0896
ko:K06893	ssus:NJAUSS_1986
ko:K19159	ssus:NJAUSS_1850
ko:K19147	ssus:NJAUSS_0897
ko:K19158	ssus:NJAUSS_1849
ko:K05881	ssus:NJAUSS_1804
ko:K01710	ssus:NJAUSS_1196
ko:K01215	ssus:NJAUSS_1435
ko:K03722	ssus:NJAUSS_0522
ko:K19302	ssus:NJAUSS_1566
ko:K12952	ssus:NJAUSS_1242
ko:K04771	ssus:NJAUSS_2010
ko:K19299	ssus:NJAUSS_0666
ko:K02031	ssus:NJAUSS_1722
ko:K18231	ssus:NJAUSS_1249
ko:K06881	ssus:NJAUSS_1416
ko:K00526	ssus:NJAUSS_1117
ko:K01654	ssus:NJAUSS_0543
ko:K02796	ssus:NJAUSS_1644
ko:K02796	ssus:NJAUSS_1267
ko:K02796	ssus:NJAUSS_0429
ko:K00887	ssus:NJAUSS_1300
ko:K20484	ssus:NJAUSS_0614
ko:K20483	ssus:NJAUSS_0612
ko:K21636	ssus:NJAUSS_1946
ko:K20074	ssus:NJAUSS_0395
ko:K12132	ssus:NJAUSS_0396
ko:K20073	ssus:NJAUSS_0387
ko:K19506	ssus:NJAUSS_1266
ko:K02777	ssus:NJAUSS_0369
ko:K20107	ssus:NJAUSS_0369
ko:K20108	ssus:NJAUSS_0369
ko:K20342	ssus:NJAUSS_0065
ko:K20491	ssus:NJAUSS_0610
ko:K20459	ssus:NJAUSS_0917
ko:K20460	ssus:NJAUSS_0916
ko:K20461	ssus:NJAUSS_0915
ko:K20492	ssus:NJAUSS_0611
ko:K00525	ssus:NJAUSS_1116
ko:K20489	ssus:NJAUSS_0918
ko:K20485	ssus:NJAUSS_0613
ko:K20486	ssus:NJAUSS_0606
ko:K20487	ssus:NJAUSS_0608
ko:K20488	ssus:NJAUSS_0607
ko:K20489	ssus:NJAUSS_0615
ko:K20490	ssus:NJAUSS_0609
ko:K18889	ssus:NJAUSS_0282
ko:K18890	ssus:NJAUSS_0281
ko:K11751	ssus:NJAUSS_1945
ko:K21064	ssus:NJAUSS_1641
ko:K08968	ssus:NJAUSS_1506
ko:K00560	ssus:NJAUSS_0874
ko:K00287	ssus:NJAUSS_0875
ko:K00857	ssus:NJAUSS_0883
ko:K03553	ssus:NJAUSS_0074
ko:K01520	ssus:NJAUSS_1877
ko:K06191	ssus:NJAUSS_1115
ko:K07313	ssus:NJAUSS_1889
ko:K04068	ssus:NJAUSS_1943
ko:K06217	ssus:NJAUSS_1216
ko:K02314	ssus:NJAUSS_1978
ko:K02316	ssus:NJAUSS_1328
ko:K00558	ssus:NJAUSS_0563
ko:K06919	ssus:NJAUSS_1401
ko:K00558	ssus:NJAUSS_0639
ko:K01493	ssus:NJAUSS_1500
ko:K00571	ssus:NJAUSS_0152
ko:K02335	ssus:NJAUSS_1282
ko:K00863	ssus:NJAUSS_1800
ko:K01759	ssus:NJAUSS_1237
ko:K01101	ssus:NJAUSS_1333
ko:K06148	ssus:NJAUSS_0272
ko:K06148	ssus:NJAUSS_0271
ko:K21471	ssus:NJAUSS_0038
ko:K21567	ssus:NJAUSS_1832
ko:K21828	ssus:NJAUSS_0686
ko:K02334	ssus:NJAUSS_0627
ko:K21977	ssus:NJAUSS_0745
ko:K22044	ssus:NJAUSS_0243
ko:K03595	ssus:NJAUSS_1299
ko:K03078	ssus:NJAUSS_1899
ko:K22278	ssus:NJAUSS_1513
ko:K17758	ssus:NJAUSS_0854
ko:K03077	ssus:NJAUSS_1897
ko:K03079	ssus:NJAUSS_1898
ko:K22441	ssus:NJAUSS_1069
ko:K22457	ssus:NJAUSS_0677
