ko:K00602	bcb:BCB4264_A0344
ko:K02956	bcb:BCB4264_A3906
ko:K09683	bcb:BCB4264_A3761
ko:K02001	bcb:BCB4264_A2795
ko:K09682	bcb:BCB4264_A1081
ko:K00433	bcb:BCB4264_A4897
ko:K14230	bcb:BCB4264_A5667
ko:K14230	bcb:BCB4264_A5678
ko:K14230	bcb:BCB4264_A5710
ko:K14230	bcb:BCB4264_A5737
ko:K14230	bcb:BCB4264_A5807
ko:K01978	bcb:BCB4264_A5758
ko:K02834	bcb:BCB4264_A3909
ko:K02519	bcb:BCB4264_A3911
ko:K07742	bcb:BCB4264_A3913
ko:K02600	bcb:BCB4264_A3914
ko:K09748	bcb:BCB4264_A3915
ko:K03763	bcb:BCB4264_A3916
ko:K01881	bcb:BCB4264_A3917
ko:K03529	bcb:BCB4264_A3947
ko:K03685	bcb:BCB4264_A3948
ko:K02078	bcb:BCB4264_A3949
ko:K00645	bcb:BCB4264_A3951
ko:K03621	bcb:BCB4264_A3952
ko:K03655	bcb:BCB4264_A3954
ko:K02902	bcb:BCB4264_A3957
ko:K01783	bcb:BCB4264_A3959
ko:K06949	bcb:BCB4264_A3960
ko:K06941	bcb:BCB4264_A3963
ko:K03500	bcb:BCB4264_A3964
ko:K00604	bcb:BCB4264_A3965
ko:K01462	bcb:BCB4264_A3966
ko:K04066	bcb:BCB4264_A3967
ko:K03060	bcb:BCB4264_A3969
ko:K00942	bcb:BCB4264_A3970
ko:K09777	bcb:BCB4264_A3971
ko:K04074	bcb:BCB4264_A3997
ko:K02221	bcb:BCB4264_A3999
ko:K09772	bcb:BCB4264_A4000
ko:K06997	bcb:BCB4264_A4001
ko:K05810	bcb:BCB4264_A4002
ko:K03091	bcb:BCB4264_A4004
ko:K00426	bcb:BCB4264_A4082
ko:K03091	bcb:BCB4264_A4005
ko:K06383	bcb:BCB4264_A4006
ko:K03531	bcb:BCB4264_A4007
ko:K03590	bcb:BCB4264_A4008
ko:K03589	bcb:BCB4264_A4009
ko:K00075	bcb:BCB4264_A4010
ko:K02563	bcb:BCB4264_A4011
ko:K03588	bcb:BCB4264_A4012
ko:K01925	bcb:BCB4264_A4013
ko:K01000	bcb:BCB4264_A4014
ko:K01928	bcb:BCB4264_A4015
ko:K08384	bcb:BCB4264_A4016
ko:K03438	bcb:BCB4264_A4019
ko:K00077	bcb:BCB4264_A4021
ko:K02911	bcb:BCB4264_A4024
ko:K07040	bcb:BCB4264_A4025
ko:K07001	bcb:BCB4264_A4028
ko:K00954	bcb:BCB4264_A4030
ko:K07175	bcb:BCB4264_A4054
ko:K06207	bcb:BCB4264_A4059
ko:K00382	bcb:BCB4264_A4072
ko:K00627	bcb:BCB4264_A4073
ko:K00162	bcb:BCB4264_A4074
ko:K00161	bcb:BCB4264_A4075
ko:K01462	bcb:BCB4264_A4077
ko:K00344	bcb:BCB4264_A2123
ko:K05823	bcb:BCB4264_A4083
ko:K09776	bcb:BCB4264_A4088
ko:K01779	bcb:BCB4264_A4865
ko:K08963	bcb:BCB4264_A4139
ko:K00899	bcb:BCB4264_A4140
ko:K08998	bcb:BCB4264_A4918
ko:K01673	bcb:BCB4264_A4919
ko:K07124	bcb:BCB4264_A4244
ko:K00425	bcb:BCB4264_A4920
ko:K00426	bcb:BCB4264_A4921
ko:K03969	bcb:BCB4264_A4929
ko:K04759	bcb:BCB4264_A4932
ko:K04758	bcb:BCB4264_A4933
ko:K06405	bcb:BCB4264_A4177
ko:K03308	bcb:BCB4264_A4181
ko:K03091	bcb:BCB4264_A4182
ko:K06379	bcb:BCB4264_A4183
ko:K09807	bcb:BCB4264_A4192
ko:K06901	bcb:BCB4264_A4193
ko:K03284	bcb:BCB4264_A4194
ko:K00756	bcb:BCB4264_A4195
ko:K01839	bcb:BCB4264_A4197
ko:K00874	bcb:BCB4264_A4972
ko:K01042	bcb:BCB4264_A4974
ko:K01465	bcb:BCB4264_A4975
ko:K01911	bcb:BCB4264_A4982
ko:K01661	bcb:BCB4264_A4984
ko:K02551	bcb:BCB4264_A4986
ko:K02548	bcb:BCB4264_A4988
ko:K03704	bcb:BCB4264_A4990
ko:K00688	bcb:BCB4264_A4995
ko:K00703	bcb:BCB4264_A4996
ko:K00930	bcb:BCB4264_A4240
ko:K00145	bcb:BCB4264_A4242
ko:K07052	bcb:BCB4264_A5144
ko:K04757	bcb:BCB4264_A1032
ko:K11103	bcb:BCB4264_A3697
ko:K03088	bcb:BCB4264_A3700
ko:K02621	bcb:BCB4264_A3705
ko:K02622	bcb:BCB4264_A3706
ko:K06999	bcb:BCB4264_A3750
ko:K07736	bcb:BCB4264_A3756
ko:K01468	bcb:BCB4264_A3758
ko:K01712	bcb:BCB4264_A3759
ko:K01745	bcb:BCB4264_A3760
ko:K00675	bcb:BCB4264_A3488
ko:K10536	bcb:BCB4264_A3490
ko:K10536	bcb:BCB4264_A3497
ko:K03704	bcb:BCB4264_A3647
ko:K01755	bcb:BCB4264_A3657
ko:K09775	bcb:BCB4264_A3666
ko:K05786	bcb:BCB4264_A3667
ko:K03636	bcb:BCB4264_A3672
ko:K03750	bcb:BCB4264_A3674
ko:K03639	bcb:BCB4264_A3677
ko:K02379	bcb:BCB4264_A3678
ko:K00123	bcb:BCB4264_A3681
ko:K15580	bcb:BCB4264_A3695
ko:K08591	bcb:BCB4264_A3712
ko:K07107	bcb:BCB4264_A3714
ko:K01681	bcb:BCB4264_A3724
ko:K03523	bcb:BCB4264_A3737
ko:K07447	bcb:BCB4264_A4506
ko:K01872	bcb:BCB4264_A4508
ko:K03581	bcb:BCB4264_A4514
ko:K00566	bcb:BCB4264_A4516
ko:K04487	bcb:BCB4264_A4517
ko:K07478	bcb:BCB4264_A4519
ko:K00615	bcb:BCB4264_A3790
ko:K02042	bcb:BCB4264_A3792
ko:K02042	bcb:BCB4264_A3793
ko:K02041	bcb:BCB4264_A3794
ko:K02044	bcb:BCB4264_A3795
ko:K03979	bcb:BCB4264_A4558
ko:K02899	bcb:BCB4264_A4560
ko:K02888	bcb:BCB4264_A4562
ko:K08301	bcb:BCB4264_A4564
ko:K03609	bcb:BCB4264_A4567
ko:K03610	bcb:BCB4264_A4568
ko:K03571	bcb:BCB4264_A4569
ko:K03570	bcb:BCB4264_A4570
ko:K03569	bcb:BCB4264_A4571
ko:K03630	bcb:BCB4264_A4572
ko:K06287	bcb:BCB4264_A4573
ko:K01873	bcb:BCB4264_A4576
ko:K01845	bcb:BCB4264_A4579
ko:K01698	bcb:BCB4264_A4580
ko:K01749	bcb:BCB4264_A4582
ko:K02497	bcb:BCB4264_A4583
ko:K02492	bcb:BCB4264_A4584
ko:K09936	bcb:BCB4264_A3455
ko:K02016	bcb:BCB4264_A3472
ko:K02015	bcb:BCB4264_A3473
ko:K02015	bcb:BCB4264_A3474
ko:K01531	bcb:BCB4264_A4254
ko:K07507	bcb:BCB4264_A4255
ko:K02346	bcb:BCB4264_A4256
ko:K01126	bcb:BCB4264_A3503
ko:K07734	bcb:BCB4264_A3511
ko:K00978	bcb:BCB4264_A3526
ko:K01709	bcb:BCB4264_A3529
ko:K06394	bcb:BCB4264_A4299
ko:K06393	bcb:BCB4264_A4300
ko:K06392	bcb:BCB4264_A4301
ko:K06391	bcb:BCB4264_A4302
ko:K06390	bcb:BCB4264_A4303
ko:K02356	bcb:BCB4264_A4307
ko:K03786	bcb:BCB4264_A4309
ko:K02563	bcb:BCB4264_A4365
ko:K07697	bcb:BCB4264_A3635
ko:K07507	bcb:BCB4264_A3637
ko:K03527	bcb:BCB4264_A4405
ko:K06967	bcb:BCB4264_A4407
ko:K03086	bcb:BCB4264_A4409
ko:K09773	bcb:BCB4264_A4413
ko:K03584	bcb:BCB4264_A4415
ko:K07042	bcb:BCB4264_A4420
ko:K07037	bcb:BCB4264_A4421
ko:K06438	bcb:BCB4264_A4423
ko:K09117	bcb:BCB4264_A4426
ko:K02970	bcb:BCB4264_A4427
ko:K09761	bcb:BCB4264_A4430
ko:K02687	bcb:BCB4264_A4431
ko:K03686	bcb:BCB4264_A4432
ko:K14228	bcb:BCB4264_A5671
ko:K10907	bcb:BCB4264_A5033
ko:K04043	bcb:BCB4264_A4433
ko:K03687	bcb:BCB4264_A4434
ko:K03705	bcb:BCB4264_A4435
ko:K03596	bcb:BCB4264_A4438
ko:K06012	bcb:BCB4264_A4440
ko:K07015	bcb:BCB4264_A4456
ko:K01613	bcb:BCB4264_A4458
ko:K03091	bcb:BCB4264_A4459
ko:K02913	bcb:BCB4264_A4462
ko:K00500	bcb:BCB4264_A4477
ko:K02013	bcb:BCB4264_A4486
ko:K02015	bcb:BCB4264_A4487
ko:K02016	bcb:BCB4264_A4488
ko:K03624	bcb:BCB4264_A4499
ko:K00876	bcb:BCB4264_A4500
ko:K08303	bcb:BCB4264_A4501
ko:K08303	bcb:BCB4264_A4502
ko:K07082	bcb:BCB4264_A4504
ko:K01876	bcb:BCB4264_A4522
ko:K01892	bcb:BCB4264_A4523
ko:K07560	bcb:BCB4264_A4525
ko:K00759	bcb:BCB4264_A4527
ko:K07462	bcb:BCB4264_A4528
ko:K03210	bcb:BCB4264_A4535
ko:K00773	bcb:BCB4264_A4536
ko:K07568	bcb:BCB4264_A4537
ko:K03551	bcb:BCB4264_A4539
ko:K03550	bcb:BCB4264_A4540
ko:K02016	bcb:BCB4264_A4541
ko:K03517	bcb:BCB4264_A4546
ko:K00767	bcb:BCB4264_A4547
ko:K00278	bcb:BCB4264_A4548
ko:K04487	bcb:BCB4264_A4549
ko:K02003	bcb:BCB4264_A4555
ko:K01421	bcb:BCB4264_A5340
ko:K00425	bcb:BCB4264_A5344
ko:K00426	bcb:BCB4264_A5345
ko:K03893	bcb:BCB4264_A5346
ko:K03147	bcb:BCB4264_A5347
ko:K03303	bcb:BCB4264_A5349
ko:K00824	bcb:BCB4264_A5356
ko:K03978	bcb:BCB4264_A4587
ko:K01338	bcb:BCB4264_A4588
ko:K03544	bcb:BCB4264_A4590
ko:K03545	bcb:BCB4264_A4591
ko:K07095	bcb:BCB4264_A4599
ko:K00989	bcb:BCB4264_A4601
ko:K01776	bcb:BCB4264_A4603
ko:K02372	bcb:BCB4264_A5399
ko:K03569	bcb:BCB4264_A5400
ko:K06283	bcb:BCB4264_A5401
ko:K06381	bcb:BCB4264_A5407
ko:K00790	bcb:BCB4264_A5408
ko:K00343	bcb:BCB4264_A5411
ko:K00342	bcb:BCB4264_A5412
ko:K00341	bcb:BCB4264_A5413
ko:K00340	bcb:BCB4264_A5414
ko:K14393	bcb:BCB4264_A1672
ko:K00868	bcb:BCB4264_A5537
ko:K00338	bcb:BCB4264_A5416
ko:K00337	bcb:BCB4264_A5417
ko:K00333	bcb:BCB4264_A5418
ko:K00332	bcb:BCB4264_A5419
ko:K00331	bcb:BCB4264_A5420
ko:K00330	bcb:BCB4264_A5421
ko:K03790	bcb:BCB4264_A4258
ko:K09699	bcb:BCB4264_A4270
ko:K00167	bcb:BCB4264_A4271
ko:K00166	bcb:BCB4264_A4272
ko:K00382	bcb:BCB4264_A4273
ko:K00263	bcb:BCB4264_A4275
ko:K01126	bcb:BCB4264_A4279
ko:K07699	bcb:BCB4264_A4282
ko:K06399	bcb:BCB4264_A4283
ko:K03631	bcb:BCB4264_A4284
ko:K03402	bcb:BCB4264_A4285
ko:K06442	bcb:BCB4264_A4286
ko:K01662	bcb:BCB4264_A4287
ko:K03602	bcb:BCB4264_A4289
ko:K03601	bcb:BCB4264_A4290
ko:K03625	bcb:BCB4264_A4292
ko:K02160	bcb:BCB4264_A4295
ko:K06397	bcb:BCB4264_A4296
ko:K06396	bcb:BCB4264_A4297
ko:K03885	bcb:BCB4264_A5078
ko:K02068	bcb:BCB4264_A5080
ko:K02069	bcb:BCB4264_A5081
ko:K06193	bcb:BCB4264_A5082
ko:K03716	bcb:BCB4264_A4315
ko:K03800	bcb:BCB4264_A4319
ko:K00283	bcb:BCB4264_A4337
ko:K00282	bcb:BCB4264_A4338
ko:K00605	bcb:BCB4264_A4339
ko:K00891	bcb:BCB4264_A4347
ko:K00472	bcb:BCB4264_A4348
ko:K07476	bcb:BCB4264_A5133
ko:K02437	bcb:BCB4264_A5135
ko:K02913	bcb:BCB4264_A4380
ko:K02039	bcb:BCB4264_A4384
ko:K02036	bcb:BCB4264_A4385
ko:K02038	bcb:BCB4264_A4386
ko:K02037	bcb:BCB4264_A4387
ko:K02040	bcb:BCB4264_A4388
ko:K04564	bcb:BCB4264_A4391
ko:K09816	bcb:BCB4264_A4398
ko:K09817	bcb:BCB4264_A4399
ko:K01151	bcb:BCB4264_A4402
ko:K06911	bcb:BCB4264_A5189
ko:K03310	bcb:BCB4264_A5195
ko:K04047	bcb:BCB4264_A5196
ko:K06966	bcb:BCB4264_A5199
ko:K11535	bcb:BCB4264_A5203
ko:K03310	bcb:BCB4264_A5205
ko:K03310	bcb:BCB4264_A5206
ko:K07118	bcb:BCB4264_A5207
ko:K02968	bcb:BCB4264_A4441
ko:K02340	bcb:BCB4264_A4442
ko:K09710	bcb:BCB4264_A4450
ko:K00969	bcb:BCB4264_A4452
ko:K07574	bcb:BCB4264_A4453
ko:K00014	bcb:BCB4264_A4454
ko:K03664	bcb:BCB4264_A5242
ko:K03928	bcb:BCB4264_A5244
ko:K03075	bcb:BCB4264_A5245
ko:K01689	bcb:BCB4264_A5249
ko:K01803	bcb:BCB4264_A5251
ko:K00927	bcb:BCB4264_A5252
ko:K00134	bcb:BCB4264_A5253
ko:K05311	bcb:BCB4264_A5254
ko:K03092	bcb:BCB4264_A5256
ko:K06405	bcb:BCB4264_A5265
ko:K06406	bcb:BCB4264_A5266
ko:K06407	bcb:BCB4264_A5267
ko:K03797	bcb:BCB4264_A5300
ko:K09811	bcb:BCB4264_A5301
ko:K09812	bcb:BCB4264_A5302
ko:K03070	bcb:BCB4264_A5307
ko:K05808	bcb:BCB4264_A5308
ko:K03704	bcb:BCB4264_A5310
ko:K00012	bcb:BCB4264_A5321
ko:K07240	bcb:BCB4264_A5326
ko:K02759	bcb:BCB4264_A5329
ko:K02761	bcb:BCB4264_A5330
ko:K02760	bcb:BCB4264_A5331
ko:K00797	bcb:BCB4264_A5332
ko:K01611	bcb:BCB4264_A5333
ko:K00339	bcb:BCB4264_A5415
ko:K02759	bcb:BCB4264_A5334
ko:K02761	bcb:BCB4264_A5335
ko:K02760	bcb:BCB4264_A5336
ko:K02250	bcb:BCB4264_A5375
ko:K02003	bcb:BCB4264_A5379
ko:K02445	bcb:BCB4264_A5381
ko:K02012	bcb:BCB4264_A5382
ko:K02114	bcb:BCB4264_A5425
ko:K02112	bcb:BCB4264_A5426
ko:K02115	bcb:BCB4264_A5427
ko:K02111	bcb:BCB4264_A5429
ko:K02113	bcb:BCB4264_A5430
ko:K02109	bcb:BCB4264_A5431
ko:K02110	bcb:BCB4264_A5432
ko:K02108	bcb:BCB4264_A5433
ko:K00761	bcb:BCB4264_A5437
ko:K00600	bcb:BCB4264_A5438
ko:K01808	bcb:BCB4264_A5440
ko:K03644	bcb:BCB4264_A5116
ko:K09014	bcb:BCB4264_A5121
ko:K09013	bcb:BCB4264_A5125
ko:K02073	bcb:BCB4264_A5126
ko:K02073	bcb:BCB4264_A5127
ko:K02072	bcb:BCB4264_A5128
ko:K02071	bcb:BCB4264_A5129
ko:K03217	bcb:BCB4264_A5166
ko:K03885	bcb:BCB4264_A5214
ko:K01866	bcb:BCB4264_A5215
ko:K00075	bcb:BCB4264_A5216
ko:K06199	bcb:BCB4264_A5220
ko:K06199	bcb:BCB4264_A5221
ko:K02013	bcb:BCB4264_A5231
ko:K02015	bcb:BCB4264_A5232
ko:K02015	bcb:BCB4264_A5233
ko:K02016	bcb:BCB4264_A5234
ko:K06958	bcb:BCB4264_A5274
ko:K00384	bcb:BCB4264_A5277
ko:K06019	bcb:BCB4264_A5280
ko:K08972	bcb:BCB4264_A5283
ko:K03701	bcb:BCB4264_A5285
ko:K03702	bcb:BCB4264_A5286
ko:K14233	bcb:BCB4264_A5707
ko:K00286	bcb:BCB4264_A4246
ko:K01752	bcb:BCB4264_A4247
ko:K01752	bcb:BCB4264_A4248
ko:K07507	bcb:BCB4264_A5027
ko:K01810	bcb:BCB4264_A5030
ko:K09779	bcb:BCB4264_A5031
ko:K01880	bcb:BCB4264_A5046
ko:K03523	bcb:BCB4264_A5049
ko:K00963	bcb:BCB4264_A5050
ko:K09775	bcb:BCB4264_A5054
ko:K01255	bcb:BCB4264_A5057
ko:K09775	bcb:BCB4264_A5059
ko:K02563	bcb:BCB4264_A3848
ko:K00099	bcb:BCB4264_A3919
ko:K00981	bcb:BCB4264_A3920
ko:K00806	bcb:BCB4264_A3921
ko:K02838	bcb:BCB4264_A3922
ko:K09903	bcb:BCB4264_A3923
ko:K02357	bcb:BCB4264_A3924
ko:K02967	bcb:BCB4264_A3925
ko:K03706	bcb:BCB4264_A3926
ko:K03667	bcb:BCB4264_A3927
ko:K01419	bcb:BCB4264_A3928
ko:K03733	bcb:BCB4264_A3929
ko:K04094	bcb:BCB4264_A3930
ko:K03168	bcb:BCB4264_A3931
ko:K04096	bcb:BCB4264_A3932
ko:K01902	bcb:BCB4264_A3933
ko:K01903	bcb:BCB4264_A3934
ko:K03470	bcb:BCB4264_A3935
ko:K03100	bcb:BCB4264_A3937
ko:K02884	bcb:BCB4264_A3938
ko:K00554	bcb:BCB4264_A3940
ko:K02860	bcb:BCB4264_A3941
ko:K06960	bcb:BCB4264_A3942
ko:K02959	bcb:BCB4264_A3943
ko:K03106	bcb:BCB4264_A3944
ko:K03110	bcb:BCB4264_A3946
ko:K00873	bcb:BCB4264_A4708
ko:K00850	bcb:BCB4264_A4709
ko:K01962	bcb:BCB4264_A4710
ko:K01963	bcb:BCB4264_A4711
ko:K02337	bcb:BCB4264_A4714
ko:K00762	bcb:BCB4264_A3980
ko:K01591	bcb:BCB4264_A3981
ko:K01955	bcb:BCB4264_A3984
ko:K01956	bcb:BCB4264_A3985
ko:K01465	bcb:BCB4264_A3986
ko:K00609	bcb:BCB4264_A3987
ko:K02825	bcb:BCB4264_A3991
ko:K06180	bcb:BCB4264_A3993
ko:K03101	bcb:BCB4264_A3994
ko:K01870	bcb:BCB4264_A3996
ko:K01761	bcb:BCB4264_A4763
ko:K02986	bcb:BCB4264_A4764
ko:K01866	bcb:BCB4264_A4770
ko:K03088	bcb:BCB4264_A4772
ko:K01895	bcb:BCB4264_A4775
ko:K04766	bcb:BCB4264_A4776
ko:K04768	bcb:BCB4264_A4778
ko:K03282	bcb:BCB4264_A4785
ko:K02529	bcb:BCB4264_A4790
ko:K02276	bcb:BCB4264_A4044
ko:K02275	bcb:BCB4264_A4046
ko:K01975	bcb:BCB4264_A4815
ko:K07007	bcb:BCB4264_A4820
ko:K03636	bcb:BCB4264_A4831
ko:K03753	bcb:BCB4264_A4833
ko:K03750	bcb:BCB4264_A4834
ko:K03637	bcb:BCB4264_A4835
ko:K03639	bcb:BCB4264_A4837
ko:K00641	bcb:BCB4264_A4843
ko:K01869	bcb:BCB4264_A4851
ko:K02003	bcb:BCB4264_A4857
ko:K03752	bcb:BCB4264_A4873
ko:K03638	bcb:BCB4264_A4874
ko:K00789	bcb:BCB4264_A4877
ko:K01610	bcb:BCB4264_A4879
ko:K07173	bcb:BCB4264_A4917
ko:K00760	bcb:BCB4264_A4942
ko:K02003	bcb:BCB4264_A4956
ko:K00975	bcb:BCB4264_A4997
ko:K00975	bcb:BCB4264_A4998
ko:K03885	bcb:BCB4264_A5065
ko:K01778	bcb:BCB4264_A5076
ko:K01356	bcb:BCB4264_A3799
ko:K01915	bcb:BCB4264_A3803
ko:K03665	bcb:BCB4264_A3806
ko:K03666	bcb:BCB4264_A3812
ko:K00791	bcb:BCB4264_A3813
ko:K02768	bcb:BCB4264_A3816
ko:K02769	bcb:BCB4264_A3816
ko:K02770	bcb:BCB4264_A3816
ko:K08976	bcb:BCB4264_A3820
ko:K03530	bcb:BCB4264_A3827
ko:K02013	bcb:BCB4264_A3834
ko:K02015	bcb:BCB4264_A3835
ko:K02015	bcb:BCB4264_A3836
ko:K02016	bcb:BCB4264_A3837
ko:K01142	bcb:BCB4264_A3839
ko:K07137	bcb:BCB4264_A3863
ko:K03572	bcb:BCB4264_A3867
ko:K03555	bcb:BCB4264_A3868
ko:K06168	bcb:BCB4264_A3871
ko:K00175	bcb:BCB4264_A3872
ko:K00174	bcb:BCB4264_A3873
ko:K01273	bcb:BCB4264_A3874
ko:K06416	bcb:BCB4264_A3875
ko:K09769	bcb:BCB4264_A3876
ko:K00995	bcb:BCB4264_A3880
ko:K07335	bcb:BCB4264_A3890
ko:K03710	bcb:BCB4264_A3891
ko:K03466	bcb:BCB4264_A3893
ko:K01714	bcb:BCB4264_A3897
ko:K00928	bcb:BCB4264_A3898
ko:K03311	bcb:BCB4264_A4660
ko:K06182	bcb:BCB4264_A4661
ko:K07456	bcb:BCB4264_A4662
ko:K09888	bcb:BCB4264_A4665
ko:K00259	bcb:BCB4264_A4731
ko:K01755	bcb:BCB4264_A4737
ko:K01940	bcb:BCB4264_A4738
ko:K00925	bcb:BCB4264_A4746
ko:K11065	bcb:BCB4264_A4748
ko:K00858	bcb:BCB4264_A4751
ko:K01895	bcb:BCB4264_A4754
ko:K03151	bcb:BCB4264_A4756
ko:K04487	bcb:BCB4264_A4757
ko:K05946	bcb:BCB4264_A5544
ko:K05339	bcb:BCB4264_A5563
ko:K07636	bcb:BCB4264_A4698
ko:K00031	bcb:BCB4264_A4703
ko:K01647	bcb:BCB4264_A4704
ko:K07113	bcb:BCB4264_A4707
ko:K05338	bcb:BCB4264_A5564
ko:K01924	bcb:BCB4264_A4799
ko:K00763	bcb:BCB4264_A4800
ko:K03466	bcb:BCB4264_A4801
ko:K01448	bcb:BCB4264_A4802
ko:K06878	bcb:BCB4264_A4804
ko:K03439	bcb:BCB4264_A4811
ko:K02963	bcb:BCB4264_A5599
ko:K02990	bcb:BCB4264_A5601
ko:K06942	bcb:BCB4264_A5602
ko:K03501	bcb:BCB4264_A5609
ko:K03495	bcb:BCB4264_A5610
ko:K03650	bcb:BCB4264_A5611
ko:K03217	bcb:BCB4264_A5613
ko:K03536	bcb:BCB4264_A5614
ko:K02914	bcb:BCB4264_A5615
ko:K07139	bcb:BCB4264_A4861
ko:K01247	bcb:BCB4264_A3842
ko:K06188	bcb:BCB4264_A4615
ko:K02557	bcb:BCB4264_A4620
ko:K02556	bcb:BCB4264_A4621
ko:K07107	bcb:BCB4264_A4623
ko:K00240	bcb:BCB4264_A4624
ko:K00239	bcb:BCB4264_A4625
ko:K03703	bcb:BCB4264_A4628
ko:K03671	bcb:BCB4264_A4629
ko:K03522	bcb:BCB4264_A4630
ko:K03521	bcb:BCB4264_A4631
ko:K02016	bcb:BCB4264_A4636
ko:K02015	bcb:BCB4264_A4637
ko:K03088	bcb:BCB4264_A4639
ko:K06969	bcb:BCB4264_A4650
ko:K08600	bcb:BCB4264_A4652
ko:K01893	bcb:BCB4264_A4670
ko:K01889	bcb:BCB4264_A4672
ko:K03437	bcb:BCB4264_A4673
ko:K06950	bcb:BCB4264_A4675
ko:K02887	bcb:BCB4264_A4681
ko:K02916	bcb:BCB4264_A4682
ko:K02520	bcb:BCB4264_A4683
ko:K01868	bcb:BCB4264_A4685
ko:K07738	bcb:BCB4264_A4690
ko:K01611	bcb:BCB4264_A4691
ko:K00134	bcb:BCB4264_A4693
ko:K00859	bcb:BCB4264_A4694
ko:K14222	bcb:BCB4264_A5719
ko:K07404	bcb:BCB4264_A3383
ko:K00797	bcb:BCB4264_A5492
ko:K01126	bcb:BCB4264_A5496
ko:K01821	bcb:BCB4264_A5500
ko:K06885	bcb:BCB4264_A5502
ko:K07704	bcb:BCB4264_A5566
ko:K04564	bcb:BCB4264_A5571
ko:K11068	bcb:BCB4264_A5575
ko:K00364	bcb:BCB4264_A5578
ko:K00783	bcb:BCB4264_A5582
ko:K01939	bcb:BCB4264_A5594
ko:K02939	bcb:BCB4264_A5596
ko:K02013	bcb:BCB4264_A4653
ko:K02015	bcb:BCB4264_A4654
ko:K02016	bcb:BCB4264_A4655
ko:K15977	bcb:BCB4264_A5443
ko:K07566	bcb:BCB4264_A5448
ko:K06387	bcb:BCB4264_A5450
ko:K02493	bcb:BCB4264_A5451
ko:K02835	bcb:BCB4264_A5452
ko:K02909	bcb:BCB4264_A5454
ko:K03628	bcb:BCB4264_A5455
ko:K00790	bcb:BCB4264_A5457
ko:K01624	bcb:BCB4264_A5458
ko:K01937	bcb:BCB4264_A5461
ko:K00074	bcb:BCB4264_A5466
ko:K07693	bcb:BCB4264_A5475
ko:K07778	bcb:BCB4264_A5476
ko:K01265	bcb:BCB4264_A5479
ko:K03088	bcb:BCB4264_A5484
ko:K01887	bcb:BCB4264_A5485
ko:K02016	bcb:BCB4264_A5503
ko:K02013	bcb:BCB4264_A5504
ko:K02015	bcb:BCB4264_A5505
ko:K02015	bcb:BCB4264_A5506
ko:K06314	bcb:BCB4264_A5508
ko:K03648	bcb:BCB4264_A5521
ko:K00003	bcb:BCB4264_A5527
ko:K00651	bcb:BCB4264_A5528
ko:K01740	bcb:BCB4264_A5529
ko:K01118	bcb:BCB4264_A5534
ko:K06200	bcb:BCB4264_A5540
ko:K08369	bcb:BCB4264_A5543
ko:K08221	bcb:BCB4264_A1990
ko:K02803	bcb:BCB4264_A0503
ko:K02804	bcb:BCB4264_A0503
ko:K01759	bcb:BCB4264_A3200
ko:K02005	bcb:BCB4264_A5380
ko:K01980	bcb:BCB4264_A5619
ko:K01980	bcb:BCB4264_A5689
ko:K01980	bcb:BCB4264_A5704
ko:K01980	bcb:BCB4264_A5683
ko:K01980	bcb:BCB4264_A5695
ko:K01980	bcb:BCB4264_A5692
ko:K01980	bcb:BCB4264_A5686
ko:K01980	bcb:BCB4264_A5626
ko:K01980	bcb:BCB4264_A5648
ko:K01980	bcb:BCB4264_A5631
ko:K01980	bcb:BCB4264_A5643
ko:K01980	bcb:BCB4264_A5821
ko:K01980	bcb:BCB4264_A5676
ko:K01980	bcb:BCB4264_A5723
ko:K09145	bcb:BCB4264_A1488
ko:K08177	bcb:BCB4264_A2332
ko:K14205	bcb:BCB4264_A1520
ko:K07491	bcb:BCB4264_A4667
ko:K01447	bcb:BCB4264_A2833
ko:K02005	bcb:BCB4264_A0852
ko:K03307	bcb:BCB4264_A0742
ko:K03324	bcb:BCB4264_A0840
ko:K05601	bcb:BCB4264_A3446
ko:K06131	bcb:BCB4264_A1807
ko:K01992	bcb:BCB4264_A3340
ko:K01985	bcb:BCB4264_A5620
ko:K01985	bcb:BCB4264_A5627
ko:K01985	bcb:BCB4264_A5690
ko:K01985	bcb:BCB4264_A5677
ko:K01985	bcb:BCB4264_A5693
ko:K01985	bcb:BCB4264_A5684
ko:K01985	bcb:BCB4264_A5696
ko:K01985	bcb:BCB4264_A5644
ko:K01985	bcb:BCB4264_A5687
ko:K01985	bcb:BCB4264_A5649
ko:K01985	bcb:BCB4264_A5705
ko:K01985	bcb:BCB4264_A5724
ko:K01985	bcb:BCB4264_A5820
ko:K01985	bcb:BCB4264_A5632
ko:K03892	bcb:BCB4264_A3189
ko:K14227	bcb:BCB4264_A5617
ko:K14227	bcb:BCB4264_A5742
ko:K14227	bcb:BCB4264_A5801
ko:K14227	bcb:BCB4264_A5624
ko:K14232	bcb:BCB4264_A5673
ko:K14232	bcb:BCB4264_A5640
ko:K14234	bcb:BCB4264_A5634
ko:K14234	bcb:BCB4264_A5804
ko:K14234	bcb:BCB4264_A5818
ko:K14234	bcb:BCB4264_A5713
ko:K14234	bcb:BCB4264_A5740
ko:K14219	bcb:BCB4264_A5826
ko:K01286	bcb:BCB4264_A3206
ko:K00459	bcb:BCB4264_A1419
