ko:K01978	mhay:VK67_13750
ko:K02770	mhay:VK67_08625
ko:K02884	mhay:VK67_12825
ko:K00554	mhay:VK67_12830
ko:K02860	mhay:VK67_12835
ko:K02959	mhay:VK67_12840
ko:K02761	mhay:VK67_12860
ko:K01206	mhay:VK67_12865
ko:K03338	mhay:VK67_12870
ko:K03336	mhay:VK67_12875
ko:K03335	mhay:VK67_12880
ko:K00010	mhay:VK67_12885
ko:K17209	mhay:VK67_12905
ko:K17210	mhay:VK67_12910
ko:K17208	mhay:VK67_12915
ko:K00140	mhay:VK67_12920
ko:K03337	mhay:VK67_12925
ko:K00135	mhay:VK67_12930
ko:K07791	mhay:VK67_12935
ko:K01779	mhay:VK67_12940
ko:K03299	mhay:VK67_12950
ko:K00851	mhay:VK67_12955
ko:K06145	mhay:VK67_12960
ko:K02529	mhay:VK67_12965
ko:K02879	mhay:VK67_12970
ko:K03040	mhay:VK67_12975
ko:K02986	mhay:VK67_12980
ko:K02948	mhay:VK67_12985
ko:K02952	mhay:VK67_12990
ko:K02919	mhay:VK67_12995
ko:K03076	mhay:VK67_13000
ko:K02876	mhay:VK67_13005
ko:K02907	mhay:VK67_13010
ko:K02988	mhay:VK67_13015
ko:K02881	mhay:VK67_13020
ko:K02933	mhay:VK67_13025
ko:K02994	mhay:VK67_13030
ko:K02954	mhay:VK67_13035
ko:K02931	mhay:VK67_13040
ko:K02895	mhay:VK67_13045
ko:K02874	mhay:VK67_13050
ko:K00820	mhay:VK67_13055
ko:K04062	mhay:VK67_13065
ko:K02012	mhay:VK67_13070
ko:K02011	mhay:VK67_13075
ko:K07113	mhay:VK67_11335
ko:K04085	mhay:VK67_11345
ko:K09893	mhay:VK67_11350
ko:K03978	mhay:VK67_11355
ko:K07238	mhay:VK67_11365
ko:K07160	mhay:VK67_11410
ko:K01791	mhay:VK67_04025
ko:K00785	mhay:VK67_04035
ko:K07270	mhay:VK67_04040
ko:K12267	mhay:VK67_04060
ko:K03317	mhay:VK67_04065
ko:K01619	mhay:VK67_04070
ko:K03784	mhay:VK67_04075
ko:K00799	mhay:VK67_04100
ko:K00145	mhay:VK67_04105
ko:K00930	mhay:VK67_04110
ko:K02793	mhay:VK67_04120
ko:K02794	mhay:VK67_04125
ko:K02795	mhay:VK67_04130
ko:K01104	mhay:VK67_04140
ko:K03491	mhay:VK67_04150
ko:K03628	mhay:VK67_04165
ko:K01738	mhay:VK67_04170
ko:K01255	mhay:VK67_04175
ko:K07091	mhay:VK67_04185
ko:K11720	mhay:VK67_04190
ko:K01089	mhay:VK67_02315
ko:K02501	mhay:VK67_02330
ko:K01814	mhay:VK67_02340
ko:K02500	mhay:VK67_02345
ko:K11755	mhay:VK67_02355
ko:K04083	mhay:VK67_02360
ko:K04762	mhay:VK67_02370
ko:K08312	mhay:VK67_02375
ko:K01082	mhay:VK67_02380
ko:K00036	mhay:VK67_02385
ko:K01057	mhay:VK67_02390
ko:K00033	mhay:VK67_02405
ko:K01873	mhay:VK67_02415
ko:K02348	mhay:VK67_02435
ko:K02339	mhay:VK67_02440
ko:K18691	mhay:VK67_02475
ko:K01885	mhay:VK67_02500
ko:K03631	mhay:VK67_02510
ko:K02535	mhay:VK67_02515
ko:K03531	mhay:VK67_02520
ko:K03590	mhay:VK67_02525
ko:K03589	mhay:VK67_02530
ko:K01921	mhay:VK67_02535
ko:K01924	mhay:VK67_02540
ko:K02563	mhay:VK67_02545
ko:K03588	mhay:VK67_02550
ko:K01925	mhay:VK67_02555
ko:K01000	mhay:VK67_02560
ko:K01929	mhay:VK67_02565
ko:K01928	mhay:VK67_02570
ko:K03587	mhay:VK67_02575
ko:K03586	mhay:VK67_02580
ko:K03438	mhay:VK67_02585
ko:K07042	mhay:VK67_06945
ko:K03635	mhay:VK67_06950
ko:K03636	mhay:VK67_06955
ko:K03637	mhay:VK67_06960
ko:K03639	mhay:VK67_06965
ko:K01999	mhay:VK67_06970
ko:K07821	mhay:VK67_06975
ko:K07812	mhay:VK67_06980
ko:K07316	mhay:VK67_06985
ko:K07316	mhay:VK67_06990
ko:K01156	mhay:VK67_06995
ko:K01156	mhay:VK67_07000
ko:K01647	mhay:VK67_07005
ko:K00031	mhay:VK67_07010
ko:K01682	mhay:VK67_07015
ko:K07812	mhay:VK67_07020
ko:K06968	mhay:VK67_07035
ko:K00215	mhay:VK67_07050
ko:K01739	mhay:VK67_07055
ko:K01119	mhay:VK67_07125
ko:K00925	mhay:VK67_07130
ko:K13788	mhay:VK67_07135
ko:K01673	mhay:VK67_07140
ko:K01652	mhay:VK67_07145
ko:K01653	mhay:VK67_07150
ko:K14682	mhay:VK67_07165
ko:K09946	mhay:VK67_07170
ko:K01262	mhay:VK67_07175
ko:K09892	mhay:VK67_07190
ko:K06871	mhay:VK67_07200
ko:K03307	mhay:VK67_07210
ko:K01573	mhay:VK67_11420
ko:K01571	mhay:VK67_11425
ko:K01572	mhay:VK67_11430
ko:K01866	mhay:VK67_11435
ko:K01443	mhay:VK67_11445
ko:K02564	mhay:VK67_11450
ko:K03216	mhay:VK67_11460
ko:K12297	mhay:VK67_11465
ko:K07685	mhay:VK67_11470
ko:K02529	mhay:VK67_11475
ko:K00852	mhay:VK67_11480
ko:K10439	mhay:VK67_11485
ko:K10440	mhay:VK67_11490
ko:K10441	mhay:VK67_11495
ko:K06726	mhay:VK67_11500
ko:K06980	mhay:VK67_11510
ko:K00989	mhay:VK67_11520
ko:K02014	mhay:VK67_11530
ko:K00782	mhay:VK67_11535
ko:K18929	mhay:VK67_11540
ko:K18928	mhay:VK67_11545
ko:K03303	mhay:VK67_11550
ko:K06942	mhay:VK67_11555
ko:K01056	mhay:VK67_11560
ko:K07262	mhay:VK67_11565
ko:K02837	mhay:VK67_11570
ko:K02035	mhay:VK67_11575
ko:K02033	mhay:VK67_11580
ko:K02034	mhay:VK67_11585
ko:K02031	mhay:VK67_11590
ko:K02032	mhay:VK67_11590
ko:K03218	mhay:VK67_11595
ko:K00998	mhay:VK67_11600
ko:K01870	mhay:VK67_11610
ko:K11753	mhay:VK67_11615
ko:K06211	mhay:VK67_11620
ko:K07773	mhay:VK67_11630
ko:K00058	mhay:VK67_11640
ko:K01807	mhay:VK67_11645
ko:K03431	mhay:VK67_11650
ko:K01754	mhay:VK67_11655
ko:K03775	mhay:VK67_11660
ko:K06188	mhay:VK67_11665
ko:K02548	mhay:VK67_11680
ko:K02337	mhay:VK67_04195
ko:K15536	mhay:VK67_04200
ko:K08303	mhay:VK67_04205
ko:K02527	mhay:VK67_04210
ko:K00954	mhay:VK67_04215
ko:K13288	mhay:VK67_04220
ko:K06925	mhay:VK67_04225
ko:K01448	mhay:VK67_04230
ko:K09157	mhay:VK67_04235
ko:K03758	mhay:VK67_04240
ko:K04072	mhay:VK67_04250
ko:K01749	mhay:VK67_04255
ko:K01719	mhay:VK67_04260
ko:K02496	mhay:VK67_04265
ko:K02498	mhay:VK67_04270
ko:K09781	mhay:VK67_04275
ko:K02956	mhay:VK67_04280
ko:K03770	mhay:VK67_04285
ko:K05786	mhay:VK67_08635
ko:K03744	mhay:VK67_08640
ko:K06872	mhay:VK67_08650
ko:K01770	mhay:VK67_08655
ko:K00991	mhay:VK67_08660
ko:K05589	mhay:VK67_08665
ko:K01610	mhay:VK67_08670
ko:K01012	mhay:VK67_08675
ko:K01069	mhay:VK67_08680
ko:K00806	mhay:VK67_08685
ko:K00981	mhay:VK67_08690
ko:K11749	mhay:VK67_08695
ko:K07277	mhay:VK67_08700
ko:K02536	mhay:VK67_08710
ko:K02372	mhay:VK67_08715
ko:K00677	mhay:VK67_08720
ko:K15461	mhay:VK67_08725
ko:K13498	mhay:VK67_08730
ko:K06175	mhay:VK67_08740
ko:K06918	mhay:VK67_08755
ko:K03664	mhay:VK67_08770
ko:K01875	mhay:VK67_08775
ko:K01869	mhay:VK67_08790
ko:K03643	mhay:VK67_08795
ko:K02340	mhay:VK67_08800
ko:K09862	mhay:VK67_08805
ko:K00859	mhay:VK67_08810
ko:K02506	mhay:VK67_08815
ko:K02505	mhay:VK67_08820
ko:K02504	mhay:VK67_08825
ko:K02682	mhay:VK67_08830
ko:K04485	mhay:VK67_08835
ko:K00931	mhay:VK67_08855
ko:K07090	mhay:VK67_08860
ko:K10773	mhay:VK67_08865
ko:K00974	mhay:VK67_08870
ko:K03304	mhay:VK67_08875
ko:K04755	mhay:VK67_08885
ko:K04044	mhay:VK67_08895
ko:K04082	mhay:VK67_08910
ko:K02010	mhay:VK67_13080
ko:K02358	mhay:VK67_13085
ko:K00867	mhay:VK67_13110
ko:K02199	mhay:VK67_13115
ko:K02200	mhay:VK67_13125
ko:K03831	mhay:VK67_13135
ko:K04751	mhay:VK67_13140
ko:K03101	mhay:VK67_13145
ko:K03527	mhay:VK67_13150
ko:K09159	mhay:VK67_13155
ko:K09897	mhay:VK67_13165
ko:K00557	mhay:VK67_13170
ko:K09790	mhay:VK67_13185
ko:K03733	mhay:VK67_13190
ko:K01879	mhay:VK67_13215
ko:K01878	mhay:VK67_13235
ko:K03532	mhay:VK67_13240
ko:K03299	mhay:VK67_13265
ko:K03106	mhay:VK67_13295
ko:K08306	mhay:VK67_13320
ko:K03575	mhay:VK67_13330
ko:K08234	mhay:VK67_13335
ko:K06206	mhay:VK67_13345
ko:K01419	mhay:VK67_13350
ko:K03667	mhay:VK67_13355
ko:K09824	mhay:VK67_13360
ko:K09710	mhay:VK67_00595
ko:K00783	mhay:VK67_00600
ko:K05515	mhay:VK67_00605
ko:K05837	mhay:VK67_00610
ko:K03642	mhay:VK67_00615
ko:K07258	mhay:VK67_00620
ko:K09158	mhay:VK67_00625
ko:K03801	mhay:VK67_00630
ko:K03644	mhay:VK67_00635
ko:K02013	mhay:VK67_00645
ko:K02015	mhay:VK67_00655
ko:K05776	mhay:VK67_00665
ko:K00604	mhay:VK67_00670
ko:K03498	mhay:VK67_00680
ko:K00230	mhay:VK67_00685
ko:K03282	mhay:VK67_00690
ko:K02968	mhay:VK67_00695
ko:K03980	mhay:VK67_00700
ko:K02168	mhay:VK67_00710
ko:K08223	mhay:VK67_00720
ko:K08223	mhay:VK67_00725
ko:K05786	mhay:VK67_00730
ko:K04568	mhay:VK67_00735
ko:K00244	mhay:VK67_00740
ko:K00245	mhay:VK67_00745
ko:K00246	mhay:VK67_00750
ko:K00247	mhay:VK67_00755
ko:K02687	mhay:VK67_00795
ko:K03568	mhay:VK67_00800
ko:K00799	mhay:VK67_00805
ko:K01586	mhay:VK67_00810
ko:K01679	mhay:VK67_00820
ko:K07343	mhay:VK67_00825
ko:K02946	mhay:VK67_00830
ko:K02906	mhay:VK67_00835
ko:K02926	mhay:VK67_00840
ko:K02892	mhay:VK67_00845
ko:K02886	mhay:VK67_00850
ko:K02965	mhay:VK67_00855
ko:K02890	mhay:VK67_00860
ko:K02982	mhay:VK67_00865
ko:K02878	mhay:VK67_00870
ko:K02904	mhay:VK67_00875
ko:K02961	mhay:VK67_00880
ko:K00380	mhay:VK67_00885
ko:K07012	mhay:VK67_05185
ko:K07491	mhay:VK67_05195
ko:K19119	mhay:VK67_05215
ko:K19117	mhay:VK67_05220
ko:K19118	mhay:VK67_05225
ko:K07464	mhay:VK67_05230
ko:K15342	mhay:VK67_05240
ko:K09951	mhay:VK67_05245
ko:K08301	mhay:VK67_05250
ko:K04567	mhay:VK67_05255
ko:K03111	mhay:VK67_05465
ko:K07552	mhay:VK67_09750
ko:K06183	mhay:VK67_09755
ko:K02549	mhay:VK67_09760
ko:K01874	mhay:VK67_09765
ko:K00940	mhay:VK67_09770
ko:K03624	mhay:VK67_09775
ko:K07259	mhay:VK67_09780
ko:K06975	mhay:VK67_09785
ko:K00602	mhay:VK67_09790
ko:K01752	mhay:VK67_09795
ko:K03837	mhay:VK67_09800
ko:K01714	mhay:VK67_09805
ko:K02517	mhay:VK67_09810
ko:K05809	mhay:VK67_09815
ko:K16347	mhay:VK67_09820
ko:K06180	mhay:VK67_09825
ko:K05807	mhay:VK67_09830
ko:K01409	mhay:VK67_09835
ko:K07270	mhay:VK67_09840
ko:K06202	mhay:VK67_09845
ko:K03654	mhay:VK67_09850
ko:K02520	mhay:VK67_09855
ko:K02916	mhay:VK67_09860
ko:K02887	mhay:VK67_09865
ko:K03703	mhay:VK67_09875
ko:K00995	mhay:VK67_09880
ko:K11179	mhay:VK67_09890
ko:K01687	mhay:VK67_09895
ko:K02778	mhay:VK67_09900
ko:K02779	mhay:VK67_09900
ko:K08289	mhay:VK67_09905
ko:K03972	mhay:VK67_09915
ko:K18991	mhay:VK67_09925
ko:K07034	mhay:VK67_09930
ko:K00631	mhay:VK67_09935
ko:K01356	mhay:VK67_09940
ko:K03573	mhay:VK67_09945
ko:K01207	mhay:VK67_09955
ko:K03212	mhay:VK67_09960
ko:K01689	mhay:VK67_09965
ko:K00226	mhay:VK67_09975
ko:K02824	mhay:VK67_09980
ko:K03185	mhay:VK67_09985
ko:K12152	mhay:VK67_09990
ko:K01008	mhay:VK67_09995
ko:K02035	mhay:VK67_04295
ko:K03593	mhay:VK67_04300
ko:K11211	mhay:VK67_04305
ko:K01495	mhay:VK67_04310
ko:K06173	mhay:VK67_04315
ko:K17686	mhay:VK67_04320
ko:K02622	mhay:VK67_04345
ko:K08591	mhay:VK67_04350
ko:K01633	mhay:VK67_04355
ko:K01489	mhay:VK67_04365
ko:K14445	mhay:VK67_04370
ko:K00549	mhay:VK67_04375
ko:K03695	mhay:VK67_04380
ko:K07275	mhay:VK67_04385
ko:K03671	mhay:VK67_04390
ko:K04088	mhay:VK67_04395
ko:K04087	mhay:VK67_04400
ko:K01939	mhay:VK67_04405
ko:K19157	mhay:VK67_04470
ko:K07473	mhay:VK67_04475
ko:K03111	mhay:VK67_04570
ko:K01491	mhay:VK67_04585
ko:K03151	mhay:VK67_04590
ko:K13628	mhay:VK67_08915
ko:K04488	mhay:VK67_08920
ko:K04487	mhay:VK67_08925
ko:K13643	mhay:VK67_08930
ko:K06076	mhay:VK67_08935
ko:K00567	mhay:VK67_08940
ko:K07648	mhay:VK67_08945
ko:K07318	mhay:VK67_09060
ko:K00931	mhay:VK67_09130
ko:K03773	mhay:VK67_09140
ko:K01613	mhay:VK67_09145
ko:K00652	mhay:VK67_09155
ko:K09789	mhay:VK67_09160
ko:K02169	mhay:VK67_09165
ko:K01935	mhay:VK67_09170
ko:K10823	mhay:VK67_09180
ko:K15583	mhay:VK67_09185
ko:K09997	mhay:VK67_13365
ko:K17836	mhay:VK67_13375
ko:K11004	mhay:VK67_13380
ko:K11003	mhay:VK67_13385
ko:K02051	mhay:VK67_13390
ko:K02050	mhay:VK67_13395
ko:K00864	mhay:VK67_13410
ko:K02440	mhay:VK67_13415
ko:K06199	mhay:VK67_13420
ko:K07792	mhay:VK67_13425
ko:K01778	mhay:VK67_13430
ko:K07002	mhay:VK67_13435
ko:K03297	mhay:VK67_13440
ko:K00854	mhay:VK67_13445
ko:K01805	mhay:VK67_13450
ko:K10543	mhay:VK67_13455
ko:K10545	mhay:VK67_13460
ko:K10544	mhay:VK67_13465
ko:K07724	mhay:VK67_13475
ko:K02562	mhay:VK67_13495
ko:K00009	mhay:VK67_13500
ko:K02798	mhay:VK67_13505
ko:K02799	mhay:VK67_13505
ko:K02800	mhay:VK67_13505
ko:K06041	mhay:VK67_13520
ko:K02468	mhay:VK67_13525
ko:K02466	mhay:VK67_13535
ko:K00068	mhay:VK67_13540
ko:K02781	mhay:VK67_13545
ko:K02782	mhay:VK67_13550
ko:K02783	mhay:VK67_13550
ko:K02783	mhay:VK67_13555
ko:K08364	mhay:VK67_13560
ko:K08363	mhay:VK67_13565
ko:K03088	mhay:VK67_13590
ko:K17247	mhay:VK67_13600
ko:K01424	mhay:VK67_13610
ko:K16087	mhay:VK67_13620
ko:K01952	mhay:VK67_13635
ko:K00275	mhay:VK67_00005
ko:K01042	mhay:VK67_00010
ko:K01788	mhay:VK67_00020
ko:K00885	mhay:VK67_00025
ko:K01639	mhay:VK67_00030
ko:K07724	mhay:VK67_00050
ko:K12368	mhay:VK67_00105
ko:K06205	mhay:VK67_00110
ko:K03718	mhay:VK67_00115
ko:K01914	mhay:VK67_00120
ko:K02114	mhay:VK67_00125
ko:K02112	mhay:VK67_00130
ko:K02115	mhay:VK67_00135
ko:K02111	mhay:VK67_00140
ko:K02113	mhay:VK67_00145
ko:K02109	mhay:VK67_00150
ko:K02110	mhay:VK67_00155
ko:K02108	mhay:VK67_00160
ko:K02116	mhay:VK67_00165
ko:K01956	mhay:VK67_00170
ko:K01955	mhay:VK67_00175
ko:K08092	mhay:VK67_00185
ko:K10441	mhay:VK67_00215
ko:K10440	mhay:VK67_00220
ko:K10439	mhay:VK67_00225
ko:K01053	mhay:VK67_00230
ko:K00880	mhay:VK67_00235
ko:K00111	mhay:VK67_00255
ko:K02445	mhay:VK67_00260
ko:K01126	mhay:VK67_00265
ko:K02445	mhay:VK67_00270
ko:K03292	mhay:VK67_00285
ko:K03501	mhay:VK67_00290
ko:K00850	mhay:VK67_04600
ko:K01766	mhay:VK67_04605
ko:K13408	mhay:VK67_04660
ko:K03310	mhay:VK67_04680
ko:K07447	mhay:VK67_04690
ko:K07735	mhay:VK67_04695
ko:K09761	mhay:VK67_04700
ko:K07286	mhay:VK67_04710
ko:K05527	mhay:VK67_04715
ko:K03070	mhay:VK67_04740
ko:K03574	mhay:VK67_04745
ko:K04078	mhay:VK67_04760
ko:K04077	mhay:VK67_04765
ko:K00425	mhay:VK67_04775
ko:K00426	mhay:VK67_04780
ko:K07107	mhay:VK67_04790
ko:K03562	mhay:VK67_04795
ko:K03560	mhay:VK67_04800
ko:K03646	mhay:VK67_04805
ko:K03641	mhay:VK67_04810
ko:K03640	mhay:VK67_04815
ko:K05801	mhay:VK67_04825
ko:K08984	mhay:VK67_04830
ko:K05541	mhay:VK67_04835
ko:K08990	mhay:VK67_04840
ko:K06177	mhay:VK67_04850
ko:K06158	mhay:VK67_04865
ko:K07133	mhay:VK67_04870
ko:K05595	mhay:VK67_04875
ko:K03750	mhay:VK67_04880
ko:K03673	mhay:VK67_09265
ko:K09896	mhay:VK67_09270
ko:K01347	mhay:VK67_09280
ko:K01792	mhay:VK67_09285
ko:K07154	mhay:VK67_09295
ko:K06889	mhay:VK67_09315
ko:K19055	mhay:VK67_09320
ko:K07320	mhay:VK67_09330
ko:K07106	mhay:VK67_09335
ko:K09001	mhay:VK67_09350
ko:K06879	mhay:VK67_09355
ko:K03273	mhay:VK67_09360
ko:K03564	mhay:VK67_09365
ko:K02035	mhay:VK67_09380
ko:K02033	mhay:VK67_09385
ko:K02031	mhay:VK67_09390
ko:K02034	mhay:VK67_09390
ko:K03315	mhay:VK67_09405
ko:K00099	mhay:VK67_09410
ko:K00951	mhay:VK67_09415
ko:K02492	mhay:VK67_09420
ko:K03977	mhay:VK67_09425
ko:K03272	mhay:VK67_09430
ko:K02825	mhay:VK67_09435
ko:K03771	mhay:VK67_09440
ko:K02528	mhay:VK67_09445
ko:K00761	mhay:VK67_09450
ko:K01897	mhay:VK67_09455
ko:K03803	mhay:VK67_09460
ko:K03598	mhay:VK67_09465
ko:K03597	mhay:VK67_09470
ko:K16087	mhay:VK67_13650
ko:K02430	mhay:VK67_13655
ko:K01818	mhay:VK67_13660
ko:K00879	mhay:VK67_13665
ko:K02431	mhay:VK67_13670
ko:K01628	mhay:VK67_13675
ko:K10441	mhay:VK67_13680
ko:K10440	mhay:VK67_13685
ko:K10439	mhay:VK67_13690
ko:K00048	mhay:VK67_13700
ko:K07248	mhay:VK67_13705
ko:K08996	mhay:VK67_13710
ko:K02647	mhay:VK67_00910
ko:K03299	mhay:VK67_00915
ko:K00865	mhay:VK67_00920
ko:K03078	mhay:VK67_00925
ko:K02821	mhay:VK67_00930
ko:K01119	mhay:VK67_00940
ko:K01119	mhay:VK67_00945
ko:K02822	mhay:VK67_00950
ko:K03475	mhay:VK67_00950
ko:K03476	mhay:VK67_00955
ko:K03477	mhay:VK67_00960
ko:K00868	mhay:VK67_00985
ko:K01962	mhay:VK67_00995
ko:K00655	mhay:VK67_01005
ko:K11065	mhay:VK67_01010
ko:K03217	mhay:VK67_01015
ko:K03286	mhay:VK67_01030
ko:K09911	mhay:VK67_01035
ko:K04770	mhay:VK67_01040
ko:K01716	mhay:VK67_01045
ko:K03274	mhay:VK67_01050
ko:K01462	mhay:VK67_01055
ko:K04096	mhay:VK67_01060
ko:K02822	mhay:VK67_01070
ko:K03073	mhay:VK67_01080
ko:K02601	mhay:VK67_01085
ko:K02867	mhay:VK67_01090
ko:K02863	mhay:VK67_01095
ko:K00647	mhay:VK67_01105
ko:K03655	mhay:VK67_01115
ko:K00059	mhay:VK67_01120
ko:K09458	mhay:VK67_01125
ko:K00648	mhay:VK67_01135
ko:K02864	mhay:VK67_01145
ko:K02935	mhay:VK67_01150
ko:K00641	mhay:VK67_05550
ko:K03748	mhay:VK67_05555
ko:K01433	mhay:VK67_05560
ko:K03746	mhay:VK67_05565
ko:K16066	mhay:VK67_05575
ko:K01696	mhay:VK67_05580
ko:K01695	mhay:VK67_05585
ko:K18843	mhay:VK67_05605
ko:K03634	mhay:VK67_05660
ko:K03720	mhay:VK67_05665
ko:K03814	mhay:VK67_05670
ko:K05844	mhay:VK67_05680
ko:K00029	mhay:VK67_05685
ko:K02897	mhay:VK67_05690
ko:K02836	mhay:VK67_10025
ko:K07088	mhay:VK67_10030
ko:K07098	mhay:VK67_10035
ko:K00965	mhay:VK67_10045
ko:K00849	mhay:VK67_10050
ko:K01785	mhay:VK67_10055
ko:K07109	mhay:VK67_10060
ko:K03210	mhay:VK67_10065
ko:K03072	mhay:VK67_10070
ko:K03074	mhay:VK67_10075
ko:K06901	mhay:VK67_10080
ko:K02012	mhay:VK67_10095
ko:K03885	mhay:VK67_10100
ko:K02742	mhay:VK67_10105
ko:K01166	mhay:VK67_10110
ko:K07343	mhay:VK67_10115
ko:K00789	mhay:VK67_10125
ko:K02073	mhay:VK67_10130
ko:K02073	mhay:VK67_10135
ko:K02073	mhay:VK67_10140
ko:K02072	mhay:VK67_10145
ko:K02071	mhay:VK67_10150
ko:K07459	mhay:VK67_10155
ko:K06966	mhay:VK67_10160
ko:K15738	mhay:VK67_10170
ko:K02469	mhay:VK67_10175
ko:K00568	mhay:VK67_10185
ko:K14058	mhay:VK67_10190
ko:K13041	mhay:VK67_10195
ko:K13040	mhay:VK67_10200
ko:K08358	mhay:VK67_10225
ko:K08359	mhay:VK67_10230
ko:K08357	mhay:VK67_10235
ko:K00942	mhay:VK67_10250
ko:K00769	mhay:VK67_10255
ko:K01270	mhay:VK67_10270
ko:K09801	mhay:VK67_10280
ko:K02017	mhay:VK67_10290
ko:K02018	mhay:VK67_10295
ko:K03925	mhay:VK67_02590
ko:K12573	mhay:VK67_02600
ko:K06193	mhay:VK67_02605
ko:K09815	mhay:VK67_02610
ko:K03182	mhay:VK67_02615
ko:K08300	mhay:VK67_02630
ko:K05787	mhay:VK67_02640
ko:K09891	mhay:VK67_02645
ko:K01599	mhay:VK67_02650
ko:K09895	mhay:VK67_02655
ko:K09888	mhay:VK67_02660
ko:K01934	mhay:VK67_02665
ko:K11928	mhay:VK67_02675
ko:K07056	mhay:VK67_02685
ko:K07121	mhay:VK67_02690
ko:K07460	mhay:VK67_02695
ko:K03271	mhay:VK67_02700
ko:K01438	mhay:VK67_02715
ko:K03554	mhay:VK67_02730
ko:K00286	mhay:VK67_02735
ko:K05820	mhay:VK67_02740
ko:K03704	mhay:VK67_02745
ko:K03607	mhay:VK67_02750
ko:K03797	mhay:VK67_02755
ko:K02503	mhay:VK67_02780
ko:K03470	mhay:VK67_02785
ko:K06949	mhay:VK67_02790
ko:K03566	mhay:VK67_02795
ko:K13634	mhay:VK67_02815
ko:K01424	mhay:VK67_02825
ko:K01937	mhay:VK67_02830
ko:K07400	mhay:VK67_02835
ko:K00346	mhay:VK67_02840
ko:K00347	mhay:VK67_02845
ko:K00348	mhay:VK67_02850
ko:K00349	mhay:VK67_02855
ko:K00350	mhay:VK67_02860
ko:K00351	mhay:VK67_02865
ko:K07090	mhay:VK67_07220
ko:K14742	mhay:VK67_07225
ko:K01626	mhay:VK67_07230
ko:K07054	mhay:VK67_07235
ko:K03466	mhay:VK67_07240
ko:K03719	mhay:VK67_07245
ko:K03684	mhay:VK67_07250
ko:K15545	mhay:VK67_07255
ko:K01935	mhay:VK67_07260
ko:K09890	mhay:VK67_07265
ko:K03548	mhay:VK67_07275
ko:K03168	mhay:VK67_07285
ko:K01989	mhay:VK67_07300
ko:K03600	mhay:VK67_07305
ko:K03599	mhay:VK67_07310
ko:K01588	mhay:VK67_07315
ko:K01424	mhay:VK67_07320
ko:K01589	mhay:VK67_07325
ko:K03702	mhay:VK67_07335
ko:K07746	mhay:VK67_07340
ko:K07224	mhay:VK67_07345
ko:K16301	mhay:VK67_07350
ko:K07053	mhay:VK67_07365
ko:K01141	mhay:VK67_07375
ko:K01893	mhay:VK67_07380
ko:K02356	mhay:VK67_07395
ko:K01886	mhay:VK67_07415
ko:K02529	mhay:VK67_07420
ko:K00262	mhay:VK67_07425
ko:K06186	mhay:VK67_07430
ko:K06899	mhay:VK67_07435
ko:K09022	mhay:VK67_07440
ko:K05810	mhay:VK67_07445
ko:K07733	mhay:VK67_07460
ko:K03086	mhay:VK67_11690
ko:K02970	mhay:VK67_11700
ko:K02847	mhay:VK67_11710
ko:K01710	mhay:VK67_11715
ko:K00785	mhay:VK67_11745
ko:K05789	mhay:VK67_11750
ko:K15724	mhay:VK67_11755
ko:K08998	mhay:VK67_11760
ko:K03536	mhay:VK67_11765
ko:K02914	mhay:VK67_11770
ko:K01772	mhay:VK67_11775
ko:K03060	mhay:VK67_11790
ko:K03484	mhay:VK67_11800
ko:K01193	mhay:VK67_11805
ko:K00847	mhay:VK67_11810
ko:K06168	mhay:VK67_11815
ko:K02777	mhay:VK67_11820
ko:K08483	mhay:VK67_11825
ko:K02784	mhay:VK67_11830
ko:K02063	mhay:VK67_11835
ko:K02062	mhay:VK67_11840
ko:K02809	mhay:VK67_11845
ko:K02810	mhay:VK67_11845
ko:K01265	mhay:VK67_11855
ko:K09125	mhay:VK67_11860
ko:K06911	mhay:VK67_11865
ko:K01792	mhay:VK67_11870
ko:K03841	mhay:VK67_11875
ko:K01347	mhay:VK67_11880
ko:K09896	mhay:VK67_11890
ko:K03673	mhay:VK67_11895
ko:K05590	mhay:VK67_11915
ko:K03674	mhay:VK67_11920
ko:K03308	mhay:VK67_11930
ko:K07040	mhay:VK67_11945
ko:K02911	mhay:VK67_11950
ko:K03621	mhay:VK67_11955
ko:K00013	mhay:VK67_11960
ko:K03499	mhay:VK67_13715
ko:K03500	mhay:VK67_13720
ko:K07080	mhay:VK67_13735
ko:K03833	mhay:VK67_13740
ko:K14441	mhay:VK67_01180
ko:K01243	mhay:VK67_01185
ko:K03745	mhay:VK67_01190
ko:K03772	mhay:VK67_01195
ko:K07235	mhay:VK67_01205
ko:K07236	mhay:VK67_01210
ko:K07237	mhay:VK67_01215
ko:K03043	mhay:VK67_01230
ko:K03046	mhay:VK67_01240
ko:K01845	mhay:VK67_01250
ko:K02851	mhay:VK67_01255
ko:K05790	mhay:VK67_01260
ko:K02472	mhay:VK67_01265
ko:K16704	mhay:VK67_01270
ko:K01915	mhay:VK67_01280
ko:K12582	mhay:VK67_01285
ko:K02853	mhay:VK67_01290
ko:K02852	mhay:VK67_01295
ko:K00748	mhay:VK67_01350
ko:K04774	mhay:VK67_01355
ko:K03734	mhay:VK67_02880
ko:K05952	mhay:VK67_02885
ko:K00566	mhay:VK67_02900
ko:K01755	mhay:VK67_02905
ko:K15539	mhay:VK67_02910
ko:K03526	mhay:VK67_02915
