ko:K18929	ahp:V429_14100
ko:K05517	ahp:V429_06245
ko:K08218	ahp:V429_06250
ko:K03767	ahp:V429_06260
ko:K07286	ahp:V429_06265
ko:K11391	ahp:V429_06270
ko:K05527	ahp:V429_06275
ko:K00346	ahp:V429_06280
ko:K00239	ahp:V429_10705
ko:K00240	ahp:V429_10710
ko:K00164	ahp:V429_10715
ko:K00658	ahp:V429_10720
ko:K01903	ahp:V429_10725
ko:K01902	ahp:V429_10730
ko:K09160	ahp:V429_10740
ko:K02011	ahp:V429_10750
ko:K02010	ahp:V429_10755
ko:K03555	ahp:V429_20650
ko:K02168	ahp:V429_20655
ko:K09891	ahp:V429_20670
ko:K09815	ahp:V429_20700
ko:K09817	ahp:V429_20705
ko:K09816	ahp:V429_20710
ko:K07461	ahp:V429_20740
ko:K03969	ahp:V429_20755
ko:K00655	ahp:V429_20760
ko:K08344	ahp:V429_20770
ko:K02621	ahp:V429_20825
ko:K02622	ahp:V429_20830
ko:K07000	ahp:V429_20860
ko:K03651	ahp:V429_20865
ko:K09920	ahp:V429_20870
ko:K01515	ahp:V429_20875
ko:K12340	ahp:V429_20880
ko:K03272	ahp:V429_20885
ko:K02517	ahp:V429_20890
ko:K07220	ahp:V429_20905
ko:K03306	ahp:V429_20910
ko:K00375	ahp:V429_20935
ko:K06518	ahp:V429_20945
ko:K00974	ahp:V429_20965
ko:K02450	ahp:V429_20975
ko:K02451	ahp:V429_20980
ko:K03575	ahp:V429_20985
ko:K08306	ahp:V429_20995
ko:K02030	ahp:V429_21010
ko:K03286	ahp:V429_21015
ko:K09857	ahp:V429_21020
ko:K06192	ahp:V429_21025
ko:K03808	ahp:V429_21030
ko:K03666	ahp:V429_21035
ko:K01714	ahp:V429_21055
ko:K00564	ahp:V429_21060
ko:K00975	ahp:V429_21065
ko:K00703	ahp:V429_21070
ko:K03315	ahp:V429_21110
ko:K02055	ahp:V429_21120
ko:K02052	ahp:V429_21125
ko:K02054	ahp:V429_21130
ko:K02053	ahp:V429_21135
ko:K00137	ahp:V429_21140
ko:K02012	ahp:V429_10760
ko:K03430	ahp:V429_10770
ko:K00823	ahp:V429_10775
ko:K05306	ahp:V429_10780
ko:K00656	ahp:V429_10785
ko:K06212	ahp:V429_10790
ko:K09136	ahp:V429_10795
ko:K00133	ahp:V429_10805
ko:K07263	ahp:V429_10810
ko:K01761	ahp:V429_10815
ko:K07118	ahp:V429_10825
ko:K00023	ahp:V429_10835
ko:K13653	ahp:V429_10840
ko:K02014	ahp:V429_10845
ko:K03576	ahp:V429_10855
ko:K00549	ahp:V429_10860
ko:K07168	ahp:V429_10870
ko:K00285	ahp:V429_10885
ko:K06876	ahp:V429_10890
ko:K01667	ahp:V429_10900
ko:K07262	ahp:V429_10905
ko:K08310	ahp:V429_10910
ko:K04018	ahp:V429_10915
ko:K04015	ahp:V429_10930
ko:K04014	ahp:V429_10935
ko:K04013	ahp:V429_10940
ko:K03385	ahp:V429_10945
ko:K00113	ahp:V429_10960
ko:K00112	ahp:V429_10965
ko:K00111	ahp:V429_10970
ko:K09858	ahp:V429_10975
ko:K00615	ahp:V429_17460
ko:K00789	ahp:V429_17465
ko:K02742	ahp:V429_17470
ko:K01150	ahp:V429_17475
ko:K09761	ahp:V429_17480
ko:K01920	ahp:V429_17485
ko:K03406	ahp:V429_17490
ko:K07735	ahp:V429_17495
ko:K07447	ahp:V429_17500
ko:K03305	ahp:V429_17505
ko:K03924	ahp:V429_17515
ko:K03310	ahp:V429_17530
ko:K00616	ahp:V429_17535
ko:K03648	ahp:V429_17550
ko:K11103	ahp:V429_17560
ko:K01627	ahp:V429_17565
ko:K02493	ahp:V429_17580
ko:K02835	ahp:V429_17585
ko:K02492	ahp:V429_17590
ko:K02494	ahp:V429_17595
ko:K00919	ahp:V429_17600
ko:K00948	ahp:V429_17610
ko:K01081	ahp:V429_17615
ko:K01056	ahp:V429_17620
ko:K06942	ahp:V429_17625
ko:K03811	ahp:V429_17675
ko:K00757	ahp:V429_17680
ko:K09900	ahp:V429_17690
ko:K03737	ahp:V429_17710
ko:K06447	ahp:V429_17730
ko:K00673	ahp:V429_17735
ko:K05368	ahp:V429_00595
ko:K09806	ahp:V429_00600
ko:K02441	ahp:V429_00610
ko:K02439	ahp:V429_00615
ko:K01996	ahp:V429_00630
ko:K01995	ahp:V429_00635
ko:K01998	ahp:V429_00640
ko:K01997	ahp:V429_00645
ko:K01999	ahp:V429_00650
ko:K03604	ahp:V429_00655
ko:K01232	ahp:V429_00660
ko:K02749	ahp:V429_00665
ko:K02750	ahp:V429_00665
ko:K03482	ahp:V429_00670
ko:K12266	ahp:V429_00675
ko:K12264	ahp:V429_00680
ko:K12265	ahp:V429_00685
ko:K03835	ahp:V429_00700
ko:K01879	ahp:V429_00735
ko:K01878	ahp:V429_00740
ko:K01246	ahp:V429_00745
ko:K04085	ahp:V429_00765
ko:K17315	ahp:V429_00775
ko:K01825	ahp:V429_00795
ko:K01907	ahp:V429_00800
ko:K03498	ahp:V429_00815
ko:K00230	ahp:V429_00820
ko:K02521	ahp:V429_00860
ko:K00053	ahp:V429_00865
ko:K01810	ahp:V429_00870
ko:K03442	ahp:V429_00880
ko:K05501	ahp:V429_00885
ko:K13038	ahp:V429_00895
ko:K03630	ahp:V429_00900
ko:K02902	ahp:V429_00905
ko:K02913	ahp:V429_00910
ko:K10563	ahp:V429_00920
ko:K09824	ahp:V429_00925
ko:K00954	ahp:V429_00930
ko:K12984	ahp:V429_00940
ko:K02843	ahp:V429_00945
ko:K02527	ahp:V429_00950
ko:K03475	ahp:V429_00955
ko:K02822	ahp:V429_00960
ko:K02821	ahp:V429_00965
ko:K02415	ahp:V429_00995
ko:K03181	ahp:V429_01000
ko:K03179	ahp:V429_01005
ko:K00631	ahp:V429_01010
ko:K01356	ahp:V429_01015
ko:K07152	ahp:V429_01025
ko:K03327	ahp:V429_01030
ko:K03216	ahp:V429_01035
ko:K07640	ahp:V429_01040
ko:K13283	ahp:V429_01050
ko:K00640	ahp:V429_01055
ko:K09892	ahp:V429_01065
ko:K12113	ahp:V429_01120
ko:K12111	ahp:V429_01125
ko:K12112	ahp:V429_01130
ko:K06878	ahp:V429_01140
ko:K14347	ahp:V429_01150
ko:K01070	ahp:V429_01165
ko:K00121	ahp:V429_01170
ko:K07708	ahp:V429_01465
ko:K01915	ahp:V429_01475
ko:K06207	ahp:V429_01480
ko:K07058	ahp:V429_01485
ko:K07560	ahp:V429_01490
ko:K03655	ahp:V429_01510
ko:K00998	ahp:V429_01515
ko:K06156	ahp:V429_01520
ko:K00851	ahp:V429_01525
ko:K01690	ahp:V429_01530
ko:K01625	ahp:V429_01535
ko:K06145	ahp:V429_01540
ko:K15633	ahp:V429_01555
ko:K03071	ahp:V429_01565
ko:K00057	ahp:V429_01570
ko:K07400	ahp:V429_01575
ko:K02170	ahp:V429_01585
ko:K06959	ahp:V429_01605
ko:K04760	ahp:V429_01610
ko:K07659	ahp:V429_01615
ko:K07638	ahp:V429_01620
ko:K02946	ahp:V429_01630
ko:K02906	ahp:V429_01635
ko:K02926	ahp:V429_01640
ko:K02892	ahp:V429_01645
ko:K02886	ahp:V429_01650
ko:K02965	ahp:V429_01655
ko:K02890	ahp:V429_01660
ko:K02982	ahp:V429_01665
ko:K02878	ahp:V429_01670
ko:K02904	ahp:V429_01675
ko:K02961	ahp:V429_01680
ko:K02874	ahp:V429_01685
ko:K02895	ahp:V429_01690
ko:K02931	ahp:V429_01695
ko:K02954	ahp:V429_01700
ko:K02994	ahp:V429_01705
ko:K02933	ahp:V429_01710
ko:K02881	ahp:V429_01715
ko:K02988	ahp:V429_01720
ko:K02907	ahp:V429_01725
ko:K02876	ahp:V429_01730
ko:K03076	ahp:V429_01735
ko:K02952	ahp:V429_01740
ko:K02948	ahp:V429_01745
ko:K02986	ahp:V429_01750
ko:K00347	ahp:V429_06285
ko:K00348	ahp:V429_06290
ko:K00349	ahp:V429_06295
ko:K00350	ahp:V429_06300
ko:K00351	ahp:V429_06305
ko:K03734	ahp:V429_06310
ko:K05952	ahp:V429_06315
ko:K02346	ahp:V429_06325
ko:K03406	ahp:V429_06330
ko:K03566	ahp:V429_06335
ko:K07020	ahp:V429_06340
ko:K06968	ahp:V429_06350
ko:K00030	ahp:V429_06360
ko:K01146	ahp:V429_06365
ko:K06966	ahp:V429_06370
ko:K06879	ahp:V429_06385
ko:K15723	ahp:V429_06390
ko:K06175	ahp:V429_06425
ko:K02024	ahp:V429_06435
ko:K05775	ahp:V429_06440
ko:K02778	ahp:V429_06445
ko:K02779	ahp:V429_06445
ko:K00674	ahp:V429_06455
ko:K00990	ahp:V429_06460
ko:K01265	ahp:V429_06465
ko:K02967	ahp:V429_06470
ko:K02357	ahp:V429_06475
ko:K09903	ahp:V429_06480
ko:K02838	ahp:V429_06485
ko:K00806	ahp:V429_06490
ko:K00981	ahp:V429_06495
ko:K00099	ahp:V429_06500
ko:K11749	ahp:V429_06510
ko:K07277	ahp:V429_06515
ko:K06142	ahp:V429_06520
ko:K02536	ahp:V429_06525
ko:K02372	ahp:V429_06530
ko:K00677	ahp:V429_06535
ko:K00748	ahp:V429_06540
ko:K03470	ahp:V429_06545
ko:K02337	ahp:V429_06550
ko:K01962	ahp:V429_06555
ko:K03765	ahp:V429_06560
ko:K03757	ahp:V429_06565
ko:K03406	ahp:V429_10980
ko:K07793	ahp:V429_11000
ko:K07795	ahp:V429_11010
ko:K07085	ahp:V429_11020
ko:K03702	ahp:V429_11030
ko:K03975	ahp:V429_11040
ko:K03611	ahp:V429_11045
ko:K03314	ahp:V429_11050
ko:K03603	ahp:V429_11055
ko:K09786	ahp:V429_11065
ko:K07180	ahp:V429_11070
ko:K03654	ahp:V429_11075
ko:K07862	ahp:V429_11080
ko:K03837	ahp:V429_11085
ko:K01665	ahp:V429_11095
ko:K11939	ahp:V429_21150
ko:K03719	ahp:V429_21155
ko:K00661	ahp:V429_21160
ko:K01226	ahp:V429_21165
ko:K02818	ahp:V429_21170
ko:K02819	ahp:V429_21170
ko:K03485	ahp:V429_21175
ko:K07088	ahp:V429_21180
ko:K01424	ahp:V429_21190
ko:K07301	ahp:V429_21195
ko:K01734	ahp:V429_21205
ko:K03594	ahp:V429_21215
ko:K02192	ahp:V429_21220
ko:K06957	ahp:V429_21230
ko:K03415	ahp:V429_21240
ko:K08591	ahp:V429_21285
ko:K01633	ahp:V429_21290
ko:K00950	ahp:V429_21295
ko:K01682	ahp:V429_21335
ko:K07001	ahp:V429_21340
ko:K03406	ahp:V429_21345
ko:K00382	ahp:V429_21365
ko:K00627	ahp:V429_21370
ko:K00163	ahp:V429_21375
ko:K03806	ahp:V429_21385
ko:K06985	ahp:V429_21390
ko:K00767	ahp:V429_21395
ko:K02652	ahp:V429_21405
ko:K02653	ahp:V429_21410
ko:K02654	ahp:V429_21415
ko:K00859	ahp:V429_21420
ko:K09862	ahp:V429_21430
ko:K18446	ahp:V429_20900
ko:K01676	ahp:V429_11100
ko:K00688	ahp:V429_11120
ko:K14445	ahp:V429_11125
ko:K03672	ahp:V429_11130
ko:K14761	ahp:V429_11165
ko:K03821	ahp:V429_11175
ko:K00868	ahp:V429_11210
ko:K00005	ahp:V429_11220
ko:K05873	ahp:V429_11235
ko:K09771	ahp:V429_11245
ko:K03827	ahp:V429_11255
ko:K11927	ahp:V429_11260
ko:K00432	ahp:V429_11265
ko:K07394	ahp:V429_11270
ko:K01921	ahp:V429_11275
ko:K06996	ahp:V429_11280
ko:K05812	ahp:V429_11285
ko:K07090	ahp:V429_11295
ko:K14540	ahp:V429_15600
ko:K01077	ahp:V429_15605
ko:K01077	ahp:V429_15610
ko:K02030	ahp:V429_15620
ko:K06140	ahp:V429_15625
ko:K07675	ahp:V429_15635
ko:K07783	ahp:V429_15640
ko:K02030	ahp:V429_15650
ko:K02029	ahp:V429_15655
ko:K02028	ahp:V429_15660
ko:K03758	ahp:V429_15675
ko:K02039	ahp:V429_15695
ko:K02036	ahp:V429_15705
ko:K02038	ahp:V429_15710
ko:K02037	ahp:V429_15715
ko:K11991	ahp:V429_15720
ko:K01638	ahp:V429_15735
ko:K01637	ahp:V429_15740
ko:K10763	ahp:V429_15745
ko:K09938	ahp:V429_15750
ko:K00761	ahp:V429_15755
ko:K01933	ahp:V429_15760
ko:K11175	ahp:V429_15765
ko:K10943	ahp:V429_15775
ko:K10942	ahp:V429_15780
ko:K10941	ahp:V429_15785
ko:K00937	ahp:V429_15800
ko:K01524	ahp:V429_15805
ko:K06213	ahp:V429_15810
ko:K02397	ahp:V429_15815
ko:K02396	ahp:V429_15820
ko:K02395	ahp:V429_15825
ko:K02394	ahp:V429_15830
ko:K02393	ahp:V429_15835
ko:K02392	ahp:V429_15840
ko:K02391	ahp:V429_15845
ko:K02390	ahp:V429_15850
ko:K02389	ahp:V429_15855
ko:K02388	ahp:V429_15860
ko:K02387	ahp:V429_15865
ko:K00575	ahp:V429_15870
ko:K03415	ahp:V429_15875
ko:K02386	ahp:V429_15880
ko:K02313	ahp:V429_00005
ko:K02338	ahp:V429_00010
ko:K03629	ahp:V429_00015
ko:K02470	ahp:V429_00020
ko:K04080	ahp:V429_00035
ko:K04080	ahp:V429_00040
ko:K00835	ahp:V429_00045
ko:K07667	ahp:V429_00065
ko:K07646	ahp:V429_00070
ko:K01548	ahp:V429_00075
ko:K01547	ahp:V429_00085
ko:K01546	ahp:V429_00090
ko:K00383	ahp:V429_00095
ko:K18138	ahp:V429_00105
ko:K03585	ahp:V429_00110
ko:K18136	ahp:V429_00115
ko:K00873	ahp:V429_00145
ko:K07783	ahp:V429_00150
ko:K08478	ahp:V429_00155
ko:K08475	ahp:V429_00160
ko:K08476	ahp:V429_00165
ko:K01048	ahp:V429_00180
ko:K03060	ahp:V429_00200
ko:K00942	ahp:V429_00205
ko:K12982	ahp:V429_00210
ko:K11211	ahp:V429_00215
ko:K01867	ahp:V429_00250
ko:K06149	ahp:V429_00255
ko:K00209	ahp:V429_00260
ko:K02217	ahp:V429_00270
ko:K07007	ahp:V429_00275
ko:K07154	ahp:V429_00300
ko:K01153	ahp:V429_00305
ko:K03427	ahp:V429_00330
ko:K08223	ahp:V429_00355
ko:K11250	ahp:V429_00360
ko:K07690	ahp:V429_00390
ko:K07679	ahp:V429_00395
ko:K02478	ahp:V429_00405
ko:K02477	ahp:V429_00410
ko:K08177	ahp:V429_00415
ko:K01589	ahp:V429_00420
ko:K01588	ahp:V429_00425
ko:K07086	ahp:V429_00435
ko:K03717	ahp:V429_00440
ko:K16092	ahp:V429_00445
ko:K01776	ahp:V429_00450
ko:K01485	ahp:V429_00490
ko:K06199	ahp:V429_00495
ko:K03183	ahp:V429_00500
ko:K03690	ahp:V429_00505
ko:K03688	ahp:V429_00510
ko:K03116	ahp:V429_00515
ko:K03117	ahp:V429_00520
ko:K03118	ahp:V429_00525
ko:K03424	ahp:V429_00530
ko:K01698	ahp:V429_00535
ko:K01414	ahp:V429_00540
ko:K15984	ahp:V429_00550
ko:K01524	ahp:V429_00565
ko:K03732	ahp:V429_00570
ko:K03671	ahp:V429_00575
ko:K03628	ahp:V429_00580
ko:K03182	ahp:V429_00590
ko:K01154	ahp:V429_00320
ko:K03040	ahp:V429_01755
ko:K02879	ahp:V429_01760
ko:K11747	ahp:V429_01810
ko:K01354	ahp:V429_01840
ko:K07080	ahp:V429_01845
ko:K03446	ahp:V429_01870
ko:K03543	ahp:V429_01875
ko:K05595	ahp:V429_01900
ko:K03116	ahp:V429_01910
ko:K08993	ahp:V429_01950
ko:K08316	ahp:V429_01955
ko:K09812	ahp:V429_01965
ko:K09811	ahp:V429_01970
ko:K03089	ahp:V429_01975
ko:K01673	ahp:V429_01985
ko:K05836	ahp:V429_01990
ko:K01468	ahp:V429_01995
ko:K01479	ahp:V429_02000
ko:K01712	ahp:V429_02005
ko:K01745	ahp:V429_02010
ko:K07300	ahp:V429_02015
ko:K12279	ahp:V429_02035
ko:K12280	ahp:V429_02045
ko:K12281	ahp:V429_02050
ko:K12282	ahp:V429_02055
ko:K12283	ahp:V429_02060
ko:K12284	ahp:V429_02065
ko:K12276	ahp:V429_02070
ko:K12278	ahp:V429_02075
ko:K00868	ahp:V429_06575
ko:K03837	ahp:V429_06590
ko:K00784	ahp:V429_06595
ko:K16263	ahp:V429_06605
ko:K04075	ahp:V429_06630
ko:K03455	ahp:V429_06640
ko:K07001	ahp:V429_06645
ko:K01176	ahp:V429_06670
ko:K02030	ahp:V429_06695
ko:K06203	ahp:V429_06720
ko:K03529	ahp:V429_06725
ko:K03528	ahp:V429_06730
ko:K01972	ahp:V429_06735
ko:K02030	ahp:V429_06770
ko:K06075	ahp:V429_06785
ko:K00027	ahp:V429_06800
ko:K00138	ahp:V429_06825
ko:K00252	ahp:V429_06835
ko:K07657	ahp:V429_06850
ko:K07636	ahp:V429_06855
ko:K02040	ahp:V429_06860
ko:K07506	ahp:V429_11310
ko:K07459	ahp:V429_11315
ko:K01255	ahp:V429_11365
ko:K12940	ahp:V429_11375
ko:K00850	ahp:V429_11380
ko:K01803	ahp:V429_11385
ko:K06219	ahp:V429_11395
ko:K03633	ahp:V429_11400
ko:K03804	ahp:V429_11405
ko:K03632	ahp:V429_11410
ko:K03642	ahp:V429_11415
ko:K01462	ahp:V429_11430
ko:K06193	ahp:V429_11465
ko:K06996	ahp:V429_11485
ko:K07320	ahp:V429_11515
ko:K01736	ahp:V429_11520
ko:K11927	ahp:V429_11530
ko:K03834	ahp:V429_11545
ko:K03435	ahp:V429_11550
ko:K02768	ahp:V429_11555
ko:K11183	ahp:V429_11555
ko:K00882	ahp:V429_11560
ko:K02769	ahp:V429_11565
ko:K02770	ahp:V429_11565
ko:K06859	ahp:V429_11570
ko:K02529	ahp:V429_11575
ko:K02793	ahp:V429_11585
ko:K02794	ahp:V429_11590
ko:K02795	ahp:V429_11595
ko:K06938	ahp:V429_11610
ko:K08304	ahp:V429_11615
ko:K02398	ahp:V429_15885
ko:K02399	ahp:V429_15890
ko:K07095	ahp:V429_15895
ko:K06183	ahp:V429_15910
ko:K08313	ahp:V429_15925
ko:K04069	ahp:V429_15930
ko:K00656	ahp:V429_15935
ko:K15268	ahp:V429_15945
ko:K13893	ahp:V429_15950
ko:K03704	ahp:V429_15975
ko:K00627	ahp:V429_15980
ko:K00162	ahp:V429_15985
ko:K00161	ahp:V429_15990
ko:K05526	ahp:V429_15995
ko:K09915	ahp:V429_16015
ko:K13009	ahp:V429_16020
ko:K00973	ahp:V429_16055
ko:K00067	ahp:V429_16060
ko:K02851	ahp:V429_16065
ko:K00971	ahp:V429_16080
ko:K02377	ahp:V429_16090
ko:K01711	ahp:V429_16095
ko:K18138	ahp:V429_16135
ko:K03585	ahp:V429_16140
ko:K03577	ahp:V429_16145
ko:K10805	ahp:V429_16165
ko:K06178	ahp:V429_16170
ko:K06024	ahp:V429_16175
ko:K05896	ahp:V429_16180
ko:K10925	ahp:V429_02085
ko:K10924	ahp:V429_02090
ko:K10926	ahp:V429_02095
ko:K10927	ahp:V429_02100
ko:K12285	ahp:V429_02105
ko:K12286	ahp:V429_02110
ko:K12287	ahp:V429_02115
ko:K03569	ahp:V429_02120
ko:K03570	ahp:V429_02125
ko:K03571	ahp:V429_02130
ko:K06287	ahp:V429_02135
ko:K08301	ahp:V429_02140
ko:K03568	ahp:V429_02160
ko:K15835	ahp:V429_02165
ko:K11191	ahp:V429_02180
ko:K11192	ahp:V429_02180
ko:K07106	ahp:V429_02185
ko:K05595	ahp:V429_02195
ko:K07814	ahp:V429_02210
ko:K03406	ahp:V429_02230
ko:K03788	ahp:V429_02245
ko:K07054	ahp:V429_02250
ko:K03286	ahp:V429_02320
ko:K09923	ahp:V429_02330
ko:K07733	ahp:V429_02345
ko:K03316	ahp:V429_02365
ko:K00548	ahp:V429_02370
ko:K05844	ahp:V429_02375
ko:K03311	ahp:V429_02380
ko:K00884	ahp:V429_06875
ko:K06201	ahp:V429_06880
ko:K03773	ahp:V429_06885
ko:K01990	ahp:V429_06890
ko:K01912	ahp:V429_06915
ko:K07301	ahp:V429_06925
ko:K01581	ahp:V429_06930
ko:K03310	ahp:V429_06935
ko:K16345	ahp:V429_06945
ko:K00027	ahp:V429_06970
ko:K03286	ahp:V429_06975
ko:K03286	ahp:V429_06980
ko:K03286	ahp:V429_06985
ko:K03308	ahp:V429_07000
ko:K07001	ahp:V429_07005
ko:K03810	ahp:V429_07055
ko:K01159	ahp:V429_07065
ko:K06188	ahp:V429_07070
ko:K01176	ahp:V429_07080
ko:K06131	ahp:V429_07100
ko:K01433	ahp:V429_07110
ko:K02858	ahp:V429_07115
ko:K06078	ahp:V429_07120
ko:K05838	ahp:V429_07125
ko:K06133	ahp:V429_07130
ko:K06970	ahp:V429_07140
ko:K11107	ahp:V429_11620
ko:K00568	ahp:V429_11640
ko:K02469	ahp:V429_11645
ko:K01868	ahp:V429_11665
ko:K02520	ahp:V429_11670
ko:K02916	ahp:V429_11675
ko:K02887	ahp:V429_11680
ko:K01889	ahp:V429_11685
ko:K01890	ahp:V429_11690
ko:K04764	ahp:V429_11695
ko:K12410	ahp:V429_11715
ko:K02529	ahp:V429_11730
ko:K00852	ahp:V429_11735
ko:K10439	ahp:V429_11740
ko:K10440	ahp:V429_11745
ko:K10441	ahp:V429_11750
ko:K06726	ahp:V429_11755
ko:K00799	ahp:V429_11760
ko:K14058	ahp:V429_11775
ko:K14055	ahp:V429_11780
ko:K09792	ahp:V429_11790
ko:K01533	ahp:V429_11800
ko:K09926	ahp:V429_11805
ko:K00406	ahp:V429_11810
ko:K00407	ahp:V429_11815
ko:K00405	ahp:V429_11820
ko:K00404	ahp:V429_11825
ko:K03607	ahp:V429_11840
ko:K03797	ahp:V429_11845
ko:K01256	ahp:V429_11850
ko:K15371	ahp:V429_11860
ko:K00254	ahp:V429_11865
ko:K12297	ahp:V429_11875
ko:K15738	ahp:V429_11885
ko:K03812	ahp:V429_11895
ko:K01716	ahp:V429_11900
ko:K04770	ahp:V429_11905
ko:K07053	ahp:V429_16190
ko:K01657	ahp:V429_16195
ko:K01658	ahp:V429_16200
ko:K00766	ahp:V429_16205
ko:K13498	ahp:V429_16210
ko:K01696	ahp:V429_16215
ko:K01695	ahp:V429_16220
ko:K03317	ahp:V429_16260
ko:K07733	ahp:V429_16290
ko:K00926	ahp:V429_16320
ko:K03630	ahp:V429_16380
ko:K03533	ahp:V429_16425
ko:K07811	ahp:V429_16430
ko:K03532	ahp:V429_16435
ko:K07772	ahp:V429_16440
ko:K11930	ahp:V429_16450
ko:K07647	ahp:V429_16455
ko:K02300	ahp:V429_16470
ko:K02299	ahp:V429_16475
ko:K02298	ahp:V429_16480
ko:K02297	ahp:V429_16485
ko:K00316	ahp:V429_16490
ko:K09975	ahp:V429_16510
ko:K03147	ahp:V429_02410
ko:K14153	ahp:V429_02415
ko:K03148	ahp:V429_02420
ko:K03154	ahp:V429_02425
ko:K03149	ahp:V429_02430
ko:K03150	ahp:V429_02435
ko:K03837	ahp:V429_02470
ko:K03826	ahp:V429_02500
ko:K09939	ahp:V429_02515
ko:K02014	ahp:V429_02520
ko:K02446	ahp:V429_02535
ko:K06940	ahp:V429_02540
ko:K02498	ahp:V429_02545
ko:K02496	ahp:V429_02550
ko:K01719	ahp:V429_02555
ko:K01749	ahp:V429_02560
ko:K05851	ahp:V429_02565
ko:K06999	ahp:V429_02570
ko:K06202	ahp:V429_02575
ko:K01586	ahp:V429_02580
ko:K01778	ahp:V429_02585
ko:K09921	ahp:V429_02590
ko:K03733	ahp:V429_02595
ko:K07010	ahp:V429_02620
ko:K09749	ahp:V429_02630
ko:K01993	ahp:V429_02635
ko:K00651	ahp:V429_02665
ko:K03630	ahp:V429_07225
ko:K07733	ahp:V429_07295
ko:K02035	ahp:V429_07310
ko:K02033	ahp:V429_07315
ko:K02034	ahp:V429_07320
ko:K02031	ahp:V429_07325
ko:K02032	ahp:V429_07325
ko:K02431	ahp:V429_07335
ko:K00879	ahp:V429_07345
ko:K01818	ahp:V429_07350
ko:K02429	ahp:V429_07355
ko:K02430	ahp:V429_07360
ko:K03782	ahp:V429_07365
ko:K01639	ahp:V429_07370
ko:K01788	ahp:V429_07380
ko:K00885	ahp:V429_07385
ko:K03307	ahp:V429_07390
ko:K07733	ahp:V429_07415
ko:K15024	ahp:V429_07440
ko:K09918	ahp:V429_11915
ko:K01720	ahp:V429_11965
ko:K01659	ahp:V429_11970
ko:K03417	ahp:V429_11975
ko:K03808	ahp:V429_11980
ko:K03808	ahp:V429_11985
ko:K11392	ahp:V429_11995
ko:K03424	ahp:V429_12010
ko:K02341	ahp:V429_12015
ko:K00943	ahp:V429_12020
ko:K07082	ahp:V429_12025
ko:K02619	ahp:V429_12030
ko:K09458	ahp:V429_12035
ko:K02078	ahp:V429_12040
ko:K00059	ahp:V429_12045
ko:K00645	ahp:V429_12050
ko:K00648	ahp:V429_12055
ko:K03621	ahp:V429_12060
ko:K02911	ahp:V429_12065
ko:K07040	ahp:V429_12070
ko:K08163	ahp:V429_12085
ko:K06179	ahp:V429_12100
ko:K08300	ahp:V429_12105
ko:K16322	ahp:V429_12110
ko:K01494	ahp:V429_12115
ko:K00876	ahp:V429_12120
ko:K03593	ahp:V429_12125
ko:K01874	ahp:V429_12130
ko:K00799	ahp:V429_12135
ko:K01512	ahp:V429_12140
ko:K03406	ahp:V429_12145
ko:K06969	ahp:V429_12150
ko:K00799	ahp:V429_12155
ko:K01008	ahp:V429_12175
ko:K06917	ahp:V429_12180
ko:K07814	ahp:V429_12190
ko:K15582	ahp:V429_14375
ko:K15581	ahp:V429_14380
ko:K15580	ahp:V429_14385
ko:K04072	ahp:V429_14400
ko:K02478	ahp:V429_14410
ko:K02477	ahp:V429_14415
ko:K07259	ahp:V429_14440
ko:K14260	ahp:V429_14455
ko:K00209	ahp:V429_14465
ko:K03406	ahp:V429_14470
ko:K03617	ahp:V429_14485
ko:K03616	ahp:V429_14490
ko:K03615	ahp:V429_14495
ko:K03614	ahp:V429_14500
ko:K03612	ahp:V429_14505
ko:K03613	ahp:V429_14510
ko:K10773	ahp:V429_14515
ko:K01759	ahp:V429_14520
ko:K03683	ahp:V429_14535
ko:K07084	ahp:V429_14540
ko:K05592	ahp:V429_14545
ko:K10680	ahp:V429_14575
ko:K02566	ahp:V429_14585
ko:K06995	ahp:V429_14595
ko:K01953	ahp:V429_14600
ko:K00799	ahp:V429_14610
ko:K16171	ahp:V429_14620
ko:K00451	ahp:V429_14625
ko:K00457	ahp:V429_14630
ko:K06177	ahp:V429_14640
ko:K14205	ahp:V429_14660
ko:K02014	ahp:V429_02690
ko:K07507	ahp:V429_02700
ko:K16066	ahp:V429_02720
ko:K08325	ahp:V429_02740
ko:K01740	ahp:V429_02750
ko:K11925	ahp:V429_02760
ko:K07107	ahp:V429_02765
ko:K04564	ahp:V429_02790
ko:K03748	ahp:V429_02795
ko:K01911	ahp:V429_02845
ko:K02549	ahp:V429_02850
ko:K01661	ahp:V429_02855
ko:K08680	ahp:V429_02860
ko:K02551	ahp:V429_02865
ko:K02552	ahp:V429_02870
ko:K02548	ahp:V429_02875
ko:K05591	ahp:V429_02900
ko:K11535	ahp:V429_02905
ko:K07038	ahp:V429_02910
ko:K09768	ahp:V429_02925
ko:K16074	ahp:V429_02930
ko:K02562	ahp:V429_02955
ko:K00009	ahp:V429_02960
ko:K02798	ahp:V429_02965
ko:K02799	ahp:V429_02965
ko:K02800	ahp:V429_02965
ko:K01147	ahp:V429_02985
ko:K02379	ahp:V429_07510
ko:K04477	ahp:V429_07525
ko:K00873	ahp:V429_07550
ko:K00845	ahp:V429_07560
ko:K07637	ahp:V429_07565
ko:K07660	ahp:V429_07570
ko:K12531	ahp:V429_07575
