ko:K19272	kpg:KPNIH32_28420
ko:K03335	kpg:KPNIH32_02885
ko:K05813	kpg:KPNIH32_02890
ko:K05816	kpg:KPNIH32_02895
ko:K05815	kpg:KPNIH32_02905
ko:K05814	kpg:KPNIH32_02910
ko:K12957	kpg:KPNIH32_02915
ko:K01673	kpg:KPNIH32_02925
ko:K07733	kpg:KPNIH32_02970
ko:K11903	kpg:KPNIH32_03015
ko:K07454	kpg:KPNIH32_03040
ko:K01198	kpg:KPNIH32_03050
ko:K03292	kpg:KPNIH32_03055
ko:K01805	kpg:KPNIH32_03060
ko:K02024	kpg:KPNIH32_03070
ko:K00574	kpg:KPNIH32_03095
ko:K09701	kpg:KPNIH32_03100
ko:K16053	kpg:KPNIH32_07185
ko:K02795	kpg:KPNIH32_07225
ko:K02794	kpg:KPNIH32_07230
ko:K02793	kpg:KPNIH32_07235
ko:K10679	kpg:KPNIH32_07240
ko:K18325	kpg:KPNIH32_07260
ko:K06048	kpg:KPNIH32_07305
ko:K00375	kpg:KPNIH32_07320
ko:K02030	kpg:KPNIH32_07325
ko:K02029	kpg:KPNIH32_07330
ko:K02029	kpg:KPNIH32_07335
ko:K02028	kpg:KPNIH32_07340
ko:K15373	kpg:KPNIH32_07345
ko:K15372	kpg:KPNIH32_07350
ko:K02034	kpg:KPNIH32_07370
ko:K02033	kpg:KPNIH32_07375
ko:K02035	kpg:KPNIH32_07380
ko:K02167	kpg:KPNIH32_07400
ko:K02168	kpg:KPNIH32_07405
ko:K16053	kpg:KPNIH32_07415
ko:K03566	kpg:KPNIH32_07420
ko:K00549	kpg:KPNIH32_15880
ko:K09773	kpg:KPNIH32_15930
ko:K01626	kpg:KPNIH32_15935
ko:K08997	kpg:KPNIH32_15945
ko:K06074	kpg:KPNIH32_15955
ko:K00432	kpg:KPNIH32_15960
ko:K02073	kpg:KPNIH32_15965
ko:K06073	kpg:KPNIH32_15970
ko:K00285	kpg:KPNIH32_15985
ko:K04764	kpg:KPNIH32_15995
ko:K01890	kpg:KPNIH32_16000
ko:K01889	kpg:KPNIH32_16005
ko:K02887	kpg:KPNIH32_16010
ko:K02916	kpg:KPNIH32_16015
ko:K02520	kpg:KPNIH32_16020
ko:K01868	kpg:KPNIH32_16025
ko:K07283	kpg:KPNIH32_16035
ko:K16370	kpg:KPNIH32_16040
ko:K03832	kpg:KPNIH32_16055
ko:K09780	kpg:KPNIH32_16060
ko:K06131	kpg:KPNIH32_16080
ko:K09901	kpg:KPNIH32_16085
ko:K10716	kpg:KPNIH32_16090
ko:K10823	kpg:KPNIH32_16095
ko:K15583	kpg:KPNIH32_16100
ko:K15582	kpg:KPNIH32_16105
ko:K15581	kpg:KPNIH32_16110
ko:K15580	kpg:KPNIH32_16115
ko:K04072	kpg:KPNIH32_16135
ko:K07733	kpg:KPNIH32_20315
ko:K01951	kpg:KPNIH32_20350
ko:K00088	kpg:KPNIH32_20355
ko:K03601	kpg:KPNIH32_20360
ko:K03977	kpg:KPNIH32_20375
ko:K17713	kpg:KPNIH32_20380
ko:K01892	kpg:KPNIH32_20390
ko:K15539	kpg:KPNIH32_20400
ko:K06941	kpg:KPNIH32_20405
ko:K00940	kpg:KPNIH32_20410
ko:K05367	kpg:KPNIH32_20415
ko:K06894	kpg:KPNIH32_20420
ko:K01011	kpg:KPNIH32_20425
ko:K07751	kpg:KPNIH32_20440
ko:K00094	kpg:KPNIH32_24495
ko:K02436	kpg:KPNIH32_24500
ko:K07056	kpg:KPNIH32_24510
ko:K07121	kpg:KPNIH32_24515
ko:K07460	kpg:KPNIH32_24520
ko:K12961	kpg:KPNIH32_24525
ko:K07089	kpg:KPNIH32_24535
ko:K05520	kpg:KPNIH32_24545
ko:K09979	kpg:KPNIH32_24550
ko:K07461	kpg:KPNIH32_24555
ko:K03824	kpg:KPNIH32_24560
ko:K08303	kpg:KPNIH32_24570
ko:K03835	kpg:KPNIH32_24585
ko:K05592	kpg:KPNIH32_24590
ko:K05803	kpg:KPNIH32_24595
ko:K00962	kpg:KPNIH32_24600
ko:K02956	kpg:KPNIH32_24610
ko:K03177	kpg:KPNIH32_24615
ko:K02834	kpg:KPNIH32_24620
ko:K02519	kpg:KPNIH32_24625
ko:K02600	kpg:KPNIH32_24630
ko:K09748	kpg:KPNIH32_24635
ko:K01940	kpg:KPNIH32_24650
ko:K03075	kpg:KPNIH32_24675
ko:K03431	kpg:KPNIH32_24680
ko:K00796	kpg:KPNIH32_24685
ko:K03798	kpg:KPNIH32_24690
ko:K02427	kpg:KPNIH32_24695
ko:K07574	kpg:KPNIH32_24700
ko:K03624	kpg:KPNIH32_24705
ko:K07259	kpg:KPNIH32_24710
ko:K03979	kpg:KPNIH32_24715
ko:K02899	kpg:KPNIH32_24725
ko:K02888	kpg:KPNIH32_24730
ko:K02523	kpg:KPNIH32_24735
ko:K00790	kpg:KPNIH32_24745
ko:K07122	kpg:KPNIH32_24755
ko:K02168	kpg:KPNIH32_28800
ko:K18831	kpg:KPNIH32_28995
ko:K00826	kpg:KPNIH32_00635
ko:K01687	kpg:KPNIH32_00640
ko:K01754	kpg:KPNIH32_00645
ko:K02521	kpg:KPNIH32_00650
ko:K00053	kpg:KPNIH32_00655
ko:K03769	kpg:KPNIH32_00660
ko:K03769	kpg:KPNIH32_00665
ko:K03656	kpg:KPNIH32_00670
ko:K07150	kpg:KPNIH32_00675
ko:K01524	kpg:KPNIH32_00695
ko:K03732	kpg:KPNIH32_00700
ko:K03671	kpg:KPNIH32_00705
ko:K03628	kpg:KPNIH32_00710
ko:K02851	kpg:KPNIH32_00715
ko:K05790	kpg:KPNIH32_00720
ko:K01791	kpg:KPNIH32_00725
ko:K02472	kpg:KPNIH32_00730
ko:K00973	kpg:KPNIH32_00740
ko:K16704	kpg:KPNIH32_00745
ko:K02805	kpg:KPNIH32_00750
ko:K16693	kpg:KPNIH32_00755
ko:K12582	kpg:KPNIH32_00760
ko:K02853	kpg:KPNIH32_00765
ko:K02852	kpg:KPNIH32_00770
ko:K02498	kpg:KPNIH32_00805
ko:K02496	kpg:KPNIH32_00810
ko:K01719	kpg:KPNIH32_00815
ko:K01749	kpg:KPNIH32_00820
ko:K05851	kpg:KPNIH32_00830
ko:K06202	kpg:KPNIH32_00835
ko:K01778	kpg:KPNIH32_00845
ko:K09921	kpg:KPNIH32_00850
ko:K03733	kpg:KPNIH32_00855
ko:K03657	kpg:KPNIH32_00865
ko:K03284	kpg:KPNIH32_00875
ko:K05786	kpg:KPNIH32_00880
ko:K01058	kpg:KPNIH32_00890
ko:K03654	kpg:KPNIH32_00895
ko:K05835	kpg:KPNIH32_00900
ko:K06222	kpg:KPNIH32_05010
ko:K08307	kpg:KPNIH32_05035
ko:K01069	kpg:KPNIH32_05040
ko:K03469	kpg:KPNIH32_05050
ko:K02342	kpg:KPNIH32_05055
ko:K11249	kpg:KPNIH32_05070
ko:K06445	kpg:KPNIH32_05080
ko:K03271	kpg:KPNIH32_05085
ko:K00346	kpg:KPNIH32_05105
ko:K00347	kpg:KPNIH32_05110
ko:K00348	kpg:KPNIH32_05115
ko:K00349	kpg:KPNIH32_05120
ko:K00350	kpg:KPNIH32_05125
ko:K00351	kpg:KPNIH32_05130
ko:K05952	kpg:KPNIH32_05135
ko:K02346	kpg:KPNIH32_05145
ko:K03830	kpg:KPNIH32_05150
ko:K01270	kpg:KPNIH32_05155
ko:K00769	kpg:KPNIH32_05160
ko:K11750	kpg:KPNIH32_05165
ko:K11926	kpg:KPNIH32_05170
ko:K15735	kpg:KPNIH32_05175
ko:K11735	kpg:KPNIH32_05180
ko:K07250	kpg:KPNIH32_05185
ko:K00135	kpg:KPNIH32_05190
ko:K15736	kpg:KPNIH32_05195
ko:K15737	kpg:KPNIH32_05200
ko:K09982	kpg:KPNIH32_05205
ko:K02775	kpg:KPNIH32_05220
ko:K00058	kpg:KPNIH32_05225
ko:K00059	kpg:KPNIH32_05230
ko:K00880	kpg:KPNIH32_05235
ko:K02443	kpg:KPNIH32_05240
ko:K03694	kpg:KPNIH32_09340
ko:K02518	kpg:KPNIH32_09345
ko:K00684	kpg:KPNIH32_09350
ko:K16012	kpg:KPNIH32_09355
ko:K16013	kpg:KPNIH32_09360
ko:K00384	kpg:KPNIH32_09365
ko:K03719	kpg:KPNIH32_09375
ko:K03466	kpg:KPNIH32_09380
ko:K03634	kpg:KPNIH32_09385
ko:K07478	kpg:KPNIH32_09390
ko:K01875	kpg:KPNIH32_09395
ko:K07306	kpg:KPNIH32_09400
ko:K07307	kpg:KPNIH32_09405
ko:K07308	kpg:KPNIH32_09410
ko:K08219	kpg:KPNIH32_09420
ko:K04069	kpg:KPNIH32_09425
ko:K00656	kpg:KPNIH32_09430
ko:K06212	kpg:KPNIH32_09435
ko:K09136	kpg:KPNIH32_09440
ko:K00831	kpg:KPNIH32_09450
ko:K00800	kpg:KPNIH32_09455
ko:K00945	kpg:KPNIH32_09460
ko:K02945	kpg:KPNIH32_09465
ko:K05788	kpg:KPNIH32_09470
ko:K02238	kpg:KPNIH32_09475
ko:K11085	kpg:KPNIH32_09480
ko:K00912	kpg:KPNIH32_09485
ko:K09927	kpg:KPNIH32_09490
ko:K09791	kpg:KPNIH32_09495
ko:K00979	kpg:KPNIH32_09500
ko:K06219	kpg:KPNIH32_09515
ko:K03633	kpg:KPNIH32_09520
ko:K03804	kpg:KPNIH32_09525
ko:K03632	kpg:KPNIH32_09530
ko:K00813	kpg:KPNIH32_09550
ko:K09476	kpg:KPNIH32_09555
ko:K01893	kpg:KPNIH32_09560
ko:K01751	kpg:KPNIH32_09570
ko:K03837	kpg:KPNIH32_09575
ko:K06016	kpg:KPNIH32_09580
ko:K06205	kpg:KPNIH32_00005
ko:K03718	kpg:KPNIH32_00010
ko:K01914	kpg:KPNIH32_00015
ko:K03924	kpg:KPNIH32_00025
ko:K03549	kpg:KPNIH32_00030
ko:K06726	kpg:KPNIH32_00035
ko:K10441	kpg:KPNIH32_00040
ko:K10440	kpg:KPNIH32_00045
ko:K10439	kpg:KPNIH32_00050
ko:K00852	kpg:KPNIH32_00055
ko:K02529	kpg:KPNIH32_00060
ko:K08194	kpg:KPNIH32_04200
ko:K03785	kpg:KPNIH32_04210
ko:K00014	kpg:KPNIH32_04220
ko:K01704	kpg:KPNIH32_04230
ko:K01703	kpg:KPNIH32_04235
ko:K00052	kpg:KPNIH32_04240
ko:K01649	kpg:KPNIH32_04245
ko:K05798	kpg:KPNIH32_04255
ko:K01652	kpg:KPNIH32_04260
ko:K01653	kpg:KPNIH32_04265
ko:K03435	kpg:KPNIH32_04270
ko:K03925	kpg:KPNIH32_04275
ko:K03438	kpg:KPNIH32_04280
ko:K03586	kpg:KPNIH32_04285
ko:K03587	kpg:KPNIH32_04290
ko:K01928	kpg:KPNIH32_04295
ko:K01929	kpg:KPNIH32_04300
ko:K01000	kpg:KPNIH32_04305
ko:K01925	kpg:KPNIH32_04310
ko:K03588	kpg:KPNIH32_04315
ko:K02563	kpg:KPNIH32_04320
ko:K01924	kpg:KPNIH32_04325
ko:K01921	kpg:KPNIH32_04330
ko:K03589	kpg:KPNIH32_04335
ko:K03590	kpg:KPNIH32_04340
ko:K03531	kpg:KPNIH32_04345
ko:K02535	kpg:KPNIH32_04350
ko:K13301	kpg:KPNIH32_04355
ko:K03070	kpg:KPNIH32_04360
ko:K03574	kpg:KPNIH32_04365
ko:K09862	kpg:KPNIH32_04370
ko:K18778	kpg:KPNIH32_04375
ko:K00859	kpg:KPNIH32_04380
ko:K00364	kpg:KPNIH32_04390
ko:K02505	kpg:KPNIH32_04395
ko:K02504	kpg:KPNIH32_04400
ko:K02682	kpg:KPNIH32_04405
ko:K00767	kpg:KPNIH32_04410
ko:K03806	kpg:KPNIH32_04415
ko:K03807	kpg:KPNIH32_04420
ko:K11734	kpg:KPNIH32_04435
ko:K00163	kpg:KPNIH32_04450
ko:K00627	kpg:KPNIH32_04455
ko:K03702	kpg:KPNIH32_08520
ko:K07643	kpg:KPNIH32_08525
ko:K07771	kpg:KPNIH32_08530
ko:K03760	kpg:KPNIH32_08535
ko:K03639	kpg:KPNIH32_08545
ko:K03638	kpg:KPNIH32_08550
ko:K03637	kpg:KPNIH32_08555
ko:K03636	kpg:KPNIH32_08560
ko:K03635	kpg:KPNIH32_08565
ko:K06890	kpg:KPNIH32_08570
ko:K07027	kpg:KPNIH32_08575
ko:K01993	kpg:KPNIH32_08610
ko:K00615	kpg:KPNIH32_08640
ko:K00615	kpg:KPNIH32_08645
ko:K11927	kpg:KPNIH32_08650
ko:K13650	kpg:KPNIH32_08675
ko:K06970	kpg:KPNIH32_08685
ko:K10038	kpg:KPNIH32_08695
ko:K10037	kpg:KPNIH32_08700
ko:K10036	kpg:KPNIH32_08705
ko:K04047	kpg:KPNIH32_08710
ko:K11939	kpg:KPNIH32_08715
ko:K11934	kpg:KPNIH32_08725
ko:K11924	kpg:KPNIH32_08740
ko:K01223	kpg:KPNIH32_08750
ko:K03492	kpg:KPNIH32_08755
ko:K03299	kpg:KPNIH32_12890
ko:K02532	kpg:KPNIH32_12935
ko:K01190	kpg:KPNIH32_12940
ko:K13633	kpg:KPNIH32_12960
ko:K00549	kpg:KPNIH32_12970
ko:K11959	kpg:KPNIH32_12975
ko:K11960	kpg:KPNIH32_12980
ko:K11961	kpg:KPNIH32_12985
ko:K11962	kpg:KPNIH32_12990
ko:K11963	kpg:KPNIH32_12995
ko:K15268	kpg:KPNIH32_13010
ko:K13630	kpg:KPNIH32_13015
ko:K13632	kpg:KPNIH32_13020
ko:K03712	kpg:KPNIH32_13025
ko:K05595	kpg:KPNIH32_13035
ko:K08159	kpg:KPNIH32_13040
ko:K03307	kpg:KPNIH32_13065
ko:K01714	kpg:KPNIH32_13070
ko:K00016	kpg:KPNIH32_13095
ko:K03829	kpg:KPNIH32_13100
ko:K08324	kpg:KPNIH32_13110
ko:K01425	kpg:KPNIH32_13115
ko:K00041	kpg:KPNIH32_13135
ko:K11903	kpg:KPNIH32_13155
ko:K02217	kpg:KPNIH32_17235
ko:K03834	kpg:KPNIH32_17245
ko:K07039	kpg:KPNIH32_17250
ko:K01714	kpg:KPNIH32_17255
ko:K00995	kpg:KPNIH32_17275
ko:K03703	kpg:KPNIH32_17280
ko:K07689	kpg:KPNIH32_17285
ko:K07782	kpg:KPNIH32_17295
ko:K10010	kpg:KPNIH32_17300
ko:K10009	kpg:KPNIH32_17305
ko:K02424	kpg:KPNIH32_17315
ko:K01176	kpg:KPNIH32_17320
ko:K07781	kpg:KPNIH32_17330
ko:K09781	kpg:KPNIH32_17350
ko:K07458	kpg:KPNIH32_17360
ko:K06950	kpg:KPNIH32_17370
ko:K09933	kpg:KPNIH32_17390
ko:K13635	kpg:KPNIH32_17420
ko:K07093	kpg:KPNIH32_17440
ko:K00763	kpg:KPNIH32_09590
ko:K01256	kpg:KPNIH32_09600
ko:K15555	kpg:KPNIH32_09605
ko:K03475	kpg:KPNIH32_13705
ko:K02822	kpg:KPNIH32_13710
ko:K02821	kpg:KPNIH32_13715
ko:K08178	kpg:KPNIH32_13760
ko:K02371	kpg:KPNIH32_13785
ko:K02083	kpg:KPNIH32_13790
ko:K02028	kpg:KPNIH32_13800
ko:K02029	kpg:KPNIH32_13805
ko:K02029	kpg:KPNIH32_13810
ko:K02030	kpg:KPNIH32_13815
ko:K00133	kpg:KPNIH32_13860
ko:K03543	kpg:KPNIH32_13875
ko:K09458	kpg:KPNIH32_13885
ko:K09936	kpg:KPNIH32_13890
ko:K09936	kpg:KPNIH32_13895
ko:K01951	kpg:KPNIH32_13925
ko:K01118	kpg:KPNIH32_13935
ko:K07090	kpg:KPNIH32_13970
ko:K03566	kpg:KPNIH32_18060
ko:K07168	kpg:KPNIH32_18110
ko:K01251	kpg:KPNIH32_18115
ko:K00768	kpg:KPNIH32_18120
ko:K02233	kpg:KPNIH32_18125
ko:K09802	kpg:KPNIH32_18130
ko:K07470	kpg:KPNIH32_18140
ko:K07258	kpg:KPNIH32_18150
ko:K01141	kpg:KPNIH32_18155
ko:K02355	kpg:KPNIH32_18170
ko:K00765	kpg:KPNIH32_18195
ko:K00013	kpg:KPNIH32_18200
ko:K00817	kpg:KPNIH32_18205
ko:K01089	kpg:KPNIH32_18210
ko:K02501	kpg:KPNIH32_18215
ko:K01814	kpg:KPNIH32_18220
ko:K02500	kpg:KPNIH32_18225
ko:K11755	kpg:KPNIH32_18230
ko:K01854	kpg:KPNIH32_18265
ko:K08679	kpg:KPNIH32_18295
ko:K13919	kpg:KPNIH32_22335
ko:K13920	kpg:KPNIH32_22340
ko:K13923	kpg:KPNIH32_22365
ko:K13922	kpg:KPNIH32_22385
ko:K13921	kpg:KPNIH32_22390
ko:K04031	kpg:KPNIH32_22405
ko:K04029	kpg:KPNIH32_22410
ko:K16651	kpg:KPNIH32_22420
ko:K04720	kpg:KPNIH32_22425
ko:K01448	kpg:KPNIH32_22430
ko:K14682	kpg:KPNIH32_22435
ko:K03581	kpg:KPNIH32_22445
ko:K03582	kpg:KPNIH32_22450
ko:K01407	kpg:KPNIH32_22455
ko:K03583	kpg:KPNIH32_22460
ko:K02681	kpg:KPNIH32_22465
ko:K02680	kpg:KPNIH32_22475
ko:K02679	kpg:KPNIH32_22480
ko:K13292	kpg:KPNIH32_22490
ko:K08484	kpg:KPNIH32_22495
ko:K08311	kpg:KPNIH32_22500
ko:K03573	kpg:KPNIH32_22510
ko:K08227	kpg:KPNIH32_22530
ko:K05939	kpg:KPNIH32_22535
ko:K02529	kpg:KPNIH32_22545
ko:K13637	kpg:KPNIH32_22555
ko:K05350	kpg:KPNIH32_22560
ko:K02761	kpg:KPNIH32_22565
ko:K01586	kpg:KPNIH32_22575
ko:K02562	kpg:KPNIH32_26610
ko:K14762	kpg:KPNIH32_26620
ko:K00427	kpg:KPNIH32_26625
ko:K14348	kpg:KPNIH32_26630
ko:K00101	kpg:KPNIH32_26635
ko:K03216	kpg:KPNIH32_26640
ko:K00640	kpg:KPNIH32_26645
ko:K00057	kpg:KPNIH32_26650
ko:K03071	kpg:KPNIH32_26655
ko:K15633	kpg:KPNIH32_26670
ko:K09798	kpg:KPNIH32_26680
ko:K00060	kpg:KPNIH32_26690
ko:K00639	kpg:KPNIH32_26695
ko:K03274	kpg:KPNIH32_26700
ko:K02843	kpg:KPNIH32_26705
ko:K02841	kpg:KPNIH32_26710
ko:K02849	kpg:KPNIH32_26735
ko:K02844	kpg:KPNIH32_26740
ko:K02527	kpg:KPNIH32_26755
ko:K12984	kpg:KPNIH32_26760
ko:K00954	kpg:KPNIH32_26765
ko:K10563	kpg:KPNIH32_26770
ko:K02913	kpg:KPNIH32_26775
ko:K02902	kpg:KPNIH32_26780
ko:K03630	kpg:KPNIH32_26785
ko:K13038	kpg:KPNIH32_26790
ko:K05501	kpg:KPNIH32_26800
ko:K00762	kpg:KPNIH32_26805
ko:K00989	kpg:KPNIH32_26810
ko:K01993	kpg:KPNIH32_26825
ko:K10778	kpg:KPNIH32_26855
ko:K02074	kpg:KPNIH32_17445
ko:K02075	kpg:KPNIH32_17450
ko:K02077	kpg:KPNIH32_17455
ko:K01698	kpg:KPNIH32_17475
ko:K01465	kpg:KPNIH32_17480
ko:K01868	kpg:KPNIH32_17490
ko:K02781	kpg:KPNIH32_21530
ko:K00068	kpg:KPNIH32_21535
ko:K02466	kpg:KPNIH32_21540
ko:K02468	kpg:KPNIH32_21545
ko:K02467	kpg:KPNIH32_21550
ko:K12266	kpg:KPNIH32_21555
ko:K12264	kpg:KPNIH32_21565
ko:K12265	kpg:KPNIH32_21570
ko:K07241	kpg:KPNIH32_21575
ko:K04656	kpg:KPNIH32_21580
ko:K05796	kpg:KPNIH32_21585
ko:K03487	kpg:KPNIH32_21590
ko:K02752	kpg:KPNIH32_21600
ko:K02753	kpg:KPNIH32_21600
ko:K01223	kpg:KPNIH32_21605
ko:K08315	kpg:KPNIH32_21615
ko:K15834	kpg:KPNIH32_21620
ko:K15832	kpg:KPNIH32_21625
ko:K15831	kpg:KPNIH32_21630
ko:K15830	kpg:KPNIH32_21635
ko:K15829	kpg:KPNIH32_21640
ko:K15828	kpg:KPNIH32_21645
ko:K15827	kpg:KPNIH32_21650
ko:K15833	kpg:KPNIH32_21655
ko:K04651	kpg:KPNIH32_21660
ko:K04652	kpg:KPNIH32_21665
ko:K04653	kpg:KPNIH32_21670
ko:K04654	kpg:KPNIH32_21675
ko:K04655	kpg:KPNIH32_21680
ko:K15836	kpg:KPNIH32_21685
ko:K01223	kpg:KPNIH32_21690
ko:K16077	kpg:KPNIH32_21700
ko:K02761	kpg:KPNIH32_21705
ko:K02760	kpg:KPNIH32_21710
ko:K02761	kpg:KPNIH32_21715
ko:K02759	kpg:KPNIH32_21720
ko:K00847	kpg:KPNIH32_21725
ko:K11604	kpg:KPNIH32_21735
ko:K11607	kpg:KPNIH32_21740
ko:K11605	kpg:KPNIH32_21745
ko:K11606	kpg:KPNIH32_21750
ko:K07088	kpg:KPNIH32_21765
ko:K01652	kpg:KPNIH32_21770
ko:K07401	kpg:KPNIH32_21775
ko:K16087	kpg:KPNIH32_21780
ko:K07225	kpg:KPNIH32_21785
ko:K02016	kpg:KPNIH32_21790
ko:K00975	kpg:KPNIH32_25825
ko:K00700	kpg:KPNIH32_25835
ko:K00133	kpg:KPNIH32_25840
ko:K06156	kpg:KPNIH32_25850
ko:K00851	kpg:KPNIH32_25855
ko:K06145	kpg:KPNIH32_25860
ko:K06911	kpg:KPNIH32_25865
ko:K03825	kpg:KPNIH32_25880
ko:K00681	kpg:KPNIH32_25885
ko:K01126	kpg:KPNIH32_25895
ko:K05816	kpg:KPNIH32_25900
ko:K05815	kpg:KPNIH32_25905
ko:K05814	kpg:KPNIH32_25910
ko:K05813	kpg:KPNIH32_25915
ko:K07341	kpg:KPNIH32_25920
ko:K01996	kpg:KPNIH32_25930
ko:K01995	kpg:KPNIH32_25935
ko:K01998	kpg:KPNIH32_25940
ko:K01997	kpg:KPNIH32_25945
ko:K01999	kpg:KPNIH32_25950
ko:K01999	kpg:KPNIH32_25970
ko:K00823	kpg:KPNIH32_25980
ko:K00375	kpg:KPNIH32_25985
ko:K03089	kpg:KPNIH32_25990
ko:K09811	kpg:KPNIH32_25995
ko:K09812	kpg:KPNIH32_26000
ko:K03110	kpg:KPNIH32_26005
ko:K08316	kpg:KPNIH32_26010
ko:K08993	kpg:KPNIH32_26015
ko:K01534	kpg:KPNIH32_26030
ko:K04085	kpg:KPNIH32_26035
ko:K09125	kpg:KPNIH32_26040
ko:K12963	kpg:KPNIH32_26060
ko:K12962	kpg:KPNIH32_26065
ko:K07264	kpg:KPNIH32_26070
ko:K13014	kpg:KPNIH32_26075
ko:K10111	kpg:KPNIH32_01445
ko:K02024	kpg:KPNIH32_01450
ko:K05775	kpg:KPNIH32_01455
ko:K03181	kpg:KPNIH32_01460
ko:K03179	kpg:KPNIH32_01465
ko:K00631	kpg:KPNIH32_01470
ko:K00901	kpg:KPNIH32_01475
ko:K01356	kpg:KPNIH32_01480
ko:K03327	kpg:KPNIH32_01485
ko:K09823	kpg:KPNIH32_01500
ko:K05539	kpg:KPNIH32_01515
ko:K01775	kpg:KPNIH32_01535
ko:K00832	kpg:KPNIH32_01540
ko:K03788	kpg:KPNIH32_01545
ko:K03701	kpg:KPNIH32_01560
ko:K18325	kpg:KPNIH32_01585
ko:K07277	kpg:KPNIH32_01605
ko:K01092	kpg:KPNIH32_01615
ko:K13631	kpg:KPNIH32_01660
ko:K13639	kpg:KPNIH32_01665
ko:K00799	kpg:KPNIH32_01670
ko:K06901	kpg:KPNIH32_01675
ko:K03316	kpg:KPNIH32_01680
ko:K06518	kpg:KPNIH32_01690
ko:K07347	kpg:KPNIH32_01715
ko:K03074	kpg:KPNIH32_05785
ko:K06996	kpg:KPNIH32_05790
ko:K05517	kpg:KPNIH32_05800
ko:K07738	kpg:KPNIH32_05810
ko:K11752	kpg:KPNIH32_05815
ko:K00794	kpg:KPNIH32_05820
ko:K03625	kpg:KPNIH32_05825
ko:K00946	kpg:KPNIH32_05830
ko:K01095	kpg:KPNIH32_05835
ko:K01662	kpg:KPNIH32_05845
ko:K00795	kpg:KPNIH32_05850
ko:K03602	kpg:KPNIH32_05855
ko:K03151	kpg:KPNIH32_05860
ko:K03152	kpg:KPNIH32_05870
ko:K00077	kpg:KPNIH32_05875
ko:K09767	kpg:KPNIH32_05880
ko:K08195	kpg:KPNIH32_05895
ko:K00014	kpg:KPNIH32_05920
ko:K02624	kpg:KPNIH32_05925
ko:K02300	kpg:KPNIH32_05940
ko:K02299	kpg:KPNIH32_05945
ko:K02298	kpg:KPNIH32_05950
ko:K02297	kpg:KPNIH32_05955
ko:K08218	kpg:KPNIH32_05960
ko:K07286	kpg:KPNIH32_05965
ko:K05527	kpg:KPNIH32_05970
ko:K03545	kpg:KPNIH32_05975
ko:K01358	kpg:KPNIH32_05980
ko:K03544	kpg:KPNIH32_05985
ko:K01338	kpg:KPNIH32_05990
ko:K03530	kpg:KPNIH32_05995
ko:K03770	kpg:KPNIH32_06000
ko:K02237	kpg:KPNIH32_06005
ko:K12500	kpg:KPNIH32_06010
ko:K06920	kpg:KPNIH32_06015
ko:K11938	kpg:KPNIH32_06025
ko:K01738	kpg:KPNIH32_06030
ko:K05800	kpg:KPNIH32_06035
ko:K08300	kpg:KPNIH32_10155
ko:K06179	kpg:KPNIH32_10160
ko:K07040	kpg:KPNIH32_10170
ko:K02911	kpg:KPNIH32_10175
ko:K03621	kpg:KPNIH32_10180
ko:K00648	kpg:KPNIH32_10185
ko:K00645	kpg:KPNIH32_10190
ko:K00059	kpg:KPNIH32_10195
ko:K02078	kpg:KPNIH32_10200
ko:K09458	kpg:KPNIH32_10205
ko:K02619	kpg:KPNIH32_10210
ko:K07082	kpg:KPNIH32_10215
ko:K00943	kpg:KPNIH32_10220
ko:K02341	kpg:KPNIH32_10225
ko:K03424	kpg:KPNIH32_10230
ko:K02778	kpg:KPNIH32_10235
ko:K02779	kpg:KPNIH32_10235
ko:K02503	kpg:KPNIH32_10240
ko:K07337	kpg:KPNIH32_10250
ko:K07251	kpg:KPNIH32_10255
ko:K01207	kpg:KPNIH32_10260
ko:K07000	kpg:KPNIH32_10265
ko:K03885	kpg:KPNIH32_10270
ko:K02014	kpg:KPNIH32_10280
ko:K12151	kpg:KPNIH32_10300
ko:K03723	kpg:KPNIH32_10310
ko:K09808	kpg:KPNIH32_10320
ko:K09810	kpg:KPNIH32_10325
ko:K09808	kpg:KPNIH32_10330
ko:K00884	kpg:KPNIH32_10335
ko:K12410	kpg:KPNIH32_10340
ko:K11069	kpg:KPNIH32_10360
ko:K11070	kpg:KPNIH32_10365
ko:K11071	kpg:KPNIH32_10370
ko:K11072	kpg:KPNIH32_10375
ko:K01258	kpg:KPNIH32_10380
ko:K07637	kpg:KPNIH32_10390
ko:K07660	kpg:KPNIH32_10395
ko:K01756	kpg:KPNIH32_10410
ko:K07153	kpg:KPNIH32_10415
ko:K01821	kpg:KPNIH32_14520
ko:K11208	kpg:KPNIH32_14525
ko:K02030	kpg:KPNIH32_14530
ko:K02028	kpg:KPNIH32_14535
ko:K02029	kpg:KPNIH32_14540
ko:K02030	kpg:KPNIH32_14550
ko:K11738	kpg:KPNIH32_14580
ko:K02014	kpg:KPNIH32_14595
ko:K01250	kpg:KPNIH32_14615
ko:K03823	kpg:KPNIH32_14630
ko:K09936	kpg:KPNIH32_14635
ko:K00137	kpg:KPNIH32_14685
ko:K02053	kpg:KPNIH32_14690
ko:K02054	kpg:KPNIH32_14695
ko:K02052	kpg:KPNIH32_14700
ko:K02055	kpg:KPNIH32_14705
ko:K00425	kpg:KPNIH32_14715
ko:K00426	kpg:KPNIH32_14720
