ko:K10353	lhr:R0052_11810
ko:K02041	lhr:R0052_00855
ko:K02042	lhr:R0052_00860
ko:K02042	lhr:R0052_00865
ko:K01953	lhr:R0052_00890
ko:K03549	lhr:R0052_00940
ko:K00760	lhr:R0052_05885
ko:K09384	lhr:R0052_05915
ko:K07006	lhr:R0052_05935
ko:K01442	lhr:R0052_06095
ko:K01534	lhr:R0052_06115
ko:K03704	lhr:R0052_07600
ko:K01870	lhr:R0052_07605
ko:K04074	lhr:R0052_07610
ko:K02221	lhr:R0052_07620
ko:K09772	lhr:R0052_07625
ko:K03531	lhr:R0052_07630
ko:K03590	lhr:R0052_07635
ko:K03589	lhr:R0052_07640
ko:K02563	lhr:R0052_07645
ko:K01925	lhr:R0052_07650
ko:K01000	lhr:R0052_07655
ko:K03438	lhr:R0052_07670
ko:K03925	lhr:R0052_07675
ko:K03571	lhr:R0052_07705
ko:K03570	lhr:R0052_07710
ko:K03569	lhr:R0052_07715
ko:K03630	lhr:R0052_07720
ko:K11754	lhr:R0052_07730
ko:K01873	lhr:R0052_07735
ko:K03151	lhr:R0052_07815
ko:K04487	lhr:R0052_07820
ko:K02986	lhr:R0052_07830
ko:K07478	lhr:R0052_07840
ko:K05837	lhr:R0052_07855
ko:K08998	lhr:R0052_07865
ko:K03569	lhr:R0052_07870
ko:K02114	lhr:R0052_07880
ko:K02112	lhr:R0052_07885
ko:K02115	lhr:R0052_07890
ko:K14230	lhr:R0052_t12003
ko:K15772	lhr:R0052_11255
ko:K02851	lhr:R0052_08390
ko:K15770	lhr:R0052_11265
ko:K11991	lhr:R0052_02015
ko:K16786	lhr:R0052_01755
ko:K16787	lhr:R0052_01760
ko:K16785	lhr:R0052_01765
ko:K01838	lhr:R0052_11275
ko:K02075	lhr:R0052_10460
ko:K02808	lhr:R0052_11795
ko:K02809	lhr:R0052_11795
ko:K02810	lhr:R0052_11795
ko:K02027	lhr:R0052_08875
ko:K16925	lhr:R0052_08935
ko:K16898	lhr:R0052_05185
ko:K02030	lhr:R0052_05580
ko:K02030	lhr:R0052_04165
ko:K02030	lhr:R0052_09675
ko:K16785	lhr:R0052_06990
ko:K16786	lhr:R0052_06985
ko:K16787	lhr:R0052_06985
ko:K07012	lhr:R0052_03295
ko:K16786	lhr:R0052_10200
ko:K16787	lhr:R0052_10200
ko:K14225	lhr:R0052_t11979
ko:K14225	lhr:R0052_t11981
ko:K14225	lhr:R0052_t11993
ko:K14221	lhr:R0052_t12007
ko:K14221	lhr:R0052_t12023
ko:K14221	lhr:R0052_t12065
ko:K14231	lhr:R0052_t12009
ko:K14231	lhr:R0052_t12025
ko:K01190	lhr:R0052_03730
ko:K01834	lhr:R0052_01055
ko:K01834	lhr:R0052_01820
ko:K00951	lhr:R0052_06910
ko:K16785	lhr:R0052_00570
ko:K14220	lhr:R0052_t11969
ko:K14220	lhr:R0052_t12079
ko:K14220	lhr:R0052_t12039
ko:K14229	lhr:R0052_t11971
ko:K14229	lhr:R0052_t11973
ko:K14229	lhr:R0052_t11987
ko:K14232	lhr:R0052_t11983
ko:K14232	lhr:R0052_t11999
ko:K14232	lhr:R0052_t12087
ko:K14227	lhr:R0052_t12013
ko:K14227	lhr:R0052_t12083
ko:K14218	lhr:R0052_t12081
ko:K14237	lhr:R0052_t11985
ko:K14237	lhr:R0052_t12045
ko:K14237	lhr:R0052_t12061
ko:K14228	lhr:R0052_t11989
ko:K14228	lhr:R0052_t11995
ko:K14219	lhr:R0052_t11997
ko:K14219	lhr:R0052_t12085
ko:K14230	lhr:R0052_t12001
ko:K14230	lhr:R0052_t12005
ko:K14230	lhr:R0052_t12021
ko:K14236	lhr:R0052_t12027
ko:K14236	lhr:R0052_t12073
ko:K14226	lhr:R0052_t12031
ko:K14226	lhr:R0052_t12063
ko:K14223	lhr:R0052_t12071
ko:K14223	lhr:R0052_t12075
ko:K14228	lhr:R0052_t12037
ko:K14219	lhr:R0052_t12049
ko:K14219	lhr:R0052_t12057
ko:K14228	lhr:R0052_t12069
ko:K16785	lhr:R0052_10195
ko:K01985	lhr:R0052_r12089
ko:K01985	lhr:R0052_r12095
ko:K01985	lhr:R0052_r12091
ko:K01985	lhr:R0052_r12093
ko:K16924	lhr:R0052_06980
ko:K16927	lhr:R0052_10205
ko:K16899	lhr:R0052_05180
ko:K14235	lhr:R0052_t12029
ko:K14234	lhr:R0052_t11967
ko:K14234	lhr:R0052_t11975
ko:K14234	lhr:R0052_t11991
ko:K01980	lhr:R0052_r12105
ko:K01980	lhr:R0052_r12109
ko:K01980	lhr:R0052_r12107
ko:K01980	lhr:R0052_r12111
ko:K14225	lhr:R0052_t12011
ko:K14224	lhr:R0052_t12017
ko:K14224	lhr:R0052_t12043
ko:K14224	lhr:R0052_t12055
ko:K14233	lhr:R0052_t12019
ko:K14233	lhr:R0052_t12067
ko:K14233	lhr:R0052_t12051
ko:K14233	lhr:R0052_t12041
ko:K14223	lhr:R0052_t12033
ko:K14222	lhr:R0052_t12035
ko:K11070	lhr:R0052_08140
ko:K01992	lhr:R0052_02945
ko:K02029	lhr:R0052_00780
ko:K02030	lhr:R0052_00780
ko:K02028	lhr:R0052_04160
ko:K02028	lhr:R0052_09680
ko:K01760	lhr:R0052_11205
ko:K01992	lhr:R0052_11510
ko:K01992	lhr:R0052_03155
ko:K01990	lhr:R0052_05110
ko:K01990	lhr:R0052_02915
ko:K01990	lhr:R0052_03150
ko:K01738	lhr:R0052_11200
ko:K02028	lhr:R0052_05585
ko:K02032	lhr:R0052_04540
ko:K02028	lhr:R0052_00785
ko:K01537	lhr:R0052_09170
ko:K17076	lhr:R0052_00665
ko:K01990	lhr:R0052_11505
ko:K17073	lhr:R0052_00670
ko:K17074	lhr:R0052_00670
ko:K02026	lhr:R0052_09565
ko:K14225	lhr:R0052_t11977
ko:K14233	lhr:R0052_t12015
ko:K14228	lhr:R0052_t12047
ko:K14223	lhr:R0052_t12053
ko:K14219	lhr:R0052_t12059
ko:K14234	lhr:R0052_t12077
ko:K10112	lhr:R0052_11270
ko:K01990	lhr:R0052_05970
ko:K10112	lhr:R0052_09575
ko:K17686	lhr:R0052_11900
ko:K07284	lhr:R0052_04855
ko:K00226	lhr:R0052_04255
ko:K17810	lhr:R0052_00895
ko:K02027	lhr:R0052_02380
ko:K02027	lhr:R0052_09650
ko:K00537	lhr:R0052_04335
ko:K01190	lhr:R0052_03725
ko:K00018	lhr:R0052_03815
ko:K00661	lhr:R0052_06510
ko:K00661	lhr:R0052_05620
ko:K12574	lhr:R0052_07445
ko:K01791	lhr:R0052_08690
ko:K02027	lhr:R0052_09555
ko:K01187	lhr:R0052_10545
ko:K01187	lhr:R0052_11290
ko:K03366	lhr:R0052_10900
ko:K01071	lhr:R0052_02070
ko:K21469	lhr:R0052_11785
ko:K00104	lhr:R0052_03565
ko:K02794	lhr:R0052_02440
ko:K06921	lhr:R0052_10280
ko:K06921	lhr:R0052_10310
ko:K02428	lhr:R0052_06240
ko:K03671	lhr:R0052_02755
ko:K01779	lhr:R0052_09705
ko:K00067	lhr:R0052_09880
ko:K15580	lhr:R0052_03850
ko:K02073	lhr:R0052_10905
ko:K01154	lhr:R0052_11100
ko:K03524	lhr:R0052_06600
ko:K00925	lhr:R0052_11295
ko:K00925	lhr:R0052_11310
ko:K03697	lhr:R0052_11555
ko:K08659	lhr:R0052_00295
ko:K07478	lhr:R0052_05670
ko:K03492	lhr:R0052_07310
ko:K03294	lhr:R0052_05930
ko:K00925	lhr:R0052_05945
ko:K01621	lhr:R0052_08780
ko:K18672	lhr:R0052_08130
ko:K18682	lhr:R0052_08410
ko:K18692	lhr:R0052_02500
ko:K18909	lhr:R0052_04595
ko:K18892	lhr:R0052_08940
ko:K18891	lhr:R0052_08945
ko:K03497	lhr:R0052_10640
ko:K03496	lhr:R0052_10645
ko:K03497	lhr:R0052_10650
ko:K18231	lhr:R0052_11400
ko:K03111	lhr:R0052_00040
ko:K07029	lhr:R0052_09105
ko:K07483	lhr:R0052_11095
ko:K19055	lhr:R0052_03470
ko:K19005	lhr:R0052_02660
ko:K13052	lhr:R0052_01500
ko:K19002	lhr:R0052_02645
ko:K19005	lhr:R0052_07980
ko:K09951	lhr:R0052_03325
ko:K19119	lhr:R0052_03300
ko:K19157	lhr:R0052_06275
ko:K02777	lhr:R0052_08750
ko:K19159	lhr:R0052_11690
ko:K19158	lhr:R0052_11695
ko:K01710	lhr:R0052_10015
ko:K19117	lhr:R0052_03305
ko:K19118	lhr:R0052_03310
ko:K19225	lhr:R0052_03640
ko:K07448	lhr:R0052_04060
ko:K19167	lhr:R0052_02110
ko:K00020	lhr:R0052_05675
ko:K12952	lhr:R0052_07160
ko:K03722	lhr:R0052_05190
ko:K07496	lhr:R0052_01035
ko:K07496	lhr:R0052_01040
ko:K07496	lhr:R0052_01045
ko:K07496	lhr:R0052_06380
ko:K07496	lhr:R0052_01395
ko:K07496	lhr:R0052_01830
ko:K07496	lhr:R0052_01855
ko:K07496	lhr:R0052_08920
ko:K07496	lhr:R0052_09010
ko:K07496	lhr:R0052_09200
ko:K07496	lhr:R0052_02815
ko:K07496	lhr:R0052_02820
ko:K07496	lhr:R0052_03030
ko:K07496	lhr:R0052_03035
ko:K07496	lhr:R0052_09765
ko:K07496	lhr:R0052_10305
ko:K07496	lhr:R0052_10335
ko:K07496	lhr:R0052_10365
ko:K07496	lhr:R0052_10370
ko:K07496	lhr:R0052_10580
ko:K07496	lhr:R0052_10585
ko:K07496	lhr:R0052_10755
ko:K07496	lhr:R0052_10835
ko:K07496	lhr:R0052_10840
ko:K07496	lhr:R0052_10940
ko:K07496	lhr:R0052_00285
ko:K07496	lhr:R0052_00290
ko:K07496	lhr:R0052_00485
ko:K07496	lhr:R0052_00930
ko:K07496	lhr:R0052_00935
ko:K19302	lhr:R0052_02710
ko:K04771	lhr:R0052_00525
ko:K19350	lhr:R0052_06215
ko:K07497	lhr:R0052_11365
ko:K06881	lhr:R0052_02495
ko:K02796	lhr:R0052_09480
ko:K21636	lhr:R0052_00900
ko:K00527	lhr:R0052_00325
ko:K18889	lhr:R0052_04690
ko:K20074	lhr:R0052_04475
ko:K12132	lhr:R0052_04480
ko:K07484	lhr:R0052_04120
ko:K20112	lhr:R0052_00835
ko:K00526	lhr:R0052_10890
ko:K18890	lhr:R0052_04695
ko:K01262	lhr:R0052_04395
ko:K01104	lhr:R0052_11320
ko:K01208	lhr:R0052_11285
ko:K08968	lhr:R0052_01540
ko:K21029	lhr:R0052_00150
ko:K00525	lhr:R0052_10880
ko:K01493	lhr:R0052_01195
ko:K00857	lhr:R0052_07940
ko:K03553	lhr:R0052_08415
ko:K01520	lhr:R0052_01870
ko:K07313	lhr:R0052_09305
ko:K06223	lhr:R0052_09970
ko:K06217	lhr:R0052_05040
ko:K02316	lhr:R0052_05070
ko:K02314	lhr:R0052_00065
ko:K00287	lhr:R0052_07175
ko:K00560	lhr:R0052_07180
ko:K06223	lhr:R0052_05550
ko:K04068	lhr:R0052_00905
ko:K03293	lhr:R0052_11540
ko:K02003	lhr:R0052_11755
ko:K02004	lhr:R0052_11755
ko:K02335	lhr:R0052_03345
ko:K01101	lhr:R0052_02610
ko:K14192	lhr:R0052_09615
ko:K02031	lhr:R0052_04535
ko:K03293	lhr:R0052_09450
ko:K03293	lhr:R0052_11535
ko:K03293	lhr:R0052_07185
ko:K07052	lhr:R0052_11625
ko:K07025	lhr:R0052_00365
ko:K08728	lhr:R0052_00830
ko:K21562	lhr:R0052_02970
ko:K21567	lhr:R0052_02625
ko:K21498	lhr:R0052_03145
ko:K21562	lhr:R0052_06100
ko:K21929	lhr:R0052_04665
ko:K22044	lhr:R0052_02565
ko:K03595	lhr:R0052_05050
ko:K03547	lhr:R0052_03105
ko:K17758	lhr:R0052_02850
ko:K22393	lhr:R0052_10680
ko:K22394	lhr:R0052_10675
ko:K00590	lhr:R0052_04085
