ko:K02428	cul:CULC22_01829
ko:K06147	cul:CULC22_02165
ko:K12437	cul:CULC22_02186
ko:K12428	cul:CULC22_02187
ko:K13687	cul:CULC22_02193
ko:K14136	cul:CULC22_02194
ko:K01854	cul:CULC22_02202
ko:K04518	cul:CULC22_02214
ko:K03574	cul:CULC22_02061
ko:K14949	cul:CULC22_02064
ko:K02348	cul:CULC22_02068
ko:K01496	cul:CULC22_01471
ko:K01092	cul:CULC22_01473
ko:K01814	cul:CULC22_01474
ko:K01817	cul:CULC22_01474
ko:K02342	cul:CULC22_01486
ko:K01424	cul:CULC22_01500
ko:K02035	cul:CULC22_01650
ko:K02033	cul:CULC22_01651
ko:K02035	cul:CULC22_01659
ko:K03317	cul:CULC22_02224
ko:K01489	cul:CULC22_02225
ko:K00758	cul:CULC22_02226
ko:K00016	cul:CULC22_02227
ko:K07304	cul:CULC22_02228
ko:K02274	cul:CULC22_01843
ko:K01011	cul:CULC22_02100
ko:K02004	cul:CULC22_02117
ko:K02005	cul:CULC22_02119
ko:K13953	cul:CULC22_02122
ko:K13640	cul:CULC22_02126
ko:K13787	cul:CULC22_01527
ko:K00845	cul:CULC22_01535
ko:K13668	cul:CULC22_01536
ko:K03891	cul:CULC22_01539
ko:K03890	cul:CULC22_01540
ko:K03889	cul:CULC22_01541
ko:K03932	cul:CULC22_01984
ko:K03153	cul:CULC22_01429
ko:K07035	cul:CULC22_01571
ko:K00088	cul:CULC22_01572
ko:K01104	cul:CULC22_01595
ko:K02238	cul:CULC22_01731
ko:K03647	cul:CULC22_01848
ko:K01916	cul:CULC22_01851
ko:K02004	cul:CULC22_01865
ko:K01507	cul:CULC22_02027
ko:K13671	cul:CULC22_02238
ko:K02004	cul:CULC22_02289
ko:K02564	cul:CULC22_02297
ko:K01788	cul:CULC22_02299
ko:K10563	cul:CULC22_01453
ko:K02566	cul:CULC22_01602
ko:K03711	cul:CULC22_01619
ko:K01823	cul:CULC22_01639
ko:K06147	cul:CULC22_01643
ko:K02351	cul:CULC22_01783
ko:K07245	cul:CULC22_01783
ko:K02619	cul:CULC22_01894
ko:K03647	cul:CULC22_01900
ko:K03499	cul:CULC22_01910
ko:K08167	cul:CULC22_01917
ko:K05565	cul:CULC22_02045
ko:K05568	cul:CULC22_02047
ko:K05570	cul:CULC22_02049
ko:K00135	cul:CULC22_02309
ko:K07250	cul:CULC22_02310
ko:K09684	cul:CULC22_02311
ko:K00135	cul:CULC22_02312
ko:K00970	cul:CULC22_02339
ko:K00845	cul:CULC22_02300
ko:K02035	cul:CULC22_02302
ko:K02031	cul:CULC22_02304
ko:K02034	cul:CULC22_02304
ko:K02033	cul:CULC22_02303
ko:K01953	cul:CULC22_01545
ko:K06980	cul:CULC22_01895
ko:K03696	cul:CULC22_01998
ko:K04567	cul:CULC22_02008
ko:K02168	cul:CULC22_02013
ko:K01918	cul:CULC22_02015
ko:K00950	cul:CULC22_02019
ko:K01633	cul:CULC22_02020
ko:K00796	cul:CULC22_02021
ko:K01495	cul:CULC22_02022
ko:K03798	cul:CULC22_02023
ko:K05571	cul:CULC22_02050
ko:K06048	cul:CULC22_02052
ko:K01462	cul:CULC22_02055
ko:K01142	cul:CULC22_02057
ko:K06131	cul:CULC22_02058
ko:K00925	cul:CULC22_02065
ko:K13788	cul:CULC22_02066
ko:K00528	cul:CULC22_02067
ko:K08289	cul:CULC22_02070
ko:K07101	cul:CULC22_02071
ko:K07399	cul:CULC22_02081
ko:K03385	cul:CULC22_02083
ko:K01939	cul:CULC22_02086
ko:K00111	cul:CULC22_02101
ko:K03695	cul:CULC22_02108
ko:K03312	cul:CULC22_02114
ko:K02003	cul:CULC22_02118
ko:K05569	cul:CULC22_02048
ko:K03686	cul:CULC22_02127
ko:K03687	cul:CULC22_02128
ko:K02221	cul:CULC22_01505
ko:K02888	cul:CULC22_01744
ko:K00940	cul:CULC22_01747
ko:K11754	cul:CULC22_01750
ko:K01873	cul:CULC22_01751
ko:K00024	cul:CULC22_01752
ko:K03544	cul:CULC22_01754
ko:K13950	cul:CULC22_01756
ko:K01358	cul:CULC22_01757
ko:K01358	cul:CULC22_01758
ko:K03545	cul:CULC22_01759
ko:K08281	cul:CULC22_01813
ko:K03564	cul:CULC22_01816
ko:K00997	cul:CULC22_01818
ko:K11533	cul:CULC22_01819
ko:K02919	cul:CULC22_01850
ko:K06199	cul:CULC22_01863
ko:K06199	cul:CULC22_01864
ko:K02003	cul:CULC22_01866
ko:K00790	cul:CULC22_01870
ko:K01738	cul:CULC22_01874
ko:K00640	cul:CULC22_01875
ko:K06975	cul:CULC22_01876
ko:K00005	cul:CULC22_01877
ko:K00425	cul:CULC22_01878
ko:K00426	cul:CULC22_01879
ko:K02039	cul:CULC22_01884
ko:K01933	cul:CULC22_01897
ko:K00764	cul:CULC22_01898
ko:K11068	cul:CULC22_01902
ko:K01952	cul:CULC22_01903
ko:K01952	cul:CULC22_01904
ko:K01952	cul:CULC22_01905
ko:K00432	cul:CULC22_01906
ko:K15525	cul:CULC22_00830
ko:K15520	cul:CULC22_01890
ko:K01354	cul:CULC22_01907
ko:K01923	cul:CULC22_01908
ko:K01756	cul:CULC22_01909
ko:K01945	cul:CULC22_01912
ko:K00156	cul:CULC22_01922
ko:K00697	cul:CULC22_01980
ko:K01087	cul:CULC22_01982
ko:K03218	cul:CULC22_01985
ko:K01883	cul:CULC22_01986
ko:K01770	cul:CULC22_01987
ko:K00991	cul:CULC22_01988
ko:K07736	cul:CULC22_01989
ko:K04485	cul:CULC22_01992
ko:K01673	cul:CULC22_01994
ko:K03575	cul:CULC22_01995
ko:K00760	cul:CULC22_02024
ko:K04075	cul:CULC22_02025
ko:K07259	cul:CULC22_02026
ko:K11103	cul:CULC22_02029
ko:K04077	cul:CULC22_02040
ko:K07164	cul:CULC22_01591
ko:K00817	cul:CULC22_01593
ko:K02227	cul:CULC22_01597
ko:K00163	cul:CULC22_01599
ko:K02078	cul:CULC22_01601
ko:K00820	cul:CULC22_01609
ko:K01129	cul:CULC22_01612
ko:K01880	cul:CULC22_01617
ko:K00806	cul:CULC22_01621
ko:K03584	cul:CULC22_01622
ko:K00868	cul:CULC22_01624
ko:K07042	cul:CULC22_01626
ko:K05567	cul:CULC22_02046
ko:K01624	cul:CULC22_02095
ko:K00762	cul:CULC22_02098
ko:K15342	cul:CULC22_00030
ko:K03311	cul:CULC22_01644
ko:K07088	cul:CULC22_01649
ko:K02034	cul:CULC22_01652
ko:K06997	cul:CULC22_01655
ko:K07112	cul:CULC22_01656
ko:K03596	cul:CULC22_01725
ko:K02968	cul:CULC22_01727
ko:K02340	cul:CULC22_01730
ko:K02237	cul:CULC22_01732
ko:K09710	cul:CULC22_01735
ko:K00969	cul:CULC22_01736
ko:K00147	cul:CULC22_01737
ko:K09790	cul:CULC22_01739
ko:K07085	cul:CULC22_01740
ko:K00931	cul:CULC22_01741
ko:K03979	cul:CULC22_01742
ko:K02899	cul:CULC22_01743
ko:K03439	cul:CULC22_02178
ko:K06911	cul:CULC22_01762
ko:K01808	cul:CULC22_01763
ko:K01256	cul:CULC22_01765
ko:K06886	cul:CULC22_01767
ko:K09936	cul:CULC22_01768
ko:K07107	cul:CULC22_01770
ko:K09136	cul:CULC22_01774
ko:K09136	cul:CULC22_01780
ko:K06200	cul:CULC22_01784
ko:K14645	cul:CULC22_01787
ko:K07124	cul:CULC22_01789
ko:K13288	cul:CULC22_01790
ko:K01714	cul:CULC22_01791
ko:K04564	cul:CULC22_02231
ko:K08224	cul:CULC22_02234
ko:K09384	cul:CULC22_02235
ko:K07146	cul:CULC22_02244
ko:K03217	cul:CULC22_02247
ko:K09125	cul:CULC22_02249
ko:K00989	cul:CULC22_01830
ko:K01776	cul:CULC22_01832
ko:K06891	cul:CULC22_01835
ko:K00763	cul:CULC22_01836
ko:K01079	cul:CULC22_01839
ko:K02217	cul:CULC22_01846
ko:K04047	cul:CULC22_02282
ko:K01421	cul:CULC22_02286
ko:K01869	cul:CULC22_02287
ko:K02003	cul:CULC22_02288
ko:K01443	cul:CULC22_02298
ko:K01714	cul:CULC22_02306
ko:K02036	cul:CULC22_01886
ko:K02038	cul:CULC22_01887
ko:K02037	cul:CULC22_01888
ko:K02040	cul:CULC22_01889
ko:K01695	cul:CULC22_02332
ko:K14347	cul:CULC22_02334
ko:K07735	cul:CULC22_02338
ko:K03980	cul:CULC22_02342
ko:K00384	cul:CULC22_02344
ko:K03671	cul:CULC22_02345
ko:K01448	cul:CULC22_02346
ko:K09761	cul:CULC22_01628
ko:K03686	cul:CULC22_01629
ko:K03705	cul:CULC22_01630
ko:K00705	cul:CULC22_01634
ko:K01284	cul:CULC22_01637
ko:K04043	cul:CULC22_02129
ko:K03306	cul:CULC22_02138
ko:K02013	cul:CULC22_02143
ko:K02015	cul:CULC22_02144
ko:K02016	cul:CULC22_02145
ko:K03190	cul:CULC22_02147
ko:K03189	cul:CULC22_02148
ko:K03188	cul:CULC22_02149
ko:K03187	cul:CULC22_02150
ko:K01428	cul:CULC22_02151
ko:K01429	cul:CULC22_02152
ko:K01430	cul:CULC22_02153
ko:K14260	cul:CULC22_02155
ko:K04567	cul:CULC22_02157
ko:K00012	cul:CULC22_02160
ko:K01494	cul:CULC22_02161
ko:K01207	cul:CULC22_02170
ko:K01126	cul:CULC22_02200
ko:K02445	cul:CULC22_02201
ko:K02013	cul:CULC22_02203
ko:K02015	cul:CULC22_02204
ko:K02016	cul:CULC22_02205
ko:K01875	cul:CULC22_02209
ko:K03710	cul:CULC22_02210
ko:K03310	cul:CULC22_02220
ko:K01126	cul:CULC22_02223
ko:K08369	cul:CULC22_02265
ko:K02939	cul:CULC22_02268
ko:K02990	cul:CULC22_02270
ko:K07146	cul:CULC22_02279
ko:K03975	cul:CULC22_02280
ko:K01792	cul:CULC22_02317
ko:K09946	cul:CULC22_02320
ko:K01657	cul:CULC22_02327
ko:K00766	cul:CULC22_02329
ko:K13498	cul:CULC22_02330
ko:K01696	cul:CULC22_02331
ko:K03501	cul:CULC22_02350
ko:K03217	cul:CULC22_02351
ko:K08998	cul:CULC22_02352
ko:K03536	cul:CULC22_02353
ko:K02914	cul:CULC22_02354
ko:K01840	cul:CULC22_00566
ko:K01840	cul:CULC22_00525
ko:K02276	cul:CULC22_01542
ko:K02275	cul:CULC22_01544
ko:K02231	cul:CULC22_01548
ko:K00768	cul:CULC22_01549
ko:K01840	cul:CULC22_00212
ko:K09772	cul:CULC22_01506
ko:K05810	cul:CULC22_01507
ko:K03531	cul:CULC22_01508
ko:K03589	cul:CULC22_01510
ko:K01924	cul:CULC22_01511
ko:K02563	cul:CULC22_01512
ko:K03588	cul:CULC22_01513
ko:K01925	cul:CULC22_01514
ko:K01000	cul:CULC22_01515
ko:K01929	cul:CULC22_01516
ko:K01928	cul:CULC22_01517
ko:K03587	cul:CULC22_01518
ko:K03438	cul:CULC22_01520
ko:K03925	cul:CULC22_01521
ko:K00297	cul:CULC22_01526
ko:K01626	cul:CULC22_01531
ko:K00655	cul:CULC22_01534
ko:K02233	cul:CULC22_01550
ko:K00826	cul:CULC22_01551
ko:K01255	cul:CULC22_01552
ko:K00658	cul:CULC22_01554
ko:K00281	cul:CULC22_01555
ko:K00605	cul:CULC22_01556
ko:K02437	cul:CULC22_01557
ko:K03801	cul:CULC22_01559
ko:K03644	cul:CULC22_01560
ko:K02013	cul:CULC22_01561
ko:K02015	cul:CULC22_01562
ko:K02015	cul:CULC22_01563
ko:K02016	cul:CULC22_01564
ko:K01915	cul:CULC22_01568
ko:K07084	cul:CULC22_01574
ko:K01733	cul:CULC22_01577
ko:K00982	cul:CULC22_01582
ko:K01915	cul:CULC22_01583
ko:K00849	cul:CULC22_01587
ko:K15876	cul:CULC22_02084
ko:K10947	cul:CULC22_02092
ko:K18926	cul:CULC22_00530
ko:K01977	cul:CULC22_00638
ko:K01977	cul:CULC22_01869
ko:K01977	cul:CULC22_02255
ko:K01977	cul:CULC22_01029
ko:K16147	cul:CULC22_00919
ko:K16148	cul:CULC22_00849
ko:K16164	cul:CULC22_00199
ko:K10716	cul:CULC22_00600
ko:K01897	cul:CULC22_01633
ko:K02028	cul:CULC22_00995
ko:K18955	cul:CULC22_00563
ko:K21449	cul:CULC22_01162
ko:K16264	cul:CULC22_00956
ko:K15772	cul:CULC22_00429
ko:K16653	cul:CULC22_00149
ko:K15770	cul:CULC22_00427
ko:K15771	cul:CULC22_00428
ko:K16783	cul:CULC22_01364
ko:K01985	cul:CULC22_00640
ko:K01985	cul:CULC22_02253
ko:K01985	cul:CULC22_01867
ko:K01985	cul:CULC22_01031
ko:K02484	cul:CULC22_01915
ko:K00130	cul:CULC22_02012
ko:K16784	cul:CULC22_01363
ko:K16652	cul:CULC22_00148
ko:K16647	cul:CULC22_01304
ko:K16650	cul:CULC22_02196
ko:K16649	cul:CULC22_00154
ko:K02851	cul:CULC22_00902
ko:K16648	cul:CULC22_02171
ko:K02030	cul:CULC22_00997
ko:K02030	cul:CULC22_02063
ko:K11991	cul:CULC22_00182
ko:K01906	cul:CULC22_01291
ko:K16786	cul:CULC22_02166
ko:K16787	cul:CULC22_02166
ko:K02803	cul:CULC22_00168
ko:K02804	cul:CULC22_00168
ko:K02768	cul:CULC22_01439
ko:K02769	cul:CULC22_01439
ko:K02770	cul:CULC22_01439
ko:K16870	cul:CULC22_00561
ko:K00966	cul:CULC22_00562
ko:K08316	cul:CULC22_00991
ko:K00108	cul:CULC22_02014
ko:K02303	cul:CULC22_01394
ko:K16925	cul:CULC22_00811
ko:K16786	cul:CULC22_00812
ko:K16787	cul:CULC22_00812
ko:K16926	cul:CULC22_02168
ko:K16785	cul:CULC22_00813
ko:K02654	cul:CULC22_01259
ko:K01980	cul:CULC22_01030
ko:K01980	cul:CULC22_01868
ko:K01980	cul:CULC22_02254
ko:K01980	cul:CULC22_00639
ko:K07012	cul:CULC22_00031
ko:K02058	cul:CULC22_00013
ko:K15582	cul:CULC22_00819
ko:K15581	cul:CULC22_00818
ko:K01990	cul:CULC22_02109
ko:K01992	cul:CULC22_02110
ko:K01990	cul:CULC22_02257
ko:K00951	cul:CULC22_01279
ko:K01897	cul:CULC22_00303
ko:K15580	cul:CULC22_00817
ko:K10112	cul:CULC22_00433
ko:K03416	cul:CULC22_00619
ko:K17489	cul:CULC22_00620
ko:K01990	cul:CULC22_00217
ko:K01990	cul:CULC22_00379
ko:K01990	cul:CULC22_00547
ko:K01990	cul:CULC22_01209
ko:K01990	cul:CULC22_01782
ko:K01990	cul:CULC22_02060
ko:K17490	cul:CULC22_00622
ko:K07012	cul:CULC22_00109
ko:K01186	cul:CULC22_00437
ko:K17489	cul:CULC22_00621
ko:K17686	cul:CULC22_02263
ko:K03671	cul:CULC22_02261
ko:K02010	cul:CULC22_00231
ko:K11928	cul:CULC22_00877
ko:K01658	cul:CULC22_02328
ko:K02026	cul:CULC22_00556
ko:K14337	cul:CULC22_01528
ko:K19745	cul:CULC22_01788
ko:K07284	cul:CULC22_02105
ko:K03767	cul:CULC22_00017
ko:K01267	cul:CULC22_01113
ko:K00537	cul:CULC22_00825
ko:K12574	cul:CULC22_01373
ko:K02027	cul:CULC22_00558
ko:K07284	cul:CULC22_02107
ko:K07284	cul:CULC22_02132
ko:K00254	cul:CULC22_01128
ko:K02031	cul:CULC22_00410
ko:K02032	cul:CULC22_00410
ko:K08168	cul:CULC22_00210
ko:K17883	cul:CULC22_01405
ko:K02031	cul:CULC22_00676
ko:K02032	cul:CULC22_00676
ko:K02031	cul:CULC22_00820
ko:K02032	cul:CULC22_00820
ko:K02031	cul:CULC22_01653
ko:K02032	cul:CULC22_01653
ko:K03343	cul:CULC22_02315
ko:K21449	cul:CULC22_01933
ko:K21480	cul:CULC22_01581
ko:K18230	cul:CULC22_01135
ko:K18118	cul:CULC22_01882
ko:K21687	cul:CULC22_00646
ko:K21688	cul:CULC22_00735
ko:K03088	cul:CULC22_02343
ko:K01619	cul:CULC22_00295
ko:K01372	cul:CULC22_00358
ko:K01424	cul:CULC22_00418
ko:K00864	cul:CULC22_00138
ko:K02341	cul:CULC22_00274
ko:K03531	cul:CULC22_01509
ko:K06958	cul:CULC22_01708
ko:K13671	cul:CULC22_02191
ko:K01056	cul:CULC22_00759
ko:K00299	cul:CULC22_01272
ko:K00652	cul:CULC22_01292
ko:K00138	cul:CULC22_02123
ko:K02483	cul:CULC22_01916
ko:K16237	cul:CULC22_00838
ko:K18455	cul:CULC22_00782
ko:K16237	cul:CULC22_00836
ko:K03574	cul:CULC22_00982
ko:K01990	cul:CULC22_00161
ko:K01992	cul:CULC22_00162
ko:K02032	cul:CULC22_02134
ko:K02032	cul:CULC22_02305
ko:K18917	cul:CULC22_00686
ko:K18955	cul:CULC22_00247
ko:K18955	cul:CULC22_00471
ko:K03111	cul:CULC22_01961
ko:K03111	cul:CULC22_01716
ko:K03111	cul:CULC22_01772
ko:K18955	cul:CULC22_00590
ko:K06147	cul:CULC22_00860
ko:K18930	cul:CULC22_01084
ko:K04565	cul:CULC22_00659
ko:K03496	cul:CULC22_01041
ko:K18929	cul:CULC22_00889
ko:K18928	cul:CULC22_00890
ko:K03111	cul:CULC22_02269
ko:K03497	cul:CULC22_02348
ko:K03496	cul:CULC22_02349
ko:K03976	cul:CULC22_00587
ko:K09951	cul:CULC22_00106
ko:K03526	cul:CULC22_01410
ko:K19125	cul:CULC22_00036
ko:K19126	cul:CULC22_01927
ko:K19126	cul:CULC22_01668
ko:K10563	cul:CULC22_02283
ko:K19221	cul:CULC22_01399
ko:K19131	cul:CULC22_00111
ko:K00798	cul:CULC22_01871
ko:K19132	cul:CULC22_00110
ko:K19133	cul:CULC22_00108
ko:K01710	cul:CULC22_00281
ko:K09951	cul:CULC22_00029
ko:K01239	cul:CULC22_02001
ko:K19124	cul:CULC22_00035
ko:K19126	cul:CULC22_00032
ko:K01239	cul:CULC22_01379
ko:K19265	cul:CULC22_00943
ko:K03722	cul:CULC22_01837
ko:K19302	cul:CULC22_02198
ko:K00020	cul:CULC22_00196
ko:K00020	cul:CULC22_00327
ko:K19302	cul:CULC22_00160
ko:K01785	cul:CULC22_00867
ko:K00526	cul:CULC22_01845
ko:K01992	cul:CULC22_02059
ko:K06867	cul:CULC22_01729
ko:K06867	cul:CULC22_01632
ko:K06881	cul:CULC22_01385
ko:K19577	cul:CULC22_00511
ko:K06221	cul:CULC22_00660
ko:K19710	cul:CULC22_01297
ko:K19784	cul:CULC22_02232
ko:K07119	cul:CULC22_01812
ko:K09681	cul:CULC22_02233
ko:K02033	cul:CULC22_01658
ko:K02034	cul:CULC22_01658
ko:K09796	cul:CULC22_01300
ko:K12132	cul:CULC22_00044
ko:K12132	cul:CULC22_01530
ko:K12132	cul:CULC22_00045
ko:K20074	cul:CULC22_00048
ko:K20276	cul:CULC22_02103
ko:K20490	cul:CULC22_00071
ko:K20491	cul:CULC22_00070
ko:K20468	cul:CULC22_02181
ko:K20470	cul:CULC22_02180
ko:K01214	cul:CULC22_01485
ko:K01200	cul:CULC22_00761
ko:K20814	cul:CULC22_01110
ko:K03404	cul:CULC22_01400
ko:K07741	cul:CULC22_01195
ko:K07741	cul:CULC22_01693
ko:K07741	cul:CULC22_01696
ko:K21071	cul:CULC22_00941
ko:K01768	cul:CULC22_00272
ko:K00821	cul:CULC22_01022
ko:K21147	cul:CULC22_01432
ko:K03791	cul:CULC22_01932
ko:K02314	cul:CULC22_02266
ko:K21636	cul:CULC22_00384
ko:K02335	cul:CULC22_00999
ko:K00287	cul:CULC22_00687
ko:K00560	cul:CULC22_00688
ko:K01520	cul:CULC22_01313
ko:K03465	cul:CULC22_01375
ko:K07465	cul:CULC22_01114
ko:K03553	cul:CULC22_01360
ko:K02316	cul:CULC22_01608
ko:K06217	cul:CULC22_01627
ko:K06191	cul:CULC22_01849
ko:K01520	cul:CULC22_01713
ko:K01160	cul:CULC22_01714
ko:K00525	cul:CULC22_01847
ko:K09820	cul:CULC22_00366
ko:K01436	cul:CULC22_00526
ko:K02031	cul:CULC22_00974
ko:K22468	cul:CULC22_00743
ko:K09819	cul:CULC22_00367
ko:K07741	cul:CULC22_01969
ko:K02075	cul:CULC22_00496
ko:K02075	cul:CULC22_00495
ko:K02074	cul:CULC22_00494
ko:K00526	cul:CULC22_01901
ko:K03293	cul:CULC22_01097
ko:K21481	cul:CULC22_01814
ko:K21473	cul:CULC22_01148
ko:K05364	cul:CULC22_00046
ko:K21471	cul:CULC22_01537
ko:K21401	cul:CULC22_00352
ko:K21498	cul:CULC22_01115
ko:K10914	cul:CULC22_00251
ko:K21685	cul:CULC22_01872
ko:K02334	cul:CULC22_01188
ko:K21962	cul:CULC22_01151
ko:K22044	cul:CULC22_00951
ko:K22044	cul:CULC22_01766
ko:K03595	cul:CULC22_01623
ko:K03892	cul:CULC22_00338
ko:K01046	cul:CULC22_00113
ko:K17758	cul:CULC22_02284
ko:K17759	cul:CULC22_02284
ko:K22316	cul:CULC22_01590
ko:K22306	cul:CULC22_01734
ko:K02257	cul:CULC22_01212
ko:K22311	cul:CULC22_01295
ko:K11206	cul:CULC22_02120
ko:K22476	cul:CULC22_02056
ko:K00728	cul:CULC22_00729
ko:K22468	cul:CULC22_02034
ko:K08300	cul:CULC22_01745
ko:K08301	cul:CULC22_01745
ko:K07566	cul:CULC22_00901
