ko:K18929	hhq:HPSH169_00665
ko:K08159	hhq:HPSH169_05890
ko:K00133	hhq:HPSH169_05910
ko:K01892	hhq:HPSH169_05915
ko:K01869	hhq:HPSH169_07740
ko:K11754	hhq:HPSH169_07750
ko:K03723	hhq:HPSH169_07770
ko:K00411	hhq:HPSH169_07775
ko:K00412	hhq:HPSH169_07780
ko:K00413	hhq:HPSH169_07785
ko:K03587	hhq:HPSH169_07795
ko:K02408	hhq:HPSH169_07800
ko:K02388	hhq:HPSH169_07805
ko:K02387	hhq:HPSH169_07810
ko:K03588	hhq:HPSH169_07815
ko:K02016	hhq:HPSH169_07820
ko:K02016	hhq:HPSH169_07825
ko:K02073	hhq:HPSH169_07835
ko:K05515	hhq:HPSH169_07840
ko:K03978	hhq:HPSH169_07850
ko:K09774	hhq:HPSH169_07855
ko:K03270	hhq:HPSH169_07865
ko:K03642	hhq:HPSH169_07870
ko:K08307	hhq:HPSH169_07875
ko:K03424	hhq:HPSH169_07880
ko:K00793	hhq:HPSH169_07885
ko:K04061	hhq:HPSH169_07890
ko:K02071	hhq:HPSH169_07895
ko:K02072	hhq:HPSH169_07900
ko:K03474	hhq:HPSH169_07920
ko:K00097	hhq:HPSH169_07925
ko:K02392	hhq:HPSH169_07935
ko:K14232	hhq:HPSH169_t07998
ko:K14219	hhq:HPSH169_t07992
ko:K16052	hhq:HPSH169_05135
ko:K14224	hhq:HPSH169_t07952
ko:K14221	hhq:HPSH169_t07954
ko:K14237	hhq:HPSH169_t07956
ko:K14224	hhq:HPSH169_t07958
ko:K14229	hhq:HPSH169_t07960
ko:K14237	hhq:HPSH169_t07962
ko:K14220	hhq:HPSH169_t07966
ko:K14219	hhq:HPSH169_t07970
ko:K14233	hhq:HPSH169_t07972
ko:K14219	hhq:HPSH169_t07978
ko:K14230	hhq:HPSH169_t07976
ko:K14230	hhq:HPSH169_t07980
ko:K14223	hhq:HPSH169_t07982
ko:K14225	hhq:HPSH169_t07984
ko:K14228	hhq:HPSH169_t07986
ko:K14222	hhq:HPSH169_t07988
ko:K14233	hhq:HPSH169_t07990
ko:K01985	hhq:HPSH169_r08024
ko:K01985	hhq:HPSH169_r08026
ko:K14228	hhq:HPSH169_t08000
ko:K14227	hhq:HPSH169_t08002
ko:K14218	hhq:HPSH169_t08004
ko:K02029	hhq:HPSH169_05805
ko:K00971	hhq:HPSH169_00200
ko:K14235	hhq:HPSH169_t08008
ko:K15842	hhq:HPSH169_04745
ko:K15847	hhq:HPSH169_04560
ko:K15847	hhq:HPSH169_06180
ko:K12086	hhq:HPSH169_02665
ko:K12088	hhq:HPSH169_02670
ko:K12089	hhq:HPSH169_02675
ko:K12090	hhq:HPSH169_02680
ko:K12092	hhq:HPSH169_02700
ko:K12093	hhq:HPSH169_02705
ko:K12094	hhq:HPSH169_02710
ko:K12095	hhq:HPSH169_02715
ko:K12096	hhq:HPSH169_02720
ko:K12097	hhq:HPSH169_02725
ko:K12098	hhq:HPSH169_02730
ko:K12101	hhq:HPSH169_02760
ko:K15842	hhq:HPSH169_02815
ko:K12102	hhq:HPSH169_02765
ko:K12103	hhq:HPSH169_02770
ko:K12104	hhq:HPSH169_02775
ko:K12105	hhq:HPSH169_02780
ko:K12106	hhq:HPSH169_02785
ko:K12107	hhq:HPSH169_02790
ko:K12108	hhq:HPSH169_02795
ko:K12109	hhq:HPSH169_02800
ko:K12110	hhq:HPSH169_02805
ko:K15848	hhq:HPSH169_03710
ko:K15843	hhq:HPSH169_04630
ko:K15844	hhq:HPSH169_04635
ko:K03196	hhq:HPSH169_01115
ko:K03196	hhq:HPSH169_06970
ko:K07126	hhq:HPSH169_01220
ko:K01439	hhq:HPSH169_01225
ko:K06910	hhq:HPSH169_01260
ko:K02017	hhq:HPSH169_02455
ko:K01885	hhq:HPSH169_02460
ko:K08077	hhq:HPSH169_02600
ko:K07126	hhq:HPSH169_02660
ko:K03635	hhq:HPSH169_04105
ko:K05845	hhq:HPSH169_04190
ko:K05846	hhq:HPSH169_04190
ko:K00088	hhq:HPSH169_04245
ko:K02433	hhq:HPSH169_04250
ko:K01719	hhq:HPSH169_06080
ko:K12091	hhq:HPSH169_02690
ko:K01585	hhq:HPSH169_05100
ko:K02238	hhq:HPSH169_06770
ko:K04517	hhq:HPSH169_06870
ko:K03743	hhq:HPSH169_04845
ko:K06179	hhq:HPSH169_04865
ko:K03442	hhq:HPSH169_05010
ko:K03279	hhq:HPSH169_06940
ko:K03768	hhq:HPSH169_07075
ko:K06346	hhq:HPSH169_07125
ko:K04093	hhq:HPSH169_01640
ko:K03342	hhq:HPSH169_01650
ko:K01916	hhq:HPSH169_01830
ko:K07126	hhq:HPSH169_01865
ko:K00674	hhq:HPSH169_03225
ko:K07126	hhq:HPSH169_03230
ko:K01885	hhq:HPSH169_03300
ko:K03469	hhq:HPSH169_03390
ko:K04763	hhq:HPSH169_03450
ko:K00567	hhq:HPSH169_03455
ko:K13016	hhq:HPSH169_03465
ko:K00058	hhq:HPSH169_05210
ko:K06013	hhq:HPSH169_05290
ko:K01784	hhq:HPSH169_05395
ko:K02067	hhq:HPSH169_07205
ko:K02242	hhq:HPSH169_07255
ko:K00616	hhq:HPSH169_07365
ko:K07126	hhq:HPSH169_01350
ko:K06196	hhq:HPSH169_01510
ko:K00059	hhq:HPSH169_02890
ko:K01455	hhq:HPSH169_06155
ko:K03406	hhq:HPSH169_00475
ko:K03406	hhq:HPSH169_00495
ko:K01119	hhq:HPSH169_00500
ko:K11085	hhq:HPSH169_02015
ko:K00626	hhq:HPSH169_03550
ko:K01424	hhq:HPSH169_03700
ko:K07126	hhq:HPSH169_05415
ko:K00845	hhq:HPSH169_05440
ko:K07126	hhq:HPSH169_05515
ko:K01156	hhq:HPSH169_07480
ko:K07316	hhq:HPSH169_07490
ko:K02342	hhq:HPSH169_07665
ko:K03279	hhq:HPSH169_00775
ko:K07126	hhq:HPSH169_00780
ko:K15898	hhq:HPSH169_00865
ko:K00245	hhq:HPSH169_00940
ko:K00244	hhq:HPSH169_00945
ko:K03593	hhq:HPSH169_01020
ko:K07098	hhq:HPSH169_02200
ko:K01262	hhq:HPSH169_02240
ko:K03711	hhq:HPSH169_02290
ko:K13640	hhq:HPSH169_02300
ko:K00076	hhq:HPSH169_02355
ko:K00769	hhq:HPSH169_03770
ko:K06603	hhq:HPSH169_03860
ko:K02004	hhq:HPSH169_04035
ko:K03784	hhq:HPSH169_05850
ko:K03317	hhq:HPSH169_05860
ko:K01674	hhq:HPSH169_05895
ko:K02843	hhq:HPSH169_05920
ko:K03386	hhq:HPSH169_07830
ko:K01409	hhq:HPSH169_07930
ko:K00652	hhq:HPSH169_03085
ko:K07457	hhq:HPSH169_03105
ko:K00939	hhq:HPSH169_03175
ko:K01507	hhq:HPSH169_03195
ko:K04652	hhq:HPSH169_04580
ko:K02014	hhq:HPSH169_04655
ko:K00949	hhq:HPSH169_06410
ko:K01679	hhq:HPSH169_06580
ko:K10009	hhq:HPSH169_04780
ko:K00970	hhq:HPSH169_03290
ko:K03321	hhq:HPSH169_01310
ko:K12369	hhq:HPSH169_01680
ko:K01426	hhq:HPSH169_01655
ko:K12371	hhq:HPSH169_01690
ko:K01155	hhq:HPSH169_00435
ko:K07316	hhq:HPSH169_00250
ko:K02424	hhq:HPSH169_04785
ko:K07318	hhq:HPSH169_06010
ko:K09477	hhq:HPSH169_00690
ko:K03559	hhq:HPSH169_05580
ko:K03559	hhq:HPSH169_06650
ko:K03559	hhq:HPSH169_07100
ko:K12049	hhq:HPSH169_00190
ko:K13689	hhq:HPSH169_01255
ko:K12977	hhq:HPSH169_00100
ko:K12048	hhq:HPSH169_00195
ko:K12052	hhq:HPSH169_00175
ko:K12050	hhq:HPSH169_00185
ko:K03191	hhq:HPSH169_00330
ko:K13797	hhq:HPSH169_05950
ko:K15895	hhq:HPSH169_05370
ko:K15896	hhq:HPSH169_01820
ko:K02003	hhq:HPSH169_00870
ko:K11782	hhq:HPSH169_03990
ko:K01738	hhq:HPSH169_00515
ko:K01760	hhq:HPSH169_00510
ko:K01992	hhq:HPSH169_03145
ko:K07316	hhq:HPSH169_07485
ko:K01990	hhq:HPSH169_06060
ko:K17103	hhq:HPSH169_02065
ko:K02484	hhq:HPSH169_00800
ko:K02484	hhq:HPSH169_06785
ko:K02847	hhq:HPSH169_02230
ko:K01992	hhq:HPSH169_07325
ko:K12053	hhq:HPSH169_00080
ko:K17686	hhq:HPSH169_07405
ko:K17686	hhq:HPSH169_02060
ko:K01155	hhq:HPSH169_01495
ko:K05540	hhq:HPSH169_03725
ko:K11928	hhq:HPSH169_00270
ko:K01658	hhq:HPSH169_06370
ko:K12574	hhq:HPSH169_07005
ko:K00290	hhq:HPSH169_07425
ko:K01497	hhq:HPSH169_04115
ko:K00254	hhq:HPSH169_02370
ko:K06148	hhq:HPSH169_06000
ko:K05922	hhq:HPSH169_03250
ko:K05927	hhq:HPSH169_03245
ko:K07812	hhq:HPSH169_05160
ko:K12051	hhq:HPSH169_00180
ko:K03605	hhq:HPSH169_03260
ko:K05366	hhq:HPSH169_03080
ko:K11784	hhq:HPSH169_03365
ko:K16091	hhq:HPSH169_03515
ko:K07501	hhq:HPSH169_03545
ko:K01153	hhq:HPSH169_07585
ko:K12048	hhq:HPSH169_01090
ko:K03601	hhq:HPSH169_05020
ko:K11785	hhq:HPSH169_00740
ko:K18284	hhq:HPSH169_00425
ko:K18285	hhq:HPSH169_03355
ko:K08068	hhq:HPSH169_04330
ko:K16235	hhq:HPSH169_02340
ko:K18480	hhq:HPSH169_07200
ko:K00681	hhq:HPSH169_05525
ko:K07316	hhq:HPSH169_06880
ko:K18930	hhq:HPSH169_06070
ko:K03497	hhq:HPSH169_05625
ko:K03496	hhq:HPSH169_05630
ko:K03203	hhq:HPSH169_01080
ko:K03204	hhq:HPSH169_01085
ko:K03205	hhq:HPSH169_01135
ko:K03196	hhq:HPSH169_02685
ko:K03111	hhq:HPSH169_06190
ko:K03761	hhq:HPSH169_01965
ko:K00335	hhq:HPSH169_06295
ko:K02483	hhq:HPSH169_00805
ko:K03526	hhq:HPSH169_03220
ko:K00571	hhq:HPSH169_00440
ko:K02483	hhq:HPSH169_06790
ko:K03296	hhq:HPSH169_03130
ko:K00336	hhq:HPSH169_06300
ko:K07448	hhq:HPSH169_02025
ko:K19157	hhq:HPSH169_01140
ko:K19157	hhq:HPSH169_04550
ko:K00571	hhq:HPSH169_00230
ko:K00571	hhq:HPSH169_01500
ko:K00525	hhq:HPSH169_03470
ko:K04771	hhq:HPSH169_02335
ko:K01992	hhq:HPSH169_07320
ko:K07496	hhq:HPSH169_03505
ko:K07496	hhq:HPSH169_07575
ko:K07496	hhq:HPSH169_07645
ko:K07496	hhq:HPSH169_05770
ko:K07496	hhq:HPSH169_04085
ko:K07496	hhq:HPSH169_01485
ko:K07496	hhq:HPSH169_05000
ko:K07496	hhq:HPSH169_05005
ko:K19416	hhq:HPSH169_04670
ko:K12053	hhq:HPSH169_01065
ko:K20151	hhq:HPSH169_03340
ko:K20810	hhq:HPSH169_01520
ko:K20151	hhq:HPSH169_05305
ko:K07100	hhq:HPSH169_06040
ko:K00558	hhq:HPSH169_01950
ko:K00558	hhq:HPSH169_05540
ko:K03465	hhq:HPSH169_07545
ko:K03553	hhq:HPSH169_00745
ko:K06223	hhq:HPSH169_02485
ko:K00558	hhq:HPSH169_02495
ko:K00558	hhq:HPSH169_04355
ko:K01520	hhq:HPSH169_04425
ko:K02314	hhq:HPSH169_06775
ko:K06223	hhq:HPSH169_06805
ko:K02335	hhq:HPSH169_07235
ko:K02335	hhq:HPSH169_02315
ko:K02316	hhq:HPSH169_00050
ko:K00558	hhq:HPSH169_00235
ko:K00526	hhq:HPSH169_05375
ko:K02481	hhq:HPSH169_03610
ko:K01139	hhq:HPSH169_03975
ko:K07097	hhq:HPSH169_02215
ko:K02483	hhq:HPSH169_02210
ko:K10026	hhq:HPSH169_04735
ko:K21929	hhq:HPSH169_03335
ko:K03595	hhq:HPSH169_02650
ko:K22278	hhq:HPSH169_01735
ko:K14441	hhq:HPSH169_03765
ko:K22391	hhq:HPSH169_04880
ko:K17758	hhq:HPSH169_06780
ko:K17759	hhq:HPSH169_06780
ko:K00590	hhq:HPSH169_03535
ko:K00571	hhq:HPSH169_06725
ko:K01007	hhq:HPSH169_00580
