ko:K08744	mtq:HKBS1_1915
ko:K01624	mtq:HKBS1_0379
ko:K03975	mtq:HKBS1_0380
ko:K07161	mtq:HKBS1_0384
ko:K07141	mtq:HKBS1_0387
ko:K07402	mtq:HKBS1_0388
ko:K03520	mtq:HKBS1_0389
ko:K03518	mtq:HKBS1_0390
ko:K00371	mtq:HKBS1_1243
ko:K00373	mtq:HKBS1_1244
ko:K00374	mtq:HKBS1_1245
ko:K06207	mtq:HKBS1_1246
ko:K15525	mtq:HKBS1_1251
ko:K11779	mtq:HKBS1_1254
ko:K00219	mtq:HKBS1_1256
ko:K12432	mtq:HKBS1_1261
ko:K06994	mtq:HKBS1_1263
ko:K12423	mtq:HKBS1_1265
ko:K00294	mtq:HKBS1_1267
ko:K00318	mtq:HKBS1_1268
ko:K03088	mtq:HKBS1_1269
ko:K00674	mtq:HKBS1_1281
ko:K01439	mtq:HKBS1_1282
ko:K06966	mtq:HKBS1_1285
ko:K00666	mtq:HKBS1_1286
ko:K00796	mtq:HKBS1_1288
ko:K13693	mtq:HKBS1_1289
ko:K01246	mtq:HKBS1_1291
ko:K16148	mtq:HKBS1_1293
ko:K00975	mtq:HKBS1_1294
ko:K06978	mtq:HKBS1_1296
ko:K01992	mtq:HKBS1_1298
ko:K16370	mtq:HKBS1_2148
ko:K07001	mtq:HKBS1_2157
ko:K10112	mtq:HKBS1_2158
ko:K02026	mtq:HKBS1_2159
ko:K02025	mtq:HKBS1_2160
ko:K02027	mtq:HKBS1_2161
ko:K08281	mtq:HKBS1_2163
ko:K03929	mtq:HKBS1_2165
ko:K03820	mtq:HKBS1_2171
ko:K07113	mtq:HKBS1_2173
ko:K01061	mtq:HKBS1_2174
ko:K02963	mtq:HKBS1_2175
ko:K02954	mtq:HKBS1_2176
ko:K02913	mtq:HKBS1_2177
ko:K02902	mtq:HKBS1_2178
ko:K02077	mtq:HKBS1_2179
ko:K07006	mtq:HKBS1_2180
ko:K02230	mtq:HKBS1_2181
ko:K02229	mtq:HKBS1_2184
ko:K06042	mtq:HKBS1_2185
ko:K13540	mtq:HKBS1_2186
ko:K17836	mtq:HKBS1_2188
ko:K03088	mtq:HKBS1_2189
ko:K05895	mtq:HKBS1_2190
ko:K05936	mtq:HKBS1_2191
ko:K00595	mtq:HKBS1_2192
ko:K06941	mtq:HKBS1_3032
ko:K00981	mtq:HKBS1_3033
ko:K02838	mtq:HKBS1_3034
ko:K09903	mtq:HKBS1_3035
ko:K01426	mtq:HKBS1_3040
ko:K02357	mtq:HKBS1_3041
ko:K02967	mtq:HKBS1_3042
ko:K03733	mtq:HKBS1_3046
ko:K04096	mtq:HKBS1_3048
ko:K07391	mtq:HKBS1_3049
ko:K07460	mtq:HKBS1_3050
ko:K02379	mtq:HKBS1_3051
ko:K03470	mtq:HKBS1_3054
ko:K03100	mtq:HKBS1_3055
ko:K02884	mtq:HKBS1_3056
ko:K00554	mtq:HKBS1_3058
ko:K02860	mtq:HKBS1_3059
ko:K06960	mtq:HKBS1_3060
ko:K02959	mtq:HKBS1_3061
ko:K07258	mtq:HKBS1_3063
ko:K03106	mtq:HKBS1_3068
ko:K00990	mtq:HKBS1_3070
ko:K04751	mtq:HKBS1_3071
ko:K03320	mtq:HKBS1_3072
ko:K03110	mtq:HKBS1_3073
ko:K03529	mtq:HKBS1_3074
ko:K01512	mtq:HKBS1_3075
ko:K10563	mtq:HKBS1_3077
ko:K09117	mtq:HKBS1_3906
ko:K03924	mtq:HKBS1_3910
ko:K00864	mtq:HKBS1_3914
ko:K07008	mtq:HKBS1_3920
ko:K01919	mtq:HKBS1_3922
ko:K00133	mtq:HKBS1_3927
ko:K00928	mtq:HKBS1_3928
ko:K01649	mtq:HKBS1_3929
ko:K02342	mtq:HKBS1_3930
ko:K07009	mtq:HKBS1_3932
ko:K06187	mtq:HKBS1_3934
ko:K09747	mtq:HKBS1_3935
ko:K01448	mtq:HKBS1_3936
ko:K00574	mtq:HKBS1_3939
ko:K02343	mtq:HKBS1_3940
ko:K07001	mtq:HKBS1_3949
ko:K06937	mtq:HKBS1_3950
ko:K09129	mtq:HKBS1_3956
ko:K06980	mtq:HKBS1_0852
ko:K02619	mtq:HKBS1_0853
ko:K01011	mtq:HKBS1_0856
ko:K15520	mtq:HKBS1_0860
ko:K02036	mtq:HKBS1_0861
ko:K02039	mtq:HKBS1_0862
ko:K03921	mtq:HKBS1_0865
ko:K08641	mtq:HKBS1_0880
ko:K01259	mtq:HKBS1_0882
ko:K00161	mtq:HKBS1_0885
ko:K07684	mtq:HKBS1_0886
ko:K02480	mtq:HKBS1_0887
ko:K01738	mtq:HKBS1_0891
ko:K01796	mtq:HKBS1_0898
ko:K14267	mtq:HKBS1_0901
ko:K00626	mtq:HKBS1_0902
ko:K01782	mtq:HKBS1_0903
ko:K10843	mtq:HKBS1_0904
ko:K01890	mtq:HKBS1_1744
ko:K00145	mtq:HKBS1_1746
ko:K00620	mtq:HKBS1_1747
ko:K00930	mtq:HKBS1_1748
ko:K00611	mtq:HKBS1_1750
ko:K03402	mtq:HKBS1_1751
ko:K01940	mtq:HKBS1_1752
ko:K01755	mtq:HKBS1_1753
ko:K16167	mtq:HKBS1_1754
ko:K12434	mtq:HKBS1_1755
ko:K16167	mtq:HKBS1_1759
ko:K01990	mtq:HKBS1_1781
ko:K03652	mtq:HKBS1_1782
ko:K01866	mtq:HKBS1_1783
ko:K06442	mtq:HKBS1_1788
ko:K00858	mtq:HKBS1_1789
ko:K03631	mtq:HKBS1_1790
ko:K01937	mtq:HKBS1_1793
ko:K01515	mtq:HKBS1_1794
ko:K04763	mtq:HKBS1_1795
ko:K00545	mtq:HKBS1_1798
ko:K11737	mtq:HKBS1_1799
ko:K00162	mtq:HKBS1_2642
ko:K00161	mtq:HKBS1_2643
ko:K01644	mtq:HKBS1_2645
ko:K11263	mtq:HKBS1_2648
ko:K01969	mtq:HKBS1_2649
ko:K01029	mtq:HKBS1_2650
ko:K01028	mtq:HKBS1_2651
ko:K00666	mtq:HKBS1_2652
ko:K06902	mtq:HKBS1_2655
ko:K07124	mtq:HKBS1_2656
ko:K06915	mtq:HKBS1_2657
ko:K13288	mtq:HKBS1_2658
ko:K03564	mtq:HKBS1_2669
ko:K00997	mtq:HKBS1_2671
ko:K11533	mtq:HKBS1_2672
ko:K01584	mtq:HKBS1_2680
ko:K03625	mtq:HKBS1_2682
ko:K02356	mtq:HKBS1_2683
ko:K03786	mtq:HKBS1_2686
ko:K01735	mtq:HKBS1_2687
ko:K00891	mtq:HKBS1_2688
ko:K01736	mtq:HKBS1_2689
ko:K03639	mtq:HKBS1_3516
ko:K03088	mtq:HKBS1_3524
ko:K07258	mtq:HKBS1_3526
ko:K01443	mtq:HKBS1_3528
ko:K07058	mtq:HKBS1_3531
ko:K01867	mtq:HKBS1_3532
ko:K00031	mtq:HKBS1_3534
ko:K01740	mtq:HKBS1_3536
ko:K00641	mtq:HKBS1_3537
ko:K01491	mtq:HKBS1_3554
ko:K06945	mtq:HKBS1_3560
ko:K06860	mtq:HKBS1_0223
ko:K03439	mtq:HKBS1_0224
ko:K01596	mtq:HKBS1_0227
ko:K01692	mtq:HKBS1_0238
ko:K00128	mtq:HKBS1_0239
ko:K07048	mtq:HKBS1_0246
ko:K00135	mtq:HKBS1_0250
ko:K16648	mtq:HKBS1_0252
ko:K01207	mtq:HKBS1_0254
ko:K00059	mtq:HKBS1_0259
ko:K00626	mtq:HKBS1_0260
ko:K00240	mtq:HKBS1_0264
ko:K00239	mtq:HKBS1_0265
ko:K00362	mtq:HKBS1_0269
ko:K00363	mtq:HKBS1_0270
ko:K02231	mtq:HKBS1_0271
ko:K02232	mtq:HKBS1_0272
ko:K01692	mtq:HKBS1_1133
ko:K01692	mtq:HKBS1_1134
ko:K00626	mtq:HKBS1_1137
ko:K01697	mtq:HKBS1_1140
ko:K01739	mtq:HKBS1_1142
ko:K03624	mtq:HKBS1_1143
ko:K18455	mtq:HKBS1_1145
ko:K06888	mtq:HKBS1_1147
ko:K11068	mtq:HKBS1_1149
ko:K12503	mtq:HKBS1_1150
ko:K00867	mtq:HKBS1_1159
ko:K00600	mtq:HKBS1_1160
ko:K03922	mtq:HKBS1_1161
ko:K07175	mtq:HKBS1_1162
ko:K01679	mtq:HKBS1_1165
ko:K02446	mtq:HKBS1_1167
ko:K16045	mtq:HKBS1_1174
ko:K03602	mtq:HKBS1_1175
ko:K03601	mtq:HKBS1_1176
ko:K03527	mtq:HKBS1_1178
ko:K06942	mtq:HKBS1_1180
ko:K11065	mtq:HKBS1_2030
ko:K01692	mtq:HKBS1_2033
ko:K14652	mtq:HKBS1_2038
ko:K02066	mtq:HKBS1_2063
ko:K02066	mtq:HKBS1_2064
ko:K02067	mtq:HKBS1_2065
ko:K02067	mtq:HKBS1_2066
ko:K02067	mtq:HKBS1_2067
ko:K02067	mtq:HKBS1_2068
ko:K02067	mtq:HKBS1_2069
ko:K02067	mtq:HKBS1_2070
ko:K18481	mtq:HKBS1_2071
ko:K18481	mtq:HKBS1_2072
ko:K02358	mtq:HKBS1_2081
ko:K09927	mtq:HKBS1_2913
ko:K01061	mtq:HKBS1_2917
ko:K00215	mtq:HKBS1_2925
ko:K07044	mtq:HKBS1_2929
ko:K00259	mtq:HKBS1_2932
ko:K00459	mtq:HKBS1_2933
ko:K00962	mtq:HKBS1_2935
ko:K02956	mtq:HKBS1_2937
ko:K11753	mtq:HKBS1_2938
ko:K03709	mtq:HKBS1_2940
ko:K03177	mtq:HKBS1_2945
ko:K06978	mtq:HKBS1_2952
ko:K00991	mtq:HKBS1_3796
ko:K07736	mtq:HKBS1_3797
ko:K04485	mtq:HKBS1_3799
ko:K07067	mtq:HKBS1_3800
ko:K01673	mtq:HKBS1_3803
ko:K03575	mtq:HKBS1_3802
ko:K03696	mtq:HKBS1_3810
ko:K04567	mtq:HKBS1_3812
ko:K03525	mtq:HKBS1_3813
ko:K01579	mtq:HKBS1_3814
ko:K01918	mtq:HKBS1_3815
ko:K00950	mtq:HKBS1_3819
ko:K01633	mtq:HKBS1_3820
ko:K00796	mtq:HKBS1_3821
ko:K01495	mtq:HKBS1_3822
ko:K03798	mtq:HKBS1_3823
ko:K14733	mtq:HKBS1_3831
ko:K09807	mtq:HKBS1_3836
ko:K00760	mtq:HKBS1_3837
ko:K04075	mtq:HKBS1_3838
ko:K07259	mtq:HKBS1_3840
ko:K01507	mtq:HKBS1_3841
ko:K09799	mtq:HKBS1_3842
ko:K09153	mtq:HKBS1_3845
ko:K01784	mtq:HKBS1_3847
ko:K07131	mtq:HKBS1_3562
ko:K03216	mtq:HKBS1_3564
ko:K14162	mtq:HKBS1_3568
ko:K01087	mtq:HKBS1_3570
ko:K01692	mtq:HKBS1_3572
ko:K02313	mtq:HKBS1_0001
ko:K02338	mtq:HKBS1_0004
ko:K03629	mtq:HKBS1_0005
ko:K02470	mtq:HKBS1_0007
ko:K02469	mtq:HKBS1_0008
ko:K03767	mtq:HKBS1_0013
ko:K01664	mtq:HKBS1_0018
ko:K15521	mtq:HKBS1_0506
ko:K06895	mtq:HKBS1_0508
ko:K01834	mtq:HKBS1_0509
ko:K07768	mtq:HKBS1_0510
ko:K07776	mtq:HKBS1_0511
ko:K01524	mtq:HKBS1_0517
ko:K00286	mtq:HKBS1_0521
ko:K01784	mtq:HKBS1_0523
ko:K00574	mtq:HKBS1_0525
ko:K06994	mtq:HKBS1_0529
ko:K02492	mtq:HKBS1_0531
ko:K01749	mtq:HKBS1_0532
ko:K13542	mtq:HKBS1_0533
ko:K01698	mtq:HKBS1_0534
ko:K11735	mtq:HKBS1_0544
ko:K01845	mtq:HKBS1_0546
ko:K00459	mtq:HKBS1_0026
ko:K00652	mtq:HKBS1_0037
ko:K03637	mtq:HKBS1_0907
ko:K03635	mtq:HKBS1_0909
ko:K03639	mtq:HKBS1_0912
ko:K03704	mtq:HKBS1_0914
ko:K00831	mtq:HKBS1_0927
ko:K00528	mtq:HKBS1_0929
ko:K04750	mtq:HKBS1_0930
ko:K01647	mtq:HKBS1_0935
ko:K01647	mtq:HKBS1_0942
ko:K07655	mtq:HKBS1_0948
ko:K07671	mtq:HKBS1_0949
ko:K01962	mtq:HKBS1_0950
ko:K01963	mtq:HKBS1_0950
ko:K01692	mtq:HKBS1_0951
ko:K06996	mtq:HKBS1_0958
ko:K11159	mtq:HKBS1_0961
ko:K00626	mtq:HKBS1_0962
ko:K03321	mtq:HKBS1_1803
ko:K05896	mtq:HKBS1_1805
ko:K06024	mtq:HKBS1_1806
ko:K06178	mtq:HKBS1_1807
ko:K00945	mtq:HKBS1_1808
ko:K03977	mtq:HKBS1_1809
ko:K00074	mtq:HKBS1_1811
ko:K02575	mtq:HKBS1_1836
ko:K01823	mtq:HKBS1_1844
ko:K00666	mtq:HKBS1_1849
ko:K02654	mtq:HKBS1_2701
ko:K00014	mtq:HKBS1_2702
ko:K07082	mtq:HKBS1_2703
ko:K07447	mtq:HKBS1_2704
ko:K01872	mtq:HKBS1_2705
ko:K07478	mtq:HKBS1_2709
ko:K02004	mtq:HKBS1_2712
ko:K02003	mtq:HKBS1_2713
ko:K07001	mtq:HKBS1_2714
ko:K01876	mtq:HKBS1_2721
ko:K00077	mtq:HKBS1_2722
ko:K07054	mtq:HKBS1_2724
ko:K01892	mtq:HKBS1_2729
ko:K03768	mtq:HKBS1_2731
ko:K00951	mtq:HKBS1_2732
ko:K00759	mtq:HKBS1_2733
ko:K02035	mtq:HKBS1_2734
ko:K03074	mtq:HKBS1_2735
ko:K03072	mtq:HKBS1_2736
ko:K03210	mtq:HKBS1_2737
ko:K07250	mtq:HKBS1_2738
ko:K12421	mtq:HKBS1_2739
ko:K03551	mtq:HKBS1_2741
ko:K03550	mtq:HKBS1_2742
ko:K01159	mtq:HKBS1_2743
ko:K00797	mtq:HKBS1_2750
ko:K01426	mtq:HKBS1_3574
ko:K07025	mtq:HKBS1_3575
ko:K17811	mtq:HKBS1_3576
ko:K15911	mtq:HKBS1_3577
ko:K01662	mtq:HKBS1_3578
ko:K03527	mtq:HKBS1_3579
ko:K13787	mtq:HKBS1_3580
ko:K13787	mtq:HKBS1_3583
ko:K00574	mtq:HKBS1_3592
ko:K14161	mtq:HKBS1_3594
ko:K01951	mtq:HKBS1_3597
ko:K02291	mtq:HKBS1_3598
ko:K13787	mtq:HKBS1_3599
ko:K03333	mtq:HKBS1_3610
ko:K00088	mtq:HKBS1_3611
ko:K00088	mtq:HKBS1_3612
ko:K03088	mtq:HKBS1_3615
ko:K04077	mtq:HKBS1_3618
ko:K04078	mtq:HKBS1_3619
ko:K01409	mtq:HKBS1_3620
ko:K03789	mtq:HKBS1_3621
ko:K06925	mtq:HKBS1_3623
ko:K01775	mtq:HKBS1_3624
ko:K06196	mtq:HKBS1_0549
ko:K07399	mtq:HKBS1_0550
ko:K11608	mtq:HKBS1_0557
ko:K02548	mtq:HKBS1_0558
ko:K00772	mtq:HKBS1_0559
ko:K17947	mtq:HKBS1_0560
ko:K07503	mtq:HKBS1_1408
ko:K00626	mtq:HKBS1_1411
ko:K05838	mtq:HKBS1_1412
ko:K00700	mtq:HKBS1_1414
ko:K16147	mtq:HKBS1_1415
ko:K00688	mtq:HKBS1_1416
ko:K00763	mtq:HKBS1_1418
ko:K06891	mtq:HKBS1_1419
ko:K01776	mtq:HKBS1_1426
ko:K00989	mtq:HKBS1_1428
ko:K02428	mtq:HKBS1_1429
ko:K02078	mtq:HKBS1_1432
ko:K01909	mtq:HKBS1_1433
ko:K14698	mtq:HKBS1_1436
ko:K14699	mtq:HKBS1_1437
ko:K00059	mtq:HKBS1_1438
ko:K18481	mtq:HKBS1_1452
ko:K18481	mtq:HKBS1_1453
ko:K01897	mtq:HKBS1_2312
ko:K13668	mtq:HKBS1_2313
ko:K02342	mtq:HKBS1_2317
ko:K00766	mtq:HKBS1_2318
ko:K02276	mtq:HKBS1_2319
ko:K03889	mtq:HKBS1_2320
ko:K03890	mtq:HKBS1_2321
ko:K03891	mtq:HKBS1_2322
ko:K02275	mtq:HKBS1_2326
ko:K01953	mtq:HKBS1_2327
ko:K00856	mtq:HKBS1_2328
ko:K00865	mtq:HKBS1_2331
ko:K00768	mtq:HKBS1_2333
ko:K02233	mtq:HKBS1_2334
ko:K00826	mtq:HKBS1_2336
ko:K00605	mtq:HKBS1_2337
ko:K01255	mtq:HKBS1_2339
ko:K00658	mtq:HKBS1_2341
ko:K07071	mtq:HKBS1_2342
ko:K03801	mtq:HKBS1_2343
ko:K03644	mtq:HKBS1_2344
ko:K01915	mtq:HKBS1_2347
ko:K00982	mtq:HKBS1_2348
ko:K01915	mtq:HKBS1_2349
ko:K00606	mtq:HKBS1_2353
ko:K09990	mtq:HKBS1_2355
ko:K07164	mtq:HKBS1_2357
ko:K00817	mtq:HKBS1_2359
ko:K01104	mtq:HKBS1_2363
ko:K02227	mtq:HKBS1_2365
ko:K00566	mtq:HKBS1_3189
ko:K04487	mtq:HKBS1_3190
ko:K03522	mtq:HKBS1_3193
ko:K03521	mtq:HKBS1_3194
ko:K16149	mtq:HKBS1_3196
ko:K16150	mtq:HKBS1_3197
ko:K01692	mtq:HKBS1_3205
ko:K02013	mtq:HKBS1_3207
ko:K01079	mtq:HKBS1_3208
ko:K02274	mtq:HKBS1_3209
ko:K02016	mtq:HKBS1_3210
ko:K13979	mtq:HKBS1_3211
ko:K03647	mtq:HKBS1_3218
ko:K02346	mtq:HKBS1_3222
ko:K06200	mtq:HKBS1_3229
ko:K15977	mtq:HKBS1_3230
ko:K01835	mtq:HKBS1_3234
ko:K06199	mtq:HKBS1_3235
ko:K06199	mtq:HKBS1_3236
ko:K04564	mtq:HKBS1_4074
ko:K02553	mtq:HKBS1_4081
ko:K10215	mtq:HKBS1_4082
ko:K04477	mtq:HKBS1_4084
ko:K00266	mtq:HKBS1_4086
ko:K00265	mtq:HKBS1_4087
ko:K14743	mtq:HKBS1_4110
ko:K14743	mtq:HKBS1_4113
ko:K12422	mtq:HKBS1_0105
ko:K02351	mtq:HKBS1_0108
ko:K07245	mtq:HKBS1_0108
ko:K12949	mtq:HKBS1_0109
ko:K02902	mtq:HKBS1_0113
ko:K12955	mtq:HKBS1_0115
ko:K03271	mtq:HKBS1_0122
ko:K03273	mtq:HKBS1_0123
ko:K07031	mtq:HKBS1_0124
ko:K01577	mtq:HKBS1_0128
ko:K02355	mtq:HKBS1_0130
ko:K05343	mtq:HKBS1_0136
ko:K16146	mtq:HKBS1_0137
ko:K07304	mtq:HKBS1_0148
ko:K03281	mtq:HKBS1_0154
ko:K00128	mtq:HKBS1_0158
ko:K12956	mtq:HKBS1_1021
ko:K01692	mtq:HKBS1_1023
ko:K01965	mtq:HKBS1_1025
ko:K02911	mtq:HKBS1_1031
ko:K07669	mtq:HKBS1_1033
ko:K07653	mtq:HKBS1_1034
ko:K08372	mtq:HKBS1_1035
ko:K03282	mtq:HKBS1_1037
ko:K02003	mtq:HKBS1_1038
ko:K02004	mtq:HKBS1_1039
ko:K00805	mtq:HKBS1_1041
ko:K00963	mtq:HKBS1_1045
ko:K03750	mtq:HKBS1_1046
ko:K03790	mtq:HKBS1_1047
ko:K01478	mtq:HKBS1_1055
ko:K07056	mtq:HKBS1_1057
ko:K01665	mtq:HKBS1_1059
ko:K01874	mtq:HKBS1_1061
ko:K03424	mtq:HKBS1_1062
ko:K02528	mtq:HKBS1_1064
ko:K00919	mtq:HKBS1_1065
ko:K00666	mtq:HKBS1_1067
ko:K01056	mtq:HKBS1_1068
ko:K02897	mtq:HKBS1_1069
ko:K00948	mtq:HKBS1_1071
ko:K04042	mtq:HKBS1_1072
ko:K02437	mtq:HKBS1_1919
ko:K08999	mtq:HKBS1_1922
ko:K00281	mtq:HKBS1_1925
ko:K06978	mtq:HKBS1_1928
ko:K01638	mtq:HKBS1_1930
ko:K00088	mtq:HKBS1_1936
ko:K00033	mtq:HKBS1_1937
ko:K01430	mtq:HKBS1_1941
ko:K01429	mtq:HKBS1_1942
ko:K01428	mtq:HKBS1_1943
ko:K03188	mtq:HKBS1_1944
ko:K03189	mtq:HKBS1_1945
ko:K03190	mtq:HKBS1_1946
ko:K03885	mtq:HKBS1_1947
ko:K02020	mtq:HKBS1_1950
ko:K02018	mtq:HKBS1_1951
ko:K02017	mtq:HKBS1_1952
ko:K13953	mtq:HKBS1_1955
ko:K07052	mtq:HKBS1_1956
ko:K00626	mtq:HKBS1_1960
ko:K00101	mtq:HKBS1_1965
ko:K03594	mtq:HKBS1_1969
ko:K01915	mtq:HKBS1_1971
ko:K07045	mtq:HKBS1_1972
ko:K06916	mtq:HKBS1_2821
ko:K16647	mtq:HKBS1_2823
ko:K07305	mtq:HKBS1_2824
ko:K00231	mtq:HKBS1_2827
ko:K01599	mtq:HKBS1_2828
ko:K01692	mtq:HKBS1_2829
ko:K03684	mtq:HKBS1_2831
ko:K01662	mtq:HKBS1_2832
ko:K16905	mtq:HKBS1_2836
ko:K16906	mtq:HKBS1_2837
ko:K16907	mtq:HKBS1_2838
ko:K03499	mtq:HKBS1_2841
ko:K03499	mtq:HKBS1_2842
ko:K01092	mtq:HKBS1_2851
ko:K00886	mtq:HKBS1_2852
ko:K03086	mtq:HKBS1_2853
ko:K07058	mtq:HKBS1_2857
ko:K00697	mtq:HKBS1_3703
ko:K18481	mtq:HKBS1_3705
ko:K18481	mtq:HKBS1_3706
ko:K02067	mtq:HKBS1_3707
ko:K02067	mtq:HKBS1_3708
ko:K02067	mtq:HKBS1_3709
ko:K02067	mtq:HKBS1_3710
ko:K02067	mtq:HKBS1_3711
ko:K02067	mtq:HKBS1_3712
ko:K02066	mtq:HKBS1_3713
ko:K02066	mtq:HKBS1_3714
ko:K00059	mtq:HKBS1_3715
ko:K05337	mtq:HKBS1_3716
ko:K00666	mtq:HKBS1_3719
ko:K01652	mtq:HKBS1_3722
ko:K07045	mtq:HKBS1_3723
ko:K01692	mtq:HKBS1_3729
ko:K16046	mtq:HKBS1_3731
ko:K07068	mtq:HKBS1_3734
ko:K00626	mtq:HKBS1_3736
ko:K15982	mtq:HKBS1_3739
ko:K07133	mtq:HKBS1_0623
ko:K02484	mtq:HKBS1_0627
ko:K02484	mtq:HKBS1_0628
ko:K00965	mtq:HKBS1_0647
ko:K00965	mtq:HKBS1_0648
ko:K00849	mtq:HKBS1_0649
ko:K03581	mtq:HKBS1_0659
ko:K03582	mtq:HKBS1_0660
ko:K03583	mtq:HKBS1_0661
ko:K01692	mtq:HKBS1_0662
ko:K02913	mtq:HKBS1_0666
ko:K03073	mtq:HKBS1_0670
ko:K02601	mtq:HKBS1_0671
ko:K02867	mtq:HKBS1_0672
ko:K02863	mtq:HKBS1_0673
ko:K00574	mtq:HKBS1_0674
ko:K00574	mtq:HKBS1_0675
ko:K00134	mtq:HKBS1_1529
ko:K00927	mtq:HKBS1_1530
ko:K01803	mtq:HKBS1_1531
ko:K03075	mtq:HKBS1_1534
ko:K08351	mtq:HKBS1_1537
ko:K01057	mtq:HKBS1_1542
ko:K00036	mtq:HKBS1_1544
ko:K00616	mtq:HKBS1_1545
ko:K00615	mtq:HKBS1_1546
ko:K02259	mtq:HKBS1_1554
ko:K01992	mtq:HKBS1_1555
ko:K01990	mtq:HKBS1_1556
ko:K14339	mtq:HKBS1_1558
ko:K09014	mtq:HKBS1_1559
ko:K09015	mtq:HKBS1_1560
ko:K09013	mtq:HKBS1_1561
ko:K11717	mtq:HKBS1_1562
ko:K04488	mtq:HKBS1_1563
ko:K12951	mtq:HKBS1_1569
ko:K00384	mtq:HKBS1_1571
ko:K01692	mtq:HKBS1_1572
ko:K04079	mtq:HKBS1_2425
ko:K07045	mtq:HKBS1_2429
ko:K06889	mtq:HKBS1_2433
ko:K03568	mtq:HKBS1_2447
ko:K02025	mtq:HKBS1_2448
ko:K02026	mtq:HKBS1_2449
ko:K02027	mtq:HKBS1_2450
ko:K00819	mtq:HKBS1_2453
ko:K00819	mtq:HKBS1_2454
ko:K16785	mtq:HKBS1_2457
ko:K16786	mtq:HKBS1_2458
ko:K16787	mtq:HKBS1_2458
ko:K02575	mtq:HKBS1_2461
ko:K00027	mtq:HKBS1_2465
ko:K01738	mtq:HKBS1_2468
ko:K00640	mtq:HKBS1_2469
ko:K06994	mtq:HKBS1_2474
ko:K05602	mtq:HKBS1_3312
ko:K04069	mtq:HKBS1_3313
ko:K00330	mtq:HKBS1_3320
ko:K00331	mtq:HKBS1_3321
ko:K00332	mtq:HKBS1_3322
ko:K00333	mtq:HKBS1_3323
ko:K00334	mtq:HKBS1_3324
ko:K00337	mtq:HKBS1_3327
ko:K00338	mtq:HKBS1_3328
ko:K00339	mtq:HKBS1_3329
ko:K00340	mtq:HKBS1_3330
ko:K00341	mtq:HKBS1_3331
ko:K00342	mtq:HKBS1_3332
ko:K00343	mtq:HKBS1_3333
ko:K03924	mtq:HKBS1_3339
ko:K00274	mtq:HKBS1_3345
ko:K01426	mtq:HKBS1_3350
ko:K00574	mtq:HKBS1_0676
ko:K00574	mtq:HKBS1_0677
ko:K00645	mtq:HKBS1_0681
ko:K00845	mtq:HKBS1_0682
ko:K02864	mtq:HKBS1_0683
ko:K02935	mtq:HKBS1_0684
ko:K11159	mtq:HKBS1_0686
ko:K02065	mtq:HKBS1_0687
ko:K07052	mtq:HKBS1_0690
ko:K01130	mtq:HKBS1_0695
ko:K03043	mtq:HKBS1_0700
ko:K03046	mtq:HKBS1_0701
ko:K01151	mtq:HKBS1_0705
ko:K03932	mtq:HKBS1_0706
ko:K09456	mtq:HKBS1_0707
ko:K01692	mtq:HKBS1_0708
ko:K02616	mtq:HKBS1_0709
ko:K01692	mtq:HKBS1_0710
ko:K06994	mtq:HKBS1_0711
ko:K02950	mtq:HKBS1_0717
ko:K02992	mtq:HKBS1_0718
ko:K02355	mtq:HKBS1_0719
ko:K02358	mtq:HKBS1_0720
ko:K00101	mtq:HKBS1_0730
ko:K01681	mtq:HKBS1_1576
ko:K03924	mtq:HKBS1_1580
ko:K07114	mtq:HKBS1_1582
ko:K11610	mtq:HKBS1_1584
ko:K11611	mtq:HKBS1_1585
ko:K01772	mtq:HKBS1_1586
ko:K01847	mtq:HKBS1_1594
ko:K01847	mtq:HKBS1_1595
ko:K07588	mtq:HKBS1_1598
ko:K09165	mtq:HKBS1_1601
ko:K02805	mtq:HKBS1_1606
ko:K02805	mtq:HKBS1_1607
ko:K01711	mtq:HKBS1_1612
ko:K01711	mtq:HKBS1_1615
ko:K02377	mtq:HKBS1_1616
ko:K06994	mtq:HKBS1_1627
ko:K12433	mtq:HKBS1_1632
ko:K01129	mtq:HKBS1_2479
ko:K01114	mtq:HKBS1_2484
ko:K01114	mtq:HKBS1_2485
ko:K01114	mtq:HKBS1_2486
ko:K01880	mtq:HKBS1_2494
ko:K03711	mtq:HKBS1_2496
ko:K03584	mtq:HKBS1_2499
ko:K01426	mtq:HKBS1_2500
ko:K07042	mtq:HKBS1_2504
ko:K09761	mtq:HKBS1_2509
ko:K03686	mtq:HKBS1_2510
ko:K03705	mtq:HKBS1_2511
ko:K04793	mtq:HKBS1_2515
ko:K04792	mtq:HKBS1_2516
ko:K04789	mtq:HKBS1_2517
ko:K04791	mtq:HKBS1_2518
ko:K04790	mtq:HKBS1_2519
ko:K04788	mtq:HKBS1_2520
ko:K04787	mtq:HKBS1_2521
ko:K04781	mtq:HKBS1_2523
ko:K07086	mtq:HKBS1_2525
ko:K18481	mtq:HKBS1_2528
ko:K00392	mtq:HKBS1_2529
ko:K00390	mtq:HKBS1_2530
ko:K07133	mtq:HKBS1_3355
ko:K09118	mtq:HKBS1_3372
ko:K07177	mtq:HKBS1_3373
ko:K03657	mtq:HKBS1_3379
ko:K03426	mtq:HKBS1_3381
ko:K10716	mtq:HKBS1_3382
