ko:K14227	sena:AU38_01275
ko:K01262	sena:AU38_14745
ko:K09895	sena:AU38_14750
ko:K09888	sena:AU38_14755
ko:K01934	sena:AU38_14760
ko:K00058	sena:AU38_14765
ko:K01807	sena:AU38_14770
ko:K05596	sena:AU38_14775
ko:K09807	sena:AU38_14780
ko:K06895	sena:AU38_14785
ko:K03442	sena:AU38_14790
ko:K01624	sena:AU38_14795
ko:K00927	sena:AU38_14800
ko:K03472	sena:AU38_14805
ko:K06934	sena:AU38_14810
ko:K16923	sena:AU38_14815
ko:K16785	sena:AU38_14820
ko:K16786	sena:AU38_14825
ko:K16787	sena:AU38_14830
ko:K00615	sena:AU38_14835
ko:K07387	sena:AU38_14840
ko:K01480	sena:AU38_14845
ko:K01585	sena:AU38_14890
ko:K00789	sena:AU38_14905
ko:K08137	sena:AU38_14910
ko:K02742	sena:AU38_14915
ko:K01150	sena:AU38_14920
ko:K09761	sena:AU38_14925
ko:K01920	sena:AU38_14930
ko:K07735	sena:AU38_14935
ko:K07447	sena:AU38_14940
ko:K02669	sena:AU38_14950
ko:K06997	sena:AU38_14955
ko:K02221	sena:AU38_14960
ko:K09131	sena:AU38_14965
ko:K03671	sena:AU38_19205
ko:K03628	sena:AU38_19210
ko:K02851	sena:AU38_19215
ko:K05790	sena:AU38_19220
ko:K01791	sena:AU38_19225
ko:K02472	sena:AU38_19230
ko:K01710	sena:AU38_19235
ko:K16704	sena:AU38_19245
ko:K02805	sena:AU38_19250
ko:K16693	sena:AU38_19255
ko:K12582	sena:AU38_19260
ko:K02853	sena:AU38_19265
ko:K02852	sena:AU38_19270
ko:K02498	sena:AU38_19300
ko:K02496	sena:AU38_19305
ko:K01719	sena:AU38_19310
ko:K01749	sena:AU38_19315
ko:K05851	sena:AU38_19320
ko:K06202	sena:AU38_19325
ko:K01778	sena:AU38_19345
ko:K09921	sena:AU38_19350
ko:K03733	sena:AU38_19355
ko:K03657	sena:AU38_19365
ko:K03284	sena:AU38_19370
ko:K05786	sena:AU38_19385
ko:K01058	sena:AU38_19395
ko:K03654	sena:AU38_19400
ko:K05835	sena:AU38_19405
ko:K05834	sena:AU38_19410
ko:K01048	sena:AU38_19415
ko:K03576	sena:AU38_19430
ko:K00549	sena:AU38_19435
ko:K06871	sena:AU38_19445
ko:K01061	sena:AU38_19450
ko:K00757	sena:AU38_19455
ko:K09760	sena:AU38_19460
ko:K03183	sena:AU38_19465
ko:K03690	sena:AU38_19470
ko:K03688	sena:AU38_19475
ko:K03116	sena:AU38_19480
ko:K03117	sena:AU38_19485
ko:K05306	sena:AU38_02115
ko:K03152	sena:AU38_02120
ko:K00077	sena:AU38_02125
ko:K09767	sena:AU38_02130
ko:K02300	sena:AU38_02155
ko:K02299	sena:AU38_02160
ko:K02298	sena:AU38_02165
ko:K02297	sena:AU38_02170
ko:K08218	sena:AU38_02175
ko:K07286	sena:AU38_02180
ko:K05527	sena:AU38_02185
ko:K03545	sena:AU38_02190
ko:K01358	sena:AU38_02195
ko:K03544	sena:AU38_02200
ko:K01338	sena:AU38_02205
ko:K03530	sena:AU38_02210
ko:K03770	sena:AU38_02215
ko:K02237	sena:AU38_02220
ko:K12500	sena:AU38_02225
ko:K06920	sena:AU38_02230
ko:K11938	sena:AU38_02240
ko:K01738	sena:AU38_02245
ko:K05800	sena:AU38_02250
ko:K18889	sena:AU38_02255
ko:K18890	sena:AU38_02260
ko:K04752	sena:AU38_02265
ko:K03320	sena:AU38_02270
ko:K10805	sena:AU38_02275
ko:K09914	sena:AU38_02280
ko:K07443	sena:AU38_02285
ko:K02909	sena:AU38_02295
ko:K02919	sena:AU38_02300
ko:K00661	sena:AU38_02310
ko:K05839	sena:AU38_02315
ko:K19162	sena:AU38_02320
ko:K18138	sena:AU38_02325
ko:K03585	sena:AU38_02330
ko:K03577	sena:AU38_02335
ko:K05802	sena:AU38_02340
ko:K04067	sena:AU38_02355
ko:K09790	sena:AU38_02360
ko:K00759	sena:AU38_02365
ko:K02343	sena:AU38_02370
ko:K09747	sena:AU38_02375
ko:K06187	sena:AU38_02380
ko:K04079	sena:AU38_02385
ko:K00939	sena:AU38_02390
ko:K01772	sena:AU38_02395
ko:K19221	sena:AU38_06765
ko:K04774	sena:AU38_06775
ko:K03168	sena:AU38_06785
ko:K13634	sena:AU38_06790
ko:K01681	sena:AU38_06805
ko:K01497	sena:AU38_06810
ko:K08992	sena:AU38_06820
ko:K01591	sena:AU38_06830
ko:K03113	sena:AU38_06835
ko:K04062	sena:AU38_06840
ko:K14051	sena:AU38_06855
ko:K01147	sena:AU38_06860
ko:K00208	sena:AU38_06870
ko:K19230	sena:AU38_06885
ko:K19229	sena:AU38_06890
ko:K19228	sena:AU38_06895
ko:K19227	sena:AU38_06900
ko:K19226	sena:AU38_06905
ko:K03974	sena:AU38_06910
ko:K03969	sena:AU38_06915
ko:K03970	sena:AU38_06920
ko:K03971	sena:AU38_06930
ko:K03972	sena:AU38_06935
ko:K06918	sena:AU38_06940
ko:K08990	sena:AU38_06945
ko:K03721	sena:AU38_06950
ko:K11065	sena:AU38_06955
ko:K14054	sena:AU38_06965
ko:K15580	sena:AU38_06970
ko:K16052	sena:AU38_07055
ko:K09475	sena:AU38_11375
ko:K07676	sena:AU38_11380
ko:K07687	sena:AU38_11385
ko:K07677	sena:AU38_11390
ko:K02469	sena:AU38_11395
ko:K00568	sena:AU38_11415
ko:K11107	sena:AU38_11430
ko:K01126	sena:AU38_11445
ko:K02445	sena:AU38_11450
ko:K00111	sena:AU38_11455
ko:K00112	sena:AU38_11460
ko:K00113	sena:AU38_11465
ko:K18015	sena:AU38_11470
ko:K12660	sena:AU38_11480
ko:K12661	sena:AU38_11490
ko:K12944	sena:AU38_11510
ko:K07806	sena:AU38_11520
ko:K10012	sena:AU38_11525
ko:K10011	sena:AU38_11530
ko:K13014	sena:AU38_11535
ko:K07264	sena:AU38_11540
ko:K12962	sena:AU38_11545
ko:K12963	sena:AU38_11550
ko:K19238	sena:AU38_11555
ko:K01911	sena:AU38_11560
ko:K02549	sena:AU38_11565
ko:K01661	sena:AU38_11570
ko:K08680	sena:AU38_11575
ko:K02551	sena:AU38_11580
ko:K02552	sena:AU38_11585
ko:K05594	sena:AU38_11590
ko:K02348	sena:AU38_11595
ko:K00784	sena:AU38_11600
ko:K03415	sena:AU38_11605
ko:K07114	sena:AU38_11610
ko:K00343	sena:AU38_11620
ko:K00342	sena:AU38_11625
ko:K00341	sena:AU38_11630
ko:K00340	sena:AU38_11635
ko:K00339	sena:AU38_11640
ko:K08303	sena:AU38_15830
ko:K03835	sena:AU38_15855
ko:K05592	sena:AU38_15860
ko:K05803	sena:AU38_15865
ko:K00962	sena:AU38_15870
ko:K02956	sena:AU38_15875
ko:K03177	sena:AU38_15880
ko:K02834	sena:AU38_15885
ko:K02519	sena:AU38_15890
ko:K02600	sena:AU38_15895
ko:K09748	sena:AU38_15900
ko:K01940	sena:AU38_15910
ko:K03075	sena:AU38_15925
ko:K03431	sena:AU38_15930
ko:K00796	sena:AU38_15935
ko:K03798	sena:AU38_15940
ko:K02427	sena:AU38_15945
ko:K07574	sena:AU38_15950
ko:K03624	sena:AU38_15955
ko:K07259	sena:AU38_15965
ko:K03979	sena:AU38_15970
ko:K02899	sena:AU38_15980
ko:K02888	sena:AU38_15985
ko:K02523	sena:AU38_15990
ko:K07724	sena:AU38_15995
ko:K00790	sena:AU38_16000
ko:K07122	sena:AU38_16010
ko:K07323	sena:AU38_16015
ko:K02067	sena:AU38_16020
ko:K02066	sena:AU38_16025
ko:K02065	sena:AU38_16030
ko:K07301	sena:AU38_16035
ko:K06041	sena:AU38_16040
ko:K03270	sena:AU38_16045
ko:K11719	sena:AU38_16050
ko:K09774	sena:AU38_16055
ko:K06861	sena:AU38_16060
ko:K03092	sena:AU38_16065
ko:K05808	sena:AU38_16070
ko:K02806	sena:AU38_16075
ko:K06958	sena:AU38_16080
ko:K08485	sena:AU38_16085
ko:K03814	sena:AU38_16095
ko:K02358	sena:AU38_20350
ko:K03073	sena:AU38_20355
ko:K02601	sena:AU38_20360
ko:K02867	sena:AU38_20365
ko:K02863	sena:AU38_20370
ko:K02864	sena:AU38_20375
ko:K02935	sena:AU38_20380
ko:K03043	sena:AU38_20385
ko:K03046	sena:AU38_20390
ko:K03150	sena:AU38_20415
ko:K03149	sena:AU38_20420
ko:K03154	sena:AU38_20425
ko:K03148	sena:AU38_20430
ko:K00788	sena:AU38_20435
ko:K03147	sena:AU38_20440
ko:K07740	sena:AU38_20445
ko:K03426	sena:AU38_20450
ko:K01599	sena:AU38_20455
ko:K05982	sena:AU38_20460
ko:K09891	sena:AU38_20465
ko:K05787	sena:AU38_20470
ko:K07803	sena:AU38_20480
ko:K07709	sena:AU38_20485
ko:K01945	sena:AU38_20495
ko:K00602	sena:AU38_20500
ko:K03827	sena:AU38_20525
ko:K00651	sena:AU38_20530
ko:K01638	sena:AU38_20535
ko:K01637	sena:AU38_20540
ko:K00906	sena:AU38_20545
ko:K13641	sena:AU38_20555
ko:K00548	sena:AU38_20560
ko:K03324	sena:AU38_20565
ko:K05995	sena:AU38_20570
ko:K09912	sena:AU38_20575
ko:K06182	sena:AU38_20580
ko:K08088	sena:AU38_02705
ko:K08087	sena:AU38_02710
ko:K07644	sena:AU38_02750
ko:K11732	sena:AU38_02785
ko:K16053	sena:AU38_02790
ko:K12686	sena:AU38_02795
ko:K10679	sena:AU38_02800
ko:K18325	sena:AU38_02815
ko:K06048	sena:AU38_02825
ko:K02362	sena:AU38_02830
ko:K07214	sena:AU38_02840
ko:K02364	sena:AU38_02850
ko:K02013	sena:AU38_02860
ko:K02015	sena:AU38_02865
ko:K02015	sena:AU38_02870
ko:K08225	sena:AU38_02875
ko:K02016	sena:AU38_02880
ko:K02361	sena:AU38_02885
ko:K02363	sena:AU38_02890
ko:K01252	sena:AU38_02895
ko:K00216	sena:AU38_02900
ko:K06200	sena:AU38_02910
ko:K08317	sena:AU38_02920
ko:K14287	sena:AU38_02925
ko:K03805	sena:AU38_02945
ko:K03386	sena:AU38_02950
ko:K03387	sena:AU38_02955
ko:K11932	sena:AU38_02980
ko:K06140	sena:AU38_02990
ko:K03929	sena:AU38_07385
ko:K00098	sena:AU38_07405
ko:K00046	sena:AU38_07415
ko:K08323	sena:AU38_07420
ko:K14587	sena:AU38_07435
ko:K02773	sena:AU38_07440
ko:K06971	sena:AU38_07445
ko:K02775	sena:AU38_07450
ko:K02774	sena:AU38_07455
ko:K03817	sena:AU38_07465
ko:K03304	sena:AU38_07475
ko:K16868	sena:AU38_07480
ko:K05782	sena:AU38_07490
ko:K08303	sena:AU38_07500
ko:K08641	sena:AU38_07520
ko:K00137	sena:AU38_07530
ko:K09936	sena:AU38_07560
ko:K03823	sena:AU38_07565
ko:K13654	sena:AU38_07575
ko:K02014	sena:AU38_07580
ko:K11738	sena:AU38_07595
ko:K00675	sena:AU38_07605
ko:K00374	sena:AU38_07615
ko:K00373	sena:AU38_07620
ko:K00371	sena:AU38_07625
ko:K00370	sena:AU38_07630
ko:K02575	sena:AU38_07635
ko:K08167	sena:AU38_07645
ko:K16076	sena:AU38_07655
ko:K07052	sena:AU38_11935
ko:K00647	sena:AU38_11940
ko:K15461	sena:AU38_11945
ko:K09906	sena:AU38_11955
ko:K07090	sena:AU38_11960
ko:K07261	sena:AU38_11965
ko:K01736	sena:AU38_11970
ko:K07320	sena:AU38_11975
ko:K08296	sena:AU38_11985
ko:K01782	sena:AU38_11990
ko:K06076	sena:AU38_12005
ko:K04754	sena:AU38_12010
ko:K08477	sena:AU38_12045
ko:K08476	sena:AU38_12050
ko:K08475	sena:AU38_12055
ko:K08478	sena:AU38_12060
ko:K11382	sena:AU38_12065
ko:K12974	sena:AU38_12080
ko:K14261	sena:AU38_12085
ko:K00845	sena:AU38_12090
ko:K03322	sena:AU38_12115
ko:K11535	sena:AU38_12120
ko:K01885	sena:AU38_12150
ko:K11537	sena:AU38_12185
ko:K03815	sena:AU38_12190
ko:K14347	sena:AU38_12205
ko:K02687	sena:AU38_16390
ko:K05540	sena:AU38_16395
ko:K03557	sena:AU38_16400
ko:K07319	sena:AU38_16405
ko:K18140	sena:AU38_16420
ko:K18141	sena:AU38_16425
ko:K18142	sena:AU38_16430
ko:K00014	sena:AU38_16490
ko:K07566	sena:AU38_16495
ko:K07479	sena:AU38_16500
ko:K03747	sena:AU38_16505
ko:K04096	sena:AU38_16510
ko:K01462	sena:AU38_16515
ko:K00604	sena:AU38_16520
ko:K03500	sena:AU38_16525
ko:K03499	sena:AU38_16530
ko:K03282	sena:AU38_16535
ko:K02879	sena:AU38_16550
ko:K03040	sena:AU38_16555
ko:K02986	sena:AU38_16560
ko:K02948	sena:AU38_16565
ko:K02952	sena:AU38_16570
ko:K03076	sena:AU38_16575
ko:K02876	sena:AU38_16580
ko:K02907	sena:AU38_16585
ko:K02988	sena:AU38_16590
ko:K02881	sena:AU38_16595
ko:K02933	sena:AU38_16600
ko:K02994	sena:AU38_16605
ko:K02954	sena:AU38_16610
ko:K02931	sena:AU38_16615
ko:K02895	sena:AU38_16620
ko:K02874	sena:AU38_16625
ko:K02961	sena:AU38_16630
ko:K02904	sena:AU38_16635
ko:K02878	sena:AU38_16640
ko:K02982	sena:AU38_16645
ko:K02890	sena:AU38_16650
ko:K02965	sena:AU38_16655
ko:K02886	sena:AU38_16660
ko:K02892	sena:AU38_16665
ko:K04015	sena:AU38_20925
ko:K04016	sena:AU38_20930
ko:K04017	sena:AU38_20935
ko:K04018	sena:AU38_20940
ko:K11102	sena:AU38_20945
ko:K07126	sena:AU38_20950
ko:K09994	sena:AU38_20970
ko:K04750	sena:AU38_20975
ko:K06193	sena:AU38_20980
ko:K03762	sena:AU38_20985
ko:K07643	sena:AU38_20995
ko:K07771	sena:AU38_21000
ko:K02839	sena:AU38_01515
ko:K01270	sena:AU38_01520
ko:K00769	sena:AU38_01525
ko:K11750	sena:AU38_01530
ko:K11926	sena:AU38_01535
ko:K11929	sena:AU38_01540
ko:K00931	sena:AU38_01545
ko:K00147	sena:AU38_01550
ko:K07483	sena:AU38_01565
ko:K01703	sena:AU38_01590
ko:K01704	sena:AU38_01595
ko:K01561	sena:AU38_01605
ko:K07347	sena:AU38_01630
ko:K07345	sena:AU38_01640
ko:K18139	sena:AU38_01690
ko:K07213	sena:AU38_01715
ko:K08178	sena:AU38_01720
ko:K07316	sena:AU38_01725
ko:K01156	sena:AU38_01730
ko:K00425	sena:AU38_01735
ko:K00426	sena:AU38_01740
ko:K02014	sena:AU38_01755
ko:K03329	sena:AU38_01760
ko:K02688	sena:AU38_01770
ko:K03417	sena:AU38_01775
ko:K01659	sena:AU38_01780
ko:K01720	sena:AU38_01785
ko:K01908	sena:AU38_01790
ko:K01698	sena:AU38_01795
ko:K18988	sena:AU38_01815
ko:K17938	sena:AU38_01820
ko:K02795	sena:AU38_06205
ko:K02793	sena:AU38_06210
ko:K02794	sena:AU38_06210
ko:K01752	sena:AU38_06225
ko:K01665	sena:AU38_06235
ko:K09917	sena:AU38_06240
ko:K14742	sena:AU38_06255
ko:K07285	sena:AU38_06260
ko:K01897	sena:AU38_06265
ko:K03684	sena:AU38_06270
ko:K03608	sena:AU38_06275
ko:K03609	sena:AU38_06280
ko:K03610	sena:AU38_06285
ko:K09902	sena:AU38_06290
ko:K09160	sena:AU38_06300
ko:K03611	sena:AU38_06320
ko:K03314	sena:AU38_06325
ko:K03603	sena:AU38_06330
ko:K00285	sena:AU38_06340
ko:K01775	sena:AU38_06345
ko:K11105	sena:AU38_06350
ko:K01297	sena:AU38_06355
ko:K08308	sena:AU38_06360
ko:K01194	sena:AU38_06375
ko:K00261	sena:AU38_06380
ko:K00426	sena:AU38_06390
ko:K00425	sena:AU38_06395
ko:K03618	sena:AU38_06400
ko:K03619	sena:AU38_06405
ko:K03605	sena:AU38_06410
ko:K03620	sena:AU38_06415
ko:K06281	sena:AU38_06420
ko:K06282	sena:AU38_06425
ko:K06942	sena:AU38_06440
ko:K01056	sena:AU38_06445
ko:K03321	sena:AU38_06455
ko:K00948	sena:AU38_06460
ko:K00919	sena:AU38_06465
ko:K02494	sena:AU38_06470
ko:K02492	sena:AU38_06475
ko:K02835	sena:AU38_06480
ko:K00941	sena:AU38_10810
ko:K00878	sena:AU38_10815
ko:K07347	sena:AU38_10830
ko:K03593	sena:AU38_10850
ko:K01874	sena:AU38_10855
ko:K02477	sena:AU38_10875
ko:K02478	sena:AU38_10880
ko:K05846	sena:AU38_10895
ko:K05847	sena:AU38_10900
ko:K05846	sena:AU38_10905
ko:K05845	sena:AU38_10910
ko:K05349	sena:AU38_10915
ko:K03777	sena:AU38_10920
ko:K07262	sena:AU38_10925
ko:K05541	sena:AU38_10955
ko:K16165	sena:AU38_10970
ko:K00450	sena:AU38_10975
ko:K08195	sena:AU38_10980
ko:K06518	sena:AU38_10990
ko:K01489	sena:AU38_11000
ko:K03748	sena:AU38_11005
ko:K17722	sena:AU38_11015
ko:K17723	sena:AU38_11020
ko:K10541	sena:AU38_11025
ko:K10542	sena:AU38_11030
ko:K10540	sena:AU38_11035
ko:K02529	sena:AU38_11040
ko:K07148	sena:AU38_11045
ko:K01495	sena:AU38_11050
ko:K01070	sena:AU38_11055
ko:K01752	sena:AU38_11065
ko:K07783	sena:AU38_11075
ko:K16089	sena:AU38_11080
ko:K03559	sena:AU38_15260
ko:K03561	sena:AU38_15265
ko:K01760	sena:AU38_15275
ko:K08325	sena:AU38_15290
ko:K06221	sena:AU38_15295
ko:K03319	sena:AU38_15300
ko:K00655	sena:AU38_15340
ko:K02621	sena:AU38_15345
ko:K13652	sena:AU38_15350
ko:K07666	sena:AU38_15360
ko:K07645	sena:AU38_15365
ko:K03923	sena:AU38_15370
ko:K02622	sena:AU38_15380
ko:K07000	sena:AU38_15385
ko:K03651	sena:AU38_15390
ko:K09920	sena:AU38_15395
ko:K01515	sena:AU38_15400
ko:K12340	sena:AU38_15405
ko:K07238	sena:AU38_15425
ko:K03673	sena:AU38_15440
ko:K03611	sena:AU38_15445
ko:K02858	sena:AU38_15455
ko:K09806	sena:AU38_15460
ko:K03272	sena:AU38_15480
ko:K00982	sena:AU38_15485
ko:K18446	sena:AU38_15490
ko:K07184	sena:AU38_15495
ko:K00974	sena:AU38_15500
ko:K06153	sena:AU38_15505
ko:K01633	sena:AU38_15510
ko:K08591	sena:AU38_15515
ko:K01409	sena:AU38_15525
ko:K02970	sena:AU38_15530
ko:K03760	sena:AU38_21005
ko:K03759	sena:AU38_21010
ko:K03755	sena:AU38_21015
ko:K01584	sena:AU38_21020
ko:K07406	sena:AU38_21030
ko:K11104	sena:AU38_21035
ko:K01676	sena:AU38_21040
ko:K07792	sena:AU38_21045
ko:K07703	sena:AU38_21050
ko:K07701	sena:AU38_21055
ko:K07306	sena:AU38_21060
ko:K07307	sena:AU38_21065
ko:K07308	sena:AU38_21070
ko:K09474	sena:AU38_21120
ko:K04084	sena:AU38_21140
ko:K03926	sena:AU38_21145
ko:K07791	sena:AU38_21150
ko:K01744	sena:AU38_21155
ko:K07113	sena:AU38_21160
ko:K16263	sena:AU38_21165
ko:K04078	sena:AU38_21170
ko:K04077	sena:AU38_21175
ko:K02356	sena:AU38_21195
ko:K16347	sena:AU38_21200
ko:K16348	sena:AU38_21205
ko:K11741	sena:AU38_21215
ko:K19000	sena:AU38_01210
ko:K15034	sena:AU38_01225
ko:K06079	sena:AU38_01230
ko:K01881	sena:AU38_01235
ko:K06080	sena:AU38_01245
ko:K02073	sena:AU38_01250
ko:K02072	sena:AU38_01255
ko:K02071	sena:AU38_01260
ko:K03273	sena:AU38_01265
ko:K06222	sena:AU38_01300
ko:K08307	sena:AU38_01325
ko:K01069	sena:AU38_01330
ko:K03469	sena:AU38_01340
ko:K02342	sena:AU38_01345
ko:K11902	sena:AU38_01355
ko:K11895	sena:AU38_01360
ko:K11904	sena:AU38_01375
ko:K19048	sena:AU38_01390
ko:K19048	sena:AU38_01415
ko:K07347	sena:AU38_01440
ko:K06445	sena:AU38_01485
ko:K03271	sena:AU38_01490
ko:K02346	sena:AU38_01505
ko:K04565	sena:AU38_05930
ko:K13741	sena:AU38_05950
ko:K07790	sena:AU38_06040
ko:K13741	sena:AU38_06085
ko:K11392	sena:AU38_06110
ko:K03808	sena:AU38_06120
ko:K03607	sena:AU38_06130
ko:K03797	sena:AU38_06135
ko:K03799	sena:AU38_06140
ko:K08169	sena:AU38_06145
ko:K03704	sena:AU38_06175
ko:K03587	sena:AU38_06180
ko:K00563	sena:AU38_06185
ko:K12454	sena:AU38_10535
ko:K12452	sena:AU38_10545
ko:K01709	sena:AU38_10550
ko:K00978	sena:AU38_10555
ko:K00523	sena:AU38_10560
ko:K01790	sena:AU38_10565
ko:K00973	sena:AU38_10570
ko:K00067	sena:AU38_10575
ko:K01710	sena:AU38_10580
ko:K00963	sena:AU38_10585
ko:K16703	sena:AU38_10595
ko:K16710	sena:AU38_10600
ko:K16695	sena:AU38_10605
ko:K03606	sena:AU38_10610
ko:K01840	sena:AU38_10615
ko:K00971	sena:AU38_10620
ko:K03208	sena:AU38_10625
ko:K03207	sena:AU38_10630
ko:K02377	sena:AU38_10635
ko:K01711	sena:AU38_10640
ko:K03818	sena:AU38_10645
ko:K13683	sena:AU38_10650
ko:K13620	sena:AU38_10655
ko:K13684	sena:AU38_10660
ko:K03819	sena:AU38_10665
ko:K16692	sena:AU38_10675
ko:K01104	sena:AU38_10680
ko:K01991	sena:AU38_10685
ko:K07289	sena:AU38_10695
ko:K01494	sena:AU38_10700
ko:K00876	sena:AU38_10705
ko:K01247	sena:AU38_10715
ko:K04046	sena:AU38_10720
ko:K07799	sena:AU38_10725
ko:K07788	sena:AU38_10730
ko:K07789	sena:AU38_10735
ko:K18326	sena:AU38_10740
ko:K07642	sena:AU38_10745
ko:K07664	sena:AU38_10750
ko:K08303	sena:AU38_10770
ko:K02428	sena:AU38_14970
ko:K01424	sena:AU38_14985
ko:K09923	sena:AU38_14995
ko:K03439	sena:AU38_15000
ko:K03575	sena:AU38_15005
ko:K08306	sena:AU38_15015
ko:K01581	sena:AU38_15025
ko:K07150	sena:AU38_15035
ko:K18288	sena:AU38_15050
ko:K18290	sena:AU38_15055
ko:K18292	sena:AU38_15060
ko:K01130	sena:AU38_15070
ko:K06871	sena:AU38_15075
ko:K06995	sena:AU38_15095
ko:K09471	sena:AU38_15100
ko:K11903	sena:AU38_15120
ko:K08191	sena:AU38_15140
ko:K01686	sena:AU38_15145
ko:K00040	sena:AU38_15150
ko:K01812	sena:AU38_15155
ko:K01460	sena:AU38_15165
ko:K11209	sena:AU38_15170
ko:K02020	sena:AU38_15175
ko:K02016	sena:AU38_15180
ko:K04653	sena:AU38_15185
ko:K04651	sena:AU38_15190
ko:K03605	sena:AU38_15200
ko:K06281	sena:AU38_15205
ko:K06282	sena:AU38_15220
ko:K03406	sena:AU38_15230
ko:K03118	sena:AU38_19490
ko:K03424	sena:AU38_19495
ko:K05785	sena:AU38_19500
ko:K03182	sena:AU38_19505
ko:K05368	sena:AU38_19510
ko:K01825	sena:AU38_19525
ko:K03498	sena:AU38_19540
ko:K00230	sena:AU38_19545
ko:K03753	sena:AU38_19555
ko:K03752	sena:AU38_19560
ko:K09896	sena:AU38_19565
ko:K03673	sena:AU38_19575
ko:K03978	sena:AU38_19590
ko:K09894	sena:AU38_19600
ko:K07712	sena:AU38_19610
ko:K07708	sena:AU38_19615
ko:K01915	sena:AU38_19620
ko:K06207	sena:AU38_19625
ko:K03292	sena:AU38_19670
ko:K15922	sena:AU38_19675
ko:K18479	sena:AU38_19685
ko:K01671	sena:AU38_19690
ko:K08318	sena:AU38_19695
ko:K18478	sena:AU38_19700
ko:K07058	sena:AU38_19715
ko:K07560	sena:AU38_19720
ko:K18831	sena:AU38_19730
ko:K19166	sena:AU38_19735
ko:K02380	sena:AU38_19755
ko:K00127	sena:AU38_19760
ko:K00124	sena:AU38_19765
ko:K03184	sena:AU38_03275
ko:K01953	sena:AU38_03320
ko:K02566	sena:AU38_03325
ko:K02565	sena:AU38_03330
ko:K01443	sena:AU38_03335
ko:K02564	sena:AU38_03340
ko:K02802	sena:AU38_03345
ko:K02803	sena:AU38_03345
ko:K02804	sena:AU38_03345
ko:K01886	sena:AU38_03350
ko:K03288	sena:AU38_03365
ko:K13795	sena:AU38_03370
ko:K13796	sena:AU38_03375
ko:K13794	sena:AU38_03380
ko:K03711	sena:AU38_03385
ko:K03839	sena:AU38_03390
ko:K03645	sena:AU38_03405
ko:K01835	sena:AU38_03410
ko:K03756	sena:AU38_03420
ko:K01581	sena:AU38_03425
ko:K07667	sena:AU38_03435
ko:K07646	sena:AU38_03440
ko:K01548	sena:AU38_03445
ko:K01547	sena:AU38_03450
ko:K01546	sena:AU38_03455
ko:K01669	sena:AU38_03470
ko:K03305	sena:AU38_03475
ko:K07160	sena:AU38_03495
ko:K05522	sena:AU38_03500
ko:K07120	sena:AU38_03505
ko:K01647	sena:AU38_03510
ko:K00241	sena:AU38_03515
ko:K00242	sena:AU38_03520
ko:K00239	sena:AU38_03525
ko:K00240	sena:AU38_03530
ko:K00164	sena:AU38_03535
ko:K00658	sena:AU38_03540
ko:K01903	sena:AU38_03545
ko:K01902	sena:AU38_03550
ko:K00425	sena:AU38_03565
ko:K16066	sena:AU38_07955
ko:K00040	sena:AU38_07970
ko:K08173	sena:AU38_07975
ko:K08322	sena:AU38_07980
ko:K08323	sena:AU38_07985
ko:K09771	sena:AU38_07990
ko:K00657	sena:AU38_08000
ko:K07309	sena:AU38_08015
ko:K07310	sena:AU38_08020
ko:K07307	sena:AU38_08025
ko:K07312	sena:AU38_08030
ko:K05846	sena:AU38_08040
ko:K05845	sena:AU38_08045
ko:K05846	sena:AU38_08050
ko:K05847	sena:AU38_08055
ko:K03281	sena:AU38_08060
ko:K01935	sena:AU38_08065
ko:K15545	sena:AU38_08070
ko:K08224	sena:AU38_08080
ko:K04775	sena:AU38_08095
ko:K11742	sena:AU38_08100
ko:K11743	sena:AU38_08105
ko:K11744	sena:AU38_08115
ko:K00325	sena:AU38_08120
ko:K00324	sena:AU38_08125
ko:K03758	sena:AU38_08135
ko:K07661	sena:AU38_08145
ko:K14062	sena:AU38_08155
ko:K07639	sena:AU38_08165
ko:K10748	sena:AU38_08170
ko:K01679	sena:AU38_08175
ko:K01676	sena:AU38_08180
ko:K01809	sena:AU38_08185
ko:K01488	sena:AU38_08200
ko:K03617	sena:AU38_08225
ko:K03616	sena:AU38_08230
ko:K03615	sena:AU38_08235
ko:K03614	sena:AU38_08240
ko:K03612	sena:AU38_08245
ko:K03613	sena:AU38_08250
ko:K18324	sena:AU38_12480
ko:K01439	sena:AU38_12490
ko:K06957	sena:AU38_12500
ko:K07054	sena:AU38_12505
ko:K01923	sena:AU38_12510
ko:K07287	sena:AU38_12515
ko:K01714	sena:AU38_12520
ko:K03567	sena:AU38_12525
ko:K03564	sena:AU38_12530
ko:K00865	sena:AU38_12535
ko:K03299	sena:AU38_12540
ko:K02647	sena:AU38_12545
ko:K03548	sena:AU38_12550
ko:K00537	sena:AU38_12560
ko:K10763	sena:AU38_12565
ko:K02824	sena:AU38_12570
ko:K00761	sena:AU38_12575
ko:K01933	sena:AU38_12580
ko:K11175	sena:AU38_12585
ko:K00937	sena:AU38_12590
ko:K01524	sena:AU38_12595
ko:K01951	sena:AU38_12620
ko:K00088	sena:AU38_12625
ko:K03601	sena:AU38_12630
ko:K03977	sena:AU38_12665
ko:K17713	sena:AU38_12670
ko:K01892	sena:AU38_12680
ko:K03526	sena:AU38_12685
ko:K15539	sena:AU38_12690
ko:K06941	sena:AU38_12695
ko:K00940	sena:AU38_12700
ko:K07308	sena:AU38_12710
