ko:K08153	bthr:YBT1520_04795
ko:K02034	bthr:YBT1520_01070
ko:K00457	bthr:YBT1520_01125
ko:K00451	bthr:YBT1520_01135
ko:K03294	bthr:YBT1520_01140
ko:K01921	bthr:YBT1520_01150
ko:K01929	bthr:YBT1520_01155
ko:K05592	bthr:YBT1520_01160
ko:K00997	bthr:YBT1520_01175
ko:K01775	bthr:YBT1520_01185
ko:K07723	bthr:YBT1520_01190
ko:K06959	bthr:YBT1520_01200
ko:K03095	bthr:YBT1520_01210
ko:K11637	bthr:YBT1520_05220
ko:K03574	bthr:YBT1520_05235
ko:K07090	bthr:YBT1520_05275
ko:K07010	bthr:YBT1520_05290
ko:K03969	bthr:YBT1520_05305
ko:K03790	bthr:YBT1520_05335
ko:K06889	bthr:YBT1520_05435
ko:K01834	bthr:YBT1520_09615
ko:K01953	bthr:YBT1520_09650
ko:K03088	bthr:YBT1520_09655
ko:K16264	bthr:YBT1520_09670
ko:K03315	bthr:YBT1520_09720
ko:K01679	bthr:YBT1520_09735
ko:K05995	bthr:YBT1520_09760
ko:K01753	bthr:YBT1520_09795
ko:K01992	bthr:YBT1520_09840
ko:K06131	bthr:YBT1520_09855
ko:K09903	bthr:YBT1520_09860
ko:K11102	bthr:YBT1520_09870
ko:K01744	bthr:YBT1520_09875
ko:K00027	bthr:YBT1520_09880
ko:K07717	bthr:YBT1520_09885
ko:K07719	bthr:YBT1520_09890
ko:K03088	bthr:YBT1520_13085
ko:K02760	bthr:YBT1520_13115
ko:K02761	bthr:YBT1520_13120
ko:K09001	bthr:YBT1520_13130
ko:K01754	bthr:YBT1520_13155
ko:K05592	bthr:YBT1520_13190
ko:K01834	bthr:YBT1520_13240
ko:K00873	bthr:YBT1520_17650
ko:K00059	bthr:YBT1520_17670
ko:K01992	bthr:YBT1520_17675
ko:K01990	bthr:YBT1520_17680
ko:K01560	bthr:YBT1520_17705
ko:K01104	bthr:YBT1520_17715
ko:K01867	bthr:YBT1520_17740
ko:K00099	bthr:YBT1520_17745
ko:K02116	bthr:YBT1520_17810
ko:K00978	bthr:YBT1520_17830
ko:K01709	bthr:YBT1520_17835
ko:K09984	bthr:YBT1520_17875
ko:K07404	bthr:YBT1520_17880
ko:K00851	bthr:YBT1520_17885
ko:K00616	bthr:YBT1520_17895
ko:K00033	bthr:YBT1520_17900
ko:K00611	bthr:YBT1520_21960
ko:K00930	bthr:YBT1520_21970
ko:K00620	bthr:YBT1520_21975
ko:K00145	bthr:YBT1520_21980
ko:K07124	bthr:YBT1520_21990
ko:K00286	bthr:YBT1520_22000
ko:K01752	bthr:YBT1520_22005
ko:K01752	bthr:YBT1520_22010
ko:K00784	bthr:YBT1520_22020
ko:K01531	bthr:YBT1520_22035
ko:K07507	bthr:YBT1520_22040
ko:K02346	bthr:YBT1520_22045
ko:K03790	bthr:YBT1520_22055
ko:K02028	bthr:YBT1520_22080
ko:K02029	bthr:YBT1520_22085
ko:K02030	bthr:YBT1520_22090
ko:K09699	bthr:YBT1520_22120
ko:K00167	bthr:YBT1520_22125
ko:K00167	bthr:YBT1520_22130
ko:K00166	bthr:YBT1520_22135
ko:K00382	bthr:YBT1520_22140
ko:K00929	bthr:YBT1520_22145
ko:K00263	bthr:YBT1520_22150
ko:K01126	bthr:YBT1520_22175
ko:K09384	bthr:YBT1520_30494
ko:K03530	bthr:YBT1520_30534
ko:K07729	bthr:YBT1520_30609
ko:K01953	bthr:YBT1520_30629
ko:K02004	bthr:YBT1520_30644
ko:K02003	bthr:YBT1520_30649
ko:K06925	bthr:YBT1520_01215
ko:K03789	bthr:YBT1520_01225
ko:K01409	bthr:YBT1520_01230
ko:K06158	bthr:YBT1520_01235
ko:K01926	bthr:YBT1520_01240
ko:K07052	bthr:YBT1520_01250
ko:K04078	bthr:YBT1520_01255
ko:K04077	bthr:YBT1520_01260
ko:K01951	bthr:YBT1520_01340
ko:K03700	bthr:YBT1520_01445
ko:K03719	bthr:YBT1520_05480
ko:K09458	bthr:YBT1520_05495
ko:K17103	bthr:YBT1520_05550
ko:K01914	bthr:YBT1520_09915
ko:K00928	bthr:YBT1520_09940
ko:K03574	bthr:YBT1520_09960
ko:K00648	bthr:YBT1520_09995
ko:K03665	bthr:YBT1520_10000
ko:K03665	bthr:YBT1520_10005
ko:K08223	bthr:YBT1520_10010
ko:K01738	bthr:YBT1520_10015
ko:K03308	bthr:YBT1520_10035
ko:K07304	bthr:YBT1520_10070
ko:K00826	bthr:YBT1520_10080
ko:K01652	bthr:YBT1520_10085
ko:K01653	bthr:YBT1520_10090
ko:K00053	bthr:YBT1520_10095
ko:K01687	bthr:YBT1520_10100
ko:K01754	bthr:YBT1520_10105
ko:K07282	bthr:YBT1520_10115
ko:K07150	bthr:YBT1520_10120
ko:K18118	bthr:YBT1520_10150
ko:K01270	bthr:YBT1520_13265
ko:K06284	bthr:YBT1520_13290
ko:K07090	bthr:YBT1520_13310
ko:K07258	bthr:YBT1520_13320
ko:K06133	bthr:YBT1520_13355
ko:K17836	bthr:YBT1520_13390
ko:K06213	bthr:YBT1520_13425
ko:K01531	bthr:YBT1520_13430
ko:K11035	bthr:YBT1520_13465
ko:K00831	bthr:YBT1520_13540
ko:K00058	bthr:YBT1520_13545
ko:K00615	bthr:YBT1520_17905
ko:K00036	bthr:YBT1520_17910
ko:K00036	bthr:YBT1520_17915
ko:K03406	bthr:YBT1520_17935
ko:K05967	bthr:YBT1520_17945
ko:K11752	bthr:YBT1520_17950
ko:K01497	bthr:YBT1520_17955
ko:K07078	bthr:YBT1520_17965
ko:K03837	bthr:YBT1520_17975
ko:K16509	bthr:YBT1520_17995
ko:K03093	bthr:YBT1520_18100
ko:K01992	bthr:YBT1520_18125
ko:K01990	bthr:YBT1520_18130
ko:K05601	bthr:YBT1520_18155
ko:K07699	bthr:YBT1520_22190
ko:K06399	bthr:YBT1520_22195
ko:K03631	bthr:YBT1520_22200
ko:K03402	bthr:YBT1520_22205
ko:K06442	bthr:YBT1520_22210
ko:K01662	bthr:YBT1520_22215
ko:K13789	bthr:YBT1520_22220
ko:K03602	bthr:YBT1520_22225
ko:K03601	bthr:YBT1520_22230
ko:K01491	bthr:YBT1520_22235
ko:K03625	bthr:YBT1520_22240
ko:K01961	bthr:YBT1520_22250
ko:K02160	bthr:YBT1520_22255
ko:K06397	bthr:YBT1520_22260
ko:K06396	bthr:YBT1520_22265
ko:K06395	bthr:YBT1520_22270
ko:K06394	bthr:YBT1520_22275
ko:K06393	bthr:YBT1520_22280
ko:K06392	bthr:YBT1520_22285
ko:K06391	bthr:YBT1520_22290
ko:K06390	bthr:YBT1520_22295
ko:K02356	bthr:YBT1520_22315
ko:K03786	bthr:YBT1520_22325
ko:K07025	bthr:YBT1520_22345
ko:K10947	bthr:YBT1520_22365
ko:K03800	bthr:YBT1520_22385
ko:K01992	bthr:YBT1520_22430
ko:K01992	bthr:YBT1520_22435
ko:K01992	bthr:YBT1520_22440
ko:K01778	bthr:YBT1520_26265
ko:K03885	bthr:YBT1520_26275
ko:K02068	bthr:YBT1520_26285
ko:K02069	bthr:YBT1520_26290
ko:K06193	bthr:YBT1520_26295
ko:K00355	bthr:YBT1520_26390
ko:K02446	bthr:YBT1520_26410
ko:K01834	bthr:YBT1520_26450
ko:K03644	bthr:YBT1520_26460
ko:K09014	bthr:YBT1520_26485
ko:K04488	bthr:YBT1520_26490
ko:K11717	bthr:YBT1520_26495
ko:K09015	bthr:YBT1520_26500
ko:K09013	bthr:YBT1520_26505
ko:K02073	bthr:YBT1520_26510
ko:K02073	bthr:YBT1520_26515
ko:K07491	bthr:YBT1520_30859
ko:K01725	bthr:YBT1520_30909
ko:K01673	bthr:YBT1520_30914
ko:K03719	bthr:YBT1520_30919
ko:K03574	bthr:YBT1520_30939
ko:K03406	bthr:YBT1520_30974
ko:K04749	bthr:YBT1520_05735
ko:K04757	bthr:YBT1520_05740
ko:K03090	bthr:YBT1520_05745
ko:K03594	bthr:YBT1520_05750
ko:K00575	bthr:YBT1520_05760
ko:K03407	bthr:YBT1520_05765
ko:K01442	bthr:YBT1520_05825
ko:K03698	bthr:YBT1520_05850
ko:K15975	bthr:YBT1520_05875
ko:K15975	bthr:YBT1520_05880
ko:K01569	bthr:YBT1520_05915
ko:K02443	bthr:YBT1520_05925
ko:K02440	bthr:YBT1520_05930
ko:K00864	bthr:YBT1520_05935
ko:K00111	bthr:YBT1520_05940
ko:K03088	bthr:YBT1520_05955
ko:K03657	bthr:YBT1520_05970
ko:K07533	bthr:YBT1520_05975
ko:K09682	bthr:YBT1520_05990
ko:K02503	bthr:YBT1520_06000
ko:K01990	bthr:YBT1520_06005
ko:K01992	bthr:YBT1520_06010
ko:K12960	bthr:YBT1520_10165
ko:K15580	bthr:YBT1520_10170
ko:K03322	bthr:YBT1520_10180
ko:K07146	bthr:YBT1520_10185
ko:K00077	bthr:YBT1520_10195
ko:K11034	bthr:YBT1520_10220
ko:K11034	bthr:YBT1520_10225
ko:K07052	bthr:YBT1520_10240
ko:K01619	bthr:YBT1520_10260
ko:K11535	bthr:YBT1520_10265
ko:K00756	bthr:YBT1520_10270
ko:K00756	bthr:YBT1520_10275
ko:K01489	bthr:YBT1520_10280
ko:K01262	bthr:YBT1520_10300
ko:K01118	bthr:YBT1520_10335
ko:K03311	bthr:YBT1520_10340
ko:K05606	bthr:YBT1520_10345
ko:K14166	bthr:YBT1520_10350
ko:K00016	bthr:YBT1520_10405
ko:K00274	bthr:YBT1520_10410
ko:K01999	bthr:YBT1520_10420
ko:K01995	bthr:YBT1520_10425
ko:K01996	bthr:YBT1520_10430
ko:K01997	bthr:YBT1520_10435
ko:K01998	bthr:YBT1520_10440
ko:K02004	bthr:YBT1520_13600
ko:K02003	bthr:YBT1520_13605
ko:K14338	bthr:YBT1520_13665
ko:K17836	bthr:YBT1520_13680
ko:K02004	bthr:YBT1520_13685
ko:K06880	bthr:YBT1520_13700
ko:K01759	bthr:YBT1520_13735
ko:K03325	bthr:YBT1520_13785
ko:K02548	bthr:YBT1520_13805
ko:K05577	bthr:YBT1520_13825
ko:K09822	bthr:YBT1520_13830
ko:K17837	bthr:YBT1520_18165
ko:K07222	bthr:YBT1520_18185
ko:K09936	bthr:YBT1520_18200
ko:K02016	bthr:YBT1520_18285
ko:K02015	bthr:YBT1520_18290
ko:K02015	bthr:YBT1520_18295
ko:K02493	bthr:YBT1520_18355
ko:K01176	bthr:YBT1520_18375
ko:K00675	bthr:YBT1520_18380
ko:K08602	bthr:YBT1520_18385
ko:K10536	bthr:YBT1520_18390
ko:K13256	bthr:YBT1520_18405
ko:K10536	bthr:YBT1520_18410
ko:K01990	bthr:YBT1520_22445
ko:K07979	bthr:YBT1520_22450
ko:K00283	bthr:YBT1520_22465
ko:K00282	bthr:YBT1520_22470
ko:K00605	bthr:YBT1520_22475
ko:K00891	bthr:YBT1520_22510
ko:K00472	bthr:YBT1520_22515
ko:K02249	bthr:YBT1520_22520
ko:K02248	bthr:YBT1520_22525
ko:K02247	bthr:YBT1520_22530
ko:K02246	bthr:YBT1520_22535
ko:K02245	bthr:YBT1520_22540
ko:K02244	bthr:YBT1520_22545
ko:K02243	bthr:YBT1520_22550
ko:K06956	bthr:YBT1520_22565
ko:K02563	bthr:YBT1520_22600
ko:K00548	bthr:YBT1520_22605
ko:K01760	bthr:YBT1520_22625
ko:K00845	bthr:YBT1520_22660
ko:K01934	bthr:YBT1520_22670
ko:K02913	bthr:YBT1520_22675
ko:K16881	bthr:YBT1520_22680
ko:K02039	bthr:YBT1520_22685
ko:K02036	bthr:YBT1520_22690
ko:K02038	bthr:YBT1520_22695
ko:K02037	bthr:YBT1520_22700
ko:K02040	bthr:YBT1520_22705
ko:K02072	bthr:YBT1520_26520
ko:K02071	bthr:YBT1520_26525
ko:K07476	bthr:YBT1520_26540
ko:K02437	bthr:YBT1520_26550
ko:K00537	bthr:YBT1520_26555
ko:K07035	bthr:YBT1520_26570
ko:K00016	bthr:YBT1520_26575
ko:K07516	bthr:YBT1520_26615
ko:K00318	bthr:YBT1520_26630
ko:K03406	bthr:YBT1520_26645
ko:K03294	bthr:YBT1520_26665
ko:K03217	bthr:YBT1520_26675
ko:K07729	bthr:YBT1520_26715
ko:K01874	bthr:YBT1520_26755
ko:K03406	bthr:YBT1520_26765
ko:K03406	bthr:YBT1520_26770
ko:K08777	bthr:YBT1520_26780
ko:K02279	bthr:YBT1520_31184
ko:K02283	bthr:YBT1520_31194
ko:K03488	bthr:YBT1520_31239
ko:K02755	bthr:YBT1520_31244
ko:K02756	bthr:YBT1520_31244
ko:K02757	bthr:YBT1520_31244
ko:K01223	bthr:YBT1520_31249
ko:K06901	bthr:YBT1520_01865
ko:K06889	bthr:YBT1520_01880
ko:K06153	bthr:YBT1520_01895
ko:K01784	bthr:YBT1520_01950
ko:K01588	bthr:YBT1520_01980
ko:K01589	bthr:YBT1520_01985
ko:K09167	bthr:YBT1520_06035
ko:K08981	bthr:YBT1520_06040
ko:K09167	bthr:YBT1520_06085
ko:K08981	bthr:YBT1520_06090
ko:K12555	bthr:YBT1520_06100
ko:K01599	bthr:YBT1520_06105
ko:K01772	bthr:YBT1520_06110
ko:K00231	bthr:YBT1520_06115
ko:K07004	bthr:YBT1520_06130
ko:K07004	bthr:YBT1520_06135
ko:K01421	bthr:YBT1520_06165
ko:K03800	bthr:YBT1520_06215
ko:K01897	bthr:YBT1520_06225
ko:K02048	bthr:YBT1520_06235
ko:K02046	bthr:YBT1520_06240
ko:K02047	bthr:YBT1520_06245
ko:K02045	bthr:YBT1520_06250
ko:K00425	bthr:YBT1520_10470
ko:K00426	bthr:YBT1520_10475
ko:K16013	bthr:YBT1520_10480
ko:K16012	bthr:YBT1520_10485
ko:K07078	bthr:YBT1520_10545
ko:K18104	bthr:YBT1520_10565
ko:K00059	bthr:YBT1520_10580
ko:K07006	bthr:YBT1520_10610
ko:K00003	bthr:YBT1520_10615
ko:K01733	bthr:YBT1520_10620
ko:K00872	bthr:YBT1520_10625
ko:K00666	bthr:YBT1520_10720
ko:K15652	bthr:YBT1520_10735
ko:K01669	bthr:YBT1520_13865
ko:K06889	bthr:YBT1520_13895
ko:K01387	bthr:YBT1520_13940
ko:K15973	bthr:YBT1520_13955
ko:K09932	bthr:YBT1520_13970
ko:K11035	bthr:YBT1520_14020
ko:K11035	bthr:YBT1520_14025
ko:K02491	bthr:YBT1520_14030
ko:K00121	bthr:YBT1520_14035
ko:K03152	bthr:YBT1520_14075
ko:K01126	bthr:YBT1520_18440
ko:K03453	bthr:YBT1520_18485
ko:K17103	bthr:YBT1520_18515
ko:K01069	bthr:YBT1520_18530
ko:K17218	bthr:YBT1520_18535
ko:K01771	bthr:YBT1520_18545
ko:K00978	bthr:YBT1520_18620
ko:K01709	bthr:YBT1520_18635
ko:K03406	bthr:YBT1520_18650
ko:K08222	bthr:YBT1520_22715
ko:K04564	bthr:YBT1520_22720
ko:K02076	bthr:YBT1520_22740
ko:K09816	bthr:YBT1520_22745
ko:K09817	bthr:YBT1520_22750
ko:K01151	bthr:YBT1520_22765
ko:K18692	bthr:YBT1520_22770
ko:K03527	bthr:YBT1520_22785
ko:K06967	bthr:YBT1520_22795
ko:K13300	bthr:YBT1520_22800
ko:K03086	bthr:YBT1520_22805
ko:K09773	bthr:YBT1520_22825
ko:K03584	bthr:YBT1520_22835
ko:K01489	bthr:YBT1520_22850
ko:K07042	bthr:YBT1520_22860
ko:K07037	bthr:YBT1520_22865
ko:K06438	bthr:YBT1520_22875
ko:K09117	bthr:YBT1520_22885
ko:K02970	bthr:YBT1520_22890
ko:K18707	bthr:YBT1520_22895
ko:K09761	bthr:YBT1520_22900
ko:K02687	bthr:YBT1520_22905
ko:K03686	bthr:YBT1520_22910
ko:K04043	bthr:YBT1520_22915
ko:K03687	bthr:YBT1520_22920
ko:K03705	bthr:YBT1520_22925
ko:K03596	bthr:YBT1520_22940
ko:K06012	bthr:YBT1520_22950
ko:K02968	bthr:YBT1520_22955
ko:K06911	bthr:YBT1520_26785
ko:K03455	bthr:YBT1520_26805
ko:K07228	bthr:YBT1520_26810
ko:K03310	bthr:YBT1520_26815
ko:K04047	bthr:YBT1520_26820
ko:K06966	bthr:YBT1520_26835
ko:K02217	bthr:YBT1520_26845
ko:K07148	bthr:YBT1520_26850
ko:K11535	bthr:YBT1520_26855
ko:K03317	bthr:YBT1520_26880
ko:K03310	bthr:YBT1520_26885
ko:K03310	bthr:YBT1520_26890
ko:K07118	bthr:YBT1520_26895
ko:K03885	bthr:YBT1520_26935
ko:K01866	bthr:YBT1520_26940
ko:K00075	bthr:YBT1520_26945
ko:K07117	bthr:YBT1520_26950
ko:K03406	bthr:YBT1520_26955
ko:K06199	bthr:YBT1520_26965
ko:K06199	bthr:YBT1520_26970
ko:K00657	bthr:YBT1520_26995
ko:K13256	bthr:YBT1520_27000
ko:K11031	bthr:YBT1520_27015
ko:K02013	bthr:YBT1520_27025
ko:K02015	bthr:YBT1520_27030
ko:K02015	bthr:YBT1520_27035
ko:K02016	bthr:YBT1520_27040
ko:K15580	bthr:YBT1520_31376
ko:K06284	bthr:YBT1520_31381
ko:K03530	bthr:YBT1520_31396
ko:K07090	bthr:YBT1520_31436
ko:K01756	bthr:YBT1520_01990
ko:K01923	bthr:YBT1520_01995
ko:K01952	bthr:YBT1520_02000
ko:K01952	bthr:YBT1520_02005
ko:K01952	bthr:YBT1520_02010
ko:K00764	bthr:YBT1520_02015
ko:K01933	bthr:YBT1520_02020
ko:K11175	bthr:YBT1520_02025
ko:K00602	bthr:YBT1520_02030
ko:K01945	bthr:YBT1520_02035
ko:K07094	bthr:YBT1520_02055
ko:K03657	bthr:YBT1520_02060
ko:K01972	bthr:YBT1520_02065
ko:K07090	bthr:YBT1520_02075
ko:K00294	bthr:YBT1520_02080
ko:K02071	bthr:YBT1520_02095
ko:K02072	bthr:YBT1520_02100
ko:K02073	bthr:YBT1520_02105
ko:K02435	bthr:YBT1520_02135
ko:K02433	bthr:YBT1520_02140
ko:K02434	bthr:YBT1520_02145
ko:K01091	bthr:YBT1520_02155
ko:K07250	bthr:YBT1520_02160
ko:K00135	bthr:YBT1520_02170
ko:K03317	bthr:YBT1520_02200
ko:K03215	bthr:YBT1520_02205
ko:K07043	bthr:YBT1520_02220
ko:K14665	bthr:YBT1520_02250
ko:K11032	bthr:YBT1520_06330
ko:K06889	bthr:YBT1520_06340
ko:K07098	bthr:YBT1520_06345
ko:K06885	bthr:YBT1520_06350
ko:K03088	bthr:YBT1520_06360
ko:K13653	bthr:YBT1520_06365
ko:K07052	bthr:YBT1520_06390
ko:K03406	bthr:YBT1520_06410
ko:K01638	bthr:YBT1520_06425
ko:K03704	bthr:YBT1520_06450
ko:K02250	bthr:YBT1520_06465
ko:K03100	bthr:YBT1520_06475
ko:K16899	bthr:YBT1520_06480
ko:K16898	bthr:YBT1520_06485
ko:K06304	bthr:YBT1520_06495
ko:K06303	bthr:YBT1520_06500
ko:K06302	bthr:YBT1520_06505
ko:K06301	bthr:YBT1520_06510
ko:K06300	bthr:YBT1520_06515
ko:K06299	bthr:YBT1520_06520
ko:K00819	bthr:YBT1520_06535
ko:K01953	bthr:YBT1520_06550
ko:K01356	bthr:YBT1520_06565
ko:K08221	bthr:YBT1520_10745
ko:K06895	bthr:YBT1520_10750
ko:K07001	bthr:YBT1520_10765
ko:K01916	bthr:YBT1520_10790
ko:K11636	bthr:YBT1520_10795
ko:K13275	bthr:YBT1520_10805
ko:K06949	bthr:YBT1520_10850
ko:K03406	bthr:YBT1520_10855
ko:K04047	bthr:YBT1520_10875
ko:K00274	bthr:YBT1520_10910
ko:K00657	bthr:YBT1520_10935
ko:K09815	bthr:YBT1520_10940
ko:K00567	bthr:YBT1520_10970
ko:K15580	bthr:YBT1520_10980
ko:K11210	bthr:YBT1520_10985
ko:K06330	bthr:YBT1520_11010
ko:K06201	bthr:YBT1520_14185
ko:K03100	bthr:YBT1520_14190
ko:K06351	bthr:YBT1520_14200
ko:K06350	bthr:YBT1520_14205
ko:K07160	bthr:YBT1520_14210
ko:K01304	bthr:YBT1520_14225
ko:K03100	bthr:YBT1520_14245
ko:K03574	bthr:YBT1520_14250
ko:K07090	bthr:YBT1520_14305
ko:K00876	bthr:YBT1520_14330
ko:K09768	bthr:YBT1520_14345
ko:K03574	bthr:YBT1520_14360
ko:K13652	bthr:YBT1520_14380
ko:K05281	bthr:YBT1520_14390
ko:K07697	bthr:YBT1520_18745
ko:K01387	bthr:YBT1520_18750
ko:K07507	bthr:YBT1520_18755
ko:K07104	bthr:YBT1520_18765
ko:K03704	bthr:YBT1520_18800
ko:K03839	bthr:YBT1520_18810
ko:K07034	bthr:YBT1520_18820
ko:K16216	bthr:YBT1520_18845
ko:K06976	bthr:YBT1520_18850
ko:K01755	bthr:YBT1520_18855
ko:K14392	bthr:YBT1520_18870
ko:K00128	bthr:YBT1520_18880
ko:K00059	bthr:YBT1520_18885
ko:K09775	bthr:YBT1520_18905
ko:K05786	bthr:YBT1520_18910
ko:K03593	bthr:YBT1520_18930
ko:K03636	bthr:YBT1520_18935
ko:K03635	bthr:YBT1520_18940
ko:K03750	bthr:YBT1520_18945
ko:K03639	bthr:YBT1520_18960
ko:K02379	bthr:YBT1520_18965
ko:K00123	bthr:YBT1520_18985
ko:K02340	bthr:YBT1520_22960
ko:K02238	bthr:YBT1520_22970
ko:K02237	bthr:YBT1520_22980
ko:K02239	bthr:YBT1520_22985
ko:K09710	bthr:YBT1520_22995
ko:K00969	bthr:YBT1520_23005
ko:K07574	bthr:YBT1520_23010
ko:K00014	bthr:YBT1520_23015
ko:K06948	bthr:YBT1520_23020
ko:K07015	bthr:YBT1520_23025
ko:K06371	bthr:YBT1520_23030
ko:K01613	bthr:YBT1520_23035
ko:K03091	bthr:YBT1520_23040
ko:K02913	bthr:YBT1520_23055
ko:K15976	bthr:YBT1520_23060
ko:K01077	bthr:YBT1520_23075
ko:K16937	bthr:YBT1520_23090
ko:K14647	bthr:YBT1520_23130
ko:K00500	bthr:YBT1520_23140
ko:K01724	bthr:YBT1520_23145
ko:K07104	bthr:YBT1520_23150
ko:K02013	bthr:YBT1520_23185
ko:K02015	bthr:YBT1520_23190
ko:K02016	bthr:YBT1520_23195
ko:K04072	bthr:YBT1520_23205
ko:K17217	bthr:YBT1520_23210
ko:K17216	bthr:YBT1520_23215
ko:K03664	bthr:YBT1520_27080
ko:K12573	bthr:YBT1520_27085
ko:K03928	bthr:YBT1520_27090
ko:K03075	bthr:YBT1520_27095
ko:K01689	bthr:YBT1520_27115
ko:K15633	bthr:YBT1520_27120
ko:K01803	bthr:YBT1520_27125
ko:K00927	bthr:YBT1520_27130
ko:K00134	bthr:YBT1520_27135
ko:K05311	bthr:YBT1520_27140
ko:K03092	bthr:YBT1520_27150
ko:K01356	bthr:YBT1520_27160
ko:K02283	bthr:YBT1520_31746
ko:K02279	bthr:YBT1520_31756
ko:K03387	bthr:YBT1520_02260
ko:K03386	bthr:YBT1520_02265
ko:K00899	bthr:YBT1520_02270
ko:K08963	bthr:YBT1520_02275
ko:K01628	bthr:YBT1520_02280
ko:K02015	bthr:YBT1520_02285
ko:K02015	bthr:YBT1520_02290
ko:K02015	bthr:YBT1520_02295
ko:K02016	bthr:YBT1520_02300
ko:K06325	bthr:YBT1520_02325
ko:K06325	bthr:YBT1520_02330
ko:K07074	bthr:YBT1520_02365
ko:K05548	bthr:YBT1520_02370
ko:K02029	bthr:YBT1520_02395
ko:K02030	bthr:YBT1520_02400
ko:K02028	bthr:YBT1520_02405
ko:K03406	bthr:YBT1520_02410
ko:K03402	bthr:YBT1520_02415
ko:K01478	bthr:YBT1520_02420
ko:K00611	bthr:YBT1520_02425
ko:K03758	bthr:YBT1520_02430
ko:K00926	bthr:YBT1520_02435
ko:K01187	bthr:YBT1520_02455
ko:K01421	bthr:YBT1520_02475
ko:K00878	bthr:YBT1520_02485
ko:K00788	bthr:YBT1520_02490
ko:K07791	bthr:YBT1520_02495
ko:K03406	bthr:YBT1520_02500
ko:K02049	bthr:YBT1520_02525
ko:K03700	bthr:YBT1520_06660
ko:K01772	bthr:YBT1520_06825
ko:K03781	bthr:YBT1520_06830
ko:K03320	bthr:YBT1520_06870
ko:K09767	bthr:YBT1520_06885
ko:K03284	bthr:YBT1520_11030
ko:K07089	bthr:YBT1520_11035
ko:K08986	bthr:YBT1520_11040
ko:K06131	bthr:YBT1520_11055
ko:K09793	bthr:YBT1520_11075
ko:K03311	bthr:YBT1520_11110
ko:K06878	bthr:YBT1520_11115
ko:K06385	bthr:YBT1520_11125
ko:K01426	bthr:YBT1520_11145
ko:K06385	bthr:YBT1520_11165
ko:K01834	bthr:YBT1520_11170
ko:K01775	bthr:YBT1520_11265
ko:K00375	bthr:YBT1520_11285
ko:K03924	bthr:YBT1520_14490
ko:K01486	bthr:YBT1520_14515
ko:K01387	bthr:YBT1520_14525
ko:K03781	bthr:YBT1520_14530
ko:K03762	bthr:YBT1520_14595
ko:K03924	bthr:YBT1520_14610
ko:K01759	bthr:YBT1520_14640
ko:K00876	bthr:YBT1520_14650
ko:K07727	bthr:YBT1520_14665
ko:K01077	bthr:YBT1520_14675
ko:K18346	bthr:YBT1520_14680
ko:K09607	bthr:YBT1520_14685
ko:K10255	bthr:YBT1520_14690
ko:K02205	bthr:YBT1520_14700
ko:K00286	bthr:YBT1520_14720
ko:K00931	bthr:YBT1520_14725
ko:K00147	bthr:YBT1520_14730
ko:K16323	bthr:YBT1520_14750
ko:K07145	bthr:YBT1520_14770
ko:K03294	bthr:YBT1520_19015
ko:K15580	bthr:YBT1520_19050
ko:K15580	bthr:YBT1520_19055
ko:K15580	bthr:YBT1520_19060
ko:K03088	bthr:YBT1520_19080
ko:K01992	bthr:YBT1520_19085
ko:K01990	bthr:YBT1520_19090
ko:K04750	bthr:YBT1520_19105
ko:K02621	bthr:YBT1520_19125
ko:K02622	bthr:YBT1520_19130
ko:K08591	bthr:YBT1520_19160
ko:K07107	bthr:YBT1520_19170
ko:K06306	bthr:YBT1520_19180
ko:K06434	bthr:YBT1520_19185
ko:K06431	bthr:YBT1520_19190
ko:K02342	bthr:YBT1520_19200
ko:K06147	bthr:YBT1520_19215
ko:K01681	bthr:YBT1520_19220
ko:K06432	bthr:YBT1520_19225
ko:K06433	bthr:YBT1520_19240
ko:K06335	bthr:YBT1520_19245
ko:K01243	bthr:YBT1520_23220
ko:K17462	bthr:YBT1520_23225
ko:K03624	bthr:YBT1520_23250
ko:K00876	bthr:YBT1520_23255
ko:K08303	bthr:YBT1520_23260
ko:K08303	bthr:YBT1520_23265
ko:K07082	bthr:YBT1520_23275
ko:K07447	bthr:YBT1520_23285
ko:K01872	bthr:YBT1520_23295
ko:K03581	bthr:YBT1520_23325
ko:K00566	bthr:YBT1520_23335
ko:K04487	bthr:YBT1520_23340
ko:K17472	bthr:YBT1520_23345
ko:K07478	bthr:YBT1520_23350
ko:K01876	bthr:YBT1520_23365
ko:K01892	bthr:YBT1520_23370
ko:K07560	bthr:YBT1520_23380
ko:K00951	bthr:YBT1520_23385
ko:K00759	bthr:YBT1520_23390
ko:K07462	bthr:YBT1520_23395
ko:K12257	bthr:YBT1520_23405
ko:K06409	bthr:YBT1520_23415
ko:K03210	bthr:YBT1520_23430
ko:K00773	bthr:YBT1520_23435
ko:K07568	bthr:YBT1520_23445
ko:K03551	bthr:YBT1520_23455
ko:K03550	bthr:YBT1520_23460
ko:K02016	bthr:YBT1520_23465
ko:K06405	bthr:YBT1520_27440
ko:K06406	bthr:YBT1520_27445
ko:K06407	bthr:YBT1520_27450
ko:K01358	bthr:YBT1520_27465
ko:K11184	bthr:YBT1520_27470
ko:K09762	bthr:YBT1520_27475
ko:K06958	bthr:YBT1520_27485
