ko:K18929	hpi:hp908_0147
ko:K08077	hpi:hp908_0503
ko:K07126	hpi:hp908_0518
ko:K02238	hpi:hp908_1365
ko:K04517	hpi:hp908_1381
ko:K00626	hpi:hp908_0708
ko:K00769	hpi:hp908_0747
ko:K07491	hpi:hp908_1539
ko:K02342	hpi:hp908_1542
ko:K03386	hpi:hp908_1579
ko:K05845	hpi:hp908_0833
ko:K05846	hpi:hp908_0833
ko:K00088	hpi:hp908_0845
ko:K02433	hpi:hp908_0846
ko:K01916	hpi:hp908_0345
ko:K11085	hpi:hp908_0379
ko:K03784	hpi:hp908_1179
ko:K03317	hpi:hp908_1181
ko:K01674	hpi:hp908_1189
ko:K02843	hpi:hp908_1194
ko:K01719	hpi:hp908_1224
ko:K00059	hpi:hp908_0565
ko:K03279	hpi:hp908_1399
ko:K03768	hpi:hp908_1421
ko:K06346	hpi:hp908_1431
ko:K03279	hpi:hp908_0168
ko:K07126	hpi:hp908_0169
ko:K15898	hpi:hp908_0187
ko:K00245	hpi:hp908_0200
ko:K00244	hpi:hp908_0201
ko:K03593	hpi:hp908_0215
ko:K00058	hpi:hp908_1046
ko:K06013	hpi:hp908_1063
ko:K14232	hpi:hp908_t24
ko:K14219	hpi:hp908_t21
ko:K16052	hpi:hp908_1029
ko:K14224	hpi:hp908_t1
ko:K14221	hpi:hp908_t2
ko:K14237	hpi:hp908_t3
ko:K14224	hpi:hp908_t4
ko:K14229	hpi:hp908_t5
ko:K14237	hpi:hp908_t6
ko:K14220	hpi:hp908_t8
ko:K14219	hpi:hp908_t10
ko:K14232	hpi:hp908_t12
ko:K14219	hpi:hp908_t14
ko:K14230	hpi:hp908_t13
ko:K14230	hpi:hp908_t15
ko:K14223	hpi:hp908_t16
ko:K14225	hpi:hp908_t17
ko:K14228	hpi:hp908_t18
ko:K14233	hpi:hp908_t20
ko:K01985	hpi:hp908_r2
ko:K01980	hpi:hp908_r3
ko:K14228	hpi:hp908_t25
ko:K14227	hpi:hp908_t26
ko:K14218	hpi:hp908_t27
ko:K02029	hpi:hp908_1168
ko:K14235	hpi:hp908_t29
ko:K11028	hpi:hp908_0900
ko:K12086	hpi:hp908_0519
ko:K12088	hpi:hp908_0521
ko:K12089	hpi:hp908_0522
ko:K12090	hpi:hp908_0524
ko:K12092	hpi:hp908_0527
ko:K12093	hpi:hp908_0531
ko:K12094	hpi:hp908_0533
ko:K12095	hpi:hp908_0534
ko:K12096	hpi:hp908_0535
ko:K12097	hpi:hp908_0536
ko:K12098	hpi:hp908_0537
ko:K12099	hpi:hp908_0538
ko:K12101	hpi:hp908_0539
ko:K15842	hpi:hp908_0550
ko:K12102	hpi:hp908_0540
ko:K12103	hpi:hp908_0541
ko:K12104	hpi:hp908_0542
ko:K12105	hpi:hp908_0543
ko:K12106	hpi:hp908_0544
ko:K12107	hpi:hp908_0545
ko:K12108	hpi:hp908_0546
ko:K12109	hpi:hp908_0547
ko:K12110	hpi:hp908_0548
ko:K11028	hpi:hp908_0901
ko:K15843	hpi:hp908_0925
ko:K15844	hpi:hp908_0926
ko:K03196	hpi:hp908_1405
ko:K12091	hpi:hp908_0526
ko:K12087	hpi:hp908_0520
ko:K15848	hpi:hp908_0730
ko:K15847	hpi:hp908_0910
ko:K03427	hpi:hp908_1523
ko:K10009	hpi:hp908_0954
ko:K00970	hpi:hp908_0651
ko:K03321	hpi:hp908_0241
ko:K12369	hpi:hp908_0314
ko:K01426	hpi:hp908_0308
ko:K12371	hpi:hp908_0316
ko:K07316	hpi:hp908_1371
ko:K02424	hpi:hp908_0955
ko:K12048	hpi:hp908_0044
ko:K03559	hpi:hp908_1342
ko:K07318	hpi:hp908_1210
ko:K03559	hpi:hp908_1125
ko:K09477	hpi:hp908_0152
ko:K12049	hpi:hp908_0043
ko:K12977	hpi:hp908_0025
ko:K12052	hpi:hp908_0040
ko:K12050	hpi:hp908_0042
ko:K03191	hpi:hp908_0079
ko:K13797	hpi:hp908_1199
ko:K15845	hpi:hp908_0009
ko:K02003	hpi:hp908_0188
ko:K15895	hpi:hp908_1081
ko:K15896	hpi:hp908_0343
ko:K11782	hpi:hp908_0793
ko:K01738	hpi:hp908_0117
ko:K01760	hpi:hp908_0116
ko:K01992	hpi:hp908_0329
ko:K07316	hpi:hp908_1507
ko:K01990	hpi:hp908_1220
ko:K17103	hpi:hp908_0393
ko:K03559	hpi:hp908_1426
ko:K02484	hpi:hp908_1368
ko:K02484	hpi:hp908_0173
ko:K02847	hpi:hp908_0425
ko:K12053	hpi:hp908_0019
ko:K01992	hpi:hp908_1472
ko:K17686	hpi:hp908_1489
ko:K17686	hpi:hp908_0392
ko:K01155	hpi:hp908_0275
ko:K00971	hpi:hp908_0045
ko:K05540	hpi:hp908_0732
ko:K01658	hpi:hp908_1281
ko:K11928	hpi:hp908_0058
ko:K01156	hpi:hp908_1384
ko:K00290	hpi:hp908_1493
ko:K01497	hpi:hp908_0816
ko:K00254	hpi:hp908_0452
ko:K05922	hpi:hp908_0643
ko:K05927	hpi:hp908_0642
ko:K00104	hpi:hp908_0505
ko:K01155	hpi:hp908_1401
ko:K07812	hpi:hp908_1036
ko:K13979	hpi:hp908_1531
ko:K06148	hpi:hp908_1208
ko:K03605	hpi:hp908_0645
ko:K05366	hpi:hp908_0608
ko:K12051	hpi:hp908_0041
ko:K11784	hpi:hp908_0669
ko:K12092	hpi:hp908_0529
ko:K12094	hpi:hp908_0532
ko:K01156	hpi:hp908_1385
ko:K01992	hpi:hp908_0621
ko:K03183	hpi:hp908_1468
ko:K02106	hpi:hp908_0704
ko:K15848	hpi:hp908_0729
ko:K02016	hpi:hp908_1577
ko:K15846	hpi:hp908_0810
ko:K01711	hpi:hp908_0047
ko:K03168	hpi:hp908_0999
ko:K04763	hpi:hp908_1014
ko:K03407	hpi:hp908_1052
ko:K06013	hpi:hp908_1064
ko:K07126	hpi:hp908_1089
ko:K04095	hpi:hp908_1157
ko:K11785	hpi:hp908_0161
ko:K18284	hpi:hp908_0099
ko:K18285	hpi:hp908_0667
ko:K16235	hpi:hp908_0446
ko:K18480	hpi:hp908_1445
ko:K00681	hpi:hp908_1114
ko:K07316	hpi:hp908_1383
ko:K18930	hpi:hp908_1222
ko:K03196	hpi:hp908_0525
ko:K03196	hpi:hp908_1008
ko:K03205	hpi:hp908_1012
ko:K03497	hpi:hp908_1134
ko:K03496	hpi:hp908_1135
ko:K03761	hpi:hp908_0369
ko:K00335	hpi:hp908_1265
ko:K02483	hpi:hp908_0174
ko:K03526	hpi:hp908_0636
ko:K03296	hpi:hp908_0618
ko:K00336	hpi:hp908_1266
ko:K07448	hpi:hp908_0381
ko:K19157	hpi:hp908_1013
ko:K00571	hpi:hp908_0054
ko:K00571	hpi:hp908_0102
ko:K00571	hpi:hp908_0277
ko:K00020	hpi:hp908_0653
ko:K07317	hpi:hp908_0923
ko:K04771	hpi:hp908_0445
ko:K01992	hpi:hp908_1471
ko:K07496	hpi:hp908_1540
ko:K19302	hpi:hp908_0864
ko:K19416	hpi:hp908_0933
ko:K02483	hpi:hp908_0421
ko:K07126	hpi:hp908_0351
ko:K12053	hpi:hp908_0020
ko:K20151	hpi:hp908_0664
ko:K20151	hpi:hp908_1067
ko:K20810	hpi:hp908_0281
ko:K00525	hpi:hp908_0689
ko:K07100	hpi:hp908_1215
ko:K02335	hpi:hp908_1452
ko:K02335	hpi:hp908_0442
ko:K06223	hpi:hp908_0475
ko:K00558	hpi:hp908_0478
ko:K00558	hpi:hp908_0479
ko:K02314	hpi:hp908_1366
ko:K03465	hpi:hp908_1519
ko:K02316	hpi:hp908_0014
ko:K01520	hpi:hp908_0876
ko:K00558	hpi:hp908_0057
ko:K03553	hpi:hp908_0162
ko:K00558	hpi:hp908_1117
ko:K02483	hpi:hp908_1369
ko:K00526	hpi:hp908_1082
ko:K02481	hpi:hp908_0713
ko:K01139	hpi:hp908_0790
ko:K07097	hpi:hp908_0422
ko:K10026	hpi:hp908_0947
ko:K21929	hpi:hp908_0663
ko:K03595	hpi:hp908_0516
ko:K22278	hpi:hp908_0325
ko:K14441	hpi:hp908_0746
ko:K22391	hpi:hp908_0975
ko:K17758	hpi:hp908_1367
ko:K17759	hpi:hp908_1367
ko:K00590	hpi:hp908_0696
ko:K00571	hpi:hp908_1355
ko:K01007	hpi:hp908_0130
