ko:K18929	hhr:HPSH417_00675
ko:K02886	hhr:HPSH417_06465
ko:K02892	hhr:HPSH417_06470
ko:K02926	hhr:HPSH417_06475
ko:K02906	hhr:HPSH417_06480
ko:K02946	hhr:HPSH417_06485
ko:K07133	hhr:HPSH417_06490
ko:K03470	hhr:HPSH417_06500
ko:K01153	hhr:HPSH417_07660
ko:K07043	hhr:HPSH417_07665
ko:K01476	hhr:HPSH417_07680
ko:K00259	hhr:HPSH417_07685
ko:K00858	hhr:HPSH417_07705
ko:K03631	hhr:HPSH417_07710
ko:K01783	hhr:HPSH417_07745
ko:K03841	hhr:HPSH417_07750
ko:K02357	hhr:HPSH417_07790
ko:K02967	hhr:HPSH417_07795
ko:K03313	hhr:HPSH417_07810
ko:K03210	hhr:HPSH417_07815
ko:K03072	hhr:HPSH417_07820
ko:K03074	hhr:HPSH417_07825
ko:K01869	hhr:HPSH417_07835
ko:K11754	hhr:HPSH417_07845
ko:K03723	hhr:HPSH417_07865
ko:K00411	hhr:HPSH417_07870
ko:K14232	hhr:HPSH417_t08103
ko:K14219	hhr:HPSH417_t08097
ko:K16052	hhr:HPSH417_04900
ko:K14224	hhr:HPSH417_t08057
ko:K14221	hhr:HPSH417_t08059
ko:K14237	hhr:HPSH417_t08061
ko:K14224	hhr:HPSH417_t08063
ko:K14229	hhr:HPSH417_t08065
ko:K14237	hhr:HPSH417_t08067
ko:K14220	hhr:HPSH417_t08071
ko:K14219	hhr:HPSH417_t08075
ko:K14233	hhr:HPSH417_t08077
ko:K14232	hhr:HPSH417_t08079
ko:K14219	hhr:HPSH417_t08083
ko:K14230	hhr:HPSH417_t08081
ko:K14230	hhr:HPSH417_t08085
ko:K14223	hhr:HPSH417_t08087
ko:K14228	hhr:HPSH417_t08091
ko:K14222	hhr:HPSH417_t08093
ko:K14233	hhr:HPSH417_t08095
ko:K01985	hhr:HPSH417_r08129
ko:K01985	hhr:HPSH417_r08131
ko:K01980	hhr:HPSH417_r08137
ko:K01980	hhr:HPSH417_r08139
ko:K14228	hhr:HPSH417_t08105
ko:K14227	hhr:HPSH417_t08107
ko:K14218	hhr:HPSH417_t08109
ko:K01977	hhr:HPSH417_r08133
ko:K01977	hhr:HPSH417_r08135
ko:K02029	hhr:HPSH417_05730
ko:K00971	hhr:HPSH417_00190
ko:K14235	hhr:HPSH417_t08113
ko:K03196	hhr:HPSH417_07585
ko:K15842	hhr:HPSH417_04540
ko:K11028	hhr:HPSH417_04320
ko:K15847	hhr:HPSH417_04355
ko:K12086	hhr:HPSH417_02475
ko:K12088	hhr:HPSH417_02485
ko:K12089	hhr:HPSH417_02490
ko:K12090	hhr:HPSH417_02495
ko:K12092	hhr:HPSH417_02515
ko:K12093	hhr:HPSH417_02520
ko:K12094	hhr:HPSH417_02525
ko:K12095	hhr:HPSH417_02530
ko:K12096	hhr:HPSH417_02535
ko:K12097	hhr:HPSH417_02540
ko:K12098	hhr:HPSH417_02545
ko:K12101	hhr:HPSH417_02565
ko:K15842	hhr:HPSH417_02620
ko:K12102	hhr:HPSH417_02570
ko:K12103	hhr:HPSH417_02575
ko:K12104	hhr:HPSH417_02580
ko:K12105	hhr:HPSH417_02585
ko:K12106	hhr:HPSH417_02590
ko:K12107	hhr:HPSH417_02595
ko:K12108	hhr:HPSH417_02600
ko:K12109	hhr:HPSH417_02605
ko:K12110	hhr:HPSH417_02610
ko:K15843	hhr:HPSH417_04435
ko:K15844	hhr:HPSH417_04440
ko:K03196	hhr:HPSH417_05580
ko:K03196	hhr:HPSH417_06900
ko:K04655	hhr:HPSH417_00205
ko:K00059	hhr:HPSH417_02690
ko:K00845	hhr:HPSH417_05205
ko:K07126	hhr:HPSH417_05290
ko:K04093	hhr:HPSH417_01470
ko:K01916	hhr:HPSH417_01650
ko:K07126	hhr:HPSH417_01685
ko:K05845	hhr:HPSH417_03960
ko:K05846	hhr:HPSH417_03960
ko:K00088	hhr:HPSH417_04015
ko:K02433	hhr:HPSH417_04020
ko:K02238	hhr:HPSH417_06690
ko:K03386	hhr:HPSH417_07930
ko:K01409	hhr:HPSH417_08035
ko:K12091	hhr:HPSH417_02505
ko:K00245	hhr:HPSH417_00955
ko:K00244	hhr:HPSH417_00960
ko:K03593	hhr:HPSH417_01035
ko:K07126	hhr:HPSH417_01060
ko:K01439	hhr:HPSH417_01065
ko:K06910	hhr:HPSH417_01100
ko:K07126	hhr:HPSH417_01185
ko:K01424	hhr:HPSH417_03470
ko:K00769	hhr:HPSH417_03540
ko:K06603	hhr:HPSH417_03630
ko:K01719	hhr:HPSH417_06000
ko:K01455	hhr:HPSH417_06075
ko:K06196	hhr:HPSH417_01340
ko:K02004	hhr:HPSH417_03810
ko:K03635	hhr:HPSH417_03870
ko:K00949	hhr:HPSH417_06335
ko:K01679	hhr:HPSH417_06510
ko:K02342	hhr:HPSH417_07740
ko:K11085	hhr:HPSH417_01835
ko:K02014	hhr:HPSH417_04450
ko:K03743	hhr:HPSH417_04640
ko:K06179	hhr:HPSH417_04660
ko:K01156	hhr:HPSH417_07400
ko:K07316	hhr:HPSH417_07405
ko:K14048	hhr:HPSH417_00345
ko:K03406	hhr:HPSH417_00390
ko:K03406	hhr:HPSH417_00475
ko:K03406	hhr:HPSH417_00495
ko:K01119	hhr:HPSH417_00500
ko:K00652	hhr:HPSH417_02885
ko:K07457	hhr:HPSH417_02905
ko:K00939	hhr:HPSH417_02975
ko:K01507	hhr:HPSH417_02995
ko:K00674	hhr:HPSH417_03025
ko:K07126	hhr:HPSH417_03030
ko:K04652	hhr:HPSH417_04375
ko:K04517	hhr:HPSH417_06790
ko:K03279	hhr:HPSH417_06875
ko:K03768	hhr:HPSH417_07000
ko:K06346	hhr:HPSH417_07050
ko:K02067	hhr:HPSH417_07130
ko:K02242	hhr:HPSH417_07180
ko:K00616	hhr:HPSH417_07295
ko:K07098	hhr:HPSH417_02015
ko:K01262	hhr:HPSH417_02050
ko:K03711	hhr:HPSH417_02100
ko:K13640	hhr:HPSH417_02110
ko:K00076	hhr:HPSH417_02165
ko:K03455	hhr:HPSH417_02245
ko:K03442	hhr:HPSH417_04780
ko:K01585	hhr:HPSH417_04865
ko:K02017	hhr:HPSH417_02265
ko:K01885	hhr:HPSH417_02270
ko:K08077	hhr:HPSH417_02410
ko:K07126	hhr:HPSH417_02470
ko:K00058	hhr:HPSH417_04975
ko:K06013	hhr:HPSH417_05055
ko:K01784	hhr:HPSH417_05160
ko:K07126	hhr:HPSH417_05180
ko:K03279	hhr:HPSH417_00785
ko:K07126	hhr:HPSH417_00790
ko:K15898	hhr:HPSH417_00875
ko:K01885	hhr:HPSH417_03110
ko:K03469	hhr:HPSH417_03200
ko:K04763	hhr:HPSH417_03245
ko:K00567	hhr:HPSH417_03250
ko:K13016	hhr:HPSH417_03260
ko:K00626	hhr:HPSH417_03305
ko:K03784	hhr:HPSH417_05770
ko:K03317	hhr:HPSH417_05780
ko:K01674	hhr:HPSH417_05820
ko:K02843	hhr:HPSH417_05845
ko:K10009	hhr:HPSH417_04575
ko:K00970	hhr:HPSH417_03100
ko:K03321	hhr:HPSH417_01150
ko:K12369	hhr:HPSH417_01515
ko:K01426	hhr:HPSH417_01490
ko:K12371	hhr:HPSH417_01525
ko:K01155	hhr:HPSH417_00435
ko:K07316	hhr:HPSH417_06735
ko:K02424	hhr:HPSH417_04580
ko:K12048	hhr:HPSH417_07605
ko:K12049	hhr:HPSH417_07610
ko:K12050	hhr:HPSH417_07615
ko:K07318	hhr:HPSH417_05930
ko:K03559	hhr:HPSH417_05355
ko:K09477	hhr:HPSH417_00700
ko:K03559	hhr:HPSH417_06580
ko:K03559	hhr:HPSH417_07025
ko:K12049	hhr:HPSH417_00180
ko:K13689	hhr:HPSH417_01095
ko:K12977	hhr:HPSH417_00095
ko:K12048	hhr:HPSH417_00185
ko:K12052	hhr:HPSH417_00170
ko:K12050	hhr:HPSH417_00175
ko:K03191	hhr:HPSH417_00335
ko:K13797	hhr:HPSH417_05870
ko:K15895	hhr:HPSH417_05135
ko:K15896	hhr:HPSH417_01640
ko:K02003	hhr:HPSH417_00880
ko:K11782	hhr:HPSH417_03770
ko:K01738	hhr:HPSH417_00515
ko:K01760	hhr:HPSH417_00510
ko:K01992	hhr:HPSH417_02945
ko:K01990	hhr:HPSH417_05980
ko:K17103	hhr:HPSH417_01885
ko:K02484	hhr:HPSH417_00810
ko:K02484	hhr:HPSH417_06705
ko:K02847	hhr:HPSH417_02040
ko:K01992	hhr:HPSH417_07255
ko:K12053	hhr:HPSH417_00075
ko:K17686	hhr:HPSH417_07335
ko:K17686	hhr:HPSH417_01880
ko:K01155	hhr:HPSH417_01325
ko:K05540	hhr:HPSH417_03500
ko:K00254	hhr:HPSH417_02180
ko:K11928	hhr:HPSH417_00240
ko:K01658	hhr:HPSH417_06295
ko:K12574	hhr:HPSH417_06935
ko:K01156	hhr:HPSH417_06805
ko:K00290	hhr:HPSH417_07355
ko:K01497	hhr:HPSH417_03880
ko:K06148	hhr:HPSH417_05920
ko:K05922	hhr:HPSH417_03060
ko:K05927	hhr:HPSH417_03055
ko:K07812	hhr:HPSH417_04925
ko:K03605	hhr:HPSH417_03070
ko:K05366	hhr:HPSH417_02880
ko:K11784	hhr:HPSH417_03175
ko:K01153	hhr:HPSH417_07485
ko:K03601	hhr:HPSH417_04790
ko:K12048	hhr:HPSH417_05560
ko:K03427	hhr:HPSH417_04140
ko:K11785	hhr:HPSH417_00750
ko:K18284	hhr:HPSH417_00425
ko:K18285	hhr:HPSH417_03165
ko:K08068	hhr:HPSH417_04100
ko:K16235	hhr:HPSH417_02145
ko:K18480	hhr:HPSH417_07125
ko:K00681	hhr:HPSH417_05300
ko:K07316	hhr:HPSH417_06800
ko:K18930	hhr:HPSH417_05990
ko:K03196	hhr:HPSH417_02500
ko:K03497	hhr:HPSH417_05400
ko:K03496	hhr:HPSH417_05405
ko:K03203	hhr:HPSH417_05540
ko:K03205	hhr:HPSH417_05600
ko:K03111	hhr:HPSH417_06110
ko:K03205	hhr:HPSH417_07575
ko:K03761	hhr:HPSH417_01785
ko:K00335	hhr:HPSH417_06215
ko:K02483	hhr:HPSH417_00815
ko:K03526	hhr:HPSH417_03020
ko:K00571	hhr:HPSH417_00440
ko:K03296	hhr:HPSH417_02930
ko:K00336	hhr:HPSH417_06220
ko:K07448	hhr:HPSH417_01845
ko:K19157	hhr:HPSH417_05605
ko:K19157	hhr:HPSH417_04345
ko:K00571	hhr:HPSH417_00220
ko:K00571	hhr:HPSH417_01330
ko:K00571	hhr:HPSH417_06725
ko:K00525	hhr:HPSH417_03265
ko:K07317	hhr:HPSH417_04415
ko:K04771	hhr:HPSH417_02140
ko:K01992	hhr:HPSH417_07250
ko:K07496	hhr:HPSH417_04770
ko:K07496	hhr:HPSH417_04775
ko:K19416	hhr:HPSH417_04465
ko:K12053	hhr:HPSH417_05525
ko:K12052	hhr:HPSH417_07520
ko:K20151	hhr:HPSH417_03150
ko:K20810	hhr:HPSH417_01350
ko:K20151	hhr:HPSH417_05070
ko:K07100	hhr:HPSH417_05960
ko:K00558	hhr:HPSH417_01770
ko:K03465	hhr:HPSH417_07460
ko:K06223	hhr:HPSH417_02295
ko:K00558	hhr:HPSH417_02305
ko:K02316	hhr:HPSH417_00045
ko:K00558	hhr:HPSH417_00225
ko:K00558	hhr:HPSH417_05315
ko:K03553	hhr:HPSH417_00755
ko:K00558	hhr:HPSH417_07775
ko:K00558	hhr:HPSH417_04145
ko:K02314	hhr:HPSH417_06695
ko:K01520	hhr:HPSH417_04220
ko:K02335	hhr:HPSH417_07160
ko:K02335	hhr:HPSH417_02125
ko:K02483	hhr:HPSH417_06710
ko:K00526	hhr:HPSH417_05140
ko:K02481	hhr:HPSH417_03375
ko:K01139	hhr:HPSH417_03755
ko:K07097	hhr:HPSH417_02025
ko:K02483	hhr:HPSH417_02020
ko:K10026	hhr:HPSH417_04530
ko:K21929	hhr:HPSH417_03145
ko:K03595	hhr:HPSH417_02460
ko:K22278	hhr:HPSH417_01570
ko:K14441	hhr:HPSH417_03535
ko:K22391	hhr:HPSH417_04675
ko:K17758	hhr:HPSH417_06700
ko:K17759	hhr:HPSH417_06700
ko:K00590	hhr:HPSH417_06730
ko:K00571	hhr:HPSH417_06645
ko:K01007	hhr:HPSH417_00580
