ko:K18137	abd:ABTW07_2308
ko:K00362	abd:ABTW07_2335
ko:K03786	abd:ABTW07_2339
ko:K02160	abd:ABTW07_2340
ko:K01961	abd:ABTW07_2341
ko:K05820	abd:ABTW07_2343
ko:K09781	abd:ABTW07_3172
ko:K01867	abd:ABTW07_3173
ko:K01902	abd:ABTW07_3174
ko:K01903	abd:ABTW07_3175
ko:K00382	abd:ABTW07_3176
ko:K00658	abd:ABTW07_3177
ko:K00164	abd:ABTW07_3178
ko:K00240	abd:ABTW07_3179
ko:K00239	abd:ABTW07_3180
ko:K00242	abd:ABTW07_3181
ko:K01647	abd:ABTW07_3183
ko:K06938	abd:ABTW07_3184
ko:K07146	abd:ABTW07_3185
ko:K07039	abd:ABTW07_3189
ko:K03086	abd:ABTW07_3190
ko:K09158	abd:ABTW07_3191
ko:K03801	abd:ABTW07_3192
ko:K03216	abd:ABTW07_3198
ko:K02302	abd:ABTW07_3199
ko:K01875	abd:ABTW07_3200
ko:K03634	abd:ABTW07_3202
ko:K02899	abd:ABTW07_3203
ko:K02888	abd:ABTW07_3204
ko:K02523	abd:ABTW07_3205
ko:K03585	abd:ABTW07_3208
ko:K01873	abd:ABTW07_3216
ko:K07088	abd:ABTW07_3219
ko:K03582	abd:ABTW07_0399
ko:K03581	abd:ABTW07_0400
ko:K02956	abd:ABTW07_0402
ko:K00962	abd:ABTW07_0403
ko:K05516	abd:ABTW07_0406
ko:K04083	abd:ABTW07_0408
ko:K04066	abd:ABTW07_0410
ko:K02455	abd:ABTW07_0411
ko:K02456	abd:ABTW07_0412
ko:K06878	abd:ABTW07_0414
ko:K03820	abd:ABTW07_0415
ko:K06189	abd:ABTW07_0416
ko:K00311	abd:ABTW07_0418
ko:K09986	abd:ABTW07_0419
ko:K01776	abd:ABTW07_0420
ko:K01772	abd:ABTW07_0422
ko:K09862	abd:ABTW07_0424
ko:K07007	abd:ABTW07_0426
ko:K06199	abd:ABTW07_0428
ko:K02909	abd:ABTW07_0430
ko:K03327	abd:ABTW07_0434
ko:K09936	abd:ABTW07_0435
ko:K08300	abd:ABTW07_0440
ko:K01091	abd:ABTW07_0442
ko:K05817	abd:ABTW07_0446
ko:K03782	abd:ABTW07_0448
ko:K08484	abd:ABTW07_0449
ko:K08311	abd:ABTW07_0450
ko:K00840	abd:ABTW07_1321
ko:K00673	abd:ABTW07_1322
ko:K06911	abd:ABTW07_1329
ko:K06901	abd:ABTW07_1334
ko:K03470	abd:ABTW07_1338
ko:K03563	abd:ABTW07_1339
ko:K00928	abd:ABTW07_1340
ko:K01872	abd:ABTW07_1341
ko:K00134	abd:ABTW07_1342
ko:K02502	abd:ABTW07_1343
ko:K01939	abd:ABTW07_1344
ko:K07397	abd:ABTW07_1349
ko:K03695	abd:ABTW07_1352
ko:K12297	abd:ABTW07_1355
ko:K00609	abd:ABTW07_1357
ko:K01465	abd:ABTW07_1358
ko:K02624	abd:ABTW07_2197
ko:K07112	abd:ABTW07_2199
ko:K07112	abd:ABTW07_2200
ko:K05358	abd:ABTW07_2202
ko:K07267	abd:ABTW07_2203
ko:K03785	abd:ABTW07_2205
ko:K00448	abd:ABTW07_2206
ko:K00449	abd:ABTW07_2207
ko:K08195	abd:ABTW07_2209
ko:K01055	abd:ABTW07_2210
ko:K01857	abd:ABTW07_2211
ko:K00991	abd:ABTW07_2216
ko:K05589	abd:ABTW07_2217
ko:K01689	abd:ABTW07_2219
ko:K01627	abd:ABTW07_2220
ko:K01937	abd:ABTW07_2221
ko:K07044	abd:ABTW07_2223
ko:K01626	abd:ABTW07_2230
ko:K09771	abd:ABTW07_2231
ko:K03694	abd:ABTW07_2232
ko:K06891	abd:ABTW07_2233
ko:K00145	abd:ABTW07_2235
ko:K07043	abd:ABTW07_2237
ko:K01807	abd:ABTW07_2238
ko:K01754	abd:ABTW07_2239
ko:K10763	abd:ABTW07_3069
ko:K01933	abd:ABTW07_3071
ko:K11175	abd:ABTW07_3072
ko:K04773	abd:ABTW07_3074
ko:K02517	abd:ABTW07_3075
ko:K09808	abd:ABTW07_3078
ko:K09768	abd:ABTW07_3080
ko:K00831	abd:ABTW07_3082
ko:K01993	abd:ABTW07_3084
ko:K02469	abd:ABTW07_3091
ko:K03522	abd:ABTW07_3092
ko:K03521	abd:ABTW07_3093
ko:K03733	abd:ABTW07_3094
ko:K01778	abd:ABTW07_3096
ko:K01586	abd:ABTW07_3097
ko:K11737	abd:ABTW07_3099
ko:K04485	abd:ABTW07_3100
ko:K04568	abd:ABTW07_3102
ko:K03473	abd:ABTW07_3103
ko:K02379	abd:ABTW07_3105
ko:K00865	abd:ABTW07_3107
ko:K07124	abd:ABTW07_3109
ko:K07044	abd:ABTW07_3112
ko:K01738	abd:ABTW07_0197
ko:K02346	abd:ABTW07_0206
ko:K06966	abd:ABTW07_0209
ko:K09858	abd:ABTW07_0211
ko:K08369	abd:ABTW07_0213
ko:K02621	abd:ABTW07_0214
ko:K01714	abd:ABTW07_0221
ko:K01628	abd:ABTW07_0222
ko:K00375	abd:ABTW07_0223
ko:K07400	abd:ABTW07_1070
ko:K01673	abd:ABTW07_1074
ko:K10804	abd:ABTW07_1075
ko:K02003	abd:ABTW07_1076
ko:K03814	abd:ABTW07_1079
ko:K00937	abd:ABTW07_1080
ko:K04761	abd:ABTW07_1082
ko:K05297	abd:ABTW07_1084
ko:K04567	abd:ABTW07_1088
ko:K00957	abd:ABTW07_1090
ko:K09965	abd:ABTW07_1092
ko:K03300	abd:ABTW07_1094
ko:K01637	abd:ABTW07_1098
ko:K03190	abd:ABTW07_1101
ko:K01430	abd:ABTW07_1102
ko:K01429	abd:ABTW07_1103
ko:K01428	abd:ABTW07_1104
ko:K03187	abd:ABTW07_1105
ko:K03188	abd:ABTW07_1106
ko:K03189	abd:ABTW07_1107
ko:K03192	abd:ABTW07_1108
ko:K05515	abd:ABTW07_1110
ko:K10773	abd:ABTW07_1114
ko:K00262	abd:ABTW07_1116
ko:K00783	abd:ABTW07_1119
ko:K01338	abd:ABTW07_1120
ko:K01744	abd:ABTW07_1975
ko:K02106	abd:ABTW07_1981
ko:K01029	abd:ABTW07_1982
ko:K01028	abd:ABTW07_1983
ko:K00019	abd:ABTW07_1987
ko:K01061	abd:ABTW07_1990
ko:K02019	abd:ABTW07_1999
ko:K02020	abd:ABTW07_2000
ko:K02018	abd:ABTW07_2001
ko:K00216	abd:ABTW07_2003
ko:K00937	abd:ABTW07_2007
ko:K06136	abd:ABTW07_2008
ko:K06137	abd:ABTW07_2009
ko:K06138	abd:ABTW07_2010
ko:K06139	abd:ABTW07_2011
ko:K01273	abd:ABTW07_2012
ko:K06911	abd:ABTW07_2841
ko:K08368	abd:ABTW07_2848
ko:K04030	abd:ABTW07_2854
ko:K05297	abd:ABTW07_2856
ko:K00140	abd:ABTW07_2863
ko:K06995	abd:ABTW07_2864
ko:K06200	abd:ABTW07_2873
ko:K02356	abd:ABTW07_2874
ko:K02909	abd:ABTW07_2878
ko:K14347	abd:ABTW07_2879
ko:K08218	abd:ABTW07_2881
ko:K06194	abd:ABTW07_2884
ko:K03787	abd:ABTW07_2885
ko:K00566	abd:ABTW07_2891
ko:K07153	abd:ABTW07_2892
ko:K03707	abd:ABTW07_3694
ko:K02442	abd:ABTW07_3695
ko:K08987	abd:ABTW07_3696
ko:K03701	abd:ABTW07_3699
ko:K02168	abd:ABTW07_3703
ko:K14393	abd:ABTW07_3705
ko:K00299	abd:ABTW07_3710
ko:K01895	abd:ABTW07_3714
ko:K02527	abd:ABTW07_3718
ko:K02836	abd:ABTW07_3721
ko:K07462	abd:ABTW07_3723
ko:K00275	abd:ABTW07_3724
ko:K03431	abd:ABTW07_3725
ko:K06940	abd:ABTW07_3727
ko:K00627	abd:ABTW07_3732
ko:K00163	abd:ABTW07_3733
ko:K02535	abd:ABTW07_3736
ko:K03531	abd:ABTW07_3737
ko:K03590	abd:ABTW07_3738
ko:K03589	abd:ABTW07_3739
ko:K01921	abd:ABTW07_3740
ko:K01924	abd:ABTW07_3741
ko:K02563	abd:ABTW07_3742
ko:K01920	abd:ABTW07_3743
ko:K03981	abd:ABTW07_0020
ko:K00760	abd:ABTW07_0022
ko:K02558	abd:ABTW07_0030
ko:K09922	abd:ABTW07_0031
ko:K01588	abd:ABTW07_0032
ko:K01589	abd:ABTW07_0033
ko:K04043	abd:ABTW07_0038
ko:K03687	abd:ABTW07_0039
ko:K03774	abd:ABTW07_0048
ko:K03101	abd:ABTW07_0049
ko:K01870	abd:ABTW07_0050
ko:K11753	abd:ABTW07_0051
ko:K15554	abd:ABTW07_0056
ko:K15553	abd:ABTW07_0058
ko:K15553	abd:ABTW07_0059
ko:K14682	abd:ABTW07_0060
ko:K03673	abd:ABTW07_0066
ko:K00989	abd:ABTW07_0071
ko:K01114	abd:ABTW07_0072
ko:K00767	abd:ABTW07_0074
ko:K03806	abd:ABTW07_0075
ko:K00927	abd:ABTW07_1807
ko:K01624	abd:ABTW07_1809
ko:K03771	abd:ABTW07_1810
ko:K04744	abd:ABTW07_1811
ko:K07102	abd:ABTW07_1812
ko:K03501	abd:ABTW07_1814
ko:K03561	abd:ABTW07_1817
ko:K00912	abd:ABTW07_1820
ko:K00979	abd:ABTW07_1821
ko:K02341	abd:ABTW07_1822
ko:K02676	abd:ABTW07_1823
ko:K03424	abd:ABTW07_1824
ko:K02456	abd:ABTW07_1826
ko:K02458	abd:ABTW07_1827
ko:K02459	abd:ABTW07_1828
ko:K02460	abd:ABTW07_1829
ko:K01737	abd:ABTW07_1830
ko:K03648	abd:ABTW07_1831
ko:K00945	abd:ABTW07_1835
ko:K02945	abd:ABTW07_1836
ko:K05788	abd:ABTW07_1837
ko:K01591	abd:ABTW07_1839
ko:K06916	abd:ABTW07_1843
ko:K01638	abd:ABTW07_1844
ko:K03561	abd:ABTW07_1848
ko:K03832	abd:ABTW07_1849
ko:K02034	abd:ABTW07_1855
ko:K00528	abd:ABTW07_2684
ko:K08303	abd:ABTW07_2687
ko:K10017	abd:ABTW07_2690
ko:K10015	abd:ABTW07_2691
ko:K10016	abd:ABTW07_2692
ko:K00600	abd:ABTW07_2698
ko:K10857	abd:ABTW07_2701
ko:K06879	abd:ABTW07_2705
ko:K05837	abd:ABTW07_2707
ko:K03642	abd:ABTW07_2709
ko:K02357	abd:ABTW07_2714
ko:K02967	abd:ABTW07_2715
ko:K01265	abd:ABTW07_2716
ko:K02575	abd:ABTW07_2718
ko:K00322	abd:ABTW07_2720
ko:K03644	abd:ABTW07_2721
ko:K01251	abd:ABTW07_2725
ko:K00297	abd:ABTW07_2726
ko:K09761	abd:ABTW07_2727
ko:K00029	abd:ABTW07_2729
ko:K05526	abd:ABTW07_3542
ko:K01484	abd:ABTW07_3543
ko:K06447	abd:ABTW07_3544
ko:K00673	abd:ABTW07_3545
ko:K00261	abd:ABTW07_3547
ko:K08160	abd:ABTW07_3559
ko:K03923	abd:ABTW07_3561
ko:K11939	abd:ABTW07_3566
ko:K11939	abd:ABTW07_3567
ko:K07090	abd:ABTW07_3569
ko:K02884	abd:ABTW07_3573
ko:K00554	abd:ABTW07_3574
ko:K02860	abd:ABTW07_3575
ko:K02959	abd:ABTW07_3576
ko:K02655	abd:ABTW07_3577
ko:K02655	abd:ABTW07_3578
ko:K02672	abd:ABTW07_3581
ko:K02671	abd:ABTW07_3582
ko:K08084	abd:ABTW07_3583
ko:K03527	abd:ABTW07_3584
ko:K00942	abd:ABTW07_3585
ko:K03060	abd:ABTW07_3586
ko:K02192	abd:ABTW07_3589
ko:K00003	abd:ABTW07_0292
ko:K03981	abd:ABTW07_0293
ko:K04758	abd:ABTW07_0295
ko:K04759	abd:ABTW07_0296
ko:K01925	abd:ABTW07_0298
ko:K03588	abd:ABTW07_0299
ko:K01894	abd:ABTW07_0300
ko:K06204	abd:ABTW07_0301
ko:K03651	abd:ABTW07_0302
ko:K03147	abd:ABTW07_0304
ko:K12340	abd:ABTW07_0308
ko:K02039	abd:ABTW07_0309
ko:K01755	abd:ABTW07_0311
ko:K08082	abd:ABTW07_0312
ko:K08083	abd:ABTW07_0313
ko:K01749	abd:ABTW07_0314
ko:K07107	abd:ABTW07_0318
ko:K02452	abd:ABTW07_0321
ko:K02453	abd:ABTW07_0322
ko:K01091	abd:ABTW07_0324
ko:K01657	abd:ABTW07_0325
ko:K02358	abd:ABTW07_0326
ko:K03073	abd:ABTW07_0327
ko:K02601	abd:ABTW07_0328
ko:K02867	abd:ABTW07_0329
ko:K02863	abd:ABTW07_0330
ko:K02864	abd:ABTW07_0331
ko:K02935	abd:ABTW07_0332
ko:K03043	abd:ABTW07_0333
ko:K03046	abd:ABTW07_0334
ko:K07084	abd:ABTW07_0339
ko:K07275	abd:ABTW07_0340
ko:K04079	abd:ABTW07_0342
ko:K03760	abd:ABTW07_1201
ko:K07347	abd:ABTW07_1226
ko:K07345	abd:ABTW07_1228
ko:K01012	abd:ABTW07_1231
ko:K01159	abd:ABTW07_1234
ko:K03823	abd:ABTW07_1236
ko:K07113	abd:ABTW07_1238
ko:K00948	abd:ABTW07_2078
ko:K02013	abd:ABTW07_2082
ko:K02015	abd:ABTW07_2083
ko:K02016	abd:ABTW07_2084
ko:K13979	abd:ABTW07_2086
ko:K03543	abd:ABTW07_2099
ko:K09936	abd:ABTW07_2110
ko:K09936	abd:ABTW07_2111
ko:K03710	abd:ABTW07_2115
ko:K15125	abd:ABTW07_2122
ko:K00931	abd:ABTW07_2949
ko:K03979	abd:ABTW07_2950
ko:K00134	abd:ABTW07_2953
ko:K05786	abd:ABTW07_2954
ko:K03098	abd:ABTW07_2955
ko:K03702	abd:ABTW07_2956
ko:K00812	abd:ABTW07_2960
ko:K06169	abd:ABTW07_2965
ko:K03474	abd:ABTW07_2966
ko:K03584	abd:ABTW07_2967
ko:K03685	abd:ABTW07_2970
ko:K03100	abd:ABTW07_2972
ko:K03596	abd:ABTW07_2973
ko:K07107	abd:ABTW07_2974
ko:K00278	abd:ABTW07_2976
ko:K00943	abd:ABTW07_2978
ko:K07082	abd:ABTW07_2979
ko:K02048	abd:ABTW07_2981
ko:K07002	abd:ABTW07_2982
ko:K02046	abd:ABTW07_2983
ko:K02047	abd:ABTW07_2984
ko:K02045	abd:ABTW07_2985
ko:K13635	abd:ABTW07_2986
ko:K10026	abd:ABTW07_2989
ko:K06920	abd:ABTW07_2990
ko:K03564	abd:ABTW07_2993
ko:K07552	abd:ABTW07_2998
ko:K01952	abd:ABTW07_2999
ko:K00820	abd:ABTW07_3801
ko:K01776	abd:ABTW07_3802
ko:K01091	abd:ABTW07_3803
ko:K01468	abd:ABTW07_3806
ko:K01745	abd:ABTW07_3808
ko:K01712	abd:ABTW07_3809
ko:K09975	abd:ABTW07_3810
ko:K05836	abd:ABTW07_3811
ko:K01555	abd:ABTW07_3816
ko:K00457	abd:ABTW07_3820
ko:K03453	abd:ABTW07_3823
ko:K08281	abd:ABTW07_3824
ko:K01714	abd:ABTW07_3825
ko:K01923	abd:ABTW07_3827
ko:K07478	abd:ABTW07_3830
ko:K09160	abd:ABTW07_3832
ko:K03575	abd:ABTW07_3836
ko:K01246	abd:ABTW07_3839
ko:K12957	abd:ABTW07_3840
ko:K06222	abd:ABTW07_3844
ko:K00215	abd:ABTW07_3847
ko:K03686	abd:ABTW07_3849
ko:K01595	abd:ABTW07_3854
ko:K07391	abd:ABTW07_0224
ko:K11939	abd:ABTW07_1425
ko:K10716	abd:ABTW07_2519
ko:K12262	abd:ABTW07_1336
ko:K00020	abd:ABTW07_0130
ko:K03327	abd:ABTW07_3822
ko:K03071	abd:ABTW07_0566
ko:K06949	abd:ABTW07_0569
ko:K13288	abd:ABTW07_0570
ko:K00208	abd:ABTW07_0572
ko:K05685	abd:ABTW07_0574
ko:K13888	abd:ABTW07_0575
ko:K02340	abd:ABTW07_0576
ko:K03643	abd:ABTW07_0577
ko:K01869	abd:ABTW07_0578
ko:K01652	abd:ABTW07_0580
ko:K01653	abd:ABTW07_0581
ko:K00053	abd:ABTW07_0582
ko:K02837	abd:ABTW07_0587
ko:K03424	abd:ABTW07_0590
ko:K01681	abd:ABTW07_0591
ko:K05539	abd:ABTW07_0596
ko:K00324	abd:ABTW07_0600
ko:K00324	abd:ABTW07_0601
ko:K00325	abd:ABTW07_0602
ko:K09710	abd:ABTW07_0604
ko:K07678	abd:ABTW07_0608
ko:K12339	abd:ABTW07_0609
ko:K07501	abd:ABTW07_0610
ko:K03215	abd:ABTW07_0611
ko:K02237	abd:ABTW07_0615
ko:K00950	abd:ABTW07_0617
ko:K00606	abd:ABTW07_0618
ko:K01918	abd:ABTW07_0619
ko:K06958	abd:ABTW07_0620
ko:K11896	abd:ABTW07_1472
ko:K11895	abd:ABTW07_1473
ko:K11891	abd:ABTW07_1475
ko:K11890	abd:ABTW07_1476
ko:K11907	abd:ABTW07_1479
ko:K11902	abd:ABTW07_1480
ko:K11893	abd:ABTW07_1481
ko:K11892	abd:ABTW07_1482
ko:K03449	abd:ABTW07_1488
ko:K09927	abd:ABTW07_1489
ko:K09765	abd:ABTW07_1491
ko:K13639	abd:ABTW07_1492
ko:K09712	abd:ABTW07_1493
ko:K12658	abd:ABTW07_1497
ko:K01752	abd:ABTW07_1505
ko:K02618	abd:ABTW07_1506
ko:K02609	abd:ABTW07_1507
ko:K02610	abd:ABTW07_1508
ko:K02611	abd:ABTW07_1509
ko:K02612	abd:ABTW07_1510
ko:K02613	abd:ABTW07_1511
ko:K15866	abd:ABTW07_1513
ko:K00074	abd:ABTW07_1514
ko:K01912	abd:ABTW07_1516
ko:K02616	abd:ABTW07_1517
ko:K03781	abd:ABTW07_1525
ko:K07001	abd:ABTW07_3229
ko:K07340	abd:ABTW07_3230
ko:K00795	abd:ABTW07_3233
ko:K05523	abd:ABTW07_3236
ko:K06153	abd:ABTW07_3239
ko:K02616	abd:ABTW07_3240
ko:K06076	abd:ABTW07_3244
ko:K02203	abd:ABTW07_3245
ko:K00390	abd:ABTW07_3246
ko:K08301	abd:ABTW07_3249
ko:K06287	abd:ABTW07_3250
ko:K03571	abd:ABTW07_3251
ko:K03570	abd:ABTW07_3252
ko:K03569	abd:ABTW07_3253
ko:K02435	abd:ABTW07_3254
ko:K02434	abd:ABTW07_3256
ko:K05520	abd:ABTW07_3258
ko:K01754	abd:ABTW07_3263
ko:K07001	abd:ABTW07_3264
ko:K03310	abd:ABTW07_3265
ko:K07552	abd:ABTW07_3269
ko:K02226	abd:ABTW07_1903
ko:K09889	abd:ABTW07_0622
ko:K01868	abd:ABTW07_0624
ko:K02520	abd:ABTW07_0625
ko:K02916	abd:ABTW07_0629
ko:K02887	abd:ABTW07_0630
ko:K01889	abd:ABTW07_0634
ko:K01890	abd:ABTW07_0635
ko:K04764	abd:ABTW07_0636
ko:K03628	abd:ABTW07_0638
ko:K03671	abd:ABTW07_0639
ko:K01524	abd:ABTW07_0640
ko:K01962	abd:ABTW07_0641
ko:K04075	abd:ABTW07_0642
ko:K00286	abd:ABTW07_0643
ko:K02221	abd:ABTW07_0644
ko:K04754	abd:ABTW07_0656
ko:K03092	abd:ABTW07_0658
ko:K05808	abd:ABTW07_0659
ko:K00790	abd:ABTW07_0661
ko:K00765	abd:ABTW07_0662
ko:K00013	abd:ABTW07_0663
ko:K00817	abd:ABTW07_0664
ko:K01665	abd:ABTW07_0665
ko:K01118	abd:ABTW07_1539
ko:K02624	abd:ABTW07_1540
ko:K00481	abd:ABTW07_1541
ko:K02012	abd:ABTW07_1543
ko:K02011	abd:ABTW07_1545
ko:K03430	abd:ABTW07_1547
ko:K05306	abd:ABTW07_1548
ko:K08196	abd:ABTW07_1549
ko:K06446	abd:ABTW07_1550
ko:K00459	abd:ABTW07_1554
ko:K00074	abd:ABTW07_1558
ko:K06446	abd:ABTW07_1561
ko:K08196	abd:ABTW07_1562
ko:K01031	abd:ABTW07_1563
ko:K01032	abd:ABTW07_1564
ko:K04090	abd:ABTW07_1570
ko:K01640	abd:ABTW07_1572
ko:K01968	abd:ABTW07_1573
ko:K13766	abd:ABTW07_1574
ko:K01969	abd:ABTW07_1575
ko:K15256	abd:ABTW07_1579
ko:K10857	abd:ABTW07_2424
ko:K00075	abd:ABTW07_2441
ko:K07107	abd:ABTW07_2445
ko:K01114	abd:ABTW07_2446
ko:K02343	abd:ABTW07_2448
ko:K11250	abd:ABTW07_2458
ko:K05782	abd:ABTW07_2460
ko:K07507	abd:ABTW07_2461
ko:K01531	abd:ABTW07_2462
ko:K09790	abd:ABTW07_3275
ko:K09977	abd:ABTW07_3276
ko:K01881	abd:ABTW07_3287
ko:K09946	abd:ABTW07_3288
ko:K06193	abd:ABTW07_3289
ko:K06980	abd:ABTW07_3292
ko:K03981	abd:ABTW07_3293
ko:K07088	abd:ABTW07_3295
ko:K03652	abd:ABTW07_3298
ko:K03282	abd:ABTW07_3302
ko:K06207	abd:ABTW07_3303
ko:K14415	abd:ABTW07_3307
ko:K08084	abd:ABTW07_3310
ko:K00381	abd:ABTW07_3315
ko:K00117	abd:ABTW07_3316
ko:K07267	abd:ABTW07_3317
ko:K11068	abd:ABTW07_3327
ko:K15984	abd:ABTW07_0677
ko:K01070	abd:ABTW07_0679
ko:K09956	abd:ABTW07_0680
ko:K01783	abd:ABTW07_0681
ko:K07233	abd:ABTW07_0685
ko:K00620	abd:ABTW07_0689
ko:K03517	abd:ABTW07_0690
ko:K00252	abd:ABTW07_0694
ko:K08196	abd:ABTW07_0695
ko:K13795	abd:ABTW07_0697
ko:K13796	abd:ABTW07_0698
ko:K13794	abd:ABTW07_0699
ko:K03288	abd:ABTW07_0701
ko:K00549	abd:ABTW07_0710
ko:K09024	abd:ABTW07_0711
ko:K05358	abd:ABTW07_0719
ko:K03781	abd:ABTW07_1590
ko:K06975	abd:ABTW07_1601
ko:K02029	abd:ABTW07_1602
ko:K11717	abd:ABTW07_1609
ko:K00640	abd:ABTW07_1611
ko:K00375	abd:ABTW07_1620
ko:K07734	abd:ABTW07_1621
ko:K13929	abd:ABTW07_1624
ko:K13930	abd:ABTW07_1625
ko:K13932	abd:ABTW07_1626
ko:K13933	abd:ABTW07_1627
ko:K13934	abd:ABTW07_1628
ko:K13935	abd:ABTW07_1629
ko:K13928	abd:ABTW07_1632
ko:K00426	abd:ABTW07_1634
ko:K00425	abd:ABTW07_1635
ko:K07275	abd:ABTW07_2469
ko:K03824	abd:ABTW07_2471
ko:K01256	abd:ABTW07_2485
ko:K00878	abd:ABTW07_2488
ko:K13652	abd:ABTW07_2489
ko:K13954	abd:ABTW07_2492
ko:K03735	abd:ABTW07_2497
ko:K03736	abd:ABTW07_2498
ko:K01951	abd:ABTW07_2499
ko:K01886	abd:ABTW07_2500
ko:K03269	abd:ABTW07_2502
ko:K10679	abd:ABTW07_2503
ko:K03666	abd:ABTW07_2505
ko:K00791	abd:ABTW07_2506
ko:K03572	abd:ABTW07_2507
ko:K06925	abd:ABTW07_2508
ko:K03576	abd:ABTW07_2515
ko:K03070	abd:ABTW07_3330
ko:K11754	abd:ABTW07_3335
ko:K01963	abd:ABTW07_3336
ko:K01695	abd:ABTW07_3337
ko:K07044	abd:ABTW07_3339
ko:K01696	abd:ABTW07_3342
ko:K01817	abd:ABTW07_3343
ko:K00798	abd:ABTW07_3345
ko:K01126	abd:ABTW07_3346
ko:K07664	abd:ABTW07_3350
ko:K07642	abd:ABTW07_3351
ko:K01876	abd:ABTW07_3363
ko:K07276	abd:ABTW07_3373
ko:K00826	abd:ABTW07_3374
ko:K00982	abd:ABTW07_3375
ko:K07568	abd:ABTW07_3377
ko:K03744	abd:ABTW07_3379
ko:K00773	abd:ABTW07_3380
ko:K03210	abd:ABTW07_3381
ko:K14227	abd:ABTW07_tRNA1
ko:K14227	abd:ABTW07_tRNA8
ko:K14227	abd:ABTW07_tRNA35
ko:K14227	abd:ABTW07_tRNA37
ko:K16135	abd:ABTW07_0832
ko:K14232	abd:ABTW07_tRNA10
ko:K14232	abd:ABTW07_tRNA13
ko:K14234	abd:ABTW07_tRNA5
ko:K14225	abd:ABTW07_tRNA4
ko:K14236	abd:ABTW07_tRNA3
ko:K14226	abd:ABTW07_tRNA12
ko:K14230	abd:ABTW07_tRNA14
ko:K14230	abd:ABTW07_tRNA15
ko:K14219	abd:ABTW07_tRNA18
ko:K14233	abd:ABTW07_tRNA17
ko:K14233	abd:ABTW07_tRNA28
ko:K14230	abd:ABTW07_tRNA16
ko:K14230	abd:ABTW07_tRNA20
ko:K14219	abd:ABTW07_tRNA22
ko:K14237	abd:ABTW07_tRNA26
ko:K14222	abd:ABTW07_tRNA29
ko:K14228	abd:ABTW07_tRNA30
ko:K14228	abd:ABTW07_tRNA31
ko:K14219	abd:ABTW07_tRNA32
ko:K14228	abd:ABTW07_tRNA33
ko:K16092	abd:ABTW07_3344
ko:K16090	abd:ABTW07_0515
ko:K16088	abd:ABTW07_2470
ko:K14218	abd:ABTW07_tRNA2
ko:K14218	abd:ABTW07_tRNA9
ko:K14218	abd:ABTW07_tRNA34
ko:K14218	abd:ABTW07_tRNA36
ko:K14233	abd:ABTW07_tRNA38
ko:K14218	abd:ABTW07_tRNA39
ko:K14231	abd:ABTW07_tRNA40
ko:K14233	abd:ABTW07_tRNA41
ko:K14234	abd:ABTW07_tRNA42
ko:K01980	abd:ABTW07_rRNA11
ko:K01980	abd:ABTW07_rRNA8
ko:K01980	abd:ABTW07_rRNA5
ko:K01980	abd:ABTW07_rRNA2
ko:K14235	abd:ABTW07_tRNA21
ko:K16088	abd:ABTW07_1910
ko:K16137	abd:ABTW07_3698
ko:K07347	abd:ABTW07_1738
ko:K07345	abd:ABTW07_1740
ko:K01012	abd:ABTW07_1743
ko:K01159	abd:ABTW07_1746
ko:K03823	abd:ABTW07_1748
ko:K07113	abd:ABTW07_1750
ko:K03733	abd:ABTW07_3162
ko:K02014	abd:ABTW07_3729
ko:K02014	abd:ABTW07_2830
ko:K02014	abd:ABTW07_0191
ko:K00130	abd:ABTW07_1018
ko:K00130	abd:ABTW07_1298
ko:K02014	abd:ABTW07_1895
ko:K01985	abd:ABTW07_rRNA3
ko:K01985	abd:ABTW07_rRNA6
ko:K01985	abd:ABTW07_rRNA10
ko:K01985	abd:ABTW07_rRNA7
ko:K14230	abd:ABTW07_tRNA19
ko:K07666	abd:ABTW07_3224
ko:K03767	abd:ABTW07_0045
ko:K16087	abd:ABTW07_1004
ko:K02029	abd:ABTW07_1603
ko:K02028	abd:ABTW07_1604
ko:K02030	abd:ABTW07_1606
ko:K03320	abd:ABTW07_3221
ko:K05794	abd:ABTW07_0027
ko:K01243	abd:ABTW07_0053
ko:K09966	abd:ABTW07_1806
ko:K11085	abd:ABTW07_1819
ko:K00657	abd:ABTW07_1845
ko:K02014	abd:ABTW07_1850
ko:K02033	abd:ABTW07_1854
ko:K02454	abd:ABTW07_2681
ko:K08305	abd:ABTW07_2708
ko:K06445	abd:ABTW07_2722
ko:K01607	abd:ABTW07_2723
ko:K00974	abd:ABTW07_2730
ko:K00058	abd:ABTW07_3565
ko:K03177	abd:ABTW07_3570
ko:K02674	abd:ABTW07_3579
ko:K02428	abd:ABTW07_0509
ko:K03299	abd:ABTW07_0526
ko:K00851	abd:ABTW07_0527
ko:K00647	abd:ABTW07_0560
ko:K00059	abd:ABTW07_0562
ko:K05524	abd:ABTW07_1421
ko:K07025	abd:ABTW07_1436
ko:K11263	abd:ABTW07_1447
ko:K07126	abd:ABTW07_1449
ko:K01941	abd:ABTW07_1457
ko:K02051	abd:ABTW07_1463
ko:K02050	abd:ABTW07_1465
ko:K01679	abd:ABTW07_2317
ko:K01784	abd:ABTW07_2318
ko:K11179	abd:ABTW07_2322
ko:K03635	abd:ABTW07_2328
ko:K03316	abd:ABTW07_3170
ko:K07054	abd:ABTW07_3171
