ko:K07050	bsg:IY72_04970
ko:K02033	bsg:IY72_07615
ko:K02034	bsg:IY72_07620
ko:K01426	bsg:IY72_07640
ko:K11078	bsg:IY72_07655
ko:K01845	bsg:IY72_07675
ko:K01628	bsg:IY72_07685
ko:K03777	bsg:IY72_07705
ko:K00076	bsg:IY72_07725
ko:K16079	bsg:IY72_07745
ko:K05879	bsg:IY72_07765
ko:K05878	bsg:IY72_07770
ko:K00088	bsg:IY72_12360
ko:K04761	bsg:IY72_12370
ko:K03781	bsg:IY72_12375
ko:K03500	bsg:IY72_12390
ko:K01243	bsg:IY72_12400
ko:K01951	bsg:IY72_12405
ko:K07733	bsg:IY72_12415
ko:K07230	bsg:IY72_12515
ko:K07243	bsg:IY72_12525
ko:K00925	bsg:IY72_12540
ko:K01999	bsg:IY72_12565
ko:K01997	bsg:IY72_12570
ko:K01995	bsg:IY72_12580
ko:K01998	bsg:IY72_12580
ko:K01996	bsg:IY72_12585
ko:K00059	bsg:IY72_12590
ko:K00014	bsg:IY72_12595
ko:K00135	bsg:IY72_12605
ko:K01999	bsg:IY72_12610
ko:K01714	bsg:IY72_12640
ko:K02034	bsg:IY72_12645
ko:K02033	bsg:IY72_12650
ko:K02035	bsg:IY72_12655
ko:K01997	bsg:IY72_17150
ko:K01998	bsg:IY72_17155
ko:K01995	bsg:IY72_17160
ko:K01996	bsg:IY72_17165
ko:K00059	bsg:IY72_17175
ko:K11381	bsg:IY72_17185
ko:K00627	bsg:IY72_17190
ko:K00014	bsg:IY72_17195
ko:K01531	bsg:IY72_17205
ko:K07507	bsg:IY72_17215
ko:K13589	bsg:IY72_17235
ko:K01048	bsg:IY72_17250
ko:K02408	bsg:IY72_09600
ko:K02392	bsg:IY72_09605
ko:K02386	bsg:IY72_09610
ko:K02394	bsg:IY72_09615
ko:K02393	bsg:IY72_09625
ko:K02415	bsg:IY72_09630
ko:K02419	bsg:IY72_09635
ko:K09709	bsg:IY72_09665
ko:K01644	bsg:IY72_09670
ko:K08738	bsg:IY72_09695
ko:K09794	bsg:IY72_09700
ko:K00104	bsg:IY72_09730
ko:K11472	bsg:IY72_09735
ko:K11473	bsg:IY72_09740
ko:K06221	bsg:IY72_09745
ko:K01246	bsg:IY72_09755
ko:K01892	bsg:IY72_09765
ko:K02502	bsg:IY72_09770
ko:K00765	bsg:IY72_09775
ko:K15977	bsg:IY72_09790
ko:K01679	bsg:IY72_09795
ko:K04077	bsg:IY72_09805
ko:K04078	bsg:IY72_09810
ko:K11753	bsg:IY72_09820
ko:K01870	bsg:IY72_09825
ko:K12262	bsg:IY72_09835
ko:K06178	bsg:IY72_09845
ko:K08316	bsg:IY72_09850
ko:K07263	bsg:IY72_09860
ko:K07263	bsg:IY72_09865
ko:K07001	bsg:IY72_09870
ko:K03455	bsg:IY72_09875
ko:K03592	bsg:IY72_09885
ko:K01092	bsg:IY72_09890
ko:K09778	bsg:IY72_09900
ko:K02527	bsg:IY72_09905
ko:K00912	bsg:IY72_09910
ko:K03572	bsg:IY72_09920
ko:K02899	bsg:IY72_14485
ko:K02888	bsg:IY72_14490
ko:K14588	bsg:IY72_14505
ko:K04756	bsg:IY72_14520
ko:K03386	bsg:IY72_14525
ko:K04761	bsg:IY72_14530
ko:K00010	bsg:IY72_14540
ko:K03336	bsg:IY72_14555
ko:K03335	bsg:IY72_14560
ko:K01092	bsg:IY72_14570
ko:K02010	bsg:IY72_14575
ko:K02011	bsg:IY72_14580
ko:K02012	bsg:IY72_14585
ko:K13821	bsg:IY72_14590
ko:K03719	bsg:IY72_14595
ko:K00281	bsg:IY72_14600
ko:K02437	bsg:IY72_14605
ko:K00605	bsg:IY72_14610
ko:K01915	bsg:IY72_14635
ko:K02002	bsg:IY72_14660
ko:K02001	bsg:IY72_14665
ko:K02000	bsg:IY72_14670
ko:K10112	bsg:IY72_14695
ko:K02027	bsg:IY72_14705
ko:K02025	bsg:IY72_14710
ko:K02026	bsg:IY72_14715
ko:K02013	bsg:IY72_14730
ko:K02015	bsg:IY72_14735
ko:K02016	bsg:IY72_14740
ko:K06075	bsg:IY72_14760
ko:K09761	bsg:IY72_14765
ko:K01919	bsg:IY72_14770
ko:K00643	bsg:IY72_01425
ko:K06518	bsg:IY72_01455
ko:K01918	bsg:IY72_01470
ko:K00606	bsg:IY72_01475
ko:K00528	bsg:IY72_01485
ko:K13747	bsg:IY72_01495
ko:K03327	bsg:IY72_01510
ko:K14977	bsg:IY72_01545
ko:K13481	bsg:IY72_01560
ko:K02108	bsg:IY72_01710
ko:K02110	bsg:IY72_01715
ko:K02109	bsg:IY72_01720
ko:K02109	bsg:IY72_01725
ko:K03470	bsg:IY72_01730
ko:K00919	bsg:IY72_01755
ko:K03313	bsg:IY72_01770
ko:K02523	bsg:IY72_01790
ko:K01878	bsg:IY72_01800
ko:K01879	bsg:IY72_01810
ko:K07566	bsg:IY72_01815
ko:K01945	bsg:IY72_01855
ko:K03558	bsg:IY72_02020
ko:K04485	bsg:IY72_02025
ko:K00574	bsg:IY72_02035
ko:K02939	bsg:IY72_02040
ko:K02963	bsg:IY72_02050
ko:K02990	bsg:IY72_02055
ko:K00645	bsg:IY72_02060
ko:K00059	bsg:IY72_02065
ko:K02078	bsg:IY72_02070
ko:K09458	bsg:IY72_02075
ko:K07082	bsg:IY72_02085
ko:K00942	bsg:IY72_02095
ko:K03568	bsg:IY72_02100
ko:K02274	bsg:IY72_02115
ko:K02258	bsg:IY72_02130
ko:K02276	bsg:IY72_02135
ko:K14998	bsg:IY72_02145
ko:K03527	bsg:IY72_02150
ko:K02204	bsg:IY72_02155
ko:K03469	bsg:IY72_02160
ko:K01711	bsg:IY72_02385
ko:K07039	bsg:IY72_02410
ko:K01840	bsg:IY72_02485
ko:K01354	bsg:IY72_02630
ko:K02433	bsg:IY72_02655
ko:K02426	bsg:IY72_02660
ko:K11357	bsg:IY72_02675
ko:K06980	bsg:IY72_03110
ko:K01465	bsg:IY72_03115
ko:K06895	bsg:IY72_03145
ko:K01883	bsg:IY72_03155
ko:K01649	bsg:IY72_03160
ko:K05786	bsg:IY72_03165
ko:K02528	bsg:IY72_03175
ko:K00097	bsg:IY72_03180
ko:K03771	bsg:IY72_03185
ko:K04744	bsg:IY72_03190
ko:K11720	bsg:IY72_03195
ko:K07091	bsg:IY72_03200
ko:K01255	bsg:IY72_03205
ko:K02339	bsg:IY72_03210
ko:K06158	bsg:IY72_03220
ko:K00940	bsg:IY72_03230
ko:K09914	bsg:IY72_03235
ko:K03635	bsg:IY72_03240
ko:K03636	bsg:IY72_03245
ko:K03703	bsg:IY72_03255
ko:K16079	bsg:IY72_03265
ko:K01760	bsg:IY72_03455
ko:K09969	bsg:IY72_03465
ko:K09970	bsg:IY72_03470
ko:K09971	bsg:IY72_03475
ko:K09972	bsg:IY72_03480
ko:K00480	bsg:IY72_03485
ko:K00937	bsg:IY72_03495
ko:K01524	bsg:IY72_03500
ko:K03684	bsg:IY72_03505
ko:K01876	bsg:IY72_03510
ko:K02621	bsg:IY72_03520
ko:K01698	bsg:IY72_03535
ko:K00600	bsg:IY72_03560
ko:K00145	bsg:IY72_03670
ko:K00330	bsg:IY72_03750
ko:K00331	bsg:IY72_03755
ko:K00332	bsg:IY72_03760
ko:K00333	bsg:IY72_03765
ko:K00334	bsg:IY72_03770
ko:K00337	bsg:IY72_03785
ko:K00338	bsg:IY72_03790
ko:K00339	bsg:IY72_03795
ko:K00340	bsg:IY72_03800
ko:K00341	bsg:IY72_03805
ko:K00342	bsg:IY72_03810
ko:K00343	bsg:IY72_03815
ko:K03524	bsg:IY72_03820
ko:K12574	bsg:IY72_03825
ko:K05606	bsg:IY72_03830
ko:K01881	bsg:IY72_03840
ko:K09808	bsg:IY72_03845
ko:K09810	bsg:IY72_03850
ko:K02337	bsg:IY72_03860
ko:K00874	bsg:IY72_04010
ko:K06162	bsg:IY72_04020
ko:K05539	bsg:IY72_04035
ko:K06985	bsg:IY72_04040
ko:K06938	bsg:IY72_04045
ko:K02950	bsg:IY72_05885
ko:K03046	bsg:IY72_05895
ko:K03043	bsg:IY72_05900
ko:K02935	bsg:IY72_05905
ko:K02864	bsg:IY72_05910
ko:K02863	bsg:IY72_05915
ko:K02867	bsg:IY72_05920
ko:K02601	bsg:IY72_05925
ko:K03073	bsg:IY72_05930
ko:K03218	bsg:IY72_05955
ko:K03642	bsg:IY72_10510
ko:K09790	bsg:IY72_10515
ko:K02040	bsg:IY72_10520
ko:K02037	bsg:IY72_10525
ko:K02038	bsg:IY72_10530
ko:K02036	bsg:IY72_10535
ko:K02039	bsg:IY72_10540
ko:K07657	bsg:IY72_10545
ko:K04047	bsg:IY72_10565
ko:K03789	bsg:IY72_10575
ko:K06168	bsg:IY72_10585
ko:K07042	bsg:IY72_10595
ko:K03820	bsg:IY72_10605
ko:K00789	bsg:IY72_10615
ko:K03439	bsg:IY72_10620
ko:K09748	bsg:IY72_10625
ko:K02600	bsg:IY72_10630
ko:K07742	bsg:IY72_10635
ko:K02519	bsg:IY72_10640
ko:K02834	bsg:IY72_10645
ko:K03177	bsg:IY72_10650
ko:K02956	bsg:IY72_10655
ko:K00962	bsg:IY72_10660
ko:K00564	bsg:IY72_10665
ko:K00208	bsg:IY72_10670
ko:K00647	bsg:IY72_10675
ko:K01716	bsg:IY72_10680
ko:K09826	bsg:IY72_10685
ko:K02073	bsg:IY72_10690
ko:K01255	bsg:IY72_10720
ko:K10563	bsg:IY72_10730
ko:K01692	bsg:IY72_10735
ko:K02968	bsg:IY72_10745
ko:K02313	bsg:IY72_10750
ko:K02338	bsg:IY72_10755
ko:K03629	bsg:IY72_10760
ko:K12972	bsg:IY72_10770
ko:K13896	bsg:IY72_10775
ko:K13895	bsg:IY72_10780
ko:K13894	bsg:IY72_10785
ko:K13893	bsg:IY72_10790
ko:K10778	bsg:IY72_15385
ko:K00052	bsg:IY72_15390
ko:K09791	bsg:IY72_15395
ko:K07157	bsg:IY72_15400
ko:K05838	bsg:IY72_15405
ko:K06886	bsg:IY72_15425
ko:K01476	bsg:IY72_15435
ko:K10680	bsg:IY72_15445
ko:K06959	bsg:IY72_15455
ko:K00128	bsg:IY72_15475
ko:K01433	bsg:IY72_15480
ko:K01443	bsg:IY72_15490
ko:K00820	bsg:IY72_15495
ko:K03710	bsg:IY72_15500
ko:K00101	bsg:IY72_15535
ko:K01775	bsg:IY72_15550
ko:K00285	bsg:IY72_15555
ko:K00822	bsg:IY72_15565
ko:K05836	bsg:IY72_15570
ko:K01468	bsg:IY72_15585
ko:K01745	bsg:IY72_15590
ko:K01479	bsg:IY72_15595
ko:K01712	bsg:IY72_15600
ko:K09975	bsg:IY72_15605
ko:K00824	bsg:IY72_15610
ko:K10547	bsg:IY72_15615
ko:K10548	bsg:IY72_15620
ko:K10546	bsg:IY72_15630
ko:K01631	bsg:IY72_15635
ko:K00883	bsg:IY72_15640
ko:K01687	bsg:IY72_15645
ko:K01652	bsg:IY72_15675
ko:K01266	bsg:IY72_15685
ko:K02233	bsg:IY72_04050
ko:K00768	bsg:IY72_04055
ko:K05800	bsg:IY72_04060
ko:K07126	bsg:IY72_04075
ko:K01142	bsg:IY72_04080
ko:K01129	bsg:IY72_04095
ko:K01887	bsg:IY72_04100
ko:K01207	bsg:IY72_04110
ko:K05896	bsg:IY72_04115
ko:K06024	bsg:IY72_04120
ko:K03116	bsg:IY72_04125
ko:K03117	bsg:IY72_04130
ko:K03118	bsg:IY72_04135
ko:K01875	bsg:IY72_04140
ko:K03787	bsg:IY72_04145
ko:K00573	bsg:IY72_04150
ko:K05879	bsg:IY72_07780
ko:K05878	bsg:IY72_07785
ko:K17205	bsg:IY72_07795
ko:K17206	bsg:IY72_07800
ko:K17207	bsg:IY72_07805
ko:K00135	bsg:IY72_07865
ko:K01247	bsg:IY72_07890
ko:K01894	bsg:IY72_07895
ko:K01638	bsg:IY72_07900
ko:K03823	bsg:IY72_07905
ko:K03089	bsg:IY72_07910
ko:K06180	bsg:IY72_07915
ko:K03711	bsg:IY72_07930
ko:K03088	bsg:IY72_07955
ko:K03561	bsg:IY72_07990
ko:K03559	bsg:IY72_07995
ko:K03832	bsg:IY72_08000
ko:K05685	bsg:IY72_08015
ko:K13888	bsg:IY72_08020
ko:K05800	bsg:IY72_08035
ko:K01939	bsg:IY72_08070
ko:K00058	bsg:IY72_08080
ko:K00831	bsg:IY72_08090
ko:K03453	bsg:IY72_08095
ko:K17948	bsg:IY72_12675
ko:K01991	bsg:IY72_12700
ko:K02377	bsg:IY72_12705
ko:K01711	bsg:IY72_12710
ko:K16079	bsg:IY72_12735
ko:K03818	bsg:IY72_12740
ko:K02851	bsg:IY72_12765
ko:K01845	bsg:IY72_12790
ko:K01790	bsg:IY72_12810
ko:K00978	bsg:IY72_12820
ko:K00864	bsg:IY72_12840
ko:K08224	bsg:IY72_12845
ko:K07305	bsg:IY72_12855
ko:K00626	bsg:IY72_12865
ko:K01895	bsg:IY72_12875
ko:K00058	bsg:IY72_12890
ko:K01462	bsg:IY72_12895
ko:K09781	bsg:IY72_12905
ko:K07112	bsg:IY72_12915
ko:K07112	bsg:IY72_12920
ko:K01993	bsg:IY72_12940
ko:K01990	bsg:IY72_12950
ko:K02050	bsg:IY72_12965
ko:K00640	bsg:IY72_05990
ko:K09005	bsg:IY72_06000
ko:K03704	bsg:IY72_06010
ko:K01759	bsg:IY72_06020
ko:K07462	bsg:IY72_06030
ko:K01921	bsg:IY72_06035
ko:K11532	bsg:IY72_06040
ko:K00003	bsg:IY72_06045
ko:K14261	bsg:IY72_06050
ko:K09956	bsg:IY72_06075
ko:K06206	bsg:IY72_06080
ko:K01265	bsg:IY72_06085
ko:K03630	bsg:IY72_06090
ko:K16079	bsg:IY72_06095
ko:K00595	bsg:IY72_06100
ko:K02229	bsg:IY72_06105
ko:K06042	bsg:IY72_06110
ko:K03394	bsg:IY72_06115
ko:K13541	bsg:IY72_06120
ko:K13786	bsg:IY72_06135
ko:K01999	bsg:IY72_06140
ko:K02227	bsg:IY72_06145
ko:K02225	bsg:IY72_06150
ko:K02224	bsg:IY72_06155
ko:K02303	bsg:IY72_06160
ko:K02188	bsg:IY72_06165
ko:K05895	bsg:IY72_06170
ko:K05936	bsg:IY72_06175
ko:K02189	bsg:IY72_06180
ko:K07090	bsg:IY72_06190
ko:K08978	bsg:IY72_06195
ko:K02230	bsg:IY72_06205
ko:K02234	bsg:IY72_06210
ko:K02231	bsg:IY72_06215
ko:K02232	bsg:IY72_06230
ko:K13893	bsg:IY72_10795
ko:K01999	bsg:IY72_10810
ko:K13766	bsg:IY72_10815
ko:K01640	bsg:IY72_10825
ko:K01968	bsg:IY72_10830
ko:K01969	bsg:IY72_10835
ko:K00253	bsg:IY72_10840
ko:K01907	bsg:IY72_10845
ko:K00800	bsg:IY72_10870
ko:K00945	bsg:IY72_10875
ko:K02945	bsg:IY72_10880
ko:K04080	bsg:IY72_10900
ko:K01620	bsg:IY72_10905
ko:K00265	bsg:IY72_10910
ko:K00266	bsg:IY72_10915
ko:K11737	bsg:IY72_10920
ko:K09795	bsg:IY72_10925
ko:K08305	bsg:IY72_10995
ko:K00963	bsg:IY72_11000
ko:K07340	bsg:IY72_11015
ko:K01772	bsg:IY72_11025
ko:K00808	bsg:IY72_11035
ko:K02619	bsg:IY72_11040
ko:K01665	bsg:IY72_11045
ko:K08602	bsg:IY72_11050
ko:K01625	bsg:IY72_11065
ko:K07146	bsg:IY72_11080
ko:K02020	bsg:IY72_11085
ko:K02018	bsg:IY72_11090
ko:K02017	bsg:IY72_11095
ko:K09969	bsg:IY72_15690
ko:K01999	bsg:IY72_15715
ko:K01995	bsg:IY72_15720
ko:K01996	bsg:IY72_15725
ko:K01997	bsg:IY72_15730
ko:K01998	bsg:IY72_15735
ko:K02073	bsg:IY72_15750
ko:K02071	bsg:IY72_15755
ko:K02072	bsg:IY72_15760
ko:K02970	bsg:IY72_15775
ko:K00325	bsg:IY72_15800
ko:K00324	bsg:IY72_15805
ko:K00324	bsg:IY72_15810
ko:K07010	bsg:IY72_15845
ko:K01470	bsg:IY72_15870
ko:K06999	bsg:IY72_15885
ko:K17247	bsg:IY72_15895
ko:K10440	bsg:IY72_15905
ko:K10440	bsg:IY72_15910
ko:K10441	bsg:IY72_15915
ko:K10439	bsg:IY72_15920
ko:K02014	bsg:IY72_15935
ko:K00799	bsg:IY72_15955
ko:K15736	bsg:IY72_15970
ko:K02342	bsg:IY72_15975
ko:K02433	bsg:IY72_15980
ko:K01977	bsg:IY72_07855
ko:K01977	bsg:IY72_16615
ko:K01980	bsg:IY72_07840
ko:K03431	bsg:IY72_08105
ko:K03798	bsg:IY72_08110
ko:K04075	bsg:IY72_08115
ko:K03640	bsg:IY72_08130
ko:K03641	bsg:IY72_08135
ko:K03560	bsg:IY72_08145
ko:K03562	bsg:IY72_08150
ko:K03551	bsg:IY72_08160
ko:K03550	bsg:IY72_08165
ko:K01159	bsg:IY72_08170
ko:K13592	bsg:IY72_08175
ko:K00788	bsg:IY72_08185
ko:K07126	bsg:IY72_08190
ko:K02356	bsg:IY72_08195
ko:K01092	bsg:IY72_08200
ko:K02557	bsg:IY72_08215
ko:K06147	bsg:IY72_08220
ko:K02909	bsg:IY72_08225
ko:K03523	bsg:IY72_08240
ko:K09706	bsg:IY72_08245
ko:K09769	bsg:IY72_08255
ko:K01934	bsg:IY72_08260
ko:K09888	bsg:IY72_08265
ko:K00615	bsg:IY72_08275
ko:K00134	bsg:IY72_08280
ko:K00927	bsg:IY72_08285
ko:K01908	bsg:IY72_08295
ko:K09987	bsg:IY72_08315
ko:K01588	bsg:IY72_08350
ko:K01589	bsg:IY72_08355
ko:K02919	bsg:IY72_08360
ko:K00873	bsg:IY72_08370
ko:K15738	bsg:IY72_08390
ko:K02049	bsg:IY72_12970
ko:K02051	bsg:IY72_12975
ko:K03885	bsg:IY72_13020
ko:K06996	bsg:IY72_13030
ko:K03310	bsg:IY72_13040
ko:K00651	bsg:IY72_13050
ko:K07273	bsg:IY72_13055
ko:K00648	bsg:IY72_13060
ko:K00833	bsg:IY72_13065
ko:K01935	bsg:IY72_13070
ko:K00652	bsg:IY72_13075
ko:K01012	bsg:IY72_13080
ko:K03831	bsg:IY72_13090
ko:K07078	bsg:IY72_13095
ko:K05559	bsg:IY72_13105
ko:K05560	bsg:IY72_13110
ko:K05561	bsg:IY72_13115
ko:K05562	bsg:IY72_13120
ko:K05563	bsg:IY72_13125
ko:K05564	bsg:IY72_13130
ko:K16013	bsg:IY72_13140
ko:K16012	bsg:IY72_13145
ko:K00425	bsg:IY72_13150
ko:K00426	bsg:IY72_13155
ko:K03710	bsg:IY72_13165
ko:K18676	bsg:IY72_13170
ko:K10117	bsg:IY72_13175
ko:K10118	bsg:IY72_13185
ko:K10119	bsg:IY72_13190
ko:K10111	bsg:IY72_13200
ko:K00166	bsg:IY72_13210
ko:K00167	bsg:IY72_13215
ko:K09699	bsg:IY72_13220
ko:K00382	bsg:IY72_13225
ko:K14998	bsg:IY72_13230
ko:K03466	bsg:IY72_13235
ko:K01266	bsg:IY72_13240
ko:K08369	bsg:IY72_13245
ko:K03919	bsg:IY72_13250
ko:K10823	bsg:IY72_13255
ko:K15583	bsg:IY72_13255
ko:K12257	bsg:IY72_06295
ko:K03455	bsg:IY72_06300
ko:K07027	bsg:IY72_06305
ko:K07002	bsg:IY72_06310
ko:K02047	bsg:IY72_06315
ko:K02046	bsg:IY72_06320
ko:K02048	bsg:IY72_06325
ko:K02431	bsg:IY72_06355
ko:K02056	bsg:IY72_06365
ko:K02057	bsg:IY72_06370
ko:K02058	bsg:IY72_06380
ko:K02013	bsg:IY72_06390
ko:K02015	bsg:IY72_06395
ko:K02016	bsg:IY72_06400
ko:K16092	bsg:IY72_06405
ko:K13926	bsg:IY72_06415
ko:K01993	bsg:IY72_06420
ko:K01430	bsg:IY72_06430
ko:K01429	bsg:IY72_06435
ko:K01428	bsg:IY72_06440
ko:K03187	bsg:IY72_06445
ko:K03188	bsg:IY72_06450
ko:K03189	bsg:IY72_06455
ko:K03190	bsg:IY72_06460
ko:K08717	bsg:IY72_06465
ko:K02009	bsg:IY72_06470
ko:K02007	bsg:IY72_06475
ko:K16915	bsg:IY72_06480
ko:K02008	bsg:IY72_06485
ko:K02006	bsg:IY72_06490
ko:K06199	bsg:IY72_06500
ko:K06998	bsg:IY72_06515
ko:K00053	bsg:IY72_06550
ko:K03549	bsg:IY72_06565
ko:K03474	bsg:IY72_06575
ko:K01653	bsg:IY72_06595
ko:K01426	bsg:IY72_11135
ko:K01581	bsg:IY72_11140
ko:K00033	bsg:IY72_11185
ko:K02052	bsg:IY72_11190
ko:K02053	bsg:IY72_11195
ko:K02054	bsg:IY72_11200
ko:K02055	bsg:IY72_11205
ko:K03543	bsg:IY72_11215
ko:K02401	bsg:IY72_11240
ko:K02410	bsg:IY72_11245
ko:K02410	bsg:IY72_11250
ko:K02417	bsg:IY72_11255
ko:K02416	bsg:IY72_11265
ko:K02556	bsg:IY72_11270
ko:K02391	bsg:IY72_11280
ko:K02412	bsg:IY72_11285
ko:K02387	bsg:IY72_11370
ko:K02388	bsg:IY72_11375
ko:K02408	bsg:IY72_11380
ko:K02392	bsg:IY72_11385
ko:K02386	bsg:IY72_11390
ko:K02394	bsg:IY72_11395
ko:K02034	bsg:IY72_16000
ko:K02033	bsg:IY72_16005
ko:K02035	bsg:IY72_16010
ko:K00059	bsg:IY72_16015
ko:K00128	bsg:IY72_16020
ko:K08169	bsg:IY72_16030
ko:K02914	bsg:IY72_16050
ko:K03536	bsg:IY72_16055
ko:K03217	bsg:IY72_16060
ko:K03978	bsg:IY72_16065
ko:K00930	bsg:IY72_16070
ko:K07025	bsg:IY72_16075
ko:K06966	bsg:IY72_16080
ko:K00674	bsg:IY72_16085
ko:K01439	bsg:IY72_16095
ko:K06173	bsg:IY72_16105
ko:K00604	bsg:IY72_16110
ko:K01462	bsg:IY72_16115
ko:K09760	bsg:IY72_16120
ko:K07401	bsg:IY72_16125
ko:K07461	bsg:IY72_16130
ko:K03596	bsg:IY72_16135
ko:K00329	bsg:IY72_16140
ko:K00356	bsg:IY72_16140
ko:K06153	bsg:IY72_16145
ko:K00799	bsg:IY72_16150
ko:K07261	bsg:IY72_16165
ko:K01734	bsg:IY72_16170
ko:K00845	bsg:IY72_16175
ko:K06147	bsg:IY72_16180
ko:K00215	bsg:IY72_16185
ko:K01834	bsg:IY72_16190
ko:K04719	bsg:IY72_16205
ko:K00154	bsg:IY72_16225
ko:K06131	bsg:IY72_16235
ko:K02837	bsg:IY72_16250
ko:K13038	bsg:IY72_16255
ko:K03688	bsg:IY72_16260
ko:K03183	bsg:IY72_16265
ko:K00761	bsg:IY72_16270
ko:K03745	bsg:IY72_16275
ko:K07304	bsg:IY72_16280
ko:K01652	bsg:IY72_06600
ko:K00791	bsg:IY72_06605
ko:K01079	bsg:IY72_06610
ko:K07007	bsg:IY72_06615
ko:K09937	bsg:IY72_06625
ko:K04087	bsg:IY72_06630
ko:K04088	bsg:IY72_06635
ko:K07552	bsg:IY72_06655
ko:K09985	bsg:IY72_06665
ko:K03657	bsg:IY72_06710
ko:K05805	bsg:IY72_06715
ko:K07152	bsg:IY72_06725
ko:K02687	bsg:IY72_06730
ko:K01262	bsg:IY72_06735
ko:K01972	bsg:IY72_06745
ko:K03631	bsg:IY72_06750
ko:K05807	bsg:IY72_06755
ko:K02535	bsg:IY72_06760
ko:K03531	bsg:IY72_06765
ko:K03590	bsg:IY72_06770
ko:K03589	bsg:IY72_06775
ko:K01921	bsg:IY72_06780
ko:K00075	bsg:IY72_06785
ko:K01924	bsg:IY72_06790
ko:K02563	bsg:IY72_06795
ko:K03588	bsg:IY72_06800
ko:K01925	bsg:IY72_06805
ko:K01000	bsg:IY72_06810
ko:K01929	bsg:IY72_06815
ko:K01928	bsg:IY72_06820
ko:K03587	bsg:IY72_06825
ko:K03438	bsg:IY72_06835
ko:K03322	bsg:IY72_06840
ko:K05801	bsg:IY72_06855
ko:K07273	bsg:IY72_06865
ko:K02393	bsg:IY72_11405
ko:K02415	bsg:IY72_11410
ko:K02419	bsg:IY72_11415
ko:K09709	bsg:IY72_11445
ko:K01644	bsg:IY72_11450
ko:K08738	bsg:IY72_11475
ko:K09794	bsg:IY72_11480
ko:K00104	bsg:IY72_11510
ko:K11472	bsg:IY72_11515
ko:K11473	bsg:IY72_11520
ko:K00949	bsg:IY72_08400
ko:K02064	bsg:IY72_08405
ko:K02063	bsg:IY72_08410
ko:K02062	bsg:IY72_08415
ko:K03089	bsg:IY72_08430
ko:K07736	bsg:IY72_08435
ko:K05524	bsg:IY72_08440
ko:K04762	bsg:IY72_08445
ko:K00626	bsg:IY72_08455
ko:K02911	bsg:IY72_08470
ko:K03814	bsg:IY72_08475
ko:K00795	bsg:IY72_08485
ko:K00019	bsg:IY72_08495
ko:K01958	bsg:IY72_08505
ko:K01999	bsg:IY72_08510
ko:K01999	bsg:IY72_08515
ko:K01995	bsg:IY72_08530
ko:K01998	bsg:IY72_08535
ko:K01997	bsg:IY72_08540
ko:K12658	bsg:IY72_08545
ko:K06075	bsg:IY72_08565
ko:K02114	bsg:IY72_08575
ko:K02112	bsg:IY72_08580
ko:K02115	bsg:IY72_08585
ko:K02111	bsg:IY72_08590
ko:K02113	bsg:IY72_08595
ko:K04066	bsg:IY72_08605
ko:K00616	bsg:IY72_08610
ko:K03643	bsg:IY72_08615
ko:K01869	bsg:IY72_08620
ko:K06997	bsg:IY72_08625
ko:K01895	bsg:IY72_08640
ko:K03799	bsg:IY72_08655
ko:K03500	bsg:IY72_08660
ko:K00602	bsg:IY72_08670
ko:K06902	bsg:IY72_08675
ko:K15371	bsg:IY72_08680
ko:K08988	bsg:IY72_08685
ko:K15582	bsg:IY72_13260
ko:K15581	bsg:IY72_13265
ko:K15580	bsg:IY72_13270
ko:K15580	bsg:IY72_13275
ko:K00012	bsg:IY72_13315
ko:K07039	bsg:IY72_13375
ko:K13772	bsg:IY72_13415
ko:K03594	bsg:IY72_13430
ko:K14441	bsg:IY72_13435
ko:K02058	bsg:IY72_13440
ko:K02057	bsg:IY72_13445
ko:K02057	bsg:IY72_13450
ko:K02056	bsg:IY72_13455
ko:K01004	bsg:IY72_13465
ko:K03185	bsg:IY72_13470
ko:K11940	bsg:IY72_13475
ko:K02035	bsg:IY72_13485
ko:K03723	bsg:IY72_13505
ko:K09159	bsg:IY72_13510
ko:K03655	bsg:IY72_13515
ko:K00820	bsg:IY72_13520
ko:K04042	bsg:IY72_13525
ko:K06196	bsg:IY72_13530
ko:K14205	bsg:IY72_13535
ko:K03801	bsg:IY72_13560
ko:K02622	bsg:IY72_13570
ko:K06221	bsg:IY72_11525
ko:K01246	bsg:IY72_11535
ko:K01892	bsg:IY72_11545
ko:K02502	bsg:IY72_11550
ko:K00765	bsg:IY72_11555
ko:K15977	bsg:IY72_11570
ko:K01679	bsg:IY72_11575
ko:K04077	bsg:IY72_11585
ko:K04078	bsg:IY72_11590
ko:K11753	bsg:IY72_11600
ko:K01870	bsg:IY72_11605
ko:K12262	bsg:IY72_11615
ko:K06178	bsg:IY72_11625
ko:K08316	bsg:IY72_11630
ko:K07263	bsg:IY72_11640
ko:K07263	bsg:IY72_11645
ko:K07001	bsg:IY72_11650
ko:K03455	bsg:IY72_11655
ko:K03592	bsg:IY72_11665
ko:K01092	bsg:IY72_11670
ko:K09778	bsg:IY72_11680
ko:K02527	bsg:IY72_11685
ko:K00912	bsg:IY72_11690
ko:K03572	bsg:IY72_11700
ko:K08196	bsg:IY72_11705
ko:K06446	bsg:IY72_11710
ko:K00074	bsg:IY72_11725
ko:K13503	bsg:IY72_16295
ko:K03719	bsg:IY72_16310
