ko:K16238	btha:DR62_1129
ko:K01999	btha:DR62_1144
ko:K02452	btha:DR62_1198
ko:K02456	btha:DR62_1199
ko:K02457	btha:DR62_06080
ko:K02458	btha:DR62_1201
ko:K02459	btha:DR62_1202
ko:K02460	btha:DR62_1203
ko:K02461	btha:DR62_1204
ko:K02462	btha:DR62_1205
ko:K02463	btha:DR62_1206
ko:K03446	btha:DR62_1210
ko:K06518	btha:DR62_1212
ko:K02415	btha:DR62_1214
ko:K02416	btha:DR62_1215
ko:K02417	btha:DR62_1216
ko:K02418	btha:DR62_1217
ko:K02419	btha:DR62_1218
ko:K02420	btha:DR62_1219
ko:K02421	btha:DR62_1220
ko:K02051	btha:DR62_1223
ko:K02049	btha:DR62_1224
ko:K02050	btha:DR62_1225
ko:K07649	btha:DR62_1226
ko:K07316	btha:DR62_1230
ko:K01156	btha:DR62_1231
ko:K01996	btha:DR62_1234
ko:K01995	btha:DR62_1235
ko:K01998	btha:DR62_1236
ko:K01997	btha:DR62_1237
ko:K01999	btha:DR62_1238
ko:K06893	btha:DR62_1240
ko:K10947	btha:DR62_1244
ko:K02616	btha:DR62_1247
ko:K00626	btha:DR62_1250
ko:K01782	btha:DR62_1251
ko:K00477	btha:DR62_1368
ko:K08224	btha:DR62_1373
ko:K01707	btha:DR62_1377
ko:K03535	btha:DR62_1379
ko:K01706	btha:DR62_1380
ko:K01706	btha:DR62_1381
ko:K01708	btha:DR62_1382
ko:K18981	btha:DR62_1383
ko:K00154	btha:DR62_1384
ko:K09456	btha:DR62_1385
ko:K02414	btha:DR62_1387
ko:K02413	btha:DR62_1388
ko:K02412	btha:DR62_1389
ko:K02410	btha:DR62_1391
ko:K02409	btha:DR62_1392
ko:K02408	btha:DR62_1393
ko:K02422	btha:DR62_1394
ko:K02423	btha:DR62_1395
ko:K04061	btha:DR62_1397
ko:K09939	btha:DR62_1398
ko:K07402	btha:DR62_1399
ko:K03294	btha:DR62_1400
ko:K00528	btha:DR62_1403
ko:K01338	btha:DR62_1407
ko:K12368	btha:DR62_1411
ko:K12369	btha:DR62_1412
ko:K12370	btha:DR62_1413
ko:K12371	btha:DR62_1414
ko:K12372	btha:DR62_1415
ko:K09973	btha:DR62_1416
ko:K07160	btha:DR62_1419
ko:K00833	btha:DR62_1534
ko:K09858	btha:DR62_1536
ko:K00626	btha:DR62_1538
ko:K01673	btha:DR62_1539
ko:K00906	btha:DR62_1540
ko:K12368	btha:DR62_1543
ko:K03673	btha:DR62_1547
ko:K01887	btha:DR62_1549
ko:K00548	btha:DR62_1551
ko:K00548	btha:DR62_1552
ko:K16171	btha:DR62_1556
ko:K01692	btha:DR62_1557
ko:K07001	btha:DR62_1559
ko:K03525	btha:DR62_1563
ko:K03524	btha:DR62_1564
ko:K01119	btha:DR62_1566
ko:K02066	btha:DR62_1567
ko:K02065	btha:DR62_1568
ko:K02067	btha:DR62_1569
ko:K18480	btha:DR62_1570
ko:K07018	btha:DR62_1573
ko:K07258	btha:DR62_1574
ko:K00824	btha:DR62_1575
ko:K09158	btha:DR62_1576
ko:K03566	btha:DR62_1577
ko:K03801	btha:DR62_1579
ko:K03644	btha:DR62_1580
ko:K00681	btha:DR62_1583
ko:K00767	btha:DR62_1974
ko:K00278	btha:DR62_1975
ko:K02913	btha:DR62_1976
ko:K02902	btha:DR62_1977
ko:K03630	btha:DR62_1978
ko:K03774	btha:DR62_1979
ko:K03527	btha:DR62_1980
ko:K01997	btha:DR62_1982
ko:K01998	btha:DR62_1983
ko:K01995	btha:DR62_1984
ko:K01996	btha:DR62_1985
ko:K00523	btha:DR62_1989
ko:K06183	btha:DR62_1992
ko:K07156	btha:DR62_1993
ko:K01714	btha:DR62_1998
ko:K01628	btha:DR62_1999
ko:K07687	btha:DR62_2003
ko:K14060	btha:DR62_2009
ko:K07733	btha:DR62_2013
ko:K07483	btha:DR62_2022
ko:K13634	btha:DR62_2025
ko:K00381	btha:DR62_2026
ko:K00390	btha:DR62_2028
ko:K00957	btha:DR62_2029
ko:K00956	btha:DR62_2030
ko:K15738	btha:DR62_2162
ko:K02622	btha:DR62_2163
ko:K02621	btha:DR62_2164
ko:K06016	btha:DR62_06395
ko:K07240	btha:DR62_2170
ko:K05825	btha:DR62_2174
ko:K04079	btha:DR62_2178
ko:K03181	btha:DR62_2179
ko:K03307	btha:DR62_2183
ko:K04750	btha:DR62_2184
ko:K00616	btha:DR62_2185
ko:K05782	btha:DR62_2186
ko:K09989	btha:DR62_2187
ko:K10773	btha:DR62_2193
ko:K03616	btha:DR62_2194
ko:K05973	btha:DR62_2196
ko:K03466	btha:DR62_2199
ko:K08289	btha:DR62_2202
ko:K01894	btha:DR62_2206
ko:K07146	btha:DR62_2207
ko:K02337	btha:DR62_2208
ko:K00340	btha:DR62_2324
ko:K00341	btha:DR62_2325
ko:K00342	btha:DR62_2326
ko:K00343	btha:DR62_2327
ko:K01515	btha:DR62_2329
ko:K00799	btha:DR62_2340
ko:K14287	btha:DR62_2341
ko:K09861	btha:DR62_2343
ko:K01262	btha:DR62_2357
ko:K00058	btha:DR62_2360
ko:K02275	btha:DR62_2368
ko:K02274	btha:DR62_2369
ko:K07789	btha:DR62_2375
ko:K07788	btha:DR62_2376
ko:K07799	btha:DR62_2377
ko:K07093	btha:DR62_2379
ko:K01596	btha:DR62_2436
ko:K13929	btha:DR62_2441
ko:K13931	btha:DR62_2442
ko:K13932	btha:DR62_2443
ko:K13933	btha:DR62_2444
ko:K13934	btha:DR62_2445
ko:K13930	btha:DR62_06495
ko:K00645	btha:DR62_2447
ko:K03762	btha:DR62_2451
ko:K09771	btha:DR62_2452
ko:K02342	btha:DR62_2453
ko:K01069	btha:DR62_2456
ko:K08307	btha:DR62_2457
ko:K01956	btha:DR62_2461
ko:K11250	btha:DR62_2462
ko:K01955	btha:DR62_2463
ko:K03624	btha:DR62_2464
ko:K02427	btha:DR62_2467
ko:K03798	btha:DR62_2468
ko:K00796	btha:DR62_2469
ko:K03431	btha:DR62_2470
ko:K02040	btha:DR62_2471
ko:K02037	btha:DR62_2472
ko:K02038	btha:DR62_2473
ko:K02036	btha:DR62_2474
ko:K02039	btha:DR62_2475
ko:K07657	btha:DR62_2476
ko:K07636	btha:DR62_2477
ko:K00937	btha:DR62_2478
ko:K01524	btha:DR62_2479
ko:K08296	btha:DR62_2485
ko:K03327	btha:DR62_2489
ko:K01895	btha:DR62_2491
ko:K03746	btha:DR62_2559
ko:K07346	btha:DR62_2566
ko:K07347	btha:DR62_2567
ko:K07687	btha:DR62_2570
ko:K00598	btha:DR62_2571
ko:K00209	btha:DR62_2572
ko:K01207	btha:DR62_2576
ko:K01886	btha:DR62_2579
ko:K04062	btha:DR62_2580
ko:K01872	btha:DR62_2583
ko:K07107	btha:DR62_2590
ko:K01997	btha:DR62_2591
ko:K01995	btha:DR62_2592
ko:K01998	btha:DR62_2592
ko:K01996	btha:DR62_2593
ko:K03337	btha:DR62_2594
ko:K03335	btha:DR62_2595
ko:K03336	btha:DR62_2596
ko:K03338	btha:DR62_2597
ko:K02056	btha:DR62_2598
ko:K02057	btha:DR62_2599
ko:K02058	btha:DR62_2600
ko:K00010	btha:DR62_2602
ko:K00010	btha:DR62_2603
ko:K00963	btha:DR62_2610
ko:K06024	btha:DR62_2672
ko:K06178	btha:DR62_2673
ko:K09748	btha:DR62_2674
ko:K02600	btha:DR62_2675
ko:K02519	btha:DR62_2676
ko:K02834	btha:DR62_2677
ko:K03177	btha:DR62_2678
ko:K03446	btha:DR62_2679
ko:K03543	btha:DR62_2680
ko:K06207	btha:DR62_2683
ko:K00164	btha:DR62_2684
ko:K00658	btha:DR62_2685
ko:K00382	btha:DR62_2686
ko:K06916	btha:DR62_2687
ko:K02651	btha:DR62_2693
ko:K02278	btha:DR62_06630
ko:K02279	btha:DR62_2696
ko:K02280	btha:DR62_2697
ko:K02282	btha:DR62_2698
ko:K02283	btha:DR62_2699
ko:K12510	btha:DR62_2700
ko:K12511	btha:DR62_2701
ko:K03666	btha:DR62_2707
ko:K01897	btha:DR62_2710
ko:K08178	btha:DR62_2712
ko:K12573	btha:DR62_2720
ko:K03218	btha:DR62_2721
ko:K11066	btha:DR62_2722
ko:K01183	btha:DR62_2834
ko:K13541	btha:DR62_2835
ko:K03394	btha:DR62_2836
ko:K06042	btha:DR62_2837
ko:K02229	btha:DR62_2838
ko:K00595	btha:DR62_2839
ko:K02188	btha:DR62_2840
ko:K05895	btha:DR62_2841
ko:K05936	btha:DR62_2842
ko:K03449	btha:DR62_2844
ko:K00926	btha:DR62_2850
ko:K00611	btha:DR62_2851
ko:K01478	btha:DR62_2852
ko:K03758	btha:DR62_2853
ko:K05846	btha:DR62_2858
ko:K05847	btha:DR62_2859
ko:K05846	btha:DR62_2860
ko:K05845	btha:DR62_2861
ko:K00666	btha:DR62_2863
ko:K03408	btha:DR62_2866
ko:K03717	btha:DR62_2879
ko:K05577	btha:DR62_2881
ko:K09822	btha:DR62_2882
ko:K03098	btha:DR62_2883
ko:K03088	btha:DR62_2885
ko:K01939	btha:DR62_2991
ko:K02502	btha:DR62_2992
ko:K09937	btha:DR62_2993
ko:K04087	btha:DR62_2994
ko:K04088	btha:DR62_2995
ko:K03665	btha:DR62_2996
ko:K03666	btha:DR62_2997
ko:K03977	btha:DR62_2998
ko:K17713	btha:DR62_2999
ko:K01892	btha:DR62_3001
ko:K03526	btha:DR62_3002
ko:K15539	btha:DR62_3003
ko:K06941	btha:DR62_3004
ko:K00940	btha:DR62_3005
ko:K03215	btha:DR62_3007
ko:K07501	btha:DR62_3009
ko:K03087	btha:DR62_3010
ko:K06194	btha:DR62_3011
ko:K00573	btha:DR62_3012
ko:K03787	btha:DR62_3013
ko:K06187	btha:DR62_3015
ko:K09747	btha:DR62_3016
ko:K02343	btha:DR62_3017
ko:K03671	btha:DR62_3018
ko:K03628	btha:DR62_3019
ko:K09933	btha:DR62_3023
ko:K02909	btha:DR62_3024
ko:K03327	btha:DR62_3026
ko:K03644	btha:DR62_06750
ko:K01607	btha:DR62_3027
ko:K03695	btha:DR62_3031
ko:K13771	btha:DR62_3032
ko:K06886	btha:DR62_3033
ko:K03635	btha:DR62_3034
ko:K03636	btha:DR62_3035
ko:K03750	btha:DR62_3036
ko:K01733	btha:DR62_3037
ko:K00003	btha:DR62_3038
ko:K14260	btha:DR62_3039
ko:K07058	btha:DR62_5657
ko:K00123	btha:DR62_5661
ko:K00123	btha:DR62_5662
ko:K00124	btha:DR62_5663
ko:K00127	btha:DR62_5664
ko:K02380	btha:DR62_5665
ko:K01042	btha:DR62_5666
ko:K03833	btha:DR62_5667
ko:K01426	btha:DR62_07190
ko:K05349	btha:DR62_5678
ko:K08195	btha:DR62_5681
ko:K03224	btha:DR62_5693
ko:K03223	btha:DR62_5694
ko:K03222	btha:DR62_5696
ko:K18374	btha:DR62_5697
ko:K18373	btha:DR62_5698
ko:K03229	btha:DR62_5699
ko:K03230	btha:DR62_5700
ko:K18381	btha:DR62_5701
ko:K03225	btha:DR62_5702
ko:K03226	btha:DR62_5703
ko:K03227	btha:DR62_5704
ko:K03220	btha:DR62_5706
ko:K18373	btha:DR62_5711
ko:K07657	btha:DR62_5714
ko:K02669	btha:DR62_5716
ko:K03219	btha:DR62_5726
ko:K12255	btha:DR62_5732
ko:K15773	btha:DR62_5737
ko:K00694	btha:DR62_5744
ko:K07677	btha:DR62_5748
ko:K07687	btha:DR62_5749
ko:K03119	btha:DR62_5753
ko:K15551	btha:DR62_5754
ko:K10831	btha:DR62_5755
ko:K15552	btha:DR62_5756
ko:K09990	btha:DR62_5760
ko:K03306	btha:DR62_5761
ko:K08677	btha:DR62_5765
ko:K00101	btha:DR62_5767
ko:K03761	btha:DR62_5769
ko:K03221	btha:DR62_5779
ko:K03230	btha:DR62_5784
ko:K03225	btha:DR62_3374
ko:K13285	btha:DR62_3380
ko:K13286	btha:DR62_3381
ko:K03746	btha:DR62_3382
ko:K13287	btha:DR62_3383
ko:K13741	btha:DR62_3387
ko:K11891	btha:DR62_3394
ko:K11892	btha:DR62_3395
ko:K11893	btha:DR62_3396
ko:K11904	btha:DR62_3402
ko:K11907	btha:DR62_3403
ko:K11895	btha:DR62_3404
ko:K11896	btha:DR62_3405
ko:K11905	btha:DR62_3406
ko:K11903	btha:DR62_3407
ko:K11900	btha:DR62_3408
ko:K11901	btha:DR62_3409
ko:K11910	btha:DR62_3412
ko:K07152	btha:DR62_3418
ko:K00368	btha:DR62_3420
ko:K01916	btha:DR62_3425
ko:K09471	btha:DR62_3431
ko:K00128	btha:DR62_3436
ko:K03734	btha:DR62_3437
ko:K00380	btha:DR62_3438
ko:K02484	btha:DR62_3442
ko:K03435	btha:DR62_3443
ko:K02768	btha:DR62_3444
ko:K08483	btha:DR62_3444
ko:K11183	btha:DR62_3444
ko:K00882	btha:DR62_3445
ko:K02769	btha:DR62_3446
ko:K02770	btha:DR62_3446
ko:K08369	btha:DR62_3448
ko:K04077	btha:DR62_3453
ko:K00948	btha:DR62_3454
ko:K00259	btha:DR62_3458
ko:K13993	btha:DR62_3460
ko:K01895	btha:DR62_3463
ko:K00161	btha:DR62_3464
ko:K00162	btha:DR62_3465
ko:K00627	btha:DR62_3466
ko:K06140	btha:DR62_3480
ko:K01497	btha:DR62_3484
ko:K07507	btha:DR62_3488
ko:K07098	btha:DR62_3489
ko:K09019	btha:DR62_3490
ko:K01652	btha:DR62_3502
ko:K06989	btha:DR62_3503
ko:K01426	btha:DR62_3511
ko:K01761	btha:DR62_3513
ko:K00675	btha:DR62_3516
ko:K09957	btha:DR62_3517
ko:K01426	btha:DR62_3520
ko:K03832	btha:DR62_290
ko:K02841	btha:DR62_293
ko:K03608	btha:DR62_297
ko:K03609	btha:DR62_298
ko:K03610	btha:DR62_299
ko:K01875	btha:DR62_303
ko:K07478	btha:DR62_305
ko:K03634	btha:DR62_306
ko:K03466	btha:DR62_307
ko:K00384	btha:DR62_308
ko:K10112	btha:DR62_311
ko:K17317	btha:DR62_312
ko:K17316	btha:DR62_313
ko:K17315	btha:DR62_314
ko:K00036	btha:DR62_315
ko:K01057	btha:DR62_317
ko:K00845	btha:DR62_318
ko:K02424	btha:DR62_320
ko:K10009	btha:DR62_321
ko:K02028	btha:DR62_322
ko:K07552	btha:DR62_323
ko:K01845	btha:DR62_327
ko:K11752	btha:DR62_328
ko:K00793	btha:DR62_329
ko:K14652	btha:DR62_330
ko:K00794	btha:DR62_331
ko:K03625	btha:DR62_332
ko:K03182	btha:DR62_335
ko:K06895	btha:DR62_336
ko:K02221	btha:DR62_340
ko:K06199	btha:DR62_342
ko:K17947	btha:DR62_405
ko:K00067	btha:DR62_409
ko:K01790	btha:DR62_410
ko:K00973	btha:DR62_411
ko:K01710	btha:DR62_412
ko:K01525	btha:DR62_413
ko:K00655	btha:DR62_414
ko:K01465	btha:DR62_415
ko:K00609	btha:DR62_416
ko:K02825	btha:DR62_417
ko:K07447	btha:DR62_418
ko:K07735	btha:DR62_419
ko:K00941	btha:DR62_422
ko:K04077	btha:DR62_423
ko:K04078	btha:DR62_424
ko:K07275	btha:DR62_430
ko:K01126	btha:DR62_437
ko:K07090	btha:DR62_439
ko:K07518	btha:DR62_441
ko:K02015	btha:DR62_446
ko:K02016	btha:DR62_447
ko:K02013	btha:DR62_448
ko:K02014	btha:DR62_449
ko:K13482	btha:DR62_452
ko:K13481	btha:DR62_453
ko:K07506	btha:DR62_456
ko:K02535	btha:DR62_521
ko:K07265	btha:DR62_05860
ko:K03273	btha:DR62_526
ko:K03271	btha:DR62_528
ko:K07031	btha:DR62_529
ko:K01711	btha:DR62_530
ko:K09689	btha:DR62_537
ko:K09688	btha:DR62_538
ko:K10107	btha:DR62_539
ko:K01991	btha:DR62_540
ko:K07266	btha:DR62_542
ko:K16011	btha:DR62_543
ko:K03442	btha:DR62_545
ko:K03975	btha:DR62_546
ko:K03572	btha:DR62_547
ko:K00791	btha:DR62_548
ko:K01933	btha:DR62_550
ko:K10763	btha:DR62_05885
ko:K00970	btha:DR62_553
ko:K00950	btha:DR62_554
ko:K00606	btha:DR62_556
ko:K03342	btha:DR62_558
ko:K03686	btha:DR62_559
ko:K04043	btha:DR62_560
ko:K03687	btha:DR62_562
ko:K04762	btha:DR62_563
ko:K01772	btha:DR62_564
ko:K03705	btha:DR62_565
ko:K00858	btha:DR62_566
ko:K03631	btha:DR62_567
ko:K00982	btha:DR62_568
ko:K03568	btha:DR62_571
ko:K01626	btha:DR62_572
ko:K05916	btha:DR62_573
ko:K14393	btha:DR62_4529
ko:K01895	btha:DR62_4531
ko:K01676	btha:DR62_4534
ko:K03594	btha:DR62_4535
ko:K01776	btha:DR62_4536
ko:K02192	btha:DR62_4537
ko:K03832	btha:DR62_4538
ko:K03561	btha:DR62_4539
ko:K03559	btha:DR62_4540
ko:K06911	btha:DR62_4542
ko:K07243	btha:DR62_4547
ko:K07230	btha:DR62_4549
ko:K03702	btha:DR62_4550
ko:K00832	btha:DR62_4551
ko:K00019	btha:DR62_4552
ko:K07115	btha:DR62_4554
ko:K11082	btha:DR62_4571
ko:K11083	btha:DR62_4572
ko:K11084	btha:DR62_4573
ko:K11081	btha:DR62_4574
ko:K03430	btha:DR62_4575
ko:K08194	btha:DR62_4576
ko:K00014	btha:DR62_4577
ko:K03786	btha:DR62_4578
ko:K00457	btha:DR62_4579
ko:K03303	btha:DR62_4580
ko:K13777	btha:DR62_5204
ko:K13779	btha:DR62_5205
ko:K11731	btha:DR62_5206
ko:K13778	btha:DR62_5207
ko:K13774	btha:DR62_5208
ko:K03932	btha:DR62_5215
ko:K00854	btha:DR62_5226
ko:K09981	btha:DR62_5231
ko:K03717	btha:DR62_5233
ko:K00484	btha:DR62_5234
ko:K00059	btha:DR62_5237
ko:K01426	btha:DR62_5238
ko:K04940	btha:DR62_5254
ko:K01638	btha:DR62_4581
ko:K00823	btha:DR62_4637
ko:K00135	btha:DR62_4638
ko:K03776	btha:DR62_4641
ko:K02624	btha:DR62_4643
ko:K03762	btha:DR62_4645
ko:K10013	btha:DR62_4648
ko:K06987	btha:DR62_4650
ko:K16087	btha:DR62_4657
ko:K07225	btha:DR62_4658
ko:K02016	btha:DR62_4659
ko:K02015	btha:DR62_4660
ko:K02013	btha:DR62_4661
ko:K05366	btha:DR62_4663
ko:K05596	btha:DR62_4665
ko:K01620	btha:DR62_4664
ko:K00425	btha:DR62_4666
ko:K00426	btha:DR62_4667
ko:K10680	btha:DR62_4670
ko:K06222	btha:DR62_4671
ko:K00801	btha:DR62_4674
ko:K17686	btha:DR62_07875
ko:K07507	btha:DR62_4695
ko:K01644	btha:DR62_4754
ko:K01720	btha:DR62_4756
ko:K05786	btha:DR62_4758
ko:K01512	btha:DR62_4759
ko:K03527	btha:DR62_4764
ko:K10253	btha:DR62_4766
ko:K01845	btha:DR62_4770
ko:K06200	btha:DR62_4773
ko:K02651	btha:DR62_4783
ko:K02651	btha:DR62_07935
ko:K02278	btha:DR62_4785
ko:K02279	btha:DR62_4787
ko:K02280	btha:DR62_4788
ko:K02282	btha:DR62_4793
ko:K02283	btha:DR62_4794
ko:K12510	btha:DR62_4795
ko:K12511	btha:DR62_4796
ko:K00832	btha:DR62_4798
ko:K02003	btha:DR62_4857
ko:K07003	btha:DR62_4863
ko:K04754	btha:DR62_4864
ko:K01607	btha:DR62_4865
ko:K10038	btha:DR62_4868
ko:K10037	btha:DR62_4869
ko:K10036	btha:DR62_4870
ko:K06045	btha:DR62_4873
ko:K03410	btha:DR62_4877
ko:K03088	btha:DR62_4881
ko:K00537	btha:DR62_4883
ko:K03496	btha:DR62_4884
ko:K03497	btha:DR62_4885
ko:K00639	btha:DR62_4891
ko:K00060	btha:DR62_4892
ko:K09958	btha:DR62_4897
ko:K07246	btha:DR62_4899
ko:K16135	btha:DR62_4900
ko:K00799	btha:DR62_4902
ko:K07001	btha:DR62_4904
ko:K00019	btha:DR62_4905
ko:K01574	btha:DR62_4906
ko:K14682	btha:DR62_1
ko:K12256	btha:DR62_24
ko:K01915	btha:DR62_25
ko:K07010	btha:DR62_26
ko:K05603	btha:DR62_28
ko:K01468	btha:DR62_29
ko:K09975	btha:DR62_30
ko:K01712	btha:DR62_31
ko:K05836	btha:DR62_32
ko:K01745	btha:DR62_33
ko:K06133	btha:DR62_34
ko:K07782	btha:DR62_36
ko:K00860	btha:DR62_37
ko:K01669	btha:DR62_38
ko:K00496	btha:DR62_39
ko:K04561	btha:DR62_40
ko:K08303	btha:DR62_50
ko:K00459	btha:DR62_51
ko:K00127	btha:DR62_226
ko:K00124	btha:DR62_227
ko:K00123	btha:DR62_228
ko:K00126	btha:DR62_229
ko:K02433	btha:DR62_234
ko:K03611	btha:DR62_235
ko:K07402	btha:DR62_236
ko:K06901	btha:DR62_238
ko:K01487	btha:DR62_239
ko:K01256	btha:DR62_243
ko:K00549	btha:DR62_244
ko:K03576	btha:DR62_245
ko:K03841	btha:DR62_246
ko:K02014	btha:DR62_252
ko:K04093	btha:DR62_255
ko:K02342	btha:DR62_256
ko:K03704	btha:DR62_257
ko:K04760	btha:DR62_260
ko:K03060	btha:DR62_264
ko:K00942	btha:DR62_265
ko:K00989	btha:DR62_267
ko:K02428	btha:DR62_268
ko:K07483	btha:DR62_276
ko:K10538	btha:DR62_684
ko:K10539	btha:DR62_685
ko:K10537	btha:DR62_686
ko:K01631	btha:DR62_688
ko:K00883	btha:DR62_689
ko:K03814	btha:DR62_693
ko:K00014	btha:DR62_694
ko:K01147	btha:DR62_695
ko:K07000	btha:DR62_696
ko:K02558	btha:DR62_697
ko:K03786	btha:DR62_700
ko:K02160	btha:DR62_701
ko:K01961	btha:DR62_702
ko:K02687	btha:DR62_703
ko:K11065	btha:DR62_705
ko:K00856	btha:DR62_706
ko:K06077	btha:DR62_707
ko:K03806	btha:DR62_711
ko:K06950	btha:DR62_712
ko:K03106	btha:DR62_714
ko:K00760	btha:DR62_715
ko:K01881	btha:DR62_717
ko:K08311	btha:DR62_718
ko:K00931	btha:DR62_720
ko:K03979	btha:DR62_721
ko:K02899	btha:DR62_722
ko:K02888	btha:DR62_723
ko:K02523	btha:DR62_724
ko:K02652	btha:DR62_727
ko:K02653	btha:DR62_728
ko:K02654	btha:DR62_729
ko:K00859	btha:DR62_730
ko:K02563	btha:DR62_746
ko:K03588	btha:DR62_747
ko:K01925	btha:DR62_748
ko:K01000	btha:DR62_749
ko:K01929	btha:DR62_750
ko:K01928	btha:DR62_751
ko:K03587	btha:DR62_752
ko:K03586	btha:DR62_753
ko:K03438	btha:DR62_754
ko:K03925	btha:DR62_755
ko:K06134	btha:DR62_757
ko:K01897	btha:DR62_759
ko:K01692	btha:DR62_767
ko:K15866	btha:DR62_770
ko:K02614	btha:DR62_771
ko:K01912	btha:DR62_772
ko:K08304	btha:DR62_773
ko:K06195	btha:DR62_775
ko:K01783	btha:DR62_776
ko:K01091	btha:DR62_777
ko:K01657	btha:DR62_778
ko:K01658	btha:DR62_779
ko:K00766	btha:DR62_780
ko:K01609	btha:DR62_781
ko:K03648	btha:DR62_783
ko:K01118	btha:DR62_784
ko:K03981	btha:DR62_786
ko:K06942	btha:DR62_790
ko:K11735	btha:DR62_791
ko:K01560	btha:DR62_795
ko:K01262	btha:DR62_797
ko:K02492	btha:DR62_799
ko:K02835	btha:DR62_800
ko:K02493	btha:DR62_801
ko:K07491	btha:DR62_919
ko:K07275	btha:DR62_920
ko:K01126	btha:DR62_921
ko:K05816	btha:DR62_922
ko:K05815	btha:DR62_923
ko:K05814	btha:DR62_924
ko:K05813	btha:DR62_925
ko:K01129	btha:DR62_926
ko:K01735	btha:DR62_927
ko:K00891	btha:DR62_928
ko:K02666	btha:DR62_06010
ko:K02663	btha:DR62_931
ko:K05366	btha:DR62_933
ko:K06202	btha:DR62_934
ko:K01586	btha:DR62_936
ko:K17247	btha:DR62_937
ko:K07399	btha:DR62_940
ko:K03978	btha:DR62_942
ko:K01698	btha:DR62_943
ko:K04084	btha:DR62_944
ko:K03926	btha:DR62_945
ko:K02879	btha:DR62_946
ko:K03040	btha:DR62_947
ko:K02986	btha:DR62_948
ko:K02948	btha:DR62_949
ko:K02952	btha:DR62_950
ko:K02919	btha:DR62_951
ko:K02518	btha:DR62_952
ko:K03076	btha:DR62_953
ko:K02876	btha:DR62_954
ko:K02907	btha:DR62_955
ko:K02988	btha:DR62_956
ko:K02881	btha:DR62_957
ko:K02933	btha:DR62_958
ko:K02994	btha:DR62_959
ko:K02954	btha:DR62_960
ko:K02931	btha:DR62_961
ko:K02895	btha:DR62_962
ko:K02874	btha:DR62_963
ko:K02961	btha:DR62_964
ko:K02904	btha:DR62_965
ko:K02878	btha:DR62_966
ko:K02982	btha:DR62_967
ko:K02890	btha:DR62_968
ko:K02965	btha:DR62_969
ko:K02886	btha:DR62_970
ko:K02892	btha:DR62_971
ko:K02926	btha:DR62_972
ko:K02906	btha:DR62_973
ko:K08738	btha:DR62_1034
ko:K03271	btha:DR62_1036
ko:K07460	btha:DR62_1037
ko:K07056	btha:DR62_1038
ko:K03642	btha:DR62_1039
ko:K03746	btha:DR62_1044
ko:K07226	btha:DR62_1045
ko:K01999	btha:DR62_1047
ko:K00459	btha:DR62_1048
ko:K01061	btha:DR62_1049
ko:K00297	btha:DR62_1051
ko:K08972	btha:DR62_1052
ko:K01251	btha:DR62_1053
ko:K02405	btha:DR62_1054
ko:K04562	btha:DR62_1055
ko:K02404	btha:DR62_1056
ko:K02400	btha:DR62_1057
ko:K02401	btha:DR62_1058
ko:K03414	btha:DR62_1063
ko:K03413	btha:DR62_1064
ko:K03412	btha:DR62_1065
ko:K03411	btha:DR62_1066
ko:K00575	btha:DR62_1067
ko:K03408	btha:DR62_1069
ko:K03407	btha:DR62_1070
ko:K03413	btha:DR62_1071
ko:K02557	btha:DR62_1072
ko:K02556	btha:DR62_1073
ko:K02402	btha:DR62_1074
ko:K02403	btha:DR62_1075
ko:K03746	btha:DR62_1077
ko:K06188	btha:DR62_1078
ko:K18676	btha:DR62_1080
ko:K01246	btha:DR62_1081
ko:K02970	btha:DR62_1082
ko:K02406	btha:DR62_1083
ko:K02407	btha:DR62_1084
ko:K13821	btha:DR62_1145
ko:K04066	btha:DR62_1147
ko:K01599	btha:DR62_1148
ko:K01713	btha:DR62_1149
ko:K00666	btha:DR62_1150
ko:K02114	btha:DR62_1151
ko:K02112	btha:DR62_1152
ko:K02115	btha:DR62_1153
ko:K02111	btha:DR62_1154
ko:K02113	btha:DR62_1155
ko:K02109	btha:DR62_1156
ko:K02110	btha:DR62_1157
ko:K02108	btha:DR62_1158
ko:K02116	btha:DR62_1159
ko:K03497	btha:DR62_1161
ko:K03496	btha:DR62_1162
ko:K03501	btha:DR62_1163
ko:K03495	btha:DR62_1164
ko:K01996	btha:DR62_1165
ko:K01995	btha:DR62_1166
ko:K01998	btha:DR62_1166
ko:K01997	btha:DR62_1167
ko:K02303	btha:DR62_2031
ko:K11720	btha:DR62_2033
ko:K07091	btha:DR62_2034
ko:K01255	btha:DR62_2035
ko:K02339	btha:DR62_2036
ko:K08738	btha:DR62_2038
ko:K01687	btha:DR62_2039
ko:K13292	btha:DR62_2041
ko:K09888	btha:DR62_2044
ko:K16092	btha:DR62_2046
ko:K02015	btha:DR62_2047
ko:K02013	btha:DR62_2048
ko:K00768	btha:DR62_2049
ko:K02233	btha:DR62_2050
ko:K02226	btha:DR62_2051
ko:K02016	btha:DR62_2052
ko:K02225	btha:DR62_2053
ko:K02227	btha:DR62_2054
ko:K02231	btha:DR62_2055
ko:K02232	btha:DR62_2056
ko:K15977	btha:DR62_2057
ko:K03496	btha:DR62_2058
ko:K01579	btha:DR62_2059
ko:K01918	btha:DR62_2060
ko:K05896	btha:DR62_2061
