ko:K11741	lcs:LCBD_3001
ko:K02760	lcs:LCBD_3042
ko:K02759	lcs:LCBD_3043
ko:K03449	lcs:LCBD_3050
ko:K11068	lcs:LCBD_1588
ko:K03797	lcs:LCBD_1594
ko:K14540	lcs:LCBD_1600
ko:K03470	lcs:LCBD_1601
ko:K04096	lcs:LCBD_1602
ko:K03168	lcs:LCBD_1603
ko:K04094	lcs:LCBD_1604
ko:K03733	lcs:LCBD_1605
ko:K01926	lcs:LCBD_2422
ko:K06158	lcs:LCBD_2423
ko:K02760	lcs:LCBD_2424
ko:K03789	lcs:LCBD_2426
ko:K07056	lcs:LCBD_2434
ko:K02341	lcs:LCBD_2436
ko:K00943	lcs:LCBD_2438
ko:K06187	lcs:LCBD_2441
ko:K09747	lcs:LCBD_2442
ko:K02343	lcs:LCBD_2443
ko:K14205	lcs:LCBD_2447
ko:K03500	lcs:LCBD_1825
ko:K00604	lcs:LCBD_1826
ko:K04066	lcs:LCBD_1827
ko:K13038	lcs:LCBD_1828
ko:K03060	lcs:LCBD_1829
ko:K00942	lcs:LCBD_1830
ko:K07001	lcs:LCBD_1831
ko:K07001	lcs:LCBD_1832
ko:K03631	lcs:LCBD_1835
ko:K03402	lcs:LCBD_1836
ko:K06442	lcs:LCBD_1837
ko:K13789	lcs:LCBD_1838
ko:K03602	lcs:LCBD_1839
ko:K03601	lcs:LCBD_1840
ko:K01491	lcs:LCBD_1841
ko:K03625	lcs:LCBD_1842
ko:K02356	lcs:LCBD_1844
ko:K02899	lcs:LCBD_1846
ko:K02888	lcs:LCBD_1848
ko:K01915	lcs:LCBD_1853
ko:K01581	lcs:LCBD_1855
ko:K03624	lcs:LCBD_1864
ko:K00876	lcs:LCBD_1865
ko:K07082	lcs:LCBD_1866
ko:K01890	lcs:LCBD_1867
ko:K01889	lcs:LCBD_1868
ko:K06950	lcs:LCBD_1870
ko:K03437	lcs:LCBD_1871
ko:K01512	lcs:LCBD_1872
ko:K03217	lcs:LCBD_1873
ko:K04567	lcs:LCBD_2707
ko:K04083	lcs:LCBD_2709
ko:K03798	lcs:LCBD_2715
ko:K00760	lcs:LCBD_2716
ko:K04075	lcs:LCBD_2717
ko:K07571	lcs:LCBD_2718
ko:K03723	lcs:LCBD_2722
ko:K01056	lcs:LCBD_2723
ko:K00266	lcs:LCBD_2732
ko:K01775	lcs:LCBD_2737
ko:K00997	lcs:LCBD_2738
ko:K05592	lcs:LCBD_2739
ko:K01929	lcs:LCBD_2741
ko:K02909	lcs:LCBD_2747
ko:K00790	lcs:LCBD_2748
ko:K01937	lcs:LCBD_2749
ko:K01575	lcs:LCBD_2033
ko:K01652	lcs:LCBD_2034
ko:K02913	lcs:LCBD_2040
ko:K04564	lcs:LCBD_2041
ko:K06180	lcs:LCBD_2042
ko:K05964	lcs:LCBD_2049
ko:K01643	lcs:LCBD_2050
ko:K01644	lcs:LCBD_2051
ko:K01646	lcs:LCBD_2052
ko:K01910	lcs:LCBD_2053
ko:K03300	lcs:LCBD_2058
ko:K07559	lcs:LCBD_2060
ko:K07090	lcs:LCBD_2070
ko:K03817	lcs:LCBD_2076
ko:K15581	lcs:LCBD_2081
ko:K01042	lcs:LCBD_2920
ko:K01465	lcs:LCBD_2921
ko:K02781	lcs:LCBD_2930
ko:K01807	lcs:LCBD_2945
ko:K01783	lcs:LCBD_2948
ko:K03710	lcs:LCBD_2959
ko:K09758	lcs:LCBD_2960
ko:K02935	lcs:LCBD_2452
ko:K02864	lcs:LCBD_2453
ko:K08369	lcs:LCBD_2457
ko:K02863	lcs:LCBD_2459
ko:K02867	lcs:LCBD_2460
ko:K01531	lcs:LCBD_2461
ko:K02601	lcs:LCBD_2470
ko:K03073	lcs:LCBD_2471
ko:K02913	lcs:LCBD_2472
ko:K03734	lcs:LCBD_2475
ko:K02002	lcs:LCBD_2311
ko:K02001	lcs:LCBD_2312
ko:K02000	lcs:LCBD_2313
ko:K06206	lcs:LCBD_2314
ko:K00872	lcs:LCBD_2317
ko:K01733	lcs:LCBD_2318
ko:K00003	lcs:LCBD_2319
ko:K00928	lcs:LCBD_2320
ko:K03778	lcs:LCBD_2324
ko:K01953	lcs:LCBD_2330
ko:K02548	lcs:LCBD_2337
ko:K00925	lcs:LCBD_2339
ko:K00259	lcs:LCBD_2347
ko:K01754	lcs:LCBD_2348
ko:K08659	lcs:LCBD_2352
ko:K01223	lcs:LCBD_2357
ko:K00640	lcs:LCBD_p49
ko:K07042	lcs:LCBD_1717
ko:K09117	lcs:LCBD_1720
ko:K02970	lcs:LCBD_1721
ko:K09773	lcs:LCBD_1722
ko:K01151	lcs:LCBD_1723
ko:K01876	lcs:LCBD_1726
ko:K01892	lcs:LCBD_1727
ko:K01448	lcs:LCBD_1735
ko:K07560	lcs:LCBD_1737
ko:K09761	lcs:LCBD_1740
ko:K02687	lcs:LCBD_1741
ko:K03652	lcs:LCBD_1743
ko:K00759	lcs:LCBD_1756
ko:K07462	lcs:LCBD_1757
ko:K03596	lcs:LCBD_1762
ko:K03686	lcs:LCBD_1763
ko:K04043	lcs:LCBD_1764
ko:K03687	lcs:LCBD_1765
ko:K03705	lcs:LCBD_1766
ko:K11753	lcs:LCBD_1768
ko:K07248	lcs:LCBD_2608
ko:K02954	lcs:LCBD_2609
ko:K06199	lcs:LCBD_2626
ko:K06199	lcs:LCBD_2627
ko:K02044	lcs:LCBD_2630
ko:K02041	lcs:LCBD_2631
ko:K02042	lcs:LCBD_2632
ko:K02042	lcs:LCBD_2633
ko:K15553	lcs:LCBD_2637
ko:K15554	lcs:LCBD_2641
ko:K15051	lcs:LCBD_0621
ko:K02795	lcs:LCBD_0634
ko:K01619	lcs:LCBD_0637
ko:K02755	lcs:LCBD_1244
ko:K02756	lcs:LCBD_1244
ko:K02757	lcs:LCBD_1244
ko:K03488	lcs:LCBD_1245
ko:K01760	lcs:LCBD_0663
ko:K03486	lcs:LCBD_0690
ko:K01226	lcs:LCBD_0691
ko:K02755	lcs:LCBD_0692
ko:K02756	lcs:LCBD_0692
ko:K02757	lcs:LCBD_0692
ko:K03294	lcs:LCBD_0694
ko:K00016	lcs:LCBD_0695
ko:K03316	lcs:LCBD_0707
ko:K01674	lcs:LCBD_0714
ko:K15051	lcs:LCBD_1329
ko:K03810	lcs:LCBD_1334
ko:K06147	lcs:LCBD_1347
ko:K06147	lcs:LCBD_1348
ko:K07104	lcs:LCBD_1350
ko:K15051	lcs:LCBD_0720
ko:K01220	lcs:LCBD_0733
ko:K02786	lcs:LCBD_0734
ko:K01784	lcs:LCBD_0736
ko:K01785	lcs:LCBD_0739
ko:K00917	lcs:LCBD_0747
ko:K01635	lcs:LCBD_0748
ko:K01819	lcs:LCBD_0749
ko:K01819	lcs:LCBD_0750
ko:K02530	lcs:LCBD_0751
ko:K01989	lcs:LCBD_0775
ko:K05832	lcs:LCBD_0778
ko:K01439	lcs:LCBD_1375
ko:K04488	lcs:LCBD_1383
ko:K07304	lcs:LCBD_1400
ko:K05833	lcs:LCBD_0779
ko:K14983	lcs:LCBD_0786
ko:K14982	lcs:LCBD_0787
ko:K01934	lcs:LCBD_0811
ko:K01259	lcs:LCBD_0827
ko:K06889	lcs:LCBD_0833
ko:K03647	lcs:LCBD_0834
ko:K01607	lcs:LCBD_1412
ko:K00799	lcs:LCBD_1415
ko:K06286	lcs:LCBD_1453
ko:K03709	lcs:LCBD_0852
ko:K08974	lcs:LCBD_0878
ko:K07105	lcs:LCBD_0882
ko:K03693	lcs:LCBD_0887
ko:K01560	lcs:LCBD_0889
ko:K08724	lcs:LCBD_1476
ko:K01515	lcs:LCBD_1493
ko:K01243	lcs:LCBD_1495
ko:K01092	lcs:LCBD_1519
ko:K01958	lcs:LCBD_1522
ko:K07177	lcs:LCBD_1526
ko:K03768	lcs:LCBD_0905
ko:K07570	lcs:LCBD_0906
ko:K07027	lcs:LCBD_0915
ko:K00841	lcs:LCBD_0917
ko:K09825	lcs:LCBD_0921
ko:K02238	lcs:LCBD_1528
ko:K11085	lcs:LCBD_1537
ko:K00882	lcs:LCBD_1548
ko:K03436	lcs:LCBD_1549
ko:K00784	lcs:LCBD_1552
ko:K01119	lcs:LCBD_1559
ko:K04763	lcs:LCBD_1567
ko:K05337	lcs:LCBD_1573
ko:K00974	lcs:LCBD_1583
ko:K06183	lcs:LCBD_0933
ko:K07069	lcs:LCBD_0934
ko:K00712	lcs:LCBD_0986
ko:K00712	lcs:LCBD_0987
ko:K06198	lcs:LCBD_0994
ko:K07816	lcs:LCBD_0997
ko:K06201	lcs:LCBD_1001
ko:K07404	lcs:LCBD_1003
ko:K00059	lcs:LCBD_1014
ko:K02240	lcs:LCBD_1021
ko:K02242	lcs:LCBD_1022
ko:K07658	lcs:LCBD_1029
ko:K06023	lcs:LCBD_1040
ko:K01835	lcs:LCBD_1044
ko:K02004	lcs:LCBD_1049
ko:K09762	lcs:LCBD_1058
ko:K02004	lcs:LCBD_0469
ko:K02795	lcs:LCBD_0472
ko:K01182	lcs:LCBD_0476
ko:K10254	lcs:LCBD_0486
ko:K00158	lcs:LCBD_0500
ko:K03491	lcs:LCBD_0516
ko:K07729	lcs:LCBD_1132
ko:K00625	lcs:LCBD_1142
ko:K02342	lcs:LCBD_1147
ko:K03316	lcs:LCBD_1150
ko:K11072	lcs:LCBD_1152
ko:K11071	lcs:LCBD_1153
ko:K11069	lcs:LCBD_1155
ko:K02243	lcs:LCBD_1170
ko:K02244	lcs:LCBD_1171
ko:K02245	lcs:LCBD_1172
ko:K02246	lcs:LCBD_1173
ko:K02248	lcs:LCBD_1175
ko:K02433	lcs:LCBD_1197
ko:K07386	lcs:LCBD_1205
ko:K07273	lcs:LCBD_1212
ko:K00938	lcs:LCBD_1232
ko:K00691	lcs:LCBD_1124
ko:K10040	lcs:LCBD_2159
ko:K01790	lcs:LCBD_2199
ko:K10041	lcs:LCBD_2162
ko:K10716	lcs:LCBD_1064
ko:K18939	lcs:LCBD_2356
ko:K10009	lcs:LCBD_0665
ko:K18926	lcs:LCBD_2354
ko:K02424	lcs:LCBD_0664
ko:K07192	lcs:LCBD_2321
ko:K07035	lcs:LCBD_2323
ko:K00841	lcs:LCBD_2325
ko:K00805	lcs:LCBD_2338
ko:K00383	lcs:LCBD_2353
ko:K02755	lcs:LCBD_2358
ko:K02756	lcs:LCBD_2358
ko:K02757	lcs:LCBD_2358
ko:K03488	lcs:LCBD_2360
ko:K03095	lcs:LCBD_1991
ko:K05833	lcs:LCBD_1992
ko:K05832	lcs:LCBD_1993
ko:K01989	lcs:LCBD_1995
ko:K01916	lcs:LCBD_2000
ko:K01206	lcs:LCBD_2015
ko:K02775	lcs:LCBD_2864
ko:K01182	lcs:LCBD_2870
ko:K02744	lcs:LCBD_2880
ko:K02745	lcs:LCBD_2883
ko:K00065	lcs:LCBD_2888
ko:K01727	lcs:LCBD_2903
ko:K04086	lcs:LCBD_2189
ko:K01104	lcs:LCBD_2190
ko:K07652	lcs:LCBD_3032
ko:K07668	lcs:LCBD_3033
ko:K09963	lcs:LCBD_3038
ko:K02795	lcs:LCBD_3054
ko:K02793	lcs:LCBD_3055
ko:K02794	lcs:LCBD_3055
ko:K09167	lcs:LCBD_3068
ko:K08981	lcs:LCBD_3069
ko:K01784	lcs:LCBD_2158
ko:K02076	lcs:LCBD_2166
ko:K00700	lcs:LCBD_2180
ko:K05966	lcs:LCBD_2046
ko:K01571	lcs:LCBD_2048
ko:K01572	lcs:LCBD_2055
ko:K06988	lcs:LCBD_2062
ko:K15582	lcs:LCBD_2080
ko:K02782	lcs:LCBD_2931
ko:K12996	lcs:LCBD_2208
ko:K00059	lcs:LCBD_2214
ko:K15582	lcs:LCBD_2221
ko:K09963	lcs:LCBD_2233
ko:K00027	lcs:LCBD_3088
ko:K06889	lcs:LCBD_3119
ko:K02798	lcs:LCBD_3122
ko:K02799	lcs:LCBD_3124
ko:K02800	lcs:LCBD_3124
ko:K02564	lcs:LCBD_3125
ko:K02783	lcs:LCBD_2932
ko:K00068	lcs:LCBD_2935
ko:K02783	lcs:LCBD_2931
ko:K02822	lcs:LCBD_2941
ko:K03475	lcs:LCBD_2942
ko:K02821	lcs:LCBD_2943
ko:K03476	lcs:LCBD_2944
ko:K02795	lcs:LCBD_2950
ko:K02793	lcs:LCBD_2952
ko:K02795	lcs:LCBD_2963
ko:K02793	lcs:LCBD_2965
ko:K03491	lcs:LCBD_2966
ko:K00867	lcs:LCBD_2129
ko:K03455	lcs:LCBD_2136
ko:K01259	lcs:LCBD_2137
ko:K02004	lcs:LCBD_2142
ko:K02775	lcs:LCBD_2971
ko:K05815	lcs:LCBD_2981
ko:K05814	lcs:LCBD_2982
ko:K05816	lcs:LCBD_2983
ko:K02795	lcs:LCBD_2994
ko:K01104	lcs:LCBD_3009
ko:K00059	lcs:LCBD_2278
ko:K02371	lcs:LCBD_2280
ko:K00158	lcs:LCBD_2310
ko:K02005	lcs:LCBD_3133
ko:K02004	lcs:LCBD_3135
ko:K06346	lcs:LCBD_3148
ko:K06898	lcs:LCBD_p40
ko:K09121	lcs:LCBD_p41
ko:K06864	lcs:LCBD_p44
ko:K15051	lcs:LCBD_p45
ko:K03830	lcs:LCBD_3012
ko:K01489	lcs:LCBD_1715
ko:K07305	lcs:LCBD_1725
ko:K01507	lcs:LCBD_1728
ko:K03976	lcs:LCBD_1754
ko:K03177	lcs:LCBD_1769
ko:K01679	lcs:LCBD_2592
ko:K02077	lcs:LCBD_2612
ko:K02077	lcs:LCBD_2620
ko:K14230	lcs:LCBD_t11
ko:K02004	lcs:LCBD_1936
ko:K08483	lcs:LCBD_1956
ko:K11189	lcs:LCBD_1957
ko:K03697	lcs:LCBD_1959
ko:K07586	lcs:LCBD_1966
ko:K00158	lcs:LCBD_1979
ko:K01641	lcs:LCBD_1981
ko:K00054	lcs:LCBD_1982
ko:K00626	lcs:LCBD_1983
ko:K00383	lcs:LCBD_2810
ko:K05845	lcs:LCBD_2812
ko:K05846	lcs:LCBD_2812
ko:K11041	lcs:LCBD_2816
ko:K07052	lcs:LCBD_2818
ko:K03469	lcs:LCBD_2832
ko:K00882	lcs:LCBD_2844
ko:K01206	lcs:LCBD_2849
ko:K02793	lcs:LCBD_2850
ko:K02794	lcs:LCBD_2850
ko:K02795	lcs:LCBD_2851
ko:K09704	lcs:LCBD_2857
ko:K15524	lcs:LCBD_2858
ko:K03492	lcs:LCBD_2860
ko:K09952	lcs:LCBD_2371
ko:K16012	lcs:LCBD_2376
ko:K16013	lcs:LCBD_2377
ko:K01488	lcs:LCBD_2382
ko:K01104	lcs:LCBD_2390
ko:K07052	lcs:LCBD_2417
ko:K03294	lcs:LCBD_1790
ko:K09976	lcs:LCBD_1794
ko:K09787	lcs:LCBD_1803
ko:K02035	lcs:LCBD_1808
ko:K02033	lcs:LCBD_1810
ko:K07030	lcs:LCBD_1816
ko:K00949	lcs:LCBD_1820
ko:K02004	lcs:LCBD_2652
ko:K00939	lcs:LCBD_2669
ko:K03386	lcs:LCBD_2693
ko:K02236	lcs:LCBD_2699
ko:K03708	lcs:LCBD_2703
ko:K07304	lcs:LCBD_1592
ko:K01409	lcs:LCBD_2425
ko:K01424	lcs:LCBD_2432
ko:K00564	lcs:LCBD_2446
ko:K01361	lcs:LCBD_2450
ko:K07533	lcs:LCBD_2451
ko:K08161	lcs:LCBD_2454
ko:K00135	lcs:LCBD_2458
ko:K01426	lcs:LCBD_2462
ko:K05937	lcs:LCBD_2463
ko:K01262	lcs:LCBD_1845
ko:K07584	lcs:LCBD_1847
ko:K01281	lcs:LCBD_1852
ko:K03713	lcs:LCBD_1854
ko:K11618	lcs:LCBD_1861
ko:K11617	lcs:LCBD_1862
ko:K00033	lcs:LCBD_1876
ko:K00016	lcs:LCBD_2724
ko:K10040	lcs:LCBD_2160
ko:K10039	lcs:LCBD_2161
ko:K15986	lcs:LCBD_1615
ko:K02004	lcs:LCBD_1619
ko:K08217	lcs:LCBD_1623
ko:K01523	lcs:LCBD_1630
ko:K01496	lcs:LCBD_1631
ko:K01515	lcs:LCBD_1640
ko:K07035	lcs:LCBD_1644
ko:K00929	lcs:LCBD_1650
ko:K00805	lcs:LCBD_2479
ko:K00805	lcs:LCBD_2480
ko:K06988	lcs:LCBD_2482
ko:K09698	lcs:LCBD_2493
ko:K01990	lcs:LCBD_2507
ko:K01372	lcs:LCBD_2514
ko:K01372	lcs:LCBD_2515
ko:K01006	lcs:LCBD_2520
ko:K10563	lcs:LCBD_1904
ko:K07533	lcs:LCBD_1918
ko:K03698	lcs:LCBD_1919
ko:K12555	lcs:LCBD_1922
ko:K03048	lcs:LCBD_2751
ko:K03574	lcs:LCBD_2756
ko:K09685	lcs:LCBD_2765
ko:K01635	lcs:LCBD_2775
ko:K06147	lcs:LCBD_2779
ko:K06147	lcs:LCBD_2780
ko:K01259	lcs:LCBD_2782
ko:K03574	lcs:LCBD_2784
ko:K00016	lcs:LCBD_2785
ko:K06910	lcs:LCBD_2791
ko:K06948	lcs:LCBD_1885
ko:K11144	lcs:LCBD_1900
ko:K03346	lcs:LCBD_1901
ko:K02824	lcs:LCBD_1660
ko:K03469	lcs:LCBD_1666
ko:K07386	lcs:LCBD_1676
ko:K03700	lcs:LCBD_1684
ko:K02086	lcs:LCBD_1688
ko:K00869	lcs:LCBD_1696
ko:K01597	lcs:LCBD_1697
ko:K01823	lcs:LCBD_1698
ko:K10947	lcs:LCBD_2554
ko:K07706	lcs:LCBD_2568
ko:K07052	lcs:LCBD_2581
ko:K11051	lcs:LCBD_0710
ko:K16786	lcs:LCBD_0312
ko:K16787	lcs:LCBD_0312
ko:K03322	lcs:LCBD_2596
ko:K01834	lcs:LCBD_2301
ko:K01834	lcs:LCBD_1897
ko:K15580	lcs:LCBD_2119
ko:K16509	lcs:LCBD_1933
ko:K03699	lcs:LCBD_1962
ko:K01834	lcs:LCBD_2522
ko:K16511	lcs:LCBD_1931
ko:K01838	lcs:LCBD_1125
ko:K11733	lcs:LCBD_2031
ko:K16264	lcs:LCBD_2768
ko:K01223	lcs:LCBD_0512
ko:K02769	lcs:LCBD_0398
ko:K16785	lcs:LCBD_0440
ko:K15583	lcs:LCBD_2078
ko:K15583	lcs:LCBD_2220
ko:K16169	lcs:LCBD_1259
ko:K01223	lcs:LCBD_2855
ko:K14235	lcs:LCBD_t23
ko:K10823	lcs:LCBD_2219
ko:K05340	lcs:LCBD_1267
ko:K15772	lcs:LCBD_1130
ko:K15770	lcs:LCBD_1128
ko:K01989	lcs:LCBD_0777
ko:K00034	lcs:LCBD_2346
ko:K15580	lcs:LCBD_3020
ko:K16786	lcs:LCBD_2659
ko:K02026	lcs:LCBD_1135
ko:K16787	lcs:LCBD_2658
ko:K16785	lcs:LCBD_2657
ko:K15580	lcs:LCBD_2082
ko:K10823	lcs:LCBD_2077
ko:K16789	lcs:LCBD_1954
ko:K02768	lcs:LCBD_0397
ko:K11050	lcs:LCBD_0711
ko:K02027	lcs:LCBD_1134
ko:K02027	lcs:LCBD_0282
ko:K02075	lcs:LCBD_0241
ko:K02025	lcs:LCBD_1136
ko:K14219	lcs:LCBD_t31
ko:K00634	lcs:LCBD_1651
ko:K14233	lcs:LCBD_t17
ko:K14223	lcs:LCBD_t25
ko:K14223	lcs:LCBD_t35
ko:K14222	lcs:LCBD_t26
ko:K14234	lcs:LCBD_t41
ko:K14232	lcs:LCBD_t47
ko:K16960	lcs:LCBD_0458
ko:K16959	lcs:LCBD_0460
ko:K16203	lcs:LCBD_2117
ko:K02030	lcs:LCBD_1470
ko:K16957	lcs:LCBD_0459
ko:K16786	lcs:LCBD_0439
ko:K16787	lcs:LCBD_0439
ko:K14226	lcs:LCBD_t24
ko:K14228	lcs:LCBD_t30
ko:K14228	lcs:LCBD_t50
ko:K14227	lcs:LCBD_t33
ko:K11991	lcs:LCBD_2444
ko:K14225	lcs:LCBD_t07
ko:K14225	lcs:LCBD_t51
ko:K14225	lcs:LCBD_t48
ko:K15555	lcs:LCBD_2640
ko:K16785	lcs:LCBD_0313
ko:K14228	lcs:LCBD_t27
ko:K14228	lcs:LCBD_t39
ko:K10974	lcs:LCBD_2249
ko:K16925	lcs:LCBD_0311
ko:K16924	lcs:LCBD_0438
ko:K02809	lcs:LCBD_2263
ko:K02810	lcs:LCBD_2263
ko:K16898	lcs:LCBD_1694
ko:K16899	lcs:LCBD_1695
ko:K09951	lcs:LCBD_2369
ko:K14219	lcs:LCBD_t01
ko:K14219	lcs:LCBD_t08
ko:K14219	lcs:LCBD_t49
ko:K14219	lcs:LCBD_t32
ko:K14219	lcs:LCBD_t37
ko:K14218	lcs:LCBD_t02
ko:K14218	lcs:LCBD_t03
ko:K14218	lcs:LCBD_t55
ko:K14218	lcs:LCBD_t44
ko:K14237	lcs:LCBD_t04
ko:K14237	lcs:LCBD_t54
ko:K14237	lcs:LCBD_t29
ko:K14229	lcs:LCBD_t05
ko:K14229	lcs:LCBD_t53
ko:K14234	lcs:LCBD_t06
ko:K14225	lcs:LCBD_t15
ko:K14232	lcs:LCBD_t09
ko:K14230	lcs:LCBD_t10
ko:K14230	lcs:LCBD_t12
ko:K14230	lcs:LCBD_t19
ko:K14221	lcs:LCBD_t13
ko:K14221	lcs:LCBD_t20
ko:K14231	lcs:LCBD_t14
ko:K14231	lcs:LCBD_t21
ko:K14227	lcs:LCBD_t16
ko:K14227	lcs:LCBD_t45
ko:K14227	lcs:LCBD_t56
ko:K14233	lcs:LCBD_t59
ko:K14224	lcs:LCBD_t18
ko:K14224	lcs:LCBD_t42
ko:K14224	lcs:LCBD_t34
ko:K14236	lcs:LCBD_t22
ko:K14236	lcs:LCBD_t40
ko:K14228	lcs:LCBD_t52
ko:K14220	lcs:LCBD_t28
ko:K14220	lcs:LCBD_t43
ko:K14233	lcs:LCBD_t36
ko:K14225	lcs:LCBD_t38
ko:K14220	lcs:LCBD_t46
ko:K14229	lcs:LCBD_t58
ko:K03574	lcs:LCBD_2755
ko:K01980	lcs:LCBD_r05
ko:K11070	lcs:LCBD_1154
ko:K02028	lcs:LCBD_1469
ko:K01980	lcs:LCBD_r14
ko:K17467	lcs:LCBD_0418
ko:K17466	lcs:LCBD_0417
ko:K17464	lcs:LCBD_0415
ko:K01992	lcs:LCBD_2341
ko:K01990	lcs:LCBD_0681
ko:K02029	lcs:LCBD_1543
ko:K02030	lcs:LCBD_1543
ko:K02029	lcs:LCBD_3035
ko:K02030	lcs:LCBD_3035
ko:K02029	lcs:LCBD_3073
ko:K02030	lcs:LCBD_3073
ko:K02029	lcs:LCBD_3074
ko:K02030	lcs:LCBD_3074
ko:K10947	lcs:LCBD_2063
ko:K17465	lcs:LCBD_0416
ko:K01992	lcs:LCBD_0122
ko:K01990	lcs:LCBD_1145
ko:K01992	lcs:LCBD_1914
ko:K01992	lcs:LCBD_1146
ko:K01990	lcs:LCBD_2343
ko:K01992	lcs:LCBD_2642
ko:K01990	lcs:LCBD_0522
ko:K01990	lcs:LCBD_2074
ko:K01990	lcs:LCBD_0121
ko:K01990	lcs:LCBD_1161
ko:K01990	lcs:LCBD_1915
ko:K01990	lcs:LCBD_2340
ko:K01990	lcs:LCBD_2644
ko:K01738	lcs:LCBD_p47
ko:K01760	lcs:LCBD_p48
ko:K02032	lcs:LCBD_1811
ko:K00951	lcs:LCBD_1738
ko:K00265	lcs:LCBD_2733
ko:K02028	lcs:LCBD_1544
ko:K02028	lcs:LCBD_3072
ko:K01537	lcs:LCBD_1998
ko:K01537	lcs:LCBD_0629
ko:K07045	lcs:LCBD_0505
ko:K17076	lcs:LCBD_3062
ko:K01992	lcs:LCBD_2643
ko:K17073	lcs:LCBD_3061
ko:K17074	lcs:LCBD_3061
ko:K02795	lcs:LCBD_0389
ko:K02794	lcs:LCBD_0390
ko:K02796	lcs:LCBD_0388
ko:K02793	lcs:LCBD_0391
ko:K10112	lcs:LCBD_1126
ko:K01990	lcs:LCBD_0089
ko:K01990	lcs:LCBD_0340
ko:K01990	lcs:LCBD_1408
ko:K01990	lcs:LCBD_1424
ko:K01990	lcs:LCBD_2066
ko:K01990	lcs:LCBD_2420
ko:K01990	lcs:LCBD_2502
ko:K01992	lcs:LCBD_1409
ko:K01992	lcs:LCBD_1423
ko:K01992	lcs:LCBD_2067
ko:K01992	lcs:LCBD_2503
ko:K01992	lcs:LCBD_2504
ko:K01533	lcs:LCBD_1941
ko:K10112	lcs:LCBD_1137
ko:K17836	lcs:LCBD_0369
ko:K07284	lcs:LCBD_2306
ko:K07979	lcs:LCBD_2342
ko:K07979	lcs:LCBD_2421
ko:K12574	lcs:LCBD_1133
ko:K12574	lcs:LCBD_1507
ko:K17828	lcs:LCBD_1655
ko:K17810	lcs:LCBD_2316
ko:K07284	lcs:LCBD_0521
ko:K17836	lcs:LCBD_2987
ko:K00661	lcs:LCBD_3083
ko:K00661	lcs:LCBD_2584
ko:K12574	lcs:LCBD_1533
ko:K01187	lcs:LCBD_1122
ko:K07284	lcs:LCBD_0623
ko:K07284	lcs:LCBD_2546
ko:K18104	lcs:LCBD_2298
ko:K01621	lcs:LCBD_2955
ko:K01101	lcs:LCBD_0900
ko:K02770	lcs:LCBD_0399
ko:K01977	lcs:LCBD_r12
ko:K01980	lcs:LCBD_r02
ko:K01977	lcs:LCBD_r03
ko:K01071	lcs:LCBD_2433
ko:K01980	lcs:LCBD_r08
ko:K01980	lcs:LCBD_r11
ko:K02794	lcs:LCBD_2951
ko:K17869	lcs:LCBD_0278
ko:K00104	lcs:LCBD_2489
ko:K02794	lcs:LCBD_0290
ko:K02794	lcs:LCBD_0445
ko:K02794	lcs:LCBD_0471
ko:K02794	lcs:LCBD_0635
ko:K02794	lcs:LCBD_2964
ko:K02794	lcs:LCBD_2992
ko:K01977	lcs:LCBD_r04
ko:K19591	lcs:LCBD_1426
ko:K18889	lcs:LCBD_2087
ko:K05352	lcs:LCBD_2953
ko:K01271	lcs:LCBD_0883
ko:K03328	lcs:LCBD_2721
ko:K03322	lcs:LCBD_2113
ko:K01259	lcs:LCBD_2116
ko:K00134	lcs:LCBD_1597
ko:K02759	lcs:LCBD_1976
ko:K01439	lcs:LCBD_1988
ko:K01989	lcs:LCBD_1994
ko:K14205	lcs:LCBD_2333
ko:K01689	lcs:LCBD_2629
ko:K05685	lcs:LCBD_2807
ko:K02760	lcs:LCBD_2854
ko:K02027	lcs:LCBD_3064
ko:K02003	lcs:LCBD_1047
ko:K02793	lcs:LCBD_0636
ko:K02794	lcs:LCBD_0636
ko:K00068	lcs:LCBD_0414
ko:K00009	lcs:LCBD_0419
ko:K02795	lcs:LCBD_0373
ko:K03742	lcs:LCBD_1017
ko:K00105	lcs:LCBD_0727
ko:K00105	lcs:LCBD_0728
ko:K03293	lcs:LCBD_0705
ko:K01621	lcs:LCBD_0168
ko:K00426	lcs:LCBD_0015
ko:K18581	lcs:LCBD_2884
ko:K06384	lcs:LCBD_3076
ko:K18672	lcs:LCBD_1162
ko:K18682	lcs:LCBD_1019
ko:K18692	lcs:LCBD_0857
ko:K07171	lcs:LCBD_0090
ko:K18892	lcs:LCBD_0688
ko:K18891	lcs:LCBD_0687
ko:K07171	lcs:LCBD_2735
ko:K01262	lcs:LCBD_0298
ko:K18929	lcs:LCBD_2228
ko:K18928	lcs:LCBD_2229
ko:K03497	lcs:LCBD_0200
ko:K03496	lcs:LCBD_0201
ko:K03497	lcs:LCBD_0202
ko:K03111	lcs:LCBD_0008
ko:K03111	lcs:LCBD_0010
ko:K07473	lcs:LCBD_1430
ko:K03205	lcs:LCBD_p15
ko:K03502	lcs:LCBD_p56
ko:K03205	lcs:LCBD_0597
ko:K07029	lcs:LCBD_1200
ko:K07484	lcs:LCBD_0412
ko:K07484	lcs:LCBD_0656
ko:K07484	lcs:LCBD_0909
