ko:K12978	ftv:CH67_2111
ko:K04565	ftv:CH67_669
ko:K00121	ftv:CH67_673
ko:K00121	ftv:CH67_674
ko:K00121	ftv:CH67_675
ko:K00812	ftv:CH67_676
ko:K03631	ftv:CH67_678
ko:K01491	ftv:CH67_684
ko:K01933	ftv:CH67_685
ko:K11175	ftv:CH67_687
ko:K01588	ftv:CH67_688
ko:K01589	ftv:CH67_690
ko:K06190	ftv:CH67_693
ko:K00845	ftv:CH67_694
ko:K03183	ftv:CH67_696
ko:K03690	ftv:CH67_697
ko:K03688	ftv:CH67_698
ko:K02503	ftv:CH67_699
ko:K00075	ftv:CH67_704
ko:K00790	ftv:CH67_705
ko:K03977	ftv:CH67_706
ko:K07460	ftv:CH67_710
ko:K01414	ftv:CH67_711
ko:K03168	ftv:CH67_717
ko:K03496	ftv:CH67_718
ko:K03497	ftv:CH67_719
ko:K07023	ftv:CH67_722
ko:K02427	ftv:CH67_723
ko:K00014	ftv:CH67_782
ko:K00700	ftv:CH67_784
ko:K01835	ftv:CH67_785
ko:K00975	ftv:CH67_786
ko:K00703	ftv:CH67_787
ko:K00688	ftv:CH67_788
ko:K00705	ftv:CH67_789
ko:K01878	ftv:CH67_790
ko:K01928	ftv:CH67_791
ko:K01929	ftv:CH67_793
ko:K00133	ftv:CH67_795
ko:K00133	ftv:CH67_796
ko:K12524	ftv:CH67_797
ko:K00872	ftv:CH67_798
ko:K01733	ftv:CH67_799
ko:K01611	ftv:CH67_801
ko:K00797	ftv:CH67_802
ko:K01585	ftv:CH67_804
ko:K10536	ftv:CH67_805
ko:K12251	ftv:CH67_810
ko:K12251	ftv:CH67_811
ko:K03269	ftv:CH67_812
ko:K00762	ftv:CH67_813
ko:K02558	ftv:CH67_814
ko:K03218	ftv:CH67_816
ko:K07122	ftv:CH67_820
ko:K07323	ftv:CH67_821
ko:K02067	ftv:CH67_822
ko:K02066	ftv:CH67_823
ko:K02065	ftv:CH67_824
ko:K03608	ftv:CH67_825
ko:K03609	ftv:CH67_826
ko:K03610	ftv:CH67_827
ko:K02913	ftv:CH67_828
ko:K02902	ftv:CH67_829
ko:K03655	ftv:CH67_831
ko:K01676	ftv:CH67_833
ko:K09794	ftv:CH67_893
ko:K07516	ftv:CH67_897
ko:K01897	ftv:CH67_899
ko:K00537	ftv:CH67_900
ko:K00031	ftv:CH67_901
ko:K03578	ftv:CH67_903
ko:K13012	ftv:CH67_906
ko:K01784	ftv:CH67_907
ko:K02474	ftv:CH67_909
ko:K02473	ftv:CH67_910
ko:K01953	ftv:CH67_913
ko:K00973	ftv:CH67_918
ko:K01710	ftv:CH67_919
ko:K00971	ftv:CH67_922
ko:K01840	ftv:CH67_923
ko:K03628	ftv:CH67_924
ko:K03671	ftv:CH67_925
ko:K01524	ftv:CH67_927
ko:K07478	ftv:CH67_928
ko:K03040	ftv:CH67_929
ko:K03594	ftv:CH67_932
ko:K03424	ftv:CH67_935
ko:K11312	ftv:CH67_936
ko:K01990	ftv:CH67_938
ko:K01992	ftv:CH67_939
ko:K00858	ftv:CH67_942
ko:K03439	ftv:CH67_943
ko:K01916	ftv:CH67_1008
ko:K03543	ftv:CH67_1010
ko:K03446	ftv:CH67_1011
ko:K01897	ftv:CH67_1012
ko:K03305	ftv:CH67_1014
ko:K09761	ftv:CH67_1015
ko:K02067	ftv:CH67_1018
ko:K02065	ftv:CH67_1019
ko:K02066	ftv:CH67_1020
ko:K06180	ftv:CH67_1022
ko:K05807	ftv:CH67_1023
ko:K00600	ftv:CH67_1027
ko:K09889	ftv:CH67_1028
ko:K01442	ftv:CH67_1034
ko:K03305	ftv:CH67_1035
ko:K03305	ftv:CH67_1036
ko:K04075	ftv:CH67_1037
ko:K00058	ftv:CH67_1038
ko:K13292	ftv:CH67_1040
ko:K08300	ftv:CH67_1041
ko:K04487	ftv:CH67_1043
ko:K03584	ftv:CH67_1045
ko:K03975	ftv:CH67_1046
ko:K03975	ftv:CH67_1047
ko:K05527	ftv:CH67_1048
ko:K01934	ftv:CH67_1049
ko:K09895	ftv:CH67_1050
ko:K03185	ftv:CH67_1051
ko:K18800	ftv:CH67_1052
ko:K07568	ftv:CH67_1054
ko:K09125	ftv:CH67_1056
ko:K01759	ftv:CH67_1057
ko:K14540	ftv:CH67_1115
ko:K01443	ftv:CH67_1116
ko:K14742	ftv:CH67_1117
ko:K00812	ftv:CH67_1119
ko:K18930	ftv:CH67_1122
ko:K18930	ftv:CH67_1123
ko:K00939	ftv:CH67_1127
ko:K02663	ftv:CH67_1129
ko:K02664	ftv:CH67_1130
ko:K02665	ftv:CH67_1131
ko:K02666	ftv:CH67_1132
ko:K00891	ftv:CH67_1133
ko:K01735	ftv:CH67_1134
ko:K09159	ftv:CH67_1137
ko:K13821	ftv:CH67_1138
ko:K13038	ftv:CH67_1141
ko:K01785	ftv:CH67_1142
ko:K01669	ftv:CH67_1153
ko:K01772	ftv:CH67_1156
ko:K02653	ftv:CH67_1162
ko:K02652	ftv:CH67_1163
ko:K01126	ftv:CH67_1165
ko:K03802	ftv:CH67_1166
ko:K03811	ftv:CH67_1279
ko:K03455	ftv:CH67_1280
ko:K06987	ftv:CH67_1285
ko:K00948	ftv:CH67_1286
ko:K02897	ftv:CH67_1287
ko:K06942	ftv:CH67_1292
ko:K01056	ftv:CH67_1293
ko:K17836	ftv:CH67_1294
ko:K02654	ftv:CH67_1296
ko:K00322	ftv:CH67_1297
ko:K10716	ftv:CH67_1298
ko:K03305	ftv:CH67_1300
ko:K03667	ftv:CH67_1301
ko:K01419	ftv:CH67_1302
ko:K03800	ftv:CH67_1304
ko:K01866	ftv:CH67_1305
ko:K00101	ftv:CH67_1309
ko:K18930	ftv:CH67_1311
ko:K18930	ftv:CH67_1312
ko:K08325	ftv:CH67_1313
ko:K02687	ftv:CH67_1314
ko:K03427	ftv:CH67_1316
ko:K02346	ftv:CH67_1321
ko:K06158	ftv:CH67_1324
ko:K03674	ftv:CH67_1325
ko:K00024	ftv:CH67_1327
ko:K06134	ftv:CH67_1329
ko:K00432	ftv:CH67_1771
ko:K01488	ftv:CH67_1776
ko:K00278	ftv:CH67_1778
ko:K00767	ftv:CH67_1779
ko:K03517	ftv:CH67_1780
ko:K00942	ftv:CH67_1781
ko:K05592	ftv:CH67_1782
ko:K03769	ftv:CH67_1783
ko:K08137	ftv:CH67_1785
ko:K00965	ftv:CH67_1786
ko:K00849	ftv:CH67_1788
ko:K00979	ftv:CH67_1789
ko:K09791	ftv:CH67_1790
ko:K02887	ftv:CH67_1795
ko:K02916	ftv:CH67_1796
ko:K02520	ftv:CH67_1797
ko:K01868	ftv:CH67_1798
ko:K02437	ftv:CH67_1802
ko:K02563	ftv:CH67_1803
ko:K09747	ftv:CH67_1804
ko:K06187	ftv:CH67_1805
ko:K03762	ftv:CH67_1810
ko:K01424	ftv:CH67_1816
ko:K13282	ftv:CH67_1817
ko:K07025	ftv:CH67_1819
ko:K03215	ftv:CH67_1928
ko:K03060	ftv:CH67_1931
ko:K00876	ftv:CH67_1932
ko:K01627	ftv:CH67_1933
ko:K15724	ftv:CH67_1934
ko:K00962	ftv:CH67_1935
ko:K02956	ftv:CH67_1936
ko:K03587	ftv:CH67_1937
ko:K03586	ftv:CH67_1938
ko:K03438	ftv:CH67_1939
ko:K10563	ftv:CH67_1941
ko:K08681	ftv:CH67_1944
ko:K06215	ftv:CH67_1945
ko:K02470	ftv:CH67_1946
ko:K05539	ftv:CH67_1948
ko:K01903	ftv:CH67_1952
ko:K01902	ftv:CH67_1953
ko:K03305	ftv:CH67_1957
ko:K03305	ftv:CH67_1959
ko:K01424	ftv:CH67_1960
ko:K06201	ftv:CH67_1964
ko:K01091	ftv:CH67_1967
ko:K00384	ftv:CH67_1970
ko:K03572	ftv:CH67_1976
ko:K06949	ftv:CH67_1980
ko:K01883	ftv:CH67_2090
ko:K07320	ftv:CH67_2091
ko:K07552	ftv:CH67_2092
ko:K02672	ftv:CH67_2097
ko:K11928	ftv:CH67_2107
ko:K02446	ftv:CH67_2108
ko:K07018	ftv:CH67_2109
ko:K11733	ftv:CH67_2110
ko:K03466	ftv:CH67_2112
ko:K03634	ftv:CH67_2113
ko:K03498	ftv:CH67_2116
ko:K03607	ftv:CH67_2118
ko:K01153	ftv:CH67_2120
ko:K01153	ftv:CH67_2121
ko:K04077	ftv:CH67_2124
ko:K04078	ftv:CH67_2125
ko:K09861	ftv:CH67_2130
ko:K00783	ftv:CH67_2134
ko:K02493	ftv:CH67_2133
ko:K02835	ftv:CH67_2135
ko:K02492	ftv:CH67_2136
ko:K17713	ftv:CH67_2138
ko:K02622	ftv:CH67_2140
ko:K03806	ftv:CH67_2141
ko:K22468	ftv:CH67_855
ko:K01183	ftv:CH67_1918
ko:K01992	ftv:CH67_1912
ko:K00020	ftv:CH67_281
ko:K00020	ftv:CH67_282
ko:K01152	ftv:CH67_164
ko:K01152	ftv:CH67_271
ko:K01152	ftv:CH67_1332
ko:K01152	ftv:CH67_2132
ko:K00526	ftv:CH67_1323
ko:K03676	ftv:CH67_1323
ko:K02471	ftv:CH67_142
ko:K09701	ftv:CH67_873
ko:K15342	ftv:CH67_1698
ko:K04744	ftv:CH67_1759
ko:K08156	ftv:CH67_1965
ko:K14234	ftv:CH67_249
ko:K01980	ftv:CH67_387
ko:K01980	ftv:CH67_743
ko:K01980	ftv:CH67_1533
ko:K14218	ftv:CH67_1532
ko:K14218	ftv:CH67_386
ko:K14218	ftv:CH67_742
ko:K14219	ftv:CH67_592
ko:K14231	ftv:CH67_1815
ko:K14233	ftv:CH67_1740
ko:K14237	ftv:CH67_1930
ko:K14237	ftv:CH67_738
ko:K14228	ftv:CH67_981
ko:K14226	ftv:CH67_1812
ko:K14225	ftv:CH67_14
ko:K14230	ftv:CH67_81
ko:K14230	ftv:CH67_2119
ko:K14221	ftv:CH67_248
ko:K14223	ftv:CH67_420
ko:K14224	ftv:CH67_499
ko:K01985	ftv:CH67_1534
ko:K01985	ftv:CH67_744
ko:K01985	ftv:CH67_388
ko:K01985	ftv:CH67_774
ko:K14237	ftv:CH67_1664
ko:K14222	ftv:CH67_980
ko:K14228	ftv:CH67_47
ko:K14228	ftv:CH67_1811
ko:K14230	ftv:CH67_854
ko:K14233	ftv:CH67_737
ko:K14233	ftv:CH67_635
ko:K14236	ftv:CH67_15
ko:K14234	ftv:CH67_13
ko:K14219	ftv:CH67_2127
ko:K14229	ftv:CH67_1885
ko:K14219	ftv:CH67_1813
ko:K14232	ftv:CH67_1814
ko:K14225	ftv:CH67_591
ko:K14225	ftv:CH67_979
ko:K07666	ftv:CH67_863
ko:K14220	ftv:CH67_970
ko:K19802	ftv:CH67_1767
ko:K19810	ftv:CH67_1746
ko:K05770	ftv:CH67_1442
ko:K20265	ftv:CH67_1671
ko:K20265	ftv:CH67_1672
ko:K20265	ftv:CH67_554
ko:K20265	ftv:CH67_1604
ko:K20265	ftv:CH67_1983
ko:K00507	ftv:CH67_868
ko:K13713	ftv:CH67_686
ko:K20534	ftv:CH67_940
ko:K01932	ftv:CH67_1809
ko:K13004	ftv:CH67_908
ko:K01200	ftv:CH67_783
ko:K21053	ftv:CH67_1643
ko:K21053	ftv:CH67_1644
ko:K00632	ftv:CH67_896
ko:K02335	ftv:CH67_2072
ko:K00558	ftv:CH67_127
ko:K00558	ftv:CH67_128
ko:K00558	ftv:CH67_129
ko:K00287	ftv:CH67_501
ko:K01520	ftv:CH67_508
ko:K03553	ftv:CH67_263
ko:K03462	ftv:CH67_892
ko:K00560	ftv:CH67_1039
ko:K06197	ftv:CH67_1144
ko:K13522	ftv:CH67_753
ko:K06217	ftv:CH67_1222
ko:K02314	ftv:CH67_1369
ko:K00857	ftv:CH67_1226
ko:K02316	ftv:CH67_1395
ko:K02483	ftv:CH67_878
ko:K03293	ftv:CH67_670
ko:K03271	ftv:CH67_324
ko:K00525	ftv:CH67_1326
ko:K01139	ftv:CH67_1806
ko:K01582	ftv:CH67_777
ko:K21600	ftv:CH67_1354
ko:K04103	ftv:CH67_257
ko:K21829	ftv:CH67_632
ko:K22116	ftv:CH67_1808
ko:K03595	ftv:CH67_1120
ko:K22132	ftv:CH67_1331
ko:K22132	ftv:CH67_1334
ko:K02257	ftv:CH67_471
ko:K13566	ftv:CH67_959
