ko:K19744	paec:M802_3986
ko:K03823	paec:M802_5034
ko:K01429	paec:M802_5035
ko:K01428	paec:M802_5036
ko:K04046	paec:M802_5041
ko:K04064	paec:M802_5044
ko:K07290	paec:M802_5047
ko:K03594	paec:M802_5048
ko:K07665	paec:M802_5053
ko:K07644	paec:M802_5055
ko:K00508	paec:M802_5056
ko:K03187	paec:M802_5059
ko:K03188	paec:M802_5060
ko:K03189	paec:M802_5061
ko:K03192	paec:M802_5062
ko:K07165	paec:M802_5063
ko:K03088	paec:M802_5064
ko:K16087	paec:M802_5065
ko:K00128	paec:M802_5067
ko:K05548	paec:M802_5068
ko:K01576	paec:M802_5069
ko:K11475	paec:M802_5073
ko:K01996	paec:M802_5077
ko:K01995	paec:M802_5078
ko:K01998	paec:M802_5079
ko:K01997	paec:M802_5080
ko:K01999	paec:M802_5081
ko:K03406	paec:M802_5083
ko:K08281	paec:M802_5086
ko:K00763	paec:M802_5087
ko:K01916	paec:M802_5088
ko:K06966	paec:M802_5091
ko:K12943	paec:M802_5092
ko:K03442	paec:M802_5093
ko:K01775	paec:M802_5098
ko:K02939	paec:M802_5100
ko:K02963	paec:M802_5102
ko:K02990	paec:M802_5103
ko:K03218	paec:M802_5104
ko:K12573	paec:M802_5105
ko:K01939	paec:M802_5108
ko:K02502	paec:M802_5109
ko:K09937	paec:M802_5110
ko:K04087	paec:M802_5111
ko:K04088	paec:M802_5112
ko:K03665	paec:M802_5113
ko:K03666	paec:M802_5114
ko:K00791	paec:M802_5115
ko:K03572	paec:M802_5116
ko:K01448	paec:M802_5117
ko:K06925	paec:M802_5118
ko:K17758	paec:M802_5119
ko:K17759	paec:M802_5119
ko:K13288	paec:M802_5121
ko:K06949	paec:M802_5122
ko:K02557	paec:M802_5123
ko:K02556	paec:M802_5124
ko:K01011	paec:M802_5126
ko:K01613	paec:M802_5127
ko:K01079	paec:M802_5130
ko:K07038	paec:M802_5132
ko:K09857	paec:M802_5133
ko:K02621	paec:M802_5134
ko:K06985	paec:M802_5135
ko:K02622	paec:M802_5137
ko:K07000	paec:M802_5138
ko:K03651	paec:M802_5139
ko:K09920	paec:M802_5140
ko:K01515	paec:M802_5141
ko:K03147	paec:M802_5143
ko:K12340	paec:M802_5144
ko:K00355	paec:M802_5145
ko:K12252	paec:M802_5146
ko:K15866	paec:M802_5150
ko:K02205	paec:M802_5151
ko:K02030	paec:M802_5153
ko:K02055	paec:M802_5156
ko:K02527	paec:M802_5159
ko:K03272	paec:M802_5167
ko:K11085	paec:M802_5168
ko:K00612	paec:M802_5176
ko:K02848	paec:M802_5180
ko:K02844	paec:M802_5181
ko:K02841	paec:M802_5182
ko:K02843	paec:M802_5183
ko:K00826	paec:M802_5184
ko:K00982	paec:M802_5185
ko:K00163	paec:M802_5186
ko:K00627	paec:M802_5187
ko:K07304	paec:M802_5189
ko:K07115	paec:M802_5190
ko:K11105	paec:M802_5192
ko:K05802	paec:M802_5193
ko:K07090	paec:M802_5195
ko:K01740	paec:M802_5196
ko:K08224	paec:M802_5201
ko:K01599	paec:M802_5205
ko:K00266	paec:M802_5206
ko:K00265	paec:M802_5207
ko:K03112	paec:M802_5208
ko:K01735	paec:M802_5209
ko:K00891	paec:M802_5210
ko:K02666	paec:M802_5211
ko:K02665	paec:M802_5212
ko:K02662	paec:M802_5215
ko:K05366	paec:M802_5216
ko:K00029	paec:M802_5217
ko:K02909	paec:M802_5220
ko:K04066	paec:M802_5221
ko:K01887	paec:M802_5222
ko:K01419	paec:M802_5224
ko:K03667	paec:M802_5225
ko:K03821	paec:M802_5227
ko:K03821	paec:M802_5229
ko:K03183	paec:M802_5234
ko:K03690	paec:M802_5235
ko:K03688	paec:M802_5236
ko:K01496	paec:M802_5237
ko:K01523	paec:M802_5238
ko:K03116	paec:M802_5239
ko:K03117	paec:M802_5240
ko:K03118	paec:M802_5241
ko:K03406	paec:M802_5243
ko:K02028	paec:M802_5245
ko:K02029	paec:M802_5246
ko:K02030	paec:M802_5247
ko:K03669	paec:M802_5248
ko:K03670	paec:M802_5249
ko:K07560	paec:M802_5250
ko:K01259	paec:M802_5251
ko:K10001	paec:M802_5253
ko:K00285	paec:M802_5255
ko:K07126	paec:M802_5258
ko:K01479	paec:M802_5262
ko:K01468	paec:M802_5263
ko:K01745	paec:M802_5264
ko:K02000	paec:M802_5265
ko:K02001	paec:M802_5266
ko:K02002	paec:M802_5267
ko:K01745	paec:M802_5269
ko:K03457	paec:M802_5270
ko:K01712	paec:M802_5271
ko:K02002	paec:M802_5274
ko:K09975	paec:M802_5275
ko:K05836	paec:M802_5276
ko:K05603	paec:M802_5277
ko:K03098	paec:M802_5278
ko:K03841	paec:M802_5281
ko:K01759	paec:M802_5282
ko:K12686	paec:M802_5283
ko:K06207	paec:M802_5288
ko:K03151	paec:M802_5289
ko:K01915	paec:M802_5290
ko:K07708	paec:M802_5295
ko:K07712	paec:M802_5296
ko:K03216	paec:M802_5298
ko:K03071	paec:M802_5299
ko:K15633	paec:M802_5302
ko:K07052	paec:M802_5303
ko:K03797	paec:M802_5305
ko:K09798	paec:M802_5306
ko:K02030	paec:M802_5310
ko:K02500	paec:M802_5311
ko:K01814	paec:M802_5312
ko:K02501	paec:M802_5314
ko:K01693	paec:M802_5315
ko:K07289	paec:M802_5319
ko:K03575	paec:M802_5320
ko:K02028	paec:M802_5326
ko:K02030	paec:M802_5327
ko:K02029	paec:M802_5328
ko:K02029	paec:M802_5329
ko:K03543	paec:M802_5333
ko:K03446	paec:M802_5334
ko:K00067	paec:M802_5337
ko:K00973	paec:M802_5338
ko:K01790	paec:M802_5339
ko:K10125	paec:M802_5340
ko:K10126	paec:M802_5341
ko:K11688	paec:M802_5342
ko:K11689	paec:M802_5343
ko:K03758	paec:M802_5345
ko:K01478	paec:M802_5346
ko:K00611	paec:M802_5347
ko:K00926	paec:M802_5348
ko:K01082	paec:M802_5350
ko:K08312	paec:M802_5351
ko:K02379	paec:M802_5355
ko:K04093	paec:M802_5361
ko:K07107	paec:M802_5360
ko:K01610	paec:M802_5368
ko:K04083	paec:M802_5369
ko:K04762	paec:M802_5371
ko:K05844	paec:M802_5373
ko:K01297	paec:M802_5374
ko:K07638	paec:M802_5375
ko:K07659	paec:M802_5376
ko:K06959	paec:M802_5377
ko:K02614	paec:M802_5378
ko:K01919	paec:M802_5379
ko:K14682	paec:M802_5380
ko:K05595	paec:M802_5382
ko:K01438	paec:M802_5381
ko:K03306	paec:M802_5383
ko:K07220	paec:M802_5384
ko:K02454	paec:M802_5386
ko:K07340	paec:M802_5387
ko:K00281	paec:M802_5389
ko:K02437	paec:M802_5390
ko:K00605	paec:M802_5391
ko:K02011	paec:M802_5392
ko:K02012	paec:M802_5393
ko:K03185	paec:M802_5399
ko:K01262	paec:M802_5400
ko:K09895	paec:M802_5401
ko:K09888	paec:M802_5403
ko:K01934	paec:M802_5404
ko:K13926	paec:M802_5408
ko:K01993	paec:M802_5409
ko:K02415	paec:M802_5410
ko:K02445	paec:M802_5412
ko:K00523	paec:M802_5413
ko:K03182	paec:M802_5414
ko:K03628	paec:M802_5416
ko:K03671	paec:M802_5417
ko:K01524	paec:M802_5419
ko:K00937	paec:M802_5418
ko:K01698	paec:M802_5420
ko:K09768	paec:M802_5423
ko:K07243	paec:M802_5425
ko:K05834	paec:M802_5426
ko:K06158	paec:M802_5429
ko:K03773	paec:M802_5432
ko:K07740	paec:M802_5433
ko:K03611	paec:M802_5434
ko:K02498	paec:M802_5435
ko:K02496	paec:M802_5436
ko:K01719	paec:M802_5437
ko:K01749	paec:M802_5438
ko:K08083	paec:M802_5439
ko:K08082	paec:M802_5440
ko:K01755	paec:M802_5441
ko:K11903	paec:M802_5445
ko:K03284	paec:M802_5446
ko:K02030	paec:M802_5448
ko:K05851	paec:M802_5450
ko:K06140	paec:M802_5452
ko:K06202	paec:M802_5453
ko:K01586	paec:M802_5455
ko:K01778	paec:M802_5456
ko:K09921	paec:M802_5457
ko:K03733	paec:M802_5458
ko:K03320	paec:M802_5465
ko:K04752	paec:M802_5466
ko:K09806	paec:M802_5467
ko:K07391	paec:M802_5468
ko:K02168	paec:M802_5469
ko:K03327	paec:M802_5473
ko:K03656	paec:M802_5474
ko:K00156	paec:M802_5475
ko:K03816	paec:M802_5476
ko:K01775	paec:M802_5480
ko:K00285	paec:M802_5482
ko:K09978	paec:M802_5483
ko:K03719	paec:M802_5486
ko:K12254	paec:M802_5490
ko:K00822	paec:M802_5491
ko:K06995	paec:M802_5492
ko:K02913	paec:M802_5493
ko:K02902	paec:M802_5494
ko:K02035	paec:M802_5495
ko:K03630	paec:M802_5497
ko:K13038	paec:M802_5498
ko:K15778	paec:M802_5500
ko:K00930	paec:M802_5501
ko:K07107	paec:M802_5508
ko:K00762	paec:M802_5509
ko:K01142	paec:M802_5510
ko:K09940	paec:M802_5511
ko:K00989	paec:M802_5512
ko:K00942	paec:M802_5514
ko:K03060	paec:M802_5515
ko:K04761	paec:M802_5522
ko:K03655	paec:M802_5523
ko:K05787	paec:M802_5526
ko:K05297	paec:M802_5527
ko:K11477	paec:M802_5530
ko:K11473	paec:M802_5531
ko:K11472	paec:M802_5532
ko:K00104	paec:M802_5533
ko:K11474	paec:M802_5534
ko:K03181	paec:M802_5535
ko:K03179	paec:M802_5536
ko:K07657	paec:M802_5538
ko:K07636	paec:M802_5539
ko:K02039	paec:M802_5543
ko:K02036	paec:M802_5544
ko:K02038	paec:M802_5545
ko:K02037	paec:M802_5546
ko:K02040	paec:M802_5547
ko:K10806	paec:M802_5554
ko:K02167	paec:M802_5557
ko:K02168	paec:M802_5558
ko:K02000	paec:M802_5559
ko:K02001	paec:M802_5560
ko:K02002	paec:M802_5561
ko:K01752	paec:M802_5562
ko:K07107	paec:M802_5568
ko:K17735	paec:M802_5569
ko:K02002	paec:M802_5571
ko:K17736	paec:M802_5573
ko:K01438	paec:M802_5572
ko:K02275	paec:M802_111
ko:K02274	paec:M802_112
ko:K02258	paec:M802_113
ko:K02276	paec:M802_114
ko:K02259	paec:M802_118
ko:K07152	paec:M802_120
ko:K02348	paec:M802_121
ko:K11103	paec:M802_125
ko:K06193	paec:M802_134
ko:K11735	paec:M802_135
ko:K00140	paec:M802_136
ko:K00822	paec:M802_138
ko:K01487	paec:M802_140
ko:K02056	paec:M802_142
ko:K02057	paec:M802_143
ko:K02057	paec:M802_144
ko:K03386	paec:M802_145
ko:K03387	paec:M802_146
ko:K02058	paec:M802_152
ko:K03088	paec:M802_155
ko:K02014	paec:M802_157
ko:K02623	paec:M802_158
ko:K00449	paec:M802_159
ko:K00448	paec:M802_160
ko:K00154	paec:M802_374
ko:K07019	paec:M802_377
ko:K08316	paec:M802_379
ko:K07263	paec:M802_380
ko:K07263	paec:M802_381
ko:K03110	paec:M802_382
ko:K09812	paec:M802_383
ko:K09811	paec:M802_384
ko:K03089	paec:M802_385
ko:K03814	paec:M802_387
ko:K03154	paec:M802_389
ko:K03149	paec:M802_390
ko:K03439	paec:M802_391
ko:K02428	paec:M802_396
ko:K00641	paec:M802_399
ko:K09131	paec:M802_401
ko:K02221	paec:M802_402
ko:K00286	paec:M802_403
ko:K06997	paec:M802_404
ko:K02669	paec:M802_405
ko:K02670	paec:M802_406
ko:K16264	paec:M802_407
ko:K01697	paec:M802_409
ko:K01758	paec:M802_410
ko:K01465	paec:M802_411
ko:K00609	paec:M802_412
ko:K02825	paec:M802_413
ko:K07447	paec:M802_414
ko:K07735	paec:M802_415
ko:K03832	paec:M802_416
ko:K01920	paec:M802_417
ko:K02657	paec:M802_418
ko:K02658	paec:M802_419
ko:K02659	paec:M802_420
ko:K02660	paec:M802_421
ko:K02487	paec:M802_423
ko:K06596	paec:M802_423
ko:K06597	paec:M802_424
ko:K06598	paec:M802_425
ko:K09761	paec:M802_429
ko:K00833	paec:M802_430
ko:K00274	paec:M802_431
ko:K03585	paec:M802_435
ko:K18138	paec:M802_436
ko:K18139	paec:M802_437
ko:K11927	paec:M802_438
ko:K00297	paec:M802_440
ko:K01251	paec:M802_442
ko:K02014	paec:M802_444
ko:K01485	paec:M802_447
ko:K10974	paec:M802_448
ko:K17723	paec:M802_449
ko:K01464	paec:M802_451
ko:K03457	paec:M802_452
ko:K06016	paec:M802_453
ko:K00252	paec:M802_456
ko:K03306	paec:M802_459
ko:K07403	paec:M802_460
ko:K02030	paec:M802_463
ko:K05591	paec:M802_464
ko:K03704	paec:M802_465
ko:K03696	paec:M802_469
ko:K07663	paec:M802_473
ko:K07641	paec:M802_474
ko:K06143	paec:M802_475
ko:K18235	paec:M802_479
ko:K02014	paec:M802_481
ko:K03088	paec:M802_483
ko:K03457	paec:M802_487
ko:K01055	paec:M802_491
ko:K01638	paec:M802_493
ko:K05786	paec:M802_496
ko:K02019	paec:M802_498
ko:K05811	paec:M802_499
ko:K07160	paec:M802_503
ko:K01961	paec:M802_505
ko:K01012	paec:M802_511
ko:K00652	paec:M802_512
ko:K02170	paec:M802_513
ko:K02169	paec:M802_514
ko:K01935	paec:M802_515
ko:K02303	paec:M802_521
ko:K08738	paec:M802_529
ko:K15864	paec:M802_530
ko:K04748	paec:M802_531
ko:K02164	paec:M802_532
ko:K02305	paec:M802_534
ko:K04561	paec:M802_535
ko:K02448	paec:M802_536
ko:K06872	paec:M802_548
ko:K03744	paec:M802_549
ko:K03611	paec:M802_550
ko:K03932	paec:M802_555
ko:K00789	paec:M802_558
ko:K00615	paec:M802_560
ko:K03472	paec:M802_563
ko:K00927	paec:M802_564
ko:K01624	paec:M802_567
ko:K07007	paec:M802_570
ko:K07043	paec:M802_572
ko:K07222	paec:M802_5576
ko:K06131	paec:M802_5577
ko:K09958	paec:M802_5578
ko:K01273	paec:M802_5579
ko:K03522	paec:M802_5583
ko:K03521	paec:M802_5584
ko:K07727	paec:M802_5586
ko:K00479	paec:M802_5594
ko:K01620	paec:M802_5597
ko:K00600	paec:M802_5599
ko:K00303	paec:M802_5600
ko:K00305	paec:M802_5603
ko:K01433	paec:M802_5604
ko:K01792	paec:M802_5606
ko:K09950	paec:M802_5607
ko:K01589	paec:M802_5609
ko:K01588	paec:M802_5610
ko:K13953	paec:M802_5611
ko:K01744	paec:M802_5613
ko:K07112	paec:M802_5614
ko:K00375	paec:M802_5615
ko:K03835	paec:M802_5618
ko:K01960	paec:M802_5619
ko:K01959	paec:M802_5620
ko:K00036	paec:M802_5624
ko:K08303	paec:M802_5626
ko:K03657	paec:M802_5629
ko:K08978	paec:M802_5630
ko:K18118	paec:M802_5631
ko:K12995	paec:M802_5633
ko:K01711	paec:M802_5639
ko:K07088	paec:M802_5652
ko:K03300	paec:M802_5654
ko:K02839	paec:M802_5656
ko:K03324	paec:M802_5659
ko:K11102	paec:M802_5665
ko:K11384	paec:M802_5668
ko:K11066	paec:M802_5670
ko:K13590	paec:M802_5672
ko:K03673	paec:M802_5674
ko:K03978	paec:M802_5677
ko:K02204	paec:M802_5680
ko:K09815	paec:M802_5683
ko:K09823	paec:M802_5684
ko:K09817	paec:M802_5685
ko:K09816	paec:M802_5686
ko:K02071	paec:M802_5688
ko:K02072	paec:M802_5689
ko:K02073	paec:M802_5690
ko:K01915	paec:M802_5693
ko:K10126	paec:M802_5696
ko:K10125	paec:M802_5697
ko:K00868	paec:M802_5701
ko:K03455	paec:M802_5703
ko:K01915	paec:M802_5707
ko:K01845	paec:M802_5708
ko:K00059	paec:M802_5709
ko:K03455	paec:M802_5714
ko:K03832	paec:M802_5716
ko:K06204	paec:M802_5721
ko:K01448	paec:M802_5722
ko:K09007	paec:M802_5724
ko:K01465	paec:M802_5726
ko:K07080	paec:M802_5730
ko:K00574	paec:M802_5731
ko:K00820	paec:M802_5734
ko:K04042	paec:M802_5737
ko:K02114	paec:M802_5738
ko:K02112	paec:M802_5739
ko:K02115	paec:M802_5740
ko:K02111	paec:M802_5741
ko:K02113	paec:M802_5742
ko:K02109	paec:M802_5743
ko:K02110	paec:M802_5744
ko:K02108	paec:M802_5745
ko:K02116	paec:M802_5746
ko:K03501	paec:M802_5749
ko:K03495	paec:M802_5750
ko:K03650	paec:M802_5752
ko:K03217	paec:M802_5753
ko:K03536	paec:M802_5754
ko:K02914	paec:M802_5755
ko:K02313	paec:M802_1
ko:K02338	paec:M802_2
ko:K03629	paec:M802_3
ko:K02470	paec:M802_4
ko:K00655	paec:M802_5
ko:K03273	paec:M802_6
ko:K01879	paec:M802_8
ko:K01878	paec:M802_9
ko:K01246	paec:M802_10
ko:K02517	paec:M802_11
ko:K09125	paec:M802_13
ko:K03499	paec:M802_16
ko:K03500	paec:M802_17
ko:K00604	paec:M802_18
ko:K01462	paec:M802_19
ko:K04096	paec:M802_21
ko:K07566	paec:M802_22
ko:K00228	paec:M802_24
ko:K00014	paec:M802_25
ko:K03321	paec:M802_29
ko:K02002	paec:M802_30
ko:K01133	paec:M802_31
ko:K10253	paec:M802_34
ko:K07690	paec:M802_35
ko:K01695	paec:M802_36
ko:K01696	paec:M802_37
ko:K09165	paec:M802_39
ko:K15125	paec:M802_42
ko:K07491	paec:M802_43
ko:K01953	paec:M802_55
ko:K07341	paec:M802_59
ko:K07559	paec:M802_60
ko:K09983	paec:M802_61
ko:K07396	paec:M802_64
ko:K04063	paec:M802_65
ko:K01091	paec:M802_71
ko:K01414	paec:M802_73
ko:K07070	paec:M802_74
ko:K02004	paec:M802_78
ko:K02003	paec:M802_79
ko:K11890	paec:M802_82
ko:K11891	paec:M802_83
ko:K11892	paec:M802_84
ko:K11893	paec:M802_85
ko:K11906	paec:M802_86
ko:K11902	paec:M802_88
ko:K11901	paec:M802_89
ko:K11900	paec:M802_90
ko:K11903	paec:M802_91
ko:K11898	paec:M802_92
ko:K11897	paec:M802_93
ko:K11896	paec:M802_94
ko:K11895	paec:M802_95
ko:K11907	paec:M802_96
ko:K00647	paec:M802_104
ko:K07114	paec:M802_3177
ko:K07114	paec:M802_3178
ko:K07003	paec:M802_3183
ko:K01256	paec:M802_3187
ko:K09916	paec:M802_3189
ko:K02441	paec:M802_3190
ko:K00858	paec:M802_3192
ko:K09977	paec:M802_3194
ko:K00219	paec:M802_3196
ko:K02462	paec:M802_3202
ko:K02461	paec:M802_3203
ko:K02460	paec:M802_3204
ko:K02459	paec:M802_3205
ko:K02458	paec:M802_3206
ko:K02457	paec:M802_3207
ko:K02456	paec:M802_3208
ko:K02455	paec:M802_3209
ko:K02454	paec:M802_3210
ko:K02452	paec:M802_3211
ko:K02453	paec:M802_3212
ko:K10764	paec:M802_3214
ko:K00764	paec:M802_3215
ko:K03558	paec:M802_3216
ko:K03749	paec:M802_3217
ko:K11754	paec:M802_3218
ko:K01963	paec:M802_3219
ko:K01817	paec:M802_3220
ko:K06173	paec:M802_3221
ko:K08086	paec:M802_3222
ko:K00133	paec:M802_3224
ko:K00052	paec:M802_3225
ko:K01704	paec:M802_3227
ko:K01703	paec:M802_3228
ko:K04080	paec:M802_3233
ko:K05541	paec:M802_3236
ko:K07107	paec:M802_3237
ko:K01625	paec:M802_3238
ko:K01885	paec:M802_3245
ko:K03543	paec:M802_3247
ko:K03446	paec:M802_3248
ko:K03702	paec:M802_3249
ko:K00832	paec:M802_3250
ko:K02237	paec:M802_3252
ko:K13007	paec:M802_3255
ko:K13019	paec:M802_3258
ko:K02500	paec:M802_3261
ko:K13017	paec:M802_3264
ko:K13018	paec:M802_3265
ko:K13016	paec:M802_3267
ko:K13015	paec:M802_3268
ko:K05789	paec:M802_3269
ko:K05788	paec:M802_3270
ko:K02945	paec:M802_3271
ko:K00945	paec:M802_3272
ko:K00817	paec:M802_3274
ko:K14170	paec:M802_3275
ko:K06878	paec:M802_3331
ko:K01118	paec:M802_3333
ko:K03767	paec:M802_3337
ko:K09919	paec:M802_3340
ko:K02342	paec:M802_3342
ko:K07182	paec:M802_3343
ko:K14393	paec:M802_3344
ko:K02002	paec:M802_3346
ko:K04754	paec:M802_3349
ko:K06911	paec:M802_3350
ko:K07001	paec:M802_3351
ko:K02517	paec:M802_3352
ko:K03610	paec:M802_3353
ko:K03609	paec:M802_3354
ko:K03608	paec:M802_3355
ko:K06177	paec:M802_3356
ko:K01267	paec:M802_3357
ko:K03817	paec:M802_3358
ko:K02055	paec:M802_3360
ko:K02054	paec:M802_3362
ko:K02053	paec:M802_3363
ko:K02052	paec:M802_3364
ko:K03797	paec:M802_3367
ko:K03773	paec:M802_3374
ko:K03554	paec:M802_3377
ko:K03453	paec:M802_3378
ko:K03704	paec:M802_3380
ko:K01114	paec:M802_3437
ko:K09936	paec:M802_3438
ko:K07044	paec:M802_3443
ko:K01358	paec:M802_3444
ko:K00648	paec:M802_3451
ko:K02078	paec:M802_3452
ko:K03274	paec:M802_3455
ko:K07401	paec:M802_3456
ko:K07001	paec:M802_3457
ko:K06075	paec:M802_3459
ko:K03654	paec:M802_3462
ko:K00575	paec:M802_3466
ko:K03415	paec:M802_3467
ko:K02386	paec:M802_3468
ko:K02398	paec:M802_3469
ko:K02399	paec:M802_3470
ko:K09931	paec:M802_3472
ko:K01915	paec:M802_3474
ko:K01753	paec:M802_3475
ko:K01999	paec:M802_3482
ko:K01426	paec:M802_3484
ko:K00831	paec:M802_3276
ko:K02469	paec:M802_3277
ko:K08963	paec:M802_3278
ko:K00568	paec:M802_3280
ko:K01479	paec:M802_3284
ko:K03312	paec:M802_3285
ko:K06178	paec:M802_3288
ko:K03574	paec:M802_3289
ko:K01625	paec:M802_3290
ko:K01057	paec:M802_3291
ko:K00036	paec:M802_3292
ko:K07267	paec:M802_3295
ko:K10112	paec:M802_3296
ko:K17317	paec:M802_3297
ko:K17316	paec:M802_3298
ko:K17315	paec:M802_3299
ko:K00845	paec:M802_3302
ko:K01690	paec:M802_3303
ko:K00134	paec:M802_3304
ko:K06024	paec:M802_3307
ko:K05896	paec:M802_3308
ko:K07053	paec:M802_3310
ko:K06190	paec:M802_3311
ko:K09780	paec:M802_3312
ko:K06940	paec:M802_3319
ko:K03498	paec:M802_3320
ko:K02066	paec:M802_3321
ko:K02065	paec:M802_3322
ko:K02067	paec:M802_3323
ko:K01673	paec:M802_108
ko:K02624	paec:M802_161
ko:K16345	paec:M802_171
ko:K03412	paec:M802_177
ko:K03411	paec:M802_178
ko:K00575	paec:M802_179
ko:K03406	paec:M802_180
ko:K03408	paec:M802_181
ko:K03407	paec:M802_182
ko:K03413	paec:M802_183
ko:K03406	paec:M802_184
ko:K00059	paec:M802_186
ko:K01130	paec:M802_187
ko:K15555	paec:M802_188
ko:K15554	paec:M802_189
ko:K15553	paec:M802_190
ko:K07088	paec:M802_192
ko:K02014	paec:M802_196
ko:K00324	paec:M802_199
ko:K00324	paec:M802_200
ko:K00325	paec:M802_201
ko:K03832	paec:M802_202
ko:K03561	paec:M802_203
ko:K03560	paec:M802_204
ko:K07002	paec:M802_206
ko:K01426	paec:M802_207
ko:K11069	paec:M802_208
ko:K11070	paec:M802_209
ko:K11071	paec:M802_210
ko:K11072	paec:M802_211
ko:K13929	paec:M802_213
ko:K13930	paec:M802_214
ko:K13931	paec:M802_215
ko:K13932	paec:M802_216
ko:K13933	paec:M802_217
ko:K13934	paec:M802_218
ko:K13935	paec:M802_219
ko:K13928	paec:M802_222
ko:K02055	paec:M802_227
ko:K01714	paec:M802_228
ko:K01628	paec:M802_229
ko:K01039	paec:M802_231
ko:K01040	paec:M802_232
ko:K07823	paec:M802_233
ko:K01857	paec:M802_235
ko:K01055	paec:M802_236
ko:K01607	paec:M802_237
ko:K08195	paec:M802_240
ko:K08191	paec:M802_246
ko:K00457	paec:M802_247
ko:K00014	paec:M802_249
ko:K03786	paec:M802_250
ko:K00481	paec:M802_252
ko:K03827	paec:M802_253
ko:K03182	paec:M802_259
ko:K11903	paec:M802_268
ko:K00135	paec:M802_270
ko:K14268	paec:M802_271
ko:K00375	paec:M802_273
ko:K03449	paec:M802_278
ko:K07387	paec:M802_282
ko:K07090	paec:M802_283
ko:K02045	paec:M802_285
ko:K02047	paec:M802_286
ko:K02046	paec:M802_287
ko:K02048	paec:M802_288
ko:K03307	paec:M802_292
ko:K10536	paec:M802_297
ko:K12251	paec:M802_298
ko:K11073	paec:M802_300
ko:K01915	paec:M802_301
ko:K07010	paec:M802_302
ko:K01915	paec:M802_303
ko:K12256	paec:M802_304
ko:K11073	paec:M802_305
ko:K11073	paec:M802_306
ko:K11076	paec:M802_307
ko:K11075	paec:M802_308
ko:K11074	paec:M802_309
ko:K01434	paec:M802_310
ko:K07394	paec:M802_316
ko:K10009	paec:M802_320
ko:K02424	paec:M802_321
ko:K00058	paec:M802_323
ko:K11069	paec:M802_330
ko:K11070	paec:M802_331
ko:K11071	paec:M802_332
ko:K11072	paec:M802_333
ko:K09946	paec:M802_336
ko:K01807	paec:M802_337
ko:K01754	paec:M802_338
ko:K08311	paec:M802_344
ko:K08484	paec:M802_345
ko:K07090	paec:M802_348
ko:K13292	paec:M802_349
ko:K01126	paec:M802_355
ko:K07095	paec:M802_359
ko:K16345	paec:M802_360
ko:K01687	paec:M802_361
ko:K06969	paec:M802_362
ko:K05520	paec:M802_363
ko:K10563	paec:M802_365
ko:K07126	paec:M802_368
ko:K00954	paec:M802_371
ko:K00362	paec:M802_1826
ko:K02575	paec:M802_1828
ko:K01682	paec:M802_1832
ko:K06938	paec:M802_1833
ko:K06169	paec:M802_1835
ko:K03269	paec:M802_1837
ko:K03768	paec:M802_1838
ko:K01886	paec:M802_1839
ko:K01883	paec:M802_1840
ko:K01491	paec:M802_1841
ko:K03545	paec:M802_1852
ko:K01358	paec:M802_1853
ko:K03544	paec:M802_1854
ko:K01338	paec:M802_1855
ko:K03530	paec:M802_1856
ko:K03770	paec:M802_1858
ko:K00208	paec:M802_1859
ko:K13896	paec:M802_1860
ko:K13895	paec:M802_1861
ko:K13894	paec:M802_1862
ko:K13893	paec:M802_1863
ko:K13893	paec:M802_1864
ko:K08307	paec:M802_1865
ko:K01069	paec:M802_1866
ko:K03469	paec:M802_1868
ko:K02342	paec:M802_1869
ko:K01584	paec:M802_1871
ko:K03294	paec:M802_1873
ko:K03314	paec:M802_1872
ko:K01692	paec:M802_1874
ko:K03426	paec:M802_1877
ko:K07090	paec:M802_1876
ko:K00059	paec:M802_1880
ko:K04774	paec:M802_1885
ko:K00381	paec:M802_1891
ko:K06941	paec:M802_1894
ko:K00548	paec:M802_1898
ko:K07400	paec:M802_1902
ko:K09984	paec:M802_1904
ko:K07168	paec:M802_1908
ko:K00404	paec:M802_1911
ko:K09781	paec:M802_1912
ko:K02017	paec:M802_1917
ko:K02018	paec:M802_1918
ko:K02020	paec:M802_1919
ko:K02452	paec:M802_1924
ko:K02453	paec:M802_1925
ko:K16074	paec:M802_1930
ko:K12543	paec:M802_1932
ko:K12541	paec:M802_1933
ko:K12542	paec:M802_1934
ko:K07023	paec:M802_1935
ko:K07303	paec:M802_1937
ko:K07302	paec:M802_1938
ko:K00330	paec:M802_1941
ko:K02336	paec:M802_1943
ko:K00799	paec:M802_1948
ko:K01434	paec:M802_1951
ko:K07782	paec:M802_1956
ko:K01626	paec:M802_1959
ko:K13063	paec:M802_1961
ko:K06998	paec:M802_1962
ko:K16091	paec:M802_3382
ko:K03724	paec:M802_3386
ko:K09771	paec:M802_3389
ko:K07221	paec:M802_3393
ko:K07221	paec:M802_3394
ko:K09929	paec:M802_3396
ko:K09930	paec:M802_3397
ko:K03088	paec:M802_3400
ko:K16872	paec:M802_3401
ko:K02503	paec:M802_3410
ko:K01077	paec:M802_3411
ko:K03578	paec:M802_3412
ko:K01897	paec:M802_3414
ko:K01897	paec:M802_3415
ko:K03580	paec:M802_3426
ko:K03760	paec:M802_3428
ko:K02044	paec:M802_3431
ko:K02041	paec:M802_3432
ko:K02042	paec:M802_3433
ko:K02042	paec:M802_3434
