ko:K01006	pcn:TIB1ST10_10410
ko:K08999	pcn:TIB1ST10_05575
ko:K07058	pcn:TIB1ST10_05585
ko:K05606	pcn:TIB1ST10_05670
ko:K05838	pcn:TIB1ST10_05680
ko:K05343	pcn:TIB1ST10_05715
ko:K04487	pcn:TIB1ST10_05730
ko:K00566	pcn:TIB1ST10_05735
ko:K02435	pcn:TIB1ST10_05760
ko:K02434	pcn:TIB1ST10_05770
ko:K00075	pcn:TIB1ST10_09665
ko:K02913	pcn:TIB1ST10_09680
ko:K01142	pcn:TIB1ST10_09685
ko:K00338	pcn:TIB1ST10_09700
ko:K00332	pcn:TIB1ST10_09705
ko:K00174	pcn:TIB1ST10_09715
ko:K00175	pcn:TIB1ST10_09720
ko:K01644	pcn:TIB1ST10_09790
ko:K00343	pcn:TIB1ST10_09805
ko:K00342	pcn:TIB1ST10_09810
ko:K00341	pcn:TIB1ST10_09815
ko:K00340	pcn:TIB1ST10_09820
ko:K00339	pcn:TIB1ST10_09825
ko:K00338	pcn:TIB1ST10_09830
ko:K00337	pcn:TIB1ST10_09835
ko:K00334	pcn:TIB1ST10_09850
ko:K00333	pcn:TIB1ST10_09855
ko:K00332	pcn:TIB1ST10_09860
ko:K00331	pcn:TIB1ST10_09865
ko:K00330	pcn:TIB1ST10_09870
ko:K00817	pcn:TIB1ST10_00165
ko:K01938	pcn:TIB1ST10_00235
ko:K02003	pcn:TIB1ST10_00260
ko:K02003	pcn:TIB1ST10_00365
ko:K02016	pcn:TIB1ST10_00375
ko:K02015	pcn:TIB1ST10_00380
ko:K02013	pcn:TIB1ST10_00385
ko:K00688	pcn:TIB1ST10_00400
ko:K15533	pcn:TIB1ST10_00415
ko:K03702	pcn:TIB1ST10_04150
ko:K03701	pcn:TIB1ST10_04170
ko:K03703	pcn:TIB1ST10_04195
ko:K06958	pcn:TIB1ST10_04200
ko:K00134	pcn:TIB1ST10_04215
ko:K00927	pcn:TIB1ST10_04220
ko:K01803	pcn:TIB1ST10_04225
ko:K03075	pcn:TIB1ST10_04230
ko:K11754	pcn:TIB1ST10_04240
ko:K00940	pcn:TIB1ST10_04250
ko:K02888	pcn:TIB1ST10_04270
ko:K02899	pcn:TIB1ST10_04275
ko:K03979	pcn:TIB1ST10_04295
ko:K00931	pcn:TIB1ST10_04300
ko:K00147	pcn:TIB1ST10_04305
ko:K00969	pcn:TIB1ST10_04315
ko:K09710	pcn:TIB1ST10_04320
ko:K13288	pcn:TIB1ST10_08445
ko:K11737	pcn:TIB1ST10_08455
ko:K01207	pcn:TIB1ST10_08465
ko:K14161	pcn:TIB1ST10_08490
ko:K03564	pcn:TIB1ST10_08535
ko:K02346	pcn:TIB1ST10_08580
ko:K00989	pcn:TIB1ST10_08600
ko:K01776	pcn:TIB1ST10_08605
ko:K04758	pcn:TIB1ST10_08610
ko:K04759	pcn:TIB1ST10_08615
ko:K06891	pcn:TIB1ST10_08630
ko:K00763	pcn:TIB1ST10_08635
ko:K02768	pcn:TIB1ST10_00720
ko:K02769	pcn:TIB1ST10_00720
ko:K02770	pcn:TIB1ST10_00720
ko:K03885	pcn:TIB1ST10_00770
ko:K03579	pcn:TIB1ST10_00780
ko:K03737	pcn:TIB1ST10_00815
ko:K03303	pcn:TIB1ST10_00835
ko:K00782	pcn:TIB1ST10_00850
ko:K00426	pcn:TIB1ST10_00880
ko:K00425	pcn:TIB1ST10_00885
ko:K04567	pcn:TIB1ST10_00915
ko:K03924	pcn:TIB1ST10_05015
ko:K06997	pcn:TIB1ST10_05035
ko:K09458	pcn:TIB1ST10_05045
ko:K02078	pcn:TIB1ST10_05050
ko:K00648	pcn:TIB1ST10_05055
ko:K00645	pcn:TIB1ST10_05060
ko:K00077	pcn:TIB1ST10_05065
ko:K00163	pcn:TIB1ST10_05085
ko:K08281	pcn:TIB1ST10_05105
ko:K02825	pcn:TIB1ST10_05115
ko:K00609	pcn:TIB1ST10_05120
ko:K01465	pcn:TIB1ST10_05125
ko:K01956	pcn:TIB1ST10_05130
ko:K01955	pcn:TIB1ST10_05135
ko:K01591	pcn:TIB1ST10_05150
ko:K00762	pcn:TIB1ST10_05155
ko:K00995	pcn:TIB1ST10_05170
ko:K03565	pcn:TIB1ST10_05200
ko:K06168	pcn:TIB1ST10_05220
ko:K00791	pcn:TIB1ST10_05230
ko:K01778	pcn:TIB1ST10_05235
ko:K03665	pcn:TIB1ST10_05240
ko:K01356	pcn:TIB1ST10_05250
ko:K03789	pcn:TIB1ST10_09160
ko:K06925	pcn:TIB1ST10_09170
ko:K02003	pcn:TIB1ST10_09190
ko:K00997	pcn:TIB1ST10_09205
ko:K00820	pcn:TIB1ST10_09210
ko:K03431	pcn:TIB1ST10_09245
ko:K02996	pcn:TIB1ST10_09250
ko:K02871	pcn:TIB1ST10_09255
ko:K03439	pcn:TIB1ST10_09275
ko:K06173	pcn:TIB1ST10_09280
ko:K04564	pcn:TIB1ST10_09320
ko:K08368	pcn:TIB1ST10_09340
ko:K02879	pcn:TIB1ST10_09355
ko:K03040	pcn:TIB1ST10_09360
ko:K02986	pcn:TIB1ST10_09365
ko:K02948	pcn:TIB1ST10_09370
ko:K02952	pcn:TIB1ST10_09375
ko:K02919	pcn:TIB1ST10_09385
ko:K02518	pcn:TIB1ST10_09390
ko:K01265	pcn:TIB1ST10_09395
ko:K03076	pcn:TIB1ST10_09405
ko:K14645	pcn:TIB1ST10_03095
ko:K02029	pcn:TIB1ST10_03110
ko:K01818	pcn:TIB1ST10_03150
ko:K01818	pcn:TIB1ST10_03155
ko:K02003	pcn:TIB1ST10_03170
ko:K13821	pcn:TIB1ST10_03210
ko:K07101	pcn:TIB1ST10_03225
ko:K03823	pcn:TIB1ST10_03230
ko:K00324	pcn:TIB1ST10_03235
ko:K00325	pcn:TIB1ST10_03240
ko:K00613	pcn:TIB1ST10_03265
ko:K03762	pcn:TIB1ST10_03275
ko:K00975	pcn:TIB1ST10_03305
ko:K01714	pcn:TIB1ST10_03315
ko:K03117	pcn:TIB1ST10_03320
ko:K04096	pcn:TIB1ST10_07340
ko:K07391	pcn:TIB1ST10_07345
ko:K07460	pcn:TIB1ST10_07350
ko:K03470	pcn:TIB1ST10_07360
ko:K03100	pcn:TIB1ST10_07365
ko:K02884	pcn:TIB1ST10_07370
ko:K00240	pcn:TIB1ST10_07380
ko:K00239	pcn:TIB1ST10_07385
ko:K00554	pcn:TIB1ST10_07395
ko:K02860	pcn:TIB1ST10_07400
ko:K06960	pcn:TIB1ST10_07405
ko:K02959	pcn:TIB1ST10_07410
ko:K03106	pcn:TIB1ST10_07420
ko:K03110	pcn:TIB1ST10_07430
ko:K03685	pcn:TIB1ST10_07465
ko:K02911	pcn:TIB1ST10_07470
ko:K07040	pcn:TIB1ST10_07475
ko:K00954	pcn:TIB1ST10_07525
ko:K03655	pcn:TIB1ST10_07540
ko:K02902	pcn:TIB1ST10_07545
ko:K00156	pcn:TIB1ST10_07560
ko:K00215	pcn:TIB1ST10_07570
ko:K00962	pcn:TIB1ST10_07575
ko:K01151	pcn:TIB1ST10_11400
ko:K07124	pcn:TIB1ST10_11405
ko:K00655	pcn:TIB1ST10_11410
ko:K03652	pcn:TIB1ST10_11455
ko:K02003	pcn:TIB1ST10_03635
ko:K02276	pcn:TIB1ST10_03680
ko:K00655	pcn:TIB1ST10_03740
ko:K01626	pcn:TIB1ST10_03750
ko:K00297	pcn:TIB1ST10_03785
ko:K00297	pcn:TIB1ST10_03790
ko:K13993	pcn:TIB1ST10_03815
ko:K00281	pcn:TIB1ST10_03840
ko:K02437	pcn:TIB1ST10_03845
ko:K00605	pcn:TIB1ST10_03850
ko:K03924	pcn:TIB1ST10_03865
ko:K03925	pcn:TIB1ST10_03870
ko:K03438	pcn:TIB1ST10_03875
ko:K03733	pcn:TIB1ST10_07825
ko:K01462	pcn:TIB1ST10_07835
ko:K14347	pcn:TIB1ST10_07845
ko:K02013	pcn:TIB1ST10_07865
ko:K00208	pcn:TIB1ST10_07875
ko:K00563	pcn:TIB1ST10_07895
ko:K11717	pcn:TIB1ST10_07940
ko:K09013	pcn:TIB1ST10_07945
ko:K09015	pcn:TIB1ST10_07955
ko:K09014	pcn:TIB1ST10_07960
ko:K15987	pcn:TIB1ST10_07990
ko:K02259	pcn:TIB1ST10_08005
ko:K00036	pcn:TIB1ST10_08020
ko:K01057	pcn:TIB1ST10_08030
ko:K01873	pcn:TIB1ST10_08045
ko:K03544	pcn:TIB1ST10_08070
ko:K01358	pcn:TIB1ST10_08075
ko:K01358	pcn:TIB1ST10_08080
ko:K03545	pcn:TIB1ST10_08090
ko:K03501	pcn:TIB1ST10_11930
ko:K03217	pcn:TIB1ST10_11960
ko:K08998	pcn:TIB1ST10_11965
ko:K03536	pcn:TIB1ST10_11970
ko:K02914	pcn:TIB1ST10_11975
ko:K14235	pcn:TIB1ST10_t12042
ko:K02018	pcn:TIB1ST10_02600
ko:K02017	pcn:TIB1ST10_02600
ko:K01840	pcn:TIB1ST10_08860
ko:K14230	pcn:TIB1ST10_t12020
ko:K01692	pcn:TIB1ST10_09690
ko:K07048	pcn:TIB1ST10_04545
ko:K03079	pcn:TIB1ST10_04555
ko:K00016	pcn:TIB1ST10_04585
ko:K02238	pcn:TIB1ST10_04615
ko:K00027	pcn:TIB1ST10_04590
ko:K05341	pcn:TIB1ST10_04635
ko:K02549	pcn:TIB1ST10_04655
ko:K02552	pcn:TIB1ST10_04665
ko:K01966	pcn:TIB1ST10_08770
ko:K11263	pcn:TIB1ST10_08840
ko:K03783	pcn:TIB1ST10_08855
ko:K03469	pcn:TIB1ST10_08890
ko:K01489	pcn:TIB1ST10_08895
ko:K03699	pcn:TIB1ST10_08925
ko:K01834	pcn:TIB1ST10_01865
ko:K01834	pcn:TIB1ST10_04180
ko:K01259	pcn:TIB1ST10_04800
ko:K10200	pcn:TIB1ST10_00430
ko:K00368	pcn:TIB1ST10_00475
ko:K03405	pcn:TIB1ST10_00515
ko:K03404	pcn:TIB1ST10_00520
ko:K10254	pcn:TIB1ST10_00560
ko:K02798	pcn:TIB1ST10_04740
ko:K02799	pcn:TIB1ST10_04740
ko:K02800	pcn:TIB1ST10_04740
ko:K00972	pcn:TIB1ST10_04755
ko:K11733	pcn:TIB1ST10_03050
ko:K03711	pcn:TIB1ST10_04880
ko:K00241	pcn:TIB1ST10_04895
ko:K02056	pcn:TIB1ST10_08910
ko:K00088	pcn:TIB1ST10_09080
ko:K00088	pcn:TIB1ST10_09085
ko:K01977	pcn:TIB1ST10_r12078
ko:K01977	pcn:TIB1ST10_r12080
ko:K01977	pcn:TIB1ST10_r12082
ko:K11189	pcn:TIB1ST10_00715
ko:K00867	pcn:TIB1ST10_09235
ko:K00059	pcn:TIB1ST10_09305
ko:K14335	pcn:TIB1ST10_09350
ko:K00939	pcn:TIB1ST10_09400
ko:K03436	pcn:TIB1ST10_00730
ko:K16012	pcn:TIB1ST10_00870
ko:K16013	pcn:TIB1ST10_00875
ko:K06147	pcn:TIB1ST10_00895
ko:K07114	pcn:TIB1ST10_05025
ko:K07114	pcn:TIB1ST10_05030
ko:K02823	pcn:TIB1ST10_05140
ko:K03743	pcn:TIB1ST10_05175
ko:K01409	pcn:TIB1ST10_09155
ko:K12583	pcn:TIB1ST10_09195
ko:K06877	pcn:TIB1ST10_01245
ko:K00274	pcn:TIB1ST10_01305
ko:K01507	pcn:TIB1ST10_01340
ko:K03488	pcn:TIB1ST10_01510
ko:K01243	pcn:TIB1ST10_05610
ko:K03768	pcn:TIB1ST10_05650
ko:K07503	pcn:TIB1ST10_05660
ko:K01835	pcn:TIB1ST10_05675
ko:K02755	pcn:TIB1ST10_05695
ko:K02756	pcn:TIB1ST10_05695
ko:K02757	pcn:TIB1ST10_05695
ko:K00700	pcn:TIB1ST10_05705
ko:K02433	pcn:TIB1ST10_05765
ko:K07386	pcn:TIB1ST10_09745
ko:K02228	pcn:TIB1ST10_09795
ko:K00805	pcn:TIB1ST10_09800
ko:K02552	pcn:TIB1ST10_09885
ko:K01719	pcn:TIB1ST10_01565
ko:K07067	pcn:TIB1ST10_01600
ko:K00027	pcn:TIB1ST10_01610
ko:K06196	pcn:TIB1ST10_01670
ko:K01496	pcn:TIB1ST10_05780
ko:K01814	pcn:TIB1ST10_05935
ko:K01817	pcn:TIB1ST10_05935
ko:K00016	pcn:TIB1ST10_09945
ko:K00374	pcn:TIB1ST10_02610
ko:K07307	pcn:TIB1ST10_02655
ko:K03153	pcn:TIB1ST10_02680
ko:K02428	pcn:TIB1ST10_02800
ko:K09009	pcn:TIB1ST10_02820
ko:K07654	pcn:TIB1ST10_06875
ko:K07670	pcn:TIB1ST10_06880
ko:K07052	pcn:TIB1ST10_07030
ko:K00758	pcn:TIB1ST10_07040
ko:K00016	pcn:TIB1ST10_00065
ko:K10440	pcn:TIB1ST10_00080
ko:K10439	pcn:TIB1ST10_00085
ko:K00852	pcn:TIB1ST10_00090
ko:K02775	pcn:TIB1ST10_00110
ko:K03491	pcn:TIB1ST10_00125
ko:K03491	pcn:TIB1ST10_00130
ko:K03405	pcn:TIB1ST10_04065
ko:K03404	pcn:TIB1ST10_04070
ko:K00033	pcn:TIB1ST10_08375
ko:K02566	pcn:TIB1ST10_09955
ko:K02025	pcn:TIB1ST10_09975
ko:K03386	pcn:TIB1ST10_10130
ko:K01192	pcn:TIB1ST10_05300
ko:K06902	pcn:TIB1ST10_05360
ko:K03499	pcn:TIB1ST10_05425
ko:K03499	pcn:TIB1ST10_05430
ko:K07305	pcn:TIB1ST10_05465
ko:K02035	pcn:TIB1ST10_09425
ko:K01885	pcn:TIB1ST10_09555
ko:K01119	pcn:TIB1ST10_09565
ko:K02004	pcn:TIB1ST10_00255
ko:K01222	pcn:TIB1ST10_00295
ko:K01191	pcn:TIB1ST10_00300
ko:K09704	pcn:TIB1ST10_00315
ko:K12373	pcn:TIB1ST10_00320
ko:K01784	pcn:TIB1ST10_00335
ko:K06994	pcn:TIB1ST10_00345
ko:K00135	pcn:TIB1ST10_00390
ko:K05794	pcn:TIB1ST10_04155
ko:K09762	pcn:TIB1ST10_04210
ko:K14162	pcn:TIB1ST10_08480
ko:K07009	pcn:TIB1ST10_08505
ko:K07304	pcn:TIB1ST10_02870
ko:K12503	pcn:TIB1ST10_02920
ko:K01478	pcn:TIB1ST10_03010
ko:K03727	pcn:TIB1ST10_07090
ko:K13573	pcn:TIB1ST10_07110
ko:K01885	pcn:TIB1ST10_07120
ko:K04763	pcn:TIB1ST10_07145
ko:K01515	pcn:TIB1ST10_07150
ko:K01523	pcn:TIB1ST10_07290
ko:K03307	pcn:TIB1ST10_11165
ko:K03855	pcn:TIB1ST10_11265
ko:K02025	pcn:TIB1ST10_08520
ko:K02428	pcn:TIB1ST10_08595
ko:K08483	pcn:TIB1ST10_01800
ko:K11189	pcn:TIB1ST10_01805
ko:K07776	pcn:TIB1ST10_01840
ko:K07768	pcn:TIB1ST10_01845
ko:K01424	pcn:TIB1ST10_01880
ko:K09992	pcn:TIB1ST10_01925
ko:K01727	pcn:TIB1ST10_01945
ko:K02025	pcn:TIB1ST10_02045
ko:K00639	pcn:TIB1ST10_02060
ko:K07442	pcn:TIB1ST10_06165
ko:K04517	pcn:TIB1ST10_06200
ko:K00852	pcn:TIB1ST10_06215
ko:K01619	pcn:TIB1ST10_06230
ko:K00721	pcn:TIB1ST10_06270
ko:K01788	pcn:TIB1ST10_10170
ko:K03776	pcn:TIB1ST10_10225
ko:K02004	pcn:TIB1ST10_10325
ko:K13640	pcn:TIB1ST10_10355
ko:K01847	pcn:TIB1ST10_03080
ko:K01847	pcn:TIB1ST10_03085
ko:K07588	pcn:TIB1ST10_03090
ko:K14761	pcn:TIB1ST10_03100
ko:K01206	pcn:TIB1ST10_03145
ko:K02074	pcn:TIB1ST10_03190
ko:K02077	pcn:TIB1ST10_03195
ko:K00674	pcn:TIB1ST10_03260
ko:K01439	pcn:TIB1ST10_03285
ko:K03593	pcn:TIB1ST10_03330
ko:K00567	pcn:TIB1ST10_07335
ko:K00241	pcn:TIB1ST10_07390
ko:K10563	pcn:TIB1ST10_07460
ko:K02025	pcn:TIB1ST10_07485
ko:K01191	pcn:TIB1ST10_07510
ko:K02619	pcn:TIB1ST10_11515
ko:K01488	pcn:TIB1ST10_11585
ko:K02009	pcn:TIB1ST10_02200
ko:K00595	pcn:TIB1ST10_02220
ko:K03475	pcn:TIB1ST10_02270
ko:K02821	pcn:TIB1ST10_02275
ko:K05602	pcn:TIB1ST10_06515
ko:K00058	pcn:TIB1ST10_06520
ko:K02033	pcn:TIB1ST10_06540
ko:K02035	pcn:TIB1ST10_06545
ko:K01619	pcn:TIB1ST10_10395
ko:K09992	pcn:TIB1ST10_10400
ko:K00564	pcn:TIB1ST10_10420
ko:K01426	pcn:TIB1ST10_10440
ko:K10118	pcn:TIB1ST10_10465
ko:K02035	pcn:TIB1ST10_10485
ko:K02033	pcn:TIB1ST10_10490
ko:K01206	pcn:TIB1ST10_10510
ko:K06147	pcn:TIB1ST10_10550
ko:K06147	pcn:TIB1ST10_10565
ko:K01262	pcn:TIB1ST10_03355
ko:K13671	pcn:TIB1ST10_03505
ko:K01186	pcn:TIB1ST10_03520
ko:K01186	pcn:TIB1ST10_03525
ko:K02351	pcn:TIB1ST10_03570
ko:K07245	pcn:TIB1ST10_03570
ko:K03177	pcn:TIB1ST10_07605
ko:K02783	pcn:TIB1ST10_07630
ko:K02782	pcn:TIB1ST10_07635
ko:K02783	pcn:TIB1ST10_07635
ko:K06976	pcn:TIB1ST10_07740
ko:K01679	pcn:TIB1ST10_11675
ko:K02025	pcn:TIB1ST10_11685
ko:K00970	pcn:TIB1ST10_11720
ko:K08372	pcn:TIB1ST10_11750
ko:K01209	pcn:TIB1ST10_11755
ko:K06177	pcn:TIB1ST10_11765
ko:K00853	pcn:TIB1ST10_11810
ko:K11045	pcn:TIB1ST10_10705
ko:K11737	pcn:TIB1ST10_11555
ko:K00616	pcn:TIB1ST10_02320
ko:K00010	pcn:TIB1ST10_02405
ko:K07052	pcn:TIB1ST10_02410
ko:K06201	pcn:TIB1ST10_02415
ko:K10843	pcn:TIB1ST10_02425
ko:K02564	pcn:TIB1ST10_02440
ko:K03709	pcn:TIB1ST10_02485
ko:K01934	pcn:TIB1ST10_02535
ko:K03635	pcn:TIB1ST10_02570
ko:K07177	pcn:TIB1ST10_06730
ko:K01081	pcn:TIB1ST10_10640
ko:K01104	pcn:TIB1ST10_10715
ko:K07669	pcn:TIB1ST10_10725
ko:K07653	pcn:TIB1ST10_10730
ko:K01823	pcn:TIB1ST10_10740
ko:K06221	pcn:TIB1ST10_10825
ko:K06910	pcn:TIB1ST10_10875
ko:K02274	pcn:TIB1ST10_03620
ko:K00088	pcn:TIB1ST10_03655
ko:K03891	pcn:TIB1ST10_03665
ko:K03890	pcn:TIB1ST10_03670
ko:K03889	pcn:TIB1ST10_03675
ko:K02342	pcn:TIB1ST10_03720
ko:K00845	pcn:TIB1ST10_03730
ko:K13787	pcn:TIB1ST10_03780
ko:K03299	pcn:TIB1ST10_03820
ko:K00851	pcn:TIB1ST10_03825
ko:K00059	pcn:TIB1ST10_07880
ko:K02348	pcn:TIB1ST10_07910
ko:K04488	pcn:TIB1ST10_07935
ko:K08676	pcn:TIB1ST10_08060
ko:K06346	pcn:TIB1ST10_11955
ko:K14218	pcn:TIB1ST10_t11994
ko:K00895	pcn:TIB1ST10_05595
ko:K15772	pcn:TIB1ST10_07980
ko:K10112	pcn:TIB1ST10_02020
ko:K15770	pcn:TIB1ST10_07970
ko:K03457	pcn:TIB1ST10_11260
ko:K10202	pcn:TIB1ST10_00440
ko:K10242	pcn:TIB1ST10_00275
ko:K10241	pcn:TIB1ST10_00280
ko:K10240	pcn:TIB1ST10_00285
ko:K02031	pcn:TIB1ST10_10500
ko:K02032	pcn:TIB1ST10_10500
ko:K16783	pcn:TIB1ST10_07195
ko:K01985	pcn:TIB1ST10_r12072
ko:K01985	pcn:TIB1ST10_r12074
ko:K01985	pcn:TIB1ST10_r12076
ko:K16784	pcn:TIB1ST10_07200
ko:K02778	pcn:TIB1ST10_01520
ko:K02779	pcn:TIB1ST10_01520
ko:K02075	pcn:TIB1ST10_03185
ko:K10201	pcn:TIB1ST10_00435
ko:K02851	pcn:TIB1ST10_06405
ko:K02031	pcn:TIB1ST10_06530
ko:K10117	pcn:TIB1ST10_10460
ko:K10119	pcn:TIB1ST10_10470
ko:K14232	pcn:TIB1ST10_t12016
ko:K14224	pcn:TIB1ST10_t12024
ko:K14224	pcn:TIB1ST10_t12052
ko:K14226	pcn:TIB1ST10_t12036
ko:K14229	pcn:TIB1ST10_t12038
ko:K14229	pcn:TIB1ST10_t12050
ko:K14234	pcn:TIB1ST10_t12046
ko:K14236	pcn:TIB1ST10_t12048
ko:K14221	pcn:TIB1ST10_t12054
ko:K14228	pcn:TIB1ST10_t12060
ko:K14233	pcn:TIB1ST10_t12064
ko:K16786	pcn:TIB1ST10_10575
ko:K16787	pcn:TIB1ST10_10575
ko:K06016	pcn:TIB1ST10_11015
ko:K02006	pcn:TIB1ST10_02210
ko:K02008	pcn:TIB1ST10_02205
ko:K16785	pcn:TIB1ST10_09290
ko:K16786	pcn:TIB1ST10_09295
ko:K16787	pcn:TIB1ST10_09295
ko:K02768	pcn:TIB1ST10_11385
ko:K02769	pcn:TIB1ST10_11385
ko:K02770	pcn:TIB1ST10_11385
ko:K14237	pcn:TIB1ST10_t12008
ko:K14237	pcn:TIB1ST10_t12014
ko:K14237	pcn:TIB1ST10_t12022
ko:K14222	pcn:TIB1ST10_t12010
ko:K14233	pcn:TIB1ST10_t12070
ko:K14219	pcn:TIB1ST10_t12066
ko:K16370	pcn:TIB1ST10_00725
ko:K01190	pcn:TIB1ST10_08735
ko:K11991	pcn:TIB1ST10_11105
ko:K16785	pcn:TIB1ST10_10580
ko:K08316	pcn:TIB1ST10_07530
ko:K14225	pcn:TIB1ST10_t12030
ko:K14225	pcn:TIB1ST10_t12058
ko:K02303	pcn:TIB1ST10_02235
ko:K16925	pcn:TIB1ST10_00785
ko:K16927	pcn:TIB1ST10_09300
ko:K16785	pcn:TIB1ST10_00790
ko:K16786	pcn:TIB1ST10_00790
ko:K16787	pcn:TIB1ST10_00790
ko:K16926	pcn:TIB1ST10_10570
ko:K14227	pcn:TIB1ST10_t11982
ko:K14218	pcn:TIB1ST10_t11984
ko:K14218	pcn:TIB1ST10_t12002
ko:K14233	pcn:TIB1ST10_t11986
ko:K14234	pcn:TIB1ST10_t11988
ko:K14234	pcn:TIB1ST10_t11990
ko:K14219	pcn:TIB1ST10_t11992
ko:K14219	pcn:TIB1ST10_t12018
ko:K14219	pcn:TIB1ST10_t12034
ko:K14223	pcn:TIB1ST10_t11996
ko:K14223	pcn:TIB1ST10_t12026
ko:K14228	pcn:TIB1ST10_t11998
ko:K14228	pcn:TIB1ST10_t12000
ko:K14228	pcn:TIB1ST10_t12028
ko:K14228	pcn:TIB1ST10_t12040
ko:K01980	pcn:TIB1ST10_r12084
ko:K01980	pcn:TIB1ST10_r12086
ko:K01980	pcn:TIB1ST10_r12088
ko:K14220	pcn:TIB1ST10_t12004
ko:K14230	pcn:TIB1ST10_t12006
ko:K14230	pcn:TIB1ST10_t12044
ko:K14231	pcn:TIB1ST10_t12056
ko:K14233	pcn:TIB1ST10_t12068
ko:K00096	pcn:TIB1ST10_07650
ko:K07308	pcn:TIB1ST10_02650
ko:K17317	pcn:TIB1ST10_09995
ko:K17316	pcn:TIB1ST10_10000
ko:K10947	pcn:TIB1ST10_08405
ko:K01992	pcn:TIB1ST10_02110
ko:K01992	pcn:TIB1ST10_08000
ko:K01992	pcn:TIB1ST10_11235
ko:K15581	pcn:TIB1ST10_10950
ko:K17315	pcn:TIB1ST10_10010
ko:K01990	pcn:TIB1ST10_09315
ko:K01992	pcn:TIB1ST10_09310
ko:K01990	pcn:TIB1ST10_04780
ko:K01990	pcn:TIB1ST10_09770
ko:K00096	pcn:TIB1ST10_11815
ko:K15583	pcn:TIB1ST10_10960
ko:K02028	pcn:TIB1ST10_03105
ko:K00265	pcn:TIB1ST10_05820
ko:K00951	pcn:TIB1ST10_05985
ko:K00040	pcn:TIB1ST10_11855
ko:K01897	pcn:TIB1ST10_11395
ko:K03574	pcn:TIB1ST10_09150
ko:K01992	pcn:TIB1ST10_04785
ko:K15580	pcn:TIB1ST10_10945
ko:K14225	pcn:TIB1ST10_t12012
ko:K03416	pcn:TIB1ST10_10220
ko:K17489	pcn:TIB1ST10_10215
ko:K02027	pcn:TIB1ST10_11690
ko:K02027	pcn:TIB1ST10_09985
ko:K17490	pcn:TIB1ST10_10205
ko:K01186	pcn:TIB1ST10_08010
ko:K03671	pcn:TIB1ST10_02495
ko:K17489	pcn:TIB1ST10_10210
ko:K02026	pcn:TIB1ST10_11680
ko:K17686	pcn:TIB1ST10_11425
ko:K15923	pcn:TIB1ST10_00455
ko:K17686	pcn:TIB1ST10_03565
ko:K03292	pcn:TIB1ST10_11870
ko:K00226	pcn:TIB1ST10_00810
ko:K00971	pcn:TIB1ST10_08710
ko:K03767	pcn:TIB1ST10_03710
ko:K17828	pcn:TIB1ST10_05145
ko:K14337	pcn:TIB1ST10_09695
ko:K02026	pcn:TIB1ST10_09980
ko:K02026	pcn:TIB1ST10_02050
ko:K02768	pcn:TIB1ST10_11380
ko:K02026	pcn:TIB1ST10_03140
ko:K02026	pcn:TIB1ST10_07490
ko:K02026	pcn:TIB1ST10_08525
ko:K12574	pcn:TIB1ST10_07550
ko:K01267	pcn:TIB1ST10_02965
ko:K08485	pcn:TIB1ST10_07645
ko:K02021	pcn:TIB1ST10_00510
ko:K02027	pcn:TIB1ST10_02040
ko:K02027	pcn:TIB1ST10_07480
ko:K01187	pcn:TIB1ST10_11875
ko:K01187	pcn:TIB1ST10_08380
ko:K08221	pcn:TIB1ST10_06325
ko:K06148	pcn:TIB1ST10_00505
ko:K17883	pcn:TIB1ST10_01705
ko:K02809	pcn:TIB1ST10_05860
ko:K02810	pcn:TIB1ST10_05860
ko:K17898	pcn:TIB1ST10_11620
ko:K17899	pcn:TIB1ST10_11615
ko:K00845	pcn:TIB1ST10_10505
ko:K01906	pcn:TIB1ST10_09540
ko:K00652	pcn:TIB1ST10_09540
ko:K21469	pcn:TIB1ST10_05835
ko:K13572	pcn:TIB1ST10_07115
ko:K03719	pcn:TIB1ST10_06260
ko:K18118	pcn:TIB1ST10_10435
ko:K01992	pcn:TIB1ST10_04790
ko:K01788	pcn:TIB1ST10_01525
ko:K02002	pcn:TIB1ST10_10265
ko:K07173	pcn:TIB1ST10_02280
ko:K00052	pcn:TIB1ST10_07050
ko:K03671	pcn:TIB1ST10_11785
ko:K02230	pcn:TIB1ST10_04085
ko:K02003	pcn:TIB1ST10_04115
ko:K04096	pcn:TIB1ST10_04395
ko:K01791	pcn:TIB1ST10_00750
ko:K07459	pcn:TIB1ST10_04405
ko:K03574	pcn:TIB1ST10_01750
ko:K09820	pcn:TIB1ST10_07730
ko:K08300	pcn:TIB1ST10_04265
ko:K08301	pcn:TIB1ST10_04265
ko:K07316	pcn:TIB1ST10_08265
ko:K18955	pcn:TIB1ST10_06475
ko:K06147	pcn:TIB1ST10_00900
ko:K18929	pcn:TIB1ST10_00845
ko:K18928	pcn:TIB1ST10_00840
ko:K03496	pcn:TIB1ST10_06565
ko:K03496	pcn:TIB1ST10_07140
ko:K03111	pcn:TIB1ST10_11365
ko:K03497	pcn:TIB1ST10_11915
ko:K03496	pcn:TIB1ST10_11920
ko:K03111	pcn:TIB1ST10_08420
ko:K03761	pcn:TIB1ST10_10765
ko:K05991	pcn:TIB1ST10_10695
ko:K00335	pcn:TIB1ST10_09845
ko:K03976	pcn:TIB1ST10_11520
