ko:K19744	paer:PA1R_gp1756
ko:K13954	paer:PA1R_gp0014
ko:K12992	paer:PA1R_gp0034
ko:K03168	paer:PA1R_gp0045
ko:K00166	paer:PA1R_gp0048
ko:K00167	paer:PA1R_gp0049
ko:K09699	paer:PA1R_gp0050
ko:K00382	paer:PA1R_gp0051
ko:K03310	paer:PA1R_gp0053
ko:K01424	paer:PA1R_gp0054
ko:K02525	paer:PA1R_gp0060
ko:K00032	paer:PA1R_gp0064
ko:K06152	paer:PA1R_gp0065
ko:K06151	paer:PA1R_gp0066
ko:K03587	paer:PA1R_gp0073
ko:K13639	paer:PA1R_gp0074
ko:K13979	paer:PA1R_gp0076
ko:K03893	paer:PA1R_gp0079
ko:K02014	paer:PA1R_gp0090
ko:K00117	paer:PA1R_gp0091
ko:K02049	paer:PA1R_gp0095
ko:K02050	paer:PA1R_gp0096
ko:K02051	paer:PA1R_gp0097
ko:K03710	paer:PA1R_gp0100
ko:K02050	paer:PA1R_gp0108
ko:K02049	paer:PA1R_gp0109
ko:K02051	paer:PA1R_gp0110
ko:K03119	paer:PA1R_gp0111
ko:K09471	paer:PA1R_gp0117
ko:K06995	paer:PA1R_gp0118
ko:K06145	paer:PA1R_gp0119
ko:K00851	paer:PA1R_gp0120
ko:K03299	paer:PA1R_gp0121
ko:K02050	paer:PA1R_gp0126
ko:K02051	paer:PA1R_gp0127
ko:K02049	paer:PA1R_gp0128
ko:K02014	paer:PA1R_gp0134
ko:K10227	paer:PA1R_gp0137
ko:K10228	paer:PA1R_gp0138
ko:K10229	paer:PA1R_gp0139
ko:K10111	paer:PA1R_gp0140
ko:K00045	paer:PA1R_gp0141
ko:K00854	paer:PA1R_gp0142
ko:K00847	paer:PA1R_gp0143
ko:K17218	paer:PA1R_gp0144
ko:K02073	paer:PA1R_gp0148
ko:K02071	paer:PA1R_gp0149
ko:K02072	paer:PA1R_gp0150
ko:K01126	paer:PA1R_gp0151
ko:K06916	paer:PA1R_gp0152
ko:K04091	paer:PA1R_gp0155
ko:K00299	paer:PA1R_gp0156
ko:K11902	paer:PA1R_gp0160
ko:K11891	paer:PA1R_gp0161
ko:K11892	paer:PA1R_gp0162
ko:K11893	paer:PA1R_gp0163
ko:K11901	paer:PA1R_gp0165
ko:K11900	paer:PA1R_gp0166
ko:K11903	paer:PA1R_gp0167
ko:K11896	paer:PA1R_gp0169
ko:K11895	paer:PA1R_gp0170
ko:K11907	paer:PA1R_gp0171
ko:K07303	paer:PA1R_gp0179
ko:K07302	paer:PA1R_gp0180
ko:K00101	paer:PA1R_gp0183
ko:K07116	paer:PA1R_gp0186
ko:K10531	paer:PA1R_gp0187
ko:K03088	paer:PA1R_gp0188
ko:K13888	paer:PA1R_gp0190
ko:K05685	paer:PA1R_gp0191
ko:K06160	paer:PA1R_gp0198
ko:K02014	paer:PA1R_gp0199
ko:K09815	paer:PA1R_gp0208
ko:K09817	paer:PA1R_gp0209
ko:K09816	paer:PA1R_gp0210
ko:K00836	paer:PA1R_gp0214
ko:K01194	paer:PA1R_gp0217
ko:K06911	paer:PA1R_gp0219
ko:K03088	paer:PA1R_gp0228
ko:K04087	paer:PA1R_gp0240
ko:K00605	paer:PA1R_gp0244
ko:K01752	paer:PA1R_gp0245
ko:K00600	paer:PA1R_gp0246
ko:K02045	paer:PA1R_gp3789
ko:K02047	paer:PA1R_gp3790
ko:K02046	paer:PA1R_gp3791
ko:K02048	paer:PA1R_gp3792
ko:K03307	paer:PA1R_gp3795
ko:K10536	paer:PA1R_gp3800
ko:K12251	paer:PA1R_gp3801
ko:K01915	paer:PA1R_gp3804
ko:K07010	paer:PA1R_gp3805
ko:K01915	paer:PA1R_gp3806
ko:K12256	paer:PA1R_gp3807
ko:K11073	paer:PA1R_gp3808
ko:K11073	paer:PA1R_gp3809
ko:K11076	paer:PA1R_gp3810
ko:K11075	paer:PA1R_gp3811
ko:K11074	paer:PA1R_gp3812
ko:K01434	paer:PA1R_gp3813
ko:K07394	paer:PA1R_gp3819
ko:K10009	paer:PA1R_gp3822
ko:K02424	paer:PA1R_gp3823
ko:K00058	paer:PA1R_gp3825
ko:K11069	paer:PA1R_gp3832
ko:K11070	paer:PA1R_gp3833
ko:K11071	paer:PA1R_gp3834
ko:K11072	paer:PA1R_gp3835
ko:K09946	paer:PA1R_gp3839
ko:K01807	paer:PA1R_gp3840
ko:K01754	paer:PA1R_gp3841
ko:K08311	paer:PA1R_gp3847
ko:K08484	paer:PA1R_gp3848
ko:K07090	paer:PA1R_gp3851
ko:K13292	paer:PA1R_gp3852
ko:K01126	paer:PA1R_gp3858
ko:K07095	paer:PA1R_gp3862
ko:K16345	paer:PA1R_gp3863
ko:K01687	paer:PA1R_gp3864
ko:K06969	paer:PA1R_gp3865
ko:K05520	paer:PA1R_gp3866
ko:K10563	paer:PA1R_gp3868
ko:K07126	paer:PA1R_gp3871
ko:K00954	paer:PA1R_gp3874
ko:K00154	paer:PA1R_gp3877
ko:K07019	paer:PA1R_gp3880
ko:K08316	paer:PA1R_gp3882
ko:K07263	paer:PA1R_gp3883
ko:K07263	paer:PA1R_gp3884
ko:K03110	paer:PA1R_gp3885
ko:K09812	paer:PA1R_gp3886
ko:K09811	paer:PA1R_gp3887
ko:K03089	paer:PA1R_gp3888
ko:K03814	paer:PA1R_gp3890
ko:K03149	paer:PA1R_gp3892
ko:K03439	paer:PA1R_gp3893
ko:K02428	paer:PA1R_gp3898
ko:K00641	paer:PA1R_gp3901
ko:K02221	paer:PA1R_gp3903
ko:K00286	paer:PA1R_gp3904
ko:K06997	paer:PA1R_gp3905
ko:K02669	paer:PA1R_gp3906
ko:K02670	paer:PA1R_gp3907
ko:K16264	paer:PA1R_gp3908
ko:K01697	paer:PA1R_gp3910
ko:K01465	paer:PA1R_gp3912
ko:K00609	paer:PA1R_gp3913
ko:K02825	paer:PA1R_gp3914
ko:K07447	paer:PA1R_gp3915
ko:K07735	paer:PA1R_gp3916
ko:K03832	paer:PA1R_gp3917
ko:K01920	paer:PA1R_gp3918
ko:K02657	paer:PA1R_gp3919
ko:K02658	paer:PA1R_gp3920
ko:K02659	paer:PA1R_gp3921
ko:K02660	paer:PA1R_gp3922
ko:K02487	paer:PA1R_gp3924
ko:K06596	paer:PA1R_gp3924
ko:K06597	paer:PA1R_gp3925
ko:K06598	paer:PA1R_gp3926
ko:K09761	paer:PA1R_gp3930
ko:K00833	paer:PA1R_gp3931
ko:K00274	paer:PA1R_gp3932
ko:K03585	paer:PA1R_gp3936
ko:K11927	paer:PA1R_gp3939
ko:K00297	paer:PA1R_gp3941
ko:K01251	paer:PA1R_gp3943
ko:K02014	paer:PA1R_gp3946
ko:K10974	paer:PA1R_gp3950
ko:K17723	paer:PA1R_gp3951
ko:K01464	paer:PA1R_gp3953
ko:K03457	paer:PA1R_gp3954
ko:K06016	paer:PA1R_gp3955
ko:K00252	paer:PA1R_gp3957
ko:K03306	paer:PA1R_gp3960
ko:K07403	paer:PA1R_gp3961
ko:K02030	paer:PA1R_gp3963
ko:K05591	paer:PA1R_gp3965
ko:K03704	paer:PA1R_gp3966
ko:K03696	paer:PA1R_gp3969
ko:K07663	paer:PA1R_gp3973
ko:K07641	paer:PA1R_gp3974
ko:K06143	paer:PA1R_gp3975
ko:K02014	paer:PA1R_gp3980
ko:K03088	paer:PA1R_gp3982
ko:K03457	paer:PA1R_gp3986
ko:K01055	paer:PA1R_gp3990
ko:K01638	paer:PA1R_gp3992
ko:K05786	paer:PA1R_gp3995
ko:K02019	paer:PA1R_gp3997
ko:K05811	paer:PA1R_gp3998
ko:K07160	paer:PA1R_gp4002
ko:K01961	paer:PA1R_gp4004
ko:K01012	paer:PA1R_gp4009
ko:K00652	paer:PA1R_gp4010
ko:K02170	paer:PA1R_gp4011
ko:K02169	paer:PA1R_gp4012
ko:K01935	paer:PA1R_gp4013
ko:K02303	paer:PA1R_gp4020
ko:K08738	paer:PA1R_gp4028
ko:K15864	paer:PA1R_gp4029
ko:K04748	paer:PA1R_gp4030
ko:K02164	paer:PA1R_gp4031
ko:K02305	paer:PA1R_gp4033
ko:K04561	paer:PA1R_gp4034
ko:K02448	paer:PA1R_gp4035
ko:K06872	paer:PA1R_gp4047
ko:K03744	paer:PA1R_gp4048
ko:K03611	paer:PA1R_gp4049
ko:K03932	paer:PA1R_gp4054
ko:K00789	paer:PA1R_gp4057
ko:K00615	paer:PA1R_gp4059
ko:K03472	paer:PA1R_gp4062
ko:K00927	paer:PA1R_gp4063
ko:K01624	paer:PA1R_gp4065
ko:K07007	paer:PA1R_gp4069
ko:K07043	paer:PA1R_gp4070
ko:K07154	paer:PA1R_gp4081
ko:K03086	paer:PA1R_gp4087
ko:K09117	paer:PA1R_gp4089
ko:K02970	paer:PA1R_gp4090
ko:K01409	paer:PA1R_gp4091
ko:K08591	paer:PA1R_gp4092
ko:K01633	paer:PA1R_gp4093
ko:K00950	paer:PA1R_gp4094
ko:K00974	paer:PA1R_gp4095
ko:K09786	paer:PA1R_gp4098
ko:K07180	paer:PA1R_gp4099
ko:K02439	paer:PA1R_gp4100
ko:K01525	paer:PA1R_gp4101
ko:K06195	paer:PA1R_gp4102
ko:K02528	paer:PA1R_gp4103
ko:K00097	paer:PA1R_gp4104
ko:K03771	paer:PA1R_gp4105
ko:K04744	paer:PA1R_gp4106
ko:K07102	paer:PA1R_gp4107
ko:K05801	paer:PA1R_gp4109
ko:K02055	paer:PA1R_gp4113
ko:K02052	paer:PA1R_gp4114
ko:K02055	paer:PA1R_gp4115
ko:K02054	paer:PA1R_gp4116
ko:K02053	paer:PA1R_gp4117
ko:K01783	paer:PA1R_gp4118
ko:K01091	paer:PA1R_gp4119
ko:K01657	paer:PA1R_gp4120
ko:K01658	paer:PA1R_gp4149
ko:K00766	paer:PA1R_gp4150
ko:K01609	paer:PA1R_gp4151
ko:K10914	paer:PA1R_gp4152
ko:K07397	paer:PA1R_gp4153
ko:K01611	paer:PA1R_gp4154
ko:K06134	paer:PA1R_gp4155
ko:K02503	paer:PA1R_gp4156
ko:K07124	paer:PA1R_gp4158
ko:K00459	paer:PA1R_gp4160
ko:K08973	paer:PA1R_gp4161
ko:K00145	paer:PA1R_gp4162
ko:K15724	paer:PA1R_gp4165
ko:K09001	paer:PA1R_gp4166
ko:K01866	paer:PA1R_gp4168
ko:K14162	paer:PA1R_gp4174
ko:K00281	paer:PA1R_gp0247
ko:K02437	paer:PA1R_gp0248
ko:K07214	paer:PA1R_gp0253
ko:K02014	paer:PA1R_gp0262
ko:K03088	paer:PA1R_gp0264
ko:K00450	paer:PA1R_gp0266
ko:K16165	paer:PA1R_gp0267
ko:K08195	paer:PA1R_gp0268
ko:K03805	paer:PA1R_gp0272
ko:K04084	paer:PA1R_gp0274
ko:K03449	paer:PA1R_gp0294
ko:K03381	paer:PA1R_gp0300
ko:K03464	paer:PA1R_gp0301
ko:K05783	paer:PA1R_gp0309
ko:K05784	paer:PA1R_gp0310
ko:K05550	paer:PA1R_gp0311
ko:K05549	paer:PA1R_gp0312
ko:K15726	paer:PA1R_gp0314
ko:K15727	paer:PA1R_gp0315
ko:K15725	paer:PA1R_gp0316
ko:K07665	paer:PA1R_gp0317
ko:K07644	paer:PA1R_gp0318
ko:K07789	paer:PA1R_gp0321
ko:K07788	paer:PA1R_gp0322
ko:K07799	paer:PA1R_gp0323
ko:K00817	paer:PA1R_gp0326
ko:K11065	paer:PA1R_gp0327
ko:K03310	paer:PA1R_gp0328
ko:K00981	paer:PA1R_gp0331
ko:K00995	paer:PA1R_gp0336
ko:K09800	paer:PA1R_gp0337
ko:K07278	paer:PA1R_gp0338
ko:K01142	paer:PA1R_gp0340
ko:K02040	paer:PA1R_gp0343
ko:K05794	paer:PA1R_gp0344
ko:K00626	paer:PA1R_gp0348
ko:K01895	paer:PA1R_gp0350
ko:K00666	paer:PA1R_gp0352
ko:K07507	paer:PA1R_gp0353
ko:K03406	paer:PA1R_gp0357
ko:K03321	paer:PA1R_gp0359
ko:K00598	paer:PA1R_gp0360
ko:K17218	paer:PA1R_gp0362
ko:K03406	paer:PA1R_gp0370
ko:K00496	paer:PA1R_gp0371
ko:K07078	paer:PA1R_gp0372
ko:K00453	paer:PA1R_gp0376
ko:K03923	paer:PA1R_gp0377
ko:K03607	paer:PA1R_gp0380
ko:K07679	paer:PA1R_gp0381
ko:K03703	paer:PA1R_gp0384
ko:K02014	paer:PA1R_gp0390
ko:K11073	paer:PA1R_gp0392
ko:K15553	paer:PA1R_gp0394
ko:K15553	paer:PA1R_gp0395
ko:K15553	paer:PA1R_gp0396
ko:K04091	paer:PA1R_gp0398
ko:K02051	paer:PA1R_gp0399
ko:K04091	paer:PA1R_gp0400
ko:K07235	paer:PA1R_gp0406
ko:K07236	paer:PA1R_gp0407
ko:K07237	paer:PA1R_gp0408
ko:K11179	paer:PA1R_gp0409
ko:K07393	paer:PA1R_gp0411
ko:K02302	paer:PA1R_gp0412
ko:K01875	paer:PA1R_gp0413
ko:K07478	paer:PA1R_gp0414
ko:K03634	paer:PA1R_gp0415
ko:K03466	paer:PA1R_gp0416
ko:K00384	paer:PA1R_gp0417
ko:K00684	paer:PA1R_gp0418
ko:K02518	paer:PA1R_gp0420
ko:K03694	paer:PA1R_gp0421
ko:K06891	paer:PA1R_gp0422
ko:K03704	paer:PA1R_gp0423
ko:K00031	paer:PA1R_gp0424
ko:K00031	paer:PA1R_gp0425
ko:K00566	paer:PA1R_gp0427
ko:K07153	paer:PA1R_gp0428
ko:K01756	paer:PA1R_gp0430
ko:K01637	paer:PA1R_gp0435
ko:K07093	paer:PA1R_gp0436
ko:K00330	paer:PA1R_gp0438
ko:K00331	paer:PA1R_gp0439
ko:K13378	paer:PA1R_gp0440
ko:K02043	paer:PA1R_gp1220
ko:K02042	paer:PA1R_gp1221
ko:K02044	paer:PA1R_gp1222
ko:K02041	paer:PA1R_gp1223
ko:K00376	paer:PA1R_gp1231
ko:K07218	paer:PA1R_gp1232
ko:K00528	paer:PA1R_gp1236
ko:K01992	paer:PA1R_gp1240
ko:K01993	paer:PA1R_gp1241
ko:K12537	paer:PA1R_gp1245
ko:K12536	paer:PA1R_gp1246
ko:K16152	paer:PA1R_gp1248
ko:K03088	paer:PA1R_gp1250
ko:K09918	paer:PA1R_gp1253
ko:K00627	paer:PA1R_gp1256
ko:K00162	paer:PA1R_gp1257
ko:K00161	paer:PA1R_gp1258
ko:K00263	paer:PA1R_gp1259
ko:K06995	paer:PA1R_gp1266
ko:K01692	paer:PA1R_gp1267
ko:K14161	paer:PA1R_gp4175
ko:K03088	paer:PA1R_gp4180
ko:K02459	paer:PA1R_gp4182
ko:K02457	paer:PA1R_gp4183
ko:K02452	paer:PA1R_gp4184
ko:K02458	paer:PA1R_gp4185
ko:K02456	paer:PA1R_gp4186
ko:K02460	paer:PA1R_gp4187
ko:K02461	paer:PA1R_gp4188
ko:K02462	paer:PA1R_gp4189
ko:K02453	paer:PA1R_gp4190
ko:K02454	paer:PA1R_gp4191
ko:K02455	paer:PA1R_gp4192
ko:K03561	paer:PA1R_gp4198
ko:K03559	paer:PA1R_gp4199
ko:K01426	paer:PA1R_gp4210
ko:K11530	paer:PA1R_gp4215
ko:K01759	paer:PA1R_gp4216
ko:K03824	paer:PA1R_gp4217
ko:K09982	paer:PA1R_gp4218
ko:K06183	paer:PA1R_gp4225
ko:K07118	paer:PA1R_gp4233
ko:K00140	paer:PA1R_gp4239
ko:K03648	paer:PA1R_gp4242
ko:K07120	paer:PA1R_gp4243
ko:K07793	paer:PA1R_gp4244
ko:K07795	paer:PA1R_gp4246
ko:K07774	paer:PA1R_gp4248
ko:K07649	paer:PA1R_gp4249
ko:K06980	paer:PA1R_gp4251
ko:K09159	paer:PA1R_gp4252
ko:K00278	paer:PA1R_gp4254
ko:K03088	paer:PA1R_gp4255
ko:K03597	paer:PA1R_gp4256
ko:K03598	paer:PA1R_gp4257
ko:K03803	paer:PA1R_gp4258
ko:K03596	paer:PA1R_gp4260
ko:K03100	paer:PA1R_gp4261
ko:K03685	paer:PA1R_gp4263
ko:K03584	paer:PA1R_gp4265
ko:K03474	paer:PA1R_gp4266
ko:K15257	paer:PA1R_gp4267
ko:K15256	paer:PA1R_gp4268
ko:K02030	paer:PA1R_gp4270
ko:K14475	paer:PA1R_gp4271
ko:K01338	paer:PA1R_gp4272
ko:K02014	paer:PA1R_gp4274
ko:K13821	paer:PA1R_gp4275
ko:K11928	paer:PA1R_gp4276
ko:K01118	paer:PA1R_gp4278
ko:K07090	paer:PA1R_gp4284
ko:K01720	paer:PA1R_gp4286
ko:K03417	paer:PA1R_gp4290
ko:K03322	paer:PA1R_gp4303
ko:K01560	paer:PA1R_gp4304
ko:K06991	paer:PA1R_gp4311
ko:K04486	paer:PA1R_gp4328
ko:K01153	paer:PA1R_gp4331
ko:K09760	paer:PA1R_gp4332
ko:K03427	paer:PA1R_gp4333
ko:K01154	paer:PA1R_gp4334
ko:K07044	paer:PA1R_gp4352
ko:K13788	paer:PA1R_gp4357
ko:K00925	paer:PA1R_gp4358
ko:K03775	paer:PA1R_gp4359
ko:K00432	paer:PA1R_gp4360
ko:K16137	paer:PA1R_gp4361
ko:K01114	paer:PA1R_gp4366
ko:K06203	paer:PA1R_gp4368
ko:K03386	paer:PA1R_gp4370
ko:K01754	paer:PA1R_gp4373
ko:K01679	paer:PA1R_gp4376
ko:K09924	paer:PA1R_gp4378
ko:K05527	paer:PA1R_gp4379
ko:K07146	paer:PA1R_gp4380
ko:K07396	paer:PA1R_gp4381
ko:K00457	paer:PA1R_gp4387
ko:K11734	paer:PA1R_gp4388
ko:K15034	paer:PA1R_gp4390
ko:K07262	paer:PA1R_gp4391
ko:K00832	paer:PA1R_gp4392
ko:K01724	paer:PA1R_gp4393
ko:K00500	paer:PA1R_gp4394
ko:K03721	paer:PA1R_gp4395
ko:K11688	paer:PA1R_gp4407
ko:K11689	paer:PA1R_gp4408
ko:K01895	paer:PA1R_gp4410
ko:K10022	paer:PA1R_gp4411
ko:K10023	paer:PA1R_gp4413
ko:K06987	paer:PA1R_gp4414
ko:K10025	paer:PA1R_gp4415
ko:K00673	paer:PA1R_gp4419
ko:K00673	paer:PA1R_gp4420
ko:K06447	paer:PA1R_gp4421
ko:K01484	paer:PA1R_gp4422
ko:K05526	paer:PA1R_gp4424
ko:K01620	paer:PA1R_gp4425
ko:K01872	paer:PA1R_gp4426
ko:K00928	paer:PA1R_gp4427
ko:K06213	paer:PA1R_gp4438
ko:K14441	paer:PA1R_gp4441
ko:K03549	paer:PA1R_gp4442
ko:K12262	paer:PA1R_gp4443
ko:K14205	paer:PA1R_gp4445
ko:K02346	paer:PA1R_gp4449
ko:K07014	paer:PA1R_gp4450
ko:K03778	paer:PA1R_gp4453
ko:K14267	paer:PA1R_gp1476
ko:K03316	paer:PA1R_gp1477
ko:K06940	paer:PA1R_gp1480
ko:K00674	paer:PA1R_gp1523
ko:K01766	paer:PA1R_gp1524
ko:K02426	paer:PA1R_gp1525
ko:K01992	paer:PA1R_gp1528
ko:K01990	paer:PA1R_gp1529
ko:K00631	paer:PA1R_gp1530
ko:K07462	paer:PA1R_gp1581
ko:K09980	paer:PA1R_gp1588
ko:K01733	paer:PA1R_gp1592
ko:K00003	paer:PA1R_gp1593
ko:K03981	paer:PA1R_gp1594
ko:K04763	paer:PA1R_gp1595
ko:K02884	paer:PA1R_gp1599
ko:K00554	paer:PA1R_gp1600
ko:K02860	paer:PA1R_gp1601
ko:K02959	paer:PA1R_gp1602
ko:K03106	paer:PA1R_gp1603
ko:K08289	paer:PA1R_gp1608
ko:K03710	paer:PA1R_gp1613
ko:K01443	paer:PA1R_gp1614
ko:K00820	paer:PA1R_gp1615
ko:K11189	paer:PA1R_gp1616
ko:K02803	paer:PA1R_gp1617
ko:K02804	paer:PA1R_gp1617
ko:K01952	paer:PA1R_gp1620
ko:K09965	paer:PA1R_gp1622
ko:K05833	paer:PA1R_gp1733
ko:K06970	paer:PA1R_gp1735
ko:K03566	paer:PA1R_gp1739
ko:K06899	paer:PA1R_gp1743
ko:K07461	paer:PA1R_gp1748
ko:K01004	paer:PA1R_gp1751
ko:K09969	paer:PA1R_gp1752
ko:K06999	paer:PA1R_gp1753
ko:K00666	paer:PA1R_gp1754
ko:K03732	paer:PA1R_gp1755
ko:K10022	paer:PA1R_gp1759
ko:K03639	paer:PA1R_gp1760
ko:K03769	paer:PA1R_gp1761
ko:K00374	paer:PA1R_gp1762
ko:K00373	paer:PA1R_gp1763
ko:K00371	paer:PA1R_gp1764
ko:K00370	paer:PA1R_gp1765
ko:K02575	paer:PA1R_gp1766
ko:K02575	paer:PA1R_gp1767
ko:K07673	paer:PA1R_gp1768
ko:K07684	paer:PA1R_gp1769
ko:K03316	paer:PA1R_gp1778
ko:K05846	paer:PA1R_gp1779
ko:K05845	paer:PA1R_gp1780
ko:K05846	paer:PA1R_gp1781
ko:K05847	paer:PA1R_gp1782
ko:K03644	paer:PA1R_gp1885
ko:K03801	paer:PA1R_gp1886
ko:K09158	paer:PA1R_gp1887
ko:K07258	paer:PA1R_gp1888
ko:K03642	paer:PA1R_gp1889
ko:K08305	paer:PA1R_gp1890
ko:K05837	paer:PA1R_gp1891
ko:K05515	paer:PA1R_gp1892
ko:K00783	paer:PA1R_gp1893
ko:K09710	paer:PA1R_gp1894
ko:K00969	paer:PA1R_gp1895
ko:K00147	paer:PA1R_gp1896
ko:K03652	paer:PA1R_gp1899
ko:K07157	paer:PA1R_gp1901
ko:K03186	paer:PA1R_gp1908
ko:K02558	paer:PA1R_gp1909
ko:K03735	paer:PA1R_gp1913
ko:K03736	paer:PA1R_gp1914
ko:K02030	paer:PA1R_gp1916
ko:K03975	paer:PA1R_gp1917
ko:K09933	paer:PA1R_gp1918
ko:K01507	paer:PA1R_gp1919
ko:K06188	paer:PA1R_gp1922
ko:K01990	paer:PA1R_gp1925
ko:K01992	paer:PA1R_gp1926
ko:K03602	paer:PA1R_gp1930
ko:K13789	paer:PA1R_gp1931
ko:K01662	paer:PA1R_gp1932
ko:K02536	paer:PA1R_gp1463
ko:K06142	paer:PA1R_gp1464
ko:K07277	paer:PA1R_gp1465
ko:K11749	paer:PA1R_gp1466
ko:K00099	paer:PA1R_gp1467
ko:K00981	paer:PA1R_gp1468
ko:K00806	paer:PA1R_gp1469
ko:K02838	paer:PA1R_gp1470
ko:K09903	paer:PA1R_gp1471
ko:K02357	paer:PA1R_gp1472
ko:K02967	paer:PA1R_gp1473
ko:K01265	paer:PA1R_gp1474
ko:K00990	paer:PA1R_gp1475
ko:K09914	paer:PA1R_gp1531
ko:K15984	paer:PA1R_gp1537
ko:K00939	paer:PA1R_gp1543
ko:K01595	paer:PA1R_gp1544
ko:K01534	paer:PA1R_gp1547
ko:K06889	paer:PA1R_gp1552
ko:K04567	paer:PA1R_gp1557
ko:K02836	paer:PA1R_gp1558
ko:K11444	paer:PA1R_gp1559
ko:K13491	paer:PA1R_gp1560
ko:K13490	paer:PA1R_gp1561
ko:K13489	paer:PA1R_gp1562
ko:K13486	paer:PA1R_gp1563
ko:K13488	paer:PA1R_gp1564
ko:K13487	paer:PA1R_gp1565
ko:K00316	paer:PA1R_gp1570
ko:K07687	paer:PA1R_gp1571
ko:K01951	paer:PA1R_gp1633
ko:K00088	paer:PA1R_gp1634
ko:K07090	paer:PA1R_gp1639
ko:K03601	paer:PA1R_gp1641
ko:K08641	paer:PA1R_gp1646
ko:K02014	paer:PA1R_gp1655
ko:K01649	paer:PA1R_gp1657
ko:K14287	paer:PA1R_gp1663
ko:K03977	paer:PA1R_gp1664
ko:K17713	paer:PA1R_gp1665
ko:K01892	paer:PA1R_gp1667
ko:K15539	paer:PA1R_gp1669
ko:K02656	paer:PA1R_gp1670
ko:K06941	paer:PA1R_gp1671
ko:K00940	paer:PA1R_gp1672
ko:K04755	paer:PA1R_gp1673
ko:K04044	paer:PA1R_gp1674
ko:K04082	paer:PA1R_gp1675
ko:K13628	paer:PA1R_gp1676
ko:K04488	paer:PA1R_gp1677
ko:K04487	paer:PA1R_gp1678
ko:K00090	paer:PA1R_gp1787
ko:K03088	paer:PA1R_gp1790
ko:K16091	paer:PA1R_gp1792
ko:K02837	paer:PA1R_gp1794
ko:K07004	paer:PA1R_gp1800
ko:K01113	paer:PA1R_gp1801
ko:K08303	paer:PA1R_gp1804
ko:K03750	paer:PA1R_gp1805
ko:K03638	paer:PA1R_gp1806
ko:K03635	paer:PA1R_gp1807
ko:K03636	paer:PA1R_gp1808
ko:K03637	paer:PA1R_gp1809
ko:K07175	paer:PA1R_gp1810
ko:K17686	paer:PA1R_gp1811
ko:K03556	paer:PA1R_gp1812
ko:K00666	paer:PA1R_gp1815
ko:K00626	paer:PA1R_gp1816
ko:K00426	paer:PA1R_gp1819
ko:K00425	paer:PA1R_gp1820
ko:K02073	paer:PA1R_gp1821
ko:K02168	paer:PA1R_gp1823
ko:K03119	paer:PA1R_gp1825
ko:K15552	paer:PA1R_gp1826
ko:K10831	paer:PA1R_gp1827
ko:K15551	paer:PA1R_gp1828
ko:K03530	paer:PA1R_gp1830
ko:K01497	paer:PA1R_gp1935
ko:K06985	paer:PA1R_gp1936
ko:K01095	paer:PA1R_gp1938
ko:K00946	paer:PA1R_gp1939
ko:K03625	paer:PA1R_gp1940
ko:K00794	paer:PA1R_gp1941
ko:K14652	paer:PA1R_gp1942
ko:K00793	paer:PA1R_gp1943
ko:K11752	paer:PA1R_gp1944
ko:K07738	paer:PA1R_gp1945
ko:K05838	paer:PA1R_gp1949
ko:K02003	paer:PA1R_gp1952
ko:K02004	paer:PA1R_gp1953
ko:K09950	paer:PA1R_gp1954
ko:K07275	paer:PA1R_gp1955
ko:K01784	paer:PA1R_gp1957
ko:K00067	paer:PA1R_gp1958
ko:K07729	paer:PA1R_gp1966
ko:K07687	paer:PA1R_gp1969
ko:K07347	paer:PA1R_gp1973
ko:K07345	paer:PA1R_gp1975
ko:K01845	paer:PA1R_gp1977
ko:K00059	paer:PA1R_gp1978
ko:K09956	paer:PA1R_gp1979
ko:K00484	paer:PA1R_gp1981
ko:K12340	paer:PA1R_gp2035
ko:K00627	paer:PA1R_gp2043
ko:K07184	paer:PA1R_gp2045
ko:K02013	paer:PA1R_gp2049
ko:K02016	paer:PA1R_gp2050
ko:K02015	paer:PA1R_gp2051
ko:K02015	paer:PA1R_gp2052
ko:K01426	paer:PA1R_gp2054
ko:K00375	paer:PA1R_gp2056
ko:K06222	paer:PA1R_gp2058
ko:K16088	paer:PA1R_gp2059
ko:K05520	paer:PA1R_gp2062
ko:K01142	paer:PA1R_gp2063
ko:K03769	paer:PA1R_gp2067
ko:K01652	paer:PA1R_gp2071
ko:K07734	paer:PA1R_gp2073
ko:K08368	paer:PA1R_gp2078
ko:K01714	paer:PA1R_gp2079
ko:K02986	paer:PA1R_gp2130
ko:K02948	paer:PA1R_gp2131
ko:K02952	paer:PA1R_gp2132
ko:K03076	paer:PA1R_gp2133
ko:K02876	paer:PA1R_gp2134
ko:K02988	paer:PA1R_gp2135
ko:K02881	paer:PA1R_gp2136
ko:K02933	paer:PA1R_gp2137
ko:K02994	paer:PA1R_gp2138
ko:K02954	paer:PA1R_gp2139
ko:K02931	paer:PA1R_gp2140
ko:K02895	paer:PA1R_gp2141
ko:K02874	paer:PA1R_gp2142
ko:K02961	paer:PA1R_gp2143
ko:K02878	paer:PA1R_gp2144
ko:K02982	paer:PA1R_gp2145
ko:K02890	paer:PA1R_gp2146
ko:K02965	paer:PA1R_gp2147
ko:K02886	paer:PA1R_gp2148
ko:K02892	paer:PA1R_gp2149
ko:K02926	paer:PA1R_gp2150
ko:K02906	paer:PA1R_gp2151
ko:K02946	paer:PA1R_gp2152
ko:K02358	paer:PA1R_gp2153
