ko:K02495	ecoj:P423_21475
ko:K02386	ecoj:P423_01300
ko:K02387	ecoj:P423_01305
ko:K02388	ecoj:P423_01310
ko:K02389	ecoj:P423_01315
ko:K02390	ecoj:P423_01325
ko:K02391	ecoj:P423_01330
ko:K11936	ecoj:P423_05550
ko:K11931	ecoj:P423_05555
ko:K11935	ecoj:P423_05560
ko:K12972	ecoj:P423_05580
ko:K04477	ecoj:P423_05585
ko:K06214	ecoj:P423_05600
ko:K04338	ecoj:P423_05605
ko:K04337	ecoj:P423_05610
ko:K04335	ecoj:P423_05620
ko:K04334	ecoj:P423_05625
ko:K04336	ecoj:P423_05630
ko:K11941	ecoj:P423_05650
ko:K03670	ecoj:P423_05655
ko:K03669	ecoj:P423_05660
ko:K12147	ecoj:P423_05670
ko:K08161	ecoj:P423_05675
ko:K02517	ecoj:P423_05680
ko:K07146	ecoj:P423_05685
ko:K02846	ecoj:P423_05710
ko:K12148	ecoj:P423_05715
ko:K12149	ecoj:P423_05720
ko:K01465	ecoj:P423_05725
ko:K03675	ecoj:P423_05735
ko:K08162	ecoj:P423_05740
ko:K03790	ecoj:P423_05745
ko:K09915	ecoj:P423_05750
ko:K03810	ecoj:P423_05755
ko:K03980	ecoj:P423_05760
ko:K02399	ecoj:P423_05765
ko:K02398	ecoj:P423_05770
ko:K02386	ecoj:P423_05775
ko:K02387	ecoj:P423_05780
ko:K02388	ecoj:P423_05785
ko:K02389	ecoj:P423_05790
ko:K02390	ecoj:P423_05795
ko:K02391	ecoj:P423_05800
ko:K02392	ecoj:P423_05805
ko:K02393	ecoj:P423_05810
ko:K02394	ecoj:P423_05815
ko:K02395	ecoj:P423_05820
ko:K10537	ecoj:P423_10065
ko:K02255	ecoj:P423_10070
ko:K02217	ecoj:P423_10090
ko:K03834	ecoj:P423_10100
ko:K07039	ecoj:P423_10105
ko:K07798	ecoj:P423_02760
ko:K07787	ecoj:P423_02765
ko:K11732	ecoj:P423_02770
ko:K16053	ecoj:P423_02775
ko:K10679	ecoj:P423_02780
ko:K06048	ecoj:P423_02795
ko:K17203	ecoj:P423_02815
ko:K17204	ecoj:P423_02820
ko:K17202	ecoj:P423_02830
ko:K00864	ecoj:P423_02835
ko:K00615	ecoj:P423_02845
ko:K00615	ecoj:P423_02850
ko:K02362	ecoj:P423_02855
ko:K07214	ecoj:P423_02865
ko:K02364	ecoj:P423_02875
ko:K02013	ecoj:P423_02885
ko:K02015	ecoj:P423_02890
ko:K02015	ecoj:P423_02895
ko:K08225	ecoj:P423_02900
ko:K02016	ecoj:P423_02905
ko:K02361	ecoj:P423_02910
ko:K02363	ecoj:P423_02915
ko:K01252	ecoj:P423_02920
ko:K00216	ecoj:P423_02925
ko:K06200	ecoj:P423_02935
ko:K08317	ecoj:P423_02945
ko:K14287	ecoj:P423_02950
ko:K03805	ecoj:P423_02970
ko:K03386	ecoj:P423_02975
ko:K03387	ecoj:P423_02985
ko:K11932	ecoj:P423_02990
ko:K06140	ecoj:P423_02995
ko:K01169	ecoj:P423_03000
ko:K09477	ecoj:P423_03005
ko:K05966	ecoj:P423_03010
ko:K05964	ecoj:P423_03015
ko:K01695	ecoj:P423_07445
ko:K01696	ecoj:P423_07450
ko:K13498	ecoj:P423_07455
ko:K13497	ecoj:P423_07460
ko:K01657	ecoj:P423_07465
ko:K07053	ecoj:P423_07470
ko:K06178	ecoj:P423_07485
ko:K04774	ecoj:P423_07510
ko:K03168	ecoj:P423_07520
ko:K13634	ecoj:P423_07525
ko:K01681	ecoj:P423_07545
ko:K07642	ecoj:P423_11770
ko:K07664	ecoj:P423_11775
ko:K09946	ecoj:P423_11780
ko:K08303	ecoj:P423_11785
ko:K02436	ecoj:P423_11800
ko:K00094	ecoj:P423_11805
ko:K02774	ecoj:P423_11810
ko:K02773	ecoj:P423_11815
ko:K16371	ecoj:P423_11820
ko:K08302	ecoj:P423_11825
ko:K07273	ecoj:P423_11855
ko:K00941	ecoj:P423_11860
ko:K00878	ecoj:P423_11865
ko:K07347	ecoj:P423_11890
ko:K03593	ecoj:P423_11910
ko:K01874	ecoj:P423_11915
ko:K02478	ecoj:P423_11975
ko:K05846	ecoj:P423_11990
ko:K05847	ecoj:P423_11995
ko:K05846	ecoj:P423_12000
ko:K05845	ecoj:P423_12005
ko:K05349	ecoj:P423_12010
ko:K03777	ecoj:P423_12015
ko:K07262	ecoj:P423_12020
ko:K09761	ecoj:P423_16160
ko:K01920	ecoj:P423_16165
ko:K07735	ecoj:P423_16170
ko:K07447	ecoj:P423_16175
ko:K02669	ecoj:P423_16180
ko:K06997	ecoj:P423_16185
ko:K02221	ecoj:P423_16190
ko:K09131	ecoj:P423_16195
ko:K02428	ecoj:P423_16200
ko:K01424	ecoj:P423_16230
ko:K09923	ecoj:P423_16240
ko:K03439	ecoj:P423_16245
ko:K03575	ecoj:P423_16250
ko:K08306	ecoj:P423_16260
ko:K03289	ecoj:P423_16265
ko:K01581	ecoj:P423_16270
ko:K07150	ecoj:P423_16275
ko:K16137	ecoj:P423_16345
ko:K03897	ecoj:P423_16375
ko:K02014	ecoj:P423_16380
ko:K16089	ecoj:P423_16450
ko:K08163	ecoj:P423_20590
ko:K06901	ecoj:P423_20610
ko:K09925	ecoj:P423_20625
ko:K07214	ecoj:P423_20635
ko:K10124	ecoj:P423_20640
ko:K01223	ecoj:P423_20645
ko:K02755	ecoj:P423_20650
ko:K02756	ecoj:P423_20650
ko:K02757	ecoj:P423_20650
ko:K02039	ecoj:P423_20660
ko:K02036	ecoj:P423_20665
ko:K02038	ecoj:P423_20670
ko:K02037	ecoj:P423_20675
ko:K02040	ecoj:P423_20680
ko:K00820	ecoj:P423_20685
ko:K04042	ecoj:P423_20690
ko:K02114	ecoj:P423_20700
ko:K02112	ecoj:P423_20705
ko:K02115	ecoj:P423_20710
ko:K02111	ecoj:P423_20715
ko:K02113	ecoj:P423_20720
ko:K02109	ecoj:P423_20725
ko:K02110	ecoj:P423_20730
ko:K02108	ecoj:P423_20735
ko:K02116	ecoj:P423_20740
ko:K03501	ecoj:P423_20745
ko:K03495	ecoj:P423_20750
ko:K06205	ecoj:P423_20755
ko:K03718	ecoj:P423_20760
ko:K01914	ecoj:P423_20765
ko:K03924	ecoj:P423_20775
ko:K03549	ecoj:P423_20780
ko:K06726	ecoj:P423_20785
ko:K10441	ecoj:P423_20790
ko:K10440	ecoj:P423_20795
ko:K10439	ecoj:P423_20800
ko:K00852	ecoj:P423_20805
ko:K02529	ecoj:P423_20810
ko:K04095	ecoj:P423_25245
ko:K01739	ecoj:P423_21840
ko:K15737	ecoj:P423_14570
ko:K15736	ecoj:P423_14575
ko:K00135	ecoj:P423_14580
ko:K07250	ecoj:P423_14585
ko:K11735	ecoj:P423_14590
ko:K15735	ecoj:P423_14595
ko:K03647	ecoj:P423_14645
ko:K02000	ecoj:P423_14660
ko:K02001	ecoj:P423_14665
ko:K02002	ecoj:P423_14670
ko:K15974	ecoj:P423_14690
ko:K03543	ecoj:P423_14695
ko:K03446	ecoj:P423_14700
ko:K07173	ecoj:P423_14715
ko:K01919	ecoj:P423_14720
ko:K03563	ecoj:P423_14765
ko:K04762	ecoj:P423_18950
ko:K04083	ecoj:P423_18955
ko:K01610	ecoj:P423_18970
ko:K07638	ecoj:P423_18975
ko:K07659	ecoj:P423_18980
ko:K04760	ecoj:P423_18985
ko:K06959	ecoj:P423_18990
ko:K04758	ecoj:P423_18995
ko:K04759	ecoj:P423_19000
ko:K07490	ecoj:P423_19005
ko:K02170	ecoj:P423_19015
ko:K07400	ecoj:P423_19025
ko:K06155	ecoj:P423_19030
ko:K00705	ecoj:P423_19035
ko:K00688	ecoj:P423_19040
ko:K03556	ecoj:P423_19045
ko:K01974	ecoj:P423_19050
ko:K14414	ecoj:P423_19055
ko:K02444	ecoj:P423_19060
ko:K02441	ecoj:P423_19065
ko:K02439	ecoj:P423_19070
ko:K00111	ecoj:P423_19075
ko:K02040	ecoj:P423_19095
ko:K00688	ecoj:P423_19100
ko:K00703	ecoj:P423_19105
ko:K00975	ecoj:P423_19110
ko:K00700	ecoj:P423_19120
ko:K00133	ecoj:P423_19125
ko:K03654	ecoj:P423_19140
ko:K06156	ecoj:P423_19145
ko:K00851	ecoj:P423_19150
ko:K06145	ecoj:P423_19155
ko:K06911	ecoj:P423_19160
ko:K03825	ecoj:P423_19170
ko:K01126	ecoj:P423_19185
ko:K05816	ecoj:P423_19190
ko:K05815	ecoj:P423_19195
ko:K05814	ecoj:P423_19200
ko:K05813	ecoj:P423_19205
ko:K02821	ecoj:P423_23350
ko:K03078	ecoj:P423_23355
ko:K03079	ecoj:P423_23360
ko:K03077	ecoj:P423_23365
ko:K02990	ecoj:P423_23380
ko:K02686	ecoj:P423_23385
ko:K02963	ecoj:P423_23390
ko:K02939	ecoj:P423_23395
ko:K07154	ecoj:P423_23410
ko:K08191	ecoj:P423_23415
ko:K07269	ecoj:P423_23450
ko:K03773	ecoj:P423_23455
ko:K11737	ecoj:P423_23460
ko:K07322	ecoj:P423_23465
ko:K01119	ecoj:P423_23485
ko:K01082	ecoj:P423_23490
ko:K07109	ecoj:P423_23495
ko:K07304	ecoj:P423_23515
ko:K07278	ecoj:P423_23520
ko:K09800	ecoj:P423_23525
ko:K01507	ecoj:P423_23545
ko:K02056	ecoj:P423_23555
ko:K02057	ecoj:P423_23560
ko:K02057	ecoj:P423_23565
ko:K03841	ecoj:P423_23570
ko:K02558	ecoj:P423_23575
ko:K09889	ecoj:P423_23580
ko:K03592	ecoj:P423_23585
ko:K15536	ecoj:P423_23590
ko:K01226	ecoj:P423_23605
ko:K02818	ecoj:P423_23610
ko:K02819	ecoj:P423_23610
ko:K03485	ecoj:P423_23615
ko:K01531	ecoj:P423_23620
ko:K14441	ecoj:P423_04145
ko:K07258	ecoj:P423_04165
ko:K11534	ecoj:P423_04170
ko:K08160	ecoj:P423_04180
ko:K07085	ecoj:P423_04205
ko:K05844	ecoj:P423_04230
ko:K11073	ecoj:P423_04240
ko:K11076	ecoj:P423_04245
ko:K11075	ecoj:P423_04250
ko:K11074	ecoj:P423_04255
ko:K03212	ecoj:P423_04265
ko:K09996	ecoj:P423_04270
ko:K09998	ecoj:P423_04275
ko:K09999	ecoj:P423_04280
ko:K09997	ecoj:P423_04285
ko:K10000	ecoj:P423_04290
ko:K11066	ecoj:P423_04305
ko:K01620	ecoj:P423_04320
ko:K00156	ecoj:P423_04325
ko:K11933	ecoj:P423_04330
ko:K05601	ecoj:P423_04335
ko:K06188	ecoj:P423_04355
ko:K09824	ecoj:P423_04365
ko:K13888	ecoj:P423_04370
ko:K05685	ecoj:P423_04375
ko:K03704	ecoj:P423_04380
ko:K06891	ecoj:P423_04385
ko:K03694	ecoj:P423_04390
ko:K02518	ecoj:P423_04400
ko:K00684	ecoj:P423_04405
ko:K14155	ecoj:P423_08675
ko:K01488	ecoj:P423_08680
ko:K03617	ecoj:P423_08705
ko:K03616	ecoj:P423_08710
ko:K03615	ecoj:P423_08715
ko:K03614	ecoj:P423_08720
ko:K03612	ecoj:P423_08725
ko:K03613	ecoj:P423_08730
ko:K10773	ecoj:P423_08735
ko:K03305	ecoj:P423_08745
ko:K00799	ecoj:P423_08750
ko:K00868	ecoj:P423_08755
ko:K01866	ecoj:P423_08760
ko:K00275	ecoj:P423_08765
ko:K09001	ecoj:P423_08775
ko:K06077	ecoj:P423_08780
ko:K06075	ecoj:P423_08785
ko:K06938	ecoj:P423_08815
ko:K16137	ecoj:P423_08820
ko:K10680	ecoj:P423_08825
ko:K01759	ecoj:P423_08830
ko:K03683	ecoj:P423_08835
ko:K07390	ecoj:P423_08840
ko:K04564	ecoj:P423_08850
ko:K03604	ecoj:P423_08865
ko:K00574	ecoj:P423_08880
ko:K00793	ecoj:P423_08885
ko:K03327	ecoj:P423_08890
ko:K08354	ecoj:P423_08925
ko:K00873	ecoj:P423_08955
ko:K07733	ecoj:P423_13145
ko:K13636	ecoj:P423_13150
ko:K13629	ecoj:P423_13155
ko:K01753	ecoj:P423_13160
ko:K07786	ecoj:P423_13165
ko:K07797	ecoj:P423_13170
ko:K07690	ecoj:P423_13175
ko:K07679	ecoj:P423_13180
ko:K07088	ecoj:P423_13190
ko:K01577	ecoj:P423_13195
ko:K12974	ecoj:P423_13220
ko:K14261	ecoj:P423_13225
ko:K02478	ecoj:P423_13230
ko:K08483	ecoj:P423_13245
ko:K11189	ecoj:P423_13245
ko:K11201	ecoj:P423_13245
ko:K08326	ecoj:P423_13255
ko:K11203	ecoj:P423_13260
ko:K11202	ecoj:P423_13265
ko:K00845	ecoj:P423_13270
ko:K03322	ecoj:P423_13285
ko:K11535	ecoj:P423_13290
ko:K01885	ecoj:P423_13320
ko:K01643	ecoj:P423_03020
ko:K01644	ecoj:P423_03025
ko:K01646	ecoj:P423_03030
ko:K01910	ecoj:P423_03035
ko:K07700	ecoj:P423_03040
ko:K07702	ecoj:P423_03045
ko:K03326	ecoj:P423_03050
ko:K12973	ecoj:P423_03055
ko:K03704	ecoj:P423_03060
ko:K06199	ecoj:P423_03065
ko:K03425	ecoj:P423_03075
ko:K03644	ecoj:P423_03080
ko:K03801	ecoj:P423_03090
ko:K09158	ecoj:P423_03095
ko:K07258	ecoj:P423_03100
ko:K03642	ecoj:P423_03105
ko:K05837	ecoj:P423_03110
ko:K05515	ecoj:P423_03115
ko:K00783	ecoj:P423_03120
ko:K09710	ecoj:P423_03125
ko:K00969	ecoj:P423_03135
ko:K02340	ecoj:P423_03140
ko:K03643	ecoj:P423_03145
ko:K01869	ecoj:P423_03150
ko:K07126	ecoj:P423_03165
ko:K04045	ecoj:P423_03175
ko:K01250	ecoj:P423_03180
ko:K10004	ecoj:P423_03185
ko:K10002	ecoj:P423_03190
ko:K10003	ecoj:P423_03195
ko:K10001	ecoj:P423_03200
ko:K03820	ecoj:P423_03215
ko:K06189	ecoj:P423_03220
ko:K07042	ecoj:P423_03225
ko:K06168	ecoj:P423_03235
ko:K03184	ecoj:P423_03240
ko:K01953	ecoj:P423_03285
ko:K02566	ecoj:P423_03290
ko:K08992	ecoj:P423_07560
ko:K01591	ecoj:P423_07570
ko:K03113	ecoj:P423_07575
ko:K04062	ecoj:P423_07580
ko:K14051	ecoj:P423_07595
ko:K01147	ecoj:P423_07600
ko:K00208	ecoj:P423_07610
ko:K07552	ecoj:P423_07635
ko:K03974	ecoj:P423_07670
ko:K03969	ecoj:P423_07675
ko:K03970	ecoj:P423_07680
ko:K03971	ecoj:P423_07690
ko:K03972	ecoj:P423_07695
ko:K02025	ecoj:P423_07710
ko:K02026	ecoj:P423_07715
ko:K04844	ecoj:P423_07735
ko:K10112	ecoj:P423_07745
ko:K14053	ecoj:P423_07750
ko:K06918	ecoj:P423_07760
ko:K08990	ecoj:P423_07765
ko:K03721	ecoj:P423_07770
ko:K11065	ecoj:P423_07775
ko:K11537	ecoj:P423_13350
ko:K03815	ecoj:P423_13355
ko:K14347	ecoj:P423_13370
ko:K09954	ecoj:P423_13375
ko:K01972	ecoj:P423_13380
ko:K01754	ecoj:P423_17580
ko:K07592	ecoj:P423_17585
ko:K07591	ecoj:P423_17590
ko:K00865	ecoj:P423_17595
ko:K01630	ecoj:P423_17605
ko:K12299	ecoj:P423_17610
ko:K01708	ecoj:P423_17615
ko:K16371	ecoj:P423_17635
ko:K02745	ecoj:P423_17640
ko:K02746	ecoj:P423_17645
ko:K02747	ecoj:P423_17650
ko:K02744	ecoj:P423_17655
ko:K02079	ecoj:P423_17660
ko:K02082	ecoj:P423_17665
ko:K08302	ecoj:P423_17670
ko:K10984	ecoj:P423_17675
ko:K10985	ecoj:P423_17680
ko:K10986	ecoj:P423_17685
ko:K02080	ecoj:P423_17690
ko:K07056	ecoj:P423_17695
ko:K07121	ecoj:P423_17700
ko:K07460	ecoj:P423_17705
ko:K12961	ecoj:P423_17710
ko:K07089	ecoj:P423_17720
ko:K05520	ecoj:P423_17730
ko:K09979	ecoj:P423_17735
ko:K07461	ecoj:P423_17740
ko:K03824	ecoj:P423_17745
ko:K08303	ecoj:P423_17755
ko:K03835	ecoj:P423_17770
ko:K05592	ecoj:P423_17775
ko:K05803	ecoj:P423_17780
ko:K00962	ecoj:P423_17785
ko:K02956	ecoj:P423_17790
ko:K03177	ecoj:P423_17795
ko:K02834	ecoj:P423_17800
ko:K02519	ecoj:P423_17805
ko:K02600	ecoj:P423_17810
ko:K09748	ecoj:P423_17815
ko:K01940	ecoj:P423_17825
ko:K03075	ecoj:P423_17840
ko:K03431	ecoj:P423_17845
ko:K00796	ecoj:P423_17850
ko:K04761	ecoj:P423_21965
ko:K00322	ecoj:P423_21970
ko:K16092	ecoj:P423_22000
ko:K01776	ecoj:P423_22005
ko:K00075	ecoj:P423_22035
ko:K03524	ecoj:P423_22040
ko:K00867	ecoj:P423_22045
ko:K02358	ecoj:P423_22070
ko:K03073	ecoj:P423_22075
ko:K02601	ecoj:P423_22080
ko:K02867	ecoj:P423_22085
ko:K02863	ecoj:P423_22090
ko:K02864	ecoj:P423_22095
ko:K02935	ecoj:P423_22100
ko:K03043	ecoj:P423_22105
ko:K03046	ecoj:P423_22110
ko:K03150	ecoj:P423_22115
ko:K03149	ecoj:P423_22120
ko:K03154	ecoj:P423_22125
ko:K03148	ecoj:P423_22130
ko:K00788	ecoj:P423_22135
ko:K03147	ecoj:P423_22140
ko:K07740	ecoj:P423_22145
ko:K03426	ecoj:P423_22150
ko:K01599	ecoj:P423_22155
ko:K05982	ecoj:P423_22160
ko:K09891	ecoj:P423_22165
ko:K05787	ecoj:P423_22170
ko:K07803	ecoj:P423_22180
ko:K07709	ecoj:P423_22185
ko:K01945	ecoj:P423_22195
ko:K00602	ecoj:P423_22200
ko:K03827	ecoj:P423_22230
ko:K00651	ecoj:P423_22235
ko:K01638	ecoj:P423_22240
ko:K02392	ecoj:P423_01335
ko:K02393	ecoj:P423_01340
ko:K02394	ecoj:P423_01345
ko:K02395	ecoj:P423_01350
ko:K02396	ecoj:P423_01355
ko:K02397	ecoj:P423_01360
ko:K02406	ecoj:P423_01375
ko:K02407	ecoj:P423_01380
ko:K02422	ecoj:P423_01385
ko:K02414	ecoj:P423_01395
ko:K02415	ecoj:P423_01400
ko:K02405	ecoj:P423_01405
ko:K02556	ecoj:P423_01410
ko:K02557	ecoj:P423_01415
ko:K02346	ecoj:P423_01420
ko:K03830	ecoj:P423_01425
ko:K02839	ecoj:P423_01435
ko:K01270	ecoj:P423_01440
ko:K00769	ecoj:P423_01445
ko:K11750	ecoj:P423_01450
ko:K11926	ecoj:P423_01455
ko:K11929	ecoj:P423_01460
ko:K00931	ecoj:P423_01465
ko:K00147	ecoj:P423_01470
ko:K01154	ecoj:P423_01485
ko:K03427	ecoj:P423_01490
ko:K01153	ecoj:P423_01495
ko:K08996	ecoj:P423_01530
ko:K06940	ecoj:P423_01535
ko:K02919	ecoj:P423_01570
ko:K02909	ecoj:P423_01575
ko:K06889	ecoj:P423_01590
ko:K06221	ecoj:P423_01610
ko:K13735	ecoj:P423_01615
ko:K02396	ecoj:P423_05825
ko:K02397	ecoj:P423_05830
ko:K08300	ecoj:P423_05835
ko:K06179	ecoj:P423_05845
ko:K07040	ecoj:P423_05855
ko:K02911	ecoj:P423_05860
ko:K03621	ecoj:P423_05865
ko:K00648	ecoj:P423_05870
ko:K00645	ecoj:P423_05875
ko:K00059	ecoj:P423_05880
ko:K02078	ecoj:P423_05885
ko:K09458	ecoj:P423_05890
ko:K02619	ecoj:P423_05895
ko:K07082	ecoj:P423_05900
ko:K00943	ecoj:P423_05905
ko:K02341	ecoj:P423_05910
ko:K03424	ecoj:P423_05915
ko:K02778	ecoj:P423_05920
ko:K02779	ecoj:P423_05920
ko:K16088	ecoj:P423_05925
ko:K02503	ecoj:P423_05930
ko:K07337	ecoj:P423_05940
ko:K07251	ecoj:P423_05945
ko:K01207	ecoj:P423_05950
ko:K07000	ecoj:P423_05955
ko:K03885	ecoj:P423_05960
ko:K12151	ecoj:P423_05975
ko:K03723	ecoj:P423_05985
ko:K09808	ecoj:P423_05995
ko:K09810	ecoj:P423_06000
ko:K09808	ecoj:P423_06005
ko:K12410	ecoj:P423_06015
ko:K11069	ecoj:P423_06030
ko:K11070	ecoj:P423_06035
ko:K11071	ecoj:P423_06040
ko:K11072	ecoj:P423_06045
ko:K01258	ecoj:P423_06050
ko:K07637	ecoj:P423_06060
ko:K07660	ecoj:P423_06065
ko:K01756	ecoj:P423_06070
ko:K07153	ecoj:P423_06075
ko:K00566	ecoj:P423_06080
ko:K12152	ecoj:P423_06085
ko:K06181	ecoj:P423_06090
ko:K00031	ecoj:P423_06095
ko:K00995	ecoj:P423_10415
ko:K03703	ecoj:P423_10420
ko:K07689	ecoj:P423_10425
ko:K10010	ecoj:P423_10440
ko:K10009	ecoj:P423_10445
ko:K02424	ecoj:P423_10455
ko:K02425	ecoj:P423_10460
ko:K02405	ecoj:P423_10465
ko:K02406	ecoj:P423_10470
ko:K02407	ecoj:P423_10475
ko:K02422	ecoj:P423_10480
ko:K02423	ecoj:P423_10485
ko:K01176	ecoj:P423_10490
ko:K07112	ecoj:P423_10500
ko:K07491	ecoj:P423_10515
ko:K06910	ecoj:P423_10525
ko:K02408	ecoj:P423_10540
ko:K02409	ecoj:P423_10545
ko:K02410	ecoj:P423_10550
ko:K02411	ecoj:P423_10555
ko:K02412	ecoj:P423_10560
ko:K02413	ecoj:P423_10565
ko:K02414	ecoj:P423_10570
ko:K02415	ecoj:P423_10575
ko:K02416	ecoj:P423_10580
ko:K02417	ecoj:P423_10585
ko:K02418	ecoj:P423_10590
ko:K02419	ecoj:P423_10595
ko:K02420	ecoj:P423_10600
ko:K02421	ecoj:P423_10605
ko:K07781	ecoj:P423_10610
ko:K07026	ecoj:P423_10625
ko:K01872	ecoj:P423_14770
ko:K03565	ecoj:P423_14775
ko:K03743	ecoj:P423_14785
ko:K08305	ecoj:P423_14795
ko:K02783	ecoj:P423_14805
ko:K02782	ecoj:P423_14810
ko:K02783	ecoj:P423_14810
ko:K02781	ecoj:P423_14815
ko:K00068	ecoj:P423_14820
ko:K02466	ecoj:P423_14825
ko:K02468	ecoj:P423_14830
ko:K02467	ecoj:P423_14835
ko:K12266	ecoj:P423_14840
ko:K12264	ecoj:P423_14845
ko:K12265	ecoj:P423_14850
ko:K04656	ecoj:P423_14855
ko:K05796	ecoj:P423_14860
ko:K08315	ecoj:P423_14885
ko:K15834	ecoj:P423_14890
ko:K15832	ecoj:P423_14895
ko:K15831	ecoj:P423_14900
ko:K15830	ecoj:P423_14905
ko:K15829	ecoj:P423_14910
ko:K15828	ecoj:P423_14915
ko:K15827	ecoj:P423_14920
ko:K15833	ecoj:P423_14925
ko:K04651	ecoj:P423_14930
ko:K04652	ecoj:P423_14935
ko:K04653	ecoj:P423_14940
ko:K04654	ecoj:P423_14945
ko:K04655	ecoj:P423_14950
ko:K15836	ecoj:P423_14955
ko:K03555	ecoj:P423_14975
ko:K07314	ecoj:P423_14980
ko:K03299	ecoj:P423_15010
ko:K03087	ecoj:P423_15025
ko:K06194	ecoj:P423_15035
ko:K00573	ecoj:P423_15040
ko:K01996	ecoj:P423_19215
ko:K01995	ecoj:P423_19220
ko:K01998	ecoj:P423_19225
ko:K01997	ecoj:P423_19230
ko:K14054	ecoj:P423_07785
ko:K06889	ecoj:P423_07795
ko:K15580	ecoj:P423_07805
ko:K16052	ecoj:P423_07810
ko:K14055	ecoj:P423_07820
ko:K00567	ecoj:P423_07830
ko:K05541	ecoj:P423_12050
ko:K01489	ecoj:P423_12065
ko:K03748	ecoj:P423_12070
ko:K17722	ecoj:P423_12080
ko:K17723	ecoj:P423_12085
ko:K10541	ecoj:P423_12090
ko:K10542	ecoj:P423_12095
ko:K10540	ecoj:P423_12100
ko:K02529	ecoj:P423_12105
ko:K07148	ecoj:P423_12110
ko:K01495	ecoj:P423_12115
ko:K01070	ecoj:P423_12120
ko:K16089	ecoj:P423_12125
ko:K11733	ecoj:P423_12130
ko:K01151	ecoj:P423_12145
ko:K16328	ecoj:P423_12150
ko:K10213	ecoj:P423_12155
ko:K16326	ecoj:P423_12160
ko:K16324	ecoj:P423_12165
ko:K16329	ecoj:P423_12170
ko:K16328	ecoj:P423_12175
ko:K02769	ecoj:P423_12185
ko:K02770	ecoj:P423_12185
ko:K00882	ecoj:P423_12190
ko:K02768	ecoj:P423_12195
ko:K11183	ecoj:P423_12195
ko:K03291	ecoj:P423_12200
ko:K06940	ecoj:P423_12205
ko:K02356	ecoj:P423_12210
ko:K13694	ecoj:P423_12230
ko:K13893	ecoj:P423_12240
ko:K13894	ecoj:P423_12245
ko:K13895	ecoj:P423_12250
ko:K13896	ecoj:P423_12255
ko:K07552	ecoj:P423_12265
ko:K06183	ecoj:P423_12270
ko:K02897	ecoj:P423_12280
ko:K06899	ecoj:P423_12285
ko:K09904	ecoj:P423_12290
ko:K07014	ecoj:P423_12295
ko:K07685	ecoj:P423_12315
ko:K00885	ecoj:P423_16500
ko:K01639	ecoj:P423_16505
ko:K06946	ecoj:P423_16565
ko:K12687	ecoj:P423_16570
ko:K06041	ecoj:P423_16655
ko:K10107	ecoj:P423_16660
ko:K00979	ecoj:P423_16670
ko:K07266	ecoj:P423_16675
ko:K07265	ecoj:P423_16680
ko:K09689	ecoj:P423_16700
ko:K09688	ecoj:P423_16705
ko:K02462	ecoj:P423_16710
ko:K02461	ecoj:P423_16715
ko:K02460	ecoj:P423_16720
ko:K02459	ecoj:P423_16725
ko:K02458	ecoj:P423_16730
ko:K02457	ecoj:P423_16735
ko:K09897	ecoj:P423_20860
ko:K07391	ecoj:P423_20865
ko:K01652	ecoj:P423_20870
ko:K11258	ecoj:P423_20875
ko:K00826	ecoj:P423_20880
ko:K01687	ecoj:P423_20885
ko:K01754	ecoj:P423_20890
ko:K02521	ecoj:P423_20895
ko:K00053	ecoj:P423_20900
ko:K03769	ecoj:P423_20905
ko:K03656	ecoj:P423_20910
ko:K01524	ecoj:P423_20915
ko:K03732	ecoj:P423_20920
ko:K03671	ecoj:P423_20925
ko:K03628	ecoj:P423_20935
ko:K02851	ecoj:P423_20945
ko:K05790	ecoj:P423_20950
ko:K02472	ecoj:P423_20960
ko:K00973	ecoj:P423_20970
ko:K16704	ecoj:P423_20975
ko:K02805	ecoj:P423_20980
ko:K16693	ecoj:P423_20985
ko:K12582	ecoj:P423_20990
ko:K02853	ecoj:P423_20995
ko:K02852	ecoj:P423_21000
ko:K06871	ecoj:P423_21030
ko:K02498	ecoj:P423_21050
ko:K02496	ecoj:P423_21055
ko:K01719	ecoj:P423_21060
ko:K01749	ecoj:P423_21065
ko:K05851	ecoj:P423_21070
ko:K06202	ecoj:P423_21075
ko:K01778	ecoj:P423_21085
ko:K09921	ecoj:P423_21090
ko:K03733	ecoj:P423_21095
ko:K03657	ecoj:P423_21105
ko:K03284	ecoj:P423_21125
ko:K07052	ecoj:P423_25725
ko:K01999	ecoj:P423_19235
ko:K01999	ecoj:P423_19255
ko:K03089	ecoj:P423_19260
ko:K09811	ecoj:P423_19265
ko:K09812	ecoj:P423_19270
ko:K03110	ecoj:P423_19275
ko:K08316	ecoj:P423_19280
ko:K08993	ecoj:P423_19285
ko:K01534	ecoj:P423_19300
ko:K04085	ecoj:P423_19305
ko:K09125	ecoj:P423_19310
ko:K06133	ecoj:P423_19330
ko:K15584	ecoj:P423_19335
ko:K15585	ecoj:P423_19340
ko:K15586	ecoj:P423_19345
ko:K07722	ecoj:P423_19355
ko:K02773	ecoj:P423_19370
ko:K02774	ecoj:P423_19375
ko:K02775	ecoj:P423_19380
ko:K11189	ecoj:P423_19390
ko:K13926	ecoj:P423_19405
ko:K01993	ecoj:P423_19410
ko:K07007	ecoj:P423_19420
