ko:K11741	rat:M949_1969
ko:K01985	rat:M949_r06
ko:K18707	rat:M949_1575
ko:K01977	rat:M949_r03
ko:K18682	rat:M949_0064
ko:K00571	rat:M949_0440
ko:K01980	rat:M949_r02
ko:K01980	rat:M949_r05
ko:K01980	rat:M949_r08
ko:K03496	rat:M949_0154
ko:K03497	rat:M949_0155
ko:K03111	rat:M949_2133
ko:K04565	rat:M949_1264
ko:K05593	rat:M949_0467
ko:K00335	rat:M949_1637
ko:K14742	rat:M949_1427
ko:K18979	rat:M949_0723
ko:K11991	rat:M949_1265
ko:K19159	rat:M949_0220
ko:K14230	rat:M949_t32
ko:K00798	rat:M949_0599
ko:K19158	rat:M949_0219
ko:K22468	rat:M949_1965
ko:K07452	rat:M949_0413
ko:K01710	rat:M949_1619
ko:K09951	rat:M949_1553
ko:K22468	rat:M949_1964
ko:K18221	rat:M949_0459
ko:K00336	rat:M949_1638
ko:K19302	rat:M949_2026
ko:K19340	rat:M949_0628
ko:K00638	rat:M949_0464
ko:K19342	rat:M949_0626
ko:K19341	rat:M949_0629
ko:K11210	rat:M949_2072
ko:K06881	rat:M949_1346
ko:K00525	rat:M949_1522
ko:K10938	rat:M949_1213
ko:K20534	rat:M949_0139
ko:K12132	rat:M949_0378
ko:K14227	rat:M949_t07
ko:K14227	rat:M949_t25
ko:K14227	rat:M949_t19
ko:K14218	rat:M949_t06
ko:K14218	rat:M949_t26
ko:K14218	rat:M949_t20
ko:K14234	rat:M949_t12
ko:K14225	rat:M949_t10
ko:K14235	rat:M949_t08
ko:K14224	rat:M949_t22
ko:K14224	rat:M949_t23
ko:K14220	rat:M949_t18
ko:K18889	rat:M949_1408
ko:K18890	rat:M949_0669
ko:K17838	rat:M949_0466
ko:K01179	rat:M949_0475
ko:K14231	rat:M949_t27
ko:K21053	rat:M949_1255
ko:K08968	rat:M949_0566
ko:K00632	rat:M949_0272
ko:K21147	rat:M949_2008
ko:K06217	rat:M949_0072
ko:K00857	rat:M949_1177
ko:K02316	rat:M949_0404
ko:K06223	rat:M949_0442
ko:K00287	rat:M949_0465
ko:K14623	rat:M949_0554
ko:K03553	rat:M949_1567
ko:K00287	rat:M949_1622
ko:K02314	rat:M949_1703
ko:K00560	rat:M949_1758
ko:K01493	rat:M949_0900
ko:K03553	rat:M949_1775
ko:K06909	rat:M949_1782
ko:K03455	rat:M949_0360
ko:K02335	rat:M949_0074
ko:K00526	rat:M949_1521
ko:K07741	rat:M949_0109
ko:K03292	rat:M949_0476
ko:K14230	rat:M949_t28
ko:K21572	rat:M949_1252
ko:K21573	rat:M949_0304
ko:K21574	rat:M949_0302
ko:K01420	rat:M949_0601
ko:K21572	rat:M949_0753
ko:K21572	rat:M949_0549
ko:K10026	rat:M949_1726
ko:K21572	rat:M949_1510
ko:K21572	rat:M949_0534
ko:K21572	rat:M949_0303
ko:K21572	rat:M949_1036
ko:K14236	rat:M949_t11
ko:K14228	rat:M949_t15
ko:K14229	rat:M949_t34
ko:K14229	rat:M949_t36
ko:K14232	rat:M949_t30
ko:K14233	rat:M949_t03
ko:K14228	rat:M949_t04
ko:K14222	rat:M949_t24
ko:K03741	rat:M949_0005
ko:K14218	rat:M949_t01
ko:K14228	rat:M949_t17
ko:K14233	rat:M949_t39
ko:K14228	rat:M949_t35
ko:K14237	rat:M949_t14
ko:K14225	rat:M949_t16
ko:K14233	rat:M949_t29
ko:K14219	rat:M949_t31
ko:K00754	rat:M949_0862
ko:K01463	rat:M949_1405
ko:K22132	rat:M949_1007
ko:K22136	rat:M949_1034
ko:K03595	rat:M949_0071
ko:K14234	rat:M949_t09
ko:K08994	rat:M949_0292
ko:K01505	rat:M949_0581
ko:K13566	rat:M949_1092
ko:K22351	rat:M949_0460
ko:K22441	rat:M949_0944
