ko:K04750	spq:SPAB_05287
ko:K02006	spq:SPAB_01085
ko:K02232	spq:SPAB_01086
ko:K02231	spq:SPAB_01087
ko:K02233	spq:SPAB_01088
ko:K01241	spq:SPAB_01096
ko:K09933	spq:SPAB_01140
ko:K03704	spq:SPAB_01147
ko:K06950	spq:SPAB_01155
ko:K06281	spq:SPAB_01766
ko:K03620	spq:SPAB_01767
ko:K04653	spq:SPAB_01769
ko:K03619	spq:SPAB_01770
ko:K03618	spq:SPAB_01771
ko:K01425	spq:SPAB_01779
ko:K08159	spq:SPAB_01782
ko:K05595	spq:SPAB_01783
ko:K08323	spq:SPAB_01805
ko:K09771	spq:SPAB_01806
ko:K00657	spq:SPAB_01809
ko:K07309	spq:SPAB_01812
ko:K07310	spq:SPAB_01813
ko:K07307	spq:SPAB_01814
ko:K07312	spq:SPAB_01815
ko:K05846	spq:SPAB_01817
ko:K05845	spq:SPAB_01818
ko:K05846	spq:SPAB_01819
ko:K05847	spq:SPAB_01820
ko:K03281	spq:SPAB_01821
ko:K01935	spq:SPAB_01822
ko:K00325	spq:SPAB_01835
ko:K00324	spq:SPAB_01836
ko:K03758	spq:SPAB_01841
ko:K07661	spq:SPAB_01843
ko:K07639	spq:SPAB_01848
ko:K01809	spq:SPAB_01852
ko:K01488	spq:SPAB_01857
ko:K00799	spq:SPAB_01870
ko:K00868	spq:SPAB_01871
ko:K01866	spq:SPAB_01872
ko:K00275	spq:SPAB_01873
ko:K09001	spq:SPAB_01875
ko:K06077	spq:SPAB_01876
ko:K06075	spq:SPAB_01877
ko:K04565	spq:SPAB_01881
ko:K06938	spq:SPAB_01883
ko:K01759	spq:SPAB_01886
ko:K03683	spq:SPAB_01887
ko:K03604	spq:SPAB_01893
ko:K00574	spq:SPAB_01897
ko:K03327	spq:SPAB_01899
ko:K01259	spq:SPAB_01948
ko:K00873	spq:SPAB_01951
ko:K02426	spq:SPAB_01955
ko:K05887	spq:SPAB_01974
ko:K09773	spq:SPAB_01987
ko:K01626	spq:SPAB_01989
ko:K08997	spq:SPAB_01991
ko:K06074	spq:SPAB_01995
ko:K00432	spq:SPAB_01996
ko:K06073	spq:SPAB_01997
ko:K02887	spq:SPAB_02002
ko:K02916	spq:SPAB_02003
ko:K02520	spq:SPAB_02004
ko:K01868	spq:SPAB_02005
ko:K09953	spq:SPAB_02012
ko:K07038	spq:SPAB_02019
ko:K06956	spq:SPAB_02020
ko:K03781	spq:SPAB_02022
ko:K03478	spq:SPAB_02023
ko:K01222	spq:SPAB_02024
ko:K02759	spq:SPAB_02026
ko:K02761	spq:SPAB_02027
ko:K02760	spq:SPAB_02028
ko:K05526	spq:SPAB_02036
ko:K01484	spq:SPAB_02037
ko:K06447	spq:SPAB_02038
ko:K00673	spq:SPAB_02039
ko:K00840	spq:SPAB_02040
ko:K08320	spq:SPAB_02043
ko:K00262	spq:SPAB_02044
ko:K03169	spq:SPAB_02045
ko:K01008	spq:SPAB_02046
ko:K04773	spq:SPAB_02048
ko:K01424	spq:SPAB_02049
ko:K09916	spq:SPAB_02053
ko:K07305	spq:SPAB_02054
ko:K00134	spq:SPAB_02056
ko:K06871	spq:SPAB_02059
ko:K07274	spq:SPAB_02060
ko:K07180	spq:SPAB_02062
ko:K09786	spq:SPAB_02064
ko:K09712	spq:SPAB_02076
ko:K00984	spq:SPAB_02095
ko:K02032	spq:SPAB_02101
ko:K02031	spq:SPAB_02102
ko:K02034	spq:SPAB_02103
ko:K02033	spq:SPAB_02104
ko:K02035	spq:SPAB_02105
ko:K04080	spq:SPAB_02111
ko:K09960	spq:SPAB_02234
ko:K09961	spq:SPAB_02237
ko:K06909	spq:SPAB_02238
ko:K10906	spq:SPAB_02269
ko:K06181	spq:SPAB_02277
ko:K00566	spq:SPAB_02280
ko:K07153	spq:SPAB_02281
ko:K01756	spq:SPAB_02282
ko:K07660	spq:SPAB_02283
ko:K07637	spq:SPAB_02284
ko:K01258	spq:SPAB_02287
ko:K00884	spq:SPAB_02298
ko:K09808	spq:SPAB_02299
ko:K09810	spq:SPAB_02300
ko:K09808	spq:SPAB_02301
ko:K03885	spq:SPAB_02309
ko:K07000	spq:SPAB_02312
ko:K01207	spq:SPAB_02313
ko:K07251	spq:SPAB_02314
ko:K02506	spq:SPAB_04285
ko:K03594	spq:SPAB_04286
ko:K02192	spq:SPAB_04287
ko:K02355	spq:SPAB_04289
ko:K02992	spq:SPAB_04290
ko:K07237	spq:SPAB_04291
ko:K07236	spq:SPAB_04292
ko:K07235	spq:SPAB_04293
ko:K03772	spq:SPAB_04295
ko:K03745	spq:SPAB_04296
ko:K03775	spq:SPAB_04298
ko:K07070	spq:SPAB_04299
ko:K06158	spq:SPAB_04303
ko:K07019	spq:SPAB_04308
ko:K09898	spq:SPAB_04309
ko:K00855	spq:SPAB_04310
ko:K07397	spq:SPAB_04311
ko:K01664	spq:SPAB_04316
ko:K04095	spq:SPAB_04317
ko:K01903	spq:SPAB_02796
ko:K07458	spq:SPAB_01157
ko:K09781	spq:SPAB_01159
ko:K10678	spq:SPAB_02615
ko:K03674	spq:SPAB_02617
ko:K07085	spq:SPAB_02619
ko:K08160	spq:SPAB_02625
ko:K07258	spq:SPAB_02628
ko:K00311	spq:SPAB_02634
ko:K00249	spq:SPAB_02636
ko:K09709	spq:SPAB_02637
ko:K03522	spq:SPAB_02638
ko:K03521	spq:SPAB_02639
ko:K03750	spq:SPAB_02651
ko:K04069	spq:SPAB_02654
ko:K07757	spq:SPAB_02656
ko:K04047	spq:SPAB_02670
ko:K10036	spq:SPAB_02672
ko:K10037	spq:SPAB_02673
ko:K10038	spq:SPAB_02674
ko:K06970	spq:SPAB_02677
ko:K00615	spq:SPAB_02688
ko:K00615	spq:SPAB_02689
ko:K01993	spq:SPAB_02697
ko:K07027	spq:SPAB_02705
ko:K06890	spq:SPAB_02708
ko:K06890	spq:SPAB_02709
ko:K03635	spq:SPAB_02710
ko:K03636	spq:SPAB_02711
ko:K03637	spq:SPAB_02712
ko:K03638	spq:SPAB_02713
ko:K03639	spq:SPAB_02714
ko:K01935	spq:SPAB_02722
ko:K02169	spq:SPAB_02723
ko:K00652	spq:SPAB_02724
ko:K01012	spq:SPAB_02725
ko:K00833	spq:SPAB_02726
ko:K06910	spq:SPAB_02727
ko:K01745	spq:SPAB_02728
ko:K01712	spq:SPAB_02729
ko:K05836	spq:SPAB_02730
ko:K01479	spq:SPAB_02731
ko:K01468	spq:SPAB_02732
ko:K01051	spq:SPAB_02733
ko:K07404	spq:SPAB_02735
ko:K02017	spq:SPAB_02737
ko:K02018	spq:SPAB_02738
ko:K02020	spq:SPAB_02739
ko:K02019	spq:SPAB_02741
ko:K05776	spq:SPAB_02742
ko:K01784	spq:SPAB_02745
ko:K00965	spq:SPAB_02746
ko:K00849	spq:SPAB_02747
ko:K01785	spq:SPAB_02748
ko:K01834	spq:SPAB_02750
ko:K02013	spq:SPAB_02751
ko:K02015	spq:SPAB_02752
ko:K01678	spq:SPAB_02762
ko:K01626	spq:SPAB_02763
ko:K03811	spq:SPAB_02767
ko:K03517	spq:SPAB_02768
ko:K03560	spq:SPAB_02780
ko:K03562	spq:SPAB_02781
ko:K07107	spq:SPAB_02782
ko:K00426	spq:SPAB_02786
ko:K09954	spq:SPAB_00530
ko:K03815	spq:SPAB_00534
ko:K01885	spq:SPAB_00543
ko:K03322	spq:SPAB_00551
ko:K00845	spq:SPAB_00557
ko:K09767	spq:SPAB_03147
ko:K00077	spq:SPAB_03148
ko:K03152	spq:SPAB_03149
ko:K05306	spq:SPAB_03150
ko:K03430	spq:SPAB_03152
ko:K03151	spq:SPAB_03158
ko:K00795	spq:SPAB_03160
ko:K01662	spq:SPAB_03161
ko:K01095	spq:SPAB_03163
ko:K00946	spq:SPAB_03164
ko:K03625	spq:SPAB_03165
ko:K07738	spq:SPAB_03168
ko:K05517	spq:SPAB_03171
ko:K06996	spq:SPAB_03177
ko:K03074	spq:SPAB_03178
ko:K03072	spq:SPAB_03179
ko:K03210	spq:SPAB_03180
ko:K00773	spq:SPAB_03181
ko:K08682	spq:SPAB_03184
ko:K03386	spq:SPAB_03185
ko:K01187	spq:SPAB_03186
ko:K03311	spq:SPAB_03188
ko:K07636	spq:SPAB_03191
ko:K07657	spq:SPAB_03192
ko:K00847	spq:SPAB_03197
ko:K03554	spq:SPAB_03198
ko:K09913	spq:SPAB_03199
ko:K00891	spq:SPAB_03202
ko:K09768	spq:SPAB_03203
ko:K00286	spq:SPAB_03204
ko:K08161	spq:SPAB_03210
ko:K01921	spq:SPAB_03212
ko:K01698	spq:SPAB_03224
ko:K01908	spq:SPAB_03225
ko:K01720	spq:SPAB_03226
ko:K01659	spq:SPAB_03228
ko:K03417	spq:SPAB_03229
ko:K02688	spq:SPAB_03230
ko:K03329	spq:SPAB_03232
ko:K02014	spq:SPAB_03233
ko:K00426	spq:SPAB_03236
ko:K00425	spq:SPAB_03237
ko:K01156	spq:SPAB_03239
ko:K07316	spq:SPAB_03240
ko:K08178	spq:SPAB_03241
ko:K07213	spq:SPAB_03243
ko:K00147	spq:SPAB_03278
ko:K00931	spq:SPAB_03279
ko:K00769	spq:SPAB_03285
ko:K01270	spq:SPAB_03286
ko:K02839	spq:SPAB_03287
ko:K03271	spq:SPAB_03292
ko:K06445	spq:SPAB_03293
ko:K07497	spq:SPAB_03309
ko:K06946	spq:SPAB_03326
ko:K03469	spq:SPAB_03351
ko:K01069	spq:SPAB_03353
ko:K08307	spq:SPAB_03354
ko:K06222	spq:SPAB_03360
ko:K03695	spq:SPAB_03370
ko:K05810	spq:SPAB_03372
ko:K06180	spq:SPAB_03373
ko:K05807	spq:SPAB_03374
ko:K05809	spq:SPAB_03376
ko:K01626	spq:SPAB_03381
ko:K02884	spq:SPAB_03385
ko:K00554	spq:SPAB_03386
ko:K02860	spq:SPAB_03388
ko:K02959	spq:SPAB_03389
ko:K03106	spq:SPAB_03391
ko:K06186	spq:SPAB_03398
ko:K09801	spq:SPAB_03400
ko:K03664	spq:SPAB_03403
ko:K07017	spq:SPAB_03447
ko:K09824	spq:SPAB_03451
ko:K07241	spq:SPAB_03457
ko:K07649	spq:SPAB_03458
ko:K07795	spq:SPAB_03461
ko:K07794	spq:SPAB_03462
ko:K07793	spq:SPAB_03463
ko:K00135	spq:SPAB_03467
ko:K00375	spq:SPAB_03482
ko:K06191	spq:SPAB_03485
ko:K03647	spq:SPAB_03486
ko:K02000	spq:SPAB_03489
ko:K02001	spq:SPAB_03490
ko:K02002	spq:SPAB_03491
ko:K03543	spq:SPAB_03496
ko:K03446	spq:SPAB_03498
ko:K07173	spq:SPAB_03501
ko:K01919	spq:SPAB_03503
ko:K01872	spq:SPAB_03515
ko:K03565	spq:SPAB_03517
ko:K03743	spq:SPAB_03519
ko:K08305	spq:SPAB_03520
ko:K02783	spq:SPAB_03522
ko:K02781	spq:SPAB_03524
ko:K00068	spq:SPAB_03525
ko:K02466	spq:SPAB_03526
ko:K02468	spq:SPAB_03528
ko:K02467	spq:SPAB_03529
ko:K04656	spq:SPAB_03534
ko:K05796	spq:SPAB_03536
ko:K08315	spq:SPAB_03539
ko:K01883	spq:SPAB_03027
ko:K08475	spq:SPAB_00568
ko:K08476	spq:SPAB_00569
ko:K08477	spq:SPAB_00570
ko:K00632	spq:SPAB_00578
ko:K08296	spq:SPAB_00581
ko:K01736	spq:SPAB_00586
ko:K07261	spq:SPAB_00587
ko:K07090	spq:SPAB_00588
ko:K09906	spq:SPAB_00589
ko:K07052	spq:SPAB_00593
ko:K03473	spq:SPAB_00600
ko:K06173	spq:SPAB_00602
ko:K03558	spq:SPAB_00608
ko:K00764	spq:SPAB_00609
ko:K01586	spq:SPAB_00611
ko:K10014	spq:SPAB_00618
ko:K10016	spq:SPAB_00620
ko:K10015	spq:SPAB_00621
ko:K10017	spq:SPAB_00622
ko:K02821	spq:SPAB_00629
ko:K02822	spq:SPAB_00631
ko:K03475	spq:SPAB_00632
ko:K00615	spq:SPAB_00633
ko:K00615	spq:SPAB_00634
ko:K00363	spq:SPAB_04325
ko:K07026	spq:SPAB_01162
ko:K02419	spq:SPAB_01169
ko:K02418	spq:SPAB_01170
ko:K02416	spq:SPAB_01172
ko:K02415	spq:SPAB_01173
ko:K02414	spq:SPAB_01174
ko:K02413	spq:SPAB_01175
ko:K02412	spq:SPAB_01176
ko:K02411	spq:SPAB_01177
ko:K02410	spq:SPAB_01178
ko:K02409	spq:SPAB_01179
ko:K02408	spq:SPAB_01181
ko:K07112	spq:SPAB_01185
ko:K01176	spq:SPAB_01187
ko:K02423	spq:SPAB_01188
ko:K02422	spq:SPAB_01189
ko:K02407	spq:SPAB_01190
ko:K02406	spq:SPAB_01193
ko:K00925	spq:SPAB_00637
ko:K09899	spq:SPAB_00639
ko:K09161	spq:SPAB_00641
ko:K00330	spq:SPAB_00649
ko:K00331	spq:SPAB_00651
ko:K00675	spq:SPAB_01710
ko:K02575	spq:SPAB_01717
ko:K08349	spq:SPAB_01729
ko:K08350	spq:SPAB_01730
ko:K00027	spq:SPAB_01733
ko:K02972	spq:SPAB_01734
ko:K04063	spq:SPAB_01736
ko:K02529	spq:SPAB_01744
ko:K06282	spq:SPAB_01765
ko:K00425	spq:SPAB_02787
ko:K00658	spq:SPAB_02797
ko:K00164	spq:SPAB_02798
ko:K00240	spq:SPAB_02799
ko:K00242	spq:SPAB_02801
ko:K00241	spq:SPAB_02802
ko:K01647	spq:SPAB_02803
ko:K07120	spq:SPAB_02804
ko:K09691	spq:SPAB_02810
ko:K09690	spq:SPAB_02811
ko:K01854	spq:SPAB_02814
ko:K07357	spq:SPAB_02818
ko:K07160	spq:SPAB_02820
ko:K03305	spq:SPAB_02825
ko:K01669	spq:SPAB_02826
ko:K07667	spq:SPAB_02834
ko:K01581	spq:SPAB_02837
ko:K03756	spq:SPAB_02838
ko:K07005	spq:SPAB_02839
ko:K01835	spq:SPAB_02840
ko:K01175	spq:SPAB_02842
ko:K03839	spq:SPAB_02845
ko:K02802	spq:SPAB_02857
ko:K02803	spq:SPAB_02857
ko:K02804	spq:SPAB_02857
ko:K02564	spq:SPAB_02859
ko:K01443	spq:SPAB_02860
ko:K02565	spq:SPAB_02861
ko:K02566	spq:SPAB_02862
ko:K03184	spq:SPAB_02875
ko:K06168	spq:SPAB_02876
ko:K06217	spq:SPAB_02878
ko:K03820	spq:SPAB_02883
ko:K10001	spq:SPAB_02884
ko:K10003	spq:SPAB_02886
ko:K10002	spq:SPAB_02887
ko:K10004	spq:SPAB_02888
ko:K04045	spq:SPAB_02891
ko:K01869	spq:SPAB_02902
ko:K03643	spq:SPAB_02903
ko:K00969	spq:SPAB_02905
ko:K04720	spq:SPAB_02906
ko:K02226	spq:SPAB_02907
ko:K09710	spq:SPAB_02910
ko:K00783	spq:SPAB_02911
ko:K05515	spq:SPAB_02912
ko:K05837	spq:SPAB_02913
ko:K03642	spq:SPAB_02914
ko:K07258	spq:SPAB_02915
ko:K09158	spq:SPAB_02916
ko:K03801	spq:SPAB_02917
ko:K03644	spq:SPAB_02922
ko:K03425	spq:SPAB_02923
ko:K06199	spq:SPAB_02925
ko:K03704	spq:SPAB_02928
ko:K03326	spq:SPAB_02931
ko:K07702	spq:SPAB_02932
ko:K07700	spq:SPAB_02933
ko:K01910	spq:SPAB_02936
ko:K05964	spq:SPAB_02940
ko:K05966	spq:SPAB_02941
ko:K00334	spq:SPAB_00653
ko:K00335	spq:SPAB_00654
ko:K00336	spq:SPAB_00655
ko:K00337	spq:SPAB_00656
ko:K00338	spq:SPAB_00657
ko:K00339	spq:SPAB_00658
ko:K00340	spq:SPAB_00659
ko:K00341	spq:SPAB_00660
ko:K00342	spq:SPAB_00661
ko:K00343	spq:SPAB_00662
ko:K07114	spq:SPAB_00666
ko:K03415	spq:SPAB_00667
ko:K02552	spq:SPAB_00671
ko:K01661	spq:SPAB_00674
ko:K02549	spq:SPAB_00675
ko:K01911	spq:SPAB_00676
ko:K07264	spq:SPAB_00680
ko:K10011	spq:SPAB_00682
ko:K10012	spq:SPAB_00683
ko:K07806	spq:SPAB_00684
ko:K00113	spq:SPAB_00698
ko:K00112	spq:SPAB_00699
ko:K00111	spq:SPAB_00701
ko:K02445	spq:SPAB_00702
ko:K01126	spq:SPAB_00703
ko:K02425	spq:SPAB_01199
ko:K10975	spq:SPAB_03042
ko:K02852	spq:SPAB_04874
ko:K02498	spq:SPAB_04883
ko:K02496	spq:SPAB_04884
ko:K01719	spq:SPAB_04885
ko:K01749	spq:SPAB_04886
ko:K06202	spq:SPAB_04893
ko:K01778	spq:SPAB_04899
ko:K03733	spq:SPAB_04901
ko:K03284	spq:SPAB_04905
ko:K05786	spq:SPAB_04908
ko:K01058	spq:SPAB_04910
ko:K01048	spq:SPAB_04914
ko:K00757	spq:SPAB_04924
ko:K09760	spq:SPAB_04925
ko:K03688	spq:SPAB_04928
ko:K03118	spq:SPAB_04931
ko:K03424	spq:SPAB_04932
ko:K05785	spq:SPAB_04934
ko:K03182	spq:SPAB_04935
ko:K00632	spq:SPAB_04938
ko:K01271	spq:SPAB_04940
ko:K03498	spq:SPAB_04942
ko:K00285	spq:SPAB_01416
ko:K01775	spq:SPAB_01417
ko:K08308	spq:SPAB_01420
ko:K01194	spq:SPAB_01423
ko:K00261	spq:SPAB_01425
ko:K00426	spq:SPAB_01427
ko:K03618	spq:SPAB_01429
ko:K03619	spq:SPAB_01430
ko:K03605	spq:SPAB_01431
ko:K06281	spq:SPAB_01433
ko:K06282	spq:SPAB_01434
ko:K06942	spq:SPAB_01442
ko:K03321	spq:SPAB_01445
ko:K00948	spq:SPAB_01446
ko:K00919	spq:SPAB_01449
ko:K02494	spq:SPAB_01450
ko:K02492	spq:SPAB_01452
ko:K01627	spq:SPAB_01457
ko:K07300	spq:SPAB_01458
ko:K06197	spq:SPAB_01460
ko:K07684	spq:SPAB_01464
ko:K07673	spq:SPAB_01465
ko:K02575	spq:SPAB_01467
ko:K00371	spq:SPAB_01470
ko:K00373	spq:SPAB_01471
ko:K00374	spq:SPAB_01472
ko:K07126	spq:SPAB_01474
ko:K01433	spq:SPAB_01485
ko:K09858	spq:SPAB_01486
ko:K07001	spq:SPAB_01487
ko:K00857	spq:SPAB_01492
ko:K07640	spq:SPAB_05030
ko:K10914	spq:SPAB_04312
ko:K04651	spq:SPAB_03549
ko:K04652	spq:SPAB_03551
ko:K04653	spq:SPAB_03552
ko:K07677	spq:SPAB_00718
ko:K07638	spq:SPAB_04357
ko:K01902	spq:SPAB_02794
ko:K03767	spq:SPAB_04319
ko:K06141	spq:SPAB_04321
ko:K00362	spq:SPAB_04324
ko:K02598	spq:SPAB_04327
ko:K01867	spq:SPAB_04332
ko:K01091	spq:SPAB_04333
ko:K01783	spq:SPAB_04334
ko:K03112	spq:SPAB_04337
ko:K01735	spq:SPAB_04338
ko:K02507	spq:SPAB_04341
ko:K05366	spq:SPAB_04346
ko:K08312	spq:SPAB_04347
ko:K04762	spq:SPAB_04351
ko:K04083	spq:SPAB_04352
ko:K01610	spq:SPAB_04356
ko:K04760	spq:SPAB_04359
ko:K06959	spq:SPAB_04360
ko:K04758	spq:SPAB_04362
ko:K04759	spq:SPAB_04363
ko:K07490	spq:SPAB_04364
ko:K02170	spq:SPAB_04367
ko:K07400	spq:SPAB_04370
ko:K00705	spq:SPAB_04373
ko:K00688	spq:SPAB_04374
ko:K03556	spq:SPAB_04376
ko:K02439	spq:SPAB_04380
ko:K00111	spq:SPAB_04381
ko:K01687	spq:SPAB_04386
ko:K00688	spq:SPAB_04389
ko:K00703	spq:SPAB_04390
ko:K00975	spq:SPAB_04391
ko:K02438	spq:SPAB_04392
ko:K00700	spq:SPAB_04393
ko:K00133	spq:SPAB_04395
ko:K06156	spq:SPAB_04397
ko:K00851	spq:SPAB_04398
ko:K06911	spq:SPAB_04401
ko:K03825	spq:SPAB_04405
ko:K07048	spq:SPAB_04411
ko:K00681	spq:SPAB_04412
ko:K01126	spq:SPAB_04415
ko:K05816	spq:SPAB_04416
ko:K05815	spq:SPAB_04417
ko:K05814	spq:SPAB_04418
ko:K05813	spq:SPAB_04419
ko:K07341	spq:SPAB_04420
ko:K01996	spq:SPAB_04422
ko:K01998	spq:SPAB_04424
ko:K01999	spq:SPAB_04426
ko:K01999	spq:SPAB_04431
ko:K03089	spq:SPAB_04433
ko:K08316	spq:SPAB_04437
ko:K01993	spq:SPAB_04453
ko:K07007	spq:SPAB_04455
ko:K06144	spq:SPAB_04457
ko:K06149	spq:SPAB_04458
ko:K01414	spq:SPAB_04462
ko:K07115	spq:SPAB_04465
ko:K00383	spq:SPAB_04466
ko:K01424	spq:SPAB_04467
ko:K03710	spq:SPAB_04471
ko:K01194	spq:SPAB_04472
ko:K07058	spq:SPAB_04480
ko:K00874	spq:SPAB_04487
ko:K00694	spq:SPAB_04496
ko:K03826	spq:SPAB_04527
ko:K08351	spq:SPAB_04528
ko:K00090	spq:SPAB_04530
ko:K07726	spq:SPAB_04534
ko:K03704	spq:SPAB_04535
ko:K01879	spq:SPAB_04538
ko:K01878	spq:SPAB_04540
ko:K00854	spq:SPAB_04546
ko:K00230	spq:SPAB_04943
ko:K03753	spq:SPAB_04952
ko:K09896	spq:SPAB_04954
ko:K03673	spq:SPAB_04956
ko:K03978	spq:SPAB_04962
ko:K09894	spq:SPAB_04964
ko:K06207	spq:SPAB_04972
ko:K07058	spq:SPAB_04987
ko:K07560	spq:SPAB_04988
ko:K02379	spq:SPAB_05000
ko:K01629	spq:SPAB_05011
ko:K01813	spq:SPAB_05012
ko:K00848	spq:SPAB_05013
ko:K02855	spq:SPAB_05015
ko:K02854	spq:SPAB_05016
ko:K02856	spq:SPAB_05017
ko:K04564	spq:SPAB_05025
ko:K07662	spq:SPAB_05031
ko:K06006	spq:SPAB_05032
ko:K00850	spq:SPAB_05034
ko:K02048	spq:SPAB_05036
ko:K01521	spq:SPAB_05037
ko:K00847	spq:SPAB_05039
ko:K06891	spq:SPAB_02578
ko:K04567	spq:SPAB_03787
ko:K03827	spq:SPAB_05174
ko:K09458	spq:SPAB_02326
ko:K02504	spq:SPAB_00178
ko:K05982	spq:SPAB_05158
ko:K02340	spq:SPAB_02904
ko:K04103	spq:SPAB_00555
ko:K04654	spq:SPAB_03553
ko:K04655	spq:SPAB_03554
ko:K03221	spq:SPAB_03574
ko:K02078	spq:SPAB_03583
ko:K03225	spq:SPAB_03594
ko:K03230	spq:SPAB_03599
ko:K07314	spq:SPAB_03616
ko:K06194	spq:SPAB_03638
ko:K00573	spq:SPAB_03640
ko:K03787	spq:SPAB_03641
ko:K06176	spq:SPAB_03642
ko:K01770	spq:SPAB_03643
ko:K00991	spq:SPAB_03644
ko:K05589	spq:SPAB_03645
ko:K00860	spq:SPAB_03648
ko:K00956	spq:SPAB_03649
ko:K09612	spq:SPAB_03651
ko:K00390	spq:SPAB_03655
ko:K00381	spq:SPAB_03656
ko:K00380	spq:SPAB_03657
ko:K02341	spq:SPAB_02322
ko:K07337	spq:SPAB_02315
ko:K02778	spq:SPAB_02319
ko:K02779	spq:SPAB_02319
ko:K03424	spq:SPAB_02321
ko:K00943	spq:SPAB_02323
ko:K07082	spq:SPAB_02324
ko:K02078	spq:SPAB_02327
ko:K00059	spq:SPAB_02328
ko:K00645	spq:SPAB_02329
ko:K03621	spq:SPAB_02331
ko:K03809	spq:SPAB_02430
ko:K05516	spq:SPAB_02438
ko:K02510	spq:SPAB_02446
ko:K02509	spq:SPAB_02447
ko:K01826	spq:SPAB_02449
ko:K00455	spq:SPAB_02450
ko:K00151	spq:SPAB_02451
ko:K05921	spq:SPAB_02452
ko:K07127	spq:SPAB_02458
ko:K06910	spq:SPAB_02475
ko:K06969	spq:SPAB_02477
ko:K06929	spq:SPAB_02479
ko:K09909	spq:SPAB_02480
ko:K01734	spq:SPAB_02481
ko:K07343	spq:SPAB_02485
ko:K03286	spq:SPAB_02488
ko:K09911	spq:SPAB_02489
ko:K04770	spq:SPAB_02490
ko:K01716	spq:SPAB_02491
ko:K09857	spq:SPAB_02493
ko:K07140	spq:SPAB_02498
ko:K01256	spq:SPAB_02502
ko:K00763	spq:SPAB_02503
ko:K03310	spq:SPAB_02504
ko:K00156	spq:SPAB_02589
ko:K01620	spq:SPAB_02590
ko:K10000	spq:SPAB_02597
ko:K09997	spq:SPAB_02598
ko:K09999	spq:SPAB_02599
ko:K09998	spq:SPAB_02600
ko:K09996	spq:SPAB_02601
ko:K02822	spq:SPAB_02604
ko:K03475	spq:SPAB_02605
ko:K03212	spq:SPAB_02607
ko:K05844	spq:SPAB_02614
ko:K09477	spq:SPAB_02942
ko:K01169	spq:SPAB_02943
ko:K06140	spq:SPAB_02944
ko:K03387	spq:SPAB_02953
ko:K03386	spq:SPAB_02954
ko:K03805	spq:SPAB_02955
ko:K08317	spq:SPAB_02960
ko:K06200	spq:SPAB_02962
ko:K00216	spq:SPAB_02965
ko:K01252	spq:SPAB_02966
ko:K02363	spq:SPAB_02967
ko:K02361	spq:SPAB_02968
ko:K02016	spq:SPAB_02969
ko:K08225	spq:SPAB_02970
ko:K02015	spq:SPAB_02971
ko:K02015	spq:SPAB_02972
ko:K02013	spq:SPAB_02973
ko:K02364	spq:SPAB_02975
ko:K07214	spq:SPAB_02977
ko:K02362	spq:SPAB_02980
ko:K10679	spq:SPAB_02986
ko:K08223	spq:SPAB_03074
ko:K03455	spq:SPAB_03076
ko:K00892	spq:SPAB_03077
ko:K01772	spq:SPAB_03079
ko:K00939	spq:SPAB_03082
ko:K04079	spq:SPAB_03085
ko:K00759	spq:SPAB_03089
ko:K09790	spq:SPAB_03091
ko:K05802	spq:SPAB_03095
ko:K03577	spq:SPAB_03097
ko:K05839	spq:SPAB_03101
ko:K00661	spq:SPAB_03102
ko:K02919	spq:SPAB_03104
ko:K02909	spq:SPAB_03105
ko:K07443	spq:SPAB_03108
ko:K09914	spq:SPAB_03109
ko:K03320	spq:SPAB_03111
ko:K04752	spq:SPAB_03112
ko:K05800	spq:SPAB_03116
ko:K01738	spq:SPAB_03117
ko:K06920	spq:SPAB_03120
ko:K03770	spq:SPAB_03124
ko:K03544	spq:SPAB_03128
ko:K01358	spq:SPAB_03130
ko:K03545	spq:SPAB_03131
ko:K05527	spq:SPAB_03133
ko:K07286	spq:SPAB_03135
ko:K08218	spq:SPAB_03136
ko:K02297	spq:SPAB_03138
ko:K02298	spq:SPAB_03139
ko:K02299	spq:SPAB_03140
ko:K02300	spq:SPAB_03141
ko:K03046	spq:SPAB_05143
ko:K02848	spq:SPAB_04618
ko:K02844	spq:SPAB_04619
ko:K02849	spq:SPAB_04620
ko:K02527	spq:SPAB_04623
ko:K00954	spq:SPAB_04624
ko:K02913	spq:SPAB_04626
ko:K02902	spq:SPAB_04627
ko:K01520	spq:SPAB_04630
ko:K05501	spq:SPAB_04631
ko:K00762	spq:SPAB_04632
ko:K00989	spq:SPAB_04634
ko:K00942	spq:SPAB_04640
ko:K01139	spq:SPAB_04643
ko:K00556	spq:SPAB_04644
ko:K03292	spq:SPAB_04652
ko:K01531	spq:SPAB_04676
ko:K07507	spq:SPAB_04678
ko:K03445	spq:SPAB_04694
ko:K07726	spq:SPAB_04696
ko:K02775	spq:SPAB_04701
ko:K02774	spq:SPAB_04702
ko:K02773	spq:SPAB_04703
ko:K02429	spq:SPAB_04713
ko:K00852	spq:SPAB_04714
ko:K01653	spq:SPAB_04717
ko:K01652	spq:SPAB_04719
ko:K01753	spq:SPAB_04730
ko:K06871	spq:SPAB_04731
ko:K07085	spq:SPAB_04738
ko:K04081	spq:SPAB_04742
ko:K04080	spq:SPAB_04743
ko:K03533	spq:SPAB_04757
ko:K03532	spq:SPAB_04759
ko:K01961	spq:SPAB_04211
