ko:K05576	syz:MYO_129470
ko:K01448	syz:MYO_112190
ko:K01776	syz:MYO_112200
ko:K03885	syz:MYO_112220
ko:K03789	syz:MYO_112240
ko:K01669	syz:MYO_112250
ko:K03088	syz:MYO_112280
ko:K03281	syz:MYO_112290
ko:K02313	syz:MYO_112360
ko:K15633	syz:MYO_120590
ko:K03075	syz:MYO_120600
ko:K00627	syz:MYO_120620
ko:K03216	syz:MYO_120680
ko:K05808	syz:MYO_120700
ko:K03801	syz:MYO_120710
ko:K00703	syz:MYO_120740
ko:K02034	syz:MYO_120810
ko:K00793	syz:MYO_120840
ko:K02011	syz:MYO_120860
ko:K09928	syz:MYO_120890
ko:K06962	syz:MYO_120900
ko:K02691	syz:MYO_120930
ko:K07137	syz:MYO_121110
ko:K00605	syz:MYO_121150
ko:K01609	syz:MYO_129280
ko:K03320	syz:MYO_129290
ko:K10716	syz:MYO_129300
ko:K03544	syz:MYO_129310
ko:K01358	syz:MYO_129320
ko:K03545	syz:MYO_129330
ko:K00133	syz:MYO_129340
ko:K01714	syz:MYO_129350
ko:K00859	syz:MYO_129380
ko:K06997	syz:MYO_129420
ko:K01873	syz:MYO_129460
ko:K05580	syz:MYO_129490
ko:K05572	syz:MYO_129500
ko:K02426	syz:MYO_129520
ko:K01256	syz:MYO_129560
ko:K01924	syz:MYO_129580
ko:K00075	syz:MYO_129590
ko:K03594	syz:MYO_129610
ko:K06187	syz:MYO_129630
ko:K06946	syz:MYO_129660
ko:K02048	syz:MYO_129760
ko:K02046	syz:MYO_129780
ko:K02047	syz:MYO_129790
ko:K02045	syz:MYO_129800
ko:K07240	syz:MYO_129820
ko:K00612	syz:MYO_117100
ko:K03588	syz:MYO_117120
ko:K02662	syz:MYO_117180
ko:K02666	syz:MYO_117210
ko:K04075	syz:MYO_117240
ko:K01733	syz:MYO_117250
ko:K05574	syz:MYO_117260
ko:K05582	syz:MYO_117270
ko:K05581	syz:MYO_117280
ko:K01704	syz:MYO_117410
ko:K01937	syz:MYO_117420
ko:K10257	syz:MYO_117450
ko:K00275	syz:MYO_117460
ko:K05896	syz:MYO_117470
ko:K03106	syz:MYO_117490
ko:K02434	syz:MYO_117520
ko:K02034	syz:MYO_125760
ko:K03924	syz:MYO_125800
ko:K02355	syz:MYO_125830
ko:K01933	syz:MYO_125840
ko:K03183	syz:MYO_125850
ko:K01772	syz:MYO_125860
ko:K05577	syz:MYO_125930
ko:K00240	syz:MYO_125960
ko:K00954	syz:MYO_126000
ko:K03501	syz:MYO_126020
ko:K09014	syz:MYO_126050
ko:K09013	syz:MYO_126060
ko:K09015	syz:MYO_126070
ko:K11717	syz:MYO_126080
ko:K03273	syz:MYO_126110
ko:K03271	syz:MYO_126120
ko:K01737	syz:MYO_126130
ko:K14441	syz:MYO_126180
ko:K05592	syz:MYO_126190
ko:K00145	syz:MYO_126200
ko:K02501	syz:MYO_126210
ko:K01868	syz:MYO_126220
ko:K05928	syz:MYO_126250
ko:K00457	syz:MYO_126260
ko:K05516	syz:MYO_126290
ko:K03321	syz:MYO_126310
ko:K03786	syz:MYO_18290
ko:K06213	syz:MYO_18300
ko:K03215	syz:MYO_18360
ko:K01754	syz:MYO_18370
ko:K09772	syz:MYO_18380
ko:K01809	syz:MYO_18390
ko:K09803	syz:MYO_18400
ko:K04078	syz:MYO_18410
ko:K04077	syz:MYO_18420
ko:K01736	syz:MYO_18460
ko:K02935	syz:MYO_18470
ko:K02864	syz:MYO_18480
ko:K02863	syz:MYO_18490
ko:K02867	syz:MYO_18500
ko:K02601	syz:MYO_18510
ko:K03073	syz:MYO_18520
ko:K02884	syz:MYO_18540
ko:K02639	syz:MYO_18600
ko:K03821	syz:MYO_18620
ko:K05577	syz:MYO_18670
ko:K02689	syz:MYO_18690
ko:K02690	syz:MYO_18700
ko:K00162	syz:MYO_18770
ko:K00865	syz:MYO_18800
ko:K01738	syz:MYO_18820
ko:K00036	syz:MYO_18830
ko:K03701	syz:MYO_18840
ko:K02946	syz:MYO_117630
ko:K02358	syz:MYO_117640
ko:K02355	syz:MYO_117650
ko:K02992	syz:MYO_117660
ko:K02950	syz:MYO_117670
ko:K01945	syz:MYO_117690
ko:K01808	syz:MYO_117710
ko:K09932	syz:MYO_117740
ko:K07267	syz:MYO_117750
ko:K00958	syz:MYO_117780
ko:K10960	syz:MYO_117820
ko:K00005	syz:MYO_117830
ko:K00111	syz:MYO_117940
ko:K00864	syz:MYO_117970
ko:K03437	syz:MYO_117980
ko:K04651	syz:MYO_118000
ko:K00748	syz:MYO_118020
ko:K02888	syz:MYO_118030
ko:K02899	syz:MYO_118040
ko:K08641	syz:MYO_118050
ko:K01649	syz:MYO_118060
ko:K13821	syz:MYO_118120
ko:K01693	syz:MYO_126340
ko:K02003	syz:MYO_126390
ko:K02234	syz:MYO_126400
ko:K10206	syz:MYO_126460
ko:K03561	syz:MYO_126530
ko:K02012	syz:MYO_126540
ko:K01952	syz:MYO_126610
ko:K01952	syz:MYO_126620
ko:K00948	syz:MYO_126670
ko:K01935	syz:MYO_126680
ko:K07568	syz:MYO_126690
ko:K02232	syz:MYO_126800
ko:K00873	syz:MYO_126840
ko:K07007	syz:MYO_126850
ko:K03671	syz:MYO_126860
ko:K03312	syz:MYO_126900
ko:K06208	syz:MYO_126910
ko:K16915	syz:MYO_124470
ko:K11991	syz:MYO_111980
ko:K04035	syz:MYO_150
ko:K00034	syz:MYO_111640
ko:K14223	syz:MYO_119210
ko:K00218	syz:MYO_126430
ko:K03559	syz:MYO_1250
ko:K03559	syz:MYO_126520
ko:K03559	syz:MYO_13870
ko:K07043	syz:MYO_5490
ko:K09131	syz:MYO_2120
ko:K07075	syz:MYO_2180
ko:K04487	syz:MYO_2230
ko:K08715	syz:MYO_2790
ko:K15034	syz:MYO_21160
ko:K07038	syz:MYO_370
ko:K03824	syz:MYO_3610
ko:K07038	syz:MYO_3660
ko:K03427	syz:MYO_3960
ko:K01153	syz:MYO_31030
ko:K07043	syz:MYO_31040
ko:K03581	syz:MYO_410
ko:K15342	syz:MYO_4170
ko:K15342	syz:MYO_4690
ko:K09000	syz:MYO_4850
ko:K09127	syz:MYO_4870
ko:K15342	syz:MYO_4900
ko:K01153	syz:MYO_510
ko:K07075	syz:MYO_560
ko:K01154	syz:MYO_570
ko:K03427	syz:MYO_5100
ko:K07093	syz:MYO_5310
ko:K05356	syz:MYO_110
ko:K06181	syz:MYO_120
ko:K02377	syz:MYO_160
ko:K01711	syz:MYO_170
ko:K01972	syz:MYO_1100
ko:K02015	syz:MYO_1120
ko:K02015	syz:MYO_1130
ko:K02013	syz:MYO_1140
ko:K02016	syz:MYO_1150
ko:K02016	syz:MYO_1200
ko:K03561	syz:MYO_1260
ko:K02016	syz:MYO_1320
ko:K02016	syz:MYO_1330
ko:K04654	syz:MYO_1440
ko:K00067	syz:MYO_1450
ko:K00703	syz:MYO_1470
ko:K15256	syz:MYO_1520
ko:K05946	syz:MYO_1560
ko:K02654	syz:MYO_1640
ko:K00215	syz:MYO_1660
ko:K03671	syz:MYO_1670
ko:K01952	syz:MYO_1680
ko:K00942	syz:MYO_1720
ko:K07090	syz:MYO_1750
ko:K08300	syz:MYO_1800
ko:K03470	syz:MYO_1810
ko:K00962	syz:MYO_1830
ko:K03100	syz:MYO_1840
ko:K01738	syz:MYO_1860
ko:K00919	syz:MYO_1870
ko:K02528	syz:MYO_1900
ko:K09761	syz:MYO_1910
ko:K04487	syz:MYO_11000
ko:K03733	syz:MYO_11040
ko:K14228	syz:MYO_15820
ko:K02006	syz:MYO_124440
ko:K02714	syz:MYO_11300
ko:K04035	syz:MYO_116600
ko:K14226	syz:MYO_118910
ko:K14229	syz:MYO_120730
ko:K17062	syz:MYO_110190
ko:K17063	syz:MYO_112030
ko:K01069	syz:MYO_13780
ko:K17246	syz:MYO_113490
ko:K17108	syz:MYO_110980
ko:K17245	syz:MYO_18140
ko:K01537	syz:MYO_128070
ko:K00939	syz:MYO_17610
ko:K08906	syz:MYO_17850
ko:K06346	syz:MYO_116860
ko:K01092	syz:MYO_116880
ko:K02636	syz:MYO_117060
ko:K06147	syz:MYO_117080
ko:K07052	syz:MYO_117370
ko:K09012	syz:MYO_126040
ko:K03469	syz:MYO_126160
ko:K07657	syz:MYO_126170
ko:K08481	syz:MYO_126370
ko:K02051	syz:MYO_126580
ko:K04763	syz:MYO_3600
ko:K11780	syz:MYO_16490
ko:K02286	syz:MYO_16610
ko:K02286	syz:MYO_16620
ko:K02284	syz:MYO_16630
ko:K02285	syz:MYO_16640
ko:K07213	syz:MYO_16710
ko:K05568	syz:MYO_16830
ko:K05570	syz:MYO_16870
ko:K06147	syz:MYO_16970
ko:K00974	syz:MYO_115990
ko:K13799	syz:MYO_116050
ko:K12073	syz:MYO_124900
ko:K01885	syz:MYO_124910
ko:K06883	syz:MYO_115790
ko:K07028	syz:MYO_124920
ko:K00548	syz:MYO_125000
ko:K05585	syz:MYO_115840
ko:K00366	syz:MYO_125100
ko:K03635	syz:MYO_125160
ko:K00652	syz:MYO_125270
ko:K03574	syz:MYO_125300
ko:K00059	syz:MYO_2800
ko:K01489	syz:MYO_21080
ko:K01992	syz:MYO_117930
ko:K07315	syz:MYO_17140
ko:K03574	syz:MYO_17160
ko:K02274	syz:MYO_17200
ko:K02049	syz:MYO_17240
ko:K02050	syz:MYO_17250
ko:K02051	syz:MYO_17260
ko:K04652	syz:MYO_17270
ko:K01480	syz:MYO_17290
ko:K11356	syz:MYO_116370
ko:K01787	syz:MYO_116500
ko:K02010	syz:MYO_116530
ko:K02640	syz:MYO_116770
ko:K01426	syz:MYO_125870
ko:K00974	syz:MYO_125910
ko:K01489	syz:MYO_3350
ko:K01992	syz:MYO_132070
ko:K01990	syz:MYO_1500
ko:K01990	syz:MYO_17900
ko:K01990	syz:MYO_123020
ko:K14219	syz:MYO_116760
ko:K06118	syz:MYO_15850
ko:K11312	syz:MYO_15910
ko:K00121	syz:MYO_15950
ko:K03405	syz:MYO_15980
ko:K02660	syz:MYO_16310
ko:K02658	syz:MYO_16330
ko:K02657	syz:MYO_16340
ko:K05588	syz:MYO_115330
ko:K05587	syz:MYO_115350
ko:K05586	syz:MYO_115360
ko:K02697	syz:MYO_115450
ko:K01409	syz:MYO_115470
ko:K05583	syz:MYO_115610
ko:K02552	syz:MYO_115680
ko:K02303	syz:MYO_124560
ko:K09942	syz:MYO_124790
ko:K03087	syz:MYO_124810
ko:K04763	syz:MYO_2110
ko:K02005	syz:MYO_18190
ko:K02657	syz:MYO_18270
ko:K05575	syz:MYO_18660
ko:K06147	syz:MYO_18720
ko:K04652	syz:MYO_117550
ko:K01297	syz:MYO_117570
ko:K09931	syz:MYO_117680
ko:K03867	syz:MYO_117790
ko:K03307	syz:MYO_117890
ko:K01470	syz:MYO_126710
ko:K00845	syz:MYO_126740
ko:K01424	syz:MYO_126870
ko:K07114	syz:MYO_126980
ko:K00595	syz:MYO_127040
ko:K10697	syz:MYO_127160
ko:K17244	syz:MYO_17860
ko:K00392	syz:MYO_12960
ko:K17218	syz:MYO_2370
ko:K17218	syz:MYO_110310
ko:K07024	syz:MYO_118620
ko:K01897	syz:MYO_14540
ko:K00951	syz:MYO_115160
ko:K01537	syz:MYO_115770
ko:K01992	syz:MYO_122110
ko:K07305	syz:MYO_12180
ko:K00214	syz:MYO_12210
ko:K08234	syz:MYO_12250
ko:K03830	syz:MYO_12310
ko:K00616	syz:MYO_12370
ko:K07304	syz:MYO_12400
ko:K04518	syz:MYO_12480
ko:K11781	syz:MYO_12520
ko:K05575	syz:MYO_12640
ko:K02035	syz:MYO_111740
ko:K09825	syz:MYO_112110
ko:K02035	syz:MYO_112140
ko:K07009	syz:MYO_112170
ko:K05575	syz:MYO_120940
ko:K02096	syz:MYO_120990
ko:K02030	syz:MYO_121120
ko:K00700	syz:MYO_121300
ko:K02710	syz:MYO_121420
ko:K00135	syz:MYO_121460
ko:K01585	syz:MYO_130130
ko:K06196	syz:MYO_130160
ko:K03090	syz:MYO_130340
ko:K06898	syz:MYO_130400
ko:K02004	syz:MYO_130550
ko:K02005	syz:MYO_130560
ko:K02290	syz:MYO_130640
ko:K02719	syz:MYO_12730
ko:K06883	syz:MYO_12850
ko:K09705	syz:MYO_12860
ko:K03856	syz:MYO_13070
ko:K02095	syz:MYO_13130
ko:K02705	syz:MYO_112340
ko:K00389	syz:MYO_112370
ko:K07031	syz:MYO_112400
ko:K01724	syz:MYO_112770
ko:K07116	syz:MYO_121540
ko:K01759	syz:MYO_121570
ko:K02294	syz:MYO_19000
ko:K04655	syz:MYO_19110
ko:K00367	syz:MYO_19210
ko:K15578	syz:MYO_19230
ko:K15577	syz:MYO_19240
ko:K15576	syz:MYO_19250
ko:K00966	syz:MYO_118220
ko:K01823	syz:MYO_118240
ko:K02693	syz:MYO_118260
ko:K10563	syz:MYO_118270
ko:K00514	syz:MYO_118430
ko:K03325	syz:MYO_118480
ko:K11329	syz:MYO_118510
ko:K11956	syz:MYO_118550
ko:K02533	syz:MYO_127220
ko:K02480	syz:MYO_127440
ko:K07123	syz:MYO_127770
ko:K00059	syz:MYO_121580
ko:K00033	syz:MYO_121610
ko:K04039	syz:MYO_121700
ko:K03499	syz:MYO_121710
ko:K02718	syz:MYO_121890
ko:K03386	syz:MYO_121920
ko:K02067	syz:MYO_121960
ko:K00274	syz:MYO_121970
ko:K08479	syz:MYO_121980
ko:K04037	syz:MYO_130750
ko:K04038	syz:MYO_130760
ko:K01835	syz:MYO_130890
ko:K08480	syz:MYO_130900
ko:K08481	syz:MYO_130910
ko:K02696	syz:MYO_131040
ko:K00799	syz:MYO_131130
ko:K07346	syz:MYO_131210
ko:K01992	syz:MYO_121850
ko:K01784	syz:MYO_13470
ko:K01784	syz:MYO_13600
ko:K07004	syz:MYO_13830
ko:K07978	syz:MYO_112940
ko:K02092	syz:MYO_113100
ko:K02093	syz:MYO_113110
ko:K02094	syz:MYO_113120
ko:K00058	syz:MYO_113140
ko:K00626	syz:MYO_113180
ko:K08226	syz:MYO_113200
ko:K00799	syz:MYO_113280
ko:K02637	syz:MYO_122050
ko:K02033	syz:MYO_122310
ko:K01601	syz:MYO_122490
ko:K01602	syz:MYO_122510
ko:K01679	syz:MYO_122590
ko:K02348	syz:MYO_131240
ko:K03177	syz:MYO_131440
ko:K02636	syz:MYO_131630
ko:K14218	syz:MYO_121810
ko:K02014	syz:MYO_1310
ko:K01569	syz:MYO_19830
ko:K07052	syz:MYO_118690
ko:K00721	syz:MYO_118730
ko:K01507	syz:MYO_118740
ko:K05584	syz:MYO_118750
ko:K09966	syz:MYO_118820
ko:K09763	syz:MYO_118900
ko:K01469	syz:MYO_127920
ko:K07027	syz:MYO_128210
ko:K05337	syz:MYO_128220
ko:K02643	syz:MYO_128260
ko:K08903	syz:MYO_1400
ko:K07304	syz:MYO_1460
ko:K09118	syz:MYO_1610
ko:K00939	syz:MYO_1650
ko:K01515	syz:MYO_1700
ko:K02289	syz:MYO_1760
ko:K03574	syz:MYO_1820
ko:K00027	syz:MYO_1850
ko:K06147	syz:MYO_110080
ko:K02433	syz:MYO_110330
ko:K07079	syz:MYO_110480
ko:K00059	syz:MYO_110490
ko:K01424	syz:MYO_119270
ko:K03316	syz:MYO_119370
ko:K00508	syz:MYO_119490
ko:K03699	syz:MYO_119540
ko:K02720	syz:MYO_119590
ko:K07052	syz:MYO_119720
ko:K02017	syz:MYO_128390
ko:K02018	syz:MYO_128390
ko:K06873	syz:MYO_128640
ko:K11950	syz:MYO_128660
ko:K11951	syz:MYO_128670
ko:K11952	syz:MYO_128690
ko:K11953	syz:MYO_128700
ko:K05575	syz:MYO_128710
ko:K10232	syz:MYO_128800
ko:K10233	syz:MYO_128810
ko:K10234	syz:MYO_128820
ko:K00801	syz:MYO_128830
ko:K00988	syz:MYO_128880
ko:K06971	syz:MYO_14120
ko:K02700	syz:MYO_14340
ko:K02657	syz:MYO_14550
ko:K02658	syz:MYO_14560
ko:K06864	syz:MYO_113410
ko:K00088	syz:MYO_113480
ko:K11602	syz:MYO_113530
ko:K11603	syz:MYO_113540
ko:K11601	syz:MYO_113550
ko:K08481	syz:MYO_113570
ko:K03316	syz:MYO_113610
ko:K02480	syz:MYO_113630
ko:K07019	syz:MYO_113780
ko:K01784	syz:MYO_113870
ko:K14330	syz:MYO_122770
ko:K14331	syz:MYO_122780
ko:K02549	syz:MYO_123090
ko:K02004	syz:MYO_131880
ko:K03711	syz:MYO_131890
ko:K01470	syz:MYO_131900
ko:K07393	syz:MYO_132020
ko:K04763	syz:MYO_460
ko:K01990	syz:MYO_126330
ko:K02659	syz:MYO_14570
ko:K02660	syz:MYO_14580
ko:K03403	syz:MYO_14700
ko:K02428	syz:MYO_14730
ko:K00721	syz:MYO_14740
ko:K02067	syz:MYO_14790
ko:K01934	syz:MYO_14890
ko:K01580	syz:MYO_14940
ko:K02712	syz:MYO_15050
ko:K02010	syz:MYO_113980
ko:K15226	syz:MYO_114060
ko:K02274	syz:MYO_114070
ko:K06045	syz:MYO_114140
ko:K00784	syz:MYO_123270
ko:K00799	syz:MYO_123340
ko:K03593	syz:MYO_123580
ko:K02722	syz:MYO_123720
ko:K07114	syz:MYO_4580
ko:K07769	syz:MYO_11090
ko:K07052	syz:MYO_11140
ko:K01480	syz:MYO_11320
ko:K03768	syz:MYO_11330
ko:K03689	syz:MYO_11470
ko:K02619	syz:MYO_110500
ko:K02636	syz:MYO_110630
ko:K01607	syz:MYO_110830
ko:K07315	syz:MYO_110890
ko:K01619	syz:MYO_110970
ko:K02428	syz:MYO_119800
ko:K02653	syz:MYO_120130
ko:K01262	syz:MYO_120160
ko:K00772	syz:MYO_120170
ko:K06883	syz:MYO_128950
ko:K03499	syz:MYO_129110
ko:K01082	syz:MYO_129270
ko:K05578	syz:MYO_129480
ko:K10112	syz:MYO_130710
ko:K02707	syz:MYO_15220
ko:K02713	syz:MYO_15240
ko:K02711	syz:MYO_15250
ko:K03711	syz:MYO_15390
ko:K09815	syz:MYO_15400
ko:K02290	syz:MYO_15480
ko:K02238	syz:MYO_15560
ko:K03498	syz:MYO_114530
ko:K07079	syz:MYO_114690
ko:K00058	syz:MYO_114980
ko:K03442	syz:MYO_124200
ko:K11520	syz:MYO_124210
ko:K03929	syz:MYO_5240
ko:K09121	syz:MYO_11560
ko:K02116	syz:MYO_11640
ko:K13628	syz:MYO_11690
ko:K08699	syz:MYO_11960
ko:K08698	syz:MYO_11970
ko:K08697	syz:MYO_11980
ko:K08696	syz:MYO_11990
ko:K08696	syz:MYO_12000
ko:K03404	syz:MYO_12110
ko:K02033	syz:MYO_111100
ko:K02288	syz:MYO_111170
ko:K03087	syz:MYO_111450
ko:K11325	syz:MYO_111590
ko:K03087	syz:MYO_120770
ko:K01191	syz:MYO_120800
ko:K01104	syz:MYO_120870
ko:K00845	syz:MYO_120880
ko:K00150	syz:MYO_129570
ko:K01092	syz:MYO_129730
ko:K02097	syz:MYO_129830
ko:K06883	syz:MYO_129870
ko:K01990	syz:MYO_121860
ko:K00104	syz:MYO_123160
ko:K11527	syz:MYO_115230
ko:K14233	syz:MYO_116900
ko:K14220	syz:MYO_119260
ko:K14222	syz:MYO_125400
ko:K10112	syz:MYO_19410
ko:K14236	syz:MYO_129080
ko:K14228	syz:MYO_129690
ko:K17686	syz:MYO_16990
ko:K00284	syz:MYO_14470
ko:K14232	syz:MYO_12940
ko:K14235	syz:MYO_18530
ko:K14221	syz:MYO_112150
ko:K14224	syz:MYO_112860
ko:K14232	syz:MYO_114150
ko:K14231	syz:MYO_114770
ko:K00284	syz:MYO_130230
ko:K17836	syz:MYO_127230
ko:K02027	syz:MYO_110940
ko:K00226	syz:MYO_128340
ko:K03292	syz:MYO_117000
ko:K00971	syz:MYO_117040
ko:K02055	syz:MYO_119780
ko:K08700	syz:MYO_123130
ko:K00290	syz:MYO_123250
ko:K00254	syz:MYO_129510
ko:K17758	syz:MYO_117540
ko:K17759	syz:MYO_117540
ko:K01658	syz:MYO_123400
ko:K00537	syz:MYO_21050
ko:K17838	syz:MYO_127520
ko:K12574	syz:MYO_129360
ko:K07263	syz:MYO_115270
ko:K08904	syz:MYO_112130
ko:K02287	syz:MYO_16600
ko:K01791	syz:MYO_126890
ko:K00128	syz:MYO_126270
ko:K04749	syz:MYO_110860
ko:K07814	syz:MYO_114310
ko:K18007	syz:MYO_115320
ko:K01485	syz:MYO_19600
ko:K13010	syz:MYO_114890
ko:K07494	syz:MYO_41030
ko:K07494	syz:MYO_11070
ko:K07494	syz:MYO_112330
ko:K07494	syz:MYO_113380
ko:K07494	syz:MYO_114170
ko:K07494	syz:MYO_114880
ko:K07494	syz:MYO_115900
ko:K07494	syz:MYO_120470
ko:K07494	syz:MYO_122860
ko:K07494	syz:MYO_41020
ko:K07494	syz:MYO_113370
ko:K07494	syz:MYO_114180
ko:K07494	syz:MYO_115910
ko:K07494	syz:MYO_117510
ko:K07494	syz:MYO_120460
ko:K07494	syz:MYO_122870
ko:K07494	syz:MYO_1420
ko:K07494	syz:MYO_13550
ko:K07494	syz:MYO_114730
ko:K07492	syz:MYO_112670
ko:K07492	syz:MYO_128150
ko:K13010	syz:MYO_13370
ko:K07814	syz:MYO_112060
ko:K00433	syz:MYO_2810
ko:K07222	syz:MYO_127820
ko:K01286	syz:MYO_120220
ko:K09116	syz:MYO_2310
ko:K01154	syz:MYO_3980
ko:K00091	syz:MYO_16700
ko:K00436	syz:MYO_115290
ko:K06921	syz:MYO_112570
ko:K01768	syz:MYO_13970
ko:K18235	syz:MYO_121130
ko:K18234	syz:MYO_116190
ko:K05568	syz:MYO_16850
ko:K00537	syz:MYO_3380
ko:K02652	syz:MYO_126140
ko:K04763	syz:MYO_31100
ko:K02456	syz:MYO_129810
ko:K03969	syz:MYO_131660
ko:K11955	syz:MYO_113520
ko:K06196	syz:MYO_123960
ko:K03581	syz:MYO_41010
ko:K05582	syz:MYO_5320
ko:K11330	syz:MYO_127610
ko:K07260	syz:MYO_128600
ko:K11331	syz:MYO_127640
ko:K07785	syz:MYO_127650
ko:K11326	syz:MYO_127630
ko:K11327	syz:MYO_127620
ko:K07494	syz:MYO_117300
ko:K07494	syz:MYO_117290
ko:K07492	syz:MYO_18860
ko:K07492	syz:MYO_111630
ko:K07492	syz:MYO_112660
ko:K07492	syz:MYO_113560
ko:K07492	syz:MYO_113790
ko:K07492	syz:MYO_115370
ko:K07492	syz:MYO_120200
ko:K07492	syz:MYO_120360
ko:K07492	syz:MYO_121250
ko:K07492	syz:MYO_121260
ko:K15579	syz:MYO_19220
ko:K03742	syz:MYO_124690
ko:K03462	syz:MYO_127570
ko:K01437	syz:MYO_16690
ko:K00681	syz:MYO_117130
ko:K18534	syz:MYO_119320
ko:K19076	syz:MYO_4880
ko:K00241	syz:MYO_124820
ko:K18678	syz:MYO_130990
ko:K07495	syz:MYO_31060
ko:K05946	syz:MYO_117150
ko:K18828	syz:MYO_14410
ko:K18910	syz:MYO_110780
ko:K03789	syz:MYO_122340
ko:K18829	syz:MYO_14420
ko:K18831	syz:MYO_31020
ko:K18814	syz:MYO_114620
ko:K05366	syz:MYO_122690
ko:K07171	syz:MYO_4390
ko:K18829	syz:MYO_123920
ko:K07171	syz:MYO_19610
ko:K07171	syz:MYO_13420
ko:K07480	syz:MYO_16050
ko:K03496	syz:MYO_2670
ko:K03496	syz:MYO_21060
ko:K07480	syz:MYO_17920
ko:K03496	syz:MYO_3940
ko:K03496	syz:MYO_127120
ko:K11811	syz:MYO_118490
ko:K03502	syz:MYO_127590
ko:K03111	syz:MYO_129140
ko:K03496	syz:MYO_129170
ko:K07480	syz:MYO_112680
ko:K07389	syz:MYO_130960
ko:K09797	syz:MYO_112880
ko:K07480	syz:MYO_114270
ko:K09932	syz:MYO_123600
ko:K11521	syz:MYO_18760
ko:K01665	syz:MYO_116560
ko:K03668	syz:MYO_125890
ko:K02663	syz:MYO_117190
ko:K06596	syz:MYO_120790
ko:K07495	syz:MYO_115950
ko:K09951	syz:MYO_4910
ko:K18979	syz:MYO_110000
ko:K19032	syz:MYO_125360
ko:K02664	syz:MYO_117200
ko:K16149	syz:MYO_130730
ko:K07464	syz:MYO_4160
ko:K19144	syz:MYO_4780
ko:K19156	syz:MYO_1930
ko:K19159	syz:MYO_119090
ko:K19159	syz:MYO_114790
ko:K19221	syz:MYO_113720
ko:K19166	syz:MYO_31010
ko:K19159	syz:MYO_119180
ko:K01046	syz:MYO_18340
ko:K07172	syz:MYO_4380
ko:K19121	syz:MYO_4130
ko:K01621	syz:MYO_131380
ko:K19091	syz:MYO_4660
ko:K00002	syz:MYO_118450
ko:K02292	syz:MYO_126240
ko:K11355	syz:MYO_123690
ko:K08678	syz:MYO_115490
ko:K19120	syz:MYO_4140
ko:K01710	syz:MYO_125810
ko:K05978	syz:MYO_130700
ko:K19142	syz:MYO_4830
ko:K09951	syz:MYO_4180
ko:K09951	syz:MYO_4700
ko:K19122	syz:MYO_4120
ko:K19091	syz:MYO_4150
ko:K21498	syz:MYO_2220
ko:K07062	syz:MYO_440
ko:K07062	syz:MYO_2950
ko:K19155	syz:MYO_1940
ko:K09690	syz:MYO_131810
ko:K07495	syz:MYO_15280
ko:K19302	syz:MYO_125510
ko:K00020	syz:MYO_122940
ko:K03722	syz:MYO_1410
ko:K07496	syz:MYO_113060
ko:K07497	syz:MYO_114720
ko:K07494	syz:MYO_15550
ko:K07492	syz:MYO_127750
ko:K07493	syz:MYO_128000
ko:K07494	syz:MYO_13930
ko:K07494	syz:MYO_13920
ko:K07494	syz:MYO_130670
ko:K07494	syz:MYO_130660
ko:K07494	syz:MYO_128050
ko:K07494	syz:MYO_128040
ko:K07494	syz:MYO_128020
ko:K07494	syz:MYO_123200
ko:K07494	syz:MYO_122950
ko:K07494	syz:MYO_122190
ko:K07494	syz:MYO_117720
ko:K07494	syz:MYO_115740
ko:K07494	syz:MYO_115730
ko:K07494	syz:MYO_114870
ko:K07494	syz:MYO_112320
ko:K07494	syz:MYO_110060
ko:K07492	syz:MYO_14400
ko:K07492	syz:MYO_14770
ko:K07492	syz:MYO_14780
ko:K07492	syz:MYO_17930
ko:K07492	syz:MYO_17940
ko:K07492	syz:MYO_126500
ko:K07492	syz:MYO_122160
ko:K07492	syz:MYO_122540
ko:K07492	syz:MYO_127990
ko:K07492	syz:MYO_128030
ko:K07492	syz:MYO_128160
ko:K02031	syz:MYO_16780
ko:K02032	syz:MYO_16780
ko:K07494	syz:MYO_11080
ko:K07492	syz:MYO_120190
ko:K07495	syz:MYO_118150
ko:K07013	syz:MYO_119920
ko:K07492	syz:MYO_120350
ko:K07492	syz:MYO_127740
ko:K07066	syz:MYO_128290
ko:K07494	syz:MYO_131480
ko:K05275	syz:MYO_114420
ko:K15669	syz:MYO_122470
ko:K09690	syz:MYO_13240
ko:K09691	syz:MYO_13280
ko:K09690	syz:MYO_114800
ko:K09691	syz:MYO_114810
ko:K19707	syz:MYO_123240
ko:K20024	syz:MYO_116990
ko:K05770	syz:MYO_120540
ko:K20074	syz:MYO_111050
ko:K12132	syz:MYO_16670
ko:K20207	syz:MYO_117870
ko:K20207	syz:MYO_113170
ko:K00507	syz:MYO_125630
ko:K09691	syz:MYO_131800
ko:K07242	syz:MYO_16890
ko:K20534	syz:MYO_128970
ko:K18889	syz:MYO_126750
ko:K20534	syz:MYO_120570
ko:K18890	syz:MYO_17370
ko:K01179	syz:MYO_125090
ko:K01214	syz:MYO_11200
ko:K01214	syz:MYO_110870
ko:K01208	syz:MYO_112440
ko:K02487	syz:MYO_16300
ko:K02487	syz:MYO_126030
ko:K21071	syz:MYO_12710
ko:K00525	syz:MYO_117770
ko:K01768	syz:MYO_112610
ko:K01768	syz:MYO_113160
ko:K21071	syz:MYO_128330
