ko:K12978	fpx:KU46_827
ko:K03086	fpx:KU46_1593
ko:K09117	fpx:KU46_1595
ko:K02970	fpx:KU46_1596
ko:K07259	fpx:KU46_1597
ko:K07107	fpx:KU46_1599
ko:K14058	fpx:KU46_1600
ko:K03773	fpx:KU46_1601
ko:K02523	fpx:KU46_1602
ko:K03789	fpx:KU46_1605
ko:K06178	fpx:KU46_1607
ko:K02656	fpx:KU46_1608
ko:K06941	fpx:KU46_1609
ko:K02939	fpx:KU46_1611
ko:K02963	fpx:KU46_1612
ko:K02990	fpx:KU46_1613
ko:K03386	fpx:KU46_1614
ko:K00243	fpx:KU46_1615
ko:K03656	fpx:KU46_1616
ko:K06980	fpx:KU46_1617
ko:K00616	fpx:KU46_1619
ko:K01255	fpx:KU46_1620
ko:K01872	fpx:KU46_1622
ko:K03657	fpx:KU46_1624
ko:K09710	fpx:KU46_1626
ko:K18979	fpx:KU46_1627
ko:K02428	fpx:KU46_105
ko:K02527	fpx:KU46_106
ko:K00795	fpx:KU46_107
ko:K01004	fpx:KU46_108
ko:K00748	fpx:KU46_112
ko:K00677	fpx:KU46_113
ko:K02372	fpx:KU46_114
ko:K02536	fpx:KU46_115
ko:K06142	fpx:KU46_116
ko:K07277	fpx:KU46_117
ko:K00099	fpx:KU46_118
ko:K02469	fpx:KU46_119
ko:K03648	fpx:KU46_125
ko:K00382	fpx:KU46_126
ko:K00627	fpx:KU46_127
ko:K00163	fpx:KU46_128
ko:K07266	fpx:KU46_141
ko:K02503	fpx:KU46_978
ko:K03688	fpx:KU46_979
ko:K03690	fpx:KU46_980
ko:K03183	fpx:KU46_981
ko:K00845	fpx:KU46_982
ko:K06190	fpx:KU46_984
ko:K01874	fpx:KU46_988
ko:K01613	fpx:KU46_1005
ko:K04042	fpx:KU46_1009
ko:K00820	fpx:KU46_1010
ko:K02970	fpx:KU46_1011
ko:K03704	fpx:KU46_1013
ko:K01265	fpx:KU46_1015
ko:K02621	fpx:KU46_1018
ko:K18284	fpx:KU46_1019
ko:K08309	fpx:KU46_1020
ko:K08309	fpx:KU46_1021
ko:K16052	fpx:KU46_1025
ko:K02337	fpx:KU46_1026
ko:K01462	fpx:KU46_1031
ko:K06041	fpx:KU46_1842
ko:K09929	fpx:KU46_1844
ko:K09930	fpx:KU46_1845
ko:K00208	fpx:KU46_1848
ko:K06966	fpx:KU46_1849
ko:K01759	fpx:KU46_1853
ko:K09125	fpx:KU46_1854
ko:K07568	fpx:KU46_1861
ko:K09474	fpx:KU46_1863
ko:K18800	fpx:KU46_1864
ko:K03185	fpx:KU46_1865
ko:K09895	fpx:KU46_1866
ko:K01934	fpx:KU46_1867
ko:K05527	fpx:KU46_1868
ko:K03975	fpx:KU46_1869
ko:K03975	fpx:KU46_1870
ko:K03584	fpx:KU46_1871
ko:K04487	fpx:KU46_1873
ko:K08300	fpx:KU46_1874
ko:K13292	fpx:KU46_1875
ko:K00058	fpx:KU46_1877
ko:K04075	fpx:KU46_1878
ko:K09889	fpx:KU46_1883
ko:K00600	fpx:KU46_1884
ko:K05807	fpx:KU46_1887
ko:K06180	fpx:KU46_1888
ko:K02066	fpx:KU46_1890
ko:K02065	fpx:KU46_1891
ko:K02067	fpx:KU46_1892
ko:K09761	fpx:KU46_1895
ko:K00567	fpx:KU46_204
ko:K01586	fpx:KU46_206
ko:K00262	fpx:KU46_208
ko:K07007	fpx:KU46_210
ko:K04077	fpx:KU46_216
ko:K04078	fpx:KU46_217
ko:K04758	fpx:KU46_220
ko:K04759	fpx:KU46_221
ko:K09458	fpx:KU46_224
ko:K00059	fpx:KU46_225
ko:K00647	fpx:KU46_227
ko:K02078	fpx:KU46_230
ko:K02078	fpx:KU46_231
ko:K07107	fpx:KU46_237
ko:K09861	fpx:KU46_242
ko:K00783	fpx:KU46_244
ko:K02493	fpx:KU46_243
ko:K02835	fpx:KU46_245
ko:K02492	fpx:KU46_246
ko:K17713	fpx:KU46_248
ko:K02622	fpx:KU46_250
ko:K03806	fpx:KU46_253
ko:K08311	fpx:KU46_254
ko:K11179	fpx:KU46_1088
ko:K03599	fpx:KU46_1089
ko:K04774	fpx:KU46_1090
ko:K02341	fpx:KU46_1091
ko:K07574	fpx:KU46_1092
ko:K01698	fpx:KU46_1093
ko:K03216	fpx:KU46_1094
ko:K01424	fpx:KU46_1095
ko:K03305	fpx:KU46_1096
ko:K01887	fpx:KU46_1097
ko:K04744	fpx:KU46_1098
ko:K03771	fpx:KU46_1099
ko:K02528	fpx:KU46_1100
ko:K01525	fpx:KU46_1101
ko:K03786	fpx:KU46_1102
ko:K02160	fpx:KU46_1103
ko:K01961	fpx:KU46_1104
ko:K16052	fpx:KU46_1106
ko:K04568	fpx:KU46_1107
ko:K03524	fpx:KU46_1108
ko:K07462	fpx:KU46_1109
ko:K03548	fpx:KU46_1110
ko:K11073	fpx:KU46_1112
ko:K06949	fpx:KU46_1113
ko:K03572	fpx:KU46_1116
ko:K00384	fpx:KU46_1118
ko:K01091	fpx:KU46_1119
ko:K06201	fpx:KU46_1121
ko:K18429	fpx:KU46_146
ko:K18430	fpx:KU46_147
ko:K09688	fpx:KU46_153
ko:K09689	fpx:KU46_154
ko:K10107	fpx:KU46_155
ko:K02535	fpx:KU46_156
ko:K07265	fpx:KU46_159
ko:K00859	fpx:KU46_169
ko:K01867	fpx:KU46_173
ko:K03316	fpx:KU46_175
ko:K07106	fpx:KU46_177
ko:K01962	fpx:KU46_181
ko:K03555	fpx:KU46_182
ko:K03071	fpx:KU46_183
ko:K03733	fpx:KU46_185
ko:K15984	fpx:KU46_186
ko:K00951	fpx:KU46_190
ko:K03834	fpx:KU46_192
ko:K05516	fpx:KU46_198
ko:K09808	fpx:KU46_1033
ko:K09810	fpx:KU46_1034
ko:K00605	fpx:KU46_1036
ko:K02437	fpx:KU46_1037
ko:K00282	fpx:KU46_1038
ko:K00283	fpx:KU46_1039
ko:K07052	fpx:KU46_1040
ko:K01740	fpx:KU46_1044
ko:K00651	fpx:KU46_1045
ko:K00014	fpx:KU46_1047
ko:K00700	fpx:KU46_1049
ko:K01835	fpx:KU46_1050
ko:K00975	fpx:KU46_1051
ko:K00703	fpx:KU46_1052
ko:K00688	fpx:KU46_1054
ko:K00705	fpx:KU46_1055
ko:K01878	fpx:KU46_1057
ko:K01928	fpx:KU46_1058
ko:K07023	fpx:KU46_1059
ko:K01929	fpx:KU46_1061
ko:K00133	fpx:KU46_1063
ko:K12524	fpx:KU46_1064
ko:K00872	fpx:KU46_1065
ko:K01733	fpx:KU46_1066
ko:K12308	fpx:KU46_1068
ko:K03269	fpx:KU46_1069
ko:K00762	fpx:KU46_1070
ko:K02558	fpx:KU46_1072
ko:K03218	fpx:KU46_1073
ko:K15738	fpx:KU46_1077
ko:K03305	fpx:KU46_1078
ko:K01886	fpx:KU46_1079
ko:K01610	fpx:KU46_1080
ko:K01000	fpx:KU46_1081
ko:K01925	fpx:KU46_1082
ko:K03588	fpx:KU46_1083
ko:K03305	fpx:KU46_1896
ko:K01897	fpx:KU46_1897
ko:K03446	fpx:KU46_1899
ko:K03543	fpx:KU46_1900
ko:K01916	fpx:KU46_1902
ko:K03686	fpx:KU46_1904
ko:K04043	fpx:KU46_1905
ko:K03687	fpx:KU46_1906
ko:K08304	fpx:KU46_1907
ko:K02871	fpx:KU46_1909
ko:K02996	fpx:KU46_1910
ko:K03599	fpx:KU46_1911
ko:K03600	fpx:KU46_1912
ko:K03470	fpx:KU46_1920
ko:K02533	fpx:KU46_1921
ko:K02806	fpx:KU46_1922
ko:K05808	fpx:KU46_1923
ko:K03650	fpx:KU46_1925
ko:K01442	fpx:KU46_1928
ko:K01697	fpx:KU46_1930
ko:K11900	fpx:KU46_1952
ko:K11901	fpx:KU46_1953
ko:K01424	fpx:KU46_1123
ko:K03305	fpx:KU46_1124
ko:K01902	fpx:KU46_1130
ko:K01903	fpx:KU46_1131
ko:K05539	fpx:KU46_1134
ko:K02470	fpx:KU46_1136
ko:K09001	fpx:KU46_1955
ko:K01194	fpx:KU46_1957
ko:K01624	fpx:KU46_1958
ko:K00873	fpx:KU46_1959
ko:K00927	fpx:KU46_1960
ko:K00134	fpx:KU46_1961
ko:K00615	fpx:KU46_1962
ko:K07040	fpx:KU46_1963
ko:K02911	fpx:KU46_1964
ko:K03621	fpx:KU46_1965
ko:K00648	fpx:KU46_1966
ko:K00645	fpx:KU46_1967
ko:K00059	fpx:KU46_1968
ko:K02078	fpx:KU46_1969
ko:K09458	fpx:KU46_1970
ko:K06141	fpx:KU46_1973
ko:K01092	fpx:KU46_1975
ko:K03500	fpx:KU46_1977
ko:K01972	fpx:KU46_1979
ko:K00606	fpx:KU46_1981
ko:K01918	fpx:KU46_1982
ko:K01579	fpx:KU46_1983
ko:K03525	fpx:KU46_1984
ko:K03581	fpx:KU46_1985
ko:K03582	fpx:KU46_1986
ko:K01652	fpx:KU46_1987
ko:K07127	fpx:KU46_1988
ko:K01442	fpx:KU46_1990
ko:K03583	fpx:KU46_1992
ko:K01069	fpx:KU46_2005
ko:K01710	fpx:KU46_58
ko:K22468	fpx:KU46_109
ko:K01977	fpx:KU46_993
ko:K01977	fpx:KU46_452
ko:K01977	fpx:KU46_1939
ko:K00336	fpx:KU46_393
ko:K01183	fpx:KU46_1163
ko:K01992	fpx:KU46_1183
ko:K00525	fpx:KU46_1681
ko:K07266	fpx:KU46_131
ko:K02650	fpx:KU46_1418
ko:K02650	fpx:KU46_1550
ko:K02650	fpx:KU46_940
ko:K14234	fpx:KU46_496
ko:K14236	fpx:KU46_283
ko:K01980	fpx:KU46_1935
ko:K01980	fpx:KU46_448
ko:K01980	fpx:KU46_997
ko:K14218	fpx:KU46_1937
ko:K14218	fpx:KU46_995
ko:K14218	fpx:KU46_450
ko:K14219	fpx:KU46_170
ko:K14233	fpx:KU46_1408
ko:K14233	fpx:KU46_904
ko:K14233	fpx:KU46_989
ko:K14237	fpx:KU46_1150
ko:K14237	fpx:KU46_990
ko:K14228	fpx:KU46_1819
ko:K14228	fpx:KU46_2000
ko:K14228	fpx:KU46_34
ko:K14228	fpx:KU46_347
ko:K14226	fpx:KU46_1820
ko:K14222	fpx:KU46_2001
ko:K14225	fpx:KU46_282
ko:K14230	fpx:KU46_110
ko:K14230	fpx:KU46_382
ko:K14230	fpx:KU46_818
ko:K14221	fpx:KU46_497
ko:K14223	fpx:KU46_672
ko:K14224	fpx:KU46_750
ko:K01985	fpx:KU46_998
ko:K01985	fpx:KU46_447
ko:K01985	fpx:KU46_1934
ko:K01985	fpx:KU46_1032
ko:K14229	fpx:KU46_1208
ko:K14229	fpx:KU46_1209
ko:K14234	fpx:KU46_281
ko:K14237	fpx:KU46_1474
ko:K14219	fpx:KU46_1821
ko:K14231	fpx:KU46_1823
ko:K14232	fpx:KU46_1822
ko:K14225	fpx:KU46_171
ko:K14225	fpx:KU46_2002
ko:K07666	fpx:KU46_103
ko:K14220	fpx:KU46_2010
ko:K04517	fpx:KU46_566
ko:K00544	fpx:KU46_649
ko:K00980	fpx:KU46_1835
ko:K19802	fpx:KU46_1652
ko:K19810	fpx:KU46_1693
ko:K05770	fpx:KU46_1633
ko:K03789	fpx:KU46_677
ko:K09796	fpx:KU46_124
ko:K20265	fpx:KU46_215
ko:K20265	fpx:KU46_205
ko:K20265	fpx:KU46_1531
ko:K20265	fpx:KU46_1111
ko:K09690	fpx:KU46_57
ko:K00507	fpx:KU46_268
ko:K00507	fpx:KU46_98
ko:K03762	fpx:KU46_1311
ko:K13713	fpx:KU46_944
ko:K20534	fpx:KU46_25
ko:K03271	fpx:KU46_621
ko:K01932	fpx:KU46_1817
ko:K01200	fpx:KU46_1048
ko:K21029	fpx:KU46_1295
ko:K00632	fpx:KU46_76
ko:K06217	fpx:KU46_1358
ko:K00857	fpx:KU46_1361
ko:K03553	fpx:KU46_643
ko:K02316	fpx:KU46_1594
ko:K02314	fpx:KU46_1610
ko:K00287	fpx:KU46_753
ko:K01520	fpx:KU46_761
ko:K03462	fpx:KU46_80
ko:K13522	fpx:KU46_1008
ko:K00560	fpx:KU46_1876
ko:K02335	fpx:KU46_310
ko:K02483	fpx:KU46_90
ko:K03293	fpx:KU46_932
ko:K01139	fpx:KU46_1814
ko:K01582	fpx:KU46_1035
ko:K21600	fpx:KU46_1662
ko:K04103	fpx:KU46_635
ko:K21829	fpx:KU46_902
ko:K22116	fpx:KU46_1816
ko:K22132	fpx:KU46_1676
ko:K03595	fpx:KU46_1368
ko:K03892	fpx:KU46_1478
ko:K13566	fpx:KU46_8
ko:K00526	fpx:KU46_1683
ko:K03676	fpx:KU46_1683
