ko:K01006	lmoy:LMOSLCC2479_1931
ko:K06958	lmoy:LMOSLCC2479_2535
ko:K00384	lmoy:LMOSLCC2479_2539
ko:K06019	lmoy:LMOSLCC2479_2542
ko:K13292	lmoy:LMOSLCC2479_2543
ko:K08972	lmoy:LMOSLCC2479_2545
ko:K03701	lmoy:LMOSLCC2479_2549
ko:K03702	lmoy:LMOSLCC2479_2550
ko:K07023	lmoy:LMOSLCC2479_2553
ko:K02039	lmoy:LMOSLCC2479_2556
ko:K02036	lmoy:LMOSLCC2479_2557
ko:K00767	lmoy:LMOSLCC2479_2088
ko:K03517	lmoy:LMOSLCC2479_2089
ko:K02221	lmoy:LMOSLCC2479_2093
ko:K09772	lmoy:LMOSLCC2479_2094
ko:K06997	lmoy:LMOSLCC2479_2095
ko:K03531	lmoy:LMOSLCC2479_2096
ko:K03590	lmoy:LMOSLCC2479_2097
ko:K03589	lmoy:LMOSLCC2479_2098
ko:K02563	lmoy:LMOSLCC2479_2099
ko:K01925	lmoy:LMOSLCC2479_2100
ko:K01000	lmoy:LMOSLCC2479_2101
ko:K01928	lmoy:LMOSLCC2479_2102
ko:K03438	lmoy:LMOSLCC2479_2105
ko:K03925	lmoy:LMOSLCC2479_2106
ko:K00077	lmoy:LMOSLCC2479_2109
ko:K02911	lmoy:LMOSLCC2479_2110
ko:K07040	lmoy:LMOSLCC2479_2111
ko:K00954	lmoy:LMOSLCC2479_2115
ko:K02768	lmoy:LMOSLCC2479_2811
ko:K02769	lmoy:LMOSLCC2479_2811
ko:K02770	lmoy:LMOSLCC2479_2811
ko:K00865	lmoy:LMOSLCC2479_2814
ko:K12410	lmoy:LMOSLCC2479_2817
ko:K01875	lmoy:LMOSLCC2479_2825
ko:K06978	lmoy:LMOSLCC2479_2833
ko:K03654	lmoy:LMOSLCC2479_2835
ko:K01223	lmoy:LMOSLCC2479_2839
ko:K02760	lmoy:LMOSLCC2479_2840
ko:K02761	lmoy:LMOSLCC2479_2841
ko:K02759	lmoy:LMOSLCC2479_2843
ko:K01448	lmoy:LMOSLCC2479_0128
ko:K06975	lmoy:LMOSLCC2479_0133
ko:K02034	lmoy:LMOSLCC2479_0136
ko:K09817	lmoy:LMOSLCC2479_0153
ko:K09816	lmoy:LMOSLCC2479_0154
ko:K02341	lmoy:LMOSLCC2479_0161
ko:K07461	lmoy:LMOSLCC2479_0165
ko:K07056	lmoy:LMOSLCC2479_0166
ko:K06284	lmoy:LMOSLCC2479_0167
ko:K05340	lmoy:LMOSLCC2479_0168
ko:K02760	lmoy:LMOSLCC2479_0926
ko:K02761	lmoy:LMOSLCC2479_0927
ko:K02759	lmoy:LMOSLCC2479_0928
ko:K01223	lmoy:LMOSLCC2479_0929
ko:K07089	lmoy:LMOSLCC2479_0932
ko:K03652	lmoy:LMOSLCC2479_0940
ko:K03800	lmoy:LMOSLCC2479_0943
ko:K03216	lmoy:LMOSLCC2479_0947
ko:K04079	lmoy:LMOSLCC2479_0954
ko:K04047	lmoy:LMOSLCC2479_0955
ko:K03449	lmoy:LMOSLCC2479_0959
ko:K01695	lmoy:LMOSLCC2479_1690
ko:K01696	lmoy:LMOSLCC2479_1691
ko:K01817	lmoy:LMOSLCC2479_1692
ko:K01609	lmoy:LMOSLCC2479_1693
ko:K00766	lmoy:LMOSLCC2479_1694
ko:K01657	lmoy:LMOSLCC2479_1696
ko:K04072	lmoy:LMOSLCC2479_1697
ko:K01246	lmoy:LMOSLCC2479_1703
ko:K01681	lmoy:LMOSLCC2479_1705
ko:K03547	lmoy:LMOSLCC2479_1710
ko:K00655	lmoy:LMOSLCC2479_1711
ko:K02357	lmoy:LMOSLCC2479_1721
ko:K02967	lmoy:LMOSLCC2479_1722
ko:K01869	lmoy:LMOSLCC2479_1723
ko:K07139	lmoy:LMOSLCC2479_1724
ko:K01953	lmoy:LMOSLCC2479_1726
ko:K00789	lmoy:LMOSLCC2479_1727
ko:K00299	lmoy:LMOSLCC2479_2411
ko:K01421	lmoy:LMOSLCC2479_2421
ko:K01810	lmoy:LMOSLCC2479_2428
ko:K02036	lmoy:LMOSLCC2479_2558
ko:K02038	lmoy:LMOSLCC2479_2559
ko:K02037	lmoy:LMOSLCC2479_2560
ko:K02040	lmoy:LMOSLCC2479_2561
ko:K07636	lmoy:LMOSLCC2479_2562
ko:K06131	lmoy:LMOSLCC2479_2565
ko:K09811	lmoy:LMOSLCC2479_2568
ko:K09812	lmoy:LMOSLCC2479_2569
ko:K02836	lmoy:LMOSLCC2479_2571
ko:K01118	lmoy:LMOSLCC2479_0618
ko:K01126	lmoy:LMOSLCC2479_0623
ko:K07090	lmoy:LMOSLCC2479_0628
ko:K11203	lmoy:LMOSLCC2479_0639
ko:K11202	lmoy:LMOSLCC2479_0640
ko:K01534	lmoy:LMOSLCC2479_0648
ko:K03284	lmoy:LMOSLCC2479_0656
ko:K01421	lmoy:LMOSLCC2479_0658
ko:K00605	lmoy:LMOSLCC2479_1408
ko:K00282	lmoy:LMOSLCC2479_1409
ko:K00283	lmoy:LMOSLCC2479_1410
ko:K02356	lmoy:LMOSLCC2479_1415
ko:K02160	lmoy:LMOSLCC2479_1416
ko:K01961	lmoy:LMOSLCC2479_1417
ko:K03625	lmoy:LMOSLCC2479_1419
ko:K01491	lmoy:LMOSLCC2479_1420
ko:K03601	lmoy:LMOSLCC2479_1421
ko:K03602	lmoy:LMOSLCC2479_1422
ko:K13789	lmoy:LMOSLCC2479_1423
ko:K03704	lmoy:LMOSLCC2479_1424
ko:K01662	lmoy:LMOSLCC2479_1425
ko:K06442	lmoy:LMOSLCC2479_1426
ko:K03402	lmoy:LMOSLCC2479_1427
ko:K03631	lmoy:LMOSLCC2479_1428
ko:K00382	lmoy:LMOSLCC2479_1431
ko:K00166	lmoy:LMOSLCC2479_1432
ko:K00167	lmoy:LMOSLCC2479_1433
ko:K09699	lmoy:LMOSLCC2479_1434
ko:K03217	lmoy:LMOSLCC2479_1440
ko:K01512	lmoy:LMOSLCC2479_1441
ko:K07146	lmoy:LMOSLCC2479_1444
ko:K03466	lmoy:LMOSLCC2479_1446
ko:K00286	lmoy:LMOSLCC2479_1447
ko:K07335	lmoy:LMOSLCC2479_1448
ko:K02057	lmoy:LMOSLCC2479_1450
ko:K02057	lmoy:LMOSLCC2479_1451
ko:K02259	lmoy:LMOSLCC2479_2121
ko:K10716	lmoy:LMOSLCC2479_2122
ko:K14166	lmoy:LMOSLCC2479_2125
ko:K03282	lmoy:LMOSLCC2479_2127
ko:K01442	lmoy:LMOSLCC2479_2130
ko:K04077	lmoy:LMOSLCC2479_2131
ko:K04078	lmoy:LMOSLCC2479_2132
ko:K01926	lmoy:LMOSLCC2479_2136
ko:K06158	lmoy:LMOSLCC2479_2137
ko:K03789	lmoy:LMOSLCC2479_2140
ko:K06925	lmoy:LMOSLCC2479_2142
ko:K06199	lmoy:LMOSLCC2479_2145
ko:K06199	lmoy:LMOSLCC2479_2146
ko:K01940	lmoy:LMOSLCC2479_2154
ko:K01755	lmoy:LMOSLCC2479_2155
ko:K01628	lmoy:LMOSLCC2479_2158
ko:K02774	lmoy:LMOSLCC2479_2161
ko:K02773	lmoy:LMOSLCC2479_2162
ko:K01919	lmoy:LMOSLCC2479_2848
ko:K01223	lmoy:LMOSLCC2479_2849
ko:K02003	lmoy:LMOSLCC2479_2852
ko:K06942	lmoy:LMOSLCC2479_2857
ko:K02759	lmoy:LMOSLCC2479_2858
ko:K05349	lmoy:LMOSLCC2479_2859
ko:K02760	lmoy:LMOSLCC2479_2860
ko:K02761	lmoy:LMOSLCC2479_2861
ko:K03781	lmoy:LMOSLCC2479_2863
ko:K03501	lmoy:LMOSLCC2479_2880
ko:K03495	lmoy:LMOSLCC2479_2889
ko:K03650	lmoy:LMOSLCC2479_2890
ko:K01874	lmoy:LMOSLCC2479_0176
ko:K03424	lmoy:LMOSLCC2479_0185
ko:K05985	lmoy:LMOSLCC2479_0187
ko:K02528	lmoy:LMOSLCC2479_0188
ko:K00919	lmoy:LMOSLCC2479_0190
ko:K02003	lmoy:LMOSLCC2479_0194
ko:K06412	lmoy:LMOSLCC2479_0196
ko:K06412	lmoy:LMOSLCC2479_0197
ko:K04042	lmoy:LMOSLCC2479_0198
ko:K00948	lmoy:LMOSLCC2479_0199
ko:K01114	lmoy:LMOSLCC2479_0205
ko:K02897	lmoy:LMOSLCC2479_0211
ko:K01056	lmoy:LMOSLCC2479_0213
ko:K03723	lmoy:LMOSLCC2479_0214
ko:K07571	lmoy:LMOSLCC2479_0218
ko:K03798	lmoy:LMOSLCC2479_0220
ko:K03525	lmoy:LMOSLCC2479_0221
ko:K04083	lmoy:LMOSLCC2479_0222
ko:K01443	lmoy:LMOSLCC2479_0968
ko:K03710	lmoy:LMOSLCC2479_0970
ko:K08303	lmoy:LMOSLCC2479_0973
ko:K03744	lmoy:LMOSLCC2479_0974
ko:K03799	lmoy:LMOSLCC2479_0975
ko:K00858	lmoy:LMOSLCC2479_0980
ko:K06180	lmoy:LMOSLCC2479_0981
ko:K00208	lmoy:LMOSLCC2479_0982
ko:K03740	lmoy:LMOSLCC2479_0983
ko:K14188	lmoy:LMOSLCC2479_0984
ko:K03739	lmoy:LMOSLCC2479_0985
ko:K03367	lmoy:LMOSLCC2479_0986
ko:K01807	lmoy:LMOSLCC2479_0988
ko:K00826	lmoy:LMOSLCC2479_0991
ko:K00432	lmoy:LMOSLCC2479_0996
ko:K02837	lmoy:LMOSLCC2479_1001
ko:K08998	lmoy:LMOSLCC2479_1733
ko:K01911	lmoy:LMOSLCC2479_1735
ko:K01661	lmoy:LMOSLCC2479_1736
ko:K02551	lmoy:LMOSLCC2479_1738
ko:K02548	lmoy:LMOSLCC2479_1740
ko:K00549	lmoy:LMOSLCC2479_1744
ko:K01845	lmoy:LMOSLCC2479_1749
ko:K10780	lmoy:LMOSLCC2479_1752
ko:K03575	lmoy:LMOSLCC2479_1753
ko:K14155	lmoy:LMOSLCC2479_2431
ko:K02003	lmoy:LMOSLCC2479_2433
ko:K02760	lmoy:LMOSLCC2479_2434
ko:K00928	lmoy:LMOSLCC2479_2435
ko:K05566	lmoy:LMOSLCC2479_2441
ko:K05567	lmoy:LMOSLCC2479_2442
ko:K05569	lmoy:LMOSLCC2479_2444
ko:K05571	lmoy:LMOSLCC2479_2446
ko:K09775	lmoy:LMOSLCC2479_2448
ko:K03885	lmoy:LMOSLCC2479_2451
ko:K07090	lmoy:LMOSLCC2479_2466
ko:K09014	lmoy:LMOSLCC2479_2473
ko:K11717	lmoy:LMOSLCC2479_2475
ko:K09015	lmoy:LMOSLCC2479_2476
ko:K09013	lmoy:LMOSLCC2479_2477
ko:K03424	lmoy:LMOSLCC2479_0314
ko:K03707	lmoy:LMOSLCC2479_0316
ko:K00878	lmoy:LMOSLCC2479_0317
ko:K00941	lmoy:LMOSLCC2479_0318
ko:K00788	lmoy:LMOSLCC2479_0319
ko:K01223	lmoy:LMOSLCC2479_0320
ko:K00615	lmoy:LMOSLCC2479_0342
ko:K01808	lmoy:LMOSLCC2479_0345
ko:K01803	lmoy:LMOSLCC2479_0346
ko:K05879	lmoy:LMOSLCC2479_0347
ko:K05878	lmoy:LMOSLCC2479_0348
ko:K02769	lmoy:LMOSLCC2479_0358
ko:K02770	lmoy:LMOSLCC2479_0358
ko:K01624	lmoy:LMOSLCC2479_0359
ko:K00763	lmoy:LMOSLCC2479_1106
ko:K02760	lmoy:LMOSLCC2479_1109
ko:K01951	lmoy:LMOSLCC2479_1110
ko:K03827	lmoy:LMOSLCC2479_1122
ko:K01358	lmoy:LMOSLCC2479_1134
ko:K02304	lmoy:LMOSLCC2479_1137
ko:K04031	lmoy:LMOSLCC2479_1140
ko:K04029	lmoy:LMOSLCC2479_1141
ko:K02231	lmoy:LMOSLCC2479_1143
ko:K02233	lmoy:LMOSLCC2479_1144
ko:K13919	lmoy:LMOSLCC2479_1150
ko:K13920	lmoy:LMOSLCC2479_1151
ko:K02013	lmoy:LMOSLCC2479_1842
ko:K01142	lmoy:LMOSLCC2479_1846
ko:K02887	lmoy:LMOSLCC2479_1847
ko:K02916	lmoy:LMOSLCC2479_1848
ko:K02520	lmoy:LMOSLCC2479_1849
ko:K02884	lmoy:LMOSLCC2479_1851
ko:K00554	lmoy:LMOSLCC2479_1856
ko:K02860	lmoy:LMOSLCC2479_1857
ko:K07010	lmoy:LMOSLCC2479_1859
ko:K06960	lmoy:LMOSLCC2479_1860
ko:K02959	lmoy:LMOSLCC2479_1861
ko:K03106	lmoy:LMOSLCC2479_1865
ko:K03110	lmoy:LMOSLCC2479_1867
ko:K03529	lmoy:LMOSLCC2479_1868
ko:K03685	lmoy:LMOSLCC2479_1869
ko:K02078	lmoy:LMOSLCC2479_1870
ko:K00645	lmoy:LMOSLCC2479_1872
ko:K03621	lmoy:LMOSLCC2479_1873
ko:K03655	lmoy:LMOSLCC2479_1875
ko:K01752	lmoy:LMOSLCC2479_1876
ko:K01752	lmoy:LMOSLCC2479_1877
ko:K02902	lmoy:LMOSLCC2479_1880
ko:K01783	lmoy:LMOSLCC2479_1882
ko:K06949	lmoy:LMOSLCC2479_1883
ko:K03500	lmoy:LMOSLCC2479_1886
ko:K00604	lmoy:LMOSLCC2479_1887
ko:K03070	lmoy:LMOSLCC2479_2573
ko:K05946	lmoy:LMOSLCC2479_2584
ko:K02372	lmoy:LMOSLCC2479_2587
ko:K03569	lmoy:LMOSLCC2479_2588
ko:K00790	lmoy:LMOSLCC2479_2589
ko:K02114	lmoy:LMOSLCC2479_2591
ko:K02112	lmoy:LMOSLCC2479_2592
ko:K02115	lmoy:LMOSLCC2479_2593
ko:K02111	lmoy:LMOSLCC2479_2594
ko:K02113	lmoy:LMOSLCC2479_2595
ko:K02109	lmoy:LMOSLCC2479_2596
ko:K02110	lmoy:LMOSLCC2479_2597
ko:K02108	lmoy:LMOSLCC2479_2598
ko:K00761	lmoy:LMOSLCC2479_2601
ko:K00600	lmoy:LMOSLCC2479_2602
ko:K07566	lmoy:LMOSLCC2479_2604
ko:K02493	lmoy:LMOSLCC2479_2605
ko:K02835	lmoy:LMOSLCC2479_2606
ko:K00872	lmoy:LMOSLCC2479_2608
ko:K01733	lmoy:LMOSLCC2479_2609
ko:K00003	lmoy:LMOSLCC2479_2610
ko:K02909	lmoy:LMOSLCC2479_2611
ko:K03628	lmoy:LMOSLCC2479_2614
ko:K00790	lmoy:LMOSLCC2479_2615
ko:K02313	lmoy:LMOSLCC2479_0001
ko:K02338	lmoy:LMOSLCC2479_0002
ko:K08976	lmoy:LMOSLCC2479_0664
ko:K00868	lmoy:LMOSLCC2479_0670
ko:K02419	lmoy:LMOSLCC2479_0686
ko:K02420	lmoy:LMOSLCC2479_0687
ko:K02421	lmoy:LMOSLCC2479_0688
ko:K02401	lmoy:LMOSLCC2479_0689
ko:K02400	lmoy:LMOSLCC2479_0690
ko:K02404	lmoy:LMOSLCC2479_0691
ko:K02392	lmoy:LMOSLCC2479_0692
ko:K02556	lmoy:LMOSLCC2479_0695
ko:K02557	lmoy:LMOSLCC2479_0696
ko:K03415	lmoy:LMOSLCC2479_0699
ko:K02406	lmoy:LMOSLCC2479_0700
ko:K03413	lmoy:LMOSLCC2479_0701
ko:K03407	lmoy:LMOSLCC2479_0702
ko:K02417	lmoy:LMOSLCC2479_0703
ko:K02389	lmoy:LMOSLCC2479_0706
ko:K02390	lmoy:LMOSLCC2479_0707
ko:K02417	lmoy:LMOSLCC2479_0708
ko:K02416	lmoy:LMOSLCC2479_0709
ko:K02417	lmoy:LMOSLCC2479_0710
ko:K09770	lmoy:LMOSLCC2479_0713
ko:K00995	lmoy:LMOSLCC2479_1456
ko:K03823	lmoy:LMOSLCC2479_1460
ko:K09769	lmoy:LMOSLCC2479_1461
ko:K03555	lmoy:LMOSLCC2479_1463
ko:K03572	lmoy:LMOSLCC2479_1464
ko:K00656	lmoy:LMOSLCC2479_1466
ko:K04069	lmoy:LMOSLCC2479_1467
ko:K07727	lmoy:LMOSLCC2479_1471
ko:K00075	lmoy:LMOSLCC2479_1480
ko:K05847	lmoy:LMOSLCC2479_1481
ko:K03322	lmoy:LMOSLCC2479_1484
ko:K05846	lmoy:LMOSLCC2479_1485
ko:K05845	lmoy:LMOSLCC2479_1486
ko:K05846	lmoy:LMOSLCC2479_1487
ko:K05847	lmoy:LMOSLCC2479_1488
ko:K01714	lmoy:LMOSLCC2479_1495
ko:K00928	lmoy:LMOSLCC2479_1496
ko:K00133	lmoy:LMOSLCC2479_1497
ko:K04564	lmoy:LMOSLCC2479_1500
ko:K06215	lmoy:LMOSLCC2479_2165
ko:K08681	lmoy:LMOSLCC2479_2166
ko:K04758	lmoy:LMOSLCC2479_2168
ko:K04759	lmoy:LMOSLCC2479_2169
ko:K01443	lmoy:LMOSLCC2479_2173
ko:K01809	lmoy:LMOSLCC2479_2175
ko:K02003	lmoy:LMOSLCC2479_2179
ko:K03431	lmoy:LMOSLCC2479_2183
ko:K01624	lmoy:LMOSLCC2479_2198
ko:K01624	lmoy:LMOSLCC2479_2199
ko:K08170	lmoy:LMOSLCC2479_2897
ko:K00831	lmoy:LMOSLCC2479_2904
ko:K07078	lmoy:LMOSLCC2479_2908
ko:K00865	lmoy:LMOSLCC2479_2911
ko:K03534	lmoy:LMOSLCC2479_2924
ko:K00848	lmoy:LMOSLCC2479_2927
ko:K03217	lmoy:LMOSLCC2479_2932
ko:K03536	lmoy:LMOSLCC2479_2933
ko:K02914	lmoy:LMOSLCC2479_2934
ko:K03118	lmoy:LMOSLCC2479_0361
ko:K03116	lmoy:LMOSLCC2479_0362
ko:K05995	lmoy:LMOSLCC2479_0363
ko:K07243	lmoy:LMOSLCC2479_0365
ko:K07224	lmoy:LMOSLCC2479_0366
ko:K16301	lmoy:LMOSLCC2479_0367
ko:K06193	lmoy:LMOSLCC2479_0370
ko:K02761	lmoy:LMOSLCC2479_0373
ko:K02760	lmoy:LMOSLCC2479_0374
ko:K06608	lmoy:LMOSLCC2479_0384
ko:K00140	lmoy:LMOSLCC2479_0385
ko:K03337	lmoy:LMOSLCC2479_0386
ko:K03338	lmoy:LMOSLCC2479_0387
ko:K03336	lmoy:LMOSLCC2479_0388
ko:K03648	lmoy:LMOSLCC2479_0392
ko:K00286	lmoy:LMOSLCC2479_0398
ko:K03306	lmoy:LMOSLCC2479_0407
ko:K04024	lmoy:LMOSLCC2479_1157
ko:K13922	lmoy:LMOSLCC2479_1161
ko:K02440	lmoy:LMOSLCC2479_1163
ko:K00925	lmoy:LMOSLCC2479_1164
ko:K04019	lmoy:LMOSLCC2479_1171
ko:K03735	lmoy:LMOSLCC2479_1172
ko:K03736	lmoy:LMOSLCC2479_1173
ko:K04026	lmoy:LMOSLCC2479_1174
ko:K04032	lmoy:LMOSLCC2479_1178
ko:K04023	lmoy:LMOSLCC2479_1183
ko:K04030	lmoy:LMOSLCC2479_1184
ko:K02224	lmoy:LMOSLCC2479_1189
ko:K02227	lmoy:LMOSLCC2479_1190
ko:K06042	lmoy:LMOSLCC2479_1191
ko:K02188	lmoy:LMOSLCC2479_1192
ko:K02191	lmoy:LMOSLCC2479_1194
ko:K05936	lmoy:LMOSLCC2479_1195
ko:K05895	lmoy:LMOSLCC2479_1197
ko:K13542	lmoy:LMOSLCC2479_1198
ko:K03394	lmoy:LMOSLCC2479_1200
ko:K02007	lmoy:LMOSLCC2479_1201
ko:K04066	lmoy:LMOSLCC2479_1888
ko:K13038	lmoy:LMOSLCC2479_1889
ko:K03060	lmoy:LMOSLCC2479_1890
ko:K00942	lmoy:LMOSLCC2479_1891
ko:K00762	lmoy:LMOSLCC2479_1895
ko:K01591	lmoy:LMOSLCC2479_1896
ko:K01955	lmoy:LMOSLCC2479_1899
ko:K01956	lmoy:LMOSLCC2479_1900
ko:K01465	lmoy:LMOSLCC2479_1901
ko:K00609	lmoy:LMOSLCC2479_1902
ko:K02825	lmoy:LMOSLCC2479_1904
ko:K06180	lmoy:LMOSLCC2479_1907
ko:K03101	lmoy:LMOSLCC2479_1908
ko:K06901	lmoy:LMOSLCC2479_1909
ko:K03327	lmoy:LMOSLCC2479_1910
ko:K03797	lmoy:LMOSLCC2479_1915
ko:K11068	lmoy:LMOSLCC2479_1928
ko:K09773	lmoy:LMOSLCC2479_1930
ko:K13678	lmoy:LMOSLCC2479_2617
ko:K01937	lmoy:LMOSLCC2479_2622
ko:K01887	lmoy:LMOSLCC2479_2624
ko:K01821	lmoy:LMOSLCC2479_2627
ko:K06885	lmoy:LMOSLCC2479_2628
ko:K08281	lmoy:LMOSLCC2479_2635
ko:K16264	lmoy:LMOSLCC2479_2639
ko:K02003	lmoy:LMOSLCC2479_2645
ko:K02379	lmoy:LMOSLCC2479_2649
ko:K00123	lmoy:LMOSLCC2479_2651
ko:K02396	lmoy:LMOSLCC2479_0715
ko:K02397	lmoy:LMOSLCC2479_0716
ko:K02407	lmoy:LMOSLCC2479_0717
ko:K02422	lmoy:LMOSLCC2479_0718
ko:K02387	lmoy:LMOSLCC2479_0720
ko:K02388	lmoy:LMOSLCC2479_0721
ko:K02408	lmoy:LMOSLCC2479_0722
ko:K02409	lmoy:LMOSLCC2479_0723
ko:K02410	lmoy:LMOSLCC2479_0724
ko:K02411	lmoy:LMOSLCC2479_0725
ko:K02412	lmoy:LMOSLCC2479_0726
ko:K00820	lmoy:LMOSLCC2479_0736
ko:K07726	lmoy:LMOSLCC2479_0742
ko:K02529	lmoy:LMOSLCC2479_0743
ko:K01783	lmoy:LMOSLCC2479_0744
ko:K01808	lmoy:LMOSLCC2479_0745
ko:K01223	lmoy:LMOSLCC2479_0748
ko:K09816	lmoy:LMOSLCC2479_1507
ko:K09817	lmoy:LMOSLCC2479_1508
ko:K01151	lmoy:LMOSLCC2479_1510
ko:K03527	lmoy:LMOSLCC2479_1512
ko:K06967	lmoy:LMOSLCC2479_1514
ko:K03086	lmoy:LMOSLCC2479_1515
ko:K09768	lmoy:LMOSLCC2479_1517
ko:K09773	lmoy:LMOSLCC2479_1518
ko:K01879	lmoy:LMOSLCC2479_1519
ko:K01878	lmoy:LMOSLCC2479_1520
ko:K03584	lmoy:LMOSLCC2479_1521
ko:K07042	lmoy:LMOSLCC2479_1526
ko:K07037	lmoy:LMOSLCC2479_1527
ko:K09117	lmoy:LMOSLCC2479_1529
ko:K02970	lmoy:LMOSLCC2479_1530
ko:K09761	lmoy:LMOSLCC2479_1531
ko:K02687	lmoy:LMOSLCC2479_1532
ko:K03686	lmoy:LMOSLCC2479_1533
ko:K04043	lmoy:LMOSLCC2479_1534
ko:K03687	lmoy:LMOSLCC2479_1535
ko:K03705	lmoy:LMOSLCC2479_1536
ko:K07238	lmoy:LMOSLCC2479_0415
ko:K03088	lmoy:LMOSLCC2479_0424
ko:K05340	lmoy:LMOSLCC2479_0425
ko:K01421	lmoy:LMOSLCC2479_0447
ko:K01442	lmoy:LMOSLCC2479_0449
ko:K03924	lmoy:LMOSLCC2479_0458
ko:K09703	lmoy:LMOSLCC2479_0461
ko:K02232	lmoy:LMOSLCC2479_1205
ko:K09936	lmoy:LMOSLCC2479_1207
ko:K09936	lmoy:LMOSLCC2479_1208
ko:K03437	lmoy:LMOSLCC2479_1215
ko:K01889	lmoy:LMOSLCC2479_1218
ko:K01890	lmoy:LMOSLCC2479_1219
ko:K02003	lmoy:LMOSLCC2479_1220
ko:K03648	lmoy:LMOSLCC2479_1224
ko:K09888	lmoy:LMOSLCC2479_1226
ko:K02347	lmoy:LMOSLCC2479_1228
ko:K07456	lmoy:LMOSLCC2479_1229
ko:K03671	lmoy:LMOSLCC2479_1230
ko:K02851	lmoy:LMOSLCC2479_0971
ko:K02851	lmoy:LMOSLCC2479_2582
ko:K07045	lmoy:LMOSLCC2479_0879
ko:K16644	lmoy:LMOSLCC2479_0204
ko:K15770	lmoy:LMOSLCC2479_2190
ko:K07483	lmoy:LMOSLCC2479_0668
ko:K01985	lmoy:LMOSLCC2479rRNA03
ko:K13731	lmoy:LMOSLCC2479_0437
ko:K15772	lmoy:LMOSLCC2479_2188
ko:K15771	lmoy:LMOSLCC2479_2189
ko:K16786	lmoy:LMOSLCC2479_2667
ko:K02768	lmoy:LMOSLCC2479_0427
ko:K02025	lmoy:LMOSLCC2479_0774
ko:K02026	lmoy:LMOSLCC2479_0180
ko:K16787	lmoy:LMOSLCC2479_2666
ko:K16785	lmoy:LMOSLCC2479_2665
ko:K09681	lmoy:LMOSLCC2479_1799
ko:K00980	lmoy:LMOSLCC2479_1103
ko:K16789	lmoy:LMOSLCC2479_1489
ko:K01838	lmoy:LMOSLCC2479_2910
ko:K02768	lmoy:LMOSLCC2479_0400
ko:K02768	lmoy:LMOSLCC2479_2202
ko:K02768	lmoy:LMOSLCC2479_0638
ko:K02025	lmoy:LMOSLCC2479_0179
ko:K13052	lmoy:LMOSLCC2479_0217
ko:K03328	lmoy:LMOSLCC2479_0215
ko:K10947	lmoy:LMOSLCC2479_0606
ko:K01990	lmoy:LMOSLCC2479_0751
ko:K07483	lmoy:LMOSLCC2479_0840
ko:K01426	lmoy:LMOSLCC2479_0857
ko:K04757	lmoy:LMOSLCC2479_0905
ko:K07284	lmoy:LMOSLCC2479_0941
ko:K10947	lmoy:LMOSLCC2479_0729
ko:K03574	lmoy:LMOSLCC2479_1305
ko:K00634	lmoy:LMOSLCC2479_1429
ko:K01271	lmoy:LMOSLCC2479_1640
ko:K03574	lmoy:LMOSLCC2479_1684
ko:K16785	lmoy:LMOSLCC2479_2700
ko:K01990	lmoy:LMOSLCC2479_1788
ko:K03574	lmoy:LMOSLCC2479_2429
ko:K02768	lmoy:LMOSLCC2479_0357
ko:K11050	lmoy:LMOSLCC2479_0999
ko:K16651	lmoy:LMOSLCC2479_1166
ko:K18344	lmoy:LMOSLCC2479_1073
ko:K16898	lmoy:LMOSLCC2479_2331
ko:K14219	lmoy:LMOSLCC2479tRNA32
ko:K14229	lmoy:LMOSLCC2479tRNA01
ko:K01834	lmoy:LMOSLCC2479_2270
ko:K01980	lmoy:LMOSLCC2479rRNA05
ko:K14219	lmoy:LMOSLCC2479tRNA17
ko:K14218	lmoy:LMOSLCC2479tRNA10
ko:K14226	lmoy:LMOSLCC2479tRNA50
ko:K14231	lmoy:LMOSLCC2479tRNA24
ko:K14230	lmoy:LMOSLCC2479tRNA26
ko:K14230	lmoy:LMOSLCC2479tRNA28
ko:K14230	lmoy:LMOSLCC2479tRNA29
ko:K14236	lmoy:LMOSLCC2479tRNA43
ko:K14223	lmoy:LMOSLCC2479tRNA44
ko:K14223	lmoy:LMOSLCC2479tRNA49
ko:K14222	lmoy:LMOSLCC2479tRNA47
ko:K14235	lmoy:LMOSLCC2479tRNA51
ko:K02030	lmoy:LMOSLCC2479_1802
ko:K02006	lmoy:LMOSLCC2479_1204
ko:K14224	lmoy:LMOSLCC2479tRNA14
ko:K01980	lmoy:LMOSLCC2479rRNA02
ko:K14234	lmoy:LMOSLCC2479tRNA63
ko:K14225	lmoy:LMOSLCC2479tRNA06
ko:K14225	lmoy:LMOSLCC2479tRNA16
ko:K14226	lmoy:LMOSLCC2479tRNA23
ko:K14237	lmoy:LMOSLCC2479tRNA65
ko:K02226	lmoy:LMOSLCC2479_1145
ko:K18345	lmoy:LMOSLCC2479_1074
ko:K14220	lmoy:LMOSLCC2479tRNA12
ko:K14229	lmoy:LMOSLCC2479tRNA04
ko:K11991	lmoy:LMOSLCC2479_2797
ko:K01985	lmoy:LMOSLCC2479rRNA13
ko:K01985	lmoy:LMOSLCC2479rRNA06
ko:K01985	lmoy:LMOSLCC2479rRNA10
ko:K01985	lmoy:LMOSLCC2479rRNA07
ko:K01985	lmoy:LMOSLCC2479rRNA16
ko:K07979	lmoy:LMOSLCC2479_2306
