ko:K06896	efl:EF62_1332
ko:K06969	efl:EF62_1709
ko:K09748	efl:EF62_1713
ko:K02600	efl:EF62_1714
ko:K07742	efl:EF62_1715
ko:K02519	efl:EF62_1717
ko:K02834	efl:EF62_1718
ko:K06941	efl:EF62_2412
ko:K03466	efl:EF62_2416
ko:K03885	efl:EF62_2417
ko:K02548	efl:EF62_2418
ko:K00426	efl:EF62_2422
ko:K00425	efl:EF62_2423
ko:K13653	efl:EF62_2425
ko:K00566	efl:EF62_2432
ko:K04487	efl:EF62_2434
ko:K00948	efl:EF62_2435
ko:K12410	efl:EF62_0618
ko:K01056	efl:EF62_0624
ko:K03723	efl:EF62_0625
ko:K07571	efl:EF62_0630
ko:K04075	efl:EF62_0631
ko:K00760	efl:EF62_0632
ko:K03798	efl:EF62_0633
ko:K04083	efl:EF62_0634
ko:K04567	efl:EF62_0636
ko:K01223	efl:EF62_0660
ko:K01223	efl:EF62_0661
ko:K13530	efl:EF62_0664
ko:K13531	efl:EF62_0665
ko:K01246	efl:EF62_0666
ko:K06950	efl:EF62_0667
ko:K00208	efl:EF62_0670
ko:K09458	efl:EF62_0671
ko:K02372	efl:EF62_0672
ko:K01126	efl:EF62_1160
ko:K03704	efl:EF62_1162
ko:K03092	efl:EF62_1164
ko:K00789	efl:EF62_1166
ko:K02003	efl:EF62_1176
ko:K07139	efl:EF62_1178
ko:K01869	efl:EF62_1184
ko:K02029	efl:EF62_1189
ko:K15580	efl:EF62_1190
ko:K02897	efl:EF62_1193
ko:K00876	efl:EF62_1197
ko:K02761	efl:EF62_1206
ko:K01465	efl:EF62_1209
ko:K01042	efl:EF62_1210
ko:K00874	efl:EF62_1213
ko:K07447	efl:EF62_1648
ko:K01652	efl:EF62_1657
ko:K09692	efl:EF62_2482
ko:K07260	efl:EF62_2955
ko:K13677	efl:EF62_2987
ko:K00691	efl:EF62_1330
ko:K06216	efl:EF62_0046
ko:K10041	efl:EF62_1571
ko:K09946	efl:EF62_2398
ko:K07030	efl:EF62_0180
ko:K07706	efl:EF62_0183
ko:K00949	efl:EF62_0187
ko:K02793	efl:EF62_0206
ko:K02795	efl:EF62_0209
ko:K00033	efl:EF62_0212
ko:K03486	efl:EF62_0228
ko:K12556	efl:EF62_1425
ko:K03709	efl:EF62_1439
ko:K02121	efl:EF62_1873
ko:K02122	efl:EF62_1875
ko:K02117	efl:EF62_1876
ko:K02118	efl:EF62_1877
ko:K02120	efl:EF62_1878
ko:K03488	efl:EF62_1893
ko:K02806	efl:EF62_1896
ko:K03711	efl:EF62_1907
ko:K00244	efl:EF62_2728
ko:K10039	efl:EF62_1570
ko:K00852	efl:EF62_0048
ko:K03475	efl:EF62_0051
ko:K02822	efl:EF62_0052
ko:K01077	efl:EF62_0059
ko:K02004	efl:EF62_0071
ko:K02005	efl:EF62_0073
ko:K01784	efl:EF62_2466
ko:K09153	efl:EF62_2484
ko:K15582	efl:EF62_1283
ko:K03294	efl:EF62_1302
ko:K03177	efl:EF62_1736
ko:K03095	efl:EF62_1755
ko:K12554	efl:EF62_2450
ko:K03713	efl:EF62_2461
ko:K07584	efl:EF62_1347
ko:K00616	efl:EF62_2583
ko:K09684	efl:EF62_0080
ko:K01466	efl:EF62_0083
ko:K01727	efl:EF62_0109
ko:K01261	efl:EF62_0116
ko:K02745	efl:EF62_0122
ko:K02744	efl:EF62_0123
ko:K03478	efl:EF62_0125
ko:K01641	efl:EF62_1814
ko:K00626	efl:EF62_1815
ko:K00054	efl:EF62_1816
ko:K01258	efl:EF62_1834
ko:K07027	efl:EF62_1836
ko:K02775	efl:EF62_2595
ko:K04488	efl:EF62_2613
ko:K02076	efl:EF62_2636
ko:K01835	efl:EF62_2643
ko:K07570	efl:EF62_0003
ko:K03768	efl:EF62_0006
ko:K01119	efl:EF62_0009
ko:K03499	efl:EF62_0017
ko:K11618	efl:EF62_0018
ko:K11617	efl:EF62_0019
ko:K06147	efl:EF62_1314
ko:K06147	efl:EF62_1315
ko:K01104	efl:EF62_0135
ko:K01258	efl:EF62_0154
ko:K07032	efl:EF62_0165
ko:K09705	efl:EF62_0166
ko:K02035	efl:EF62_0172
ko:K02033	efl:EF62_0174
ko:K01785	efl:EF62_1328
ko:K15051	efl:EF62_1762
ko:K02004	efl:EF62_1764
ko:K07192	efl:EF62_1766
ko:K08234	efl:EF62_2508
ko:K07720	efl:EF62_2512
ko:K06147	efl:EF62_2521
ko:K06147	efl:EF62_2522
ko:K00625	efl:EF62_1322
ko:K02119	efl:EF62_1874
ko:K07098	efl:EF62_1407
ko:K09963	efl:EF62_2655
ko:K02238	efl:EF62_2666
ko:K07177	efl:EF62_2669
ko:K01262	efl:EF62_1408
ko:K01958	efl:EF62_2675
ko:K01092	efl:EF62_2680
ko:K01409	efl:EF62_2690
ko:K01222	efl:EF62_1862
ko:K03647	efl:EF62_1869
ko:K02123	efl:EF62_1871
ko:K02124	efl:EF62_1872
ko:K00088	efl:EF62_0353
ko:K10254	efl:EF62_0362
ko:K02782	efl:EF62_0365
ko:K02783	efl:EF62_0365
ko:K02783	efl:EF62_0366
ko:K03491	efl:EF62_0368
ko:K00068	efl:EF62_0369
ko:K05966	efl:EF62_0374
ko:K00027	efl:EF62_0375
ko:K01571	efl:EF62_0376
ko:K01572	efl:EF62_0383
ko:K06346	efl:EF62_0389
ko:K03574	efl:EF62_1161
ko:K03930	efl:EF62_1168
ko:K02004	efl:EF62_1175
ko:K06183	efl:EF62_1194
ko:K01560	efl:EF62_1195
ko:K09963	efl:EF62_1208
ko:K00027	efl:EF62_1651
ko:K02052	efl:EF62_1665
ko:K02055	efl:EF62_1666
ko:K07404	efl:EF62_2284
ko:K03326	efl:EF62_2286
ko:K00852	efl:EF62_2288
ko:K07343	efl:EF62_0882
ko:K01788	efl:EF62_0907
ko:K02795	efl:EF62_0924
ko:K02793	efl:EF62_0927
ko:K00854	efl:EF62_0929
ko:K02049	efl:EF62_1507
ko:K02050	efl:EF62_1508
ko:K04750	efl:EF62_1518
ko:K01785	efl:EF62_1521
ko:K01784	efl:EF62_1523
ko:K07052	efl:EF62_2029
ko:K00929	efl:EF62_2040
ko:K00059	efl:EF62_2045
ko:K02004	efl:EF62_2050
ko:K07304	efl:EF62_2059
ko:K01243	efl:EF62_2853
ko:K01515	efl:EF62_2855
ko:K03810	efl:EF62_2888
ko:K02342	efl:EF62_2890
ko:K03386	efl:EF62_2893
ko:K02004	efl:EF62_2903
ko:K07491	efl:EF62_0507
ko:K00867	efl:EF62_0540
ko:K00564	efl:EF62_0542
ko:K01488	efl:EF62_0543
ko:K01619	efl:EF62_0546
ko:K01489	efl:EF62_0547
ko:K02056	efl:EF62_0550
ko:K03783	efl:EF62_0560
ko:K03498	efl:EF62_0684
ko:K01372	efl:EF62_0691
ko:K06286	efl:EF62_0703
ko:K07305	efl:EF62_0235
ko:K01439	efl:EF62_0249
ko:K09815	efl:EF62_0274
ko:K02793	efl:EF62_0278
ko:K02795	efl:EF62_0280
ko:K03647	efl:EF62_0794
ko:K07035	efl:EF62_0813
ko:K01006	efl:EF62_1458
ko:K09963	efl:EF62_1915
ko:K06889	efl:EF62_1916
ko:K04763	efl:EF62_1917
ko:K05337	efl:EF62_1923
ko:K00974	efl:EF62_1937
ko:K03856	efl:EF62_1942
ko:K04517	efl:EF62_1945
ko:K04518	efl:EF62_1948
ko:K03316	efl:EF62_1954
ko:K07009	efl:EF62_2754
ko:K06147	efl:EF62_2760
ko:K06147	efl:EF62_2761
ko:K02755	efl:EF62_2765
ko:K02756	efl:EF62_2765
ko:K02757	efl:EF62_2765
ko:K03488	efl:EF62_2766
ko:K01916	efl:EF62_2789
ko:K07052	efl:EF62_2798
ko:K05845	efl:EF62_1047
ko:K05846	efl:EF62_1047
ko:K12555	efl:EF62_1052
ko:K03698	efl:EF62_1056
ko:K07533	efl:EF62_1057
ko:K00882	efl:EF62_1066
ko:K01635	efl:EF62_1069
ko:K07586	efl:EF62_1070
ko:K04763	efl:EF62_1076
ko:K03697	efl:EF62_1091
ko:K11189	efl:EF62_1094
ko:K08483	efl:EF62_1095
ko:K03048	efl:EF62_1596
ko:K03700	efl:EF62_1599
ko:K02086	efl:EF62_1604
ko:K01424	efl:EF62_1613
ko:K02793	efl:EF62_2172
ko:K02795	efl:EF62_2174
ko:K00917	efl:EF62_2177
ko:K01635	efl:EF62_2178
ko:K07706	efl:EF62_2190
ko:K02795	efl:EF62_2207
ko:K01104	efl:EF62_1230
ko:K07729	efl:EF62_1245
ko:K07098	efl:EF62_1675
ko:K01989	efl:EF62_1695
ko:K05832	efl:EF62_1696
ko:K05833	efl:EF62_1697
ko:K02248	efl:EF62_2346
ko:K02793	efl:EF62_0410
ko:K02794	efl:EF62_0410
ko:K02795	efl:EF62_0411
ko:K09698	efl:EF62_0433
ko:K09815	efl:EF62_0442
ko:K09685	efl:EF62_0445
ko:K02775	efl:EF62_0938
ko:K02821	efl:EF62_0951
ko:K03784	efl:EF62_0561
ko:K00939	efl:EF62_0598
ko:K02799	efl:EF62_0738
ko:K02800	efl:EF62_0738
ko:K02798	efl:EF62_0740
ko:K02799	efl:EF62_0743
ko:K02800	efl:EF62_0743
ko:K02798	efl:EF62_0744
ko:K02004	efl:EF62_0750
ko:K00046	efl:EF62_0759
ko:K02552	efl:EF62_0766
ko:K08680	efl:EF62_0768
ko:K02549	efl:EF62_0769
ko:K02795	efl:EF62_0774
ko:K02793	efl:EF62_0783
ko:K02564	efl:EF62_0788
ko:K00851	efl:EF62_0292
ko:K02236	efl:EF62_0293
ko:K07069	efl:EF62_0298
ko:K00805	efl:EF62_0313
ko:K00805	efl:EF62_0314
ko:K00383	efl:EF62_0323
ko:K03708	efl:EF62_0335
ko:K06147	efl:EF62_0973
ko:K06147	efl:EF62_0974
ko:K02822	efl:EF62_0952
ko:K00657	efl:EF62_1538
ko:K00784	efl:EF62_2069
ko:K09787	efl:EF62_2077
ko:K07658	efl:EF62_2079
ko:K00841	efl:EF62_2082
ko:K01191	efl:EF62_2083
ko:K09704	efl:EF62_2084
ko:K01674	efl:EF62_2087
ko:K02823	efl:EF62_2091
ko:K02824	efl:EF62_2096
ko:K03469	efl:EF62_2104
ko:K03976	efl:EF62_2105
ko:K09976	efl:EF62_2109
ko:K03693	efl:EF62_2114
ko:K01784	efl:EF62_2935
ko:K00845	efl:EF62_2940
ko:K01934	efl:EF62_2943
ko:K06889	efl:EF62_2944
ko:K00882	efl:EF62_1104
ko:K03436	efl:EF62_1105
ko:K02433	efl:EF62_1111
ko:K09762	efl:EF62_1151
ko:K07668	efl:EF62_1638
ko:K07652	efl:EF62_1639
ko:K02004	efl:EF62_2233
ko:K02004	efl:EF62_2235
ko:K10563	efl:EF62_1253
ko:K03346	efl:EF62_1256
ko:K11144	efl:EF62_1257
ko:K01823	efl:EF62_1274
ko:K00938	efl:EF62_1275
ko:K01597	efl:EF62_1276
ko:K00869	efl:EF62_1277
ko:K03471	efl:EF62_1710
ko:K02246	efl:EF62_2407
ko:K02245	efl:EF62_2408
ko:K02244	efl:EF62_2409
ko:K02243	efl:EF62_2410
ko:K03294	efl:EF62_2411
ko:K00805	efl:EF62_2419
ko:K16012	efl:EF62_2420
ko:K16013	efl:EF62_2421
ko:K06910	efl:EF62_2429
ko:K08161	efl:EF62_2430
ko:K07052	efl:EF62_pC0008
ko:K04086	efl:EF62_0846
ko:K02530	efl:EF62_0861
ko:K01819	efl:EF62_0864
ko:K01819	efl:EF62_0865
ko:K00917	efl:EF62_0866
ko:K01635	efl:EF62_0867
ko:K02786	efl:EF62_0868
ko:K01220	efl:EF62_0870
ko:K00033	efl:EF62_1487
ko:K09825	efl:EF62_1965
ko:K06147	efl:EF62_1970
ko:K06147	efl:EF62_1971
ko:K03574	efl:EF62_1972
ko:K02808	efl:EF62_1977
ko:K02809	efl:EF62_1977
ko:K02810	efl:EF62_1977
ko:K02755	efl:EF62_1983
ko:K02756	efl:EF62_1983
ko:K02757	efl:EF62_1983
ko:K15986	efl:EF62_1993
ko:K11069	efl:EF62_2810
ko:K11071	efl:EF62_2812
ko:K11072	efl:EF62_2813
ko:K05363	efl:EF62_2819
ko:K06201	efl:EF62_2826
ko:K07816	efl:EF62_2830
ko:K06198	efl:EF62_2835
ko:K06147	efl:EF62_2839
ko:K07025	efl:EF62_2840
ko:K01788	efl:EF62_0453
ko:K01478	efl:EF62_0489
ko:K12373	efl:EF62_0497
ko:K07105	efl:EF62_0620
ko:K00016	efl:EF62_0623
ko:K03488	efl:EF62_0658
ko:K02755	efl:EF62_0659
ko:K02756	efl:EF62_0659
ko:K02757	efl:EF62_0659
ko:K00016	efl:EF62_1010
ko:K11041	efl:EF62_1014
ko:K01784	efl:EF62_1015
ko:K07104	efl:EF62_1024
ko:K05362	efl:EF62_1038
ko:K06183	efl:EF62_1040
ko:K03476	efl:EF62_1576
ko:K02821	efl:EF62_1577
ko:K03475	efl:EF62_1578
ko:K02822	efl:EF62_1579
ko:K05822	efl:EF62_1584
ko:K01759	efl:EF62_1590
ko:K06023	efl:EF62_2124
ko:K02242	efl:EF62_2140
ko:K02240	efl:EF62_2141
ko:K00059	efl:EF62_2146
ko:K06948	efl:EF62_2970
ko:K00059	efl:EF62_2978
ko:K02371	efl:EF62_2980
ko:K14232	efl:EF62_0339
ko:K14232	efl:EF62_0640
ko:K14235	efl:EF62_1501
ko:K14230	efl:EF62_0643
ko:K10040	efl:EF62_1569
ko:K16786	efl:EF62_2921
ko:K16787	efl:EF62_2921
ko:K03322	efl:EF62_1511
ko:K01834	efl:EF62_0956
ko:K01838	efl:EF62_1329
ko:K00073	efl:EF62_0721
ko:K01838	efl:EF62_0230
ko:K16509	efl:EF62_2837
ko:K03699	efl:EF62_1073
ko:K01834	efl:EF62_0567
ko:K01684	efl:EF62_2594
ko:K16511	efl:EF62_2836
ko:K01977	efl:EF62_0349
ko:K01977	efl:EF62_0637
ko:K01977	efl:EF62_1490
ko:K01977	efl:EF62_2992
ko:K01223	efl:EF62_1687
ko:K02054	efl:EF62_1663
ko:K02769	efl:EF62_1897
ko:K15583	efl:EF62_1284
ko:K02017	efl:EF62_1851
ko:K16137	efl:EF62_0835
ko:K03299	efl:EF62_2808
ko:K02794	efl:EF62_0409
ko:K01223	efl:EF62_1453
ko:K16169	efl:EF62_2552
ko:K10823	efl:EF62_1285
ko:K01223	efl:EF62_1982
ko:K05340	efl:EF62_1301
ko:K03321	efl:EF62_1294
ko:K15772	efl:EF62_1796
ko:K02851	efl:EF62_2493
ko:K18349	efl:EF62_2957
ko:K15770	efl:EF62_1798
ko:K00034	efl:EF62_2577
ko:K18350	efl:EF62_2956
ko:K16786	efl:EF62_0607
ko:K02026	efl:EF62_0012
ko:K16787	efl:EF62_0608
ko:K16785	efl:EF62_0609
ko:K16788	efl:EF62_1310
ko:K16789	efl:EF62_0130
ko:K02768	efl:EF62_1898
ko:K02025	efl:EF62_2529
ko:K02027	efl:EF62_0010
ko:K07705	efl:EF62_0264
ko:K15580	efl:EF62_0155
ko:K02778	efl:EF62_0908
ko:K02779	efl:EF62_0908
ko:K02025	efl:EF62_0013
ko:K08605	efl:EF62_2189
ko:K02030	efl:EF62_1187
ko:K07271	efl:EF62_2474
ko:K00634	efl:EF62_2041
ko:K16203	efl:EF62_2877
ko:K16786	efl:EF62_0971
ko:K16787	efl:EF62_0971
ko:K01485	efl:EF62_0723
ko:K11636	efl:EF62_2413
ko:K16785	efl:EF62_2452
ko:K14218	efl:EF62_0641
ko:K14218	efl:EF62_1491
ko:K14218	efl:EF62_2991
ko:K16786	efl:EF62_2453
ko:K16787	efl:EF62_2453
ko:K14234	efl:EF62_2445
ko:K11635	efl:EF62_2414
ko:K08986	efl:EF62_1644
ko:K01426	efl:EF62_0069
ko:K11991	efl:EF62_2500
ko:K16923	efl:EF62_2756
ko:K01990	efl:EF62_0277
ko:K01990	efl:EF62_2116
ko:K16785	efl:EF62_0970
ko:K16785	efl:EF62_2920
ko:K14237	efl:EF62_0346
ko:K14237	efl:EF62_1497
ko:K14229	efl:EF62_0345
ko:K14229	efl:EF62_0801
ko:K14228	efl:EF62_0344
ko:K14228	efl:EF62_0341
ko:K14234	efl:EF62_0343
ko:K14225	efl:EF62_0342
ko:K14219	efl:EF62_0340
ko:K14230	efl:EF62_0642
ko:K14230	efl:EF62_0645
ko:K14230	efl:EF62_0651
ko:K14233	efl:EF62_0644
ko:K14233	efl:EF62_0650
ko:K14233	efl:EF62_2950
ko:K14233	efl:EF62_0656
ko:K14221	efl:EF62_0646
ko:K14221	efl:EF62_0652
ko:K14224	efl:EF62_0649
ko:K14224	efl:EF62_0657
ko:K14224	efl:EF62_1496
ko:K14231	efl:EF62_0653
ko:K14219	efl:EF62_1345
ko:K14219	efl:EF62_1456
ko:K14233	efl:EF62_1495
ko:K14221	efl:EF62_1498
ko:K14231	efl:EF62_1499
ko:K14236	efl:EF62_1500
ko:K14236	efl:EF62_1768
ko:K14226	efl:EF62_1502
ko:K14223	efl:EF62_1503
ko:K14223	efl:EF62_1769
ko:K14222	efl:EF62_1504
ko:K14228	efl:EF62_1505
ko:K14228	efl:EF62_1756
ko:K14234	efl:EF62_2718
ko:K01426	efl:EF62_1122
ko:K10974	efl:EF62_0329
ko:K01985	efl:EF62_2989
ko:K01985	efl:EF62_0347
ko:K01985	efl:EF62_0639
ko:K01985	efl:EF62_1493
ko:K16925	efl:EF62_2922
ko:K16924	efl:EF62_2454
ko:K14227	efl:EF62_0648
ko:K14227	efl:EF62_0655
ko:K16926	efl:EF62_0972
ko:K04027	efl:EF62_2005
ko:K16898	efl:EF62_1564
ko:K16899	efl:EF62_1563
ko:K14225	efl:EF62_0647
ko:K14225	efl:EF62_0654
ko:K01980	efl:EF62_0638
ko:K01980	efl:EF62_0348
ko:K01980	efl:EF62_2990
ko:K01980	efl:EF62_1492
ko:K03574	efl:EF62_1591
ko:K11070	efl:EF62_2811
ko:K17319	efl:EF62_2517
ko:K17467	efl:EF62_0063
ko:K17195	efl:EF62_1900
ko:K01992	efl:EF62_1062
ko:K01992	efl:EF62_0184
ko:K02029	efl:EF62_1145
ko:K02030	efl:EF62_1145
ko:K02029	efl:EF62_1267
ko:K02030	efl:EF62_1267
ko:K01990	efl:EF62_2053
ko:K17319	efl:EF62_1676
ko:K17318	efl:EF62_2515
ko:K01990	efl:EF62_1061
ko:K01990	efl:EF62_1859
ko:K01992	efl:EF62_1860
ko:K01990	efl:EF62_0185
ko:K17318	efl:EF62_1678
ko:K01738	efl:EF62_0678
ko:K01760	efl:EF62_0679
ko:K02032	efl:EF62_0175
ko:K02028	efl:EF62_1188
ko:K01598	efl:EF62_2817
ko:K00951	efl:EF62_2335
ko:K02028	efl:EF62_1144
ko:K02028	efl:EF62_1266
ko:K17320	efl:EF62_2516
ko:K01537	efl:EF62_2305
ko:K17076	efl:EF62_0615
ko:K17465	efl:EF62_0065
ko:K17464	efl:EF62_0066
ko:K17466	efl:EF62_0064
ko:K17073	efl:EF62_0616
ko:K17074	efl:EF62_0616
ko:K17473	efl:EF62_0067
ko:K14230	efl:EF62_2350
ko:K14219	efl:EF62_1163
ko:K14235	efl:EF62_1377
ko:K14220	efl:EF62_1494
ko:K14220	efl:EF62_2988
ko:K14235	efl:EF62_2385
ko:K10112	efl:EF62_1311
ko:K17624	efl:EF62_2171
ko:K01992	efl:EF62_0276
ko:K01992	efl:EF62_2115
ko:K01533	efl:EF62_1249
ko:K10112	efl:EF62_0014
ko:K17686	efl:EF62_0687
ko:K17836	efl:EF62_1882
ko:K00226	efl:EF62_0674
ko:K01791	efl:EF62_0025
ko:K02026	efl:EF62_2528
ko:K02768	efl:EF62_2587
ko:K02768	efl:EF62_1068
ko:K02027	efl:EF62_2530
ko:K07284	efl:EF62_0133
ko:K07284	efl:EF62_1545
ko:K17828	efl:EF62_2090
ko:K00537	efl:EF62_2709
ko:K00661	efl:EF62_1519
ko:K00661	efl:EF62_0619
ko:K12574	efl:EF62_1630
ko:K01187	efl:EF62_1801
ko:K01187	efl:EF62_1978
ko:K02769	efl:EF62_2586
ko:K01487	efl:EF62_2649
ko:K18220	efl:EF62_0532
ko:K02809	efl:EF62_2653
ko:K02810	efl:EF62_2653
ko:K01071	efl:EF62_0698
ko:K18149	efl:EF62_2694
ko:K02770	efl:EF62_1899
ko:K02794	efl:EF62_0207
ko:K02794	efl:EF62_0279
ko:K02794	efl:EF62_0926
ko:K02794	efl:EF62_2175
ko:K02794	efl:EF62_2210
ko:K18231	efl:EF62_1864
ko:K03588	efl:EF62_1742
ko:K03529	efl:EF62_0170
ko:K07668	efl:EF62_2794
ko:K07025	efl:EF62_0860
ko:K07035	efl:EF62_2035
ko:K04750	efl:EF62_0425
ko:K03492	efl:EF62_0947
ko:K07862	efl:EF62_0949
ko:K07862	efl:EF62_0950
ko:K03475	efl:EF62_0953
ko:K15580	efl:EF62_0962
ko:K09815	efl:EF62_0982
ko:K02747	efl:EF62_0994
ko:K02747	efl:EF62_0995
ko:K15580	efl:EF62_2164
ko:K15580	efl:EF62_pB0002
ko:K12308	efl:EF62_2198
ko:K02793	efl:EF62_2209
ko:K12308	efl:EF62_2211
ko:K15580	efl:EF62_pC0007
ko:K02795	efl:EF62_0775
ko:K08161	efl:EF62_2431
ko:K07459	efl:EF62_0817
ko:K03742	efl:EF62_0243
ko:K00571	efl:EF62_2344
ko:K03328	efl:EF62_0626
ko:K02003	efl:EF62_1794
ko:K02004	efl:EF62_1794
ko:K03293	efl:EF62_1555
ko:K00020	efl:EF62_2985
ko:K01271	efl:EF62_2118
ko:K01239	efl:EF62_2755
ko:K02005	efl:EF62_0748
ko:K00001	efl:EF62_0496
ko:K09684	efl:EF62_0715
ko:K16869	efl:EF62_1594
ko:K04028	efl:EF62_2001
ko:K09022	efl:EF62_2744
ko:K07483	efl:EF62_0855
ko:K06889	efl:EF62_1885
ko:K09022	efl:EF62_0419
ko:K18581	efl:EF62_2531
ko:K03703	efl:EF62_2125
ko:K02031	efl:EF62_0176
ko:K02001	efl:EF62_2803
ko:K02002	efl:EF62_2803
ko:K07104	efl:EF62_2759
ko:K02428	efl:EF62_0319
ko:K18672	efl:EF62_2457
ko:K18682	efl:EF62_0241
ko:K18692	efl:EF62_1829
ko:K18924	efl:EF62_0694
ko:K18925	efl:EF62_0695
ko:K07171	efl:EF62_1198
ko:K02476	efl:EF62_1653
ko:K18892	efl:EF62_1172
ko:K03790	efl:EF62_0153
ko:K18891	efl:EF62_1171
ko:K07171	efl:EF62_1222
ko:K09693	efl:EF62_2481
ko:K18929	efl:EF62_1559
ko:K18888	efl:EF62_0027
ko:K18887	efl:EF62_0028
ko:K18928	efl:EF62_1558
ko:K03832	efl:EF62_0253
ko:K03169	efl:EF62_0853
ko:K03497	efl:EF62_0358
ko:K03496	efl:EF62_0359
ko:K03502	efl:EF62_1532
ko:K03111	efl:EF62_0400
ko:K05593	efl:EF62_2959
ko:K07467	efl:EF62_0521
ko:K03205	efl:EF62_pB0027
ko:K03111	efl:EF62_pB0044
ko:K03502	efl:EF62_pB0058
ko:K07467	efl:EF62_2253
ko:K03496	efl:EF62_pC0011
ko:K07473	efl:EF62_pC0032
ko:K03111	efl:EF62_pC0034
ko:K03111	efl:EF62_pC0045
ko:K03169	efl:EF62_2426
ko:K07483	efl:EF62_0831
ko:K07483	efl:EF62_2219
ko:K19002	efl:EF62_2986
ko:K00335	efl:EF62_1841
ko:K13052	efl:EF62_0629
ko:K07483	efl:EF62_1698
ko:K18979	efl:EF62_1958
ko:K19005	efl:EF62_2184
ko:K19005	efl:EF62_1708
ko:K07498	efl:EF62_2581
ko:K07498	efl:EF62_2600
ko:K07498	efl:EF62_0827
ko:K07498	efl:EF62_0810
ko:K19157	efl:EF62_pC0031
ko:K19225	efl:EF62_2942
ko:K02475	efl:EF62_1654
ko:K00798	efl:EF62_2016
ko:K01710	efl:EF62_2487
ko:K02777	efl:EF62_0909
ko:K05881	efl:EF62_1810
ko:K07448	efl:EF62_0101
ko:K01215	efl:EF62_1800
ko:K12952	efl:EF62_1711
ko:K03722	efl:EF62_2562
ko:K07496	efl:EF62_1286
ko:K00839	efl:EF62_0079
ko:K12952	efl:EF62_1902
ko:K19505	efl:EF62_2320
ko:K19302	efl:EF62_1179
ko:K19350	efl:EF62_2874
ko:K06867	efl:EF62_0710
ko:K21977	efl:EF62_2816
ko:K11203	efl:EF62_2585
ko:K19507	efl:EF62_2318
ko:K19504	efl:EF62_2315
ko:K06881	efl:EF62_1825
ko:K03483	efl:EF62_0739
ko:K02796	efl:EF62_0208
ko:K02796	efl:EF62_0281
ko:K02796	efl:EF62_0925
ko:K02796	efl:EF62_0412
ko:K02796	efl:EF62_2206
ko:K02796	efl:EF62_0776
ko:K19506	efl:EF62_2319
ko:K19510	efl:EF62_2314
ko:K19508	efl:EF62_2317
ko:K19509	efl:EF62_2316
ko:K00526	efl:EF62_0792
ko:K02796	efl:EF62_2173
ko:K19784	efl:EF62_2074
ko:K02538	efl:EF62_2588
ko:K02538	efl:EF62_1895
ko:K02107	efl:EF62_1870
ko:K19802	efl:EF62_1890
ko:K21636	efl:EF62_2906
ko:K19971	efl:EF62_0967
ko:K10830	efl:EF62_0965
ko:K19972	efl:EF62_0966
ko:K05770	efl:EF62_2497
ko:K19975	efl:EF62_2438
ko:K19976	efl:EF62_2437
ko:K19973	efl:EF62_2436
ko:K20074	efl:EF62_0191
ko:K12132	efl:EF62_0190
ko:K20265	efl:EF62_1004
ko:K20265	efl:EF62_1119
ko:K02777	efl:EF62_1331
ko:K20107	efl:EF62_1331
ko:K20108	efl:EF62_1331
ko:K20377	efl:EF62_pB0004
ko:K20379	efl:EF62_0310
ko:K20382	efl:EF62_pC0058
ko:K20382	efl:EF62_pB0012
ko:K20444	efl:EF62_2480
ko:K20444	efl:EF62_2479
ko:K00525	efl:EF62_0793
ko:K20345	efl:EF62_pC0023
ko:K20344	efl:EF62_pC0024
ko:K20534	efl:EF62_2465
ko:K18889	efl:EF62_2108
ko:K18890	efl:EF62_2107
ko:K22103	efl:EF62_1025
ko:K02790	efl:EF62_0417
ko:K02791	efl:EF62_0417
ko:K02777	efl:EF62_2657
ko:K22457	efl:EF62_2560
ko:K01208	efl:EF62_1799
ko:K01154	efl:EF62_2601
ko:K01768	efl:EF62_1084
ko:K21064	efl:EF62_1476
ko:K21064	efl:EF62_1477
ko:K08968	efl:EF62_1517
ko:K06191	efl:EF62_0795
ko:K01174	efl:EF62_pC0033
ko:K07455	efl:EF62_2391
ko:K02315	efl:EF62_1723
ko:K07313	efl:EF62_1753
ko:K01286	efl:EF62_0198
ko:K03553	efl:EF62_0242
ko:K02316	efl:EF62_1903
ko:K06217	efl:EF62_2633
ko:K01493	efl:EF62_2667
ko:K00560	efl:EF62_1956
ko:K00287	efl:EF62_1957
ko:K02314	efl:EF62_0404
ko:K00857	efl:EF62_2726
ko:K01520	efl:EF62_0429
ko:K13730	efl:EF62_2845
ko:K03546	efl:EF62_2848
ko:K04068	efl:EF62_2907
ko:K01174	efl:EF62_pB0046
ko:K21298	efl:EF62_1683
ko:K02335	efl:EF62_1252
ko:K19577	efl:EF62_2925
ko:K05910	efl:EF62_1655
ko:K14230	efl:EF62_2351
ko:K01101	efl:EF62_1633
ko:K01759	efl:EF62_1130
ko:K07149	efl:EF62_2306
ko:K03651	efl:EF62_1984
ko:K21471	efl:EF62_0137
ko:K21471	efl:EF62_0726
ko:K21713	efl:EF62_0697
ko:K21567	efl:EF62_0007
ko:K21828	efl:EF62_0492
ko:K21929	efl:EF62_1027
ko:K22010	efl:EF62_2013
ko:K21993	efl:EF62_0479
ko:K21993	efl:EF62_1838
ko:K22043	efl:EF62_2641
ko:K00936	efl:EF62_2012
ko:K22044	efl:EF62_1586
