ko:K18929	cjen:N755_00068
ko:K01524	cjen:N755_00387
ko:K01633	cjen:N755_00390
ko:K08591	cjen:N755_00391
ko:K00428	cjen:N755_00392
ko:K03431	cjen:N755_00393
ko:K03101	cjen:N755_00394
ko:K08973	cjen:N755_00395
ko:K00412	cjen:N755_01185
ko:K00411	cjen:N755_01186
ko:K03893	cjen:N755_01187
ko:K03495	cjen:N755_01188
ko:K11103	cjen:N755_01193
ko:K03306	cjen:N755_01195
ko:K01465	cjen:N755_01196
ko:K00057	cjen:N755_01197
ko:K02434	cjen:N755_01198
ko:K07173	cjen:N755_01199
ko:K00549	cjen:N755_01202
ko:K00297	cjen:N755_01203
ko:K02108	cjen:N755_01204
ko:K04485	cjen:N755_01205
ko:K03110	cjen:N755_01206
ko:K07058	cjen:N755_01211
ko:K05810	cjen:N755_01216
ko:K00793	cjen:N755_01217
ko:K04078	cjen:N755_01219
ko:K04077	cjen:N755_01220
ko:K05516	cjen:N755_01229
ko:K01091	cjen:N755_01233
ko:K01879	cjen:N755_01234
ko:K01779	cjen:N755_00077
ko:K03648	cjen:N755_00078
ko:K01744	cjen:N755_00079
ko:K07791	cjen:N755_00080
ko:K09859	cjen:N755_00081
ko:K07337	cjen:N755_00083
ko:K02888	cjen:N755_00086
ko:K02899	cjen:N755_00087
ko:K03979	cjen:N755_00088
ko:K00931	cjen:N755_00089
ko:K00604	cjen:N755_00090
ko:K03524	cjen:N755_00091
ko:K02109	cjen:N755_00094
ko:K02109	cjen:N755_00095
ko:K02113	cjen:N755_00096
ko:K02111	cjen:N755_00097
ko:K02115	cjen:N755_00098
ko:K02112	cjen:N755_00099
ko:K02114	cjen:N755_00100
ko:K03832	cjen:N755_00103
ko:K03641	cjen:N755_00104
ko:K03640	cjen:N755_00105
ko:K03775	cjen:N755_00107
ko:K00645	cjen:N755_00108
ko:K07042	cjen:N755_00113
ko:K06204	cjen:N755_00117
ko:K00783	cjen:N755_00118
ko:K01963	cjen:N755_00119
ko:K07277	cjen:N755_00121
ko:K02535	cjen:N755_00124
ko:K00872	cjen:N755_00126
ko:K02519	cjen:N755_00127
ko:K02834	cjen:N755_00128
ko:K09748	cjen:N755_00129
ko:K03412	cjen:N755_00931
ko:K01808	cjen:N755_00932
ko:K00759	cjen:N755_00934
ko:K01255	cjen:N755_00936
ko:K06942	cjen:N755_00937
ko:K01755	cjen:N755_00938
ko:K01610	cjen:N755_00939
ko:K01960	cjen:N755_00940
ko:K03308	cjen:N755_00941
ko:K03308	cjen:N755_00942
ko:K02110	cjen:N755_00943
ko:K07088	cjen:N755_00945
ko:K05939	cjen:N755_00946
ko:K02029	cjen:N755_00950
ko:K03070	cjen:N755_00952
ko:K03634	cjen:N755_00953
ko:K12251	cjen:N755_00957
ko:K00602	cjen:N755_00963
ko:K05801	cjen:N755_00964
ko:K01952	cjen:N755_00965
ko:K03650	cjen:N755_00966
ko:K03217	cjen:N755_00968
ko:K03536	cjen:N755_00969
ko:K02914	cjen:N755_00970
ko:K07107	cjen:N755_00974
ko:K15257	cjen:N755_00982
ko:K09457	cjen:N755_01755
ko:K00651	cjen:N755_01757
ko:K01740	cjen:N755_01758
ko:K02390	cjen:N755_01759
ko:K01159	cjen:N755_01760
ko:K03585	cjen:N755_00400
ko:K02970	cjen:N755_00403
ko:K09767	cjen:N755_00407
ko:K17247	cjen:N755_00411
ko:K01591	cjen:N755_00414
ko:K03625	cjen:N755_00415
ko:K00794	cjen:N755_00416
ko:K01627	cjen:N755_00417
ko:K03977	cjen:N755_00419
ko:K00891	cjen:N755_00420
ko:K01867	cjen:N755_00421
ko:K01875	cjen:N755_00422
ko:K00873	cjen:N755_00425
ko:K00116	cjen:N755_00426
ko:K03525	cjen:N755_00427
ko:K02435	cjen:N755_00430
ko:K03558	cjen:N755_00431
ko:K04567	cjen:N755_00433
ko:K00600	cjen:N755_00434
ko:K03749	cjen:N755_00436
ko:K00014	cjen:N755_00437
ko:K13292	cjen:N755_00439
ko:K00246	cjen:N755_00440
ko:K06152	cjen:N755_00447
ko:K06151	cjen:N755_00448
ko:K01524	cjen:N755_01237
ko:K03474	cjen:N755_01238
ko:K00097	cjen:N755_01239
ko:K01599	cjen:N755_01243
ko:K03703	cjen:N755_01246
ko:K01951	cjen:N755_01248
ko:K01945	cjen:N755_01250
ko:K04744	cjen:N755_01252
ko:K00962	cjen:N755_01253
ko:K01821	cjen:N755_01255
ko:K03686	cjen:N755_01260
ko:K06187	cjen:N755_01263
ko:K03620	cjen:N755_01265
ko:K01448	cjen:N755_01269
ko:K00459	cjen:N755_01270
ko:K01866	cjen:N755_01271
ko:K03060	cjen:N755_01273
ko:K09903	cjen:N755_01274
ko:K09811	cjen:N755_01276
ko:K09812	cjen:N755_01277
ko:K03439	cjen:N755_01278
ko:K06180	cjen:N755_01280
ko:K05837	cjen:N755_01281
ko:K14238	cjen:N755_01531
ko:K14222	cjen:N755_01647
ko:K14226	cjen:N755_01696
ko:K14232	cjen:N755_01697
ko:K14237	cjen:N755_01746
ko:K14219	cjen:N755_00528
ko:K14233	cjen:N755_01389
ko:K14225	cjen:N755_00503
ko:K14235	cjen:N755_00507
ko:K14219	cjen:N755_01694
ko:K14219	cjen:N755_01695
ko:K14230	cjen:N755_00603
ko:K14230	cjen:N755_01282
ko:K08173	cjen:N755_00374
ko:K11928	cjen:N755_01534
ko:K05540	cjen:N755_00115
ko:K14230	cjen:N755_01743
ko:K14223	cjen:N755_00604
ko:K14228	cjen:N755_00895
ko:K14228	cjen:N755_00944
ko:K14228	cjen:N755_01646
ko:K14220	cjen:N755_01225
ko:K14231	cjen:N755_01332
ko:K07318	cjen:N755_00250
ko:K00290	cjen:N755_00216
ko:K14224	cjen:N755_00211
ko:K14234	cjen:N755_00501
ko:K14234	cjen:N755_00504
ko:K14236	cjen:N755_00502
ko:K14218	cjen:N755_01745
ko:K01497	cjen:N755_01001
ko:K14225	cjen:N755_00896
ko:K14225	cjen:N755_01645
ko:K14233	cjen:N755_01648
ko:K14233	cjen:N755_01744
ko:K00254	cjen:N755_00824
ko:K18220	cjen:N755_01771
ko:K17938	cjen:N755_00225
ko:K05922	cjen:N755_01266
ko:K05927	cjen:N755_01267
ko:K05927	cjen:N755_01433
ko:K07812	cjen:N755_00299
ko:K00104	cjen:N755_01212
ko:K07003	cjen:N755_01406
ko:K03605	cjen:N755_01264
ko:K05366	cjen:N755_00542
ko:K01533	cjen:N755_01161
ko:K15912	cjen:N755_01124
ko:K15913	cjen:N755_01127
ko:K18284	cjen:N755_00109
ko:K17248	cjen:N755_01131
ko:K11013	cjen:N755_00073
ko:K11784	cjen:N755_00493
ko:K11785	cjen:N755_01703
ko:K18333	cjen:N755_00520
ko:K07171	cjen:N755_01327
ko:K18285	cjen:N755_01401
ko:K08068	cjen:N755_01146
ko:K15910	cjen:N755_01125
ko:K12097	cjen:N755_01778
ko:K02482	cjen:N755_00813
ko:K01174	cjen:N755_00985
ko:K00983	cjen:N755_01147
ko:K04753	cjen:N755_01548
ko:K06148	cjen:N755_01134
ko:K07216	cjen:N755_01223
ko:K02073	cjen:N755_00790
ko:K02073	cjen:N755_00791
ko:K03673	cjen:N755_00879
ko:K03406	cjen:N755_00961
ko:K06078	cjen:N755_01796
ko:K11103	cjen:N755_01192
ko:K02073	cjen:N755_01201
ko:K03326	cjen:N755_01422
ko:K03326	cjen:N755_01423
ko:K03743	cjen:N755_01067
ko:K18480	cjen:N755_01675
ko:K00241	cjen:N755_00469
ko:K06218	cjen:N755_01323
ko:K18925	cjen:N755_00343
ko:K10747	cjen:N755_01698
ko:K18930	cjen:N755_01608
ko:K00662	cjen:N755_01348
ko:K09797	cjen:N755_00032
ko:K03496	cjen:N755_00092
ko:K03497	cjen:N755_00093
ko:K03169	cjen:N755_01773
ko:K03205	cjen:N755_01779
ko:K03196	cjen:N755_01780
ko:K03204	cjen:N755_01782
ko:K03203	cjen:N755_01783
ko:K03201	cjen:N755_01784
ko:K03111	cjen:N755_01787
ko:K03111	cjen:N755_01077
ko:K18992	cjen:N755_00401
ko:K00335	cjen:N755_01597
ko:K03526	cjen:N755_00712
ko:K11014	cjen:N755_00072
ko:K07097	cjen:N755_00889
ko:K06992	cjen:N755_00054
ko:K15461	cjen:N755_01268
ko:K00557	cjen:N755_00849
ko:K00336	cjen:N755_01596
ko:K11015	cjen:N755_00071
ko:K17251	cjen:N755_01130
ko:K19147	cjen:N755_00186
ko:K17249	cjen:N755_01133
ko:K15897	cjen:N755_01365
ko:K15914	cjen:N755_01129
ko:K15915	cjen:N755_01128
ko:K00571	cjen:N755_01285
ko:K17250	cjen:N755_01132
ko:K01654	cjen:N755_01145
ko:K09951	cjen:N755_01552
ko:K15342	cjen:N755_01553
ko:K04771	cjen:N755_01228
ko:K19210	cjen:N755_00333
ko:K15899	cjen:N755_01364
ko:K00265	cjen:N755_00007
ko:K03892	cjen:N755_01586
ko:K06867	cjen:N755_01419
ko:K07496	cjen:N755_00774
ko:K07496	cjen:N755_01769
ko:K14218	cjen:N755_001780
ko:K14218	cjen:N755_01980
ko:K14218	cjen:N755_02125
ko:K19299	cjen:N755_01768
ko:K19416	cjen:N755_00273
ko:K06867	cjen:N755_00851
ko:K07216	cjen:N755_00065
ko:K07216	cjen:N755_00066
ko:K10938	cjen:N755_00323
ko:K19713	cjen:N755_00886
ko:K02406	cjen:N755_02455
ko:K02406	cjen:N755_02460
ko:K15669	cjen:N755_02485
ko:K03406	cjen:N755_02545
ko:K03313	cjen:N755_02560
ko:K13626	cjen:N755_02285
ko:K01934	cjen:N755_02325
ko:K00662	cjen:N755_02360
ko:K18430	cjen:N755_02405
ko:K18429	cjen:N755_02410
ko:K03406	cjen:N755_01865
ko:K03406	cjen:N755_01920
ko:K01662	cjen:N755_01935
ko:K01424	cjen:N755_001770
ko:K03786	cjen:N755_01825
ko:K01546	cjen:N755_00701
ko:K09458	cjen:N755_02005
ko:K07147	cjen:N755_00412
ko:K01546	cjen:N755_02080
ko:K00244	cjen:N755_01955
ko:K03073	cjen:N755_02015
ko:K09796	cjen:N755_00916
ko:K20810	cjen:N755_01830
ko:K01977	cjen:N755_001775
ko:K14227	cjen:N755_001785
ko:K14227	cjen:N755_01985
ko:K14227	cjen:N755_02130
ko:K01980	cjen:N755_001790
ko:K01980	cjen:N755_01990
ko:K01980	cjen:N755_02135
ko:K01985	cjen:N755_001795
ko:K01985	cjen:N755_02140
ko:K01985	cjen:N755_01995
ko:K14221	cjen:N755_02210
ko:K14221	cjen:N755_02230
ko:K14237	cjen:N755_02215
ko:K14237	cjen:N755_02235
ko:K14229	cjen:N755_02225
ko:K14229	cjen:N755_02240
ko:K03200	cjen:N755_01785
ko:K18431	cjen:N755_02425
ko:K03195	cjen:N755_01781
ko:K03199	cjen:N755_01790
ko:K00821	cjen:N755_00264
ko:K01023	cjen:N755_02180
ko:K06905	cjen:N755_00149
ko:K06906	cjen:N755_00151
ko:K06903	cjen:N755_00166
ko:K06907	cjen:N755_00173
ko:K06908	cjen:N755_00174
ko:K06223	cjen:N755_00179
ko:K03465	cjen:N755_00025
ko:K02314	cjen:N755_00595
ko:K02335	cjen:N755_00373
ko:K06919	cjen:N755_01797
ko:K02316	cjen:N755_01664
ko:K03553	cjen:N755_01702
ko:K02483	cjen:N755_01261
ko:K02483	cjen:N755_00389
ko:K02483	cjen:N755_01227
ko:K00525	cjen:N755_00023
ko:K02032	cjen:N755_01603
ko:K02481	cjen:N755_01030
ko:K01139	cjen:N755_01272
ko:K00526	cjen:N755_00268
ko:K03668	cjen:N755_00960
ko:K10938	cjen:N755_00798
ko:K21420	cjen:N755_01041
ko:K13695	cjen:N755_01679
ko:K01451	cjen:N755_00991
ko:K10026	cjen:N755_00204
ko:K21600	cjen:N755_00544
ko:K21929	cjen:N755_00972
ko:K03595	cjen:N755_00691
ko:K14441	cjen:N755_01488
ko:K17758	cjen:N755_00231
ko:K17759	cjen:N755_00231
ko:K22391	cjen:N755_00732
ko:K22424	cjen:N755_01452
ko:K22477	cjen:N755_00262
