ko:K00692	zmn:Za10_0866
ko:K03798	zmn:Za10_1558
ko:K04075	zmn:Za10_1559
ko:K00928	zmn:Za10_1564
ko:K02371	zmn:Za10_1565
ko:K08484	zmn:Za10_1566
ko:K00950	zmn:Za10_1570
ko:K03723	zmn:Za10_1571
ko:K03655	zmn:Za10_1572
ko:K01866	zmn:Za10_1573
ko:K09001	zmn:Za10_1574
ko:K01867	zmn:Za10_1576
ko:K03980	zmn:Za10_1577
ko:K03071	zmn:Za10_1578
ko:K08304	zmn:Za10_1581
ko:K01439	zmn:Za10_1584
ko:K03978	zmn:Za10_1589
ko:K03217	zmn:Za10_1590
ko:K08998	zmn:Za10_1591
ko:K03536	zmn:Za10_1592
ko:K07391	zmn:Za10_1593
ko:K04069	zmn:Za10_1640
ko:K09771	zmn:Za10_1643
ko:K03811	zmn:Za10_1644
ko:K08311	zmn:Za10_1646
ko:K00764	zmn:Za10_1650
ko:K01919	zmn:Za10_1651
ko:K09761	zmn:Za10_1652
ko:K00946	zmn:Za10_1653
ko:K03625	zmn:Za10_1654
ko:K00013	zmn:Za10_1655
ko:K00765	zmn:Za10_1656
ko:K05527	zmn:Za10_1657
ko:K06045	zmn:Za10_1658
ko:K09882	zmn:Za10_1661
ko:K09883	zmn:Za10_1662
ko:K03111	zmn:Za10_1663
ko:K04759	zmn:Za10_1664
ko:K04758	zmn:Za10_1665
ko:K02337	zmn:Za10_1666
ko:K01952	zmn:Za10_1672
ko:K01952	zmn:Za10_1673
ko:K06041	zmn:Za10_1674
ko:K07799	zmn:Za10_1675
ko:K07788	zmn:Za10_1676
ko:K07789	zmn:Za10_1677
ko:K00948	zmn:Za10_1683
ko:K02916	zmn:Za10_1685
ko:K02887	zmn:Za10_1686
ko:K01889	zmn:Za10_1688
ko:K01890	zmn:Za10_1689
ko:K02493	zmn:Za10_1692
ko:K02835	zmn:Za10_1693
ko:K01595	zmn:Za10_1705
ko:K00930	zmn:Za10_1707
ko:K00979	zmn:Za10_1711
ko:K01627	zmn:Za10_1712
ko:K01129	zmn:Za10_1715
ko:K01903	zmn:Za10_1718
ko:K03521	zmn:Za10_1719
ko:K03522	zmn:Za10_1720
ko:K01057	zmn:Za10_1721
ko:K02014	zmn:Za10_1722
ko:K06207	zmn:Za10_1724
ko:K02051	zmn:Za10_1730
ko:K03811	zmn:Za10_1733
ko:K01669	zmn:Za10_1740
ko:K09973	zmn:Za10_1743
ko:K01878	zmn:Za10_1744
ko:K01879	zmn:Za10_1745
ko:K01869	zmn:Za10_1754
ko:K03643	zmn:Za10_1755
ko:K02340	zmn:Za10_1756
ko:K00788	zmn:Za10_1763
ko:K03695	zmn:Za10_1764
ko:K01589	zmn:Za10_1767
ko:K01588	zmn:Za10_1768
ko:K03179	zmn:Za10_1769
ko:K11927	zmn:Za10_1770
ko:K03789	zmn:Za10_1773
ko:K03711	zmn:Za10_1775
ko:K03594	zmn:Za10_1776
ko:K02192	zmn:Za10_1777
ko:K01278	zmn:Za10_1779
ko:K00133	zmn:Za10_1780
ko:K03088	zmn:Za10_1783
ko:K01142	zmn:Za10_1786
ko:K11720	zmn:Za10_1792
ko:K00681	zmn:Za10_1798
ko:K03595	zmn:Za10_1802
ko:K03685	zmn:Za10_1808
ko:K12251	zmn:Za10_1811
ko:K10536	zmn:Za10_1812
ko:K02986	zmn:Za10_1813
ko:K02968	zmn:Za10_1820
ko:K07473	zmn:Za10_1826
ko:K07341	zmn:Za10_1828
ko:K03496	zmn:Za10_1832
ko:K07473	zmn:Za10_1845
ko:K03496	zmn:Za10_1847
ko:K01551	zmn:Za10_1862
ko:K03893	zmn:Za10_1863
ko:K11740	zmn:Za10_1868
ko:K03496	zmn:Za10_1882
ko:K02014	zmn:Za10_1884
ko:K07473	zmn:Za10_1886
ko:K07473	zmn:Za10_1913
ko:K07054	zmn:Za10_0013
ko:K06911	zmn:Za10_0016
ko:K03809	zmn:Za10_0018
ko:K06158	zmn:Za10_0002
ko:K06890	zmn:Za10_0005
ko:K01061	zmn:Za10_0006
ko:K01265	zmn:Za10_0008
ko:K01620	zmn:Za10_0009
ko:K01256	zmn:Za10_0011
ko:K00858	zmn:Za10_0022
ko:K03437	zmn:Za10_0023
ko:K02793	zmn:Za10_0025
ko:K06958	zmn:Za10_0026
ko:K02313	zmn:Za10_0001
ko:K00088	zmn:Za10_0030
ko:K02528	zmn:Za10_0037
ko:K00097	zmn:Za10_0038
ko:K03771	zmn:Za10_0039
ko:K04744	zmn:Za10_0040
ko:K01255	zmn:Za10_0041
ko:K02339	zmn:Za10_0042
ko:K01676	zmn:Za10_0043
ko:K06442	zmn:Za10_0044
ko:K00286	zmn:Za10_0047
ko:K03801	zmn:Za10_0048
ko:K07106	zmn:Za10_0052
ko:K02195	zmn:Za10_0080
ko:K02197	zmn:Za10_0082
ko:K02198	zmn:Za10_0083
ko:K02199	zmn:Za10_0084
ko:K02200	zmn:Za10_0085
ko:K02919	zmn:Za10_0090
ko:K03778	zmn:Za10_0094
ko:K09823	zmn:Za10_0096
ko:K01662	zmn:Za10_0097
ko:K01711	zmn:Za10_0100
ko:K09688	zmn:Za10_0103
ko:K07462	zmn:Za10_0104
ko:K01495	zmn:Za10_0105
ko:K02939	zmn:Za10_0107
ko:K02963	zmn:Za10_0108
ko:K02990	zmn:Za10_0109
ko:K00645	zmn:Za10_0110
ko:K00059	zmn:Za10_0111
ko:K03116	zmn:Za10_0113
ko:K03117	zmn:Za10_0114
ko:K03118	zmn:Za10_0115
ko:K08591	zmn:Za10_0134
ko:K04096	zmn:Za10_0135
ko:K03168	zmn:Za10_0136
ko:K01520	zmn:Za10_0138
ko:K13038	zmn:Za10_0139
ko:K03688	zmn:Za10_0140
ko:K03183	zmn:Za10_0141
ko:K10563	zmn:Za10_0142
ko:K00311	zmn:Za10_0145
ko:K00919	zmn:Za10_0147
ko:K08169	zmn:Za10_0133
ko:K09903	zmn:Za10_0172
ko:K02838	zmn:Za10_0173
ko:K00806	zmn:Za10_0174
ko:K00981	zmn:Za10_0175
ko:K00099	zmn:Za10_0176
ko:K11749	zmn:Za10_0177
ko:K02529	zmn:Za10_0060
ko:K01810	zmn:Za10_0121
ko:K00383	zmn:Za10_0122
ko:K03549	zmn:Za10_0123
ko:K07738	zmn:Za10_0128
ko:K00600	zmn:Za10_0129
ko:K01808	zmn:Za10_0130
ko:K00643	zmn:Za10_0131
ko:K01776	zmn:Za10_0132
ko:K02078	zmn:Za10_0062
ko:K09458	zmn:Za10_0063
ko:K07082	zmn:Za10_0064
ko:K01754	zmn:Za10_0066
ko:K06447	zmn:Za10_0068
ko:K01951	zmn:Za10_0073
ko:K03215	zmn:Za10_0150
ko:K01496	zmn:Za10_0151
ko:K01484	zmn:Za10_0156
ko:K01207	zmn:Za10_0157
ko:K06978	zmn:Za10_0160
ko:K03553	zmn:Za10_0161
ko:K07657	zmn:Za10_0163
ko:K02039	zmn:Za10_0164
ko:K07636	zmn:Za10_0165
ko:K01613	zmn:Za10_0166
ko:K01779	zmn:Za10_0168
ko:K02967	zmn:Za10_0170
ko:K02357	zmn:Za10_0171
ko:K13581	zmn:Za10_0300
ko:K13599	zmn:Za10_0202
ko:K00537	zmn:Za10_1864
ko:K06147	zmn:Za10_1690
ko:K11754	zmn:Za10_0675
ko:K01760	zmn:Za10_0905
ko:K02116	zmn:Za10_0599
ko:K00045	zmn:Za10_1741
ko:K13598	zmn:Za10_0201
ko:K01079	zmn:Za10_0189
ko:K01916	zmn:Za10_0399
ko:K13954	zmn:Za10_1617
ko:K13587	zmn:Za10_0658
ko:K13854	zmn:Za10_0874
ko:K14223	zmn:Za10_R0028
ko:K06147	zmn:Za10_1442
ko:K14230	zmn:Za10_R0004
ko:K14224	zmn:Za10_R0032
ko:K14228	zmn:Za10_R0024
ko:K14225	zmn:Za10_R0036
ko:K06147	zmn:Za10_1877
ko:K14237	zmn:Za10_R0063
ko:K14232	zmn:Za10_R0030
ko:K14220	zmn:Za10_R0001
ko:K03409	zmn:Za10_1110
ko:K14228	zmn:Za10_R0014
ko:K01983	zmn:Za10_R0019
ko:K07126	zmn:Za10_1149
ko:K13628	zmn:Za10_0818
ko:K14233	zmn:Za10_R0060
ko:K14232	zmn:Za10_R0061
ko:K00215	zmn:Za10_0565
ko:K02170	zmn:Za10_1227
ko:K00058	zmn:Za10_1534
ko:K11189	zmn:Za10_0024
ko:K01053	zmn:Za10_1568
ko:K01759	zmn:Za10_0517
ko:K04069	zmn:Za10_0279
ko:K02592	zmn:Za10_1408
ko:K02371	zmn:Za10_1302
ko:K04092	zmn:Za10_0692
ko:K01011	zmn:Za10_1732
ko:K02477	zmn:Za10_1485
ko:K00344	zmn:Za10_1181
ko:K08325	zmn:Za10_1455
ko:K14229	zmn:Za10_R0059
ko:K00799	zmn:Za10_0205
ko:K14232	zmn:Za10_R0035
ko:K14227	zmn:Za10_R0039
ko:K14227	zmn:Za10_R0054
ko:K14227	zmn:Za10_R0045
ko:K14223	zmn:Za10_R0015
ko:K14223	zmn:Za10_R0016
ko:K14233	zmn:Za10_R0020
ko:K14228	zmn:Za10_R0007
ko:K14219	zmn:Za10_R0010
ko:K01934	zmn:Za10_0997
ko:K07278	zmn:Za10_0154
ko:K07277	zmn:Za10_0178
ko:K14221	zmn:Za10_R0027
ko:K14234	zmn:Za10_R0011
ko:K14231	zmn:Za10_R0012
ko:K05800	zmn:Za10_0869
ko:K14230	zmn:Za10_R0043
ko:K14230	zmn:Za10_R0049
ko:K14230	zmn:Za10_R0058
ko:K00666	zmn:Za10_0568
ko:K07003	zmn:Za10_1615
ko:K05540	zmn:Za10_0199
ko:K14219	zmn:Za10_R0017
ko:K00091	zmn:Za10_0425
ko:K01802	zmn:Za10_0508
ko:K14237	zmn:Za10_R0029
ko:K00941	zmn:Za10_0302
ko:K14218	zmn:Za10_R0051
ko:K14228	zmn:Za10_R0006
ko:K00674	zmn:Za10_0816
ko:K14233	zmn:Za10_R0026
ko:K03327	zmn:Za10_0998
ko:K01977	zmn:Za10_R0053
ko:K01977	zmn:Za10_R0038
ko:K01977	zmn:Za10_R0044
ko:K01607	zmn:Za10_1300
ko:K01501	zmn:Za10_0124
ko:K01840	zmn:Za10_0898
ko:K01069	zmn:Za10_0518
ko:K14225	zmn:Za10_R0013
ko:K14235	zmn:Za10_R0021
ko:K14219	zmn:Za10_R0022
ko:K14234	zmn:Za10_R0018
ko:K09803	zmn:Za10_1874
ko:K14225	zmn:Za10_R0005
ko:K14441	zmn:Za10_0478
ko:K14237	zmn:Za10_R0023
ko:K01524	zmn:Za10_0559
ko:K01524	zmn:Za10_0841
ko:K14652	zmn:Za10_0780
ko:K03299	zmn:Za10_1468
ko:K01978	zmn:Za10_R0009
ko:K14229	zmn:Za10_R0052
ko:K00721	zmn:Za10_0751
ko:K14218	zmn:Za10_R0040
ko:K14218	zmn:Za10_R0055
ko:K14218	zmn:Za10_R0046
ko:K00118	zmn:Za10_0578
ko:K14230	zmn:Za10_R0008
ko:K14222	zmn:Za10_R0034
ko:K09810	zmn:Za10_0792
ko:K14224	zmn:Za10_R0002
ko:K14219	zmn:Za10_R0037
ko:K14233	zmn:Za10_R0025
ko:K07278	zmn:Za10_0758
ko:K14226	zmn:Za10_R0003
ko:K02352	zmn:Za10_1188
ko:K14261	zmn:Za10_1493
ko:K14218	zmn:Za10_R0050
ko:K01980	zmn:Za10_R0056
ko:K01980	zmn:Za10_R0047
ko:K01980	zmn:Za10_R0041
ko:K14236	zmn:Za10_R0031
ko:K07726	zmn:Za10_1873
ko:K01985	zmn:Za10_R0042
ko:K01985	zmn:Za10_R0057
ko:K01985	zmn:Za10_R0048
ko:K14475	zmn:Za10_1475
ko:K09800	zmn:Za10_0155
ko:K00242	zmn:Za10_0686
ko:K03560	zmn:Za10_1044
ko:K03297	zmn:Za10_1091
ko:K08316	zmn:Za10_0679
ko:K01467	zmn:Za10_1095
ko:K15034	zmn:Za10_0749
ko:K15342	zmn:Za10_1903
ko:K02533	zmn:Za10_0127
ko:K01487	zmn:Za10_0359
ko:K06147	zmn:Za10_1878
ko:K15554	zmn:Za10_0077
ko:K15555	zmn:Za10_0076
ko:K00220	zmn:Za10_0826
ko:K15738	zmn:Za10_1088
ko:K04765	zmn:Za10_0223
ko:K01082	zmn:Za10_0540
ko:K15790	zmn:Za10_1404
ko:K12543	zmn:Za10_0965
ko:K06177	zmn:Za10_0750
ko:K00971	zmn:Za10_0098
ko:K02594	zmn:Za10_1400
ko:K15342	zmn:Za10_0587
ko:K00970	zmn:Za10_0257
ko:K11741	zmn:Za10_0572
ko:K12542	zmn:Za10_0963
ko:K12541	zmn:Za10_0964
ko:K07464	zmn:Za10_1902
ko:K08679	zmn:Za10_0357
ko:K02014	zmn:Za10_0079
ko:K05886	zmn:Za10_0988
ko:K16092	zmn:Za10_0323
ko:K16074	zmn:Za10_1460
ko:K11645	zmn:Za10_1029
ko:K15553	zmn:Za10_0078
ko:K16264	zmn:Za10_0426
ko:K06909	zmn:Za10_0862
ko:K03699	zmn:Za10_0929
ko:K16079	zmn:Za10_1710
ko:K02014	zmn:Za10_1420
ko:K03321	zmn:Za10_0707
ko:K01166	zmn:Za10_1271
ko:K14234	zmn:Za10_R0062
ko:K07012	zmn:Za10_1898
ko:K02031	zmn:Za10_0321
ko:K02032	zmn:Za10_0321
ko:K01834	zmn:Za10_0093
ko:K07091	zmn:Za10_1793
ko:K02303	zmn:Za10_0069
ko:K07323	zmn:Za10_0416
ko:K17103	zmn:Za10_0167
ko:K21681	zmn:Za10_0885
ko:K01990	zmn:Za10_0278
ko:K01990	zmn:Za10_1060
ko:K01992	zmn:Za10_0839
ko:K17686	zmn:Za10_0384
ko:K17675	zmn:Za10_0995
ko:K01497	zmn:Za10_1521
ko:K17836	zmn:Za10_1202
ko:K12574	zmn:Za10_1274
ko:K18009	zmn:Za10_0913
ko:K21678	zmn:Za10_0422
ko:K15856	zmn:Za10_0101
ko:K18480	zmn:Za10_0290
ko:K18588	zmn:Za10_0195
ko:K18587	zmn:Za10_0782
ko:K18707	zmn:Za10_0243
ko:K18676	zmn:Za10_0159
ko:K01568	zmn:Za10_1819
ko:K06218	zmn:Za10_1897
ko:K18831	zmn:Za10_1277
ko:K05366	zmn:Za10_0755
ko:K18918	zmn:Za10_1896
ko:K18928	zmn:Za10_1152
ko:K18929	zmn:Za10_1153
ko:K18138	zmn:Za10_0938
ko:K16898	zmn:Za10_0220
ko:K03976	zmn:Za10_1075
ko:K03526	zmn:Za10_1028
ko:K16899	zmn:Za10_0219
ko:K00611	zmn:Za10_0836
ko:K16238	zmn:Za10_1806
ko:K19129	zmn:Za10_0583
ko:K19157	zmn:Za10_1912
ko:K19166	zmn:Za10_1278
ko:K19118	zmn:Za10_1901
ko:K19119	zmn:Za10_1899
ko:K07448	zmn:Za10_1914
ko:K19117	zmn:Za10_1900
ko:K09951	zmn:Za10_1904
ko:K19127	zmn:Za10_0585
ko:K19157	zmn:Za10_1885
ko:K00798	zmn:Za10_1706
ko:K07012	zmn:Za10_0586
ko:K19130	zmn:Za10_0582
ko:K19128	zmn:Za10_0584
ko:K19157	zmn:Za10_1846
ko:K04771	zmn:Za10_0980
ko:K01992	zmn:Za10_0485
ko:K19302	zmn:Za10_0742
ko:K19577	zmn:Za10_1738
ko:K00992	zmn:Za10_0218
ko:K19802	zmn:Za10_0106
ko:K21679	zmn:Za10_0423
ko:K21677	zmn:Za10_0421
ko:K21636	zmn:Za10_0281
ko:K20266	zmn:Za10_1360
ko:K20527	zmn:Za10_1356
ko:K20529	zmn:Za10_1358
ko:K20531	zmn:Za10_1363
ko:K20532	zmn:Za10_1364
ko:K20543	zmn:Za10_0232
ko:K20533	zmn:Za10_1365
ko:K20533	zmn:Za10_1292
ko:K20528	zmn:Za10_1357
ko:K20530	zmn:Za10_1359
ko:K20541	zmn:Za10_0233
ko:K21053	zmn:Za10_0330
ko:K08968	zmn:Za10_0748
ko:K21029	zmn:Za10_0137
ko:K22044	zmn:Za10_0021
ko:K21470	zmn:Za10_1461
ko:K21929	zmn:Za10_1569
ko:K21929	zmn:Za10_0209
ko:K21929	zmn:Za10_0144
ko:K11991	zmn:Za10_0930
ko:K11206	zmn:Za10_1750
