ko:K16697	bsl:A7A1_1167
ko:K02768	bsl:A7A1_2374
ko:K02769	bsl:A7A1_2374
ko:K02770	bsl:A7A1_2374
ko:K02003	bsl:A7A1_2370
ko:K03636	bsl:A7A1_2365
ko:K03753	bsl:A7A1_2363
ko:K03750	bsl:A7A1_2362
ko:K03752	bsl:A7A1_2360
ko:K05823	bsl:A7A1_2353
ko:K03839	bsl:A7A1_2351
ko:K03839	bsl:A7A1_2349
ko:K03415	bsl:A7A1_1547
ko:K02491	bsl:A7A1_1545
ko:K03716	bsl:A7A1_1539
ko:K03480	bsl:A7A1_1534
ko:K01534	bsl:A7A1_1531
ko:K01449	bsl:A7A1_1527
ko:K09457	bsl:A7A1_1519
ko:K10026	bsl:A7A1_1518
ko:K01737	bsl:A7A1_1517
ko:K06920	bsl:A7A1_1516
ko:K01783	bsl:A7A1_3506
ko:K06949	bsl:A7A1_3507
ko:K06941	bsl:A7A1_3510
ko:K03500	bsl:A7A1_3511
ko:K00604	bsl:A7A1_3512
ko:K01462	bsl:A7A1_3513
ko:K04066	bsl:A7A1_3514
ko:K13038	bsl:A7A1_3515
ko:K03060	bsl:A7A1_3516
ko:K00942	bsl:A7A1_3517
ko:K09777	bsl:A7A1_3518
ko:K02304	bsl:A7A1_3522
ko:K00860	bsl:A7A1_3525
ko:K00958	bsl:A7A1_3526
ko:K16331	bsl:A7A1_3527
ko:K00762	bsl:A7A1_0469
ko:K01591	bsl:A7A1_0470
ko:K01955	bsl:A7A1_0473
ko:K01956	bsl:A7A1_0474
ko:K01465	bsl:A7A1_0475
ko:K00609	bsl:A7A1_0476
ko:K02825	bsl:A7A1_0478
ko:K06180	bsl:A7A1_0479
ko:K03101	bsl:A7A1_0480
ko:K01870	bsl:A7A1_0482
ko:K04074	bsl:A7A1_0483
ko:K02221	bsl:A7A1_0485
ko:K09772	bsl:A7A1_0486
ko:K06997	bsl:A7A1_0487
ko:K05810	bsl:A7A1_0488
ko:K02013	bsl:A7A1_0491
ko:K03091	bsl:A7A1_0492
ko:K03091	bsl:A7A1_0493
ko:K06383	bsl:A7A1_0494
ko:K01887	bsl:A7A1_0152
ko:K02575	bsl:A7A1_0151
ko:K00370	bsl:A7A1_0147
ko:K00371	bsl:A7A1_0146
ko:K00373	bsl:A7A1_0145
ko:K06131	bsl:A7A1_0143
ko:K06131	bsl:A7A1_0138
ko:K01937	bsl:A7A1_2727
ko:K02490	bsl:A7A1_2729
ko:K01624	bsl:A7A1_2730
ko:K00790	bsl:A7A1_2732
ko:K03628	bsl:A7A1_2734
ko:K02909	bsl:A7A1_2735
ko:K07088	bsl:A7A1_1007
ko:K11686	bsl:A7A1_1008
ko:K02835	bsl:A7A1_1010
ko:K02493	bsl:A7A1_1011
ko:K06387	bsl:A7A1_1014
ko:K07566	bsl:A7A1_1016
ko:K01808	bsl:A7A1_1019
ko:K00600	bsl:A7A1_1021
ko:K00761	bsl:A7A1_1022
ko:K02108	bsl:A7A1_1024
ko:K02110	bsl:A7A1_1025
ko:K02109	bsl:A7A1_1026
ko:K02113	bsl:A7A1_1027
ko:K02111	bsl:A7A1_1028
ko:K02115	bsl:A7A1_1029
ko:K02112	bsl:A7A1_1030
ko:K02114	bsl:A7A1_1031
ko:K00790	bsl:A7A1_1035
ko:K06381	bsl:A7A1_1036
ko:K02379	bsl:A7A1_1041
ko:K03639	bsl:A7A1_1042
ko:K01430	bsl:A7A1_1047
ko:K01429	bsl:A7A1_1048
ko:K01428	bsl:A7A1_1049
ko:K07118	bsl:A7A1_1051
ko:K06131	bsl:A7A1_1054
ko:K03823	bsl:A7A1_1057
ko:K06386	bsl:A7A1_1058
ko:K04751	bsl:A7A1_1063
ko:K03320	bsl:A7A1_1064
ko:K06283	bsl:A7A1_1073
ko:K03569	bsl:A7A1_1074
ko:K02556	bsl:A7A1_1513
ko:K02557	bsl:A7A1_1512
ko:K15973	bsl:A7A1_1511
ko:K13532	bsl:A7A1_1510
ko:K08967	bsl:A7A1_1506
ko:K08966	bsl:A7A1_1504
ko:K08965	bsl:A7A1_1503
ko:K00899	bsl:A7A1_1500
ko:K08963	bsl:A7A1_1499
ko:K13533	bsl:A7A1_1497
ko:K03799	bsl:A7A1_1493
ko:K03093	bsl:A7A1_1489
ko:K10979	bsl:A7A1_1485
ko:K06213	bsl:A7A1_1474
ko:K13275	bsl:A7A1_1463
ko:K00549	bsl:A7A1_1462
ko:K00147	bsl:A7A1_1457
ko:K00931	bsl:A7A1_1456
ko:K01433	bsl:A7A1_1455
ko:K05916	bsl:A7A1_1448
ko:K16201	bsl:A7A1_1438
ko:K16200	bsl:A7A1_1437
ko:K16203	bsl:A7A1_1436
ko:K00286	bsl:A7A1_1435
ko:K15975	bsl:A7A1_1430
ko:K07220	bsl:A7A1_1428
ko:K03306	bsl:A7A1_1427
ko:K03088	bsl:A7A1_0265
ko:K07217	bsl:A7A1_0258
ko:K07090	bsl:A7A1_0249
ko:K01685	bsl:A7A1_0248
ko:K00041	bsl:A7A1_0247
ko:K02529	bsl:A7A1_0246
ko:K01686	bsl:A7A1_0243
ko:K08322	bsl:A7A1_0242
ko:K01812	bsl:A7A1_0239
ko:K03885	bsl:A7A1_0238
ko:K02068	bsl:A7A1_0234
ko:K02069	bsl:A7A1_0233
ko:K00123	bsl:A7A1_0047
ko:K02392	bsl:A7A1_1075
ko:K02392	bsl:A7A1_1076
ko:K02372	bsl:A7A1_1078
ko:K03282	bsl:A7A1_1079
ko:K00012	bsl:A7A1_1095
ko:K05982	bsl:A7A1_1100
ko:K07240	bsl:A7A1_1104
ko:K07240	bsl:A7A1_1105
ko:K06330	bsl:A7A1_1111
ko:K03893	bsl:A7A1_1114
ko:K01652	bsl:A7A1_1116
ko:K01575	bsl:A7A1_1117
ko:K10441	bsl:A7A1_1123
ko:K06726	bsl:A7A1_1124
ko:K02529	bsl:A7A1_1126
ko:K07282	bsl:A7A1_1129
ko:K01809	bsl:A7A1_1138
ko:K05946	bsl:A7A1_1145
ko:K00963	bsl:A7A1_1154
ko:K01448	bsl:A7A1_1163
ko:K00012	bsl:A7A1_1168
ko:K07777	bsl:A7A1_1176
ko:K02398	bsl:A7A1_1183
ko:K02396	bsl:A7A1_1185
ko:K02397	bsl:A7A1_1186
ko:K13626	bsl:A7A1_1188
ko:K03563	bsl:A7A1_1189
ko:K02406	bsl:A7A1_1190
ko:K02407	bsl:A7A1_1192
ko:K02422	bsl:A7A1_1193
ko:K02423	bsl:A7A1_1194
ko:K03070	bsl:A7A1_1197
ko:K02836	bsl:A7A1_1198
ko:K09812	bsl:A7A1_1201
ko:K09811	bsl:A7A1_1202
ko:K03797	bsl:A7A1_1203
ko:K03702	bsl:A7A1_1209
ko:K03701	bsl:A7A1_1210
ko:K02406	bsl:A7A1_1211
ko:K08972	bsl:A7A1_1216
ko:K03091	bsl:A7A1_0853
ko:K06371	bsl:A7A1_0860
ko:K07015	bsl:A7A1_0861
ko:K00014	bsl:A7A1_0863
ko:K07574	bsl:A7A1_0864
ko:K00969	bsl:A7A1_0865
ko:K09710	bsl:A7A1_0867
ko:K02239	bsl:A7A1_0869
ko:K02237	bsl:A7A1_0870
ko:K02340	bsl:A7A1_0873
ko:K02968	bsl:A7A1_0874
ko:K06012	bsl:A7A1_0875
ko:K03596	bsl:A7A1_3199
ko:K03705	bsl:A7A1_3201
ko:K03687	bsl:A7A1_3202
ko:K04043	bsl:A7A1_3203
ko:K03686	bsl:A7A1_3204
ko:K02687	bsl:A7A1_3205
ko:K09761	bsl:A7A1_3206
ko:K03324	bsl:A7A1_3208
ko:K02970	bsl:A7A1_3209
ko:K09117	bsl:A7A1_3210
ko:K07403	bsl:A7A1_3211
ko:K06438	bsl:A7A1_3215
ko:K07037	bsl:A7A1_3217
ko:K07042	bsl:A7A1_3218
ko:K03584	bsl:A7A1_3222
ko:K01878	bsl:A7A1_3223
ko:K01879	bsl:A7A1_3224
ko:K09773	bsl:A7A1_3226
ko:K09768	bsl:A7A1_3227
ko:K03086	bsl:A7A1_3229
ko:K06967	bsl:A7A1_3231
ko:K03527	bsl:A7A1_3233
ko:K01151	bsl:A7A1_3528
ko:K05967	bsl:A7A1_3532
ko:K09793	bsl:A7A1_3538
ko:K04564	bsl:A7A1_3539
ko:K08222	bsl:A7A1_3540
ko:K02040	bsl:A7A1_3542
ko:K02037	bsl:A7A1_3543
ko:K02038	bsl:A7A1_3544
ko:K02036	bsl:A7A1_3545
ko:K02036	bsl:A7A1_3546
ko:K02913	bsl:A7A1_3551
ko:K01308	bsl:A7A1_3558
ko:K02247	bsl:A7A1_3572
ko:K00605	bsl:A7A1_3585
ko:K00282	bsl:A7A1_3586
ko:K00283	bsl:A7A1_3587
ko:K03800	bsl:A7A1_3589
ko:K07001	bsl:A7A1_3591
ko:K03786	bsl:A7A1_3595
ko:K02356	bsl:A7A1_3597
ko:K06390	bsl:A7A1_3599
ko:K06391	bsl:A7A1_3600
ko:K06392	bsl:A7A1_3601
ko:K06393	bsl:A7A1_3602
ko:K06394	bsl:A7A1_3603
ko:K06395	bsl:A7A1_3604
ko:K06396	bsl:A7A1_3605
ko:K06397	bsl:A7A1_3606
ko:K02160	bsl:A7A1_3607
ko:K01961	bsl:A7A1_3608
ko:K03625	bsl:A7A1_3610
ko:K01491	bsl:A7A1_3611
ko:K03601	bsl:A7A1_3612
ko:K03602	bsl:A7A1_3613
ko:K13789	bsl:A7A1_3614
ko:K01662	bsl:A7A1_3615
ko:K06442	bsl:A7A1_3616
ko:K03402	bsl:A7A1_3617
ko:K03631	bsl:A7A1_3618
ko:K06399	bsl:A7A1_3619
ko:K07699	bsl:A7A1_3620
ko:K01448	bsl:A7A1_3623
ko:K01126	bsl:A7A1_3624
ko:K00074	bsl:A7A1_3626
ko:K03710	bsl:A7A1_2724
ko:K01443	bsl:A7A1_2722
ko:K13292	bsl:A7A1_2720
ko:K06019	bsl:A7A1_2718
ko:K02502	bsl:A7A1_2714
ko:K00765	bsl:A7A1_2713
ko:K00013	bsl:A7A1_2712
ko:K01693	bsl:A7A1_2711
ko:K02501	bsl:A7A1_2710
ko:K01814	bsl:A7A1_2709
ko:K02500	bsl:A7A1_2708
ko:K01619	bsl:A7A1_2000
ko:K02755	bsl:A7A1_2005
ko:K02756	bsl:A7A1_2005
ko:K02757	bsl:A7A1_2005
ko:K06902	bsl:A7A1_2020
ko:K03488	bsl:A7A1_2022
ko:K01809	bsl:A7A1_0034
ko:K03790	bsl:A7A1_3140
ko:K03657	bsl:A7A1_1000
ko:K06341	bsl:A7A1_0994
ko:K06342	bsl:A7A1_0993
ko:K00208	bsl:A7A1_0989
ko:K00941	bsl:A7A1_0988
ko:K03149	bsl:A7A1_0986
ko:K03154	bsl:A7A1_0985
ko:K03707	bsl:A7A1_0982
ko:K06180	bsl:A7A1_0979
ko:K00858	bsl:A7A1_0978
ko:K06886	bsl:A7A1_0973
ko:K08602	bsl:A7A1_0971
ko:K16511	bsl:A7A1_0969
ko:K15581	bsl:A7A1_0961
ko:K15580	bsl:A7A1_0960
ko:K01867	bsl:A7A1_0959
ko:K02034	bsl:A7A1_0957
ko:K09458	bsl:A7A1_0951
ko:K00648	bsl:A7A1_0950
ko:K02254	bsl:A7A1_0948
ko:K00611	bsl:A7A1_0942
ko:K01955	bsl:A7A1_0941
ko:K01956	bsl:A7A1_0940
ko:K00930	bsl:A7A1_0938
ko:K00620	bsl:A7A1_0936
ko:K00145	bsl:A7A1_0935
ko:K00243	bsl:A7A1_0919
ko:K09767	bsl:A7A1_0918
ko:K08221	bsl:A7A1_0914
ko:K05979	bsl:A7A1_0910
ko:K00390	bsl:A7A1_0909
ko:K00958	bsl:A7A1_0908
ko:K00860	bsl:A7A1_0907
ko:K06895	bsl:A7A1_0903
ko:K02291	bsl:A7A1_0897
ko:K01953	bsl:A7A1_0895
ko:K06299	bsl:A7A1_0321
ko:K06300	bsl:A7A1_0320
ko:K06301	bsl:A7A1_0319
ko:K06302	bsl:A7A1_0318
ko:K06303	bsl:A7A1_0317
ko:K06304	bsl:A7A1_0316
ko:K03547	bsl:A7A1_0313
ko:K08174	bsl:A7A1_3682
ko:K03100	bsl:A7A1_3685
ko:K11755	bsl:A7A1_2707
ko:K03299	bsl:A7A1_2397
ko:K00851	bsl:A7A1_2398
ko:K06610	bsl:A7A1_1971
ko:K00010	bsl:A7A1_1972
ko:K00384	bsl:A7A1_2699
ko:K06958	bsl:A7A1_2697
ko:K11184	bsl:A7A1_2694
ko:K00675	bsl:A7A1_2693
ko:K02003	bsl:A7A1_2690
ko:K01673	bsl:A7A1_2687
ko:K03321	bsl:A7A1_2686
ko:K06966	bsl:A7A1_2684
ko:K01358	bsl:A7A1_2674
ko:K00692	bsl:A7A1_2664
ko:K01779	bsl:A7A1_2662
ko:K13727	bsl:A7A1_2659
ko:K03092	bsl:A7A1_2639
ko:K03303	bsl:A7A1_2638
ko:K02529	bsl:A7A1_2636
ko:K15771	bsl:A7A1_2634
ko:K15772	bsl:A7A1_2633
ko:K12308	bsl:A7A1_2632
ko:K01224	bsl:A7A1_2631
ko:K07778	bsl:A7A1_2626
ko:K07693	bsl:A7A1_2625
ko:K00782	bsl:A7A1_2622
ko:K02103	bsl:A7A1_2616
ko:K05311	bsl:A7A1_2614
ko:K00134	bsl:A7A1_2613
ko:K00927	bsl:A7A1_2612
ko:K01803	bsl:A7A1_2611
ko:K15633	bsl:A7A1_2610
ko:K01689	bsl:A7A1_2609
ko:K05847	bsl:A7A1_2602
ko:K05845	bsl:A7A1_2600
ko:K05846	bsl:A7A1_2599
ko:K05847	bsl:A7A1_2592
ko:K05846	bsl:A7A1_2591
ko:K05845	bsl:A7A1_2590
ko:K05846	bsl:A7A1_2589
ko:K03075	bsl:A7A1_2582
ko:K03928	bsl:A7A1_2581
ko:K12573	bsl:A7A1_2580
ko:K03664	bsl:A7A1_2579
ko:K01118	bsl:A7A1_2572
ko:K01534	bsl:A7A1_2567
ko:K03611	bsl:A7A1_2565
ko:K03657	bsl:A7A1_2562
ko:K00381	bsl:A7A1_2560
ko:K02018	bsl:A7A1_2556
ko:K02020	bsl:A7A1_2555
ko:K07219	bsl:A7A1_2554
ko:K07038	bsl:A7A1_2552
ko:K03758	bsl:A7A1_2550
ko:K02016	bsl:A7A1_2549
ko:K02015	bsl:A7A1_2548
ko:K02015	bsl:A7A1_2547
ko:K02013	bsl:A7A1_2546
ko:K02003	bsl:A7A1_2544
ko:K02016	bsl:A7A1_2535
ko:K02015	bsl:A7A1_2534
ko:K02250	bsl:A7A1_3692
ko:K03523	bsl:A7A1_3697
ko:K02016	bsl:A7A1_3701
ko:K03800	bsl:A7A1_3709
ko:K11102	bsl:A7A1_3712
ko:K00648	bsl:A7A1_3717
ko:K01421	bsl:A7A1_3718
ko:K00231	bsl:A7A1_3720
ko:K01772	bsl:A7A1_3721
ko:K02503	bsl:A7A1_3725
ko:K00831	bsl:A7A1_3726
ko:K09682	bsl:A7A1_3729
ko:K07228	bsl:A7A1_3742
ko:K03315	bsl:A7A1_3759
ko:K00824	bsl:A7A1_3760
ko:K12410	bsl:A7A1_3762
ko:K16052	bsl:A7A1_3763
ko:K01126	bsl:A7A1_3765
ko:K06199	bsl:A7A1_3766
ko:K06199	bsl:A7A1_3767
ko:K11358	bsl:A7A1_3770
ko:K00655	bsl:A7A1_3773
ko:K03088	bsl:A7A1_3775
ko:K00375	bsl:A7A1_3779
ko:K03308	bsl:A7A1_3780
ko:K01647	bsl:A7A1_3783
ko:K13771	bsl:A7A1_3789
ko:K00111	bsl:A7A1_3797
ko:K00864	bsl:A7A1_3798
ko:K02440	bsl:A7A1_3799
ko:K06180	bsl:A7A1_3806
ko:K06956	bsl:A7A1_3814
ko:K02073	bsl:A7A1_3816
ko:K03704	bsl:A7A1_3817
ko:K03809	bsl:A7A1_3824
ko:K09786	bsl:A7A1_3828
ko:K07180	bsl:A7A1_3829
ko:K03216	bsl:A7A1_3833
ko:K02013	bsl:A7A1_2533
ko:K11619	bsl:A7A1_2530
ko:K11622	bsl:A7A1_2527
ko:K07650	bsl:A7A1_2519
ko:K04047	bsl:A7A1_2516
ko:K02013	bsl:A7A1_2512
ko:K00318	bsl:A7A1_2503
ko:K07516	bsl:A7A1_2502
ko:K02437	bsl:A7A1_2498
ko:K07476	bsl:A7A1_2496
ko:K02071	bsl:A7A1_2493
ko:K02072	bsl:A7A1_2492
ko:K02073	bsl:A7A1_2491
ko:K09013	bsl:A7A1_2488
ko:K09015	bsl:A7A1_2487
ko:K11717	bsl:A7A1_2486
ko:K09014	bsl:A7A1_2484
ko:K00285	bsl:A7A1_2479
ko:K10708	bsl:A7A1_2477
ko:K10710	bsl:A7A1_2473
ko:K10711	bsl:A7A1_2472
ko:K02083	bsl:A7A1_2469
ko:K07141	bsl:A7A1_2466
ko:K07127	bsl:A7A1_2460
ko:K16169	bsl:A7A1_2458
ko:K07090	bsl:A7A1_2344
ko:K03644	bsl:A7A1_2339
ko:K00003	bsl:A7A1_2332
ko:K01733	bsl:A7A1_2331
ko:K00872	bsl:A7A1_2330
ko:K07734	bsl:A7A1_2326
ko:K00364	bsl:A7A1_2325
ko:K03885	bsl:A7A1_2322
ko:K09775	bsl:A7A1_2318
ko:K01255	bsl:A7A1_2317
ko:K07084	bsl:A7A1_2316
ko:K03523	bsl:A7A1_2315
ko:K00216	bsl:A7A1_2312
ko:K02361	bsl:A7A1_2311
ko:K02363	bsl:A7A1_2310
ko:K01252	bsl:A7A1_2309
ko:K04780	bsl:A7A1_2308
ko:K00259	bsl:A7A1_2305
ko:K03466	bsl:A7A1_2299
ko:K16216	bsl:A7A1_2296
ko:K06950	bsl:A7A1_2295
ko:K00763	bsl:A7A1_2287
ko:K02251	bsl:A7A1_2283
ko:K07680	bsl:A7A1_2281
ko:K07691	bsl:A7A1_2280
ko:K05571	bsl:A7A1_2278
ko:K05569	bsl:A7A1_2276
ko:K05567	bsl:A7A1_2274
ko:K05566	bsl:A7A1_2273
ko:K11616	bsl:A7A1_2270
ko:K02057	bsl:A7A1_2269
ko:K02057	bsl:A7A1_2268
ko:K07335	bsl:A7A1_2266
ko:K11614	bsl:A7A1_2264
ko:K06348	bsl:A7A1_2259
ko:K06347	bsl:A7A1_2258
ko:K07697	bsl:A7A1_2257
ko:K14155	bsl:A7A1_2256
ko:K10907	bsl:A7A1_2252
ko:K09779	bsl:A7A1_2250
ko:K01810	bsl:A7A1_2247
ko:K01258	bsl:A7A1_2037
ko:K01784	bsl:A7A1_2041
ko:K16013	bsl:A7A1_2053
ko:K16012	bsl:A7A1_2054
ko:K03491	bsl:A7A1_2067
ko:K01222	bsl:A7A1_2071
ko:K00215	bsl:A7A1_2938
ko:K01734	bsl:A7A1_2937
ko:K03524	bsl:A7A1_2933
ko:K00606	bsl:A7A1_2932
ko:K01918	bsl:A7A1_2931
ko:K01579	bsl:A7A1_2930
ko:K00812	bsl:A7A1_2926
ko:K01893	bsl:A7A1_2925
ko:K10773	bsl:A7A1_2923
ko:K05366	bsl:A7A1_2921
ko:K07502	bsl:A7A1_2910
ko:K06327	bsl:A7A1_2909
ko:K07444	bsl:A7A1_2905
ko:K01815	bsl:A7A1_2899
ko:K00874	bsl:A7A1_2897
ko:K01625	bsl:A7A1_2896
ko:K02526	bsl:A7A1_2895
ko:K01299	bsl:A7A1_2894
ko:K03816	bsl:A7A1_2893
ko:K06429	bsl:A7A1_2886
ko:K09125	bsl:A7A1_2884
ko:K03704	bsl:A7A1_2879
ko:K00651	bsl:A7A1_2877
ko:K00432	bsl:A7A1_2876
ko:K06950	bsl:A7A1_2875
ko:K01687	bsl:A7A1_2873
ko:K11068	bsl:A7A1_2865
ko:K01754	bsl:A7A1_2863
ko:K07152	bsl:A7A1_2861
ko:K01083	bsl:A7A1_2852
ko:K01034	bsl:A7A1_2844
ko:K01438	bsl:A7A1_2842
ko:K03797	bsl:A7A1_2830
ko:K15975	bsl:A7A1_2828
ko:K06999	bsl:A7A1_2827
ko:K05786	bsl:A7A1_2820
ko:K03327	bsl:A7A1_2815
ko:K00294	bsl:A7A1_0197
ko:K00625	bsl:A7A1_0185
ko:K03298	bsl:A7A1_0182
ko:K00164	bsl:A7A1_2807
ko:K00658	bsl:A7A1_2806
ko:K03453	bsl:A7A1_2805
ko:K03308	bsl:A7A1_2804
ko:K04564	bsl:A7A1_2803
ko:K13993	bsl:A7A1_2796
ko:K01118	bsl:A7A1_2793
ko:K07693	bsl:A7A1_2790
ko:K07778	bsl:A7A1_2789
ko:K10255	bsl:A7A1_2788
ko:K08976	bsl:A7A1_2784
ko:K06878	bsl:A7A1_2774
ko:K06973	bsl:A7A1_2243
ko:K00686	bsl:A7A1_2238
ko:K00848	bsl:A7A1_2231
ko:K03534	bsl:A7A1_2230
ko:K06153	bsl:A7A1_2226
ko:K00975	bsl:A7A1_2137
ko:K00975	bsl:A7A1_2138
ko:K00703	bsl:A7A1_2139
ko:K00688	bsl:A7A1_2140
ko:K00012	bsl:A7A1_2148
ko:K00963	bsl:A7A1_2149
ko:K02551	bsl:A7A1_2152
ko:K01661	bsl:A7A1_2154
ko:K01911	bsl:A7A1_2155
ko:K00426	bsl:A7A1_2162
ko:K00425	bsl:A7A1_2163
ko:K01673	bsl:A7A1_2165
ko:K08998	bsl:A7A1_2166
ko:K07173	bsl:A7A1_2167
ko:K04047	bsl:A7A1_2169
ko:K01610	bsl:A7A1_2178
ko:K00789	bsl:A7A1_2179
ko:K01953	bsl:A7A1_2180
ko:K16188	bsl:A7A1_2184
ko:K07139	bsl:A7A1_2186
ko:K11630	bsl:A7A1_2194
ko:K11629	bsl:A7A1_2195
ko:K11631	bsl:A7A1_2196
ko:K11632	bsl:A7A1_2197
ko:K01869	bsl:A7A1_1644
ko:K07406	bsl:A7A1_1646
ko:K10117	bsl:A7A1_1649
ko:K02529	bsl:A7A1_1650
ko:K01935	bsl:A7A1_1655
ko:K01012	bsl:A7A1_1656
ko:K01607	bsl:A7A1_2082
ko:K01759	bsl:A7A1_2093
ko:K03488	bsl:A7A1_0226
ko:K15532	bsl:A7A1_1663
ko:K07007	bsl:A7A1_1669
ko:K06901	bsl:A7A1_1676
ko:K01738	bsl:A7A1_1678
ko:K01975	bsl:A7A1_1679
ko:K03439	bsl:A7A1_1685
ko:K06878	bsl:A7A1_1693
ko:K03466	bsl:A7A1_1694
ko:K01924	bsl:A7A1_1695
ko:K13853	bsl:A7A1_1699
ko:K02529	bsl:A7A1_1700
ko:K02556	bsl:A7A1_1701
ko:K02557	bsl:A7A1_1702
ko:K04768	bsl:A7A1_1703
ko:K04766	bsl:A7A1_1705
ko:K01895	bsl:A7A1_1704
ko:K01866	bsl:A7A1_1706
ko:K02986	bsl:A7A1_1707
ko:K04486	bsl:A7A1_1711
ko:K02906	bsl:A7A1_0090
ko:K07407	bsl:A7A1_2768
ko:K01223	bsl:A7A1_2763
ko:K02529	bsl:A7A1_2762
ko:K07727	bsl:A7A1_2744
ko:K11216	bsl:A7A1_2441
ko:K00286	bsl:A7A1_2430
ko:K00931	bsl:A7A1_2429
ko:K00266	bsl:A7A1_2426
ko:K13955	bsl:A7A1_2425
ko:K07259	bsl:A7A1_2417
ko:K01961	bsl:A7A1_0712
ko:K01640	bsl:A7A1_0711
ko:K00963	bsl:A7A1_0706
ko:K15921	bsl:A7A1_0704
ko:K03310	bsl:A7A1_0700
ko:K02621	bsl:A7A1_0698
ko:K02622	bsl:A7A1_0697
ko:K08591	bsl:A7A1_0695
ko:K07107	bsl:A7A1_0692
ko:K06434	bsl:A7A1_0691
ko:K06431	bsl:A7A1_0690
ko:K01681	bsl:A7A1_0688
ko:K06432	bsl:A7A1_0687
ko:K06433	bsl:A7A1_0686
ko:K06335	bsl:A7A1_0685
ko:K03413	bsl:A7A1_0682
ko:K00615	bsl:A7A1_0676
ko:K01356	bsl:A7A1_0673
ko:K11210	bsl:A7A1_0672
ko:K06312	bsl:A7A1_0665
ko:K06311	bsl:A7A1_0664
ko:K06310	bsl:A7A1_0663
ko:K03116	bsl:A7A1_0659
ko:K01775	bsl:A7A1_3316
ko:K01805	bsl:A7A1_3320
ko:K01198	bsl:A7A1_3322
ko:K01915	bsl:A7A1_3335
ko:K03665	bsl:A7A1_3338
ko:K06413	bsl:A7A1_3339
ko:K01448	bsl:A7A1_3340
ko:K03311	bsl:A7A1_0720
ko:K04487	bsl:A7A1_0721
ko:K03151	bsl:A7A1_0722
ko:K01895	bsl:A7A1_0724
ko:K00858	bsl:A7A1_0726
ko:K15770	bsl:A7A1_2681
ko:K01647	bsl:A7A1_3628
ko:K01720	bsl:A7A1_3629
ko:K00263	bsl:A7A1_3635
ko:K00382	bsl:A7A1_3637
ko:K00166	bsl:A7A1_3638
ko:K00167	bsl:A7A1_3639
ko:K09699	bsl:A7A1_3640
ko:K05606	bsl:A7A1_3650
ko:K09166	bsl:A7A1_3653
ko:K03217	bsl:A7A1_3654
ko:K02346	bsl:A7A1_3656
ko:K00036	bsl:A7A1_3658
ko:K02913	bsl:A7A1_3660
ko:K00286	bsl:A7A1_3664
ko:K07124	bsl:A7A1_3666
ko:K01753	bsl:A7A1_3667
ko:K01744	bsl:A7A1_3051
ko:K03315	bsl:A7A1_3050
ko:K01839	bsl:A7A1_3044
ko:K06379	bsl:A7A1_3040
ko:K03091	bsl:A7A1_3039
ko:K06403	bsl:A7A1_3038
ko:K06404	bsl:A7A1_3037
ko:K06405	bsl:A7A1_3036
ko:K06406	bsl:A7A1_3035
ko:K06407	bsl:A7A1_3034
ko:K06407	bsl:A7A1_3033
ko:K06408	bsl:A7A1_3032
ko:K01586	bsl:A7A1_3031
ko:K03100	bsl:A7A1_3021
ko:K04773	bsl:A7A1_0727
ko:K11065	bsl:A7A1_0731
ko:K00925	bsl:A7A1_0733
ko:K03638	bsl:A7A1_0734
ko:K01940	bsl:A7A1_0735
ko:K01755	bsl:A7A1_0736
ko:K07090	bsl:A7A1_0752
ko:K02337	bsl:A7A1_0758
ko:K01963	bsl:A7A1_0760
ko:K01962	bsl:A7A1_0761
ko:K00850	bsl:A7A1_0762
ko:K00873	bsl:A7A1_0763
ko:K07113	bsl:A7A1_0764
ko:K01647	bsl:A7A1_0767
ko:K00031	bsl:A7A1_0768
ko:K00024	bsl:A7A1_0769
ko:K07636	bsl:A7A1_0771
ko:K00859	bsl:A7A1_0775
ko:K00134	bsl:A7A1_3145
ko:K01611	bsl:A7A1_3146
ko:K07738	bsl:A7A1_3147
ko:K01868	bsl:A7A1_3152
ko:K07704	bsl:A7A1_3154
ko:K05338	bsl:A7A1_3156
ko:K05339	bsl:A7A1_3157
ko:K02520	bsl:A7A1_3160
ko:K02916	bsl:A7A1_3161
ko:K02887	bsl:A7A1_3162
ko:K01804	bsl:A7A1_3167
ko:K06200	bsl:A7A1_3176
ko:K11473	bsl:A7A1_3178
ko:K02647	bsl:A7A1_3180
ko:K06426	bsl:A7A1_3181
ko:K03437	bsl:A7A1_3182
ko:K01889	bsl:A7A1_3183
ko:K01890	bsl:A7A1_3184
ko:K09888	bsl:A7A1_3186
ko:K02347	bsl:A7A1_3188
ko:K07456	bsl:A7A1_3189
ko:K08989	bsl:A7A1_3190
ko:K13770	bsl:A7A1_3192
ko:K13767	bsl:A7A1_3193
ko:K03521	bsl:A7A1_3194
ko:K03522	bsl:A7A1_3195
ko:K03671	bsl:A7A1_3197
ko:K03703	bsl:A7A1_1572
ko:K00928	bsl:A7A1_1574
ko:K00239	bsl:A7A1_1577
ko:K00240	bsl:A7A1_1578
ko:K07107	bsl:A7A1_1579
ko:K01994	bsl:A7A1_1580
ko:K01776	bsl:A7A1_1582
ko:K00989	bsl:A7A1_1584
ko:K07095	bsl:A7A1_1586
ko:K03829	bsl:A7A1_1588
