ko:K09796	ahh:RY45_18710
ko:K02198	ahh:RY45_07360
ko:K02199	ahh:RY45_07365
ko:K02200	ahh:RY45_07370
ko:K04754	ahh:RY45_07380
ko:K04564	ahh:RY45_07385
ko:K07390	ahh:RY45_07390
ko:K03500	ahh:RY45_07395
ko:K00275	ahh:RY45_07410
ko:K00799	ahh:RY45_07415
ko:K03824	ahh:RY45_07425
ko:K18850	ahh:RY45_07440
ko:K01756	ahh:RY45_07445
ko:K07153	ahh:RY45_07450
ko:K00566	ahh:RY45_07455
ko:K06181	ahh:RY45_07465
ko:K02806	ahh:RY45_07470
ko:K02769	ahh:RY45_07475
ko:K07784	ahh:RY45_07480
ko:K02768	ahh:RY45_07495
ko:K02769	ahh:RY45_07495
ko:K02770	ahh:RY45_07495
ko:K16136	ahh:RY45_07530
ko:K14155	ahh:RY45_07540
ko:K01809	ahh:RY45_07565
ko:K00031	ahh:RY45_07575
ko:K01814	ahh:RY45_11880
ko:K07814	ahh:RY45_11885
ko:K02500	ahh:RY45_11900
ko:K11755	ahh:RY45_11905
ko:K00666	ahh:RY45_11920
ko:K13480	ahh:RY45_11945
ko:K13479	ahh:RY45_11950
ko:K06901	ahh:RY45_11960
ko:K01487	ahh:RY45_11965
ko:K16346	ahh:RY45_11970
ko:K12528	ahh:RY45_11975
ko:K12529	ahh:RY45_11980
ko:K12527	ahh:RY45_11990
ko:K07141	ahh:RY45_11995
ko:K07402	ahh:RY45_12005
ko:K00926	ahh:RY45_12015
ko:K01464	ahh:RY45_12020
ko:K01751	ahh:RY45_12030
ko:K07088	ahh:RY45_12050
ko:K01782	ahh:RY45_12060
ko:K03924	ahh:RY45_12070
ko:K07114	ahh:RY45_12085
ko:K07114	ahh:RY45_12090
ko:K03088	ahh:RY45_12100
ko:K06076	ahh:RY45_12110
ko:K06076	ahh:RY45_12115
ko:K00626	ahh:RY45_12125
ko:K09913	ahh:RY45_12140
ko:K01752	ahh:RY45_12145
ko:K01752	ahh:RY45_12150
ko:K08305	ahh:RY45_12155
ko:K09902	ahh:RY45_12160
ko:K02665	ahh:RY45_16460
ko:K02664	ahh:RY45_16465
ko:K02663	ahh:RY45_16470
ko:K02662	ahh:RY45_16475
ko:K05366	ahh:RY45_16480
ko:K04761	ahh:RY45_16485
ko:K03406	ahh:RY45_16490
ko:K07396	ahh:RY45_16495
ko:K01126	ahh:RY45_16535
ko:K03406	ahh:RY45_16540
ko:K00244	ahh:RY45_16545
ko:K00245	ahh:RY45_16550
ko:K00246	ahh:RY45_16555
ko:K00247	ahh:RY45_16560
ko:K02030	ahh:RY45_16575
ko:K09927	ahh:RY45_16580
ko:K07645	ahh:RY45_16620
ko:K15461	ahh:RY45_10290
ko:K00647	ahh:RY45_10295
ko:K01647	ahh:RY45_10310
ko:K00241	ahh:RY45_10315
ko:K00242	ahh:RY45_10320
ko:K00239	ahh:RY45_10325
ko:K00240	ahh:RY45_10330
ko:K00164	ahh:RY45_10335
ko:K00658	ahh:RY45_10340
ko:K01903	ahh:RY45_10345
ko:K01902	ahh:RY45_10350
ko:K09160	ahh:RY45_10360
ko:K02011	ahh:RY45_10370
ko:K02010	ahh:RY45_10375
ko:K02012	ahh:RY45_10380
ko:K03430	ahh:RY45_10390
ko:K00823	ahh:RY45_10395
ko:K05306	ahh:RY45_10400
ko:K00656	ahh:RY45_10405
ko:K06212	ahh:RY45_10410
ko:K09136	ahh:RY45_10415
ko:K11741	ahh:RY45_10420
ko:K00133	ahh:RY45_10425
ko:K07263	ahh:RY45_10430
ko:K01761	ahh:RY45_10435
ko:K07118	ahh:RY45_10445
ko:K03271	ahh:RY45_14755
ko:K06445	ahh:RY45_14760
ko:K06213	ahh:RY45_14770
ko:K02397	ahh:RY45_14775
ko:K02396	ahh:RY45_14780
ko:K02395	ahh:RY45_14785
ko:K02394	ahh:RY45_14790
ko:K02393	ahh:RY45_14795
ko:K02392	ahh:RY45_14800
ko:K02391	ahh:RY45_14805
ko:K02390	ahh:RY45_14810
ko:K02389	ahh:RY45_14815
ko:K02388	ahh:RY45_14820
ko:K02387	ahh:RY45_14825
ko:K00575	ahh:RY45_14830
ko:K03415	ahh:RY45_14835
ko:K02386	ahh:RY45_14840
ko:K02398	ahh:RY45_14845
ko:K02399	ahh:RY45_14850
ko:K07095	ahh:RY45_14855
ko:K06183	ahh:RY45_14870
ko:K08313	ahh:RY45_14885
ko:K04069	ahh:RY45_14890
ko:K00656	ahh:RY45_14895
ko:K15268	ahh:RY45_14905
ko:K13893	ahh:RY45_14910
ko:K03704	ahh:RY45_14935
ko:K00627	ahh:RY45_14940
ko:K00162	ahh:RY45_14945
ko:K00161	ahh:RY45_14950
ko:K05526	ahh:RY45_14955
ko:K10748	ahh:RY45_14965
ko:K09915	ahh:RY45_14975
ko:K13009	ahh:RY45_14980
ko:K01790	ahh:RY45_14990
ko:K00973	ahh:RY45_14995
ko:K00067	ahh:RY45_15000
ko:K01710	ahh:RY45_15005
ko:K03969	ahh:RY45_19355
ko:K00655	ahh:RY45_19360
ko:K08344	ahh:RY45_19370
ko:K02621	ahh:RY45_19425
ko:K02622	ahh:RY45_19430
ko:K07000	ahh:RY45_19460
ko:K03651	ahh:RY45_19465
ko:K09920	ahh:RY45_19470
ko:K01515	ahh:RY45_19475
ko:K12340	ahh:RY45_19480
ko:K03272	ahh:RY45_19485
ko:K02517	ahh:RY45_19490
ko:K18446	ahh:RY45_19500
ko:K07220	ahh:RY45_19505
ko:K03306	ahh:RY45_19510
ko:K03976	ahh:RY45_19515
ko:K00375	ahh:RY45_19540
ko:K06518	ahh:RY45_19550
ko:K00974	ahh:RY45_19570
ko:K02450	ahh:RY45_19575
ko:K02451	ahh:RY45_19580
ko:K03575	ahh:RY45_19585
ko:K08306	ahh:RY45_19595
ko:K02030	ahh:RY45_19610
ko:K03286	ahh:RY45_19615
ko:K09857	ahh:RY45_19620
ko:K06192	ahh:RY45_19625
ko:K03808	ahh:RY45_19630
ko:K03666	ahh:RY45_19635
ko:K00364	ahh:RY45_16630
ko:K02356	ahh:RY45_16640
ko:K08984	ahh:RY45_16645
ko:K00018	ahh:RY45_16655
ko:K07078	ahh:RY45_16670
ko:K03184	ahh:RY45_16705
ko:K06168	ahh:RY45_16710
ko:K07042	ahh:RY45_16720
ko:K06189	ahh:RY45_16725
ko:K03820	ahh:RY45_16730
ko:K01869	ahh:RY45_16740
ko:K03643	ahh:RY45_16745
ko:K03043	ahh:RY45_21045
ko:K02935	ahh:RY45_21050
ko:K02864	ahh:RY45_21055
ko:K02863	ahh:RY45_21060
ko:K02867	ahh:RY45_21065
ko:K02601	ahh:RY45_21070
ko:K03073	ahh:RY45_21075
ko:K02358	ahh:RY45_21085
ko:K00867	ahh:RY45_21100
ko:K03524	ahh:RY45_21105
ko:K00075	ahh:RY45_21110
ko:K03499	ahh:RY45_21115
ko:K03498	ahh:RY45_21120
ko:K03169	ahh:RY45_21125
ko:K03532	ahh:RY45_21130
ko:K07812	ahh:RY45_21135
ko:K17247	ahh:RY45_21165
ko:K07715	ahh:RY45_21180
ko:K07711	ahh:RY45_21190
ko:K13938	ahh:RY45_21200
ko:K02030	ahh:RY45_21215
ko:K03718	ahh:RY45_21220
ko:K01914	ahh:RY45_21225
ko:K06897	ahh:RY45_21230
ko:K03695	ahh:RY45_21235
ko:K05810	ahh:RY45_21240
ko:K06180	ahh:RY45_21245
ko:K05807	ahh:RY45_21250
ko:K06956	ahh:RY45_21260
ko:K02030	ahh:RY45_21270
ko:K00325	ahh:RY45_21275
ko:K00324	ahh:RY45_21280
ko:K08325	ahh:RY45_21285
ko:K03098	ahh:RY45_21295
ko:K03406	ahh:RY45_21300
ko:K01613	ahh:RY45_21305
ko:K02822	ahh:RY45_01155
ko:K02821	ahh:RY45_01160
ko:K02415	ahh:RY45_01180
ko:K03181	ahh:RY45_01185
ko:K03179	ahh:RY45_01190
ko:K00631	ahh:RY45_01195
ko:K01356	ahh:RY45_01200
ko:K07152	ahh:RY45_01210
ko:K03327	ahh:RY45_01215
ko:K03216	ahh:RY45_01220
ko:K07640	ahh:RY45_01225
ko:K13283	ahh:RY45_01235
ko:K00640	ahh:RY45_01240
ko:K09892	ahh:RY45_01250
ko:K12113	ahh:RY45_01305
ko:K12111	ahh:RY45_01310
ko:K12112	ahh:RY45_01315
ko:K06878	ahh:RY45_01325
ko:K14347	ahh:RY45_01335
ko:K01070	ahh:RY45_01350
ko:K00121	ahh:RY45_01355
ko:K02057	ahh:RY45_01365
ko:K02057	ahh:RY45_01370
ko:K02056	ahh:RY45_01375
ko:K07335	ahh:RY45_01380
ko:K03657	ahh:RY45_01385
ko:K09983	ahh:RY45_01430
ko:K14170	ahh:RY45_05835
ko:K07025	ahh:RY45_05840
ko:K01669	ahh:RY45_05875
ko:K09701	ahh:RY45_05895
ko:K00574	ahh:RY45_05900
ko:K04047	ahh:RY45_05925
ko:K05601	ahh:RY45_05930
ko:K11933	ahh:RY45_05935
ko:K01784	ahh:RY45_05940
ko:K15125	ahh:RY45_05960
ko:K15125	ahh:RY45_05965
ko:K15125	ahh:RY45_05970
ko:K11903	ahh:RY45_06010
ko:K11904	ahh:RY45_06015
ko:K01575	ahh:RY45_06045
ko:K01652	ahh:RY45_06050
ko:K03152	ahh:RY45_06055
ko:K00077	ahh:RY45_06060
ko:K09767	ahh:RY45_06065
ko:K05517	ahh:RY45_06070
ko:K08218	ahh:RY45_06075
ko:K03767	ahh:RY45_06085
ko:K07286	ahh:RY45_06090
ko:K11391	ahh:RY45_06095
ko:K05527	ahh:RY45_06100
ko:K00346	ahh:RY45_06105
ko:K00347	ahh:RY45_06110
ko:K00348	ahh:RY45_06115
ko:K00349	ahh:RY45_06120
ko:K00350	ahh:RY45_06125
ko:K00023	ahh:RY45_10455
ko:K13653	ahh:RY45_10460
ko:K02014	ahh:RY45_10465
ko:K03576	ahh:RY45_10475
ko:K00549	ahh:RY45_10480
ko:K07168	ahh:RY45_10490
ko:K00285	ahh:RY45_10505
ko:K06876	ahh:RY45_10510
ko:K01667	ahh:RY45_10515
ko:K07262	ahh:RY45_10520
ko:K08310	ahh:RY45_10525
ko:K04018	ahh:RY45_10530
ko:K04015	ahh:RY45_10545
ko:K04014	ahh:RY45_10550
ko:K04013	ahh:RY45_10555
ko:K03385	ahh:RY45_10560
ko:K00113	ahh:RY45_10570
ko:K00112	ahh:RY45_10575
ko:K00111	ahh:RY45_10580
ko:K09858	ahh:RY45_10585
ko:K03406	ahh:RY45_10590
ko:K07793	ahh:RY45_10610
ko:K07794	ahh:RY45_10615
ko:K07795	ahh:RY45_10620
ko:K07085	ahh:RY45_10630
ko:K03702	ahh:RY45_10640
ko:K03975	ahh:RY45_10650
ko:K03611	ahh:RY45_10655
ko:K03314	ahh:RY45_10660
ko:K03603	ahh:RY45_10665
ko:K09786	ahh:RY45_10675
ko:K07180	ahh:RY45_10680
ko:K03654	ahh:RY45_10685
ko:K07862	ahh:RY45_10690
ko:K03837	ahh:RY45_10695
ko:K01665	ahh:RY45_10705
ko:K01676	ahh:RY45_10710
ko:K00688	ahh:RY45_10730
ko:K01953	ahh:RY45_15025
ko:K02473	ahh:RY45_15030
ko:K02474	ahh:RY45_15035
ko:K18139	ahh:RY45_15045
ko:K18138	ahh:RY45_15050
ko:K03585	ahh:RY45_15055
ko:K03577	ahh:RY45_15060
ko:K10805	ahh:RY45_15080
ko:K06178	ahh:RY45_15085
ko:K06024	ahh:RY45_15090
ko:K05896	ahh:RY45_15095
ko:K07053	ahh:RY45_15105
ko:K01657	ahh:RY45_15110
ko:K01658	ahh:RY45_15115
ko:K00766	ahh:RY45_15120
ko:K13498	ahh:RY45_15125
ko:K01696	ahh:RY45_15130
ko:K01695	ahh:RY45_15135
ko:K07038	ahh:RY45_15145
ko:K03317	ahh:RY45_15165
ko:K02300	ahh:RY45_15200
ko:K02299	ahh:RY45_15205
ko:K02298	ahh:RY45_15210
ko:K02297	ahh:RY45_15215
ko:K00316	ahh:RY45_15220
ko:K09975	ahh:RY45_15240
ko:K03734	ahh:RY45_15255
ko:K01142	ahh:RY45_15275
ko:K03585	ahh:RY45_15280
ko:K18138	ahh:RY45_15285
ko:K07798	ahh:RY45_15295
ko:K18320	ahh:RY45_02940
ko:K18476	ahh:RY45_02950
ko:K08151	ahh:RY45_02955
ko:K08325	ahh:RY45_02975
ko:K01740	ahh:RY45_02985
ko:K11925	ahh:RY45_02990
ko:K07107	ahh:RY45_02995
ko:K04564	ahh:RY45_03020
ko:K03748	ahh:RY45_03025
ko:K01911	ahh:RY45_03075
ko:K02549	ahh:RY45_03080
ko:K01661	ahh:RY45_03085
ko:K08680	ahh:RY45_03090
ko:K02551	ahh:RY45_03095
ko:K02552	ahh:RY45_03100
ko:K02548	ahh:RY45_03105
ko:K05591	ahh:RY45_03130
ko:K11535	ahh:RY45_03135
ko:K07038	ahh:RY45_03140
ko:K09768	ahh:RY45_03155
ko:K16074	ahh:RY45_03160
ko:K02562	ahh:RY45_03185
ko:K00009	ahh:RY45_03190
ko:K02798	ahh:RY45_03195
ko:K02799	ahh:RY45_03195
ko:K02800	ahh:RY45_03195
ko:K01147	ahh:RY45_03210
ko:K05596	ahh:RY45_03215
ko:K01753	ahh:RY45_07580
ko:K13629	ahh:RY45_07585
ko:K13636	ahh:RY45_07590
ko:K09923	ahh:RY45_07600
ko:K03427	ahh:RY45_07610
ko:K01153	ahh:RY45_07615
ko:K03554	ahh:RY45_07685
ko:K02345	ahh:RY45_07825
ko:K03610	ahh:RY45_12165
ko:K03609	ahh:RY45_12170
ko:K03608	ahh:RY45_12175
ko:K09901	ahh:RY45_12180
ko:K03814	ahh:RY45_12185
ko:K09901	ahh:RY45_12190
ko:K00243	ahh:RY45_12200
ko:K01118	ahh:RY45_12225
ko:K08289	ahh:RY45_12235
ko:K00793	ahh:RY45_12250
ko:K03327	ahh:RY45_12260
ko:K02336	ahh:RY45_12290
ko:K19055	ahh:RY45_12295
ko:K07178	ahh:RY45_12310
ko:K02560	ahh:RY45_12315
ko:K02560	ahh:RY45_12320
ko:K01151	ahh:RY45_12340
ko:K01223	ahh:RY45_12370
ko:K03630	ahh:RY45_12395
ko:K01153	ahh:RY45_12400
ko:K03427	ahh:RY45_12415
ko:K07090	ahh:RY45_12445
ko:K03758	ahh:RY45_12450
ko:K00059	ahh:RY45_12455
ko:K02340	ahh:RY45_16755
ko:K00969	ahh:RY45_16760
ko:K09710	ahh:RY45_16765
ko:K00783	ahh:RY45_16770
ko:K05515	ahh:RY45_16775
ko:K05837	ahh:RY45_16780
ko:K08305	ahh:RY45_16785
ko:K03642	ahh:RY45_16790
ko:K07258	ahh:RY45_16795
ko:K09158	ahh:RY45_16800
ko:K03801	ahh:RY45_16805
ko:K03644	ahh:RY45_16810
ko:K07002	ahh:RY45_16850
ko:K00350	ahh:RY45_16855
ko:K03824	ahh:RY45_16865
ko:K07462	ahh:RY45_16875
ko:K03981	ahh:RY45_16880
ko:K03282	ahh:RY45_16885
ko:K04763	ahh:RY45_16890
ko:K03840	ahh:RY45_16895
ko:K03568	ahh:RY45_16900
ko:K03592	ahh:RY45_16905
ko:K06996	ahh:RY45_16910
ko:K19235	ahh:RY45_16915
ko:K08357	ahh:RY45_16945
ko:K08359	ahh:RY45_16950
ko:K08358	ahh:RY45_16955
ko:K13040	ahh:RY45_16960
ko:K13041	ahh:RY45_16965
ko:K02478	ahh:RY45_16970
ko:K02477	ahh:RY45_16975
ko:K06200	ahh:RY45_16980
ko:K05995	ahh:RY45_16985
ko:K01679	ahh:RY45_16990
ko:K06039	ahh:RY45_17000
ko:K00962	ahh:RY45_17015
ko:K02956	ahh:RY45_17020
ko:K03177	ahh:RY45_17025
ko:K02834	ahh:RY45_17030
ko:K02519	ahh:RY45_17035
ko:K00609	ahh:RY45_21320
ko:K00610	ahh:RY45_21325
ko:K00611	ahh:RY45_21340
ko:K00926	ahh:RY45_21345
ko:K01478	ahh:RY45_21350
ko:K03496	ahh:RY45_21355
ko:K03406	ahh:RY45_21365
ko:K10541	ahh:RY45_21370
ko:K10542	ahh:RY45_21375
ko:K10540	ahh:RY45_21380
ko:K01190	ahh:RY45_21385
ko:K02529	ahh:RY45_21390
ko:K01784	ahh:RY45_21395
ko:K00965	ahh:RY45_21400
ko:K00849	ahh:RY45_21405
ko:K01785	ahh:RY45_21410
ko:K06153	ahh:RY45_21420
ko:K07167	ahh:RY45_21425
ko:K03088	ahh:RY45_21430
ko:K07157	ahh:RY45_21435
ko:K01887	ahh:RY45_21440
ko:K03591	ahh:RY45_21445
ko:K01419	ahh:RY45_21450
ko:K03667	ahh:RY45_21455
ko:K00362	ahh:RY45_21470
ko:K00363	ahh:RY45_21475
ko:K02598	ahh:RY45_21480
ko:K02302	ahh:RY45_21485
ko:K06213	ahh:RY45_21490
ko:K03406	ahh:RY45_21495
ko:K02553	ahh:RY45_21500
ko:K09125	ahh:RY45_21505
ko:K08997	ahh:RY45_21515
ko:K03654	ahh:RY45_21525
ko:K11074	ahh:RY45_21550
ko:K11075	ahh:RY45_21555
ko:K11076	ahh:RY45_21560
ko:K11073	ahh:RY45_21565
ko:K11073	ahh:RY45_21570
ko:K12256	ahh:RY45_21575
ko:K01915	ahh:RY45_21580
ko:K06204	ahh:RY45_21585
ko:K01938	ahh:RY45_08805
ko:K01251	ahh:RY45_08830
ko:K07401	ahh:RY45_08835
ko:K01258	ahh:RY45_08845
ko:K01585	ahh:RY45_08855
ko:K03406	ahh:RY45_08870
ko:K00262	ahh:RY45_08920
ko:K06182	ahh:RY45_08925
ko:K03449	ahh:RY45_08930
ko:K00425	ahh:RY45_08980
ko:K00426	ahh:RY45_08985
ko:K06222	ahh:RY45_09000
ko:K06996	ahh:RY45_09010
ko:K00864	ahh:RY45_09025
ko:K02440	ahh:RY45_09030
ko:K02445	ahh:RY45_09035
ko:K03830	ahh:RY45_13320
ko:K07304	ahh:RY45_13335
ko:K14682	ahh:RY45_13340
ko:K00928	ahh:RY45_13345
ko:K16950	ahh:RY45_13370
ko:K16951	ahh:RY45_13375
ko:K00385	ahh:RY45_13380
ko:K02302	ahh:RY45_13385
ko:K03885	ahh:RY45_13415
ko:K07000	ahh:RY45_13420
ko:K08602	ahh:RY45_13430
ko:K08602	ahh:RY45_13435
ko:K09781	ahh:RY45_13440
ko:K03074	ahh:RY45_13450
ko:K03072	ahh:RY45_13455
ko:K07337	ahh:RY45_13475
ko:K09859	ahh:RY45_13485
ko:K02503	ahh:RY45_13490
ko:K03406	ahh:RY45_13495
ko:K01465	ahh:RY45_13505
ko:K01775	ahh:RY45_13530
ko:K10823	ahh:RY45_13540
ko:K15583	ahh:RY45_13545
ko:K15582	ahh:RY45_13550
ko:K15581	ahh:RY45_13555
ko:K15580	ahh:RY45_13560
ko:K04072	ahh:RY45_13575
ko:K02478	ahh:RY45_13585
ko:K02477	ahh:RY45_13590
ko:K01425	ahh:RY45_17895
ko:K09923	ahh:RY45_17900
ko:K03439	ahh:RY45_17905
ko:K05825	ahh:RY45_17915
ko:K07071	ahh:RY45_17925
ko:K02004	ahh:RY45_17930
ko:K02003	ahh:RY45_17935
ko:K10804	ahh:RY45_17940
ko:K03415	ahh:RY45_17945
ko:K07085	ahh:RY45_17955
ko:K11068	ahh:RY45_17960
ko:K01580	ahh:RY45_17965
ko:K06190	ahh:RY45_17970
ko:K09780	ahh:RY45_17975
ko:K01082	ahh:RY45_17980
ko:K02237	ahh:RY45_17985
ko:K00963	ahh:RY45_17990
ko:K03305	ahh:RY45_17995
ko:K01992	ahh:RY45_18025
ko:K01993	ahh:RY45_18030
ko:K05540	ahh:RY45_18040
ko:K03557	ahh:RY45_18045
ko:K15724	ahh:RY45_18075
ko:K03281	ahh:RY45_18085
ko:K01845	ahh:RY45_18090
ko:K11743	ahh:RY45_18125
ko:K11742	ahh:RY45_18130
ko:K08234	ahh:RY45_18135
ko:K05365	ahh:RY45_18140
ko:K03579	ahh:RY45_18145
ko:K06206	ahh:RY45_18155
ko:K06204	ahh:RY45_18160
ko:K01894	ahh:RY45_18165
ko:K00970	ahh:RY45_18170
ko:K07787	ahh:RY45_15300
ko:K01714	ahh:RY45_19655
ko:K00564	ahh:RY45_19660
ko:K00975	ahh:RY45_19665
ko:K00703	ahh:RY45_19670
ko:K03315	ahh:RY45_19710
ko:K02055	ahh:RY45_19720
ko:K02052	ahh:RY45_19725
ko:K02054	ahh:RY45_19730
ko:K02053	ahh:RY45_19735
ko:K00137	ahh:RY45_19740
ko:K11939	ahh:RY45_19750
ko:K03719	ahh:RY45_19755
ko:K00661	ahh:RY45_19760
ko:K01226	ahh:RY45_19765
ko:K02818	ahh:RY45_19770
ko:K02819	ahh:RY45_19770
ko:K03485	ahh:RY45_19775
ko:K07088	ahh:RY45_19780
ko:K01424	ahh:RY45_19790
ko:K07301	ahh:RY45_19795
ko:K01734	ahh:RY45_19805
ko:K03594	ahh:RY45_19815
ko:K02192	ahh:RY45_19820
ko:K06957	ahh:RY45_19830
ko:K03415	ahh:RY45_19840
ko:K11904	ahh:RY45_19890
ko:K11903	ahh:RY45_19895
ko:K08591	ahh:RY45_19920
ko:K01633	ahh:RY45_19925
ko:K00950	ahh:RY45_19930
ko:K06895	ahh:RY45_03230
ko:K01119	ahh:RY45_03235
ko:K06077	ahh:RY45_03240
ko:K01262	ahh:RY45_03255
ko:K01610	ahh:RY45_03265
ko:K04083	ahh:RY45_03270
ko:K04762	ahh:RY45_03275
ko:K02452	ahh:RY45_03280
ko:K02453	ahh:RY45_03285
ko:K02454	ahh:RY45_03290
ko:K02455	ahh:RY45_03295
ko:K02456	ahh:RY45_03300
ko:K02457	ahh:RY45_03305
ko:K02458	ahh:RY45_03310
ko:K02459	ahh:RY45_03315
ko:K02460	ahh:RY45_03320
ko:K02461	ahh:RY45_03325
ko:K02462	ahh:RY45_03330
ko:K02463	ahh:RY45_03335
ko:K01866	ahh:RY45_03345
ko:K08312	ahh:RY45_03355
ko:K01082	ahh:RY45_03360
ko:K03837	ahh:RY45_03365
ko:K06878	ahh:RY45_03370
ko:K03764	ahh:RY45_03380
ko:K01739	ahh:RY45_03385
ko:K12525	ahh:RY45_03390
ko:K01595	ahh:RY45_03395
ko:K01438	ahh:RY45_03400
ko:K00145	ahh:RY45_03405
ko:K00930	ahh:RY45_03410
ko:K00611	ahh:RY45_03415
ko:K01940	ahh:RY45_03420
ko:K01755	ahh:RY45_03425
ko:K00661	ahh:RY45_03450
ko:K02048	ahh:RY45_03460
ko:K07002	ahh:RY45_03465
ko:K02046	ahh:RY45_03470
ko:K02047	ahh:RY45_03475
ko:K02045	ahh:RY45_03480
ko:K13635	ahh:RY45_03485
ko:K03406	ahh:RY45_03495
ko:K03664	ahh:RY45_07960
ko:K09801	ahh:RY45_07970
ko:K06186	ahh:RY45_07980
ko:K13954	ahh:RY45_07985
ko:K00757	ahh:RY45_07990
ko:K06177	ahh:RY45_07995
ko:K01250	ahh:RY45_08000
ko:K03406	ahh:RY45_08020
ko:K11105	ahh:RY45_08045
ko:K01439	ahh:RY45_08055
ko:K03326	ahh:RY45_08075
ko:K01295	ahh:RY45_08080
ko:K07792	ahh:RY45_08090
ko:K01893	ahh:RY45_08095
ko:K00833	ahh:RY45_08110
ko:K01012	ahh:RY45_08115
ko:K00652	ahh:RY45_08120
ko:K02169	ahh:RY45_08125
ko:K01935	ahh:RY45_08130
ko:K03799	ahh:RY45_08135
ko:K03406	ahh:RY45_08140
ko:K07140	ahh:RY45_08145
ko:K03737	ahh:RY45_08155
ko:K09794	ahh:RY45_08160
ko:K00140	ahh:RY45_12480
ko:K00253	ahh:RY45_12485
ko:K01969	ahh:RY45_12490
ko:K13766	ahh:RY45_12495
ko:K01968	ahh:RY45_12500
ko:K01640	ahh:RY45_12505
ko:K07034	ahh:RY45_12525
ko:K09933	ahh:RY45_12530
ko:K03310	ahh:RY45_12540
ko:K07182	ahh:RY45_12570
ko:K02342	ahh:RY45_12575
ko:K14393	ahh:RY45_12585
ko:K03770	ahh:RY45_12595
ko:K01338	ahh:RY45_12605
ko:K03544	ahh:RY45_12610
ko:K01358	ahh:RY45_12615
ko:K03545	ahh:RY45_12620
ko:K08722	ahh:RY45_12630
ko:K09808	ahh:RY45_12635
ko:K09810	ahh:RY45_12640
ko:K03472	ahh:RY45_04400
ko:K00927	ahh:RY45_04405
ko:K01624	ahh:RY45_04410
ko:K04084	ahh:RY45_04425
ko:K03926	ahh:RY45_04430
ko:K06980	ahh:RY45_04450
ko:K09159	ahh:RY45_04455
ko:K19168	ahh:RY45_04460
ko:K00278	ahh:RY45_04465
ko:K03088	ahh:RY45_04470
ko:K03597	ahh:RY45_04475
ko:K03598	ahh:RY45_04480
ko:K03803	ahh:RY45_04485
ko:K03596	ahh:RY45_04490
ko:K03100	ahh:RY45_04495
ko:K03685	ahh:RY45_04500
ko:K03584	ahh:RY45_04510
ko:K03474	ahh:RY45_04515
ko:K08302	ahh:RY45_04525
ko:K02079	ahh:RY45_04530
ko:K02744	ahh:RY45_04535
ko:K02747	ahh:RY45_04540
ko:K02746	ahh:RY45_04545
ko:K02745	ahh:RY45_04550
ko:K02082	ahh:RY45_04555
ko:K16371	ahh:RY45_04560
ko:K11066	ahh:RY45_04570
ko:K07678	ahh:RY45_04580
ko:K03215	ahh:RY45_04585
ko:K00951	ahh:RY45_04590
ko:K04765	ahh:RY45_04595
ko:K01937	ahh:RY45_04600
ko:K01689	ahh:RY45_04605
ko:K05589	ahh:RY45_04610
ko:K00991	ahh:RY45_04615
ko:K01770	ahh:RY45_04620
ko:K06176	ahh:RY45_04625
ko:K03787	ahh:RY45_04630
ko:K00573	ahh:RY45_04635
ko:K06194	ahh:RY45_04645
ko:K03087	ahh:RY45_04650
ko:K01409	ahh:RY45_04655
ko:K09117	ahh:RY45_04660
ko:K03086	ahh:RY45_04670
ko:K02444	ahh:RY45_09040
ko:K00111	ahh:RY45_09045
ko:K01126	ahh:RY45_09050
ko:K01626	ahh:RY45_09060
ko:K14187	ahh:RY45_09065
ko:K09897	ahh:RY45_09075
ko:K08276	ahh:RY45_09080
ko:K01354	ahh:RY45_09100
ko:K02014	ahh:RY45_09105
ko:K07014	ahh:RY45_09110
ko:K09904	ahh:RY45_09115
ko:K06899	ahh:RY45_09120
ko:K10108	ahh:RY45_09125
ko:K10109	ahh:RY45_09130
ko:K10110	ahh:RY45_09135
ko:K10111	ahh:RY45_09140
ko:K03548	ahh:RY45_09160
ko:K00537	ahh:RY45_09180
ko:K01442	ahh:RY45_09190
ko:K01305	ahh:RY45_09200
ko:K10025	ahh:RY45_09210
ko:K10022	ahh:RY45_09215
ko:K05834	ahh:RY45_01460
ko:K07112	ahh:RY45_01470
ko:K01531	ahh:RY45_01475
ko:K05786	ahh:RY45_01490
ko:K12254	ahh:RY45_01495
ko:K00822	ahh:RY45_01505
ko:K00140	ahh:RY45_01510
ko:K00259	ahh:RY45_01520
ko:K13771	ahh:RY45_01530
ko:K03498	ahh:RY45_01550
ko:K03499	ahh:RY45_01555
ko:K03500	ahh:RY45_01560
ko:K00604	ahh:RY45_01565
ko:K01462	ahh:RY45_01570
ko:K04096	ahh:RY45_01580
ko:K03747	ahh:RY45_01585
ko:K07479	ahh:RY45_01590
ko:K01588	ahh:RY45_01595
ko:K07566	ahh:RY45_01600
ko:K00228	ahh:RY45_01605
ko:K00014	ahh:RY45_01610
ko:K03978	ahh:RY45_01620
ko:K09894	ahh:RY45_01635
ko:K01488	ahh:RY45_01650
ko:K07712	ahh:RY45_01655
ko:K07708	ahh:RY45_01660
ko:K01915	ahh:RY45_01670
ko:K06207	ahh:RY45_01675
ko:K07058	ahh:RY45_01680
ko:K07560	ahh:RY45_01690
ko:K03655	ahh:RY45_01715
