ko:K13671	pak:HMPREF0675_5433
ko:K06178	pak:HMPREF0675_4434
ko:K03496	pak:HMPREF0675_4436
ko:K04763	pak:HMPREF0675_4437
ko:K01951	pak:HMPREF0675_4821
ko:K00640	pak:HMPREF0675_4822
ko:K00088	pak:HMPREF0675_4824
ko:K00088	pak:HMPREF0675_4825
ko:K03310	pak:HMPREF0675_4827
ko:K04077	pak:HMPREF0675_4829
ko:K04078	pak:HMPREF0675_4830
ko:K02013	pak:HMPREF0675_4835
ko:K02015	pak:HMPREF0675_4836
ko:K02016	pak:HMPREF0675_4837
ko:K01409	pak:HMPREF0675_4839
ko:K03789	pak:HMPREF0675_4840
ko:K06925	pak:HMPREF0675_4842
ko:K02003	pak:HMPREF0675_4849
ko:K12583	pak:HMPREF0675_4850
ko:K00997	pak:HMPREF0675_4852
ko:K00820	pak:HMPREF0675_4853
ko:K00867	pak:HMPREF0675_4857
ko:K03431	pak:HMPREF0675_4859
ko:K02996	pak:HMPREF0675_4860
ko:K02871	pak:HMPREF0675_4861
ko:K03439	pak:HMPREF0675_4866
ko:K06173	pak:HMPREF0675_4867
ko:K00059	pak:HMPREF0675_4872
ko:K04564	pak:HMPREF0675_4875
ko:K08368	pak:HMPREF0675_4877
ko:K02879	pak:HMPREF0675_4880
ko:K03040	pak:HMPREF0675_4881
ko:K02986	pak:HMPREF0675_4882
ko:K02948	pak:HMPREF0675_4883
ko:K02952	pak:HMPREF0675_4884
ko:K02919	pak:HMPREF0675_4886
ko:K02518	pak:HMPREF0675_4887
ko:K01265	pak:HMPREF0675_4888
ko:K00939	pak:HMPREF0675_4889
ko:K03076	pak:HMPREF0675_4890
ko:K01126	pak:HMPREF0675_4893
ko:K02876	pak:HMPREF0675_4897
ko:K02907	pak:HMPREF0675_4898
ko:K02988	pak:HMPREF0675_4899
ko:K02881	pak:HMPREF0675_4900
ko:K02933	pak:HMPREF0675_4901
ko:K02994	pak:HMPREF0675_4902
ko:K02954	pak:HMPREF0675_4903
ko:K02931	pak:HMPREF0675_4904
ko:K02895	pak:HMPREF0675_4905
ko:K02874	pak:HMPREF0675_4906
ko:K02961	pak:HMPREF0675_4907
ko:K02904	pak:HMPREF0675_4908
ko:K02878	pak:HMPREF0675_4909
ko:K02982	pak:HMPREF0675_4910
ko:K02890	pak:HMPREF0675_4911
ko:K02965	pak:HMPREF0675_4912
ko:K02886	pak:HMPREF0675_4913
ko:K02892	pak:HMPREF0675_4914
ko:K02926	pak:HMPREF0675_4915
ko:K02906	pak:HMPREF0675_4916
ko:K02946	pak:HMPREF0675_4917
ko:K01885	pak:HMPREF0675_4922
ko:K01886	pak:HMPREF0675_4923
ko:K02358	pak:HMPREF0675_4927
ko:K02355	pak:HMPREF0675_4931
ko:K02992	pak:HMPREF0675_4932
ko:K02950	pak:HMPREF0675_4933
ko:K03046	pak:HMPREF0675_4937
ko:K03043	pak:HMPREF0675_4938
ko:K02935	pak:HMPREF0675_4939
ko:K02864	pak:HMPREF0675_4940
ko:K02863	pak:HMPREF0675_4941
ko:K02867	pak:HMPREF0675_4942
ko:K02601	pak:HMPREF0675_4943
ko:K00075	pak:HMPREF0675_4947
ko:K02913	pak:HMPREF0675_4950
ko:K01142	pak:HMPREF0675_4954
ko:K00174	pak:HMPREF0675_4961
ko:K00175	pak:HMPREF0675_4962
ko:K00013	pak:HMPREF0675_4213
ko:K07386	pak:HMPREF0675_4967
ko:K01644	pak:HMPREF0675_4976
ko:K02228	pak:HMPREF0675_4977
ko:K00343	pak:HMPREF0675_4980
ko:K00342	pak:HMPREF0675_4981
ko:K00341	pak:HMPREF0675_4982
ko:K00340	pak:HMPREF0675_4983
ko:K00339	pak:HMPREF0675_4984
ko:K00338	pak:HMPREF0675_4985
ko:K00337	pak:HMPREF0675_4986
ko:K00336	pak:HMPREF0675_4987
ko:K00335	pak:HMPREF0675_4988
ko:K00334	pak:HMPREF0675_4989
ko:K00333	pak:HMPREF0675_4990
ko:K00332	pak:HMPREF0675_4991
ko:K00331	pak:HMPREF0675_4992
ko:K00330	pak:HMPREF0675_4993
ko:K02552	pak:HMPREF0675_4996
ko:K03183	pak:HMPREF0675_4999
ko:K02548	pak:HMPREF0675_5005
ko:K05878	pak:HMPREF0675_5007
ko:K05879	pak:HMPREF0675_5008
ko:K01493	pak:HMPREF0675_5010
ko:K00817	pak:HMPREF0675_4214
ko:K01693	pak:HMPREF0675_4215
ko:K02501	pak:HMPREF0675_4216
ko:K01159	pak:HMPREF0675_4219
ko:K03550	pak:HMPREF0675_4220
ko:K01937	pak:HMPREF0675_4439
ko:K03631	pak:HMPREF0675_4443
ko:K00858	pak:HMPREF0675_4444
ko:K06442	pak:HMPREF0675_4445
ko:K03523	pak:HMPREF0675_4449
ko:K01866	pak:HMPREF0675_4458
ko:K03402	pak:HMPREF0675_4459
ko:K01012	pak:HMPREF0675_4461
ko:K01890	pak:HMPREF0675_4462
ko:K01889	pak:HMPREF0675_4463
ko:K02909	pak:HMPREF0675_5222
ko:K02902	pak:HMPREF0675_5223
ko:K02913	pak:HMPREF0675_5224
ko:K02954	pak:HMPREF0675_5225
ko:K02911	pak:HMPREF0675_5226
ko:K01207	pak:HMPREF0675_5228
ko:K01712	pak:HMPREF0675_5229
ko:K01468	pak:HMPREF0675_5232
ko:K01745	pak:HMPREF0675_5233
ko:K12410	pak:HMPREF0675_5236
ko:K11105	pak:HMPREF0675_5243
ko:K00761	pak:HMPREF0675_5249
ko:K09709	pak:HMPREF0675_5250
ko:K03549	pak:HMPREF0675_5253
ko:K00849	pak:HMPREF0675_5262
ko:K01940	pak:HMPREF0675_5270
ko:K03437	pak:HMPREF0675_4464
ko:K02887	pak:HMPREF0675_4465
ko:K02916	pak:HMPREF0675_4466
ko:K02520	pak:HMPREF0675_4467
ko:K00765	pak:HMPREF0675_4470
ko:K01523	pak:HMPREF0675_4471
ko:K01647	pak:HMPREF0675_4476
ko:K04096	pak:HMPREF0675_4483
ko:K07391	pak:HMPREF0675_4484
ko:K07460	pak:HMPREF0675_4485
ko:K03470	pak:HMPREF0675_4487
ko:K03100	pak:HMPREF0675_4488
ko:K02884	pak:HMPREF0675_4489
ko:K00240	pak:HMPREF0675_4490
ko:K00239	pak:HMPREF0675_4491
ko:K00241	pak:HMPREF0675_4492
ko:K00554	pak:HMPREF0675_4493
ko:K02860	pak:HMPREF0675_4494
ko:K06960	pak:HMPREF0675_4495
ko:K02959	pak:HMPREF0675_4496
ko:K03106	pak:HMPREF0675_4498
ko:K04488	pak:HMPREF0675_4611
ko:K11717	pak:HMPREF0675_4612
ko:K09013	pak:HMPREF0675_4613
ko:K05710	pak:HMPREF0675_4614
ko:K09015	pak:HMPREF0675_4615
ko:K09014	pak:HMPREF0675_4616
ko:K02259	pak:HMPREF0675_4626
ko:K00036	pak:HMPREF0675_4630
ko:K01057	pak:HMPREF0675_4632
ko:K01873	pak:HMPREF0675_4635
ko:K03544	pak:HMPREF0675_4638
ko:K01358	pak:HMPREF0675_4639
ko:K01358	pak:HMPREF0675_4640
ko:K03545	pak:HMPREF0675_4642
ko:K04567	pak:HMPREF0675_4656
ko:K01808	pak:HMPREF0675_4661
ko:K03501	pak:HMPREF0675_5423
ko:K06346	pak:HMPREF0675_5428
ko:K03217	pak:HMPREF0675_5429
ko:K03536	pak:HMPREF0675_5431
ko:K02914	pak:HMPREF0675_5432
ko:K01972	pak:HMPREF0675_4663
ko:K01256	pak:HMPREF0675_4665
ko:K00033	pak:HMPREF0675_4667
ko:K07107	pak:HMPREF0675_4670
ko:K13288	pak:HMPREF0675_4683
ko:K11737	pak:HMPREF0675_4685
ko:K01207	pak:HMPREF0675_4687
ko:K07009	pak:HMPREF0675_4699
ko:K02025	pak:HMPREF0675_4703
ko:K02026	pak:HMPREF0675_4705
ko:K03564	pak:HMPREF0675_4707
ko:K02346	pak:HMPREF0675_4720
ko:K00287	pak:HMPREF0675_4721
ko:K00560	pak:HMPREF0675_4722
ko:K00989	pak:HMPREF0675_4724
ko:K01776	pak:HMPREF0675_4725
ko:K04759	pak:HMPREF0675_4727
ko:K06891	pak:HMPREF0675_4730
ko:K00763	pak:HMPREF0675_4731
ko:K03530	pak:HMPREF0675_4732
ko:K00705	pak:HMPREF0675_4733
ko:K03786	pak:HMPREF0675_4736
ko:K01588	pak:HMPREF0675_4753
ko:K01589	pak:HMPREF0675_4754
ko:K03524	pak:HMPREF0675_4757
ko:K06287	pak:HMPREF0675_4761
ko:K03551	pak:HMPREF0675_4221
ko:K03210	pak:HMPREF0675_4222
ko:K03072	pak:HMPREF0675_4223
ko:K03074	pak:HMPREF0675_4224
ko:K00759	pak:HMPREF0675_4225
ko:K01892	pak:HMPREF0675_4230
ko:K01876	pak:HMPREF0675_4236
ko:K07478	pak:HMPREF0675_4237
ko:K01872	pak:HMPREF0675_4239
ko:K07447	pak:HMPREF0675_4240
ko:K07082	pak:HMPREF0675_4241
ko:K00014	pak:HMPREF0675_4242
ko:K01736	pak:HMPREF0675_4243
ko:K00891	pak:HMPREF0675_4244
ko:K01735	pak:HMPREF0675_4245
ko:K07282	pak:HMPREF0675_4246
ko:K02356	pak:HMPREF0675_4249
ko:K03625	pak:HMPREF0675_4250
ko:K00942	pak:HMPREF0675_4252
ko:K03060	pak:HMPREF0675_4253
ko:K13038	pak:HMPREF0675_4254
ko:K00789	pak:HMPREF0675_4255
ko:K04066	pak:HMPREF0675_4256
ko:K00604	pak:HMPREF0675_4257
ko:K03500	pak:HMPREF0675_4258
ko:K01783	pak:HMPREF0675_4261
ko:K00016	pak:HMPREF0675_5012
ko:K02566	pak:HMPREF0675_5015
ko:K02025	pak:HMPREF0675_5019
ko:K02026	pak:HMPREF0675_5020
ko:K01933	pak:HMPREF0675_5033
ko:K00764	pak:HMPREF0675_5034
ko:K04561	pak:HMPREF0675_5039
ko:K01952	pak:HMPREF0675_5041
ko:K01256	pak:HMPREF0675_5043
ko:K01952	pak:HMPREF0675_5052
ko:K01923	pak:HMPREF0675_5053
ko:K03386	pak:HMPREF0675_5054
ko:K03387	pak:HMPREF0675_5055
ko:K04761	pak:HMPREF0675_5056
ko:K01756	pak:HMPREF0675_5057
ko:K01945	pak:HMPREF0675_5058
ko:K01939	pak:HMPREF0675_5059
ko:K07442	pak:HMPREF0675_4264
ko:K01421	pak:HMPREF0675_4266
ko:K03433	pak:HMPREF0675_4269
ko:K03432	pak:HMPREF0675_4270
ko:K00945	pak:HMPREF0675_4273
ko:K03977	pak:HMPREF0675_4274
ko:K00852	pak:HMPREF0675_4276
ko:K02429	pak:HMPREF0675_4278
ko:K01619	pak:HMPREF0675_4279
ko:K03820	pak:HMPREF0675_4285
ko:K01126	pak:HMPREF0675_4288
ko:K00790	pak:HMPREF0675_4289
ko:K00382	pak:HMPREF0675_4290
ko:K02114	pak:HMPREF0675_4302
ko:K02337	pak:HMPREF0675_4211
ko:K00382	pak:HMPREF0675_4774
ko:K03783	pak:HMPREF0675_4775
ko:K00876	pak:HMPREF0675_4778
ko:K01874	pak:HMPREF0675_4781
ko:K03469	pak:HMPREF0675_4782
ko:K01489	pak:HMPREF0675_4783
ko:K07335	pak:HMPREF0675_4788
ko:K00031	pak:HMPREF0675_4792
ko:K01433	pak:HMPREF0675_4793
ko:K00024	pak:HMPREF0675_4794
ko:K01491	pak:HMPREF0675_4797
ko:K00602	pak:HMPREF0675_4801
ko:K11175	pak:HMPREF0675_4802
ko:K00794	pak:HMPREF0675_4803
ko:K00793	pak:HMPREF0675_4805
ko:K11752	pak:HMPREF0675_4806
ko:K01902	pak:HMPREF0675_4809
ko:K01903	pak:HMPREF0675_4811
ko:K03657	pak:HMPREF0675_4812
ko:K02073	pak:HMPREF0675_4813
ko:K02071	pak:HMPREF0675_4814
ko:K02072	pak:HMPREF0675_4815
ko:K06131	pak:HMPREF0675_4816
ko:K06131	pak:HMPREF0675_4817
ko:K00951	pak:HMPREF0675_4227
ko:K03117	pak:HMPREF0675_3710
ko:K03593	pak:HMPREF0675_3712
ko:K02259	pak:HMPREF0675_3716
ko:K01262	pak:HMPREF0675_3717
ko:K07164	pak:HMPREF0675_3718
ko:K02016	pak:HMPREF0675_3723
ko:K02015	pak:HMPREF0675_3724
ko:K02013	pak:HMPREF0675_3725
ko:K06200	pak:HMPREF0675_3728
ko:K02492	pak:HMPREF0675_3350
ko:K01772	pak:HMPREF0675_3351
ko:K07067	pak:HMPREF0675_3353
ko:K04485	pak:HMPREF0675_3354
ko:K00027	pak:HMPREF0675_3355
ko:K00133	pak:HMPREF0675_3360
ko:K00286	pak:HMPREF0675_3361
ko:K13542	pak:HMPREF0675_3364
ko:K07114	pak:HMPREF0675_4037
ko:K07114	pak:HMPREF0675_4038
ko:K06997	pak:HMPREF0675_4039
ko:K09458	pak:HMPREF0675_4041
ko:K02078	pak:HMPREF0675_4042
ko:K00648	pak:HMPREF0675_4043
ko:K00645	pak:HMPREF0675_4044
ko:K00077	pak:HMPREF0675_4045
ko:K00163	pak:HMPREF0675_4049
ko:K08281	pak:HMPREF0675_4053
ko:K02825	pak:HMPREF0675_4055
ko:K00609	pak:HMPREF0675_4056
ko:K01465	pak:HMPREF0675_4057
ko:K01956	pak:HMPREF0675_4058
ko:K01955	pak:HMPREF0675_4059
ko:K02823	pak:HMPREF0675_4060
ko:K01591	pak:HMPREF0675_4062
ko:K00762	pak:HMPREF0675_4063
ko:K00995	pak:HMPREF0675_4066
ko:K03743	pak:HMPREF0675_4067
ko:K03553	pak:HMPREF0675_4071
ko:K03565	pak:HMPREF0675_4072
ko:K06168	pak:HMPREF0675_4076
ko:K00791	pak:HMPREF0675_4078
ko:K01778	pak:HMPREF0675_4079
ko:K03665	pak:HMPREF0675_4080
ko:K03722	pak:HMPREF0675_4081
ko:K01356	pak:HMPREF0675_4082
ko:K07738	pak:HMPREF0675_4084
ko:K06196	pak:HMPREF0675_3367
ko:K07399	pak:HMPREF0675_3368
ko:K07124	pak:HMPREF0675_3371
ko:K02016	pak:HMPREF0675_3375
ko:K02013	pak:HMPREF0675_3376
ko:K02015	pak:HMPREF0675_3377
ko:K02036	pak:HMPREF0675_3380
ko:K02038	pak:HMPREF0675_3381
ko:K02037	pak:HMPREF0675_3382
ko:K02040	pak:HMPREF0675_3383
ko:K00937	pak:HMPREF0675_3385
ko:K07560	pak:HMPREF0675_3388
ko:K06980	pak:HMPREF0675_3390
ko:K08483	pak:HMPREF0675_3393
ko:K00991	pak:HMPREF0675_3395
ko:K02781	pak:HMPREF0675_3396
ko:K02774	pak:HMPREF0675_3397
ko:K07736	pak:HMPREF0675_3398
ko:K07776	pak:HMPREF0675_3400
ko:K02039	pak:HMPREF0675_3402
ko:K02773	pak:HMPREF0675_3406
ko:K02774	pak:HMPREF0675_3407
ko:K01424	pak:HMPREF0675_3408
ko:K11738	pak:HMPREF0675_3409
ko:K00600	pak:HMPREF0675_3410
ko:K00874	pak:HMPREF0675_3411
ko:K01625	pak:HMPREF0675_3412
ko:K03578	pak:HMPREF0675_4088
ko:K10805	pak:HMPREF0675_4089
ko:K03086	pak:HMPREF0675_4091
ko:K01192	pak:HMPREF0675_4092
ko:K02470	pak:HMPREF0675_4101
ko:K06902	pak:HMPREF0675_4103
ko:K02469	pak:HMPREF0675_4105
ko:K00857	pak:HMPREF0675_4109
ko:K04092	pak:HMPREF0675_4823
ko:K00863	pak:HMPREF0675_3688
ko:K14232	pak:HMPREF0675_4275
ko:K02027	pak:HMPREF0675_3433
ko:K05847	pak:HMPREF0675_3441
ko:K02027	pak:HMPREF0675_4701
ko:K02027	pak:HMPREF0675_5021
ko:K02027	pak:HMPREF0675_4511
ko:K14220	pak:HMPREF0675_4017
ko:K02013	pak:HMPREF0675_4597
ko:K01897	pak:HMPREF0675_5310
ko:K03762	pak:HMPREF0675_3701
ko:K14335	pak:HMPREF0675_4879
ko:K14347	pak:HMPREF0675_4594
ko:K02018	pak:HMPREF0675_3553
ko:K02017	pak:HMPREF0675_3553
ko:K00758	pak:HMPREF0675_4415
ko:K03491	pak:HMPREF0675_3025
ko:K02003	pak:HMPREF0675_3921
ko:K09992	pak:HMPREF0675_5111
ko:K01992	pak:HMPREF0675_3987
ko:K14228	pak:HMPREF0675_4478
ko:K14218	pak:HMPREF0675_3134
ko:K14237	pak:HMPREF0675_4134
ko:K01992	pak:HMPREF0675_4873
ko:K02075	pak:HMPREF0675_3681
ko:K01934	pak:HMPREF0675_3539
ko:K14219	pak:HMPREF0675_4323
ko:K01046	pak:HMPREF0675_5159
ko:K03457	pak:HMPREF0675_5282
ko:K14234	pak:HMPREF0675_3296
ko:K14223	pak:HMPREF0675_4412
ko:K14233	pak:HMPREF0675_5245
ko:K14231	pak:HMPREF0675_5027
ko:K14224	pak:HMPREF0675_4411
ko:K04517	pak:HMPREF0675_4272
ko:K14236	pak:HMPREF0675_4953
ko:K14226	pak:HMPREF0675_4684
ko:K11737	pak:HMPREF0675_5360
ko:K01814	pak:HMPREF0675_4217
ko:K01817	pak:HMPREF0675_4217
ko:K14228	pak:HMPREF0675_5203
ko:K02803	pak:HMPREF0675_3748
ko:K00868	pak:HMPREF0675_4766
ko:K14161	pak:HMPREF0675_4696
ko:K14237	pak:HMPREF0675_4131
ko:K14218	pak:HMPREF0675_3904
ko:K00674	pak:HMPREF0675_3697
ko:K01978	pak:HMPREF0675_3719
ko:K00096	pak:HMPREF0675_5398
ko:K00721	pak:HMPREF0675_4286
ko:K01990	pak:HMPREF0675_3986
ko:K02029	pak:HMPREF0675_3666
ko:K14228	pak:HMPREF0675_3840
ko:K03307	pak:HMPREF0675_5263
ko:K01980	pak:HMPREF0675_3609
ko:K01980	pak:HMPREF0675_4692
ko:K01980	pak:HMPREF0675_4455
ko:K01187	pak:HMPREF0675_4668
ko:K01187	pak:HMPREF0675_5412
ko:K02057	pak:HMPREF0675_4784
ko:K01977	pak:HMPREF0675_3607
ko:K01977	pak:HMPREF0675_4693
ko:K01977	pak:HMPREF0675_4456
ko:K02303	pak:HMPREF0675_3473
ko:K01985	pak:HMPREF0675_3611
ko:K01985	pak:HMPREF0675_4453
ko:K01985	pak:HMPREF0675_4690
ko:K00941	pak:HMPREF0675_3113
ko:K09819	pak:HMPREF0675_4571
ko:K02004	pak:HMPREF0675_5003
ko:K14219	pak:HMPREF0675_3532
ko:K02483	pak:HMPREF0675_5108
ko:K14234	pak:HMPREF0675_3478
ko:K01515	pak:HMPREF0675_4438
ko:K14225	pak:HMPREF0675_5122
ko:K02803	pak:HMPREF0675_3747
ko:K14235	pak:HMPREF0675_4945
ko:K10200	pak:HMPREF0675_3087
ko:K03293	pak:HMPREF0675_4129
ko:K03293	pak:HMPREF0675_5345
ko:K14337	pak:HMPREF0675_4956
ko:K01990	pak:HMPREF0675_3187
ko:K01990	pak:HMPREF0675_3446
ko:K01990	pak:HMPREF0675_4624
ko:K01990	pak:HMPREF0675_5276
ko:K01524	pak:HMPREF0675_3600
ko:K15582	pak:HMPREF0675_5219
ko:K10823	pak:HMPREF0675_5221
ko:K07768	pak:HMPREF0675_3401
ko:K15035	pak:HMPREF0675_4388
ko:K02821	pak:HMPREF0675_3483
ko:K14230	pak:HMPREF0675_4343
ko:K14221	pak:HMPREF0675_5026
ko:K14228	pak:HMPREF0675_3601
ko:K14219	pak:HMPREF0675_5257
ko:K11189	pak:HMPREF0675_3154
ko:K11189	pak:HMPREF0675_3394
ko:K03111	pak:HMPREF0675_4677
ko:K03811	pak:HMPREF0675_4472
ko:K14218	pak:HMPREF0675_3543
ko:K14229	pak:HMPREF0675_4700
ko:K01802	pak:HMPREF0675_4433
ko:K14232	pak:HMPREF0675_4654
ko:K14162	pak:HMPREF0675_4695
ko:K14222	pak:HMPREF0675_4132
ko:K01983	pak:HMPREF0675_3246
ko:K02074	pak:HMPREF0675_3682
ko:K08676	pak:HMPREF0675_4637
ko:K03293	pak:HMPREF0675_5097
ko:K00338	pak:HMPREF0675_4957
ko:K14233	pak:HMPREF0675_5259
ko:K14761	pak:HMPREF0675_3664
ko:K18930	pak:HMPREF0675_3845
ko:K08316	pak:HMPREF0675_4530
ko:K02001	pak:HMPREF0675_4542
ko:K14645	pak:HMPREF0675_3663
ko:K05606	pak:HMPREF0675_4166
ko:K14230	pak:HMPREF0675_4951
ko:K16013	pak:HMPREF0675_3214
ko:K16012	pak:HMPREF0675_3213
ko:K06177	pak:HMPREF0675_5388
ko:K11939	pak:HMPREF0675_3982
ko:K05881	pak:HMPREF0675_5009
ko:K00971	pak:HMPREF0675_4747
ko:K00332	pak:HMPREF0675_4958
ko:K02027	pak:HMPREF0675_5372
ko:K14227	pak:HMPREF0675_3018
ko:K15034	pak:HMPREF0675_4295
ko:K00613	pak:HMPREF0675_3699
ko:K01834	pak:HMPREF0675_3405
ko:K01834	pak:HMPREF0675_3875
ko:K15533	pak:HMPREF0675_3084
ko:K05602	pak:HMPREF0675_4336
ko:K00008	pak:HMPREF0675_3976
ko:K02768	pak:HMPREF0675_5307
ko:K01190	pak:HMPREF0675_4752
ko:K03079	pak:HMPREF0675_3938
ko:K02804	pak:HMPREF0675_3744
ko:K01186	pak:HMPREF0675_3754
ko:K01426	pak:HMPREF0675_5120
ko:K05364	pak:HMPREF0675_3226
ko:K01191	pak:HMPREF0675_4516
ko:K06147	pak:HMPREF0675_3218
ko:K06147	pak:HMPREF0675_5002
ko:K06148	pak:HMPREF0675_3101
ko:K12510	pak:HMPREF0675_3278
ko:K02035	pak:HMPREF0675_4342
ko:K02035	pak:HMPREF0675_4525
ko:K02035	pak:HMPREF0675_4894
ko:K09820	pak:HMPREF0675_4570
ko:K01990	pak:HMPREF0675_4874
ko:K01990	pak:HMPREF0675_4972
ko:K01167	pak:HMPREF0675_3799
ko:K01802	pak:HMPREF0675_5227
ko:K03292	pak:HMPREF0675_5411
ko:K04758	pak:HMPREF0675_4726
ko:K09791	pak:HMPREF0675_4739
ko:K00970	pak:HMPREF0675_5378
ko:K15371	pak:HMPREF0675_4368
ko:K01840	pak:HMPREF0675_4776
ko:K00368	pak:HMPREF0675_3095
ko:K15987	pak:HMPREF0675_4623
ko:K01719	pak:HMPREF0675_3346
ko:K18682	pak:HMPREF0675_4073
ko:K05342	pak:HMPREF0675_4170
ko:K15771	pak:HMPREF0675_4620
ko:K16147	pak:HMPREF0675_4176
ko:K16148	pak:HMPREF0675_3706
ko:K00259	pak:HMPREF0675_5351
ko:K16163	pak:HMPREF0675_3873
ko:K10716	pak:HMPREF0675_4226
ko:K03284	pak:HMPREF0675_4770
ko:K01692	pak:HMPREF0675_4955
ko:K11733	pak:HMPREF0675_3652
ko:K02031	pak:HMPREF0675_4523
ko:K06016	pak:HMPREF0675_5230
ko:K01209	pak:HMPREF0675_5386
ko:K03699	pak:HMPREF0675_4790
ko:K15772	pak:HMPREF0675_4621
ko:K10112	pak:HMPREF0675_3430
ko:K15770	pak:HMPREF0675_4618
ko:K10202	pak:HMPREF0675_3089
ko:K10242	pak:HMPREF0675_3057
ko:K16783	pak:HMPREF0675_4447
ko:K16784	pak:HMPREF0675_4448
ko:K10201	pak:HMPREF0675_3088
ko:K02851	pak:HMPREF0675_4313
ko:K02778	pak:HMPREF0675_3340
ko:K02779	pak:HMPREF0675_3340
ko:K02031	pak:HMPREF0675_4339
ko:K16785	pak:HMPREF0675_4869
ko:K16786	pak:HMPREF0675_4870
ko:K16787	pak:HMPREF0675_4870
ko:K02768	pak:HMPREF0675_5308
ko:K02769	pak:HMPREF0675_5308
ko:K02770	pak:HMPREF0675_5308
ko:K14237	pak:HMPREF0675_4400
ko:K14233	pak:HMPREF0675_5266
ko:K16370	pak:HMPREF0675_3156
ko:K11991	pak:HMPREF0675_5247
ko:K16925	pak:HMPREF0675_3196
ko:K16927	pak:HMPREF0675_4871
ko:K16785	pak:HMPREF0675_3197
ko:K16786	pak:HMPREF0675_3197
ko:K16787	pak:HMPREF0675_3197
ko:K14233	pak:HMPREF0675_3244
ko:K14219	pak:HMPREF0675_4681
ko:K14223	pak:HMPREF0675_3580
ko:K00096	pak:HMPREF0675_4553
ko:K07308	pak:HMPREF0675_3562
ko:K17317	pak:HMPREF0675_5028
ko:K17316	pak:HMPREF0675_5029
ko:K01992	pak:HMPREF0675_3188
ko:K01992	pak:HMPREF0675_3447
ko:K01992	pak:HMPREF0675_4625
ko:K01992	pak:HMPREF0675_5277
ko:K15581	pak:HMPREF0675_5218
ko:K17315	pak:HMPREF0675_5030
ko:K15583	pak:HMPREF0675_5220
ko:K02028	pak:HMPREF0675_3665
ko:K17828	pak:HMPREF0675_4061
ko:K15580	pak:HMPREF0675_5217
ko:K03416	pak:HMPREF0675_5073
ko:K17489	pak:HMPREF0675_5072
ko:K17490	pak:HMPREF0675_5070
ko:K17489	pak:HMPREF0675_5071
ko:K17686	pak:HMPREF0675_3759
ko:K17686	pak:HMPREF0675_5316
ko:K01267	pak:HMPREF0675_3634
ko:K02021	pak:HMPREF0675_3102
ko:K08221	pak:HMPREF0675_4296
ko:K17883	pak:HMPREF0675_3374
ko:K17898	pak:HMPREF0675_5357
ko:K17899	pak:HMPREF0675_5356
ko:K15035	pak:HMPREF0675_4386
ko:K01906	pak:HMPREF0675_4919
ko:K00652	pak:HMPREF0675_4919
ko:K21469	pak:HMPREF0675_4199
ko:K18118	pak:HMPREF0675_5118
ko:K03574	pak:HMPREF0675_3384
ko:K22306	pak:HMPREF0675_3903
ko:K08300	pak:HMPREF0675_3891
ko:K08301	pak:HMPREF0675_3891
ko:K18955	pak:HMPREF0675_4744
ko:K18955	pak:HMPREF0675_4328
ko:K06147	pak:HMPREF0675_3219
ko:K18929	pak:HMPREF0675_3208
ko:K18928	pak:HMPREF0675_3207
ko:K03976	pak:HMPREF0675_5337
ko:K05991	pak:HMPREF0675_3711
ko:K03526	pak:HMPREF0675_4573
ko:K19221	pak:HMPREF0675_3471
ko:K00798	pak:HMPREF0675_4300
ko:K02802	pak:HMPREF0675_3749
ko:K19265	pak:HMPREF0675_4054
ko:K01785	pak:HMPREF0675_4074
ko:K01990	pak:HMPREF0675_5141
ko:K21400	pak:HMPREF0675_5355
ko:K08744	pak:HMPREF0675_4142
ko:K19710	pak:HMPREF0675_4140
ko:K12132	pak:HMPREF0675_3225
ko:K20074	pak:HMPREF0675_3228
ko:K20265	pak:HMPREF0675_3217
ko:K12132	pak:HMPREF0675_3798
ko:K20370	pak:HMPREF0675_5414
ko:K21029	pak:HMPREF0675_3566
ko:K21071	pak:HMPREF0675_3093
ko:K00821	pak:HMPREF0675_4392
ko:K21636	pak:HMPREF0675_5198
ko:K11045	pak:HMPREF0675_4260
ko:K03636	pak:HMPREF0675_3548
ko:K21399	pak:HMPREF0675_5354
ko:K21401	pak:HMPREF0675_4994
ko:K21471	pak:HMPREF0675_3790
ko:K21600	pak:HMPREF0675_5318
ko:K21672	pak:HMPREF0675_5353
ko:K10914	pak:HMPREF0675_3269
ko:K21929	pak:HMPREF0675_4299
ko:K00936	pak:HMPREF0675_4329
ko:K22010	pak:HMPREF0675_3841
ko:K22044	pak:HMPREF0675_5375
ko:K03077	pak:HMPREF0675_3939
ko:K03077	pak:HMPREF0675_5404
ko:K14441	pak:HMPREF0675_4065
ko:K17758	pak:HMPREF0675_4851
ko:K17759	pak:HMPREF0675_4851
ko:K02257	pak:HMPREF0675_4628
ko:K00728	pak:HMPREF0675_3573
ko:K22468	pak:HMPREF0675_4248
ko:K07566	pak:HMPREF0675_4314
