ko:K19743	apu:APA07_08140
ko:K02071	apu:APA07_21910
ko:K02073	apu:APA07_21920
ko:K02302	apu:APA07_21940
ko:K00077	apu:APA07_22010
ko:K02053	apu:APA07_22140
ko:K00137	apu:APA07_22210
ko:K03561	apu:APA07_22290
ko:K03832	apu:APA07_22310
ko:K11103	apu:APA07_22340
ko:K07341	apu:APA07_43770
ko:K07726	apu:APA07_43930
ko:K01975	apu:APA07_00880
ko:K06890	apu:APA07_00890
ko:K02297	apu:APA07_00900
ko:K02298	apu:APA07_00910
ko:K02299	apu:APA07_00920
ko:K02300	apu:APA07_00930
ko:K01255	apu:APA07_00970
ko:K13013	apu:APA07_01000
ko:K01465	apu:APA07_01040
ko:K00528	apu:APA07_01060
ko:K00029	apu:APA07_01110
ko:K02601	apu:APA07_01120
ko:K03073	apu:APA07_01130
ko:K02113	apu:APA07_01170
ko:K02111	apu:APA07_01180
ko:K02115	apu:APA07_01190
ko:K02112	apu:APA07_01200
ko:K02114	apu:APA07_01210
ko:K09457	apu:APA07_01220
ko:K03684	apu:APA07_01230
ko:K13583	apu:APA07_01260
ko:K11738	apu:APA07_01270
ko:K02045	apu:APA07_01280
ko:K02047	apu:APA07_01290
ko:K02046	apu:APA07_01300
ko:K02048	apu:APA07_01350
ko:K03735	apu:APA07_01370
ko:K03736	apu:APA07_01380
ko:K03585	apu:APA07_01400
ko:K03665	apu:APA07_17470
ko:K03666	apu:APA07_17480
ko:K13599	apu:APA07_17490
ko:K13598	apu:APA07_17500
ko:K07712	apu:APA07_17510
ko:K07708	apu:APA07_17520
ko:K12506	apu:APA07_17540
ko:K00761	apu:APA07_17660
ko:K00012	apu:APA07_17690
ko:K04752	apu:APA07_17710
ko:K00640	apu:APA07_17720
ko:K03185	apu:APA07_17730
ko:K02356	apu:APA07_17810
ko:K03704	apu:APA07_17840
ko:K01061	apu:APA07_17850
ko:K04078	apu:APA07_17860
ko:K04077	apu:APA07_17870
ko:K07107	apu:APA07_26240
ko:K03551	apu:APA07_26250
ko:K03550	apu:APA07_26260
ko:K01159	apu:APA07_26270
ko:K03070	apu:APA07_26290
ko:K00620	apu:APA07_26310
ko:K00286	apu:APA07_26410
ko:K03530	apu:APA07_26450
ko:K01950	apu:APA07_26510
ko:K01693	apu:APA07_26520
ko:K02501	apu:APA07_26530
ko:K01814	apu:APA07_26540
ko:K02500	apu:APA07_26550
ko:K03501	apu:APA07_26660
ko:K03495	apu:APA07_26670
ko:K03650	apu:APA07_26680
ko:K06966	apu:APA07_26740
ko:K08973	apu:APA07_26770
ko:K07566	apu:APA07_07190
ko:K01255	apu:APA07_07210
ko:K02339	apu:APA07_07220
ko:K03579	apu:APA07_07250
ko:K04083	apu:APA07_07270
ko:K03565	apu:APA07_07310
ko:K03116	apu:APA07_07330
ko:K08967	apu:APA07_07350
ko:K09880	apu:APA07_07360
ko:K11753	apu:APA07_07370
ko:K01870	apu:APA07_07380
ko:K03101	apu:APA07_07390
ko:K03572	apu:APA07_07410
ko:K00342	apu:APA07_07420
ko:K11939	apu:APA07_07430
ko:K02622	apu:APA07_07440
ko:K01738	apu:APA07_07480
ko:K03797	apu:APA07_07510
ko:K12573	apu:APA07_07520
ko:K03168	apu:APA07_07530
ko:K04096	apu:APA07_07580
ko:K08591	apu:APA07_07590
ko:K01465	apu:APA07_07600
ko:K00609	apu:APA07_07610
ko:K06916	apu:APA07_07650
ko:K00164	apu:APA07_07660
ko:K00658	apu:APA07_07670
ko:K00382	apu:APA07_07680
ko:K01251	apu:APA07_07710
ko:K00655	apu:APA07_07720
ko:K02379	apu:APA07_14790
ko:K03752	apu:APA07_14800
ko:K03753	apu:APA07_14810
ko:K03750	apu:APA07_14820
ko:K02380	apu:APA07_14830
ko:K00123	apu:APA07_14860
ko:K01524	apu:APA07_14880
ko:K00847	apu:APA07_14900
ko:K03602	apu:APA07_14920
ko:K00795	apu:APA07_14930
ko:K01662	apu:APA07_14940
ko:K06442	apu:APA07_14950
ko:K06941	apu:APA07_14970
ko:K01940	apu:APA07_14980
ko:K03773	apu:APA07_14990
ko:K01867	apu:APA07_15010
ko:K03500	apu:APA07_15070
ko:K02034	apu:APA07_15100
ko:K00459	apu:APA07_15140
ko:K09474	apu:APA07_15150
ko:K01169	apu:APA07_15160
ko:K01114	apu:APA07_15180
ko:K15549	apu:APA07_15280
ko:K15547	apu:APA07_15290
ko:K03594	apu:APA07_23530
ko:K01246	apu:APA07_23560
ko:K07090	apu:APA07_23600
ko:K06911	apu:APA07_23640
ko:K03543	apu:APA07_23660
ko:K01799	apu:APA07_23730
ko:K15357	apu:APA07_23740
ko:K14974	apu:APA07_23790
ko:K09768	apu:APA07_00030
ko:K07552	apu:APA07_00050
ko:K09791	apu:APA07_00070
ko:K07157	apu:APA07_00080
ko:K02199	apu:APA07_08950
ko:K02198	apu:APA07_08960
ko:K02197	apu:APA07_08970
ko:K02195	apu:APA07_08990
ko:K09780	apu:APA07_09000
ko:K00684	apu:APA07_09070
ko:K00982	apu:APA07_09120
ko:K03564	apu:APA07_09130
ko:K09760	apu:APA07_09170
ko:K02867	apu:APA07_09230
ko:K02863	apu:APA07_09240
ko:K02864	apu:APA07_09250
ko:K02935	apu:APA07_09260
ko:K03043	apu:APA07_09270
ko:K03046	apu:APA07_09280
ko:K02950	apu:APA07_09290
ko:K02992	apu:APA07_09300
ko:K02358	apu:APA07_09310
ko:K02946	apu:APA07_09315
ko:K02906	apu:APA07_09320
ko:K02926	apu:APA07_09330
ko:K02892	apu:APA07_09340
ko:K02886	apu:APA07_09350
ko:K02965	apu:APA07_09355
ko:K02890	apu:APA07_09360
ko:K02982	apu:APA07_09370
ko:K02878	apu:APA07_09380
ko:K02904	apu:APA07_09390
ko:K02961	apu:APA07_09400
ko:K02874	apu:APA07_09410
ko:K02895	apu:APA07_09420
ko:K00332	apu:APA07_16410
ko:K00331	apu:APA07_16420
ko:K00330	apu:APA07_16430
ko:K03530	apu:APA07_16460
ko:K01338	apu:APA07_16470
ko:K03544	apu:APA07_16480
ko:K01358	apu:APA07_16490
ko:K03545	apu:APA07_16500
ko:K03215	apu:APA07_16550
ko:K11717	apu:APA07_16590
ko:K09015	apu:APA07_16600
ko:K09013	apu:APA07_16610
ko:K09014	apu:APA07_16620
ko:K01595	apu:APA07_16650
ko:K02355	apu:APA07_16670
ko:K02902	apu:APA07_16680
ko:K00990	apu:APA07_16720
ko:K03555	apu:APA07_16730
ko:K01299	apu:APA07_16750
ko:K01733	apu:APA07_16770
ko:K03592	apu:APA07_16790
ko:K01920	apu:APA07_16860
ko:K00384	apu:APA07_16900
ko:K01581	apu:APA07_25160
ko:K07058	apu:APA07_25170
ko:K03642	apu:APA07_25180
ko:K03786	apu:APA07_25190
ko:K02160	apu:APA07_25200
ko:K01961	apu:APA07_25210
ko:K03147	apu:APA07_25230
ko:K07243	apu:APA07_25260
ko:K07230	apu:APA07_25270
ko:K07267	apu:APA07_25280
ko:K07267	apu:APA07_25310
ko:K07447	apu:APA07_25350
ko:K02435	apu:APA07_25360
ko:K02434	apu:APA07_25380
ko:K10773	apu:APA07_25410
ko:K01772	apu:APA07_25420
ko:K03575	apu:APA07_25430
ko:K01869	apu:APA07_25480
ko:K03643	apu:APA07_25490
ko:K02340	apu:APA07_25500
ko:K03522	apu:APA07_25590
ko:K03521	apu:APA07_25600
ko:K00311	apu:APA07_25610
ko:K07275	apu:APA07_25640
ko:K07010	apu:APA07_25690
ko:K03417	apu:APA07_03610
ko:K00135	apu:APA07_00240
ko:K13953	apu:APA07_00250
ko:K05372	apu:APA07_40590
ko:K00570	apu:APA07_16840
ko:K07267	apu:APA07_22350
ko:K16092	apu:APA07_04230
ko:K16090	apu:APA07_15440
ko:K16090	apu:APA07_22280
ko:K16137	apu:APA07_20520
ko:K16137	apu:APA07_40420
ko:K14230	apu:APA07_14370
ko:K14230	apu:APA07_24080
ko:K14230	apu:APA07_25510
ko:K14230	apu:APA07_20970
ko:K14230	apu:APA07_15970
ko:K03561	apu:APA07_13010
ko:K03559	apu:APA07_13000
ko:K03559	apu:APA07_12990
ko:K15726	apu:APA07_42190
ko:K01546	apu:APA07_43100
ko:K01547	apu:APA07_43110
ko:K01548	apu:APA07_43120
ko:K07646	apu:APA07_43130
ko:K07667	apu:APA07_43140
ko:K07726	apu:APA07_44140
ko:K02014	apu:APA07_04950
ko:K02014	apu:APA07_15330
ko:K02014	apu:APA07_41360
ko:K05524	apu:APA07_00950
ko:K00383	apu:APA07_01050
ko:K01854	apu:APA07_17590
ko:K00769	apu:APA07_17640
ko:K01092	apu:APA07_17820
ko:K03769	apu:APA07_26300
ko:K01523	apu:APA07_26560
ko:K00799	apu:APA07_26620
ko:K00567	apu:APA07_26690
ko:K03153	apu:APA07_11000
ko:K00568	apu:APA07_11260
ko:K02371	apu:APA07_11280
ko:K02067	apu:APA07_11370
ko:K03294	apu:APA07_11390
ko:K08305	apu:APA07_11420
ko:K07258	apu:APA07_11440
ko:K03469	apu:APA07_19750
ko:K07123	apu:APA07_41630
ko:K03316	apu:APA07_05450
ko:K07386	apu:APA07_05620
ko:K04763	apu:APA07_07890
ko:K05595	apu:APA07_07940
ko:K01409	apu:APA07_07960
ko:K01719	apu:APA07_07980
ko:K00772	apu:APA07_08090
ko:K03442	apu:APA07_15340
ko:K07126	apu:APA07_15450
ko:K01424	apu:APA07_15480
ko:K02014	apu:APA07_15610
ko:K01577	apu:APA07_15720
ko:K01835	apu:APA07_15810
ko:K09702	apu:APA07_15830
ko:K03177	apu:APA07_24370
ko:K07126	apu:APA07_24450
ko:K00548	apu:APA07_24490
ko:K00721	apu:APA07_24580
ko:K01455	apu:APA07_01550
ko:K02055	apu:APA07_01860
ko:K02052	apu:APA07_01870
ko:K06045	apu:APA07_01950
ko:K00939	apu:APA07_09520
ko:K02051	apu:APA07_09570
ko:K02050	apu:APA07_09580
ko:K02049	apu:APA07_09590
ko:K00970	apu:APA07_09760
ko:K11085	apu:APA07_09770
ko:K01259	apu:APA07_18310
ko:K00059	apu:APA07_22030
ko:K02055	apu:APA07_22190
ko:K02052	apu:APA07_22200
ko:K00135	apu:APA07_22400
ko:K00135	apu:APA07_13150
ko:K02014	apu:APA07_13280
ko:K02014	apu:APA07_13620
ko:K01011	apu:APA07_03780
ko:K03316	apu:APA07_04220
ko:K04063	apu:APA07_11540
ko:K01092	apu:APA07_11700
ko:K00059	apu:APA07_11750
ko:K04518	apu:APA07_11870
ko:K08738	apu:APA07_11890
ko:K00058	apu:APA07_11910
ko:K01760	apu:APA07_11930
ko:K01011	apu:APA07_11940
ko:K00135	apu:APA07_20540
ko:K02014	apu:APA07_20650
ko:K02433	apu:APA07_20770
ko:K03535	apu:APA07_13800
ko:K02510	apu:APA07_13850
ko:K02051	apu:APA07_13930
ko:K02050	apu:APA07_13940
ko:K01941	apu:APA07_13990
ko:K02014	apu:APA07_14040
ko:K02014	apu:APA07_14120
ko:K07034	apu:APA07_22580
ko:K01692	apu:APA07_22590
ko:K02074	apu:APA07_22620
ko:K02077	apu:APA07_22630
ko:K12373	apu:APA07_04270
ko:K07305	apu:APA07_04400
ko:K03743	apu:APA07_12110
ko:K10563	apu:APA07_12340
ko:K02050	apu:APA07_12380
ko:K02049	apu:APA07_12390
ko:K07304	apu:APA07_12400
ko:K00700	apu:APA07_20810
ko:K02014	apu:APA07_20920
ko:K13953	apu:APA07_08590
ko:K01784	apu:APA07_08610
ko:K02342	apu:APA07_08710
ko:K02067	apu:APA07_08850
ko:K00666	apu:APA07_16040
ko:K03386	apu:APA07_02050
ko:K01507	apu:APA07_02100
ko:K06910	apu:APA07_02220
ko:K02067	apu:APA07_02300
ko:K07263	apu:APA07_02420
ko:K06147	apu:APA07_10030
ko:K00799	apu:APA07_10080
ko:K00045	apu:APA07_10290
ko:K02035	apu:APA07_10350
ko:K03316	apu:APA07_10370
ko:K01006	apu:APA07_19100
ko:K00135	apu:APA07_40440
ko:K03316	apu:APA07_40550
ko:K00652	apu:APA07_16060
ko:K02116	apu:APA07_24630
ko:K01759	apu:APA07_24670
ko:K03593	apu:APA07_24890
ko:K02193	apu:APA07_25130
ko:K00241	apu:APA07_00310
ko:K02428	apu:APA07_00620
ko:K06179	apu:APA07_17220
ko:K01496	apu:APA07_17380
ko:K06177	apu:APA07_25960
ko:K02533	apu:APA07_26040
ko:K01934	apu:APA07_02560
ko:K03711	apu:APA07_03060
ko:K09949	apu:APA07_06610
ko:K01759	apu:APA07_06620
ko:K00674	apu:APA07_06690
ko:K01439	apu:APA07_06700
ko:K00569	apu:APA07_14450
ko:K00595	apu:APA07_14510
ko:K01679	apu:APA07_14580
ko:K00625	apu:APA07_14710
ko:K00033	apu:APA07_23130
ko:K00851	apu:APA07_23170
ko:K00030	apu:APA07_10420
ko:K01262	apu:APA07_10430
ko:K03635	apu:APA07_10890
ko:K00652	apu:APA07_10910
ko:K01885	apu:APA07_19180
ko:K03294	apu:APA07_19370
ko:K07213	apu:APA07_19580
ko:K10254	apu:APA07_41290
ko:K00121	apu:APA07_12700
ko:K02051	apu:APA07_12760
ko:K02049	apu:APA07_12780
ko:K02050	apu:APA07_12790
ko:K02433	apu:APA07_12870
ko:K06045	apu:APA07_13100
ko:K03307	apu:APA07_21840
ko:K01082	apu:APA07_07200
ko:K08964	apu:APA07_07340
ko:K01885	apu:APA07_07620
ko:K02238	apu:APA07_07630
ko:K00799	apu:APA07_14780
ko:K00124	apu:APA07_14850
ko:K02427	apu:APA07_14890
ko:K00088	apu:APA07_15080
ko:K02035	apu:APA07_15090
ko:K02033	apu:APA07_15110
ko:K02014	apu:APA07_15190
ko:K03386	apu:APA07_23580
ko:K02200	apu:APA07_08930
ko:K02200	apu:APA07_08940
ko:K13628	apu:APA07_16560
ko:K04488	apu:APA07_16580
ko:K06147	apu:APA07_16700
ko:K00721	apu:APA07_16880
ko:K07250	apu:APA07_25330
ko:K02433	apu:APA07_25370
ko:K06147	apu:APA07_25400
ko:K07657	apu:APA07_03170
ko:K07221	apu:APA07_03200
ko:K04765	apu:APA07_03320
ko:K08178	apu:APA07_03630
ko:K14235	apu:APA07_01140
ko:K19164	apu:APA07_43300
ko:K16074	apu:APA07_23070
ko:K07267	apu:APA07_40870
ko:K14233	apu:APA07_21720
ko:K11645	apu:APA07_02600
ko:K07165	apu:APA07_13600
ko:K03699	apu:APA07_03990
ko:K01840	apu:APA07_11180
ko:K01659	apu:APA07_03600
ko:K16264	apu:APA07_06040
ko:K01069	apu:APA07_07740
ko:K00146	apu:APA07_22090
ko:K11735	apu:APA07_07030
ko:K02054	apu:APA07_22150
ko:K02054	apu:APA07_22180
ko:K02014	apu:APA07_01490
ko:K13472	apu:APA07_40580
ko:K07749	apu:APA07_15730
ko:K14223	apu:APA07_26430
ko:K14233	apu:APA07_25390
ko:K14233	apu:APA07_18800
ko:K16066	apu:APA07_05540
ko:K14236	apu:APA07_08550
ko:K14224	apu:APA07_21950
ko:K03321	apu:APA07_17400
ko:K11959	apu:APA07_23330
ko:K11959	apu:APA07_01580
ko:K11960	apu:APA07_23320
ko:K11960	apu:APA07_01590
ko:K11961	apu:APA07_01600
ko:K07323	apu:APA07_02140
ko:K03457	apu:APA07_21700
ko:K12205	apu:APA07_42780
ko:K12218	apu:APA07_42730
ko:K11961	apu:APA07_23310
ko:K01980	apu:APA07_25530
ko:K01977	apu:APA07_25560
ko:K01985	apu:APA07_25520
ko:K02075	apu:APA07_22610
ko:K11962	apu:APA07_23300
ko:K11962	apu:APA07_01610
ko:K11963	apu:APA07_23290
ko:K18828	apu:APA07_43270
ko:K07012	apu:APA07_41030
ko:K11963	apu:APA07_01620
ko:K14232	apu:APA07_17630
ko:K14219	apu:APA07_17610
ko:K14219	apu:APA07_21070
ko:K14219	apu:APA07_22730
ko:K14233	apu:APA07_17800
ko:K14220	apu:APA07_19510
ko:K14231	apu:APA07_19940
ko:K14234	apu:APA07_25750
ko:K14234	apu:APA07_26060
ko:K06016	apu:APA07_21600
ko:K02226	apu:APA07_22500
ko:K14228	apu:APA07_01820
ko:K14237	apu:APA07_03360
ko:K03559	apu:APA07_22300
ko:K03559	apu:APA07_13500
ko:K07215	apu:APA07_14070
ko:K15555	apu:APA07_13680
ko:K03559	apu:APA07_00690
ko:K03559	apu:APA07_00700
ko:K06075	apu:APA07_01900
ko:K00114	apu:APA07_22100
ko:K01487	apu:APA07_12970
ko:K02051	apu:APA07_19520
ko:K09810	apu:APA07_16250
ko:K13485	apu:APA07_12930
ko:K02196	apu:APA07_08980
ko:K14228	apu:APA07_00220
ko:K14228	apu:APA07_11160
ko:K01980	apu:APA07_14390
ko:K14218	apu:APA07_14390
ko:K14227	apu:APA07_14390
ko:K01980	apu:APA07_20990
ko:K14218	apu:APA07_20990
ko:K14227	apu:APA07_20990
ko:K01980	apu:APA07_24100
ko:K14218	apu:APA07_24100
ko:K14227	apu:APA07_24100
ko:K01980	apu:APA07_15990
ko:K14218	apu:APA07_15990
ko:K14227	apu:APA07_15990
ko:K14228	apu:APA07_16510
ko:K14228	apu:APA07_19840
ko:K14225	apu:APA07_01150
ko:K14225	apu:APA07_06990
ko:K14221	apu:APA07_02070
ko:K14230	apu:APA07_02110
ko:K14230	apu:APA07_11360
ko:K14237	apu:APA07_15030
ko:K14237	apu:APA07_16440
ko:K14237	apu:APA07_16450
ko:K14218	apu:APA07_04780
ko:K14218	apu:APA07_21000
ko:K14218	apu:APA07_14400
ko:K14218	apu:APA07_16000
ko:K14218	apu:APA07_25540
ko:K14218	apu:APA07_24110
ko:K01977	apu:APA07_16020
ko:K01977	apu:APA07_21020
ko:K01977	apu:APA07_24130
ko:K14232	apu:APA07_16970
ko:K14226	apu:APA07_06280
ko:K14222	apu:APA07_12450
ko:K01985	apu:APA07_14380
ko:K01985	apu:APA07_24090
ko:K01985	apu:APA07_20980
ko:K01985	apu:APA07_15980
ko:K14224	apu:APA07_23280
ko:K14229	apu:APA07_24290
ko:K14229	apu:APA07_26630
ko:K14234	apu:APA07_24560
ko:K07091	apu:APA07_16100
ko:K14223	apu:APA07_14870
ko:K14227	apu:APA07_14410
ko:K14227	apu:APA07_16010
ko:K14227	apu:APA07_21010
ko:K14227	apu:APA07_25550
ko:K14227	apu:APA07_24120
ko:K01977	apu:APA07_14420
ko:K14225	apu:APA07_26500
ko:K14232	apu:APA07_26730
ko:K14218	apu:APA07_26810
ko:K07323	apu:APA07_03960
ko:K02029	apu:APA07_25100
ko:K02030	apu:APA07_25100
ko:K03457	apu:APA07_41980
ko:K02066	apu:APA07_08830
ko:K02065	apu:APA07_08840
ko:K02028	apu:APA07_25110
ko:K06218	apu:APA07_41270
ko:K00040	apu:APA07_40070
ko:K00265	apu:APA07_19810
ko:K00951	apu:APA07_06450
ko:K17218	apu:APA07_18520
ko:K02484	apu:APA07_42170
ko:K02484	apu:APA07_15910
ko:K04091	apu:APA07_14160
ko:K11532	apu:APA07_21350
ko:K02049	apu:APA07_13950
ko:K08316	apu:APA07_25710
ko:K04084	apu:APA07_21100
ko:K00102	apu:APA07_21930
ko:K17686	apu:APA07_19210
ko:K17675	apu:APA07_01070
ko:K17675	apu:APA07_00960
ko:K17723	apu:APA07_21610
ko:K03292	apu:APA07_14100
ko:K00226	apu:APA07_14720
ko:K19745	apu:APA07_03250
ko:K00537	apu:APA07_42360
ko:K00537	apu:APA07_42450
ko:K01658	apu:APA07_12220
ko:K01843	apu:APA07_02760
ko:K00661	apu:APA07_15820
ko:K00128	apu:APA07_20430
ko:K12574	apu:APA07_16280
ko:K18139	apu:APA07_01420
ko:K07506	apu:APA07_40700
ko:K12979	apu:APA07_02500
ko:K00127	apu:APA07_14840
ko:K18028	apu:APA07_23760
ko:K13995	apu:APA07_23750
ko:K18030	apu:APA07_23770
ko:K18029	apu:APA07_23780
ko:K03074	apu:APA07_10570
ko:K00329	apu:APA07_19830
ko:K00356	apu:APA07_19830
ko:K07003	apu:APA07_18530
ko:K07222	apu:APA07_41610
ko:K07222	apu:APA07_42010
ko:K09017	apu:APA07_21710
ko:K00091	apu:APA07_02000
ko:K01286	apu:APA07_02790
ko:K04771	apu:APA07_24860
ko:K02169	apu:APA07_10930
ko:K01935	apu:APA07_10930
ko:K16011	apu:APA07_18380
ko:K18118	apu:APA07_10710
ko:K21678	apu:APA07_01970
ko:K07165	apu:APA07_13630
ko:K07165	apu:APA07_15870
ko:K09691	apu:APA07_04100
ko:K11927	apu:APA07_19320
ko:K09712	apu:APA07_11600
ko:K03559	apu:APA07_20610
ko:K03559	apu:APA07_20620
ko:K02160	apu:APA07_20720
ko:K02575	apu:APA07_42140
ko:K03893	apu:APA07_42460
ko:K01669	apu:APA07_04390
ko:K02221	apu:APA07_04790
ko:K03549	apu:APA07_42630
ko:K03292	apu:APA07_43350
ko:K03535	apu:APA07_13820
ko:K01153	apu:APA07_14260
ko:K00537	apu:APA07_23620
ko:K18138	apu:APA07_01410
ko:K00681	apu:APA07_00430
ko:K00681	apu:APA07_02770
ko:K00681	apu:APA07_12980
ko:K18588	apu:APA07_12130
ko:K18587	apu:APA07_17080
ko:K09691	apu:APA07_23050
ko:K09690	apu:APA07_04110
ko:K18707	apu:APA07_24650
ko:K18702	apu:APA07_15690
ko:K01568	apu:APA07_23490
ko:K07172	apu:APA07_41500
ko:K18829	apu:APA07_41520
ko:K07171	apu:APA07_41490
ko:K21677	apu:APA07_01960
ko:K18829	apu:APA07_43260
ko:K18831	apu:APA07_23920
ko:K18918	apu:APA07_41260
ko:K18918	apu:APA07_42790
ko:K18928	apu:APA07_03840
ko:K18929	apu:APA07_03850
ko:K03111	apu:APA07_25720
ko:K03497	apu:APA07_26640
ko:K03496	apu:APA07_26650
ko:K03497	apu:APA07_40300
ko:K14161	apu:APA07_41300
ko:K18828	apu:APA07_41510
ko:K11811	apu:APA07_42340
ko:K18828	apu:APA07_42550
ko:K12217	apu:APA07_42710
ko:K12203	apu:APA07_42760
ko:K12204	apu:APA07_42770
ko:K06218	apu:APA07_42800
ko:K12206	apu:APA07_42810
ko:K03496	apu:APA07_43720
ko:K03496	apu:APA07_43920
ko:K03496	apu:APA07_44150
ko:K16898	apu:APA07_26100
ko:K07484	apu:APA07_14320
ko:K03761	apu:APA07_09150
ko:K16899	apu:APA07_26110
ko:K07484	apu:APA07_01790
ko:K07484	apu:APA07_08380
ko:K07484	apu:APA07_17900
ko:K07484	apu:APA07_18230
ko:K07484	apu:APA07_21640
ko:K07483	apu:APA07_17890
ko:K07483	apu:APA07_01800
ko:K07483	apu:APA07_18240
ko:K07483	apu:APA07_42470
ko:K07483	apu:APA07_42520
ko:K07483	apu:APA07_42890
ko:K07483	apu:APA07_21650
ko:K07483	apu:APA07_43360
ko:K07483	apu:APA07_43580
ko:K07483	apu:APA07_14310
ko:K07483	apu:APA07_23970
ko:K07483	apu:APA07_08370
ko:K07063	apu:APA07_43550
ko:K07497	apu:APA07_08170
ko:K07497	apu:APA07_08410
ko:K07497	apu:APA07_14360
ko:K07497	apu:APA07_17950
ko:K07497	apu:APA07_44110
ko:K07497	apu:APA07_40180
ko:K07497	apu:APA07_41240
ko:K07497	apu:APA07_42430
ko:K07497	apu:APA07_42620
ko:K07497	apu:APA07_43980
ko:K03976	apu:APA07_22680
ko:K00335	apu:APA07_16380
ko:K18979	apu:APA07_02180
ko:K03526	apu:APA07_11300
ko:K02483	apu:APA07_19640
ko:K09472	apu:APA07_42000
ko:K00611	apu:APA07_07290
ko:K18996	apu:APA07_40640
ko:K19046	apu:APA07_41050
ko:K07497	apu:APA07_17940
ko:K07497	apu:APA07_08400
ko:K07497	apu:APA07_42980
ko:K07497	apu:APA07_20950
ko:K07497	apu:APA07_15860
ko:K07497	apu:APA07_40010
ko:K07497	apu:APA07_42030
ko:K07497	apu:APA07_42580
ko:K07497	apu:APA07_42820
ko:K07497	apu:APA07_42990
ko:K07497	apu:APA07_43660
ko:K16238	apu:APA07_01390
ko:K19155	apu:APA07_40790
ko:K19156	apu:APA07_40780
ko:K19123	apu:APA07_41040
ko:K19163	apu:APA07_43310
ko:K01710	apu:APA07_25900
ko:K01710	apu:APA07_18080
ko:K00571	apu:APA07_08020
ko:K13581	apu:APA07_09690
ko:K19124	apu:APA07_41060
ko:K22468	apu:APA07_05910
ko:K03446	apu:APA07_23670
ko:K19125	apu:APA07_41070
ko:K19126	apu:APA07_41080
ko:K09951	apu:APA07_41100
ko:K19221	apu:APA07_22490
ko:K00798	apu:APA07_07140
ko:K00336	apu:APA07_16370
ko:K03722	apu:APA07_17830
ko:K07496	apu:APA07_17700
ko:K01992	apu:APA07_13050
ko:K07497	apu:APA07_40190
ko:K07497	apu:APA07_18770
ko:K07497	apu:APA07_18780
ko:K07497	apu:APA07_41230
ko:K07497	apu:APA07_41530
ko:K07497	apu:APA07_11810
ko:K07497	apu:APA07_42040
ko:K07497	apu:APA07_42420
ko:K07497	apu:APA07_42530
ko:K07497	apu:APA07_20880
ko:K07497	apu:APA07_20890
ko:K07497	apu:APA07_20960
ko:K07497	apu:APA07_42590
ko:K07497	apu:APA07_42610
ko:K07497	apu:APA07_42830
ko:K07497	apu:APA07_43650
ko:K07497	apu:APA07_43690
ko:K07497	apu:APA07_43970
ko:K07497	apu:APA07_44120
ko:K07497	apu:APA07_14350
ko:K07497	apu:APA07_23380
ko:K07497	apu:APA07_08180
ko:K07497	apu:APA07_15850
ko:K19338	apu:APA07_20760
ko:K00839	apu:APA07_12840
ko:K04771	apu:APA07_25660
ko:K02022	apu:APA07_24460
ko:K00059	apu:APA07_03300
ko:K19336	apu:APA07_15750
ko:K06867	apu:APA07_23100
ko:K02031	apu:APA07_15120
ko:K01066	apu:APA07_18890
ko:K01457	apu:APA07_14000
ko:K03574	apu:APA07_18370
ko:K00362	apu:APA07_42120
ko:K06075	apu:APA07_22560
ko:K04771	apu:APA07_07240
ko:K04096	apu:APA07_07540
ko:K07344	apu:APA07_23890
ko:K14205	apu:APA07_07930
ko:K19577	apu:APA07_20550
ko:K02032	apu:APA07_15130
ko:K17722	apu:APA07_21620
ko:K00799	apu:APA07_25980
ko:K19784	apu:APA07_20570
ko:K08744	apu:APA07_10860
ko:K07483	apu:APA07_40980
ko:K07483	apu:APA07_41160
ko:K07483	apu:APA07_41440
ko:K07483	apu:APA07_23860
ko:K07483	apu:APA07_24050
ko:K19813	apu:APA07_22380
ko:K21679	apu:APA07_01980
ko:K00380	apu:APA07_42070
ko:K20074	apu:APA07_01740
ko:K12132	apu:APA07_01750
ko:K07484	apu:APA07_17910
ko:K07484	apu:APA07_01780
ko:K07484	apu:APA07_18220
ko:K07484	apu:APA07_21630
ko:K07484	apu:APA07_08390
ko:K12132	apu:APA07_01760
ko:K20531	apu:APA07_23880
ko:K20532	apu:APA07_23870
ko:K20533	apu:APA07_23840
ko:K20539	apu:APA07_16230
ko:K20534	apu:APA07_17550
ko:K22066	apu:APA07_11130
ko:K11529	apu:APA07_05700
ko:K01214	apu:APA07_20830
ko:K11529	apu:APA07_00840
ko:K00821	apu:APA07_07300
ko:K21029	apu:APA07_06140
ko:K03553	apu:APA07_00440
ko:K06919	apu:APA07_26880
ko:K02316	apu:APA07_09900
ko:K06217	apu:APA07_10770
ko:K09882	apu:APA07_11110
ko:K03676	apu:APA07_11220
ko:K01185	apu:APA07_19980
ko:K06904	apu:APA07_20140
ko:K07451	apu:APA07_04750
ko:K01520	apu:APA07_12370
ko:K09961	apu:APA07_05210
ko:K09960	apu:APA07_05220
ko:K07336	apu:APA07_22250
ko:K02314	apu:APA07_06910
ko:K07336	apu:APA07_15430
ko:K03465	apu:APA07_24920
ko:K09806	apu:APA07_26390
ko:K02335	apu:APA07_21430
ko:K02482	apu:APA07_10210
ko:K02014	apu:APA07_05630
ko:K00525	apu:APA07_10600
