ko:K01212	bamp:B938_19310
ko:K06606	bamp:B938_18820
ko:K06605	bamp:B938_18825
ko:K03335	bamp:B938_18840
ko:K03336	bamp:B938_18845
ko:K03338	bamp:B938_18850
ko:K03337	bamp:B938_18855
ko:K07118	bamp:B938_02445
ko:K10255	bamp:B938_02465
ko:K03704	bamp:B938_02470
ko:K07736	bamp:B938_02475
ko:K07090	bamp:B938_02510
ko:K01779	bamp:B938_02515
ko:K16264	bamp:B938_02565
ko:K01714	bamp:B938_02590
ko:K13979	bamp:B938_02615
ko:K00375	bamp:B938_02630
ko:K07734	bamp:B938_02635
ko:K00375	bamp:B938_02685
ko:K08966	bamp:B938_06960
ko:K08967	bamp:B938_06970
ko:K13532	bamp:B938_06985
ko:K15973	bamp:B938_06990
ko:K02557	bamp:B938_06995
ko:K02556	bamp:B938_07000
ko:K06920	bamp:B938_07025
ko:K01737	bamp:B938_07030
ko:K10026	bamp:B938_07035
ko:K09457	bamp:B938_07040
ko:K01449	bamp:B938_07080
ko:K01534	bamp:B938_07095
ko:K03480	bamp:B938_07115
ko:K03716	bamp:B938_07140
ko:K02491	bamp:B938_07165
ko:K03415	bamp:B938_07180
ko:K09776	bamp:B938_07225
ko:K00800	bamp:B938_10725
ko:K00817	bamp:B938_10735
ko:K01695	bamp:B938_10740
ko:K01696	bamp:B938_10745
ko:K01817	bamp:B938_10750
ko:K01609	bamp:B938_10755
ko:K00766	bamp:B938_10760
ko:K01657	bamp:B938_10765
ko:K06208	bamp:B938_10770
ko:K01735	bamp:B938_10775
ko:K01736	bamp:B938_10780
ko:K00940	bamp:B938_10790
ko:K03183	bamp:B938_10800
ko:K06285	bamp:B938_10810
ko:K01495	bamp:B938_10815
ko:K03530	bamp:B938_10820
ko:K06398	bamp:B938_10825
ko:K00057	bamp:B938_10840
ko:K03977	bamp:B938_10845
ko:K02945	bamp:B938_10870
ko:K00945	bamp:B938_10875
ko:K01449	bamp:B938_10895
ko:K00384	bamp:B938_10905
ko:K00260	bamp:B938_10910
ko:K16511	bamp:B938_10915
ko:K03654	bamp:B938_10945
ko:K03088	bamp:B938_10975
ko:K05567	bamp:B938_14680
ko:K05569	bamp:B938_14690
ko:K05571	bamp:B938_14700
ko:K07691	bamp:B938_14710
ko:K07680	bamp:B938_14715
ko:K02251	bamp:B938_14725
ko:K00763	bamp:B938_14750
ko:K06950	bamp:B938_14785
ko:K16216	bamp:B938_14790
ko:K03466	bamp:B938_14805
ko:K00259	bamp:B938_14830
ko:K04780	bamp:B938_14845
ko:K01252	bamp:B938_14850
ko:K02363	bamp:B938_14855
ko:K02361	bamp:B938_14860
ko:K00216	bamp:B938_14865
ko:K03523	bamp:B938_14880
ko:K07084	bamp:B938_14885
ko:K01255	bamp:B938_14890
ko:K09775	bamp:B938_14895
ko:K03885	bamp:B938_14920
ko:K00364	bamp:B938_14935
ko:K00140	bamp:B938_18860
ko:K06608	bamp:B938_18865
ko:K04079	bamp:B938_18880
ko:K07693	bamp:B938_18895
ko:K07778	bamp:B938_18900
ko:K10255	bamp:B938_18905
ko:K03799	bamp:B938_18955
ko:K03387	bamp:B938_18970
ko:K11737	bamp:B938_18980
ko:K04041	bamp:B938_18985
ko:K00783	bamp:B938_19035
ko:K01476	bamp:B938_19090
ko:K02205	bamp:B938_19095
ko:K02902	bamp:B938_08125
ko:K01752	bamp:B938_08140
ko:K01752	bamp:B938_08145
ko:K03655	bamp:B938_08150
ko:K03621	bamp:B938_08160
ko:K00645	bamp:B938_08165
ko:K02078	bamp:B938_08175
ko:K03685	bamp:B938_08180
ko:K03529	bamp:B938_08185
ko:K03110	bamp:B938_08190
ko:K03106	bamp:B938_08205
ko:K02959	bamp:B938_08210
ko:K06960	bamp:B938_08215
ko:K02860	bamp:B938_08225
ko:K00554	bamp:B938_08230
ko:K02884	bamp:B938_08235
ko:K14540	bamp:B938_08245
ko:K03470	bamp:B938_08250
ko:K04061	bamp:B938_08260
ko:K01903	bamp:B938_08265
ko:K01902	bamp:B938_08270
ko:K04096	bamp:B938_08275
ko:K03168	bamp:B938_08285
ko:K04094	bamp:B938_08290
ko:K03733	bamp:B938_08295
ko:K01419	bamp:B938_08300
ko:K03667	bamp:B938_08305
ko:K03706	bamp:B938_08310
ko:K02387	bamp:B938_08315
ko:K02388	bamp:B938_08320
ko:K02408	bamp:B938_08325
ko:K02409	bamp:B938_08330
ko:K02410	bamp:B938_08335
ko:K02411	bamp:B938_08340
ko:K02412	bamp:B938_08345
ko:K02413	bamp:B938_08350
ko:K02389	bamp:B938_08365
ko:K02390	bamp:B938_08370
ko:K02385	bamp:B938_08375
ko:K02415	bamp:B938_08380
ko:K02416	bamp:B938_08385
ko:K02356	bamp:B938_11785
ko:K07001	bamp:B938_11810
ko:K03800	bamp:B938_11820
ko:K00283	bamp:B938_11830
ko:K00282	bamp:B938_11835
ko:K00605	bamp:B938_11840
ko:K02247	bamp:B938_11900
ko:K01308	bamp:B938_11970
ko:K03315	bamp:B938_11985
ko:K02913	bamp:B938_12000
ko:K02036	bamp:B938_12020
ko:K02036	bamp:B938_12025
ko:K02038	bamp:B938_12030
ko:K02037	bamp:B938_12035
ko:K02040	bamp:B938_12040
ko:K08222	bamp:B938_12050
ko:K04564	bamp:B938_12055
ko:K09793	bamp:B938_12060
ko:K03623	bamp:B938_15815
ko:K03664	bamp:B938_15820
ko:K12573	bamp:B938_15830
ko:K03928	bamp:B938_15835
ko:K03075	bamp:B938_15840
ko:K05846	bamp:B938_15890
ko:K05845	bamp:B938_15895
ko:K05846	bamp:B938_15900
ko:K05847	bamp:B938_15905
ko:K05846	bamp:B938_15915
ko:K05845	bamp:B938_15920
ko:K05846	bamp:B938_15925
ko:K05847	bamp:B938_15930
ko:K13015	bamp:B938_16005
ko:K01689	bamp:B938_16015
ko:K15633	bamp:B938_16020
ko:K01803	bamp:B938_16025
ko:K00927	bamp:B938_16030
ko:K00134	bamp:B938_16040
ko:K05311	bamp:B938_16045
ko:K02103	bamp:B938_16055
ko:K03785	bamp:B938_03875
ko:K07058	bamp:B938_03900
ko:K07300	bamp:B938_03915
ko:K03284	bamp:B938_03955
ko:K01247	bamp:B938_03960
ko:K03215	bamp:B938_03965
ko:K00627	bamp:B938_03995
ko:K00382	bamp:B938_04000
ko:K06425	bamp:B938_04010
ko:K01232	bamp:B938_04015
ko:K03481	bamp:B938_04020
ko:K02749	bamp:B938_04025
ko:K02750	bamp:B938_04025
ko:K01625	bamp:B938_09300
ko:K01686	bamp:B938_09305
ko:K15921	bamp:B938_09390
ko:K00645	bamp:B938_09410
ko:K00019	bamp:B938_09415
ko:K01029	bamp:B938_09420
ko:K01028	bamp:B938_09425
ko:K01012	bamp:B938_09440
ko:K01935	bamp:B938_09445
ko:K00963	bamp:B938_09470
ko:K01640	bamp:B938_09490
ko:K02160	bamp:B938_09495
ko:K01961	bamp:B938_09500
ko:K07259	bamp:B938_09560
ko:K01868	bamp:B938_13430
ko:K07738	bamp:B938_13460
ko:K01611	bamp:B938_13470
ko:K00134	bamp:B938_13475
ko:K00859	bamp:B938_13495
ko:K07636	bamp:B938_13515
ko:K00024	bamp:B938_13530
ko:K00031	bamp:B938_13535
ko:K01647	bamp:B938_13540
ko:K07113	bamp:B938_13570
ko:K00873	bamp:B938_13575
ko:K00850	bamp:B938_13580
ko:K01962	bamp:B938_13585
ko:K01963	bamp:B938_13590
ko:K02337	bamp:B938_13600
ko:K01755	bamp:B938_13650
ko:K01940	bamp:B938_13655
ko:K03638	bamp:B938_13660
ko:K00925	bamp:B938_13665
ko:K11065	bamp:B938_13675
ko:K02110	bamp:B938_17460
ko:K02108	bamp:B938_17465
ko:K00761	bamp:B938_17475
ko:K00600	bamp:B938_17480
ko:K01808	bamp:B938_17490
ko:K07566	bamp:B938_17505
ko:K06387	bamp:B938_17515
ko:K02493	bamp:B938_17525
ko:K02835	bamp:B938_17530
ko:K11686	bamp:B938_17540
ko:K07088	bamp:B938_17545
ko:K02909	bamp:B938_17560
ko:K03628	bamp:B938_17565
ko:K00790	bamp:B938_17580
ko:K01624	bamp:B938_17590
ko:K02490	bamp:B938_17595
ko:K01937	bamp:B938_17605
ko:K06131	bamp:B938_17620
ko:K06131	bamp:B938_17640
ko:K00373	bamp:B938_17655
ko:K00371	bamp:B938_17660
ko:K00370	bamp:B938_17665
ko:K02575	bamp:B938_17690
ko:K01887	bamp:B938_17695
ko:K07039	bamp:B938_01260
ko:K09817	bamp:B938_01310
ko:K09816	bamp:B938_01315
ko:K05795	bamp:B938_01335
ko:K05795	bamp:B938_01340
ko:K08369	bamp:B938_01365
ko:K02000	bamp:B938_01370
ko:K02001	bamp:B938_01375
ko:K02002	bamp:B938_01380
ko:K14665	bamp:B938_01385
ko:K09190	bamp:B938_01425
ko:K09967	bamp:B938_01435
ko:K15652	bamp:B938_01450
ko:K00891	bamp:B938_01460
ko:K01060	bamp:B938_01465
ko:K07074	bamp:B938_01470
ko:K00318	bamp:B938_01475
ko:K13542	bamp:B938_01500
ko:K00363	bamp:B938_01505
ko:K00362	bamp:B938_01510
ko:K00372	bamp:B938_01515
ko:K02575	bamp:B938_01530
ko:K01223	bamp:B938_01555
ko:K08094	bamp:B938_01570
ko:K03088	bamp:B938_05970
ko:K06714	bamp:B938_19115
ko:K07010	bamp:B938_02730
ko:K00005	bamp:B938_02750
ko:K07552	bamp:B938_02755
ko:K09458	bamp:B938_02760
ko:K07090	bamp:B938_02770
ko:K07246	bamp:B938_02800
ko:K07217	bamp:B938_02885
ko:K00946	bamp:B938_02905
ko:K06925	bamp:B938_02910
ko:K03789	bamp:B938_02920
ko:K06158	bamp:B938_02930
ko:K03637	bamp:B938_02935
ko:K01926	bamp:B938_02940
ko:K03116	bamp:B938_02945
ko:K03118	bamp:B938_02950
ko:K04078	bamp:B938_02965
ko:K04077	bamp:B938_02970
ko:K03839	bamp:B938_07245
ko:K03839	bamp:B938_07255
ko:K05823	bamp:B938_07265
ko:K03752	bamp:B938_07295
ko:K03750	bamp:B938_07305
ko:K03753	bamp:B938_07310
ko:K03636	bamp:B938_07320
ko:K02003	bamp:B938_07340
ko:K02768	bamp:B938_07360
ko:K02769	bamp:B938_07360
ko:K02770	bamp:B938_07360
ko:K03100	bamp:B938_07365
ko:K00077	bamp:B938_07380
ko:K03569	bamp:B938_07395
ko:K01462	bamp:B938_07445
ko:K00161	bamp:B938_07510
ko:K00162	bamp:B938_07515
ko:K00627	bamp:B938_07520
ko:K00382	bamp:B938_07525
ko:K07651	bamp:B938_10980
ko:K07775	bamp:B938_10985
ko:K07399	bamp:B938_10995
ko:K06178	bamp:B938_11005
ko:K06374	bamp:B938_11010
ko:K06373	bamp:B938_11015
ko:K06024	bamp:B938_11030
ko:K05896	bamp:B938_11035
ko:K02859	bamp:B938_11050
ko:K00794	bamp:B938_11055
ko:K14652	bamp:B938_11060
ko:K00793	bamp:B938_11065
ko:K11752	bamp:B938_11070
ko:K03100	bamp:B938_11080
ko:K01586	bamp:B938_11105
ko:K06408	bamp:B938_11110
ko:K06407	bamp:B938_11115
ko:K06407	bamp:B938_11120
ko:K06406	bamp:B938_11125
ko:K06405	bamp:B938_11130
ko:K06404	bamp:B938_11135
ko:K06403	bamp:B938_11140
ko:K03091	bamp:B938_11145
ko:K06379	bamp:B938_11150
ko:K01839	bamp:B938_11170
ko:K03315	bamp:B938_11210
ko:K01744	bamp:B938_11215
ko:K03790	bamp:B938_14980
ko:K14189	bamp:B938_14985
ko:K01778	bamp:B938_14995
ko:K03885	bamp:B938_15010
ko:K00872	bamp:B938_15030
ko:K01733	bamp:B938_15035
ko:K00003	bamp:B938_15040
ko:K03644	bamp:B938_15075
ko:K07090	bamp:B938_15095
ko:K08153	bamp:B938_15140
ko:K02083	bamp:B938_15150
ko:K10711	bamp:B938_15165
ko:K10710	bamp:B938_15170
ko:K10708	bamp:B938_15190
ko:K00285	bamp:B938_15215
ko:K01939	bamp:B938_19185
ko:K02939	bamp:B938_19255
ko:K00692	bamp:B938_19305
ko:K08224	bamp:B938_19340
ko:K08987	bamp:B938_19350
ko:K00019	bamp:B938_19395
ko:K00847	bamp:B938_03000
ko:K03969	bamp:B938_03010
ko:K06872	bamp:B938_03020
ko:K03088	bamp:B938_03040
ko:K11735	bamp:B938_03075
ko:K03924	bamp:B938_03090
ko:K01951	bamp:B938_03110
ko:K03088	bamp:B938_03120
ko:K06901	bamp:B938_03130
ko:K01588	bamp:B938_03160
ko:K03623	bamp:B938_04090
ko:K14205	bamp:B938_04110
ko:K07071	bamp:B938_04135
ko:K03565	bamp:B938_04140
ko:K02417	bamp:B938_08390
ko:K03413	bamp:B938_08395
ko:K02418	bamp:B938_08400
ko:K02419	bamp:B938_08405
ko:K02420	bamp:B938_08410
ko:K02421	bamp:B938_08415
ko:K02401	bamp:B938_08420
ko:K02400	bamp:B938_08425
ko:K02404	bamp:B938_08430
ko:K04562	bamp:B938_08435
ko:K03412	bamp:B938_08440
ko:K03407	bamp:B938_08445
ko:K03408	bamp:B938_08450
ko:K03410	bamp:B938_08455
ko:K03411	bamp:B938_08460
ko:K02405	bamp:B938_08465
ko:K02967	bamp:B938_08475
ko:K02357	bamp:B938_08480
ko:K09903	bamp:B938_08485
ko:K02838	bamp:B938_08490
ko:K00806	bamp:B938_08495
ko:K00981	bamp:B938_08500
ko:K00099	bamp:B938_08505
ko:K11749	bamp:B938_08510
ko:K01881	bamp:B938_08515
ko:K03763	bamp:B938_08520
ko:K09748	bamp:B938_08525
ko:K02600	bamp:B938_08530
ko:K07742	bamp:B938_08535
ko:K02519	bamp:B938_08545
ko:K02834	bamp:B938_08555
ko:K11753	bamp:B938_08565
ko:K02956	bamp:B938_08570
ko:K00962	bamp:B938_08575
ko:K06410	bamp:B938_08595
ko:K06411	bamp:B938_08600
ko:K00133	bamp:B938_08605
ko:K00928	bamp:B938_08610
ko:K01714	bamp:B938_08615
ko:K03466	bamp:B938_08635
ko:K03710	bamp:B938_08640
ko:K08221	bamp:B938_08645
ko:K05967	bamp:B938_12085
ko:K01151	bamp:B938_12105
ko:K03527	bamp:B938_12120
ko:K06967	bamp:B938_12130
ko:K03086	bamp:B938_12140
ko:K09768	bamp:B938_12150
ko:K09773	bamp:B938_12155
ko:K01879	bamp:B938_12165
ko:K01878	bamp:B938_12170
ko:K03584	bamp:B938_12175
ko:K07042	bamp:B938_12200
ko:K07037	bamp:B938_12205
ko:K06438	bamp:B938_12215
ko:K07403	bamp:B938_12235
ko:K09117	bamp:B938_12240
ko:K02970	bamp:B938_12245
ko:K03324	bamp:B938_12250
ko:K09761	bamp:B938_12260
ko:K02687	bamp:B938_12265
ko:K03686	bamp:B938_12270
ko:K04043	bamp:B938_12275
ko:K03687	bamp:B938_12280
ko:K03705	bamp:B938_12285
ko:K03596	bamp:B938_12295
ko:K06385	bamp:B938_12305
ko:K06012	bamp:B938_12310
ko:K02968	bamp:B938_12315
ko:K02340	bamp:B938_12320
ko:K00782	bamp:B938_16120
ko:K03303	bamp:B938_16145
ko:K03092	bamp:B938_16150
ko:K13727	bamp:B938_16275
ko:K01193	bamp:B938_16330
ko:K02532	bamp:B938_16335
ko:K03484	bamp:B938_16340
ko:K01358	bamp:B938_16345
ko:K06428	bamp:B938_04165
ko:K07038	bamp:B938_04200
ko:K03575	bamp:B938_04205
ko:K10780	bamp:B938_04215
ko:K06422	bamp:B938_04220
ko:K01845	bamp:B938_04245
ko:K03564	bamp:B938_04250
ko:K03147	bamp:B938_04280
ko:K01589	bamp:B938_03165
ko:K01756	bamp:B938_03170
ko:K01923	bamp:B938_03175
ko:K01952	bamp:B938_03180
ko:K01952	bamp:B938_03185
ko:K01952	bamp:B938_03190
ko:K00764	bamp:B938_03195
ko:K01933	bamp:B938_03200
ko:K11175	bamp:B938_03205
ko:K00602	bamp:B938_03210
ko:K01945	bamp:B938_03215
ko:K01486	bamp:B938_03225
ko:K03657	bamp:B938_03255
ko:K01972	bamp:B938_03260
ko:K07507	bamp:B938_03275
ko:K06207	bamp:B938_07600
ko:K07175	bamp:B938_07620
ko:K01425	bamp:B938_07630
ko:K03588	bamp:B938_07640
ko:K02259	bamp:B938_07650
ko:K02275	bamp:B938_07660
ko:K02276	bamp:B938_07670
ko:K00954	bamp:B938_07725
ko:K07001	bamp:B938_07735
ko:K07040	bamp:B938_07755
ko:K02911	bamp:B938_07760
ko:K00077	bamp:B938_07775
ko:K03925	bamp:B938_07785
ko:K03438	bamp:B938_07790
ko:K08384	bamp:B938_07805
ko:K01928	bamp:B938_07810
ko:K01000	bamp:B938_07815
ko:K01925	bamp:B938_07820
ko:K03588	bamp:B938_07825
ko:K02346	bamp:B938_11285
ko:K01753	bamp:B938_11320
ko:K07124	bamp:B938_11325
ko:K00286	bamp:B938_11335
ko:K15311	bamp:B938_11345
ko:K02601	bamp:B938_11415
ko:K02913	bamp:B938_11440
ko:K00036	bamp:B938_11450
ko:K02346	bamp:B938_11460
ko:K03217	bamp:B938_11470
ko:K05606	bamp:B938_11490
ko:K09014	bamp:B938_15240
ko:K11717	bamp:B938_15250
ko:K09015	bamp:B938_15255
ko:K09013	bamp:B938_15260
ko:K02073	bamp:B938_15275
ko:K02072	bamp:B938_15280
ko:K02071	bamp:B938_15285
ko:K07476	bamp:B938_15300
ko:K02437	bamp:B938_15310
ko:K07516	bamp:B938_15330
ko:K00318	bamp:B938_15340
ko:K01574	bamp:B938_15370
ko:K00077	bamp:B938_15375
ko:K02013	bamp:B938_15385
ko:K04047	bamp:B938_15405
ko:K07650	bamp:B938_15420
ko:K11622	bamp:B938_15475
ko:K11619	bamp:B938_15490
ko:K02013	bamp:B938_15505
ko:K06888	bamp:B938_19420
ko:K08369	bamp:B938_19430
ko:K01142	bamp:B938_19445
ko:K13531	bamp:B938_19450
ko:K13530	bamp:B938_19455
ko:K02963	bamp:B938_19460
ko:K02990	bamp:B938_19470
ko:K06942	bamp:B938_19475
ko:K03501	bamp:B938_19520
ko:K03495	bamp:B938_19525
ko:K03650	bamp:B938_19530
ko:K03217	bamp:B938_19540
ko:K03536	bamp:B938_19545
ko:K02914	bamp:B938_19550
ko:K02435	bamp:B938_03285
ko:K02434	bamp:B938_03295
ko:K03215	bamp:B938_03315
ko:K09458	bamp:B938_03340
ko:K06333	bamp:B938_03425
ko:K06334	bamp:B938_03430
ko:K06890	bamp:B938_03475
ko:K09136	bamp:B938_03535
ko:K00978	bamp:B938_03565
ko:K01709	bamp:B938_03570
ko:K02563	bamp:B938_07830
ko:K00075	bamp:B938_07835
ko:K03589	bamp:B938_07840
ko:K03590	bamp:B938_07845
ko:K03531	bamp:B938_07850
ko:K06383	bamp:B938_07860
ko:K03091	bamp:B938_07865
ko:K03091	bamp:B938_07870
ko:K02013	bamp:B938_07875
ko:K05810	bamp:B938_07890
ko:K06997	bamp:B938_07895
ko:K02034	bamp:B938_04305
ko:K03781	bamp:B938_04320
ko:K15553	bamp:B938_04335
ko:K15554	bamp:B938_04340
ko:K02954	bamp:B938_04355
ko:K06439	bamp:B938_02690
ko:K03483	bamp:B938_01970
ko:K00034	bamp:B938_01860
ko:K05519	bamp:B938_05485
ko:K02525	bamp:B938_09315
ko:K07448	bamp:B938_18960
ko:K16698	bamp:B938_16790
ko:K06368	bamp:B938_01290
ko:K06364	bamp:B938_17720
ko:K06362	bamp:B938_17225
ko:K06359	bamp:B938_06355
ko:K06361	bamp:B938_01775
ko:K06389	bamp:B938_06575
ko:K16199	bamp:B938_06650
ko:K06419	bamp:B938_04780
ko:K06418	bamp:B938_13715
ko:K16919	bamp:B938_14155
ko:K13277	bamp:B938_18265
ko:K13276	bamp:B938_07855
ko:K16786	bamp:B938_00740
ko:K17234	bamp:B938_13340
ko:K16787	bamp:B938_00745
ko:K16785	bamp:B938_00750
ko:K16699	bamp:B938_16785
ko:K05825	bamp:B938_16135
ko:K13614	bamp:B938_08820
ko:K15328	bamp:B938_08775
ko:K03339	bamp:B938_18815
ko:K07257	bamp:B938_17990
ko:K15337	bamp:B938_08785
ko:K10119	bamp:B938_15175
ko:K06421	bamp:B938_06880
ko:K06320	bamp:B938_10175
ko:K06297	bamp:B938_01705
ko:K10810	bamp:B938_05675
ko:K09681	bamp:B938_09650
ko:K01906	bamp:B938_09460
ko:K00980	bamp:B938_16880
ko:K02032	bamp:B938_05520
ko:K02031	bamp:B938_05515
ko:K16789	bamp:B938_14365
ko:K00130	bamp:B938_14395
ko:K04757	bamp:B938_02295
ko:K16694	bamp:B938_16815
ko:K16705	bamp:B938_16800
ko:K16706	bamp:B938_16795
ko:K10117	bamp:B938_15185
ko:K06324	bamp:B938_03070
ko:K15313	bamp:B938_11340
ko:K08168	bamp:B938_12465
ko:K07250	bamp:B938_01840
ko:K01985	bamp:B938_r19756
ko:K01233	bamp:B938_15235
ko:K01985	bamp:B938_r19740
ko:K15312	bamp:B938_08795
ko:K06336	bamp:B938_11865
ko:K06351	bamp:B938_01930
ko:K06595	bamp:B938_05095
ko:K01342	bamp:B938_05060
ko:K06113	bamp:B938_13370
ko:K02277	bamp:B938_07675
ko:K07705	bamp:B938_13415
ko:K13052	bamp:B938_00320
ko:K06315	bamp:B938_07135
ko:K13037	bamp:B938_17910
ko:K06296	bamp:B938_01710
ko:K13281	bamp:B938_17625
ko:K06378	bamp:B938_11155
ko:K06415	bamp:B938_04615
ko:K00634	bamp:B938_11560
ko:K03429	bamp:B938_10370
ko:K02303	bamp:B938_08020
ko:K11050	bamp:B938_03355
ko:K00483	bamp:B938_01060
ko:K02032	bamp:B938_06670
ko:K02799	bamp:B938_01885
ko:K02800	bamp:B938_01885
ko:K02798	bamp:B938_01890
ko:K00158	bamp:B938_02060
ko:K03294	bamp:B938_06595
ko:K01297	bamp:B938_06655
ko:K07305	bamp:B938_10260
ko:K07304	bamp:B938_10265
ko:K03469	bamp:B938_10395
ko:K03469	bamp:B938_10405
ko:K16168	bamp:B938_10435
ko:K16167	bamp:B938_10440
ko:K02051	bamp:B938_14245
ko:K02049	bamp:B938_14250
ko:K02050	bamp:B938_14255
ko:K02549	bamp:B938_14320
ko:K08680	bamp:B938_14335
ko:K02552	bamp:B938_14345
ko:K07192	bamp:B938_14370
ko:K01222	bamp:B938_18320
ko:K03491	bamp:B938_18340
ko:K16012	bamp:B938_18430
ko:K16013	bamp:B938_18435
ko:K01784	bamp:B938_18485
ko:K01258	bamp:B938_18490
ko:K03488	bamp:B938_18555
ko:K06902	bamp:B938_18560
ko:K09167	bamp:B938_02230
ko:K08981	bamp:B938_02235
ko:K07315	bamp:B938_02285
ko:K03090	bamp:B938_02300
ko:K05518	bamp:B938_02305
ko:K03095	bamp:B938_02320
ko:K06039	bamp:B938_02395
ko:K07404	bamp:B938_06675
ko:K00567	bamp:B938_06925
ko:K08969	bamp:B938_06950
ko:K06877	bamp:B938_10530
ko:K03700	bamp:B938_10575
ko:K02086	bamp:B938_10595
ko:K00974	bamp:B938_10645
ko:K01569	bamp:B938_10680
ko:K03886	bamp:B938_10705
ko:K03499	bamp:B938_14410
ko:K03406	bamp:B938_14455
ko:K03406	bamp:B938_14460
ko:K03406	bamp:B938_14465
ko:K03406	bamp:B938_14470
ko:K07570	bamp:B938_14565
ko:K02056	bamp:B938_14650
ko:K05565	bamp:B938_14670
ko:K02755	bamp:B938_18665
ko:K02756	bamp:B938_18665
ko:K02757	bamp:B938_18665
ko:K01479	bamp:B938_18725
ko:K01619	bamp:B938_18745
ko:K00010	bamp:B938_18830
ko:K06610	bamp:B938_18835
ko:K07032	bamp:B938_02560
ko:K00121	bamp:B938_02700
ko:K08964	bamp:B938_06965
ko:K03697	bamp:B938_07005
ko:K11189	bamp:B938_07125
ko:K08483	bamp:B938_07130
ko:K03406	bamp:B938_07145
ko:K00841	bamp:B938_07170
ko:K07098	bamp:B938_07200
ko:K04517	bamp:B938_10730
ko:K00575	bamp:B938_10785
ko:K00805	bamp:B938_10795
ko:K00805	bamp:B938_10805
ko:K01823	bamp:B938_10865
ko:K06313	bamp:B938_10890
ko:K07052	bamp:B938_10940
ko:K05337	bamp:B938_10955
ko:K00058	bamp:B938_10965
ko:K05568	bamp:B938_14685
ko:K05570	bamp:B938_14695
ko:K07017	bamp:B938_14870
ko:K03386	bamp:B938_18965
ko:K03518	bamp:B938_18990
ko:K00819	bamp:B938_19100
ko:K00657	bamp:B938_02775
ko:K03492	bamp:B938_02845
ko:K01409	bamp:B938_02925
ko:K07052	bamp:B938_02960
ko:K05822	bamp:B938_07260
ko:K03635	bamp:B938_07315
ko:K02005	bamp:B938_07335
ko:K02004	bamp:B938_07345
ko:K03436	bamp:B938_07350
ko:K00882	bamp:B938_07355
ko:K03499	bamp:B938_07420
ko:K15329	bamp:B938_07465
ko:K09763	bamp:B938_11040
ko:K03768	bamp:B938_11095
ko:K07258	bamp:B938_11160
ko:K03783	bamp:B938_11165
ko:K04763	bamp:B938_11175
ko:K03711	bamp:B938_11185
ko:K00027	bamp:B938_11205
ko:K01424	bamp:B938_11220
ko:K01515	bamp:B938_11235
ko:K13628	bamp:B938_14990
ko:K03317	bamp:B938_15000
ko:K01466	bamp:B938_15110
ko:K09684	bamp:B938_15115
ko:K07652	bamp:B938_19170
ko:K07668	bamp:B938_19175
ko:K06329	bamp:B938_19275
ko:K15986	bamp:B938_19285
ko:K01607	bamp:B938_19385
ko:K07094	bamp:B938_03250
ko:K03307	bamp:B938_03280
ko:K01092	bamp:B938_07565
ko:K01958	bamp:B938_07645
ko:K02274	bamp:B938_07665
ko:K02862	bamp:B938_07680
ko:K07177	bamp:B938_07740
ko:K08724	bamp:B938_07800
ko:K06889	bamp:B938_11255
ko:K00867	bamp:B938_11315
ko:K00059	bamp:B938_11390
ko:K15329	bamp:B938_11410
ko:K00784	bamp:B938_11445
ko:K00033	bamp:B938_11455
ko:K01966	bamp:B938_11485
ko:K04488	bamp:B938_15245
ko:K07770	bamp:B938_15415
ko:K01679	bamp:B938_15440
ko:K11618	bamp:B938_15465
ko:K06346	bamp:B938_19535
ko:K11617	bamp:B938_15470
ko:K02433	bamp:B938_03290
ko:K14338	bamp:B938_03495
ko:K02824	bamp:B938_07945
ko:K02823	bamp:B938_07970
ko:K00929	bamp:B938_11550
ko:K00626	bamp:B938_11600
ko:K01569	bamp:B938_15555
ko:K03316	bamp:B938_15660
ko:K00380	bamp:B938_15670
ko:K07213	bamp:B938_15710
ko:K01607	bamp:B938_15750
ko:K07052	bamp:B938_19425
ko:K01759	bamp:B938_19435
ko:K03294	bamp:B938_03595
ko:K01226	bamp:B938_03830
ko:K03486	bamp:B938_03835
ko:K09787	bamp:B938_08200
ko:K02414	bamp:B938_08360
ko:K00949	bamp:B938_08115
ko:K06414	bamp:B938_08120
ko:K07030	bamp:B938_08135
ko:K01262	bamp:B938_11790
ko:K13280	bamp:B938_11870
ko:K02249	bamp:B938_11890
ko:K02248	bamp:B938_11895
ko:K02246	bamp:B938_11905
ko:K02245	bamp:B938_11910
ko:K00059	bamp:B938_08170
ko:K02244	bamp:B938_11915
ko:K02243	bamp:B938_11920
ko:K16509	bamp:B938_11940
ko:K00845	bamp:B938_11975
ko:K01934	bamp:B938_11995
ko:K00059	bamp:B938_15810
ko:K05595	bamp:B938_15940
ko:K01784	bamp:B938_15995
ko:K01104	bamp:B938_03890
ko:K07104	bamp:B938_04050
ko:K09764	bamp:B938_08550
ko:K03177	bamp:B938_08560
ko:K06994	bamp:B938_08655
ko:K02076	bamp:B938_12090
ko:K13300	bamp:B938_12135
ko:K01489	bamp:B938_12190
ko:K00851	bamp:B938_16110
ko:K03299	bamp:B938_16115
ko:K03929	bamp:B938_16250
ko:K04763	bamp:B938_16325
ko:K07586	bamp:B938_04230
ko:K11085	bamp:B938_04235
ko:K09825	bamp:B938_04255
ko:K02035	bamp:B938_04295
