ko:K03602	ftc:DA46_2060
ko:K02372	ftc:DA46_148
ko:K02536	ftc:DA46_149
ko:K06142	ftc:DA46_150
ko:K07277	ftc:DA46_151
ko:K00099	ftc:DA46_152
ko:K02469	ftc:DA46_153
ko:K03648	ftc:DA46_157
ko:K01156	ftc:DA46_158
ko:K07461	ftc:DA46_159
ko:K01676	ftc:DA46_163
ko:K03655	ftc:DA46_165
ko:K02902	ftc:DA46_167
ko:K02913	ftc:DA46_168
ko:K03610	ftc:DA46_169
ko:K03609	ftc:DA46_170
ko:K03608	ftc:DA46_171
ko:K00122	ftc:DA46_837
ko:K01546	ftc:DA46_839
ko:K01547	ftc:DA46_840
ko:K01547	ftc:DA46_841
ko:K01548	ftc:DA46_842
ko:K07646	ftc:DA46_843
ko:K07646	ftc:DA46_844
ko:K07667	ftc:DA46_845
ko:K03979	ftc:DA46_850
ko:K02471	ftc:DA46_853
ko:K18552	ftc:DA46_856
ko:K08303	ftc:DA46_857
ko:K00573	ftc:DA46_858
ko:K12340	ftc:DA46_859
ko:K06133	ftc:DA46_860
ko:K01580	ftc:DA46_861
ko:K00764	ftc:DA46_863
ko:K01952	ftc:DA46_864
ko:K01756	ftc:DA46_874
ko:K02435	ftc:DA46_881
ko:K02433	ftc:DA46_882
ko:K02434	ftc:DA46_883
ko:K01586	ftc:DA46_889
ko:K03711	ftc:DA46_892
ko:K01442	ftc:DA46_1608
ko:K01697	ftc:DA46_1609
ko:K11900	ftc:DA46_1631
ko:K11901	ftc:DA46_1632
ko:K01194	ftc:DA46_1639
ko:K01624	ftc:DA46_1640
ko:K00873	ftc:DA46_1641
ko:K00927	ftc:DA46_1642
ko:K00134	ftc:DA46_1643
ko:K00615	ftc:DA46_1644
ko:K07040	ftc:DA46_1645
ko:K02911	ftc:DA46_1646
ko:K03621	ftc:DA46_1647
ko:K00648	ftc:DA46_1648
ko:K00645	ftc:DA46_1649
ko:K00059	ftc:DA46_1650
ko:K02078	ftc:DA46_1651
ko:K09458	ftc:DA46_1652
ko:K06141	ftc:DA46_1655
ko:K01092	ftc:DA46_1657
ko:K03500	ftc:DA46_1658
ko:K03500	ftc:DA46_1660
ko:K11900	ftc:DA46_624
ko:K11901	ftc:DA46_625
ko:K03811	ftc:DA46_631
ko:K03281	ftc:DA46_635
ko:K01299	ftc:DA46_636
ko:K01696	ftc:DA46_637
ko:K01695	ftc:DA46_638
ko:K03811	ftc:DA46_640
ko:K03811	ftc:DA46_641
ko:K03695	ftc:DA46_642
ko:K01183	ftc:DA46_643
ko:K08289	ftc:DA46_644
ko:K05524	ftc:DA46_647
ko:K00655	ftc:DA46_648
ko:K00655	ftc:DA46_649
ko:K03313	ftc:DA46_651
ko:K12262	ftc:DA46_654
ko:K11752	ftc:DA46_659
ko:K00793	ftc:DA46_660
ko:K14652	ftc:DA46_661
ko:K00794	ftc:DA46_662
ko:K01462	ftc:DA46_663
ko:K00566	ftc:DA46_665
ko:K03596	ftc:DA46_666
ko:K02968	ftc:DA46_667
ko:K06186	ftc:DA46_668
ko:K03762	ftc:DA46_1338
ko:K06187	ftc:DA46_1343
ko:K09747	ftc:DA46_1344
ko:K02563	ftc:DA46_1345
ko:K02437	ftc:DA46_1346
ko:K01868	ftc:DA46_1350
ko:K02520	ftc:DA46_1351
ko:K02916	ftc:DA46_1352
ko:K02887	ftc:DA46_1353
ko:K09791	ftc:DA46_1358
ko:K00979	ftc:DA46_1359
ko:K00849	ftc:DA46_1360
ko:K00965	ftc:DA46_1362
ko:K08137	ftc:DA46_1363
ko:K03769	ftc:DA46_1365
ko:K05592	ftc:DA46_1366
ko:K00942	ftc:DA46_1367
ko:K03517	ftc:DA46_1368
ko:K00767	ftc:DA46_1369
ko:K00278	ftc:DA46_1370
ko:K01488	ftc:DA46_1372
ko:K00432	ftc:DA46_1377
ko:K04762	ftc:DA46_1386
ko:K04744	ftc:DA46_1387
ko:K18800	ftc:DA46_2092
ko:K03185	ftc:DA46_2093
ko:K09895	ftc:DA46_2094
ko:K01934	ftc:DA46_2095
ko:K05527	ftc:DA46_2096
ko:K03975	ftc:DA46_2097
ko:K03975	ftc:DA46_2098
ko:K03584	ftc:DA46_2099
ko:K04487	ftc:DA46_2101
ko:K08300	ftc:DA46_2103
ko:K13292	ftc:DA46_2104
ko:K00058	ftc:DA46_2106
ko:K04075	ftc:DA46_2107
ko:K03305	ftc:DA46_2108
ko:K03305	ftc:DA46_2109
ko:K01442	ftc:DA46_2110
ko:K09889	ftc:DA46_2116
ko:K00600	ftc:DA46_2117
ko:K05807	ftc:DA46_2121
ko:K06180	ftc:DA46_2122
ko:K02066	ftc:DA46_2124
ko:K02065	ftc:DA46_2125
ko:K02067	ftc:DA46_2126
ko:K09761	ftc:DA46_2129
ko:K03305	ftc:DA46_2130
ko:K01897	ftc:DA46_2132
ko:K03446	ftc:DA46_2133
ko:K03543	ftc:DA46_2134
ko:K01916	ftc:DA46_2136
ko:K11076	ftc:DA46_2142
ko:K11075	ftc:DA46_2143
ko:K11074	ftc:DA46_2144
ko:K02065	ftc:DA46_172
ko:K02066	ftc:DA46_173
ko:K02067	ftc:DA46_174
ko:K07323	ftc:DA46_175
ko:K07122	ftc:DA46_176
ko:K03218	ftc:DA46_180
ko:K02558	ftc:DA46_182
ko:K00762	ftc:DA46_183
ko:K03269	ftc:DA46_184
ko:K12251	ftc:DA46_185
ko:K12251	ftc:DA46_186
ko:K10536	ftc:DA46_191
ko:K01585	ftc:DA46_192
ko:K00797	ftc:DA46_194
ko:K01611	ftc:DA46_195
ko:K01733	ftc:DA46_197
ko:K00872	ftc:DA46_198
ko:K12524	ftc:DA46_199
ko:K00133	ftc:DA46_200
ko:K00133	ftc:DA46_201
ko:K01929	ftc:DA46_203
ko:K01928	ftc:DA46_205
ko:K01878	ftc:DA46_206
ko:K00705	ftc:DA46_207
ko:K00688	ftc:DA46_208
ko:K00703	ftc:DA46_209
ko:K00975	ftc:DA46_210
ko:K01835	ftc:DA46_211
ko:K00700	ftc:DA46_212
ko:K00014	ftc:DA46_214
ko:K00283	ftc:DA46_215
ko:K00282	ftc:DA46_216
ko:K02437	ftc:DA46_217
ko:K00605	ftc:DA46_218
ko:K09810	ftc:DA46_220
ko:K09808	ftc:DA46_221
ko:K00330	ftc:DA46_893
ko:K00331	ftc:DA46_894
ko:K00332	ftc:DA46_895
ko:K00333	ftc:DA46_896
ko:K00334	ftc:DA46_897
ko:K00335	ftc:DA46_898
ko:K00336	ftc:DA46_899
ko:K00337	ftc:DA46_900
ko:K00338	ftc:DA46_901
ko:K00339	ftc:DA46_902
ko:K00340	ftc:DA46_903
ko:K00341	ftc:DA46_904
ko:K00342	ftc:DA46_905
ko:K00343	ftc:DA46_906
ko:K09806	ftc:DA46_907
ko:K07391	ftc:DA46_910
ko:K01599	ftc:DA46_912
ko:K09748	ftc:DA46_914
ko:K02600	ftc:DA46_915
ko:K02519	ftc:DA46_916
ko:K02834	ftc:DA46_917
ko:K01892	ftc:DA46_918
ko:K06916	ftc:DA46_920
ko:K06179	ftc:DA46_921
ko:K02108	ftc:DA46_924
ko:K02110	ftc:DA46_925
ko:K02109	ftc:DA46_926
ko:K02113	ftc:DA46_927
ko:K02111	ftc:DA46_928
ko:K02115	ftc:DA46_929
ko:K02112	ftc:DA46_930
ko:K02114	ftc:DA46_931
ko:K07390	ftc:DA46_933
ko:K04564	ftc:DA46_934
ko:K08218	ftc:DA46_935
ko:K01647	ftc:DA46_936
ko:K00241	ftc:DA46_937
ko:K00242	ftc:DA46_938
ko:K00239	ftc:DA46_939
ko:K00240	ftc:DA46_940
ko:K00164	ftc:DA46_941
ko:K00658	ftc:DA46_942
ko:K00759	ftc:DA46_943
ko:K03431	ftc:DA46_944
ko:K01803	ftc:DA46_945
ko:K07154	ftc:DA46_1666
ko:K03554	ftc:DA46_1674
ko:K07146	ftc:DA46_1675
ko:K00243	ftc:DA46_1676
ko:K03656	ftc:DA46_1677
ko:K06980	ftc:DA46_1678
ko:K00616	ftc:DA46_1684
ko:K01255	ftc:DA46_1685
ko:K01872	ftc:DA46_1687
ko:K03657	ftc:DA46_1688
ko:K03657	ftc:DA46_1690
ko:K09710	ftc:DA46_1693
ko:K18979	ftc:DA46_1694
ko:K18979	ftc:DA46_1695
ko:K07552	ftc:DA46_1698
ko:K12267	ftc:DA46_1700
ko:K02168	ftc:DA46_1701
ko:K02168	ftc:DA46_1703
ko:K03437	ftc:DA46_1704
ko:K01442	ftc:DA46_1705
ko:K03305	ftc:DA46_1707
ko:K07727	ftc:DA46_1717
ko:K22468	ftc:DA46_141
ko:K01183	ftc:DA46_1230
ko:K01992	ftc:DA46_1236
ko:K00020	ftc:DA46_711
ko:K00020	ftc:DA46_712
ko:K01152	ftc:DA46_722
ko:K01152	ftc:DA46_1016
ko:K00526	ftc:DA46_1820
ko:K03676	ftc:DA46_1820
ko:K02471	ftc:DA46_852
ko:K15342	ftc:DA46_1449
ko:K09701	ftc:DA46_123
ko:K04744	ftc:DA46_1389
ko:K08156	ftc:DA46_1183
ko:K14234	ftc:DA46_744
ko:K01980	ftc:DA46_1613
ko:K01980	ftc:DA46_253
ko:K01980	ftc:DA46_606
ko:K14218	ftc:DA46_1614
ko:K14218	ftc:DA46_254
ko:K14218	ftc:DA46_607
ko:K14219	ftc:DA46_402
ko:K14231	ftc:DA46_1333
ko:K14233	ftc:DA46_1407
ko:K14237	ftc:DA46_1218
ko:K14237	ftc:DA46_258
ko:K14228	ftc:DA46_15
ko:K14226	ftc:DA46_1336
ko:K14225	ftc:DA46_980
ko:K14230	ftc:DA46_913
ko:K14230	ftc:DA46_1029
ko:K14221	ftc:DA46_745
ko:K14223	ftc:DA46_573
ko:K14224	ftc:DA46_495
ko:K01985	ftc:DA46_1612
ko:K01985	ftc:DA46_252
ko:K01985	ftc:DA46_605
ko:K01985	ftc:DA46_222
ko:K14237	ftc:DA46_1483
ko:K14222	ftc:DA46_16
ko:K14228	ftc:DA46_947
ko:K14228	ftc:DA46_1337
ko:K14230	ftc:DA46_142
ko:K14233	ftc:DA46_259
ko:K14233	ftc:DA46_359
ko:K14236	ftc:DA46_979
ko:K14234	ftc:DA46_981
ko:K14219	ftc:DA46_1021
ko:K14229	ftc:DA46_1263
ko:K14219	ftc:DA46_1335
ko:K14232	ftc:DA46_1334
ko:K14225	ftc:DA46_403
ko:K14225	ftc:DA46_17
ko:K07666	ftc:DA46_133
ko:K14220	ftc:DA46_26
ko:K19802	ftc:DA46_1381
ko:K19810	ftc:DA46_1402
ko:K05770	ftc:DA46_1702
ko:K20265	ftc:DA46_1475
ko:K20265	ftc:DA46_1476
ko:K20265	ftc:DA46_439
ko:K20265	ftc:DA46_1543
ko:K20265	ftc:DA46_1165
ko:K00507	ftc:DA46_128
ko:K00507	ftc:DA46_994
ko:K13713	ftc:DA46_310
ko:K20534	ftc:DA46_56
ko:K01932	ftc:DA46_1339
ko:K13004	ftc:DA46_88
ko:K01200	ftc:DA46_213
ko:K21053	ftc:DA46_1503
ko:K21053	ftc:DA46_1504
ko:K00632	ftc:DA46_100
ko:K02335	ftc:DA46_1076
ko:K03553	ftc:DA46_730
ko:K03462	ftc:DA46_104
ko:K00558	ftc:DA46_865
ko:K00558	ftc:DA46_866
ko:K00558	ftc:DA46_867
ko:K13522	ftc:DA46_243
ko:K02316	ftc:DA46_1748
ko:K02314	ftc:DA46_1774
ko:K00857	ftc:DA46_1918
ko:K06217	ftc:DA46_1922
ko:K01520	ftc:DA46_486
ko:K00287	ftc:DA46_493
ko:K06197	ftc:DA46_2000
ko:K00560	ftc:DA46_2105
ko:K02483	ftc:DA46_118
ko:K03293	ftc:DA46_325
ko:K03271	ftc:DA46_669
ko:K00525	ftc:DA46_1817
ko:K01139	ftc:DA46_1342
ko:K01582	ftc:DA46_219
ko:K21600	ftc:DA46_1789
ko:K04103	ftc:DA46_736
ko:K21829	ftc:DA46_362
ko:K22116	ftc:DA46_1340
ko:K03595	ftc:DA46_2024
ko:K22132	ftc:DA46_1809
ko:K22132	ftc:DA46_1812
ko:K02257	ftc:DA46_523
ko:K13566	ftc:DA46_37
