ko:K01139	kpb:FH42_16340
ko:K13933	kpb:FH42_03700
ko:K13932	kpb:FH42_03705
ko:K13931	kpb:FH42_03710
ko:K13930	kpb:FH42_03715
ko:K13929	kpb:FH42_03720
ko:K11744	kpb:FH42_03725
ko:K11743	kpb:FH42_03730
ko:K11742	kpb:FH42_03735
ko:K04775	kpb:FH42_03745
ko:K01299	kpb:FH42_03765
ko:K08224	kpb:FH42_03770
ko:K15545	kpb:FH42_03780
ko:K01935	kpb:FH42_03785
ko:K03281	kpb:FH42_03790
ko:K07312	kpb:FH42_03800
ko:K07307	kpb:FH42_03805
ko:K07309	kpb:FH42_03810
ko:K00657	kpb:FH42_03825
ko:K09771	kpb:FH42_03835
ko:K00040	kpb:FH42_03845
ko:K11932	kpb:FH42_03850
ko:K16066	kpb:FH42_03860
ko:K01284	kpb:FH42_03865
ko:K04080	kpb:FH42_03900
ko:K03299	kpb:FH42_03930
ko:K02532	kpb:FH42_03975
ko:K01190	kpb:FH42_03980
ko:K07168	kpb:FH42_08420
ko:K01251	kpb:FH42_08425
ko:K00768	kpb:FH42_08430
ko:K02233	kpb:FH42_08435
ko:K09802	kpb:FH42_08440
ko:K07470	kpb:FH42_08450
ko:K07258	kpb:FH42_08460
ko:K01141	kpb:FH42_08465
ko:K02355	kpb:FH42_08470
ko:K00765	kpb:FH42_08495
ko:K00013	kpb:FH42_08500
ko:K00817	kpb:FH42_08505
ko:K01089	kpb:FH42_08510
ko:K02501	kpb:FH42_08515
ko:K01814	kpb:FH42_08520
ko:K02500	kpb:FH42_08525
ko:K11755	kpb:FH42_08530
ko:K01854	kpb:FH42_08565
ko:K08679	kpb:FH42_08585
ko:K00012	kpb:FH42_08590
ko:K01840	kpb:FH42_08595
ko:K00971	kpb:FH42_08600
ko:K00033	kpb:FH42_08605
ko:K03606	kpb:FH42_08615
ko:K03208	kpb:FH42_08620
ko:K03207	kpb:FH42_08625
ko:K01711	kpb:FH42_08635
ko:K13683	kpb:FH42_08640
ko:K16692	kpb:FH42_08665
ko:K01104	kpb:FH42_08670
ko:K09761	kpb:FH42_12880
ko:K01920	kpb:FH42_12885
ko:K07735	kpb:FH42_12890
ko:K07447	kpb:FH42_12895
ko:K02669	kpb:FH42_12905
ko:K06997	kpb:FH42_12910
ko:K02221	kpb:FH42_12915
ko:K09131	kpb:FH42_12920
ko:K02428	kpb:FH42_12925
ko:K09923	kpb:FH42_12940
ko:K03439	kpb:FH42_12945
ko:K03575	kpb:FH42_12950
ko:K08306	kpb:FH42_12960
ko:K03289	kpb:FH42_12965
ko:K01581	kpb:FH42_12970
ko:K07150	kpb:FH42_12975
ko:K03704	kpb:FH42_13045
ko:K07640	kpb:FH42_17450
ko:K06006	kpb:FH42_17460
ko:K13283	kpb:FH42_17465
ko:K00850	kpb:FH42_17470
ko:K02553	kpb:FH42_17475
ko:K02548	kpb:FH42_17480
ko:K03667	kpb:FH42_17485
ko:K01419	kpb:FH42_17490
ko:K03591	kpb:FH42_17495
ko:K05499	kpb:FH42_17500
ko:K04066	kpb:FH42_17505
ko:K02909	kpb:FH42_17510
ko:K03764	kpb:FH42_17515
ko:K01739	kpb:FH42_17520
ko:K12525	kpb:FH42_17525
ko:K01607	kpb:FH42_17540
ko:K00297	kpb:FH42_17550
ko:K00005	kpb:FH42_17560
ko:K08314	kpb:FH42_17565
ko:K01595	kpb:FH42_17580
ko:K01438	kpb:FH42_17585
ko:K00145	kpb:FH42_17590
ko:K00930	kpb:FH42_17595
ko:K01755	kpb:FH42_17600
ko:K04761	kpb:FH42_17605
ko:K00322	kpb:FH42_17610
ko:K16092	kpb:FH42_17635
ko:K01776	kpb:FH42_17640
ko:K09897	kpb:FH42_17685
ko:K07391	kpb:FH42_17690
ko:K01652	kpb:FH42_17695
ko:K11258	kpb:FH42_17700
ko:K00826	kpb:FH42_17705
ko:K01687	kpb:FH42_17710
ko:K01754	kpb:FH42_17715
ko:K02521	kpb:FH42_17720
ko:K03271	kpb:FH42_22030
ko:K00346	kpb:FH42_22050
ko:K00347	kpb:FH42_22055
ko:K00348	kpb:FH42_22060
ko:K00349	kpb:FH42_22065
ko:K00350	kpb:FH42_22070
ko:K00351	kpb:FH42_22075
ko:K05952	kpb:FH42_22080
ko:K02346	kpb:FH42_22090
ko:K03830	kpb:FH42_22095
ko:K01270	kpb:FH42_22100
ko:K00769	kpb:FH42_22105
ko:K11750	kpb:FH42_22110
ko:K11926	kpb:FH42_22115
ko:K15735	kpb:FH42_22120
ko:K11735	kpb:FH42_22125
ko:K07250	kpb:FH42_22130
ko:K00135	kpb:FH42_22135
ko:K15736	kpb:FH42_22140
ko:K15737	kpb:FH42_22145
ko:K09982	kpb:FH42_22150
ko:K02775	kpb:FH42_22165
ko:K00058	kpb:FH42_22170
ko:K00059	kpb:FH42_22175
ko:K00880	kpb:FH42_22180
ko:K02443	kpb:FH42_22185
ko:K00382	kpb:FH42_22200
ko:K00627	kpb:FH42_22205
ko:K03556	kpb:FH42_22220
ko:K07733	kpb:FH42_22255
ko:K00147	kpb:FH42_22300
ko:K00931	kpb:FH42_22305
ko:K11929	kpb:FH42_22310
ko:K07738	kpb:FH42_22755
ko:K11752	kpb:FH42_22760
ko:K00794	kpb:FH42_22765
ko:K03625	kpb:FH42_22770
ko:K00946	kpb:FH42_22775
ko:K01095	kpb:FH42_22780
ko:K01662	kpb:FH42_22790
ko:K00795	kpb:FH42_22795
ko:K03602	kpb:FH42_22800
ko:K03151	kpb:FH42_22805
ko:K03152	kpb:FH42_22815
ko:K00077	kpb:FH42_22820
ko:K09767	kpb:FH42_22825
ko:K08195	kpb:FH42_22840
ko:K00014	kpb:FH42_22865
ko:K02624	kpb:FH42_22870
ko:K02300	kpb:FH42_22885
ko:K02299	kpb:FH42_22890
ko:K02298	kpb:FH42_22895
ko:K02297	kpb:FH42_22900
ko:K08218	kpb:FH42_22905
ko:K07286	kpb:FH42_22910
ko:K05527	kpb:FH42_22915
ko:K03545	kpb:FH42_22925
ko:K01358	kpb:FH42_22930
ko:K03544	kpb:FH42_22935
ko:K01338	kpb:FH42_22940
ko:K03530	kpb:FH42_22945
ko:K03770	kpb:FH42_22950
ko:K02237	kpb:FH42_22955
ko:K12500	kpb:FH42_22960
ko:K06920	kpb:FH42_22965
ko:K11938	kpb:FH42_22975
ko:K01738	kpb:FH42_22980
ko:K05800	kpb:FH42_22985
ko:K04752	kpb:FH42_23005
ko:K03320	kpb:FH42_23010
ko:K10805	kpb:FH42_23015
ko:K09914	kpb:FH42_23020
ko:K07443	kpb:FH42_23025
ko:K00121	kpb:FH42_26430
ko:K08300	kpb:FH42_01265
ko:K06179	kpb:FH42_01270
ko:K07040	kpb:FH42_01280
ko:K02911	kpb:FH42_01285
ko:K03621	kpb:FH42_01290
ko:K00648	kpb:FH42_01295
ko:K00645	kpb:FH42_01300
ko:K00059	kpb:FH42_01305
ko:K02078	kpb:FH42_01310
ko:K09458	kpb:FH42_01315
ko:K02619	kpb:FH42_01320
ko:K07082	kpb:FH42_01325
ko:K00943	kpb:FH42_01330
ko:K02341	kpb:FH42_01335
ko:K03424	kpb:FH42_01340
ko:K02778	kpb:FH42_01345
ko:K02779	kpb:FH42_01345
ko:K02503	kpb:FH42_01350
ko:K07337	kpb:FH42_01360
ko:K07251	kpb:FH42_01365
ko:K01207	kpb:FH42_01370
ko:K07000	kpb:FH42_01375
ko:K03885	kpb:FH42_01380
ko:K02014	kpb:FH42_01390
ko:K12151	kpb:FH42_01400
ko:K03723	kpb:FH42_01410
ko:K09808	kpb:FH42_01415
ko:K09810	kpb:FH42_01420
ko:K09808	kpb:FH42_01425
ko:K00884	kpb:FH42_01430
ko:K12410	kpb:FH42_01435
ko:K11069	kpb:FH42_01455
ko:K11070	kpb:FH42_01460
ko:K11071	kpb:FH42_01465
ko:K11072	kpb:FH42_01470
ko:K01258	kpb:FH42_01475
ko:K07637	kpb:FH42_01485
ko:K07660	kpb:FH42_01490
ko:K01756	kpb:FH42_01505
ko:K07153	kpb:FH42_01510
ko:K00566	kpb:FH42_01515
ko:K12152	kpb:FH42_01520
ko:K06181	kpb:FH42_01525
ko:K00031	kpb:FH42_01530
ko:K03604	kpb:FH42_06090
ko:K00574	kpb:FH42_06105
ko:K00793	kpb:FH42_06110
ko:K03327	kpb:FH42_06115
ko:K06966	kpb:FH42_06130
ko:K01673	kpb:FH42_06185
ko:K01759	kpb:FH42_06200
ko:K02035	kpb:FH42_06210
ko:K02033	kpb:FH42_06215
ko:K02034	kpb:FH42_06220
ko:K02051	kpb:FH42_06280
ko:K01485	kpb:FH42_06300
ko:K01470	kpb:FH42_06310
ko:K02051	kpb:FH42_06315
ko:K02049	kpb:FH42_06320
ko:K02050	kpb:FH42_06325
ko:K07240	kpb:FH42_06335
ko:K17737	kpb:FH42_06350
ko:K01028	kpb:FH42_06355
ko:K01029	kpb:FH42_06360
ko:K00074	kpb:FH42_06370
ko:K00019	kpb:FH42_06380
ko:K01575	kpb:FH42_06390
ko:K01652	kpb:FH42_06395
ko:K15460	kpb:FH42_10610
ko:K05590	kpb:FH42_10615
ko:K03648	kpb:FH42_10625
ko:K03214	kpb:FH42_10630
ko:K03672	kpb:FH42_10635
ko:K05812	kpb:FH42_10640
ko:K00998	kpb:FH42_10650
ko:K05811	kpb:FH42_10655
ko:K03695	kpb:FH42_10685
ko:K05810	kpb:FH42_10690
ko:K06180	kpb:FH42_10695
ko:K05807	kpb:FH42_10700
ko:K05809	kpb:FH42_10705
ko:K14170	kpb:FH42_10710
ko:K14187	kpb:FH42_10720
ko:K01626	kpb:FH42_10725
ko:K02884	kpb:FH42_10755
ko:K00554	kpb:FH42_10760
ko:K02860	kpb:FH42_10765
ko:K02959	kpb:FH42_10770
ko:K03106	kpb:FH42_10775
ko:K03687	kpb:FH42_10790
ko:K00858	kpb:FH42_10795
ko:K03631	kpb:FH42_10800
ko:K06186	kpb:FH42_10805
ko:K09801	kpb:FH42_10810
ko:K03664	kpb:FH42_10820
ko:K05804	kpb:FH42_10845
ko:K12255	kpb:FH42_10870
ko:K02030	kpb:FH42_10885
ko:K02028	kpb:FH42_10890
ko:K02029	kpb:FH42_10890
ko:K12972	kpb:FH42_10900
ko:K04760	kpb:FH42_15205
ko:K06959	kpb:FH42_15210
ko:K04758	kpb:FH42_15220
ko:K04759	kpb:FH42_15225
ko:K07490	kpb:FH42_15230
ko:K02170	kpb:FH42_15240
ko:K07400	kpb:FH42_15250
ko:K06155	kpb:FH42_15255
ko:K00705	kpb:FH42_15260
ko:K00688	kpb:FH42_15265
ko:K03556	kpb:FH42_15270
ko:K02444	kpb:FH42_15275
ko:K02441	kpb:FH42_15280
ko:K02439	kpb:FH42_15285
ko:K00111	kpb:FH42_15290
ko:K00688	kpb:FH42_15305
ko:K00703	kpb:FH42_15310
ko:K00975	kpb:FH42_15315
ko:K00700	kpb:FH42_15325
ko:K00133	kpb:FH42_15330
ko:K06156	kpb:FH42_15335
ko:K00851	kpb:FH42_15340
ko:K06145	kpb:FH42_15345
ko:K06911	kpb:FH42_15350
ko:K03825	kpb:FH42_15365
ko:K00681	kpb:FH42_15370
ko:K01126	kpb:FH42_15380
ko:K05816	kpb:FH42_15385
ko:K05815	kpb:FH42_15390
ko:K05814	kpb:FH42_15395
ko:K05813	kpb:FH42_15400
ko:K07341	kpb:FH42_15405
ko:K01996	kpb:FH42_15415
ko:K01995	kpb:FH42_15420
ko:K01998	kpb:FH42_15425
ko:K01997	kpb:FH42_15430
ko:K01999	kpb:FH42_15435
ko:K01999	kpb:FH42_15450
ko:K00823	kpb:FH42_15460
ko:K00375	kpb:FH42_15465
ko:K03089	kpb:FH42_15470
ko:K07091	kpb:FH42_19730
ko:K11720	kpb:FH42_19735
ko:K06915	kpb:FH42_19740
ko:K06606	kpb:FH42_19745
ko:K00140	kpb:FH42_19750
ko:K03337	kpb:FH42_19755
ko:K03338	kpb:FH42_19780
ko:K03336	kpb:FH42_19785
ko:K00010	kpb:FH42_19790
ko:K06605	kpb:FH42_19795
ko:K03335	kpb:FH42_19800
ko:K05813	kpb:FH42_19805
ko:K05816	kpb:FH42_19810
ko:K05815	kpb:FH42_19820
ko:K05814	kpb:FH42_19825
ko:K12957	kpb:FH42_19830
ko:K01673	kpb:FH42_19840
ko:K01081	kpb:FH42_19875
ko:K03427	kpb:FH42_19895
ko:K01153	kpb:FH42_19900
ko:K01198	kpb:FH42_20045
ko:K16235	kpb:FH42_22455
ko:K00547	kpb:FH42_22460
ko:K15551	kpb:FH42_22465
ko:K10831	kpb:FH42_22470
ko:K15552	kpb:FH42_22475
ko:K03119	kpb:FH42_22480
ko:K01698	kpb:FH42_22500
ko:K17938	kpb:FH42_22515
ko:K01921	kpb:FH42_22535
ko:K08161	kpb:FH42_22545
ko:K01077	kpb:FH42_22555
ko:K00286	kpb:FH42_22565
ko:K09768	kpb:FH42_22570
ko:K09945	kpb:FH42_22575
ko:K00891	kpb:FH42_22580
ko:K14591	kpb:FH42_22590
ko:K09913	kpb:FH42_22595
ko:K03554	kpb:FH42_22600
ko:K00847	kpb:FH42_22605
ko:K03547	kpb:FH42_22615
ko:K07657	kpb:FH42_22620
ko:K07636	kpb:FH42_22625
ko:K03311	kpb:FH42_22630
ko:K11736	kpb:FH42_22635
ko:K01187	kpb:FH42_22640
ko:K09932	kpb:FH42_22660
ko:K01624	kpb:FH42_22670
ko:K03475	kpb:FH42_22680
ko:K02822	kpb:FH42_22685
ko:K02821	kpb:FH42_22690
ko:K03386	kpb:FH42_22700
ko:K08682	kpb:FH42_22705
ko:K07568	kpb:FH42_22710
ko:K00773	kpb:FH42_22715
ko:K03210	kpb:FH42_22720
ko:K03072	kpb:FH42_22725
ko:K03074	kpb:FH42_22730
ko:K06996	kpb:FH42_22735
ko:K05517	kpb:FH42_22745
ko:K07643	kpb:FH42_25060
ko:K07771	kpb:FH42_25065
ko:K03760	kpb:FH42_25070
ko:K03639	kpb:FH42_25080
ko:K03638	kpb:FH42_25085
ko:K03637	kpb:FH42_25090
ko:K03636	kpb:FH42_25095
ko:K03635	kpb:FH42_25100
ko:K06890	kpb:FH42_25105
ko:K07027	kpb:FH42_25110
ko:K01993	kpb:FH42_25145
ko:K00615	kpb:FH42_25170
ko:K00615	kpb:FH42_25175
ko:K11927	kpb:FH42_25180
ko:K13650	kpb:FH42_25210
ko:K06970	kpb:FH42_25220
ko:K10038	kpb:FH42_25230
ko:K10037	kpb:FH42_25235
ko:K10036	kpb:FH42_25240
ko:K04047	kpb:FH42_25245
ko:K11939	kpb:FH42_25250
ko:K13633	kpb:FH42_04000
ko:K00549	kpb:FH42_04010
ko:K11959	kpb:FH42_04015
ko:K11960	kpb:FH42_04020
ko:K11961	kpb:FH42_04025
ko:K11962	kpb:FH42_04030
ko:K11963	kpb:FH42_04035
ko:K15268	kpb:FH42_04050
ko:K13630	kpb:FH42_04055
ko:K13632	kpb:FH42_04060
ko:K03712	kpb:FH42_04065
ko:K05595	kpb:FH42_04075
ko:K08159	kpb:FH42_04080
ko:K03307	kpb:FH42_04105
ko:K01714	kpb:FH42_04110
ko:K00016	kpb:FH42_04135
ko:K03829	kpb:FH42_04140
ko:K08324	kpb:FH42_04150
ko:K01425	kpb:FH42_04155
ko:K00041	kpb:FH42_04175
ko:K11903	kpb:FH42_04205
ko:K01607	kpb:FH42_04215
ko:K00598	kpb:FH42_04220
ko:K00459	kpb:FH42_04250
ko:K02072	kpb:FH42_04255
ko:K02073	kpb:FH42_04265
ko:K01991	kpb:FH42_08675
ko:K00963	kpb:FH42_08690
ko:K07289	kpb:FH42_08700
ko:K01494	kpb:FH42_08705
ko:K00876	kpb:FH42_08710
ko:K01247	kpb:FH42_08715
ko:K04046	kpb:FH42_08720
ko:K07660	kpb:FH42_08730
ko:K07799	kpb:FH42_08745
ko:K07788	kpb:FH42_08750
ko:K07789	kpb:FH42_08755
ko:K18326	kpb:FH42_08760
ko:K07642	kpb:FH42_08765
ko:K07664	kpb:FH42_08770
ko:K08303	kpb:FH42_08775
ko:K02034	kpb:FH42_08795
ko:K02033	kpb:FH42_08800
ko:K02035	kpb:FH42_08805
ko:K00854	kpb:FH42_08825
ko:K00007	kpb:FH42_08830
ko:K03435	kpb:FH42_08840
ko:K00039	kpb:FH42_08845
ko:K00941	kpb:FH42_08865
ko:K00878	kpb:FH42_08870
ko:K01486	kpb:FH42_08885
ko:K06901	kpb:FH42_08890
ko:K03593	kpb:FH42_08910
ko:K01874	kpb:FH42_08915
ko:K02477	kpb:FH42_08925
ko:K02478	kpb:FH42_08930
ko:K05846	kpb:FH42_08940
ko:K05847	kpb:FH42_08945
ko:K05846	kpb:FH42_08950
ko:K05845	kpb:FH42_08955
ko:K12055	kpb:FH42_13285
ko:K01697	kpb:FH42_13310
ko:K01758	kpb:FH42_13315
ko:K01460	kpb:FH42_13350
ko:K11209	kpb:FH42_13360
ko:K01061	kpb:FH42_13370
ko:K03559	kpb:FH42_13390
ko:K03561	kpb:FH42_13395
ko:K01760	kpb:FH42_13405
ko:K08325	kpb:FH42_13420
ko:K06221	kpb:FH42_13425
ko:K00655	kpb:FH42_13445
ko:K02621	kpb:FH42_13450
ko:K13652	kpb:FH42_13455
ko:K07666	kpb:FH42_13465
ko:K07645	kpb:FH42_13470
ko:K03923	kpb:FH42_13475
ko:K02622	kpb:FH42_13485
ko:K07000	kpb:FH42_13490
ko:K00053	kpb:FH42_17725
ko:K03769	kpb:FH42_17730
ko:K03769	kpb:FH42_17735
ko:K03656	kpb:FH42_17740
ko:K07150	kpb:FH42_17745
ko:K01524	kpb:FH42_17760
ko:K03732	kpb:FH42_17765
ko:K03671	kpb:FH42_17770
ko:K03628	kpb:FH42_17775
ko:K02851	kpb:FH42_17780
ko:K05790	kpb:FH42_17785
ko:K01791	kpb:FH42_17790
ko:K02472	kpb:FH42_17795
ko:K00973	kpb:FH42_17805
ko:K16704	kpb:FH42_17810
ko:K02805	kpb:FH42_17815
ko:K16693	kpb:FH42_17820
ko:K12582	kpb:FH42_17825
ko:K02853	kpb:FH42_17830
ko:K02852	kpb:FH42_17835
ko:K02498	kpb:FH42_17870
ko:K02496	kpb:FH42_17875
ko:K01719	kpb:FH42_17880
ko:K01749	kpb:FH42_17885
ko:K05851	kpb:FH42_17890
ko:K06202	kpb:FH42_17895
ko:K01778	kpb:FH42_17905
ko:K09921	kpb:FH42_17910
ko:K03733	kpb:FH42_17915
ko:K03657	kpb:FH42_17925
ko:K03284	kpb:FH42_17930
ko:K05786	kpb:FH42_17935
ko:K01058	kpb:FH42_17945
ko:K03654	kpb:FH42_17950
ko:K05835	kpb:FH42_17955
ko:K05834	kpb:FH42_17965
ko:K01048	kpb:FH42_17970
ko:K03576	kpb:FH42_17985
ko:K00549	kpb:FH42_17990
ko:K01061	kpb:FH42_17995
ko:K00757	kpb:FH42_18000
ko:K09760	kpb:FH42_18005
ko:K10111	kpb:FH42_23070
ko:K15770	kpb:FH42_23075
ko:K15771	kpb:FH42_23080
ko:K15772	kpb:FH42_23085
ko:K01224	kpb:FH42_23090
ko:K12308	kpb:FH42_23095
ko:K02778	kpb:FH42_23100
ko:K02024	kpb:FH42_23105
ko:K02909	kpb:FH42_23115
ko:K02919	kpb:FH42_23120
ko:K00375	kpb:FH42_23130
ko:K00661	kpb:FH42_23140
ko:K18138	kpb:FH42_23155
ko:K03585	kpb:FH42_23160
ko:K03577	kpb:FH42_23165
ko:K05802	kpb:FH42_23170
ko:K04067	kpb:FH42_23185
ko:K09790	kpb:FH42_23190
ko:K00759	kpb:FH42_23195
ko:K02343	kpb:FH42_23200
ko:K09747	kpb:FH42_23205
ko:K06187	kpb:FH42_23210
ko:K11934	kpb:FH42_25255
ko:K11924	kpb:FH42_25275
ko:K01223	kpb:FH42_25285
ko:K03492	kpb:FH42_25290
ko:K01187	kpb:FH42_25315
ko:K08191	kpb:FH42_25320
ko:K07757	kpb:FH42_25335
ko:K00656	kpb:FH42_25340
ko:K04069	kpb:FH42_25345
ko:K03750	kpb:FH42_25355
ko:K04079	kpb:FH42_23215
ko:K00939	kpb:FH42_23220
ko:K01772	kpb:FH42_23225
ko:K00892	kpb:FH42_23230
ko:K03455	kpb:FH42_23235
ko:K08223	kpb:FH42_23245
ko:K11751	kpb:FH42_23250
ko:K09973	kpb:FH42_23260
ko:K17686	kpb:FH42_23265
ko:K07340	kpb:FH42_23275
ko:K02068	kpb:FH42_23285
ko:K02069	kpb:FH42_23290
ko:K05838	kpb:FH42_23295
ko:K10804	kpb:FH42_23305
ko:K02003	kpb:FH42_23310
ko:K02004	kpb:FH42_23315
ko:K06917	kpb:FH42_23325
ko:K01589	kpb:FH42_23330
ko:K16839	kpb:FH42_04315
ko:K16345	kpb:FH42_04320
ko:K16840	kpb:FH42_04325
ko:K07127	kpb:FH42_04330
ko:K07154	kpb:FH42_04340
ko:K01265	kpb:FH42_04375
ko:K07017	kpb:FH42_04395
ko:K01232	kpb:FH42_04425
ko:K02749	kpb:FH42_04430
ko:K02750	kpb:FH42_04430
ko:K03482	kpb:FH42_04435
ko:K07090	kpb:FH42_04440
ko:K00626	kpb:FH42_04485
ko:K00059	kpb:FH42_04490
ko:K01026	kpb:FH42_04495
ko:K01759	kpb:FH42_04505
ko:K02429	kpb:FH42_04510
ko:K17195	kpb:FH42_04520
ko:K02430	kpb:FH42_04525
ko:K01619	kpb:FH42_04530
ko:K03436	kpb:FH42_04540
ko:K06889	kpb:FH42_04555
ko:K00134	kpb:FH42_04570
ko:K05349	kpb:FH42_08960
ko:K03777	kpb:FH42_08965
ko:K03823	kpb:FH42_08970
ko:K07262	kpb:FH42_08975
ko:K01223	kpb:FH42_09000
ko:K02755	kpb:FH42_09005
ko:K02756	kpb:FH42_09005
ko:K02757	kpb:FH42_09005
ko:K03488	kpb:FH42_09010
ko:K07267	kpb:FH42_09015
ko:K05541	kpb:FH42_09020
ko:K06518	kpb:FH42_09025
ko:K01489	kpb:FH42_09035
ko:K03748	kpb:FH42_09040
ko:K10541	kpb:FH42_09045
ko:K10542	kpb:FH42_09050
ko:K10540	kpb:FH42_09055
ko:K02529	kpb:FH42_09060
ko:K07148	kpb:FH42_09065
ko:K09984	kpb:FH42_01550
ko:K07217	kpb:FH42_01575
ko:K00425	kpb:FH42_01580
ko:K00426	kpb:FH42_01585
ko:K03182	kpb:FH42_01620
ko:K01424	kpb:FH42_01640
ko:K12974	kpb:FH42_01645
ko:K11250	kpb:FH42_01650
ko:K13069	kpb:FH42_01670
ko:K09712	kpb:FH42_01675
ko:K03449	kpb:FH42_01695
ko:K00432	kpb:FH42_01765
ko:K09786	kpb:FH42_01775
ko:K07180	kpb:FH42_01780
ko:K01792	kpb:FH42_01795
ko:K00134	kpb:FH42_01800
ko:K07305	kpb:FH42_01805
ko:K09916	kpb:FH42_01810
ko:K01183	kpb:FH42_01820
ko:K08369	kpb:FH42_01830
ko:K18471	kpb:FH42_01850
ko:K08369	kpb:FH42_01860
ko:K18144	kpb:FH42_06425
ko:K18143	kpb:FH42_06430
ko:K03832	kpb:FH42_06445
ko:K02200	kpb:FH42_06465
ko:K02199	kpb:FH42_06470
ko:K02198	kpb:FH42_06475
ko:K02197	kpb:FH42_06480
ko:K02196	kpb:FH42_06485
ko:K02195	kpb:FH42_06490
ko:K02194	kpb:FH42_06495
ko:K02193	kpb:FH42_06500
ko:K06151	kpb:FH42_06510
ko:K06152	kpb:FH42_06515
ko:K02010	kpb:FH42_06525
ko:K02011	kpb:FH42_06530
ko:K02012	kpb:FH42_06535
ko:K13574	kpb:FH42_06540
ko:K02028	kpb:FH42_06580
ko:K02029	kpb:FH42_06585
ko:K02030	kpb:FH42_06590
ko:K02016	kpb:FH42_06600
ko:K02015	kpb:FH42_06605
ko:K02015	kpb:FH42_06610
ko:K02013	kpb:FH42_06615
ko:K02014	kpb:FH42_06620
ko:K02049	kpb:FH42_06625
ko:K02050	kpb:FH42_06630
ko:K02051	kpb:FH42_06635
ko:K15553	kpb:FH42_06640
ko:K04091	kpb:FH42_06650
ko:K05810	kpb:FH42_06670
ko:K05819	kpb:FH42_06675
ko:K03366	kpb:FH42_06400
ko:K01713	kpb:FH42_10915
ko:K07345	kpb:FH42_10925
ko:K07347	kpb:FH42_10935
ko:K07347	kpb:FH42_10950
ko:K07345	kpb:FH42_10960
ko:K00138	kpb:FH42_10965
ko:K01118	kpb:FH42_10980
ko:K00375	kpb:FH42_11025
ko:K03647	kpb:FH42_11040
ko:K02000	kpb:FH42_11055
ko:K02001	kpb:FH42_11060
ko:K02002	kpb:FH42_11065
ko:K15974	kpb:FH42_11080
ko:K03543	kpb:FH42_11085
ko:K03446	kpb:FH42_11090
ko:K01649	kpb:FH42_11095
ko:K07173	kpb:FH42_11105
ko:K01919	kpb:FH42_11110
ko:K03563	kpb:FH42_11155
ko:K01872	kpb:FH42_11160
ko:K03565	kpb:FH42_11165
ko:K03743	kpb:FH42_11175
ko:K02077	kpb:FH42_11180
ko:K02075	kpb:FH42_11185
ko:K09811	kpb:FH42_15475
ko:K09812	kpb:FH42_15480
ko:K03110	kpb:FH42_15485
ko:K08316	kpb:FH42_15490
ko:K08993	kpb:FH42_15495
ko:K01534	kpb:FH42_15510
ko:K04085	kpb:FH42_15515
ko:K09125	kpb:FH42_15520
ko:K12963	kpb:FH42_15540
ko:K12962	kpb:FH42_15545
ko:K07264	kpb:FH42_15550
ko:K13014	kpb:FH42_15555
ko:K10011	kpb:FH42_15560
ko:K10012	kpb:FH42_15565
ko:K07806	kpb:FH42_15570
ko:K13727	kpb:FH42_15575
ko:K15584	kpb:FH42_15585
ko:K15585	kpb:FH42_15590
ko:K15586	kpb:FH42_15595
ko:K15587	kpb:FH42_15600
ko:K10824	kpb:FH42_15605
ko:K07722	kpb:FH42_15610
ko:K06213	kpb:FH42_15615
ko:K07007	kpb:FH42_15620
ko:K16322	kpb:FH42_15625
ko:K06144	kpb:FH42_15630
ko:K06149	kpb:FH42_15635
ko:K03305	kpb:FH42_15640
ko:K15984	kpb:FH42_15645
ko:K01414	kpb:FH42_15650
ko:K01495	kpb:FH42_09070
ko:K01070	kpb:FH42_09080
ko:K16089	kpb:FH42_09085
ko:K11733	kpb:FH42_09090
ko:K01151	kpb:FH42_09105
ko:K02769	kpb:FH42_09110
ko:K02770	kpb:FH42_09110
ko:K00882	kpb:FH42_09115
ko:K02768	kpb:FH42_09120
ko:K11183	kpb:FH42_09120
ko:K03291	kpb:FH42_09125
ko:K06940	kpb:FH42_09130
ko:K02356	kpb:FH42_09135
ko:K01686	kpb:FH42_09140
ko:K13694	kpb:FH42_09160
ko:K13893	kpb:FH42_09170
ko:K13894	kpb:FH42_09175
ko:K13895	kpb:FH42_09180
ko:K13896	kpb:FH42_09185
ko:K07552	kpb:FH42_09195
ko:K06183	kpb:FH42_09200
ko:K02897	kpb:FH42_09210
ko:K06899	kpb:FH42_09235
ko:K03651	kpb:FH42_13495
ko:K09920	kpb:FH42_13500
ko:K01515	kpb:FH42_13505
ko:K12340	kpb:FH42_13510
ko:K07238	kpb:FH42_13530
ko:K02858	kpb:FH42_13535
ko:K09806	kpb:FH42_13540
ko:K03272	kpb:FH42_13550
ko:K00982	kpb:FH42_13555
ko:K18446	kpb:FH42_13560
ko:K07184	kpb:FH42_13565
ko:K00974	kpb:FH42_13570
ko:K06153	kpb:FH42_13575
ko:K01633	kpb:FH42_13580
ko:K08591	kpb:FH42_13585
ko:K03190	kpb:FH42_13595
ko:K01430	kpb:FH42_13600
ko:K01429	kpb:FH42_13605
ko:K01428	kpb:FH42_13610
ko:K03187	kpb:FH42_13615
ko:K03188	kpb:FH42_13620
ko:K03189	kpb:FH42_13625
ko:K01409	kpb:FH42_13635
ko:K02970	kpb:FH42_13640
