ko:K07171	lrc:LOCK908_2511
ko:K01223	lrc:LOCK908_0452
ko:K01624	lrc:LOCK908_0455
ko:K09988	lrc:LOCK908_0460
ko:K01232	lrc:LOCK908_0464
ko:K11201	lrc:LOCK908_0466
ko:K11202	lrc:LOCK908_0467
ko:K11203	lrc:LOCK908_0467
ko:K14155	lrc:LOCK908_0468
ko:K04487	lrc:LOCK908_1309
ko:K03151	lrc:LOCK908_1310
ko:K01926	lrc:LOCK908_1311
ko:K01873	lrc:LOCK908_1313
ko:K11754	lrc:LOCK908_1314
ko:K03630	lrc:LOCK908_1316
ko:K03569	lrc:LOCK908_1317
ko:K03570	lrc:LOCK908_1318
ko:K03571	lrc:LOCK908_1319
ko:K03610	lrc:LOCK908_1320
ko:K03609	lrc:LOCK908_1321
ko:K02029	lrc:LOCK908_1322
ko:K06131	lrc:LOCK908_1327
ko:K03925	lrc:LOCK908_1330
ko:K03438	lrc:LOCK908_1331
ko:K01000	lrc:LOCK908_1334
ko:K01925	lrc:LOCK908_1335
ko:K02563	lrc:LOCK908_1336
ko:K03589	lrc:LOCK908_1337
ko:K03590	lrc:LOCK908_1338
ko:K03531	lrc:LOCK908_1339
ko:K09772	lrc:LOCK908_1340
ko:K02221	lrc:LOCK908_1341
ko:K04074	lrc:LOCK908_1343
ko:K01870	lrc:LOCK908_1344
ko:K03704	lrc:LOCK908_1345
ko:K02040	lrc:LOCK908_1346
ko:K04487	lrc:LOCK908_1353
ko:K00566	lrc:LOCK908_1356
ko:K07407	lrc:LOCK908_2141
ko:K09861	lrc:LOCK908_2142
ko:K09703	lrc:LOCK908_2151
ko:K10974	lrc:LOCK908_2152
ko:K01154	lrc:LOCK908_2154
ko:K01154	lrc:LOCK908_2156
ko:K03427	lrc:LOCK908_2157
ko:K01153	lrc:LOCK908_2158
ko:K01421	lrc:LOCK908_2161
ko:K01193	lrc:LOCK908_2166
ko:K00574	lrc:LOCK908_2168
ko:K01962	lrc:LOCK908_2169
ko:K01963	lrc:LOCK908_2171
ko:K01961	lrc:LOCK908_2172
ko:K02372	lrc:LOCK908_2173
ko:K02160	lrc:LOCK908_2174
ko:K09458	lrc:LOCK908_2175
ko:K00645	lrc:LOCK908_2177
ko:K02078	lrc:LOCK908_2179
ko:K00648	lrc:LOCK908_2180
ko:K02372	lrc:LOCK908_2182
ko:K02003	lrc:LOCK908_2973
ko:K02073	lrc:LOCK908_2984
ko:K08317	lrc:LOCK908_2988
ko:K03495	lrc:LOCK908_2997
ko:K03650	lrc:LOCK908_2998
ko:K03217	lrc:LOCK908_3001
ko:K03536	lrc:LOCK908_3002
ko:K02914	lrc:LOCK908_3006
ko:K02531	lrc:LOCK908_0632
ko:K02787	lrc:LOCK908_0633
ko:K02788	lrc:LOCK908_0633
ko:K00849	lrc:LOCK908_0636
ko:K00965	lrc:LOCK908_0638
ko:K02529	lrc:LOCK908_0639
ko:K03547	lrc:LOCK908_0655
ko:K13993	lrc:LOCK908_0659
ko:K03575	lrc:LOCK908_0660
ko:K00941	lrc:LOCK908_0666
ko:K07118	lrc:LOCK908_0669
ko:K05349	lrc:LOCK908_0672
ko:K00609	lrc:LOCK908_1518
ko:K02825	lrc:LOCK908_1520
ko:K06180	lrc:LOCK908_1521
ko:K03101	lrc:LOCK908_1522
ko:K01938	lrc:LOCK908_1524
ko:K07078	lrc:LOCK908_1528
ko:K06131	lrc:LOCK908_1529
ko:K03800	lrc:LOCK908_1541
ko:K07444	lrc:LOCK908_1544
ko:K05366	lrc:LOCK908_1549
ko:K10773	lrc:LOCK908_1551
ko:K01893	lrc:LOCK908_1553
ko:K16898	lrc:LOCK908_1559
ko:K01821	lrc:LOCK908_1569
ko:K02601	lrc:LOCK908_2353
ko:K03073	lrc:LOCK908_2354
ko:K03734	lrc:LOCK908_2358
ko:K03885	lrc:LOCK908_2362
ko:K06962	lrc:LOCK908_2381
ko:K03218	lrc:LOCK908_2382
ko:K11145	lrc:LOCK908_2383
ko:K01883	lrc:LOCK908_2384
ko:K04485	lrc:LOCK908_2397
ko:K02879	lrc:LOCK908_2531
ko:K03040	lrc:LOCK908_2532
ko:K02948	lrc:LOCK908_2533
ko:K02952	lrc:LOCK908_2534
ko:K02518	lrc:LOCK908_2535
ko:K03076	lrc:LOCK908_2537
ko:K02876	lrc:LOCK908_2538
ko:K02907	lrc:LOCK908_2539
ko:K02988	lrc:LOCK908_2540
ko:K02881	lrc:LOCK908_2541
ko:K02933	lrc:LOCK908_2542
ko:K02994	lrc:LOCK908_2543
ko:K02931	lrc:LOCK908_2544
ko:K02895	lrc:LOCK908_2545
ko:K02874	lrc:LOCK908_2546
ko:K02961	lrc:LOCK908_2547
ko:K02904	lrc:LOCK908_2548
ko:K02878	lrc:LOCK908_2549
ko:K02982	lrc:LOCK908_2550
ko:K02890	lrc:LOCK908_2551
ko:K02965	lrc:LOCK908_2552
ko:K02886	lrc:LOCK908_2553
ko:K02892	lrc:LOCK908_2554
ko:K02926	lrc:LOCK908_2555
ko:K02906	lrc:LOCK908_2556
ko:K02040	lrc:LOCK908_0973
ko:K02037	lrc:LOCK908_0974
ko:K02038	lrc:LOCK908_0975
ko:K02036	lrc:LOCK908_0976
ko:K02036	lrc:LOCK908_0977
ko:K02039	lrc:LOCK908_0978
ko:K08972	lrc:LOCK908_0981
ko:K13292	lrc:LOCK908_0983
ko:K00057	lrc:LOCK908_0984
ko:K00384	lrc:LOCK908_0985
ko:K02003	lrc:LOCK908_0989
ko:K07023	lrc:LOCK908_0992
ko:K03702	lrc:LOCK908_0994
ko:K03701	lrc:LOCK908_0996
ko:K06958	lrc:LOCK908_1000
ko:K01358	lrc:LOCK908_1005
ko:K05311	lrc:LOCK908_1007
ko:K00134	lrc:LOCK908_1008
ko:K00927	lrc:LOCK908_1009
ko:K01803	lrc:LOCK908_1010
ko:K01689	lrc:LOCK908_1011
ko:K03075	lrc:LOCK908_1016
ko:K03928	lrc:LOCK908_1017
ko:K12573	lrc:LOCK908_1018
ko:K03664	lrc:LOCK908_1019
ko:K02003	lrc:LOCK908_1832
ko:K01945	lrc:LOCK908_1839
ko:K00602	lrc:LOCK908_1841
ko:K11175	lrc:LOCK908_1842
ko:K01933	lrc:LOCK908_1843
ko:K00764	lrc:LOCK908_1844
ko:K01952	lrc:LOCK908_1845
ko:K01952	lrc:LOCK908_1846
ko:K01952	lrc:LOCK908_1847
ko:K01923	lrc:LOCK908_1848
ko:K01589	lrc:LOCK908_1849
ko:K01588	lrc:LOCK908_1850
ko:K02837	lrc:LOCK908_1861
ko:K03565	lrc:LOCK908_1867
ko:K01874	lrc:LOCK908_2667
ko:K12410	lrc:LOCK908_2675
ko:K01524	lrc:LOCK908_2681
ko:K00937	lrc:LOCK908_2682
ko:K01524	lrc:LOCK908_2683
ko:K03823	lrc:LOCK908_2686
ko:K06872	lrc:LOCK908_2688
ko:K03744	lrc:LOCK908_2689
ko:K01867	lrc:LOCK908_2690
ko:K05847	lrc:LOCK908_2693
ko:K09694	lrc:LOCK908_2701
ko:K09695	lrc:LOCK908_2702
ko:K06950	lrc:LOCK908_2707
ko:K03701	lrc:LOCK908_2709
ko:K14230	lrc:LOCK908_t0818
ko:K14233	lrc:LOCK908_t0826
ko:K14234	lrc:LOCK908_t1922
ko:K14234	lrc:LOCK908_t2705
ko:K01980	lrc:LOCK908_r258305
ko:K01980	lrc:LOCK908_r084703
ko:K01980	lrc:LOCK908_r192804
ko:K01980	lrc:LOCK908_r029701
ko:K01980	lrc:LOCK908_r080902
ko:K02026	lrc:LOCK908_1028
ko:K00010	lrc:LOCK908_0266
ko:K00010	lrc:LOCK908_0267
ko:K00033	lrc:LOCK908_0274
ko:K00851	lrc:LOCK908_0275
ko:K03299	lrc:LOCK908_0277
ko:K02074	lrc:LOCK908_0279
ko:K02075	lrc:LOCK908_0280
ko:K01619	lrc:LOCK908_0311
ko:K00938	lrc:LOCK908_1153
ko:K02755	lrc:LOCK908_1162
ko:K02756	lrc:LOCK908_1162
ko:K02757	lrc:LOCK908_1162
ko:K15051	lrc:LOCK908_1191
ko:K03810	lrc:LOCK908_1194
ko:K10823	lrc:LOCK908_1991
ko:K15583	lrc:LOCK908_1992
ko:K15582	lrc:LOCK908_1994
ko:K07729	lrc:LOCK908_2004
ko:K00867	lrc:LOCK908_2031
ko:K02822	lrc:LOCK908_2819
ko:K03475	lrc:LOCK908_2820
ko:K02821	lrc:LOCK908_2821
ko:K03476	lrc:LOCK908_2822
ko:K01206	lrc:LOCK908_2833
ko:K05815	lrc:LOCK908_2846
ko:K05814	lrc:LOCK908_2847
ko:K05816	lrc:LOCK908_2848
ko:K02795	lrc:LOCK908_2856
ko:K14983	lrc:LOCK908_0688
ko:K14982	lrc:LOCK908_0689
ko:K01934	lrc:LOCK908_0713
ko:K01259	lrc:LOCK908_0728
ko:K06889	lrc:LOCK908_0734
ko:K01990	lrc:LOCK908_1584
ko:K01489	lrc:LOCK908_1588
ko:K07305	lrc:LOCK908_1597
ko:K00712	lrc:LOCK908_1622
ko:K01372	lrc:LOCK908_2402
ko:K01372	lrc:LOCK908_2403
ko:K01006	lrc:LOCK908_2408
ko:K01834	lrc:LOCK908_2410
ko:K10947	lrc:LOCK908_2440
ko:K03784	lrc:LOCK908_0313
ko:K02786	lrc:LOCK908_0318
ko:K01220	lrc:LOCK908_0319
ko:K02806	lrc:LOCK908_0326
ko:K02795	lrc:LOCK908_0335
ko:K02793	lrc:LOCK908_0338
ko:K00712	lrc:LOCK908_0339
ko:K00712	lrc:LOCK908_0340
ko:K01262	lrc:LOCK908_0343
ko:K03491	lrc:LOCK908_0348
ko:K01258	lrc:LOCK908_0349
ko:K06147	lrc:LOCK908_0355
ko:K06147	lrc:LOCK908_1212
ko:K06147	lrc:LOCK908_1213
ko:K07104	lrc:LOCK908_1215
ko:K01439	lrc:LOCK908_1243
ko:K03455	lrc:LOCK908_2040
ko:K01259	lrc:LOCK908_2041
ko:K01629	lrc:LOCK908_2046
ko:K02004	lrc:LOCK908_2047
ko:K01784	lrc:LOCK908_2071
ko:K10041	lrc:LOCK908_2075
ko:K02076	lrc:LOCK908_2078
ko:K01104	lrc:LOCK908_2871
ko:K07652	lrc:LOCK908_2893
ko:K07668	lrc:LOCK908_2894
ko:K02029	lrc:LOCK908_2896
ko:K02030	lrc:LOCK908_2896
ko:K09963	lrc:LOCK908_2899
ko:K02795	lrc:LOCK908_2915
ko:K02793	lrc:LOCK908_2916
ko:K02794	lrc:LOCK908_2916
ko:K14232	lrc:LOCK908_t0816
ko:K14228	lrc:LOCK908_t0920
ko:K14233	lrc:LOCK908_t0850
ko:K03709	lrc:LOCK908_0752
ko:K08974	lrc:LOCK908_0780
ko:K07105	lrc:LOCK908_0786
ko:K03693	lrc:LOCK908_0789
ko:K01560	lrc:LOCK908_0791
ko:K00712	lrc:LOCK908_1623
ko:K01479	lrc:LOCK908_1631
ko:K03976	lrc:LOCK908_1633
ko:K03177	lrc:LOCK908_1646
ko:K03294	lrc:LOCK908_1669
ko:K09976	lrc:LOCK908_1673
ko:K07706	lrc:LOCK908_2453
ko:K01679	lrc:LOCK908_2473
ko:K02077	lrc:LOCK908_2492
ko:K02077	lrc:LOCK908_2495
ko:K05989	lrc:LOCK908_2502
ko:K14225	lrc:LOCK908_t0814
ko:K14225	lrc:LOCK908_t2578
ko:K14225	lrc:LOCK908_t2575
ko:K14224	lrc:LOCK908_t1196
ko:K14236	lrc:LOCK908_t0830
ko:K14236	lrc:LOCK908_t1905
ko:K10440	lrc:LOCK908_0373
ko:K10439	lrc:LOCK908_0374
ko:K00852	lrc:LOCK908_0375
ko:K02822	lrc:LOCK908_0393
ko:K03475	lrc:LOCK908_0394
ko:K03326	lrc:LOCK908_0400
ko:K02443	lrc:LOCK908_0404
ko:K00058	lrc:LOCK908_0407
ko:K02775	lrc:LOCK908_0408
ko:K00068	lrc:LOCK908_0414
ko:K04488	lrc:LOCK908_1253
ko:K07304	lrc:LOCK908_1271
ko:K01607	lrc:LOCK908_1283
ko:K00700	lrc:LOCK908_2093
ko:K04086	lrc:LOCK908_2100
ko:K01104	lrc:LOCK908_2101
ko:K12997	lrc:LOCK908_2111
ko:K00059	lrc:LOCK908_2120
ko:K10823	lrc:LOCK908_2125
ko:K15583	lrc:LOCK908_2126
ko:K15582	lrc:LOCK908_2127
ko:K09963	lrc:LOCK908_2137
ko:K17073	lrc:LOCK908_2924
ko:K17074	lrc:LOCK908_2924
ko:K17076	lrc:LOCK908_2925
ko:K09167	lrc:LOCK908_2932
ko:K08981	lrc:LOCK908_2933
ko:K02028	lrc:LOCK908_2936
ko:K02029	lrc:LOCK908_2937
ko:K02030	lrc:LOCK908_2937
ko:K02029	lrc:LOCK908_2938
ko:K02030	lrc:LOCK908_2938
ko:K00027	lrc:LOCK908_2948
ko:K06889	lrc:LOCK908_2960
ko:K02798	lrc:LOCK908_2963
ko:K02799	lrc:LOCK908_2965
ko:K02800	lrc:LOCK908_2965
ko:K02564	lrc:LOCK908_2966
ko:K03768	lrc:LOCK908_0806
ko:K07570	lrc:LOCK908_0807
ko:K07027	lrc:LOCK908_0840
ko:K00841	lrc:LOCK908_0842
ko:K09825	lrc:LOCK908_0845
ko:K09787	lrc:LOCK908_1682
ko:K02035	lrc:LOCK908_1689
ko:K02033	lrc:LOCK908_1691
ko:K07030	lrc:LOCK908_1698
ko:K00949	lrc:LOCK908_1701
ko:K02004	lrc:LOCK908_2520
ko:K16787	lrc:LOCK908_2527
ko:K16786	lrc:LOCK908_2528
ko:K00939	lrc:LOCK908_2536
ko:K16924	lrc:LOCK908_0424
ko:K01182	lrc:LOCK908_0429
ko:K00244	lrc:LOCK908_0430
ko:K02821	lrc:LOCK908_0438
ko:K02822	lrc:LOCK908_0440
ko:K03488	lrc:LOCK908_0450
ko:K02755	lrc:LOCK908_0451
ko:K02756	lrc:LOCK908_0451
ko:K02757	lrc:LOCK908_0451
ko:K02806	lrc:LOCK908_0454
ko:K00854	lrc:LOCK908_0461
ko:K03478	lrc:LOCK908_0463
ko:K06286	lrc:LOCK908_1307
ko:K02028	lrc:LOCK908_1323
ko:K02030	lrc:LOCK908_1324
ko:K08724	lrc:LOCK908_1333
ko:K01515	lrc:LOCK908_1350
ko:K01243	lrc:LOCK908_1352
ko:K02808	lrc:LOCK908_2162
ko:K02809	lrc:LOCK908_2162
ko:K02810	lrc:LOCK908_2162
ko:K00059	lrc:LOCK908_2176
ko:K02371	lrc:LOCK908_2178
ko:K02005	lrc:LOCK908_2972
ko:K02004	lrc:LOCK908_2974
ko:K08969	lrc:LOCK908_2982
ko:K06346	lrc:LOCK908_3000
ko:K07052	lrc:LOCK908_0022
ko:K01992	lrc:LOCK908_0023
ko:K02004	lrc:LOCK908_0030
ko:K06183	lrc:LOCK908_0916
ko:K07069	lrc:LOCK908_0917
ko:K01262	lrc:LOCK908_1724
ko:K07584	lrc:LOCK908_1726
ko:K01281	lrc:LOCK908_1733
ko:K03713	lrc:LOCK908_1735
ko:K00845	lrc:LOCK908_1741
ko:K11618	lrc:LOCK908_1747
ko:K11617	lrc:LOCK908_1748
ko:K00033	lrc:LOCK908_1764
ko:K06948	lrc:LOCK908_1772
ko:K03386	lrc:LOCK908_2559
ko:K02236	lrc:LOCK908_2568
ko:K03708	lrc:LOCK908_2573
ko:K00016	lrc:LOCK908_2601
ko:K00158	lrc:LOCK908_0527
ko:K01990	lrc:LOCK908_0547
ko:K01760	lrc:LOCK908_0565
ko:K03436	lrc:LOCK908_1413
ko:K00784	lrc:LOCK908_1416
ko:K01119	lrc:LOCK908_1422
ko:K04763	lrc:LOCK908_1430
ko:K05337	lrc:LOCK908_1436
ko:K00974	lrc:LOCK908_1448
ko:K07304	lrc:LOCK908_1457
ko:K01990	lrc:LOCK908_2244
ko:K01992	lrc:LOCK908_2245
ko:K01990	lrc:LOCK908_2247
ko:K00034	lrc:LOCK908_2249
ko:K02755	lrc:LOCK908_2251
ko:K02756	lrc:LOCK908_2251
ko:K02757	lrc:LOCK908_2251
ko:K03488	lrc:LOCK908_2253
ko:K16012	lrc:LOCK908_2258
ko:K16013	lrc:LOCK908_2259
ko:K01488	lrc:LOCK908_2263
ko:K01104	lrc:LOCK908_2272
ko:K02821	lrc:LOCK908_0471
ko:K02822	lrc:LOCK908_0472
ko:K03475	lrc:LOCK908_0473
ko:K02004	lrc:LOCK908_0484
ko:K02795	lrc:LOCK908_0492
ko:K01182	lrc:LOCK908_0496
ko:K10254	lrc:LOCK908_0503
ko:K01092	lrc:LOCK908_1377
ko:K01958	lrc:LOCK908_1382
ko:K07177	lrc:LOCK908_1386
ko:K02238	lrc:LOCK908_1388
ko:K01607	lrc:LOCK908_1400
ko:K11085	lrc:LOCK908_1402
ko:K02029	lrc:LOCK908_1408
ko:K02030	lrc:LOCK908_1408
ko:K02028	lrc:LOCK908_1409
ko:K00882	lrc:LOCK908_1412
ko:K01834	lrc:LOCK908_2208
ko:K00158	lrc:LOCK908_2215
ko:K07192	lrc:LOCK908_2227
ko:K07035	lrc:LOCK908_2229
ko:K00841	lrc:LOCK908_2231
ko:K00805	lrc:LOCK908_2242
ko:K06994	lrc:LOCK908_0066
ko:K07052	lrc:LOCK908_0082
ko:K15524	lrc:LOCK908_0085
ko:K06198	lrc:LOCK908_0927
ko:K07816	lrc:LOCK908_0930
ko:K06201	lrc:LOCK908_0934
ko:K07404	lrc:LOCK908_0936
ko:K00059	lrc:LOCK908_0950
ko:K02240	lrc:LOCK908_0959
ko:K02242	lrc:LOCK908_0961
ko:K07658	lrc:LOCK908_0971
ko:K11144	lrc:LOCK908_1789
ko:K03346	lrc:LOCK908_1790
ko:K10563	lrc:LOCK908_1793
ko:K01992	lrc:LOCK908_1811
ko:K01990	lrc:LOCK908_1812
ko:K07533	lrc:LOCK908_1815
ko:K03698	lrc:LOCK908_1816
ko:K12555	lrc:LOCK908_1818
ko:K16509	lrc:LOCK908_1828
ko:K03048	lrc:LOCK908_2634
ko:K03574	lrc:LOCK908_2638
ko:K09685	lrc:LOCK908_2647
ko:K01635	lrc:LOCK908_2658
ko:K05822	lrc:LOCK908_0108
ko:K02808	lrc:LOCK908_0128
ko:K02809	lrc:LOCK908_0128
ko:K02810	lrc:LOCK908_0128
ko:K09963	lrc:LOCK908_0130
ko:K02004	lrc:LOCK908_0134
ko:K01990	lrc:LOCK908_0143
ko:K01992	lrc:LOCK908_0144
ko:K06023	lrc:LOCK908_0982
ko:K01835	lrc:LOCK908_0986
ko:K09762	lrc:LOCK908_1002
ko:K00691	lrc:LOCK908_1021
ko:K07729	lrc:LOCK908_1025
ko:K02025	lrc:LOCK908_1029
ko:K02004	lrc:LOCK908_1831
ko:K16789	lrc:LOCK908_1851
ko:K08483	lrc:LOCK908_1856
ko:K11189	lrc:LOCK908_1857
ko:K03697	lrc:LOCK908_1859
ko:K03699	lrc:LOCK908_1862
ko:K07586	lrc:LOCK908_1866
ko:K00158	lrc:LOCK908_1872
ko:K01641	lrc:LOCK908_1874
ko:K00054	lrc:LOCK908_1875
ko:K00626	lrc:LOCK908_1876
ko:K06147	lrc:LOCK908_2663
ko:K06147	lrc:LOCK908_2664
ko:K07729	lrc:LOCK908_2665
ko:K01259	lrc:LOCK908_2669
ko:K03574	lrc:LOCK908_2672
ko:K00016	lrc:LOCK908_2673
ko:K06910	lrc:LOCK908_2678
ko:K00383	lrc:LOCK908_2692
ko:K05845	lrc:LOCK908_2694
ko:K05846	lrc:LOCK908_2694
ko:K11041	lrc:LOCK908_2699
ko:K07052	lrc:LOCK908_2704
ko:K01220	lrc:LOCK908_0634
ko:K02786	lrc:LOCK908_0635
ko:K01784	lrc:LOCK908_0637
ko:K01785	lrc:LOCK908_0640
ko:K00917	lrc:LOCK908_0649
ko:K01635	lrc:LOCK908_0650
ko:K01819	lrc:LOCK908_0651
ko:K01819	lrc:LOCK908_0652
ko:K02530	lrc:LOCK908_0653
ko:K01989	lrc:LOCK908_0675
ko:K01989	lrc:LOCK908_0677
ko:K05832	lrc:LOCK908_0678
ko:K05833	lrc:LOCK908_0679
ko:K02824	lrc:LOCK908_1519
ko:K03469	lrc:LOCK908_1527
ko:K07386	lrc:LOCK908_1540
ko:K03700	lrc:LOCK908_1548
ko:K02086	lrc:LOCK908_1552
ko:K16899	lrc:LOCK908_1560
ko:K00869	lrc:LOCK908_1561
ko:K01597	lrc:LOCK908_1562
ko:K01823	lrc:LOCK908_1563
ko:K01977	lrc:LOCK908_r029601
ko:K01977	lrc:LOCK908_r084603
ko:K01977	lrc:LOCK908_r258605
ko:K01977	lrc:LOCK908_r080802
ko:K01977	lrc:LOCK908_r193104
ko:K14228	lrc:LOCK908_t0835
ko:K01990	lrc:LOCK908_0583
ko:K03486	lrc:LOCK908_0591
ko:K01788	lrc:LOCK908_2357
ko:K00805	lrc:LOCK908_2366
ko:K00805	lrc:LOCK908_2367
ko:K01990	lrc:LOCK908_2375
ko:K06988	lrc:LOCK908_2379
ko:K09698	lrc:LOCK908_2387
ko:K01990	lrc:LOCK908_2394
ko:K00567	lrc:LOCK908_0160
ko:K09004	lrc:LOCK908_0172
ko:K03475	lrc:LOCK908_0189
ko:K07457	lrc:LOCK908_0191
ko:K00625	lrc:LOCK908_1035
ko:K01990	lrc:LOCK908_1037
ko:K01992	lrc:LOCK908_1038
ko:K02342	lrc:LOCK908_1039
ko:K03316	lrc:LOCK908_1042
ko:K11072	lrc:LOCK908_1044
ko:K11071	lrc:LOCK908_1045
ko:K11069	lrc:LOCK908_1047
ko:K01990	lrc:LOCK908_1054
ko:K02243	lrc:LOCK908_1062
ko:K02244	lrc:LOCK908_1063
ko:K02245	lrc:LOCK908_1064
ko:K02246	lrc:LOCK908_1065
ko:K02248	lrc:LOCK908_1067
ko:K03095	lrc:LOCK908_1888
ko:K05833	lrc:LOCK908_1889
ko:K05832	lrc:LOCK908_1890
ko:K01989	lrc:LOCK908_1891
ko:K01537	lrc:LOCK908_1893
ko:K01916	lrc:LOCK908_1896
ko:K01206	lrc:LOCK908_1912
ko:K03469	lrc:LOCK908_2719
ko:K00882	lrc:LOCK908_2731
ko:K02775	lrc:LOCK908_2744
ko:K01629	lrc:LOCK908_2749
ko:K01813	lrc:LOCK908_2750
ko:K06610	lrc:LOCK908_2753
ko:K00055	lrc:LOCK908_2755
ko:K01182	lrc:LOCK908_2758
ko:K02744	lrc:LOCK908_2764
ko:K02745	lrc:LOCK908_2767
ko:K01226	lrc:LOCK908_0592
ko:K02755	lrc:LOCK908_0593
ko:K02756	lrc:LOCK908_0593
ko:K02757	lrc:LOCK908_0593
ko:K03294	lrc:LOCK908_0595
ko:K00016	lrc:LOCK908_0596
ko:K03316	lrc:LOCK908_0608
ko:K01674	lrc:LOCK908_0614
ko:K15051	lrc:LOCK908_0622
ko:K15986	lrc:LOCK908_1483
ko:K02004	lrc:LOCK908_1485
ko:K01523	lrc:LOCK908_1495
ko:K01496	lrc:LOCK908_1496
ko:K01515	lrc:LOCK908_1506
ko:K07035	lrc:LOCK908_1511
ko:K07052	lrc:LOCK908_2296
ko:K01409	lrc:LOCK908_2304
ko:K01424	lrc:LOCK908_2310
ko:K00564	lrc:LOCK908_2323
ko:K01361	lrc:LOCK908_2331
ko:K07533	lrc:LOCK908_2332
ko:K08161	lrc:LOCK908_2335
ko:K00712	lrc:LOCK908_2340
ko:K00135	lrc:LOCK908_2341
ko:K01426	lrc:LOCK908_2346
ko:K01560	lrc:LOCK908_0231
ko:K06988	lrc:LOCK908_0235
ko:K07009	lrc:LOCK908_0237
ko:K00088	lrc:LOCK908_0247
ko:K07258	lrc:LOCK908_0252
ko:K02433	lrc:LOCK908_1116
ko:K07386	lrc:LOCK908_1123
ko:K07273	lrc:LOCK908_1129
ko:K05966	lrc:LOCK908_1955
ko:K01571	lrc:LOCK908_1957
ko:K01572	lrc:LOCK908_1964
ko:K06988	lrc:LOCK908_1971
ko:K10947	lrc:LOCK908_1972
ko:K01990	lrc:LOCK908_1984
ko:K00065	lrc:LOCK908_2772
ko:K01727	lrc:LOCK908_2776
ko:K02795	lrc:LOCK908_2781
ko:K02782	lrc:LOCK908_2803
ko:K02783	lrc:LOCK908_2803
ko:K02783	lrc:LOCK908_2804
ko:K00068	lrc:LOCK908_2807
ko:K01992	lrc:LOCK908_0121
ko:K01992	lrc:LOCK908_0122
ko:K01992	lrc:LOCK908_1280
ko:K01992	lrc:LOCK908_1293
ko:K01992	lrc:LOCK908_1976
ko:K14219	lrc:LOCK908_t0562
ko:K14218	lrc:LOCK908_t0695
ko:K14223	lrc:LOCK908_t0833
ko:K01985	lrc:LOCK908_r029801
ko:K01985	lrc:LOCK908_r081002
ko:K01985	lrc:LOCK908_r192704
ko:K01985	lrc:LOCK908_r084803
ko:K01985	lrc:LOCK908_r258205
ko:K14218	lrc:LOCK908_t0697
ko:K14237	lrc:LOCK908_t0811
ko:K14237	lrc:LOCK908_t2581
ko:K14237	lrc:LOCK908_t0902
ko:K14229	lrc:LOCK908_t0812
ko:K14229	lrc:LOCK908_t2580
ko:K14234	lrc:LOCK908_t0813
ko:K14225	lrc:LOCK908_t0822
ko:K14225	lrc:LOCK908_t1822
ko:K14219	lrc:LOCK908_t0815
ko:K14219	lrc:LOCK908_t2576
ko:K14219	lrc:LOCK908_t1006
ko:K14219	lrc:LOCK908_t1137
ko:K14219	lrc:LOCK908_t1731
ko:K14230	lrc:LOCK908_t0817
ko:K14230	lrc:LOCK908_t0819
ko:K14230	lrc:LOCK908_t0827
ko:K14221	lrc:LOCK908_t0820
ko:K14221	lrc:LOCK908_t0828
ko:K14231	lrc:LOCK908_t0821
ko:K14231	lrc:LOCK908_t0829
ko:K14227	lrc:LOCK908_t0823
ko:K14227	lrc:LOCK908_t1930
ko:K14227	lrc:LOCK908_t2585
ko:K14233	lrc:LOCK908_t0824
ko:K14233	lrc:LOCK908_t1618
ko:K14224	lrc:LOCK908_t0825
ko:K14224	lrc:LOCK908_t1921
ko:K14220	lrc:LOCK908_t0849
ko:K14220	lrc:LOCK908_t1926
ko:K01533	lrc:LOCK908_1837
ko:K14235	lrc:LOCK908_t0831
ko:K14226	lrc:LOCK908_t0832
ko:K14222	lrc:LOCK908_t0834
ko:K14228	lrc:LOCK908_t2577
ko:K14220	lrc:LOCK908_t2276
ko:K14223	lrc:LOCK908_1t206
ko:K14218	lrc:LOCK908_t1929
ko:K14218	lrc:LOCK908_t2584
ko:K14232	lrc:LOCK908_t2574
ko:K14229	lrc:LOCK908_t2958
ko:K14228	lrc:LOCK908_t1886
ko:K14228	lrc:LOCK908_t2579
ko:K10112	lrc:LOCK908_1030
ko:K07284	lrc:LOCK908_2213
ko:K07979	lrc:LOCK908_2300
ko:K07979	lrc:LOCK908_2246
ko:K12574	lrc:LOCK908_1026
ko:K17810	lrc:LOCK908_2222
ko:K02027	lrc:LOCK908_0323
ko:K02027	lrc:LOCK908_1027
ko:K02768	lrc:LOCK908_0084
ko:K02768	lrc:LOCK908_0456
ko:K00018	lrc:LOCK908_2953
ko:K17836	lrc:LOCK908_2850
ko:K12574	lrc:LOCK908_1393
ko:K07284	lrc:LOCK908_2432
ko:K01187	lrc:LOCK908_2163
ko:K01838	lrc:LOCK908_1022
ko:K01101	lrc:LOCK908_0801
ko:K02769	lrc:LOCK908_0457
ko:K02770	lrc:LOCK908_0458
ko:K01071	lrc:LOCK908_2311
ko:K17869	lrc:LOCK908_0315
ko:K02749	lrc:LOCK908_0462
ko:K02750	lrc:LOCK908_0462
ko:K00104	lrc:LOCK908_2385
ko:K02794	lrc:LOCK908_2779
ko:K02794	lrc:LOCK908_2854
ko:K02794	lrc:LOCK908_0334
ko:K02794	lrc:LOCK908_0491
ko:K16012	lrc:LOCK908_2000
ko:K02759	lrc:LOCK908_0163
