ko:K02028	spym:M1GAS476_1300
ko:K02794	spym:M1GAS476_1558
ko:K02795	spym:M1GAS476_1559
ko:K00059	spym:M1GAS476_1569
ko:K02371	spym:M1GAS476_1571
ko:K02433	spym:M1GAS476_1586
ko:K01281	spym:M1GAS476_1657
ko:K02342	spym:M1GAS476_1662
ko:K01619	spym:M1GAS476_1665
ko:K03317	spym:M1GAS476_1666
ko:K01409	spym:M1GAS476_1670
ko:K03713	spym:M1GAS476_1676
ko:K07030	spym:M1GAS476_1682
ko:K06889	spym:M1GAS476_1688
ko:K03048	spym:M1GAS476_1690
ko:K12296	spym:M1GAS476_1697
ko:K10823	spym:M1GAS476_1704
ko:K15583	spym:M1GAS476_1705
ko:K01990	spym:M1GAS476_0484
ko:K01990	spym:M1GAS476_0626
ko:K01990	spym:M1GAS476_1596
ko:K10112	spym:M1GAS476_0254
ko:K07258	spym:M1GAS476_1709
ko:K04488	spym:M1GAS476_1713
ko:K17073	spym:M1GAS476_172
ko:K17074	spym:M1GAS476_172
ko:K09685	spym:M1GAS476_1728
ko:K03698	spym:M1GAS476_1729
ko:K01639	spym:M1GAS476_1739
ko:K02025	spym:M1GAS476_1742
ko:K01788	spym:M1GAS476_1744
ko:K06346	spym:M1GAS476_1746
ko:K07706	spym:M1GAS476_1751
ko:K09698	spym:M1GAS476_1752
ko:K00603	spym:M1GAS476_1820
ko:K01479	spym:M1GAS476_1827
ko:K07386	spym:M1GAS476_1831
ko:K01226	spym:M1GAS476_1832
ko:K02817	spym:M1GAS476_183
ko:K02818	spym:M1GAS476_183
ko:K02819	spym:M1GAS476_183
ko:K03486	spym:M1GAS476_1834
ko:K07104	spym:M1GAS476_1836
ko:K03810	spym:M1GAS476_184
ko:K08152	spym:M1GAS476_1852
ko:K08974	spym:M1GAS476_1873
ko:K02033	spym:M1GAS476_0231
ko:K02035	spym:M1GAS476_0233
ko:K03342	spym:M1GAS476_0241
ko:K03647	spym:M1GAS476_0247
ko:K02821	spym:M1GAS476_0271
ko:K02822	spym:M1GAS476_0272
ko:K03475	spym:M1GAS476_0273
ko:K00616	spym:M1GAS476_0275
ko:K02530	spym:M1GAS476_0294
ko:K01819	spym:M1GAS476_0295
ko:K01819	spym:M1GAS476_0296
ko:K00917	spym:M1GAS476_0297
ko:K01635	spym:M1GAS476_0298
ko:K02786	spym:M1GAS476_0299
ko:K01220	spym:M1GAS476_0301
ko:K02004	spym:M1GAS476_0307
ko:K06948	spym:M1GAS476_0325
ko:K03499	spym:M1GAS476_0339
ko:K03346	spym:M1GAS476_0349
ko:K11144	spym:M1GAS476_0350
ko:K02428	spym:M1GAS476_0369
ko:K03699	spym:M1GAS476_0384
ko:K15986	spym:M1GAS476_0386
ko:K03294	spym:M1GAS476_0013
ko:K01104	spym:M1GAS476_0059
ko:K13953	spym:M1GAS476_0065
ko:K00939	spym:M1GAS476_0089
ko:K03693	spym:M1GAS476_0118
ko:K02243	spym:M1GAS476_0122
ko:K02244	spym:M1GAS476_0123
ko:K02245	spym:M1GAS476_0125
ko:K02246	spym:M1GAS476_0126
ko:K02248	spym:M1GAS476_0128
ko:K01261	spym:M1GAS476_0134
ko:K02123	spym:M1GAS476_0164
ko:K02124	spym:M1GAS476_1924
ko:K02121	spym:M1GAS476_0167
ko:K02119	spym:M1GAS476_0168
ko:K02122	spym:M1GAS476_0169
ko:K02117	spym:M1GAS476_0170
ko:K10530	spym:M1GAS476_0407
ko:K01361	spym:M1GAS476_0408
ko:K03647	spym:M1GAS476_0413
ko:K00059	spym:M1GAS476_0423
ko:K01515	spym:M1GAS476_0427
ko:K01243	spym:M1GAS476_0429
ko:K03709	spym:M1GAS476_0431
ko:K07304	spym:M1GAS476_0443
ko:K10254	spym:M1GAS476_0446
ko:K10563	spym:M1GAS476_0464
ko:K12999	spym:M1GAS476_0476
ko:K01759	spym:M1GAS476_0477
ko:K00626	spym:M1GAS476_0489
ko:K07668	spym:M1GAS476_0492
ko:K07652	spym:M1GAS476_0493
ko:K03488	spym:M1GAS476_0533
ko:K02755	spym:M1GAS476_0534
ko:K02756	spym:M1GAS476_0534
ko:K02757	spym:M1GAS476_0534
ko:K06023	spym:M1GAS476_0542
ko:K07025	spym:M1GAS476_0551
ko:K03976	spym:M1GAS476_0553
ko:K16789	spym:M1GAS476_0554
ko:K07273	spym:M1GAS476_0555
ko:K12554	spym:M1GAS476_1932
ko:K05363	spym:M1GAS476_0565
ko:K02745	spym:M1GAS476_0575
ko:K00046	spym:M1GAS476_0578
ko:K09762	spym:M1GAS476_0595
ko:K09815	spym:M1GAS476_0597
ko:K06286	spym:M1GAS476_0610
ko:K07004	spym:M1GAS476_0629
ko:K15051	spym:M1GAS476_0643
ko:K02004	spym:M1GAS476_0648
ko:K07054	spym:M1GAS476_0650
ko:K16899	spym:M1GAS476_0651
ko:K12996	spym:M1GAS476_0661
ko:K12997	spym:M1GAS476_0662
ko:K00974	spym:M1GAS476_0732
ko:K01081	spym:M1GAS476_0737
ko:K00869	spym:M1GAS476_0741
ko:K01597	spym:M1GAS476_0742
ko:K00938	spym:M1GAS476_0744
ko:K01823	spym:M1GAS476_0745
ko:K00054	spym:M1GAS476_0746
ko:K01641	spym:M1GAS476_0747
ko:K04086	spym:M1GAS476_0755
ko:K03783	spym:M1GAS476_0759
ko:K03784	spym:M1GAS476_0760
ko:K01426	spym:M1GAS476_0767
ko:K00799	spym:M1GAS476_0784
ko:K11041	spym:M1GAS476_0785
ko:K00784	spym:M1GAS476_0790
ko:K05845	spym:M1GAS476_0913
ko:K05846	spym:M1GAS476_0913
ko:K06147	spym:M1GAS476_0929
ko:K00016	spym:M1GAS476_0931
ko:K08234	spym:M1GAS476_0934
ko:K07035	spym:M1GAS476_0945
ko:K01571	spym:M1GAS476_0950
ko:K05966	spym:M1GAS476_0954
ko:K01572	spym:M1GAS476_0959
ko:K01571	spym:M1GAS476_0965
ko:K05362	spym:M1GAS476_0392
ko:K06201	spym:M1GAS476_0404
ko:K07272	spym:M1GAS476_0666
ko:K09153	spym:M1GAS476_0669
ko:K01258	spym:M1GAS476_0672
ko:K00383	spym:M1GAS476_0684
ko:K07584	spym:M1GAS476_0693
ko:K02824	spym:M1GAS476_0699
ko:K02005	spym:M1GAS476_0704
ko:K02004	spym:M1GAS476_0706
ko:K07035	spym:M1GAS476_0718
ko:K03436	spym:M1GAS476_0720
ko:K00882	spym:M1GAS476_0721
ko:K02086	spym:M1GAS476_0794
ko:K03574	spym:M1GAS476_0802
ko:K01989	spym:M1GAS476_0806
ko:K05832	spym:M1GAS476_0808
ko:K05833	spym:M1GAS476_0809
ko:K03930	spym:M1GAS476_0811
ko:K01727	spym:M1GAS476_0819
ko:K07009	spym:M1GAS476_0821
ko:K09952	spym:M1GAS476_0830
ko:K07305	spym:M1GAS476_0837
ko:K02793	spym:M1GAS476_0839
ko:K02795	spym:M1GAS476_0842
ko:K02851	spym:M1GAS476_1717
ko:K02118	spym:M1GAS476_0171
ko:K02120	spym:M1GAS476_0172
ko:K11031	spym:M1GAS476_0181
ko:K01760	spym:M1GAS476_0186
ko:K03475	spym:M1GAS476_0188
ko:K02822	spym:M1GAS476_0189
ko:K02821	spym:M1GAS476_0190
ko:K03493	spym:M1GAS476_0194
ko:K03476	spym:M1GAS476_0195
ko:K09825	spym:M1GAS476_0200
ko:K09815	spym:M1GAS476_0225
ko:K07720	spym:M1GAS476_0845
ko:K07025	spym:M1GAS476_0849
ko:K09787	spym:M1GAS476_0971
ko:K05363	spym:M1GAS476_0975
ko:K01835	spym:M1GAS476_0996
ko:K02056	spym:M1GAS476_0999
ko:K01489	spym:M1GAS476_1001
ko:K00564	spym:M1GAS476_1002
ko:K00867	spym:M1GAS476_1003
ko:K14982	spym:M1GAS476_1005
ko:K14983	spym:M1GAS476_1006
ko:K01092	spym:M1GAS476_1015
ko:K16509	spym:M1GAS476_1017
ko:K03177	spym:M1GAS476_1019
ko:K15770	spym:M1GAS476_1117
ko:K15770	spym:M1GAS476_1126
ko:K03491	spym:M1GAS476_114
ko:K09963	spym:M1GAS476_1143
ko:K02238	spym:M1GAS476_1210
ko:K16788	spym:M1GAS476_1224
ko:K07105	spym:M1GAS476_1225
ko:K01834	spym:M1GAS476_1226
ko:K15051	spym:M1GAS476_1231
ko:K06196	spym:M1GAS476_1349
ko:K03856	spym:M1GAS476_1365
ko:K07720	spym:M1GAS476_1372
ko:K05350	spym:M1GAS476_1380
ko:K01197	spym:M1GAS476_1381
ko:K09704	spym:M1GAS476_1383
ko:K01191	spym:M1GAS476_1384
ko:K07706	spym:M1GAS476_1385
ko:K07586	spym:M1GAS476_1388
ko:K00616	spym:M1GAS476_1454
ko:K01635	spym:M1GAS476_1473
ko:K00917	spym:M1GAS476_1474
ko:K01819	spym:M1GAS476_1475
ko:K01819	spym:M1GAS476_1476
ko:K02530	spym:M1GAS476_1481
ko:K15051	spym:M1GAS476_1494
ko:K01424	spym:M1GAS476_1594
ko:K02808	spym:M1GAS476_1619
ko:K02809	spym:M1GAS476_1619
ko:K02810	spym:M1GAS476_1619
ko:K03471	spym:M1GAS476_164
ko:K15582	spym:M1GAS476_1706
ko:K02004	spym:M1GAS476_1777
ko:K07533	spym:M1GAS476_1783
ko:K15051	spym:M1GAS476_1787
ko:K12555	spym:M1GAS476_1801
ko:K03708	spym:M1GAS476_1813
ko:K03386	spym:M1GAS476_1816
ko:K16787	spym:M1GAS476_1894
ko:K16786	spym:M1GAS476_1895
ko:K00752	spym:M1GAS476_1901
ko:K00088	spym:M1GAS476_1909
ko:K00135	spym:M1GAS476_0850
ko:K07258	spym:M1GAS476_0873
ko:K11072	spym:M1GAS476_0882
ko:K11071	spym:M1GAS476_0884
ko:K11069	spym:M1GAS476_0886
ko:K00027	spym:M1GAS476_0890
ko:K07816	spym:M1GAS476_0906
ko:K00625	spym:M1GAS476_0909
ko:K02004	spym:M1GAS476_1023
ko:K01990	spym:M1GAS476_1047
ko:K06183	spym:M1GAS476_1151
ko:K08483	spym:M1GAS476_1181
ko:K07052	spym:M1GAS476_1191
ko:K07533	spym:M1GAS476_1196
ko:K06198	spym:M1GAS476_1200
ko:K06183	spym:M1GAS476_1201
ko:K02564	spym:M1GAS476_1202
ko:K17686	spym:M1GAS476_1483
ko:K00131	spym:M1GAS476_1180
ko:K01101	spym:M1GAS476_0829
ko:K07284	spym:M1GAS476_0151
ko:K07284	spym:M1GAS476_0933
ko:K00226	spym:M1GAS476_1227
ko:K03767	spym:M1GAS476_0435
ko:K01658	spym:M1GAS476_0240
ko:K02026	spym:M1GAS476_1741
ko:K00537	spym:M1GAS476_0758
ko:K02027	spym:M1GAS476_1743
ko:K01467	spym:M1GAS476_0009
ko:K12574	spym:M1GAS476_0810
ko:K01071	spym:M1GAS476_0828
ko:K03366	spym:M1GAS476_0588
ko:K06148	spym:M1GAS476_0928
ko:K18153	spym:M1GAS476_0178
ko:K02794	spym:M1GAS476_0840
ko:K07461	spym:M1GAS476_1214
ko:K03475	spym:M1GAS476_0274
ko:K12296	spym:M1GAS476_0321
ko:K02834	spym:M1GAS476_1487
ko:K22044	spym:M1GAS476_1692
ko:K18369	spym:M1GAS476_0891
ko:K03742	spym:M1GAS476_1849
ko:K18474	spym:M1GAS476_1575
ko:K02001	spym:M1GAS476_0197
ko:K02002	spym:M1GAS476_0197
ko:K18581	spym:M1GAS476_0576
ko:K18682	spym:M1GAS476_1420
ko:K06896	spym:M1GAS476_0246
ko:K18672	spym:M1GAS476_0823
ko:K18692	spym:M1GAS476_1442
ko:K01271	spym:M1GAS476_0479
ko:K18892	spym:M1GAS476_1758
ko:K18891	spym:M1GAS476_1759
ko:K11040	spym:M1GAS476_1053
ko:K03111	spym:M1GAS476_1095
ko:K11040	spym:M1GAS476_0219
ko:K11040	spym:M1GAS476_0234
ko:K11040	spym:M1GAS476_0420
ko:K03111	spym:M1GAS476_1632
ko:K03111	spym:M1GAS476_0138
ko:K03497	spym:M1GAS476_1921
ko:K07029	spym:M1GAS476_0632
ko:K07484	spym:M1GAS476_0150
ko:K19002	spym:M1GAS476_0482
ko:K07483	spym:M1GAS476_1925
ko:K07483	spym:M1GAS476_1149
ko:K07483	spym:M1GAS476_1188
ko:K18979	spym:M1GAS476_0583
ko:K13052	spym:M1GAS476_1922
ko:K18986	spym:M1GAS476_1775
ko:K18987	spym:M1GAS476_1776
ko:K19005	spym:M1GAS476_0679
ko:K19119	spym:M1GAS476_1356
ko:K08652	spym:M1GAS476_1768
ko:K02476	spym:M1GAS476_0888
ko:K02475	spym:M1GAS476_0887
ko:K09951	spym:M1GAS476_1350
ko:K14989	spym:M1GAS476_0309
ko:K01710	spym:M1GAS476_0801
ko:K09951	spym:M1GAS476_0832
ko:K19117	spym:M1GAS476_1942
ko:K19118	spym:M1GAS476_1353
ko:K19137	spym:M1GAS476_0833
ko:K01215	spym:M1GAS476_0255
ko:K01364	spym:M1GAS476_1785
ko:K14745	spym:M1GAS476_0252
ko:K03722	spym:M1GAS476_0590
ko:K07486	spym:M1GAS476_0613
ko:K19302	spym:M1GAS476_0381
ko:K04771	spym:M1GAS476_1920
ko:K07484	spym:M1GAS476_0148
ko:K12998	spym:M1GAS476_0665
ko:K02031	spym:M1GAS476_0229
ko:K06881	spym:M1GAS476_0601
ko:K07487	spym:M1GAS476_1769
ko:K02796	spym:M1GAS476_1560
ko:K02796	spym:M1GAS476_0843
ko:K00887	spym:M1GAS476_0450
ko:K07497	spym:M1GAS476_0210
ko:K07052	spym:M1GAS476_0623
ko:K11045	spym:M1GAS476_1036
ko:K00526	spym:M1GAS476_1186
ko:K03789	spym:M1GAS476_167
ko:K00995	spym:M1GAS476_189
ko:K02003	spym:M1GAS476_177
ko:K07497	spym:M1GAS476_0206
ko:K00786	spym:M1GAS476_0668
ko:K21636	spym:M1GAS476_1842
ko:K11705	spym:M1GAS476_0434
ko:K11706	spym:M1GAS476_0433
ko:K20074	spym:M1GAS476_1414
ko:K12132	spym:M1GAS476_1413
ko:K20073	spym:M1GAS476_1428
ko:K21349	spym:M1GAS476_0506
ko:K20112	spym:M1GAS476_1480
ko:K02777	spym:M1GAS476_0245
ko:K20107	spym:M1GAS476_0245
ko:K20108	spym:M1GAS476_0245
ko:K20114	spym:M1GAS476_1478
ko:K20113	spym:M1GAS476_1479
ko:K20342	spym:M1GAS476_0057
ko:K20373	spym:M1GAS476_0463
ko:K20374	spym:M1GAS476_0499
ko:K20491	spym:M1GAS476_0866
ko:K20492	spym:M1GAS476_0867
ko:K20490	spym:M1GAS476_0865
ko:K00526	spym:M1GAS476_0412
ko:K20487	spym:M1GAS476_0862
ko:K20488	spym:M1GAS476_0861
ko:K20375	spym:M1GAS476_1786
ko:K11044	spym:M1GAS476_0415
ko:K01208	spym:M1GAS476_1125
ko:K21064	spym:M1GAS476_1557
ko:K08968	spym:M1GAS476_1174
ko:K00525	spym:M1GAS476_0414
ko:K00525	spym:M1GAS476_1184
ko:K07455	spym:M1GAS476_1267
ko:K06217	spym:M1GAS476_0447
ko:K07474	spym:M1GAS476_152
ko:K06919	spym:M1GAS476_1528
ko:K02316	spym:M1GAS476_0657
ko:K01493	spym:M1GAS476_1625
ko:K00560	spym:M1GAS476_0748
ko:K00287	spym:M1GAS476_0749
ko:K01286	spym:M1GAS476_1710
ko:K01520	spym:M1GAS476_1756
ko:K00558	spym:M1GAS476_0858
ko:K04068	spym:M1GAS476_1838
ko:K03553	spym:M1GAS476_1848
ko:K00857	spym:M1GAS476_0919
ko:K02314	spym:M1GAS476_1884
ko:K02315	spym:M1GAS476_1101
ko:K02335	spym:M1GAS476_0198
ko:K02021	spym:M1GAS476_0864
ko:K02032	spym:M1GAS476_0228
ko:K00571	spym:M1GAS476_0130
ko:K01746	spym:M1GAS476_1821
ko:K07741	spym:M1GAS476_1279
ko:K06148	spym:M1GAS476_160
ko:K07497	spym:M1GAS476_1150
ko:K21471	spym:M1GAS476_0037
ko:K21567	spym:M1GAS476_0717
ko:K21828	spym:M1GAS476_1340
ko:K02334	spym:M1GAS476_1529
ko:K21977	spym:M1GAS476_0993
ko:K21993	spym:M1GAS476_1223
ko:K03078	spym:M1GAS476_0191
ko:K22278	spym:M1GAS476_1178
ko:K03077	spym:M1GAS476_0193
ko:K03079	spym:M1GAS476_0192
ko:K22457	spym:M1GAS476_0591
