ko:K03602	ftd:AS84_1349
ko:K04078	ftd:AS84_960
ko:K01442	ftd:AS84_1775
ko:K07107	ftd:AS84_1777
ko:K07481	ftd:AS84_1781
ko:K07464	ftd:AS84_1782
ko:K09951	ftd:AS84_1783
ko:K15342	ftd:AS84_1784
ko:K00954	ftd:AS84_1788
ko:K13628	ftd:AS84_1790
ko:K11717	ftd:AS84_1791
ko:K01752	ftd:AS84_1792
ko:K04518	ftd:AS84_1794
ko:K01775	ftd:AS84_1796
ko:K09799	ftd:AS84_1800
ko:K01079	ftd:AS84_1799
ko:K00703	ftd:AS84_1801
ko:K03305	ftd:AS84_1802
ko:K11076	ftd:AS84_1804
ko:K11075	ftd:AS84_1805
ko:K11074	ftd:AS84_1806
ko:K01879	ftd:AS84_1807
ko:K03424	ftd:AS84_1808
ko:K03629	ftd:AS84_1809
ko:K01895	ftd:AS84_1813
ko:K00963	ftd:AS84_1814
ko:K02970	ftd:AS84_1818
ko:K03704	ftd:AS84_1820
ko:K01649	ftd:AS84_653
ko:K01703	ftd:AS84_654
ko:K09941	ftd:AS84_671
ko:K02427	ftd:AS84_259
ko:K04565	ftd:AS84_295
ko:K02067	ftd:AS84_365
ko:K04754	ftd:AS84_379
ko:K11720	ftd:AS84_10
ko:K01126	ftd:AS84_35
ko:K00639	ftd:AS84_50
ko:K00845	ftd:AS84_58
ko:K02956	ftd:AS84_68
ko:K10563	ftd:AS84_73
ko:K16052	ftd:AS84_112
ko:K07263	ftd:AS84_11
ko:K15633	ftd:AS84_20
ko:K03782	ftd:AS84_42
ko:K06201	ftd:AS84_92
ko:K01129	ftd:AS84_44
ko:K00845	ftd:AS84_59
ko:K03587	ftd:AS84_69
ko:K08681	ftd:AS84_74
ko:K03771	ftd:AS84_119
ko:K03701	ftd:AS84_2
ko:K02445	ftd:AS84_36
ko:K03215	ftd:AS84_60
ko:K03586	ftd:AS84_70
ko:K06949	ftd:AS84_103
ko:K04744	ftd:AS84_120
ko:K03624	ftd:AS84_3
ko:K08316	ftd:AS84_13
ko:K16013	ftd:AS84_27
ko:K00060	ftd:AS84_51
ko:K06215	ftd:AS84_75
ko:K01903	ftd:AS84_82
ko:K01887	ftd:AS84_121
ko:K16012	ftd:AS84_28
ko:K07259	ftd:AS84_37
ko:K01433	ftd:AS84_46
ko:K01903	ftd:AS84_83
ko:K01091	ftd:AS84_95
ko:K11073	ftd:AS84_106
ko:K08084	ftd:AS84_4
ko:K11103	ftd:AS84_29
ko:K00761	ftd:AS84_47
ko:K03060	ftd:AS84_63
ko:K01902	ftd:AS84_84
ko:K01961	ftd:AS84_114
ko:K01424	ftd:AS84_123
ko:K02470	ftd:AS84_76
ko:K00384	ftd:AS84_97
ko:K01810	ftd:AS84_5
ko:K06169	ftd:AS84_15
ko:K01875	ftd:AS84_21
ko:K07481	ftd:AS84_39
ko:K01183	ftd:AS84_48
ko:K01627	ftd:AS84_65
ko:K03548	ftd:AS84_108
ko:K00949	ftd:AS84_6
ko:K00757	ftd:AS84_16
ko:K00847	ftd:AS84_22
ko:K03321	ftd:AS84_31
ko:K00991	ftd:AS84_53
ko:K07462	ftd:AS84_109
ko:K02160	ftd:AS84_115
ko:K05589	ftd:AS84_54
ko:K05539	ftd:AS84_78
ko:K03572	ftd:AS84_100
ko:K03524	ftd:AS84_110
ko:K03786	ftd:AS84_116
ko:K03216	ftd:AS84_124
ko:K00876	ftd:AS84_64
ko:K01525	ftd:AS84_117
ko:K00088	ftd:AS84_7
ko:K01489	ftd:AS84_17
ko:K01992	ftd:AS84_32
ko:K01689	ftd:AS84_55
ko:K15724	ftd:AS84_66
ko:K03438	ftd:AS84_71
ko:K03305	ftd:AS84_89
ko:K01255	ftd:AS84_8
ko:K01990	ftd:AS84_33
ko:K00962	ftd:AS84_67
ko:K01424	ftd:AS84_90
ko:K02528	ftd:AS84_118
ko:K01993	ftd:AS84_34
ko:K03811	ftd:AS84_57
ko:K04568	ftd:AS84_111
ko:K07091	ftd:AS84_9
ko:K02911	ftd:AS84_1178
ko:K07040	ftd:AS84_1179
ko:K00615	ftd:AS84_1180
ko:K00134	ftd:AS84_1181
ko:K00927	ftd:AS84_1182
ko:K00873	ftd:AS84_1183
ko:K01624	ftd:AS84_1184
ko:K01194	ftd:AS84_1185
ko:K09001	ftd:AS84_1187
ko:K11901	ftd:AS84_1189
ko:K11900	ftd:AS84_1190
ko:K01697	ftd:AS84_1211
ko:K01442	ftd:AS84_1212
ko:K03650	ftd:AS84_1215
ko:K05808	ftd:AS84_1217
ko:K02806	ftd:AS84_1218
ko:K02533	ftd:AS84_1219
ko:K03470	ftd:AS84_1220
ko:K03600	ftd:AS84_1221
ko:K03599	ftd:AS84_1223
ko:K02996	ftd:AS84_1224
ko:K02871	ftd:AS84_1225
ko:K08304	ftd:AS84_1227
ko:K03687	ftd:AS84_1228
ko:K04043	ftd:AS84_1229
ko:K03686	ftd:AS84_1230
ko:K06911	ftd:AS84_1232
ko:K01698	ftd:AS84_125
ko:K01955	ftd:AS84_677
ko:K00609	ftd:AS84_678
ko:K01590	ftd:AS84_1504
ko:K03652	ftd:AS84_1507
ko:K03811	ftd:AS84_1510
ko:K03455	ftd:AS84_1512
ko:K06987	ftd:AS84_1515
ko:K00948	ftd:AS84_1516
ko:K02897	ftd:AS84_1517
ko:K06942	ftd:AS84_1520
ko:K01056	ftd:AS84_1521
ko:K17836	ftd:AS84_1522
ko:K02654	ftd:AS84_1524
ko:K00322	ftd:AS84_1525
ko:K10716	ftd:AS84_1526
ko:K03305	ftd:AS84_1527
ko:K03667	ftd:AS84_1528
ko:K01419	ftd:AS84_1529
ko:K03800	ftd:AS84_1531
ko:K01866	ftd:AS84_1532
ko:K00101	ftd:AS84_1534
ko:K18930	ftd:AS84_1536
ko:K08325	ftd:AS84_1537
ko:K02687	ftd:AS84_1538
ko:K03427	ftd:AS84_1540
ko:K03427	ftd:AS84_1541
ko:K02346	ftd:AS84_1543
ko:K06158	ftd:AS84_1546
ko:K03674	ftd:AS84_1547
ko:K00024	ftd:AS84_1549
ko:K06134	ftd:AS84_1551
ko:K03386	ftd:AS84_1556
ko:K01916	ftd:AS84_1235
ko:K03543	ftd:AS84_1237
ko:K03446	ftd:AS84_1238
ko:K01897	ftd:AS84_1239
ko:K03305	ftd:AS84_1241
ko:K09761	ftd:AS84_1242
ko:K02067	ftd:AS84_1245
ko:K02065	ftd:AS84_1246
ko:K02066	ftd:AS84_1247
ko:K06180	ftd:AS84_1249
ko:K05807	ftd:AS84_1250
ko:K00600	ftd:AS84_1255
ko:K04077	ftd:AS84_961
ko:K07007	ftd:AS84_966
ko:K00262	ftd:AS84_967
ko:K01586	ftd:AS84_969
ko:K00567	ftd:AS84_971
ko:K07481	ftd:AS84_977
ko:K05516	ftd:AS84_980
ko:K03834	ftd:AS84_981
ko:K00951	ftd:AS84_983
ko:K07481	ftd:AS84_984
ko:K15984	ftd:AS84_988
ko:K03733	ftd:AS84_989
ko:K03071	ftd:AS84_992
ko:K03555	ftd:AS84_993
ko:K01962	ftd:AS84_994
ko:K07106	ftd:AS84_998
ko:K07638	ftd:AS84_1002
ko:K03316	ftd:AS84_1004
ko:K01867	ftd:AS84_1006
ko:K00859	ftd:AS84_1009
ko:K00163	ftd:AS84_1011
ko:K00627	ftd:AS84_1012
ko:K00382	ftd:AS84_1013
ko:K03648	ftd:AS84_1014
ko:K04762	ftd:AS84_1828
ko:K07043	ftd:AS84_1829
ko:K01153	ftd:AS84_1830
ko:K01154	ftd:AS84_1833
ko:K03427	ftd:AS84_1835
ko:K07481	ftd:AS84_1840
ko:K00432	ftd:AS84_1844
ko:K01488	ftd:AS84_1846
ko:K00278	ftd:AS84_1848
ko:K00767	ftd:AS84_1849
ko:K03517	ftd:AS84_1850
ko:K00942	ftd:AS84_1851
ko:K05592	ftd:AS84_1852
ko:K03769	ftd:AS84_1853
ko:K08137	ftd:AS84_1855
ko:K00965	ftd:AS84_1856
ko:K00849	ftd:AS84_1858
ko:K00979	ftd:AS84_1859
ko:K09791	ftd:AS84_1860
ko:K03703	ftd:AS84_1862
ko:K03684	ftd:AS84_1863
ko:K09966	ftd:AS84_1864
ko:K02899	ftd:AS84_1866
ko:K02888	ftd:AS84_1867
ko:K00865	ftd:AS84_1869
ko:K01246	ftd:AS84_1868
ko:K03070	ftd:AS84_1870
ko:K03784	ftd:AS84_1872
ko:K03798	ftd:AS84_1874
ko:K19159	ftd:AS84_1875
ko:K00526	ftd:AS84_1545
ko:K03676	ftd:AS84_1545
ko:K08156	ftd:AS84_93
ko:K06884	ftd:AS84_1397
ko:K02650	ftd:AS84_285
ko:K14234	ftd:AS84_702
ko:K01980	ftd:AS84_1207
ko:K01980	ftd:AS84_767
ko:K01980	ftd:AS84_213
ko:K14218	ftd:AS84_1205
ko:K14218	ftd:AS84_765
ko:K14218	ftd:AS84_215
ko:K14219	ftd:AS84_1008
ko:K14231	ftd:AS84_1310
ko:K14233	ftd:AS84_1817
ko:K14237	ftd:AS84_224
ko:K14237	ftd:AS84_62
ko:K14228	ftd:AS84_1314
ko:K14228	ftd:AS84_1146
ko:K14228	ftd:AS84_1099
ko:K14226	ftd:AS84_1313
ko:K14225	ftd:AS84_919
ko:K14230	ftd:AS84_1027
ko:K14230	ftd:AS84_827
ko:K14230	ftd:AS84_417
ko:K14221	ftd:AS84_703
ko:K14223	ftd:AS84_567
ko:K14224	ftd:AS84_485
ko:K01985	ftd:AS84_1208
ko:K01985	ftd:AS84_768
ko:K01985	ftd:AS84_212
ko:K01985	ftd:AS84_183
ko:K14237	ftd:AS84_1741
ko:K14222	ftd:AS84_1145
ko:K14228	ftd:AS84_861
ko:K14233	ftd:AS84_225
ko:K14234	ftd:AS84_920
ko:K14229	ftd:AS84_18
ko:K14233	ftd:AS84_323
ko:K14236	ftd:AS84_918
ko:K14219	ftd:AS84_1312
ko:K01977	ftd:AS84_1203
ko:K01977	ftd:AS84_763
ko:K01977	ftd:AS84_217
ko:K14232	ftd:AS84_1311
ko:K14225	ftd:AS84_1007
ko:K14225	ftd:AS84_1144
ko:K14220	ftd:AS84_1135
ko:K04517	ftd:AS84_660
ko:K01200	ftd:AS84_174
ko:K19802	ftd:AS84_1842
ko:K19810	ftd:AS84_1821
ko:K05770	ftd:AS84_1772
ko:K20265	ftd:AS84_963
ko:K20265	ftd:AS84_970
ko:K20265	ftd:AS84_1692
ko:K20265	ftd:AS84_107
ko:K00507	ftd:AS84_933
ko:K00507	ftd:AS84_1042
ko:K03271	ftd:AS84_610
ko:K13713	ftd:AS84_279
ko:K20534	ftd:AS84_1108
ko:K01932	ftd:AS84_1316
ko:K00632	ftd:AS84_1066
ko:K00287	ftd:AS84_483
ko:K03553	ftd:AS84_592
ko:K01520	ftd:AS84_476
ko:K02335	ftd:AS84_889
ko:K00560	ftd:AS84_1266
ko:K06197	ftd:AS84_1391
ko:K06217	ftd:AS84_1458
ko:K00857	ftd:AS84_1462
ko:K02314	ftd:AS84_1581
ko:K02316	ftd:AS84_1620
ko:K03462	ftd:AS84_1059
ko:K13522	ftd:AS84_203
ko:K02483	ftd:AS84_1050
ko:K03293	ftd:AS84_294
ko:K00525	ftd:AS84_1548
ko:K01139	ftd:AS84_1319
ko:K01582	ftd:AS84_180
ko:K02483	ftd:AS84_1000
ko:K21600	ftd:AS84_1568
ko:K04103	ftd:AS84_598
ko:K21829	ftd:AS84_325
ko:K22116	ftd:AS84_1317
ko:K22132	ftd:AS84_1553
ko:K03595	ftd:AS84_1368
ko:K07488	ftd:AS84_1253
ko:K07488	ftd:AS84_1603
ko:K02257	ftd:AS84_511
ko:K13566	ftd:AS84_1126
