ko:K00020	cpsf:CPTC_00383
ko:K01079	cpsf:CPTC_00020
ko:K02274	cpsf:CPTC_00025
ko:K02217	cpsf:CPTC_00028
ko:K03647	cpsf:CPTC_00030
ko:K02919	cpsf:CPTC_00032
ko:K01916	cpsf:CPTC_00033
ko:K01534	cpsf:CPTC_00037
ko:K01835	cpsf:CPTC_00050
ko:K06199	cpsf:CPTC_00051
ko:K06199	cpsf:CPTC_00052
ko:K02004	cpsf:CPTC_00053
ko:K02016	cpsf:CPTC_00831
ko:K02015	cpsf:CPTC_00832
ko:K02013	cpsf:CPTC_00833
ko:K01854	cpsf:CPTC_00834
ko:K02445	cpsf:CPTC_00835
ko:K01126	cpsf:CPTC_00836
ko:K16650	cpsf:CPTC_00840
ko:K14136	cpsf:CPTC_00842
ko:K13687	cpsf:CPTC_00844
ko:K13671	cpsf:CPTC_00846
ko:K12428	cpsf:CPTC_00850
ko:K12437	cpsf:CPTC_00851
ko:K06860	cpsf:CPTC_00858
ko:K03439	cpsf:CPTC_00859
ko:K01596	cpsf:CPTC_00860
ko:K16648	cpsf:CPTC_00867
ko:K01207	cpsf:CPTC_00869
ko:K00135	cpsf:CPTC_00871
ko:K00135	cpsf:CPTC_00872
ko:K01494	cpsf:CPTC_00873
ko:K00012	cpsf:CPTC_00874
ko:K04567	cpsf:CPTC_00878
ko:K01938	cpsf:CPTC_01604
ko:K01744	cpsf:CPTC_01605
ko:K07791	cpsf:CPTC_01607
ko:K00765	cpsf:CPTC_01608
ko:K01523	cpsf:CPTC_01609
ko:K00548	cpsf:CPTC_01611
ko:K15526	cpsf:CPTC_01613
ko:K06153	cpsf:CPTC_01614
ko:K00254	cpsf:CPTC_01617
ko:K06910	cpsf:CPTC_01620
ko:K05881	cpsf:CPTC_01622
ko:K05879	cpsf:CPTC_01623
ko:K05878	cpsf:CPTC_01624
ko:K07588	cpsf:CPTC_01629
ko:K01847	cpsf:CPTC_01630
ko:K01847	cpsf:CPTC_01631
ko:K01772	cpsf:CPTC_01638
ko:K01681	cpsf:CPTC_01641
ko:K01951	cpsf:CPTC_01643
ko:K07166	cpsf:CPTC_01644
ko:K09157	cpsf:CPTC_01645
ko:K04488	cpsf:CPTC_01651
ko:K00016	cpsf:CPTC_00361
ko:K03183	cpsf:CPTC_00362
ko:K12583	cpsf:CPTC_00363
ko:K02551	cpsf:CPTC_00365
ko:K02549	cpsf:CPTC_00366
ko:K03326	cpsf:CPTC_00367
ko:K01661	cpsf:CPTC_00368
ko:K01911	cpsf:CPTC_00369
ko:K02548	cpsf:CPTC_00370
ko:K02015	cpsf:CPTC_00374
ko:K02016	cpsf:CPTC_00375
ko:K02013	cpsf:CPTC_00376
ko:K07399	cpsf:CPTC_00378
ko:K06196	cpsf:CPTC_00379
ko:K01845	cpsf:CPTC_00382
ko:K00231	cpsf:CPTC_00384
ko:K01599	cpsf:CPTC_00385
ko:K01698	cpsf:CPTC_00388
ko:K13542	cpsf:CPTC_00389
ko:K01749	cpsf:CPTC_00390
ko:K02492	cpsf:CPTC_00391
ko:K00286	cpsf:CPTC_00399
ko:K01524	cpsf:CPTC_00401
ko:K07776	cpsf:CPTC_00403
ko:K07768	cpsf:CPTC_00404
ko:K01834	cpsf:CPTC_00405
ko:K15521	cpsf:CPTC_00406
ko:K01897	cpsf:CPTC_00407
ko:K00075	cpsf:CPTC_00408
ko:K10006	cpsf:CPTC_01191
ko:K10007	cpsf:CPTC_01192
ko:K01644	cpsf:CPTC_01193
ko:K02963	cpsf:CPTC_01196
ko:K02954	cpsf:CPTC_01197
ko:K02913	cpsf:CPTC_01198
ko:K02902	cpsf:CPTC_01199
ko:K02909	cpsf:CPTC_01200
ko:K02911	cpsf:CPTC_01201
ko:K07669	cpsf:CPTC_01202
ko:K07653	cpsf:CPTC_01203
ko:K08372	cpsf:CPTC_01204
ko:K03282	cpsf:CPTC_01206
ko:K01934	cpsf:CPTC_01208
ko:K00963	cpsf:CPTC_01209
ko:K03750	cpsf:CPTC_01210
ko:K03790	cpsf:CPTC_01211
ko:K15977	cpsf:CPTC_01213
ko:K07056	cpsf:CPTC_01220
ko:K01874	cpsf:CPTC_01221
ko:K03424	cpsf:CPTC_01222
ko:K02528	cpsf:CPTC_01224
ko:K00919	cpsf:CPTC_01225
ko:K03811	cpsf:CPTC_01230
ko:K00134	cpsf:CPTC_01237
ko:K00134	cpsf:CPTC_01238
ko:K01259	cpsf:CPTC_01240
ko:K02837	cpsf:CPTC_01241
ko:K01056	cpsf:CPTC_01243
ko:K00459	cpsf:CPTC_01244
ko:K02342	cpsf:CPTC_01947
ko:K04762	cpsf:CPTC_01951
ko:K01754	cpsf:CPTC_01954
ko:K02337	cpsf:CPTC_01955
ko:K05786	cpsf:CPTC_01956
ko:K06180	cpsf:CPTC_01958
ko:K03101	cpsf:CPTC_01959
ko:K02346	cpsf:CPTC_01962
ko:K01870	cpsf:CPTC_01963
ko:K02221	cpsf:CPTC_01966
ko:K09772	cpsf:CPTC_01968
ko:K05810	cpsf:CPTC_01969
ko:K03531	cpsf:CPTC_01970
ko:K03589	cpsf:CPTC_01971
ko:K01924	cpsf:CPTC_01972
ko:K02563	cpsf:CPTC_01974
ko:K03588	cpsf:CPTC_01975
ko:K01925	cpsf:CPTC_01976
ko:K01000	cpsf:CPTC_01977
ko:K01929	cpsf:CPTC_01978
ko:K01928	cpsf:CPTC_01979
ko:K03587	cpsf:CPTC_01980
ko:K03438	cpsf:CPTC_01982
ko:K03925	cpsf:CPTC_01983
ko:K00297	cpsf:CPTC_01988
ko:K13787	cpsf:CPTC_01989
ko:K14337	cpsf:CPTC_01990
ko:K02031	cpsf:CPTC_00722
ko:K02034	cpsf:CPTC_00722
ko:K02033	cpsf:CPTC_00723
ko:K02035	cpsf:CPTC_00724
ko:K00845	cpsf:CPTC_00726
ko:K01788	cpsf:CPTC_00727
ko:K01443	cpsf:CPTC_00728
ko:K02564	cpsf:CPTC_00729
ko:K02004	cpsf:CPTC_00737
ko:K02003	cpsf:CPTC_00738
ko:K01869	cpsf:CPTC_00740
ko:K01421	cpsf:CPTC_00742
ko:K04047	cpsf:CPTC_00746
ko:K03975	cpsf:CPTC_00747
ko:K07146	cpsf:CPTC_00748
ko:K02990	cpsf:CPTC_00757
ko:K02939	cpsf:CPTC_00759
ko:K08369	cpsf:CPTC_00763
ko:K08369	cpsf:CPTC_00764
ko:K17686	cpsf:CPTC_00767
ko:K03671	cpsf:CPTC_00769
ko:K01985	cpsf:CPTC_rRNA00001
ko:K01985	cpsf:CPTC_rRNA00012
ko:K01985	cpsf:CPTC_rRNA00006
ko:K01985	cpsf:CPTC_rRNA00009
ko:K14236	cpsf:CPTC_tRNA00007
ko:K02003	cpsf:CPTC_00054
ko:K02013	cpsf:CPTC_00056
ko:K02015	cpsf:CPTC_00057
ko:K02015	cpsf:CPTC_00058
ko:K02016	cpsf:CPTC_00059
ko:K01673	cpsf:CPTC_00060
ko:K03664	cpsf:CPTC_00061
ko:K09811	cpsf:CPTC_00062
ko:K09812	cpsf:CPTC_00063
ko:K12942	cpsf:CPTC_00064
ko:K02836	cpsf:CPTC_00066
ko:K05602	cpsf:CPTC_00068
ko:K17490	cpsf:CPTC_00070
ko:K17489	cpsf:CPTC_00071
ko:K17489	cpsf:CPTC_00072
ko:K03416	cpsf:CPTC_00073
ko:K11738	cpsf:CPTC_00074
ko:K00368	cpsf:CPTC_00082
ko:K09118	cpsf:CPTC_00091
ko:K07177	cpsf:CPTC_00094
ko:K07043	cpsf:CPTC_00096
ko:K03657	cpsf:CPTC_00098
ko:K03426	cpsf:CPTC_00099
ko:K10716	cpsf:CPTC_00100
ko:K03657	cpsf:CPTC_00101
ko:K14260	cpsf:CPTC_00880
ko:K01430	cpsf:CPTC_00883
ko:K01429	cpsf:CPTC_00884
ko:K01428	cpsf:CPTC_00885
ko:K03187	cpsf:CPTC_00886
ko:K03188	cpsf:CPTC_00887
ko:K03189	cpsf:CPTC_00888
ko:K03190	cpsf:CPTC_00889
ko:K02016	cpsf:CPTC_00890
ko:K02015	cpsf:CPTC_00891
ko:K02013	cpsf:CPTC_00892
ko:K03306	cpsf:CPTC_00898
ko:K02035	cpsf:CPTC_00900
ko:K02033	cpsf:CPTC_00901
ko:K02031	cpsf:CPTC_00902
ko:K00656	cpsf:CPTC_00411
ko:K04069	cpsf:CPTC_00413
ko:K01619	cpsf:CPTC_00415
ko:K00240	cpsf:CPTC_00419
ko:K00239	cpsf:CPTC_00420
ko:K00241	cpsf:CPTC_00421
ko:K07110	cpsf:CPTC_00422
ko:K00382	cpsf:CPTC_00423
ko:K01322	cpsf:CPTC_00426
ko:K00973	cpsf:CPTC_00430
ko:K02341	cpsf:CPTC_00434
ko:K03168	cpsf:CPTC_00437
ko:K03704	cpsf:CPTC_00438
ko:K06877	cpsf:CPTC_00439
ko:K12510	cpsf:CPTC_00444
ko:K02283	cpsf:CPTC_00445
ko:K10773	cpsf:CPTC_00455
ko:K01056	cpsf:CPTC_01246
ko:K02897	cpsf:CPTC_01247
ko:K00948	cpsf:CPTC_01249
ko:K04042	cpsf:CPTC_01250
ko:K03723	cpsf:CPTC_01254
ko:K03758	cpsf:CPTC_01255
ko:K02428	cpsf:CPTC_01256
ko:K01689	cpsf:CPTC_01258
ko:K09009	cpsf:CPTC_01261
ko:K01524	cpsf:CPTC_01262
ko:K03624	cpsf:CPTC_01267
ko:K18455	cpsf:CPTC_01269
ko:K12503	cpsf:CPTC_01271
ko:K00867	cpsf:CPTC_01273
ko:K00600	cpsf:CPTC_01274
ko:K03823	cpsf:CPTC_01280
ko:K01679	cpsf:CPTC_01283
ko:K02446	cpsf:CPTC_01284
ko:K03602	cpsf:CPTC_01286
ko:K03601	cpsf:CPTC_01287
ko:K03527	cpsf:CPTC_01288
ko:K06942	cpsf:CPTC_01291
ko:K06193	cpsf:CPTC_01293
ko:K01626	cpsf:CPTC_01993
ko:K00655	cpsf:CPTC_01996
ko:K00845	cpsf:CPTC_01997
ko:K13668	cpsf:CPTC_01998
ko:K03891	cpsf:CPTC_02002
ko:K03890	cpsf:CPTC_02003
ko:K03889	cpsf:CPTC_02004
ko:K02276	cpsf:CPTC_02005
ko:K02275	cpsf:CPTC_02007
ko:K01953	cpsf:CPTC_02008
ko:K02231	cpsf:CPTC_02011
ko:K00768	cpsf:CPTC_02013
ko:K02233	cpsf:CPTC_02014
ko:K00826	cpsf:CPTC_02015
ko:K01255	cpsf:CPTC_02016
ko:K00658	cpsf:CPTC_02018
ko:K00281	cpsf:CPTC_02019
ko:K00605	cpsf:CPTC_02020
ko:K02437	cpsf:CPTC_02021
ko:K03801	cpsf:CPTC_02023
ko:K03644	cpsf:CPTC_02024
ko:K01915	cpsf:CPTC_02027
ko:K02034	cpsf:CPTC_00902
ko:K07284	cpsf:CPTC_00905
ko:K04043	cpsf:CPTC_00910
ko:K03687	cpsf:CPTC_00911
ko:K03686	cpsf:CPTC_00912
ko:K13640	cpsf:CPTC_00913
ko:K00138	cpsf:CPTC_00916
ko:K00138	cpsf:CPTC_00917
ko:K13953	cpsf:CPTC_00918
ko:K02005	cpsf:CPTC_00922
ko:K02003	cpsf:CPTC_00923
ko:K02004	cpsf:CPTC_00924
ko:K03312	cpsf:CPTC_00934
ko:K11717	cpsf:CPTC_01652
ko:K09013	cpsf:CPTC_01653
ko:K09015	cpsf:CPTC_01654
ko:K09014	cpsf:CPTC_01655
ko:K14339	cpsf:CPTC_01657
ko:K01990	cpsf:CPTC_01658
ko:K01992	cpsf:CPTC_01659
ko:K02259	cpsf:CPTC_01660
ko:K00615	cpsf:CPTC_01662
ko:K00616	cpsf:CPTC_01663
ko:K00036	cpsf:CPTC_01664
ko:K01057	cpsf:CPTC_01666
ko:K03075	cpsf:CPTC_01667
ko:K01595	cpsf:CPTC_01668
ko:K01803	cpsf:CPTC_01669
ko:K00927	cpsf:CPTC_01670
ko:K00134	cpsf:CPTC_01671
ko:K09762	cpsf:CPTC_01672
ko:K06958	cpsf:CPTC_01674
ko:K03703	cpsf:CPTC_01675
ko:K00794	cpsf:CPTC_01677
ko:K14652	cpsf:CPTC_01678
ko:K00793	cpsf:CPTC_01679
ko:K11752	cpsf:CPTC_01680
ko:K01783	cpsf:CPTC_01681
ko:K03500	cpsf:CPTC_01682
ko:K00604	cpsf:CPTC_01683
ko:K01462	cpsf:CPTC_01684
ko:K04066	cpsf:CPTC_01685
ko:K00789	cpsf:CPTC_01686
ko:K13038	cpsf:CPTC_01687
ko:K03060	cpsf:CPTC_01688
ko:K00942	cpsf:CPTC_01689
ko:K01591	cpsf:CPTC_01692
ko:K01955	cpsf:CPTC_01693
ko:K01956	cpsf:CPTC_01694
ko:K01465	cpsf:CPTC_01695
ko:K00609	cpsf:CPTC_01696
ko:K02825	cpsf:CPTC_01697
ko:K02032	cpsf:CPTC_00903
ko:K09117	cpsf:CPTC_00463
ko:K01990	cpsf:CPTC_00468
ko:K01990	cpsf:CPTC_00469
ko:K01992	cpsf:CPTC_00470
ko:K05565	cpsf:CPTC_00473
ko:K05567	cpsf:CPTC_00474
ko:K05568	cpsf:CPTC_00475
ko:K05569	cpsf:CPTC_00476
ko:K05570	cpsf:CPTC_00477
ko:K05571	cpsf:CPTC_00478
ko:K07657	cpsf:CPTC_00480
ko:K02445	cpsf:CPTC_00481
ko:K02012	cpsf:CPTC_00482
ko:K02011	cpsf:CPTC_00483
ko:K02010	cpsf:CPTC_00484
ko:K03781	cpsf:CPTC_00490
ko:K03088	cpsf:CPTC_00491
ko:K00133	cpsf:CPTC_00492
ko:K00928	cpsf:CPTC_00495
ko:K01840	cpsf:CPTC_00501
ko:K01619	cpsf:CPTC_00502
ko:K03784	cpsf:CPTC_00504
ko:K05346	cpsf:CPTC_00505
ko:K01649	cpsf:CPTC_00506
ko:K02342	cpsf:CPTC_00509
ko:K07009	cpsf:CPTC_00511
ko:K09781	cpsf:CPTC_01297
ko:K00077	cpsf:CPTC_01298
ko:K16925	cpsf:CPTC_01299
ko:K02032	cpsf:CPTC_00721
ko:K03088	cpsf:CPTC_00112
ko:K00800	cpsf:CPTC_00116
ko:K06949	cpsf:CPTC_00117
ko:K00508	cpsf:CPTC_00118
ko:K03070	cpsf:CPTC_00123
ko:K07654	cpsf:CPTC_00127
ko:K07670	cpsf:CPTC_00128
ko:K00943	cpsf:CPTC_00129
ko:K01251	cpsf:CPTC_00130
ko:K01809	cpsf:CPTC_00135
ko:K01840	cpsf:CPTC_00138
ko:K00966	cpsf:CPTC_00142
ko:K16870	cpsf:CPTC_00143
ko:K02027	cpsf:CPTC_00146
ko:K02025	cpsf:CPTC_00148
ko:K02026	cpsf:CPTC_00149
ko:K01588	cpsf:CPTC_00152
ko:K01589	cpsf:CPTC_00153
ko:K03524	cpsf:CPTC_00155
ko:K01992	cpsf:CPTC_00936
ko:K01990	cpsf:CPTC_00937
ko:K03695	cpsf:CPTC_00938
ko:K07284	cpsf:CPTC_00939
ko:K07284	cpsf:CPTC_00942
ko:K00111	cpsf:CPTC_00947
ko:K01011	cpsf:CPTC_00949
ko:K00762	cpsf:CPTC_00951
ko:K01624	cpsf:CPTC_00954
ko:K14194	cpsf:CPTC_00955
ko:K10947	cpsf:CPTC_00956
ko:K01990	cpsf:CPTC_00959
ko:K01992	cpsf:CPTC_00960
ko:K01939	cpsf:CPTC_00966
ko:K03385	cpsf:CPTC_00968
ko:K07399	cpsf:CPTC_00970
ko:K07101	cpsf:CPTC_00980
ko:K08289	cpsf:CPTC_00981
ko:K02348	cpsf:CPTC_00982
ko:K00528	cpsf:CPTC_00983
ko:K13788	cpsf:CPTC_00984
ko:K00925	cpsf:CPTC_00985
ko:K14949	cpsf:CPTC_00986
ko:K02030	cpsf:CPTC_00987
ko:K03574	cpsf:CPTC_00989
ko:K01990	cpsf:CPTC_00990
ko:K07071	cpsf:CPTC_01698
ko:K03625	cpsf:CPTC_01701
ko:K02356	cpsf:CPTC_01702
ko:K03786	cpsf:CPTC_01704
ko:K01735	cpsf:CPTC_01705
ko:K00891	cpsf:CPTC_01706
ko:K01736	cpsf:CPTC_01707
ko:K02654	cpsf:CPTC_01708
ko:K00014	cpsf:CPTC_01709
ko:K07082	cpsf:CPTC_01710
ko:K07447	cpsf:CPTC_01711
ko:K01872	cpsf:CPTC_01712
ko:K07478	cpsf:CPTC_01713
ko:K01876	cpsf:CPTC_01715
ko:K07054	cpsf:CPTC_01716
ko:K01421	cpsf:CPTC_01718
ko:K00299	cpsf:CPTC_01721
ko:K01752	cpsf:CPTC_01722
ko:K18292	cpsf:CPTC_01723
ko:K01892	cpsf:CPTC_01727
ko:K11065	cpsf:CPTC_01729
ko:K03768	cpsf:CPTC_01730
ko:K00951	cpsf:CPTC_01732
ko:K00759	cpsf:CPTC_01733
ko:K02035	cpsf:CPTC_01734
ko:K03074	cpsf:CPTC_01735
ko:K03072	cpsf:CPTC_01736
ko:K03210	cpsf:CPTC_01737
ko:K03551	cpsf:CPTC_01738
ko:K03550	cpsf:CPTC_01739
ko:K01159	cpsf:CPTC_01740
ko:K10805	cpsf:CPTC_01744
ko:K16786	cpsf:CPTC_01300
ko:K16787	cpsf:CPTC_01300
ko:K16785	cpsf:CPTC_01301
ko:K15580	cpsf:CPTC_01304
ko:K15581	cpsf:CPTC_01305
ko:K15582	cpsf:CPTC_01306
ko:K02031	cpsf:CPTC_01307
ko:K02032	cpsf:CPTC_01307
ko:K00537	cpsf:CPTC_01309
ko:K09146	cpsf:CPTC_01310
ko:K06207	cpsf:CPTC_01312
ko:K15525	cpsf:CPTC_01314
ko:K16237	cpsf:CPTC_01320
ko:K00674	cpsf:CPTC_01321
ko:K16237	cpsf:CPTC_01322
ko:K00674	cpsf:CPTC_01323
ko:K01439	cpsf:CPTC_01324
ko:K06966	cpsf:CPTC_01325
ko:K00796	cpsf:CPTC_01326
ko:K13693	cpsf:CPTC_01327
ko:K00563	cpsf:CPTC_01330
ko:K01193	cpsf:CPTC_01331
ko:K01575	cpsf:CPTC_01332
ko:K16148	cpsf:CPTC_01333
ko:K00975	cpsf:CPTC_01334
ko:K03088	cpsf:CPTC_01336
ko:K03117	cpsf:CPTC_01338
ko:K03593	cpsf:CPTC_01339
ko:K01616	cpsf:CPTC_01343
ko:K07316	cpsf:CPTC_02044
ko:K01156	cpsf:CPTC_02045
ko:K01156	cpsf:CPTC_02046
ko:K03427	cpsf:CPTC_02052
ko:K02003	cpsf:CPTC_02056
ko:K02004	cpsf:CPTC_02057
ko:K07035	cpsf:CPTC_02061
ko:K00088	cpsf:CPTC_02062
ko:K07084	cpsf:CPTC_02064
ko:K01733	cpsf:CPTC_02067
ko:K00982	cpsf:CPTC_02071
ko:K01915	cpsf:CPTC_02073
ko:K00849	cpsf:CPTC_02077
ko:K07164	cpsf:CPTC_02080
ko:K00817	cpsf:CPTC_02082
ko:K01104	cpsf:CPTC_02084
ko:K02227	cpsf:CPTC_02086
ko:K00163	cpsf:CPTC_02088
ko:K02078	cpsf:CPTC_02090
ko:K02566	cpsf:CPTC_02091
ko:K18917	cpsf:CPTC_01172
ko:K18955	cpsf:CPTC_00461
ko:K14218	cpsf:CPTC_tRNA00017
ko:K14218	cpsf:CPTC_tRNA00018
ko:K18955	cpsf:CPTC_00110
ko:K14229	cpsf:CPTC_tRNA00049
ko:K14218	cpsf:CPTC_tRNA00002
ko:K14237	cpsf:CPTC_tRNA00040
ko:K14225	cpsf:CPTC_tRNA00046
ko:K14219	cpsf:CPTC_tRNA00047
ko:K14226	cpsf:CPTC_tRNA00048
ko:K01980	cpsf:CPTC_rRNA00002
ko:K01980	cpsf:CPTC_rRNA00011
ko:K01980	cpsf:CPTC_rRNA00008
ko:K01980	cpsf:CPTC_rRNA00005
ko:K01977	cpsf:CPTC_rRNA00003
ko:K01977	cpsf:CPTC_rRNA00004
ko:K01977	cpsf:CPTC_rRNA00007
ko:K01977	cpsf:CPTC_rRNA00010
ko:K14224	cpsf:CPTC_tRNA00023
ko:K14229	cpsf:CPTC_tRNA00022
ko:K14234	cpsf:CPTC_tRNA00021
ko:K14233	cpsf:CPTC_tRNA00015
ko:K14219	cpsf:CPTC_tRNA00012
ko:K14219	cpsf:CPTC_tRNA00013
ko:K14233	cpsf:CPTC_tRNA00011
ko:K14235	cpsf:CPTC_tRNA00004
ko:K14230	cpsf:CPTC_tRNA00003
ko:K14219	cpsf:CPTC_tRNA00027
ko:K14223	cpsf:CPTC_tRNA00028
ko:K14228	cpsf:CPTC_tRNA00029
ko:K14219	cpsf:CPTC_tRNA00030
ko:K14223	cpsf:CPTC_tRNA00031
ko:K14224	cpsf:CPTC_tRNA00032
ko:K14224	cpsf:CPTC_tRNA00033
ko:K14228	cpsf:CPTC_tRNA00034
ko:K14232	cpsf:CPTC_tRNA00035
ko:K14228	cpsf:CPTC_tRNA00036
ko:K14237	cpsf:CPTC_tRNA00037
ko:K14222	cpsf:CPTC_tRNA00039
ko:K14237	cpsf:CPTC_tRNA00042
ko:K14220	cpsf:CPTC_tRNA00044
ko:K14232	cpsf:CPTC_tRNA00045
ko:K06147	cpsf:CPTC_01344
ko:K18929	cpsf:CPTC_01374
ko:K18928	cpsf:CPTC_01375
ko:K03976	cpsf:CPTC_00113
ko:K04565	cpsf:CPTC_01148
ko:K08168	cpsf:CPTC_00503
ko:K03111	cpsf:CPTC_02213
ko:K03496	cpsf:CPTC_00679
ko:K03497	cpsf:CPTC_00680
ko:K03496	cpsf:CPTC_01527
ko:K03111	cpsf:CPTC_00758
ko:K03526	cpsf:CPTC_01874
ko:K00067	cpsf:CPTC_00429
ko:K01790	cpsf:CPTC_00429
ko:K10563	cpsf:CPTC_00745
ko:K19221	cpsf:CPTC_01863
ko:K16783	cpsf:CPTC_01827
ko:K00798	cpsf:CPTC_01124
ko:K01239	cpsf:CPTC_01043
ko:K02777	cpsf:CPTC_00542
ko:K01710	cpsf:CPTC_00428
ko:K19125	cpsf:CPTC_00646
ko:K01239	cpsf:CPTC_01843
ko:K19265	cpsf:CPTC_01433
ko:K01785	cpsf:CPTC_01351
ko:K19302	cpsf:CPTC_00838
ko:K00020	cpsf:CPTC_00518
ko:K19302	cpsf:CPTC_00551
ko:K03722	cpsf:CPTC_00018
ko:K16164	cpsf:CPTC_00514
ko:K01992	cpsf:CPTC_00991
ko:K06867	cpsf:CPTC_02122
ko:K06867	cpsf:CPTC_02165
ko:K06881	cpsf:CPTC_01849
ko:K19577	cpsf:CPTC_00190
ko:K01426	cpsf:CPTC_00818
ko:K06221	cpsf:CPTC_01149
ko:K19710	cpsf:CPTC_01753
ko:K19784	cpsf:CPTC_00800
ko:K07119	cpsf:CPTC_02235
ko:K02033	cpsf:CPTC_02154
ko:K02034	cpsf:CPTC_02154
ko:K09796	cpsf:CPTC_01756
ko:K12132	cpsf:CPTC_00638
ko:K12132	cpsf:CPTC_01992
ko:K12132	cpsf:CPTC_00637
ko:K20074	cpsf:CPTC_00634
ko:K20468	cpsf:CPTC_00856
ko:K20470	cpsf:CPTC_00857
ko:K01214	cpsf:CPTC_01946
ko:K01200	cpsf:CPTC_01248
ko:K20814	cpsf:CPTC_01597
ko:K21071	cpsf:CPTC_01430
ko:K01768	cpsf:CPTC_00435
ko:K00821	cpsf:CPTC_01509
ko:K21636	cpsf:CPTC_00331
ko:K00526	cpsf:CPTC_01092
ko:K02335	cpsf:CPTC_01487
ko:K06191	cpsf:CPTC_00031
ko:K07465	cpsf:CPTC_01602
ko:K01520	cpsf:CPTC_01769
ko:K03553	cpsf:CPTC_01823
ko:K03465	cpsf:CPTC_01838
ko:K00287	cpsf:CPTC_01173
ko:K00560	cpsf:CPTC_01174
ko:K02316	cpsf:CPTC_02097
ko:K06217	cpsf:CPTC_02117
ko:K02314	cpsf:CPTC_00762
ko:K00525	cpsf:CPTC_00029
ko:K00108	cpsf:CPTC_01034
ko:K09820	cpsf:CPTC_00345
ko:K01436	cpsf:CPTC_00175
ko:K22468	cpsf:CPTC_01229
ko:K09819	cpsf:CPTC_00344
ko:K02075	cpsf:CPTC_00206
ko:K02075	cpsf:CPTC_00207
ko:K02074	cpsf:CPTC_00208
ko:K00526	cpsf:CPTC_00027
ko:K21481	cpsf:CPTC_02237
ko:K21473	cpsf:CPTC_01639
ko:K21471	cpsf:CPTC_01999
ko:K05364	cpsf:CPTC_00636
ko:K21401	cpsf:CPTC_00360
ko:K10914	cpsf:CPTC_00457
ko:K21498	cpsf:CPTC_01603
ko:K21685	cpsf:CPTC_01123
ko:K21962	cpsf:CPTC_01642
ko:K22044	cpsf:CPTC_01441
ko:K22044	cpsf:CPTC_02206
ko:K03595	cpsf:CPTC_02113
ko:K00666	cpsf:CPTC_00432
ko:K01046	cpsf:CPTC_00599
ko:K17758	cpsf:CPTC_00744
ko:K17759	cpsf:CPTC_00744
ko:K22316	cpsf:CPTC_02079
ko:K22306	cpsf:CPTC_02170
ko:K02257	cpsf:CPTC_01661
ko:K22311	cpsf:CPTC_01750
ko:K22476	cpsf:CPTC_00994
ko:K00728	cpsf:CPTC_01215
ko:K22468	cpsf:CPTC_01014
ko:K08300	cpsf:CPTC_02181
ko:K08301	cpsf:CPTC_02181
ko:K07566	cpsf:CPTC_01386
