ko:K06896	spnn:T308_03550
ko:K00981	spnn:T308_01280
ko:K11749	spnn:T308_01285
ko:K01881	spnn:T308_01290
ko:K01223	spnn:T308_01295
ko:K00820	spnn:T308_01300
ko:K02950	spnn:T308_01320
ko:K02992	spnn:T308_01325
ko:K02355	spnn:T308_01330
ko:K03763	spnn:T308_01335
ko:K06183	spnn:T308_01370
ko:K01372	spnn:T308_01375
ko:K02795	spnn:T308_01385
ko:K02793	spnn:T308_01390
ko:K02794	spnn:T308_01390
ko:K13953	spnn:T308_01395
ko:K06901	spnn:T308_01415
ko:K00796	spnn:T308_01430
ko:K11754	spnn:T308_01435
ko:K01495	spnn:T308_01440
ko:K13940	spnn:T308_01445
ko:K02871	spnn:T308_01455
ko:K02996	spnn:T308_01460
ko:K13292	spnn:T308_03970
ko:K16509	spnn:T308_04005
ko:K01092	spnn:T308_04015
ko:K02040	spnn:T308_04030
ko:K02037	spnn:T308_04035
ko:K02038	spnn:T308_04040
ko:K02036	spnn:T308_04045
ko:K02036	spnn:T308_04050
ko:K02039	spnn:T308_04055
ko:K02030	spnn:T308_04060
ko:K01575	spnn:T308_04070
ko:K00075	spnn:T308_04080
ko:K11072	spnn:T308_04085
ko:K11071	spnn:T308_04090
ko:K11070	spnn:T308_04095
ko:K11069	spnn:T308_04100
ko:K01154	spnn:T308_06190
ko:K03151	spnn:T308_06220
ko:K04487	spnn:T308_06225
ko:K03466	spnn:T308_06235
ko:K02768	spnn:T308_06240
ko:K02769	spnn:T308_06240
ko:K02770	spnn:T308_06240
ko:K00882	spnn:T308_06245
ko:K03436	spnn:T308_06250
ko:K07258	spnn:T308_06265
ko:K09014	spnn:T308_06275
ko:K04488	spnn:T308_06280
ko:K11717	spnn:T308_06285
ko:K09015	spnn:T308_06290
ko:K09013	spnn:T308_06295
ko:K02343	spnn:T308_06305
ko:K02945	spnn:T308_06315
ko:K01304	spnn:T308_06335
ko:K02529	spnn:T308_08405
ko:K16264	spnn:T308_08420
ko:K03811	spnn:T308_08430
ko:K05845	spnn:T308_08435
ko:K05846	spnn:T308_08435
ko:K05847	spnn:T308_08440
ko:K01261	spnn:T308_08460
ko:K01784	spnn:T308_08465
ko:K02015	spnn:T308_08475
ko:K02015	spnn:T308_08480
ko:K02013	spnn:T308_08485
ko:K02016	spnn:T308_08490
ko:K08998	spnn:T308_08495
ko:K02242	spnn:T308_10620
ko:K02240	spnn:T308_10625
ko:K01738	spnn:T308_10635
ko:K02357	spnn:T308_10655
ko:K02967	spnn:T308_10660
ko:K03571	spnn:T308_10670
ko:K03570	spnn:T308_10675
ko:K16785	spnn:T308_10680
ko:K16787	spnn:T308_10685
ko:K16786	spnn:T308_10690
ko:K00995	spnn:T308_10695
ko:K03629	spnn:T308_10720
ko:K00088	spnn:T308_10725
ko:K01867	spnn:T308_10730
ko:K07052	spnn:T308_02595
ko:K07052	spnn:T308_02605
ko:K03439	spnn:T308_02615
ko:K02600	spnn:T308_02625
ko:K07742	spnn:T308_02630
ko:K02519	spnn:T308_02640
ko:K02834	spnn:T308_02645
ko:K09155	spnn:T308_02670
ko:K03596	spnn:T308_04765
ko:K01819	spnn:T308_04805
ko:K00917	spnn:T308_04810
ko:K01635	spnn:T308_04815
ko:K02531	spnn:T308_04820
ko:K02786	spnn:T308_04825
ko:K02787	spnn:T308_04830
ko:K02788	spnn:T308_04830
ko:K01220	spnn:T308_04835
ko:K02530	spnn:T308_04845
ko:K11189	spnn:T308_04865
ko:K08483	spnn:T308_04870
ko:K01258	spnn:T308_04905
ko:K03100	spnn:T308_04925
ko:K08600	spnn:T308_04935
ko:K01772	spnn:T308_04945
ko:K09861	spnn:T308_07045
ko:K01462	spnn:T308_07060
ko:K11209	spnn:T308_07065
ko:K01537	spnn:T308_07070
ko:K15738	spnn:T308_07080
ko:K00974	spnn:T308_07085
ko:K00215	spnn:T308_07090
ko:K03431	spnn:T308_07105
ko:K09762	spnn:T308_07125
ko:K06958	spnn:T308_07135
ko:K03978	spnn:T308_07145
ko:K03544	spnn:T308_07150
ko:K04047	spnn:T308_07165
ko:K00790	spnn:T308_09235
ko:K08316	spnn:T308_09245
ko:K01914	spnn:T308_09250
ko:K06890	spnn:T308_09260
ko:K03437	spnn:T308_09265
ko:K01512	spnn:T308_09270
ko:K03217	spnn:T308_09275
ko:K04069	spnn:T308_09280
ko:K01586	spnn:T308_09285
ko:K09685	spnn:T308_09290
ko:K03698	spnn:T308_09295
ko:K09760	spnn:T308_09300
ko:K00949	spnn:T308_09305
ko:K01783	spnn:T308_09310
ko:K06949	spnn:T308_09315
ko:K02528	spnn:T308_09320
ko:K02003	spnn:T308_09330
ko:K02004	spnn:T308_09335
ko:K05985	spnn:T308_09345
ko:K03424	spnn:T308_09350
ko:K02914	spnn:T308_09360
ko:K14237	spnn:T308_08735
ko:K14237	spnn:T308_09855
ko:K14237	spnn:T308_09480
ko:K14232	spnn:T308_08695
ko:K14232	spnn:T308_09440
ko:K14233	spnn:T308_08655
ko:K14228	spnn:T308_08720
ko:K14228	spnn:T308_09465
ko:K01978	spnn:T308_01845
ko:K01223	spnn:T308_01525
ko:K15383	spnn:T308_01530
ko:K02760	spnn:T308_01535
ko:K03491	spnn:T308_01540
ko:K02759	spnn:T308_01545
ko:K02761	spnn:T308_01555
ko:K00432	spnn:T308_01570
ko:K01727	spnn:T308_01575
ko:K07491	spnn:T308_01585
ko:K01625	spnn:T308_01590
ko:K00874	spnn:T308_01595
ko:K00046	spnn:T308_01605
ko:K02744	spnn:T308_01610
ko:K02745	spnn:T308_01620
ko:K02746	spnn:T308_01625
ko:K02747	spnn:T308_01630
ko:K03210	spnn:T308_01635
ko:K07729	spnn:T308_01680
ko:K03438	spnn:T308_01685
ko:K12556	spnn:T308_01695
ko:K01000	spnn:T308_01700
ko:K04086	spnn:T308_01710
ko:K07173	spnn:T308_01715
ko:K01104	spnn:T308_01740
ko:K05946	spnn:T308_01760
ko:K07271	spnn:T308_01765
ko:K00973	spnn:T308_01790
ko:K01790	spnn:T308_01795
ko:K00067	spnn:T308_01805
ko:K01872	spnn:T308_04115
ko:K01176	spnn:T308_04120
ko:K01990	spnn:T308_04125
ko:K01992	spnn:T308_04130
ko:K06969	spnn:T308_04135
ko:K03785	spnn:T308_04140
ko:K00014	spnn:T308_04145
ko:K01735	spnn:T308_04150
ko:K01736	spnn:T308_04155
ko:K04517	spnn:T308_04160
ko:K00800	spnn:T308_04170
ko:K00891	spnn:T308_04175
ko:K04518	spnn:T308_04180
ko:K16511	spnn:T308_04215
ko:K00003	spnn:T308_04220
ko:K12267	spnn:T308_04230
ko:K06147	spnn:T308_04240
ko:K12960	spnn:T308_04250
ko:K02035	spnn:T308_06350
ko:K00826	spnn:T308_06355
ko:K02621	spnn:T308_06360
ko:K02622	spnn:T308_06375
ko:K02057	spnn:T308_06395
ko:K02057	spnn:T308_06400
ko:K02056	spnn:T308_06405
ko:K07335	spnn:T308_06410
ko:K01489	spnn:T308_06415
ko:K01619	spnn:T308_06420
ko:K00756	spnn:T308_06425
ko:K00564	spnn:T308_06430
ko:K00867	spnn:T308_06440
ko:K02968	spnn:T308_06445
ko:K03784	spnn:T308_06455
ko:K03783	spnn:T308_06475
ko:K06178	spnn:T308_08500
ko:K06024	spnn:T308_08505
ko:K05896	spnn:T308_08510
ko:K07095	spnn:T308_08525
ko:K02428	spnn:T308_08530
ko:K01776	spnn:T308_08535
ko:K01226	spnn:T308_08550
ko:K02817	spnn:T308_08555
ko:K02818	spnn:T308_08555
ko:K02819	spnn:T308_08555
ko:K03486	spnn:T308_08560
ko:K10823	spnn:T308_08585
ko:K15583	spnn:T308_08590
ko:K15582	spnn:T308_08595
ko:K15581	spnn:T308_08600
ko:K00690	spnn:T308_08615
ko:K10119	spnn:T308_08625
ko:K10118	spnn:T308_08630
ko:K00783	spnn:T308_10785
ko:K02313	spnn:T308_10800
ko:K02338	spnn:T308_10805
ko:K06942	spnn:T308_10815
ko:K01056	spnn:T308_10820
ko:K03723	spnn:T308_10825
ko:K00760	spnn:T308_10855
ko:K03798	spnn:T308_10860
ko:K12296	spnn:T308_10865
ko:K01873	spnn:T308_02700
ko:K03488	spnn:T308_02725
ko:K02755	spnn:T308_02730
ko:K02756	spnn:T308_02730
ko:K02757	spnn:T308_02730
ko:K01223	spnn:T308_02735
ko:K01889	spnn:T308_02745
ko:K01890	spnn:T308_02755
ko:K00549	spnn:T308_02775
ko:K00297	spnn:T308_02780
ko:K00962	spnn:T308_02785
ko:K00640	spnn:T308_02790
ko:K01883	spnn:T308_02800
ko:K11145	spnn:T308_02805
ko:K02004	spnn:T308_02825
ko:K02003	spnn:T308_02830
ko:K02004	spnn:T308_02835
ko:K03282	spnn:T308_04950
ko:K00133	spnn:T308_04970
ko:K01714	spnn:T308_04975
ko:K03650	spnn:T308_04980
ko:K01821	spnn:T308_04985
ko:K02835	spnn:T308_04995
ko:K02493	spnn:T308_05000
ko:K07566	spnn:T308_05005
ko:K00600	spnn:T308_05015
ko:K03215	spnn:T308_05035
ko:K02016	spnn:T308_05050
ko:K02015	spnn:T308_05055
ko:K02015	spnn:T308_05060
ko:K02013	spnn:T308_05065
ko:K01803	spnn:T308_07175
ko:K02086	spnn:T308_07180
ko:K00651	spnn:T308_07185
ko:K00759	spnn:T308_07190
ko:K10112	spnn:T308_07205
ko:K03706	spnn:T308_07220
ko:K05592	spnn:T308_07225
ko:K08177	spnn:T308_07230
ko:K01928	spnn:T308_07240
ko:K07009	spnn:T308_07245
ko:K00868	spnn:T308_07265
ko:K06173	spnn:T308_07270
ko:K06193	spnn:T308_07285
ko:K00945	spnn:T308_07290
ko:K05337	spnn:T308_07300
ko:K01784	spnn:T308_07310
ko:K14260	spnn:T308_09365
ko:K01424	spnn:T308_09385
ko:K02529	spnn:T308_09395
ko:K07778	spnn:T308_09405
ko:K01992	spnn:T308_09410
ko:K01990	spnn:T308_09415
ko:K12296	spnn:T308_09510
ko:K14219	spnn:T308_10780
ko:K14230	spnn:T308_08685
ko:K00561	spnn:T308_09065
ko:K18220	spnn:T308_09115
ko:K01071	spnn:T308_03990
ko:K07492	spnn:T308_10250
ko:K02614	spnn:T308_08390
ko:K00004	spnn:T308_02110
ko:K06148	spnn:T308_04235
ko:K02769	spnn:T308_07365
ko:K02770	spnn:T308_07360
ko:K02794	spnn:T308_00235
ko:K18104	spnn:T308_06930
ko:K18231	spnn:T308_09140
ko:K07260	spnn:T308_02970
ko:K18369	spnn:T308_09735
ko:K07166	spnn:T308_01160
ko:K07052	spnn:T308_02560
ko:K02029	spnn:T308_03310
ko:K12295	spnn:T308_10765
ko:K03742	spnn:T308_08995
ko:K18474	spnn:T308_02015
ko:K00105	spnn:T308_10480
ko:K18581	spnn:T308_01615
ko:K18682	spnn:T308_07945
ko:K18672	spnn:T308_07115
ko:K18692	spnn:T308_03555
ko:K06147	spnn:T308_08865
ko:K06218	spnn:T308_04660
ko:K18892	spnn:T308_09910
ko:K18891	spnn:T308_09920
ko:K03790	spnn:T308_05250
ko:K18816	spnn:T308_05145
ko:K07473	spnn:T308_01340
ko:K03497	spnn:T308_10795
ko:K03111	spnn:T308_08810
ko:K03111	spnn:T308_07000
ko:K06148	spnn:T308_00655
ko:K07484	spnn:T308_06550
ko:K07484	spnn:T308_10650
ko:K19002	spnn:T308_05210
ko:K13052	spnn:T308_10835
ko:K07482	spnn:T308_06870
ko:K12294	spnn:T308_10770
ko:K19157	spnn:T308_01345
ko:K05881	spnn:T308_05590
ko:K00571	spnn:T308_03870
ko:K01710	spnn:T308_01800
ko:K12415	spnn:T308_10775
ko:K12293	spnn:T308_00150
ko:K03722	spnn:T308_06590
ko:K12952	spnn:T308_07385
ko:K19302	spnn:T308_02360
ko:K13734	spnn:T308_04920
ko:K07492	spnn:T308_09940
ko:K04771	spnn:T308_10790
ko:K01992	spnn:T308_05830
ko:K02796	spnn:T308_10360
ko:K06881	spnn:T308_04290
ko:K01990	spnn:T308_05835
ko:K02796	spnn:T308_00245
ko:K02796	spnn:T308_01380
ko:K00887	spnn:T308_05780
ko:K07497	spnn:T308_06385
ko:K02538	spnn:T308_07380
ko:K21636	spnn:T308_00995
ko:K19971	spnn:T308_07515
ko:K19972	spnn:T308_07510
ko:K10830	spnn:T308_07505
ko:K20074	spnn:T308_07915
ko:K12132	spnn:T308_07910
ko:K20073	spnn:T308_01855
ko:K20112	spnn:T308_03030
ko:K20112	spnn:T308_04775
ko:K15580	spnn:T308_08605
ko:K02777	spnn:T308_03545
ko:K20107	spnn:T308_03545
ko:K20108	spnn:T308_03545
ko:K20114	spnn:T308_03040
ko:K20113	spnn:T308_03035
ko:K20113	spnn:T308_04780
ko:K20341	spnn:T308_02570
ko:K20345	spnn:T308_02535
ko:K20344	spnn:T308_00500
ko:K00525	spnn:T308_04855
ko:K20342	spnn:T308_09340
ko:K20343	spnn:T308_02530
ko:K18889	spnn:T308_08335
ko:K18890	spnn:T308_08330
ko:K01200	spnn:T308_05425
ko:K21030	spnn:T308_04430
ko:K21064	spnn:T308_01410
ko:K08968	spnn:T308_06310
ko:K01520	spnn:T308_00045
ko:K01493	spnn:T308_03475
ko:K06217	spnn:T308_05875
ko:K06919	spnn:T308_00910
ko:K04068	spnn:T308_01010
ko:K02314	spnn:T308_10600
ko:K07313	spnn:T308_01485
ko:K03553	spnn:T308_08990
ko:K07313	spnn:T308_04760
ko:K06191	spnn:T308_04860
ko:K00287	spnn:T308_07160
ko:K00857	spnn:T308_04990
ko:K02316	spnn:T308_05190
ko:K00560	spnn:T308_03160
ko:K02335	spnn:T308_00085
ko:K00571	spnn:T308_09685
ko:K00526	spnn:T308_04850
ko:K07497	spnn:T308_07345
ko:K21471	spnn:T308_10665
ko:K21567	spnn:T308_07120
ko:K21977	spnn:T308_04625
ko:K22044	spnn:T308_08005
ko:K03595	spnn:T308_05775
ko:K03078	spnn:T308_09635
ko:K22278	spnn:T308_03650
ko:K17758	spnn:T308_06495
ko:K03077	spnn:T308_09625
ko:K03079	spnn:T308_09630
ko:K22441	spnn:T308_02750
ko:K22457	spnn:T308_07020
