ko:K09796	mak:LH56_12580
ko:K00942	mak:LH56_09985
ko:K03060	mak:LH56_09990
ko:K13038	mak:LH56_09995
ko:K00789	mak:LH56_10000
ko:K12343	mak:LH56_10005
ko:K02227	mak:LH56_14135
ko:K07241	mak:LH56_14140
ko:K07107	mak:LH56_14185
ko:K03386	mak:LH56_14195
ko:K00163	mak:LH56_14210
ko:K16937	mak:LH56_14220
ko:K00645	mak:LH56_14235
ko:K02078	mak:LH56_14240
ko:K11609	mak:LH56_14245
ko:K18472	mak:LH56_14250
ko:K00153	mak:LH56_14285
ko:K16905	mak:LH56_14325
ko:K16906	mak:LH56_14330
ko:K16907	mak:LH56_14335
ko:K00688	mak:LH56_14355
ko:K11731	mak:LH56_14370
ko:K08641	mak:LH56_14410
ko:K03781	mak:LH56_14415
ko:K12262	mak:LH56_14420
ko:K06994	mak:LH56_18565
ko:K01782	mak:LH56_18585
ko:K00626	mak:LH56_18590
ko:K14267	mak:LH56_18605
ko:K01796	mak:LH56_18615
ko:K00626	mak:LH56_18655
ko:K01692	mak:LH56_18660
ko:K09684	mak:LH56_18700
ko:K00252	mak:LH56_18715
ko:K07250	mak:LH56_18720
ko:K08369	mak:LH56_18765
ko:K00074	mak:LH56_18825
ko:K14347	mak:LH56_00720
ko:K05522	mak:LH56_00725
ko:K07301	mak:LH56_00745
ko:K03499	mak:LH56_00775
ko:K11105	mak:LH56_00780
ko:K07006	mak:LH56_00790
ko:K06994	mak:LH56_00835
ko:K06994	mak:LH56_00840
ko:K00038	mak:LH56_00955
ko:K04488	mak:LH56_00990
ko:K04487	mak:LH56_00995
ko:K02004	mak:LH56_01000
ko:K02003	mak:LH56_01005
ko:K02078	mak:LH56_01010
ko:K04077	mak:LH56_05545
ko:K03088	mak:LH56_05565
ko:K00088	mak:LH56_05580
ko:K00088	mak:LH56_05585
ko:K03333	mak:LH56_05590
ko:K01951	mak:LH56_05595
ko:K14161	mak:LH56_05625
ko:K09167	mak:LH56_05650
ko:K06889	mak:LH56_05670
ko:K14162	mak:LH56_05675
ko:K03216	mak:LH56_05680
ko:K07118	mak:LH56_05695
ko:K01491	mak:LH56_05720
ko:K00641	mak:LH56_05740
ko:K00031	mak:LH56_05750
ko:K01142	mak:LH56_05760
ko:K01867	mak:LH56_05765
ko:K07058	mak:LH56_05770
ko:K07258	mak:LH56_05775
ko:K03088	mak:LH56_05785
ko:K00240	mak:LH56_05795
ko:K00239	mak:LH56_05800
ko:K00242	mak:LH56_05805
ko:K00241	mak:LH56_05810
ko:K01489	mak:LH56_05815
ko:K00758	mak:LH56_05820
ko:K01488	mak:LH56_05825
ko:K01464	mak:LH56_10015
ko:K03457	mak:LH56_10025
ko:K04066	mak:LH56_10035
ko:K00604	mak:LH56_10045
ko:K03500	mak:LH56_10050
ko:K01783	mak:LH56_10055
ko:K11752	mak:LH56_10060
ko:K14954	mak:LH56_10070
ko:K02073	mak:LH56_10080
ko:K02071	mak:LH56_10085
ko:K02072	mak:LH56_10090
ko:K00793	mak:LH56_10115
ko:K14652	mak:LH56_10120
ko:K00794	mak:LH56_10125
ko:K00138	mak:LH56_10140
ko:K03735	mak:LH56_10150
ko:K03736	mak:LH56_10155
ko:K00681	mak:LH56_10160
ko:K02020	mak:LH56_10165
ko:K03703	mak:LH56_10180
ko:K06958	mak:LH56_10185
ko:K09762	mak:LH56_10195
ko:K00134	mak:LH56_10205
ko:K00927	mak:LH56_10210
ko:K01803	mak:LH56_10215
ko:K07054	mak:LH56_10225
ko:K03075	mak:LH56_10230
ko:K01057	mak:LH56_10250
ko:K00036	mak:LH56_10260
ko:K00616	mak:LH56_10265
ko:K00615	mak:LH56_10270
ko:K02259	mak:LH56_10295
ko:K01992	mak:LH56_10305
ko:K03568	mak:LH56_14485
ko:K02025	mak:LH56_14490
ko:K02026	mak:LH56_14495
ko:K02027	mak:LH56_14500
ko:K16785	mak:LH56_14515
ko:K16786	mak:LH56_14520
ko:K16787	mak:LH56_14520
ko:K06889	mak:LH56_14535
ko:K07397	mak:LH56_14535
ko:K01129	mak:LH56_14555
ko:K15372	mak:LH56_14575
ko:K01880	mak:LH56_14580
ko:K07044	mak:LH56_14585
ko:K02067	mak:LH56_14610
ko:K02066	mak:LH56_14620
ko:K02066	mak:LH56_14625
ko:K00666	mak:LH56_14630
ko:K02078	mak:LH56_14635
ko:K01992	mak:LH56_14640
ko:K01990	mak:LH56_14645
ko:K13745	mak:LH56_14665
ko:K00836	mak:LH56_14670
ko:K03584	mak:LH56_14715
ko:K01426	mak:LH56_14720
ko:K03921	mak:LH56_18850
ko:K02039	mak:LH56_18865
ko:K02036	mak:LH56_18875
ko:K02038	mak:LH56_18880
ko:K02037	mak:LH56_18885
ko:K02040	mak:LH56_18890
ko:K15520	mak:LH56_18895
ko:K01011	mak:LH56_18920
ko:K02619	mak:LH56_18965
ko:K06980	mak:LH56_18970
ko:K01933	mak:LH56_18980
ko:K00215	mak:LH56_18985
ko:K01426	mak:LH56_19000
ko:K02031	mak:LH56_19010
ko:K02032	mak:LH56_19010
ko:K02034	mak:LH56_19015
ko:K02033	mak:LH56_19020
ko:K02035	mak:LH56_19025
ko:K00764	mak:LH56_19055
ko:K07052	mak:LH56_19075
ko:K01952	mak:LH56_19085
ko:K07223	mak:LH56_19110
ko:K01952	mak:LH56_19120
ko:K01952	mak:LH56_19125
ko:K07045	mak:LH56_01020
ko:K03975	mak:LH56_01055
ko:K03088	mak:LH56_01105
ko:K01640	mak:LH56_01115
ko:K02433	mak:LH56_01150
ko:K01687	mak:LH56_01165
ko:K03307	mak:LH56_01170
ko:K00849	mak:LH56_01175
ko:K00965	mak:LH56_01180
ko:K00076	mak:LH56_01205
ko:K00666	mak:LH56_01235
ko:K00549	mak:LH56_01250
ko:K01647	mak:LH56_01270
ko:K03417	mak:LH56_01275
ko:K01720	mak:LH56_01280
ko:K00761	mak:LH56_05865
ko:K01840	mak:LH56_05870
ko:K03783	mak:LH56_05875
ko:K00382	mak:LH56_05895
ko:K00111	mak:LH56_05900
ko:K06177	mak:LH56_05905
ko:K07006	mak:LH56_05910
ko:K03724	mak:LH56_05920
ko:K00128	mak:LH56_05930
ko:K03719	mak:LH56_05940
ko:K03918	mak:LH56_05945
ko:K11263	mak:LH56_05965
ko:K02426	mak:LH56_05970
ko:K01011	mak:LH56_05975
ko:K00851	mak:LH56_06030
ko:K03299	mak:LH56_06035
ko:K01061	mak:LH56_06045
ko:K06287	mak:LH56_06055
ko:K01966	mak:LH56_06065
ko:K00666	mak:LH56_06080
ko:K15982	mak:LH56_06085
ko:K03524	mak:LH56_06090
ko:K03119	mak:LH56_06120
ko:K01589	mak:LH56_06125
ko:K01588	mak:LH56_06130
ko:K01990	mak:LH56_10310
ko:K14339	mak:LH56_10315
ko:K09014	mak:LH56_10325
ko:K09015	mak:LH56_10330
ko:K09013	mak:LH56_10335
ko:K11717	mak:LH56_10340
ko:K04488	mak:LH56_10345
ko:K00384	mak:LH56_10380
ko:K01692	mak:LH56_10390
ko:K01681	mak:LH56_10425
ko:K03924	mak:LH56_10445
ko:K07114	mak:LH56_10455
ko:K11610	mak:LH56_10460
ko:K11611	mak:LH56_10465
ko:K01772	mak:LH56_10470
ko:K01847	mak:LH56_10520
ko:K01847	mak:LH56_10525
ko:K07588	mak:LH56_10530
ko:K07182	mak:LH56_10540
ko:K01870	mak:LH56_10555
ko:K02346	mak:LH56_10565
ko:K01424	mak:LH56_10570
ko:K03101	mak:LH56_10575
ko:K06180	mak:LH56_10580
ko:K05786	mak:LH56_10585
ko:K02337	mak:LH56_10590
ko:K01754	mak:LH56_10615
ko:K07042	mak:LH56_14745
ko:K09761	mak:LH56_14755
ko:K03686	mak:LH56_14760
ko:K03705	mak:LH56_14765
ko:K00392	mak:LH56_14780
ko:K00390	mak:LH56_14785
ko:K00957	mak:LH56_14790
ko:K00956	mak:LH56_14795
ko:K02045	mak:LH56_14810
ko:K02047	mak:LH56_14815
ko:K02046	mak:LH56_14820
ko:K02048	mak:LH56_14825
ko:K00459	mak:LH56_14880
ko:K03596	mak:LH56_14885
ko:K02968	mak:LH56_14915
ko:K02340	mak:LH56_14920
ko:K02238	mak:LH56_14950
ko:K02237	mak:LH56_14955
ko:K09710	mak:LH56_14975
ko:K00969	mak:LH56_14980
ko:K07161	mak:LH56_14985
ko:K00147	mak:LH56_14995
ko:K00852	mak:LH56_15000
ko:K00931	mak:LH56_15020
ko:K07077	mak:LH56_19135
ko:K06986	mak:LH56_19140
ko:K00432	mak:LH56_19145
ko:K01354	mak:LH56_19160
ko:K01923	mak:LH56_19165
ko:K01756	mak:LH56_19175
ko:K01945	mak:LH56_19200
ko:K15268	mak:LH56_19225
ko:K02484	mak:LH56_19235
ko:K00389	mak:LH56_19255
ko:K12422	mak:LH56_19305
ko:K03924	mak:LH56_19345
ko:K04077	mak:LH56_19360
ko:K00252	mak:LH56_01320
ko:K11609	mak:LH56_01325
ko:K00128	mak:LH56_01340
ko:K02066	mak:LH56_01360
ko:K02066	mak:LH56_01365
ko:K02067	mak:LH56_01375
ko:K18481	mak:LH56_01400
ko:K09793	mak:LH56_01405
ko:K01104	mak:LH56_01410
ko:K11537	mak:LH56_01415
ko:K01692	mak:LH56_01425
ko:K07393	mak:LH56_01465
ko:K00324	mak:LH56_01475
ko:K00325	mak:LH56_01480
ko:K00666	mak:LH56_01520
ko:K02067	mak:LH56_01530
ko:K06911	mak:LH56_01560
ko:K00121	mak:LH56_01565
ko:K03744	mak:LH56_01580
ko:K07032	mak:LH56_01590
ko:K03088	mak:LH56_01600
ko:K00067	mak:LH56_06155
ko:K16870	mak:LH56_06160
ko:K00966	mak:LH56_06165
ko:K12234	mak:LH56_06180
ko:K11212	mak:LH56_06185
ko:K01840	mak:LH56_06205
ko:K01809	mak:LH56_06215
ko:K03294	mak:LH56_06225
ko:K00496	mak:LH56_06230
ko:K01251	mak:LH56_06250
ko:K00943	mak:LH56_06265
ko:K07507	mak:LH56_06270
ko:K07670	mak:LH56_06280
ko:K07654	mak:LH56_06285
ko:K00232	mak:LH56_06295
ko:K03070	mak:LH56_06330
ko:K00508	mak:LH56_06365
ko:K06949	mak:LH56_06370
ko:K00800	mak:LH56_06375
ko:K03088	mak:LH56_06390
ko:K00833	mak:LH56_10630
ko:K00652	mak:LH56_10635
ko:K01935	mak:LH56_10640
ko:K01012	mak:LH56_10650
ko:K00116	mak:LH56_10665
ko:K03517	mak:LH56_10705
ko:K00278	mak:LH56_10710
ko:K00767	mak:LH56_10715
ko:K00013	mak:LH56_10725
ko:K00817	mak:LH56_10730
ko:K01693	mak:LH56_10735
ko:K02501	mak:LH56_10740
ko:K01814	mak:LH56_10745
ko:K01817	mak:LH56_10745
ko:K01092	mak:LH56_10750
ko:K02500	mak:LH56_10755
ko:K01496	mak:LH56_10760
ko:K03564	mak:LH56_10765
ko:K02503	mak:LH56_10770
ko:K06994	mak:LH56_10775
ko:K01657	mak:LH56_10790
ko:K01609	mak:LH56_10800
ko:K01696	mak:LH56_10805
ko:K01695	mak:LH56_10810
ko:K00873	mak:LH56_10830
ko:K10805	mak:LH56_10835
ko:K16012	mak:LH56_10860
ko:K16013	mak:LH56_10865
ko:K00426	mak:LH56_10870
ko:K00425	mak:LH56_10875
ko:K01999	mak:LH56_10900
ko:K03979	mak:LH56_15025
ko:K02899	mak:LH56_15030
ko:K02888	mak:LH56_15035
ko:K00940	mak:LH56_15045
ko:K11754	mak:LH56_15055
ko:K01873	mak:LH56_15060
ko:K03752	mak:LH56_15085
ko:K00175	mak:LH56_15100
ko:K00174	mak:LH56_15105
ko:K02379	mak:LH56_15115
ko:K03544	mak:LH56_15160
ko:K01358	mak:LH56_15165
ko:K01358	mak:LH56_15170
ko:K03545	mak:LH56_15175
ko:K05522	mak:LH56_15210
ko:K01808	mak:LH56_15215
ko:K01256	mak:LH56_15230
ko:K06886	mak:LH56_15255
ko:K01187	mak:LH56_15260
ko:K06911	mak:LH56_15265
ko:K07107	mak:LH56_15275
ko:K15371	mak:LH56_15280
ko:K02351	mak:LH56_15300
ko:K07245	mak:LH56_15300
ko:K03750	mak:LH56_19420
ko:K01613	mak:LH56_19425
ko:K17103	mak:LH56_19430
ko:K13525	mak:LH56_19435
ko:K05565	mak:LH56_19440
ko:K05567	mak:LH56_19445
ko:K05568	mak:LH56_19450
ko:K05569	mak:LH56_19455
ko:K05570	mak:LH56_19460
ko:K05571	mak:LH56_19465
ko:K01666	mak:LH56_19485
ko:K04073	mak:LH56_19490
ko:K02554	mak:LH56_19495
ko:K16051	mak:LH56_19500
ko:K00626	mak:LH56_19555
ko:K15981	mak:LH56_19560
ko:K01692	mak:LH56_19585
ko:K00626	mak:LH56_19615
ko:K00059	mak:LH56_19625
ko:K06188	mak:LH56_19670
ko:K10536	mak:LH56_19675
ko:K01455	mak:LH56_19680
ko:K16049	mak:LH56_19690
ko:K16047	mak:LH56_19695
ko:K15983	mak:LH56_19700
ko:K01687	mak:LH56_01640
ko:K01969	mak:LH56_01665
ko:K11263	mak:LH56_01670
ko:K07386	mak:LH56_01685
ko:K06929	mak:LH56_01700
ko:K02066	mak:LH56_01775
ko:K02066	mak:LH56_01780
ko:K02067	mak:LH56_01790
ko:K06860	mak:LH56_01830
ko:K03439	mak:LH56_01835
ko:K01596	mak:LH56_01855
ko:K02361	mak:LH56_06430
ko:K02575	mak:LH56_06490
ko:K00362	mak:LH56_06495
ko:K00363	mak:LH56_06500
ko:K01719	mak:LH56_06505
ko:K03657	mak:LH56_06530
ko:K10716	mak:LH56_06535
ko:K03426	mak:LH56_06540
ko:K03657	mak:LH56_06550
ko:K07177	mak:LH56_06600
ko:K09118	mak:LH56_06605
ko:K03696	mak:LH56_06645
ko:K05602	mak:LH56_06680
ko:K00528	mak:LH56_06695
ko:K01997	mak:LH56_10905
ko:K01998	mak:LH56_10910
ko:K01995	mak:LH56_10915
ko:K01996	mak:LH56_10920
ko:K02274	mak:LH56_10940
ko:K08174	mak:LH56_10965
ko:K18654	mak:LH56_10975
ko:K18653	mak:LH56_10980
ko:K00666	mak:LH56_10985
ko:K03294	mak:LH56_11030
ko:K09771	mak:LH56_11035
ko:K06720	mak:LH56_11085
ko:K08982	mak:LH56_11125
ko:K13953	mak:LH56_11180
ko:K01673	mak:LH56_11200
ko:K06959	mak:LH56_15335
ko:K00957	mak:LH56_15365
ko:K00955	mak:LH56_15370
ko:K11103	mak:LH56_15390
ko:K06902	mak:LH56_15400
ko:K07124	mak:LH56_15405
ko:K06915	mak:LH56_15420
ko:K13288	mak:LH56_15425
ko:K06221	mak:LH56_15455
ko:K06994	mak:LH56_15495
ko:K03564	mak:LH56_15520
ko:K00997	mak:LH56_15530
ko:K11533	mak:LH56_15535
ko:K11082	mak:LH56_15570
ko:K11083	mak:LH56_15575
ko:K11084	mak:LH56_15580
ko:K11081	mak:LH56_15585
ko:K03710	mak:LH56_15605
ko:K02077	mak:LH56_19725
ko:K02074	mak:LH56_19730
ko:K02075	mak:LH56_19735
ko:K07160	mak:LH56_19740
ko:K01126	mak:LH56_19745
ko:K03218	mak:LH56_19750
ko:K01883	mak:LH56_19755
ko:K01770	mak:LH56_19760
ko:K00991	mak:LH56_19765
ko:K07736	mak:LH56_19770
ko:K04485	mak:LH56_19790
ko:K07067	mak:LH56_19800
ko:K01673	mak:LH56_19815
ko:K03575	mak:LH56_19825
ko:K01114	mak:LH56_19840
ko:K02015	mak:LH56_19870
ko:K02013	mak:LH56_19875
ko:K02016	mak:LH56_19880
ko:K03696	mak:LH56_19885
ko:K04567	mak:LH56_19895
ko:K03525	mak:LH56_19900
ko:K01579	mak:LH56_19905
ko:K01918	mak:LH56_19910
ko:K00950	mak:LH56_19930
ko:K01633	mak:LH56_19935
ko:K00796	mak:LH56_19940
ko:K01495	mak:LH56_19945
ko:K03798	mak:LH56_19950
ko:K14733	mak:LH56_19980
ko:K16648	mak:LH56_01975
ko:K03088	mak:LH56_02045
ko:K01207	mak:LH56_02050
ko:K07044	mak:LH56_02085
ko:K03321	mak:LH56_02100
ko:K02048	mak:LH56_02105
ko:K00059	mak:LH56_02120
ko:K00626	mak:LH56_02125
ko:K14225	mak:LH56_02555
ko:K00240	mak:LH56_02220
ko:K02836	mak:LH56_06715
ko:K09812	mak:LH56_06730
ko:K09811	mak:LH56_06735
ko:K03664	mak:LH56_06740
ko:K00135	mak:LH56_06750
ko:K01652	mak:LH56_06755
ko:K13993	mak:LH56_06770
ko:K03929	mak:LH56_06840
ko:K03929	mak:LH56_06845
ko:K01835	mak:LH56_06855
ko:K12410	mak:LH56_06910
ko:K10974	mak:LH56_06945
ko:K03088	mak:LH56_06965
ko:K01916	mak:LH56_07010
ko:K06048	mak:LH56_11225
ko:K03921	mak:LH56_11270
ko:K12251	mak:LH56_11285
ko:K10536	mak:LH56_11290
ko:K16234	mak:LH56_11300
ko:K03781	mak:LH56_11320
ko:K02039	mak:LH56_11345
ko:K03090	mak:LH56_11415
ko:K00380	mak:LH56_11515
ko:K00265	mak:LH56_11550
ko:K00666	mak:LH56_15650
ko:K02428	mak:LH56_15675
ko:K00989	mak:LH56_15680
ko:K01776	mak:LH56_15690
ko:K06891	mak:LH56_15725
ko:K00763	mak:LH56_15730
ko:K08281	mak:LH56_15740
ko:K00688	mak:LH56_15755
ko:K16147	mak:LH56_15760
ko:K00700	mak:LH56_15765
ko:K05838	mak:LH56_15775
ko:K00626	mak:LH56_15785
ko:K05606	mak:LH56_15790
ko:K07503	mak:LH56_15800
ko:K00790	mak:LH56_15830
ko:K02114	mak:LH56_15845
ko:K02112	mak:LH56_15850
ko:K02115	mak:LH56_15855
ko:K02111	mak:LH56_15860
ko:K02109	mak:LH56_15870
ko:K02110	mak:LH56_15875
ko:K02108	mak:LH56_15880
ko:K09807	mak:LH56_19990
ko:K09807	mak:LH56_19995
ko:K00760	mak:LH56_20000
ko:K04075	mak:LH56_20010
ko:K07259	mak:LH56_20020
ko:K01507	mak:LH56_20025
ko:K05794	mak:LH56_20060
ko:K09153	mak:LH56_20090
ko:K01784	mak:LH56_20095
ko:K06978	mak:LH56_20105
ko:K02341	mak:LH56_20210
ko:K03168	mak:LH56_20220
ko:K03704	mak:LH56_20230
ko:K06877	mak:LH56_20235
ko:K07044	mak:LH56_20260
ko:K06994	mak:LH56_20265
ko:K12510	mak:LH56_20300
ko:K02283	mak:LH56_20305
ko:K00239	mak:LH56_02225
ko:K07246	mak:LH56_02240
ko:K00135	mak:LH56_02245
ko:K00823	mak:LH56_02250
ko:K02433	mak:LH56_02260
ko:K01799	mak:LH56_02270
ko:K04761	mak:LH56_02290
ko:K03386	mak:LH56_02295
ko:K04756	mak:LH56_02300
ko:K03921	mak:LH56_02315
ko:K09125	mak:LH56_02360
ko:K02016	mak:LH56_02370
ko:K00055	mak:LH56_02380
ko:K06895	mak:LH56_02390
ko:K05596	mak:LH56_02395
ko:K01644	mak:LH56_02410
ko:K00666	mak:LH56_02415
ko:K01907	mak:LH56_02420
ko:K00666	mak:LH56_02435
ko:K03647	mak:LH56_07035
ko:K13979	mak:LH56_07110
ko:K11939	mak:LH56_07130
ko:K02016	mak:LH56_07160
ko:K02274	mak:LH56_07165
ko:K01079	mak:LH56_07170
ko:K02013	mak:LH56_07190
ko:K01692	mak:LH56_07200
ko:K07044	mak:LH56_07240
ko:K07044	mak:LH56_07245
ko:K12421	mak:LH56_07275
ko:K16150	mak:LH56_07280
ko:K16149	mak:LH56_07285
ko:K03521	mak:LH56_07295
ko:K03522	mak:LH56_07300
ko:K00380	mak:LH56_11555
ko:K07225	mak:LH56_11560
ko:K03782	mak:LH56_11630
ko:K03891	mak:LH56_11645
ko:K02050	mak:LH56_11665
ko:K02051	mak:LH56_11670
ko:K02045	mak:LH56_11675
ko:K06153	mak:LH56_11730
ko:K06911	mak:LH56_11750
ko:K03742	mak:LH56_11765
ko:K06199	mak:LH56_11780
ko:K06199	mak:LH56_11785
ko:K02017	mak:LH56_11805
ko:K02018	mak:LH56_11810
ko:K02020	mak:LH56_11815
ko:K03885	mak:LH56_11835
ko:K03190	mak:LH56_11840
ko:K02851	mak:LH56_15890
ko:K02493	mak:LH56_15900
ko:K02835	mak:LH56_15905
ko:K02909	mak:LH56_15910
ko:K03628	mak:LH56_15935
ko:K00872	mak:LH56_15940
ko:K01733	mak:LH56_15945
ko:K00003	mak:LH56_15950
ko:K01586	mak:LH56_15955
ko:K01887	mak:LH56_15960
ko:K08296	mak:LH56_16040
ko:K06147	mak:LH56_16060
ko:K06147	mak:LH56_16065
ko:K00104	mak:LH56_16100
ko:K05592	mak:LH56_16120
ko:K07552	mak:LH56_16160
ko:K01616	mak:LH56_16170
ko:K02283	mak:LH56_20320
ko:K02031	mak:LH56_20340
ko:K02032	mak:LH56_20340
ko:K15582	mak:LH56_20345
ko:K15581	mak:LH56_20350
ko:K15580	mak:LH56_20355
ko:K01895	mak:LH56_20360
ko:K10773	mak:LH56_20395
ko:K01738	mak:LH56_20455
ko:K03583	mak:LH56_20495
ko:K03582	mak:LH56_20500
ko:K03581	mak:LH56_20505
ko:K03924	mak:LH56_20545
ko:K00864	mak:LH56_20585
ko:K02440	mak:LH56_20590
ko:K00135	mak:LH56_02525
ko:K08372	mak:LH56_02575
ko:K09956	mak:LH56_02580
ko:K01130	mak:LH56_02585
ko:K07407	mak:LH56_02600
ko:K01494	mak:LH56_02630
ko:K00012	mak:LH56_02640
ko:K14260	mak:LH56_02645
ko:K15977	mak:LH56_02670
ko:K04043	mak:LH56_02760
ko:K03687	mak:LH56_02765
ko:K03686	mak:LH56_02770
ko:K13640	mak:LH56_02775
ko:K03695	mak:LH56_02805
ko:K06994	mak:LH56_02815
ko:K07124	mak:LH56_02825
ko:K04487	mak:LH56_07325
ko:K00566	mak:LH56_07330
ko:K03921	mak:LH56_07340
ko:K06901	mak:LH56_07345
ko:K04719	mak:LH56_07355
ko:K01692	mak:LH56_07360
ko:K01972	mak:LH56_07385
ko:K02435	mak:LH56_07400
ko:K02433	mak:LH56_07405
ko:K03929	mak:LH56_07435
ko:K02434	mak:LH56_07445
ko:K15977	mak:LH56_07455
ko:K00480	mak:LH56_07465
ko:K03718	mak:LH56_07480
ko:K01652	mak:LH56_07500
ko:K01653	mak:LH56_07505
ko:K00053	mak:LH56_07510
ko:K00058	mak:LH56_07565
ko:K00052	mak:LH56_07570
ko:K01885	mak:LH56_07600
ko:K03189	mak:LH56_11845
ko:K03188	mak:LH56_11850
ko:K01428	mak:LH56_11855
ko:K01429	mak:LH56_11860
ko:K01430	mak:LH56_11865
ko:K00033	mak:LH56_11915
ko:K01638	mak:LH56_11935
ko:K00281	mak:LH56_11945
ko:K08999	mak:LH56_11955
ko:K02437	mak:LH56_11970
ko:K03070	mak:LH56_11995
ko:K03977	mak:LH56_12085
ko:K00945	mak:LH56_12090
ko:K06178	mak:LH56_12095
ko:K06024	mak:LH56_12100
ko:K05896	mak:LH56_12105
ko:K04763	mak:LH56_12115
ko:K01515	mak:LH56_12120
ko:K01937	mak:LH56_12125
ko:K00027	mak:LH56_16215
ko:K05595	mak:LH56_16220
ko:K03284	mak:LH56_16225
ko:K10112	mak:LH56_16240
ko:K02026	mak:LH56_16245
ko:K02025	mak:LH56_16250
ko:K02027	mak:LH56_16255
ko:K01644	mak:LH56_16270
ko:K03593	mak:LH56_16285
ko:K03117	mak:LH56_16290
ko:K03088	mak:LH56_16305
ko:K01990	mak:LH56_16320
ko:K01992	mak:LH56_16325
ko:K00975	mak:LH56_16335
ko:K16148	mak:LH56_16340
ko:K01246	mak:LH56_16350
ko:K13693	mak:LH56_16365
ko:K00796	mak:LH56_16370
ko:K00666	mak:LH56_16385
ko:K06966	mak:LH56_16390
ko:K06966	mak:LH56_16395
ko:K08223	mak:LH56_16405
ko:K01439	mak:LH56_16415
ko:K00674	mak:LH56_16420
ko:K12429	mak:LH56_16435
ko:K00318	mak:LH56_16440
ko:K00294	mak:LH56_16445
ko:K07008	mak:LH56_20640
ko:K01919	mak:LH56_20650
ko:K00820	mak:LH56_20680
ko:K01443	mak:LH56_20685
ko:K00847	mak:LH56_20700
ko:K03320	mak:LH56_20715
ko:K03781	mak:LH56_20740
ko:K09922	mak:LH56_20745
ko:K00133	mak:LH56_20775
ko:K00928	mak:LH56_20780
ko:K01649	mak:LH56_20805
ko:K02909	mak:LH56_20810
ko:K02902	mak:LH56_20820
ko:K02913	mak:LH56_20825
ko:K02954	mak:LH56_20830
ko:K02963	mak:LH56_20835
ko:K02342	mak:LH56_20845
ko:K07009	mak:LH56_20875
ko:K06187	mak:LH56_20880
ko:K09747	mak:LH56_20885
ko:K01448	mak:LH56_20890
ko:K00762	mak:LH56_02830
ko:K07107	mak:LH56_02850
ko:K03975	mak:LH56_02855
ko:K01624	mak:LH56_02860
ko:K01939	mak:LH56_02885
ko:K03088	mak:LH56_02900
ko:K00574	mak:LH56_02910
ko:K09701	mak:LH56_02915
ko:K00574	mak:LH56_02925
ko:K07071	mak:LH56_02935
ko:K01980	mak:LH56_15820
ko:K18687	mak:LH56_19635
ko:K14333	mak:LH56_06255
ko:K14237	mak:LH56_14190
ko:K14229	mak:LH56_15445
ko:K02493	mak:LH56_11420
ko:K18851	mak:LH56_21475
ko:K18851	mak:LH56_15190
ko:K01990	mak:LH56_21335
ko:K01992	mak:LH56_21345
ko:K21672	mak:LH56_01200
ko:K14234	mak:LH56_04680
ko:K14224	mak:LH56_18755
ko:K14229	mak:LH56_18760
ko:K14234	mak:LH56_19250
ko:K14236	mak:LH56_04615
ko:K14235	mak:LH56_04710
ko:K14218	mak:LH56_06865
ko:K14223	mak:LH56_07605
ko:K14224	mak:LH56_07610
ko:K14224	mak:LH56_07620
ko:K14237	mak:LH56_09450
ko:K14237	mak:LH56_09470
ko:K14219	mak:LH56_15305
ko:K14228	mak:LH56_22140
ko:K14227	mak:LH56_22245
ko:K18917	mak:LH56_06545
ko:K14230	mak:LH56_04685
ko:K14228	mak:LH56_10890
ko:K14232	mak:LH56_12070
ko:K14222	mak:LH56_12310
ko:K14228	mak:LH56_13415
ko:K14219	mak:LH56_15965
ko:K14228	mak:LH56_17215
ko:K14223	mak:LH56_17350
ko:K14218	mak:LH56_17560
ko:K14219	mak:LH56_17890
ko:K14231	mak:LH56_18745
ko:K14221	mak:LH56_18750
ko:K14234	mak:LH56_20205
ko:K14232	mak:LH56_20460
ko:K14233	mak:LH56_21050
ko:K14233	mak:LH56_21115
ko:K14233	mak:LH56_21245
ko:K14233	mak:LH56_21305
ko:K18955	mak:LH56_20440
ko:K18955	mak:LH56_05555
ko:K18913	mak:LH56_20630
ko:K14230	mak:LH56_14460
ko:K14220	mak:LH56_14540
ko:K14232	mak:LH56_15180
ko:K14226	mak:LH56_15430
ko:K14228	mak:LH56_15655
ko:K01985	mak:LH56_15815
ko:K18939	mak:LH56_04550
ko:K15733	mak:LH56_12585
ko:K18955	mak:LH56_06410
ko:K14222	mak:LH56_09475
ko:K14225	mak:LH56_09480
ko:K14237	mak:LH56_09485
ko:K18851	mak:LH56_21470
ko:K18851	mak:LH56_21480
ko:K01971	mak:LH56_17820
ko:K18911	mak:LH56_20635
ko:K18912	mak:LH56_20645
ko:K03496	mak:LH56_00035
ko:K03497	mak:LH56_00040
ko:K03822	mak:LH56_12205
ko:K00335	mak:LH56_13225
ko:K03976	mak:LH56_06385
ko:K00336	mak:LH56_13220
ko:K05898	mak:LH56_19505
ko:K01436	mak:LH56_05885
ko:K13572	mak:LH56_12985
ko:K02483	mak:LH56_19240
ko:K00249	mak:LH56_00230
ko:K00020	mak:LH56_17140
ko:K16048	mak:LH56_19685
ko:K00344	mak:LH56_01350
ko:K00344	mak:LH56_10280
ko:K08095	mak:LH56_05385
ko:K08095	mak:LH56_05370
