ko:K19744	paeb:NCGM1900_1111
ko:K03424	paeb:NCGM1900_2719
ko:K03435	paeb:NCGM1900_2720
ko:K02768	paeb:NCGM1900_2721
ko:K08483	paeb:NCGM1900_2721
ko:K11183	paeb:NCGM1900_2721
ko:K00882	paeb:NCGM1900_2722
ko:K02769	paeb:NCGM1900_2723
ko:K02770	paeb:NCGM1900_2723
ko:K00012	paeb:NCGM1900_2724
ko:K12963	paeb:NCGM1900_2725
ko:K12962	paeb:NCGM1900_2726
ko:K07264	paeb:NCGM1900_2727
ko:K13014	paeb:NCGM1900_2728
ko:K10011	paeb:NCGM1900_2729
ko:K10012	paeb:NCGM1900_2730
ko:K07806	paeb:NCGM1900_2731
ko:K16011	paeb:NCGM1900_2732
ko:K01729	paeb:NCGM1900_2737
ko:K16081	paeb:NCGM1900_2740
ko:K03169	paeb:NCGM1900_3575
ko:K03111	paeb:NCGM1900_3576
ko:K12055	paeb:NCGM1900_3584
ko:K00156	paeb:NCGM1900_4380
ko:K03088	paeb:NCGM1900_4388
ko:K02014	paeb:NCGM1900_4392
ko:K01561	paeb:NCGM1900_4395
ko:K01953	paeb:NCGM1900_4397
ko:K07130	paeb:NCGM1900_4400
ko:K01556	paeb:NCGM1900_4401
ko:K02355	paeb:NCGM1900_4412
ko:K02014	paeb:NCGM1900_4413
ko:K00612	paeb:NCGM1900_4415
ko:K05820	paeb:NCGM1900_4416
ko:K07233	paeb:NCGM1900_4420
ko:K04487	paeb:NCGM1900_4422
ko:K13896	paeb:NCGM1900_4423
ko:K13895	paeb:NCGM1900_4424
ko:K13894	paeb:NCGM1900_4425
ko:K13893	paeb:NCGM1900_4426
ko:K01673	paeb:NCGM1900_4430
ko:K04750	paeb:NCGM1900_5218
ko:K03088	paeb:NCGM1900_5220
ko:K10001	paeb:NCGM1900_5229
ko:K10003	paeb:NCGM1900_5230
ko:K10002	paeb:NCGM1900_5231
ko:K10004	paeb:NCGM1900_5232
ko:K00681	paeb:NCGM1900_5233
ko:K05597	paeb:NCGM1900_5234
ko:K17060	paeb:NCGM1900_5235
ko:K17061	paeb:NCGM1900_5236
ko:K10680	paeb:NCGM1900_5238
ko:K01173	paeb:NCGM1900_5245
ko:K01754	paeb:NCGM1900_5246
ko:K16090	paeb:NCGM1900_5250
ko:K02300	paeb:NCGM1900_5252
ko:K02299	paeb:NCGM1900_5253
ko:K02298	paeb:NCGM1900_5254
ko:K02297	paeb:NCGM1900_5255
ko:K05306	paeb:NCGM1900_5262
ko:K03430	paeb:NCGM1900_5263
ko:K05834	paeb:NCGM1900_6047
ko:K06158	paeb:NCGM1900_6050
ko:K03773	paeb:NCGM1900_6053
ko:K07740	paeb:NCGM1900_6054
ko:K03611	paeb:NCGM1900_6055
ko:K02498	paeb:NCGM1900_6056
ko:K02496	paeb:NCGM1900_6057
ko:K01719	paeb:NCGM1900_6058
ko:K01749	paeb:NCGM1900_6059
ko:K08083	paeb:NCGM1900_6060
ko:K08082	paeb:NCGM1900_6061
ko:K01755	paeb:NCGM1900_6062
ko:K11904	paeb:NCGM1900_6065
ko:K11903	paeb:NCGM1900_6066
ko:K03284	paeb:NCGM1900_6067
ko:K02030	paeb:NCGM1900_6069
ko:K05851	paeb:NCGM1900_6071
ko:K06140	paeb:NCGM1900_6073
ko:K06202	paeb:NCGM1900_6075
ko:K01586	paeb:NCGM1900_6077
ko:K01778	paeb:NCGM1900_6078
ko:K09921	paeb:NCGM1900_6079
ko:K03733	paeb:NCGM1900_6080
ko:K03320	paeb:NCGM1900_6088
ko:K04752	paeb:NCGM1900_6089
ko:K09806	paeb:NCGM1900_6090
ko:K07391	paeb:NCGM1900_6091
ko:K06920	paeb:NCGM1900_6098
ko:K11103	paeb:NCGM1900_0111
ko:K06193	paeb:NCGM1900_0119
ko:K11735	paeb:NCGM1900_0120
ko:K00140	paeb:NCGM1900_0121
ko:K00822	paeb:NCGM1900_0122
ko:K01487	paeb:NCGM1900_0124
ko:K02056	paeb:NCGM1900_0126
ko:K02057	paeb:NCGM1900_0127
ko:K02057	paeb:NCGM1900_0128
ko:K03386	paeb:NCGM1900_0129
ko:K03387	paeb:NCGM1900_0130
ko:K18456	paeb:NCGM1900_0132
ko:K01239	paeb:NCGM1900_0133
ko:K05517	paeb:NCGM1900_0134
ko:K02058	paeb:NCGM1900_0138
ko:K03088	paeb:NCGM1900_0141
ko:K02014	paeb:NCGM1900_0143
ko:K02623	paeb:NCGM1900_0144
ko:K00449	paeb:NCGM1900_0145
ko:K00448	paeb:NCGM1900_0146
ko:K02624	paeb:NCGM1900_0148
ko:K00681	paeb:NCGM1900_0157
ko:K16345	paeb:NCGM1900_0159
ko:K05515	paeb:NCGM1900_0960
ko:K05837	paeb:NCGM1900_0961
ko:K08305	paeb:NCGM1900_0962
ko:K03642	paeb:NCGM1900_0963
ko:K07258	paeb:NCGM1900_0964
ko:K09158	paeb:NCGM1900_0965
ko:K03801	paeb:NCGM1900_0966
ko:K03644	paeb:NCGM1900_0967
ko:K09890	paeb:NCGM1900_0972
ko:K02340	paeb:NCGM1900_0973
ko:K03643	paeb:NCGM1900_0974
ko:K01869	paeb:NCGM1900_0975
ko:K03820	paeb:NCGM1900_0979
ko:K06189	paeb:NCGM1900_0980
ko:K07042	paeb:NCGM1900_0981
ko:K06168	paeb:NCGM1900_0983
ko:K07126	paeb:NCGM1900_0985
ko:K01845	paeb:NCGM1900_0986
ko:K00788	paeb:NCGM1900_0987
ko:K00941	paeb:NCGM1900_0988
ko:K09456	paeb:NCGM1900_0991
ko:K01241	paeb:NCGM1900_0993
ko:K06181	paeb:NCGM1900_0997
ko:K03719	paeb:NCGM1900_1000
ko:K03579	paeb:NCGM1900_1004
ko:K17228	paeb:NCGM1900_1011
ko:K09945	paeb:NCGM1900_1013
ko:K06894	paeb:NCGM1900_2321
ko:K09934	paeb:NCGM1900_2322
ko:K15012	paeb:NCGM1900_2325
ko:K15011	paeb:NCGM1900_2326
ko:K12368	paeb:NCGM1900_2328
ko:K12368	paeb:NCGM1900_2329
ko:K12368	paeb:NCGM1900_2332
ko:K12368	paeb:NCGM1900_2335
ko:K12369	paeb:NCGM1900_2336
ko:K12370	paeb:NCGM1900_2337
ko:K12371	paeb:NCGM1900_2338
ko:K12372	paeb:NCGM1900_2339
ko:K03719	paeb:NCGM1900_2341
ko:K07160	paeb:NCGM1900_2344
ko:K00380	paeb:NCGM1900_2346
ko:K16090	paeb:NCGM1900_2347
ko:K07126	paeb:NCGM1900_2349
ko:K07032	paeb:NCGM1900_2351
ko:K01581	paeb:NCGM1900_2352
ko:K03406	paeb:NCGM1900_2354
ko:K03807	paeb:NCGM1900_2355
ko:K03806	paeb:NCGM1900_2356
ko:K00767	paeb:NCGM1900_2359
ko:K02652	paeb:NCGM1900_2361
ko:K02653	paeb:NCGM1900_2362
ko:K02654	paeb:NCGM1900_2363
ko:K00859	paeb:NCGM1900_2364
ko:K09862	paeb:NCGM1900_2365
ko:K01625	paeb:NCGM1900_3168
ko:K07107	paeb:NCGM1900_3169
ko:K05541	paeb:NCGM1900_3170
ko:K04080	paeb:NCGM1900_3173
ko:K01703	paeb:NCGM1900_3178
ko:K01704	paeb:NCGM1900_3179
ko:K00052	paeb:NCGM1900_3181
ko:K00133	paeb:NCGM1900_3182
ko:K08086	paeb:NCGM1900_3184
ko:K06173	paeb:NCGM1900_3185
ko:K01817	paeb:NCGM1900_3186
ko:K01963	paeb:NCGM1900_3187
ko:K11754	paeb:NCGM1900_3188
ko:K03749	paeb:NCGM1900_3189
ko:K03558	paeb:NCGM1900_3190
ko:K00764	paeb:NCGM1900_3191
ko:K10764	paeb:NCGM1900_3192
ko:K02453	paeb:NCGM1900_3194
ko:K02452	paeb:NCGM1900_3195
ko:K02454	paeb:NCGM1900_3196
ko:K02455	paeb:NCGM1900_3197
ko:K02456	paeb:NCGM1900_3198
ko:K02457	paeb:NCGM1900_3199
ko:K02458	paeb:NCGM1900_3200
ko:K02459	paeb:NCGM1900_3201
ko:K02460	paeb:NCGM1900_3202
ko:K02461	paeb:NCGM1900_3203
ko:K02462	paeb:NCGM1900_3204
ko:K00219	paeb:NCGM1900_3210
ko:K09977	paeb:NCGM1900_3213
ko:K00858	paeb:NCGM1900_3214
ko:K02441	paeb:NCGM1900_3216
ko:K05549	paeb:NCGM1900_4009
ko:K05550	paeb:NCGM1900_4010
ko:K05784	paeb:NCGM1900_4011
ko:K05783	paeb:NCGM1900_4012
ko:K11311	paeb:NCGM1900_4013
ko:K05600	paeb:NCGM1900_4014
ko:K05599	paeb:NCGM1900_4015
ko:K01856	paeb:NCGM1900_4020
ko:K03464	paeb:NCGM1900_4021
ko:K03381	paeb:NCGM1900_4022
ko:K03449	paeb:NCGM1900_4029
ko:K18299	paeb:NCGM1900_4035
ko:K18298	paeb:NCGM1900_4036
ko:K18297	paeb:NCGM1900_4037
ko:K04084	paeb:NCGM1900_4052
ko:K03805	paeb:NCGM1900_4054
ko:K08195	paeb:NCGM1900_4058
ko:K16165	paeb:NCGM1900_4059
ko:K00450	paeb:NCGM1900_4060
ko:K03230	paeb:NCGM1900_4863
ko:K04060	paeb:NCGM1900_4864
ko:K04059	paeb:NCGM1900_4865
ko:K04058	paeb:NCGM1900_4868
ko:K03224	paeb:NCGM1900_4869
ko:K04056	paeb:NCGM1900_4870
ko:K03225	paeb:NCGM1900_4872
ko:K03226	paeb:NCGM1900_4873
ko:K03227	paeb:NCGM1900_4874
ko:K03228	paeb:NCGM1900_4875
ko:K03229	paeb:NCGM1900_4876
ko:K00797	paeb:NCGM1900_4879
ko:K01247	paeb:NCGM1900_4880
ko:K09880	paeb:NCGM1900_4882
ko:K08967	paeb:NCGM1900_4883
ko:K08964	paeb:NCGM1900_4884
ko:K05820	paeb:NCGM1900_4885
ko:K01736	paeb:NCGM1900_4886
ko:K06889	paeb:NCGM1900_4887
ko:K07320	paeb:NCGM1900_4889
ko:K01495	paeb:NCGM1900_4893
ko:K06996	paeb:NCGM1900_4895
ko:K11916	paeb:NCGM1900_4896
ko:K11915	paeb:NCGM1900_4897
ko:K11891	paeb:NCGM1900_4898
ko:K11892	paeb:NCGM1900_4899
ko:K11893	paeb:NCGM1900_4900
ko:K11906	paeb:NCGM1900_4901
ko:K02502	paeb:NCGM1900_5685
ko:K09937	paeb:NCGM1900_5686
ko:K04087	paeb:NCGM1900_5687
ko:K04088	paeb:NCGM1900_5688
ko:K03665	paeb:NCGM1900_5689
ko:K03666	paeb:NCGM1900_5690
ko:K00791	paeb:NCGM1900_5691
ko:K03572	paeb:NCGM1900_5692
ko:K01448	paeb:NCGM1900_5693
ko:K06925	paeb:NCGM1900_5694
ko:K17758	paeb:NCGM1900_5695
ko:K17759	paeb:NCGM1900_5695
ko:K18979	paeb:NCGM1900_5696
ko:K13288	paeb:NCGM1900_5697
ko:K06949	paeb:NCGM1900_5698
ko:K02557	paeb:NCGM1900_5699
ko:K02556	paeb:NCGM1900_5700
ko:K01011	paeb:NCGM1900_5702
ko:K01613	paeb:NCGM1900_5703
ko:K01079	paeb:NCGM1900_5707
ko:K07038	paeb:NCGM1900_5709
ko:K09857	paeb:NCGM1900_5710
ko:K02621	paeb:NCGM1900_5711
ko:K06985	paeb:NCGM1900_5712
ko:K02622	paeb:NCGM1900_5714
ko:K07000	paeb:NCGM1900_5715
ko:K03651	paeb:NCGM1900_5716
ko:K09920	paeb:NCGM1900_5717
ko:K01515	paeb:NCGM1900_5718
ko:K03147	paeb:NCGM1900_5720
ko:K12340	paeb:NCGM1900_5722
ko:K00355	paeb:NCGM1900_5723
ko:K12252	paeb:NCGM1900_5724
ko:K15866	paeb:NCGM1900_5728
ko:K02205	paeb:NCGM1900_5730
ko:K02030	paeb:NCGM1900_5732
ko:K02055	paeb:NCGM1900_5735
ko:K07263	paeb:NCGM1900_0376
ko:K07263	paeb:NCGM1900_0377
ko:K03110	paeb:NCGM1900_0378
ko:K09812	paeb:NCGM1900_0379
ko:K09811	paeb:NCGM1900_0380
ko:K03089	paeb:NCGM1900_0381
ko:K03814	paeb:NCGM1900_0383
ko:K03154	paeb:NCGM1900_0385
ko:K03149	paeb:NCGM1900_0386
ko:K03439	paeb:NCGM1900_0387
ko:K02428	paeb:NCGM1900_0392
ko:K00641	paeb:NCGM1900_0395
ko:K09131	paeb:NCGM1900_0397
ko:K02221	paeb:NCGM1900_0399
ko:K00286	paeb:NCGM1900_0400
ko:K06997	paeb:NCGM1900_0401
ko:K02669	paeb:NCGM1900_0402
ko:K02670	paeb:NCGM1900_0403
ko:K16264	paeb:NCGM1900_0404
ko:K01697	paeb:NCGM1900_0406
ko:K01758	paeb:NCGM1900_0407
ko:K01465	paeb:NCGM1900_0408
ko:K00609	paeb:NCGM1900_0409
ko:K02825	paeb:NCGM1900_0410
ko:K07447	paeb:NCGM1900_0411
ko:K07735	paeb:NCGM1900_0412
ko:K03832	paeb:NCGM1900_0413
ko:K01920	paeb:NCGM1900_0414
ko:K02657	paeb:NCGM1900_0415
ko:K02658	paeb:NCGM1900_0416
ko:K02659	paeb:NCGM1900_0417
ko:K02660	paeb:NCGM1900_0418
ko:K02661	paeb:NCGM1900_0419
ko:K02487	paeb:NCGM1900_0420
ko:K06596	paeb:NCGM1900_0420
ko:K06597	paeb:NCGM1900_0421
ko:K06598	paeb:NCGM1900_0422
ko:K09761	paeb:NCGM1900_0426
ko:K00833	paeb:NCGM1900_0427
ko:K03710	paeb:NCGM1900_1225
ko:K06938	paeb:NCGM1900_1230
ko:K08289	paeb:NCGM1900_1231
ko:K03106	paeb:NCGM1900_1238
ko:K02959	paeb:NCGM1900_1239
ko:K02860	paeb:NCGM1900_1240
ko:K00554	paeb:NCGM1900_1241
ko:K02884	paeb:NCGM1900_1242
ko:K04763	paeb:NCGM1900_1246
ko:K03981	paeb:NCGM1900_1247
ko:K00003	paeb:NCGM1900_1249
ko:K01733	paeb:NCGM1900_1250
ko:K09980	paeb:NCGM1900_1254
ko:K06920	paeb:NCGM1900_1739
ko:K10026	paeb:NCGM1900_1740
ko:K03640	paeb:NCGM1900_1742
ko:K03641	paeb:NCGM1900_1743
ko:K03646	paeb:NCGM1900_1744
ko:K03560	paeb:NCGM1900_1745
ko:K03562	paeb:NCGM1900_1746
ko:K01075	paeb:NCGM1900_1747
ko:K03551	paeb:NCGM1900_1748
ko:K03550	paeb:NCGM1900_1749
ko:K01159	paeb:NCGM1900_1750
ko:K01876	paeb:NCGM1900_1752
ko:K04047	paeb:NCGM1900_1753
ko:K03704	paeb:NCGM1900_1754
ko:K03745	paeb:NCGM1900_1755
ko:K18093	paeb:NCGM1900_1757
ko:K01881	paeb:NCGM1900_1759
ko:K01512	paeb:NCGM1900_1761
ko:K07058	paeb:NCGM1900_1765
ko:K00537	paeb:NCGM1900_1766
ko:K03809	paeb:NCGM1900_1767
ko:K10763	paeb:NCGM1900_1769
ko:K09938	paeb:NCGM1900_1770
ko:K01933	paeb:NCGM1900_1772
ko:K11175	paeb:NCGM1900_1773
ko:K19000	paeb:NCGM1900_1778
ko:K09912	paeb:NCGM1900_1781
ko:K04765	paeb:NCGM1900_1783
ko:K00951	paeb:NCGM1900_1784
ko:K03215	paeb:NCGM1900_1785
ko:K12339	paeb:NCGM1900_1786
ko:K01595	paeb:NCGM1900_2589
ko:K00939	paeb:NCGM1900_2590
ko:K14742	paeb:NCGM1900_2591
ko:K15984	paeb:NCGM1900_2596
ko:K18301	paeb:NCGM1900_2598
ko:K18302	paeb:NCGM1900_2599
ko:K18303	paeb:NCGM1900_2600
ko:K09914	paeb:NCGM1900_2602
ko:K00631	paeb:NCGM1900_2603
ko:K01990	paeb:NCGM1900_2604
ko:K01992	paeb:NCGM1900_2605
ko:K02426	paeb:NCGM1900_2608
ko:K01766	paeb:NCGM1900_2609
ko:K00674	paeb:NCGM1900_2610
ko:K06940	paeb:NCGM1900_2613
ko:K03316	paeb:NCGM1900_2616
ko:K14267	paeb:NCGM1900_2617
ko:K00990	paeb:NCGM1900_2618
ko:K01265	paeb:NCGM1900_2619
ko:K02967	paeb:NCGM1900_2620
ko:K02357	paeb:NCGM1900_2621
ko:K09903	paeb:NCGM1900_2622
ko:K02838	paeb:NCGM1900_2623
ko:K00806	paeb:NCGM1900_2624
ko:K00981	paeb:NCGM1900_2625
ko:K00099	paeb:NCGM1900_2626
ko:K11749	paeb:NCGM1900_2627
ko:K07277	paeb:NCGM1900_2628
ko:K06142	paeb:NCGM1900_2629
ko:K02536	paeb:NCGM1900_2630
ko:K02372	paeb:NCGM1900_2631
ko:K00677	paeb:NCGM1900_2632
ko:K00748	paeb:NCGM1900_2633
ko:K03470	paeb:NCGM1900_2634
ko:K03310	paeb:NCGM1900_2635
ko:K02337	paeb:NCGM1900_2636
ko:K01962	paeb:NCGM1900_2637
ko:K04075	paeb:NCGM1900_2638
ko:K07052	paeb:NCGM1900_3427
ko:K01591	paeb:NCGM1900_3435
ko:K03924	paeb:NCGM1900_3436
ko:K03424	paeb:NCGM1900_3445
ko:K15977	paeb:NCGM1900_3448
ko:K01975	paeb:NCGM1900_3451
ko:K04760	paeb:NCGM1900_3453
ko:K02004	paeb:NCGM1900_3454
ko:K02003	paeb:NCGM1900_3455
ko:K10804	paeb:NCGM1900_3456
ko:K16291	paeb:NCGM1900_3458
ko:K02356	paeb:NCGM1900_3462
ko:K07090	paeb:NCGM1900_3466
ko:K09927	paeb:NCGM1900_3469
ko:K01626	paeb:NCGM1900_3470
ko:K05592	paeb:NCGM1900_3475
ko:K01424	paeb:NCGM1900_4278
ko:K03310	paeb:NCGM1900_4279
ko:K00382	paeb:NCGM1900_4281
ko:K09699	paeb:NCGM1900_4282
ko:K00167	paeb:NCGM1900_4283
ko:K00166	paeb:NCGM1900_4284
ko:K03168	paeb:NCGM1900_4287
ko:K12992	paeb:NCGM1900_4298
ko:K07483	paeb:NCGM1900_4310
ko:K04061	paeb:NCGM1900_5112
ko:K00059	paeb:NCGM1900_5114
ko:K05810	paeb:NCGM1900_5115
ko:K00799	paeb:NCGM1900_5118
ko:K03408	paeb:NCGM1900_5120
ko:K03408	paeb:NCGM1900_5121
ko:K03496	paeb:NCGM1900_5122
ko:K02557	paeb:NCGM1900_5123
ko:K02556	paeb:NCGM1900_5124
ko:K03412	paeb:NCGM1900_5125
ko:K03407	paeb:NCGM1900_5126
ko:K03414	paeb:NCGM1900_5127
ko:K03413	paeb:NCGM1900_5128
ko:K02405	paeb:NCGM1900_5129
ko:K04562	paeb:NCGM1900_5130
ko:K02404	paeb:NCGM1900_5131
ko:K02400	paeb:NCGM1900_5132
ko:K06872	paeb:NCGM1900_5133
ko:K06872	paeb:NCGM1900_5134
ko:K02401	paeb:NCGM1900_5135
ko:K02421	paeb:NCGM1900_5136
ko:K02420	paeb:NCGM1900_5137
ko:K02419	paeb:NCGM1900_5138
ko:K02418	paeb:NCGM1900_5139
ko:K02417	paeb:NCGM1900_5140
ko:K02416	paeb:NCGM1900_5141
ko:K02415	paeb:NCGM1900_5142
ko:K02414	paeb:NCGM1900_5143
ko:K07039	paeb:NCGM1900_5145
ko:K09790	paeb:NCGM1900_5146
ko:K07644	paeb:NCGM1900_5147
ko:K07665	paeb:NCGM1900_5148
ko:K18308	paeb:NCGM1900_0751
ko:K18307	paeb:NCGM1900_0752
ko:K18306	paeb:NCGM1900_0753
ko:K18305	paeb:NCGM1900_0754
ko:K00459	paeb:NCGM1900_0757
ko:K01921	paeb:NCGM1900_0758
ko:K00666	paeb:NCGM1900_0761
ko:K09472	paeb:NCGM1900_0765
ko:K01714	paeb:NCGM1900_0766
ko:K08368	paeb:NCGM1900_0767
ko:K07734	paeb:NCGM1900_0773
ko:K01652	paeb:NCGM1900_0776
ko:K03769	paeb:NCGM1900_0780
ko:K01142	paeb:NCGM1900_0784
ko:K05520	paeb:NCGM1900_0785
ko:K16088	paeb:NCGM1900_0788
ko:K06222	paeb:NCGM1900_0789
ko:K00375	paeb:NCGM1900_0791
ko:K01426	paeb:NCGM1900_0793
ko:K02015	paeb:NCGM1900_0795
ko:K02015	paeb:NCGM1900_0796
ko:K02016	paeb:NCGM1900_0797
ko:K02013	paeb:NCGM1900_0798
ko:K03111	paeb:NCGM1900_1645
ko:K01923	paeb:NCGM1900_1655
ko:K07240	paeb:NCGM1900_2114
ko:K03406	paeb:NCGM1900_2115
ko:K16322	paeb:NCGM1900_2117
ko:K02278	paeb:NCGM1900_2120
ko:K12511	paeb:NCGM1900_2125
ko:K12510	paeb:NCGM1900_2126
ko:K02283	paeb:NCGM1900_2127
ko:K02282	paeb:NCGM1900_2128
ko:K02280	paeb:NCGM1900_2129
ko:K02279	paeb:NCGM1900_2130
ko:K02651	paeb:NCGM1900_2131
ko:K03406	paeb:NCGM1900_2132
ko:K06915	paeb:NCGM1900_2133
ko:K03406	paeb:NCGM1900_2135
ko:K03406	paeb:NCGM1900_2136
ko:K14335	paeb:NCGM1900_2138
ko:K06986	paeb:NCGM1900_2139
ko:K01433	paeb:NCGM1900_2142
ko:K01141	paeb:NCGM1900_2144
ko:K03924	paeb:NCGM1900_2150
ko:K14055	paeb:NCGM1900_2156
ko:K00873	paeb:NCGM1900_2157
ko:K01676	paeb:NCGM1900_2161
ko:K03322	paeb:NCGM1900_2162
ko:K05520	paeb:NCGM1900_2164
ko:K07044	paeb:NCGM1900_2951
ko:K09936	paeb:NCGM1900_2956
ko:K01114	paeb:NCGM1900_2957
ko:K02042	paeb:NCGM1900_2960
ko:K02042	paeb:NCGM1900_2961
ko:K02041	paeb:NCGM1900_2962
ko:K02044	paeb:NCGM1900_2963
ko:K03760	paeb:NCGM1900_2966
ko:K03580	paeb:NCGM1900_2969
ko:K01897	paeb:NCGM1900_2980
ko:K01897	paeb:NCGM1900_2981
ko:K03578	paeb:NCGM1900_2984
ko:K01077	paeb:NCGM1900_2985
ko:K02503	paeb:NCGM1900_2986
ko:K11904	paeb:NCGM1900_2987
ko:K16872	paeb:NCGM1900_2994
ko:K03088	paeb:NCGM1900_2995
ko:K09930	paeb:NCGM1900_2999
ko:K09929	paeb:NCGM1900_3000
ko:K07221	paeb:NCGM1900_3002
ko:K07221	paeb:NCGM1900_3003
ko:K03671	paeb:NCGM1900_3804
ko:K03885	paeb:NCGM1900_3807
ko:K07017	paeb:NCGM1900_3809
ko:K11904	paeb:NCGM1900_3813
ko:K00285	paeb:NCGM1900_3821
ko:K01714	paeb:NCGM1900_3823
ko:K02029	paeb:NCGM1900_3824
ko:K02029	paeb:NCGM1900_3825
ko:K02028	paeb:NCGM1900_3826
ko:K02030	paeb:NCGM1900_3827
ko:K01061	paeb:NCGM1900_3829
ko:K02454	paeb:NCGM1900_3834
ko:K02455	paeb:NCGM1900_3835
ko:K02456	paeb:NCGM1900_3836
ko:K02456	paeb:NCGM1900_3837
ko:K02458	paeb:NCGM1900_3838
ko:K02459	paeb:NCGM1900_3839
ko:K01737	paeb:NCGM1900_3845
ko:K12266	paeb:NCGM1900_3846
ko:K05916	paeb:NCGM1900_3847
ko:K07234	paeb:NCGM1900_3849
ko:K07168	paeb:NCGM1900_4640
ko:K09984	paeb:NCGM1900_4646
ko:K07400	paeb:NCGM1900_4648
ko:K00548	paeb:NCGM1900_4652
ko:K19055	paeb:NCGM1900_4654
ko:K06941	paeb:NCGM1900_4656
ko:K00381	paeb:NCGM1900_4660
ko:K04774	paeb:NCGM1900_4666
ko:K00059	paeb:NCGM1900_4671
ko:K07090	paeb:NCGM1900_4674
ko:K03426	paeb:NCGM1900_4675
ko:K01692	paeb:NCGM1900_4677
ko:K03314	paeb:NCGM1900_4678
ko:K03294	paeb:NCGM1900_4679
ko:K01584	paeb:NCGM1900_4680
ko:K06893	paeb:NCGM1900_4681
ko:K02342	paeb:NCGM1900_4682
ko:K03469	paeb:NCGM1900_4683
ko:K01069	paeb:NCGM1900_4685
ko:K08307	paeb:NCGM1900_4686
ko:K13893	paeb:NCGM1900_4687
ko:K13893	paeb:NCGM1900_4688
ko:K13894	paeb:NCGM1900_4689
ko:K13895	paeb:NCGM1900_4690
ko:K13896	paeb:NCGM1900_4691
ko:K00208	paeb:NCGM1900_4692
ko:K03075	paeb:NCGM1900_5480
ko:K01803	paeb:NCGM1900_5481
ko:K03431	paeb:NCGM1900_5482
ko:K00796	paeb:NCGM1900_5483
ko:K03798	paeb:NCGM1900_5484
ko:K02427	paeb:NCGM1900_5485
ko:K07574	paeb:NCGM1900_5486
ko:K03624	paeb:NCGM1900_5488
ko:K01955	paeb:NCGM1900_5489
ko:K11250	paeb:NCGM1900_5490
ko:K01956	paeb:NCGM1900_5491
ko:K00215	paeb:NCGM1900_5492
ko:K03686	paeb:NCGM1900_5493
ko:K04043	paeb:NCGM1900_5494
ko:K03687	paeb:NCGM1900_5495
ko:K03631	paeb:NCGM1900_5497
ko:K03711	paeb:NCGM1900_5498
ko:K06186	paeb:NCGM1900_5499
ko:K09801	paeb:NCGM1900_5500
ko:K03664	paeb:NCGM1900_5502
ko:K03303	paeb:NCGM1900_5504
ko:K00101	paeb:NCGM1900_5505
ko:K18930	paeb:NCGM1900_5506
ko:K01611	paeb:NCGM1900_5507
ko:K00797	paeb:NCGM1900_5508
ko:K07645	paeb:NCGM1900_5511
ko:K07645	paeb:NCGM1900_5512
ko:K09962	paeb:NCGM1900_5514
ko:K15268	paeb:NCGM1900_5515
ko:K07178	paeb:NCGM1900_5516
ko:K07814	paeb:NCGM1900_5517
ko:K03719	paeb:NCGM1900_5520
ko:K00626	paeb:NCGM1900_5521
ko:K00059	paeb:NCGM1900_5522
ko:K06219	paeb:NCGM1900_5526
ko:K02313	paeb:NCGM1900_0001
ko:K02338	paeb:NCGM1900_0002
ko:K03629	paeb:NCGM1900_0003
ko:K02470	paeb:NCGM1900_0004
ko:K00655	paeb:NCGM1900_0005
ko:K03273	paeb:NCGM1900_0006
ko:K01879	paeb:NCGM1900_0008
ko:K02517	paeb:NCGM1900_0010
ko:K09125	paeb:NCGM1900_0012
ko:K03499	paeb:NCGM1900_0014
ko:K03500	paeb:NCGM1900_0015
ko:K13060	paeb:NCGM1900_5154
ko:K18304	paeb:NCGM1900_5155
ko:K03827	paeb:NCGM1900_5158
ko:K01710	paeb:NCGM1900_5952
ko:K00067	paeb:NCGM1900_5953
ko:K00973	paeb:NCGM1900_5954
ko:K01790	paeb:NCGM1900_5955
ko:K10125	paeb:NCGM1900_5956
ko:K10126	paeb:NCGM1900_5957
ko:K11688	paeb:NCGM1900_5958
ko:K11689	paeb:NCGM1900_5959
ko:K03758	paeb:NCGM1900_5961
ko:K01478	paeb:NCGM1900_5962
ko:K00611	paeb:NCGM1900_5963
ko:K00926	paeb:NCGM1900_5964
ko:K01082	paeb:NCGM1900_5967
ko:K08312	paeb:NCGM1900_5968
ko:K02379	paeb:NCGM1900_5972
ko:K04093	paeb:NCGM1900_5977
ko:K07107	paeb:NCGM1900_5978
ko:K07483	paeb:NCGM1900_5985
ko:K01610	paeb:NCGM1900_5987
ko:K04083	paeb:NCGM1900_5989
ko:K04762	paeb:NCGM1900_5991
ko:K05844	paeb:NCGM1900_5993
ko:K01297	paeb:NCGM1900_5994
ko:K07638	paeb:NCGM1900_5995
ko:K01126	paeb:NCGM1900_5528
ko:K01711	paeb:NCGM1900_6308
ko:K15856	paeb:NCGM1900_6309
ko:K07088	paeb:NCGM1900_6323
ko:K03300	paeb:NCGM1900_6325
ko:K02839	paeb:NCGM1900_6327
ko:K03324	paeb:NCGM1900_6331
ko:K11102	paeb:NCGM1900_6339
ko:K11384	paeb:NCGM1900_6342
ko:K11383	paeb:NCGM1900_6343
ko:K11066	paeb:NCGM1900_6344
ko:K13590	paeb:NCGM1900_6346
ko:K03673	paeb:NCGM1900_6348
ko:K03978	paeb:NCGM1900_6351
