ko:K12978	fty:CH70_1787
ko:K00262	fty:CH70_384
ko:K01586	fty:CH70_391
ko:K00567	fty:CH70_393
ko:K07481	fty:CH70_399
ko:K07733	fty:CH70_1242
ko:K03554	fty:CH70_1250
ko:K07146	fty:CH70_1251
ko:K00243	fty:CH70_1252
ko:K03656	fty:CH70_1253
ko:K06980	fty:CH70_1254
ko:K07481	fty:CH70_1255
ko:K00616	fty:CH70_1260
ko:K01255	fty:CH70_1261
ko:K01872	fty:CH70_1263
ko:K03657	fty:CH70_1264
ko:K09710	fty:CH70_1268
ko:K18979	fty:CH70_1269
ko:K12267	fty:CH70_1272
ko:K02168	fty:CH70_1274
ko:K03437	fty:CH70_1276
ko:K01442	fty:CH70_1277
ko:K07107	fty:CH70_1279
ko:K07481	fty:CH70_1283
ko:K07464	fty:CH70_1284
ko:K09951	fty:CH70_1285
ko:K15342	fty:CH70_1286
ko:K13292	fty:CH70_681
ko:K08300	fty:CH70_682
ko:K04487	fty:CH70_683
ko:K03584	fty:CH70_685
ko:K03975	fty:CH70_686
ko:K03975	fty:CH70_687
ko:K05527	fty:CH70_688
ko:K01934	fty:CH70_689
ko:K09895	fty:CH70_690
ko:K03185	fty:CH70_691
ko:K18800	fty:CH70_692
ko:K07568	fty:CH70_695
ko:K09125	fty:CH70_697
ko:K01759	fty:CH70_698
ko:K06966	fty:CH70_701
ko:K00208	fty:CH70_702
ko:K06041	fty:CH70_703
ko:K01783	fty:CH70_704
ko:K01784	fty:CH70_706
ko:K12995	fty:CH70_707
ko:K00012	fty:CH70_710
ko:K01784	fty:CH70_711
ko:K01711	fty:CH70_715
ko:K02377	fty:CH70_716
ko:K07025	fty:CH70_720
ko:K13282	fty:CH70_722
ko:K01424	fty:CH70_723
ko:K03762	fty:CH70_729
ko:K06187	fty:CH70_734
ko:K00688	fty:CH70_1548
ko:K00703	fty:CH70_1549
ko:K00975	fty:CH70_1550
ko:K01835	fty:CH70_1551
ko:K00700	fty:CH70_1552
ko:K00014	fty:CH70_1554
ko:K00283	fty:CH70_1555
ko:K00282	fty:CH70_1556
ko:K02437	fty:CH70_1557
ko:K00605	fty:CH70_1558
ko:K09810	fty:CH70_1560
ko:K09808	fty:CH70_1561
ko:K01462	fty:CH70_1563
ko:K02337	fty:CH70_1564
ko:K08309	fty:CH70_1567
ko:K18284	fty:CH70_1569
ko:K02621	fty:CH70_1571
ko:K01265	fty:CH70_1574
ko:K03704	fty:CH70_1576
ko:K02970	fty:CH70_1578
ko:K00820	fty:CH70_1579
ko:K04042	fty:CH70_1580
ko:K01613	fty:CH70_1584
ko:K04759	fty:CH70_63
ko:K07481	fty:CH70_65
ko:K01006	fty:CH70_66
ko:K00826	fty:CH70_67
ko:K01649	fty:CH70_68
ko:K01703	fty:CH70_69
ko:K01704	fty:CH70_70
ko:K00052	fty:CH70_71
ko:K01193	fty:CH70_72
ko:K07560	fty:CH70_74
ko:K00254	fty:CH70_76
ko:K01591	fty:CH70_77
ko:K09941	fty:CH70_86
ko:K01465	fty:CH70_88
ko:K00569	fty:CH70_89
ko:K01956	fty:CH70_91
ko:K01955	fty:CH70_92
ko:K00609	fty:CH70_93
ko:K00020	fty:CH70_94
ko:K03837	fty:CH70_96
ko:K07733	fty:CH70_99
ko:K16074	fty:CH70_110
ko:K03762	fty:CH70_114
ko:K02338	fty:CH70_115
ko:K02313	fty:CH70_116
ko:K08301	fty:CH70_117
ko:K08325	fty:CH70_958
ko:K02687	fty:CH70_959
ko:K02346	fty:CH70_962
ko:K06158	fty:CH70_965
ko:K03674	fty:CH70_966
ko:K00024	fty:CH70_968
ko:K06134	fty:CH70_970
ko:K07481	fty:CH70_972
ko:K03386	fty:CH70_976
ko:K06193	fty:CH70_978
ko:K02342	fty:CH70_981
ko:K07260	fty:CH70_982
ko:K12941	fty:CH70_984
ko:K00128	fty:CH70_986
ko:K04761	fty:CH70_990
ko:K00945	fty:CH70_993
ko:K00831	fty:CH70_994
ko:K00228	fty:CH70_996
ko:K02990	fty:CH70_998
ko:K02963	fty:CH70_999
ko:K02939	fty:CH70_1000
ko:K06941	fty:CH70_1002
ko:K02656	fty:CH70_1003
ko:K06178	fty:CH70_1005
ko:K06178	fty:CH70_1006
ko:K03789	fty:CH70_1008
ko:K15383	fty:CH70_1971
ko:K07481	fty:CH70_1975
ko:K07483	fty:CH70_1979
ko:K03496	fty:CH70_1990
ko:K07483	fty:CH70_1997
ko:K07481	fty:CH70_2001
ko:K07483	fty:CH70_2002
ko:K06133	fty:CH70_2007
ko:K07483	fty:CH70_2009
ko:K18842	fty:CH70_2010
ko:K07171	fty:CH70_2011
ko:K05516	fty:CH70_401
ko:K03834	fty:CH70_404
ko:K00951	fty:CH70_406
ko:K07481	fty:CH70_407
ko:K15984	fty:CH70_411
ko:K03733	fty:CH70_412
ko:K03071	fty:CH70_415
ko:K03555	fty:CH70_417
ko:K01962	fty:CH70_418
ko:K07106	fty:CH70_422
ko:K07483	fty:CH70_427
ko:K07638	fty:CH70_431
ko:K03316	fty:CH70_433
ko:K01867	fty:CH70_435
ko:K00859	fty:CH70_438
ko:K00163	fty:CH70_440
ko:K00627	fty:CH70_441
ko:K00382	fty:CH70_442
ko:K03648	fty:CH70_443
ko:K02469	fty:CH70_445
ko:K00099	fty:CH70_446
ko:K07277	fty:CH70_447
ko:K06142	fty:CH70_448
ko:K02536	fty:CH70_449
ko:K02372	fty:CH70_450
ko:K00677	fty:CH70_451
ko:K00748	fty:CH70_452
ko:K07481	fty:CH70_1288
ko:K00954	fty:CH70_1291
ko:K13628	fty:CH70_1293
ko:K11717	fty:CH70_1294
ko:K01752	fty:CH70_1295
ko:K04518	fty:CH70_1297
ko:K01775	fty:CH70_1299
ko:K09799	fty:CH70_1303
ko:K01079	fty:CH70_1302
ko:K00703	fty:CH70_1306
ko:K03305	fty:CH70_1307
ko:K11076	fty:CH70_1309
ko:K11075	fty:CH70_1310
ko:K11074	fty:CH70_1311
ko:K01879	fty:CH70_1312
ko:K03424	fty:CH70_1313
ko:K03629	fty:CH70_1314
ko:K01895	fty:CH70_1318
ko:K00963	fty:CH70_1319
ko:K02970	fty:CH70_1323
ko:K03704	fty:CH70_1325
ko:K04762	fty:CH70_1333
ko:K07043	fty:CH70_1334
ko:K01153	fty:CH70_1335
ko:K01154	fty:CH70_1338
ko:K09747	fty:CH70_735
ko:K02563	fty:CH70_736
ko:K02437	fty:CH70_737
ko:K01868	fty:CH70_740
ko:K02520	fty:CH70_741
ko:K02916	fty:CH70_742
ko:K02887	fty:CH70_743
ko:K01807	fty:CH70_745
ko:K03495	fty:CH70_748
ko:K01141	fty:CH70_753
ko:K03702	fty:CH70_754
ko:K01776	fty:CH70_756
ko:K03601	fty:CH70_762
ko:K03762	fty:CH70_764
ko:K14058	fty:CH70_766
ko:K03664	fty:CH70_767
ko:K09801	fty:CH70_769
ko:K04754	fty:CH70_771
ko:K00681	fty:CH70_773
ko:K06207	fty:CH70_776
ko:K14540	fty:CH70_779
ko:K01443	fty:CH70_780
ko:K14742	fty:CH70_781
ko:K00812	fty:CH70_783
ko:K00939	fty:CH70_787
ko:K02663	fty:CH70_789
ko:K02664	fty:CH70_790
ko:K00020	fty:CH70_1601
ko:K01574	fty:CH70_1602
ko:K01874	fty:CH70_1607
ko:K06190	fty:CH70_1611
ko:K00845	fty:CH70_1613
ko:K03183	fty:CH70_1614
ko:K03690	fty:CH70_1615
ko:K03688	fty:CH70_1616
ko:K02503	fty:CH70_1617
ko:K07481	fty:CH70_1619
ko:K13924	fty:CH70_1622
ko:K00075	fty:CH70_1629
ko:K00790	fty:CH70_1630
ko:K03977	fty:CH70_1631
ko:K00027	fty:CH70_1634
ko:K11753	fty:CH70_1635
ko:K01870	fty:CH70_1636
ko:K03101	fty:CH70_1638
ko:K02427	fty:CH70_1639
ko:K07023	fty:CH70_1640
ko:K03497	fty:CH70_1643
ko:K03496	fty:CH70_1644
ko:K03168	fty:CH70_1645
ko:K01414	fty:CH70_1652
ko:K07460	fty:CH70_1654
ko:K00526	fty:CH70_964
ko:K03676	fty:CH70_964
ko:K08156	fty:CH70_1474
ko:K06884	fty:CH70_816
ko:K02650	fty:CH70_1662
ko:K14234	fty:CH70_118
ko:K01980	fty:CH70_1593
ko:K01980	fty:CH70_619
ko:K01980	fty:CH70_185
ko:K14218	fty:CH70_1595
ko:K14218	fty:CH70_183
ko:K14218	fty:CH70_617
ko:K14219	fty:CH70_437
ko:K14231	fty:CH70_724
ko:K14233	fty:CH70_1322
ko:K14237	fty:CH70_1444
ko:K14237	fty:CH70_1605
ko:K14228	fty:CH70_728
ko:K14228	fty:CH70_576
ko:K14228	fty:CH70_529
ko:K14226	fty:CH70_727
ko:K14225	fty:CH70_336
ko:K14230	fty:CH70_457
ko:K14230	fty:CH70_248
ko:K14230	fty:CH70_1795
ko:K14221	fty:CH70_119
ko:K14223	fty:CH70_1945
ko:K14224	fty:CH70_1862
ko:K01985	fty:CH70_186
ko:K01985	fty:CH70_620
ko:K01985	fty:CH70_1592
ko:K01985	fty:CH70_1562
ko:K14237	fty:CH70_1224
ko:K14222	fty:CH70_575
ko:K14228	fty:CH70_282
ko:K14233	fty:CH70_1606
ko:K14234	fty:CH70_337
ko:K14236	fty:CH70_335
ko:K14229	fty:CH70_1398
ko:K14233	fty:CH70_1699
ko:K14219	fty:CH70_726
ko:K14232	fty:CH70_725
ko:K14225	fty:CH70_436
ko:K14225	fty:CH70_574
ko:K14220	fty:CH70_565
ko:K04517	fty:CH70_75
ko:K01200	fty:CH70_1553
ko:K19802	fty:CH70_1347
ko:K19810	fty:CH70_1326
ko:K05770	fty:CH70_1275
ko:K20265	fty:CH70_380
ko:K20265	fty:CH70_392
ko:K20265	fty:CH70_1172
ko:K20265	fty:CH70_1488
ko:K00507	fty:CH70_350
ko:K00507	fty:CH70_470
ko:K03271	fty:CH70_22
ko:K13713	fty:CH70_1657
ko:K20534	fty:CH70_538
ko:K01932	fty:CH70_730
ko:K00632	fty:CH70_494
ko:K02335	fty:CH70_309
ko:K03553	fty:CH70_4
ko:K06217	fty:CH70_879
ko:K00857	fty:CH70_883
ko:K01520	fty:CH70_1853
ko:K00287	fty:CH70_1860
ko:K02314	fty:CH70_1001
ko:K02314	fty:CH70_1056
ko:K02316	fty:CH70_1095
ko:K03462	fty:CH70_487
ko:K00560	fty:CH70_680
ko:K13522	fty:CH70_1581
ko:K06197	fty:CH70_809
ko:K02483	fty:CH70_478
ko:K03293	fty:CH70_1671
ko:K07497	fty:CH70_1978
ko:K07497	fty:CH70_1996
ko:K07497	fty:CH70_2003
ko:K07497	fty:CH70_2008
ko:K07497	fty:CH70_428
ko:K00525	fty:CH70_967
ko:K01139	fty:CH70_733
ko:K01582	fty:CH70_1559
ko:K02483	fty:CH70_424
ko:K21600	fty:CH70_988
ko:K21600	fty:CH70_1043
ko:K04103	fty:CH70_10
ko:K21829	fty:CH70_1701
ko:K22116	fty:CH70_731
ko:K22132	fty:CH70_1028
ko:K03595	fty:CH70_784
ko:K22132	fty:CH70_973
ko:K07488	fty:CH70_1973
ko:K07488	fty:CH70_1078
ko:K07488	fty:CH70_667
ko:K02257	fty:CH70_1888
ko:K13566	fty:CH70_556
