ko:K02035	spx:SPG_0777
ko:K02794	spx:SPG_0065
ko:K08986	spx:SPG_0830
ko:K00297	spx:SPG_0535
ko:K00558	spx:SPG_1291
ko:K11209	spx:SPG_1478
ko:K01784	spx:SPG_1531
ko:K01515	spx:SPG_0914
ko:K12267	spx:SPG_0601
ko:K00873	spx:SPG_0823
ko:K07052	spx:SPG_0172
ko:K06183	spx:SPG_0263
ko:K07052	spx:SPG_0273
ko:K03574	spx:SPG_0671
ko:K01215	spx:SPG_0311
ko:K02799	spx:SPG_0362
ko:K02800	spx:SPG_0362
ko:K01759	spx:SPG_0886
ko:K03483	spx:SPG_0363
ko:K01992	spx:SPG_0473
ko:K07052	spx:SPG_0493
ko:K07729	spx:SPG_1363
ko:K06400	spx:SPG_0966
ko:K02004	spx:SPG_0544
ko:K02004	spx:SPG_0546
ko:K10819	spx:SPG_0548
ko:K10040	spx:SPG_0552
ko:K10039	spx:SPG_0553
ko:K10041	spx:SPG_0554
ko:K02030	spx:SPG_0563
ko:K01190	spx:SPG_0588
ko:K03316	spx:SPG_0597
ko:K08643	spx:SPG_0605
ko:K06183	spx:SPG_0621
ko:K10530	spx:SPG_0648
ko:K12415	spx:SPG_2185
ko:K01491	spx:SPG_0747
ko:K12296	spx:SPG_1922
ko:K12295	spx:SPG_2183
ko:K12294	spx:SPG_2184
ko:K12293	spx:SPG_0049
ko:K03492	spx:SPG_1933
ko:K02823	spx:SPG_0887
ko:K01071	spx:SPG_1349
ko:K03768	spx:SPG_1464
ko:K07491	spx:SPG_0286
ko:K07404	spx:SPG_1428
ko:K03524	spx:SPG_1787
ko:K05362	spx:SPG_1456
ko:K00661	spx:SPG_0077
ko:K01785	spx:SPG_0070
ko:K01281	spx:SPG_0820
ko:K01990	spx:SPG_1624
ko:K01243	spx:SPG_0916
ko:K05946	spx:SPG_0319
ko:K01358	spx:SPG_0677
ko:K04487	spx:SPG_0805
ko:K04487	spx:SPG_1014
ko:K02237	spx:SPG_0877
ko:K01710	spx:SPG_0327
ko:K00059	spx:SPG_0723
ko:K00046	spx:SPG_0290
ko:K00059	spx:SPG_0387
ko:K07124	spx:SPG_0616
ko:K01092	spx:SPG_1344
ko:K07284	spx:SPG_1110
ko:K04767	spx:SPG_0685
ko:K03574	spx:SPG_0740
ko:K03693	spx:SPG_2036
ko:K01424	spx:SPG_1900
ko:K12373	spx:SPG_0062
ko:K00054	spx:SPG_1631
ko:K13747	spx:SPG_0846
ko:K02793	spx:SPG_0068
ko:K07718	spx:SPG_0157
ko:K07718	spx:SPG_0603
ko:K07720	spx:SPG_0158
ko:K01060	spx:SPG_1602
ko:K01193	spx:SPG_1629
ko:K00917	spx:SPG_1086
ko:K01193	spx:SPG_1681
ko:K02503	spx:SPG_0471
ko:K01990	spx:SPG_0472
ko:K10947	spx:SPG_0719
ko:K02056	spx:SPG_0766
ko:K00131	spx:SPG_1038
ko:K02531	spx:SPG_1084
ko:K01739	spx:SPG_1450
ko:K12554	spx:SPG_0559
ko:K12555	spx:SPG_1925
ko:K12573	spx:SPG_0898
ko:K13925	spx:SPG_1720
ko:K01227	spx:SPG_0889
ko:K01992	spx:SPG_0581
ko:K11754	spx:SPG_0184
ko:K13789	spx:SPG_1099
ko:K00215	spx:SPG_1483
ko:K07271	spx:SPG_1167
ko:K00687	spx:SPG_1582
ko:K03574	spx:SPG_1672
ko:K03294	spx:SPG_0926
ko:K01537	spx:SPG_1479
ko:K09457	spx:SPG_1664
ko:K04072	spx:SPG_1938
ko:K13953	spx:SPG_0268
ko:K01155	spx:SPG_1733
ko:K07729	spx:SPG_2056
ko:K02778	spx:SPG_1592
ko:K02779	spx:SPG_1592
ko:K12556	spx:SPG_0305
ko:K05363	spx:SPG_0558
ko:K01791	spx:SPG_0324
ko:K00290	spx:SPG_0845
ko:K07025	spx:SPG_1071
ko:K01835	spx:SPG_1421
ko:K05337	spx:SPG_1529
ko:K00974	spx:SPG_1482
ko:K01740	spx:SPG_1108
ko:K01191	spx:SPG_2083
ko:K03342	spx:SPG_0606
ko:K13678	spx:SPG_0996
ko:K03574	spx:SPG_1125
ko:K02003	spx:SPG_0716
ko:K02004	spx:SPG_1889
ko:K14228	spx:SPG_1798
ko:K14228	spx:SPG_1910
ko:K02004	spx:SPG_1562
ko:K07052	spx:SPG_1225
ko:K07052	spx:SPG_1287
ko:K02004	spx:SPG_1284
ko:K00951	spx:SPG_1555
ko:K02004	spx:SPG_0837
ko:K02004	spx:SPG_0626
ko:K02004	spx:SPG_0717
ko:K00564	spx:SPG_0761
ko:K13940	spx:SPG_0277
ko:K01079	spx:SPG_1043
ko:K06201	spx:SPG_1154
ko:K11754	spx:SPG_0275
ko:K01819	spx:SPG_1088
ko:K00941	spx:SPG_0659
ko:K10118	spx:SPG_1783
ko:K14233	spx:SPG_1793
ko:K14233	spx:SPG_1998
ko:K14232	spx:SPG_1796
ko:K14232	spx:SPG_1908
ko:K14222	spx:SPG_1863
ko:K14225	spx:SPG_1790
ko:K02057	spx:SPG_0768
ko:K14228	spx:SPG_1991
ko:K01784	spx:SPG_0982
ko:K00674	spx:SPG_2034
ko:K07052	spx:SPG_0145
ko:K00949	spx:SPG_1883
ko:K02248	spx:SPG_1963
ko:K02246	spx:SPG_1965
ko:K02027	spx:SPG_1598
ko:K02027	spx:SPG_1591
ko:K01990	spx:SPG_1621
ko:K14228	spx:SPG_1913
ko:K14228	spx:SPG_1801
ko:K14228	spx:SPG_1507
ko:K14230	spx:SPG_1795
ko:K01784	spx:SPG_1753
ko:K07335	spx:SPG_0765
ko:K14221	spx:SPG_1803
ko:K14221	spx:SPG_1915
ko:K14221	spx:SPG_2000
ko:K01154	spx:SPG_0813
ko:K14219	spx:SPG_1139
ko:K07407	spx:SPG_2102
ko:K14227	spx:SPG_1789
ko:K14227	spx:SPG_1999
ko:K05847	spx:SPG_1747
ko:K07407	spx:SPG_1785
ko:K07341	spx:SPG_0815
ko:K02786	spx:SPG_0432
ko:K02786	spx:SPG_1083
ko:K14219	spx:SPG_2186
ko:K02029	spx:SPG_1425
ko:K14225	spx:SPG_1799
ko:K14225	spx:SPG_1911
ko:K02010	spx:SPG_0228
ko:K02010	spx:SPG_1717
ko:K02029	spx:SPG_0645
ko:K02029	spx:SPG_1387
ko:K14260	spx:SPG_1896
ko:K14223	spx:SPG_0783
ko:K14223	spx:SPG_1992
ko:K14219	spx:SPG_1186
ko:K10119	spx:SPG_1782
ko:K14233	spx:SPG_1788
ko:K14155	spx:SPG_1449
ko:K14233	spx:SPG_0798
ko:K01934	spx:SPG_2032
ko:K14236	spx:SPG_1995
ko:K14236	spx:SPG_0782
ko:K14230	spx:SPG_1794
ko:K14234	spx:SPG_0939
ko:K14220	spx:SPG_0020
ko:K14220	spx:SPG_2181
ko:K14229	spx:SPG_1802
ko:K14229	spx:SPG_1914
ko:K14229	spx:SPG_1680
ko:K00868	spx:SPG_1521
ko:K14230	spx:SPG_1792
ko:K14230	spx:SPG_1997
ko:K07052	spx:SPG_0851
ko:K07052	spx:SPG_0495
ko:K07052	spx:SPG_2053
ko:K02030	spx:SPG_1423
ko:K13052	spx:SPG_0008
ko:K14231	spx:SPG_1791
ko:K14231	spx:SPG_1996
ko:K14982	spx:SPG_0729
ko:K11618	spx:SPG_0352
ko:K11617	spx:SPG_0351
ko:K14983	spx:SPG_0728
ko:K02005	spx:SPG_0715
ko:K01980	spx:SPG_0018
ko:K01980	spx:SPG_1806
ko:K01980	spx:SPG_1918
ko:K01980	spx:SPG_2003
ko:K10117	spx:SPG_2107
ko:K02057	spx:SPG_0767
ko:K03324	spx:SPG_0449
ko:K08177	spx:SPG_1511
ko:K01985	spx:SPG_0019
ko:K07313	spx:SPG_1990
ko:K06148	spx:SPG_1299
ko:K01985	spx:SPG_1805
ko:K01985	spx:SPG_2002
ko:K01985	spx:SPG_1917
ko:K00561	spx:SPG_1241
ko:K07467	spx:SPG_1242
ko:K01992	spx:SPG_1320
ko:K03307	spx:SPG_1221
ko:K01977	spx:SPG_1920
ko:K01977	spx:SPG_2005
ko:K01977	spx:SPG_1808
ko:K01977	spx:SPG_0016
ko:K14188	spx:SPG_2116
ko:K01628	spx:SPG_2099
ko:K14218	spx:SPG_0017
ko:K14218	spx:SPG_1919
ko:K14218	spx:SPG_2004
ko:K14218	spx:SPG_1807
ko:K01101	spx:SPG_1348
ko:K15051	spx:SPG_1865
ko:K07729	spx:SPG_0302
ko:K15035	spx:SPG_0797
ko:K10117	spx:SPG_1784
ko:K00965	spx:SPG_1737
ko:K03436	spx:SPG_0799
ko:K10122	spx:SPG_1682
ko:K14235	spx:SPG_1994
ko:K01990	spx:SPG_1321
ko:K14226	spx:SPG_1993
ko:K06147	spx:SPG_1298
ko:K06147	spx:SPG_1830
ko:K02028	spx:SPG_1386
ko:K02028	spx:SPG_1424
ko:K07273	spx:SPG_0912
ko:K02614	spx:SPG_1736
ko:K01274	spx:SPG_0566
ko:K01271	spx:SPG_1515
ko:K08643	spx:SPG_1054
ko:K01261	spx:SPG_1751
ko:K03493	spx:SPG_1945
ko:K12960	spx:SPG_1296
ko:K10120	spx:SPG_1684
ko:K01992	spx:SPG_1364
ko:K03930	spx:SPG_0557
ko:K14234	spx:SPG_1800
ko:K14234	spx:SPG_1912
ko:K14219	spx:SPG_1797
ko:K14219	spx:SPG_1909
ko:K14540	spx:SPG_1057
ko:K06948	spx:SPG_1654
ko:K11749	spx:SPG_0248
ko:K06198	spx:SPG_0901
ko:K19689	spx:SPG_0261
ko:K14652	spx:SPG_0167
ko:K00105	spx:SPG_2126
ko:K10040	spx:SPG_0551
ko:K16169	spx:SPG_1732
ko:K08316	spx:SPG_1871
ko:K00571	spx:SPG_1959
ko:K01186	spx:SPG_1595
ko:K01186	spx:SPG_1600
ko:K01186	spx:SPG_1219
ko:K01200	spx:SPG_1036
ko:K10947	spx:SPG_0097
ko:K03215	spx:SPG_0953
ko:K15581	spx:SPG_1777
ko:K15580	spx:SPG_1454
ko:K15583	spx:SPG_1775
ko:K02428	spx:SPG_1765
ko:K15738	spx:SPG_1481
ko:K05352	spx:SPG_1164
ko:K15582	spx:SPG_1776
ko:K02808	spx:SPG_1627
ko:K02809	spx:SPG_1627
ko:K02810	spx:SPG_1627
ko:K10823	spx:SPG_1774
ko:K15986	spx:SPG_1460
ko:K10716	spx:SPG_1113
ko:K01390	spx:SPG_1053
ko:K16511	spx:SPG_1303
ko:K16786	spx:SPG_0653
ko:K16787	spx:SPG_0653
ko:K07482	spx:SPG_0839
ko:K16509	spx:SPG_1346
ko:K14224	spx:SPG_0015
ko:K14224	spx:SPG_2006
ko:K14224	spx:SPG_1921
ko:K14224	spx:SPG_1809
ko:K14224	spx:SPG_2182
ko:K16214	spx:SPG_1259
ko:K16264	spx:SPG_1743
ko:K14237	spx:SPG_1804
ko:K14237	spx:SPG_2001
ko:K14237	spx:SPG_1916
ko:K16785	spx:SPG_0440
ko:K03699	spx:SPG_1864
ko:K01223	spx:SPG_0250
ko:K02029	spx:SPG_0644
ko:K15770	spx:SPG_2045
ko:K15772	spx:SPG_2047
ko:K15771	spx:SPG_2046
ko:K16786	spx:SPG_2167
ko:K16787	spx:SPG_2166
ko:K16785	spx:SPG_2165
ko:K16788	spx:SPG_1124
ko:K02028	spx:SPG_0746
ko:K16786	spx:SPG_0439
ko:K16787	spx:SPG_0439
ko:K06896	spx:SPG_0691
ko:K16785	spx:SPG_0654
ko:K16868	spx:SPG_0900
ko:K16925	spx:SPG_0652
ko:K16924	spx:SPG_0438
ko:K16926	spx:SPG_0155
ko:K16898	spx:SPG_1051
ko:K16899	spx:SPG_1050
ko:K02030	spx:SPG_0638
ko:K02029	spx:SPG_1131
ko:K02030	spx:SPG_1131
ko:K17319	spx:SPG_0089
ko:K17318	spx:SPG_0091
ko:K02028	spx:SPG_1132
ko:K17320	spx:SPG_0090
ko:K07271	spx:SPG_0320
ko:K17076	spx:SPG_0415
ko:K02029	spx:SPG_0745
ko:K17073	spx:SPG_0416
ko:K17074	spx:SPG_0416
ko:K02030	spx:SPG_0107
ko:K02030	spx:SPG_1335
ko:K01992	spx:SPG_0580
ko:K01992	spx:SPG_1904
ko:K10121	spx:SPG_1683
ko:K10119	spx:SPG_2105
ko:K10118	spx:SPG_2106
ko:K15923	spx:SPG_1564
ko:K01990	spx:SPG_0579
ko:K01990	spx:SPG_0637
ko:K01990	spx:SPG_1366
ko:K01990	spx:SPG_1610
ko:K01990	spx:SPG_1905
ko:K17624	spx:SPG_0333
ko:K17686	spx:SPG_0662
ko:K01467	spx:SPG_0010
ko:K17828	spx:SPG_0888
ko:K00537	spx:SPG_1388
ko:K12574	spx:SPG_0556
ko:K18220	spx:SPG_1231
ko:K07260	spx:SPG_0573
ko:K18369	spx:SPG_1970
ko:K03742	spx:SPG_1850
ko:K18474	spx:SPG_0381
ko:K18581	spx:SPG_0292
ko:K18682	spx:SPG_1645
ko:K06896	spx:SPG_0692
ko:K18672	spx:SPG_1488
ko:K18692	spx:SPG_0693
ko:K18892	spx:SPG_2012
ko:K00571	spx:SPG_1734
ko:K18891	spx:SPG_2014
ko:K03790	spx:SPG_1003
ko:K07484	spx:SPG_0738
ko:K07484	spx:SPG_2159
ko:K07484	spx:SPG_1206
ko:K19002	spx:SPG_0997
ko:K19157	spx:SPG_0259
ko:K00571	spx:SPG_1372
ko:K19302	spx:SPG_0443
ko:K12952	spx:SPG_1535
ko:K04771	spx:SPG_2188
ko:K07486	spx:SPG_0417
ko:K01992	spx:SPG_0881
ko:K06881	spx:SPG_1192
ko:K01990	spx:SPG_0880
ko:K00887	spx:SPG_0892
ko:K07497	spx:SPG_2132
ko:K21636	spx:SPG_0189
ko:K19971	spx:SPG_1560
ko:K19972	spx:SPG_1559
ko:K10830	spx:SPG_1558
ko:K20074	spx:SPG_1639
ko:K12132	spx:SPG_1637
ko:K20073	spx:SPG_0340
ko:K20107	spx:SPG_0690
ko:K20108	spx:SPG_0690
ko:K20112	spx:SPG_0585
ko:K20112	spx:SPG_1093
ko:K15580	spx:SPG_1778
ko:K20114	spx:SPG_0587
ko:K20113	spx:SPG_0586
ko:K20113	spx:SPG_1092
ko:K20374	spx:SPG_0976
ko:K20342	spx:SPG_1891
ko:K20344	spx:SPG_0480
ko:K20345	spx:SPG_0479
ko:K20343	spx:SPG_0478
ko:K18889	spx:SPG_1724
ko:K18890	spx:SPG_1723
ko:K01208	spx:SPG_0972
ko:K21030	spx:SPG_1165
ko:K08968	spx:SPG_0787
ko:K21471	spx:SPG_2162
ko:K21567	spx:SPG_1489
ko:K21977	spx:SPG_1121
ko:K22044	spx:SPG_1657
ko:K03078	spx:SPG_1949
ko:K03077	spx:SPG_1946
ko:K22278	spx:SPG_1406
ko:K17758	spx:SPG_0748
ko:K03079	spx:SPG_1948
ko:K01819	spx:SPG_1087
ko:K22441	spx:SPG_0528
ko:K22457	spx:SPG_1470
