ko:K00666	coe:Cp258_0235
ko:K07386	coe:Cp258_0109
ko:K11387	coe:Cp258_0113
ko:K13686	coe:Cp258_0114
ko:K11707	coe:Cp258_0123
ko:K11710	coe:Cp258_0124
ko:K11708	coe:Cp258_0125
ko:K11709	coe:Cp258_0126
ko:K11707	coe:Cp258_0127
ko:K04517	coe:Cp258_0143
ko:K01515	coe:Cp258_0984
ko:K04763	coe:Cp258_0985
ko:K07792	coe:Cp258_0996
ko:K06889	coe:Cp258_1007
ko:K07397	coe:Cp258_1007
ko:K00033	coe:Cp258_1019
ko:K00721	coe:Cp258_1030
ko:K05565	coe:Cp258_1828
ko:K05568	coe:Cp258_1830
ko:K05570	coe:Cp258_1832
ko:K14949	coe:Cp258_1847
ko:K02348	coe:Cp258_1851
ko:K10947	coe:Cp258_1874
ko:K01011	coe:Cp258_1881
ko:K03890	coe:Cp258_1446
ko:K03889	coe:Cp258_1447
ko:K09146	coe:Cp258_0770
ko:K15525	coe:Cp258_0774
ko:K00674	coe:Cp258_0781
ko:K00674	coe:Cp258_0783
ko:K01439	coe:Cp258_0784
ko:K13693	coe:Cp258_0787
ko:K03593	coe:Cp258_0799
ko:K01616	coe:Cp258_0803
ko:K03929	coe:Cp258_0807
ko:K02351	coe:Cp258_1633
ko:K07245	coe:Cp258_1633
ko:K02428	coe:Cp258_1663
ko:K10843	coe:Cp258_0596
ko:K01962	coe:Cp258_0612
ko:K01963	coe:Cp258_0612
ko:K01692	coe:Cp258_0616
ko:K02035	coe:Cp258_0629
ko:K02033	coe:Cp258_0630
ko:K02228	coe:Cp258_0635
ko:K01082	coe:Cp258_0639
ko:K03649	coe:Cp258_0641
ko:K05522	coe:Cp258_0642
ko:K00135	coe:Cp258_0645
ko:K07035	coe:Cp258_1475
ko:K00088	coe:Cp258_1476
ko:K01104	coe:Cp258_1498
ko:K02566	coe:Cp258_1505
ko:K06994	coe:Cp258_0146
ko:K01885	coe:Cp258_0148
ko:K03299	coe:Cp258_0149
ko:K00851	coe:Cp258_0150
ko:K00046	coe:Cp258_0152
ko:K03299	coe:Cp258_0159
ko:K07009	coe:Cp258_0166
ko:K02342	coe:Cp258_0168
ko:K03784	coe:Cp258_0173
ko:K01619	coe:Cp258_0175
ko:K07657	coe:Cp258_0194
ko:K05570	coe:Cp258_0197
ko:K05568	coe:Cp258_0199
ko:K13540	coe:Cp258_1036
ko:K00595	coe:Cp258_1039
ko:K03727	coe:Cp258_1043
ko:K13573	coe:Cp258_1046
ko:K13571	coe:Cp258_1048
ko:K13570	coe:Cp258_1049
ko:K13527	coe:Cp258_1051
ko:K07442	coe:Cp258_1052
ko:K01523	coe:Cp258_1062
ko:K00548	coe:Cp258_1064
ko:K06910	coe:Cp258_1073
ko:K07588	coe:Cp258_1081
ko:K01847	coe:Cp258_1082
ko:K01847	coe:Cp258_1083
ko:K02004	coe:Cp258_1902
ko:K02005	coe:Cp258_1904
ko:K13953	coe:Cp258_1908
ko:K13640	coe:Cp258_1912
ko:K02031	coe:Cp258_1921
ko:K02034	coe:Cp258_1921
ko:K02033	coe:Cp258_1922
ko:K02035	coe:Cp258_1923
ko:K03307	coe:Cp258_0812
ko:K04750	coe:Cp258_0818
ko:K00666	coe:Cp258_0841
ko:K07503	coe:Cp258_0858
ko:K00700	coe:Cp258_0862
ko:K02274	coe:Cp258_1684
ko:K03647	coe:Cp258_1689
ko:K01916	coe:Cp258_1692
ko:K01835	coe:Cp258_1704
ko:K02004	coe:Cp258_1707
ko:K05565	coe:Cp258_0201
ko:K06877	coe:Cp258_0228
ko:K01322	coe:Cp258_0241
ko:K00241	coe:Cp258_0246
ko:K04488	coe:Cp258_1103
ko:K14339	coe:Cp258_1109
ko:K00616	coe:Cp258_1115
ko:K09762	coe:Cp258_1124
ko:K00135	coe:Cp258_1949
ko:K01596	coe:Cp258_1960
ko:K06860	coe:Cp258_1962
ko:K12437	coe:Cp258_1969
ko:K12428	coe:Cp258_1970
ko:K13687	coe:Cp258_1976
ko:K14136	coe:Cp258_1978
ko:K01854	coe:Cp258_1986
ko:K04093	coe:Cp258_0646
ko:K07669	coe:Cp258_0665
ko:K07653	coe:Cp258_0666
ko:K08372	coe:Cp258_0667
ko:K01934	coe:Cp258_0671
ko:K01259	coe:Cp258_0701
ko:K03711	coe:Cp258_1524
ko:K01823	coe:Cp258_1545
ko:K06147	coe:Cp258_1549
ko:K02035	coe:Cp258_1556
ko:K02033	coe:Cp258_1557
ko:K15521	coe:Cp258_0261
ko:K07768	coe:Cp258_0263
ko:K07776	coe:Cp258_0264
ko:K06196	coe:Cp258_0287
ko:K03326	coe:Cp258_0299
ko:K02549	coe:Cp258_0300
ko:K12583	coe:Cp258_0303
ko:K00016	coe:Cp258_0305
ko:K00805	coe:Cp258_0307
ko:K03768	coe:Cp258_1183
ko:K02035	coe:Cp258_1187
ko:K04518	coe:Cp258_1998
ko:K01489	coe:Cp258_2009
ko:K00758	coe:Cp258_2010
ko:K00016	coe:Cp258_2011
ko:K07304	coe:Cp258_2012
ko:K07784	coe:Cp258_2019
ko:K13671	coe:Cp258_2021
ko:K06177	coe:Cp258_2036
ko:K01372	coe:Cp258_0314
ko:K02035	coe:Cp258_0360
ko:K02033	coe:Cp258_0363
ko:K08256	coe:Cp258_1201
ko:K07305	coe:Cp258_1212
ko:K01092	coe:Cp258_1223
ko:K03087	coe:Cp258_1232
ko:K03709	coe:Cp258_1233
ko:K01784	coe:Cp258_1234
ko:K03386	coe:Cp258_1239
ko:K02004	coe:Cp258_2075
ko:K02564	coe:Cp258_2080
ko:K01788	coe:Cp258_2082
ko:K00845	coe:Cp258_2083
ko:K02035	coe:Cp258_2086
ko:K02033	coe:Cp258_2087
ko:K02031	coe:Cp258_2088
ko:K02034	coe:Cp258_2088
ko:K07052	coe:Cp258_2093
ko:K01424	coe:Cp258_0373
ko:K00939	coe:Cp258_0394
ko:K14743	coe:Cp258_0407
ko:K02028	coe:Cp258_0933
ko:K08483	coe:Cp258_1249
ko:K03436	coe:Cp258_1250
ko:K00882	coe:Cp258_1251
ko:K11189	coe:Cp258_1254
ko:K03743	coe:Cp258_1276
ko:K05794	coe:Cp258_1279
ko:K03177	coe:Cp258_1291
ko:K03436	coe:Cp258_1248
ko:K00970	coe:Cp258_2118
ko:K01409	coe:Cp258_0427
ko:K00088	coe:Cp258_0433
ko:K00088	coe:Cp258_0434
ko:K02077	coe:Cp258_0450
ko:K03709	coe:Cp258_0454
ko:K07258	coe:Cp258_0473
ko:K01488	coe:Cp258_0474
ko:K00567	coe:Cp258_1307
ko:K03404	coe:Cp258_1311
ko:K02056	coe:Cp258_0019
ko:K02342	coe:Cp258_0873
ko:K02433	coe:Cp258_0877
ko:K00058	coe:Cp258_0902
ko:K07182	coe:Cp258_0904
ko:K02342	coe:Cp258_0905
ko:K01885	coe:Cp258_0909
ko:K03932	coe:Cp258_0910
ko:K16013	coe:Cp258_1721
ko:K16012	coe:Cp258_1722
ko:K15520	coe:Cp258_1731
ko:K02619	coe:Cp258_1735
ko:K03647	coe:Cp258_1741
ko:K03499	coe:Cp258_1752
ko:K08167	coe:Cp258_1759
ko:K07120	coe:Cp258_0092
ko:K07052	coe:Cp258_0044
ko:K01958	coe:Cp258_0483
ko:K11263	coe:Cp258_0486
ko:K01011	coe:Cp258_0487
ko:K00852	coe:Cp258_0493
ko:K01966	coe:Cp258_0496
ko:K01966	coe:Cp258_0497
ko:K02025	coe:Cp258_0506
ko:K07670	coe:Cp258_0523
ko:K07654	coe:Cp258_0524
ko:K00508	coe:Cp258_0533
ko:K10563	coe:Cp258_1355
ko:K01496	coe:Cp258_1374
ko:K01092	coe:Cp258_1376
ko:K01814	coe:Cp258_1377
ko:K01817	coe:Cp258_1377
ko:K02342	coe:Cp258_1389
ko:K01424	coe:Cp258_1404
ko:K02428	coe:Cp258_0717
ko:K09009	coe:Cp258_0721
ko:K12503	coe:Cp258_0730
ko:K00867	coe:Cp258_0732
ko:K01679	coe:Cp258_0742
ko:K02446	coe:Cp258_0743
ko:K02035	coe:Cp258_1566
ko:K02238	coe:Cp258_1576
ko:K07030	coe:Cp258_0926
ko:K08974	coe:Cp258_0936
ko:K02755	coe:Cp258_0948
ko:K02756	coe:Cp258_0948
ko:K02757	coe:Cp258_0948
ko:K03932	coe:Cp258_1774
ko:K01507	coe:Cp258_1813
ko:K16264	coe:Cp258_0899
ko:K15772	coe:Cp258_0387
ko:K16653	coe:Cp258_0116
ko:K15770	coe:Cp258_0385
ko:K15771	coe:Cp258_0386
ko:K16783	coe:Cp258_1273
ko:K02484	coe:Cp258_1757
ko:K01985	coe:Cp258_r03
ko:K01985	coe:Cp258_r10
ko:K01985	coe:Cp258_r07
ko:K01985	coe:Cp258_r06
ko:K16784	coe:Cp258_1272
ko:K16652	coe:Cp258_0115
ko:K16647	coe:Cp258_1210
ko:K16650	coe:Cp258_1980
ko:K02851	coe:Cp258_0846
ko:K16648	coe:Cp258_1954
ko:K02030	coe:Cp258_0935
ko:K02030	coe:Cp258_1846
ko:K11991	coe:Cp258_0145
ko:K01906	coe:Cp258_1198
ko:K02031	coe:Cp258_0767
ko:K02032	coe:Cp258_0767
ko:K14224	coe:Cp258_t23
ko:K14224	coe:Cp258_t24
ko:K14219	coe:Cp258_t18
ko:K14233	coe:Cp258_t10
ko:K14219	coe:Cp258_t21
ko:K14228	coe:Cp258_t25
ko:K14228	coe:Cp258_t27
ko:K14219	coe:Cp258_t07
ko:K14219	coe:Cp258_t08
ko:K02768	coe:Cp258_1341
ko:K02769	coe:Cp258_1341
ko:K02770	coe:Cp258_1341
ko:K14234	coe:Cp258_t14
ko:K00966	coe:Cp258_0512
ko:K08316	coe:Cp258_0929
ko:K14225	coe:Cp258_t29
ko:K00108	coe:Cp258_1800
ko:K16870	coe:Cp258_0511
ko:K02303	coe:Cp258_1304
ko:K16925	coe:Cp258_0759
ko:K16786	coe:Cp258_0760
ko:K16787	coe:Cp258_0760
ko:K16785	coe:Cp258_0761
ko:K14227	coe:Cp258_t01
ko:K14228	coe:Cp258_t04
ko:K14233	coe:Cp258_t06
ko:K14234	coe:Cp258_t12
ko:K14236	coe:Cp258_t13
ko:K14223	coe:Cp258_t19
ko:K14223	coe:Cp258_t22
ko:K14237	coe:Cp258_t28
ko:K14221	coe:Cp258_t44
ko:K14218	coe:Cp258_t02
ko:K14218	coe:Cp258_t03
ko:K14233	coe:Cp258_t09
ko:K14230	coe:Cp258_t15
ko:K14230	coe:Cp258_t17
ko:K14233	coe:Cp258_t05
ko:K14232	coe:Cp258_t26
ko:K01980	coe:Cp258_r02
ko:K01980	coe:Cp258_r08
ko:K01980	coe:Cp258_r11
ko:K01980	coe:Cp258_r05
ko:K07012	coe:Cp258_1676
ko:K15582	coe:Cp258_0766
ko:K15581	coe:Cp258_0765
ko:K01990	coe:Cp258_1890
ko:K01992	coe:Cp258_1891
ko:K01992	coe:Cp258_1870
ko:K01990	coe:Cp258_1871
ko:K03574	coe:Cp258_1844
ko:K00951	coe:Cp258_1185
ko:K01897	coe:Cp258_1539
ko:K01897	coe:Cp258_0260
ko:K15580	coe:Cp258_0764
ko:K10112	coe:Cp258_0391
ko:K03416	coe:Cp258_0571
ko:K17489	coe:Cp258_0572
ko:K01990	coe:Cp258_0329
ko:K01990	coe:Cp258_1110
ko:K01990	coe:Cp258_1632
ko:K14232	coe:Cp258_t11
ko:K14228	coe:Cp258_t20
ko:K17490	coe:Cp258_0574
ko:K17489	coe:Cp258_0573
ko:K17686	coe:Cp258_2046
ko:K03671	coe:Cp258_2044
ko:K02010	coe:Cp258_0190
ko:K14235	coe:Cp258_t16
ko:K19745	coe:Cp258_1636
ko:K03767	coe:Cp258_0021
ko:K00537	coe:Cp258_0769
ko:K02026	coe:Cp258_0505
ko:K07284	coe:Cp258_1886
ko:K01658	coe:Cp258_2106
ko:K11928	coe:Cp258_0821
ko:K12574	coe:Cp258_1283
ko:K01267	coe:Cp258_1053
ko:K14337	coe:Cp258_1433
ko:K07284	coe:Cp258_1918
ko:K02027	coe:Cp258_0508
ko:K00254	coe:Cp258_1070
ko:K02031	coe:Cp258_0361
ko:K02032	coe:Cp258_0361
ko:K02031	coe:Cp258_0632
ko:K02032	coe:Cp258_0632
ko:K02031	coe:Cp258_1559
ko:K02032	coe:Cp258_1559
ko:K02058	coe:Cp258_0017
ko:K17883	coe:Cp258_1314
ko:K00130	coe:Cp258_1798
ko:K21480	coe:Cp258_1485
ko:K18118	coe:Cp258_1723
ko:K21687	coe:Cp258_0599
ko:K21688	coe:Cp258_0685
ko:K00652	coe:Cp258_1199
ko:K07052	coe:Cp258_1793
ko:K07284	coe:Cp258_1888
ko:K01619	coe:Cp258_0252
ko:K13671	coe:Cp258_1974
ko:K00299	coe:Cp258_1173
ko:K01372	coe:Cp258_0313
ko:K00138	coe:Cp258_1909
ko:K02483	coe:Cp258_1758
ko:K16237	coe:Cp258_0782
ko:K16237	coe:Cp258_0780
ko:K18455	coe:Cp258_0728
ko:K03574	coe:Cp258_0919
ko:K16649	coe:Cp258_0122
ko:K02803	coe:Cp258_0136
ko:K02804	coe:Cp258_0136
ko:K02777	coe:Cp258_2148
ko:K01186	coe:Cp258_0396
ko:K02017	coe:Cp258_2151
ko:K02018	coe:Cp258_2151
ko:K02020	coe:Cp258_2152
ko:K00374	coe:Cp258_2153
ko:K00373	coe:Cp258_2154
ko:K00371	coe:Cp258_2155
ko:K00370	coe:Cp258_2156
ko:K02575	coe:Cp258_2157
ko:K02575	coe:Cp258_2158
ko:K03637	coe:Cp258_2161
ko:K03750	coe:Cp258_2162
ko:K01990	coe:Cp258_0129
ko:K01992	coe:Cp258_0130
ko:K14225	coe:Cp258_t48
ko:K14220	coe:Cp258_t34
ko:K14232	coe:Cp258_t35
ko:K14229	coe:Cp258_t39
ko:K14229	coe:Cp258_t46
ko:K14218	coe:Cp258_t41
ko:K14234	coe:Cp258_t47
ko:K14237	coe:Cp258_t30
ko:K14237	coe:Cp258_t32
ko:K14225	coe:Cp258_t31
ko:K14225	coe:Cp258_t36
ko:K14231	coe:Cp258_t42
ko:K02032	coe:Cp258_1920
ko:K02032	coe:Cp258_2089
ko:K18955	coe:Cp258_0207
ko:K18955	coe:Cp258_0540
ko:K06147	coe:Cp258_0804
ko:K18929	coe:Cp258_0833
ko:K18928	coe:Cp258_0834
ko:K03496	coe:Cp258_0986
ko:K03111	coe:Cp258_2053
ko:K03497	coe:Cp258_2129
ko:K03496	coe:Cp258_2130
ko:K04565	coe:Cp258_0614
ko:K03111	coe:Cp258_1620
ko:K03976	coe:Cp258_0537
ko:K03526	coe:Cp258_1320
ko:K19125	coe:Cp258_0029
ko:K00067	coe:Cp258_0238
ko:K01790	coe:Cp258_0238
ko:K19221	coe:Cp258_1309
ko:K10563	coe:Cp258_2067
ko:K00798	coe:Cp258_1712
ko:K01710	coe:Cp258_0239
ko:K09951	coe:Cp258_1678
ko:K00525	coe:Cp258_1688
ko:K01239	coe:Cp258_1791
ko:K19124	coe:Cp258_0028
ko:K19126	coe:Cp258_1675
ko:K01239	coe:Cp258_1289
ko:K19302	coe:Cp258_0128
ko:K00020	coe:Cp258_0160
ko:K19265	coe:Cp258_0888
ko:K01990	coe:Cp258_1843
ko:K01785	coe:Cp258_0811
ko:K03722	coe:Cp258_1671
ko:K00526	coe:Cp258_1686
ko:K01992	coe:Cp258_1842
ko:K06867	coe:Cp258_1537
ko:K06867	coe:Cp258_1574
ko:K06881	coe:Cp258_1295
ko:K19577	coe:Cp258_0467
ko:K06221	coe:Cp258_0615
ko:K19710	coe:Cp258_1204
ko:K19784	coe:Cp258_2014
ko:K02888	coe:Cp258_1589
ko:K03427	coe:Cp258_2172
ko:K03427	coe:Cp258_2176
ko:K04095	coe:Cp258_2188
ko:K03657	coe:Cp258_0647
ko:K00459	coe:Cp258_0705
ko:K07497	coe:Cp258_2165
ko:K07119	coe:Cp258_1646
ko:K02768	coe:Cp258_1252
ko:K02769	coe:Cp258_1252
ko:K02770	coe:Cp258_1252
ko:K02230	coe:Cp258_1033
ko:K15526	coe:Cp258_1066
ko:K03648	coe:Cp258_0925
ko:K02033	coe:Cp258_1565
ko:K02034	coe:Cp258_1565
ko:K14230	coe:Cp258_t33
ko:K14226	coe:Cp258_t38
ko:K01046	coe:Cp258_0081
ko:K09796	coe:Cp258_1207
ko:K12132	coe:Cp258_0037
ko:K12132	coe:Cp258_1435
ko:K12132	coe:Cp258_0038
ko:K20074	coe:Cp258_0041
ko:K20468	coe:Cp258_1964
ko:K20470	coe:Cp258_1963
ko:K01214	coe:Cp258_1388
ko:K14228	coe:Cp258_t40
ko:K14221	coe:Cp258_t43
ko:K01200	coe:Cp258_0709
ko:K20814	coe:Cp258_1050
ko:K14219	coe:Cp258_t37
ko:K14224	coe:Cp258_t45
ko:K21071	coe:Cp258_0885
ko:K01768	coe:Cp258_0232
ko:K00821	coe:Cp258_0967
ko:K21147	coe:Cp258_0374
ko:K21636	coe:Cp258_0334
ko:K02335	coe:Cp258_0945
ko:K03553	coe:Cp258_1269
ko:K03465	coe:Cp258_1285
ko:K07465	coe:Cp258_1055
ko:K01520	coe:Cp258_1220
ko:K02316	coe:Cp258_1511
ko:K14623	coe:Cp258_2184
ko:K06217	coe:Cp258_1532
ko:K06191	coe:Cp258_1690
ko:K02314	coe:Cp258_2049
ko:K00287	coe:Cp258_0637
ko:K00560	coe:Cp258_0638
ko:K09820	coe:Cp258_0321
ko:K01436	coe:Cp258_0481
ko:K09819	coe:Cp258_0322
ko:K22468	coe:Cp258_0691
ko:K02075	coe:Cp258_0453
ko:K02075	coe:Cp258_0452
ko:K02074	coe:Cp258_0451
ko:K03636	coe:Cp258_2150
ko:K00526	coe:Cp258_1742
ko:K21481	coe:Cp258_1648
ko:K21473	coe:Cp258_1091
ko:K05364	coe:Cp258_0039
ko:K21401	coe:Cp258_0306
ko:K21471	coe:Cp258_1442
ko:K21498	coe:Cp258_1056
ko:K10914	coe:Cp258_0211
ko:K21685	coe:Cp258_1713
ko:K21962	coe:Cp258_1094
ko:K22044	coe:Cp258_0895
ko:K22044	coe:Cp258_1613
ko:K03595	coe:Cp258_1528
ko:K17758	coe:Cp258_2068
ko:K17759	coe:Cp258_2068
ko:K22316	coe:Cp258_1493
ko:K22306	coe:Cp258_1579
ko:K02257	coe:Cp258_1113
ko:K22311	coe:Cp258_1202
ko:K11206	coe:Cp258_1905
ko:K22476	coe:Cp258_1839
ko:K00728	coe:Cp258_0678
ko:K22468	coe:Cp258_1820
ko:K08300	coe:Cp258_1590
ko:K08301	coe:Cp258_1590
ko:K07566	coe:Cp258_0845
