ko:K00986	bant:A16_59740
ko:K11034	bant:A16_19240
ko:K11034	bant:A16_19250
ko:K05346	bant:A16_19270
ko:K01619	bant:A16_19280
ko:K11535	bant:A16_19290
ko:K00756	bant:A16_19300
ko:K01489	bant:A16_19310
ko:K01262	bant:A16_19370
ko:K01118	bant:A16_19450
ko:K14166	bant:A16_19500
ko:K01426	bant:A16_19590
ko:K00016	bant:A16_19610
ko:K00274	bant:A16_19620
ko:K01638	bant:A16_11890
ko:K01637	bant:A16_11900
ko:K03704	bant:A16_11920
ko:K02250	bant:A16_11950
ko:K03100	bant:A16_11970
ko:K16899	bant:A16_11980
ko:K16898	bant:A16_11990
ko:K06304	bant:A16_12010
ko:K06303	bant:A16_12020
ko:K06302	bant:A16_12030
ko:K06301	bant:A16_12040
ko:K06300	bant:A16_12050
ko:K00819	bant:A16_12090
ko:K01953	bant:A16_12120
ko:K01772	bant:A16_12130
ko:K03781	bant:A16_12140
ko:K03320	bant:A16_12150
ko:K09767	bant:A16_12180
ko:K00243	bant:A16_12190
ko:K07533	bant:A16_12210
ko:K03695	bant:A16_12290
ko:K00648	bant:A16_12340
ko:K09458	bant:A16_12350
ko:K01867	bant:A16_12380
ko:K15580	bant:A16_12400
ko:K03455	bant:A16_53020
ko:K07228	bant:A16_53030
ko:K03310	bant:A16_53040
ko:K04047	bant:A16_53050
ko:K06966	bant:A16_53090
ko:K02217	bant:A16_53110
ko:K07148	bant:A16_53130
ko:K11535	bant:A16_53140
ko:K03317	bant:A16_53150
ko:K03310	bant:A16_53160
ko:K03310	bant:A16_53170
ko:K07118	bant:A16_53180
ko:K03885	bant:A16_53270
ko:K01866	bant:A16_53280
ko:K00075	bant:A16_53290
ko:K07117	bant:A16_53300
ko:K03406	bant:A16_53310
ko:K06199	bant:A16_53330
ko:K06199	bant:A16_53340
ko:K00657	bant:A16_53370
ko:K13256	bant:A16_53380
ko:K02013	bant:A16_53410
ko:K02015	bant:A16_53420
ko:K02015	bant:A16_53430
ko:K02016	bant:A16_53440
ko:K03664	bant:A16_53460
ko:K12573	bant:A16_53480
ko:K03928	bant:A16_53490
ko:K03075	bant:A16_53500
ko:K01689	bant:A16_53770
ko:K15633	bant:A16_53780
ko:K01803	bant:A16_53790
ko:K00927	bant:A16_53800
ko:K00134	bant:A16_53810
ko:K05311	bant:A16_53820
ko:K03092	bant:A16_53840
ko:K06405	bant:A16_53880
ko:K06406	bant:A16_53890
ko:K06407	bant:A16_53900
ko:K01358	bant:A16_53930
ko:K11184	bant:A16_53940
ko:K09762	bant:A16_53950
ko:K06958	bant:A16_53970
ko:K03574	bant:A16_53980
ko:K08974	bant:A16_53990
ko:K00384	bant:A16_54000
ko:K06019	bant:A16_54030
ko:K13292	bant:A16_54040
ko:K06023	bant:A16_54050
ko:K08972	bant:A16_54060
ko:K03701	bant:A16_54080
ko:K01755	bant:A16_48710
ko:K01940	bant:A16_48720
ko:K00925	bant:A16_48800
ko:K11065	bant:A16_48820
ko:K00858	bant:A16_48850
ko:K04750	bant:A16_48870
ko:K01895	bant:A16_48880
ko:K03151	bant:A16_48900
ko:K04487	bant:A16_48910
ko:K06286	bant:A16_48930
ko:K01761	bant:A16_48990
ko:K02986	bant:A16_49000
ko:K01866	bant:A16_49030
ko:K03088	bant:A16_49050
ko:K01895	bant:A16_49070
ko:K04766	bant:A16_49080
ko:K04767	bant:A16_49090
ko:K04768	bant:A16_49100
ko:K03810	bant:A16_49150
ko:K03282	bant:A16_49160
ko:K02529	bant:A16_49210
ko:K03817	bant:A16_49290
ko:K01924	bant:A16_49300
ko:K00763	bant:A16_49310
ko:K06878	bant:A16_49350
ko:K03439	bant:A16_49420
ko:K01975	bant:A16_49460
ko:K01439	bant:A16_49480
ko:K06183	bant:A16_49500
ko:K07007	bant:A16_49520
ko:K00034	bant:A16_49610
ko:K05340	bant:A16_49620
ko:K03636	bant:A16_49640
ko:K03635	bant:A16_49650
ko:K03753	bant:A16_49660
ko:K03750	bant:A16_49670
ko:K03637	bant:A16_49680
ko:K00641	bant:A16_49770
ko:K00666	bant:A16_19660
ko:K01999	bant:A16_19700
ko:K01995	bant:A16_19710
ko:K01996	bant:A16_19720
ko:K01997	bant:A16_19730
ko:K01998	bant:A16_19740
ko:K01607	bant:A16_19780
ko:K00425	bant:A16_19810
ko:K00426	bant:A16_19820
ko:K16013	bant:A16_19830
ko:K16012	bant:A16_19840
ko:K07078	bant:A16_19890
ko:K18104	bant:A16_19930
ko:K00059	bant:A16_19970
ko:K07006	bant:A16_20040
ko:K00003	bant:A16_20050
ko:K01733	bant:A16_20060
ko:K00872	bant:A16_20070
ko:K00567	bant:A16_20750
ko:K11210	bant:A16_20780
ko:K06330	bant:A16_20820
ko:K03284	bant:A16_20860
ko:K07089	bant:A16_20870
ko:K08986	bant:A16_20880
ko:K09793	bant:A16_20950
ko:K03311	bant:A16_20990
ko:K06878	bant:A16_21000
ko:K06385	bant:A16_21030
ko:K01426	bant:A16_21070
ko:K01834	bant:A16_21110
ko:K01775	bant:A16_21140
ko:K00375	bant:A16_21200
ko:K00675	bant:A16_21870
ko:K06416	bant:A16_21900
ko:K06950	bant:A16_21960
ko:K15738	bant:A16_21970
ko:K01887	bant:A16_22080
ko:K01870	bant:A16_22140
ko:K01929	bant:A16_22170
ko:K13993	bant:A16_22980
ko:K02480	bant:A16_23000
ko:K13953	bant:A16_23040
ko:K00851	bant:A16_23110
ko:K00851	bant:A16_23120
ko:K03206	bant:A16_23150
ko:K05847	bant:A16_23180
ko:K05845	bant:A16_23190
ko:K05846	bant:A16_23190
ko:K03758	bant:A16_23200
ko:K11686	bant:A16_23250
ko:K01034	bant:A16_23330
ko:K01438	bant:A16_23350
ko:K06714	bant:A16_23370
ko:K01843	bant:A16_23380
ko:K06377	bant:A16_23460
ko:K03530	bant:A16_24100
ko:K03310	bant:A16_24140
ko:K06182	bant:A16_24180
ko:K01868	bant:A16_24200
ko:K02004	bant:A16_24230
ko:K02034	bant:A16_24280
ko:K07238	bant:A16_24290
ko:K06994	bant:A16_24400
ko:K03825	bant:A16_24450
ko:K00231	bant:A16_24510
ko:K03704	bant:A16_24550
ko:K15581	bant:A16_12410
ko:K15582	bant:A16_12420
ko:K15583	bant:A16_12430
ko:K02035	bant:A16_12470
ko:K16509	bant:A16_12500
ko:K16511	bant:A16_12520
ko:K06131	bant:A16_12530
ko:K08602	bant:A16_12550
ko:K06886	bant:A16_12580
ko:K07816	bant:A16_12610
ko:K00858	bant:A16_12620
ko:K06180	bant:A16_12630
ko:K05303	bant:A16_12720
ko:K00973	bant:A16_12790
ko:K01790	bant:A16_12800
ko:K00067	bant:A16_12820
ko:K00208	bant:A16_12830
ko:K03657	bant:A16_12900
ko:K07507	bant:A16_20160
ko:K00666	bant:A16_20200
ko:K15652	bant:A16_20230
ko:K06895	bant:A16_20280
ko:K07001	bant:A16_20300
ko:K01916	bant:A16_20360
ko:K13275	bant:A16_20410
ko:K06949	bant:A16_20480
ko:K03406	bant:A16_20490
ko:K04047	bant:A16_20530
ko:K00274	bant:A16_20580
ko:K00657	bant:A16_20620
ko:K09815	bant:A16_20710
ko:K01938	bant:A16_21420
ko:K01759	bant:A16_21460
ko:K03088	bant:A16_21490
ko:K00432	bant:A16_21540
ko:K03924	bant:A16_21570
ko:K00370	bant:A16_21600
ko:K00371	bant:A16_21610
ko:K00373	bant:A16_21620
ko:K00374	bant:A16_21630
ko:K07979	bant:A16_21640
ko:K01990	bant:A16_21650
ko:K03639	bant:A16_21680
ko:K03750	bant:A16_21700
ko:K03635	bant:A16_21710
ko:K03636	bant:A16_21720
ko:K02575	bant:A16_21730
ko:K07088	bant:A16_21740
ko:K02304	bant:A16_21760
ko:K13542	bant:A16_21780
ko:K00363	bant:A16_21790
ko:K00362	bant:A16_21800
ko:K07322	bant:A16_21810
ko:K00865	bant:A16_22430
ko:K03308	bant:A16_22490
ko:K01259	bant:A16_22500
ko:K09962	bant:A16_22510
ko:K01091	bant:A16_22530
ko:K01779	bant:A16_22560
ko:K01990	bant:A16_22620
ko:K01992	bant:A16_22630
ko:K01118	bant:A16_22750
ko:K00655	bant:A16_22760
ko:K11068	bant:A16_22770
ko:K03116	bant:A16_22780
ko:K03118	bant:A16_22790
ko:K07152	bant:A16_22840
ko:K01953	bant:A16_22860
ko:K02016	bant:A16_22900
ko:K00824	bant:A16_22910
ko:K07533	bant:A16_23710
ko:K06304	bant:A16_23750
ko:K05366	bant:A16_23780
ko:K01647	bant:A16_23820
ko:K01720	bant:A16_23830
ko:K00140	bant:A16_23880
ko:K03547	bant:A16_23930
ko:K08177	bant:A16_24000
ko:K00216	bant:A16_24010
ko:K02361	bant:A16_24020
ko:K02363	bant:A16_24030
ko:K01252	bant:A16_24040
ko:K04780	bant:A16_24050
ko:K06133	bant:A16_24080
ko:K00133	bant:A16_24680
ko:K09702	bant:A16_24740
ko:K01448	bant:A16_24770
ko:K03088	bant:A16_24850
ko:K02760	bant:A16_24930
ko:K02761	bant:A16_24940
ko:K09001	bant:A16_24960
ko:K01754	bant:A16_25000
ko:K05592	bant:A16_25040
ko:K02004	bant:A16_25100
ko:K02003	bant:A16_25110
ko:K01834	bant:A16_25170
ko:K01961	bant:A16_25800
ko:K02160	bant:A16_25810
ko:K01640	bant:A16_25820
ko:K01895	bant:A16_25850
ko:K01243	bant:A16_25960
ko:K08602	bant:A16_26170
ko:K01928	bant:A16_26250
ko:K01449	bant:A16_26280
ko:K01426	bant:A16_26290
ko:K01126	bant:A16_27020
ko:K00657	bant:A16_27100
ko:K08177	bant:A16_27150
ko:K02338	bant:A16_27190
ko:K03574	bant:A16_27200
ko:K07214	bant:A16_27290
ko:K00382	bant:A16_28080
ko:K00627	bant:A16_28090
ko:K02001	bant:A16_28190
ko:K02000	bant:A16_28200
ko:K02002	bant:A16_28210
ko:K01358	bant:A16_28220
ko:K03088	bant:A16_28230
ko:K01807	bant:A16_28250
ko:K03657	bant:A16_28480
ko:K02372	bant:A16_29290
ko:K09680	bant:A16_29300
ko:K01992	bant:A16_29340
ko:K01990	bant:A16_29360
ko:K04091	bant:A16_29450
ko:K15554	bant:A16_29460
ko:K15553	bant:A16_29470
ko:K15555	bant:A16_29480
ko:K03324	bant:A16_08700
ko:K09963	bant:A16_08730
ko:K03491	bant:A16_08740
ko:K02759	bant:A16_08750
ko:K02760	bant:A16_08760
ko:K02761	bant:A16_08770
ko:K02004	bant:A16_08810
ko:K02003	bant:A16_08820
ko:K02005	bant:A16_08830
ko:K02034	bant:A16_08870
ko:K03311	bant:A16_08880
ko:K06334	bant:A16_08890
ko:K06333	bant:A16_08900
ko:K06332	bant:A16_08910
ko:K10979	bant:A16_08940
ko:K11928	bant:A16_12970
ko:K01657	bant:A16_12990
ko:K01658	bant:A16_13000
ko:K00766	bant:A16_13010
ko:K01609	bant:A16_13020
ko:K01817	bant:A16_13030
ko:K01696	bant:A16_13040
ko:K01695	bant:A16_13050
ko:K03303	bant:A16_13070
ko:K09136	bant:A16_13160
ko:K00658	bant:A16_13180
ko:K00164	bant:A16_13190
ko:K07729	bant:A16_13200
ko:K13280	bant:A16_13330
ko:K09607	bant:A16_13390
ko:K00128	bant:A16_13400
ko:K11072	bant:A16_13410
ko:K11071	bant:A16_13420
ko:K11070	bant:A16_13430
ko:K11069	bant:A16_13440
ko:K06180	bant:A16_13480
ko:K01270	bant:A16_25250
ko:K03088	bant:A16_25290
ko:K17836	bant:A16_25350
ko:K00010	bant:A16_25390
ko:K03338	bant:A16_25400
ko:K00140	bant:A16_25410
ko:K03336	bant:A16_25430
ko:K01624	bant:A16_25460
ko:K03337	bant:A16_25470
ko:K01119	bant:A16_25510
ko:K01119	bant:A16_25530
ko:K07729	bant:A16_25560
ko:K01448	bant:A16_25600
ko:K17218	bant:A16_25700
ko:K01069	bant:A16_25710
ko:K01990	bant:A16_25740
ko:K01992	bant:A16_25750
ko:K11635	bant:A16_26380
ko:K00003	bant:A16_26440
ko:K01921	bant:A16_26460
ko:K03707	bant:A16_26470
ko:K01779	bant:A16_26760
ko:K16924	bant:A16_26770
ko:K16786	bant:A16_26780
ko:K16787	bant:A16_26780
ko:K16785	bant:A16_26790
ko:K07697	bant:A16_26810
ko:K13955	bant:A16_26840
ko:K08310	bant:A16_27490
ko:K00675	bant:A16_27530
ko:K07025	bant:A16_27560
ko:K03076	bant:A16_27700
ko:K06313	bant:A16_27830
ko:K01449	bant:A16_27840
ko:K00453	bant:A16_27870
ko:K07130	bant:A16_27880
ko:K01556	bant:A16_27890
ko:K03654	bant:A16_28520
ko:K15986	bant:A16_28590
ko:K03310	bant:A16_28630
ko:K00128	bant:A16_28640
ko:K01714	bant:A16_28650
ko:K03740	bant:A16_28790
ko:K15580	bant:A16_28810
ko:K01489	bant:A16_28860
ko:K01281	bant:A16_28910
ko:K06889	bant:A16_28960
ko:K01243	bant:A16_28970
ko:K05946	bant:A16_28990
ko:K06994	bant:A16_29780
ko:K00800	bant:A16_29810
ko:K04517	bant:A16_29820
ko:K00817	bant:A16_29830
ko:K01736	bant:A16_29840
ko:K13853	bant:A16_29850
ko:K03088	bant:A16_29950
ko:K00116	bant:A16_29990
ko:K10555	bant:A16_30000
ko:K10556	bant:A16_30030
ko:K10558	bant:A16_30040
ko:K07979	bant:A16_30770
ko:K02003	bant:A16_30800
ko:K02004	bant:A16_30810
ko:K02004	bant:A16_30820
ko:K13652	bant:A16_30850
ko:K03574	bant:A16_30880
ko:K09768	bant:A16_30920
ko:K00876	bant:A16_30990
ko:K07090	bant:A16_31030
ko:K11733	bant:A16_31050
ko:K03311	bant:A16_31670
ko:K00027	bant:A16_31710
ko:K06312	bant:A16_31740
ko:K06312	bant:A16_31750
ko:K06311	bant:A16_31760
ko:K06310	bant:A16_31770
ko:K01425	bant:A16_31820
ko:K03781	bant:A16_31910
ko:K09932	bant:A16_31950
ko:K01669	bant:A16_32080
ko:K09822	bant:A16_32100
ko:K05577	bant:A16_32110
ko:K02548	bant:A16_32140
ko:K02003	bant:A16_32760
ko:K02004	bant:A16_32780
ko:K07734	bant:A16_32870
ko:K00782	bant:A16_32900
ko:K03406	bant:A16_33120
ko:K00657	bant:A16_33150
ko:K01387	bant:A16_33180
ko:K03837	bant:A16_33230
ko:K01752	bant:A16_33240
ko:K01752	bant:A16_33250
ko:K00836	bant:A16_33270
ko:K02553	bant:A16_33830
ko:K06889	bant:A16_33870
ko:K08591	bant:A16_33890
ko:K03976	bant:A16_33900
ko:K01892	bant:A16_33910
ko:K00873	bant:A16_33970
ko:K00059	bant:A16_33990
ko:K01992	bant:A16_34000
ko:K01990	bant:A16_34010
ko:K01560	bant:A16_34060
ko:K01104	bant:A16_34080
ko:K01759	bant:A16_34130
ko:K00661	bant:A16_34160
ko:K02003	bant:A16_34190
ko:K01867	bant:A16_34210
ko:K00099	bant:A16_34220
ko:K02116	bant:A16_34350
ko:K11473	bant:A16_13510
ko:K00104	bant:A16_13520
ko:K02647	bant:A16_13530
ko:K00782	bant:A16_13600
ko:K02236	bant:A16_13610
ko:K02598	bant:A16_13640
ko:K06421	bant:A16_13680
ko:K00023	bant:A16_13730
ko:K07145	bant:A16_30140
ko:K16323	bant:A16_30180
ko:K00147	bant:A16_30190
ko:K00931	bant:A16_30200
ko:K00286	bant:A16_30210
ko:K02205	bant:A16_30240
ko:K01077	bant:A16_30270
ko:K07727	bant:A16_30290
ko:K07706	bant:A16_30330
ko:K00876	bant:A16_30360
ko:K01759	bant:A16_30380
ko:K03924	bant:A16_30420
ko:K03762	bant:A16_30460
ko:K03781	bant:A16_30560
ko:K01486	bant:A16_30580
ko:K03574	bant:A16_31130
ko:K03100	bant:A16_31150
ko:K01304	bant:A16_31190
ko:K07160	bant:A16_31240
ko:K06351	bant:A16_31260
ko:K03100	bant:A16_31280
ko:K06201	bant:A16_31290
ko:K06385	bant:A16_31300
ko:K06329	bant:A16_31480
ko:K09190	bant:A16_31490
ko:K00121	bant:A16_31580
ko:K07217	bant:A16_31600
ko:K01744	bant:A16_31610
ko:K01424	bant:A16_31620
ko:K03294	bant:A16_31660
ko:K03325	bant:A16_32240
ko:K04045	bant:A16_32290
ko:K01759	bant:A16_32350
ko:K16263	bant:A16_32400
ko:K14338	bant:A16_32460
ko:K00648	bant:A16_32720
ko:K04656	bant:A16_33280
ko:K04655	bant:A16_33290
ko:K16263	bant:A16_33320
ko:K00058	bant:A16_33350
ko:K03088	bant:A16_33400
ko:K01434	bant:A16_33460
ko:K01992	bant:A16_33620
ko:K01990	bant:A16_33630
ko:K11031	bant:A16_33700
ko:K02106	bant:A16_33710
ko:K00355	bant:A16_33730
ko:K16927	bant:A16_33780
ko:K16786	bant:A16_33790
ko:K16787	bant:A16_33790
ko:K16785	bant:A16_33800
ko:K09984	bant:A16_34400
ko:K07404	bant:A16_34410
ko:K00851	bant:A16_34420
ko:K00616	bant:A16_34440
ko:K00033	bant:A16_34450
ko:K00615	bant:A16_34460
ko:K00036	bant:A16_34470
ko:K00059	bant:A16_34530
ko:K07078	bant:A16_34560
ko:K03837	bant:A16_34630
ko:K16509	bant:A16_34680
ko:K00574	bant:A16_34730
ko:K00064	bant:A16_34760
ko:K03093	bant:A16_34970
ko:K07052	bant:A16_35000
ko:K01992	bant:A16_35060
ko:K01990	bant:A16_35070
ko:K05601	bant:A16_35100
ko:K17837	bant:A16_35120
ko:K07273	bant:A16_35130
ko:K07222	bant:A16_35200
ko:K09936	bant:A16_35230
ko:K02016	bant:A16_35430
ko:K03704	bant:A16_36010
ko:K03839	bant:A16_36030
ko:K07034	bant:A16_36040
ko:K16216	bant:A16_36090
ko:K06976	bant:A16_36100
ko:K01755	bant:A16_36110
ko:K14392	bant:A16_36140
ko:K00128	bant:A16_36160
ko:K00059	bant:A16_36170
ko:K18115	bant:A16_36190
ko:K09775	bant:A16_36200
ko:K05786	bant:A16_36210
ko:K03593	bant:A16_36250
ko:K03636	bant:A16_36260
ko:K03635	bant:A16_36270
ko:K03750	bant:A16_36280
ko:K03639	bant:A16_36310
ko:K02379	bant:A16_36320
ko:K00123	bant:A16_36360
ko:K15580	bant:A16_36480
ko:K15580	bant:A16_36490
ko:K15580	bant:A16_36510
ko:K11103	bant:A16_36520
ko:K06999	bant:A16_37090
ko:K15975	bant:A16_37100
ko:K03307	bant:A16_37110
ko:K07736	bant:A16_37140
ko:K01479	bant:A16_37150
ko:K01468	bant:A16_37160
ko:K01712	bant:A16_37170
ko:K01745	bant:A16_37180
ko:K09683	bant:A16_37190
ko:K06196	bant:A16_37320
ko:K06518	bant:A16_37350
ko:K07090	bant:A16_37400
ko:K09976	bant:A16_37470
ko:K00615	bant:A16_37490
ko:K02042	bant:A16_37510
ko:K02042	bant:A16_37520
ko:K02041	bant:A16_37530
ko:K02044	bant:A16_37540
ko:K01119	bant:A16_37550
ko:K01356	bant:A16_37590
ko:K01915	bant:A16_38370
ko:K03713	bant:A16_38380
ko:K06413	bant:A16_38430
ko:K03666	bant:A16_38460
ko:K00791	bant:A16_38470
ko:K02768	bant:A16_38500
ko:K02769	bant:A16_38500
ko:K02770	bant:A16_38500
ko:K00882	bant:A16_38510
ko:K03436	bant:A16_38520
ko:K08976	bant:A16_38550
ko:K11735	bant:A16_38580
ko:K01183	bant:A16_38590
ko:K07098	bant:A16_38610
ko:K03530	bant:A16_38630
ko:K17686	bant:A16_38640
ko:K07213	bant:A16_38650
ko:K07017	bant:A16_38680
ko:K02013	bant:A16_38690
ko:K02015	bant:A16_38700
ko:K02015	bant:A16_38710
ko:K02015	bant:A16_35450
ko:K02015	bant:A16_35460
ko:K01176	bant:A16_35610
ko:K00675	bant:A16_35620
ko:K08602	bant:A16_35630
ko:K01126	bant:A16_35700
ko:K07734	bant:A16_35800
ko:K03453	bant:A16_35820
ko:K01387	bant:A16_35910
ko:K07507	bant:A16_35920
ko:K07104	bant:A16_35940
ko:K03088	bant:A16_36550
ko:K01992	bant:A16_36580
ko:K01990	bant:A16_36600
ko:K02621	bant:A16_36630
ko:K02622	bant:A16_36640
ko:K08591	bant:A16_36710
ko:K07107	bant:A16_36730
ko:K06306	bant:A16_36740
ko:K06434	bant:A16_36750
ko:K06431	bant:A16_36760
ko:K02342	bant:A16_36780
ko:K06147	bant:A16_36820
ko:K01681	bant:A16_36830
ko:K06432	bant:A16_36850
ko:K06335	bant:A16_36880
ko:K00626	bant:A16_36940
ko:K03523	bant:A16_36960
ko:K00666	bant:A16_36970
ko:K01489	bant:A16_37020
ko:K10947	bant:A16_37620
ko:K03088	bant:A16_38040
ko:K02016	bant:A16_38720
ko:K01142	bant:A16_38740
ko:K13530	bant:A16_38750
ko:K13531	bant:A16_38760
ko:K01247	bant:A16_38770
ko:K01258	bant:A16_38780
ko:K01834	bant:A16_38820
ko:K06518	bant:A16_38910
ko:K01771	bant:A16_38960
ko:K01449	bant:A16_38990
ko:K07137	bant:A16_39000
ko:K01442	bant:A16_39040
ko:K03572	bant:A16_39120
ko:K03555	bant:A16_39130
ko:K06328	bant:A16_39140
ko:K06168	bant:A16_39160
ko:K00175	bant:A16_39170
ko:K00174	bant:A16_39180
ko:K01273	bant:A16_39190
ko:K06416	bant:A16_39200
ko:K09769	bant:A16_39210
ko:K00995	bant:A16_39260
ko:K00059	bant:A16_39300
ko:K02057	bant:A16_39340
ko:K02056	bant:A16_39360
ko:K07335	bant:A16_39370
ko:K03710	bant:A16_39380
ko:K03466	bant:A16_39390
ko:K12574	bant:A16_39420
ko:K01714	bant:A16_39430
ko:K00928	bant:A16_39440
ko:K00133	bant:A16_39450
ko:K06411	bant:A16_39460
ko:K06410	bant:A16_39470
ko:K00962	bant:A16_39510
ko:K02956	bant:A16_39520
ko:K11753	bant:A16_39530
ko:K03177	bant:A16_39540
ko:K02834	bant:A16_39550
ko:K09764	bant:A16_39560
ko:K02519	bant:A16_39570
ko:K07742	bant:A16_39590
ko:K02600	bant:A16_39600
ko:K09748	bant:A16_39610
ko:K03763	bant:A16_39620
ko:K01881	bant:A16_39630
ko:K11749	bant:A16_39640
ko:K00099	bant:A16_39650
ko:K00981	bant:A16_39660
ko:K00806	bant:A16_39670
ko:K02838	bant:A16_39680
ko:K09903	bant:A16_39690
ko:K02357	bant:A16_39700
ko:K02967	bant:A16_39710
ko:K03706	bant:A16_39720
ko:K03667	bant:A16_39730
ko:K01419	bant:A16_39740
ko:K03733	bant:A16_39750
ko:K04094	bant:A16_39760
ko:K03168	bant:A16_39770
ko:K04096	bant:A16_39780
ko:K01902	bant:A16_39790
ko:K01903	bant:A16_39800
ko:K03470	bant:A16_39810
ko:K14540	bant:A16_39820
ko:K03100	bant:A16_39830
ko:K02884	bant:A16_39840
ko:K00554	bant:A16_39850
ko:K02860	bant:A16_39860
ko:K06960	bant:A16_39870
ko:K02959	bant:A16_39880
ko:K03106	bant:A16_39890
ko:K09787	bant:A16_39900
ko:K03110	bant:A16_39910
ko:K03529	bant:A16_39920
ko:K03685	bant:A16_39940
ko:K02078	bant:A16_39950
ko:K00059	bant:A16_39960
ko:K00645	bant:A16_39970
ko:K03621	bant:A16_39980
ko:K03655	bant:A16_40000
ko:K07030	bant:A16_40010
ko:K02902	bant:A16_40030
ko:K00949	bant:A16_40040
ko:K01783	bant:A16_40050
ko:K06949	bant:A16_40060
ko:K06941	bant:A16_40090
ko:K03500	bant:A16_40100
ko:K00604	bant:A16_40110
ko:K01462	bant:A16_40120
ko:K04066	bant:A16_40130
ko:K13038	bant:A16_40140
ko:K03060	bant:A16_40150
ko:K00942	bant:A16_40160
ko:K09777	bant:A16_40170
ko:K01537	bant:A16_40190
ko:K00762	bant:A16_40270
ko:K01591	bant:A16_40280
ko:K17828	bant:A16_40290
ko:K02823	bant:A16_40300
ko:K01955	bant:A16_40310
ko:K01956	bant:A16_40320
ko:K01465	bant:A16_40330
ko:K00609	bant:A16_40340
ko:K02824	bant:A16_40350
ko:K02825	bant:A16_40360
ko:K06180	bant:A16_40370
ko:K03101	bant:A16_40380
ko:K01870	bant:A16_40400
ko:K04074	bant:A16_40410
ko:K02221	bant:A16_40430
ko:K09772	bant:A16_40440
ko:K06997	bant:A16_40450
ko:K05810	bant:A16_40460
ko:K03091	bant:A16_40480
ko:K03091	bant:A16_40490
ko:K06383	bant:A16_40500
ko:K03531	bant:A16_40510
ko:K03590	bant:A16_40520
ko:K03589	bant:A16_40530
ko:K00075	bant:A16_40540
ko:K02563	bant:A16_40550
ko:K03588	bant:A16_40560
ko:K01925	bant:A16_40570
ko:K01000	bant:A16_40580
ko:K01928	bant:A16_40590
ko:K08384	bant:A16_40600
ko:K08724	bant:A16_40610
ko:K03438	bant:A16_40630
ko:K00077	bant:A16_40650
ko:K02911	bant:A16_40680
ko:K07040	bant:A16_40690
ko:K07177	bant:A16_41390
ko:K07001	bant:A16_41400
ko:K00954	bant:A16_41420
ko:K01455	bant:A16_41530
ko:K02862	bant:A16_41540
ko:K02276	bant:A16_41560
ko:K02274	bant:A16_41570
ko:K02275	bant:A16_41580
ko:K02259	bant:A16_41600
ko:K01958	bant:A16_41610
ko:K03588	bant:A16_41620
ko:K07175	bant:A16_41650
ko:K06207	bant:A16_41700
ko:K01092	bant:A16_41720
ko:K00686	bant:A16_41770
ko:K00382	bant:A16_41830
ko:K00627	bant:A16_41840
ko:K00162	bant:A16_41850
ko:K11210	bant:A16_41140
ko:K00161	bant:A16_41860
ko:K12574	bant:A16_41920
ko:K03499	bant:A16_41930
ko:K00426	bant:A16_41940
ko:K05823	bant:A16_41950
ko:K05822	bant:A16_41960
ko:K09776	bant:A16_42000
ko:K07098	bant:A16_42080
ko:K00937	bant:A16_42100
ko:K01524	bant:A16_42110
ko:K00549	bant:A16_42200
ko:K07697	bant:A16_42240
ko:K00841	bant:A16_42260
ko:K15772	bant:A16_42290
ko:K15771	bant:A16_42300
ko:K15770	bant:A16_42310
ko:K01182	bant:A16_42330
ko:K10112	bant:A16_42340
ko:K00626	bant:A16_42410
ko:K10947	bant:A16_42490
ko:K00019	bant:A16_42500
ko:K08963	bant:A16_42520
ko:K00899	bant:A16_42530
ko:K08969	bant:A16_42550
ko:K08965	bant:A16_42560
ko:K08966	bant:A16_42570
ko:K08964	bant:A16_42580
ko:K08967	bant:A16_42590
ko:K08483	bant:A16_42680
ko:K11189	bant:A16_42690
ko:K03480	bant:A16_42710
ko:K03710	bant:A16_42730
ko:K02564	bant:A16_42740
ko:K01443	bant:A16_42750
ko:K06024	bant:A16_42770
ko:K05896	bant:A16_42780
ko:K09763	bant:A16_42790
ko:K02859	bant:A16_42800
ko:K03768	bant:A16_42820
ko:K06408	bant:A16_42850
ko:K06407	bant:A16_42860
ko:K06407	bant:A16_42870
ko:K06406	bant:A16_42880
ko:K06405	bant:A16_42890
ko:K06404	bant:A16_42900
ko:K06403	bant:A16_42910
ko:K03308	bant:A16_42930
ko:K03091	bant:A16_42940
ko:K06379	bant:A16_42950
ko:K07258	bant:A16_42970
ko:K07979	bant:A16_42980
ko:K01990	bant:A16_42990
ko:K09807	bant:A16_43030
ko:K06901	bant:A16_43040
ko:K03284	bant:A16_43050
ko:K00756	bant:A16_43060
ko:K03783	bant:A16_43070
ko:K01839	bant:A16_43080
ko:K04763	bant:A16_43100
ko:K03711	bant:A16_43120
ko:K01515	bant:A16_43150
ko:K01081	bant:A16_43210
ko:K07084	bant:A16_43240
ko:K06889	bant:A16_43270
ko:K11752	bant:A16_43300
ko:K00793	bant:A16_43310
ko:K14652	bant:A16_43320
ko:K00794	bant:A16_43330
ko:K01012	bant:A16_43350
ko:K02169	bant:A16_43360
ko:K02170	bant:A16_43370
ko:K00652	bant:A16_43380
ko:K01935	bant:A16_43390
ko:K00833	bant:A16_43400
ko:K03315	bant:A16_43440
ko:K01119	bant:A16_43450
ko:K00611	bant:A16_43500
