ko:K07489	ypr:BZ20_2878
ko:K07058	ypr:BZ20_2094
ko:K06207	ypr:BZ20_2096
ko:K01915	ypr:BZ20_2097
ko:K07708	ypr:BZ20_2098
ko:K07712	ypr:BZ20_2099
ko:K09894	ypr:BZ20_2101
ko:K03978	ypr:BZ20_2102
ko:K03673	ypr:BZ20_2104
ko:K09896	ypr:BZ20_2106
ko:K03752	ypr:BZ20_2107
ko:K03753	ypr:BZ20_2108
ko:K00852	ypr:BZ20_2117
ko:K06726	ypr:BZ20_2118
ko:K03549	ypr:BZ20_2119
ko:K03924	ypr:BZ20_2120
ko:K01914	ypr:BZ20_2122
ko:K03718	ypr:BZ20_2123
ko:K06205	ypr:BZ20_2124
ko:K03495	ypr:BZ20_2125
ko:K03501	ypr:BZ20_2126
ko:K02116	ypr:BZ20_2127
ko:K02108	ypr:BZ20_2128
ko:K02110	ypr:BZ20_2129
ko:K02109	ypr:BZ20_2130
ko:K02113	ypr:BZ20_2131
ko:K02111	ypr:BZ20_2132
ko:K02115	ypr:BZ20_2133
ko:K02112	ypr:BZ20_2134
ko:K02114	ypr:BZ20_2135
ko:K04042	ypr:BZ20_2136
ko:K00820	ypr:BZ20_2137
ko:K02040	ypr:BZ20_2139
ko:K02037	ypr:BZ20_2140
ko:K02038	ypr:BZ20_2141
ko:K03575	ypr:BZ20_2971
ko:K03439	ypr:BZ20_2972
ko:K09923	ypr:BZ20_2973
ko:K01425	ypr:BZ20_2974
ko:K02428	ypr:BZ20_2979
ko:K09131	ypr:BZ20_2980
ko:K02221	ypr:BZ20_2981
ko:K00286	ypr:BZ20_2982
ko:K06997	ypr:BZ20_2983
ko:K02669	ypr:BZ20_2984
ko:K10536	ypr:BZ20_2985
ko:K12251	ypr:BZ20_2986
ko:K07447	ypr:BZ20_2987
ko:K07735	ypr:BZ20_2988
ko:K01920	ypr:BZ20_2989
ko:K09761	ypr:BZ20_2990
ko:K01150	ypr:BZ20_2991
ko:K02742	ypr:BZ20_2992
ko:K00789	ypr:BZ20_2993
ko:K01585	ypr:BZ20_2995
ko:K07491	ypr:BZ20_2996
ko:K07387	ypr:BZ20_2997
ko:K00615	ypr:BZ20_2998
ko:K03472	ypr:BZ20_2999
ko:K00927	ypr:BZ20_3000
ko:K01624	ypr:BZ20_3001
ko:K03442	ypr:BZ20_3002
ko:K06895	ypr:BZ20_3003
ko:K09807	ypr:BZ20_3004
ko:K05596	ypr:BZ20_3005
ko:K01807	ypr:BZ20_3006
ko:K00058	ypr:BZ20_3007
ko:K01934	ypr:BZ20_3008
ko:K09888	ypr:BZ20_3009
ko:K09895	ypr:BZ20_3010
ko:K01262	ypr:BZ20_3011
ko:K03185	ypr:BZ20_3012
ko:K18800	ypr:BZ20_3013
ko:K00605	ypr:BZ20_3014
ko:K02437	ypr:BZ20_3015
ko:K00281	ypr:BZ20_3016
ko:K11068	ypr:BZ20_3020
ko:K06980	ypr:BZ20_3022
ko:K09159	ypr:BZ20_3023
ko:K07663	ypr:BZ20_3024
ko:K07346	ypr:BZ20_3837
ko:K08169	ypr:BZ20_3838
ko:K01730	ypr:BZ20_3839
ko:K11066	ypr:BZ20_3841
ko:K06956	ypr:BZ20_3842
ko:K07038	ypr:BZ20_3843
ko:K10192	ypr:BZ20_3845
ko:K10195	ypr:BZ20_3846
ko:K10194	ypr:BZ20_3847
ko:K10193	ypr:BZ20_3848
ko:K01731	ypr:BZ20_3849
ko:K00065	ypr:BZ20_3850
ko:K01815	ypr:BZ20_3851
ko:K11606	ypr:BZ20_3856
ko:K11605	ypr:BZ20_3857
ko:K11607	ypr:BZ20_3858
ko:K11604	ypr:BZ20_3859
ko:K08308	ypr:BZ20_3860
ko:K05595	ypr:BZ20_3875
ko:K07552	ypr:BZ20_35
ko:K18138	ypr:BZ20_1614
ko:K03585	ypr:BZ20_1615
ko:K05592	ypr:BZ20_1620
ko:K05803	ypr:BZ20_1621
ko:K00962	ypr:BZ20_1622
ko:K02956	ypr:BZ20_1623
ko:K03177	ypr:BZ20_1624
ko:K02834	ypr:BZ20_1625
ko:K02519	ypr:BZ20_1626
ko:K02600	ypr:BZ20_1627
ko:K09748	ypr:BZ20_1628
ko:K03075	ypr:BZ20_1631
ko:K03431	ypr:BZ20_1632
ko:K00796	ypr:BZ20_1633
ko:K03798	ypr:BZ20_1634
ko:K02427	ypr:BZ20_1635
ko:K07574	ypr:BZ20_1636
ko:K03624	ypr:BZ20_1637
ko:K07259	ypr:BZ20_1638
ko:K07771	ypr:BZ20_1639
ko:K07643	ypr:BZ20_1640
ko:K03979	ypr:BZ20_1641
ko:K02899	ypr:BZ20_1643
ko:K02888	ypr:BZ20_1644
ko:K02523	ypr:BZ20_1645
ko:K07724	ypr:BZ20_1647
ko:K00024	ypr:BZ20_1648
ko:K03402	ypr:BZ20_1649
ko:K02558	ypr:BZ20_1651
ko:K03841	ypr:BZ20_1652
ko:K01507	ypr:BZ20_1653
ko:K09800	ypr:BZ20_1655
ko:K07278	ypr:BZ20_1656
ko:K07304	ypr:BZ20_1657
ko:K07109	ypr:BZ20_1660
ko:K01082	ypr:BZ20_1661
ko:K01119	ypr:BZ20_1662
ko:K07322	ypr:BZ20_1663
ko:K03773	ypr:BZ20_1664
ko:K07269	ypr:BZ20_1665
ko:K11905	ypr:BZ20_2471
ko:K11900	ypr:BZ20_2470
ko:K11896	ypr:BZ20_2472
ko:K11895	ypr:BZ20_2473
ko:K11906	ypr:BZ20_2475
ko:K11893	ypr:BZ20_2476
ko:K11892	ypr:BZ20_2477
ko:K11907	ypr:BZ20_2478
ko:K11909	ypr:BZ20_2480
ko:K11910	ypr:BZ20_2481
ko:K11891	ypr:BZ20_2482
ko:K11911	ypr:BZ20_2483
ko:K11904	ypr:BZ20_2484
ko:K19048	ypr:BZ20_2489
ko:K11904	ypr:BZ20_2492
ko:K02057	ypr:BZ20_2505
ko:K00852	ypr:BZ20_2506
ko:K01619	ypr:BZ20_2507
ko:K00299	ypr:BZ20_2508
ko:K15553	ypr:BZ20_2509
ko:K04091	ypr:BZ20_2510
ko:K15554	ypr:BZ20_2511
ko:K15555	ypr:BZ20_2512
ko:K07473	ypr:BZ20_2513
ko:K06901	ypr:BZ20_2514
ko:K03316	ypr:BZ20_2515
ko:K12974	ypr:BZ20_2517
ko:K02058	ypr:BZ20_2518
ko:K02056	ypr:BZ20_2519
ko:K02057	ypr:BZ20_2520
ko:K02057	ypr:BZ20_2521
ko:K11209	ypr:BZ20_2524
ko:K04488	ypr:BZ20_3351
ko:K13628	ypr:BZ20_3352
ko:K04082	ypr:BZ20_3353
ko:K04044	ypr:BZ20_3354
ko:K04755	ypr:BZ20_3355
ko:K07751	ypr:BZ20_3357
ko:K00940	ypr:BZ20_3363
ko:K06941	ypr:BZ20_3364
ko:K02656	ypr:BZ20_3365
ko:K15539	ypr:BZ20_3366
ko:K03526	ypr:BZ20_3367
ko:K01892	ypr:BZ20_3368
ko:K17713	ypr:BZ20_3370
ko:K03977	ypr:BZ20_3371
ko:K07088	ypr:BZ20_3372
ko:K03601	ypr:BZ20_3374
ko:K00088	ypr:BZ20_3375
ko:K01951	ypr:BZ20_3376
ko:K06887	ypr:BZ20_3377
ko:K00941	ypr:BZ20_3383
ko:K08303	ypr:BZ20_3387
ko:K09946	ypr:BZ20_3388
ko:K07664	ypr:BZ20_3389
ko:K07642	ypr:BZ20_3390
ko:K18326	ypr:BZ20_3391
ko:K07789	ypr:BZ20_3392
ko:K07788	ypr:BZ20_3393
ko:K07799	ypr:BZ20_3394
ko:K02052	ypr:BZ20_3395
ko:K00375	ypr:BZ20_3396
ko:K00823	ypr:BZ20_3397
ko:K02055	ypr:BZ20_3398
ko:K02054	ypr:BZ20_3399
ko:K02053	ypr:BZ20_3400
ko:K04046	ypr:BZ20_3402
ko:K06213	ypr:BZ20_3403
ko:K03230	ypr:BZ20_4222
ko:K04060	ypr:BZ20_4221
ko:K11755	ypr:BZ20_410
ko:K00033	ypr:BZ20_411
ko:K00963	ypr:BZ20_412
ko:K00963	ypr:BZ20_413
ko:K16088	ypr:BZ20_415
ko:K02016	ypr:BZ20_416
ko:K02015	ypr:BZ20_417
ko:K02015	ypr:BZ20_418
ko:K02013	ypr:BZ20_419
ko:K03897	ypr:BZ20_422
ko:K13745	ypr:BZ20_423
ko:K13255	ypr:BZ20_424
ko:K07289	ypr:BZ20_426
ko:K01494	ypr:BZ20_427
ko:K00876	ypr:BZ20_428
ko:K03593	ypr:BZ20_429
ko:K01874	ypr:BZ20_430
ko:K02058	ypr:BZ20_432
ko:K06518	ypr:BZ20_435
ko:K01489	ypr:BZ20_437
ko:K00027	ypr:BZ20_438
ko:K03748	ypr:BZ20_439
ko:K10541	ypr:BZ20_440
ko:K10542	ypr:BZ20_441
ko:K10540	ypr:BZ20_442
ko:K07148	ypr:BZ20_443
ko:K01495	ypr:BZ20_444
ko:K00121	ypr:BZ20_447
ko:K01070	ypr:BZ20_448
ko:K02004	ypr:BZ20_450
ko:K02005	ypr:BZ20_451
ko:K02003	ypr:BZ20_452
ko:K06871	ypr:BZ20_453
ko:K03750	ypr:BZ20_454
ko:K07491	ypr:BZ20_457
ko:K11911	ypr:BZ20_460
ko:K11905	ypr:BZ20_461
ko:K11906	ypr:BZ20_462
ko:K11895	ypr:BZ20_463
ko:K11896	ypr:BZ20_464
ko:K03579	ypr:BZ20_1348
ko:K01975	ypr:BZ20_1349
ko:K06206	ypr:BZ20_1350
ko:K06204	ypr:BZ20_1351
ko:K01894	ypr:BZ20_1352
ko:K00970	ypr:BZ20_1353
ko:K00950	ypr:BZ20_1354
ko:K00606	ypr:BZ20_1355
ko:K01918	ypr:BZ20_1356
ko:K01579	ypr:BZ20_1357
ko:K01992	ypr:BZ20_1359
ko:K01990	ypr:BZ20_1360
ko:K01673	ypr:BZ20_1361
ko:K00760	ypr:BZ20_1362
ko:K14588	ypr:BZ20_1363
ko:K00797	ypr:BZ20_1365
ko:K01611	ypr:BZ20_1366
ko:K09910	ypr:BZ20_1368
ko:K01682	ypr:BZ20_1369
ko:K07491	ypr:BZ20_1370
ko:K00382	ypr:BZ20_1371
ko:K00627	ypr:BZ20_1372
ko:K00163	ypr:BZ20_1373
ko:K11734	ypr:BZ20_1375
ko:K03807	ypr:BZ20_1376
ko:K03806	ypr:BZ20_1377
ko:K00767	ypr:BZ20_1378
ko:K02682	ypr:BZ20_1391
ko:K02504	ypr:BZ20_1392
ko:K02505	ypr:BZ20_1393
ko:K00364	ypr:BZ20_1394
ko:K00859	ypr:BZ20_1395
ko:K18778	ypr:BZ20_1396
ko:K09862	ypr:BZ20_1397
ko:K03574	ypr:BZ20_1398
ko:K03070	ypr:BZ20_1399
ko:K13301	ypr:BZ20_1400
ko:K02036	ypr:BZ20_2142
ko:K02039	ypr:BZ20_2143
ko:K02030	ypr:BZ20_2145
ko:K02029	ypr:BZ20_2146
ko:K02029	ypr:BZ20_2147
ko:K06901	ypr:BZ20_2149
ko:K00209	ypr:BZ20_2152
ko:K03650	ypr:BZ20_2153
ko:K03217	ypr:BZ20_2154
ko:K08998	ypr:BZ20_2155
ko:K03536	ypr:BZ20_2156
ko:K02914	ypr:BZ20_2157
ko:K02313	ypr:BZ20_2159
ko:K02338	ypr:BZ20_2160
ko:K03629	ypr:BZ20_2161
ko:K02470	ypr:BZ20_2162
ko:K01754	ypr:BZ20_2165
ko:K04080	ypr:BZ20_2169
ko:K04081	ypr:BZ20_2170
ko:K07085	ypr:BZ20_2171
ko:K00835	ypr:BZ20_2172
ko:K01176	ypr:BZ20_2176
ko:K00090	ypr:BZ20_2177
ko:K03826	ypr:BZ20_2180
ko:K01246	ypr:BZ20_2181
ko:K01878	ypr:BZ20_2182
ko:K01879	ypr:BZ20_2183
ko:K02798	ypr:BZ20_2185
ko:K02799	ypr:BZ20_2185
ko:K02800	ypr:BZ20_2185
ko:K00009	ypr:BZ20_2186
ko:K02562	ypr:BZ20_2187
ko:K14762	ypr:BZ20_2189
ko:K04564	ypr:BZ20_2193
ko:K07641	ypr:BZ20_3025
ko:K06143	ypr:BZ20_3026
ko:K03840	ypr:BZ20_3027
ko:K04763	ypr:BZ20_3028
ko:K03981	ypr:BZ20_3029
ko:K07462	ypr:BZ20_3030
ko:K02836	ypr:BZ20_3031
ko:K04567	ypr:BZ20_3032
ko:K13651	ypr:BZ20_3038
ko:K13655	ypr:BZ20_3039
ko:K07733	ypr:BZ20_3042
ko:K17205	ypr:BZ20_3058
ko:K17206	ypr:BZ20_3059
ko:K17207	ypr:BZ20_3060
ko:K10111	ypr:BZ20_3061
ko:K15770	ypr:BZ20_3062
ko:K15771	ypr:BZ20_3063
ko:K15772	ypr:BZ20_3064
ko:K01224	ypr:BZ20_3065
ko:K12308	ypr:BZ20_3066
ko:K02778	ypr:BZ20_3067
ko:K02024	ypr:BZ20_3068
ko:K01187	ypr:BZ20_3070
ko:K08191	ypr:BZ20_3071
ko:K08302	ypr:BZ20_3075
ko:K06871	ypr:BZ20_3078
ko:K01868	ypr:BZ20_3902
ko:K02520	ypr:BZ20_3903
ko:K02916	ypr:BZ20_3904
ko:K02887	ypr:BZ20_3905
ko:K01889	ypr:BZ20_3906
ko:K01890	ypr:BZ20_3907
ko:K04764	ypr:BZ20_3908
ko:K06073	ypr:BZ20_3910
ko:K00432	ypr:BZ20_3911
ko:K06074	ypr:BZ20_3912
ko:K07806	ypr:BZ20_3913
ko:K10012	ypr:BZ20_3914
ko:K10011	ypr:BZ20_3915
ko:K13014	ypr:BZ20_3916
ko:K07264	ypr:BZ20_3917
ko:K12962	ypr:BZ20_3918
ko:K12963	ypr:BZ20_3919
ko:K03800	ypr:BZ20_3921
ko:K08997	ypr:BZ20_3922
ko:K01626	ypr:BZ20_3923
ko:K09773	ypr:BZ20_3924
ko:K05997	ypr:BZ20_3929
ko:K09014	ypr:BZ20_3930
ko:K09013	ypr:BZ20_3931
ko:K09015	ypr:BZ20_3932
ko:K11717	ypr:BZ20_3933
ko:K02426	ypr:BZ20_3934
ko:K06078	ypr:BZ20_3936
ko:K00873	ypr:BZ20_3937
ko:K03327	ypr:BZ20_3942
ko:K00793	ypr:BZ20_3943
ko:K00574	ypr:BZ20_3944
ko:K02939	ypr:BZ20_1667
ko:K02963	ypr:BZ20_1668
ko:K02990	ypr:BZ20_1669
ko:K06889	ypr:BZ20_1671
ko:K09456	ypr:BZ20_1673
ko:K03218	ypr:BZ20_1674
ko:K12573	ypr:BZ20_1675
ko:K13771	ypr:BZ20_1676
ko:K01939	ypr:BZ20_1677
ko:K09937	ypr:BZ20_1678
ko:K04087	ypr:BZ20_1679
ko:K04088	ypr:BZ20_1680
ko:K03665	ypr:BZ20_1681
ko:K03666	ypr:BZ20_1682
ko:K00791	ypr:BZ20_1683
ko:K03572	ypr:BZ20_1684
ko:K01448	ypr:BZ20_1685
ko:K06925	ypr:BZ20_1686
ko:K17758	ypr:BZ20_1687
ko:K17759	ypr:BZ20_1687
ko:K18979	ypr:BZ20_1688
ko:K13288	ypr:BZ20_1693
ko:K06949	ypr:BZ20_1694
ko:K01613	ypr:BZ20_1695
ko:K04568	ypr:BZ20_1697
ko:K00244	ypr:BZ20_1698
ko:K00245	ypr:BZ20_1699
ko:K00246	ypr:BZ20_1700
ko:K00247	ypr:BZ20_1701
ko:K11741	ypr:BZ20_1702
ko:K02356	ypr:BZ20_1703
ko:K04077	ypr:BZ20_1706
ko:K04078	ypr:BZ20_1707
ko:K07113	ypr:BZ20_1708
ko:K01744	ypr:BZ20_1709
ko:K07791	ypr:BZ20_1710
ko:K03926	ypr:BZ20_1711
ko:K04084	ypr:BZ20_1712
ko:K05796	ypr:BZ20_1714
ko:K02856	ypr:BZ20_1722
ko:K03704	ypr:BZ20_2527
ko:K03704	ypr:BZ20_2528
ko:K03704	ypr:BZ20_2529
ko:K01607	ypr:BZ20_2533
ko:K03557	ypr:BZ20_2537
ko:K05540	ypr:BZ20_2538
ko:K02687	ypr:BZ20_2539
ko:K14392	ypr:BZ20_2540
ko:K01961	ypr:BZ20_2543
ko:K02160	ypr:BZ20_2544
ko:K03786	ypr:BZ20_2545
ko:K17247	ypr:BZ20_2546
ko:K18765	ypr:BZ20_2549
ko:K03569	ypr:BZ20_2550
ko:K03570	ypr:BZ20_2551
ko:K03571	ypr:BZ20_2552
ko:K06287	ypr:BZ20_2553
ko:K08301	ypr:BZ20_2554
ko:K03568	ypr:BZ20_2557
ko:K11021	ypr:BZ20_2558
ko:K15548	ypr:BZ20_2568
ko:K03468	ypr:BZ20_2569
ko:K00135	ypr:BZ20_2570
ko:K03623	ypr:BZ20_2573
ko:K09889	ypr:BZ20_2574
ko:K03592	ypr:BZ20_2575
ko:K15536	ypr:BZ20_2577
ko:K06140	ypr:BZ20_2578
ko:K00937	ypr:BZ20_3405
ko:K01524	ypr:BZ20_3404
ko:K02037	ypr:BZ20_3406
ko:K02038	ypr:BZ20_3407
ko:K02036	ypr:BZ20_3408
ko:K18475	ypr:BZ20_3409
ko:K00657	ypr:BZ20_3410
ko:K11175	ypr:BZ20_3411
ko:K01933	ypr:BZ20_3412
ko:K00761	ypr:BZ20_3413
ko:K02824	ypr:BZ20_3414
ko:K10763	ypr:BZ20_3415
ko:K00537	ypr:BZ20_3416
ko:K03548	ypr:BZ20_3418
ko:K03564	ypr:BZ20_3421
ko:K03567	ypr:BZ20_3422
ko:K01714	ypr:BZ20_3423
ko:K07287	ypr:BZ20_3424
ko:K01923	ypr:BZ20_3425
ko:K07054	ypr:BZ20_3427
ko:K06957	ypr:BZ20_3429
ko:K01439	ypr:BZ20_3432
ko:K02012	ypr:BZ20_3435
ko:K02011	ypr:BZ20_3436
ko:K02010	ypr:BZ20_3437
ko:K06871	ypr:BZ20_3439
ko:K07038	ypr:BZ20_3440
ko:K18324	ypr:BZ20_3442
ko:K07685	ypr:BZ20_3444
ko:K02572	ypr:BZ20_3445
ko:K02570	ypr:BZ20_3446
ko:K02567	ypr:BZ20_3447
ko:K02568	ypr:BZ20_3448
ko:K02569	ypr:BZ20_3449
ko:K00029	ypr:BZ20_3451
ko:K09768	ypr:BZ20_3452
ko:K00228	ypr:BZ20_3453
ko:K02854	ypr:BZ20_1723
ko:K02855	ypr:BZ20_1724
ko:K00848	ypr:BZ20_1727
ko:K01813	ypr:BZ20_1728
ko:K01629	ypr:BZ20_1729
ko:K03534	ypr:BZ20_1731
ko:K03111	ypr:BZ20_1732
ko:K03701	ypr:BZ20_1733
ko:K00832	ypr:BZ20_1735
ko:K01775	ypr:BZ20_1736
ko:K05539	ypr:BZ20_1740
ko:K09823	ypr:BZ20_1741
ko:K01356	ypr:BZ20_1742
ko:K00901	ypr:BZ20_1743
ko:K00631	ypr:BZ20_1744
ko:K03179	ypr:BZ20_1745
ko:K03181	ypr:BZ20_1746
ko:K07491	ypr:BZ20_1753
ko:K05795	ypr:BZ20_1754
ko:K05795	ypr:BZ20_1755
ko:K05794	ypr:BZ20_1756
ko:K05793	ypr:BZ20_1757
ko:K05792	ypr:BZ20_1758
ko:K05791	ypr:BZ20_1759
ko:K00297	ypr:BZ20_1766
ko:K07227	ypr:BZ20_1768
ko:K16087	ypr:BZ20_1771
ko:K07225	ypr:BZ20_1772
ko:K02016	ypr:BZ20_1773
ko:K02015	ypr:BZ20_1774
ko:K02013	ypr:BZ20_1775
ko:K01760	ypr:BZ20_1776
ko:K01226	ypr:BZ20_2579
ko:K02818	ypr:BZ20_2580
ko:K02819	ypr:BZ20_2580
ko:K03485	ypr:BZ20_2581
ko:K09022	ypr:BZ20_2583
ko:K00610	ypr:BZ20_2584
ko:K00609	ypr:BZ20_2585
ko:K08485	ypr:BZ20_2586
ko:K06958	ypr:BZ20_2587
ko:K02806	ypr:BZ20_2588
ko:K05808	ypr:BZ20_2589
ko:K03092	ypr:BZ20_2590
ko:K06861	ypr:BZ20_2591
ko:K09774	ypr:BZ20_2592
ko:K11719	ypr:BZ20_2593
ko:K03270	ypr:BZ20_2594
ko:K06041	ypr:BZ20_2595
ko:K07301	ypr:BZ20_2596
ko:K02065	ypr:BZ20_2597
ko:K02066	ypr:BZ20_2598
ko:K02067	ypr:BZ20_2599
ko:K07323	ypr:BZ20_2600
ko:K07122	ypr:BZ20_2601
ko:K00790	ypr:BZ20_2603
ko:K04691	ypr:BZ20_2604
ko:K09908	ypr:BZ20_2606
ko:K06916	ypr:BZ20_2608
ko:K02871	ypr:BZ20_2609
ko:K02996	ypr:BZ20_2610
ko:K03599	ypr:BZ20_2611
ko:K03600	ypr:BZ20_2612
ko:K00266	ypr:BZ20_2614
ko:K00265	ypr:BZ20_2615
ko:K07139	ypr:BZ20_2616
ko:K07648	ypr:BZ20_2618
ko:K03814	ypr:BZ20_2620
ko:K12961	ypr:BZ20_2622
ko:K07460	ypr:BZ20_2623
ko:K07121	ypr:BZ20_2624
ko:K07056	ypr:BZ20_2625
ko:K06911	ypr:BZ20_2626
ko:K07393	ypr:BZ20_2628
ko:K15977	ypr:BZ20_2629
ko:K07223	ypr:BZ20_3459
ko:K01639	ypr:BZ20_3460
ko:K01788	ypr:BZ20_3461
ko:K00885	ypr:BZ20_3463
ko:K03290	ypr:BZ20_3466
ko:K02048	ypr:BZ20_3467
ko:K02046	ypr:BZ20_3468
ko:K02047	ypr:BZ20_3469
ko:K02045	ypr:BZ20_3470
ko:K12339	ypr:BZ20_3471
ko:K07114	ypr:BZ20_3474
ko:K14155	ypr:BZ20_3475
ko:K03307	ypr:BZ20_3478
ko:K05685	ypr:BZ20_3480
ko:K13888	ypr:BZ20_3481
ko:K02484	ypr:BZ20_3483
ko:K08483	ypr:BZ20_3485
ko:K02784	ypr:BZ20_3486
ko:K01738	ypr:BZ20_3487
ko:K06203	ypr:BZ20_3488
ko:K03528	ypr:BZ20_3489
ko:K01972	ypr:BZ20_3490
ko:K09954	ypr:BZ20_3491
ko:K09962	ypr:BZ20_3493
ko:K01885	ypr:BZ20_3497
ko:K11535	ypr:BZ20_3502
ko:K03322	ypr:BZ20_3503
ko:K00845	ypr:BZ20_3508
ko:K14261	ypr:BZ20_3510
ko:K02535	ypr:BZ20_1402
ko:K03531	ypr:BZ20_1403
ko:K03590	ypr:BZ20_1404
ko:K03589	ypr:BZ20_1405
ko:K01921	ypr:BZ20_1406
ko:K01924	ypr:BZ20_1407
ko:K02563	ypr:BZ20_1408
ko:K03588	ypr:BZ20_1409
ko:K01925	ypr:BZ20_1410
ko:K01000	ypr:BZ20_1411
ko:K01929	ypr:BZ20_1412
ko:K01928	ypr:BZ20_1413
ko:K03587	ypr:BZ20_1414
ko:K03586	ypr:BZ20_1415
ko:K03438	ypr:BZ20_1416
ko:K03925	ypr:BZ20_1417
ko:K03435	ypr:BZ20_1419
ko:K01653	ypr:BZ20_1420
ko:K01652	ypr:BZ20_1421
ko:K01897	ypr:BZ20_1422
ko:K05798	ypr:BZ20_1423
ko:K01649	ypr:BZ20_1425
ko:K00052	ypr:BZ20_1426
ko:K01703	ypr:BZ20_1427
ko:K01704	ypr:BZ20_1428
ko:K03291	ypr:BZ20_1429
ko:K11925	ypr:BZ20_1430
ko:K02064	ypr:BZ20_1432
ko:K02063	ypr:BZ20_1433
ko:K02062	ypr:BZ20_1434
ko:K02336	ypr:BZ20_1436
ko:K03580	ypr:BZ20_1437
ko:K11891	ypr:BZ20_1439
ko:K11892	ypr:BZ20_1440
ko:K11893	ypr:BZ20_1441
ko:K11906	ypr:BZ20_1442
ko:K11904	ypr:BZ20_1447
ko:K11907	ypr:BZ20_1448
ko:K11895	ypr:BZ20_1449
ko:K11896	ypr:BZ20_1450
ko:K11897	ypr:BZ20_1451
ko:K02379	ypr:BZ20_2194
ko:K00123	ypr:BZ20_2195
ko:K00123	ypr:BZ20_2196
ko:K00124	ypr:BZ20_2197
ko:K00127	ypr:BZ20_2198
ko:K02380	ypr:BZ20_2199
ko:K01042	ypr:BZ20_2200
ko:K03833	ypr:BZ20_2201
ko:K08160	ypr:BZ20_2206
ko:K00854	ypr:BZ20_2212
ko:K01805	ypr:BZ20_2213
ko:K10543	ypr:BZ20_2214
ko:K10545	ypr:BZ20_2215
ko:K10544	ypr:BZ20_2216
ko:K02529	ypr:BZ20_2217
ko:K02013	ypr:BZ20_2227
ko:K02015	ypr:BZ20_2229
ko:K02015	ypr:BZ20_2230
ko:K02016	ypr:BZ20_2231
ko:K00759	ypr:BZ20_2234
ko:K01738	ypr:BZ20_2235
ko:K01712	ypr:BZ20_2236
ko:K01745	ypr:BZ20_2237
ko:K16234	ypr:BZ20_2238
ko:K12975	ypr:BZ20_2240
ko:K07675	ypr:BZ20_2242
ko:K07783	ypr:BZ20_2243
ko:K12368	ypr:BZ20_2249
ko:K02079	ypr:BZ20_3081
ko:K00065	ypr:BZ20_3080
ko:K02744	ypr:BZ20_3082
ko:K02747	ypr:BZ20_3083
ko:K02746	ypr:BZ20_3084
ko:K02745	ypr:BZ20_3085
ko:K02082	ypr:BZ20_3086
ko:K16371	ypr:BZ20_3087
ko:K08961	ypr:BZ20_3090
ko:K01673	ypr:BZ20_3094
ko:K02452	ypr:BZ20_3096
ko:K02453	ypr:BZ20_3097
ko:K02454	ypr:BZ20_3098
ko:K02455	ypr:BZ20_3099
ko:K02456	ypr:BZ20_3100
ko:K02457	ypr:BZ20_3101
ko:K02458	ypr:BZ20_3102
ko:K02459	ypr:BZ20_3103
ko:K02460	ypr:BZ20_3104
ko:K02461	ypr:BZ20_3105
ko:K02465	ypr:BZ20_3107
ko:K07396	ypr:BZ20_3111
ko:K01586	ypr:BZ20_3118
ko:K02529	ypr:BZ20_3117
ko:K08351	ypr:BZ20_3119
ko:K05939	ypr:BZ20_3120
ko:K08227	ypr:BZ20_3121
ko:K03573	ypr:BZ20_3125
ko:K08311	ypr:BZ20_3126
ko:K08484	ypr:BZ20_3127
ko:K13292	ypr:BZ20_3128
ko:K02679	ypr:BZ20_3130
ko:K02680	ypr:BZ20_3131
ko:K03604	ypr:BZ20_3948
ko:K04564	ypr:BZ20_3950
ko:K07390	ypr:BZ20_3953
ko:K03683	ypr:BZ20_3954
ko:K01759	ypr:BZ20_3955
ko:K11021	ypr:BZ20_3956
ko:K10680	ypr:BZ20_3957
ko:K16137	ypr:BZ20_3958
ko:K03760	ypr:BZ20_3959
ko:K06938	ypr:BZ20_3960
ko:K06075	ypr:BZ20_3962
ko:K06077	ypr:BZ20_3963
ko:K09001	ypr:BZ20_3964
ko:K00275	ypr:BZ20_3966
ko:K01866	ypr:BZ20_3967
ko:K00868	ypr:BZ20_3968
ko:K00799	ypr:BZ20_3969
ko:K03305	ypr:BZ20_3972
ko:K03974	ypr:BZ20_3980
ko:K03969	ypr:BZ20_3981
ko:K03970	ypr:BZ20_3982
ko:K03971	ypr:BZ20_3984
ko:K06918	ypr:BZ20_3985
ko:K08990	ypr:BZ20_3986
ko:K03721	ypr:BZ20_3989
ko:K11065	ypr:BZ20_3990
ko:K14054	ypr:BZ20_3992
ko:K15580	ypr:BZ20_3993
ko:K16074	ypr:BZ20_3994
ko:K14058	ypr:BZ20_3998
ko:K03737	ypr:BZ20_3999
ko:K03297	ypr:BZ20_4000
ko:K07507	ypr:BZ20_4001
ko:K07491	ypr:BZ20_1140
ko:K00147	ypr:BZ20_1141
ko:K00931	ypr:BZ20_1142
ko:K11926	ypr:BZ20_1143
ko:K11750	ypr:BZ20_1144
ko:K00769	ypr:BZ20_1145
ko:K07491	ypr:BZ20_1148
ko:K01270	ypr:BZ20_1150
ko:K02346	ypr:BZ20_1151
ko:K05952	ypr:BZ20_1153
ko:K03734	ypr:BZ20_1154
ko:K00351	ypr:BZ20_1155
ko:K00350	ypr:BZ20_1156
ko:K00349	ypr:BZ20_1157
ko:K00348	ypr:BZ20_1158
ko:K00347	ypr:BZ20_1159
