ko:K18917	cpk:Cp1002_0630
ko:K01958	cpk:Cp1002_0473
ko:K11263	cpk:Cp1002_0476
ko:K01011	cpk:Cp1002_0477
ko:K00852	cpk:Cp1002_0483
ko:K01966	cpk:Cp1002_0486
ko:K01966	cpk:Cp1002_0487
ko:K02025	cpk:Cp1002_0495
ko:K03404	cpk:Cp1002_1291
ko:K10563	cpk:Cp1002_1333
ko:K07670	cpk:Cp1002_0515
ko:K07654	cpk:Cp1002_0516
ko:K00508	cpk:Cp1002_0525
ko:K07177	cpk:Cp1002_0549
ko:K09118	cpk:Cp1002_0552
ko:K01496	cpk:Cp1002_1350
ko:K01092	cpk:Cp1002_1352
ko:K01814	cpk:Cp1002_1353
ko:K01817	cpk:Cp1002_1353
ko:K02342	cpk:Cp1002_1365
ko:K01424	cpk:Cp1002_1380
ko:K00368	cpk:Cp1002_0560
ko:K05602	cpk:Cp1002_0574
ko:K12942	cpk:Cp1002_0578
ko:K10843	cpk:Cp1002_0592
ko:K13787	cpk:Cp1002_1406
ko:K00845	cpk:Cp1002_1414
ko:K13668	cpk:Cp1002_1415
ko:K03891	cpk:Cp1002_1420
ko:K03890	cpk:Cp1002_1421
ko:K03889	cpk:Cp1002_1422
ko:K01962	cpk:Cp1002_0606
ko:K01963	cpk:Cp1002_0606
ko:K01692	cpk:Cp1002_0610
ko:K02035	cpk:Cp1002_0623
ko:K02033	cpk:Cp1002_0624
ko:K02228	cpk:Cp1002_0629
ko:K01082	cpk:Cp1002_0633
ko:K03649	cpk:Cp1002_0636
ko:K05522	cpk:Cp1002_0637
ko:K00135	cpk:Cp1002_0640
ko:K04093	cpk:Cp1002_0641
ko:K07316	cpk:Cp1002_1457
ko:K02004	cpk:Cp1002_1465
ko:K07035	cpk:Cp1002_1468
ko:K00088	cpk:Cp1002_1469
ko:K01104	cpk:Cp1002_1491
ko:K07669	cpk:Cp1002_0660
ko:K07653	cpk:Cp1002_0661
ko:K08372	cpk:Cp1002_0662
ko:K01934	cpk:Cp1002_0667
ko:K01259	cpk:Cp1002_0694
ko:K02566	cpk:Cp1002_1498
ko:K03711	cpk:Cp1002_1516
ko:K01823	cpk:Cp1002_1536
ko:K02035	cpk:Cp1002_1549
ko:K02033	cpk:Cp1002_1550
ko:K02428	cpk:Cp1002_0712
ko:K09009	cpk:Cp1002_0716
ko:K12503	cpk:Cp1002_0725
ko:K00867	cpk:Cp1002_0727
ko:K01679	cpk:Cp1002_0738
ko:K02446	cpk:Cp1002_0739
ko:K09146	cpk:Cp1002_0765
ko:K02238	cpk:Cp1002_1572
ko:K15525	cpk:Cp1002_0769
ko:K00674	cpk:Cp1002_0776
ko:K00674	cpk:Cp1002_0778
ko:K01439	cpk:Cp1002_0779
ko:K13693	cpk:Cp1002_0782
ko:K03593	cpk:Cp1002_0794
ko:K01616	cpk:Cp1002_0798
ko:K03929	cpk:Cp1002_0802
ko:K03307	cpk:Cp1002_0806
ko:K04750	cpk:Cp1002_0811
ko:K02351	cpk:Cp1002_1627
ko:K07245	cpk:Cp1002_1627
ko:K02428	cpk:Cp1002_1655
ko:K00666	cpk:Cp1002_0834
ko:K07503	cpk:Cp1002_0850
ko:K00700	cpk:Cp1002_0854
ko:K02342	cpk:Cp1002_0865
ko:K02433	cpk:Cp1002_0869
ko:K02274	cpk:Cp1002_1670
ko:K03647	cpk:Cp1002_1676
ko:K01916	cpk:Cp1002_1679
ko:K01835	cpk:Cp1002_1690
ko:K02004	cpk:Cp1002_1693
ko:K00058	cpk:Cp1002_0894
ko:K07182	cpk:Cp1002_0896
ko:K02342	cpk:Cp1002_0897
ko:K01885	cpk:Cp1002_0901
ko:K03932	cpk:Cp1002_0902
ko:K07030	cpk:Cp1002_0914
ko:K08974	cpk:Cp1002_0924
ko:K16013	cpk:Cp1002_1705
ko:K16012	cpk:Cp1002_1706
ko:K15520	cpk:Cp1002_1715
ko:K02619	cpk:Cp1002_1719
ko:K03647	cpk:Cp1002_1725
ko:K03499	cpk:Cp1002_1736
ko:K02755	cpk:Cp1002_0930
ko:K02756	cpk:Cp1002_0930
ko:K02757	cpk:Cp1002_0930
ko:K01515	cpk:Cp1002_0964
ko:K04763	cpk:Cp1002_0965
ko:K07792	cpk:Cp1002_0977
ko:K03932	cpk:Cp1002_1756
ko:K01507	cpk:Cp1002_1798
ko:K06889	cpk:Cp1002_0993
ko:K07397	cpk:Cp1002_0993
ko:K00721	cpk:Cp1002_1016
ko:K13540	cpk:Cp1002_1022
ko:K00595	cpk:Cp1002_1025
ko:K03727	cpk:Cp1002_1028
ko:K05565	cpk:Cp1002_1812
ko:K05568	cpk:Cp1002_1814
ko:K05570	cpk:Cp1002_1816
ko:K03574	cpk:Cp1002_1828
ko:K14949	cpk:Cp1002_1830
ko:K02348	cpk:Cp1002_1834
ko:K10947	cpk:Cp1002_1858
ko:K00033	cpk:Cp1002_1005
ko:K13573	cpk:Cp1002_1031
ko:K13571	cpk:Cp1002_1033
ko:K13570	cpk:Cp1002_1034
ko:K13527	cpk:Cp1002_1036
ko:K07442	cpk:Cp1002_1037
ko:K01523	cpk:Cp1002_1045
ko:K00548	cpk:Cp1002_1047
ko:K15526	cpk:Cp1002_1049
ko:K06910	cpk:Cp1002_1056
ko:K07588	cpk:Cp1002_1063
ko:K01847	cpk:Cp1002_1064
ko:K01847	cpk:Cp1002_1065
ko:K01011	cpk:Cp1002_1865
ko:K02004	cpk:Cp1002_1885
ko:K02005	cpk:Cp1002_1887
ko:K13953	cpk:Cp1002_1891
ko:K13640	cpk:Cp1002_1895
ko:K02031	cpk:Cp1002_1904
ko:K02034	cpk:Cp1002_1904
ko:K02033	cpk:Cp1002_1905
ko:K04488	cpk:Cp1002_1086
ko:K14339	cpk:Cp1002_1092
ko:K00616	cpk:Cp1002_1098
ko:K09762	cpk:Cp1002_1107
ko:K00135	cpk:Cp1002_1932
ko:K01596	cpk:Cp1002_1942
ko:K06860	cpk:Cp1002_1944
ko:K12437	cpk:Cp1002_1951
ko:K12428	cpk:Cp1002_1952
ko:K13687	cpk:Cp1002_1958
ko:K14136	cpk:Cp1002_1959
ko:K06196	cpk:Cp1002_0285
ko:K03326	cpk:Cp1002_0297
ko:K02549	cpk:Cp1002_0298
ko:K12583	cpk:Cp1002_0301
ko:K00016	cpk:Cp1002_0303
ko:K00805	cpk:Cp1002_0305
ko:K01372	cpk:Cp1002_0311
ko:K07054	cpk:Cp1002_1151
ko:K03768	cpk:Cp1002_1164
ko:K02035	cpk:Cp1002_1168
ko:K08256	cpk:Cp1002_1182
ko:K04518	cpk:Cp1002_1979
ko:K03317	cpk:Cp1002_1988
ko:K01489	cpk:Cp1002_1989
ko:K00758	cpk:Cp1002_1990
ko:K00016	cpk:Cp1002_1991
ko:K07304	cpk:Cp1002_1992
ko:K07784	cpk:Cp1002_1997
ko:K13671	cpk:Cp1002_1999
ko:K06177	cpk:Cp1002_2014
ko:K02035	cpk:Cp1002_0357
ko:K02033	cpk:Cp1002_0360
ko:K01424	cpk:Cp1002_0368
ko:K00939	cpk:Cp1002_0385
ko:K07305	cpk:Cp1002_1192
ko:K03087	cpk:Cp1002_1212
ko:K03709	cpk:Cp1002_1213
ko:K01784	cpk:Cp1002_1214
ko:K03386	cpk:Cp1002_1219
ko:K03436	cpk:Cp1002_1226
ko:K08483	cpk:Cp1002_1227
ko:K03436	cpk:Cp1002_1228
ko:K00882	cpk:Cp1002_1229
ko:K01854	cpk:Cp1002_1967
ko:K11189	cpk:Cp1002_1232
ko:K02004	cpk:Cp1002_2053
ko:K02564	cpk:Cp1002_2059
ko:K01788	cpk:Cp1002_2061
ko:K00845	cpk:Cp1002_2062
ko:K02035	cpk:Cp1002_2064
ko:K02033	cpk:Cp1002_2065
ko:K02031	cpk:Cp1002_2066
ko:K02034	cpk:Cp1002_2066
ko:K07052	cpk:Cp1002_2070
ko:K14743	cpk:Cp1002_0398
ko:K01409	cpk:Cp1002_0418
ko:K00088	cpk:Cp1002_0424
ko:K00088	cpk:Cp1002_0425
ko:K14232	cpk:Cp1002_t35
ko:K16147	cpk:Cp1002_0855
ko:K16148	cpk:Cp1002_0788
ko:K16164	cpk:Cp1002_0151
ko:K10716	cpk:Cp1002_0543
ko:K02028	cpk:Cp1002_0921
ko:K15733	cpk:Cp1002_1187
ko:K12574	cpk:Cp1002_1262
ko:K14232	cpk:Cp1002_t11
ko:K14235	cpk:Cp1002_t16
ko:K18955	cpk:Cp1002_0504
ko:K01840	cpk:Cp1002_0163
ko:K01840	cpk:Cp1002_0470
ko:K01834	cpk:Cp1002_0258
ko:K01840	cpk:Cp1002_0507
ko:K01977	cpk:Cp1002_r01
ko:K01977	cpk:Cp1002_r04
ko:K01977	cpk:Cp1002_r09
ko:K01977	cpk:Cp1002_r12
ko:K14222	cpk:Cp1002_t29
ko:K16264	cpk:Cp1002_0891
ko:K15772	cpk:Cp1002_0379
ko:K16653	cpk:Cp1002_0102
ko:K15770	cpk:Cp1002_0377
ko:K15771	cpk:Cp1002_0378
ko:K16783	cpk:Cp1002_1251
ko:K02484	cpk:Cp1002_1741
ko:K01985	cpk:Cp1002_r03
ko:K01985	cpk:Cp1002_r06
ko:K01985	cpk:Cp1002_r07
ko:K01985	cpk:Cp1002_r10
ko:K00130	cpk:Cp1002_1783
ko:K16784	cpk:Cp1002_1250
ko:K16652	cpk:Cp1002_0101
ko:K16647	cpk:Cp1002_1191
ko:K16650	cpk:Cp1002_1961
ko:K16649	cpk:Cp1002_0108
ko:K02851	cpk:Cp1002_0839
ko:K16648	cpk:Cp1002_1936
ko:K02030	cpk:Cp1002_0923
ko:K02030	cpk:Cp1002_1829a
ko:K01906	cpk:Cp1002_1179
ko:K02031	cpk:Cp1002_0762
ko:K02032	cpk:Cp1002_0762
ko:K14224	cpk:Cp1002_t23
ko:K14219	cpk:Cp1002_t18
ko:K14225	cpk:Cp1002_t48
ko:K14228	cpk:Cp1002_t40
ko:K14233	cpk:Cp1002_t10
ko:K14219	cpk:Cp1002_t21
ko:K01980	cpk:Cp1002_r02
ko:K01980	cpk:Cp1002_r05
ko:K01980	cpk:Cp1002_r08
ko:K01980	cpk:Cp1002_r11
ko:K14228	cpk:Cp1002_t20
ko:K14228	cpk:Cp1002_t24
ko:K14219	cpk:Cp1002_t07
ko:K14219	cpk:Cp1002_t08
ko:K14226	cpk:Cp1002_t38
ko:K02303	cpk:Cp1002_1284
ko:K14232	cpk:Cp1002_t25
ko:K14220	cpk:Cp1002_t34
ko:K02768	cpk:Cp1002_1319
ko:K02769	cpk:Cp1002_1319
ko:K02770	cpk:Cp1002_1319
ko:K14234	cpk:Cp1002_t14
ko:K14225	cpk:Cp1002_t36
ko:K00966	cpk:Cp1002_0502
ko:K00951	cpk:Cp1002_1166
ko:K08316	cpk:Cp1002_0917
ko:K14225	cpk:Cp1002_t28
ko:K14225	cpk:Cp1002_t31
ko:K00108	cpk:Cp1002_1785
ko:K16870	cpk:Cp1002_0500
ko:K16925	cpk:Cp1002_0754
ko:K16786	cpk:Cp1002_0755
ko:K16787	cpk:Cp1002_0755
ko:K16785	cpk:Cp1002_0756
ko:K14227	cpk:Cp1002_t01
ko:K14233	cpk:Cp1002_t06
ko:K14234	cpk:Cp1002_t12
ko:K14236	cpk:Cp1002_t13
ko:K14223	cpk:Cp1002_t19
ko:K14223	cpk:Cp1002_t22
ko:K14229	cpk:Cp1002_t39
ko:K14218	cpk:Cp1002_t02
ko:K14218	cpk:Cp1002_t03
ko:K14219	cpk:Cp1002_t37
ko:K14230	cpk:Cp1002_t33
ko:K14228	cpk:Cp1002_t04
ko:K14228	cpk:Cp1002_t26
ko:K14233	cpk:Cp1002_t05
ko:K14233	cpk:Cp1002_t09
ko:K14230	cpk:Cp1002_t15
ko:K14230	cpk:Cp1002_t17
ko:K14224	cpk:Cp1002_t45
ko:K14237	cpk:Cp1002_t30
ko:K14237	cpk:Cp1002_t32
ko:K15582	cpk:Cp1002_0761
ko:K11710	cpk:Cp1002_0110
ko:K11708	cpk:Cp1002_0111
ko:K11709	cpk:Cp1002_0112
ko:K11707	cpk:Cp1002_0113
ko:K02338	cpk:Cp1002_0003
ko:K03629	cpk:Cp1002_0004
ko:K02470	cpk:Cp1002_0006
ko:K02469	cpk:Cp1002_0011
ko:K02058	cpk:Cp1002_0016
ko:K02057	cpk:Cp1002_0017
ko:K02056	cpk:Cp1002_0018
ko:K03767	cpk:Cp1002_0020
ko:K02013	cpk:Cp1002_0028
ko:K02015	cpk:Cp1002_0029
ko:K02015	cpk:Cp1002_0030
ko:K02016	cpk:Cp1002_0031
ko:K07052	cpk:Cp1002_0040
ko:K02016	cpk:Cp1002_0043
ko:K02013	cpk:Cp1002_0044
ko:K00928	cpk:Cp1002_0169
ko:K00133	cpk:Cp1002_0171
ko:K03088	cpk:Cp1002_0172
ko:K03781	cpk:Cp1002_0173
ko:K02011	cpk:Cp1002_0181
ko:K02012	cpk:Cp1002_0182
ko:K02445	cpk:Cp1002_0183
ko:K07657	cpk:Cp1002_0184
ko:K05571	cpk:Cp1002_0186
ko:K05570	cpk:Cp1002_0187
ko:K05569	cpk:Cp1002_0188
ko:K02015	cpk:Cp1002_0045
ko:K06213	cpk:Cp1002_0046
ko:K05343	cpk:Cp1002_0047
ko:K03088	cpk:Cp1002_0051
ko:K05846	cpk:Cp1002_0055
ko:K05846	cpk:Cp1002_0056
ko:K05847	cpk:Cp1002_0057
ko:K01012	cpk:Cp1002_0060
ko:K01241	cpk:Cp1002_0063
ko:K01858	cpk:Cp1002_0066
ko:K06966	cpk:Cp1002_0073
ko:K07120	cpk:Cp1002_0078
ko:K07090	cpk:Cp1002_0080
ko:K03475	cpk:Cp1002_0082
ko:K03579	cpk:Cp1002_0083
ko:K03919	cpk:Cp1002_0084
ko:K01246	cpk:Cp1002_0085
ko:K06996	cpk:Cp1002_0089
ko:K00864	cpk:Cp1002_0092
ko:K02440	cpk:Cp1002_0093
ko:K07386	cpk:Cp1002_0095
ko:K05845	cpk:Cp1002_0098
ko:K11387	cpk:Cp1002_0099
ko:K13686	cpk:Cp1002_0100
ko:K00375	cpk:Cp1002_0127
ko:K06215	cpk:Cp1002_0128
ko:K08681	cpk:Cp1002_0129
ko:K04517	cpk:Cp1002_0130
ko:K11991	cpk:Cp1002_0132
ko:K06994	cpk:Cp1002_0134
ko:K00773	cpk:Cp1002_0135
ko:K01885	cpk:Cp1002_0136
ko:K03299	cpk:Cp1002_0137
ko:K00851	cpk:Cp1002_0138
ko:K00098	cpk:Cp1002_0139
ko:K00046	cpk:Cp1002_0140
ko:K02343	cpk:Cp1002_0144
ko:K09747	cpk:Cp1002_0145
ko:K06187	cpk:Cp1002_0146
ko:K03299	cpk:Cp1002_0147
ko:K07009	cpk:Cp1002_0154
ko:K02342	cpk:Cp1002_0156
ko:K01649	cpk:Cp1002_0158
ko:K05346	cpk:Cp1002_0159
ko:K03784	cpk:Cp1002_0160
ko:K01619	cpk:Cp1002_0162
ko:K09117	cpk:Cp1002_0199
ko:K10773	cpk:Cp1002_0207
ko:K02283	cpk:Cp1002_0217
ko:K12510	cpk:Cp1002_0218
ko:K06877	cpk:Cp1002_0223
ko:K03704	cpk:Cp1002_0224
ko:K03168	cpk:Cp1002_0225
ko:K02341	cpk:Cp1002_0228
ko:K00973	cpk:Cp1002_0232
ko:K05568	cpk:Cp1002_0189
ko:K05567	cpk:Cp1002_0190
ko:K05565	cpk:Cp1002_0191
ko:K01322	cpk:Cp1002_0236
ko:K00382	cpk:Cp1002_0240
ko:K07110	cpk:Cp1002_0241
ko:K00241	cpk:Cp1002_0242
ko:K00239	cpk:Cp1002_0243
ko:K00240	cpk:Cp1002_0244
ko:K01619	cpk:Cp1002_0248
ko:K04069	cpk:Cp1002_0250
ko:K00656	cpk:Cp1002_0252
ko:K00075	cpk:Cp1002_0255
ko:K01897	cpk:Cp1002_0256
ko:K15521	cpk:Cp1002_0257
ko:K07768	cpk:Cp1002_0259
ko:K04561	cpk:Cp1002_0125
ko:K00817	cpk:Cp1002_0119
ko:K14445	cpk:Cp1002_0120
ko:K03480	cpk:Cp1002_0121
ko:K06996	cpk:Cp1002_0124
ko:K01990	cpk:Cp1002_1876
ko:K01992	cpk:Cp1002_1877
ko:K01992	cpk:Cp1002_0194
ko:K01992	cpk:Cp1002_1854
ko:K01990	cpk:Cp1002_1855
ko:K01990	cpk:Cp1002_2016
ko:K01990	cpk:Cp1002_0195
ko:K15580	cpk:Cp1002_0759
ko:K10112	cpk:Cp1002_0383
ko:K14231	cpk:Cp1002_t42
ko:K14221	cpk:Cp1002_t43
ko:K14221	cpk:Cp1002_t44
ko:K14229	cpk:Cp1002_t46
ko:K03416	cpk:Cp1002_0569
ko:K17489	cpk:Cp1002_0570
ko:K01990	cpk:Cp1002_0328
ko:K01990	cpk:Cp1002_1093
ko:K01990	cpk:Cp1002_1626
ko:K01990	cpk:Cp1002_1827
ko:K14237	cpk:Cp1002_t27
ko:K14218	cpk:Cp1002_t41
ko:K14234	cpk:Cp1002_t47
ko:K17490	cpk:Cp1002_0572
ko:K01186	cpk:Cp1002_0387
ko:K17489	cpk:Cp1002_0571
ko:K17686	cpk:Cp1002_2022
ko:K03671	cpk:Cp1002_2020
ko:K02010	cpk:Cp1002_0180
ko:K11928	cpk:Cp1002_0814
ko:K01658	cpk:Cp1002_2084
ko:K19745	cpk:Cp1002_1633
ko:K02026	cpk:Cp1002_0494
ko:K07284	cpk:Cp1002_1870
ko:K01267	cpk:Cp1002_1038
ko:K14337	cpk:Cp1002_1407
ko:K00537	cpk:Cp1002_0764
ko:K07284	cpk:Cp1002_1874
ko:K07284	cpk:Cp1002_1901
ko:K02027	cpk:Cp1002_0497
ko:K00254	cpk:Cp1002_1053
ko:K08168	cpk:Cp1002_0161
ko:K17883	cpk:Cp1002_1294
ko:K02031	cpk:Cp1002_0358
ko:K02032	cpk:Cp1002_0358
ko:K02031	cpk:Cp1002_0626
ko:K02032	cpk:Cp1002_0626
ko:K02031	cpk:Cp1002_1552
ko:K02032	cpk:Cp1002_1552
ko:K21480	cpk:Cp1002_1478
ko:K18118	cpk:Cp1002_1707
ko:K21687	cpk:Cp1002_0594
ko:K18292	cpk:Cp1002_1158
ko:K21688	cpk:Cp1002_0681
ko:K07052	cpk:Cp1002_1652
ko:K07052	cpk:Cp1002_1778
ko:K14194	cpk:Cp1002_1859
ko:K00652	cpk:Cp1002_1180
ko:K13671	cpk:Cp1002_1956
ko:K00299	cpk:Cp1002_1156
ko:K02483	cpk:Cp1002_1742
ko:K16237	cpk:Cp1002_0777
ko:K16237	cpk:Cp1002_0775
ko:K18455	cpk:Cp1002_0723
ko:K03574	cpk:Cp1002_0908
ko:K01990	cpk:Cp1002_0115
ko:K01992	cpk:Cp1002_0116
ko:K02032	cpk:Cp1002_1903
ko:K02032	cpk:Cp1002_2067
ko:K18955	cpk:Cp1002_0201
ko:K18955	cpk:Cp1002_0533
ko:K06147	cpk:Cp1002_0799
ko:K18929	cpk:Cp1002_0826
ko:K18928	cpk:Cp1002_0827
ko:K03111	cpk:Cp1002_1616
ko:K03496	cpk:Cp1002_0966
ko:K03111	cpk:Cp1002_2029
ko:K03497	cpk:Cp1002_2104
ko:K03496	cpk:Cp1002_2105
ko:K04565	cpk:Cp1002_0607
ko:K03976	cpk:Cp1002_0529
ko:K03526	cpk:Cp1002_1299
ko:K19125	cpk:Cp1002_0025
ko:K00067	cpk:Cp1002_0233
ko:K01790	cpk:Cp1002_0233
ko:K10563	cpk:Cp1002_2044
ko:K19221	cpk:Cp1002_1289
ko:K00798	cpk:Cp1002_1696
ko:K01710	cpk:Cp1002_0234
ko:K01239	cpk:Cp1002_1776
ko:K01239	cpk:Cp1002_1269
ko:K19265	cpk:Cp1002_0879
ko:K01785	cpk:Cp1002_0805
ko:K03722	cpk:Cp1002_1663
ko:K19302	cpk:Cp1002_0114
ko:K00020	cpk:Cp1002_0148
ko:K19302	cpk:Cp1002_1963
ko:K00526	cpk:Cp1002_1672
ko:K01992	cpk:Cp1002_1826
ko:K00525	cpk:Cp1002_1675
ko:K06867	cpk:Cp1002_1529
ko:K06867	cpk:Cp1002_1570
ko:K06881	cpk:Cp1002_1275
ko:K19577	cpk:Cp1002_0457
ko:K06221	cpk:Cp1002_0609
ko:K19710	cpk:Cp1002_1185
ko:K19784	cpk:Cp1002_1994
ko:K07119	cpk:Cp1002_1638
ko:K02033	cpk:Cp1002_1560
ko:K02034	cpk:Cp1002_1560
ko:K09796	cpk:Cp1002_1188
ko:K12132	cpk:Cp1002_0033
ko:K12132	cpk:Cp1002_1409
ko:K12132	cpk:Cp1002_0034
ko:K20074	cpk:Cp1002_0037
ko:K20468	cpk:Cp1002_1946
ko:K20470	cpk:Cp1002_1945
ko:K01214	cpk:Cp1002_1364
ko:K01200	cpk:Cp1002_0703
ko:K20814	cpk:Cp1002_1035
ko:K01046	cpk:Cp1002_0068
ko:K21071	cpk:Cp1002_0877
ko:K01768	cpk:Cp1002_0227
ko:K00821	cpk:Cp1002_0949
ko:K06191	cpk:Cp1002_1677
ko:K07465	cpk:Cp1002_1039
ko:K01520	cpk:Cp1002_1200
ko:K02314	cpk:Cp1002_2024
ko:K03553	cpk:Cp1002_1247
ko:K03465	cpk:Cp1002_1264
ko:K00287	cpk:Cp1002_0631
ko:K00560	cpk:Cp1002_0632
ko:K02316	cpk:Cp1002_1504
ko:K06217	cpk:Cp1002_1524
ko:K21636	cpk:Cp1002_0333
ko:K02335	cpk:Cp1002_0926
ko:K09820	cpk:Cp1002_0318
ko:K01436	cpk:Cp1002_0471
ko:K22468	cpk:Cp1002_0687
ko:K09819	cpk:Cp1002_0319
ko:K02075	cpk:Cp1002_0442
ko:K02075	cpk:Cp1002_0441
ko:K02074	cpk:Cp1002_0440
ko:K00526	cpk:Cp1002_1726
ko:K21481	cpk:Cp1002_1640
ko:K21473	cpk:Cp1002_1072a
ko:K05364	cpk:Cp1002_0035
ko:K21471	cpk:Cp1002_1416
ko:K21401	cpk:Cp1002_0304
ko:K21498	cpk:Cp1002_1040
ko:K10914	cpk:Cp1002_0205
ko:K21685	cpk:Cp1002_1697
ko:K21962	cpk:Cp1002_1076
ko:K22044	cpk:Cp1002_0887
ko:K22044	cpk:Cp1002_1610
ko:K03595	cpk:Cp1002_1520
ko:K00020	cpk:Cp1002_0281
ko:K17758	cpk:Cp1002_2045
ko:K17759	cpk:Cp1002_2045
ko:K00666	cpk:Cp1002_0230
ko:K22316	cpk:Cp1002_1486
ko:K22306	cpk:Cp1002_1575
ko:K02257	cpk:Cp1002_1096
ko:K22311	cpk:Cp1002_1183
ko:K11206	cpk:Cp1002_1889
ko:K22476	cpk:Cp1002_1823
ko:K00728	cpk:Cp1002_0674
ko:K22468	cpk:Cp1002_1806
ko:K08300	cpk:Cp1002_1586
ko:K08301	cpk:Cp1002_1586
ko:K07566	cpk:Cp1002_0838
