ko:K19744	paeo:M801_3854
ko:K03228	paeo:M801_1737
ko:K03227	paeo:M801_1738
ko:K03226	paeo:M801_1739
ko:K03225	paeo:M801_1740
ko:K03224	paeo:M801_1743
ko:K04058	paeo:M801_1744
ko:K03230	paeo:M801_1749
ko:K00331	paeo:M801_2584
ko:K13378	paeo:M801_2585
ko:K00334	paeo:M801_2586
ko:K00337	paeo:M801_2589
ko:K00338	paeo:M801_2590
ko:K00339	paeo:M801_2591
ko:K00340	paeo:M801_2592
ko:K00341	paeo:M801_2593
ko:K00342	paeo:M801_2594
ko:K00343	paeo:M801_2595
ko:K03406	paeo:M801_2598
ko:K07084	paeo:M801_2599
ko:K03406	paeo:M801_2600
ko:K07234	paeo:M801_2609
ko:K05916	paeo:M801_2611
ko:K12266	paeo:M801_2612
ko:K01737	paeo:M801_2613
ko:K02459	paeo:M801_2619
ko:K02458	paeo:M801_2620
ko:K02456	paeo:M801_2621
ko:K02456	paeo:M801_2622
ko:K02455	paeo:M801_2623
ko:K02454	paeo:M801_2624
ko:K01061	paeo:M801_2629
ko:K11904	paeo:M801_2633
ko:K15555	paeo:M801_3430
ko:K15554	paeo:M801_3431
ko:K04091	paeo:M801_3432
ko:K15553	paeo:M801_3433
ko:K00299	paeo:M801_3434
ko:K15555	paeo:M801_3435
ko:K15554	paeo:M801_3436
ko:K15553	paeo:M801_3437
ko:K00116	paeo:M801_3440
ko:K09915	paeo:M801_3441
ko:K15461	paeo:M801_3444
ko:K07090	paeo:M801_3445
ko:K01953	paeo:M801_3447
ko:K09898	paeo:M801_3451
ko:K08369	paeo:M801_3455
ko:K16053	paeo:M801_3456
ko:K00027	paeo:M801_3459
ko:K05786	paeo:M801_3461
ko:K07338	paeo:M801_4381
ko:K09947	paeo:M801_4382
ko:K03585	paeo:M801_4383
ko:K18138	paeo:M801_4384
ko:K00763	paeo:M801_4385
ko:K06199	paeo:M801_4393
ko:K04077	paeo:M801_4395
ko:K04078	paeo:M801_4396
ko:K07113	paeo:M801_4397
ko:K07226	paeo:M801_4398
ko:K00059	paeo:M801_4399
ko:K07443	paeo:M801_4402
ko:K08218	paeo:M801_4403
ko:K03442	paeo:M801_4404
ko:K09767	paeo:M801_4405
ko:K00077	paeo:M801_4407
ko:K00798	paeo:M801_4409
ko:K03574	paeo:M801_4410
ko:K00620	paeo:M801_4412
ko:K03070	paeo:M801_4413
ko:K02535	paeo:M801_4416
ko:K03531	paeo:M801_4417
ko:K03590	paeo:M801_4418
ko:K03589	paeo:M801_4419
ko:K01921	paeo:M801_4420
ko:K01924	paeo:M801_4421
ko:K01790	paeo:M801_5206
ko:K10125	paeo:M801_5207
ko:K10126	paeo:M801_5208
ko:K11688	paeo:M801_5209
ko:K11689	paeo:M801_5210
ko:K03758	paeo:M801_5212
ko:K01478	paeo:M801_5213
ko:K00611	paeo:M801_5214
ko:K00926	paeo:M801_5215
ko:K01082	paeo:M801_5217
ko:K08312	paeo:M801_5218
ko:K02379	paeo:M801_5222
ko:K04093	paeo:M801_5228
ko:K07107	paeo:M801_5227
ko:K01610	paeo:M801_5235
ko:K04083	paeo:M801_5236
ko:K04762	paeo:M801_5238
ko:K05844	paeo:M801_5240
ko:K01297	paeo:M801_5241
ko:K07638	paeo:M801_5242
ko:K07659	paeo:M801_5243
ko:K06959	paeo:M801_5244
ko:K02614	paeo:M801_5245
ko:K01919	paeo:M801_5246
ko:K14682	paeo:M801_5247
ko:K05595	paeo:M801_5249
ko:K01438	paeo:M801_5248
ko:K03306	paeo:M801_5250
ko:K07220	paeo:M801_5251
ko:K02454	paeo:M801_5253
ko:K07340	paeo:M801_5254
ko:K00281	paeo:M801_5256
ko:K02437	paeo:M801_5257
ko:K00605	paeo:M801_5258
ko:K02170	paeo:M801_514
ko:K02169	paeo:M801_515
ko:K01935	paeo:M801_516
ko:K02303	paeo:M801_522
ko:K08738	paeo:M801_530
ko:K15864	paeo:M801_531
ko:K04748	paeo:M801_532
ko:K02164	paeo:M801_533
ko:K02305	paeo:M801_535
ko:K04561	paeo:M801_536
ko:K02448	paeo:M801_537
ko:K06872	paeo:M801_549
ko:K03744	paeo:M801_550
ko:K03611	paeo:M801_551
ko:K03932	paeo:M801_556
ko:K00789	paeo:M801_559
ko:K00615	paeo:M801_561
ko:K03472	paeo:M801_564
ko:K00927	paeo:M801_565
ko:K01624	paeo:M801_568
ko:K03088	paeo:M801_1390
ko:K04750	paeo:M801_1392
ko:K11939	paeo:M801_1400
ko:K03327	paeo:M801_1399
ko:K03088	paeo:M801_1402
ko:K02014	paeo:M801_1404
ko:K04095	paeo:M801_1405
ko:K09458	paeo:M801_1413
ko:K03473	paeo:M801_1415
ko:K00906	paeo:M801_1416
ko:K03825	paeo:M801_1417
ko:K02453	paeo:M801_1422
ko:K01784	paeo:M801_1424
ko:K00860	paeo:M801_1433
ko:K00705	paeo:M801_2232
ko:K01236	paeo:M801_2233
ko:K00703	paeo:M801_2234
ko:K06889	paeo:M801_2237
ko:K06048	paeo:M801_2252
ko:K07217	paeo:M801_2256
ko:K16137	paeo:M801_2268
ko:K02029	paeo:M801_2274
ko:K02029	paeo:M801_2275
ko:K02030	paeo:M801_2276
ko:K08194	paeo:M801_2282
ko:K00097	paeo:M801_2284
ko:K03543	paeo:M801_3114
ko:K03446	paeo:M801_3115
ko:K03702	paeo:M801_3116
ko:K00832	paeo:M801_3117
ko:K02237	paeo:M801_3119
ko:K13007	paeo:M801_3122
ko:K13019	paeo:M801_3125
ko:K02500	paeo:M801_3128
ko:K13017	paeo:M801_3131
ko:K13018	paeo:M801_3132
ko:K13016	paeo:M801_3134
ko:K13015	paeo:M801_3135
ko:K05789	paeo:M801_3136
ko:K05788	paeo:M801_3137
ko:K02945	paeo:M801_3138
ko:K00945	paeo:M801_3139
ko:K00817	paeo:M801_3141
ko:K14170	paeo:M801_3142
ko:K00831	paeo:M801_3143
ko:K02469	paeo:M801_3144
ko:K08963	paeo:M801_3145
ko:K00568	paeo:M801_3147
ko:K01479	paeo:M801_3151
ko:K03312	paeo:M801_3152
ko:K06178	paeo:M801_3155
ko:K03574	paeo:M801_3156
ko:K01625	paeo:M801_3157
ko:K01057	paeo:M801_3158
ko:K00036	paeo:M801_3159
ko:K07267	paeo:M801_3162
ko:K10112	paeo:M801_3163
ko:K09945	paeo:M801_3947
ko:K17228	paeo:M801_3949
ko:K03579	paeo:M801_3956
ko:K03719	paeo:M801_3960
ko:K06181	paeo:M801_3963
ko:K01241	paeo:M801_3966
ko:K09456	paeo:M801_3968
ko:K00941	paeo:M801_3971
ko:K00788	paeo:M801_3972
ko:K01845	paeo:M801_3973
ko:K07126	paeo:M801_3974
ko:K06168	paeo:M801_3976
ko:K07042	paeo:M801_3978
ko:K06189	paeo:M801_3979
ko:K03820	paeo:M801_3980
ko:K01869	paeo:M801_3983
ko:K03643	paeo:M801_3984
ko:K02340	paeo:M801_3985
ko:K09890	paeo:M801_3986
ko:K03644	paeo:M801_3991
ko:K03801	paeo:M801_3992
ko:K09158	paeo:M801_3993
ko:K07258	paeo:M801_3994
ko:K03642	paeo:M801_3995
ko:K08305	paeo:M801_3996
ko:K05837	paeo:M801_3997
ko:K05515	paeo:M801_3998
ko:K04043	paeo:M801_4791
ko:K03687	paeo:M801_4792
ko:K03631	paeo:M801_4793
ko:K03711	paeo:M801_4794
ko:K06186	paeo:M801_4795
ko:K09801	paeo:M801_4796
ko:K03664	paeo:M801_4798
ko:K03303	paeo:M801_4800
ko:K00101	paeo:M801_4801
ko:K01611	paeo:M801_4803
ko:K00797	paeo:M801_4804
ko:K07645	paeo:M801_4807
ko:K09962	paeo:M801_4808
ko:K15268	paeo:M801_4810
ko:K07178	paeo:M801_4811
ko:K07814	paeo:M801_4812
ko:K03719	paeo:M801_4815
ko:K00626	paeo:M801_4816
ko:K00059	paeo:M801_4817
ko:K06219	paeo:M801_4821
ko:K01126	paeo:M801_4822
ko:K03833	paeo:M801_4839
ko:K01042	paeo:M801_4840
ko:K02380	paeo:M801_4841
ko:K00127	paeo:M801_4842
ko:K00124	paeo:M801_4843
ko:K00123	paeo:M801_4844
ko:K06183	paeo:M801_755
ko:K07118	paeo:M801_765
ko:K00140	paeo:M801_771
ko:K18346	paeo:M801_773
ko:K03648	paeo:M801_774
ko:K07120	paeo:M801_775
ko:K07793	paeo:M801_776
ko:K07795	paeo:M801_778
ko:K07774	paeo:M801_780
ko:K07649	paeo:M801_781
ko:K06980	paeo:M801_783
ko:K09159	paeo:M801_784
ko:K00278	paeo:M801_785
ko:K03088	paeo:M801_787
ko:K03598	paeo:M801_790
ko:K03803	paeo:M801_791
ko:K03596	paeo:M801_793
ko:K03100	paeo:M801_794
ko:K00406	paeo:M801_1597
ko:K00407	paeo:M801_1598
ko:K00405	paeo:M801_1599
ko:K00404	paeo:M801_1600
ko:K07020	paeo:M801_1601
ko:K03776	paeo:M801_1604
ko:K01681	paeo:M801_1605
ko:K06968	paeo:M801_1606
ko:K04085	paeo:M801_1607
ko:K01915	paeo:M801_1609
ko:K09974	paeo:M801_1616
ko:K09913	paeo:M801_1617
ko:K09922	paeo:M801_1620
ko:K06940	paeo:M801_1622
ko:K01647	paeo:M801_1624
ko:K00241	paeo:M801_1625
ko:K00242	paeo:M801_1626
ko:K00239	paeo:M801_1627
ko:K00240	paeo:M801_1628
ko:K00164	paeo:M801_1629
ko:K00658	paeo:M801_1630
ko:K00382	paeo:M801_1631
ko:K01903	paeo:M801_1632
ko:K01902	paeo:M801_1633
ko:K03311	paeo:M801_1634
ko:K04079	paeo:M801_1640
ko:K00606	paeo:M801_1642
ko:K18029	paeo:M801_1646
ko:K00995	paeo:M801_2478
ko:K09800	paeo:M801_2479
ko:K07278	paeo:M801_2480
ko:K01142	paeo:M801_2482
ko:K02040	paeo:M801_2485
ko:K05794	paeo:M801_2486
ko:K00626	paeo:M801_2491
ko:K01895	paeo:M801_2493
ko:K00666	paeo:M801_2495
ko:K07507	paeo:M801_2496
ko:K03406	paeo:M801_2501
ko:K03321	paeo:M801_2503
ko:K00598	paeo:M801_2504
ko:K17218	paeo:M801_2506
ko:K03406	paeo:M801_2515
ko:K00496	paeo:M801_2516
ko:K07078	paeo:M801_2517
ko:K03719	paeo:M801_2519
ko:K00453	paeo:M801_2521
ko:K03923	paeo:M801_2522
ko:K03607	paeo:M801_2525
ko:K07679	paeo:M801_2526
ko:K03703	paeo:M801_2530
ko:K06075	paeo:M801_3325
ko:K03654	paeo:M801_3328
ko:K00575	paeo:M801_3332
ko:K03415	paeo:M801_3333
ko:K02386	paeo:M801_3334
ko:K02398	paeo:M801_3335
ko:K02399	paeo:M801_3336
ko:K09931	paeo:M801_3338
ko:K01915	paeo:M801_3340
ko:K01753	paeo:M801_3341
ko:K01999	paeo:M801_3348
ko:K01426	paeo:M801_3350
ko:K06167	paeo:M801_3357
ko:K05774	paeo:M801_3358
ko:K06162	paeo:M801_3359
ko:K05780	paeo:M801_3360
ko:K05781	paeo:M801_3361
ko:K06163	paeo:M801_3362
ko:K06164	paeo:M801_3363
ko:K06165	paeo:M801_3364
ko:K06166	paeo:M801_3365
ko:K02043	paeo:M801_3366
ko:K02042	paeo:M801_3367
ko:K02044	paeo:M801_3368
ko:K02041	paeo:M801_3369
ko:K02016	paeo:M801_4157
ko:K02015	paeo:M801_4158
ko:K02015	paeo:M801_4159
ko:K01426	paeo:M801_4161
ko:K00375	paeo:M801_4163
ko:K06222	paeo:M801_4165
ko:K16088	paeo:M801_4166
ko:K05520	paeo:M801_4169
ko:K01142	paeo:M801_4170
ko:K03769	paeo:M801_4174
ko:K01652	paeo:M801_4178
ko:K07734	paeo:M801_4180
ko:K08368	paeo:M801_4185
ko:K01714	paeo:M801_4186
ko:K02028	paeo:M801_4190
ko:K02029	paeo:M801_4191
ko:K02029	paeo:M801_4192
ko:K02030	paeo:M801_4193
ko:K00666	paeo:M801_4196
ko:K01921	paeo:M801_4199
ko:K00459	paeo:M801_4200
ko:K18306	paeo:M801_4204
ko:K18307	paeo:M801_4205
ko:K02622	paeo:M801_5004
ko:K07000	paeo:M801_5005
ko:K03651	paeo:M801_5006
ko:K09920	paeo:M801_5007
ko:K01515	paeo:M801_5008
ko:K03147	paeo:M801_5010
ko:K12340	paeo:M801_5011
ko:K00355	paeo:M801_5012
ko:K12252	paeo:M801_5013
ko:K15866	paeo:M801_5017
ko:K02205	paeo:M801_5018
ko:K02030	paeo:M801_5020
ko:K02055	paeo:M801_5023
ko:K02527	paeo:M801_5026
ko:K01713	paeo:M801_3463
ko:K18101	paeo:M801_3466
ko:K18100	paeo:M801_3467
ko:K01494	paeo:M801_3468
ko:K03593	paeo:M801_3469
ko:K01874	paeo:M801_3470
ko:K11904	paeo:M801_3474
ko:K03617	paeo:M801_3477
ko:K03616	paeo:M801_3478
ko:K03615	paeo:M801_3479
ko:K03614	paeo:M801_3480
ko:K02946	paeo:M801_4262
ko:K02358	paeo:M801_4263
ko:K02355	paeo:M801_4264
ko:K02992	paeo:M801_4265
ko:K02950	paeo:M801_4266
ko:K03046	paeo:M801_4267
ko:K03043	paeo:M801_4268
ko:K02935	paeo:M801_4269
ko:K02864	paeo:M801_4270
ko:K02863	paeo:M801_4271
ko:K02867	paeo:M801_4272
ko:K02601	paeo:M801_4273
ko:K02358	paeo:M801_4276
ko:K03525	paeo:M801_4281
ko:K03524	paeo:M801_4282
ko:K03547	paeo:M801_4288
ko:K03581	paeo:M801_4290
ko:K03582	paeo:M801_4291
ko:K03583	paeo:M801_4292
ko:K07240	paeo:M801_4297
ko:K03406	paeo:M801_4296
ko:K16322	paeo:M801_4299
ko:K02278	paeo:M801_4302
ko:K12511	paeo:M801_4307
ko:K12510	paeo:M801_4308
ko:K02283	paeo:M801_4309
ko:K02282	paeo:M801_4310
ko:K02280	paeo:M801_4311
ko:K02279	paeo:M801_4312
ko:K02651	paeo:M801_4313
ko:K03406	paeo:M801_4314
ko:K01496	paeo:M801_5104
ko:K01523	paeo:M801_5105
ko:K03116	paeo:M801_5106
ko:K03117	paeo:M801_5107
ko:K03118	paeo:M801_5108
ko:K03406	paeo:M801_5110
ko:K02028	paeo:M801_5112
ko:K02029	paeo:M801_5113
ko:K02030	paeo:M801_5114
ko:K03669	paeo:M801_5115
ko:K03670	paeo:M801_5116
ko:K07560	paeo:M801_5117
ko:K01259	paeo:M801_5118
ko:K10001	paeo:M801_5120
ko:K00285	paeo:M801_5122
ko:K07126	paeo:M801_5125
ko:K11904	paeo:M801_5128
ko:K01479	paeo:M801_5129
ko:K01468	paeo:M801_5130
ko:K01745	paeo:M801_5131
ko:K02000	paeo:M801_5132
ko:K02001	paeo:M801_5133
ko:K02002	paeo:M801_5134
ko:K16234	paeo:M801_5135
ko:K01745	paeo:M801_5136
ko:K03457	paeo:M801_5137
ko:K01712	paeo:M801_5138
ko:K02002	paeo:M801_5141
ko:K09975	paeo:M801_5142
ko:K05836	paeo:M801_5143
ko:K05603	paeo:M801_5144
ko:K03098	paeo:M801_5145
ko:K03841	paeo:M801_5148
ko:K01759	paeo:M801_5149
ko:K12686	paeo:M801_5150
ko:K00286	paeo:M801_404
ko:K06997	paeo:M801_405
ko:K02669	paeo:M801_406
ko:K02670	paeo:M801_407
ko:K16264	paeo:M801_408
ko:K01697	paeo:M801_410
ko:K01758	paeo:M801_411
ko:K01465	paeo:M801_412
ko:K00609	paeo:M801_413
ko:K02825	paeo:M801_414
ko:K07447	paeo:M801_415
ko:K07735	paeo:M801_416
ko:K03832	paeo:M801_417
ko:K01920	paeo:M801_418
ko:K02657	paeo:M801_419
ko:K02658	paeo:M801_420
ko:K02659	paeo:M801_421
ko:K02660	paeo:M801_422
ko:K02487	paeo:M801_424
ko:K06596	paeo:M801_424
ko:K06597	paeo:M801_425
ko:K06598	paeo:M801_426
ko:K09761	paeo:M801_430
ko:K00833	paeo:M801_431
ko:K00274	paeo:M801_432
ko:K03585	paeo:M801_436
ko:K18138	paeo:M801_437
ko:K18139	paeo:M801_438
ko:K11927	paeo:M801_439
ko:K00297	paeo:M801_441
ko:K01251	paeo:M801_443
ko:K02014	paeo:M801_445
ko:K01485	paeo:M801_448
ko:K10974	paeo:M801_449
ko:K17723	paeo:M801_450
ko:K01464	paeo:M801_452
ko:K03457	paeo:M801_453
ko:K06016	paeo:M801_454
ko:K00252	paeo:M801_457
ko:K12536	paeo:M801_1285
ko:K12537	paeo:M801_1286
ko:K12538	paeo:M801_1287
ko:K03406	paeo:M801_1290
ko:K02028	paeo:M801_1295
ko:K02029	paeo:M801_1296
ko:K02029	paeo:M801_1297
ko:K02030	paeo:M801_1299
ko:K12658	paeo:M801_1307
ko:K16092	paeo:M801_1310
ko:K02224	paeo:M801_1312
ko:K04719	paeo:M801_1313
ko:K02227	paeo:M801_1314
ko:K02225	paeo:M801_1315
ko:K02232	paeo:M801_1316
ko:K02231	paeo:M801_1317
ko:K00768	paeo:M801_1318
ko:K02226	paeo:M801_1319
ko:K02233	paeo:M801_1321
ko:K08167	paeo:M801_1320
ko:K00432	paeo:M801_1326
ko:K06076	paeo:M801_1327
ko:K01011	paeo:M801_1331
ko:K03684	paeo:M801_1333
ko:K09902	paeo:M801_1334
ko:K13896	paeo:M801_2124
ko:K04487	paeo:M801_2125
ko:K07233	paeo:M801_2127
ko:K05820	paeo:M801_2131
ko:K00612	paeo:M801_2132
ko:K02014	paeo:M801_2133
ko:K02355	paeo:M801_2134
ko:K01556	paeo:M801_2144
ko:K07130	paeo:M801_2145
ko:K01953	paeo:M801_2148
ko:K01561	paeo:M801_2150
ko:K02014	paeo:M801_2153
ko:K03088	paeo:M801_2157
ko:K01738	paeo:M801_2168
ko:K00640	paeo:M801_2169
ko:K00156	paeo:M801_2172
ko:K07160	paeo:M801_2176
ko:K03320	paeo:M801_3011
ko:K01129	paeo:M801_3015
ko:K07690	paeo:M801_3017
ko:K09923	paeo:M801_3018
ko:K07259	paeo:M801_3019
ko:K12297	paeo:M801_3020
ko:K00254	paeo:M801_3021
ko:K15371	paeo:M801_3039
ko:K03924	paeo:M801_3041
ko:K07114	paeo:M801_3044
ko:K07114	paeo:M801_3045
ko:K07003	paeo:M801_3050
ko:K01256	paeo:M801_3054
ko:K09916	paeo:M801_3056
ko:K02441	paeo:M801_3057
ko:K00858	paeo:M801_3059
ko:K09977	paeo:M801_3060
ko:K06899	paeo:M801_3841
ko:K07461	paeo:M801_3846
ko:K01004	paeo:M801_3849
ko:K09969	paeo:M801_3850
ko:K06999	paeo:M801_3851
ko:K00666	paeo:M801_3852
ko:K03732	paeo:M801_3853
ko:K10022	paeo:M801_3857
ko:K03639	paeo:M801_3862
ko:K03769	paeo:M801_3863
ko:K00374	paeo:M801_3864
ko:K00373	paeo:M801_3865
ko:K00371	paeo:M801_3866
ko:K00370	paeo:M801_3867
ko:K02575	paeo:M801_3868
ko:K02575	paeo:M801_3869
ko:K07673	paeo:M801_3870
ko:K07684	paeo:M801_3871
ko:K03316	paeo:M801_3880
ko:K05846	paeo:M801_3882
ko:K05845	paeo:M801_3883
ko:K05846	paeo:M801_3884
ko:K05847	paeo:M801_3885
ko:K00090	paeo:M801_3891
ko:K02835	paeo:M801_4685
ko:K02492	paeo:M801_4686
ko:K02494	paeo:M801_4688
ko:K00919	paeo:M801_4689
ko:K02897	paeo:M801_4692
ko:K01056	paeo:M801_4693
ko:K06942	paeo:M801_4694
ko:K02014	paeo:M801_4697
ko:K01673	paeo:M801_4698
ko:K03789	paeo:M801_4700
ko:K02012	paeo:M801_4709
ko:K02011	paeo:M801_4710
ko:K03808	paeo:M801_4712
ko:K03808	paeo:M801_4713
ko:K17247	paeo:M801_4719
ko:K17103	paeo:M801_4721
ko:K00053	paeo:M801_4722
ko:K01653	paeo:M801_4723
ko:K01652	paeo:M801_4724
ko:K05365	paeo:M801_4728
ko:K07028	paeo:M801_4729
ko:K02013	paeo:M801_4734
ko:K02015	paeo:M801_4735
ko:K02016	paeo:M801_4736
ko:K07225	paeo:M801_4737
ko:K02839	paeo:M801_5523
ko:K03324	paeo:M801_5526
ko:K11102	paeo:M801_5532
ko:K11384	paeo:M801_5535
ko:K11066	paeo:M801_5537
ko:K13590	paeo:M801_5539
ko:K03673	paeo:M801_5541
ko:K03978	paeo:M801_5544
ko:K02204	paeo:M801_5547
ko:K09815	paeo:M801_5550
ko:K09823	paeo:M801_5551
ko:K09817	paeo:M801_5552
ko:K09816	paeo:M801_5553
ko:K02071	paeo:M801_5555
ko:K02072	paeo:M801_5556
ko:K02073	paeo:M801_5557
ko:K01915	paeo:M801_5560
ko:K10126	paeo:M801_5563
ko:K10125	paeo:M801_5564
ko:K00868	paeo:M801_5568
ko:K03455	paeo:M801_5570
ko:K01915	paeo:M801_5574
ko:K03272	paeo:M801_5034
ko:K11085	paeo:M801_5035
ko:K00612	paeo:M801_5043
ko:K02848	paeo:M801_5047
ko:K02844	paeo:M801_5048
ko:K02841	paeo:M801_5049
ko:K02843	paeo:M801_5050
ko:K00826	paeo:M801_5051
ko:K00982	paeo:M801_5052
ko:K15553	paeo:M801_191
ko:K07088	paeo:M801_193
ko:K02014	paeo:M801_197
ko:K00324	paeo:M801_200
ko:K00324	paeo:M801_201
ko:K00325	paeo:M801_202
ko:K03832	paeo:M801_203
ko:K03561	paeo:M801_204
ko:K03560	paeo:M801_205
ko:K07002	paeo:M801_207
ko:K01426	paeo:M801_208
ko:K11069	paeo:M801_209
ko:K11070	paeo:M801_210
ko:K11071	paeo:M801_211
ko:K11072	paeo:M801_212
ko:K13929	paeo:M801_214
ko:K13930	paeo:M801_215
ko:K13931	paeo:M801_216
ko:K13932	paeo:M801_217
ko:K13933	paeo:M801_218
ko:K13934	paeo:M801_219
ko:K13935	paeo:M801_220
ko:K13928	paeo:M801_223
ko:K02055	paeo:M801_228
ko:K01714	paeo:M801_229
ko:K01628	paeo:M801_230
ko:K01039	paeo:M801_232
ko:K01040	paeo:M801_233
ko:K07823	paeo:M801_234
ko:K01857	paeo:M801_236
ko:K01055	paeo:M801_237
ko:K01607	paeo:M801_238
ko:K08195	paeo:M801_241
ko:K09858	paeo:M801_1075
ko:K08993	paeo:M801_1078
ko:K00275	paeo:M801_1085
ko:K02647	paeo:M801_1086
ko:K03299	paeo:M801_1087
ko:K00865	paeo:M801_1089
ko:K06077	paeo:M801_1090
ko:K05559	paeo:M801_1091
ko:K05560	paeo:M801_1092
ko:K05561	paeo:M801_1093
ko:K05562	paeo:M801_1094
ko:K05563	paeo:M801_1095
ko:K05564	paeo:M801_1096
ko:K01738	paeo:M801_1098
ko:K08985	paeo:M801_1101
ko:K04079	paeo:M801_1105
ko:K01996	paeo:M801_1107
ko:K01995	paeo:M801_1108
ko:K01998	paeo:M801_1109
ko:K10536	paeo:M801_298
ko:K12251	paeo:M801_299
ko:K11073	paeo:M801_301
ko:K01915	paeo:M801_302
ko:K07010	paeo:M801_303
ko:K01915	paeo:M801_304
ko:K12256	paeo:M801_305
ko:K11073	paeo:M801_306
ko:K11073	paeo:M801_307
ko:K11076	paeo:M801_308
ko:K11075	paeo:M801_309
ko:K11074	paeo:M801_310
ko:K01434	paeo:M801_311
ko:K07394	paeo:M801_317
ko:K10009	paeo:M801_321
ko:K02424	paeo:M801_322
ko:K00058	paeo:M801_324
ko:K11069	paeo:M801_331
ko:K11070	paeo:M801_332
ko:K11071	paeo:M801_333
ko:K11072	paeo:M801_334
ko:K09946	paeo:M801_337
ko:K01807	paeo:M801_338
ko:K01754	paeo:M801_339
ko:K08311	paeo:M801_345
ko:K08484	paeo:M801_346
ko:K07090	paeo:M801_349
ko:K14977	paeo:M801_1180
ko:K07491	paeo:M801_1192
ko:K07661	paeo:M801_1195
ko:K07639	paeo:M801_1196
ko:K03704	paeo:M801_1197
ko:K00563	paeo:M801_1199
ko:K01439	paeo:M801_1200
ko:K02362	paeo:M801_1202
ko:K02569	paeo:M801_1210
ko:K02568	paeo:M801_1211
ko:K02567	paeo:M801_1212
ko:K02570	paeo:M801_1213
ko:K02572	paeo:M801_1214
ko:K02571	paeo:M801_1215
ko:K07660	paeo:M801_1217
ko:K07637	paeo:M801_1218
ko:K11103	paeo:M801_1221
ko:K03566	paeo:M801_1222
ko:K02742	paeo:M801_1227
ko:K06153	paeo:M801_2020
ko:K01118	paeo:M801_2023
ko:K01826	paeo:M801_2027
ko:K03311	paeo:M801_2032
ko:K03760	paeo:M801_2033
ko:K00138	paeo:M801_2046
ko:K06135	paeo:M801_2047
ko:K06136	paeo:M801_2048
ko:K06137	paeo:M801_2049
ko:K06138	paeo:M801_2050
ko:K06139	paeo:M801_2051
ko:K09957	paeo:M801_2056
ko:K03769	paeo:M801_2058
ko:K01907	paeo:M801_2059
ko:K17737	paeo:M801_2060
ko:K01028	paeo:M801_2061
ko:K01029	paeo:M801_2062
ko:K00626	paeo:M801_2063
ko:K02106	paeo:M801_2064
ko:K00019	paeo:M801_2065
ko:K08195	paeo:M801_2068
ko:K01555	paeo:M801_2070
ko:K00451	paeo:M801_2071
ko:K13580	paeo:M801_2910
ko:K03405	paeo:M801_2911
ko:K01626	paeo:M801_2912
ko:K02230	paeo:M801_2913
ko:K02234	paeo:M801_2914
ko:K02189	paeo:M801_2917
ko:K05936	paeo:M801_2918
ko:K00209	paeo:M801_2920
ko:K03522	paeo:M801_2921
ko:K03521	paeo:M801_2922
ko:K00311	paeo:M801_2923
ko:K09986	paeo:M801_2924
ko:K03424	paeo:M801_2929
ko:K02676	paeo:M801_2930
ko:K02341	paeo:M801_2931
ko:K00943	paeo:M801_2932
ko:K07082	paeo:M801_2933
ko:K02619	paeo:M801_2934
ko:K09458	paeo:M801_2935
ko:K02078	paeo:M801_2936
ko:K00059	paeo:M801_2937
ko:K00645	paeo:M801_2938
ko:K03621	paeo:M801_2939
ko:K02911	paeo:M801_2940
ko:K07040	paeo:M801_2941
ko:K04773	paeo:M801_2943
ko:K01091	paeo:M801_2944
ko:K06179	paeo:M801_2945
ko:K08300	paeo:M801_2946
ko:K00075	paeo:M801_2947
ko:K01104	paeo:M801_2948
ko:K00979	paeo:M801_2949
ko:K09791	paeo:M801_2950
ko:K00912	paeo:M801_2951
ko:K03559	paeo:M801_2952
ko:K03561	paeo:M801_2953
ko:K02238	paeo:M801_2954
ko:K09928	paeo:M801_2955
ko:K09808	paeo:M801_2956
ko:K08289	paeo:M801_3740
ko:K06938	paeo:M801_3741
ko:K03710	paeo:M801_3746
ko:K01443	paeo:M801_3747
ko:K00820	paeo:M801_3748
ko:K11189	paeo:M801_3749
ko:K02803	paeo:M801_3750
ko:K02804	paeo:M801_3750
ko:K01952	paeo:M801_3753
ko:K09965	paeo:M801_3755
ko:K01951	paeo:M801_3759
ko:K00088	paeo:M801_3760
ko:K07090	paeo:M801_3764
ko:K03601	paeo:M801_3767
ko:K08641	paeo:M801_3773
ko:K02014	paeo:M801_3781
ko:K01649	paeo:M801_3783
ko:K02968	paeo:M801_4578
ko:K05805	paeo:M801_4579
ko:K00931	paeo:M801_4580
ko:K03979	paeo:M801_4581
ko:K02899	paeo:M801_4582
ko:K02888	paeo:M801_4583
ko:K02523	paeo:M801_4584
ko:K03773	paeo:M801_4587
ko:K14414	paeo:M801_4596
ko:K14415	paeo:M801_4599
ko:K07074	paeo:M801_4600
ko:K01974	paeo:M801_4601
ko:K00428	paeo:M801_4603
ko:K00262	paeo:M801_4604
ko:K06076	paeo:M801_4605
ko:K02004	paeo:M801_4609
ko:K02003	paeo:M801_4610
ko:K08721	paeo:M801_4614
ko:K18296	paeo:M801_4615
ko:K18295	paeo:M801_4616
ko:K18294	paeo:M801_4617
ko:K00600	paeo:M801_4619
ko:K06200	paeo:M801_4623
ko:K04485	paeo:M801_4626
ko:K09794	paeo:M801_4628
ko:K03781	paeo:M801_4630
