ko:K18929	cjer:H730_00395
ko:K14227	cjer:H730_t09994
ko:K14227	cjer:H730_t10020
ko:K14227	cjer:H730_t10000
ko:K14219	cjer:H730_t10012
ko:K14221	cjer:H730_t10028
ko:K14221	cjer:H730_t10036
ko:K14237	cjer:H730_t10030
ko:K14237	cjer:H730_t10038
ko:K14224	cjer:H730_t09996
ko:K14234	cjer:H730_t10002
ko:K14236	cjer:H730_t10004
ko:K14230	cjer:H730_t10072
ko:K14233	cjer:H730_t10074
ko:K01977	cjer:H730_r10086
ko:K03406	cjer:H730_05645
ko:K01779	cjer:H730_00450
ko:K03648	cjer:H730_00455
ko:K01744	cjer:H730_00460
ko:K07791	cjer:H730_00465
ko:K09859	cjer:H730_00470
ko:K07337	cjer:H730_00480
ko:K02888	cjer:H730_00495
ko:K02899	cjer:H730_00500
ko:K03979	cjer:H730_00505
ko:K00931	cjer:H730_00510
ko:K00604	cjer:H730_00515
ko:K03524	cjer:H730_00520
ko:K02109	cjer:H730_00535
ko:K02109	cjer:H730_00540
ko:K02113	cjer:H730_00545
ko:K02111	cjer:H730_00550
ko:K02115	cjer:H730_00555
ko:K02112	cjer:H730_00560
ko:K02114	cjer:H730_00565
ko:K03559	cjer:H730_00575
ko:K03832	cjer:H730_00580
ko:K03641	cjer:H730_00585
ko:K03640	cjer:H730_00590
ko:K03775	cjer:H730_00600
ko:K00645	cjer:H730_00605
ko:K18284	cjer:H730_00610
ko:K07042	cjer:H730_00630
ko:K05540	cjer:H730_00640
ko:K06204	cjer:H730_00650
ko:K00783	cjer:H730_00655
ko:K01963	cjer:H730_00660
ko:K01092	cjer:H730_00665
ko:K07277	cjer:H730_00670
ko:K04517	cjer:H730_00675
ko:K02535	cjer:H730_00685
ko:K00872	cjer:H730_00695
ko:K02519	cjer:H730_00705
ko:K02834	cjer:H730_00710
ko:K09748	cjer:H730_00715
ko:K01664	cjer:H730_05180
ko:K03342	cjer:H730_05185
ko:K04763	cjer:H730_05190
ko:K03673	cjer:H730_05195
ko:K03611	cjer:H730_05200
ko:K03673	cjer:H730_05245
ko:K02400	cjer:H730_05290
ko:K02956	cjer:H730_05305
ko:K03466	cjer:H730_05310
ko:K02397	cjer:H730_05315
ko:K15738	cjer:H730_05320
ko:K00058	cjer:H730_05335
ko:K02945	cjer:H730_05345
ko:K03527	cjer:H730_05350
ko:K00800	cjer:H730_05355
ko:K01890	cjer:H730_05360
ko:K01889	cjer:H730_05365
ko:K02503	cjer:H730_05370
ko:K03152	cjer:H730_05375
ko:K02029	cjer:H730_05385
ko:K02028	cjer:H730_05390
ko:K03310	cjer:H730_05395
ko:K03216	cjer:H730_05400
ko:K01775	cjer:H730_05405
ko:K07152	cjer:H730_05430
ko:K01738	cjer:H730_05435
ko:K03530	cjer:H730_05440
ko:K10806	cjer:H730_05450
ko:K06200	cjer:H730_05460
ko:K00948	cjer:H730_05465
ko:K10040	cjer:H730_05470
ko:K10040	cjer:H730_05475
ko:K10039	cjer:H730_05480
ko:K10041	cjer:H730_05485
ko:K01689	cjer:H730_09680
ko:K11785	cjer:H730_09690
ko:K02420	cjer:H730_09695
ko:K00075	cjer:H730_09700
ko:K01082	cjer:H730_09710
ko:K01647	cjer:H730_09715
ko:K01012	cjer:H730_09725
ko:K03168	cjer:H730_09730
ko:K02025	cjer:H730_09750
ko:K02026	cjer:H730_09760
ko:K03076	cjer:H730_09790
ko:K02876	cjer:H730_09795
ko:K02988	cjer:H730_09800
ko:K02881	cjer:H730_09805
ko:K02933	cjer:H730_09810
ko:K02994	cjer:H730_09815
ko:K02954	cjer:H730_09820
ko:K02931	cjer:H730_09825
ko:K02895	cjer:H730_09830
ko:K02874	cjer:H730_09835
ko:K02961	cjer:H730_09840
ko:K02904	cjer:H730_09845
ko:K02878	cjer:H730_09850
ko:K02982	cjer:H730_09855
ko:K02890	cjer:H730_09860
ko:K02965	cjer:H730_09865
ko:K02886	cjer:H730_09870
ko:K02892	cjer:H730_09875
ko:K02926	cjer:H730_09880
ko:K02906	cjer:H730_09885
ko:K02946	cjer:H730_09890
ko:K06178	cjer:H730_09895
ko:K12574	cjer:H730_09900
ko:K02528	cjer:H730_09905
ko:K06941	cjer:H730_09915
ko:K01704	cjer:H730_09930
ko:K01703	cjer:H730_09935
ko:K00241	cjer:H730_02770
ko:K01980	cjer:H730_r10094
ko:K01980	cjer:H730_r10096
ko:K01980	cjer:H730_r10092
ko:K09816	cjer:H730_00730
ko:K09817	cjer:H730_00735
ko:K09815	cjer:H730_00740
ko:K03406	cjer:H730_00745
ko:K07093	cjer:H730_00750
ko:K06152	cjer:H730_00775
ko:K00384	cjer:H730_00780
ko:K03671	cjer:H730_00785
ko:K07460	cjer:H730_00790
ko:K00003	cjer:H730_00795
ko:K14261	cjer:H730_00800
ko:K03218	cjer:H730_00815
ko:K07056	cjer:H730_00820
ko:K02909	cjer:H730_00825
ko:K09761	cjer:H730_00830
ko:K01737	cjer:H730_00845
ko:K03639	cjer:H730_00855
ko:K03179	cjer:H730_00870
ko:K00791	cjer:H730_00875
ko:K00575	cjer:H730_05490
ko:K03412	cjer:H730_05495
ko:K01808	cjer:H730_05500
ko:K00759	cjer:H730_05510
ko:K01255	cjer:H730_05520
ko:K06942	cjer:H730_05525
ko:K01755	cjer:H730_05530
ko:K01610	cjer:H730_05535
ko:K01960	cjer:H730_05540
ko:K03308	cjer:H730_05545
ko:K03308	cjer:H730_05550
ko:K02110	cjer:H730_05555
ko:K07088	cjer:H730_05560
ko:K05939	cjer:H730_05565
ko:K02029	cjer:H730_05575
ko:K02004	cjer:H730_05580
ko:K03070	cjer:H730_05585
ko:K03634	cjer:H730_05590
ko:K12251	cjer:H730_05610
ko:K00602	cjer:H730_05650
ko:K05801	cjer:H730_05655
ko:K01952	cjer:H730_05660
ko:K03650	cjer:H730_05665
ko:K06346	cjer:H730_05670
ko:K03217	cjer:H730_05675
ko:K03536	cjer:H730_05685
ko:K02914	cjer:H730_05690
ko:K07107	cjer:H730_05710
ko:K00052	cjer:H730_09940
ko:K01649	cjer:H730_09945
ko:K09457	cjer:H730_09960
ko:K00651	cjer:H730_09970
ko:K01740	cjer:H730_09975
ko:K02390	cjer:H730_09980
ko:K01159	cjer:H730_09985
ko:K07738	cjer:H730_01070
ko:K04564	cjer:H730_01175
ko:K00290	cjer:H730_01180
ko:K02010	cjer:H730_01185
ko:K02011	cjer:H730_01190
ko:K02012	cjer:H730_01195
ko:K16087	cjer:H730_01205
ko:K03561	cjer:H730_01210
ko:K03559	cjer:H730_01215
ko:K03832	cjer:H730_01220
ko:K17938	cjer:H730_01225
ko:K06193	cjer:H730_01240
ko:K11175	cjer:H730_01250
ko:K07391	cjer:H730_01265
ko:K01462	cjer:H730_01270
ko:K01358	cjer:H730_01275
ko:K03545	cjer:H730_01280
ko:K01495	cjer:H730_01285
ko:K02412	cjer:H730_01290
ko:K00764	cjer:H730_01295
ko:K00215	cjer:H730_01300
ko:K15257	cjer:H730_05765
ko:K01270	cjer:H730_05785
ko:K02030	cjer:H730_05795
ko:K09861	cjer:H730_05805
ko:K00611	cjer:H730_05850
ko:K01698	cjer:H730_05855
ko:K01497	cjer:H730_05860
ko:K03501	cjer:H730_05865
ko:K03086	cjer:H730_05885
ko:K08296	cjer:H730_05890
ko:K01735	cjer:H730_05920
ko:K09944	cjer:H730_05925
ko:K00773	cjer:H730_05930
ko:K07341	cjer:H730_05990
ko:K01996	cjer:H730_06035
ko:K01995	cjer:H730_06040
ko:K01998	cjer:H730_06045
ko:K14233	cjer:H730_t10050
ko:K14219	cjer:H730_t10042
ko:K01977	cjer:H730_r10088
ko:K01977	cjer:H730_r10090
ko:K14235	cjer:H730_t10010
ko:K14228	cjer:H730_t10022
ko:K14219	cjer:H730_t10064
ko:K14219	cjer:H730_t10066
ko:K14238	cjer:H730_t10052
ko:K14237	cjer:H730_t10078
ko:K18924	cjer:H730_01830
ko:K18925	cjer:H730_01825
ko:K10747	cjer:H730_09665
ko:K18930	cjer:H730_09235
ko:K18138	cjer:H730_02390
ko:K03111	cjer:H730_06325
ko:K00662	cjer:H730_07430
ko:K09797	cjer:H730_00185
ko:K03496	cjer:H730_00525
ko:K03497	cjer:H730_00530
ko:K00335	cjer:H730_09180
ko:K18992	cjer:H730_02400
ko:K03526	cjer:H730_04340
ko:K07097	cjer:H730_05285
ko:K11014	cjer:H730_00420
ko:K07452	cjer:H730_00720
ko:K06992	cjer:H730_00310
ko:K15461	cjer:H730_07295
ko:K00557	cjer:H730_05035
ko:K00336	cjer:H730_09175
ko:K03761	cjer:H730_09415
ko:K11015	cjer:H730_00415
ko:K17251	cjer:H730_06600
ko:K19147	cjer:H730_00725
ko:K17249	cjer:H730_06615
ko:K15897	cjer:H730_07500
ko:K15912	cjer:H730_06575
ko:K15913	cjer:H730_06585
ko:K15914	cjer:H730_06595
ko:K15915	cjer:H730_06590
ko:K19157	cjer:H730_06005
ko:K15342	cjer:H730_08895
ko:K17250	cjer:H730_06610
ko:K09951	cjer:H730_08890
ko:K22468	cjer:H730_03895
ko:K15910	cjer:H730_06580
ko:K04771	cjer:H730_07100
ko:K15899	cjer:H730_07495
ko:K00265	cjer:H730_00035
ko:K03892	cjer:H730_09110
ko:K06867	cjer:H730_07890
ko:K07496	cjer:H730_04635
ko:K19416	cjer:H730_01480
ko:K18431	cjer:H730_07610
ko:K06867	cjer:H730_05050
ko:K15669	cjer:H730_08135
ko:K07216	cjer:H730_00380
ko:K07216	cjer:H730_00385
ko:K10938	cjer:H730_01735
ko:K07147	cjer:H730_02460
ko:K09796	cjer:H730_05420
ko:K00821	cjer:H730_01430
ko:K02335	cjer:H730_02240
ko:K06223	cjer:H730_01920
ko:K06905	cjer:H730_01925
ko:K06906	cjer:H730_01935
ko:K06908	cjer:H730_01955
ko:K06907	cjer:H730_01960
ko:K06903	cjer:H730_01995
ko:K02314	cjer:H730_03685
ko:K06223	cjer:H730_08360
ko:K06908	cjer:H730_08390
ko:K06907	cjer:H730_08395
ko:K06903	cjer:H730_08430
ko:K06906	cjer:H730_08515
ko:K06905	cjer:H730_08525
ko:K03465	cjer:H730_00135
ko:K02316	cjer:H730_09515
ko:K03553	cjer:H730_09685
ko:K06223	cjer:H730_00905
ko:K06905	cjer:H730_00910
ko:K06906	cjer:H730_00920
ko:K06908	cjer:H730_00940
ko:K06907	cjer:H730_00945
ko:K06903	cjer:H730_00980
ko:K02483	cjer:H730_07260
ko:K02483	cjer:H730_02335
ko:K02483	cjer:H730_07095
ko:K00525	cjer:H730_00125
ko:K02032	cjer:H730_09210
ko:K01139	cjer:H730_07315
ko:K00526	cjer:H730_01455
ko:K10938	cjer:H730_04765
ko:K03651	cjer:H730_09785
ko:K13695	cjer:H730_09590
ko:K21420	cjer:H730_06145
ko:K01451	cjer:H730_05810
ko:K09809	cjer:H730_08190
ko:K10026	cjer:H730_00850
ko:K21600	cjer:H730_03440
ko:K21929	cjer:H730_05700
ko:K03741	cjer:H730_09115
ko:K03595	cjer:H730_04185
ko:K14441	cjer:H730_08255
ko:K17758	cjer:H730_01255
ko:K17759	cjer:H730_01255
ko:K22391	cjer:H730_04435
ko:K22424	cjer:H730_08045
ko:K22477	cjer:H730_01420
