ko:K04042	bmc:BAbS19_II06140
ko:K06952	bmc:BAbS19_I06420
ko:K06980	bmc:BAbS19_I06430
ko:K01465	bmc:BAbS19_I06440
ko:K01883	bmc:BAbS19_I06530
ko:K01649	bmc:BAbS19_I06540
ko:K05786	bmc:BAbS19_I06550
ko:K02528	bmc:BAbS19_I06570
ko:K00097	bmc:BAbS19_I06580
ko:K03771	bmc:BAbS19_I06590
ko:K04744	bmc:BAbS19_I06600
ko:K00817	bmc:BAbS19_I06160
ko:K03086	bmc:BAbS19_I13990
ko:K09117	bmc:BAbS19_I14020
ko:K01956	bmc:BAbS19_I14030
ko:K07054	bmc:BAbS19_I14040
ko:K01955	bmc:BAbS19_I14070
ko:K02471	bmc:BAbS19_I14080
ko:K03704	bmc:BAbS19_I14100
ko:K00384	bmc:BAbS19_I14150
ko:K03498	bmc:BAbS19_I14160
ko:K03624	bmc:BAbS19_I14190
ko:K09922	bmc:BAbS19_I14230
ko:K10806	bmc:BAbS19_I14250
ko:K03702	bmc:BAbS19_I14270
ko:K03704	bmc:BAbS19_I14290
ko:K07638	bmc:BAbS19_I14370
ko:K06878	bmc:BAbS19_I14390
ko:K05810	bmc:BAbS19_I14450
ko:K00948	bmc:BAbS19_I14480
ko:K07738	bmc:BAbS19_I07370
ko:K00793	bmc:BAbS19_I07390
ko:K00794	bmc:BAbS19_I07400
ko:K03625	bmc:BAbS19_I07410
ko:K11074	bmc:BAbS19_I15170
ko:K11076	bmc:BAbS19_I15200
ko:K11073	bmc:BAbS19_I15210
ko:K07110	bmc:BAbS19_I15220
ko:K01637	bmc:BAbS19_I15240
ko:K05879	bmc:BAbS19_I15360
ko:K05879	bmc:BAbS19_I15390
ko:K05878	bmc:BAbS19_I15400
ko:K00135	bmc:BAbS19_I15500
ko:K01247	bmc:BAbS19_I15540
ko:K01638	bmc:BAbS19_I15560
ko:K03823	bmc:BAbS19_I15570
ko:K03089	bmc:BAbS19_I15580
ko:K06180	bmc:BAbS19_I15590
ko:K05838	bmc:BAbS19_II03240
ko:K07157	bmc:BAbS19_II03250
ko:K01929	bmc:BAbS19_I13600
ko:K01998	bmc:BAbS19_II00240
ko:K01995	bmc:BAbS19_II00250
ko:K01996	bmc:BAbS19_II00260
ko:K00627	bmc:BAbS19_II00310
ko:K00014	bmc:BAbS19_II00320
ko:K01531	bmc:BAbS19_II00340
ko:K07507	bmc:BAbS19_II00360
ko:K04080	bmc:BAbS19_II00450
ko:K01915	bmc:BAbS19_II04780
ko:K00605	bmc:BAbS19_II04830
ko:K02437	bmc:BAbS19_II04840
ko:K01999	bmc:BAbS19_I16750
ko:K01999	bmc:BAbS19_I16760
ko:K01996	bmc:BAbS19_I16780
ko:K01995	bmc:BAbS19_I16790
ko:K01998	bmc:BAbS19_I16800
ko:K01997	bmc:BAbS19_I16810
ko:K00285	bmc:BAbS19_I16830
ko:K02114	bmc:BAbS19_I16870
ko:K02954	bmc:BAbS19_I11580
ko:K02931	bmc:BAbS19_I11590
ko:K02895	bmc:BAbS19_I11600
ko:K01805	bmc:BAbS19_I05320
ko:K02167	bmc:BAbS19_I05390
ko:K07341	bmc:BAbS19_I05420
ko:K03284	bmc:BAbS19_I05440
ko:K03449	bmc:BAbS19_I05470
ko:K06915	bmc:BAbS19_I05490
ko:K01354	bmc:BAbS19_I05540
ko:K01430	bmc:BAbS19_I12840
ko:K01429	bmc:BAbS19_I12850
ko:K01428	bmc:BAbS19_I12860
ko:K03187	bmc:BAbS19_I12870
ko:K03189	bmc:BAbS19_I12890
ko:K03190	bmc:BAbS19_I12900
ko:K08717	bmc:BAbS19_I12910
ko:K02007	bmc:BAbS19_I12930
ko:K02008	bmc:BAbS19_I12950
ko:K02006	bmc:BAbS19_I12960
ko:K06199	bmc:BAbS19_I12980
ko:K00053	bmc:BAbS19_I13070
ko:K03549	bmc:BAbS19_I13100
ko:K00769	bmc:BAbS19_I09880
ko:K03809	bmc:BAbS19_I09910
ko:K01754	bmc:BAbS19_I09930
ko:K01738	bmc:BAbS19_I09950
ko:K01868	bmc:BAbS19_I10140
ko:K02012	bmc:BAbS19_II04890
ko:K02011	bmc:BAbS19_II04900
ko:K03337	bmc:BAbS19_II04930
ko:K03335	bmc:BAbS19_II04940
ko:K03336	bmc:BAbS19_II04950
ko:K03338	bmc:BAbS19_II04960
ko:K04761	bmc:BAbS19_II05000
ko:K04756	bmc:BAbS19_II05020
ko:K02012	bmc:BAbS19_II05090
ko:K02011	bmc:BAbS19_II05100
ko:K02379	bmc:BAbS19_II05130
ko:K00794	bmc:BAbS19_II05140
ko:K02427	bmc:BAbS19_II05220
ko:K02013	bmc:BAbS19_II05290
ko:K02015	bmc:BAbS19_II05300
ko:K02015	bmc:BAbS19_II05310
ko:K02016	bmc:BAbS19_II05320
ko:K07077	bmc:BAbS19_II05350
ko:K06901	bmc:BAbS19_II05420
ko:K08998	bmc:BAbS19_I10160
ko:K01495	bmc:BAbS19_I10180
ko:K01496	bmc:BAbS19_I10190
ko:K07001	bmc:BAbS19_I10200
ko:K00252	bmc:BAbS19_I10280
ko:K00773	bmc:BAbS19_I10340
ko:K07568	bmc:BAbS19_I10350
ko:K00954	bmc:BAbS19_I10380
ko:K02469	bmc:BAbS19_I10400
ko:K05774	bmc:BAbS19_I10420
ko:K02043	bmc:BAbS19_I10430
ko:K03701	bmc:BAbS19_I10460
ko:K03530	bmc:BAbS19_I10470
ko:K00164	bmc:BAbS19_I18040
ko:K01902	bmc:BAbS19_I18060
ko:K01903	bmc:BAbS19_I18070
ko:K06916	bmc:BAbS19_I18090
ko:K01778	bmc:BAbS19_I18120
ko:K03110	bmc:BAbS19_I18140
ko:K06190	bmc:BAbS19_I18150
ko:K05816	bmc:BAbS19_II05450
ko:K05815	bmc:BAbS19_II05460
ko:K05814	bmc:BAbS19_II05470
ko:K05813	bmc:BAbS19_II05480
ko:K01486	bmc:BAbS19_II05500
ko:K01996	bmc:BAbS19_II05510
ko:K01995	bmc:BAbS19_II05520
ko:K01998	bmc:BAbS19_II05530
ko:K01997	bmc:BAbS19_II05540
ko:K01999	bmc:BAbS19_II05550
ko:K01857	bmc:BAbS19_II05560
ko:K00448	bmc:BAbS19_II05570
ko:K00449	bmc:BAbS19_II05580
ko:K02623	bmc:BAbS19_II05610
ko:K00481	bmc:BAbS19_II05620
ko:K01031	bmc:BAbS19_II05650
ko:K01032	bmc:BAbS19_II05660
ko:K00285	bmc:BAbS19_II05730
ko:K02342	bmc:BAbS19_II05760
ko:K02346	bmc:BAbS19_II05840
ko:K06140	bmc:BAbS19_II05850
ko:K02913	bmc:BAbS19_II05890
ko:K01480	bmc:BAbS19_I18360
ko:K01761	bmc:BAbS19_I18440
ko:K01738	bmc:BAbS19_I18470
ko:K03522	bmc:BAbS19_I18490
ko:K03521	bmc:BAbS19_I18500
ko:K06920	bmc:BAbS19_I18510
ko:K01737	bmc:BAbS19_I18520
ko:K07058	bmc:BAbS19_I18570
ko:K09768	bmc:BAbS19_I18580
ko:K02444	bmc:BAbS19_I01870
ko:K00111	bmc:BAbS19_I01880
ko:K09959	bmc:BAbS19_I01930
ko:K03707	bmc:BAbS19_I02000
ko:K00788	bmc:BAbS19_I02020
ko:K04096	bmc:BAbS19_II05960
ko:K08591	bmc:BAbS19_II05970
ko:K01465	bmc:BAbS19_II05980
ko:K00609	bmc:BAbS19_II05990
ko:K09456	bmc:BAbS19_II06000
ko:K07447	bmc:BAbS19_II06010
ko:K02433	bmc:BAbS19_II06040
ko:K06196	bmc:BAbS19_II06130
ko:K00820	bmc:BAbS19_II06150
ko:K09159	bmc:BAbS19_II06170
ko:K03723	bmc:BAbS19_II06180
ko:K02035	bmc:BAbS19_II06210
ko:K03185	bmc:BAbS19_II06240
ko:K01004	bmc:BAbS19_II06250
ko:K03594	bmc:BAbS19_II06320
ko:K06996	bmc:BAbS19_II07010
ko:K02016	bmc:BAbS19_II04560
ko:K02015	bmc:BAbS19_II04570
ko:K02013	bmc:BAbS19_II04580
ko:K02026	bmc:BAbS19_II04610
ko:K02025	bmc:BAbS19_II04620
ko:K03621	bmc:BAbS19_I07460
ko:K00648	bmc:BAbS19_I07470
ko:K04764	bmc:BAbS19_I07480
ko:K01991	bmc:BAbS19_I07520
ko:K02259	bmc:BAbS19_I07550
ko:K00145	bmc:BAbS19_I07560
ko:K01480	bmc:BAbS19_I07570
ko:K02996	bmc:BAbS19_I07580
ko:K02871	bmc:BAbS19_I07590
ko:K00330	bmc:BAbS19_I07660
ko:K00331	bmc:BAbS19_I07670
ko:K00332	bmc:BAbS19_I07680
ko:K00333	bmc:BAbS19_I07690
ko:K03149	bmc:BAbS19_I02030
ko:K03154	bmc:BAbS19_I02040
ko:K03153	bmc:BAbS19_I02050
ko:K05846	bmc:BAbS19_I02100
ko:K05846	bmc:BAbS19_I02120
ko:K00304	bmc:BAbS19_I02170
ko:K00305	bmc:BAbS19_I02200
ko:K02025	bmc:BAbS19_I02240
ko:K02026	bmc:BAbS19_I02250
ko:K03534	bmc:BAbS19_I02280
ko:K02395	bmc:BAbS19_I02430
ko:K01338	bmc:BAbS19_I10480
ko:K03544	bmc:BAbS19_I10500
ko:K03665	bmc:BAbS19_I10520
ko:K03499	bmc:BAbS19_I10550
ko:K01620	bmc:BAbS19_II00460
ko:K00266	bmc:BAbS19_II00480
ko:K09795	bmc:BAbS19_II00510
ko:K03196	bmc:BAbS19_II00530
ko:K03195	bmc:BAbS19_II00540
ko:K03204	bmc:BAbS19_II00550
ko:K03203	bmc:BAbS19_II00560
ko:K03200	bmc:BAbS19_II00590
ko:K03199	bmc:BAbS19_II00600
ko:K03194	bmc:BAbS19_II00630
ko:K00963	bmc:BAbS19_II00650
ko:K07340	bmc:BAbS19_II00680
ko:K01772	bmc:BAbS19_II00700
ko:K00808	bmc:BAbS19_II00720
ko:K01665	bmc:BAbS19_II00740
ko:K08602	bmc:BAbS19_II00750
ko:K07146	bmc:BAbS19_II00800
ko:K02020	bmc:BAbS19_II00810
ko:K02018	bmc:BAbS19_II00820
ko:K01581	bmc:BAbS19_II00910
ko:K00033	bmc:BAbS19_II01000
ko:K09691	bmc:BAbS19_I05080
ko:K09690	bmc:BAbS19_I05090
ko:K01711	bmc:BAbS19_I05110
ko:K10441	bmc:BAbS19_I05270
ko:K10440	bmc:BAbS19_I05280
ko:K10439	bmc:BAbS19_I05290
ko:K02348	bmc:BAbS19_I01210
ko:K03642	bmc:BAbS19_I09360
ko:K07258	bmc:BAbS19_I09370
ko:K00943	bmc:BAbS19_I09380
ko:K02341	bmc:BAbS19_I09390
ko:K03424	bmc:BAbS19_I09410
ko:K06167	bmc:BAbS19_I09420
ko:K06179	bmc:BAbS19_I09440
ko:K01915	bmc:BAbS19_I09480
ko:K01807	bmc:BAbS19_I09540
ko:K09924	bmc:BAbS19_I09550
ko:K00383	bmc:BAbS19_I09560
ko:K01626	bmc:BAbS19_I09570
ko:K00901	bmc:BAbS19_I09580
ko:K01885	bmc:BAbS19_I09600
ko:K02066	bmc:BAbS19_I09640
ko:K02065	bmc:BAbS19_I09650
ko:K02067	bmc:BAbS19_I09660
ko:K01945	bmc:BAbS19_I04070
ko:K03179	bmc:BAbS19_I04080
ko:K00275	bmc:BAbS19_I04090
ko:K00208	bmc:BAbS19_I04130
ko:K03704	bmc:BAbS19_I04150
ko:K01736	bmc:BAbS19_I04190
ko:K06911	bmc:BAbS19_I04260
ko:K01662	bmc:BAbS19_I04270
ko:K06442	bmc:BAbS19_I04280
ko:K03215	bmc:BAbS19_I04290
ko:K06966	bmc:BAbS19_I04300
ko:K01999	bmc:BAbS19_I12260
ko:K02227	bmc:BAbS19_I12270
ko:K02225	bmc:BAbS19_I12280
ko:K02188	bmc:BAbS19_I12310
ko:K05895	bmc:BAbS19_I12320
ko:K02230	bmc:BAbS19_I12390
ko:K02234	bmc:BAbS19_I12400
ko:K02231	bmc:BAbS19_I12410
ko:K02232	bmc:BAbS19_I12440
ko:K00384	bmc:BAbS19_I09710
ko:K00796	bmc:BAbS19_I09730
ko:K01633	bmc:BAbS19_I09740
ko:K00950	bmc:BAbS19_I09750
ko:K08990	bmc:BAbS19_I09770
ko:K06918	bmc:BAbS19_I09780
ko:K06204	bmc:BAbS19_I09800
ko:K07007	bmc:BAbS19_I09830
ko:K00525	bmc:BAbS19_I09860
ko:K03695	bmc:BAbS19_I17490
ko:K02493	bmc:BAbS19_I17510
ko:K02835	bmc:BAbS19_I17520
ko:K08484	bmc:BAbS19_I17530
ko:K00928	bmc:BAbS19_I17540
ko:K03676	bmc:BAbS19_I17590
ko:K01719	bmc:BAbS19_I17680
ko:K01749	bmc:BAbS19_I17690
ko:K01409	bmc:BAbS19_I17700
ko:K00057	bmc:BAbS19_I17710
ko:K09780	bmc:BAbS19_I17720
ko:K03455	bmc:BAbS19_I12560
ko:K02047	bmc:BAbS19_I12600
ko:K02046	bmc:BAbS19_I12610
ko:K02048	bmc:BAbS19_I12620
ko:K02013	bmc:BAbS19_I12740
ko:K02015	bmc:BAbS19_I12750
ko:K02016	bmc:BAbS19_I12760
ko:K01716	bmc:BAbS19_I20350
ko:K09826	bmc:BAbS19_I20360
ko:K02073	bmc:BAbS19_I20370
ko:K01255	bmc:BAbS19_I20430
ko:K10563	bmc:BAbS19_I20450
ko:K02968	bmc:BAbS19_I20470
ko:K00852	bmc:BAbS19_II00040
ko:K03801	bmc:BAbS19_II06080
ko:K03320	bmc:BAbS19_I17780
ko:K10805	bmc:BAbS19_I17790
ko:K03185	bmc:BAbS19_I17800
ko:K00240	bmc:BAbS19_I17820
ko:K00239	bmc:BAbS19_I17830
ko:K00242	bmc:BAbS19_I17840
ko:K00241	bmc:BAbS19_I17850
ko:K01703	bmc:BAbS19_I17870
ko:K02884	bmc:BAbS19_I17880
ko:K00554	bmc:BAbS19_I17950
ko:K02860	bmc:BAbS19_I17960
ko:K00382	bmc:BAbS19_I17990
ko:K03579	bmc:BAbS19_I01240
ko:K01867	bmc:BAbS19_I01330
ko:K03980	bmc:BAbS19_I01340
ko:K00990	bmc:BAbS19_I01350
ko:K03101	bmc:BAbS19_I01400
ko:K03437	bmc:BAbS19_I01410
ko:K05788	bmc:BAbS19_I01450
ko:K04773	bmc:BAbS19_I01460
ko:K09774	bmc:BAbS19_I01480
ko:K06861	bmc:BAbS19_I01490
ko:K00216	bmc:BAbS19_II00110
ko:K01252	bmc:BAbS19_II00120
ko:K02363	bmc:BAbS19_II00130
ko:K02364	bmc:BAbS19_II00150
ko:K03088	bmc:BAbS19_II00190
ko:K01999	bmc:BAbS19_II00220
ko:K01997	bmc:BAbS19_II00230
ko:K04763	bmc:BAbS19_I19030
ko:K03684	bmc:BAbS19_I01120
ko:K05592	bmc:BAbS19_I01150
ko:K09791	bmc:BAbS19_II03260
ko:K00052	bmc:BAbS19_II03270
ko:K00133	bmc:BAbS19_II03300
ko:K01704	bmc:BAbS19_II03340
ko:K01284	bmc:BAbS19_II03380
ko:K06213	bmc:BAbS19_II03390
ko:K06207	bmc:BAbS19_II03400
ko:K03841	bmc:BAbS19_II03420
ko:K01624	bmc:BAbS19_II03430
ko:K11175	bmc:BAbS19_I06830
ko:K03303	bmc:BAbS19_I06920
ko:K00939	bmc:BAbS19_I06960
ko:K01892	bmc:BAbS19_II01720
ko:K02502	bmc:BAbS19_II01730
ko:K00765	bmc:BAbS19_II01740
ko:K02429	bmc:BAbS19_II01750
ko:K01679	bmc:BAbS19_II01770
ko:K04077	bmc:BAbS19_II01790
ko:K04078	bmc:BAbS19_II01800
ko:K01870	bmc:BAbS19_II01840
ko:K06178	bmc:BAbS19_II01880
ko:K07001	bmc:BAbS19_II01930
ko:K03455	bmc:BAbS19_II01940
ko:K09778	bmc:BAbS19_II01980
ko:K02527	bmc:BAbS19_II01990
ko:K00912	bmc:BAbS19_II02000
ko:K03572	bmc:BAbS19_II02020
ko:K06446	bmc:BAbS19_II02040
ko:K03734	bmc:BAbS19_II02160
ko:K02014	bmc:BAbS19_II02220
ko:K01613	bmc:BAbS19_I04340
ko:K00764	bmc:BAbS19_I04370
ko:K03558	bmc:BAbS19_I04380
ko:K02314	bmc:BAbS19_I04400
ko:K00574	bmc:BAbS19_I04410
ko:K02939	bmc:BAbS19_I04420
ko:K02963	bmc:BAbS19_I04440
ko:K02990	bmc:BAbS19_I04450
ko:K00645	bmc:BAbS19_I04460
ko:K02078	bmc:BAbS19_I04480
ko:K09458	bmc:BAbS19_I04490
ko:K07082	bmc:BAbS19_I04500
ko:K00942	bmc:BAbS19_I04520
ko:K03568	bmc:BAbS19_I04530
ko:K02274	bmc:BAbS19_I04560
ko:K02276	bmc:BAbS19_I04600
ko:K03527	bmc:BAbS19_I04640
ko:K02204	bmc:BAbS19_I04650
ko:K03469	bmc:BAbS19_I04660
ko:K07735	bmc:BAbS19_I04690
ko:K03790	bmc:BAbS19_I04710
ko:K01733	bmc:BAbS19_I04730
ko:K03281	bmc:BAbS19_I04790
ko:K03575	bmc:BAbS19_I04820
ko:K03529	bmc:BAbS19_I04860
ko:K06996	bmc:BAbS19_I04880
ko:K01006	bmc:BAbS19_I04890
ko:K03523	bmc:BAbS19_I04940
ko:K01483	bmc:BAbS19_I04950
ko:K07127	bmc:BAbS19_I04960
ko:K07152	bmc:BAbS19_I13420
ko:K02687	bmc:BAbS19_I13430
ko:K01262	bmc:BAbS19_I13440
ko:K01972	bmc:BAbS19_I13460
ko:K03631	bmc:BAbS19_I13470
ko:K05807	bmc:BAbS19_I13480
ko:K07091	bmc:BAbS19_I06620
ko:K01255	bmc:BAbS19_I06630
ko:K02339	bmc:BAbS19_I06640
ko:K06158	bmc:BAbS19_I06660
ko:K00940	bmc:BAbS19_I06680
ko:K09914	bmc:BAbS19_I06690
ko:K03635	bmc:BAbS19_I06700
ko:K03703	bmc:BAbS19_I06730
ko:K07115	bmc:BAbS19_I06790
ko:K03216	bmc:BAbS19_I14610
ko:K03824	bmc:BAbS19_I14650
ko:K09986	bmc:BAbS19_I14700
ko:K03924	bmc:BAbS19_I14710
ko:K07393	bmc:BAbS19_I14760
ko:K07275	bmc:BAbS19_I14770
ko:K01649	bmc:BAbS19_I14800
ko:K06915	bmc:BAbS19_I14490
ko:K02897	bmc:BAbS19_I14500
ko:K06942	bmc:BAbS19_I14520
ko:K00759	bmc:BAbS19_I14550
ko:K00413	bmc:BAbS19_I14560
ko:K00412	bmc:BAbS19_I14570
ko:K00411	bmc:BAbS19_I14580
ko:K07147	bmc:BAbS19_II02320
ko:K06999	bmc:BAbS19_II02330
ko:K07010	bmc:BAbS19_II02410
ko:K00324	bmc:BAbS19_II02490
ko:K00324	bmc:BAbS19_II02500
ko:K00325	bmc:BAbS19_II02510
ko:K02970	bmc:BAbS19_II02570
ko:K02072	bmc:BAbS19_II02600
ko:K02071	bmc:BAbS19_II02610
ko:K02073	bmc:BAbS19_II02620
ko:K01998	bmc:BAbS19_II02650
ko:K01997	bmc:BAbS19_II02660
ko:K01996	bmc:BAbS19_II02670
ko:K01995	bmc:BAbS19_II02680
ko:K01999	bmc:BAbS19_II02690
ko:K09969	bmc:BAbS19_II02730
ko:K01652	bmc:BAbS19_II02750
ko:K02874	bmc:BAbS19_I11610
ko:K02961	bmc:BAbS19_I11620
ko:K02904	bmc:BAbS19_I11630
ko:K02878	bmc:BAbS19_I11640
ko:K02982	bmc:BAbS19_I11650
ko:K01989	bmc:BAbS19_I19230
ko:K05832	bmc:BAbS19_I19240
ko:K05833	bmc:BAbS19_I19250
ko:K03501	bmc:BAbS19_I19290
ko:K03495	bmc:BAbS19_I19300
ko:K03650	bmc:BAbS19_I19310
ko:K06888	bmc:BAbS19_I19320
ko:K03628	bmc:BAbS19_I19330
ko:K08973	bmc:BAbS19_I19340
ko:K01599	bmc:BAbS19_I19350
ko:K09773	bmc:BAbS19_I19360
ko:K06287	bmc:BAbS19_I19370
ko:K00014	bmc:BAbS19_I19380
ko:K00859	bmc:BAbS19_I19390
ko:K03071	bmc:BAbS19_I19410
ko:K07113	bmc:BAbS19_I19420
ko:K08304	bmc:BAbS19_I19440
ko:K03667	bmc:BAbS19_I19480
ko:K01419	bmc:BAbS19_I19490
ko:K01693	bmc:BAbS19_I19500
ko:K01523	bmc:BAbS19_I19550
ko:K00867	bmc:BAbS19_I19560
ko:K06446	bmc:BAbS19_II09750
ko:K02035	bmc:BAbS19_II09770
ko:K02033	bmc:BAbS19_II09780
ko:K02031	bmc:BAbS19_II09800
ko:K02032	bmc:BAbS19_II09810
ko:K02035	bmc:BAbS19_II09830
ko:K02033	bmc:BAbS19_II09840
ko:K02034	bmc:BAbS19_II09850
ko:K02031	bmc:BAbS19_II09860
ko:K02032	bmc:BAbS19_II09870
ko:K02448	bmc:BAbS19_II08810
ko:K04748	bmc:BAbS19_II08820
ko:K04561	bmc:BAbS19_II08830
ko:K02305	bmc:BAbS19_II08840
ko:K02164	bmc:BAbS19_II08860
ko:K02342	bmc:BAbS19_II08960
ko:K02032	bmc:BAbS19_II08990
ko:K02031	bmc:BAbS19_II09000
ko:K02034	bmc:BAbS19_II09010
ko:K02033	bmc:BAbS19_II09020
ko:K02035	bmc:BAbS19_II09030
ko:K08169	bmc:BAbS19_II09070
ko:K03536	bmc:BAbS19_II09110
ko:K01999	bmc:BAbS19_I00120
ko:K01640	bmc:BAbS19_I00140
ko:K01968	bmc:BAbS19_I00150
ko:K00800	bmc:BAbS19_I00220
ko:K00945	bmc:BAbS19_I00230
ko:K02945	bmc:BAbS19_I00240
ko:K06187	bmc:BAbS19_I00280
ko:K09747	bmc:BAbS19_I00290
ko:K02343	bmc:BAbS19_I00300
ko:K00979	bmc:BAbS19_I00340
ko:K08738	bmc:BAbS19_I00350
ko:K02297	bmc:BAbS19_I00370
ko:K02299	bmc:BAbS19_I00400
ko:K02300	bmc:BAbS19_I00410
ko:K09800	bmc:BAbS19_I00440
ko:K03593	bmc:BAbS19_I00520
ko:K01251	bmc:BAbS19_I19640
ko:K03671	bmc:BAbS19_I19700
ko:K01695	bmc:BAbS19_I19730
ko:K03282	bmc:BAbS19_I03180
ko:K00643	bmc:BAbS19_I03190
ko:K01918	bmc:BAbS19_I03280
ko:K00606	bmc:BAbS19_I03290
ko:K00528	bmc:BAbS19_I03300
ko:K07402	bmc:BAbS19_I03510
ko:K03217	bmc:BAbS19_II09120
ko:K03978	bmc:BAbS19_II09130
ko:K00930	bmc:BAbS19_II09140
ko:K06966	bmc:BAbS19_II09160
ko:K01439	bmc:BAbS19_II09190
ko:K06173	bmc:BAbS19_II09210
ko:K00604	bmc:BAbS19_II09220
ko:K01462	bmc:BAbS19_II09230
ko:K09760	bmc:BAbS19_II09240
ko:K07401	bmc:BAbS19_II09250
ko:K07461	bmc:BAbS19_II09260
ko:K10773	bmc:BAbS19_I01570
ko:K03687	bmc:BAbS19_I01610
ko:K03705	bmc:BAbS19_I01620
ko:K00989	bmc:BAbS19_I01630
ko:K07056	bmc:BAbS19_I01680
ko:K07460	bmc:BAbS19_I01690
ko:K00381	bmc:BAbS19_I01720
ko:K00390	bmc:BAbS19_I01730
ko:K00548	bmc:BAbS19_I01790
ko:K03596	bmc:BAbS19_II09270
ko:K06153	bmc:BAbS19_II09300
ko:K07261	bmc:BAbS19_II09340
ko:K01734	bmc:BAbS19_II09350
ko:K01845	bmc:BAbS19_II09940
ko:K03777	bmc:BAbS19_II09980
ko:K09815	bmc:BAbS19_II10040
ko:K09817	bmc:BAbS19_II10050
ko:K09816	bmc:BAbS19_II10060
ko:K09823	bmc:BAbS19_II10070
ko:K02421	bmc:BAbS19_II10130
ko:K02420	bmc:BAbS19_II10170
ko:K02389	bmc:BAbS19_II10180
ko:K00684	bmc:BAbS19_I08630
ko:K03786	bmc:BAbS19_I08660
ko:K02836	bmc:BAbS19_I08730
ko:K03564	bmc:BAbS19_I08800
ko:K01866	bmc:BAbS19_I08820
ko:K09001	bmc:BAbS19_I08830
ko:K07018	bmc:BAbS19_I08850
ko:K09014	bmc:BAbS19_I08870
ko:K09013	bmc:BAbS19_I08880
ko:K09015	bmc:BAbS19_I08890
ko:K00858	bmc:BAbS19_I08930
ko:K00573	bmc:BAbS19_I08990
ko:K09991	bmc:BAbS19_I09010
ko:K01873	bmc:BAbS19_I09020
ko:K06076	bmc:BAbS19_I09030
ko:K03752	bmc:BAbS19_I09080
ko:K03639	bmc:BAbS19_I09090
ko:K01676	bmc:BAbS19_I09120
ko:K00406	bmc:BAbS19_I03600
ko:K00405	bmc:BAbS19_I03620
ko:K00404	bmc:BAbS19_I03630
ko:K02890	bmc:BAbS19_I11660
ko:K02965	bmc:BAbS19_I11670
ko:K02886	bmc:BAbS19_I11680
ko:K02892	bmc:BAbS19_I11690
ko:K02926	bmc:BAbS19_I11700
ko:K02906	bmc:BAbS19_I11710
ko:K02946	bmc:BAbS19_I11720
ko:K02358	bmc:BAbS19_I11730
ko:K02355	bmc:BAbS19_I11740
ko:K02992	bmc:BAbS19_I11750
ko:K02950	bmc:BAbS19_I11760
ko:K03046	bmc:BAbS19_I11780
ko:K03043	bmc:BAbS19_I11790
ko:K02935	bmc:BAbS19_I11800
ko:K02864	bmc:BAbS19_I11810
ko:K02863	bmc:BAbS19_I11820
ko:K02867	bmc:BAbS19_I11830
ko:K02601	bmc:BAbS19_I11840
ko:K03073	bmc:BAbS19_I11850
ko:K03218	bmc:BAbS19_I11870
ko:K00640	bmc:BAbS19_I11940
ko:K09005	bmc:BAbS19_I11970
ko:K03704	bmc:BAbS19_I11980
ko:K06601	bmc:BAbS19_II10190
ko:K06602	bmc:BAbS19_II10200
ko:K02397	bmc:BAbS19_II10210
ko:K02396	bmc:BAbS19_II10220
ko:K02390	bmc:BAbS19_II10230
ko:K02557	bmc:BAbS19_II10280
ko:K02406	bmc:BAbS19_II10310
ko:K10543	bmc:BAbS19_II10340
ko:K10545	bmc:BAbS19_II10350
ko:K10544	bmc:BAbS19_II10360
ko:K00151	bmc:BAbS19_II10440
ko:K09472	bmc:BAbS19_II10540
ko:K01999	bmc:BAbS19_II10560
ko:K01997	bmc:BAbS19_II10570
ko:K01995	bmc:BAbS19_II10580
ko:K01998	bmc:BAbS19_II10580
ko:K11473	bmc:BAbS19_II01670
ko:K00104	bmc:BAbS19_II01650
ko:K01644	bmc:BAbS19_II03350
ko:K01644	bmc:BAbS19_II01560
ko:K03636	bmc:BAbS19_I06710
ko:K00031	bmc:BAbS19_I11370
ko:K05527	bmc:BAbS19_I18980
ko:K01104	bmc:BAbS19_I00740
ko:K00040	bmc:BAbS19_II04010
ko:K00074	bmc:BAbS19_I18480
ko:K10026	bmc:BAbS19_I18530
ko:K00820	bmc:BAbS19_II03060
ko:K01625	bmc:BAbS19_II00780
ko:K11472	bmc:BAbS19_II01660
ko:K03426	bmc:BAbS19_I00320
ko:K11752	bmc:BAbS19_I07380
ko:K00253	bmc:BAbS19_I00170
ko:K00058	bmc:BAbS19_I15880
ko:K00228	bmc:BAbS19_I14640
ko:K02498	bmc:BAbS19_I17660
ko:K00602	bmc:BAbS19_I17050
ko:K01784	bmc:BAbS19_I10090
ko:K00647	bmc:BAbS19_I20340
ko:K07391	bmc:BAbS19_I19980
ko:K03496	bmc:BAbS19_I19280
ko:K01840	bmc:BAbS19_II07910
ko:K04747	bmc:BAbS19_II08850
ko:K05520	bmc:BAbS19_I11350
ko:K12573	bmc:BAbS19_II05930
ko:K07289	bmc:BAbS19_I15160
ko:K00059	bmc:BAbS19_II04360
ko:K00059	bmc:BAbS19_II09040
ko:K02002	bmc:BAbS19_II04730
ko:K01207	bmc:BAbS19_I08380
ko:K00059	bmc:BAbS19_II00280
ko:K02624	bmc:BAbS19_II05640
ko:K00059	bmc:BAbS19_I19100
ko:K00059	bmc:BAbS19_II07650
