ko:K10563	ypp:YPDSF_3853
ko:K03971	ypp:YPDSF_0794
ko:K08992	ypp:YPDSF_0910
ko:K09901	ypp:YPDSF_0948
ko:K09858	ypp:YPDSF_0962
ko:K08310	ypp:YPDSF_1068
ko:K07136	ypp:YPDSF_1071
ko:K07665	ypp:YPDSF_1122
ko:K02806	ypp:YPDSF_0312
ko:K03586	ypp:YPDSF_3094
ko:K03676	ypp:YPDSF_3839
ko:K09798	ypp:YPDSF_3843
ko:K09896	ypp:YPDSF_3889
ko:K08998	ypp:YPDSF_3933
ko:K02619	ypp:YPDSF_1844
ko:K03651	ypp:YPDSF_0448
ko:K02109	ypp:YPDSF_3910
ko:K03424	ypp:YPDSF_3199
ko:K03424	ypp:YPDSF_3392
ko:K03424	ypp:YPDSF_1840
ko:K11179	ypp:YPDSF_1527
ko:K11073	ypp:YPDSF_2366
ko:K07400	ypp:YPDSF_0054
ko:K08312	ypp:YPDSF_0070
ko:K03747	ypp:YPDSF_0166
ko:K02067	ypp:YPDSF_0324
ko:K07122	ypp:YPDSF_0326
ko:K09908	ypp:YPDSF_0332
ko:K07043	ypp:YPDSF_0373
ko:K09920	ypp:YPDSF_0447
ko:K07000	ypp:YPDSF_0449
ko:K06997	ypp:YPDSF_0574
ko:K07735	ypp:YPDSF_0579
ko:K06895	ypp:YPDSF_0595
ko:K09888	ypp:YPDSF_0602
ko:K09895	ypp:YPDSF_0603
ko:K06143	ypp:YPDSF_0622
ko:K03840	ypp:YPDSF_0623
ko:K05997	ypp:YPDSF_0744
ko:K06938	ypp:YPDSF_0770
ko:K03768	ypp:YPDSF_2712
ko:K03704	ypp:YPDSF_2330
ko:K03674	ypp:YPDSF_2369
ko:K06940	ypp:YPDSF_2410
ko:K09904	ypp:YPDSF_2433
ko:K03636	ypp:YPDSF_2536
ko:K06186	ypp:YPDSF_2593
ko:K09801	ypp:YPDSF_2594
ko:K09710	ypp:YPDSF_2647
ko:K03704	ypp:YPDSF_2659
ko:K09747	ypp:YPDSF_2758
ko:K09790	ypp:YPDSF_2761
ko:K05839	ypp:YPDSF_2773
ko:K05527	ypp:YPDSF_2795
ko:K09913	ypp:YPDSF_2843
ko:K05952	ypp:YPDSF_2860
ko:K05809	ypp:YPDSF_2915
ko:K09862	ypp:YPDSF_2923
ko:K09910	ypp:YPDSF_2941
ko:K01737	ypp:YPDSF_2986
ko:K03892	ypp:YPDSF_3015
ko:K05796	ypp:YPDSF_3630
ko:K05795	ypp:YPDSF_3671
ko:K07227	ypp:YPDSF_3684
ko:K02015	ypp:YPDSF_3690
ko:K02013	ypp:YPDSF_3691
ko:K02013	ypp:YPDSF_3768
ko:K02440	ypp:YPDSF_3812
ko:K00528	ypp:YPDSF_3815
ko:K02048	ypp:YPDSF_3825
ko:K11074	ypp:YPDSF_2362
ko:K03282	ypp:YPDSF_0160
ko:K01607	ypp:YPDSF_0256
ko:K06287	ypp:YPDSF_0275
ko:K06140	ypp:YPDSF_0302
ko:K02996	ypp:YPDSF_0335
ko:K07460	ypp:YPDSF_0348
ko:K09806	ypp:YPDSF_0440
ko:K03559	ypp:YPDSF_0467
ko:K09923	ypp:YPDSF_0564
ko:K09131	ypp:YPDSF_0571
ko:K05836	ypp:YPDSF_1150
ko:K05526	ypp:YPDSF_1157
ko:K07300	ypp:YPDSF_1164
ko:K07689	ypp:YPDSF_1261
ko:K02406	ypp:YPDSF_1284
ko:K02394	ypp:YPDSF_1318
ko:K02391	ypp:YPDSF_1321
ko:K02217	ypp:YPDSF_1340
ko:K01826	ypp:YPDSF_1358
ko:K09933	ypp:YPDSF_1391
ko:K02015	ypp:YPDSF_1441
ko:K02013	ypp:YPDSF_1443
ko:K06518	ypp:YPDSF_1460
ko:K03748	ypp:YPDSF_1464
ko:K03474	ypp:YPDSF_1550
ko:K07160	ypp:YPDSF_1571
ko:K03478	ypp:YPDSF_1592
ko:K06199	ypp:YPDSF_1598
ko:K07241	ypp:YPDSF_1602
ko:K03704	ypp:YPDSF_1617
ko:K02073	ypp:YPDSF_1640
ko:K06080	ypp:YPDSF_1641
ko:K01265	ypp:YPDSF_1670
ko:K08311	ypp:YPDSF_1705
ko:K07038	ypp:YPDSF_1731
ko:K09810	ypp:YPDSF_1822
ko:K10016	ypp:YPDSF_1986
ko:K06203	ypp:YPDSF_2099
ko:K02047	ypp:YPDSF_2120
ko:K02046	ypp:YPDSF_2121
ko:K07223	ypp:YPDSF_2130
ko:K07054	ypp:YPDSF_2163
ko:K03548	ypp:YPDSF_2172
ko:K06213	ypp:YPDSF_2189
ko:K07664	ypp:YPDSF_2203
ko:K15581	ypp:YPDSF_0953
ko:K06167	ypp:YPDSF_3275
ko:K05774	ypp:YPDSF_3274
ko:K06162	ypp:YPDSF_3273
ko:K06163	ypp:YPDSF_3270
ko:K06164	ypp:YPDSF_3269
ko:K06165	ypp:YPDSF_3268
ko:K06166	ypp:YPDSF_3267
ko:K03590	ypp:YPDSF_3083
ko:K03531	ypp:YPDSF_3082
ko:K02761	ypp:YPDSF_1595
ko:K02412	ypp:YPDSF_0501
ko:K03224	ypp:YPDSF_3704
ko:K02836	ypp:YPDSF_0627
ko:K01921	ypp:YPDSF_3085
ko:K00009	ypp:YPDSF_0026
ko:K07659	ypp:YPDSF_0063
ko:K06915	ypp:YPDSF_0096
ko:K03499	ypp:YPDSF_0161
ko:K04096	ypp:YPDSF_0165
ko:K00090	ypp:YPDSF_0017
ko:K01637	ypp:YPDSF_0174
ko:K03704	ypp:YPDSF_0250
ko:K07147	ypp:YPDSF_0269
ko:K03568	ypp:YPDSF_0279
ko:K03485	ypp:YPDSF_0305
ko:K04691	ypp:YPDSF_0329
ko:K03561	ypp:YPDSF_0466
ko:K02408	ypp:YPDSF_0497
ko:K02394	ypp:YPDSF_0513
ko:K07480	ypp:YPDSF_0550
ko:K08306	ypp:YPDSF_0560
ko:K07387	ypp:YPDSF_0588
ko:K01934	ypp:YPDSF_0601
ko:K00885	ypp:YPDSF_2126
ko:K07038	ypp:YPDSF_2150
ko:K02053	ypp:YPDSF_2191
ko:K00375	ypp:YPDSF_2195
ko:K07799	ypp:YPDSF_2197
ko:K04487	ypp:YPDSF_2241
ko:K05916	ypp:YPDSF_2252
ko:K09857	ypp:YPDSF_2273
ko:K08990	ypp:YPDSF_0796
ko:K04775	ypp:YPDSF_0826
ko:K07661	ypp:YPDSF_0836
ko:K02050	ypp:YPDSF_0857
ko:K02099	ypp:YPDSF_0875
ko:K03832	ypp:YPDSF_0941
ko:K06131	ypp:YPDSF_0947
ko:K07274	ypp:YPDSF_0979
ko:K06903	ypp:YPDSF_1248
ko:K01714	ypp:YPDSF_2167
ko:K03623	ypp:YPDSF_0297
ko:K04057	ypp:YPDSF_3975
ko:K06181	ypp:YPDSF_1808
ko:K02298	ypp:YPDSF_2800
ko:K08218	ypp:YPDSF_2797
ko:K03544	ypp:YPDSF_2792
ko:K06187	ypp:YPDSF_2757
ko:K04079	ypp:YPDSF_2755
ko:K03777	ypp:YPDSF_2519
ko:K00130	ypp:YPDSF_2531
ko:K08276	ypp:YPDSF_2482
ko:K06891	ypp:YPDSF_2328
ko:K03694	ypp:YPDSF_2327
ko:K08483	ypp:YPDSF_2102
ko:K01983	ypp:YPDSF_R0062
ko:K02457	ypp:YPDSF_0698
ko:K03810	ypp:YPDSF_1081
ko:K03790	ypp:YPDSF_1082
ko:K01627	ypp:YPDSF_1097
ko:K04058	ypp:YPDSF_3978
ko:K02411	ypp:YPDSF_1296
ko:K02417	ypp:YPDSF_0494
ko:K11183	ypp:YPDSF_2399
ko:K02768	ypp:YPDSF_2399
ko:K02401	ypp:YPDSF_0490
ko:K03925	ypp:YPDSF_3096
ko:K05805	ypp:YPDSF_3177
ko:K04085	ypp:YPDSF_3438
ko:K03671	ypp:YPDSF_3486
ko:K09897	ypp:YPDSF_3515
ko:K07574	ypp:YPDSF_3553
ko:K09937	ypp:YPDSF_3597
ko:K04078	ypp:YPDSF_3623
ko:K03764	ypp:YPDSF_3793
ko:K09892	ypp:YPDSF_3811
ko:K05804	ypp:YPDSF_3178
ko:K07636	ypp:YPDSF_2837
ko:K00242	ypp:YPDSF_2587
ko:K02818	ypp:YPDSF_0304
ko:K02819	ypp:YPDSF_0304
ko:K07322	ypp:YPDSF_3580
ko:K00978	ypp:YPDSF_2751
ko:K03577	ypp:YPDSF_2766
ko:K04752	ypp:YPDSF_2778
ko:K03151	ypp:YPDSF_2808
ko:K00795	ypp:YPDSF_2811
ko:K05812	ypp:YPDSF_2907
ko:K02535	ypp:YPDSF_3081
ko:K01657	ypp:YPDSF_0925
ko:K02115	ypp:YPDSF_3913
ko:K06179	ypp:YPDSF_1855
ko:K07306	ypp:YPDSF_2072
ko:K01892	ypp:YPDSF_2223
ko:K01548	ypp:YPDSF_1582
ko:K01883	ypp:YPDSF_2711
ko:K02082	ypp:YPDSF_0681
ko:K02511	ypp:YPDSF_1355
ko:K01624	ypp:YPDSF_0593
ko:K00245	ypp:YPDSF_3615
ko:K01996	ypp:YPDSF_3421
ko:K03116	ypp:YPDSF_3395
ko:K03412	ypp:YPDSF_1769
ko:K03767	ypp:YPDSF_0095
ko:K01653	ypp:YPDSF_3101
ko:K05365	ypp:YPDSF_2963
ko:K02858	ypp:YPDSF_0441
ko:K05786	ypp:YPDSF_3453
ko:K03615	ypp:YPDSF_0891
ko:K03789	ypp:YPDSF_3204
ko:K07034	ypp:YPDSF_3164
ko:K07643	ypp:YPDSF_3557
ko:K07771	ypp:YPDSF_3556
ko:K02878	ypp:YPDSF_0140
ko:K07112	ypp:YPDSF_3696
ko:K08313	ypp:YPDSF_0902
ko:K03592	ypp:YPDSF_0299
ko:K03469	ypp:YPDSF_1631
ko:K02029	ypp:YPDSF_3925
ko:K07128	ypp:YPDSF_4057
ko:K02014	ypp:YPDSF_1371
ko:K07407	ypp:YPDSF_1394
ko:K07493	ypp:YPDSF_1415
ko:K02015	ypp:YPDSF_1442
ko:K02058	ypp:YPDSF_1457
ko:K00645	ypp:YPDSF_1512
ko:K06867	ypp:YPDSF_1564
ko:K06199	ypp:YPDSF_1599
ko:K03190	ypp:YPDSF_1605
ko:K03497	ypp:YPDSF_4141
ko:K02682	ypp:YPDSF_2929
ko:K03621	ypp:YPDSF_1851
ko:K02911	ypp:YPDSF_1852
ko:K09906	ypp:YPDSF_2006
ko:K02200	ypp:YPDSF_2019
ko:K02199	ypp:YPDSF_2020
ko:K02197	ypp:YPDSF_2022
ko:K01788	ypp:YPDSF_2128
ko:K00761	ypp:YPDSF_2177
ko:K00657	ypp:YPDSF_2180
ko:K03719	ypp:YPDSF_2320
ko:K02167	ypp:YPDSF_2530
ko:K06890	ypp:YPDSF_2534
ko:K03635	ypp:YPDSF_2535
ko:K02018	ypp:YPDSF_2551
ko:K07107	ypp:YPDSF_2576
ko:K03839	ypp:YPDSF_2619
ko:K10002	ypp:YPDSF_2640
ko:K02003	ypp:YPDSF_2717
ko:K07340	ypp:YPDSF_2722
ko:K07443	ypp:YPDSF_2774
ko:K09914	ypp:YPDSF_2775
ko:K03828	ypp:YPDSF_3254
ko:K09893	ypp:YPDSF_3255
ko:K03824	ypp:YPDSF_3286
ko:K06149	ypp:YPDSF_3335
ko:K05785	ypp:YPDSF_3390
ko:K09812	ypp:YPDSF_3430
ko:K07724	ypp:YPDSF_3564
ko:K06925	ypp:YPDSF_3605
ko:K07113	ypp:YPDSF_3624
ko:K03534	ypp:YPDSF_3646
ko:K09891	ypp:YPDSF_3730
ko:K03216	ypp:YPDSF_3835
ko:K05501	ypp:YPDSF_3859
ko:K09894	ypp:YPDSF_3884
ko:K02039	ypp:YPDSF_3922
ko:K03826	ypp:YPDSF_0020
ko:K02562	ypp:YPDSF_0027
ko:K02379	ypp:YPDSF_0033
ko:K00127	ypp:YPDSF_0037
ko:K02444	ypp:YPDSF_0048
ko:K06176	ypp:YPDSF_3001
ko:K01661	ypp:YPDSF_1935
ko:K06180	ypp:YPDSF_2913
ko:K15555	ypp:YPDSF_0234
ko:K02441	ypp:YPDSF_0049
ko:K04083	ypp:YPDSF_0066
ko:K02598	ypp:YPDSF_0086
ko:K07019	ypp:YPDSF_0105
ko:K00324	ypp:YPDSF_0840
ko:K08680	ypp:YPDSF_1936
ko:K06200	ypp:YPDSF_3401
ko:K07346	ypp:YPDSF_3493
ko:K02529	ypp:YPDSF_3776
ko:K06899	ypp:YPDSF_2432
ko:K07687	ypp:YPDSF_2475
ko:K05846	ypp:YPDSF_2497
ko:K05847	ypp:YPDSF_2498
ko:K07262	ypp:YPDSF_2520
ko:K05541	ypp:YPDSF_2522
ko:K02020	ypp:YPDSF_2552
ko:K01784	ypp:YPDSF_2558
ko:K10001	ypp:YPDSF_2638
ko:K10003	ypp:YPDSF_2639
ko:K03337	ypp:YPDSF_2667
ko:K03335	ypp:YPDSF_2668
ko:K05838	ypp:YPDSF_2720
ko:K02377	ypp:YPDSF_2739
ko:K01709	ypp:YPDSF_2750
ko:K00880	ypp:YPDSF_3027
ko:K03580	ypp:YPDSF_3117
ko:K02033	ypp:YPDSF_3260
ko:K02032	ypp:YPDSF_3263
ko:K07058	ypp:YPDSF_3351
ko:K07290	ypp:YPDSF_3353
ko:K07345	ypp:YPDSF_3492
ko:K07278	ypp:YPDSF_3573
ko:K11085	ypp:YPDSF_2300
ko:K00123	ypp:YPDSF_0034
ko:K02387	ypp:YPDSF_0506
ko:K05873	ypp:YPDSF_2518
ko:K00265	ypp:YPDSF_0340
ko:K02968	ypp:YPDSF_3159
ko:K03589	ypp:YPDSF_3084
ko:K00362	ypp:YPDSF_0088
ko:K00363	ypp:YPDSF_0087
ko:K01652	ypp:YPDSF_3102
ko:K00956	ypp:YPDSF_2995
ko:K02504	ypp:YPDSF_2928
ko:K02425	ypp:YPDSF_1282
ko:K07345	ypp:YPDSF_1741
ko:K01547	ypp:YPDSF_1581
ko:K07675	ypp:YPDSF_3373
ko:K07640	ypp:YPDSF_3833
ko:K10914	ypp:YPDSF_0100
ko:K01546	ypp:YPDSF_1580
ko:K07677	ypp:YPDSF_2476
ko:K07638	ypp:YPDSF_0064
ko:K02386	ypp:YPDSF_0505
ko:K01584	ypp:YPDSF_2494
ko:K09458	ypp:YPDSF_1846
ko:K02170	ypp:YPDSF_0056
ko:K01624	ypp:YPDSF_3324
ko:K06726	ypp:YPDSF_3898
ko:K00631	ypp:YPDSF_3659
ko:K02821	ypp:YPDSF_1976
ko:K02392	ypp:YPDSF_0511
ko:K02340	ypp:YPDSF_2645
ko:K02341	ypp:YPDSF_1841
ko:K03975	ypp:YPDSF_1994
ko:K02391	ypp:YPDSF_0510
ko:K02407	ypp:YPDSF_1285
ko:K03584	ypp:YPDSF_1551
ko:K03970	ypp:YPDSF_0792
ko:K06200	ypp:YPDSF_0900
ko:K03603	ypp:YPDSF_0988
ko:K03611	ypp:YPDSF_0990
ko:K08289	ypp:YPDSF_1348
ko:K03629	ypp:YPDSF_0003
ko:K02420	ypp:YPDSF_0492
ko:K07173	ypp:YPDSF_3061
ko:K03185	ypp:YPDSF_0605
ko:K07568	ypp:YPDSF_2827
ko:K01961	ypp:YPDSF_0265
ko:K02411	ypp:YPDSF_0500
ko:K01589	ypp:YPDSF_2715
ko:K01807	ypp:YPDSF_0598
ko:K02343	ypp:YPDSF_2759
ko:K03092	ypp:YPDSF_0315
ko:K00609	ypp:YPDSF_0309
ko:K03806	ypp:YPDSF_2931
ko:K01447	ypp:YPDSF_1765
ko:K00281	ypp:YPDSF_0609
ko:K10439	ypp:YPDSF_0555
ko:K10439	ypp:YPDSF_1913
ko:K10439	ypp:YPDSF_3326
ko:K02409	ypp:YPDSF_1294
ko:K03223	ypp:YPDSF_3958
ko:K02422	ypp:YPDSF_1286
ko:K00287	ypp:YPDSF_3147
ko:K00215	ypp:YPDSF_3153
ko:K03527	ypp:YPDSF_3154
ko:K03101	ypp:YPDSF_3156
ko:K00616	ypp:YPDSF_3169
ko:K01733	ypp:YPDSF_3172
ko:K01079	ypp:YPDSF_3192
ko:K01839	ypp:YPDSF_3195
ko:K00758	ypp:YPDSF_3196
ko:K01619	ypp:YPDSF_3197
ko:K00564	ypp:YPDSF_3205
ko:K01051	ypp:YPDSF_3208
ko:K01255	ypp:YPDSF_3251
ko:K00962	ypp:YPDSF_3299
ko:K00688	ypp:YPDSF_3303
ko:K00133	ypp:YPDSF_3313
ko:K00851	ypp:YPDSF_3318
ko:K00262	ypp:YPDSF_3336
ko:K01406	ypp:YPDSF_3337
ko:K01414	ypp:YPDSF_3339
ko:K00865	ypp:YPDSF_3346
ko:K01521	ypp:YPDSF_3352
ko:K00075	ypp:YPDSF_3381
ko:K00632	ypp:YPDSF_3387
ko:K01698	ypp:YPDSF_3391
ko:K01061	ypp:YPDSF_3404
ko:K00549	ypp:YPDSF_3405
ko:K01126	ypp:YPDSF_3409
ko:K03786	ypp:YPDSF_0267
ko:K02346	ypp:YPDSF_2858
ko:K02931	ypp:YPDSF_0145
ko:K02994	ypp:YPDSF_0147
ko:K02933	ypp:YPDSF_0148
ko:K02881	ypp:YPDSF_0149
ko:K02988	ypp:YPDSF_0150
ko:K01159	ypp:YPDSF_1066
ko:K04762	ypp:YPDSF_0067
ko:K01925	ypp:YPDSF_3089
ko:K02926	ypp:YPDSF_0134
ko:K02355	ypp:YPDSF_0127
ko:K02892	ypp:YPDSF_0135
ko:K02886	ypp:YPDSF_0136
ko:K02965	ypp:YPDSF_0137
ko:K02982	ypp:YPDSF_0139
ko:K02904	ypp:YPDSF_0141
ko:K02961	ypp:YPDSF_0142
ko:K02874	ypp:YPDSF_0143
ko:K02338	ypp:YPDSF_0002
ko:K02339	ypp:YPDSF_3252
ko:K02057	ypp:YPDSF_1424
ko:K00820	ypp:YPDSF_3917
ko:K03704	ypp:YPDSF_1377
ko:K00997	ypp:YPDSF_1549
ko:K03100	ypp:YPDSF_1554
ko:K00278	ypp:YPDSF_1561
ko:K01304	ypp:YPDSF_1568
ko:K01120	ypp:YPDSF_1575
ko:K01669	ypp:YPDSF_1576
ko:K01069	ypp:YPDSF_1633
ko:K00748	ypp:YPDSF_1655
ko:K00677	ypp:YPDSF_1656
ko:K00981	ypp:YPDSF_1662
ko:K00806	ypp:YPDSF_1663
ko:K00099	ypp:YPDSF_1664
ko:K00990	ypp:YPDSF_1671
ko:K00674	ypp:YPDSF_1672
ko:K00560	ypp:YPDSF_1702
ko:K01815	ypp:YPDSF_1723
ko:K01731	ypp:YPDSF_1725
ko:K01730	ypp:YPDSF_1735
ko:K03797	ypp:YPDSF_1743
ko:K01775	ypp:YPDSF_1761
ko:K01531	ypp:YPDSF_1786
ko:K00566	ypp:YPDSF_1810
ko:K01756	ypp:YPDSF_1812
ko:K01258	ypp:YPDSF_1817
ko:K00014	ypp:YPDSF_1837
ko:K00943	ypp:YPDSF_1842
ko:K01465	ypp:YPDSF_1859
ko:K01840	ypp:YPDSF_1892
ko:K00598	ypp:YPDSF_1921
ko:K02551	ypp:YPDSF_1937
ko:K01690	ypp:YPDSF_1943
ko:K00851	ypp:YPDSF_1950
ko:K01736	ypp:YPDSF_2009
ko:K00632	ypp:YPDSF_2014
ko:K00845	ypp:YPDSF_2084
ko:K01972	ypp:YPDSF_2097
ko:K00228	ypp:YPDSF_2137
ko:K01923	ypp:YPDSF_2164
ko:K01933	ypp:YPDSF_2178
ko:K00937	ypp:YPDSF_2186
ko:K00088	ypp:YPDSF_2216
ko:K00940	ypp:YPDSF_2228
ko:K07751	ypp:YPDSF_2234
ko:K00600	ypp:YPDSF_2251
ko:K01952	ypp:YPDSF_2264
ko:K00763	ypp:YPDSF_2282
ko:K00979	ypp:YPDSF_2295
ko:K00912	ypp:YPDSF_2299
ko:K00945	ypp:YPDSF_2304
ko:K00831	ypp:YPDSF_2306
ko:K01424	ypp:YPDSF_2309
ko:K00656	ypp:YPDSF_2312
ko:K01875	ypp:YPDSF_2316
ko:K00684	ypp:YPDSF_2324
ko:K01620	ypp:YPDSF_2340
ko:K01619	ypp:YPDSF_2373
ko:K01151	ypp:YPDSF_2391
ko:K01686	ypp:YPDSF_2413
ko:K00568	ypp:YPDSF_2478
ko:K01011	ypp:YPDSF_2501
ko:K01593	ypp:YPDSF_2502
ko:K01935	ypp:YPDSF_2543
ko:K00652	ypp:YPDSF_2545
ko:K01012	ypp:YPDSF_2546
ko:K00965	ypp:YPDSF_2559
ko:K01785	ypp:YPDSF_2562
ko:K00164	ypp:YPDSF_2584
ko:K01647	ypp:YPDSF_2589
ko:K01886	ypp:YPDSF_2624
ko:K01443	ypp:YPDSF_2627
ko:K01953	ypp:YPDSF_2630
ko:K00969	ypp:YPDSF_2646
ko:K00892	ypp:YPDSF_2734
ko:K01840	ypp:YPDSF_2736
ko:K00971	ypp:YPDSF_2738
ko:K01711	ypp:YPDSF_2740
ko:K01772	ypp:YPDSF_2753
ko:K00939	ypp:YPDSF_2754
ko:K00759	ypp:YPDSF_2760
ko:K01338	ypp:YPDSF_2791
ko:K01358	ypp:YPDSF_2793
ko:K00077	ypp:YPDSF_2806
ko:K00946	ypp:YPDSF_2815
ko:K00773	ypp:YPDSF_2826
ko:K00681	ypp:YPDSF_2831
ko:K00891	ypp:YPDSF_2844
ko:K00147	ypp:YPDSF_2850
ko:K03581	ypp:YPDSF_1694
ko:K00797	ypp:YPDSF_2944
ko:K03473	ypp:YPDSF_1997
ko:K03811	ypp:YPDSF_2568
ko:K02621	ypp:YPDSF_0454
ko:K00647	ypp:YPDSF_2003
ko:K00769	ypp:YPDSF_2854
ko:K01270	ypp:YPDSF_2857
ko:K00899	ypp:YPDSF_2878
ko:K08963	ypp:YPDSF_2879
ko:K00767	ypp:YPDSF_2930
ko:K01611	ypp:YPDSF_2943
ko:K00760	ypp:YPDSF_2947
ko:K01579	ypp:YPDSF_2953
ko:K01918	ypp:YPDSF_2954
ko:K00606	ypp:YPDSF_2955
ko:K00950	ypp:YPDSF_2956
ko:K01129	ypp:YPDSF_2975
ko:K00951	ypp:YPDSF_2980
ko:K01937	ypp:YPDSF_2982
ko:K01689	ypp:YPDSF_2983
ko:K00390	ypp:YPDSF_2990
ko:K00860	ypp:YPDSF_2996
ko:K01770	ypp:YPDSF_3000
ko:K00573	ypp:YPDSF_3003
ko:K00428	ypp:YPDSF_3018
ko:K01872	ypp:YPDSF_3056
ko:K00554	ypp:YPDSF_3068
ko:K01626	ypp:YPDSF_3074
ko:K01000	ypp:YPDSF_3090
ko:K00052	ypp:YPDSF_3107
ko:K00097	ypp:YPDSF_3141
ko:K01525	ypp:YPDSF_3144
ko:K04477	ypp:YPDSF_1086
ko:K01903	ypp:YPDSF_2582
ko:K03587	ypp:YPDSF_3093
ko:K01750	ypp:YPDSF_0007
ko:K01246	ypp:YPDSF_0021
ko:K01042	ypp:YPDSF_0039
ko:K00688	ypp:YPDSF_0052
ko:K00705	ypp:YPDSF_0053
ko:K01610	ypp:YPDSF_0065
ko:K00891	ypp:YPDSF_0078
ko:K01735	ypp:YPDSF_0079
ko:K01783	ypp:YPDSF_0082
ko:K01867	ypp:YPDSF_0084
ko:K00855	ypp:YPDSF_0103
ko:K03119	ypp:YPDSF_0110
ko:K01462	ypp:YPDSF_0164
ko:K00014	ypp:YPDSF_0169
ko:K00651	ypp:YPDSF_0171
ko:K01638	ypp:YPDSF_0173
ko:K00548	ypp:YPDSF_0177
ko:K00928	ypp:YPDSF_0181
ko:K01810	ypp:YPDSF_0182
ko:K01619	ypp:YPDSF_0229
ko:K00299	ypp:YPDSF_0230
ko:K01812	ypp:YPDSF_0366
ko:K01685	ypp:YPDSF_0368
ko:K01409	ypp:YPDSF_0430
ko:K00982	ypp:YPDSF_0437
ko:K01515	ypp:YPDSF_0446
ko:K00655	ypp:YPDSF_0455
ko:K03897	ypp:YPDSF_0525
ko:K01581	ypp:YPDSF_0554
ko:K03439	ypp:YPDSF_0563
ko:K01425	ypp:YPDSF_0565
ko:K00286	ypp:YPDSF_0573
ko:K01920	ypp:YPDSF_0580
ko:K01150	ypp:YPDSF_0583
ko:K00789	ypp:YPDSF_0585
ko:K00927	ypp:YPDSF_0592
ko:K01224	ypp:YPDSF_0660
ko:K00432	ypp:YPDSF_0726
ko:K02536	ypp:YPDSF_1658
ko:K02372	ypp:YPDSF_1657
ko:K10192	ypp:YPDSF_1729
ko:K10193	ypp:YPDSF_1726
ko:K10194	ypp:YPDSF_1727
ko:K10195	ypp:YPDSF_1728
ko:K02950	ypp:YPDSF_0125
ko:K03168	ypp:YPDSF_0917
ko:K01929	ypp:YPDSF_3091
ko:K07490	ypp:YPDSF_0058
ko:K00382	ypp:YPDSF_2938
ko:K00380	ypp:YPDSF_2987
ko:K01919	ypp:YPDSF_3060
ko:K03648	ypp:YPDSF_1567
ko:K03601	ypp:YPDSF_2217
ko:K07642	ypp:YPDSF_2202
ko:K01738	ypp:YPDSF_2100
ko:K07261	ypp:YPDSF_2008
ko:K00800	ypp:YPDSF_2305
ko:K03446	ypp:YPDSF_2904
ko:K03711	ypp:YPDSF_2620
ko:K09160	ypp:YPDSF_1039
ko:K03625	ypp:YPDSF_2816
ko:K01626	ypp:YPDSF_0738
ko:K00873	ypp:YPDSF_0754
ko:K02897	ypp:YPDSF_2430
ko:K06942	ypp:YPDSF_1109
ko:K01056	ypp:YPDSF_1108
ko:K03553	ypp:YPDSF_3054
ko:K04067	ypp:YPDSF_2762
ko:K03495	ypp:YPDSF_3905
ko:K03644	ypp:YPDSF_2655
ko:K02356	ypp:YPDSF_3619
ko:K00426	ypp:YPDSF_2578
ko:K03800	ypp:YPDSF_0736
ko:K03073	ypp:YPDSF_3751
ko:K02867	ypp:YPDSF_3749
ko:K03046	ypp:YPDSF_3744
ko:K02563	ypp:YPDSF_3087
ko:K01058	ypp:YPDSF_3451
ko:K01778	ypp:YPDSF_3462
ko:K01749	ypp:YPDSF_3467
ko:K01719	ypp:YPDSF_3468
ko:K01791	ypp:YPDSF_3482
ko:K01524	ypp:YPDSF_3488
ko:K00053	ypp:YPDSF_3501
ko:K01687	ypp:YPDSF_3510
ko:K01776	ypp:YPDSF_3521
ko:K00557	ypp:YPDSF_3523
ko:K00145	ypp:YPDSF_3537
ko:K01438	ypp:YPDSF_3538
ko:K01595	ypp:YPDSF_3539
ko:K00796	ypp:YPDSF_3550
ko:K01507	ypp:YPDSF_3570
ko:K07304	ypp:YPDSF_3574
ko:K01939	ypp:YPDSF_3596
ko:K00791	ypp:YPDSF_3602
ko:K01613	ypp:YPDSF_3611
ko:K01813	ypp:YPDSF_3643
ko:K01629	ypp:YPDSF_3644
ko:K00832	ypp:YPDSF_3650
ko:K01775	ypp:YPDSF_3651
ko:K01356	ypp:YPDSF_3657
ko:K00931	ypp:YPDSF_2851
ko:K01759	ypp:YPDSF_0765
ko:K00275	ypp:YPDSF_0776
ko:K00574	ypp:YPDSF_0757
ko:K01866	ypp:YPDSF_0777
ko:K01299	ypp:YPDSF_0834
ko:K00567	ypp:YPDSF_0844
ko:K01077	ypp:YPDSF_0845
ko:K01241	ypp:YPDSF_0855
ko:K01935	ypp:YPDSF_0864
ko:K01804	ypp:YPDSF_0881
ko:K01147	ypp:YPDSF_0899
ko:K01591	ypp:YPDSF_0907
ko:K01497	ypp:YPDSF_0912
ko:K00766	ypp:YPDSF_0927
ko:K00857	ypp:YPDSF_0957
ko:K00012	ypp:YPDSF_0960
ko:K00285	ypp:YPDSF_0986
ko:K00036	ypp:YPDSF_1056
ko:K00873	ypp:YPDSF_1058
ko:K01887	ypp:YPDSF_1077
ko:K00919	ypp:YPDSF_1104
ko:K00948	ypp:YPDSF_1106
ko:K01468	ypp:YPDSF_1151
ko:K00673	ypp:YPDSF_1160
ko:K01425	ypp:YPDSF_1184
