ko:K08744	mtn:ERDMAN_2012
ko:K03521	mtn:ERDMAN_3315
ko:K07001	mtn:ERDMAN_4085
ko:K06937	mtn:ERDMAN_4086
ko:K09129	mtn:ERDMAN_4093
ko:K09957	mtn:ERDMAN_4116
ko:K05846	mtn:ERDMAN_4117
ko:K05846	mtn:ERDMAN_4118
ko:K05847	mtn:ERDMAN_4119
ko:K05845	mtn:ERDMAN_4120
ko:K01945	mtn:ERDMAN_0854
ko:K01756	mtn:ERDMAN_0859
ko:K01923	mtn:ERDMAN_0862
ko:K01354	mtn:ERDMAN_0863
ko:K01952	mtn:ERDMAN_0871
ko:K01952	mtn:ERDMAN_0872
ko:K03710	mtn:ERDMAN_0877
ko:K00382	mtn:ERDMAN_0879
ko:K07223	mtn:ERDMAN_0884
ko:K01952	mtn:ERDMAN_0888
ko:K09165	mtn:ERDMAN_1669
ko:K02805	mtn:ERDMAN_1675
ko:K01711	mtn:ERDMAN_1685
ko:K02377	mtn:ERDMAN_1686
ko:K01870	mtn:ERDMAN_1712
ko:K02346	mtn:ERDMAN_1713
ko:K03101	mtn:ERDMAN_1715
ko:K06180	mtn:ERDMAN_1716
ko:K06886	mtn:ERDMAN_1718
ko:K01521	mtn:ERDMAN_2504
ko:K14155	mtn:ERDMAN_2509
ko:K09925	mtn:ERDMAN_2510
ko:K04079	mtn:ERDMAN_2514
ko:K03568	mtn:ERDMAN_2537
ko:K16785	mtn:ERDMAN_2547
ko:K16786	mtn:ERDMAN_2548
ko:K16787	mtn:ERDMAN_2548
ko:K02575	mtn:ERDMAN_2552
ko:K02013	mtn:ERDMAN_3328
ko:K01079	mtn:ERDMAN_3329
ko:K02016	mtn:ERDMAN_3332
ko:K13979	mtn:ERDMAN_3333
ko:K02346	mtn:ERDMAN_3345
ko:K06200	mtn:ERDMAN_3353
ko:K15977	mtn:ERDMAN_3354
ko:K06199	mtn:ERDMAN_3360
ko:K06199	mtn:ERDMAN_3361
ko:K01644	mtn:ERDMAN_3366
ko:K00817	mtn:ERDMAN_4137
ko:K02313	mtn:ERDMAN_0001
ko:K02338	mtn:ERDMAN_0002
ko:K03629	mtn:ERDMAN_0003
ko:K02470	mtn:ERDMAN_0005
ko:K02469	mtn:ERDMAN_0006
ko:K00459	mtn:ERDMAN_0027
ko:K00764	mtn:ERDMAN_0892
ko:K01933	mtn:ERDMAN_0893
ko:K06980	mtn:ERDMAN_0895
ko:K02036	mtn:ERDMAN_0903
ko:K02039	mtn:ERDMAN_0904
ko:K03921	mtn:ERDMAN_0907
ko:K08641	mtn:ERDMAN_0929
ko:K00161	mtn:ERDMAN_0934
ko:K01738	mtn:ERDMAN_0940
ko:K07124	mtn:ERDMAN_1720
ko:K02337	mtn:ERDMAN_1722
ko:K00631	mtn:ERDMAN_1726
ko:K00246	mtn:ERDMAN_1730
ko:K01754	mtn:ERDMAN_1735
ko:K01236	mtn:ERDMAN_1738
ko:K06044	mtn:ERDMAN_1739
ko:K00833	mtn:ERDMAN_1744
ko:K01935	mtn:ERDMAN_1746
ko:K01012	mtn:ERDMAN_1750
ko:K03517	mtn:ERDMAN_1754
ko:K00278	mtn:ERDMAN_1755
ko:K00767	mtn:ERDMAN_1756
ko:K00013	mtn:ERDMAN_1759
ko:K00817	mtn:ERDMAN_1760
ko:K01693	mtn:ERDMAN_1761
ko:K02501	mtn:ERDMAN_1762
ko:K02500	mtn:ERDMAN_1765
ko:K07300	mtn:ERDMAN_1767
ko:K03564	mtn:ERDMAN_1768
ko:K01657	mtn:ERDMAN_1769
ko:K01609	mtn:ERDMAN_1771
ko:K01696	mtn:ERDMAN_1772
ko:K01738	mtn:ERDMAN_2560
ko:K00640	mtn:ERDMAN_2561
ko:K01129	mtn:ERDMAN_2574
ko:K01114	mtn:ERDMAN_2579
ko:K01114	mtn:ERDMAN_2580
ko:K01114	mtn:ERDMAN_2581
ko:K01880	mtn:ERDMAN_2590
ko:K03584	mtn:ERDMAN_2595
ko:K07042	mtn:ERDMAN_2600
ko:K09761	mtn:ERDMAN_2607
ko:K03686	mtn:ERDMAN_2608
ko:K03705	mtn:ERDMAN_2609
ko:K09781	mtn:ERDMAN_3384
ko:K03664	mtn:ERDMAN_3396
ko:K09811	mtn:ERDMAN_3397
ko:K09812	mtn:ERDMAN_3398
ko:K02836	mtn:ERDMAN_3401
ko:K00528	mtn:ERDMAN_3402
ko:K03639	mtn:ERDMAN_3405
ko:K03637	mtn:ERDMAN_3407
ko:K01875	mtn:ERDMAN_4201
ko:K01126	mtn:ERDMAN_4209
ko:K04564	mtn:ERDMAN_4218
ko:K02553	mtn:ERDMAN_4226
ko:K00266	mtn:ERDMAN_4232
ko:K07735	mtn:ERDMAN_0046
ko:K01869	mtn:ERDMAN_0049
ko:K01858	mtn:ERDMAN_0055
ko:K02990	mtn:ERDMAN_0062
ko:K02963	mtn:ERDMAN_0064
ko:K02939	mtn:ERDMAN_0065
ko:K00031	mtn:ERDMAN_0079
ko:K01752	mtn:ERDMAN_0082
ko:K00600	mtn:ERDMAN_0083
ko:K02003	mtn:ERDMAN_0088
ko:K14155	mtn:ERDMAN_0090
ko:K12140	mtn:ERDMAN_0101
ko:K14267	mtn:ERDMAN_0950
ko:K03637	mtn:ERDMAN_0956
ko:K03639	mtn:ERDMAN_0961
ko:K03704	mtn:ERDMAN_0963
ko:K00831	mtn:ERDMAN_0977
ko:K00528	mtn:ERDMAN_0979
ko:K01647	mtn:ERDMAN_0984
ko:K01647	mtn:ERDMAN_0991
ko:K01695	mtn:ERDMAN_1773
ko:K00873	mtn:ERDMAN_1778
ko:K10805	mtn:ERDMAN_1779
ko:K00426	mtn:ERDMAN_1782
ko:K00425	mtn:ERDMAN_1783
ko:K02945	mtn:ERDMAN_1791
ko:K00859	mtn:ERDMAN_1792
ko:K03702	mtn:ERDMAN_1796
ko:K03701	mtn:ERDMAN_1802
ko:K04567	mtn:ERDMAN_1805
ko:K02520	mtn:ERDMAN_1806
ko:K02916	mtn:ERDMAN_1807
ko:K02887	mtn:ERDMAN_1808
ko:K03437	mtn:ERDMAN_1809
ko:K01889	mtn:ERDMAN_1814
ko:K01890	mtn:ERDMAN_1815
ko:K00145	mtn:ERDMAN_1819
ko:K00620	mtn:ERDMAN_1820
ko:K00930	mtn:ERDMAN_1821
ko:K00611	mtn:ERDMAN_1823
ko:K03402	mtn:ERDMAN_1824
ko:K01940	mtn:ERDMAN_1825
ko:K07086	mtn:ERDMAN_2623
ko:K00390	mtn:ERDMAN_2628
ko:K02045	mtn:ERDMAN_2634
ko:K02047	mtn:ERDMAN_2635
ko:K02046	mtn:ERDMAN_2636
ko:K02048	mtn:ERDMAN_2637
ko:K03596	mtn:ERDMAN_2642
ko:K02968	mtn:ERDMAN_2653
ko:K02340	mtn:ERDMAN_2654
ko:K02237	mtn:ERDMAN_2656
ko:K09710	mtn:ERDMAN_2663
ko:K04069	mtn:ERDMAN_3438
ko:K00330	mtn:ERDMAN_3445
ko:K00331	mtn:ERDMAN_3446
ko:K00332	mtn:ERDMAN_3447
ko:K00333	mtn:ERDMAN_3448
ko:K00334	mtn:ERDMAN_3449
ko:K00337	mtn:ERDMAN_3453
ko:K00338	mtn:ERDMAN_3454
ko:K00339	mtn:ERDMAN_3455
ko:K00340	mtn:ERDMAN_3456
ko:K00341	mtn:ERDMAN_3457
ko:K00342	mtn:ERDMAN_3458
ko:K00343	mtn:ERDMAN_3459
ko:K03924	mtn:ERDMAN_3465
ko:K03980	mtn:ERDMAN_4290
ko:K03088	mtn:ERDMAN_4291
ko:K00384	mtn:ERDMAN_4293
ko:K03671	mtn:ERDMAN_4294
ko:K03501	mtn:ERDMAN_4299
ko:K03217	mtn:ERDMAN_4301
ko:K03536	mtn:ERDMAN_4302
ko:K12141	mtn:ERDMAN_0102
ko:K02902	mtn:ERDMAN_0122
ko:K03271	mtn:ERDMAN_0131
ko:K02355	mtn:ERDMAN_0139
ko:K05343	mtn:ERDMAN_0146
ko:K06996	mtn:ERDMAN_1007
ko:K02168	mtn:ERDMAN_1015
ko:K03322	mtn:ERDMAN_1025
ko:K02040	mtn:ERDMAN_1029
ko:K02037	mtn:ERDMAN_1030
ko:K02038	mtn:ERDMAN_1031
ko:K02040	mtn:ERDMAN_1033
ko:K02036	mtn:ERDMAN_1034
ko:K02040	mtn:ERDMAN_1035
ko:K02037	mtn:ERDMAN_1036
ko:K02038	mtn:ERDMAN_1037
ko:K10979	mtn:ERDMAN_1038
ko:K01810	mtn:ERDMAN_1047
ko:K03657	mtn:ERDMAN_1051
ko:K01903	mtn:ERDMAN_1053
ko:K01902	mtn:ERDMAN_1054
ko:K11175	mtn:ERDMAN_1058
ko:K01755	mtn:ERDMAN_1826
ko:K03652	mtn:ERDMAN_1854
ko:K01866	mtn:ERDMAN_1855
ko:K06442	mtn:ERDMAN_1861
ko:K00858	mtn:ERDMAN_1862
ko:K03631	mtn:ERDMAN_1863
ko:K01937	mtn:ERDMAN_1866
ko:K11737	mtn:ERDMAN_1872
ko:K03321	mtn:ERDMAN_1876
ko:K05896	mtn:ERDMAN_1878
ko:K06024	mtn:ERDMAN_1879
ko:K06178	mtn:ERDMAN_1880
ko:K00945	mtn:ERDMAN_1881
ko:K03977	mtn:ERDMAN_1882
ko:K00969	mtn:ERDMAN_2664
ko:K00147	mtn:ERDMAN_2670
ko:K04756	mtn:ERDMAN_2673
ko:K01950	mtn:ERDMAN_2684
ko:K00931	mtn:ERDMAN_2685
ko:K03979	mtn:ERDMAN_2686
ko:K02899	mtn:ERDMAN_2687
ko:K02888	mtn:ERDMAN_2688
ko:K00940	mtn:ERDMAN_2691
ko:K11754	mtn:ERDMAN_2693
ko:K01873	mtn:ERDMAN_2694
ko:K03752	mtn:ERDMAN_2699
ko:K00175	mtn:ERDMAN_2700
ko:K00174	mtn:ERDMAN_2701
ko:K03544	mtn:ERDMAN_2704
ko:K01358	mtn:ERDMAN_2707
ko:K03545	mtn:ERDMAN_2708
ko:K01808	mtn:ERDMAN_2713
ko:K01256	mtn:ERDMAN_2715
ko:K07133	mtn:ERDMAN_3482
ko:K03657	mtn:ERDMAN_3507
ko:K03426	mtn:ERDMAN_3509
ko:K10716	mtn:ERDMAN_3510
ko:K03657	mtn:ERDMAN_3511
ko:K02361	mtn:ERDMAN_3528
ko:K03281	mtn:ERDMAN_0165
ko:K09958	mtn:ERDMAN_0179
ko:K00324	mtn:ERDMAN_0180
ko:K00324	mtn:ERDMAN_0181
ko:K00325	mtn:ERDMAN_0182
ko:K07107	mtn:ERDMAN_0188
ko:K02066	mtn:ERDMAN_0192
ko:K02066	mtn:ERDMAN_0193
ko:K06911	mtn:ERDMAN_0206
ko:K03088	mtn:ERDMAN_0207
ko:K05349	mtn:ERDMAN_0211
ko:K01687	mtn:ERDMAN_0214
ko:K04781	mtn:ERDMAN_2621
ko:K11991	mtn:ERDMAN_4113
ko:K01985	mtn:ERDMAN_1472
ko:K14228	mtn:ERDMAN_0026
ko:K14232	mtn:ERDMAN_2709
ko:K17218	mtn:ERDMAN_0366
ko:K01977	mtn:ERDMAN_1469
ko:K15035	mtn:ERDMAN_3393
ko:K07682	mtn:ERDMAN_3432
ko:K14222	mtn:ERDMAN_2908
ko:K12445	mtn:ERDMAN_3235
ko:K15581	mtn:ERDMAN_4012
ko:K19311	mtn:ERDMAN_3514
ko:K01990	mtn:ERDMAN_1853
ko:K14233	mtn:ERDMAN_4142
ko:K14233	mtn:ERDMAN_4112
ko:K14233	mtn:ERDMAN_4136
ko:K14233	mtn:ERDMAN_4077
ko:K14232	mtn:ERDMAN_4035
ko:K14234	mtn:ERDMAN_3989
ko:K14229	mtn:ERDMAN_0915
ko:K14221	mtn:ERDMAN_0917
ko:K14219	mtn:ERDMAN_1020
ko:K14218	mtn:ERDMAN_1108
ko:K14223	mtn:ERDMAN_1133
ko:K14228	mtn:ERDMAN_1176
ko:K14219	mtn:ERDMAN_1443
ko:K14229	mtn:ERDMAN_2771
ko:K07045	mtn:ERDMAN_2071
ko:K07045	mtn:ERDMAN_2518
ko:K14230	mtn:ERDMAN_2526
ko:K14237	mtn:ERDMAN_2462
ko:K14232	mtn:ERDMAN_1889
ko:K14228	mtn:ERDMAN_1786
ko:K14237	mtn:ERDMAN_2906
ko:K14225	mtn:ERDMAN_2907
ko:K14218	mtn:ERDMAN_3358
ko:K14235	mtn:ERDMAN_0706
ko:K14234	mtn:ERDMAN_0700
ko:K14225	mtn:ERDMAN_0352
ko:K14218	mtn:ERDMAN_0010
ko:K14236	mtn:ERDMAN_0620
ko:K14230	mtn:ERDMAN_0701
ko:K14224	mtn:ERDMAN_0916
ko:K14231	mtn:ERDMAN_0918
ko:K14228	mtn:ERDMAN_1508
ko:K14219	mtn:ERDMAN_2732
ko:K14230	mtn:ERDMAN_3497
ko:K14219	mtn:ERDMAN_4135
ko:K14226	mtn:ERDMAN_2762
ko:K01990	mtn:ERDMAN_1363
ko:K01990	mtn:ERDMAN_1624
ko:K01990	mtn:ERDMAN_3218
ko:K03574	mtn:ERDMAN_0455
ko:K17103	mtn:ERDMAN_0479
ko:K02484	mtn:ERDMAN_0660
ko:K02484	mtn:ERDMAN_0661
ko:K01897	mtn:ERDMAN_2404
ko:K02484	mtn:ERDMAN_4125
ko:K02484	mtn:ERDMAN_0840
ko:K00951	mtn:ERDMAN_2842
ko:K00265	mtn:ERDMAN_4233
ko:K14228	mtn:ERDMAN_2360
ko:K14224	mtn:ERDMAN_3278
ko:K14223	mtn:ERDMAN_3279
ko:K01980	mtn:ERDMAN_1471
ko:K15580	mtn:ERDMAN_4013
ko:K15582	mtn:ERDMAN_4011
ko:K14220	mtn:ERDMAN_2569
ko:K14225	mtn:ERDMAN_2710
ko:K14237	mtn:ERDMAN_2909
ko:K06994	mtn:ERDMAN_0443
ko:K14949	mtn:ERDMAN_0452
ko:K03153	mtn:ERDMAN_0457
ko:K06994	mtn:ERDMAN_0493
ko:K06994	mtn:ERDMAN_1283
ko:K06994	mtn:ERDMAN_1284
ko:K13669	mtn:ERDMAN_1301
ko:K01724	mtn:ERDMAN_1302
ko:K00374	mtn:ERDMAN_1307
ko:K15525	mtn:ERDMAN_1313
ko:K11779	mtn:ERDMAN_1316
ko:K00219	mtn:ERDMAN_1318
ko:K06994	mtn:ERDMAN_1325
ko:K12423	mtn:ERDMAN_1327
ko:K00294	mtn:ERDMAN_1329
ko:K00666	mtn:ERDMAN_2120
ko:K01692	mtn:ERDMAN_2132
ko:K02067	mtn:ERDMAN_2165
ko:K02067	mtn:ERDMAN_2166
ko:K02067	mtn:ERDMAN_2167
ko:K02067	mtn:ERDMAN_2168
ko:K01692	mtn:ERDMAN_2941
ko:K16905	mtn:ERDMAN_2949
ko:K16906	mtn:ERDMAN_2950
ko:K16907	mtn:ERDMAN_2951
ko:K03499	mtn:ERDMAN_2954
ko:K03499	mtn:ERDMAN_2955
ko:K01092	mtn:ERDMAN_2964
ko:K03087	mtn:ERDMAN_2972
ko:K03709	mtn:ERDMAN_2973
ko:K05794	mtn:ERDMAN_2984
ko:K01580	mtn:ERDMAN_3759
ko:K14743	mtn:ERDMAN_3778
ko:K10112	mtn:ERDMAN_2251
ko:K01692	mtn:ERDMAN_0501
ko:K01322	mtn:ERDMAN_0502
ko:K16645	mtn:ERDMAN_0521
ko:K01619	mtn:ERDMAN_0524
ko:K15521	mtn:ERDMAN_0532
ko:K01834	mtn:ERDMAN_0535
ko:K07768	mtn:ERDMAN_0536
ko:K07776	mtn:ERDMAN_0537
ko:K01784	mtn:ERDMAN_0550
ko:K00674	mtn:ERDMAN_1344
ko:K01439	mtn:ERDMAN_1345
ko:K00666	mtn:ERDMAN_1350
ko:K13693	mtn:ERDMAN_1353
ko:K16148	mtn:ERDMAN_1357
ko:K08981	mtn:ERDMAN_1371
ko:K09167	mtn:ERDMAN_1372
ko:K03593	mtn:ERDMAN_1375
ko:K02025	mtn:ERDMAN_1382
ko:K02067	mtn:ERDMAN_2169
ko:K02067	mtn:ERDMAN_2170
ko:K12953	mtn:ERDMAN_2200
ko:K03294	mtn:ERDMAN_2202
ko:K00038	mtn:ERDMAN_2205
ko:K07028	mtn:ERDMAN_2208
ko:K10533	mtn:ERDMAN_3002
ko:K00619	mtn:ERDMAN_3012
ko:K02067	mtn:ERDMAN_3835
ko:K02067	mtn:ERDMAN_3836
ko:K02067	mtn:ERDMAN_3837
ko:K02067	mtn:ERDMAN_3838
ko:K02067	mtn:ERDMAN_3839
ko:K02067	mtn:ERDMAN_3840
ko:K00059	mtn:ERDMAN_3843
ko:K05337	mtn:ERDMAN_3844
ko:K00666	mtn:ERDMAN_3847
ko:K01692	mtn:ERDMAN_3855
ko:K16046	mtn:ERDMAN_3857
ko:K06994	mtn:ERDMAN_0557
ko:K06196	mtn:ERDMAN_0578
ko:K00772	mtn:ERDMAN_0587
ko:K09931	mtn:ERDMAN_0592
ko:K00666	mtn:ERDMAN_0604
ko:K02549	mtn:ERDMAN_0606
ko:K01616	mtn:ERDMAN_1394
ko:K01426	mtn:ERDMAN_1410
ko:K06147	mtn:ERDMAN_1421
ko:K06147	mtn:ERDMAN_1422
ko:K02035	mtn:ERDMAN_1429
ko:K02033	mtn:ERDMAN_1432
ko:K16370	mtn:ERDMAN_2241
ko:K02025	mtn:ERDMAN_2253
ko:K03929	mtn:ERDMAN_2258
ko:K02077	mtn:ERDMAN_2274
ko:K03709	mtn:ERDMAN_3054
ko:K03177	mtn:ERDMAN_3059
ko:K09002	mtn:ERDMAN_3092
ko:K00626	mtn:ERDMAN_3863
ko:K15982	mtn:ERDMAN_3866
ko:K04073	mtn:ERDMAN_3879
ko:K15981	mtn:ERDMAN_3890
ko:K00626	mtn:ERDMAN_3891
ko:K01692	mtn:ERDMAN_3895
ko:K00626	mtn:ERDMAN_3901
ko:K00059	mtn:ERDMAN_3904
ko:K00622	mtn:ERDMAN_3911
ko:K16049	mtn:ERDMAN_3915
ko:K16050	mtn:ERDMAN_3916
ko:K12583	mtn:ERDMAN_0610
ko:K00805	mtn:ERDMAN_0615
ko:K02067	mtn:ERDMAN_0647
ko:K02067	mtn:ERDMAN_0648
ko:K02067	mtn:ERDMAN_0650
ko:K02067	mtn:ERDMAN_0651
ko:K02067	mtn:ERDMAN_0652
ko:K02067	mtn:ERDMAN_0653
ko:K02851	mtn:ERDMAN_1455
ko:K00567	mtn:ERDMAN_1473
ko:K07503	mtn:ERDMAN_1479
ko:K00626	mtn:ERDMAN_1483
ko:K00700	mtn:ERDMAN_1486
ko:K13540	mtn:ERDMAN_2281
ko:K00595	mtn:ERDMAN_2287
ko:K03727	mtn:ERDMAN_2310
ko:K13573	mtn:ERDMAN_2313
ko:K13571	mtn:ERDMAN_2315
ko:K13570	mtn:ERDMAN_2327
ko:K13527	mtn:ERDMAN_2331
ko:K09764	mtn:ERDMAN_2333
ko:K07442	mtn:ERDMAN_2334
ko:K01692	mtn:ERDMAN_3104
ko:K05816	mtn:ERDMAN_3105
ko:K05815	mtn:ERDMAN_3107
ko:K05814	mtn:ERDMAN_3108
ko:K03404	mtn:ERDMAN_3125
ko:K02348	mtn:ERDMAN_3126
ko:K04652	mtn:ERDMAN_3132
ko:K04652	mtn:ERDMAN_3133
ko:K06976	mtn:ERDMAN_3144
ko:K16047	mtn:ERDMAN_3917
ko:K15983	mtn:ERDMAN_3918
ko:K07067	mtn:ERDMAN_3934
ko:K14733	mtn:ERDMAN_3962
ko:K01692	mtn:ERDMAN_0696
ko:K00845	mtn:ERDMAN_0719
ko:K02428	mtn:ERDMAN_1501
ko:K01909	mtn:ERDMAN_1505
ko:K14698	mtn:ERDMAN_1509
ko:K14699	mtn:ERDMAN_1510
ko:K00059	mtn:ERDMAN_1511
ko:K01523	mtn:ERDMAN_2338
ko:K00548	mtn:ERDMAN_2340
ko:K15526	mtn:ERDMAN_2347
ko:K01082	mtn:ERDMAN_2348
ko:K06910	mtn:ERDMAN_2358
ko:K01426	mtn:ERDMAN_3167
ko:K07258	mtn:ERDMAN_3192
ko:K10563	mtn:ERDMAN_3206
ko:K01507	mtn:ERDMAN_3972
ko:K09153	mtn:ERDMAN_3976
ko:K01784	mtn:ERDMAN_3978
ko:K06877	mtn:ERDMAN_3995
ko:K07052	mtn:ERDMAN_0729
ko:K03932	mtn:ERDMAN_0742
ko:K01692	mtn:ERDMAN_0744
ko:K01692	mtn:ERDMAN_0746
ko:K06994	mtn:ERDMAN_0747
ko:K00101	mtn:ERDMAN_0766
ko:K14954	mtn:ERDMAN_1570
ko:K09762	mtn:ERDMAN_1582
ko:K13787	mtn:ERDMAN_2390
ko:K13671	mtn:ERDMAN_2398
ko:K13668	mtn:ERDMAN_2405
ko:K02342	mtn:ERDMAN_2410
ko:K03889	mtn:ERDMAN_2412
ko:K03890	mtn:ERDMAN_2413
ko:K03891	mtn:ERDMAN_2414
ko:K00856	mtn:ERDMAN_2420
ko:K12426	mtn:ERDMAN_3211
ko:K12440	mtn:ERDMAN_3212
ko:K12441	mtn:ERDMAN_3214
ko:K12443	mtn:ERDMAN_3216
ko:K12444	mtn:ERDMAN_3217
ko:K12427	mtn:ERDMAN_3223
ko:K06994	mtn:ERDMAN_3224
ko:K12430	mtn:ERDMAN_3229
ko:K12430	mtn:ERDMAN_3230
ko:K01958	mtn:ERDMAN_3251
ko:K07030	mtn:ERDMAN_3259
ko:K07030	mtn:ERDMAN_3260
ko:K02342	mtn:ERDMAN_4065
ko:K07009	mtn:ERDMAN_4067
ko:K00058	mtn:ERDMAN_0801
ko:K00854	mtn:ERDMAN_0802
ko:K00939	mtn:ERDMAN_0806
ko:K00616	mtn:ERDMAN_1610
ko:K14339	mtn:ERDMAN_1625
ko:K04488	mtn:ERDMAN_1631
ko:K12951	mtn:ERDMAN_1636
ko:K01692	mtn:ERDMAN_1639
ko:K07114	mtn:ERDMAN_1649
ko:K11610	mtn:ERDMAN_1651
ko:K11611	mtn:ERDMAN_1652
ko:K01847	mtn:ERDMAN_1662
ko:K01104	mtn:ERDMAN_2457
ko:K03386	mtn:ERDMAN_2463
ko:K11609	mtn:ERDMAN_2470
ko:K11609	mtn:ERDMAN_2471
ko:K00803	mtn:ERDMAN_2476
ko:K00153	mtn:ERDMAN_2484
ko:K14941	mtn:ERDMAN_3269
ko:K01885	mtn:ERDMAN_3280
ko:K00058	mtn:ERDMAN_3283
ko:K02433	mtn:ERDMAN_3300
ko:K09966	mtn:ERDMAN_4104
ko:K04517	mtn:ERDMAN_4115
ko:K14953	mtn:ERDMAN_4124
ko:K16653	mtn:ERDMAN_4156
ko:K16652	mtn:ERDMAN_4157
ko:K13686	mtn:ERDMAN_4158
ko:K11387	mtn:ERDMAN_4159
ko:K11385	mtn:ERDMAN_4160
ko:K11386	mtn:ERDMAN_4161
ko:K12437	mtn:ERDMAN_4166
ko:K12428	mtn:ERDMAN_4167
ko:K13687	mtn:ERDMAN_4171
ko:K14136	mtn:ERDMAN_4172
ko:K16650	mtn:ERDMAN_4174
ko:K01854	mtn:ERDMAN_4175
ko:K14952	mtn:ERDMAN_4185
ko:K00121	mtn:ERDMAN_0843
ko:K05917	mtn:ERDMAN_0846
ko:K01607	mtn:ERDMAN_0853
ko:K06986	mtn:ERDMAN_0867
ko:K07077	mtn:ERDMAN_0868
ko:K07052	mtn:ERDMAN_0889
ko:K01847	mtn:ERDMAN_1663
ko:K07588	mtn:ERDMAN_1666
ko:K06994	mtn:ERDMAN_1697
ko:K12433	mtn:ERDMAN_1703
ko:K01424	mtn:ERDMAN_1714
ko:K03316	mtn:ERDMAN_2503
ko:K01011	mtn:ERDMAN_2506
ko:K06889	mtn:ERDMAN_2522
ko:K02025	mtn:ERDMAN_2538
ko:K00819	mtn:ERDMAN_2543
ko:K00819	mtn:ERDMAN_2544
ko:K16149	mtn:ERDMAN_3317
ko:K16150	mtn:ERDMAN_3318
ko:K01692	mtn:ERDMAN_3326
ko:K02274	mtn:ERDMAN_3330
ko:K03647	mtn:ERDMAN_3341
ko:K01835	mtn:ERDMAN_3359
ko:K01692	mtn:ERDMAN_4139
ko:K16649	mtn:ERDMAN_4148
ko:K01664	mtn:ERDMAN_0018
ko:K00652	mtn:ERDMAN_0039
ko:K02619	mtn:ERDMAN_0896
ko:K15520	mtn:ERDMAN_0902
ko:K01259	mtn:ERDMAN_0931
ko:K02480	mtn:ERDMAN_0936
ko:K01796	mtn:ERDMAN_0947
ko:K00244	mtn:ERDMAN_1728
ko:K00245	mtn:ERDMAN_1729
ko:K00247	mtn:ERDMAN_1731
ko:K06994	mtn:ERDMAN_1733
ko:K00652	mtn:ERDMAN_1745
ko:K01814	mtn:ERDMAN_1763
ko:K01817	mtn:ERDMAN_1763
ko:K01092	mtn:ERDMAN_1764
ko:K01496	mtn:ERDMAN_1766
ko:K00027	mtn:ERDMAN_2557
ko:K06994	mtn:ERDMAN_2567
ko:K03711	mtn:ERDMAN_2592
ko:K01426	mtn:ERDMAN_2596
ko:K13419	mtn:ERDMAN_3371
ko:K00121	mtn:ERDMAN_3377
ko:K00803	mtn:ERDMAN_3403
ko:K01724	mtn:ERDMAN_3406
ko:K01011	mtn:ERDMAN_3412
ko:K07491	mtn:ERDMAN_3417
ko:K06994	mtn:ERDMAN_4190
ko:K04518	mtn:ERDMAN_4205
ko:K10215	mtn:ERDMAN_4227
ko:K04477	mtn:ERDMAN_4229
ko:K02004	mtn:ERDMAN_0087
ko:K00626	mtn:ERDMAN_0951
ko:K01782	mtn:ERDMAN_0952
ko:K10843	mtn:ERDMAN_0953
ko:K05602	mtn:ERDMAN_3437
ko:K00274	mtn:ERDMAN_3471
ko:K01426	mtn:ERDMAN_3476
ko:K14743	mtn:ERDMAN_4259
ko:K03635	mtn:ERDMAN_0958
ko:K04750	mtn:ERDMAN_0980
ko:K07655	mtn:ERDMAN_0997
ko:K07671	mtn:ERDMAN_0998
ko:K01962	mtn:ERDMAN_0999
ko:K01963	mtn:ERDMAN_0999
ko:K01692	mtn:ERDMAN_1000
ko:K16012	mtn:ERDMAN_1780
ko:K16013	mtn:ERDMAN_1781
ko:K09146	mtn:ERDMAN_1794
ko:K14340	mtn:ERDMAN_1798
ko:K04793	mtn:ERDMAN_2613
ko:K04792	mtn:ERDMAN_2614
ko:K04789	mtn:ERDMAN_2615
ko:K04791	mtn:ERDMAN_2616
ko:K04790	mtn:ERDMAN_2617
ko:K04788	mtn:ERDMAN_2618
ko:K00392	mtn:ERDMAN_2627
ko:K00784	mtn:ERDMAN_2646
ko:K02238	mtn:ERDMAN_2655
ko:K14743	mtn:ERDMAN_4264
ko:K00970	mtn:ERDMAN_4286
ko:K06346	mtn:ERDMAN_4300
ko:K01243	mtn:ERDMAN_0108
ko:K12949	mtn:ERDMAN_0109
ko:K02351	mtn:ERDMAN_0119
ko:K07245	mtn:ERDMAN_0119
ko:K12949	mtn:ERDMAN_0120
ko:K12955	mtn:ERDMAN_0124
ko:K07031	mtn:ERDMAN_0133
ko:K01577	mtn:ERDMAN_0137
ko:K16146	mtn:ERDMAN_0147
ko:K11159	mtn:ERDMAN_1010
ko:K00626	mtn:ERDMAN_1011
ko:K00076	mtn:ERDMAN_1028
ko:K10563	mtn:ERDMAN_1045
ko:K04093	mtn:ERDMAN_1050
ko:K16167	mtn:ERDMAN_1827
ko:K16167	mtn:ERDMAN_1832
ko:K07304	mtn:ERDMAN_0159
ko:K01104	mtn:ERDMAN_0177
ko:K00666	mtn:ERDMAN_0191
ko:K02067	mtn:ERDMAN_0194
ko:K02067	mtn:ERDMAN_0195
ko:K02067	mtn:ERDMAN_0196
ko:K02067	mtn:ERDMAN_0198
ko:K02067	mtn:ERDMAN_0199
ko:K01515	mtn:ERDMAN_1867
ko:K04763	mtn:ERDMAN_1868
ko:K00545	mtn:ERDMAN_1871
