ko:K18925	bcef:BcrFT9_00768
ko:K01734	bcef:BcrFT9_01303
ko:K00974	bcef:BcrFT9_01306
ko:K03524	bcef:BcrFT9_01307
ko:K00606	bcef:BcrFT9_01309
ko:K01918	bcef:BcrFT9_01310
ko:K01579	bcef:BcrFT9_01311
ko:K00812	bcef:BcrFT9_01315
ko:K02086	bcef:BcrFT9_01316
ko:K10773	bcef:BcrFT9_01317
ko:K05366	bcef:BcrFT9_01319
ko:K03700	bcef:BcrFT9_01320
ko:K06327	bcef:BcrFT9_01324
ko:K07444	bcef:BcrFT9_01327
ko:K01299	bcef:BcrFT9_01329
ko:K03816	bcef:BcrFT9_01330
ko:K16169	bcef:BcrFT9_01331
ko:K07148	bcef:BcrFT9_01332
ko:K01011	bcef:BcrFT9_01337
ko:K03469	bcef:BcrFT9_01345
ko:K01834	bcef:BcrFT9_01978
ko:K01270	bcef:BcrFT9_01981
ko:K03088	bcef:BcrFT9_01986
ko:K17836	bcef:BcrFT9_01992
ko:K07098	bcef:BcrFT9_01993
ko:K01992	bcef:BcrFT9_01995
ko:K01992	bcef:BcrFT9_01996
ko:K01304	bcef:BcrFT9_02410
ko:K07160	bcef:BcrFT9_02413
ko:K06351	bcef:BcrFT9_02414
ko:K03100	bcef:BcrFT9_02416
ko:K06201	bcef:BcrFT9_02417
ko:K06385	bcef:BcrFT9_02418
ko:K01356	bcef:BcrFT9_02837
ko:K10947	bcef:BcrFT9_02840
ko:K01915	bcef:BcrFT9_02841
ko:K03713	bcef:BcrFT9_02842
ko:K03665	bcef:BcrFT9_02844
ko:K03665	bcef:BcrFT9_02845
ko:K06413	bcef:BcrFT9_02847
ko:K03666	bcef:BcrFT9_02852
ko:K00791	bcef:BcrFT9_02853
ko:K02768	bcef:BcrFT9_02856
ko:K02769	bcef:BcrFT9_02856
ko:K02770	bcef:BcrFT9_02856
ko:K03436	bcef:BcrFT9_02858
ko:K08976	bcef:BcrFT9_02860
ko:K09699	bcef:BcrFT9_03260
ko:K07699	bcef:BcrFT9_03271
ko:K06399	bcef:BcrFT9_03273
ko:K03631	bcef:BcrFT9_03274
ko:K03402	bcef:BcrFT9_03275
ko:K06442	bcef:BcrFT9_03276
ko:K01662	bcef:BcrFT9_03277
ko:K13789	bcef:BcrFT9_03278
ko:K03602	bcef:BcrFT9_03279
ko:K03601	bcef:BcrFT9_03280
ko:K01491	bcef:BcrFT9_03281
ko:K03625	bcef:BcrFT9_03282
ko:K01961	bcef:BcrFT9_03284
ko:K06397	bcef:BcrFT9_03285
ko:K06396	bcef:BcrFT9_03286
ko:K06395	bcef:BcrFT9_03287
ko:K06394	bcef:BcrFT9_03288
ko:K06393	bcef:BcrFT9_03289
ko:K06392	bcef:BcrFT9_03290
ko:K06390	bcef:BcrFT9_03291
ko:K02356	bcef:BcrFT9_03295
ko:K04768	bcef:BcrFT9_03702
ko:K01259	bcef:BcrFT9_03703
ko:K03810	bcef:BcrFT9_03705
ko:K03282	bcef:BcrFT9_03706
ko:K02529	bcef:BcrFT9_03711
ko:K01924	bcef:BcrFT9_03722
ko:K00763	bcef:BcrFT9_03723
ko:K03466	bcef:BcrFT9_03724
ko:K03466	bcef:BcrFT9_03725
ko:K06878	bcef:BcrFT9_03727
ko:K02761	bcef:BcrFT9_04169
ko:K00425	bcef:BcrFT9_04181
ko:K03147	bcef:BcrFT9_04182
ko:K03303	bcef:BcrFT9_04183
ko:K00824	bcef:BcrFT9_04187
ko:K03317	bcef:BcrFT9_04189
ko:K05020	bcef:BcrFT9_04192
ko:K02250	bcef:BcrFT9_04200
ko:K02004	bcef:BcrFT9_04203
ko:K02003	bcef:BcrFT9_04204
ko:K02005	bcef:BcrFT9_04205
ko:K06412	bcef:BcrFT9_00051
ko:K04042	bcef:BcrFT9_00052
ko:K00948	bcef:BcrFT9_00053
ko:K01056	bcef:BcrFT9_00054
ko:K04769	bcef:BcrFT9_00057
ko:K02499	bcef:BcrFT9_00059
ko:K15600	bcef:BcrFT9_00675
ko:K15599	bcef:BcrFT9_00676
ko:K15598	bcef:BcrFT9_00677
ko:K10810	bcef:BcrFT9_00678
ko:K03153	bcef:BcrFT9_00679
ko:K03154	bcef:BcrFT9_00680
ko:K03149	bcef:BcrFT9_00681
ko:K00941	bcef:BcrFT9_00683
ko:K01546	bcef:BcrFT9_00685
ko:K01547	bcef:BcrFT9_00686
ko:K01548	bcef:BcrFT9_00687
ko:K07646	bcef:BcrFT9_00688
ko:K03611	bcef:BcrFT9_00697
ko:K01153	bcef:BcrFT9_00703
ko:K03427	bcef:BcrFT9_00704
ko:K01154	bcef:BcrFT9_00705
ko:K07462	bcef:BcrFT9_00706
ko:K00845	bcef:BcrFT9_01505
ko:K00648	bcef:BcrFT9_01510
ko:K03665	bcef:BcrFT9_01512
ko:K15580	bcef:BcrFT9_01513
ko:K08223	bcef:BcrFT9_01514
ko:K01738	bcef:BcrFT9_01515
ko:K03308	bcef:BcrFT9_01518
ko:K00826	bcef:BcrFT9_01522
ko:K01652	bcef:BcrFT9_01523
ko:K00053	bcef:BcrFT9_01524
ko:K01754	bcef:BcrFT9_01525
ko:K07282	bcef:BcrFT9_01526
ko:K07150	bcef:BcrFT9_01527
ko:K18118	bcef:BcrFT9_01534
ko:K12960	bcef:BcrFT9_01536
ko:K06889	bcef:BcrFT9_01537
ko:K01259	bcef:BcrFT9_01545
ko:K03322	bcef:BcrFT9_01546
ko:K07146	bcef:BcrFT9_01547
ko:K11033	bcef:BcrFT9_01549
ko:K11034	bcef:BcrFT9_01550
ko:K11034	bcef:BcrFT9_01551
ko:K05346	bcef:BcrFT9_01552
ko:K01619	bcef:BcrFT9_01553
ko:K11535	bcef:BcrFT9_01554
ko:K00756	bcef:BcrFT9_01555
ko:K16785	bcef:BcrFT9_02082
ko:K07697	bcef:BcrFT9_02084
ko:K13955	bcef:BcrFT9_02089
ko:K01580	bcef:BcrFT9_02099
ko:K01126	bcef:BcrFT9_02107
ko:K07734	bcef:BcrFT9_02519
ko:K00058	bcef:BcrFT9_02524
ko:K00831	bcef:BcrFT9_02525
ko:K06880	bcef:BcrFT9_02529
ko:K01434	bcef:BcrFT9_02531
ko:K03763	bcef:BcrFT9_02944
ko:K01881	bcef:BcrFT9_02945
ko:K11749	bcef:BcrFT9_02946
ko:K00099	bcef:BcrFT9_02947
ko:K00981	bcef:BcrFT9_02948
ko:K00806	bcef:BcrFT9_02949
ko:K02838	bcef:BcrFT9_02950
ko:K09903	bcef:BcrFT9_02951
ko:K02357	bcef:BcrFT9_02952
ko:K02967	bcef:BcrFT9_02953
ko:K03706	bcef:BcrFT9_02954
ko:K03667	bcef:BcrFT9_02955
ko:K01419	bcef:BcrFT9_02956
ko:K04094	bcef:BcrFT9_02957
ko:K03168	bcef:BcrFT9_02958
ko:K04096	bcef:BcrFT9_02959
ko:K01902	bcef:BcrFT9_02960
ko:K01903	bcef:BcrFT9_02961
ko:K03470	bcef:BcrFT9_02962
ko:K14540	bcef:BcrFT9_02963
ko:K03100	bcef:BcrFT9_02964
ko:K02884	bcef:BcrFT9_02965
ko:K00554	bcef:BcrFT9_02966
ko:K02860	bcef:BcrFT9_02967
ko:K06960	bcef:BcrFT9_02968
ko:K02959	bcef:BcrFT9_02969
ko:K03106	bcef:BcrFT9_02970
ko:K09773	bcef:BcrFT9_03376
ko:K03584	bcef:BcrFT9_03378
ko:K01489	bcef:BcrFT9_03381
ko:K07042	bcef:BcrFT9_03383
ko:K07037	bcef:BcrFT9_03384
ko:K06438	bcef:BcrFT9_03386
ko:K09117	bcef:BcrFT9_03388
ko:K02970	bcef:BcrFT9_03389
ko:K18707	bcef:BcrFT9_03390
ko:K09761	bcef:BcrFT9_03391
ko:K02687	bcef:BcrFT9_03392
ko:K03687	bcef:BcrFT9_03393
ko:K03705	bcef:BcrFT9_03394
ko:K03596	bcef:BcrFT9_03397
ko:K06012	bcef:BcrFT9_03399
ko:K02968	bcef:BcrFT9_03400
ko:K02340	bcef:BcrFT9_03401
ko:K02049	bcef:BcrFT9_03807
ko:K02050	bcef:BcrFT9_03808
ko:K07173	bcef:BcrFT9_03812
ko:K08998	bcef:BcrFT9_03813
ko:K01673	bcef:BcrFT9_03814
ko:K00425	bcef:BcrFT9_03815
ko:K03969	bcef:BcrFT9_03823
ko:K04759	bcef:BcrFT9_03826
ko:K04758	bcef:BcrFT9_03827
ko:K16789	bcef:BcrFT9_03828
ko:K00626	bcef:BcrFT9_04289
ko:K06131	bcef:BcrFT9_04291
ko:K07693	bcef:BcrFT9_04297
ko:K07778	bcef:BcrFT9_04298
ko:K01265	bcef:BcrFT9_04299
ko:K03088	bcef:BcrFT9_04306
ko:K01480	bcef:BcrFT9_04312
ko:K00797	bcef:BcrFT9_04313
ko:K05303	bcef:BcrFT9_01039
ko:K01790	bcef:BcrFT9_01044
ko:K00208	bcef:BcrFT9_01045
ko:K03657	bcef:BcrFT9_01049
ko:K11928	bcef:BcrFT9_01055
ko:K01658	bcef:BcrFT9_01056
ko:K00766	bcef:BcrFT9_01057
ko:K01609	bcef:BcrFT9_01058
ko:K01817	bcef:BcrFT9_01059
ko:K01696	bcef:BcrFT9_01060
ko:K01695	bcef:BcrFT9_01061
ko:K03303	bcef:BcrFT9_01063
ko:K09136	bcef:BcrFT9_01071
ko:K00164	bcef:BcrFT9_01073
ko:K07729	bcef:BcrFT9_01074
ko:K13280	bcef:BcrFT9_01083
ko:K00128	bcef:BcrFT9_01086
ko:K01034	bcef:BcrFT9_01830
ko:K01438	bcef:BcrFT9_01832
ko:K01843	bcef:BcrFT9_01834
ko:K06377	bcef:BcrFT9_01841
ko:K07533	bcef:BcrFT9_01852
ko:K06304	bcef:BcrFT9_01854
ko:K05366	bcef:BcrFT9_01859
ko:K01992	bcef:BcrFT9_02278
ko:K01990	bcef:BcrFT9_02279
ko:K04091	bcef:BcrFT9_02291
ko:K15554	bcef:BcrFT9_02292
ko:K15555	bcef:BcrFT9_02293
ko:K06976	bcef:BcrFT9_02708
ko:K06976	bcef:BcrFT9_02709
ko:K14392	bcef:BcrFT9_02711
ko:K00128	bcef:BcrFT9_02713
ko:K09775	bcef:BcrFT9_02714
ko:K05786	bcef:BcrFT9_02715
ko:K03593	bcef:BcrFT9_02716
ko:K03636	bcef:BcrFT9_02717
ko:K03635	bcef:BcrFT9_02718
ko:K03750	bcef:BcrFT9_02719
ko:K03639	bcef:BcrFT9_02722
ko:K02379	bcef:BcrFT9_02723
ko:K00123	bcef:BcrFT9_02726
ko:K03294	bcef:BcrFT9_03146
ko:K00899	bcef:BcrFT9_03147
ko:K08969	bcef:BcrFT9_03149
ko:K08965	bcef:BcrFT9_03150
ko:K08966	bcef:BcrFT9_03151
ko:K08967	bcef:BcrFT9_03152
ko:K11189	bcef:BcrFT9_03159
ko:K06188	bcef:BcrFT9_03568
ko:K01992	bcef:BcrFT9_03570
ko:K09124	bcef:BcrFT9_00828
ko:K07316	bcef:BcrFT9_00829
ko:K01156	bcef:BcrFT9_00830
ko:K07090	bcef:BcrFT9_00836
ko:K00657	bcef:BcrFT9_00851
ko:K17228	bcef:BcrFT9_00854
ko:K01118	bcef:BcrFT9_00856
ko:K04749	bcef:BcrFT9_00867
ko:K03090	bcef:BcrFT9_00868
ko:K03594	bcef:BcrFT9_00869
ko:K00575	bcef:BcrFT9_00871
ko:K03407	bcef:BcrFT9_00872
ko:K03407	bcef:BcrFT9_00873
ko:K07089	bcef:BcrFT9_01660
ko:K08986	bcef:BcrFT9_01661
ko:K06131	bcef:BcrFT9_01663
ko:K06131	bcef:BcrFT9_01664
ko:K03311	bcef:BcrFT9_01671
ko:K03311	bcef:BcrFT9_01672
ko:K06878	bcef:BcrFT9_01673
ko:K06385	bcef:BcrFT9_01675
ko:K00452	bcef:BcrFT9_01684
ko:K04073	bcef:BcrFT9_01688
ko:K01666	bcef:BcrFT9_01689
ko:K01821	bcef:BcrFT9_01691
ko:K01834	bcef:BcrFT9_01692
ko:K01775	bcef:BcrFT9_01693
ko:K00375	bcef:BcrFT9_01698
ko:K06976	bcef:BcrFT9_01708
ko:K01449	bcef:BcrFT9_02164
ko:K00453	bcef:BcrFT9_02167
ko:K07130	bcef:BcrFT9_02168
ko:K01556	bcef:BcrFT9_02169
ko:K00382	bcef:BcrFT9_02182
ko:K00627	bcef:BcrFT9_02183
ko:K01709	bcef:BcrFT9_02590
ko:K07404	bcef:BcrFT9_02597
ko:K00616	bcef:BcrFT9_02598
ko:K00033	bcef:BcrFT9_02599
ko:K00615	bcef:BcrFT9_02600
ko:K00036	bcef:BcrFT9_02601
ko:K03837	bcef:BcrFT9_02604
ko:K02824	bcef:BcrFT9_03012
ko:K03091	bcef:BcrFT9_03025
ko:K03590	bcef:BcrFT9_03026
ko:K03589	bcef:BcrFT9_03027
ko:K00075	bcef:BcrFT9_03028
ko:K02563	bcef:BcrFT9_03029
ko:K01925	bcef:BcrFT9_03030
ko:K01000	bcef:BcrFT9_03031
ko:K01928	bcef:BcrFT9_03032
ko:K08384	bcef:BcrFT9_03033
ko:K08724	bcef:BcrFT9_03034
ko:K03438	bcef:BcrFT9_03036
ko:K00077	bcef:BcrFT9_03038
ko:K02911	bcef:BcrFT9_03041
ko:K07040	bcef:BcrFT9_03042
ko:K07177	bcef:BcrFT9_03044
ko:K07001	bcef:BcrFT9_03045
ko:K00954	bcef:BcrFT9_03047
ko:K03581	bcef:BcrFT9_03459
ko:K00566	bcef:BcrFT9_03460
ko:K04487	bcef:BcrFT9_03461
ko:K17472	bcef:BcrFT9_03462
ko:K07478	bcef:BcrFT9_03463
ko:K01876	bcef:BcrFT9_03465
ko:K01892	bcef:BcrFT9_03466
ko:K00951	bcef:BcrFT9_03469
ko:K07462	bcef:BcrFT9_03470
ko:K12257	bcef:BcrFT9_03472
ko:K03210	bcef:BcrFT9_03476
ko:K00773	bcef:BcrFT9_03477
ko:K07568	bcef:BcrFT9_03478
ko:K03551	bcef:BcrFT9_03480
ko:K06318	bcef:BcrFT9_03481
ko:K06370	bcef:BcrFT9_03485
ko:K07507	bcef:BcrFT9_03905
ko:K10716	bcef:BcrFT9_03906
ko:K01990	bcef:BcrFT9_03571
ko:K02557	bcef:BcrFT9_03573
ko:K02556	bcef:BcrFT9_03574
ko:K07260	bcef:BcrFT9_03575
ko:K07107	bcef:BcrFT9_03576
ko:K00240	bcef:BcrFT9_03577
ko:K00239	bcef:BcrFT9_03578
ko:K00241	bcef:BcrFT9_03579
ko:K03703	bcef:BcrFT9_03581
ko:K03522	bcef:BcrFT9_03582
ko:K03521	bcef:BcrFT9_03583
ko:K13767	bcef:BcrFT9_03584
ko:K13770	bcef:BcrFT9_03585
ko:K00318	bcef:BcrFT9_04001
ko:K03406	bcef:BcrFT9_04004
ko:K03294	bcef:BcrFT9_04009
ko:K03217	bcef:BcrFT9_04014
ko:K01874	bcef:BcrFT9_04026
ko:K03406	bcef:BcrFT9_04028
ko:K01810	bcef:BcrFT9_03908
ko:K09779	bcef:BcrFT9_03909
ko:K07570	bcef:BcrFT9_03910
ko:K10907	bcef:BcrFT9_03911
ko:K14155	bcef:BcrFT9_03915
ko:K05338	bcef:BcrFT9_04369
ko:K07705	bcef:BcrFT9_04370
ko:K07704	bcef:BcrFT9_04371
ko:K00491	bcef:BcrFT9_04373
ko:K04564	bcef:BcrFT9_04374
ko:K01784	bcef:BcrFT9_04380
ko:K11068	bcef:BcrFT9_04381
ko:K00783	bcef:BcrFT9_04391
ko:K01421	bcef:BcrFT9_00933
ko:K01421	bcef:BcrFT9_00934
ko:K03800	bcef:BcrFT9_00940
ko:K01897	bcef:BcrFT9_00941
ko:K02048	bcef:BcrFT9_00944
ko:K02046	bcef:BcrFT9_00945
ko:K02047	bcef:BcrFT9_00946
ko:K02045	bcef:BcrFT9_00947
ko:K11032	bcef:BcrFT9_00952
ko:K06889	bcef:BcrFT9_00954
ko:K07098	bcef:BcrFT9_00955
ko:K06885	bcef:BcrFT9_00956
ko:K06885	bcef:BcrFT9_00957
ko:K03088	bcef:BcrFT9_00959
ko:K13653	bcef:BcrFT9_00960
ko:K07052	bcef:BcrFT9_00963
ko:K01638	bcef:BcrFT9_00973
ko:K01637	bcef:BcrFT9_00974
ko:K03704	bcef:BcrFT9_00976
ko:K02250	bcef:BcrFT9_00977
ko:K07680	bcef:BcrFT9_00978
ko:K07691	bcef:BcrFT9_00979
ko:K03100	bcef:BcrFT9_00980
ko:K16898	bcef:BcrFT9_00981
ko:K06304	bcef:BcrFT9_00982
ko:K01091	bcef:BcrFT9_01767
ko:K01779	bcef:BcrFT9_01770
ko:K01990	bcef:BcrFT9_01775
ko:K01992	bcef:BcrFT9_01776
ko:K01091	bcef:BcrFT9_01778
ko:K05989	bcef:BcrFT9_01781
ko:K01118	bcef:BcrFT9_01785
ko:K00655	bcef:BcrFT9_01786
ko:K03116	bcef:BcrFT9_01787
ko:K03118	bcef:BcrFT9_01788
ko:K01953	bcef:BcrFT9_01793
ko:K02016	bcef:BcrFT9_01796
ko:K00824	bcef:BcrFT9_01797
ko:K13993	bcef:BcrFT9_01798
ko:K15986	bcef:BcrFT9_02219
ko:K03310	bcef:BcrFT9_02221
ko:K00128	bcef:BcrFT9_02222
ko:K01714	bcef:BcrFT9_02223
ko:K03740	bcef:BcrFT9_02237
ko:K15580	bcef:BcrFT9_02239
ko:K02015	bcef:BcrFT9_02650
ko:K02015	bcef:BcrFT9_02651
ko:K00675	bcef:BcrFT9_02661
ko:K01126	bcef:BcrFT9_02671
ko:K03657	bcef:BcrFT9_02672
ko:K00382	bcef:BcrFT9_03083
ko:K00627	bcef:BcrFT9_03084
ko:K00162	bcef:BcrFT9_03085
ko:K00161	bcef:BcrFT9_03086
ko:K01462	bcef:BcrFT9_03087
ko:K01462	bcef:BcrFT9_03088
ko:K12574	bcef:BcrFT9_03091
ko:K03499	bcef:BcrFT9_03092
ko:K00426	bcef:BcrFT9_03093
ko:K05822	bcef:BcrFT9_03094
ko:K09776	bcef:BcrFT9_03098
ko:K07098	bcef:BcrFT9_03105
ko:K00937	bcef:BcrFT9_03107
ko:K02888	bcef:BcrFT9_03510
ko:K06401	bcef:BcrFT9_03513
ko:K03609	bcef:BcrFT9_03514
ko:K03610	bcef:BcrFT9_03515
ko:K03571	bcef:BcrFT9_03516
ko:K03570	bcef:BcrFT9_03517
ko:K03569	bcef:BcrFT9_03518
ko:K03630	bcef:BcrFT9_03519
ko:K06287	bcef:BcrFT9_03520
ko:K06380	bcef:BcrFT9_03521
ko:K11754	bcef:BcrFT9_03522
ko:K01873	bcef:BcrFT9_03523
ko:K06417	bcef:BcrFT9_03525
ko:K01845	bcef:BcrFT9_03526
ko:K01719	bcef:BcrFT9_03527
ko:K01749	bcef:BcrFT9_03528
ko:K02497	bcef:BcrFT9_03529
ko:K02492	bcef:BcrFT9_03530
ko:K03978	bcef:BcrFT9_03533
ko:K01338	bcef:BcrFT9_03534
ko:K04076	bcef:BcrFT9_03535
ko:K03544	bcef:BcrFT9_03536
ko:K03545	bcef:BcrFT9_03537
ko:K06193	bcef:BcrFT9_03945
ko:K02446	bcef:BcrFT9_03958
ko:K01834	bcef:BcrFT9_03964
ko:K03644	bcef:BcrFT9_03966
ko:K03324	bcef:BcrFT9_00729
ko:K03324	bcef:BcrFT9_00730
ko:K09963	bcef:BcrFT9_00732
ko:K03491	bcef:BcrFT9_00733
ko:K02759	bcef:BcrFT9_00734
ko:K02760	bcef:BcrFT9_00735
ko:K02761	bcef:BcrFT9_00736
ko:K02003	bcef:BcrFT9_00740
ko:K02005	bcef:BcrFT9_00741
ko:K02033	bcef:BcrFT9_00743
ko:K02034	bcef:BcrFT9_00744
ko:K03311	bcef:BcrFT9_00745
ko:K06333	bcef:BcrFT9_00746
ko:K06332	bcef:BcrFT9_00747
ko:K10979	bcef:BcrFT9_00749
ko:K03294	bcef:BcrFT9_00755
ko:K07106	bcef:BcrFT9_00758
ko:K00619	bcef:BcrFT9_00764
ko:K07124	bcef:BcrFT9_00765
ko:K08152	bcef:BcrFT9_00773
ko:K01489	bcef:BcrFT9_01556
ko:K01262	bcef:BcrFT9_01559
ko:K01990	bcef:BcrFT9_01562
ko:K01990	bcef:BcrFT9_01563
ko:K01992	bcef:BcrFT9_01564
ko:K01118	bcef:BcrFT9_01568
ko:K03311	bcef:BcrFT9_01569
ko:K14166	bcef:BcrFT9_01571
ko:K01426	bcef:BcrFT9_01578
ko:K00016	bcef:BcrFT9_01580
ko:K01999	bcef:BcrFT9_01582
ko:K01995	bcef:BcrFT9_01583
ko:K01997	bcef:BcrFT9_01584
ko:K01998	bcef:BcrFT9_01585
ko:K01607	bcef:BcrFT9_01589
ko:K00426	bcef:BcrFT9_01592
ko:K16013	bcef:BcrFT9_01593
ko:K16012	bcef:BcrFT9_01594
ko:K18104	bcef:BcrFT9_01603
ko:K00059	bcef:BcrFT9_01606
ko:K00657	bcef:BcrFT9_02113
ko:K02338	bcef:BcrFT9_02117
ko:K03574	bcef:BcrFT9_02118
ko:K00285	bcef:BcrFT9_02135
ko:K11031	bcef:BcrFT9_02545
ko:K02106	bcef:BcrFT9_02546
ko:K00355	bcef:BcrFT9_02548
ko:K16927	bcef:BcrFT9_02551
ko:K16786	bcef:BcrFT9_02552
ko:K16787	bcef:BcrFT9_02552
ko:K16785	bcef:BcrFT9_02553
ko:K06889	bcef:BcrFT9_04082
ko:K01243	bcef:BcrFT9_02566
ko:K09787	bcef:BcrFT9_02971
ko:K03110	bcef:BcrFT9_02972
ko:K03529	bcef:BcrFT9_02973
ko:K03685	bcef:BcrFT9_02974
ko:K02078	bcef:BcrFT9_02975
ko:K00059	bcef:BcrFT9_02976
ko:K00645	bcef:BcrFT9_02977
ko:K03621	bcef:BcrFT9_02978
ko:K03655	bcef:BcrFT9_02980
ko:K07030	bcef:BcrFT9_02981
ko:K02902	bcef:BcrFT9_02983
ko:K00949	bcef:BcrFT9_02984
ko:K01783	bcef:BcrFT9_02985
ko:K06949	bcef:BcrFT9_02986
ko:K06941	bcef:BcrFT9_02990
ko:K03500	bcef:BcrFT9_02991
ko:K01462	bcef:BcrFT9_02992
ko:K04066	bcef:BcrFT9_02993
ko:K13038	bcef:BcrFT9_02994
ko:K03060	bcef:BcrFT9_02995
ko:K00942	bcef:BcrFT9_02996
ko:K02238	bcef:BcrFT9_03404
ko:K02237	bcef:BcrFT9_03406
ko:K02239	bcef:BcrFT9_03407
ko:K09710	bcef:BcrFT9_03409
ko:K07574	bcef:BcrFT9_03410
ko:K06948	bcef:BcrFT9_03411
ko:K07015	bcef:BcrFT9_03412
ko:K06371	bcef:BcrFT9_03413
ko:K01613	bcef:BcrFT9_03414
ko:K03091	bcef:BcrFT9_03415
ko:K01077	bcef:BcrFT9_03419
ko:K16937	bcef:BcrFT9_03422
ko:K14647	bcef:BcrFT9_03428
ko:K00500	bcef:BcrFT9_03429
ko:K07284	bcef:BcrFT9_03833
ko:K02004	bcef:BcrFT9_03842
ko:K02003	bcef:BcrFT9_03843
ko:K13653	bcef:BcrFT9_03844
ko:K11636	bcef:BcrFT9_03850
ko:K11636	bcef:BcrFT9_03851
ko:K11636	bcef:BcrFT9_03852
ko:K11635	bcef:BcrFT9_03853
ko:K11636	bcef:BcrFT9_03854
ko:K01042	bcef:BcrFT9_03858
ko:K01887	bcef:BcrFT9_04307
ko:K01126	bcef:BcrFT9_04316
ko:K01821	bcef:BcrFT9_04319
ko:K06885	bcef:BcrFT9_04320
ko:K02016	bcef:BcrFT9_04321
ko:K02015	bcef:BcrFT9_04322
ko:K06314	bcef:BcrFT9_04323
ko:K16869	bcef:BcrFT9_04324
ko:K00625	bcef:BcrFT9_04325
ko:K01449	bcef:BcrFT9_04327
ko:K06305	bcef:BcrFT9_04328
ko:K10716	bcef:BcrFT9_04331
ko:K00003	bcef:BcrFT9_04337
ko:K00651	bcef:BcrFT9_04338
ko:K01740	bcef:BcrFT9_04339
ko:K01560	bcef:BcrFT9_04341
ko:K06153	bcef:BcrFT9_00621
ko:K03406	bcef:BcrFT9_00622
ko:K07284	bcef:BcrFT9_00624
ko:K03305	bcef:BcrFT9_00626
ko:K03311	bcef:BcrFT9_00627
ko:K07729	bcef:BcrFT9_00632
ko:K03499	bcef:BcrFT9_00635
ko:K02829	bcef:BcrFT9_00636
ko:K02828	bcef:BcrFT9_00637
ko:K02827	bcef:BcrFT9_00638
ko:K02826	bcef:BcrFT9_00639
ko:K03307	bcef:BcrFT9_00644
ko:K06310	bcef:BcrFT9_00645
ko:K06312	bcef:BcrFT9_00646
ko:K04759	bcef:BcrFT9_00647
ko:K04758	bcef:BcrFT9_00649
ko:K02040	bcef:BcrFT9_00650
ko:K02037	bcef:BcrFT9_00651
ko:K02038	bcef:BcrFT9_00652
ko:K01679	bcef:BcrFT9_01454
ko:K05995	bcef:BcrFT9_01457
ko:K01753	bcef:BcrFT9_01462
ko:K01992	bcef:BcrFT9_01471
ko:K01992	bcef:BcrFT9_01472
ko:K06131	bcef:BcrFT9_01475
ko:K11102	bcef:BcrFT9_01476
ko:K00027	bcef:BcrFT9_01477
ko:K07717	bcef:BcrFT9_01478
ko:K07719	bcef:BcrFT9_01479
ko:K01914	bcef:BcrFT9_01482
ko:K00928	bcef:BcrFT9_01484
ko:K03574	bcef:BcrFT9_01490
ko:K01448	bcef:BcrFT9_01491
ko:K10112	bcef:BcrFT9_01494
ko:K02027	bcef:BcrFT9_01496
ko:K02025	bcef:BcrFT9_01497
ko:K02026	bcef:BcrFT9_01498
ko:K03710	bcef:BcrFT9_01500
ko:K02082	bcef:BcrFT9_01501
ko:K01443	bcef:BcrFT9_01502
ko:K08302	bcef:BcrFT9_01503
ko:K00917	bcef:BcrFT9_01504
ko:K00003	bcef:BcrFT9_02055
ko:K01921	bcef:BcrFT9_02056
ko:K01243	bcef:BcrFT9_02062
ko:K06304	bcef:BcrFT9_02064
ko:K18234	bcef:BcrFT9_02070
ko:K01779	bcef:BcrFT9_02079
ko:K16924	bcef:BcrFT9_02080
ko:K11623	bcef:BcrFT9_00880
ko:K03698	bcef:BcrFT9_00884
ko:K15975	bcef:BcrFT9_00886
ko:K15975	bcef:BcrFT9_00887
ko:K03088	bcef:BcrFT9_00889
ko:K02443	bcef:BcrFT9_00892
ko:K02440	bcef:BcrFT9_00893
ko:K00864	bcef:BcrFT9_00894
ko:K00111	bcef:BcrFT9_00895
ko:K03088	bcef:BcrFT9_00898
ko:K04043	bcef:BcrFT9_00903
ko:K09682	bcef:BcrFT9_00907
ko:K02503	bcef:BcrFT9_00909
ko:K01990	bcef:BcrFT9_00910
ko:K01992	bcef:BcrFT9_00911
ko:K09167	bcef:BcrFT9_00915
ko:K08981	bcef:BcrFT9_00916
ko:K08987	bcef:BcrFT9_00917
ko:K09167	bcef:BcrFT9_00920
ko:K08981	bcef:BcrFT9_00921
ko:K12555	bcef:BcrFT9_00922
ko:K01599	bcef:BcrFT9_00923
ko:K01772	bcef:BcrFT9_00924
ko:K00231	bcef:BcrFT9_00925
ko:K07004	bcef:BcrFT9_00927
ko:K01259	bcef:BcrFT9_00928
ko:K01938	bcef:BcrFT9_01715
ko:K01759	bcef:BcrFT9_01718
ko:K03088	bcef:BcrFT9_01721
ko:K03688	bcef:BcrFT9_01724
ko:K03924	bcef:BcrFT9_01730
ko:K00370	bcef:BcrFT9_01731
ko:K01805	bcef:BcrFT9_01733
ko:K00854	bcef:BcrFT9_01734
ko:K01785	bcef:BcrFT9_01735
ko:K08138	bcef:BcrFT9_01736
ko:K00675	bcef:BcrFT9_01740
ko:K06416	bcef:BcrFT9_01744
ko:K06950	bcef:BcrFT9_01746
ko:K15738	bcef:BcrFT9_01747
ko:K01870	bcef:BcrFT9_01759
ko:K01929	bcef:BcrFT9_01763
