ko:K07016	sthe:T303_05865
ko:K01652	sthe:T303_05720
ko:K01575	sthe:T303_05725
ko:K16264	sthe:T303_05755
ko:K01772	sthe:T303_05760
ko:K01091	sthe:T303_05805
ko:K03152	sthe:T303_05835
ko:K02823	sthe:T303_05840
ko:K17828	sthe:T303_05845
ko:K15342	sthe:T303_05850
ko:K09002	sthe:T303_05875
ko:K01591	sthe:T303_05895
ko:K00762	sthe:T303_05900
ko:K03305	sthe:T303_05915
ko:K03650	sthe:T303_05955
ko:K03310	sthe:T303_05960
ko:K03657	sthe:T303_05965
ko:K01740	sthe:T303_05970
ko:K11065	sthe:T303_05985
ko:K03177	sthe:T303_06000
ko:K11753	sthe:T303_06005
ko:K16509	sthe:T303_06010
ko:K01092	sthe:T303_06020
ko:K02040	sthe:T303_06030
ko:K02037	sthe:T303_06035
ko:K02038	sthe:T303_06040
ko:K02036	sthe:T303_06045
ko:K02036	sthe:T303_06050
ko:K02039	sthe:T303_06055
ko:K01256	sthe:T303_06060
ko:K03800	sthe:T303_06070
ko:K00688	sthe:T303_06080
ko:K00705	sthe:T303_06085
ko:K02529	sthe:T303_06090
ko:K03116	sthe:T303_06100
ko:K03118	sthe:T303_06105
ko:K07243	sthe:T303_06110
ko:K16301	sthe:T303_06115
ko:K07224	sthe:T303_06120
ko:K02016	sthe:T303_06125
ko:K02013	sthe:T303_06130
ko:K02015	sthe:T303_06135
ko:K02015	sthe:T303_06140
ko:K00382	sthe:T303_06180
ko:K00627	sthe:T303_06185
ko:K00162	sthe:T303_06190
ko:K00161	sthe:T303_06195
ko:K15342	sthe:T303_06220
ko:K01465	sthe:T303_06265
ko:K03648	sthe:T303_06270
ko:K03688	sthe:T303_06300
ko:K01854	sthe:T303_06336
ko:K01104	sthe:T303_06415
ko:K03784	sthe:T303_06430
ko:K03783	sthe:T303_06445
ko:K01839	sthe:T303_06455
ko:K01807	sthe:T303_06460
ko:K01821	sthe:T303_06490
ko:K02887	sthe:T303_06505
ko:K02916	sthe:T303_06510
ko:K02520	sthe:T303_06515
ko:K00945	sthe:T303_06520
ko:K05337	sthe:T303_06530
ko:K01258	sthe:T303_06540
ko:K03100	sthe:T303_06550
ko:K03574	sthe:T303_06565
ko:K09811	sthe:T303_06570
ko:K09812	sthe:T303_06575
ko:K02836	sthe:T303_06580
ko:K01537	sthe:T303_06600
ko:K05363	sthe:T303_06625
ko:K07652	sthe:T303_06640
ko:K07668	sthe:T303_06645
ko:K10041	sthe:T303_06650
ko:K10039	sthe:T303_06655
ko:K10040	sthe:T303_06660
ko:K10040	sthe:T303_06665
ko:K15051	sthe:T303_06670
ko:K00790	sthe:T303_06680
ko:K01784	sthe:T303_06690
ko:K00789	sthe:T303_06700
ko:K03524	sthe:T303_06705
ko:K02343	sthe:T303_06715
ko:K00791	sthe:T303_06725
ko:K02884	sthe:T303_06745
ko:K04516	sthe:T303_06755
ko:K03930	sthe:T303_06780
ko:K12574	sthe:T303_06785
ko:K05833	sthe:T303_06790
ko:K05832	sthe:T303_06795
ko:K01989	sthe:T303_06800
ko:K00873	sthe:T303_06840
ko:K00850	sthe:T303_06845
ko:K02337	sthe:T303_06850
ko:K01704	sthe:T303_06860
ko:K01703	sthe:T303_06865
ko:K00052	sthe:T303_06875
ko:K01649	sthe:T303_06880
ko:K01834	sthe:T303_06885
ko:K00226	sthe:T303_06890
ko:K03530	sthe:T303_06900
ko:K03631	sthe:T303_06920
ko:K03402	sthe:T303_06925
ko:K06442	sthe:T303_06930
ko:K13789	sthe:T303_06935
ko:K03602	sthe:T303_06940
ko:K03601	sthe:T303_06945
ko:K10773	sthe:T303_06965
ko:K02086	sthe:T303_06970
ko:K00651	sthe:T303_06975
ko:K00759	sthe:T303_06980
ko:K07462	sthe:T303_06985
ko:K18888	sthe:T303_03835
ko:K01978	sthe:T303_02370
ko:K14229	sthe:T303_01210
ko:K01980	sthe:T303_01190
ko:K01980	sthe:T303_01495
ko:K01980	sthe:T303_09870
ko:K01980	sthe:T303_02995
ko:K01980	sthe:T303_01885
ko:K14228	sthe:T303_01560
ko:K14225	sthe:T303_01225
ko:K14230	sthe:T303_01245
ko:K01071	sthe:T303_07115
ko:K03790	sthe:T303_08625
ko:K01985	sthe:T303_01195
ko:K01985	sthe:T303_01890
ko:K01985	sthe:T303_01500
ko:K01985	sthe:T303_03000
ko:K01985	sthe:T303_09865
ko:K14220	sthe:T303_01060
ko:K14220	sthe:T303_09860
ko:K14220	sthe:T303_03005
ko:K14220	sthe:T303_01895
ko:K14228	sthe:T303_01215
ko:K14228	sthe:T303_03010
ko:K14219	sthe:T303_01235
ko:K06147	sthe:T303_03275
ko:K14227	sthe:T303_01275
ko:K14227	sthe:T303_01515
ko:K14236	sthe:T303_04115
ko:K14235	sthe:T303_01545
ko:K18887	sthe:T303_03830
ko:K03502	sthe:T303_07725
ko:K03111	sthe:T303_09590
ko:K03497	sthe:T303_01090
ko:K03111	sthe:T303_00160
ko:K07029	sthe:T303_08595
ko:K19002	sthe:T303_03995
ko:K07483	sthe:T303_08105
ko:K07483	sthe:T303_04470
ko:K18979	sthe:T303_06585
ko:K13052	sthe:T303_01130
ko:K02851	sthe:T303_02070
ko:K19005	sthe:T303_04355
ko:K19046	sthe:T303_06240
ko:K07497	sthe:T303_08110
ko:K19139	sthe:T303_05880
ko:K19138	sthe:T303_05870
ko:K19140	sthe:T303_05885
ko:K15342	sthe:T303_04535
ko:K01710	sthe:T303_07155
ko:K09951	sthe:T303_05855
ko:K19124	sthe:T303_06235
ko:K09951	sthe:T303_08405
ko:K09951	sthe:T303_04540
ko:K19125	sthe:T303_06230
ko:K19137	sthe:T303_08400
ko:K19126	sthe:T303_06225
ko:K09951	sthe:T303_06215
ko:K12998	sthe:T303_08200
ko:K03722	sthe:T303_05280
ko:K19302	sthe:T303_02545
ko:K12952	sthe:T303_08805
ko:K04771	sthe:T303_01085
ko:K08643	sthe:T303_07905
ko:K06881	sthe:T303_04940
ko:K02796	sthe:T303_02795
ko:K00887	sthe:T303_04260
ko:K07497	sthe:T303_07830
ko:K21636	sthe:T303_00780
ko:K20074	sthe:T303_08010
ko:K12132	sthe:T303_08005
ko:K20073	sthe:T303_02380
ko:K15580	sthe:T303_08090
ko:K20345	sthe:T303_09275
ko:K00525	sthe:T303_07300
ko:K20484	sthe:T303_01765
ko:K20487	sthe:T303_05645
ko:K20488	sthe:T303_05640
ko:K20374	sthe:T303_04210
ko:K20343	sthe:T303_09270
ko:K20342	sthe:T303_02550
ko:K18889	sthe:T303_09300
ko:K18890	sthe:T303_09295
ko:K22103	sthe:T303_02310
ko:K01200	sthe:T303_07940
ko:K01200	sthe:T303_07950
ko:K01977	sthe:T303_01180
ko:K01977	sthe:T303_01875
ko:K01977	sthe:T303_01485
ko:K01977	sthe:T303_09880
ko:K01977	sthe:T303_02985
ko:K21064	sthe:T303_02815
ko:K08968	sthe:T303_06720
ko:K00821	sthe:T303_03440
ko:K14224	sthe:T303_01065
ko:K14224	sthe:T303_01520
ko:K14224	sthe:T303_07975
ko:K14224	sthe:T303_03020
ko:K14234	sthe:T303_08450
ko:K14231	sthe:T303_01265
ko:K14231	sthe:T303_01535
ko:K14221	sthe:T303_01205
ko:K14229	sthe:T303_00745
ko:K14228	sthe:T303_00470
ko:K14228	sthe:T303_01230
ko:K14225	sthe:T303_01270
ko:K14225	sthe:T303_01510
ko:K14226	sthe:T303_01550
ko:K14222	sthe:T303_01615
ko:K14219	sthe:T303_04130
ko:K14219	sthe:T303_06740
ko:K14228	sthe:T303_09815
ko:K14223	sthe:T303_01555
ko:K14223	sthe:T303_07980
ko:K14223	sthe:T303_04120
ko:K01520	sthe:T303_00075
ko:K02314	sthe:T303_00945
ko:K04068	sthe:T303_00795
ko:K06191	sthe:T303_07295
ko:K03546	sthe:T303_07855
ko:K02316	sthe:T303_08275
ko:K01493	sthe:T303_09535
ko:K06217	sthe:T303_03325
ko:K00560	sthe:T303_04045
ko:K00287	sthe:T303_04050
ko:K00857	sthe:T303_04955
ko:K06919	sthe:T303_05075
ko:K03553	sthe:T303_01475
ko:K02335	sthe:T303_09635
ko:K00571	sthe:T303_00225
ko:K00526	sthe:T303_07305
ko:K14236	sthe:T303_01540
ko:K14219	sthe:T303_01070
ko:K14218	sthe:T303_01185
ko:K14218	sthe:T303_09875
ko:K14218	sthe:T303_01880
ko:K14218	sthe:T303_02990
ko:K14218	sthe:T303_01490
ko:K14237	sthe:T303_01200
ko:K14237	sthe:T303_01505
ko:K14234	sthe:T303_01220
ko:K14234	sthe:T303_03015
ko:K14232	sthe:T303_01240
ko:K14233	sthe:T303_01255
ko:K14233	sthe:T303_01525
ko:K14233	sthe:T303_01280
ko:K14233	sthe:T303_08855
ko:K01101	sthe:T303_07110
ko:K07497	sthe:T303_01595
ko:K07497	sthe:T303_07080
ko:K07497	sthe:T303_08130
ko:K07497	sthe:T303_09750
ko:K07497	sthe:T303_09755
ko:K07497	sthe:T303_05030
ko:K07497	sthe:T303_01175
ko:K07025	sthe:T303_00130
ko:K21471	sthe:T303_01295
ko:K21567	sthe:T303_07960
ko:K21977	sthe:T303_05155
ko:K22044	sthe:T303_01930
ko:K21903	sthe:T303_00420
ko:K17758	sthe:T303_04235
ko:K13566	sthe:T303_03415
ko:K22441	sthe:T303_07400
ko:K22457	sthe:T303_05290
